AB	ɑː b eː
arbetspensionsförsäkringsavgiftsbedrägeri	² a r b ɛ t s p a n ɧ uː n s f œ r s ɛː k r ɪ ŋ s ɑː v j ɪ f t s b ɛ d r ɛː ɡ ɛ r iː
arbetsplats	² a r b eː t s p l a t s
arbetstid	² a r b eː t s t iː d
arbus	ɑ r b ʉː s
arg	a r j
argon	a r ɡ oː n
argt	a r j t
arkiater	a r k i ɑː t e r
arkitekt	a r k ɪ t ɛ k t
arkitekt	a r ɕ ɪ t ɛ k t
arkiv	a r k iː v
armé	a r m eː
arr	a rː
arrangemang	a r a n ɧ e m a ŋ
arrangera	a r a n ɧ eː r a
arsel	a r s ɛ l
arsenik	a r s ɛ n iː k
artikel	a r t ɪː k ɛ l
arton	² ɑː r t ɔ n
arv	a r v
as	ɑː s
aspig	² a s p ɪ
aspig	² a s p ɪ ɡ
ass	a sː
asturisk	a s t ʉ r ɪ s k a
asturiska	a s t ʉ r ɪ s k a
atmosfär	a t m ʊ s f ɛː r
atom	a t oː m
atombomb	a t oː m b ɔ m b
att	a t
att	a tː
att	ɔ
attaché	a t a ɧ eː
attaché	a t a ʂ eː
attack	a t a k
attityd	a t ɪ ¹ t yː d
aubergine	ɔ b ɛ r ɕ iː n
aubergine	ɔ b ɛ r ɕ ɪ n
augusti	a ɡ ɵ s t ɪ
augusti	a ʊ̯ ɡ ɵ s t ɪ
aula	a ʊ̯ l a
aura	a ʊ̯ r a
av	oː
av	oː v
av	ɑː v
avbrott	ɑː v b r ɔ tː
avfälling	ɑː v f ɛ l l ɪ ŋ
avfärda	ɑː v f ɛ r d a
avgjord	² ɑː v j uː r d
avgå	² ɑː v ɡ oː
avgång	² ɑː v ɡ ɔ ŋ
avgöra	² ɑː v j øː r a
avi	a v iː
avlat	ɑː v l ɑː t
avlatskrämare	ɑː v l ɑː t s k r ɛː m a r ɛ
avled	² ɑː v l eː d
avläsa	² ɑː v l ɛː s a
avokado	a v ʊ k ɑː d ʊ
avseende	ɑː v s eː ɛ n d ɛ
avsiktlig	ɑː v s ɪ k t l ɪ ɡ
avsked	ɑː v ɧ eː d
avsky	ɑː v ɧ yː
avskyvärd	² ɑː v ɧ ʏ v ɛː r d
avsluta	² ɑː v s l ʉː t a
aw	ɑː v eː
axel	¹ a k s ɛ l
b	b
b	b eː
ba	b ɑ
ba	b ɑː
babbe	b a b ɛ
babylift	b ɛ ɪ b ʏ l ɪ f t
backsvala	b a k s v ɑː l a
bad	b ɑː d
bada	² b ɑː d a
badensisk	b a d ɛ n s ɪ s k
badstuga	² b ɑː d s t ʉː ɡ a
bagage	b a ɡ ɑː ɧ
baguette	b a ɡ ɛ t
baissa	² b ɛː s a
baisse	b ɛː s
bajs	b a j s
bajsa	² b a j s a
bak	b ɑː k
baka	² b ɑː k a
bakbord	b aː k b uː r d
balkansångare	b a l k a n s ɔ ŋ a r ɛ
ball	b a lː
balle	b a l ɛ
bamba	b a m b a
bambamat	² b a m b a m ɑː t
bambarast	² b a m b a r a s t
bambatant	² b a m b a t a n t
bana	² b ɑː n a
banal	b a n ɑː l
banan	b a n ɑː n
banan	² b ɑː n a n
bananskal	b a n ɑː n s k ɑː l
band	b a n d
bane	² b ɑː n ɛ
baneman	² b ɑː n ɛ m a n
bangård	¹ b ɑː n ɡ ɔ ɖ
bank	b a ŋː k
bar	b ɑː r
bara	b a
bara	b ɑ r ɑ
bara	² b ɑː r a
barmhärtig	b a r m h ɛ ʈ ɪ
barmhärtig	b a r m h ɛ ʈ ɪ ɡ
barn	b ɑː r n
barnbespisning	² b ɑː r n b ɛ s p iː s n ɪ ŋ
barnet	b ɑː n ɛ t
barnet	b ɑː r n ɛ t
barnhem	b ɑː r n h ɛ m
barnmorska	² b ɑː r n m ʊ r s k a
barnsjukdom	b ɑː r n ɧ ʉː k d ʊ m
barnäktenskap	² b ɑː ɳ ɛ kː t ɛ n s k a p
barriär	b a r ɪ æː r
barsk	b a ʂ k
bas	b ɑː s
basar	b a s ɑː r
basket	b ɑː s k ɛ t
basta	b a s t a
basta	² b a s t a
bea	² b eː a
bearbeta	b eː a r b eː t a
bebop	b iː b ɔ p
beckasin	b ɛ k a s iː n
beckasinsnäppa	b ɛ k a s iː n s n ɛ p a
beckna	² b ɛ k n a
bedrägeri	b ɛ d r ɛː ɡ ɛ r iː
bedöma	b ɛ d œ m a
bedömare	b ɛ d œ m a r ɛ
begripa	b ɛ ɡ r iː p a
begå	b ɛ ɡ oː
behov	b ɛ h uː v
behålla	b ɛ h ɔ lː a
behöva	b ɛ h øː v a
beige	b eː ɧ
beige	b ɛː ɧ
bekant	b ə k a n t
beklaga	b ɛ k l ɑː ɡ a
belasta	b ɛ l a s t a
ben	b eː n
bensin	b ɛ n s iː n
berg	b ɛ r j
bergand	b ɛ ɾ j a n d
bergen	b ɛ r j ɛ n
bergens	b ɛ r j ɛ n s
berget	b ɛ r j ɛ t
bergets	b ɛ r j ɛ t s
bergs	b ɛ r j s
bergsångare	b ɛ r j s ɔ ŋ a r ɛ
bergtajgasångare	b ɛ r j t a j ɡ a s ɔ ŋ a r ɛ
bergtita	b ɛ ɾ j t iː t a
berguv	b ɛ r j ʉː v
beryllium	b ɛ r ʏ l ɪ ɵ m
besegra	b ə s eː ɡ r a
besk	b ɛ s k
beskatta	b ɛ s k a t a
beskattning	b ɛ s k a t n ɪ ŋ
besked	b ɛ ɧ eː d
beskita	b ɛ ¹ ɧ iː t a
beskydda	b ɛ ɧ ʏ d a
bespisa	b e s p iː s a
bespisning	b ɛ s p iː s n ɪ ŋ
bess	b ɛ sː
bestrida	b ɛ s t r iː d a
besvika	b ɛ s v iː k a
besök	b ɛ s øː k
besökare	b ɛ s øː k a r ɛ
beta	b ɛ t ɑː
betala	b ɛ t ɑː l a
bete	b eː t ɛ
bete	b ɛ t eː
beteende	b ɛ t eː ɛ n d ɛ
betyda	b ɛ ¹ t yː d a
betydelse	b ɛ ¹ t yː d ɛ l s ɛ
betyg	b ɛ t yː ɡ
betänka	b ɛ t ɛ ŋ k a
bi	b iː
biathlon	b iː a t l ɔ n
bibliotek	b ɪ b l ɪ ʊ t eː k
bikini	b ɪ k iː n ɪ
bil	b iː l
bilabial	b iː l a b ɪ ɑː l
bilist	b ɪ l ɪ s t
biljard	b ɪ l j ɑː r d
biljon	b ɪ l j uː n
bill	b ɪ l
bilparkering	b iː l p a r k eː r ɪ ŋ
biologi	b ɪ ʊ l ʊ ɡ iː
biskop	² b ɪ sː k ɔ p
bisp	b ɪ s p
bit	b iː t
bit	b ɪ t
bits	b iː t s
bits	b ɪ t s
bitsocker	b iː t s ɔ k ɛ r
bitvarg	² b iː t v a r j
biätare	b iː ɛ t a r ɛ
bjuda	² b j ʉː d a
bjugg	b j ɵ ɡː
bjäfs	b j ɛ f s
bjära	b ʝ ɛː r a
bjöd	b j øː d
björn	b j øː r n
blad	¹ b l ɑː d
blandinaviska	b l a n d ɪ n ɑː v ɪ s k a
blandning	² b l a n d n i ŋ
blankspola	² b l a ŋ k s p uː l a
bleck	b l ɛ k
blev	b l eː v
bli	b l iː
blida	b l iː d a
blind	b l ɪ nː d
blire	b l iː r ɛ
blixt	b l ɪ kː s t
block	b l ɔ k
blod	b l uː d
blodröd	b l uː d r øː d
blodtörst	² b l uː d t œ ʂ ʈ
blodtörst	² b l uː d t ɵ ʂ ʈ
blodtörst	² b l uː t œ ʂ ʈ
blodtörst	² b l uː t ɵ ʂ ʈ
blodtörstig	² b l uː d t œ ʂ ʈ ɪ
blodtörstig	² b l uː d t œ ʂ ʈ ɪ ɡ
blodtörstig	² b l uː d t ɵ ʂ ʈ ɪ
blodtörstig	² b l uː d t ɵ ʂ ʈ ɪ ɡ
blodtörstig	² b l uː t œ ʂ ʈ ɪ
blodtörstig	² b l uː t œ ʂ ʈ ɪ ɡ
blodtörstig	² b l uː t ɵ ʂ ʈ ɪ
blodtörstig	² b l uː t ɵ ʂ ʈ ɪ ɡ
blogg	b l ɔ ɡː
blomma	b l ʊ mː a
blondin	b l ɔ n d iː n
blondin	b l ɔ ŋ d iː n
blota	b l uː t a
blott	b l ɔ tː
blottställa	b l ɔ t s t ɛ l a
bly	b l yː
blyg	b l yː ɡ
bläck	b l ɛ k
bläs	b l ɛ s
bläsand	b l ɛ s a n d
bläsgås	b l ɛ s ɡ oː s
blå	b l oː
blåbär	b l oː b ɛː r
blågul	² b l oː ɡ ʉː l
blåhaj	b l oː h a j
blåkråka	b l oː k r oː k a
blåljus	b l oː j ʉː s
blåljuscentral	² b l oː j ʉː s ‿ s eː n t r ɑː l
blåljusfilter	² b l oː j ʉː s f ɪ l t ɛ r
blåljusfordon	b l oː j ʉː s f uː r d uː n
blåljuspersonal	b l oː j ʉː s p ɛ ʂ ʊ n ɑː l
blåst	b l oː s t
blåst	b l ɔ s t
blåträ	² b l oː t r ɛː
blått	b l ɔ tː
bockrot	b ɔ k r uː t
bod	b uː d
bog	b uː ɡ
bok	b uː k
boka	b uː k a
boken	² b uː k ɛ n
boken	¹ b uː k ɛ n
bokhandel	² b uː k h a n d ɛ l
bokstav	b uː k s t ɑː v
bokstav	b ʊ k s t ɑː v
bola	² b uː l a
bolag	b uː l ɑː ɡ
boll	b ɔ l
bomb	b ɔ m b
bon	b uː n
bonde	² b ʊ nː d ɛ
bondska	² b ʊ n d s k a
bondska	² b ʊ n s k a
boning	b uː n ɪ ŋ
bop	b ɔ p
bor	b oː r
bor	b uː r
bord	b uː r d
borde	b uː ɖ ə
bordsbön	b uː r d s b øː n
bordtennis	² b uː ɖ t ɛ n ɪ s
boren	b uː r ɛ n
borg	b ɔ r j
borr	b o rː
bort	b ɔ ʈː
borta	² b ɔ ʈː a
bortaplan	² b ɔ r t a p l ɑː n
bortskänka	² b ɔ r t ɧ ɛ ŋ k a
bostad	² b uː s t ɑː d
bot	b uː t
bot	b ɔ t
bota	b uː t a
botar	b uː t a r
bott	b ʊ t
bourgeoisie	b ɔ ɕ ɔ̯ a s iː
bov	b uː v
bra	b r ɑː
braig	² b r ɑː ɪ
braig	² b r ɑː ɪ ɡ
brand	b r a n d
brandskatta	² b r a nː d s k a tː a
brandskatta	² b r a nː s k a tː a
brasklapp	² b r a s k l a p
bravo	b r ɑː v ʊ
bravur	b r a v ʉː r
bre	b r eː
brev	b r eː v
brevbärare	² b r eː v b æː r a r e
brinna	² b r ɪ nː a
bris	b r iː s
brista	² b r ɪ sː t a
bro	b r uː
broder	² b r uː d ɛ r
brom	b r oː m
bron	b r uː n
brons	b r uː n s
brons	b r ɔ n s
bronsibis	b r ɔ n s iː b ɪ s
bror	b r uː r
brorsa	² b r ʊ ʂ a
bros	b r uː s
brosch	b r oː ɧ
broschyr	b r ʊ ɧ yː r
brud	b r ʉː d
bruka	² b r ʉː k a
brun	¹ b r ʉː n
brunand	b ɾ ʉː n a n d
brunch	b r ɵ n ɧ
brunn	b r ɵ n
brunsenap	b r ʉː n s eː n a p
brunsångare	b r ʉː n s ɔ ŋ a r ɛ
brus	b r ʉː s
brushane	b r ʉː s h ɑː n ɛ
bruttonationalinkomst	² b r ɵ tː ʊː ² n a t ɧ ʊ n aː l ² ɪ ŋ k ɔ m s t
bry	b r yː
brygd	b r ʏ ɡ d
bryggd	b r ʏ ɡ d
brylling	² b r ʏ l ɪ ŋ
brytning	² b r yː t n ɪ ŋ
bräddfull	b r ɛ dː f ʉ l
bräde	² b r ɛː d ɛ
brännboll	b r ɛ nː b ɔ l
brådrasket	² b r oː d r a s k ɛ t
bröd	b r øː
bröd	b r øː d
bröllop	² b r œ l ɔ p
bröt	b r øː t
bu	b ʉː
bud	b ʉː d
budget	b ɵ d j ɛ t
bulle	² b ɵ l ɛ
bunt	b ɵ n t
bur	b ʉː r
burdus	b ɵ r d ʉː s
buren	² b ʉː r ɛ n
buren	¹ b ʉː r ɛ n
bus	b ʉː s
busig	b ʉː s ɪ ɡ
busksångare	b ɵ s k s ɔ ŋ a r ɛ
buss	b ɵ s
bussarong	b ɵ s a r ɔ ŋ
busstation	² b ɵ s ‿ s t a ɧ uː n
by	b yː
bygd	b ʏ ɡː d
bygga	b ʏ ɡː a
byggnadsställning	b y ɡ n a d s s t ɛ lː n ɪ ŋ
byka	² b yː ɡ a
byling	² b yː l ɪ ŋ
byrå	b yː r ɔ
byrå	b ʏ r oː
byte	b a j t
byte	b a ɪ t
byte	b yː t ɛ
byxis	¹ b ʏ k s ɪ s
bäck	b ɛ k
bäckadräkt	² b ɛ kː a d r ɛ k t
bäckna	² b ɛ k n a
bältdjur	b ɛ l t j ʉː r
bäng	b ɛ ŋ
bär	b ɛː r
bärnsten	b æː ɳ ʂ t eː n
bärs	b æ r s
bärs	b æː r s
bärsa	² b æ r s a
bävergäll	b ɛː v ɛ r j ɛ l
båda	b oː d a
både	b oː d e
både	² b oː d ɛ
båg	b oː ɡ
båge	² b oː ɡ ɛ
bål	b oː l
bår	b oː r
båt	b oː t
båt	b oː ə t
båt	b u ɔː t
båt	b ɔː t
böcker	¹ b ø kː ə r
bödel	b øː d ɛ l
bög	b øː ɡ
bögig	b øː ɡ ɪ
bögig	b øː ɡ ɪ ɡ
böjd	b œ j d
böjelse	b œ j ɛ l s ɛ
böld	b œ lː d
böner	² b øː n ɛ r
bönor	² b øː n ɛ r
bönor	² b øː n ʊ r
böra	² b øː r a
börda	² b øː r d a
bössa	² b œ sː a
c	k
c	s
c	s eː
californium	k a l ɪ f oː r n ɪ ɵ m
calla	k oː l a
carpmes	k a ɾ p m eː s
case	k ɛ j s
casen	k ɛ j s ɛ n
casens	k ɛ j s ɛ n s
caset	k ɛ j s ɛ t
casets	k ɛ j s ɛ t s
centimeter	s ɛ n t ɪ m eː t ɛ r
centralort	² s ɛ n t r ɑː l ʊ r t
centrum	² s ɛ nː t r ɵ m
cesium	s eː s ɪ ɵ m
cess	s ɛ sː
cettisångare	s ɛ t ɪ s ɔ ŋ a r ɛ
chaffis	ɧ a f ɪ s
champagne	ɧ a m p a n j
champinjon	ɧ a m p ɪ n j uː n
champinjon	ɧ a ŋ p ɪ n j ɔ ŋ
chans	t ɕ ɑ n s
chans	t ɕ ɑ ŋ s
chans	x a n s
chans	x a ŋ s
chans	ɕ a n s
chans	ɕ a ŋ s
chans	ʂ a n s
chans	ʂ a ŋ s
chans	ʃ ɑ n s
chans	ʃ ɑ ŋ s
charad	x a r ɑː d
charad	ʂ a r ɑː d
charad	ʃ ɑ r ɑː d
chark	x a r k
chark	ʂ a r k
charkuteri	ɧ a r k ɵ t ɛ r iː
charm	ɧ a r m
charmör	ɧ a r m ɶː r
chaufför	ɧ a f œː r
chaufför	ɧ ɔ f œː r
check	ɕ ɛ kː
cheddar	ɕ ɛ dː a r
chef	ɧ eː f
chef	ɧ ɛː f
chimär	ɧ ɪ m æː r
chips	ɕ ɪ p s
choklad	ɧ ʊ k l ɑː
choklad	ɧ ʊ k l ɑː d
choklad	ʂ ʊ k l ɑː
choklad	ʂ ʊ k l ɑː d
choklad	ʃ u k l ɑː d
chokladboll	ɧ ʊ k l ɑː d b ɔ l
chorizo	ɕ o r i t s o
chorizo	ɕ o r iː s o
chèvre	ɕ e v r eː
chèvre	ɕ ɛː v r
cineast	s ɪ n e a s t
ciss	s ɪ sː
citron	s ɪ t r uː n
civil	s ɪ v iː l
clown	k l a ʊ n
clownfisk	k l a ʊ n f ɪ s k
container	k ɔ n t ɛ j n ɛ r
cool	k uː l
cowboy	k a ʊ̯ b ɔ j
croissant	k r ʊ a s a ŋ
cup	k a p
cup	k ɵ p
cyberattack	s yː b ɛ r a t a k
cykel	s yː k e l
cykel	s ʏ k e l
dadel	¹ d a d ɛ l
dadel	¹ d ɑː d ɛ l
dag	d ɑː
dag	d ɑː ɡ
dagordning	d ɑː ɡ oː r d n ɪ ŋː
dags	d a k s
dags	d ɑː s
dags	d ɑː ɡ s
dagstidning	d ɑː ɡ s t iː d n ɪ ŋː
dagstidning	d ɑː ɡ s t iː n ɪ ŋː
dam	d ɑː m
damm	d a m
dammsnäppa	d a m s n ɛ p a
damspel	d ɑː m s p eː l
dan	d ɑː n
dansa	² d a nː s a
dansar	² d a nː s a r
dansk	d a n s k
danska	² d a n s k a
danskjävel	² d a n s k j ɛː v ɛ l
data	² d ɑː t a
dativ	d ɑː t iː v
dator	² d ɑː t ɔ r
dator	² d ɑː t ʊ r
december	d ɛ s ɛ m b ɛ r
decennium	d ɛ s ɛ n ɪ ɵ m
deciljon	d ɛ s ɪ l j uː n
decimeter	d ɛ s ɪ m eː t ɛ r
definition	d ɛ f ɪ n ɪ ¹ ɧ uː n
deg	d eː ɡ
dekameter	d ɛ k a m eː t ɛ r
dekis	d eː k ɪ s
dela	d eː l a
delbar	d eː l b ɑː r
delikat	d ɛ l ɪ k ɑː t
dem	d ɔ mː
dem	d ɛ mː
demonstrationståg	d eː m ʊ n s t r a ɧ uː n s t oː ɡ
demontera	d ɛ m ɔ n t eː r a
den	d ɛ nː
den	r ɛ nː
denne	d ɛ nː ɛ
dental	d ɛ n t ɑː l
derby	d æ r b ʏ
design	d ɛ s a j n
designa	d ɪ s a j n a
dess	d ɛ sː
dessa	d ɛ sː a
dessutom	d e s ʉː t ɔ m
desto	d ɛ s t ʊ
det	d eː
det	d eː t
det	d æː
det	d ɛ
det	d ɛ t
det	d ɛː
det	d ɛː t
det	r ɛ
det	ɛ t
detachement	d ɛ t a ɕ ɛ m a ŋː
detachement	d ɛ t a ɕ ɛ m ɛ n t
detektiv	d ɛ t ɛ k t iː v
detta	d ɛ tː a
diarré	d ɪ a r eː
dig	d a j
dig	d ɛ
dig	d ɛ j
dig	r ɛ
dig	r ɛ j
dig	t eː ɡ
dig	t i eː
dig	t i eː ɡ
dig	t ɛ
digestive	d i ɡ ə s t iː v ə
digitaliseringsminister	d ɪ ɡ ɪ t a l ɪ s eː r ɪ ŋ s m ɪ n ɪ s t ɛ r
dikt	d ɪ k t
dimmig	d ɪ m ɪ ɡ
din	d ɪ n
dina	² d iː n a
ding	d ɪ ŋ
direktavkastning	d i r ɛ k t a v k a s t n ɪ ŋ
direktör	d ɪ r ɛ k t øː r
dirr	d ɪ r
diskrepans	d ɪ s k r ɛ p a n s
diskrepans	d ɪ s k r ɛ p a ŋ s
diskussion	d ɪ s k ɵ ɧ uː n
diss	d ɪ sː
ditt	d ɪ t
djungel	d j ʉ ŋ e l
djungel	j ɵ ŋ ɛ l
djup	j ʉː p
djuphav	j ʉː p h ɑː v
djupt	j ʉː p t
djur	d j ʉː r
djur	j ʉː r
djärv	j ɛ r v
djävulsk	² j ɛː v ɵ l s k
djävulsk	¹ j æː v ɵ l s k
djävulsk	¹ j æː v ɵ ʂ k
dock	d ɔ kː
dog	d uː ɡ
dogg	d ɔ ɡ
doktor	d ɔ k t ɔ r
dom	d oː m
dom	d ʊ m
dop	d uː p
dopp	d ɔ pː
dopparedagen	² d ɔ p a r ɛ d ɑː n
dopparedagen	² d ɔ p a r ɛ d ɑː ɡ ɛ n
dopping	d ɔ p ɪ ŋ
dos	d uː s
dotter	² d ɔ t ɛ r
dra	d r ɑː
dragen	² d r ɑː ɡ ɛ n
dragen	¹ d r ɑː ɡ ɛ n
dragon	d r a ɡ uː n
dragspel	d r ɑː ɡ s p eː l
drake	d r ɑː k ɛ
dras	d r a s
dras	d r ɑː s
drav	d r ɑː v
dressing	d r e s i ŋ
dricka	² d r ɪ kː a
dricker	d r ɪ kː e r
drillsnäppa	d r ɪ l s n ɛ p a
drink	d r ɪ ŋ k
driva	d r iː v a
drivkraft	d r iː v k r a f t
drog	d r oː ɡ
drog	d r uː ɡ
drogpåverkad	² d r ɔː ɡ p ɔː v eː r k a d
drogs	d r oː ɡ s
drogs	d r uː ɡ s
dromedar	d r ʊ m ɛ d ɑː r
droppen	d r ɔ pː ɛ n
drottning	² d r ɔ tː n ɪ ŋ
drul	d r ʉː l
dryck	d r ʏ k
dryg	d r yː ɡ
dräkt	d r ɛ k t
dränera	d r ɛ ² n eː r a
dräng	d r ɛ ŋː
dröm	d r œ mː
drös	d r øː s
du	d ɵ
du	d ʉː
dubb	d ɵ bː
dubbel	d ɵ b ɛ l
dubbelbeckasin	d ɵ b ɛ l b ɛ k a s iː n
dubbelgångare	d ɵ b ɛ l ɡ ɔ ŋ a r ɛ
dubiös	d ɵ b ɪ ¹ øː s
duk	d ʉː k
duktig	² d ɵ kː t ɪ ɡ
dum	d ɵ mː
dumbom	d ɵ m b ʊ m
dumhuvud	d ɵ m h ɵ v ɵ d
dun	d ʉː n
duodeciljon	d ʉ o d ɛ s ɪ l j uː n
dusch	d ɵ ɧː
duscha	² d ɵ ɕ a
duscha	² d ɵ ɧ a
dussin	² d ɵ s ɪ n
dvärg	d v ɛ r j
dvärgalåt	² d v ɛ r j a l oː t
dvärgbeckasin	d v ɛ r j b ɛ k a s iː n
dvärgkanadagås	d v ɛ ɾ j k a n a d a ɡ oː s
dvärgmus	d v ɛ r j m ʉː s
dvärgmås	d v ɛ r j m oː s
dvärgskarv	d v ɛ r j s k a r v
dvärgspov	d v ɛ r j s p uː v
dvärgsumphöna	d v ɛ ɾ j s ɵ m p h øː n a
dvärgsångare	d v ɛ r j s ɔ ŋ a r ɛ
dygn	d ʏ ŋ n
dygna	d ʏ ŋː n a
dyngsur	d ʏ ŋ s ʉː r
dyr	d yː r
dysfori	d y s f u r iː
dysterkvist	d ʏ s t ɛ r k v ɪ s t
dä	d æː
däka	² d ɛː k a
däng	d ɛ ŋ
där	d ɛː r
då	d oː
dåd	d oː d
dålig	² d oː l ɪ
dålig	² d oː l ɪ ɡ
dåre	d ôː r ɛ
dårå	¹ d oː r ɔ
dö	d øː
död	d øː
död	d øː d
döda	² d øː d a
dödprat	² d øː d p r ɑː t
dödprat	² d øː p r ɑː t
dödshot	² d œ t s h uː t
dölja	d œ l j a
döv	d øː v
e	eː
e	ɛ
e	ɛː
ed	eː d
efor	e f oː r
efter	ɛ f t ɛ r
eftersom	ɛ f t ɛ r s ɔ m
egentlig	ɛ j ɛ n t l ɪ
egentlig	ɛ j ɛ n t l ɪ ɡ
egentlig	ɛ j ɛ ŋ k l ɪ
egentlig	ɛ j ɛ ŋ k l ɪ ɡ
egentligen	ɪ j ɛ n t l ɪ ɛ n
egentligen	ɪ j ɛ n t l ɪ ɡ ɛ n
egentligen	ɪ j ɛ ŋ k l ɪ ɛ n
egentligen	ɪ j ɛ ŋ k l ɪ ɡ ɛ n
egg	ɛ ɡː
egga	² ɛ ɡː a
egoist	ɛ ɡ ʊ ɪ s t
einsteinium	a j n s t a j n ɪ ɵ m
eiss	e ɪ sː
eiss	ɛ j s
ek	eː k
ekivok	ɛ k ɪ v oː k
ekmes	eː k m eː s
eko	eː k ʊ
ekollon	² eː k ɔ l ɔ n
eksångare	eː k s ɔ ŋ a r ɛ
ekvation	ɛ k v a ɧ uː n
ekvator	² ɛ k v ɑː t ʊ r
el	eː l
elak	eː l a k
elak	eː l ɑː k
elbehov	eː l b ɛ h uː v
elbil	eː l b iː l
elcykel	eː l s ʏ k ɛ l
eld	ɛ l d
eldar	ɛ l d a r
elefant	ɛ l ɛ f a nː t
elefanta	ɛ l ɛ f a n t a
elegant	ɛ l ɛ ɡ a n t
elektron	ɛ l ɛ k t r oː n
eleonorafalk	ɛ l ɛ ɔ n oː r a f a l k
elfte	ɛ l f t ɛ
eller	ɛ l ɛ r
elva	ɛ l v a
emigrant	ɛ m ɪ ɡ r a n t
emulera	ɛ m ɵ l eː r a
en	eː n
en	ɛ nː
en	ɛ ŋː
enastående	² eː n a s t oː ɛ n d ɛ
enda	² ɛ n d a
energi	ɛ nː ə r ɧ iː
enfaldig	eː n f a l d ɪ
enfaldig	eː n f a l d ɪ ɡ
engagemang	a ŋ ɡ a ɧ ɛ m a ŋ
engagemang	ɛ ŋ ɡ a ɧ ɛ m a ŋ
engagera	a ŋ ɡ a ɧ eː r a
engagera	ɛ ŋ ɡ a ɧ eː r a
engelska	e ŋ e l s k a
engelsman	ɛ ŋ ɛ l s m a n
engelsmän	ɛ ŋ ɛ l s m ɛ n
enhetlig	eː n h eː t l ɪ ɡ
enig	² eː n ɪ
enig	² eː n ɪ ɡ
enkel	ɛ ŋ k ɛ l
enkelbeckasin	ɛ n k ɛ l b ɛ k a s iː n
enkom	² eː n k o m
ensam	² ɛ nː s a mː
ensamhet	eː n s a m h eː t
ensamhet	ɛ n s a m h eː t
entrecôte	a n t r ɛ k oː
entrecôte	a n t r ɛ k oː t
entrecôte	a ŋ t r ɛ k oː
entrecôte	a ŋ t r ɛ k oː t
entré	a n t r eː
entré	a ŋ t r eː
entusiasm	a n t ɵ s ɪ a s m
entusiasm	a ŋ t ɵ s ɪ a s m
entusiasm	ɛ n t ɵ s ɪ a s m
epiker	eː p ɪ k ɛ r
er	eː r
era	eː r a
erbium	ɛ r b ɪ ɵ m
erinra	eː r ɪ n r a
erkänna	eː r ɕ ɛ n n a
erkänt	eː r ɕ ɛ n t
erkänt	ɛː r ɕ ɛ n t
errata	e r ɑː t a
errata	ɛ r ɑː t a
esperanto	ɛ s p ə r a n t ɔ
esperanto	ɛ s p ə r a n t ʊ
ess	ɛ sː
estniska	ɛ s t n ɪ s k a
ett	ɛ t
euro	¹ j uː r ʊ
euro	¹ ɛ v r ʊ
euro	¹ ɛ͡ɵ r ʊ
europium	ɛ r uː p ɪ ɵ m
europé	ɛ r ʊ p eː
event	ɛ v ɛ n t
evighetsmaskin	² eː v ɪ h eː t s m a ɧ iː n
evighetsmaskin	² eː v ɪ ɡ h eː t s m a ɧ iː n
exceptionell	ɛ k s ɛ p ɧ ʊ n ɛ l
experiment	ɛ k s p r ɪ m ɛ n t
experiment	ɛ k s p ɛ r ɪ m ɛ n t
extremhöger	ɛ k s t r ɛ m ² h øː ɡ ɛ r
extremvänster	ɛ k s t r ɛ m v ɛ nː s t ɛ r
fabrik	f a b r iː k
facit	f ɑː s ɪ t
fackverk	f a k v ɛ r k
fader	² f ɑː d ɛ r
falang	f a l a ŋ
falk	f a l k
falla	² f a lː a
fallskärm	f a l ɧ ɛ r m
falsk	f a l s k
familj	f a m ɪ lː j
fan	f aː a n
fan	f aː aː n
fan	f aː n
fan	f ɑː n
fan	f ɛː n
fanskap	² f aː n s k ɑː p
fantastisk	f a n ¹ t a s t ɪ s k
fantisera	f a n t ɪ s eː r a
far	f ɑː r
fargalt	² f ɑː r ɡ a l t
farinsocker	f a r iː n s ɔ k ɛ r
farlig	² f ɑː r l ɪ
farlig	² f ɑː r l ɪ ɡ
fars	f ɑː r s
fartkamera	f ɑː ʈ k ɑː m ɛ r a
farväl	f a r v æː l
farväl	f a r v ɛː l
farväl	f ɑː r v æː l
farväl	f ɑː r v ɛː l
fascist	f a ɧ ɪ sː t
fatabur	² f ɑː t a b ʉː r
fattig	f a t ɪ ɡ
februari	f ɛ b r ɵ ɑː r ɪ
fejs	f ɛ j s
fel	f eː l
fem	f ɛ m
femtal	f ɛ m t ɑː l
femte	f ɛ m t ɛ
femtio	² f ɛ m t ɪ
femtio	² f ɛ m t ɪ ʊ
femtiöring	f ɛ m t ɪ œː r ɪ ŋ
femton	f ɛ m t ɔ n
fena	f eː n a
fes	f eː s
fess	f ɛ sː
fest	f ɛ sː t
fet	f eː t
fett	f ɛ t
ficka	f ɪ kː a
fiende	² f iː ɛ n d ɛ
fientlig	f ɪ ɛ n t l ɪ
fientlig	f ɪ ɛ n t l ɪ ɡ
figur	f ɪ ɡ ʉː r
fik	f iː k
fika	² f iː k a
fikarast	² f iː k a r a s t
fil	f iː l
filippintörnskata	f ɪ l ɪ p iː n t øː r n s k ɑː t a
filmatisera	f ɪ l m a t ɪ s eː r a
filmjölk	f iː l m j œ l k
filosof	f ɪ l ɔ s oː f
filosof	f ɪ l ʊ s oː f
