آ	äː
ض	z wᵊ
ض	zᵊ
ط	t̪ oː eː
ط	t̪ᵊ
طرحاں	t̪ ə ɾ ãː ˨
طوطا	t̪̤ oː t̪̤ äː
طوفان	t̪ ʊ f ɑː nᵊ
ظ	z
ظ	z oː eː
ع	aː
ع	eː
ع	oː
ع	ɛː n
ع	˥˩
ع	˩˥
ع	∅
عالم	ɑː l ə mᵊ
عرب	ə ɾ ə b
عربی	ə ɾ ə̆ b iː
عرق	ʕ ə ɾ ə q
عزت	ɪ z z ə t̪
عشق	ɪ ʃ k
عید	iː d̪ ə̆
عیسی	iː s s aː
غ	ɣ ɛː n
غذا	ɣ ə z äː
غریب	ɡ ə ɾ iː b
غریب	ɣ ə ɾ iː b
غلط	ɣ ə l ə t̪
غلطی	ɣ ə l ə t̪ iː
غم	ɣ ə m
غنیمت	ɡ ə n iː m ə t̪
غنیمت	ɣ ə n iː m ə t̪
ـاء	aː ə̯
ـدا	d̪ äː
ـنا	n äː
ـنا	ɳ äː
ـڑ	ɽ ə̆
ـڑی	ɽ iː
ف	f
ف	f eː
ف	pʰ
فائدہ	f äː j ɪ d̪ äː
فتح	f ə ˩˥ t eː
فجر	f ə d͡ʒ ə ɾ
فجر	f ə d͡ʒː ə ɾ
فقرا	f ʊ k ɾ äː
فوڑ	f oː ɽ ə̆
فیصل	f ɛː s ə l
ق	k
ق	k äː f
ق	k äː pʰ
ق	q
ق	q äː f
قافلہ	q äː f l äː
قافلہ	q äː f ɪ l äː
قسطنطنیہ	q ʊ sᵊ t̪ ʊ̽ nᵊ t̪ ʊ n i j aː
قسمت	q ɪ s m ə t̪
قلم	k ə l ə m ə̆
قہوہ	k ä ɦ ʋ äː
قہوہ	k äː ɦ ʋ äː
قہوہ	k äː ˩˥ ʋ äː
قہوہ	q äː ˩˥ ʋ äː
قیامت	q ɪ j äː m ə t̪ᵊ
ل	l
ل	l äː m
لارا	l äː ɾ äː
لاری	l äː ɾ iː
لاش	l äː ʃᵊ
لال	l äː l
لام	l ɑː m
لانبھا	l äː ˦ m b äː
لانگھا	l äː ˦ ŋ ɡ äː ˨
لاکھا	l äː kʰ äː
لاگا	l äː ɡ äː
لاہنا	l äː ˦ ɳ äː
لاہنا	l äː ˦ ʊ̯ ɳ äː
لت	l ə t̪ t̪ ə̆
لتاں	l ə t̪ t̪ ä̃ː
لتر	l ɪ t̪ t̪ ə ɾ ə̆
لتھنا	l ə t̪ t̪ʰᵊ ɳ äː
لداخ	l ə d̪ d̪ äː x
لدنا	l ə d̪ d̪ ɳ äː
لدنا	l ʊ d̪ d̪ ɳ äː
لفظ	l ə f z ə̆
لفظ	l ə f ə z ə̆
لفظ	l ə f̬ ə z ə̆
لفظ	l ə pʰ ə d͡ʒ ə̆
للی	l ʊ l l iː
لما	l ə m m äː
لمى	l ə mː iː
لن	l ə nː ə̆
لنگھانا	l ə ˦ ŋ ɡ äː ɳ äː
لنگھانا	l ə ˦ ŋ ɡ äː ʊ̯ ɳ äː
لنگھنا	l ə ˦ ŋ ɡ ə̆ ɳ äː
لوسنا	l uː sᵊ ɳ äː
لولھا	l uː ˩˥ lˑ äː
لون	l uː nᵊ
لون	l uː ɳᵊ
لوڑ	l oː ɽ ə̆
لوک	l oː kᵊ
لوکی	l oː k iː
لوں	l ũː
لڈو	l ə ɖ̚ ɖ uː
لڑنا	l ə ɽᵊ n ɑː
لک	l ə k k
لکانا	l ʊ k äː ɳ äː
لکانا	l ʊ k äː ʊ̯ ɳ äː
لکنا	l ʊ kᵊ ɳ äː
لھاسہ	l aː s ˥˩ s aː
لہنا	l ɛ ˦ ɳ äː
لہندا	l ɛ ˦ n d̪ äː
لہور	l oː ˨ ɾ ə̆
لہور	l ɔː ˨ ɾ ə̆
لیتا	l i t̪ t̪ aː
لیتا	l iː t̪ t̪ aː
لینا	l ɛː ɳ ɑː
لیکھ	l eː kʰᵊ
لیکھا	l eː kʰ äː
لیہہ	l iː ˥
م	m
م	m iː m
م	m ə̆
مائیاں	m äː iː j ä̃ː
مارنا	m aː ɾ ə̆ n aː
مارنا	m aː ɾ ə̆ ɳ aː
ماس	m äː sᵊ
ماسٹر	m äː s ʈ ə ɾ
ماسی	m äː s iː
ماسی	m äː sː iː
مالی	m äː lː iː
مان	m äː ɳᵊ
مانچسٹر	m ä̃ː n t͡ʃ ə s̪ ʈ ə ɾᵊ
مانچسٹر	m ä̃ː t͡ʃ ə s̪ ʈ ə ɾᵊ
مانہہ	m ä̃ː ˦
ماڑا	m äː ɽ äː
ماکھی	m äː kʰ iː
ماگھر	m aː ˩˥ ɡ ɡ ɪ ɾ
ماں	m ä̃ː
ماہ	m äː ˥
ماہی	m äː ɦ iː
ماہیا	m äː ɦ iː äː
متيرا	m ə t̪ iː ɾ äː
متھا	m ə t̪ t̪ʰ äː
متھنا	m ɪ t̪ t̪ʰ ɳ äː
مجھ	m ə ˦ d͡ʒːᵊ
محل	m ɛː ˦ l ə̆
محلہ	m ə ˨ l l äː
مذہب	m ə ˦ z ə b
مرنا	m ə ɾ n äː
مزید	m ə z iː d̪
مسئلہ	m ə s ə l äː
مسافر	m uː s äː f ə ɾ
مسعود	m ə s uː d̪
مسکان	m ʊ s k äː n
مسکان	m ʊ s k äː ɳ
مسیت	m ə s iː t̪ ə̆
مشغول	m ə ʃ ɣ uː l
مشہور	m ə ʃ uː ˨ ɾ ə̆
مصالحہ	m ə̆ s aː ˩˥ l l ɪ̆ aː
مصر	m ɪ s ə ɾ ə̆
مل	m ʊ lː ə̆
ملوک	m ə l uː k
ملک	m ʊ l ə k ə̆
ملکہ	m ə l ɪ k äː
منانا	m ə n äː ɳ äː
منجی	m ə ɲ d͡ʒ iː
مننا	m ə n n ɳ äː
منٹ	m ɪ n ə ʈ ʈᵊ
منٹ	m ɪ ɳ ʈᵊ
منڈا	m ʊ ɳ ɖ äː
منڈی	m ə ɳ ɖ iː
منگ	m ə ŋ ɡ
منگنا	m ə ŋ ɡ ɳ äː
موتر	m uː t̪ ə ɾ ə̆
مورچہ	m oː ɾ t͡ʃ äː
موری	m oː ɾ iː
مونہہ	m ũː ˩˥
موڈھا	m oː ˦ ɖˑ äː
مٹھ	m ə ʈʰ
مٹھا	m ɪ ʈ ʈʰ äː
مٹی	m ɪ ʈ ʈ iː
مچھ	m ʊ t͡ʃ t͡ʃʰ
مڈھ	m ʊ ˦ ɖː ə̆
مکانا	m ʊ k äː ɳ äː
مکنا	m ʊ kː ə̆ ɳ äː
مکنا	m ʊ kː ɳ äː
مگر	m ə ɡ ə ɾ
مگرمچھ	m ə ɡ ə ɾ m ə t͡ʃʰː
مگرمچھ	m ə ɡ ə ɾ m ə t͡ʃʰː ə̆
مگرمچھ	m ə ɡ ə ɾ ə̆ m ə t͡ʃʰː
مگرمچھ	m ə ɡ ə ɾ ə̆ m ə t͡ʃʰː ə̆
مھینس	m ɛ̃ː ˥˩ s
مہنا	m eː ˦ ɳ äː
مہکانا	m ɛ ɦᵊ k ä ɳ äː
مہینہ	m ə̆ iː ˥˩ n n aː
میرا	m eː ɾ äː
میز	m eː d͡ʒ ə̆
میز	m eː z ə̆
مینوں	m ɛː n ũː
مینہہ	m ĩː ˩˥
میکا	m eː k äː
میں	m ɛ̃ː
ن	n
ن	n uː n
نئیں	n ə ˩˥ ĩː
نار	n äː ɾ
نارنگی	n äː ɾ ə ŋ ɡ iː
ناس	n äː sᵊ
نال	n aː l ɪ̆
نال	n aː ɭ ɪ̆
نان	n äː n
نانا	n äː n äː
نانی	n äː n iː
ناڑ	n äː ɽ ə̆
نبے	n ə bː eː
ندی	n ə d̪ iː
نرگن	n ɪ ɾ ɡ ʊ ɳ
نسنا	n ə sːᵊ ɳ äː
نعت	n aː ˩˥ t
نم	n ɪ̃ mːᵊ
نماز	n ə m äː z
نماشاں	n ə m äː ʃ ʃ ä̃ː
ننان	n ə n ä̃ː ɳ ə̆
نواں	n ə ʋ ä̃ː
نونا	n ɪ ʋ ə̆ ɳ aː
نوں	n ũː
نچانا	n ə t͡ʃ ä ɳ äː
نچنا	n ə t̪ t͡ʃ ɳ äː
نچھ	n ɪ t͡ʃːʱ ə̆
نڑ	ɳ
نڑ	ɽ̃
نڑنوے	n ə ɽ ɪ n nᵊ ʋ eː
نک	n ə kː
نکر	n ʊ k k ə ɾᵊ
نکما	n ə k ə mː äː
نکما	n ɪ k ə mː äː
نگاہ	n ɪ ɡ aː ˩˥
نگر	n ə ɡ ə ɾ
نگر	n ɪ ɡ ɡ ʊ̽ ɾ
نگھ	n ɪ ˦ ɡ ɡ ə̆
نہیں	n ə ɦ ĩː
نہیں	n ə ˩˥ ĩː
نیارا	n ɪ j ɑː ɾ ɑː
نیانا	n ɪ j äː ɳ äː
نیر	n iː ɾᵊ
نیل	n iː l
نین	n ɛː ɳ
نیندر	n iː n d̪ ə ɾᵊ
نینہہ	n ĩː ˥
نیواں	n iː ʋ ä̃ː
نیں	n ɛ̃ː
نیں	n ẽː
نے	n eː
وار	ʋ ɑː ɾ
وارنا	ʋ äː ɾᵊ n äː
واری	ʋ äː ɾ iː
وال	ʋ äː ɭᵊ
وانگ	ʋ äː n ɡ
واٹ	ʋ ɑː ʈᵊ
واڑنا	ʋ äː ɽᵊ n äː
واہر	ʋ äː ˦ ɾᵊ
واہوا	ʋ äː ˦ ʋ äː
واہگرو	ʋ ɑː h ǽ ɡ ʊ r uː
وتر	ʋ ə t̪ t̪ ə ɾᵊ
وجانا	ʋ ə d͡ʒ äː ɳ äː
وجانا	ʋ ə d͡ʒ äː ʊ̯ ɳ äː
وجنا	ʋ ə d͡ʒˑᵊ ɳ äː
ودھر	ʋ ə ˦ d̪ d̪ ə ɾ
ودھیا	ʋ ə ˩˥ d̪ i j aː
ور	v ə rᵊ
ورتن	ʋ ə ɾ t̪ ə ɳ
ورگا	ʋ ə ɾᵊ ɡ äː
ورھا	ʋ ə ˦ ɾ äː
وس	ʋ ɪ sːᵊ
وسدا	ʋ ə s s d̪ äː
وسنا	ʋ ə s s ɳ äː
وسو	ʋ ə s s oː
وسو	ʋ ɪ s s uː
وشانو	ʋ ɪ ʃ äː ɳ uː
وعدہ	ʋ äː d̪ äː
ول	ə l l ɪ̆
ول	ʋ ə l l ɪ̆
ولوں	ʋ ə l l õː
ونجنا	ʋ ə̃ ɲ d͡ʒ ə ɳ aː
ونڈنا	ʋ ə ɳ ɖ ə ɳ äː
ونگ	ʋ ə ŋ ɡ
ووہٹی	ʋ ɔː ˦ ʈ iː
وٹ	ʋ ə ʈː
وٹا	ʋ ə ʈ äː
وٹا	ʋ ə ʈ ʈ äː
وٹانا	ʋ ə ʈ äː ɳ äː
وٹاندرا	ʋ ə ʈ ä̃ n d ɾ äː
وچارہ	ʋ ɪ t͡ʃ äː ɾ ä
وچاری	ʋ ɪ t͡ʃ äː ɾ iː
وچاریاں	ʋ ɪ t͡ʃ äː ɾ iː ä̃ː
وچاریاں	ʋ ɪ t͡ʃ äː ɾ ɪ ä̃ː
وچارے	ʋ ɪ t͡ʃ äː ɾ eː
وڈا	ʋ ə ɖː äː
وڑنا	ʋ ə ɽ n äː
وکرماجیت	b ɪ k ɾ ə m äː d͡ʒ iː t̪ ə̆
وکرماجیت	ʋ ɪ k ɾ ə m äː d͡ʒ iː t̪ ə̆
وکھ	ʋ ə k kʱᵊ
وکھانا	ʋ ə x äː ˦ ɳ äː
وکھانا	ʋ ɪ kʰ äː ɳ äː
وکھانا	ʋ ɪ x äː ˦ ɳ äː
وکھت	ʋ ə kʰ ə t̪ ə̆
وکھرا	ʋ ə kʰˑᵊ ɾ äː
وکیل	ʋ ə k iː l
وگنا	ʋ ə ɡ ɳ äː
وہ	ʋ ɪ ˩˥
وہ	ʋ ɪ ˩˥ʱ ʊ
وہوں	ʋ ɪ ɦ ũː
وہوں	ʋ ɪ ˩˥ ũː
وہوں	ʋ ɪ ˩˥ ũː ˥˩
وی	ʋ iː
ویاہ	ʋ j äː ˦
ویاہ	ʋ ɪ̆ äː ˦
ویاہنا	ʋ j äː ˦ ɳ äː
ویاہنا	ʋ ɪ̆ j äː ˦ ɳ äː
ویران	ʋ iː ɾ äː n
ویرن	ʋ ɛː ɾ ə ɳ
ویروا	ʋ eː ɾ ʋ äː
ویرویاں	ʋ eː ɾ ʋ ɪ ä̃ː
ویرویوں	ʋ eː ɾ ʋ ɪ õː
ویروے	ʋ eː ɾ ʋ eː
ویری	ʋ ɛː ɾ iː
ویریا	ʋ ɛː ɾ iː j äː
ویریاں	ʋ ɛː ɾ iː j ä̃ː
ویریو	ʋ ɛː ɾ iː j oː
ویس	ʋ eː sᵊ
ویلا	ʋ eː l äː
ویلھا	ʋ e ˩˥ː l l äː
ویڑھا	ʋ eː ˦ ɽ äː
ویکھنا	ʋ eː kʰ ə̆ ɳ äː
ویہت	ʋ eː ˦ t̪
ویہہ	ʋ iː ˩˥
ٹ	ʈ
ٹ	ʈ eː
ٹبر	ʈ ə b b ə ɾᵊ
ٹرنا	ʈ ʊ ɾ n äː
ٹنڈا	ʈ ʊ̃ ɳ ɖ äː
ٹنگنا	ʈ ə ŋ ɡ ɳ äː
ٹولنا	ʈ oː lᵊ ɳ äː
ٹوٹی	ʈ uː ʈ iː
ٹوپی	ʈ oː p iː
ٹٹا	ʈ ə ʈ ʈ äː
ٹٹنا	ʈ ʊ ʈ ʈᵊ ɳ äː
ٹپنا	ʈ ə p p ɳ äː
ٹکنا	ʈ ɪ k ɳ äː
ٹھڈا	ʈʰ ə ɖ ɖ äː
ٹھیٹھ	ʈʰ eː ʈʰ ə̆
ٹہکنا	ʈ ɛ ɦ ɛ ˦ kᵊ ɳ äː
ٹہکنا	ʈ ɛː ˦ kᵊ ɳ äː
ٹینشن	ʈ ɛː n ʃ ə n
ٹیچا	ʈ iː t͡ʃ äː
ٹیچی	ʈ ɛː t͡ʃ iː
پ	p
پ	p eː
پات	p äː t̪ᵊ
پاری	p äː ɾ iː
پاسکو	p äː s k uː
پانی	p äː ɳ iː
پاوا	p äː ʋ äː
پاہنا	p äː ˦ ɳ äː
پتر	p ə t̪ t̪ᵊ ɾ ə̆
پتر	p ʊ t̪ t̪ ə ɾᵊ
پتل	p ɪ t̪ː ə ɭᵊ
پدم	p ə d m ə̆
پدم	p ə d ə m ə̆
پدھر	p ə ˦ d̪ d̪ ə ɾ
پر	p ə ɾ
پراندا	p ə ɾ äː n d̪ äː
پراگا	p ə ɾ äː ɡ äː
پربھو	p ə̆ ɾ ə ˩˥ b uː
پربھو	pᵊ ɾ ə ˩˥ b uː
پردیس	p ə ɾᵊ d̪ eː sᵊ
پرونٹھا	p ə ɾ ɔ̃ː ʈʰ äː
پرونٹھا	p ɾ ɔ̃ː ʈʰ äː
پرچھاواں	p ə ɾ t͡ʃ ä ʋ ä̃ː
پشور	p ɪ ʃ ɔː ɾ ə̆
پلیٹھا	p ə l eː ʈʰ äː
پنا	p ɪ nː äː
پنج	p ə ɲ d͡ʒ
پنجاب	p ə ɲ d͡ʒ äː b
پنجابن	p ə ɲ d͡ʒ aː b b ɪ̽ ɳ
پنجابی	p ə ɲ d͡ʒ aː b b iː
پنجابیت	p ə̃ d͡ʒ aː b b i j a t
پنڈ	p ɪ ɳ ɖ ə̆
پوتھا	p oː t̪ʰ äː
پوتھی	p oː t̪ʰ iː
پوجا	p uː d͡ʒ äː
پونڈ	p ɔː ɳ ɖ ə̆
پوڑی	p ɔː ɽ iː
پٹکا	p ə ʈ ʈ ə̆ k aː
پٹھ	p ɪ ʈ ʈʰ
پٹھا	p ʊ ʈ ʈʰ äː
پٹھان	p ə ʈʰ äː ɳ ə̆
پچھان	p ə t͡ʃʰ äː ɳ
پچھنا	p ʊ t͡ʃ t͡ʃʰ ɳ äː
پڑھائی	p ə ɽ ɦ äː iː
پکھا	p ə kːʰ äː
پھل	pʰ ʊ lː ə̆
پھٹنا	pʰ ə ʈ ɳ äː
پھپھی	pʰ ʊ p pʰ iː
پھپھیر	pʰ ʊ p pʰ eː ɾᵊ
پھپھیرا	pʰ ʊ pʰ eː ɾ äː
پھڑنا	pʰ ə ɽᵊ n äː
پھیر	f eː ɾ ə̆
پھیر	pʰ eː ɾ ə̆
پہاڑ	p ə̆ aː ˥˩ ɽ
پہاڑی	p ə aː ˥˩ ɽ iː
پیار	p j äː ɾᵊ
پیدل	p ɛː d̪ ə l
پیر	p iː ɾ
پیر	p ɛː ɾ
پیرس	p ɛː ɾ ə sᵊ
پیشیں	p eː ʃ ʃ ĩː
پینا	p iː ɳ äː
پینا	p ɛː ɳ äː
پینڈو	p eː ɳˑ ɖ uː
پینہٹھ	p ɛ̃ː ˩˥ ə ʈʰ ə̆
پیو	p e oː
پیو	p ɪ oː
پیڑ	p eː ɽᵊ
پیڑ	p iː ɽᵊ
پیڑ	p ɛː ɽᵊ
پیکا	p eː k äː
ٿ	ʈ
ٿ	ʈ eː
چ	t͡ʃ
چ	t͡ʃ eː
چاہ	t͡ʃ áː
چترا	t͡ʃ ɪ t̪ː ə ɾ äː
چترا	t͡ʃ ɪ t̪ᵊ ɾ äː
چر	t͡ʃ ɪ ɾᵊ
چشمہ	t͡ʃ ə ʃ m äː
چلنا	t͡ʃ ə l l ɳ äː
چمونا	t͡ʃ ə m uː ɳ äː
چمڑنا	t͡ʃ ɪ̃ mˑ ə ɽᵊ n äː
چن	t͡ʃ ə nːᵊ
چنائی	t͡ʃ o ɳ äː iː
چنائی	t͡ʃ ʊ ɳ äː iː
چنگا	t͡ʃ ə ŋ ɡ äː
چنی	t͡ʃ ʊ n n iː
چوداں	t ʃ ɔː d̪ ä̃ː
چول	t͡ʃ ɔː ɭᵊ
چول	t͡ʃ ə ʋ ə lᵊ
چونڈھی	t͡ʃ ũː ˦ ɳ ɖ iː
چوڑا	t͡ʃ ɔː ɽ äː
چوہا	t͡ʃ uː ˩˥ äː
چوہا	t͡ʃ uː ˩˥ ɦ äː
چٹا	t͡ʃ ɪ ʈ ʈ äː
چپیڑ	t͡ʃ ə p eː ɽ ə̆
چڑھدا	t͡ʃ ə ɽ ˦ d̪ äː
چکڑ	t͡ʃ ɪ kː ə ɽ ə̆
چھال	t͡ʃʰ ä l ə̆
چھال	t͡ʃʰ ä ɭ ə̆
چھانو	t͡ʃʰ ãː o̯
چھاں	t͡ʃʰ ãː
چھت	t͡ʃʰ ə t̪ː ə̆
چھتر	t͡ʃʰ ɪ t̪ t̪ ə ɾ ə̆
چھنچھر	t͡ʃʰ ə̆ n ɪ t t͡ʃʰ ə ɾ
چھنچھن	t͡ʃʰ ə n ɪ̆ t͡ʃʰ ə n
چھنچھن	t͡ʃʰ ə̆ n ɪ t t͡ʃʰ ə n
چھٹی	t͡ʃʰ ʊ ʈ ʈ iː
چھڈنا	t͡ʃʰ ə ɖ ə̆ ɳ äː
چھڈنا	t͡ʃʰ ə ɖː ə̆ ɳ äː
چھڑا	t͡ʃʰ ə ɽ äː
چھیتی	t͡ʃʰ eː t̪ iː
چھیکڑ	cʰ eː k ə ɽᵊ
چہ	t͡ʃ ə̆
چہ	‿ t͡ʃᵊ
چہرہ	t͡ʃ eː ˥ ɾ äː
چیس	t͡ʃ ɛː s sᵊ
ڈ	ɖ
ڈ	ɖ aː l
ڈاڈھا	ɖ äː ˦ ɖ äː
ڈاڈھا	ɖ äː ˦ ɖː äː
ڈبدا	ɖ ʊ b d̪ ɳ äː
ڈبنا	ɖ ʊ b b ɳ äː
ڈراوا	ɖ ə ɾ äː ʋ äː
ڈراوا	ɖᵊ ɾ äː ʋ äː
ڈسنا	ɖ ə sˑᵊ ɳ äː
ڈلھنا	ɖ ʊ ˦ lː ɳ äː
ڈنگا	ɖ ɪ ŋ ɡ äː
ڈنگانا	ɖ ə̃ ŋ ɡ äː ɳ äː
ڈنگانا	ɖ ə̃ ŋ ɡ äː ʊ̯ ɳ äː
ڈنگنا	ɖ ə̃ ŋ ɡᵊ ɳ äː
ڈورا	ɖ oː ɾ äː
ڈڈو	ɖ ə ɖː uː
ڈگنا	ɖ ɪ ɡ ɡ ɳ äː
ڈھانا	ʈ äː ˥˩ ɳ äː
ڈھلا	ʈ ɪ ˨ l l äː
ڈھول	ɖʱ oː lᵊ
ڈھول	ʈ oː ˨ ɭ ə̆
ڈھولا	ʈ oː ˨ l äː
ڈھونا	ʈ oː ˨ ɳ äː
ڈھونڈنا	ʈ ũː ˨ ɳ ɖᵊ ɳ äː
ڈھڈ	ʈ ɪ ˨ ɖ ɖ ə̆
ڈھکواں	ʈ ʊ k ˩ ʋ ä̃ː
ڈھیر	ɖʰ eː ɾ ə̆
ڈھیر	ʈ eː ˥˩ ɾ ə̆
ڈھینا	ʈ ɛː ˥˩ ɳ äː
ڈین	ɖ ɛː ɳ ə̆
ڈیگر	ɖ iː ɡ ə ɾ ə̆
ڑ	ə ɽ eː
ڑ	ɽ
ڑ	ɽ eː
ژ	s eː
ژ	z eː
ژ	ʒ eː
ک	k
ک	k äː f
ک	k ʊ
ک	k ʊ̽
کاغذ	k äː ɣ ə z
کالا	k aː ɭ aː
کانا	k äː ɳ äː
کانھ	k äː ˦ nᵊ
کاپی	k äː p iː
کاگ	k aː ɡ
کاگا	k aː ɡ ɡ aː
کاں	k ä̃ː
کاہدا	k äː ˦ d̪ äː
کبا	k ə b b äː
کتا	k ʊ t̪ t̪ äː
کتورا	k ə t̪ uː ɾ äː
کتی	k ʊ t̪ t̪ iː
کتیب	k ə t̪ eː b ə̆
کجل	k ə d d͡ʒ ə ɭ
کجل	k ə d̪ d͡ʒ ə l
کدھی	k ə ˦ d̪ iː
کرلانا	k ʊ ɾ l äː ɳ äː
کرلانا	k ʊ ɾ l äː ʊ̯ ɳ äː
کرنا	k ə r n ä
کرنا	k ə ɾ n ä
کرنا	k ə ɾ ə̆ n ä
کرنا	k ə ɾ ə̆ ɲ äː
کرنٹ	k ə̆ ɾ ə ɳ ʈ
کشتی	k ə ʃ t̪ iː
کفتاں	k ʊ fᵊ t̪ ä̃ː
کلچا	k ʊ l t͡ʃ äː
کلی	k ʊ l l iː
کم	k ə mːᵊ
کمبنا	k ə̃ m b ə̆ ɳ äː
کمہیار	k ʊ m ĭ j äː ˨ ɾ
کن	k ə nː
کنبنا	k ə̃ m b ə̆ ɳ äː
کندھ	k ə ˦ n d̪ᵊ
کنڈ	k ə ɳ ɖ
کنڈلی	k ʊ̃ ɳ ɖᵊ l iː
کنڈی	k ʊ ɳ ɖ iː
کنگھا	k ə ŋ ˥ ɡ äː
کوئی	k oː iː
کورا	k oː ɾ äː
کول	k oː l
کول	k oː ɭ
کوڑ	k uː ɽᵊ
کوک	k uː kᵊ
کٹنا	k ʊ ʈ ʈᵊ ɳ ɑː
کڈا	k ɪ ɖ ɖ äː
کڈھنا	k ə ɖ ˨˦ ɖ ə̆ ɳ äː
کڑا	k ʊ ɽ ɑː
کڑچھی	k ə ɽ t͡ʃʰ iː
کڑی	k ʊ ɽ iː
کڑیاں	k ʊ ɽ iː j ä̃ː
ککر	k ə k k ə ɾ
ککڑ	k ʊ k k ə ɽ ə̆
ککڑی	k ʊ k ə̆ ɽ iː
ککڑی	k ʊ kː ə̆ ɽ iː
کھبا	kʰ ə bː äː
کھجل	kʰ ə d̪ d͡ʒ ə l
کھجور	kʰ ə d͡ʒ uː ɾ ə̆
کھجور	x ə d͡ʒ uː ɾ ə̆
کھرنا	kʰ ʊ ɾ n äː
کھرک	kʰ ʊ ɾ kᵊ
کھسم	kʰ ə s ə m ə̆
کھلارا	kʰ ə l̪ äː ɾ äː
کھلارا	kʰ ɪ l̪ äː ɾ äː
کھلارنا	kʰ ə l äː ɾᵊ n äː
کھلارنا	kʰ ɪ l äː ɾᵊ n äː
کھلونا	kʰ ə l oː ɳ äː
کھنجھنا	kʰ ʊ ˦ ɲ d͡ʒᵊ ɳ äː
کھنگھ	kʰ ə ˦ ŋ ɡ ə̆
کھوتا	kʰ oː t̪ː äː
کھچنا	kʰ ɪ t̪ t͡ʃː ə̆ ɳ äː
کھچنا	kʰ ʊ t̪ t͡ʃː ə̆ ɳ äː
کھڈونا	kʰ ə ɖ oː ɳ äː
کھڈونا	kʰ ɪ ɖ ɔː ɳ äː
کھڑکی	kʰ ɪ ɽ ə̆ k iː
کھیڈ	kʰ eː ɖᵊ
کھیڈنا	kʰ eː ɖ ɳ äː
کہنا	k ɛː ˦ ɳ äː
کہڑا	k eː ˩˥ ɽ aː
کہیر	k ʊ ɦ iː ɾᵊ
کیس	k eː sᵊ
کیلا	k eː l äː
کینیڈا	k ɛ n eː ɖ ɖ aː
کیوں	k j õː
کیوں	k ɪ õː
کیہہ	k iː ˥
گ	ɡ
گ	ɡ äː f
گ	ɡ äː pʰ
گانا	ɡ äː ɳ äː
گاں	ɡ ä̃ː
گدڑ	ɡ ɪ d̪ d̪ ə ɽᵊ
گراں	ɡ ɪ ɾ ä̃ː
گراں	ɡᵊ ɾ ä̃ː
گلی	ɡ ə l iː
گن	ɡ ʊ ɳ
گنجھلدار	ɡ ʊ ɳ d͡ʒ ə ɭ ə̆ d aː ɾ ə̆
گنجیت	ɡ ʊ n d͡ʒ iː t̪
گنڈھ	ɡ ə ɳ ɖ ˥ ə̆
گنڈھا	ɡ ə ˩˥ ɳ ɖ aː
گنڈھنا	ɡ ə ˥ ɳ ɖ ɳ äː
گنھنا	ɡ ʊ̃ ˦ nː ɳ äː
گوانڈھ	ɡ ə ʋ ä̃ː ˦ ɳ ɖ ə̆
گوانڈھ	ɡ ʊ ä̃ː ˦ ɳ ɖ ə̆
گوانڈھ	ɡ ʊ ʋ ä̃ː ˦ ɳ ɖ ə̆
گوانڈھی	ɡ ə ʋ ä̃ː ˦ ɳ ɖ iː
گوانڈھی	ɡ ʊ ä̃ː ˦ ɳ ɖ iː
گوانڈھی	ɡ ʊ ʋ ä̃ː ˦ ɳ ɖ iː
گوت	ɡ oː t̪ᵊ
گوتی	ɡ oː t̪ iː
گوشت	ɡ oː ʃ
گوشت	ɡ oː ʃ ʃ ə t̪
گونگلو	ɡ oː ŋ ɡ l uː
گونہہ	ɡ ũː ˩˥
گوڈا	ɡ oː ɖ äː
گوہ	ɡ ɔː ˥
گٹھا	ɡ ə ʈʰː äː
گڈی	ɡ ə ɖ ɖ iː
گڈی	ɡ ʊ ɖ ɖ iː
گگن	ɡ ə ɡ ə nᵊ
گھاہ	k äː ˩
گھدھا	ɡ ɪ ˦˨˦ d aː
گھر	k ə ˨ ɾᵊ
گھراں	k ə ˨ ɾ ä̃
گھروں	ɡʱ ə ɾ õː
گھلنا	k ə ˨ l lᵊ ɳ äː
گھلنا	k ʊ ˨ lᵊ ɳ äː
گھمنا	k ʊ ˨ m m ɳ äː
گھننا	ɡ ɪ ˦˨ n ə̆ ɳ aː
گھنٹا	ɡ̊ ə ˥˩ ɳ ʈ äː
گھنڈ	k ʊ̃ ˨ ɳ ɖ ə̆
گھوڑا	k oː ˥˩ ɽ äː
گھڑیال	ɡ̊ ə ɽ ə̆ j aː ˥˩ l
گھینٹا	ɡ̊ ɛː ˥˩ ɳ ʈ aː
گھیو	ɡ j oː ˦˨
گھیو	ɡʱ j oː
گھیو	ɡ̊ j oː ˥˩
گھیو	ɡ̊ ɪ ˥˩ oː
گھے	ɡ̊ eː ˥˩
گینڈا	ɡ ɛː ɳ ɖ aː
گیڑا	ɡ eː ɽ äː
ہار	ɦ äː ɾ
ہارنا	ɦ äː ɾ n äː
ہان	ɦ äː n
ہان	ɦ äː ɳ
ہانہہ	ɦ ä̃ː ɦ
ہانی	ɦ äː n iː
ہانی	ɦ äː ɳ iː
ہانیا	ɦ äː ɳ iː j äː
ہتھ	ɦ ə t̪ːʰ ə̆
ہتھاں	ɦ ə t̪ t̪ʰ ä̃ː
ہدوانہ	ɦ ə d ə̆ ʋ aː ɳ aː
