abeag	ɑː b æ͜ɑː ɣ
bedrifende	b e d r iː v e n d e
bedrifenne	b e d r iː v e n n e
bedrifon	b e d r i v o n
bedrinc	b e d r i ŋ k
bedrincan	b e d r i ŋ k ɑ n
bedrincaþ	b e d r i ŋ k ɑ θ
bedrince	b e d r i ŋ k e
bedrincende	b e d r i ŋ k e n d e
bedrincenne	b e d r i ŋ k e n n e
bedrincst	b e d r i ŋ k s t
bedrincþ	b e d r i ŋ k θ
bedrog	b e d r oː ɣ
bedrunce	b e d r u ŋ k e
bedruncen	b e d r u ŋ k e n
bedufan	b e d uː v ɑ n
bedufaþ	b e d uː v ɑ θ
bedufe	b e d uː v e
bedufe	b e d u v e
bedufon	b e d u v o n
bedulfe	b e d u ɫ v e
bedulfon	b e d u ɫ v o n
bedyderian	b e d y d e rˠ j ɑ n
befangen	b e f ɑ ŋ ɡ e n
befealdan	b e f æ͜ɑ ɫ d ɑ n
befealdaþ	b e f æ͜ɑ ɫ d ɑ θ
befealde	b e f æ͜ɑ ɫ d e
befealden	b e f æ͜ɑ ɫ d e n
befealdian	b e f æ͜ɑ ɫ d i ɑ n
befealh	b e f æ͜ɑ ɫ x
befeall	b e f æ͜ɑ ɫ
befeallan	b e f æ͜ɑ ɫ ɫ ɑ n
befeallaþ	b e f æ͜ɑ ɫ ɫ ɑ θ
befealle	b e f æ͜ɑ ɫ ɫ e
befeallen	b e f æ͜ɑ ɫ ɫ e n
befeallende	b e f æ͜ɑ ɫ ɫ e n d e
befeallenne	b e f æ͜ɑ ɫ ɫ e n n e
befeng	b e f eː ŋ ɡ
befenge	b e f eː ŋ ɡ e
befengen	b e f eː ŋ ɡ e n
befengon	b e f eː ŋ ɡ o n
befeold	b e f e͜oː ɫ d
befeoldon	b e f e͜oː ɫ d o n
befeolh	b e f e͜o ɫ x
befeoll	b e f e͜oː ɫ
befeollon	b e f e͜oː ɫ ɫ o n
befer	b e v e r
beflagen	b e f l ɑ ɣ e n
befleag	b e f l æ͜ɑː ɣ
befleogan	b e f l e͜oː ɣ ɑ n
befleogaþ	b e f l e͜oː ɣ ɑ θ
befleoge	b e f l e͜oː ɣ e
befleogende	b e f l e͜oː ɣ e n d e
befleogenne	b e f l e͜oː ɣ e n n e
beflog	b e f l oː ɣ
beflogen	b e f l o ɣ e n
beflogon	b e f l oː ɣ o n
befluge	b e f l u ɣ e
beflugen	b e f l u ɣ e n
beflugon	b e f l u ɣ o n
befor	b e v o r
beforancweþan	b e f o r ɑ n k w e ð ɑ n
befrugne	b e f r u ɣ n e
befrugnen	b e f r u ɣ n e n
befrugnon	b e f r u ɣ n o n
befulge	b e f u ɫ ɣ e
befulgon	b e f u ɫ ɣ o n
befyld	b e f yː ɫ d
befylde	b e f yː ɫ d e
befylþ	b e f yː ɫ θ
begang	b e ɡ ɑ ŋ ɡ
beganga	b e ɡ ɑ ŋ ɡ ɑ
begangan	b e ɡ ɑ ŋ ɡ ɑ n
begangas	b e ɡ ɑ ŋ ɡ ɑ s
begangaþ	b e ɡ ɑ ŋ ɡ ɑ θ
begange	b e ɡ ɑ ŋ ɡ e
begangen	b e ɡ ɑ ŋ ɡ e n
begangende	b e ɡ ɑ ŋ ɡ e n d e
begangenne	b e ɡ ɑ ŋ ɡ e n n e
beganges	b e ɡ ɑ ŋ ɡ e s
begangum	b e ɡ ɑ ŋ ɡ u m
begann	b e ɡ ɑ n
begeall	b e j æ͜ɑ ɫ
begealp	b e j æ͜ɑ ɫ p
begeng	b e j eː ŋ ɡ
begenge	b e j eː ŋ ɡ e
begengon	b e j eː ŋ ɡ o n
begengst	b e ɡ e ŋ ɡ s t
begengþ	b e ɡ e ŋ ɡ θ
begiellan	b e j i͜y ɫ ɫ ɑ n
begielp	b e j i͜y ɫ p
begielpan	b e j i͜y ɫ p ɑ n
begielpaþ	b e j i͜y ɫ p ɑ θ
begielpe	b e j i͜y ɫ p e
begieng	b e j i͜yː ŋ ɡ
begiengon	b e j i͜yː ŋ ɡ o n
begiett	b e j i͜y t
begilpst	b e j i ɫ p s t
begilpþ	b e j i ɫ p θ
begnagan	b e ɡ n ɑ ɣ ɑ n
begnagaþ	b e ɡ n ɑ ɣ ɑ θ
begnage	b e ɡ n ɑ ɣ e
begnagen	b e ɡ n ɑ ɣ e n
begnagenne	b e ɡ n ɑ ɣ e n n e
begnog	b e ɡ n oː ɣ
begnogon	b e ɡ n oː ɣ o n
begnornodon	b e ɡ n o rˠ n o d o n
begolpen	b e ɡ o ɫ p e n
begong	b e ɡ o ŋ ɡ
begrafan	b e ɡ r ɑ v ɑ n
begrafaþ	b e ɡ r ɑ v ɑ θ
begrafe	b e ɡ r ɑ v e
begrafen	b e ɡ r ɑ v e n
begrafende	b e ɡ r ɑ v e n d e
begrafenne	b e ɡ r ɑ v e n n e
begreosan	b e ɡ r e͜oː z ɑ n
begrofe	b e ɡ r oː v e
begrofon	b e ɡ r oː v o n
begulpon	b e ɡ u ɫ p o n
begyrd	b e ɡ y rˠ d
begyrdan	b e ɡ y rˠ d ɑ n
begyrdaþ	b e ɡ y rˠ d ɑ θ
begyrde	b e ɡ y rˠ d e
begyrded	b e ɡ y rˠ d e d
begyrdende	b e ɡ y rˠ d e n d e
begyrdest	b e ɡ y rˠ d e s t
begyrdeþ	b e ɡ y rˠ d e θ
begyrt	b e ɡ y rˠ t
behabban	b e h ɑ b b ɑ n
behabbaþ	b e h ɑ b b ɑ θ
behæbbe	b e h æ b b e
behæbben	b e h æ b b e n
behæbbende	b e h æ b b e n d e
behæbbenne	b e h æ b b e n n e
behæfd	b e h æ v d
behæfde	b e h æ v d e
behæfden	b e h æ v d e n
behæfdest	b e h æ v d e s t
behæfdon	b e h æ v d o n
behæfst	b e h æ f s t
behæfþ	b e h æ f θ
behæs	b e h æː s
behæsa	b e h æː z ɑ
behæse	b e h æː z e
behæsum	b e h æː s u m
behæt	b e h æː t
behætst	b e h æː t s t
behafa	b e h ɑ v ɑ
behangen	b e h ɑ ŋ ɡ e n
behat	b e h ɑː t
behatan	b e h ɑː t ɑ n
behataþ	b e h ɑː t ɑ θ
behate	b e h ɑː t e
behaten	b e h ɑː t e n
behatende	b e h ɑː t e n d e
behatland	b e h ɑː t l ɑ n d
behatlande	b e h ɑː t l ɑ n d e
behatlandes	b e h ɑː t l ɑ n d e s
beheafdian	b e h æ͜ɑː v d i ɑ n
beheafdiende	b e h æ͜ɑː v d i e n d e
beheafdienne	b e h æ͜ɑː v d i e n n e
beheafdod	b e h æ͜ɑː v d o d
beheafdode	b e h æ͜ɑː v d o d e
beheafdodon	b e h æ͜ɑː v d o d o n
beheafdung	b e h æ͜ɑː v d u ŋ ɡ
beheafdunge	b e h æ͜ɑː v d u ŋ ɡ e
beheald	b e h æ͜ɑ ɫ d
behealdan	b e h æ͜ɑ ɫ d ɑ n
behealdaþ	b e h æ͜ɑ ɫ d ɑ θ
behealde	b e h æ͜ɑ ɫ d e
behealden	b e h æ͜ɑ ɫ d e n
behealdende	b e h æ͜ɑ ɫ d e n d e
behealdenne	b e h æ͜ɑ ɫ d e n n e
beheawan	b e h æ͜ɑː w ɑ n
beheawaþ	b e h æ͜ɑː w ɑ θ
beheawen	b e h æ͜ɑː w e n
behefe	b e h eː v e
behefre	b e h eː v r e
behega	b e h e ɣ ɑ
behegian	b e h e ɣ i ɑ n
behehst	b e h eː x s t
beheht	b e h eː x t
behehton	b e h eː x t o n
behehþ	b e h eː x θ
behelmian	b e h e ɫ m i ɑ n
Behemas	b e h eː m ɑ s
beheng	b e h eː ŋ ɡ
behenge	b e h eː ŋ ɡ e
behengon	b e h eː ŋ ɡ o n
beheold	b e h e͜oː ɫ d
beheolde	b e h e͜oː ɫ d e
beheonan	b e h e͜o n ɑ n
beheow	b e h e͜oː w
beheowe	b e h e͜oː w e
beheowon	b e h e͜oː w o n
behet	b e h eː t
beheton	b e h eː t o n
behienan	b e h i͜y n ɑ n
behiewþ	b e h i͜yː w θ
behindan	b e h i n d ɑ n
behinon	b e h i n o n
behionan	b e h i͜u n ɑ n
behlad	b e l̥ ɑː d
behlæstan	b e l̥ æ s t ɑ n
behlæste	b e l̥ æ s t e
behlæsted	b e l̥ æ s t e d
behleapan	b e l̥ æ͜ɑː p ɑ n
behleape	b e l̥ æ͜ɑː p e
behleapen	b e l̥ æ͜ɑː p e n
behleapende	b e l̥ æ͜ɑː p e n d e
behlehhan	b e l̥ e ç x ɑ n
behlehhe	b e l̥ e ç x e
behleop	b e l̥ e͜oː p
behleopon	b e l̥ e͜oː p o n
behlidan	b e l̥ iː d ɑ n
behlidenne	b e l̥ i d e n n e
behliehhan	b e l̥ i͜y ç ç ɑ n
behliehhaþ	b e l̥ i͜y ç x ɑ θ
behliehhe	b e l̥ i͜y ç x e
behliehhende	b e l̥ i͜y ç x e n d e
behliehþ	b e l̥ i͜y ç θ
behliepþ	b e l̥ i͜yː p θ
behlog	b e l̥ oː ɣ
behloge	b e l̥ oː ɣ e
behlogen	b e l̥ oː ɣ e n
behlogon	b e l̥ oː ɣ o n
behloh	b e l̥ oː x
behof	b e h oː f
behofa	b e h oː v ɑ
behofast	b e h oː v ɑ s t
behofaþ	b e h oː v ɑ θ
behofe	b e h oː v e
behofes	b e h oː v e s
behofian	b e h oː v i ɑ n
behofiaþ	b e h oː v i ɑ θ
behofiende	b e h oː v i e n d e
behofienne	b e h oː v i e n n e
behofige	b e h oː v i j e
behofigen	b e h oː v i j e n
behoflic	b e h oː v l iː t͡ʃ
behoflico	b e h oː v l iː t͡ʃ o
behofod	b e h oː v o d
behofode	b e h oː v o d e
behofoden	b e h oː v o d e n
behofodest	b e h oː v o d e s t
behofodon	b e h oː v o d o n
behofum	b e h oː v u m
behogadnes	b e h o ɣ ɑ d n e s
behogadnesse	b e h o ɣ ɑ d n e s s e
behogast	b e h o ɣ ɑ s t
behogaþ	b e h o ɣ ɑ θ
behogde	b e h o ɣ d e
behogden	b e h o ɣ d e n
behogdest	b e h o ɣ d e s t
behogdon	b e h o ɣ d o n
behogian	b e h o ɣ i ɑ n
behogiaþ	b e h o ɣ i ɑ θ
behogiende	b e h o ɣ i e n d e
behogige	b e h o ɣ i j e
behogodest	b e h o ɣ o d e s t
behogodon	b e h o ɣ o d o n
behoh	b e h oː x
behon	b e h oː n
behongen	b e h o ŋ ɡ e n
behonne	b e h oː n n e
behorsian	b e h o rˠ s i ɑ n
behorsode	b e h o rˠ z o d e
behreas	b e r̥ æ͜ɑː s
behreop	b e r̥ e͜oː p
behreopon	b e r̥ e͜oː p o n
behreosan	b e r̥ e͜oː z ɑ n
behreosaþ	b e r̥ e͜oː z ɑ θ
behreowsung	b e r̥ e͜oː w z u ŋ ɡ
behreowsunga	b e r̥ e͜oː w z u ŋ ɡ ɑ
behreowsunge	b e r̥ e͜oː w z u ŋ ɡ e
behreowsungum	b e r̥ e͜oː w z u ŋ ɡ u m
behriman	b e r̥ iː m ɑ n
behrimed	b e r̥ iː m e d
behropan	b e r̥ oː p ɑ n
behropende	b e r̥ oː p e n d e
behroren	b e r̥ o r e n
behrorene	b e r̥ o r e n e
behruron	b e r̥ u r o n
behwearf	b e ʍ æ͜ɑ rˠ f
behweorfan	b e ʍ e͜o rˠ v ɑ n
behweorfaþ	b e ʍ e͜o rˠ v ɑ θ
behweorfe	b e ʍ e͜o rˠ v e
behweorfende	b e ʍ e͜o rˠ v e n d e
behwierfþ	b e ʍ i͜y rˠ f θ
behworfen	b e ʍ o rˠ v e n
behwurfon	b e ʍ u rˠ v o n
behycgan	b e h y d d͡ʒ ɑ n
behycgaþ	b e h y d d͡ʒ ɑ θ
behycge	b e h y d d͡ʒ e
behycgen	b e h y d d͡ʒ e n
behycgende	b e h y d d͡ʒ e n d e
behycgenne	b e h y d d͡ʒ e n n e
behyd	b e h yː d
behydan	b e h yː d ɑ n
behydaþ	b e h yː d ɑ θ
behydde	b e h yː d d e
behyddest	b e h yː d d e s t
behyddon	b e h yː d d o n
behyde	b e h yː d e
behyded	b e h yː d e d
behyden	b e h yː d e n
behydeþ	b e h yː d e θ
behyge	b e h y j e
behygst	b e h y j s t
behygþ	b e h y j θ
behyt	b e h yː t
behytt	b e h yː t
beirn	b e i rˠ n
beirnan	b e i rˠ n ɑ n
beirnaþ	b e i rˠ n ɑ θ
beirne	b e i rˠ n e
beirnende	b e i rˠ n e n d e
beirnenne	b e i rˠ n e n n e
beirnst	b e i rˠ n s t
beirnþ	b e i rˠ n θ
beladung	b e l ɑː d u ŋ ɡ
beladunge	b e l ɑː d u ŋ ɡ e
belæfan	b e l æː v ɑ n
belæfaþ	b e l æː v ɑ θ
belæfde	b e l æː v d e
belæfdon	b e l æː v d o n
belæfe	b e l æː v e
belæfed	b e l æː v e d
belæfen	b e l æː v e n
belæfenne	b e l æː v e n n e
belæge	b e l æː ɣ e
belægon	b e l æː ɣ o n
beleag	b e l æ͜ɑː ɣ
belecgan	b e l e d d͡ʒ ɑ n
belecgaþ	b e l e d d͡ʒ ɑ θ
belecge	b e l e d d͡ʒ e
belefan	b e l eː v ɑ n
beleogan	b e l e͜oː ɣ ɑ n
beleogaþ	b e l e͜oː ɣ ɑ θ
beleoge	b e l e͜oː ɣ e
beleogende	b e l e͜oː ɣ e n d e
beleogenne	b e l e͜oː ɣ e n n e
beleosan	b e l e͜oː z ɑ n
beleose	b e l e͜oː z e
belgan	b e ɫ ɣ ɑ n
belgaþ	b e ɫ ɣ ɑ θ
belge	b e ɫ ɣ e
belicgan	b e l i d d͡ʒ ɑ n
belicgaþ	b e l i d d͡ʒ ɑ θ
belicge	b e l i d d͡ʒ e
belicgende	b e l i d d͡ʒ e n d e
beliefan	b e l i͜yː v ɑ n
beliefaþ	b e l i͜yː v ɑ θ
beliefdest	b e l i͜yː v d e s t
beliefdon	b e l i͜yː v d o n
beliefed	b e l i͜yː v e d
beliefende	b e l i͜yː v e n d e
beliefenne	b e l i͜yː v e n n e
beliefeþ	b e l i͜yː v e θ
belifan	b e l iː v ɑ n
belife	b e l iː v e
belife	b e l i v e
belifon	b e l i v o n
belisnaþ	b e l i z n ɑ θ
belisnian	b e l i z n i ɑ n
belisnod	b e l i z n o d
belisnode	b e l i z n o d e
bellan	b e ɫ ɫ ɑ n
belle	b e ɫ ɫ e
bellende	b e ɫ ɫ e n d e
belltacen	b e ɫ t ɑː k e n
belltacna	b e ɫ t ɑː k n ɑ
belltacne	b e ɫ t ɑː k n e
belltacnes	b e ɫ t ɑː k n e s
belltacnu	b e ɫ t ɑː k n u
belltacnum	b e ɫ t ɑː k n u m
belog	b e l oː ɣ
belogon	b e l oː ɣ o n
belt	b e ɫ t
beltas	b e ɫ t ɑ s
beltes	b e ɫ t e s
beltum	b e ɫ t u m
beluge	b e l u ɣ e
belugon	b e l u ɣ o n
belyfan	b e l yː v ɑ n
belyfaþ	b e l yː v ɑ θ
belyfde	b e l yː v d e
belyfdest	b e l yː v d e s t
belyfdon	b e l yː v d o n
belyfe	b e l yː v e
belyfed	b e l yː v e d
belyfende	b e l yː v e n d e
belyfenne	b e l yː v e n n e
belyfest	b e l yː v e s t
belyfeþ	b e l yː v e θ
belyrtan	b e l y rˠ t ɑ n
bemancode	b e m ɑ ŋ k o d e
bemeldian	b e m e ɫ d i ɑ n
bemeldod	b e m e ɫ d o d
bemiþan	b e m iː ð ɑ n
bemiþaþ	b e m iː ð ɑ θ
bemiþe	b e m iː ð e
bemiþe	b e m i ð e
bemiþen	b e m iː ð e n
bemiþen	b e m i ð e n
bemiþende	b e m iː ð e n d e
bemiþenne	b e m iː ð e n n e
bemiþon	b e m i ð o n
bemurn	b e m u rˠ n
bemurnan	b e m u rˠ n ɑ n
bemurnaþ	b e m u rˠ n ɑ θ
bemurnde	b e m u rˠ n d e
bemurndon	b e m u rˠ n d o n
bemurne	b e m u rˠ n e
bemurned	b e m u rˠ n e d
bemurnende	b e m u rˠ n e n d e
bemurnest	b e m u rˠ n e s t
bemurneþ	b e m u rˠ n e θ
bemyrnst	b e m y rˠ n s t
bemyrnþ	b e m y rˠ n θ
beneoþan	b e n e͜o ð ɑ n
benn	b e n
beoceorl	b e͜oː t͡ʃ e͜o rˠ l
beodclaþa	b e͜oː d k l ɑː ð ɑ
beodclaþas	b e͜oː d k l ɑː ð ɑ s
beodclaþe	b e͜oː d k l ɑː ð e
beodclaþes	b e͜oː d k l ɑː ð e s
beodclaþum	b e͜oː d k l ɑː ð u m
beodern	b e͜oː d e rˠ n
beodfers	b e͜oː d f e rˠ s
beodferse	b e͜oː d f e rˠ z e
beodferses	b e͜oː d f e rˠ z e s
beodgereordu	b e͜oː d j e r e͜o rˠ d u
beodgereordum	b e͜oː d j e r e͜o rˠ d u m
beodhrægl	b e͜oː d r̥ æ j l
beodhrægla	b e͜oː d r̥ æ j l ɑ
beodhrægle	b e͜oː d r̥ æ j l e
beodhrægles	b e͜oː d r̥ æ j l e s
beodhræglum	b e͜oː d r̥ æ j l u m
Beofa	b e͜oː v ɑ
beofer	b e͜o v e r
beofor	b e͜o v o r
beofung	b e͜o v u ŋ ɡ
beogang	b e͜oː ɡ ɑ ŋ ɡ
beoganga	b e͜oː ɡ ɑ ŋ ɡ ɑ
beogangas	b e͜oː ɡ ɑ ŋ ɡ ɑ s
beogange	b e͜oː ɡ ɑ ŋ ɡ e
beoganges	b e͜oː ɡ ɑ ŋ ɡ e s
beogangum	b e͜oː ɡ ɑ ŋ ɡ u m
beogol	b e͜oː ɣ o l
beonn	b e͜oː n
beorc	b e͜o rˠ k
beorcan	b e͜o rˠ k ɑ n
beorcende	b e͜o rˠ k e n d e
beorg	b e͜o rˠ ɣ
beorgan	b e͜o rˠ ɣ ɑ n
beorgan	b e͜o rˠ j ɑ n
beorgaþ	b e͜o rˠ ɣ ɑ θ
beorgaþ	b e͜o rˠ j ɑ θ
beorge	b e͜o rˠ ɣ e
beorgeþ	b e͜o rˠ j e θ
Beorgforda	b e͜o rˠ ɣ f o rˠ d ɑ
beorh	b e͜o rˠ x
beorhleod	b e͜o rˠ x l e͜oː d
beorht	b e͜o rˠ x t
beorhta	b e͜o rˠ x t ɑ
beorhtan	b e͜o rˠ x t ɑ n
beorhtast	b e͜o rˠ x t ɑ s t
Beorhtdena	b e͜o rˠ x t d e n ɑ
Beorhtdene	b e͜o rˠ x t d e n e
Beorhtdenum	b e͜o rˠ x t d e n u m
beorhte	b e͜o rˠ x t e
beorhtena	b e͜o rˠ x t e n ɑ
beorhtes	b e͜o rˠ x t e s
Beorhtfriþ	b e͜o rˠ x t f r i θ
Beorhtfriþe	b e͜o rˠ x t f r i ð e
Beorhtfriþes	b e͜o rˠ x t f r i ð e s
Beorhtgifu	b e͜o rˠ x t j i f u
Beorhtgisl	b e͜o rˠ x t j iː z l
Beorhtgyþ	b e͜o rˠ x t ɣ yː θ
Beorhtheah	b e͜o rˠ x t h æ͜ɑː x
Beorhthelm	b e͜o rˠ x t h e ɫ m
Beorhthere	b e͜o rˠ x t h e r e
beorhthwil	b e͜o rˠ x t ʍ iː l
beorhtian	b e͜o rˠ x t i ɑ n
beorhtiaþ	b e͜o rˠ x t i ɑ θ
beorhtlice	b e͜o rˠ x t l iː t͡ʃ e
beorhtm	b e͜o rˠ x t m
Beorhtmær	b e͜o rˠ x t m æː r
Beorhtmund	b e͜o rˠ x t m u n d
beorhtne	b e͜o rˠ x t n e
beorhtnes	b e͜o rˠ x t n e s
beorhtnessa	b e͜o rˠ x t n e s s ɑ
beorhtnesse	b e͜o rˠ x t n e s s e
beorhtnessum	b e͜o rˠ x t n e s s u m
Beorhtnoþ	b e͜o rˠ x t n oː θ
beorhtod	b e͜o rˠ x t o d
beorhtode	b e͜o rˠ x t o d e
beorhtor	b e͜o rˠ x t o r
beorhtost	b e͜o rˠ x t o s t
beorhtra	b e͜o rˠ x t r ɑ
beorhtre	b e͜o rˠ x t r e
Beorhtric	b e͜o rˠ x t r iː k
Beorhtsige	b e͜o rˠ x t s i j e
Beorhtswiþ	b e͜o rˠ x t ɣ yː θ
Beorhtþryþ	b e͜o rˠ x t θ r yː θ
beorhtum	b e͜o rˠ x t u m
Beorhtweald	b e rˠ x t w æ͜ɑ ɫ d
Beorhtweard	b e͜o rˠ x t w æ͜ɑ rˠ d
Beorhtwine	b e͜o rˠ x t w i n e
Beorhtwulf	b e͜o rˠ x t w u ɫ f
Beorhtwynn	b e͜o rˠ x t w y n
beorma	b e͜o rˠ m ɑ
beorn	b e͜o rˠ n
beorna	b e͜o rˠ n ɑ
Beorna	b e͜o rˠ n ɑ
beornan	b e͜o rˠ n ɑ n
beorncyning	b e͜o rˠ n k y n i ŋ ɡ
Beorne	b e͜o rˠ n e
Beornfriþ	b e͜o rˠ n f r i θ
Beornheard	b e͜o rˠ n h æ͜ɑ rˠ d
Beornhere	b e͜o rˠ n h e r e
Beornica	b e͜o rˠ n i k ɑ
Beornice	b e͜o rˠ n i t͡ʃ e
Beornicum	b e͜o rˠ n i k u m
Beornmod	b e͜o rˠ n m oː d
Beornmund	b e͜o rˠ n m u n d
Beornræd	b e͜o rˠ n r æː d
Beornric	b e͜o rˠ n r iː t͡ʃ
Beornstan	b e͜o rˠ n s t ɑː n
Beornþryþ	b e͜o rˠ n θ r yː θ
Beornþryþe	b e͜o rˠ n θ r yː ð e
Beornweald	b e͜o rˠ n w æ͜ɑ ɫ d
Beornwig	b e͜o rˠ n w iː j
Beornwulf	b e͜o rˠ n w u ɫ f
beorscealc	b e͜oː r ʃ æ͜ɑ ɫ k
beorscealca	b e͜oː r ʃ æ͜ɑ ɫ k ɑ
beorscealcas	b e͜oː r ʃ æ͜ɑ ɫ k ɑ s
beorscealce	b e͜oː r ʃ æ͜ɑ ɫ k e
beorscealces	b e͜oː r ʃ æ͜ɑ ɫ k e s
beorscealcum	b e͜oː r ʃ æ͜ɑ ɫ k u m
beorscipe	b e͜oː rˠ ʃ i p e
beorþegu	b e͜oː r θ e ɣ u
beorþorþinen	b e͜o rˠ ð o r θ iː n e n
beosu	b e͜o z u
Beowulf	b e͜oː w u ɫ f
Beowulfe	b e͜oː w u ɫ v e
Beowulfes	b e͜oː w u ɫ v e s
beowyrt	b e͜oː w y rˠ t
bepæcung	b e p æː t͡ʃ u ŋ ɡ
bepæcunge	b e p æː t͡ʃ u ŋ ɡ e
berætt	b e r æː t
bercan	b e rˠ k ɑ n
bereærn	b e r e æ rˠ n
bereærna	b e r e æ rˠ n ɑ
bereærne	b e r e æ rˠ n e
bereærnu	b e r e æ rˠ n u
bereærnum	b e r e æ rˠ n u m
bereafa	b e r æ͜ɑː v ɑ
bereafaþ	b e r æ͜ɑː v ɑ θ
bereafian	b e r æ͜ɑː v i ɑ n
bereafiaþ	b e r æ͜ɑː v i ɑ θ
bereafiende	b e r æ͜ɑː v i e n d e
bereafienne	b e r æ͜ɑː v i e n n e
bereafige	b e r æ͜ɑː v i j e
bereafigende	b e r æ͜ɑː v i j e n d e
bereafigenne	b e r æ͜ɑː v i j e n n e
bereafod	b e r æ͜ɑː v o d
bereafode	b e r æ͜ɑː v o d e
bereafoden	b e r æ͜ɑː v o d e n
bereafodest	b e r æ͜ɑː v o d e s t
bereafodon	b e r æ͜ɑː v o d o n
bereofan	b e r e͜oː v ɑ n
bergan	b e rˠ j ɑ n
berge	b e rˠ j e
berht	b e rˠ x t
Berht	b e rˠ x t
berhta	b e rˠ x t ɑ
berhtan	b e rˠ x t ɑ n
berhte	b e rˠ x t e
berhtena	b e rˠ x t e n ɑ
berhtes	b e rˠ x t e s
Berhtfriþ	b e rˠ x t f r i θ
Berhtfriþe	b e rˠ x t f r i ð e
Berhtfriþes	b e rˠ x t f r i ð e s
Berhtgils	b e rˠ x t j iː ɫ s
Berhthelm	b e rˠ x t h e ɫ m
Berhthelme	b e rˠ x t h e ɫ m e
Berhthelmes	b e rˠ x t h e ɫ m e s
Berhthun	b e rˠ x t h uː n
berhtne	b e rˠ x t n e
Berhtnoþ	b e rˠ x t n oː θ
berhtra	b e rˠ x t r ɑ
Berhtræd	b e rˠ x t r æː d
berhtre	b e rˠ x t r e
berhtum	b e rˠ x t u m
Berhtwulf	b e rˠ x t w u ɫ f
berian	b e rˠ j ɑ n
berie	b e rˠ j e
beritt	b e r iː t
Bernehere	b e rˠ n e h e r e
berofen	b e r o v e n
berstan	b e rˠ s t ɑ n
berstaþ	b e rˠ s t ɑ θ
berste	b e rˠ s t e
bersteð	b e rˠ s t e θ
berstende	b e rˠ s t e n d e
bersteþ	b e rˠ s t e θ
berufon	b e r u v o n
berwinde	b e rˠ w i n d e
besæh	b e s æ ç
besanc	b e s ɑ ŋ k
besang	b e s ɑ ŋ ɡ
bescierþ	b e ʃ i͜y rˠ θ
bescofen	b e ʃ o v e n
bescufan	b e ʃ uː v ɑ n
bescufaþ	b e ʃ uː v ɑ θ
bescufe	b e ʃ uː v e
bescufe	b e ʃ u v e
bescufende	b e ʃ uː v e n d e
bescufenne	b e ʃ uː v e n n e
bescufon	b e ʃ u v o n
bescyldian	b e ʃ y ɫ d i ɑ n
bescyldigian	b e ʃ y ɫ d i ɣ i ɑ n
beseald	b e s æ͜ɑ ɫ d
besealde	b e s æ͜ɑ ɫ d e
besealden	b e s æ͜ɑ ɫ d e n
besealdest	b e s æ͜ɑ ɫ d e s t
besealdon	b e s æ͜ɑ ɫ d o n
besecgan	b e s e d d͡ʒ ɑ n
besecgaþ	b e s e d d͡ʒ ɑ θ
besecge	b e s e d d͡ʒ e
besecgen	b e s e d d͡ʒ e n
besecgende	b e s e d d͡ʒ e n d e
besecgenne	b e s e d d͡ʒ e n n e
besege	b e s eː ɣ e
besegen	b e s eː ɣ e n
besegon	b e s eː ɣ o n
besegun	b e s eː ɣ u n
beseh	b e s e ç
besellan	b e s e ɫ ɫ ɑ n
beselle	b e s e ɫ ɫ e
besellende	b e s e ɫ ɫ e n d e
besellenne	b e s e ɫ ɫ e n n e
besema	b e z e m ɑ
besengan	b e s e n d͡ʒ ɑ n
besenge	b e s e n d͡ʒ e
besenged	b e s e n d͡ʒ e d
besiehst	b e s i͜y ç s t
besiehþ	b e s i͜y ç θ
besierwan	b e s i͜y rˠ w ɑ n
besierwaþ	b e s i͜y rˠ w ɑ θ
besierwende	b e s i͜y rˠ w e n d e
besinc	b e s i ŋ k
besincan	b e s i ŋ k ɑ n
besincaþ	b e s i ŋ k ɑ θ
besince	b e s i ŋ k e
besincende	b e s i ŋ k e n d e
besincenne	b e s i ŋ k e n n e
besincst	b e s i ŋ k s t
besincþ	b e s i ŋ k θ
besingan	b e s i ŋ ɡ ɑ n
besingaþ	b e s i ŋ ɡ ɑ θ
besinge	b e s i ŋ ɡ e
besingende	b e s i ŋ ɡ e n d e
besingenne	b e s i ŋ ɡ e n n e
besingst	b e s i ŋ ɡ s t
besingþ	b e s i ŋ ɡ θ
besitt	b e s i t
besliehst	b e s l i͜y ç s t
besliehþ	b e s l i͜y ç θ
beslog	b e s l oː ɣ
besloge	b e s l oː ɣ e
beslogon	b e s l oː ɣ o n
besma	b e z m ɑ
besmierwan	b e s m i͜y rˠ w ɑ n
besmirwan	b e s m i rˠ w ɑ n
besnyþian	b e s n y ð i ɑ n
besorga	b e s o rˠ ɣ ɑ
besorgaþ	b e s o rˠ ɣ ɑ θ
besorgian	b e s o rˠ ɣ i ɑ n
besorgiaþ	b e s o rˠ ɣ i ɑ θ
besorgiende	b e s o rˠ ɣ i e n d e
besorgod	b e s o rˠ ɣ o d
besorgode	b e s o rˠ ɣ o d e
besorgodest	b e s o rˠ ɣ o d e s t
besorgodon	b e s o rˠ ɣ o d o n
bestang	b e s t ɑ ŋ ɡ
bestealcian	b e s t æ͜ɑ ɫ k i ɑ n
bestealcode	b e s t æ͜ɑ ɫ k o d e
bestingan	b e s t i ŋ ɡ ɑ n
