A	a
Francuz	f r a n t͡s u s
Francuzka	f r a n t͡s u s k a
Francyjŏ	f r a n t͡s ɪ j ɔ
Francyjŏ	f r a n t͡s ɪ j ɔ w
Francyjŏ	f r a n t͡s ɪ j ɛ w
frechowny	f r ɛ x ɔ v n ɪ
frela	f r ɛ l a
frōnt	f r o n t
fto	f t ɔ
ftoś	f t ɔ ɕ
fuchtla	f u x t l a
fuchtlã	f u x t l ã
fukać	f u k a t͡ɕ
funkcyjŏ	f u ŋ k t͡s ɪ j ɔ
funkcyjŏ	f u ŋ k t͡s ɪ j ɔ w
funkcyjŏ	f u ŋ k t͡s ɪ j ɛ w
furgać	f u r ɡ a t͡ɕ
furgŏcz	f u r ɡ ɔ t͡ʂ
furgŏcz	f u r ɡ ɔ w t͡ʂ
furgŏcz	f u r ɡ ɛ w t͡ʂ
futerszpajcher	f u t ɛ r ʂ p a j x ɛ r
futrować	f u t r ɔ v a t͡ɕ
fuzekla	f u z ɛ k l a
fyjder	f ɪ j d ɛ r
fyjderbiksa	f ɪ j d ɛ r b i k s a
fynsterbret	f ɪ n s t ɛ r b r ɛ t
fyrzich	f ɪ r z i x
fyszt	f ɪ ʂ t
fōndusz	f o n d u ʂ
fōngować	f o ŋ ɡ ɔ v a t͡ɕ
fōns	f o n s
fōłza	f o w z a
fōłzã	f o w z ã
fŏter	f ɔ t ɛ r
fŏter	f ɔ w t ɛ r
fŏter	f ɛ w t ɛ r
gabać	ɡ a b a t͡ɕ
gabla	ɡ a b l a
Gabōn	ɡ a b o n
gacić	ɡ a t͡ɕ i t͡ɕ
gacopiyrz	ɡ a t͡s ɔ p j ɪ ʂ
gadzina	ɡ a d͡ʑ i n a
galoty	ɡ a l ɔ t ɪ
Gambijŏ	ɡ a m b i j ɔ
Gambijŏ	ɡ a m b i j ɔ w
Gambijŏ	ɡ a m b i j ɛ w
garcorz	ɡ a r t͡s ɔ ʂ
gardina	ɡ a r d i n a
garlica	ɡ a r l i t͡s a
garło	ɡ a r w ɔ
gasthaus	ɡ a s t x a w s
gatōnek	ɡ a t o n ɛ k
gaz	ɡ a s
gazeta	ɡ a z ɛ t a
gazyta	ɡ a z ɪ t a
gazytã	ɡ a z ɪ t ã
gańba	ɡ a ɲ b a
gdo	ɡ d ɔ
gdowa	ɡ d ɔ v a
gdowã	ɡ d ɔ v ã
gdy	ɡ d ɪ
gdyby	ɡ d ɪ b ɪ
gdzie	ɡ d͡ʑ ɛ
gelender	ɡ ɛ l ɛ n d ɛ r
gelynder	ɡ ɛ l ɪ n d ɛ r
geszyra	ɡ ɛ ʂ ɪ r a
gibki	ɡ i p k i
gid	ɡ i t
gipsdeka	ɡ i b z d ɛ k a
giyłk	ɡ j ɪ w k
gizd	ɡ i s t
glajza	ɡ l a j z a
glashaus	ɡ l a s x a w s
glasznajder	ɡ l a ʂ n a j d ɛ r
glazyjka	ɡ l a z ɪ j k a
Gloc	ɡ l ɔ t͡s
glōndać	ɡ l o n d a t͡ɕ
gniyw	ɡ ɲ ɪ f
gniŏzdo	ɡ ɲ ɔ z d ɔ
gniŏzdo	ɡ ɲ ɔ w z d ɔ
gniŏzdo	ɡ ɲ ɛ w z d ɔ
gnōj	ɡ n o j
gnōńć	ɡ n o ɲ t͡ɕ
gnŏt	ɡ n ɔ t
gnŏt	ɡ n ɔ w t
gnŏt	ɡ n ɛ w t
godzina	ɡ ɔ d͡ʑ i n a
godziniŏrz	ɡ ɔ d͡ʑ i ɲ ɔ ʂ
godziniŏrz	ɡ ɔ d͡ʑ i ɲ ɔ w ʂ
godziniŏrz	ɡ ɔ d͡ʑ i ɲ ɛ w ʂ
godzinki	ɡ ɔ d͡ʑ i ŋ k i
godziny	ɡ ɔ d͡ʑ i n ɪ
goreć	ɡ ɔ r ɛ t͡ɕ
gorki	ɡ ɔ r k i
goroł	ɡ ɔ r ɔ w
gorski	ɡ ɔ r s k i
gorzoła	ɡ ɔ ʐ ɔ w a
gorzołka	ɡ ɔ ʐ ɔ w k a
gorŏl	ɡ ɔ r ɔ l
gorŏl	ɡ ɔ r ɔ w l
gorŏl	ɡ ɔ r ɛ w l
gorŏlka	ɡ ɔ r ɔ l k a
gorŏlka	ɡ ɔ r ɔ w l k a
gorŏlka	ɡ ɔ r ɛ w l k a
gospodarstwo	ɡ ɔ s p ɔ d a r s t f ɔ
gospodŏrz	ɡ ɔ s p ɔ d ɔ ʂ
gospodŏrz	ɡ ɔ s p ɔ d ɔ w ʂ
gospodŏrz	ɡ ɔ s p ɔ d ɛ w ʂ
gotowe	ɡ ɔ t ɔ v ɛ
gotowi	ɡ ɔ t ɔ v i
gotowy	ɡ ɔ t ɔ v ɪ
gotowych	ɡ ɔ t ɔ v ɪ x
gotowyj	ɡ ɔ t ɔ v ɪ j
gotowymi	ɡ ɔ t ɔ v ɪ m i
gotowymu	ɡ ɔ t ɔ v ɪ m u
gotowõ	ɡ ɔ t ɔ v ɔ̃
gotowōm	ɡ ɔ t ɔ v o m
gotowŏ	ɡ ɔ t ɔ v ɔ
gotowŏ	ɡ ɔ t ɔ v ɔ w
gotowŏ	ɡ ɔ t ɔ v ɛ w
gowa	ɡ ɔ v a
gowŏcz	ɡ ɔ v ɔ t͡ʂ
gowŏcz	ɡ ɔ v ɔ w t͡ʂ
gowŏcz	ɡ ɔ v ɛ w t͡ʂ
gołōmb	ɡ ɔ w o m p
gość	ɡ ɔ ɕ t͡ɕ
grajfka	ɡ r a j f k a
grajzik	ɡ r a j ʑ i k
granica	ɡ r a ɲ i t͡s a
grać	ɡ r a t͡ɕ
Grecyjŏ	ɡ r ɛ t͡s ɪ j ɔ
Grecyjŏ	ɡ r ɛ t͡s ɪ j ɔ w
Grecyjŏ	ɡ r ɛ t͡s ɪ j ɛ w
grincojg	ɡ r i n t͡s ɔ j k
groch	ɡ r ɔ x
grochowina	ɡ r ɔ x ɔ v i n a
grochowy	ɡ r ɔ x ɔ v ɪ
gruba	ɡ r u b a
grubiŏrz	ɡ r u b j ɔ ʂ
grubiŏrz	ɡ r u b j ɔ w ʂ
grubiŏrz	ɡ r u b j ɛ w ʂ
grudziyń	ɡ r u d͡ʑ ɪ ɲ
Gruzyjŏ	ɡ r u z ɪ j ɔ
Gruzyjŏ	ɡ r u z ɪ j ɔ w
Gruzyjŏ	ɡ r u z ɪ j ɛ w
gryfny	ɡ r ɪ f n ɪ
gryzać	ɡ r ɪ z a t͡ɕ
grzib	ɡ ʐ i p
grziwa	ɡ ʐ i v a
grzych	ɡ ʐ ɪ x
grzŏć	ɡ ʐ ɔ t͡ɕ
grzŏć	ɡ ʐ ɔ w t͡ɕ
grzŏć	ɡ ʐ ɛ w t͡ɕ
grōb	ɡ r o p
grōniczek	ɡ r o ɲ i t͡ʂ ɛ k
grōń	ɡ r o ɲ
gunia	ɡ u ɲ a
guniŏk	ɡ u ɲ ɔ k
guniŏk	ɡ u ɲ ɔ w k
guniŏk	ɡ u ɲ ɛ w k
gupi	ɡ u p i
guńkŏrz	ɡ u ɲ k ɔ ʂ
guńkŏrz	ɡ u ɲ k ɔ w ʂ
guńkŏrz	ɡ u ɲ k ɛ w ʂ
gwiŏzda	ɡ v j ɔ z d a
gwiŏzda	ɡ v j ɔ w z d a
gwiŏzda	ɡ v j ɛ w z d a
gyburstag	ɡ ɪ b u r s t a k
gymba	ɡ ɪ m b a
gynsty	ɡ ɪ n s t ɪ
gyricht	ɡ ɪ r i x t
gyszeftmacher	ɡ ɪ ʂ ɛ f t m a x ɛ r
gyszichta	ɡ ɪ ʂ i x t a
gysztel	ɡ ɪ ʂ t ɛ l
gyszynk	ɡ ɪ ʂ ɪ ŋ k
gzuć	ɡ z u t͡ɕ
głos	ɡ w ɔ s
głowa	ɡ w ɔ v a
głymboki	ɡ w ɪ m b ɔ k i
głōwny	ɡ w o v n ɪ
głŏdki	ɡ w ɔ t k i
głŏdki	ɡ w ɔ w t k i
głŏdki	ɡ w ɛ w t k i
gōn	ɡ o n
gōnić	ɡ o ɲ i t͡ɕ
gōnsiōna	ɡ o n ɕ o n a
gōra	ɡ o r a
gōńsiōr	ɡ o ɲ ɕ o r
gŏdać	ɡ ɔ d a t͡ɕ
gŏdać	ɡ ɔ w d a t͡ɕ
gŏdać	ɡ ɛ w d a t͡ɕ
gŏdka	ɡ ɔ t k a
gŏdka	ɡ ɔ w t k a
gŏdka	ɡ ɛ w t k a
gŏjik	ɡ ɔ j i k
gŏjik	ɡ ɔ w j i k
gŏjik	ɡ ɛ w j i k
habić	x a b i t͡ɕ
hachtel	h a x t ɛ l
hadra	x a d r a
hadziaj	x a d͡ʑ a j
haja	x a j a
hajer	x a j ɛ r
hajmat	x a j m a t
halba	x a l b a
halter	x a l t ɛ r
haltysztela	x a l t ɪ ʂ t ɛ l a
handel	x a n d ɛ l
handlowy	x a n d l ɔ v ɪ
handszrift	x a n t ʂ r i f t
handszuła	x a n t ʂ u w a
Hanys	x a n ɪ s
hanyszek	x a n ɪ ʂ ɛ k
harny	x a r n ɪ
harynek	x a r ɪ n ɛ k
hasiaty	x a ɕ a t ɪ
hasie	x a ɕ ɛ
hasiŏk	x a ɕ ɔ k
hasiŏk	x a ɕ ɔ w k
hasiŏk	x a ɕ ɛ w k
hatłas	x a t w a s
hatłasowy	x a t w a s ɔ v ɪ
hauptman	x a w p t m a n
hauskyjza	x a w s k ɪ j z a
hawiyrz	x a v j ɪ ʂ
hawyna	x a v ɪ n a
haziel	x a ʑ ɛ l
hazŏk	x a z ɔ k
hazŏk	x a z ɔ w k
hazŏk	x a z ɛ w k
hałōn	x a w o n
hebama	x ɛ b a m a
heblować	x ɛ b l ɔ v a t͡ɕ
heksa	x ɛ k s a
hercklekoty	x ɛ r t͡s k l ɛ k ɔ t ɪ
hereszt	x ɛ r ɛ ʂ t
hica	x i t͡s a
historyjŏ	x i s t ɔ r ɪ j ɔ
historyjŏ	x i s t ɔ r ɪ j ɔ w
historyjŏ	x i s t ɔ r ɪ j ɛ w
hobelbank	x ɔ b ɛ l b a ŋ k
hruby	x r u b ɪ
hymda	x ɪ m d a
hynkel	x ɪ ŋ k ɛ l
hynkszt	x ɪ ŋ k ʂ t
hyrskość	x ɪ r s k ɔ ɕ t͡ɕ
hławny	x w a v n ɪ
hōra	x o r a
i	i
idyjŏ	i d ɪ j ɔ
idyjŏ	i d ɪ j ɔ w
idyjŏ	i d ɪ j ɛ w
imyntny	i m ɪ n t n ɪ
Indōnezyjŏ	i n d o n ɛ z ɪ j ɔ
Indōnezyjŏ	i n d o n ɛ z ɪ j ɔ w
Indōnezyjŏ	i n d o n ɛ z ɪ j ɛ w
inkszy	i ŋ k ʂ ɪ
instytucyjŏ	i n s t ɪ t u t͡s ɪ j ɔ
instytucyjŏ	i n s t ɪ t u t͡s ɪ j ɔ w
instytucyjŏ	i n s t ɪ t u t͡s ɪ j ɛ w
intelektualizacyjŏ	i n t ɛ l ɛ k t u a l i z a t͡s ɪ j ɔ
intelektualizacyjŏ	i n t ɛ l ɛ k t u a l i z a t͡s ɪ j ɔ w
intelektualizacyjŏ	i n t ɛ l ɛ k t u a l i z a t͡s ɪ j ɛ w
irgać	i r ɡ a t͡ɕ
Irlandyjŏ	i r l a n d ɪ j ɔ
Irlandyjŏ	i r l a n d ɪ j ɔ w
Irlandyjŏ	i r l a n d ɪ j ɛ w
Islandyjŏ	i s l a n d ɪ j ɔ
Islandyjŏ	i s l a n d ɪ j ɔ w
Islandyjŏ	i s l a n d ɪ j ɛ w
islandzki	i s l a n t͡s k i
istować	i s t ɔ v a t͡ɕ
isty	i s t ɪ
Italijŏ	i t a l i j ɔ
Italijŏ	i t a l i j ɔ w
Italijŏ	i t a l i j ɛ w
iś	i ɕ
iść	i ɕ t͡ɕ
iż	i ʂ
ja	j a
jabko	j a p k ɔ
jadliwy	j a d l i v ɪ
jagniã	j a ɡ ɲ ã
jak	j a k
jakby	j a ɡ b ɪ
jaki	j a k i
jakiś	j a k i ɕ
jakla	j a k l a
jako	j a k ɔ
jakoś	j a k ɔ ɕ
jancykryst	j a n t͡s ɪ k r ɪ s t
jasny	j a s n ɪ
jastrzōmb	j a s t ʂ o m p
jałowa	j a w ɔ v a
jaźwiec	j a ʑ v j ɛ t͡s
jechać	j ɛ x a t͡ɕ
jedbŏw	j ɛ d b ɔ f
jedbŏw	j ɛ d b ɔ w f
jedbŏw	j ɛ d b ɛ w f
jedla	j ɛ d l a
jednak	j ɛ d n a k
jedność	j ɛ d n ɔ ɕ t͡ɕ
jedyn	j ɛ d ɪ n
jedyny	j ɛ d ɪ n ɪ
jedynŏsty	j ɛ d ɪ n ɔ s t ɪ
jedynŏsty	j ɛ d ɪ n ɔ w s t ɪ
jedynŏsty	j ɛ d ɪ n ɛ w s t ɪ
jedynŏście	j ɛ d ɪ n ɔ ɕ t͡ɕ ɛ
jedynŏście	j ɛ d ɪ n ɔ w ɕ t͡ɕ ɛ
jedynŏście	j ɛ d ɪ n ɛ w ɕ t͡ɕ ɛ
jedła	j ɛ d w a
jeglice	j ɛ ɡ l i t͡s ɛ
jeglŏrz	j ɛ ɡ l ɔ ʂ
jeglŏrz	j ɛ ɡ l ɔ w ʂ
jeglŏrz	j ɛ ɡ l ɛ w ʂ
jegła	j ɛ ɡ w a
jeli	j ɛ l i
jelyni	j ɛ l ɪ ɲ i
jelynica	j ɛ l ɪ ɲ i t͡s a
jelyniowy	j ɛ l ɪ ɲ ɔ v ɪ
jesi	j ɛ ɕ i
jeszcze	j ɛ ʂ t͡ʂ ɛ
jeś	j ɛ ɕ
jeśli	j ɛ ɕ l i
jeźli	j ɛ ʑ l i
jeżeli	j ɛ ʐ ɛ l i
jutro	j u t r ɔ
jynczeć	j ɪ n t͡ʂ ɛ t͡ɕ
jynkać	j ɪ ŋ k a t͡ɕ
jynzyk	j ɪ n z ɪ k
jynzyka	j ɪ n z ɪ k a
jynzykach	j ɪ n z ɪ k a x
jynzykami	j ɪ n z ɪ k a m i
jynzyki	j ɪ n z ɪ k i
jynzykowi	j ɪ n z ɪ k ɔ v i
jynzyku	j ɪ n z ɪ k u
jynzykym	j ɪ n z ɪ k ɪ m
jynzykōm	j ɪ n z ɪ k o m
jynzykōma	j ɪ n z ɪ k o m a
jynzykōw	j ɪ n z ɪ k o f
jyż	j ɪ ʂ
jōndro	j o n d r ɔ
jŏ	j ɔ
jŏ	j ɔ w
jŏ	j ɛ w
jŏdła	j ɔ d w a
jŏdła	j ɔ w d w a
jŏdła	j ɛ w d w a
jŏr	j ɔ r
jŏr	j ɔ w r
jŏr	j ɛ w r
kaczyca	k a t͡ʂ ɪ t͡s a
kafe	k a f ɛ
kafyj	k a f ɪ j
kaj	k a j
kalić	k a l i t͡ɕ
Kamerōn	k a m ɛ r o n
kamiyń	k a m j ɪ ɲ
kamrat	k a m r a t
kamyń	k a m ɪ ɲ
kancelista	k a n t͡s ɛ l i s t a
kandy	k a n d ɪ
kandydat	k a n d ɪ d a t
kany	k a n ɪ
kaper	k a p ɛ r
kara	k a r a
karafijoł	k a r a f i j ɔ w
karkoszka	k a r k ɔ ʂ k a
karlus	k a r l u s
kartynhaus	k a r t ɪ ŋ x a w s
karw	k a r f
Katalōnijŏ	k a t a l o ɲ i j ɔ
Katalōnijŏ	k a t a l o ɲ i j ɔ w
Katalōnijŏ	k a t a l o ɲ i j ɛ w
kaufhaus	k a w f x a w s
kaufman	k a w f m a n
kaufnōnć	k a w f n o n t͡ɕ
każdy	k a ʐ d ɪ
kedy	k ɛ d ɪ
kedyś	k ɛ d ɪ ɕ
kejsi	k ɛ j ɕ i
kela	k ɛ l a
kelnia	k ɛ l ɲ a
kerchōw	k ɛ r x o f
kery	k ɛ r ɪ
kerz	k ɛ ʂ
keta	k ɛ t a
kichŏl	k i x ɔ l
kichŏl	k i x ɔ w l
kichŏl	k i x ɛ w l
kidać	k i d a t͡ɕ
kilka	k i l k a
kiniŏrz	k i ɲ ɔ ʂ
kiniŏrz	k i ɲ ɔ w ʂ
kiniŏrz	k i ɲ ɛ w ʂ
kistka	k i s t k a
kiszka	k i ʂ k a
kisły	k i s w ɪ
kizel	k i z ɛ l
kiziŏl	k i ʑ ɔ l
kiziŏl	k i ʑ ɔ w l
kiziŏl	k i ʑ ɛ w l
kizlik	k i z l i k
kizlŏk	k i z l ɔ k
kizlŏk	k i z l ɔ w k
kizlŏk	k i z l ɛ w k
klang	k l a ŋ k
klapsznita	k l a p ʂ ɲ i t a
klara	k l a r a
klasa	k l a s a
klopsztanga	k l ɔ p ʂ t a ŋ ɡ a
klub	k l u p
kludzić	k l u d͡ʑ i t͡ɕ
klyj	k l ɪ j
klynczeć	k l ɪ n t͡ʂ ɛ t͡ɕ
klyszcz	k l ɪ ʂ t͡ʂ
klōntwa	k l o n t f a
klōntwã	k l o n t f ã
klŏtka	k l ɔ t k a
klŏtka	k l ɔ w t k a
klŏtka	k l ɛ w t k a
knefel	k n ɛ f ɛ l
knif	k ɲ i f
kobiyta	k ɔ b j ɪ t a
kobiytã	k ɔ b j ɪ t ã
kobuch	k ɔ b u x
kokot	k ɔ k ɔ t
kokotek	k ɔ k ɔ t ɛ k
kolega	k ɔ l ɛ ɡ a
kolity	k ɔ l i t ɪ
Kolōmbijŏ	k ɔ l o m b i j ɔ
Kolōmbijŏ	k ɔ l o m b i j ɔ w
Kolōmbijŏ	k ɔ l o m b i j ɛ w
kolŏrz	k ɔ l ɔ ʂ
kolŏrz	k ɔ l ɔ w ʂ
kolŏrz	k ɔ l ɛ w ʂ
kopalnia	k ɔ p a l ɲ a
kopalniã	k ɔ p a l ɲ ã
kopruch	k ɔ p r u x
kopŏcz	k ɔ p ɔ t͡ʂ
kopŏcz	k ɔ p ɔ w t͡ʂ
kopŏcz	k ɔ p ɛ w t͡ʂ
korn	k ɔ r n
korzistać	k ɔ ʐ i s t a t͡ɕ
korzyń	k ɔ ʐ ɪ ɲ
korōngew	k ɔ r o ŋ ɡ ɛ f
kosmiczny	k ɔ s m i t͡ʂ n ɪ
kostka	k ɔ s t k a
koszt	k ɔ ʂ t
kowiōr	k ɔ v j o r
kowol	k ɔ v ɔ l
kowŏl	k ɔ v ɔ l
kowŏl	k ɔ v ɔ w l
kowŏl	k ɔ v ɛ w l
kozieł	k ɔ ʑ ɛ w
koziŏrz	k ɔ ʑ ɔ ʂ
koziŏrz	k ɔ ʑ ɔ w ʂ
koziŏrz	k ɔ ʑ ɛ w ʂ
kozub	k ɔ z u p
koło	k ɔ w ɔ
kościōł	k ɔ ɕ t͡ɕ o w
kość	k ɔ ɕ t͡ɕ
kragel	k r a ɡ ɛ l
kraj	k r a j
krajowy	k r a j ɔ v ɪ
krakowski	k r a k ɔ f s k i
krankynhaus	k r a ŋ k ɪ ŋ x a w s
krasikōń	k r a ɕ i k o ɲ
krauza	k r a w z a
kraś	k r a ɕ
krepel	k r ɛ p ɛ l
kreplik	k r ɛ p l i k
krew	k r ɛ f
kristbaum	k r i s t b a w m
krojcować	k r ɔ j t͡s ɔ v a t͡ɕ
krojcŏk	k r ɔ j t͡s ɔ k
krojcŏk	k r ɔ j t͡s ɔ w k
krojcŏk	k r ɔ j t͡s ɛ w k
krok	k r ɔ k
krowa	k r ɔ v a
krowica	k r ɔ v i t͡s a
krowiczka	k r ɔ v i t͡ʂ k a
krowina	k r ɔ v i n a
krowã	k r ɔ v ã
krupniŏk	k r u p ɲ ɔ k
krupniŏk	k r u p ɲ ɔ w k
krupniŏk	k r u p ɲ ɛ w k
krwie	k r f j ɛ
kryka	k r ɪ k a
kryć	k r ɪ t͡ɕ
krzest	k ʂ ɛ s t
krzidło	k ʂ i d w ɔ
krzik	k ʂ i k
krzipota	k ʂ i p ɔ t a
krzōn	k ʂ o n
krzŏk	k ʂ ɔ k
krzŏk	k ʂ ɔ w k
krzŏk	k ʂ ɛ w k
krōl	k r o l
krōtki	k r o t k i
krŏć	k r ɔ t͡ɕ
krŏć	k r ɔ w t͡ɕ
krŏć	k r ɛ w t͡ɕ
ksiynga	k ɕ ɪ ŋ ɡ a
ksiynstwo	k ɕ ɪ n s t f ɔ
ksiynżyc	k ɕ ɪ n ʐ ɪ t͡s
ksiōndz	k ɕ o n t͡s
ksiōnżka	k ɕ o n ʂ k a
ksiōnżã	k ɕ o n ʐ ã
kształt	k ʂ t a w t
ksztołt	k ʂ t ɔ w t
kto	k t ɔ
ktoś	k t ɔ ɕ
ku	k u
kucać	k u t͡s a t͡ɕ
kuchnia	k u x ɲ a
kuchniã	k u x ɲ ã
kukurzica	k u k u ʐ i t͡s a
kulać	k u l a t͡ɕ
kultura	k u l t u r a
kuplować	k u p l ɔ v a t͡ɕ
kuropizda	k u r ɔ p i z d a
kurzić	k u ʐ i t͡ɕ
kurzã	k u ʐ ã
kwiŏt	k f j ɔ t
kwiŏt	k f j ɔ w t
kwiŏt	k f j ɛ w t
kwiŏtek	k f j ɔ t ɛ k
kwiŏtek	k f j ɔ w t ɛ k
kwiŏtek	k f j ɛ w t ɛ k
kwŏlić	k f ɔ l i t͡ɕ
kwŏlić	k f ɔ w l i t͡ɕ
kwŏlić	k f ɛ w l i t͡ɕ
kyjza	k ɪ j z a
kyndrōz	k ɪ n d r o s
kyndy	k ɪ n d ɪ
Kynijŏ	k ɪ ɲ i j ɔ
Kynijŏ	k ɪ ɲ i j ɔ w
Kynijŏ	k ɪ ɲ i j ɛ w
kłaś	k w a ɕ
kłaść	k w a ɕ t͡ɕ
kłopot	k w ɔ p ɔ t
kłōnica	k w o ɲ i t͡s a
kłōnicã	k w o ɲ i t͡s ã
kōmedyjŏ	k o m ɛ d ɪ j ɔ
kōmedyjŏ	k o m ɛ d ɪ j ɔ w
kōmedyjŏ	k o m ɛ d ɪ j ɛ w
kōmisyjŏ	k o m i s ɪ j ɔ
kōmisyjŏ	k o m i s ɪ j ɔ w
kōmisyjŏ	k o m i s ɪ j ɛ w
kōmitej	k o m i t ɛ j
kōmpać	k o m p a t͡ɕ
kōmputer	k o m p u t ɛ r
kōmōrka	k o m o r k a
kōmōrkã	k o m o r k ã
kōna	k o n a
kōniczek	k o ɲ i t͡ʂ ɛ k
kōniec	k o ɲ ɛ t͡s
kōnieczny	k o ɲ ɛ t͡ʂ n ɪ
kōnstytucyjŏ	k o n s t ɪ t u t͡s ɪ j ɔ
kōnstytucyjŏ	k o n s t ɪ t u t͡s ɪ j ɔ w
kōnstytucyjŏ	k o n s t ɪ t u t͡s ɪ j ɛ w
kōnszt	k o n ʂ t
kōntakt	k o n t a k t
kōń	k o ɲ
kŏrać	k ɔ r a t͡ɕ
kŏrać	k ɔ w r a t͡ɕ
kŏrać	k ɛ w r a t͡ɕ
kŏzać	k ɔ z a t͡ɕ
kŏzać	k ɔ w z a t͡ɕ
kŏzać	k ɛ w z a t͡ɕ
kŏżdy	k ɔ ʐ d ɪ
kŏżdy	k ɔ w ʐ d ɪ
kŏżdy	k ɛ w ʐ d ɪ
lachać	l a x a t͡ɕ
ladować	l a d ɔ v a t͡ɕ
ladyntisz	l a d ɪ n t i ʂ
lagerhaus	l a ɡ ɛ r x a w s
lagramyncki	l a ɡ r a m ɪ n t͡s k i
lagramynt	l a ɡ r a m ɪ n t
lajb	l a j p
lajsta	l a j s t a
larmo	l a r m ɔ
larwa	l a r v a
las	l a s
lastauto	l a s t a w t ɔ
latojsi	l a t ɔ j ɕ i
latoś	l a t ɔ ɕ
lazaryt	l a z a r ɪ t
leberwōszt	l ɛ b ɛ r v o ʂ t
lebioda	l ɛ b j ɔ d a
lechki	l ɛ x k i
lecz	l ɛ t͡ʂ
leki	l ɛ k i
leluja	l ɛ l u j a
lelyń	l ɛ l ɪ ɲ
lepiej	l ɛ p j ɛ j
lepij	l ɛ p i j
lepszy	l ɛ p ʂ ɪ
lewy	l ɛ v ɪ
leżeć	l ɛ ʐ ɛ t͡ɕ
Libijŏ	l i b i j ɔ
Libijŏ	l i b i j ɔ w
Libijŏ	l i b i j ɛ w
lichy	l i x ɪ
liczba	l i d͡ʐ b a
liczyć	l i t͡ʂ ɪ t͡ɕ
liferōng	l i f ɛ r o ŋ k
lifrować	l i f r ɔ v a t͡ɕ
lilowy	l i l ɔ v ɪ
lipsta	l i p s t a
list	l i s t
literatura	l i t ɛ r a t u r a
Litwa	l i t f a
liwerować	l i v ɛ r ɔ v a t͡ɕ
lo	l ɔ
lojfer	l ɔ j f ɛ r
lojza	l ɔ j z a
los	l ɔ s
lub	l u p
ludzie	l u d͡ʑ ɛ
ludzki	l u t͡s k i
luft	l u f t
luftować	l u f t ɔ v a t͡ɕ
luks	l u k s
Luksymburg	l u k s ɪ m b u r k
lupina	l u p i n a
lutować	l u t ɔ v a t͡ɕ
luzã	l u z ã
luśnia	l u ɕ ɲ a
luża	l u ʐ a
lygać	l ɪ ɡ a t͡ɕ
lygnōńć	l ɪ ɡ n o ɲ t͡ɕ
lykŏrz	l ɪ k ɔ ʂ
lykŏrz	l ɪ k ɔ w ʂ
lykŏrz	l ɪ k ɛ w ʂ
lynić	l ɪ ɲ i t͡ɕ
lyź	l ɪ ɕ
lza	l z a
lzã	l z ã
lōd	l o t
lŏ	l ɔ
lŏ	l ɔ w
lŏ	l ɛ w
lŏska	l ɔ s k a
lŏska	l ɔ w s k a
lŏska	l ɛ w s k a
lŏszczurka	l ɔ ʂ t͡ʂ u r k a
lŏszczurka	l ɔ w ʂ t͡ʂ u r k a
lŏszczurka	l ɛ w ʂ t͡ʂ u r k a
lŏtać	l ɔ t a t͡ɕ
lŏtać	l ɔ w t a t͡ɕ
lŏtać	l ɛ w t a t͡ɕ
lŏć	l ɔ t͡ɕ
lŏć	l ɔ w t͡ɕ
lŏć	l ɛ w t͡ɕ
macek	m a t͡s ɛ k
macher	m a x ɛ r
macierz	m a t͡ɕ ɛ ʂ
maciorka	m a t͡ɕ ɔ r k a
maciura	m a t͡ɕ u r a
mackać	m a t͡s k a t͡ɕ
Madziary	m a d͡ʑ a r ɪ
majoryntny	m a j ɔ r ɪ n t n ɪ
mama	m a m a
mamer	m a m ɛ r
mamlas	m a m l a s
mandla	m a n d l a
mandlowy	m a n d l ɔ v ɪ
mantel	m a n t ɛ l
maras	m a r a s
markew	m a r k ɛ f
masny	m a s n ɪ
massztab	m a s ʂ t a p
masza	m a ʂ a
maszinhaus	m a ʂ i ŋ x a w s
maszka	m a ʂ k a
maszkecić	m a ʂ k ɛ t͡ɕ i t͡ɕ
maszket	m a ʂ k ɛ t
maszyna	m a ʂ ɪ n a
masŏrz	m a s ɔ ʂ
masŏrz	m a s ɔ w ʂ
masŏrz	m a s ɛ w ʂ
matka	m a t k a
matura	m a t u r a
mauklapa	m a w k l a p a
maultiyr	m a w l t j ɪ r
mało	m a w ɔ
mały	m a w ɪ
mecyje	m ɛ t͡s ɪ j ɛ
melać	m ɛ l a t͡ɕ
metabolizm	m ɛ t a b ɔ l i z m
metrowy	m ɛ t r ɔ v ɪ
miano	m j a n ɔ
mianowcie	m j a n ɔ f t͡ɕ ɛ
miara	m j a r a
miasto	m j a s t ɔ
miastowy	m j a s t ɔ v ɪ
mierzić	m j ɛ ʐ i t͡ɕ
miesiōnc	m j ɛ ɕ o n t͡s
miesiōnczek	m j ɛ ɕ o n t͡ʂ ɛ k
mietła	m j ɛ t w a
mieć	m j ɛ t͡ɕ
milc	m i l t͡s
milimetrowy	m i l i m ɛ t r ɔ v ɪ
mimo	m i m ɔ
minister	m i ɲ i s t ɛ r
minuta	m i n u t a
miszōng	m i ʂ o ŋ k
mitrynga	m i t r ɪ ŋ ɡ a
miyjsce	m j ɪ j s t͡s ɛ
miyjsco	m j ɪ j s t͡s ɔ
miyjski	m j ɪ j s k i
Miymcy	m j ɪ m t͡s ɪ
Miymiec	m j ɪ m j ɛ t͡s
miymiecki	m j ɪ m j ɛ t͡s k i
