'ntós	n̪ t̪ o s
biográfico	b j o ɡ ɾ a f i k o
biográficos	b j o ɡ ɾ a f i k o s
biográficu	b j o ɡ ɾ a f i k u
bioloxía	b j o l o ʃ i a
bisarma	b i s a ɾ m a
bisgüela	b i z ɡ w e l a
bisgüeles	b i z ɡ w e l e s
bisgüelos	b i z ɡ w e l o s
bisgüelu	b i z ɡ w e l u
bisgüelu	b i z ɣ w ø l u
bisgüelu	b i z ɣ w i l u
bisgüelu	b i z b w e l u
bisgüelu	b i z b w o l u
bisgüelu	b i z b w o l u
bisnieta	b i z n j e t̪ a
bisnietes	b i z n j e t̪ e s
bisnietos	b i z n j e t̪ o s
bisnietu	b i z n j e t̪ u
bisñeta	b i z ɲ e t̪ a
bisñetes	b i z ɲ e t̪ e s
bisñetos	b i z ɲ e t̪ o s
bisñetu	b i z ɲ e t̪ u
bixín	b i ʃ ĩ ŋ
bizcuechu	b i θ k w e t͡ʃ u
blasfemada	b l a s f e m a ð̞ a
blasfemáu	b l a s f e m a u̯
blezna	b l e θ̬ n a
blima	b l i m a
blédena	b l e ð̞ e n a
boca	b o k a
bocamina	b o k a m i n a
bolenga	b o l e ŋ ɡ a
bolicha	b o l i t͡ʃ a
bolígrafu	b o l i ɡ ɾ a f u
bomba	b õ m b a
bomberu	b õ m b e ɾ u
bombilla	b õ m b i ʎ a
bonamente	b o n a m ẽ n̪ t̪ e
bonandanza	b o n ã n̪ d̪ ã n̟ θ a
bonanza	b o n ã n̟ θ a
bondosu	b õ n̪ d̪ o s u
bondá	b õ n̪ d̪ a
bonifica	b o n i f i k a
bonificáu	b o n i f i k a u̯
borlla	b o ɾ ʎ a
borra	b o r a
bota	b o t̪ a
botar	b o t̪ a ɾ
botica	b o t̪ i k a
botiellu	b o t̪ j e ʎ u
botiquería	b o t̪ i k e ɾ i a
botánica	b o t̪ a n i k a
botón	b o t̪ õ ŋ
boxe	b o ʃ e
branu	b ɾ a n u
Brasil	b ɾ a s i l
braveza	b ɾ a β̞ e θ a
brazalbu	b ɾ a θ a l β̞ u
brazalete	b ɾ a θ a l e t̪ e
brega	b ɾ e ɡ a
bregadera	b ɾ e ɡ a ð̞ e ɾ a
bregar	b ɾ e ɡ a ɾ
brenca	b ɾ e ŋ k a
brillante	b ɾ i ʎ ã n̪ t̪ e
brillar	b ɾ i ʎ a ɾ
brillosu	b ɾ i ʎ o s u
bronce	b ɾ õ n̟ θ e
brusa	b ɾ u s a
Bruxeles	b ɾ u ʃ e l e s
Bual	b w a l
buchaca	b u t͡ʃ a k a
budismu	b u ð̞ i z m u
buelu	b w e l u
buelu	b w o l u
buelu	b w ø l u
buenu	b w e n u
bufanda	b u f ã n̪ d̪ a
bufar	b u f a ɾ
Bulgaria	b u l ɡ a ɾ j a
bultu	b u l̪ t̪ u
bumerán	b u m e ɾ ã ŋ
buonu	b w o n u
burru	b u r u
buscáu	b u s k a u̯
Bélxica	b e ʎ ʃ i k a
búcare	b u k a ɾ e
cabal	k a β̞ a l
caballería	k a β̞ a ʎ e ɾ i a
caballos	k a β̞ a ʎ o s
caballu	k a β̞ a ʎ u
cabeces	k a β̞ e θ e s
cabeza	k a β̞ e θ a
cabo	k a β̞ o
cabra	k a β̞ ɾ a
Cabrales	k a β̞ ɾ a l e s
cabraliegu	k a β̞ ɾ a l j e ɡ u
Cabranes	k a β̞ ɾ a n e s
cabraniegu	k a β̞ ɾ a n j e ɡ u
cabria	k a β̞ ɾ j a
cabudañu	k a β̞ u ð̞ a ɲ u
cacabués	k a k a β̞ w e s
cacagüesa	k a k a ɡ w e s a
cacagüés	k a k a ɡ w e s
cacha	k a t͡ʃ a
cachador	k a t͡ʃ a ð̞ o ɾ
cachapierna	k a t͡ʃ a p j e ɾ n a
cachopu	k a t͡ʃ o p u
caciplar	k a θ i p l a ɾ
cactus	k a k t̪ u s
cada	k a ð̞ a
cadabáu	k a ð̞ a β̞ a u̯
cadena	k a ð̞ e n a
caderalgu	k a ð̞ e ɾ a l ɡ u
caducidá	k a ð̞ u θ i ð̞ a
cadávere	k a ð̞ a β̞ e ɾ e
café	k a f e
cagaderu	k a ɡ a ð̞ e ɾ u
cagadoriu	k a ɡ a ð̞ o ɾ j u
cagapraos	k a ɡ a p ɾ a o s
cagar	k a ɡ a ɾ
cai	k a i̯
Caitanu	k a i̯ t̪ a n u
calabaza	k a l a β̞ a θ a
calabre	k a l a β̞ ɾ e
calamar	k a l a m a ɾ
calandria	k a l ã n̪ d̪ ɾ j a
calciu	k a l̟ θ j u
calculáu	k a l k u l a u̯
calecer	k a l e θ e ɾ
caler	k a l e ɾ
caliente	k a l j ẽ n̪ t̪ e
caligráfica	k a l i ɡ ɾ a f i k a
caligráficos	k a l i ɡ ɾ a f i k o s
caligráficu	k a l i ɡ ɾ a f i k u
callarota	k a ʎ a ɾ o t̪ a
calláxina	k a ʎ a ʃ i n a
calor	k a l o ɾ
caloriegu	k a l o ɾ j e ɡ u
caltenencia	k a l̪ t̪ e n ẽ n̟ θ j a
caltriar	k a l̪ t̪ ɾ j a ɾ
calvu	k a l β̞ u
calzada	k a l̟ θ a ð̞ a
calzáu	k a l̟ θ a u̯
camaleón	k a m a l e õ ŋ
camba	k ã m b a
cambiar	k ã m b j a ɾ
cambiáu	k ã m b j a u̯
camentar	k a m ẽ n̪ t̪ a ɾ
camineru	k a m i n e ɾ u
camisa	k a m i s a
camión	k a m j õ ŋ
campana	k ã m p a n a
campus	k ã m p u s
camín	k a m ĩ ŋ
can	k ã ŋ
canal	k a n a l
canciu	k ã n̟ θ j u
canción	k ã n̟ θ j õ ŋ
Candamu	k ã n̪ d̪ a m u
candela	k ã n̪ d̪ e l a
canga	k a ŋ ɡ a
cangués	k a ŋ ɡ e s
canoa	k a n o a
canonizáu	k a n o n i θ a u̯
canoxu	k a n o ʃ u
Cantabria	k ã n̪ t̪ a β̞ ɾ j a
cantador	k ã n̪ t̪ a ð̞ o ɾ
cantaor	k ã n̪ t̪ a o ɾ
cantariegu	k ã n̪ t̪ a ɾ j e ɡ u
cantáu	k ã n̪ t̪ a u̯
capar	k a p a ɾ
caparina	k a p a ɾ i n a
capiella	k a p j e ʎ a
capiellu	k a p j e ʎ u
capitalismu	k a p i t̪ a l i z m u
capitalista	k a p i t̪ a l i s̪ t̪ a
capitalistes	k a p i t̪ a l i s̪ t̪ e s
capitalizáu	k a p i t̪ a l i θ a u̯
capituláu	k a p i t̪ u l a u̯
capiu	k a p j u
cara	k a ɾ a
carape	k a ɾ a p e
carauterizáu	k a ɾ a u̯ t̪ e ɾ i θ a u̯
Caravia	k a ɾ a β̞ j a
carbayu	k a ɾ β̞ a ʝ u
carbayón	k a ɾ β̞ a ʝ õ ŋ
cares	k a ɾ e s
cargaderu	k a ɾ ɡ a ð̞ e ɾ u
cariegu	k a ɾ j e ɡ u
carifu	k a ɾ i f u
Carlinos	k a ɾ l i n o s
carne	k a ɾ n e
carniegu	k a ɾ n j e ɡ u
carrera	k a r e ɾ a
Carreño	k a r e ɲ o
carru	k a r u
carrucha	k a r u t͡ʃ a
carta	k a ɾ t̪ a
cartera	k a ɾ t̪ e ɾ a
cartiar	k a ɾ t̪ j a ɾ
casariegu	k a s a ɾ j e ɡ u
cascoxu	k a s k o ʃ u
casiegu	k a s j e ɡ u
castaña	k a s̪ t̪ a ɲ a
castañal	k a s̪ t̪ a ɲ a l
castañona	k a s̪ t̪ a ɲ o n a
castañéu	k a s̪ t̪ a ɲ ø u
castellanismu	k a s̪ t̪ e ʎ a n i z m u
castellanizada	k a s̪ t̪ e ʎ a n i θ a ð̞ a
castellanizáu	k a s̪ t̪ e ʎ a n i θ a u̯
castellano	k a s̪ t̪ e ʎ a n o
castellanu	k a s̪ t̪ e ʎ a n u
castellán	k a s̪ t̪ e ʎ ã ŋ
Castiella	k a s̪ t̪ j e ʎ a
castiellu	k a s̪ t̪ j e ʎ u
castillete	k a s̪ t̪ i ʎ e t̪ e
Castrillón	k a s̪ t̪ ɾ i ʎ õ ŋ
Castripol	k a s̪ t̪ ɾ i p o l
Castropol	k a s̪ t̪ ɾ o p o l
castráu	k a s̪ t̪ ɾ a u̯
Casu	k a s u
cata	k a t̪ a
catalanizáu	k a t̪ a l a n i θ a u̯
Cataluña	k a t̪ a l u ɲ a
catalán	k a t̪ a l ã ŋ
catar	k a t̪ a ɾ
cataxuán	k a t̪ a ʃ w ã ŋ
catedral	k a t̪ e ð̞ ɾ a l
catedráticu	k a t̪ e ð̞ ɾ a t̪ i k u
categoría	k a t̪ e ɡ o ɾ i a
catorce	k a t̪ o ɾ θ e
caxa	k a ʃ a
caxellu	k a ʃ e ʎ u
Caya	k a ʝ a
cayer	k a ʝ e ɾ
Cayo	k a ʝ o
cazador	k a θ a ð̞ o ɾ
cazando	k a θ ã n̪ d̪ o
cazar	k a θ a ɾ
cazurria	k a θ u r j a
cazurru	k a θ u r u
caída	k a i ð̞ a
caín	k a ĩ ŋ
cañada	k a ɲ a ð̞ a
cañavera	k a ɲ a β̞ e ɾ a
cañicar	k a ɲ i k a ɾ
cañoneru	k a ɲ o n e ɾ u
cañón	k a ɲ õ ŋ
cedo	θ e ð̞ o
cedu	θ e ð̞ u
cedáis	θ e ð̞ a i̯ s
cedéis	θ e ð̞ e i̯ s
cedíu	θ e ð̞ i u
Ceferino	θ e f e ɾ i n o
Cefontes	θ e f õ n̪ t̪ e s
celebrar	θ e l e β̞ ɾ a ɾ
celebras	θ e l e β̞ ɾ a s
celebráu	θ e l e β̞ ɾ a u̯
cencia	θ ẽ n̟ θ j a
cenciellez	θ ẽ n̟ θ j e ʎ e θ
cenciellu	θ ẽ n̟ θ j e ʎ u
ceniza	θ e n i θ a
censuráu	θ ẽ n s u ɾ a u̯
centauru	θ ẽ n̪ t̪ a u̯ ɾ u
centralizáu	θ ẽ n̪ t̪ ɾ a l i θ a u̯
centru	θ ẽ n̪ t̪ ɾ u
centuria	θ ẽ n̪ t̪ u ɾ j a
ceo	θ e o
cera	θ e ɾ a
cerebral	θ e ɾ e β̞ ɾ a l
cerebrales	θ e ɾ e β̞ ɾ a l e s
cerebros	θ e ɾ e β̞ ɾ o s
cerebru	θ e ɾ e β̞ ɾ u
cerecéu	θ e ɾ e θ ø u
Cernadiella	θ e ɾ n a ð̞ j e ʎ a
certifica	θ e ɾ t̪ i f i k a
certificar	θ e ɾ t̪ i f i k a ɾ
certificáu	θ e ɾ t̪ i f i k a u̯
ceu	θ ø u
chalina	t͡ʃ a l i n a
chambra	t͡ʃ ã m b ɾ a
chaqueta	t͡ʃ a k e t̪ a
char	t͡ʃ a ɾ
Charo	t͡ʃ a ɾ o
charru	t͡ʃ a r u
chegar	t͡ʃ e ɡ a ɾ
cheite	t͡ʃ e i̯ t̪ e
Chequia	t͡ʃ e k j a
chicolate	t͡ʃ i k o l a t̪ e
chigre	t͡ʃ i ɡ ɾ e
chimenea	t͡ʃ i m e n e a
China	t͡ʃ i n a
chinclar	t͡ʃ i ŋ k l a ɾ
chipitéu	t͡ʃ i p i t̪ ø u
chirlotu	t͡ʃ i ɾ l o t̪ u
chiscar	t͡ʃ i s k a ɾ
chisgar	t͡ʃ i z ɡ a ɾ
chocar	t͡ʃ o k a ɾ
choscu	t͡ʃ o s k u
chuchar	t͡ʃ u t͡ʃ a ɾ
chumar	t͡ʃ u m a ɾ
churru	t͡ʃ u r u
Chus	t͡ʃ u s
chute	t͡ʃ u t̪ e
chutón	t͡ʃ u t̪ õ ŋ
cibiella	θ i β̞ j e ʎ a
ciegu	θ j e ɡ u
cielu	θ j e l u
ciencia	θ j ẽ n̟ θ j a
científicu	θ j ẽ n̪ t̪ i f i k u
ciervu	θ j e ɾ β̞ u
cigotu	θ i ɡ o t̪ u
cigüeña	θ i ɡ w e ɲ a
cilindros	θ i l ĩ n̪ d̪ ɾ o s
cilindru	θ i l ĩ n̪ d̪ ɾ u
cilíndricu	θ i l ĩ n̪ d̪ ɾ i k u
cimble	θ ĩ m b l e
cinc	θ i ŋ k
cincocientos	θ i ŋ k o θ j ẽ n̪ t̪ o s
cine	θ i n e
cinematógrafu	θ i n e m a t̪ o ɡ ɾ a f u
circuncidáu	θ i ɾ k ũ n̟ θ i ð̞ a u̯
circunnavegáu	θ i ɾ k u n a β̞ e ɡ a u̯
circunscrito	θ i ɾ k ũ n s k ɾ i t̪ o
circunscritu	θ i ɾ k ũ n s k ɾ i t̪ u
circunstancia	θ i ɾ k ũ n s̪ t̪ ã n̟ θ j a
cirigüeyu	θ i ɾ i ɡ w e ʝ u
cisne	θ i z n e
ciudadanía	θ j u ð̞ a ð̞ a n i a
ciudá	θ j u ð̞ a
civiliza	θ i β̞ i l i θ a
civilización	θ i β̞ i l i θ a θ j õ ŋ
civilizada	θ i β̞ i l i θ a ð̞ a
civilizas	θ i β̞ i l i θ a s
civilizo	θ i β̞ i l i θ o
civilizáu	θ i β̞ i l i θ a u̯
ciñir	θ i ɲ i ɾ
claro	k l a ɾ o
clas	k l a s
clase	k l a s e
clases	k l a s e s
clasificáu	k l a s i f i k a u̯
climen	k l i m ẽ ŋ
clisar	k l i s a ɾ
cloru	k l o ɾ u
cloyu	k l o ʝ u
cobertoriu	k o β̞ e ɾ t̪ o ɾ j u
cobila	k o β̞ i l a
cobre	k o β̞ ɾ e
coche	k o t͡ʃ e
cochera	k o t͡ʃ e ɾ a
cocina	k o θ i n a
cocíu	k o θ i u
codifica	k o ð̞ i f i k a
codificar	k o ð̞ i f i k a ɾ
codificáu	k o ð̞ i f i k a u̯
cogüelmu	k o ɡ w e l m u
cohete	k w e t̪ e
cohete	k u e t̪ e
coincidíu	k õ ĩ n̟ θ i ð̞ i u
coisa	k o i̯ s a
cola	k o l a
coladeru	k o l a ð̞ e ɾ u
colar	k o l a ɾ
coldu	k o l̪ d̪ u
coleutivu	k o l ø u t̪ i β̞ u
colexos	k o l e ʃ o s
colexu	k o l e ʃ u
colgaxu	k o l ɡ a ʃ u
collación	k o ʎ a θ j õ ŋ
collecha	k o ʎ e t͡ʃ a
collechar	k o ʎ e t͡ʃ a ɾ
collor	k o ʎ o ɾ
colomina	k o l o m i n a
colomineros	k o l o m i n e ɾ o s
colomineru	k o l o m i n e ɾ u
colomines	k o l o m i n e s
colonda	k o l õ n̪ d̪ a
colondra	k o l õ n̪ d̪ ɾ a
colondrame	k o l õ n̪ d̪ ɾ a m e
colonialismu	k o l o n j a l i z m u
coloniza	k o l o n i θ a
colonizáu	k o l o n i θ a u̯
color	k o l o ɾ
columbiar	k o l ũ m b j a ɾ
columna	k o l ũ m n a
Colunga	k o l u ŋ ɡ a
colín	k o l ĩ ŋ
combalachar	k õ m b a l a t͡ʃ a ɾ
combináu	k õ m b i n a u̯
come	k o m e
comer	k o m e ɾ
cometa	k o m e t̪ a
comida	k o m i ð̞ a
comiendo	k o m j ẽ n̪ d̪ o
comina	k o m i n a
como	k o m o
compangu	k õ m p a ŋ ɡ u
comparanza	k õ m p a ɾ ã n̟ θ a
compautu	k õ m p a u̯ t̪ u
completamente	k õ m p l e t̪ a m ẽ n̪ t̪ e
complicáu	k õ m p l i k a u̯
componer	k õ m p o n e ɾ
comprar	k õ m p ɾ a ɾ
comprimíu	k õ m p ɾ i m i u
compuesta	k õ m p w e s̪ t̪ a
compuestes	k õ m p w e s̪ t̪ e s
compuesto	k õ m p w e s̪ t̪ o
compuestos	k õ m p w e s̪ t̪ o s
compuestu	k õ m p w e s̪ t̪ u
computadora	k õ m p u t̪ a ð̞ o ɾ a
comu	k o m u
comunicáu	k o m u n i k a u̯
comunismu	k o m u n i z m u
comunistes	k o m u n i s̪ t̪ e s
comuña	k o m u ɲ a
comíes	k o m i e s
comíu	k o m i u
común	k o m ũ ŋ
con	k õ ŋ
concebíu	k õ n̟ θ e β̞ i u
concedáis	k õ n̟ θ e ð̞ a i̯ s
concedéis	k õ n̟ θ e ð̞ e i̯ s
concedía	k õ n̟ θ e ð̞ i a
concedíu	k õ n̟ θ e ð̞ i u
concencia	k õ n̟ θ ẽ n̟ θ j a
concentráu	k õ n̟ θ ẽ n̪ t̪ ɾ a u̯
conceyal	k õ n̟ θ e ʝ a l
conceyu	k õ n̟ θ e ʝ u
conciencia	k õ n̟ θ j ẽ n̟ θ j a
conciertos	k õ n̟ θ j e ɾ t̪ o s
conciertu	k õ n̟ θ j e ɾ t̪ u
condición	k õ n̪ d̪ i θ j õ ŋ
conducida	k õ n̪ d̪ u θ i ð̞ a
conducíu	k õ n̪ d̪ u θ i u
coneyu	k o n e ʝ u
confiscáu	k õ ɱ f i s k a u̯
conmemorativu	k õ m m e m o ɾ a t̪ i β̞ u
connotáu	k o n o t̪ a u̯
conocer	k o n o θ e ɾ
conocíu	k o n o θ i u
conqueru	k o ŋ k e ɾ u
conquistáu	k o ŋ k i s̪ t̪ a u̯
consagráu	k õ n s a ɡ ɾ a u̯
consentíu	k õ n s ẽ n̪ t̪ i u
conservadorismu	k õ n s e ɾ β̞ a ð̞ o ɾ i z m u
conserváu	k õ n s e ɾ β̞ a u̯
consistida	k õ n s i s̪ t̪ i ð̞ a
consistíu	k õ n s i s̪ t̪ i u
construcción	k õ n s̪ t̪ ɾ u k θ j õ ŋ
construyíu	k õ n s̪ t̪ ɾ u ʝ i u
contactar	k õ n̪ t̪ a t̪ t̪ a ɾ
contactar	k õ n̪ t̪ a t̪ a ɾ
contar	k õ n̪ t̪ a ɾ
contaxosu	k õ n̪ t̪ a ʃ o s u
contenida	k õ n̪ t̪ e n i ð̞ a
contentu	k õ n̪ t̪ ẽ n̪ t̪ u
conteníu	k õ n̪ t̪ e n i u
continente	k õ n̪ t̪ i n ẽ n̪ t̪ e
contra	k õ n̪ t̪ ɾ a
contrabaxu	k õ n̪ t̪ ɾ a β̞ a ʃ u
contracái	k õ n̪ t̪ ɾ a k a i̯
contratu	k õ n̪ t̪ ɾ a t̪ u
contribuyíu	k õ n̪ t̪ ɾ i β̞ u ʝ i u
controzu	k õ n̪ t̪ ɾ o θ u
convencíu	k õ m b ẽ n̟ θ i u
convenida	k õ m b e n i ð̞ a
conveníu	k õ m b e n i u
convertíu	k õ m b e ɾ t̪ i u
convidáu	k õ m b i ð̞ a u̯
convulsión	k õ m b u l s j õ ŋ
conxal	k õ ɲ ʃ a l
conxugación	k õ ɲ ʃ u ɡ a θ j õ ŋ
conxugada	k õ ɲ ʃ u ɡ a ð̞ a
conxugar	k õ ɲ ʃ u ɡ a ɾ
conxugáu	k õ ɲ ʃ u ɡ a u̯
conxuntu	k õ ɲ ʃ ũ n̪ t̪ u
Copenḥague	k o p ẽ n h a ɡ e
cor	k o ɾ
corar	k o ɾ a ɾ
coraxe	k o ɾ a ʃ e
corazu	k o ɾ a θ u
corazón	k o ɾ a θ õ ŋ
cordión	k o ɾ ð̞ j õ ŋ
cordobeyu	k o ɾ ð̞ o β̞ e ʝ u
coreyalbu	k o ɾ e ʝ a l β̞ u
coricia	k o ɾ i θ j a
coricia	k u ɾ i θ j a
coriza	k o ɾ i θ a
Cornualles	k o ɾ n w a ʎ e s
coronda	k o ɾ õ n̪ d̪ a
corondame	k o ɾ õ n̪ d̪ a m e
corondia	k o ɾ õ n̪ d̪ j a
coronáu	k o ɾ o n a u̯
correa	k o r e a
correr	k o r e ɾ
corrida	k o r i ð̞ a
corrompíu	k o r õ m p i u
corrupción	k o r u p θ j õ ŋ
corríu	k o r i u
cortar	k o ɾ t̪ a ɾ
corte	k o ɾ t̪ e
cortexar	k o ɾ t̪ e ʃ a ɾ
cortina	k o ɾ t̪ i n a
Corvera	k o ɾ β̞ e ɾ a
corón	k o ɾ õ ŋ
cosadiella	k o s a ð̞ j e ʎ a
cosques	k o s k e s
cosques	k o s k a s
cosques	k o θ k a s
cosques	k o θ k a s
cosquielles	k o s k j e ʎ e s
cosquielles	k u s k j e ʎ a s
cosquielles	k u θ k j e ʎ a s
cosquielles	k u θ k j e ʎ a s
costume	k o s̪ t̪ u m e
costín	k o s̪ t̪ ĩ ŋ
cousa	k o u̯ s a
coxicar	k o ʃ i k a ɾ
coxu	k o ʃ u
coyer	k o ʝ e ɾ
coyones	k o ʝ o n e s
coyu	k o ʝ u
coyón	k o ʝ õ ŋ
cranial	k ɾ a n j a l
craniales	k ɾ a n j a l e s
cranios	k ɾ a n j o s
craniu	k ɾ a n j u
creación	k ɾ e a θ j õ ŋ
crear	k ɾ e a ɾ
creyer	k ɾ e ʝ e ɾ
creáu	k ɾ e a u̯
crismar	k ɾ i z m a ɾ
cristalizáu	k ɾ i s̪ t̪ a l i θ a u̯
cristiana	k ɾ i s̪ t̪ j a n a
cristianar	k ɾ i s̪ t̪ j a n a ɾ
cristianes	k ɾ i s̪ t̪ j a n e s
cristianiza	k ɾ i s̪ t̪ j a n i θ a
cristianizar	k ɾ i s̪ t̪ j a n i θ a ɾ
cristianizas	k ɾ i s̪ t̪ j a n i θ a s
cristianizáu	k ɾ i s̪ t̪ j a n i θ a u̯
cristiano	k ɾ i s̪ t̪ j a n o
cristianos	k ɾ i s̪ t̪ j a n o s
cristianu	k ɾ i s̪ t̪ j a n u
cristianó	k ɾ i s̪ t̪ j a n o
cristoloxía	k ɾ i s̪ t̪ o l o ʃ i a
Cristu	k ɾ i s̪ t̪ u
cristu	k ɾ i s̪ t̪ u
Croacia	k ɾ o a θ j a
cruel	k ɾ w e l
cu	k u
Cuadonga	k w a ð̞ o ŋ ɡ a
cuadonguismu	k w a ð̞ o ŋ ɡ i z m u
cuadrublar	k w a ð̞ ɾ u β̞ l a ɾ
cualidá	k w a l i ð̞ a
cuarta	k w a ɾ t̪ a
cuarzu	k w a ɾ θ u
Cuaña	k w a ɲ a
Cuba	k u β̞ a
cubierta	k u β̞ j e ɾ t̪ a
cubiertes	k u β̞ j e ɾ t̪ e s
cubierto	k u β̞ j e ɾ t̪ o
cubiertos	k u β̞ j e ɾ t̪ o s
cubiertu	k u β̞ j e ɾ t̪ u
cubil	k u β̞ i l
cucaracha	k u k a ɾ a t͡ʃ a
cuchu	k u t͡ʃ u
cuellu	k w e ʎ u
cuemo	k w e m o
cuentu	k w ẽ n̪ t̪ u
cuenxu	k w ẽ ɲ ʃ u
cuer	k w e ɾ
cuerda	k w e ɾ ð̞ a
cuerpos	k w e ɾ p o s
cuerpu	k w e ɾ p u
cuestión	k w e s̪ t̪ j õ ŋ
cueva	k w e β̞ a
cuidar	k w i ð̞ a ɾ
cuidatible	k w i ð̞ a t̪ i β̞ l e
Cuideiru	k w i ð̞ e i̯ ɾ u
culiebra	k u l j e β̞ ɾ a
culiestros	k u l j e s̪ t̪ ɾ o s
cultura	k u l̪ t̪ u ɾ a
cultural	k u l̪ t̪ u ɾ a l
cume	k u m e
cumpleaños	k ũ m p l i a ɲ o s
cumpleaños	k ũ m p l e a ɲ o s
cumpleaños	k ũ m p l j a ɲ o s
cumu	k u m u
cunqueiru	k u ŋ k e i̯ ɾ u
cuntar	k ũ n̪ t̪ a ɾ
cuquiellu	k u k j e ʎ u
curasán	k u ɾ a s ã ŋ
curatible	k u ɾ a t̪ i β̞ l e
curdión	k u ɾ ð̞ j õ ŋ
curiosina	k u ɾ j o s i n a
curiosines	k u ɾ j o s i n e s
curiosino	k u ɾ j o s i n o
curiosinos	k u ɾ j o s i n o s
curiosu	k u ɾ j o s u
curiosín	k u ɾ j o s ĩ ŋ
curonda	k u ɾ õ n̪ d̪ a
curondia	k u ɾ õ n̪ d̪ j a
curtar	k u ɾ t̪ a ɾ
curuxa	k u ɾ u ʃ a
curuxeru	k u ɾ u ʃ e ɾ u
curuxía	k u ɾ u ʃ i a
curuxín	k u ɾ u ʃ ĩ ŋ
cuspe	k u s p e
cuspiu	k u s p j u
cusu	k u s u
cuyu	k u ʝ u
cuélebre	k w e l e β̞ ɾ e
cuérrabu	k w e r a β̞ u
cáncer	k ã n̟ θ e ɾ
cárcele	k a ɾ θ e l e
célibe	θ e l i β̞ e
cíclope	θ i k l o p e
círculu	θ i ɾ k u l u
cómo	k o m o
cö	k ø
d'	d̪
daltónicu	d̪ a l̪ t̪ o n i k u
dantes	d̪ ã n̪ t̪ e s
daqué	d̪ a k e
dañar	d̪ a ɲ a ɾ
dañible	d̪ a ɲ i β̞ l e
dañu	d̪ a ɲ u
deber	d̪ e β̞ e ɾ
debida	d̪ e β̞ i ð̞ a
debura	d̪ e β̞ u ɾ a
deburar	d̪ e β̞ u ɾ a ɾ
debíu	d̪ e β̞ i u
decapitáu	d̪ e k a p i t̪ a u̯
decatar	d̪ e k a t̪ a ɾ
deceniu	d̪ e θ e n j u
decidida	d̪ e θ i ð̞ i ð̞ a
decidíu	d̪ e θ i ð̞ i u
decisiones	d̪ e θ i s j o n e s
decisión	d̪ e θ i s j õ ŋ
declaraciones	d̪ e k l a ɾ a θ j o n e s
declaración	d̪ e k l a ɾ a θ j õ ŋ
declaráu	d̪ e k l a ɾ a u̯
decoráu	d̪ e k o ɾ a u̯
dedicar	d̪ e ð̞ i k a ɾ
dedicáu	d̪ e ð̞ i k a u̯
definíu	d̪ e f i n i u
Degaña	d̪ e ɡ a ɲ a
degorriu	d̪ e ɡ o r j u
degredu	d̪ e ɡ ɾ e ð̞ u
delda	d̪ e l̪ d̪ a
delegáu	d̪ e l e ɡ a u̯
dello	d̪ e ʎ o
democracia	d̪ e m o k ɾ a θ j a
democratizáu	d̪ e m o k ɾ a t̪ i θ a u̯
democrático	d̪ e m o k ɾ a t̪ i k o
demográfica	d̪ e m o ɡ ɾ a f i k a
demográficos	d̪ e m o ɡ ɾ a f i k o s
demográficu	d̪ e m o ɡ ɾ a f i k u
demorriu	d̪ e m o r j u
dempués	d̪ ẽ m p w e s
denantes	d̪ e n ã n̪ t̪ e s
denantias	d̪ e n ã n̪ t̪ j a s
dende	d̪ ẽ n̪ d̪ e
denotáu	d̪ e n o t̪ a u̯
dentista	d̪ ẽ n̪ t̪ i s̪ t̪ a
dentón	d̪ ẽ n̪ t̪ õ ŋ
denunciella	d̪ e n ũ n̟ θ j e ʎ a
denunciáu	d̪ e n ũ n̟ θ j a u̯
deporte	d̪ e p o ɾ t̪ e
deportivu	d̪ e p o ɾ t̪ i β̞ u
deprendíu	d̪ e p ɾ ẽ n̪ d̪ i u
deprimíu	d̪ e p ɾ i m i u
depuesta	d̪ e p w e s̪ t̪ a
depuestes	d̪ e p w e s̪ t̪ e s
depuesto	d̪ e p w e s̪ t̪ o
depuestos	d̪ e p w e s̪ t̪ o s
depuestu	d̪ e p w e s̪ t̪ u
derive	d̪ e ɾ i β̞ e
deriváu	d̪ e ɾ i β̞ a u̯
desallugar	d̪ e s a ʎ u ɡ a ɾ
descambiar	d̪ e s k ã m b j a ɾ
descentralizáu	d̪ e s̪ θ ẽ n̪ t̪ ɾ a l i θ a u̯
descolonizáu	d̪ e s k o l o n i θ a u̯
descomprimíu	d̪ e s k õ m p ɾ i m i u
descompuesta	d̪ e s k õ m p w e s̪ t̪ a
descompuestes	d̪ e s k õ m p w e s̪ t̪ e s
descompuesto	d̪ e s k õ m p w e s̪ t̪ o
descompuestos	d̪ e s k õ m p w e s̪ t̪ o s
descompuestu	d̪ e s k õ m p w e s̪ t̪ u
desconocíu	d̪ e s k o n o θ i u
descritu	d̪ e s k ɾ i t̪ u
descubierta	d̪ e s k u β̞ j e ɾ t̪ a
descubiertes	d̪ e s k u β̞ j e ɾ t̪ e s
descubierto	d̪ e s k u β̞ j e ɾ t̪ o
descubiertos	d̪ e s k u β̞ j e ɾ t̪ o s
descubiertu	d̪ e s k u β̞ j e ɾ t̪ u
desde	d̪ e z̪ ð̞ e
desdexar	d̪ e z̪ ð̞ e ʃ a ɾ
desenguedeyar	d̪ e s e ŋ ɡ e ð̞ e ʝ a ɾ
desenvueltu	d̪ e s ẽ m b w e l̪ t̪ u
