'ya	j̰ áː
inganta	ʔ ì n ɡ á n t à
inganta	ʔ í n ɡ à n t áː
ingarma	ʔ ì n ɡ á r m àː
inna	ʔ í n n à
isha	ʔ ìː ʃ áː
ishara	ʔ ì ʃ áː r àː
ishe	ʔ í ʃ èː
iska	ʔ í s k àː
istihara	ʔ í s t ì h áː r àː
ita	ʔ í t á
iyali	ʔ ì j áː l ìː
izifi	ʔ í z ì f íː
izini	ʔ í z ì n íː
izni	ʔ í z n ìː
iƙir̃ar̃i	ʔ ì kʼ ì r áː r ìː
ja	d ʒ áː
jace	d ʒ àː t͡ʃ éː
jadawali	d ʒ á d á w à l íː
jafa'i	d ʒ à f áː ʔ ìː
jahadi	d ʒ à h áː d ìː
jahili	d ʒ áː h ì l íː
jaka	d ʒ à k áː
jaki	d ʒ àː k íː
jam'i	d ʒ á m ʔ ìː
jam'iyya	d ʒ à m ʔ í j j àː
jama'a	d ʒ à m á ʔ à
jamhuriya	d ʒ à m h úː r í j àː
jami'a	d ʒ áː m ì ʔ áː
jami'a	d ʒ áː m í ʔ àː
jami'i	d ʒ áː m ì ʔ íː
jana'iza	d ʒ à n áː ʔ í z àː
janaba	d ʒ à n á b àː
janar	d ʒ á n à r
jandarma	d ʒ á n d á r m à
jarida	d ʒ à r íː d àː
jarrabawa	d ʒ á r r à b âː w áː
jawabi	d ʒ à w áː b ìː
jawo	d ʒ áː w óː
jawur	d ʒ àː w ú r
jaza'i	d ʒ à z áː ʔ ìː
jazur	d ʒ àː z ú r
jeri	d ʒ éː ɽ ìː
ji	d ʒ í
jidali	d ʒ ì d áː l ìː
jif	d ʒ î f
jiha	d ʒ í h àː
jihadi	d ʒ ì h áː d ìː
jika	d ʒ í k à
jiki	d ʒ ì k íː
jim	d ʒ í m
jima'i	d ʒ ì m áː ʔ ìː
jimilla	d ʒ ì m í l l àː
jimina	d ʒ ì m í n áː
jimla	d ʒ í m l àː
jimɓirɓir	d ʒ ì m ɓ ì r ɓ ì r
jini	d ʒ í n íː
jinjimi	d ʒ í n d ʒ í m íː
jinsi	d ʒ í n s ìː
jirgi	d ʒ í ɽ ɡ íː
jugum	d ʒ ù ɡ ú m
juwa	d ʒ ù w áː
juzu'i	d ʒ ú z ù ʔ íː
ka	k áː
kabari	k á b à r íː
kabewa	k à b éː w àː
kabila	k à b íː l àː
kaca	k á t͡ʃ àː
kaciya	k àː t͡ʃ í j àː
kada	k á d áː
kadari	k á d à r íː
kado	k àː d ôː
kaf	k á p
kafa	k á f àː
kafa	k á f áː
kafaɗa	k àː f á ɗ àː
kafe	k á f èː
kafin	k àː f ì n
kafiri	k áː f ì r íː
kafur	k áː f ù r
kahuhu	k á h ú h ú
kai	k á i
kai	k â i
kaidi	k á i d ìː
kaigama	k á i ɡ á m à
kaiwa	k á i w áː
kaka	k àː k áː
kakaki	k àː k àː k íː
kalami	k à l áː m ìː
kallo	k á l l óː
kalma	k á l m àː
kaltibeta	k á l t ì b éː t àː
kam	k á m
kamala	k à m áː l àː
kambi	k á m b íː
kamfas	k á m f à s
kamili	k áː m ì l íː
kamin	k àː m ì n , k àː m í n
kamyo	k à m j ôː
kanar	k á n à r
kandu	k á n d úː
kango	k á n ɡ óː
kankana	k á n k á n áː
kanki	k á n k ìː
kanne	k á n n èː
kanta	k á n t àː
kanta	k á n t áː
kanti	k à n t íː
kanumfari	k à n ú m f à r íː
karahiya	k à r áː h í j àː
karama	k à r áː m àː
karanta	k á r à n t áː
kare	k à ɽ éː
kare	k àː r êː
karimi	k à r íː m ìː
karkanda	k á r k à n d à
karuwa	k áː r ù w à
kasat	k áː s à t
kasko	k á s k óː
kaso	k á s ò
kasu	k à s ú
kasuwa	k àː s ú w áː
kasuwanci	k áː s ú w á n t͡ʃ ìː
kati	k áː t ìː
katibi	k áː t ì b íː
katifa	k à t íː f àː
kauci	k á u t͡ʃ ìː
kawu	k àː w ú
kaza	k àː z áː
kazaf	k á z à f
kaɗanya	k á ɗ á n j àː
kaɗo	k áː ɗ ò
keso	k éː s òː
kibiya	k í b í j àː
kifa	k í f àː
kife	k í f èː
kifi	k íː f íː
kili	k ì l îː
kilishi	k í l ì ʃ íː
kimsa	k í m s àː
kindirmo	k ì n d ì r m óː
kirtif	k ì ɽ t í p
kishiya	k íː ʃ ì j áː
kissa	k í s s à
kiyama	k ì j áː m àː
kofi	k òː f íː
kofi	k óː f ìː
kofur	k óː f ù r
kogi	k òː ɡ íː
koka	k óː k àː
koko	k òː k óː
koko	k óː k ó
kolo	k óː l óː
koma	k óː m áː
komi	k óː m íː
komo	k óː m óː
kore	k óː r èː
kori	k óː r ìː
kos	k ô s
kotu	k óː t ù
kowa	k óː w áː
kowanne	k óː w à n n éː
kubbi	k ú b b ì
kucaki	k ù t͡ʃ áː k íː
kudaku	k úː d á k ú , k úː d à k úː
kudu	k ú d ù
kufai	k ú f á i
kuge	k ù ɡ éː
kujera	k ú d ʒ èː ɽ áː
kukuma	k úː k úː m àː
kullum	k ú l l ú m
kumallo	k ù m á l l óː
kumama	k ù m áː m áː
kunama	k ù n áː m àː
kuni	k ù n îː
kunkuru	k ù n k ú ɽ úː
kunne	k ú n n é
kunne	k û n n éː
kunya	k ú n j àː
kunya	k ú n j áː
kurkuku	k û r k ú k ùː
kurma	k ú ɽ m áː
kurmi	k ú ɽ m ìː
kurwa	k ù ɽ w áː
kusa	k ú s á
kuskus	k ú s k ù s
kuɓewa	k ú ɓ èː w áː
kuɗi	k ú ɗ íː
kwabo	kʷ á b òː
kwal	kʷ â l
kwala	kʷ á l àː
kwalekwale	kʷ à l é kʷ à l é
kwamanda	kʷ à m á n d àː
kwamfyuta	kʷ à m fʲ úː t àː
kwana	kʷ á n àː
kwana	kʷ áː n á
kwana	kʷ áː n áː
kwano	kʷ áː n òː
kwaram	kʷ á ɽ à m
kwatsam	kʷ á t sʼ à m
kwaɗo	kʷ àː ɗ óː
kwaɗo	kʷ á ɗ ò
kyaftin	c á f t ì n
kyanwa	c â n w áː
kyat	c â t
kyau	c â u
kyauro	c á u ɽ óː
la'ada	l à ʔ á d àː
la'alla	l à ʔ á l l àː
la'asar	l à ʔ á s à r
la'asariyya	l à ʔ à s á r í j j àː
la'ifi	l à ʔ íː f ìː
laba	l áː b àː
labari	l àː b áː r ìː
labudda	l àː b ú d d à
lacca	l á t͡ʃ t͡ʃ àː
lada	l áː d áː
ladabi	l á d à b ìː
ladan	l àː d â n
ladani	l àː d áː n ìː
lafazi	l á f à z íː
lafi	l áː f ìː
lafiya	l áː f í j àː
laifi	l â i f íː
laima	l á i m àː
laita	l á i t àː
laka	l á k áː
laka	l áː k áː
lakile	l àː k ì l êː
lale	l áː l èː
lalle	l á l l èː
lalle	l á l l éː
lalo	l áː l òː
lam	l á m
lamba	l á m b àː
lambu	l à m b úː
lamiri	l à m íː r ìː
lardi	l á r d ìː
larura	l à r úː r àː
lasin	l áː s ì n
lasisi	l áː s íː s ìː
laskofur	l â s k óː f ù r
latsa	l áː t sʼ àː
launi	l á u n ìː
lauya	l á u j àː
lawur	l áː w ú ɽ
laya	l áː j àː
lazza	l á z z àː
lemo	l èː m óː
lif	l î f
likita	l í k í t à
limam	l ìː m â m
liman	l ìː m â n
linzami	l ì n z áː m ìː
lisha	l ìː ʃ áː
lissafi	l ì s s áː f ìː
littafi	l í t t áː f ìː
loga	l óː ɡ àː
lokaci	l óː k à t͡ʃ íː
lori	l óː r ìː
lu	l ûː
lugga	l ú ɡ ɡ àː
lula	l úː l àː
luleti	l ù l éː t ì
lumana	l ù m áː n àː
luwaɗi	l ù w áː ɗ ìː
luwul	l ú w ù l
luƙwi	l ú kʷʼ íː
ma'aikata	m á ʔ á i k á t áː
ma'amala	m à ʔ áː m á l àː
ma'ana	m à ʔ à n áː
mabiyi	m á b ì j íː
mace	m à t͡ʃ èː
maciji	m á t͡ʃ ìː d ʒ íː
madubi	m á d úː b íː
mafaka	m á f á k áː
mafari	m á f á ɽ íː
magaji	m á ɡ àː d ʒ íː
magajiya	m á ɡ áː d ʒ ì j áː
magana	m à ɡ á n àː
magani	m àː z óː
magariba	m à ɡ à r í b àː
magini	m á ɡ ìː n íː
mago	m á ɡ ó
mahalli	m à h â l l íː
mahawara	m à h áː w á r àː
mai	m â i
maina	m á i n à
maiso	m á i s óː
maita	m â i t áː
majalisa	m à d ʒ à l í s àː
majami'a	m à d ʒ áː m í ʔ àː
majanuni	m à d ʒ à n úː n ìː
makabarta	m á k á b á r t áː
makama	m á k àː m áː
makama	m á k áː m áː
makara	m à k à ɽ áː
makaranta	m á k á r á n t áː
makari	m á k á ɽ íː
makaɗi	m á k à ɗ íː
makaɗi	m á k á ɗ íː
makero	m à k éː ɽ òː
makiyaya	m á k í j áː j áː
makiyayi	m á k ì j àː j íː
mako	m áː k òː
makwanci	m á kʷ á n t͡ʃ íː
mala'ika	m à l áː ʔ í k àː
malam	m áː l à m
malama	m áː l à m áː
malami	m áː l à m íː
mama	m àː m á
mamaki	m àː m áː k ìː
mamaye	m àː m à j éː
mandiri	m à n d íː r ìː
mangariba	m à n ɡ à r í b àː
manhaja	m á n h á d ʒ àː
manja	m á n d ʒ à
manjo	m á n d ʒ ò
manzo	m à n z óː
maraba	m á r àː b á
maraba	m á ɽ á b áː
maraya	m à ɽ áː j àː
maraya	m á ɽ áː j á
maraya	m áː ɽ à j áː
marhabin	m à r h á b ì n
marili	m à r íː l ìː
marini	m á ɽ ì n íː
mariri	m àː ɽ íː ɽ íː
marke	m á ɽ k éː
maroƙi	m á ɽ òː kʼ íː
masallaci	m á s á l l áː t͡ʃ íː
masaniya	m á s á n ì j áː
masara	m á s à r áː
masarauta	m á s á ɽ á u t áː
masassaƙi	m á s à s s à kʼ íː
masassaƙi	m á s á s s á kʼ íː
masauki	m á s á u k íː
masaya	m á s á j áː
masaya	m á s áː j áː
masaƙi	m á s àː kʼ íː
mashahuri	m à ʃ à h úː r ìː
mashaidi	m á ʃ à i d íː
mashar̃ci	m á ʃ á r t͡ʃ íː
mashawar̃ta	m á ʃ áː w á r t áː
mashi	m áː ʃ ìː
mashin	m à ʃ î n
masinja	m áː s í n d ʒ à
mata	m àː t áː
mata	m áː t áː
matala	m à t à l âː
matalauci	m á t à l à u t͡ʃ íː
matsala	m à t sʼ á l àː
matukar̃	m á t ú k á r
matuƙa	m á t ú kʼ áː
maya	m àː j áː
mayani	m á j áː n íː
maye	m àː j éː
maza	m á z á
maza	m á z áː
mazauni	m á z à u n íː
mazauni	m á z á u n íː
mazo	m àː z óː
maƙala	m à kʼ áː l àː
maƙari	m á kʼ áː ɽ íː
maƙil	m àː kʼ í l
maƙiyi	m á kʼ ì j íː
maƙoshi	m á kʼ óː ʃ íː
maƙoƙo	m àː kʼ óː kʼ òː
maƙwabci	m á kʷʼ à b t͡ʃ íː
maɗaba'a	m á ɗ áː b á ʔ áː
maɗaci	m á ɗ àː t͡ʃ íː
mele	m éː l éː
mena	m éː n àː
mesa	m éː s àː
mesin	m éː s ì n
metso	m èː t sʼ óː
miji	m í d ʒ ìː
mim	m í m
minista	m í n í s t à
minti	m í n t ìː
misali	m ì s áː l ìː
mishi	m í ʃ íː
miski	m í s k ìː
miskini	m ì s k íː n ìː
miya	m í j àː
mizani	m íː z áː n ìː
molo	m óː l óː
mota	m óː t àː
mowa	m óː w àː
mu	m úː
mu'amala	m ù ʔ áː m á l àː
mu'ujiza	m ù ʔ ù d ʒ í z àː
mubazzari	m ù b á z z à r íː
muddin	m ú d d ì n
mugu	m úː ɡ ùː
muhibba	m ù h í b b àː
muhimmi	m ù h í m m ìː
muhuri	m ú h úː ɽ íː
mujaddadi	m ù d ʒ á d d à d íː
mujalla	m ù d ʒ á l l àː
mujiya	m úː d ʒ ì j áː
mula	m ù l á
mulki	m ú l k ìː
mulukiya	m ú l úː k í j àː
mumbari	m ú m b à r íː
mumini	m úː m ì n íː
munafuki	m ù n áː f ù k íː
mur	m û r
muradi	m ù r áː d ìː
murfi	m ú ɽ f íː
murhu	m ú ɽ h ùː
murjani	m ù r d ʒ áː n ìː
murtuk	m ù r t ú k
murza	m ù ɽ z áː
murza	m ú ɽ z àː
murzani	m ù r z áː n ìː
musamman	m ù s á m m à n
mushe	m ù ʃ êː
mushe	m úː ʃ èː
mushiriki	m ú ʃ í r ì k íː
mussa	m ú s s à
mussa	m ú s s àː
musulmi	m ù s ù l m íː
mutu	m ú t ù
mutum	m ù t û m
mutunci	m ú t ú n t͡ʃ ìː
mutuwa	m ú t ú w àː
muzi	m úː z íː
muzuru	m ù z úː ɽ úː
muƙami	m ù kʼ áː m ìː
na'am	n à ʔ á m
na'am	n á ʔ à m
na'ibi	n áː ʔ ì b íː
na'ura	n àː ʔ úː r àː
nafila	n áː f í l àː
nahawu	n á h á w ùː
nahiya	n áː h í j àː
naira	n á i r àː
nakiya	n àː k í j àː
nama	n áː m àː
nas	n â s
nasaba	n á s á b àː
nasara	n á s á r àː
nasara	n á s áː r àː
nasaru	n à s àː r úː
nasiha	n à s íː h àː
nau'i	n á u ʔ ìː
nazari	n á z à r íː
nesa	n éː s à
ni	n íː
ni'ima	n í ʔ í m àː
nim	n î m
nisa	n íː s áː
nishaɗi	n ì ʃ áː ɗ ìː
nono	n óː n òː
noti	n óː t ìː
notis	n óː t ì s
nukus	n ù k ù s
nun	n ú n
nuna	n úː n àː
obin	ʔ óː b ì n
ofis	ʔ óː f ì s
oga	ʔ ò ɡ áː
omo	ʔ óː m òː
oza	ʔ óː z àː
parmi	p à r m îː
pasaje	p à s à d ʒ êː
pil	p î l
po	p ôː
ra'ayi	r á ʔ à j íː
ra'i	r áː ʔ ìː
rafani	r áː f àː n íː
ragama	ɽ á ɡ à m áː
rahama	r á h á m àː
rahusa	r à h úː s áː
rai	ɽ â i
rairai	ɽ à i ɽ á i
rairayi	ɽ à i ɽ à j íː
raka'a	r á k á ʔ àː
rake	ɽ à k éː
raki	ɽ áː k ìː
rama	ɽ àː m á
rama	ɽ á m àː
rami	ɽ áː m ìː
ramɓasɓas	r à m ɓ à s ɓ à s
rana	ɽ áː n á
rana	ɽ áː n áː
randa	ɽ à n d áː
rashawa	r á ʃ á w áː
rawani	ɽ á w à n íː
rawaya	ɽ àː w á j àː
raƙumi	ɽ àː kʼ ú m íː
raɓa	ɽ áː ɓ áː
raɗau	r á ɗ á u
rema	ɽ éː m áː
reras	r èː r á s
reza	r éː z àː
ri	r ìː
riba	r ì b á
riba	r íː b àː
ridda	r í d d áː
riga	ɽ ìː ɡ áː
rige	ɽ í ɡ é
rijiya	ɽ íː d ʒ íː j áː
rimi	ɽ íː m íː
rinjaye	ɽ í n d ʒ áː j èː
riris	ɽ í ɽ ì s
riɗi	ɽ íː ɗ íː
rogo	ɽ óː ɡ òː
romo	ɽ óː m óː
ru'uya	r ù ʔ ù j áː
rubu'i	r ú b ù ʔ íː
rubuta	r ú b ùː t áː
ruhu	r úː h ù
rula	r úː l àː
rumbu	ɽ ù m b úː
rumfa	ɽ ù m f áː
runji	ɽ ú n d ʒ ìː
rututu	r ú t ú t ú
ruwa	ɽ ú w á
ruwa	ɽ ú w áː
sa	s âː
sa'a	s á ʔ àː
sa'a	s áː ʔ àː
sa'ida	s à ʔ íː d àː
saba'in	s à b à ʔ í n
sababi	s á b à b íː
sabo	s áː b óː
saboda	s á b òː d à
sada	s áː d àː
sadaka	s á d á k àː
sadaki	s à d âː k íː
sadin	s àː d î n
safa	s à f âː
safa	s àː f áː
safara	s á f á r àː
safe	s áː f é
safi	s áː f íː
sagara	s àː ɡ á ɽ áː
sage	s á ɡ èː
sago	s á ɡ óː
sahani	s à h áː n ìː
sahibi	s áː h ì b íː
sahihi	s à h íː h ìː
sahur	s à h û r
saiwa	s â i w áː
saja	s áː d ʒ àː
sakamako	s àː k à m á k óː
sakan	s á k à n
sakarai	s áː k á r á i
sake	s à k éː
sakiya	s áː k í j á
sako	s à k óː
salama	s à l áː m àː
salati	s à l áː t ìː
salga	s á l ɡ áː
salihi	s áː l ì h íː
salka	s à l k áː
salla	s á l l àː
salo	s á l óː
sama	s á m à
samame	s à m àː m éː
samanja	s àː m á n d ʒ à
samɓal	s à m ɓ á l
samɓalɓal	s à m ɓ à l ɓ à l
sana'a	s à n á ʔ àː
sanar̃wa	s á n â r w áː
sanata	s á n á t àː
sanda	s à n d á
sandal	s á n d à l
sanduƙi	s à n d úː kʼ ìː
sani	s á n ìː
saniya	s áː n ì j áː
sanka	s á n k áː
sannu	s à n n ú
sannu	s á n n ù
sansan	s á n s à n
sansani	s à n s á n íː
santi	s à n t í
sara	s àː ɽ áː
sarai	s á r á i
sarara	s à ɽ à ɽ à
sarauniya	s á ɽ á u n ì j áː
sardauna	s à r d á u n á
sarka	s à r k áː
sarki	s á ɽ k íː
sarƙa	s á ɽ kʼ àː
sashi	s áː ʃ ìː
sata	s áː t àː
sati	s áː t íː
sau	s à u
sau	s á u
sauka	s à u k á
sauka	s à u k áː
sauna	s á u n àː
sauti	s á u t ìː
saye	s à j éː
saye	s àː j éː
saɗara	s à ɗ á r àː
sef	s ê f
sha	ʃ á
sha'ani	ʃ á ʔ à n íː
shaci	ʃ áː t͡ʃ ìː
shadda	ʃ á d d àː
shadda	ʃ â d d áː
shafa	ʃ àː f áː
shafa	ʃ áː f àː
shahada	ʃ à h áː d àː
shaho	ʃ áː h òː
shai'an	ʃ á i ʔ à n
shaihi	ʃ á i h ìː
shaiɗan	ʃ à i ɗ â n
shapo	ʃ à p ôː
sharaɗi	ʃ á r à ɗ íː
sharhi	ʃ á r h ìː
shari'a	ʃ à r í ʔ àː
sharif	ʃ à r î f
sharifi	ʃ à r íː f ìː
sharo	ʃ á r ò
sharri	ʃ á r r ìː
sharu	ʃ à r ûː
shat	ʃ â t
shata	ʃ á t àː
shawar̃a	ʃ áː w á r àː
shayi	ʃ àː j íː
shayi	ʃ áː j ì
shehi	ʃ éː h ìː
shehu	ʃ éː h ùː
shekara	ʃ èː k á ɽ àː
sheƙeƙe	ʃ èː kʼ èː kʼ èː
shi	ʃ í
shida	ʃ í d à
shifta	ʃ í f t àː
shiga	ʃ ì ɡ áː
shin	ʃ í n
shinge	ʃ í n ɡ éː
shinkafa	ʃ ì n k áː f áː
shirim	ʃ ì ɽ ì m
shirka	ʃ í r k àː
shiru	ʃ í ɽ úː
shirwa	ʃ í ɽ w àː
shu'umi	ʃ ú ʔ ù m íː
shugabanci	ʃ úː ɡ á b á n t͡ʃ ìː
shuka	ʃ úː k àː
shuri	ʃ úː ɽ ìː
shuɗi	ʃ úː ɗ ìː
sifiri	s í f ì r íː
siga	s íː ɡ àː
siket	s ì k é t
sila	s í l àː
sili	s íː l ìː
silin	s íː l ì n
sin	s í n
sirdi	s í r d ìː
sista	s í s t àː
sitam	s ì t â m
sitampi	s ì t á m p ìː
sitira	s ì t í r àː
sito	s ì t ó
sittin	s ì t t í n
siyaki	s ì j áː k íː
siyasa	s ì j áː s àː
siɗik	s í ɗ í k
soci	s óː t͡ʃ ì
soja	s óː d ʒ à
sol	s ó l
somi	s óː m ìː
soso	s òː s óː
soye	s òː j éː
su	s ùː
sufana	s ù f áː n àː
sujjada	s ù d ʒ d ʒ á d àː
sukari	s ú k à r íː
sukuku	s ù k ù k ù
sulhu	s ú l h ùː
sum	s ù m
sumul	s ú m ú l
suna	s úː n áː
sunduƙi	s ù n d úː kʼ ìː
sunna	s ú n n àː
sura	s ùː r áː
sura	s úː r àː
suya	s úː j àː
ta'adda	t á ʔ à d d á
tabarau	t à b àː ɽ á u
tabarma	t àː b á ɽ m áː
tabbatarwa	t á b b á t â r w áː
tabo	t á b òː
tadawa	t à d á w àː
tafarki	t á f á ɽ k ìː
tafarnuwa	t à f á r n ú w áː
tafiya	t à f í j àː
tafki	t á f k ìː
tafsiri	t à f s íː r ìː
taga	t áː ɡ àː
tagomashi	t á ɡ óː m à ʃ íː
taguwa	t àː ɡ ú w àː
taguwa	t á ɡ ú w àː
taimako	t à i m á k óː
tajiri	t áː d ʒ ì r íː
takalmi	t àː k à l m íː
takarda	t á k à r d áː
takila	t áː k ì l à
takobi	t á k òː b íː
takunkumi	t àː k ú n k ù m íː
takwas	t á kʷ à s
talaka	t á l à k à
talatin	t à l àː t í n
taliki	t áː l ì k íː
talla	t à l l à
tallafa	t à l l á f àː
tallafa	t á l l áː f à
talle	t á l l éː
talotalo	t à l ó t à l ó
tama	t á m áː
tamanin	t à m àː n í n
tambari	t á m b à ɽ íː
tambaya	t à m b á j àː
tambur	t á m b ù r
tana	t áː n áː
tanaka	t àː n áː k àː
tandu	t á n d úː
tankarki	t à n k á ɽ k ìː
tano	t à n ôː
tantabara	t à n t á b à r áː
tantakwashi	t à n t á kʷ à ʃ íː
tanti	t á n t ìː
tara	t à ɽ áː
tara	t àː ɽ áː
tara	t á r à
tara	t áː ɽ àː
tarbiyya	t à r b í j j àː
tarihi	t áː r íː h ìː
tarnatsa	t á r n á t sʼ áː
taru	t áː ɽ úː
tasa	t áː s àː
tasi	t àː s îː
tasiri	t áː s íː ɽ ìː
taska	t á s k àː
tasku	t á s k ù
taswira	t àː s w íː r àː
tattabara	t à t t á b à r áː
tattasai	t àː t t àː s á i
tattaunawa	t á t t à u n âː w áː
tatul	t àː t ú l
taubashi	t á u b àː ʃ íː
tauhidi	t à u h íː d ìː
tauna	t á u n àː
tauraro	t à u ɽ áː ɽ òː
taure	t á u ɽ èː
tausa	t à u s áː
tautau	t á u t à u
tawada	t à w á d àː
taɓo	t à ɓ óː
tef	t é f
teku	t èː k ú
tela	t éː l à
ti	t îː
tif	t î f
tifa	t íː f àː
tijara	t ì d ʒ áː r àː
tik	t î k
tilas	t íː l à s
tilo	t ìː l óː
tim	t î m
tire	t ì r é
tis'in	t ì s ʔ í n
titi	t íː t ìː
tiƙis	t í kʼ í s
tofa	t óː f áː
toka	t òː k áː
ton	t ó n
toshiya	t óː ʃ í j áː
tozali	t óː z à l íː
tozo	t óː z óː
tsabga	t sʼ á b ɡ àː
tsada	t sʼ áː d á
tsaf	t sʼ á p
tsagagi	t sʼ á ɡ á ɡ íː
tsai	t sʼ á i
tsaka	t sʼ á k à
tsaka	t sʼ á k áː
tsakani	t sʼ à k áː n íː
tsakiya	t sʼ á k í j àː
tsalala	t sʼ á l á l á
tsamiya	t sʼ áː m í j áː
tsari	t sʼ áː ɽ ìː
tsarki	t sʼ á ɽ k íː
tsaro	t sʼ à ɽ óː
tsatsa	t sʼ áː t sʼ àː
tsauni	t sʼ á u n ìː
tsawo	t sʼ á w óː
tsere	t sʼ éː ɽ é
tsibiri	t sʼ ì b í ɽ íː
tsigi	t sʼ íː ɡ íː
tsila	t sʼ íː l á
tsintsiya	t sʼ í n t sʼ í n j áː
tsit	t sʼ í t
tsoho	t sʼ óː h óː
tsoka	t sʼ óː k àː
tsokana	t sʼ óː k à n áː
tsololo	t sʼ òː l òː l òː
tsundum	t sʼ ù n d ù m
tsundum	t sʼ ù n d ú m
tsuntsu	t sʼ ú n t sʼ úː
tubali	t úː b à l íː
tubarkalla	t ù b á r k á l l àː
tuhuma	t ù h ú m àː
tukuf	t ú k ú p
tulu	t ùː l úː
tun	t ú n
tuni	t ù n í
tuni	t ú n ìː
tunkiya	t ú n k ì j áː
tuntu	t ú n t úː
tuntunmi	t ú n t ú n m íː
turare	t ù ɽ àː ɽ éː
turba	t ú ɽ b àː
tururi	t ù ɽ ù ɽ íː
tusa	t úː s àː
tuta	t úː t àː
tutu	t úː t ù
tuwo	t ú w óː
uba	ʔ ù b áː
uda	ʔ úː d à
uku	ʔ ú k ù
ulu	ʔ úː l ù
umra	ʔ ú m r áː
ungozoma	ʔ ù n ɡ óː z òː m à
ungulu	ʔ ù n ɡ ù l ú
ushira	ʔ ú ʃ ì r áː
ushiri	ʔ ú ʃ ì r íː
usur	ʔ ú s ù r
uwa	ʔ ú w áː
uzuri	ʔ ú z ù r íː
uƙuba	ʔ ù kʼ úː b àː
wa'adi	w á ʔ à d íː
wa'azi	w á ʔ à z íː
wada	w à d áː
wada	w àː d áː
waga	w áː ɡ áː
waha	w á h àː
wahala	w à h á l àː
wakili	w à k íː l ìː
wal	w à l
wala	w áː l àː
wala	w áː l áː
walau	w à l à u
wali	w à l îː
wali	w áː l íː
waliyyi	w à l í j j ìː
wallafa	w à l l á f àː
wallahi	w æ ɫ óː p
walƙiya	w à l kʼ í j áː
wando	w à n d óː
wani	w á n í
wanka	w á n k àː
wanka	w á n k áː
wanwar	w à n w á r
wanzam	w à n z â m
wanzami	w à n z áː m ìː
wanzanci	w á n z á n t͡ʃ ìː
ware	w áː ɽ èː
wariya	w áː ɽ í j áː
warwar	w à r w á r
warwas	w à r w á s
warƙa	w á r kʼ àː
wasa	w àː s áː
wasai	w á s á i
wasali	w á s à l íː
wasiyya	w à s í j j àː
wasiƙa	w à s íː kʼ àː
wata	w á t àː
wata	w á t á
wau	w á u
waziri	w à z íː r ì , w à z íː r ìː
waƙa	w á kʼ á
waƙafi	w á kʼ à f íː
wili	w íː l ìː
wofi	w òː f íː
wokaci	w óː k à t͡ʃ íː
wul	w ù l
wul	w ú l
wulik	w ú l í k
wuluk	w ú l ú k
wuridi	w ú r ì d íː
wuski	w ú s k ìː
wuski	w ú s k íː
wuta	w ú t áː
wuya	w ù j áː
wuya	w ú j àː
wuƙa	w ú kʼ áː
yabirbira	j àː b í ɽ b ì ɽ áː
yadda	j á d d à
yadda	j â d d à
yallaɓai	j á l l àː ɓ â i
yamma	j â m m á
yamma	j â m m áː
yanki	j á n k ìː
yanzu	j à n z ú
yari	j à ɽ íː
yarima	j à r íː m à
yarinya	j áː ɽ í n j àː
yaro	j áː ɽ òː
yatsa	j áː t sʼ àː
yautai	j á u t á i
yawa	j á w àː
yawanci	j á w á n t͡ʃ íː
yayyafi	j á j j á f íː
yaƙi	j áː kʼ ìː
yis	j î s
yunƙuri	j ù n kʼ ú ɽ íː
za'ida	z áː ʔ í d àː
zabarjadi	z á b à r d ʒ á d ìː
zafaran	z àː f à r â n
zafi	z áː f íː
zago	z á ɡ óː
zahiri	z áː h ì r íː
zaiba	z á i b àː
zaiti	z á i t ìː
zaitun	z à i t û n
zaki	z áː k ìː
zakka	z à k k áː
zalunci	z áː l ú n t͡ʃ ìː
zama	z á m áː
zamani	z àː m áː n ìː
zamani	z áː m à n íː
zamba	z à m b á
zara	z à ɽ áː
zara	z àː r áː
zare	z à ɽ éː
zare	z àː ɽ éː
zare	z á ɽ èː
zare	z áː ɽ èː
zarto	z á r t òː
zau	z á u
zauna	z á u n àː
zaƙami	z á kʼ à m íː
zaƙaƙa	z à kʼ à kʼ à
zi	z îː
zigidir	z ì ɡ ì d í r
zik	z î k
zikiri	z í k ì r íː
zina	z ì n áː
zinari	z íː n áː r ìː
zinariya	z íː n áː r ì j áː
zira'i	z ì r áː ʔ ìː
zololo	z òː l òː l òː
zomo	z óː m óː
zuma	z ú m àː
zumurrudu	z ú m ù r r ú d ù
zundum	z ù n d ú m
zunubi	z ù n ú b ìː
zuriya	z ù r í j àː
zuwa	z ú w àː
Ɓaɓura	ɓ áː ɓ ù ɽ à
Ɗanjuma	ɗ á n d ʒ úː m à
Ɗanladi	ɗ á n l áː d ì
Ɗanlami	ɗ á n l àː m îː
Ɗantala	ɗ á n t à l áː
Ƙosau	kʼ òː s á u
Ƙudus	kʼ ú d ù s
ƙa'ida	kʼ áː ʔ í d àː
ƙa'imi	kʼ áː ʔ ì m íː
ƙabila	kʼ à b íː l àː
ƙadangare	kʼ à d á n ɡ á ɽ èː
ƙaddara	kʼ à d d á r àː
ƙaddara	kʼ á d d à r áː
ƙafa	kʼ á f àː
ƙaho	kʼ à h óː
ƙal	kʼ á l
ƙala	kʼ áː l àː
ƙamus	kʼ áː m ù s
