'sti	s t iː
erchylltra	ɛ r χ ə ɬ t r a
erthygl	ɛ r θ ɪ ɡ l̩
erthygl	ɛ r θ ɪ ɡ ɪ l
esblygiad	ɛ s p l ə ɡ j a d
esboniadwy	ɛ s p ɔ n j a d ʊ ɨ̯
esboniadwy	ɛ s p ɔ n j aː d ʊ ɨ̯
esgaladur	ɛ s k a l a d ɪ r
esgaladur	ɛ s k a l aː d ɪ r
esgeulus	ɛ s k e i̯ l ɪ s
esgeuluso	ɛ s k e i̯ l iː s ɔ
esgeuluso	ɛ s k e i̯ l ɪ s ɔ
esgid	ɛ s k ɪ d
esgidiau	s k ɪ d j ɛ
esgidiau	s k ɪ d ʒ ɛ
esgidiau	s k ɪ t ʃ ɛ
esgidiau	ɛ s k ɪ d j a i̯
esgob	ɛ s k ɔ b
esgobion	ɛ s k ɔ b j ɔ n
esgor	ɛ s k ɔ r
esgori	ɛ s k oː r i
esgori	ɛ s k ɔ r i
esgoriad	ɛ s k oː r j a d
esgoriad	ɛ s k ɔ r j a d
esgud	ɛ s k ɪ d
esgus	ɛ s k ɪ s
esgusodol	ɛ s k ɪ s oː d ɔ l
esgusodol	ɛ s k ɪ s ɔ d ɔ l
esgyll	ɛ s k ɪ ɬ
esgyn	ɛ s k ɪ n
esgynlawr	ɛ s k ə n l a u̯ r
esgyrn	ɛ s k ɪ r n
est	eː s t
est	ɛ s t
esteriad	ɛ s t ɛ r j a t
esteru	ɛ s t eː r ɨ
esteru	ɛ s t ɛ r ɨ
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɪ s
estyn	ɛ s t ɪ n
estynwlad	ɛ s t ə n w l a d
ewinrhew	ɛ u̯ ɪ n r̥ ɛ u̯
ewinrhewi	ɛ u̯ ɪ n r̥ ɛ u̯ i
ewythr	ɛ u̯ ɪ θ r̩
fast	v a s t
feidr	v e i̯ d r̩
fesigl	v ɛ s ɪ ɡ l̩
fesigl	v ɛ s ɪ ɡ ɪ l
ffacbys	f a kʰ p ɪ s
ffagl	f a ɡ l̩
ffaldwellt	f a l d w ɛ ɬ t
fflasg	f l a s k
ffurfwisg	f ɪ r v w ɪ s k
finegr	v ɪ n ɛ ɡ r̩
finegr	v ɪ n ɛ ɡ ɛ r
frest	v r ɛ s t
gaeafgwsg	ɡ e i̯ a v ɡ ʊ s k
gaeafgysgu	ɡ e i̯ a v ɡ ə s k i
gafl	ɡ a v l̩
gafr	ɡ a v r̩
galanastra	ɡ a l a n a s t r a
gast	ɡ a s t
gastell	ɡ a s t ɛ ɬ
gefn	ɡ ɛ v n̩
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɪ ɬ
gist	ɡ ɪ s t
glasglwyf	ɡ l a s k l u i̯ v
glasgoch	ɡ l a s k ɔ χ
glastwr	ɡ l a s t ʊ r
glastwraidd	ɡ l a s t uː r a i̯ ð
glastwraidd	ɡ l a s t ʊ r a i̯ ð
glastwrllyd	ɡ l a s t ʊ r ɬ ɪ d
glaswellt	ɡ l a s w ɛ ɬ t
glaswst	ɡ l a s ʊ s t
glöyn	ɡ l ɔ w ɪ n
gobr	ɡ ɔ b r̩
gogr	ɡ ɔ ɡ r̩
golosg	ɡ oː l ɔ s k
golosg	ɡ ɔ l ɔ s k
gonest	ɡ oː n ɛ s t
gonest	ɡ ɔ n ɛ s t
gorasgellu	ɡ ɔ r a s k ɛ ɬ i
gorchaifn	ɡ ɔ r χ a i̯ v n̩
gorfanadl	ɡ ɔ r v a n a d l̩
gorfanadl	ɡ ɔ r v aː n a d l̩
gorffwylltra	ɡ ɔ r f ʊ i̯ ɬ t r a
gornest	ɡ ɔ r n ɛ s t
gornestau	ɡ ɔ r n ɛ s t a i̯
gornestau	ɡ ɔ r n ɛ s t ɛ
gornestu	ɡ ɔ r n ɛ s t i
gornestwr	ɡ ɔ r n ɛ s t ʊ r
gornestwyr	ɡ ɔ r n ɛ s t w ɪ r
gosber	ɡ ɔ s p ɛ r
gosgeiddig	ɡ ɔ s k e i̯ ð ɪ ɡ
gosteg	ɡ ɔ s t ɛ ɡ
gostwng	ɡ ɔ s t ʊ ŋ
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwadn	ɡ w a d n̩
gwallt	ɡ w a ɬ t
gwasg	ɡ w a s k
gwasgaru	ɡ w a s k a r i
gwasgaru	ɡ w a s k aː r i
gwasgfa	ɡ w a s k v a
gwasgu	ɡ w a s k i
gwastad	ɡ w a s t a d
gwastatir	ɡ w a s t a tʰ ɪ r
gwastraff	ɡ w a s t r a f
gwastraffu	ɡ w a s t r a f i
gwefr	ɡ w ɛ v r̩
gweithdy	ɡ w e i̯ θ t i
gwellt	ɡ w ɛ ɬ t
gwellta	ɡ w ɛ ɬ tʰ a
gwerslyfr	ɡ w e r s l ɪ v r̩
gwesgyr	ɡ w ɛ s k ɪ r
gwestai	ɡ w ɛ s t a i̯
gwesteion	ɡ w ɛ s t e i̯ ɔ n
gwestiwn	ɡ w̥ʰ ɛ s t j ʊ n
gwesty	ɡ w ɛ s t i
gwifr	ɡ w ɪ v r̩
gwisg	ɡ w ɪ s k
gwisg	ɡ w ɪ ʃ k
gwisgo	ɡ w ɪ s k ɔ
gwisgo	ɡ w ɪ ʃ k ɔ
gwlatgar	ɡ w l a t k a r
gwnest	ɡ w n ɛ s t
gwobr	ɡ w ɔ b r̩
gwrthban	ɡ ʊ r θ p a n
gwrthdystio	ɡ ʊ r θ t ə s d j ɔ
gwrthgyferbyniad	ɡ ʊ r θ k ə v ɛ r b ə n j a d
gwrthgyferbyniol	ɡ ʊ r θ k ə v ɛ r b ə n j ɔ l
gwrthgyferbynnu	ɡ ʊ r θ k ə v ɛ r b ə n i
gwrthgymdeithasol	ɡ ʊ r θ k ə m d e i̯ θ a s ɔ l
gwsberen	ɡ ʊ s p eː r ɛ n
gwsberen	ɡ ʊ s p ɛ r ɛ n
gwsberis	ɡ ʊ s p ɛ r ɪ s
gwst	ɡ ʊ s t
gwychder	ɡ w ɪ χ t ɛ r
gwyllt	ɡ w ɪ ɬ t
gwystl	ɡ w ɪ s t l̩
gwystl	ɡ ʊ i̯ s t l̩
gwystl	ɡ ʊ i̯ s t ɪ l
gymnasteg	d͡ʒ ɪ m n a s t ɛ ɡ
gymnasteg	ɡ ɪ m n a s t ɛ ɡ
gymnastwr	d͡ʒ ɪ m n a s t ʊ r
gymnastwr	ɡ ɪ m n a s t ʊ r
hafgwsg	h a v ɡ ʊ s k
hafgysgu	h a v ɡ ə s k i
hagr	h a ɡ r̩
hallt	h a ɬ t
harddwisg	h a r ð w ɪ s k
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v oː d a i̯
heisteddfodau	h e i̯ s t ɛ ð v oː d ɛ
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a i̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ r ɛ f t
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hepgor	h ɛ p k ɔ r
hesg	h ɛ s k
hesgen	h ɛ s k ɛ n
hirddisgwyliedig	h iː r ð ɪ s k ʊ i̯ l j eː d ɪ ɡ
hirsgwar	h ɪ r s k w a r
hoffest	h ɔ f ɛ s t
hogldy	h ɔ ɡ l̩ d i
hollted	h ɔ ɬ t ɛ d
hollti	h ɔ ɬ t i
holltiad	h ɔ ɬ t j a d
holltog	h ɔ ɬ t ɔ ɡ
hongl	h ɔ ŋ l̩
hosbis	h ɔ s p ɪ s
hosbisau	h ɔ s p ɪ s a i̯
hosbisau	h ɔ s p ɪ s ɛ
huawdl	h iː a u̯ d l̩
huddygl	h ɪ ð ɪ ɡ l̩
hwylustod	h ʊ i̯ l ɪ s t ɔ d
hyllt	h ɪ ɬ t
hylosg	h ə l ɔ s k
hysb	h ɪ s b
hysbys	h ə s p ɪ s
hysbyseb	h ə s p ə s ɛ b
hysbysebion	h ə s p ə s ɛ b j ɔ n
hysbysebu	h ə s p ə s ɛ b i
hysbysfwrdd	h ə s p ə s v ʊ r ð
hysbysiad	h ə s p ə s j a d
hysbysiad	h ə s p ə ʃ a d
hysbysu	h ə s p ə s i
hysgadan	h ə s k a d a n
hysgadan	h ə s k aː d a n
hysgi	h ə s k i
hystafell	h ə s t a v ɛ ɬ
hystafell	h ə s t aː v ɛ ɬ
isdyfiant	ɪ s t ə v j a n tʰ
isosgeles	i s ɔ s k ɛ l ɛ s
isteitl	iː s t e i̯ tʰ l̩
isteitlau	iː s t e i̯ t l̥ʰ a i̯
isteitlau	iː s t e i̯ t l̥ʰ ɛ
isteitlo	iː s t e i̯ t l̥ʰ ɔ
istyfiant	ɪ s t ə v j a n tʰ
jyngl	d͡ʒ ə ŋ ɡ l̩
jyngls	d͡ʒ ə ŋ ɡ l̩ z
jyst	d͡ʒ ə s t
ladl	l a d l̩
leidr	l e i̯ d r̩
lestair	l ɛ s t a i̯ r
lestr	l ɛ s t r̩
lifft	l ɪ f t
lifftiau	l ɪ f t j a i̯
lifftiau	l ɪ f t j ɛ
llaethdai	ɬ e i̯ θ t a i̯
llaethdy	ɬ e i̯ θ t i
llathr	ɬ a θ r̩
llawysgrif	ɬ a u̯ ə s k r ɪ v
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llesg	ɬ ɛ s k
llesgáu	ɬ ɛ s k a i̯
llestair	ɬ ɛ s t a i̯ r
llesteiriad	ɬ ɛ s t e i̯ r j a d
llesteiriannau	ɬ ɛ s t e i̯ r j a n a i̯
llesteiriannau	ɬ ɛ s t e i̯ r j a n ɛ
llesteiriant	ɬ ɛ s t e i̯ r j a n t
llesteiriau	ɬ ɛ s t e i̯ r j a i̯
llesteiriau	ɬ ɛ s t e i̯ r j ɛ
llesteirio	ɬ ɛ s t e i̯ r j ɔ
llestr	ɬ ɛ s t r̩
lletchwithdod	ɬ ɛ t χ w ɪ θ t ɔ t
llofft	ɬ ɔ f t
llofftydd	ɬ ɔ f t ɪ ð
llosg	ɬ ɔ s k
llosgfynydd	ɬ ɔ s k v ə n ɪ ð
llosgi	ɬ ɔ s k i
llosgol	ɬ ɔ s k ɔ l
llosgydd	ɬ ɔ s k ɪ ð
llost	ɬ ɔ s t
llostchwydd	ɬ ɔ s t χ w ɪ ð
llostchwydd	ɬ ɔ s t χ ʊ i̯ ð
llostgyfod	ɬ ɔ s t k ə v ɔ d
llostrudd	ɬ ɔ s t r ɪ ð
lluest	ɬ i ɛ s t
lluesty	ɬ i ɛ s t i
lluesty	ɬ j ɛ s t i
llusg	ɬ ɪ s k
llusgo	ɬ ɪ s k ɔ
llusgwr	ɬ ɪ s k ʊ r
llwfrgi	ɬ ʊ v r̩ ɡ i
llwgrwobr	ɬ ʊ ɡ r w ɔ b r̩
llwgrwobr	ɬ ʊ ɡ r w ɔ b ɔ r
llwgrwobr	ɬ ʊ ɡ w r ɔ b r̩
llwybr	ɬ ʊ i̯ b r̩
llyfr	ɬ ɪ v r̩
llysg	ɬ ɪ s k
llystad	ɬ ɪ s t a d
lyfr	l ɪ v r̩
maestref	m e i s t r ɛ v
mallter	m a ɬ t ɛ r
malltod	m a ɬ t ɔ t
mapgoll	m a p k ɔ ɬ
marchgacwn	m a r χ k a kʰ ʊ n
marchgacynen	m a r χ k a k ə n ɛ n
marchysgall	m a r χ ə s k a ɬ
marddanadl	m a r ð a n a d l̩
marddanadl	m a r ð aː n a d l̩
marwddanadl	m a r w ð a n a d l̩
marwddanadl	m a r w ð aː n a d l̩
masg	m a s k
masgau	m a s k a i̯
masgau	m a s k ɛ
masgiau	m a s k j a i̯
masgiau	m a s k j ɛ
masgio	m a s k j ɔ
masgl	m a s k a l
masgl	m a s k l̩
masnachdy	m a s n a χ t i
mast	m a s t
mastiff	m a s t ɪ f
mastwrbio	m a s t ʊ r b j ɔ
mastyrbio	m a s t ə r b j ɔ
meitrog	m e i̯ tʰ r ɔ k
mellt	m ɛ ɬ t
mellten	m ɛ ɬ t ɛ n
melltith	m ɛ ɬ t ɪ θ
melltithio	m ɛ ɬ t ɪ θ j ɔ
melltithion	m ɛ ɬ t ɪ θ j ɔ n
melyster	m ɛ l ə s t ɛ r
merysbren	m ɛ r ə s p r ɛ n
metr	m ɛ t r̩
mhasbort	m̥ʰ a s p ɔ r tʰ
mhast	m ɦ a s t
mhasta	m̥ʰ a s t a
mhastai	m̥ʰ a s t a i̯
mhobl	m̥ʰ ɔ b l̩
microsgopau	m e i̯ k r̥ʰ ɔ s k ɔ pʰ ɛ
microsgopau	m ɪ k r̥ʰ ɔ s k ɔ pʰ a i̯
moelystota	m ɔ i̯ l ɪ s t ɔ t a
mollt	m ɔ ɬ t
moresg	m oː r ɛ s k
moresg	m ɔ r ɛ s k
moscofium	m ɔ s k ɔ v j ʊ m
mosg	m ɔ s k
mosgiau	m ɔ s k j a i̯
mosgiau	m ɔ s k j ɛ
mrest	m r ɛ s t
musgrell	m ɪ s k r ɛ ɬ
mwnwgl	m ʊ n ʊ ɡ l̩
mwsg	m ʊ s k
mwst	m ʊ s t
mwstasiog	m ʊ s t a ʃ ɔ ɡ
mynachdai	m ə n a χ t a i̯
mynachdy	m ə n a χ t i
mynededig	m ə n ɛ d eː d ɪ ɡ
mysg	m ɪ s k
mysgu	m ə s k i
nabl	n a b l̩
neidr	n e i̯ d r̩
neilltuad	n e i̯ ɬ t iː a d
neithdar	n e i̯ θ t a r
nest	n eː s t
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghefn	ŋ̊ʰ ɛ v n̩
nghestyll	ŋ̊ʰ ɛ s t ɪ ɬ
nghwestiwn	ŋ̊ w̥ʰ ɛ s t j ʊ n
ngwystl	ŋ w ɪ s t l̩
ngwystl	ŋ ʊ i̯ s t l̩
ngwystl	ŋ ʊ i̯ s t ɪ l
nhad	n ɦ aː d
nheigr	n̥ e i̯ ɡ r̩
ochr	ɔ χ r̩
ochrgamu	ɔ χ r̩ ɡ a m i
ocr	ɔ k r̩
odl	ɔ d l̩
ofn	ɔ v n̩
ombwdsmon	ɔ m b ʊ t s m ɔ n
ongl	ɔ ŋ l̩
ongl	ɔ ŋ ɔ l
osgamu	ɔ s k a m i
osgfwrdd	ɔ s k v ʊ r ð
osgiladu	ɔ s k ɪ l a d i
osgiladu	ɔ s k ɪ l aː d i
osgiliad	ɔ s k ɪ l j a t
osgiliadu	ɔ s k ɪ l a d i
osgiliadu	ɔ s k ɪ l aː d i
osgiliadu	ɔ s k ɪ l j a d i
osgiliadu	ɔ s k ɪ l j aː d i
osgiliadur	ɔ s k ɪ l j a d ʊ r
osgiliadur	ɔ s k ɪ l j aː d ʊ r
osgl	ɔ s k l̩
osgl	ɔ s k ɔ l
osgled	ɔ s k l ɛ t
osgoi	ɔ s k ɔ i̯
osgöwr	ɔ s k oː ʊ r
palimpsest	pʰ a l ɪ m pʰ s ɛ s t
pasbort	pʰ a s p ɔ r tʰ
past	pʰ a s t
pasta	pʰ a s t a
pastai	pʰ a s t a i̯
pasteiod	pʰ a s t e i̯ ɔ d
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
pellter	pʰ ɛ ɬ t ɛ r
pendrist	pʰ ɛ n d r ɪ s t
penffestr	p ɛ n f ɛ s t
penysgafn	p ɛ n ə s k a v n
penysgawn	p ɛ n ə s k a u̯ n
perarogl	p ɛ r a r ɔ ɡ l̩
perarogl	p ɛ r a r ɔ ɡ ɔ l
perarogl	p ɛ r aː r ɔ ɡ l̩
perarogl	p ɛ r aː r ɔ ɡ ɔ l
pesto	pʰ ɛ s t ɔ
phasbort	f a s p ɔ r tʰ
phast	f a s t
phasta	f a s t a
phastai	f a s t a i̯
phobl	f ɔ b l̩
picl	pʰ ɪ kʰ l̩
picls	pʰ ɪ kʰ l̩ z
pigdwll	pʰ ɪ k t ʊ ɬ
pistol	pʰ ɪ s t ɔ l
piston	p ɪ s t ɔ n
plastig	pʰ l a s t ɪ k
plisg	pʰ l ɪ s k
pobl	pʰ ɔ b l̩
post	pʰ ɔ s t
poster	pʰ ɔ s t ɛ r
posteri	pʰ ɔ s t eː r i
posteri	pʰ ɔ s t ɛ r i
postio	pʰ ɔ s t j ɔ
postmon	pʰ ɔ s t m o n
postmyn	pʰ ɔ s t m ɪ n
presgripsiwn	p r ɛ s k r ɪ p ʃ ʊ n
prifgost	p r̥ʰ ɪ v ɡ ɔ s t
prifodl	p r iː v ɔ d l̩
prifodl	p r ɪ v ɔ d l̩
protest	p r̥ʰ ɔ tʰ ɛ s t
protestiadau	p r̥ʰ ɔ tʰ ɛ s t j a d a
protestiadau	p r̥ʰ ɔ tʰ ɛ s t j a d a i̯
protestiadau	p r̥ʰ ɔ tʰ ɛ s t j a d ɛ
protestio	p r̥ʰ ɔ tʰ ɛ s t j ɔ
prysg	pʰ r ɪ s k
prysglwyn	pʰ r ə s k l ʊ i̯ n
prysglwyni	pʰ r ə s k l ʊ i̯ n i
prysgwydd	pʰ r ɪ s k w ɨ̞ ð
pumongl	pʰ ɪ m ɔ ŋ l̩
pwyllgor	pʰ ʊ i̯ ɬ k ɔ r
pwyllgora	pʰ ʊ i̯ ɬ k oː r a
pwyllgora	pʰ ʊ i̯ ɬ k ɔ r a
pwyllgorau	pʰ ʊ i̯ ɬ k oː r a i̯
pwyllgorau	pʰ ʊ i̯ ɬ k oː r ɛ
pwyllgorau	pʰ ʊ i̯ ɬ k ɔ r a i̯
pwyllgorau	pʰ ʊ i̯ ɬ k ɔ r ɛ
pysgadain	pʰ ə s k a d a i̯ n
pysgadain	pʰ ə s k aː d a i̯ n
pysgod	pʰ ə s k ɔ d
pysgodfa	pʰ ə s k ɔ d v a
pysgodle	pʰ ə s k ɔ d l ɛ
pysgodyn	pʰ ə s k oː d ɪ n
pysgodyn	pʰ ə s k ɔ d ɪ n
pysgota	pʰ ə s k ɔ tʰ a
pysgotwr	pʰ ə s k ɔ tʰ ʊ r
pâst	pʰ aː s t
rafft	r a f t
restr	r ɛ s t r̩
restr	r ɛ s t ɛ r
rhaeadr	r̥ʰ e i̯ a d r̩
rhafn	r̥ a v n̩
rhedaist	r̥ eː d a i̯ s t
rhedaist	r̥ eː d ɛ s t
rhedaist	r̥ ɛ d a i̯ s t
rhedaist	r̥ ɛ d ɛ s t
rhestr	r̥ʰ ɛ s t r̩
rhestr	r̥ʰ ɛ s t ɛ r
rhestrau	r̥ʰ ɛ s t r a i̯
rhestrau	r̥ʰ ɛ s t r ɛ
rhestri	r̥ʰ ɛ s t r i
rhisgl	r̥ ɪ s k ɪ l
rhisgl	r̥ ɪ ʃ k ɪ l
rhosb	r̥ ɔ s p
rhostio	r̥ ɔ s t j ɔ
rhuddygl	r̥ ɪ ð ɪ ɡ l̩
rhuthr	r̥ ɪ θ r̩
rhwysg	r̥ ʊ i̯ s k
rhwystr	r̥ʰ ʊ i̯ s t r̩
rhwystr	r̥ʰ ʊ i̯ s t ɪ r
rhwystrau	r̥ʰ ʊ i̯ s t r a i̯
rhwystrau	r̥ʰ ʊ i̯ s t r ɛ
rhwystredig	r̥ʰ ʊ i̯ s t r eː d ɪ ɡ
rhwystredig	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ
rhwystredigaeth	r̥ʰ ʊ i̯ s d r ɛ d iː ɡ a i̯ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s d r ɛ d iː ɡ ɛ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ a i̯ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ ɛ θ
rhwystredigaethau	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ e i̯ θ a i̯
rhwystredigaethau	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ e i̯ θ ɛ
rhwystro	r̥ʰ ʊ i̯ s t r ɔ
safngrwn	s a v ŋ̩ ɡ r ʊ n
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sba	s p aː
sbageti	s p a ɡ ɛ t i
sbaner	s p a n ɛ r
sbaner	s p aː n ɛ r
sbardun	s p a r d ɪ n
sbarian	s p a r j a n
sbario	s p a r j ɔ
sbatwla	s p a t ʊ l a
sbec	s p ɛ k
sbecian	s p ɛ k j a n
sbectol	s p ɛ k t ɔ l
sbectolog	s p ɛ k tʰ oː l ɔ ɡ
sbectolog	s p ɛ k tʰ ɔ l ɔ ɡ
sbeis	s p e i̯ s
sbeisiog	s p e i̯ s j ɔ ɡ
sbeisiog	s p e i̯ ʃ ɔ ɡ
sbeislyd	s p e i̯ s l ɪ d
sbel	s p ɛ l
sbelio	s p ɛ l j ɔ
sbelt	s p ɛ l t
sbio	s p iː ɔ
sbleisio	s p l e i̯ s j ɔ
sbleisio	s p l e i̯ ʃ ɔ
sbon	s p ɔ n
sbonc	s p ɔ ŋ k
sboncen	s p ɔ ŋ k ɛ n
sboncio	s p ɔ ŋ k j ɔ
sbonciwr	s p ɔ ŋ k jʰ u r
sbort	s p ɔ r tʰ
sbot	s p ɔ t
sbring	s p r ɪ ŋ
sbriws	s p r ɪ u̯ s
sbwliau	s p ʊ l j a i̯
sbwliau	s p ʊ l j ɛ
sbwlio	s p ʊ l j ɔ
sbwriel	s p ʊ r j ɛ l
sbâr	s p aː r
sbêc	s p eː k
sbôc	s p oː kʰ
sbŵl	s p uː l
scandiwm	s k a n d j ʊ m
schism	s k ɪ s m
sdim	s t ɪ m
seithongl	s e i̯ θ ɔ ŋ l̩
serthder	s ɛ r θ t ɛ r
sgaffald	s k a f a l t
sgan	s k a n
sgarff	s k a r f
sgeifio	s k e i̯ v j ɔ
sgen	s k ɛ n
sgerbwd	s k ɛ r b ʊ t
sgeri	s k eː r i
sgeri	s k ɛ r i
sgert	s k ɛ r t
sgi	s k iː
sgil	s k iː l
sgil	s k ɪ l
sgipio	s k ɪ p jʰ ɔ
sgism	s k ɪ s m
sgiwen	s k i u̯ ɛ n
sglodion	s k l ɔ d j ɔ n
sglods	s k l ɔ d z
sglods	s k l ɔ t s
sglodyn	s k l oː d ɪ n
sglodyn	s k l ɔ d ɪ n
sgorio	s k ɔ r j ɔ
sgorpion	s k ɔ r pʰ j ɔ n
sgramblo	s k r a m b l ɔ
sgrap	s k r a p
sgrech	s k r eː χ
sgrechian	s k r eː χ a n
sgrechian	s k r eː χ ɛ n
sgrechian	s k r ɛ χ a n
sgrechian	s k r ɛ χ j a n
sgrechian	s k r ɛ χ ɛ n
sgri	s k r iː
sgriau	s k r iː a i̯
sgriau	s k r iː ɛ
sgrin	s k r iː n
sgriniau	s k r ɪ n j a i̯
sgriniau	s k r ɪ n j ɛ
sgrinio	s k r i n j ɔ
sgrotwm	s k r ɔ t ʊ m
sgrwff	s k r ʊ f
sgwad	s k w a t
sgwariau	s k w a r j a i̯
sgwariau	s k w a r j ɛ
sgwarnog	s k w a r n ɔ ɡ
sgwd	s k uː d
sgwlio	s k ʊ l j ɔ
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r s j o
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgydau	s k ə d a i̯
sgydau	s k ə d ɛ
sgynni	s k ə n i
sgynno	s k ə n ɔ
sgynnoch	s k ə n ɔ χ
sgynnon	s k ə n ɔ n
sgynnyn	s k ə n ɪ n
sgyrsiol	s k ə r s j o l
sgyrsiol	s k ə r ʃ o l
sgìl	s k ɪ l
sgïo	s k i ɔ
sgôr	s k oː r
silindr	s ɪ l ɪ n d r̩
sisgyn	s ɪ s k ɪ n
siwgr	ʃ ʊ ɡ r̩
sobr	s ɔ b r̩
sosban	s ɔ s p a n
spleinsio	s p l e i̯ n s j ɔ
spleinsio	s p l e i̯ n ʃ ɔ
staen	s t a i̯ n
stafell	s t a v ɛ ɬ
stafell	s t aː v ɛ ɬ
staff	s t a f
stamp	s t a m pʰ
steiloffôn	s t e i̯ l ɔ f oː n
stemar	s t eː m a r
stemar	s t ɛ m a r
stemars	s t eː m a r z
stemars	s t ɛ m a r z
stemio	s t ɛ m j ɔ
stethosgop	s t ɛ θ ɔ s k ɔ pʰ
stilo	s t iː l ɔ
stilo	s t ɪ l ɔ
stimwlws	s t ɪ m ʊ l ʊ s
stiwdio	s t ɪ u̯ d j ɔ
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t oː r i
stori	s t ɔ r i
storm	s t ɔ r m
stormen	s t ɔ r m ɛ n
storïau	s t ɔ r iː a i̯
storïau	s t ɔ r iː ɛ
strach	s t r aː χ
straeon	s t r e i̯ ɔ n
streic	s t r e i̯ kʰ
streiciau	s t r e i̯ k j̊ʰ a i̯
streiciau	s t r e i̯ k j̊ʰ ɛ
streicio	s t r e i̯ k j̊ʰ ɔ
streip	s t r e i̯ pʰ
streulio	s t r e i̯ l j ɔ
strontiwm	s t r ɔ n t jʰ ʊ m
strwythur	s t r ʊ i̯ θ ɪ r
strwythuraeth	s t r ʊ i̯ θ iː r a i̯ θ
strwythuraeth	s t r ʊ i̯ θ ɪ r a i̯ θ
strwythuro	s t r ʊ i̯ θ iː r ɔ
strwythuro	s t r ʊ i̯ θ ɪ r ɔ
stryd	s t r iː d
stwbwrn	s t ʊ b ʊ r n
stwnsh	s t ʊ n ʃ
stwnsio	s t ʊ n ʃ ɔ
stwrio	s t ʊ r j ɔ
stwrsiwn	s t ʊ r ʃ ʊ n
stwrsiynod	s t ʊ r ʃ ə n ɔ d
styfnig	s t ə v n ɪ ɡ
stêm	s t eː m
stŵr	s t uː r
sustem	s ɪ s t ɛ m
swllt	s ʊ ɬ t
sychdarthiad	s ə χ t a r θ j a d
sychdarthu	s ə χ t a r θ i
sychder	s ə χ t ɛ r
sychdwr	s ə χ t ʊ r
syfl	s ɪ v l̩
syllta	s ə ɬ t a
sylltach	s ə ɬ t a χ
syml	s ə m l̩
syml	s ɪ m l̩
symudaist	s ə m iː d a i̯ s t
symudaist	s ə m iː d ɛ s t
symudaist	s ə m ɪ d a i̯ s t
symudaist	s ə m ɪ d ɛ s t
system	s ɪ s t ɛ m
sïedn	s iː ɛ d n̩
sïedn	s iː ɛ d ɛ n
tacl	t a k l̩
tafl	t a v l̩
talaist	t a l a i̯ s t
talaist	t a l ɛ s t
talaist	t aː l a i̯ s t
talaist	t aː l ɛ s t
tanagr	tʰ a n a ɡ r̩
tanagr	tʰ aː n a ɡ r̩
tancwd	tʰ a ŋ kʰ ʊ d
taradr	tʰ a r a d r̩
taradr	tʰ aː r a d r̩
tasg	tʰ a s k
teifl	tʰ e i̯ v l̩
teigr	tʰ e i̯ ɡ r̩
teitl	tʰ e i̯ tʰ l̩
teml	tʰ ɛ m l̩
terfysg	tʰ ɛ r v ɪ s k
terfysgaeth	tʰ ɛ r v ə s k a i̯ θ
terfysgaeth	tʰ ɛ r v ə s k ɛ θ
terfysgaidd	tʰ ɛ r v ə s k a i̯ ð
terfysglyd	tʰ ɛ r v ə s k l ɪ d
terfysgoedd	tʰ ɛ r v ə s k ɔ i̯ ð
terfysgu	tʰ ɛ r v ə s k i
terfysgwr	tʰ ɛ r v ə s k ʊ r
terfysgwyr	tʰ ɛ r v ə s k w ɪ r
terydr	tʰ eː r ɪ d r̩
terydr	tʰ ɛ r ɪ d r̩
testun	t ɛ s t ɪ n
theigr	θ e i̯ ɡ r̩
tolltio	tʰ ɔ ɬ t j ɔ
tost	tʰ ɔ s t
tostio	tʰ ɔ s t j ɔ
trawst	t r̥ʰ a u̯ s t
trawstoriad	t r a u̯ s t ɔ r ɪ
trawstorri	t r a u̯ s t ɔ r i
trawstrefa	t r̥ʰ a u̯ s t r eː v a
