Ace	a c ç e
longko	l ɔ̃ ŋ kʰ ɔ
lontaraʼ	l õ n t̪ʰ a r a ʔ
loʼda	l o ʔ d a
lu'lu'	l u ʔ l u ʔ
luara'	l u a r a ʔ
lurang	l u r ã ŋ
mabeleʼ	m a b e l e ʔ
macang	m a c ç ã ŋ
maiʼ	m ã ĩ ʔ
malasaʼ	m a l a s a ʔ
malla'	m a lː a ʔ
mammi	m ã m m i
mampusuʼ	m a m pʰ u s u ʔ
mandike	m ã n d i k ɛ
mange	m ã ŋ ɛ̃
mangge	m a ŋ ɡ e
mangka	m a ŋ kʰ a
manteleʼ	m ã n t̪ʰ e l e ʔ
mappang	m ã p pʰ ã ŋ
mara	m a r a
marawanting	m a r a w ã n t̪ʰ ĩ ŋ
marica	m a r i c ç a
masaʼ	m a s a ʔ
masidung	m a s i d̪ ũ ŋ
masigiʼ	m a s i ɡ i ʔ
masikì	m a s i kʰ i
masina	m a s i n a
masineseʼ	m a s i n e s e ʔ
masoe	m a s o ɛ
mata	m a tʰ a
matoang	m a t̪ʰ õ ã ŋ
membara'	m e m b a r a ʔ
meong	m ẽ õ ŋ
ming	m i ŋ
minganne	m i ŋ a n n e
mingka	m i ŋ kʰ a
miong	m ĩ õ ŋ
moncong	m õ ɲ c ç õ ŋ
morotàʼ	m ɔ r ɔ t̪ʰ a ʔ
nai'	n a i ʔ
nakke	n a kː ɛ
nangka	n ã ŋ kʰ a
nanunrung	n ã n ũ n r ũ ŋ
naung	n a u ŋ
nekkereʼ	n e k kʰ e r e ʔ
ngai	ŋ a i
ngaseng	ŋ ã s ẽ ŋ
ngaʼngalaʼ	ŋ ã ʔ ŋ ã l ã ʔ
niaʼ	n ĩ ã ʔ
nipisiʼ	n ĩ pʰ i s i ʔ
nyila	ɲ ĩ l a
nyuʼnyang	ɲ u ʔ ɲ ã ŋ
okalaʼ	o kʰ a l a ʔ
olo	ɔ l ɔ
olo'	o l o ʔ
ondang	o n d a ŋ
ongkosi	o ŋ k o s i
ongkosoʼ	o ŋ k o s o ʔ
oto	ɔ t̪ʰ ɔ
pa'balle	p a ʔ b a lː ɛ
pa'lungang	p a ʔ l u ŋ a ŋ
pa'rasangang	p a ʔ r a s a ŋ a ŋ
pa're	p a ʔ r ɛ
pa'risi'	p a ʔ r i s i ʔ
pacce	pʰ a c c ç ɛ
pacco'	p a cː o ʔ
pada	pʰ a d̪ a
padalleʼ	pʰ a d a l l e ʔ
padewakang	pʰ a d e w a kʰ ã ŋ
paduakang	pʰ a d u a kʰ ã ŋ
paenteng	p a e n t e ŋ
painro	p a i n r o
paiʼ	pʰ a i ʔ
paja	pʰ a ɟ ʝ a
pakarruʼ	p a k a rː u ʔ
pakkeʼbuʼ	p a kː e ʔ b u ʔ
pakkuttuang	p a kː u tː u a ŋ
palaʼ	p a l a ʔ
pale	pʰ a l ɛ
palloʼ	pʰ a l l o ʔ
pallu	p a lː u
palu'lu'	p a l u ʔ l u ʔ
pammaja'	p a mː a ɟ a ʔ
panggang	pʰ ã ŋ ɡ ã ŋ
panjaguru'	p a ɲ ɟ a ɡ u r u ʔ
panne	pʰ a n n ɛ̃
pantama	pʰ ã n t̪ʰ a m a
panynyu	p a ɲː u
pappontoang	pʰ a p pʰ ɔ̃ n t̪ʰ ɔ ã ŋ
para	pʰ a r a
parang	pʰ a r ã ŋ
parasèng	pʰ a r a s ẽ ŋ
paraʼoto	pʰ a r a ʔ ɔ t̪ʰ ɔ
pare	pʰ a r ɛ
pareʼ	pʰ a r e ʔ
pariama	pʰ a r i j ã m ã
parinra	p a r i n r a
pariʼbaʼ	p a r i ʔ b a ʔ
passundallang	pʰ a s s ũ n d a l l ã ŋ
pasuluʼ	p a s u l u ʔ
patola	pʰ a t̪ʰ o l a
pattang	pʰ a t t̪ʰ ã ŋ
pattasaʼ	p a tː a s a ʔ
patuʼguruʼ	p a t u ʔ ɡ u r u ʔ
pawa	pʰ a w a
paʼbabelang	pʰ a ʔ ɓ a b e l ã ŋ
paʼdengka	p a ʔ d e ŋ k a
paʼgarringang	p a ʔ ɡ a rː i ŋ a ŋ
paʼlarroang	p a ʔ l a rː ɔ a ŋ
paʼleoʼ	pʰ a ʔ l e o ʔ
paʼmaiʼ	pʰ a ʔ m ã i ʔ
paʼniki	pʰ a ʔ n i kʰ i
paʼnyiki	pʰ a ʔ ɲ i kʰ i
paʼrasangang	pʰ a ʔ r a s a ŋ ã ŋ
pelaʼ	pʰ e l a ʔ
pelleng	pʰ e l l ẽ ŋ
penisiʼ	pʰ e n i s i ʔ
peo'	p e o ʔ
pepe	pʰ ɛ pʰ ɛ
pepeʼ	p e p e ʔ
pera	p e r a
perei	pʰ e r e i
peʼdaʼ	pʰ e ʔ ɗ a ʔ
pia	pʰ i a
pikatu	pʰ i kʰ a t̪ʰ u
pilanngeri	p i l a ŋː e r i
pilisi'	p i l i s i ʔ
pillimang	p i n r u a ŋ
pinduʼ	p i n d u ʔ
pinisi	pʰ i n i s i ʔ
pinisiʼ	pʰ i n i s i ʔ
pinruang	p i n r u a ŋ
pintaʼ	p i n t a ʔ
pirassi	p i r a sː i
pisala	pʰ i s a l a
pisang	p i s a ŋ
piʼru	pʰ i ʔ r u
poca'	p o c a ʔ
pokoʼ	pʰ ɔ kʰ ɔ ʔ
polopèng	pʰ ɔ l ɔ pʰ ẽ ŋ
pongoroʼ	pʰ ɔ ŋ ɔ r ɔ ʔ
porassi	pʰ o r a s s i
poterang	p o t e r a ŋ
potoloʼ	pʰ ɔ t̪ʰ ɔ l ɔ ʔ
poʼ	pʰ o ʔ
pudalleʼ	pʰ u d a l l e ʔ
pulandoʼ	pʰ u l ã n d o ʔ
puli	pʰ u l i
pulisi	pʰ u l i s i
pulitìʼ	pʰ u l i t̪ʰ i ʔ
purassi	pʰ u r a s s i
ra'masa'	r a ʔ m a s a ʔ
rakaʼ	r a kʰ a ʔ
rambutang	r a m b u t ã ŋ
ranggasela	r ã ŋ ɡ a s e l a
rangko	r ã ŋ kʰ ɔ
rannu	r ã n n u
rantasaʼ	r a n t̪ʰ a s a ʔ
rappo	r a p pʰ ɔ
rappung	r a pː u ŋ
rara	r a r a
rarokeng	r a r o k ẽ ŋ
rasa	r a s a
rassi	r a sː i
rate	r a t ɛ
ratu	r a t̪ʰ u
raung	r ã ũ ŋ
rawa	r a w a
raya	r a j a
rekeng	r e kʰ ẽ ŋ
reppe'	r e pː e
ri	r i
ringang	r i ŋ ã ŋ
rinra	r i n r a
rinring	r i n r i ŋ
riolo	r i ɔ l ɔ
riwa	ʼr i w a
roasaʼ	r o a s a ʔ
rokoʼ	r o k o ʔ
romang	r o m a ŋ
rompa	r o m p a
ronrong	r õ n r õ ŋ
rosoʼ	r o s o ʔ
rua	r u a
rukuʼ	r u kʰ u ʔ
rumbia	r u m b i a
rupama	r u pʰ a m a
rupia	r u pʰ i a
rusung	r u s ũ ŋ
sabung	s a b u ŋ
sagantuju	s a ɡ a n t u ɟ u
sala	s a l a
salangga	s a l ã ŋ ɡ a
salapang	s a l a p a ŋ
saleko	s a l e kʰ ɔ
salewangang	s a l e w a ŋ ã ŋ
salibanra	s a l i ɓ ã n r a
sallang	s a lː a ŋ
sallatang	s a l l a t̪ ã ŋ
sallo	s a lː ɔ
saluaraʼ	s a l u a r a ʔ
sampo	s a m p ɔ
sampu	s a m pʰ u
sampulo	s a m p u l ɔ
sannang	s a n n ã ŋ
sapiri	s a p i r i
saraʼbaʼ	s a r a ʔ ɓ a ʔ
saraʼdasi	s a r a ʔ d a s i
sare	s a r ɛ
sarre	s a r r ɛ
sarro	s a r r ɔ
sassa	s a sː a
sassang	s a sː a ŋ
sauru'	s a u r u ʔ
saʼbe	s a ʔ ɓ ɛ
saʼra	s a ʔ r a
saʼraʼ	s a ʔ r a ʔ
se're	s ɛ ʔ r ɛ
sedeng	s e d e ŋ
sekkeʼ	s e k kʰ e ʔ
si'ru'	s i ʔ r u ʔ
siaʼluʼ	s i a ʔ l u ʔ
sikajallài	s i kʰ a ɟ ʝ a l l a i
sikali	s i k a l i
sikaʼdeʼ	s i kʰ a ʔ ɗ e ʔ
sikeʼdeʼ	s i kʰ e ʔ ɗ e ʔ
sikkiri'	s i kː i r i ʔ
sikuyu	s i k u j u
simomboʼ	s i m õ m b õ ʔ
simpung	s ĩ m pʰ ũ ŋ
sinampe'	s i n a m p e ʔ
singaraʼ	s i ŋ a r a ʔ
sipattang	s i pʰ a t̪ t̪ʰ ã ŋ
sirikaya	s i r i kʰ a j a
sisala	s i s a l a
sissi'	s i sː i ʔ
sitoròʼ	s i t̪ʰ o r o ʔ
so'bolo'	s o ʔ b o l o ʔ
sombalaʼ	s o m b a l a ʔ
sombereʼ	s õ m b e r e ʔ
sombong	s ɔ̃ m b ɔ̃ ŋ
songoʼ	s o ŋ o ʔ
soʼri	s o ʔ r i
suaraʼ	s u a r a ʔ
subanngi	s u b a ŋː i
subanngiangang	s u b a ŋː i a ŋ a ŋ
sukkaraʼ	s u k kʰ a r a ʔ
sumakkaraʼ	s u m a k kʰ a r a ʔ
sumpadeng	s u m p a d e ŋ
sundalaʼ	s ũ n d a l a ʔ
sungke	s u ŋ k ɛ
suro	s u r ɔ
ta'bangka	t a ʔ b a ŋ k a
ta'bu	t a ʔ b u
ta'do'do'	t a ʔ d o ʔ d o ʔ
tagalae	t̪ʰ a ɡ a l a e
tagalai	t̪ʰ a ɡ a l a i
tai	t a i
taipa	t̪ʰ a i pʰ a
taja	t̪ʰ a ɟ ʝ a
takaʼbereʼ	t a k a ʔ b e r e ʔ
talapisi	t̪ʰ a l a pʰ i s i
talaʼ	t̪ʰ a l a ʔ
talipòng	t̪ʰ a l i pʰ õ ŋ
tallasaʼ	t̪ʰ a l l a s a ʔ
tallu	t a lː u
tama	t̪ʰ a m a
tammate	t̪ʰ a m m a t e
tamparang	t a m p a r a ŋ
tampiling	t a m p i l i ŋ
tana	t̪ʰ a n a
tanete	t̪ʰ a n ɛ̃ t̪ʰ ɛ̃
tangaraʼ	t̪ʰ a ŋ ã r a ʔ
tangkasaʼ	t̪ʰ ã ŋ kʰ a s a ʔ
tannga	t̪ʰ ã ŋ ŋ ã
tanning	t̪ʰ ã n n ĩ ŋ
tapu	t̪ʰ a pʰ u
tara	t̪ʰ a r a
tarang	t̪ʰ a r ã ŋ
tarangkaʼ	t̪ʰ a r a ŋ kʰ a ʔ
tarawe	t a r a w ɛ
tarung	t̪ʰ a r ũ ŋ
tarungku	t̪ʰ a r ũ ŋ k u
tasaʼ	t̪ʰ a s a ʔ
tassala	t̪ʰ a s s a l a
tassikaʼdeʼ	t̪ʰ a s s i kʰ a ʔ ɗ e ʔ
tassikeʼdeʼ	t̪ʰ a s s i kʰ e ʔ ɗ e ʔ
tau	t̪ʰ a u
tawaro	t̪ʰ a w a r ɔ
tayang	t̪ʰ a j ã ŋ
taʼgalaʼ	t̪ʰ a ʔ ɡ a l a ʔ
taʼmisiʼ	t̪ʰ a ʔ m ĩ s i ʔ
tedong	t e d o ŋ
telang	t̪ʰ e l ã ŋ
telepisi	t̪ʰ ɛ l ɛ pʰ i s i
tena	t e n a
tenreng	t̪ʰ ẽ n r ẽ ŋ
tepo'	t e p o ʔ
terasa'	t e r a s a ʔ
terèng	t̪ʰ ɛ r ẽ ŋ
teʼne	t̪ʰ ɛ ʔ n ɛ
ti'no'	t i ʔ n o ʔ
timboroʼ	t i m b o r o ʔ
timoroʼ	t̪ʰ i m ɔ̃ r ɔ ʔ
tingkoroʼ	t̪ʰ ĩ ŋ kʰ ɔ r ɔ ʔ
tinro	t̪ʰ ĩ n r ɔ
to'do'	t o ʔ d o ʔ
toana	t ɔ a n a
tobo'	t o b o ʔ
toeng	t̪ʰ oʷ ẽ ŋ
toli	t o l i
tolo	t̪ʰ ɔ l ɔ
tompo'	t o m p o ʔ
tongoloʼ	t̪ʰ ɔ ŋ ɔ̃ l ɔ ʔ
toʼdang	t̪ʰ o ʔ ɗ ã ŋ
tuju	t u ɟ u
tukaʼ	t̪ʰ u kʰ a ʔ
tuna	t̪ʰ u n a
tuʼguruʼ	t u ʔ ɡ u r u ʔ
uang	u a ŋ
ularaʼ	u l a r a ʔ
ulu	u l u
unti	u n t i
uring	u r i ŋ
uwuʼ	u w u ʔ
uʼ	u ʔ
uʼrangi	u ʔ r a ŋ ĩ
wajeʼ	w a ɟ ʝ e ʔ
waraʼ	w a r a ʔ
wasseleʼ	w a s s e l e ʔ
wattu	w a t̪ t̪ʰ u
wittiriʼ	w i t̪ t̪ʰ i r i ʔ
yeʼ	j e ʔ
yoʼ	j o ʔ
àdada	a d a d a
àu	a u
