ab	ɑˀ b
kuolmõndpǟva	k u o l m ə n d p æː v ɑ
kuolmõz	k u o l m ə z
kuolmsadā	k u o l m s ɑ d ɑː
kuolmsadāz	k u o l m s ɑ d ɑː z
kuolmtuoistõn	k u o l m t u o i s t ə n
kuolmtuoistõnz	k u o l m t u o i s t ə n z
kuondõ	k u oˀ n d ə
kuondõ	k u o n d ə
kuonnõ	k u oˀ nː ə
kuorbõ	k u o r b ə
kuordi	k u o r d i
kuordist	k u o r d i s t
kuordit	k u o r d i t
kuordõ	k u o r d ə
kuorrõl	k u o rː ə l
kuoŗŗõ	k u o rʲː ə
kuosk	k u o s k
kuostõ	k u o s t ə
Kuoštrõg	k u o ʃ t r ə ɡ
kuotkānõz	k u o t k ɑː n ə z
kuoț	k u o c
kuožžõ	k u oˀ ʒː ə
kuppõnsēmḑa	k u pː ə n s eː m ɟ ɑ
kupšā	k u p ʃ ɑː
kurā	k u r ɑː
Kurāmō	k u r ɑː m ɒː
kurg	k u r ɡ
kurgmōŗa	k u r ɡ m ɒː rʲ ɑ
kurk	k u r k
kurli	k u r l i
Kurmō	k uˀ r m ɒː
kuŗē	k u rʲ eː
kus	k u s
kuskis	k u s k i s
kutsõ	k u t s ə
kuțā	k u c ɑː
kuzzõ	k uˀ zː ə
kuž	k uˀ ʒ
kū	k uː
Kū	k uː
kūdkimdõz	k uː d k i m d ə z
kūdõz	k uː d ə z
kūdsadāz	k uː d s ɑ d ɑː z
kūdtuoistõnz	k uː d t u o i s t ə n z
kūj	k uːˀ j
kūja	k uː j ɑ
kūjastõ	k uː j ɑ s t ə
kūkēra	k uː k eː r ɑ
kūlda	k uː l d ɑ
kūldõ	k uː l d ə
kūlõ	k uː l ə
kūmi	k uː m i
kūoḑi	k uːˀ o ɟ i
kūoḑõn	k uːˀ o ɟ ə n
kūoiba	k uː o i b ɑ
kūok	k uː o k
Kūolka	k uː o l k ɑ
kūolõ	k uː o l ə
kūolõm	k uː o l ə m
kūolta	k uː o l t ɑ
kūoltõ	k uː o l t ə
kūoļma	k uː o ʎ m ɑ
kūona	k uː o n ɑ
kūonda	k uː o n d ɑ
kūondõ	k uː o n d ə
kūora	k uː o r ɑ
kūoral	k uː o r ɑ l
kūorald	k uː o r ɑ l d
kūorbastõ	k uː o r b ɑ s t ə
kūoršõn	k uː o r ʃ ə n
kūortiļ	k uː o r t i ʎ
kūoŗ	k uː o rʲ
kūoŗštõ	k uː o rʲ ʃ t ə
kūož	k uː o ʒ
kūrna	k uː r n ɑ
kūzõ	k uː z ə
kūzõ	k uːˀ z ə
kūž	k uː ʒ
kūžkimdõ	k uː ʒ k i m d ə
kūžsadā	k uː ʒ s ɑ d ɑː
kūžtuoistõn	k uː ʒ t u o i s t ə n
l	l
labā	l ɑ b ɑː
ladā	l ɑ d ɑː
lagdõ	l ɑˀ ɡ d ə
laggõ	l ɑˀ ɡː ə
laggõd	l ɑˀ ɡː ə d
lagtõ	l ɑˀ ɡ t ə
laid	l ɑ i d
laidõr	l ɑ i d ə r
laigā	l ɑ i ɡ ɑː
laint	l ɑ i n t
laitõ	l ɑ i t ə
lajā	l ɑ j ɑː
lakād	l ɑ k ɑː d
lakkõ	l ɑ kː ə
lakt	l ɑ k t
lamātõks	l ɑ m ɑː t ə k s
lamp	l ɑ m p
land	l ɑ n d
langõ	l ɑ n ɡ ə
lapsttarā	l ɑ p s t t ɑ r ɑː
lapsvȱidaji	l ɑ p s v ɤː i d ɑ j i
lask	l ɑ s k
laskõ	l ɑ s k ə
lastā	l ɑ s t ɑː
laš	l ɑ ʃ
latǟrn	l ɑ t æː r n
laz	l ɑˀ z
lāipa	l ɑː i p ɑ
lāiska	l ɑː i s k ɑ
lāmbaz	l ɑː m b ɑ z
lānga	l ɑː n ɡ ɑ
läb	l æˀ b
läbbõ	l æˀ bː ə
läbḑi	l æˀ b ɟ i
läbōrõn	l æˀ b ɒːˀ r ə n
läpš	l æ p ʃ
läul	l æ u l
lǟdõ	l æːˀ d ə
lǟlam	l æː l ɑ m
lǟlamõz	l æː l ɑ m ə z
lǟlamstiz	l æː l ɑ m s t i z
lǟnd	l æːˀ n d
lǟtšõz	l æː t͡ʃ ə z
leb	l eˀ b
lebbõ	l eˀ bː ə
Leišmō	l e i ʃ m ɒː
Leišõmō	l e i ʃ ə m ɒː
lejā	l e j ɑː
lejāvõtāmõd	l e j ɑː v ɯ t ɑː m ə d
lem	l e m
lešk	l e ʃ k
lešknai	l e ʃ k n ɑ i
Lețmō	l e c m ɒː
ležgli	l eˀ ʒ ɡ l i
ležgõl	l eˀ ʒ ɡ ə l
lēba	l eː b ɑ
lēbavīļa	l eː b ɑ v iː ʎ ɑ
lēḑ	l eːˀ ɟ
lēḑ	l eː ɟ
lēḑ	l eː ɟ
lēḑkū	l eːˀ ɟ k uː
lēmi	l eːˀ m i
lēņtš	l eː ɲ t͡ʃ
libḑi	l iˀ b ɟ i
lid	l iˀ d
liegā	l i e ɡ ɑː
liepā	l i e p ɑː
lieppõ	l i e pː ə
liestā	l i e s t ɑː
lieudõ	l i e u d ə
liggõ	l iˀ ɡː ə
likkõ	l i kː ə
liktõ	l i k t ə
lilla	l i lː ɑ
limā	l i m ɑː
linā	l i n ɑː
lind	l i n d
lindõ	l i n d ə
lipīņtõ	l i p iː ɲ t ə
lipšõ	l i p ʃ ə
līdõ	l iː d ə
līebi	l iːˀ e b i
līednaggõrz	l iːˀ e d n ɑˀ ɡː ə r z
līedõg	l iː e d ə ɡ
līedpū	l iːˀ e d p uː
līekõnim	l iːˀ e k ə n iˀ m
līem	l iː e m
līenõ	l iː e n ə
līgõ	l iː ɡ ə
līndamašīn	l iː n d ɑ m ɑ ʃ iː n
līnta	l iː n t ɑ
līst	l iː s t
līt	l iː t
līti	l iː t i
lītiņtõ	l iː t i ɲ t ə
lītõld	l iː t ə l d
lītõltõ	l iː t ə l t ə
līvli	l iː v l i
Līvõmō	l iː v ə m ɒː
līvõz	l iː v ə z
loļ	l o ʎ
lomāstõ	l o m ɑː s t ə
lonkõ	l o n k ə
lop	l o p
lopāndõks	l o p ɑː n d ə k s
loppõ	l o pː ə
loptõ	l o p t ə
lougli	l o u ɡ l i
lougõ	l o u ɡ ə
loul	l o u l
loulõ	l o u l ə
loutš	l o u t͡ʃ
louv	l o u v
lovā	l o v ɑː
lōda	l oː d ɑ
lōdaōrõn	l oː d ɑ ɒːˀ r ə n
lōgstõ	l ɒːˀ ɡ s t ə
lōja	l ɒː j ɑ
lōka	l oː k ɑ
lōlaji	l oː l ɑ j i
lōlami	l oː l ɑ m i
lōlatõ	l oː l ɑ t ə
lōnõz	l ɒːˀ n ə z
lōņtš	l ɒː ɲ t͡ʃ
lōškõz	l ɒː ʃ k ə z
lōtšõz	l ɒːˀ t͡ʃ ə z
lõks	l ɯ k s
lõuglõ	l ɯ u ɡ l ə
lõvvõ	l ɯˀ vː ə
lȭga	l ɯː ɡ ɑ
lȭiga	l ɯː i ɡ ɑ
lȭinag	l ɯː i n ɑ ɡ
lȭinagizt	l ɯː i n ɑ ɡ i z t
lȭinagstāiga	l ɯː i n ɑ ɡ s t ɑː i ɡ ɑ
lȭtstõ	l ɯː t s t ə
lubā	l u b ɑː
lug	l uˀ ɡ
lugdõbrōntõz	l uˀ ɡ d ə b r ɒː n t ə z
luggõ	l uˀ ɡː ə
lugsõnā	l uˀ ɡ s ɯ n ɑː
lum	l uˀ m
lummi	l uˀ mː i
luoik	l u o i k
luškõz	l u ʃ k ə z
lušti	l u ʃ t i
lutārusk	l u t ɑː r u s k
lū	l uː
lūdõ	l uː d ə
lūk	l uː k
lūod	l uː o d
lūodõ	l uː o d ə
lūoima	l uː o i m ɑ
lūoltiji	l uː o l t i j i
lūoltõ	l uː o l t ə
lūom	l uː o m
lūomõz	l uː o m ə z
lūotõ	l uː o t ə
lūotš	l uː o t͡ʃ
Lūž	l uːˀ ʒ
ļ	ʎ
ļäpā	ʎ æ p ɑː
m	m
ma	m ɑ
madāli	m ɑ d ɑː l i
madāltõ	m ɑ d ɑː l t ə
mag	m ɑˀ ɡ
magḑi	m ɑˀ ɡ ɟ i
magḑõ	m ɑˀ ɡ ɟ ə
maggõ	m ɑˀ ɡː ə
maigāz	m ɑ i ɡ ɑː z
maij	m ɑ i j
maits	m ɑ i t s
maitsõ	m ɑ i t s ə
maks	m ɑ k s
maksā	m ɑ k s ɑː
maksõ	m ɑ k s ə
mantõl	m ɑ n t ə l
maņņõ	m ɑˀ ɲː ə
mašīn	m ɑ ʃ iː n
mattõ	m ɑ tː ə
mäg	m æˀ ɡ
mäggõrz	m æˀ ɡː ə r z
mänd	m æ n d
mäng	m æ n ɡ
mängõ	m æ n ɡ ə
märā	m æ r ɑː
märgõ	m æ r ɡ ə
märts	m æ r t s
mätāl	m æ t ɑː l
mǟdlõ	m æːˀ d l ə
mǟrga	m æː r ɡ ɑ
mǟrgandõ	m æː r ɡ ɑ n d ə
mǟtõr	m æː t ə r
mer	m eˀ r
merdõ	m eˀ r d ə
mež	m eˀ ʒ
mēg	m eː ɡ
mēļ	m eː ʎ
midāgõd	m i d ɑː ɡ ə d
midžā	m i d ʒ ɑː
mier	m i eˀ r
miermīez	m i eˀ r m iː e z
miernaigā	m i eˀ r n ɑ i ɡ ɑː
migriki	m iˀ ɡ r i k i
mikš	m i k ʃ
miljon	m i l j o n
minā	m i n ɑː
mingi	m i n ɡ i
mingizkõrd	m i n ɡ i z k ɯ r d
minūt	m i n uː t
mis	m i s
mitikš	m i t i k ʃ
mits	m i t s
mitskimdõ	m i t s k i m d ə
mitš	m i t͡ʃ
mittõ	m i tː ə
mīdõ	m iː d ə
mīedõ	m iː e d ə
mīeldõ	m iː e l d ə
mīez	m iː e z
mīgõ	m iː ɡ ə
mīm	m iː m
mīņa	m iː ɲ ɑ
mīrtõ	m iː r t ə
Moldov	m o l d o v
Moldov	m o l d o u
Moskov	m o s k o v
Moskov	m o s k o u
mō	m ɒː
mō	m ɒːˀ
mōdõ	m ɒːˀ d ə
mōdõ	m ɒː d ə
mōgõr	m ɒː ɡ ə r
mōīlma	m ɒː iː l m ɑ
mōkierā	m ɒː k i e r ɑː
mōl	m ɒː l
mōļțõ	m ɒː ʎ c ə
mōmīez	m ɒː m iː e z
mōnikā	m ɒː n i k ɑː
mōŗa	m ɒː rʲ ɑ
mōškõz	m ɒː ʃ k ə z
mōzõ	m ɒːˀ z ə
mȯistli	m ɤ i s t l i
mȯistõ	m ɤ i s t ə
mȯizõ	m ɤ i z ə
mȯjjõ	m ɤˀ jː ə
mȯlmõd	m ɤˀ l m ə d
mõgā	m ɯ ɡ ɑː
mõiti	m ɯ i t i
mõitiz	m ɯ i t i z
mõlā	m ɯ l ɑː
mõltsi	m ɯ l t s i
mõŗžõ	m ɯˀ rʲ ʒ ə
mõtkõz	m ɯ t k ə z
mõtlõ	m ɯ t l ə
mõtsā	m ɯ t s ɑː
mõtsāizānd	m ɯ t s ɑː i z ɑː n d
mõtsākaits	m ɯ t s ɑː k ɑ i t s
mõtsāsigā	m ɯ t s ɑː s i ɡ ɑː
mõtūks	m ɯ t uː k s
mȭk	m ɯː k
mȭka	m ɯː k ɑ
mȭrda	m ɯː r d ɑ
mudā	m u d ɑː
mudžõ	m uˀ d ʒ ə
muidlõ	m uˀ i d l ə
muini	m u i n i
mulk	m u l k
muļki	m uˀ ʎ k i
munā	m u n ɑː
munādkuoț	m u n ɑː d k u o c
mur	m uˀ r
murd	m u r d
murdõ	m u r d ə
murīkšõ	m u r iː k ʃ ə
murri	m uˀ rː i
murrõ	m uˀ rː ə
murtõ	m uˀ r t ə
muŗŗõ	m uˀ rʲː ə
muskant	m u s k ɑ n t
mustā	m u s t ɑː
Mustānum	m u s t ɑː n u m
muškõz	m u ʃ k ə z
muzīk	m u z iː k
mū	m uː
mūlda	m uː l d ɑ
mūliņ	m uː l i ɲ
mūnda	m uː n d ɑ
mūndakõrd	m uː n d ɑ k ɯ r d
mūoštõks	m uː o ʃ t ə k s
mūpõ	m uː p ə
mūtõ	m uː t ə
n	n
nabā	n ɑ b ɑː
naggõl	n ɑˀ ɡː ə l
naggõr	n ɑˀ ɡː ə r
naggõrz	n ɑˀ ɡː ə r z
nagrõ	n ɑˀ ɡ r ə
nai	n ɑ i
nanā	n ɑ n ɑː
nanāōrõn	n ɑ n ɑː ɒːˀ r ə n
nä	n æ
nädīļ	n æ d iː ʎ
näg	n æˀ ɡ
nägțõ	n æˀ ɡ c ə
nägțõb	n æˀ ɡ c ə b
nämād	n æ m ɑː d
närā	n æ r ɑː
närv	n æ r v
nǟ	n æː
nǟ	n æːˀ
nǟdõ	n æːˀ d ə
nǟlga	n æː l ɡ ɑ
nǟlgastõ	n æː l ɡ ɑ s t ə
nǟna	n æː n ɑ
nǟr	n æː r
ne	n e
nei	n eˀ i
neijen	n eˀ i j eˀ n
neiku	n eˀ i k u
neikuinei	n eˀ i k u i n eˀ i
neisiz	n eˀ i s i z
neitst	n e i t s t
neitški	n e i t͡ʃ k i
neļļõndpǟva	n e ʎː ə n d p æː v ɑ
neļļõz	n e ʎː ə z
nemē	n e m eː
nēḑi	n eː ɟ i
nēļa	n eː ʎ ɑ
nēļakimdõ	n eː ʎ ɑ k i m d ə
nēļakimdõz	n eː ʎ ɑ k i m d ə z
nēļasadā	n eː ʎ ɑ s ɑ d ɑː
nēļasadāz	n eː ʎ ɑ s ɑ d ɑː z
nēļatuoistõn	n eː ʎ ɑ t u o i s t ə n
nēļatuoistõnz	n eː ʎ ɑ t u o i s t ə n z
nētša	n eː t͡ʃ ɑ
ni	n i
nigļiki	n iˀ ɡ ʎ i k i
nim	n iˀ m
nimsõnā	n iˀ m s ɯ n ɑː
nimtõ	n iˀ m t ə
niŗț	n i rʲ c
nizzi	n iˀ zː i
nizzõz	n iˀ zː ə z
nīdõd	n iː d ə d
nīel	n iː e l
nīelõ	n iː e l ə
nīem	n iːˀ e m
nīerõz	n iː e r ə z
nīlba	n iː l b ɑ
nīnõ	n iː n ə
nīņ	n iː ɲ
nīsk	n iː s k
nīski	n iː s k i
nīskõ	n iː s k ə
nīt	n iː t
nītõ	n iː t ə
nīž	n iː ʒ
nīžõ	n iː ʒ ə
no	n o
nodāl	n o d ɑː l
nojjõ	n oˀ jː ə
nominatīv	n o m i n ɑ t iː v
Norvēgij	n o r v eː ɡ i j
Norvēgmō	n o r v eː ɡ m ɒː
nougõd	n oˀ u ɡ ə d
novembõr	n o v e m b ə r
novvõ	n oˀ vː ə
nōgi	n ɒːˀ ɡ i
nōgõ	n ɒːˀ ɡ ə
nōļa	n ɒː ʎ ɑ
nōțõz	n ɒː c ə z
nōvõ	n ɒːˀ v ə
nõddõr	n ɯˀ dː ə r
nõggõl	n ɯˀ ɡː ə l
nõrrõ	n ɯˀ rː ə
nõtk	n ɯ t k
nõtkāz	n ɯ t k ɑː z
nõtkõ	n ɯ t k ə
nõtkõm	n ɯ t k ə m
nõv	n ɯˀ v
nȭrka	n ɯː r k ɑ
nȭŗka	n ɯː rʲ k ɑ
nȭŗkõz	n ɯː rʲ k ə z
nujā	n u j ɑː
nukkõr	n u kː ə r
num	n u m
nummõrz	n u mː ə r z
nurīkšõ	n u r iː k ʃ ə
nuŗm	n u rʲ m
nustõ	n u s t ə
nuššõ	n u ʃː ə
nuttõ	n u tː ə
nūolõ	n uː o l ə
nūoļ	n uː o ʎ
nūoŗ	n uː o rʲ
nūoŗim	n uː o rʲ i m
nūoŗimi	n uː o rʲ i m i
nūoŗkazām	n uː o rʲ k ɑ z ɑː m
nūoŗkū	n uː o rʲ k uː
nūoŗmīez	n uː o rʲ m iː e z
nūoŗpōr	n uː o rʲ p ɒː r
nūoŗpōŗ	n uː o rʲ p ɒː rʲ
nūrka	n uː r k ɑ
nūškõ	n uː ʃ k ə
nūzõ	n uː z ə
ņ	ɲ
ņäpā	ɲ æ p ɑː
o	o
obāļi	o b ɑː ʎ i
obāz	o b ɑː z
obbõ	oˀ bː ə
oksā	o k s ɑː
oksnõ	o k s n ə
okš	o k ʃ
oktōbõr	o k t oː b ə r
opātiji	o p ɑː t i j i
opātõ	o p ɑː t ə
oppõ	o pː ə
oppõr	o pː ə r
optõbrōntõz	o p t ə b r ɒː n t ə z
ortogrāfij	o r t o ɡ r ɑː f i j
oudõ	o u d ə
ougust	o u ɡ u s t
ouk	o u k
ouki	o u k i
ounõmōŗa	oˀ u n ə m ɒː rʲ ɑ
ounõz	oˀ u n ə z
ouŗõ	o u rʲ ə
outō	o u t oː
outōbus	o u t oː b u s
outõ	o u t ə
ov	oˀ v
ovār	o v ɑː r
ovāri	o v ɑː r i
ovāt	o v ɑː t
ovpū	oˀ v p uː
ō	oː
ōbiļ	ɒːˀ b i ʎ
ōbõ	ɒː b ə
ōda	oː d ɑ
ōdõrz	ɒːˀ d ə r z
ōdõz	ɒːˀ d ə z
ōgi	ɒːˀ ɡ i
ōik	ɒː i k
ōj	ɒːˀ j
ōla	ɒː l ɑ
ōļaz	ɒː ʎ ɑ z
ōra	ɒː r ɑ
ōrali	ɒː r ɑ l i
ōrõn	ɒːˀ r ə n
ōŗa	ɒː rʲ ɑ
ōv	ɒːˀ v
ōz	ɒː z
Ȯ	ɤ
ȯ	ɤ
ȱ	ɤː
Ȱ	ɤː
õ	ɯ
õ	ə
õbbi	ɯˀ bː i
õbdi	ɯˀ b d i
õbdõ	ɯˀ b d ə
õigi	ɯ i ɡ i
õigiz	ɯ i ɡ i z
õldzõ	ɯˀ l d z ə
õrā	ɯ r ɑː
õv	ɯˀ v
õvā	ɯ v ɑː
õvātõ	ɯ v ɑː t ə
õvvõ	ɯˀ vː ə
ȭ	ɯː
Ȭ	ɯː
ȭdõg	ɯːˀ d ə ɡ
ȭdõgizt	ɯːˀ d ə ɡ i z t
ȭdõn	ɯːˀ d ə n
ȭg	ɯːˀ ɡ
ȭgõ	ɯː ɡ ə
ȭgõ	ɯːˀ ɡ ə
ȭlma	ɯː l m ɑ
ȭn	ɯː n
ȭrikšõ	ɯː r i k ʃ ə
ȭŗõ	ɯː rʲ ə
p	p
pa	p ɑ
padā	p ɑ d ɑː
paḑā	p ɑ ɟ ɑː
pag	p ɑˀ ɡ
pagalam	p ɑ ɡ ɑ l ɑ m
pagānõz	p ɑ ɡ ɑː n ə z
paggõ	p ɑˀ ɡː ə
paggõl	p ɑˀ ɡː ə l
paikõ	p ɑ i k ə
painõ	p ɑ i n ə
paint	p ɑ i n t
paipõl	p ɑ i p ə l
paistõ	p ɑ i s t ə
paizõ	p ɑ i z ə
paj	p ɑˀ j
pakānd	p ɑ k ɑː n d
pakkõ	p ɑ kː ə
palā	p ɑ l ɑː
palāg	p ɑ l ɑː ɡ
palāndõks	p ɑ l ɑː n d ə k s
paldīņ	p ɑ l d iː ɲ
palg	p ɑ l ɡ
pallõ	p ɑ lː ə
pallõ	p ɑˀ lː ə
pallõ	p ɑˀ lː ə
paļštõ	p ɑ ʎ ʃ t ə
pan	p ɑ n
pandõks	p ɑ n d ə k s
pankok	p ɑ n k o k
paņ	p ɑ ɲ
papīer	p ɑ p iː e r
pappõl	p ɑ pː ə l
paprik	p ɑ p r i k
parāndõ	p ɑ r ɑː n d ə
parāntõ	p ɑ r ɑː n t ə
parāz	p ɑ r ɑː z
partikõl	p ɑ r t i k ə l
partitīv	p ɑ r t i t iː v
paŗ	p ɑˀ rʲ
paŗī	p ɑ rʲ iː
paŗīm	p ɑ rʲ iː m
paŗīmstiz	p ɑ rʲ iː m s t i z
paskā	p ɑ s k ɑː
paskāndõ	p ɑ s k ɑː n d ə
past	p ɑ s t
pastõ	p ɑ s t ə
pat	p ɑ t
patli	p ɑ t l i
patšõ	p ɑ t͡ʃ ə
Pațīkmō	p ɑ c iː k m ɒː
pāika	p ɑː i k ɑ
pāina	p ɑː i n ɑ
pālka	p ɑː l k ɑ
pālkali	p ɑː l k ɑ l i
pānda	p ɑː n d ɑ
pārdaz	p ɑː r d ɑ z
pārmaz	p ɑː r m ɑ z
pāvest	p ɑː v e s t
päkā	p æ k ɑː
päp	p æ p
pärsōn	p æ r s oː n
pästõ	p æ s t ə
päzzõ	p æˀ zː ə
pǟ	p æː
pǟgiņ	p æː ɡ i ɲ
pǟgiņlug	p æː ɡ i ɲ l uˀ ɡ
pǟgiņtõ	p æː ɡ i ɲ t ə
pǟgiņž	p æː ɡ i ɲ ʒ
pǟl	p æː l
pǟldõ	p æː l d ə
pǟlõ	p æː l ə
pǟrna	p æː r n ɑ
Pǟrnov	p æː r n o v
Pǟrnov	p æː r n o u
pǟva	p æː v ɑ
Pǟva	p æː v ɑ
pǟvaīe	p æː v ɑ iː e
pǟvakargimi	p æː v ɑ k ɑ r ɡ i m i
pǟvalūojimi	p æː v ɑ l uː o j i m i
pǟvaļikki	p æː v ɑ ʎ i kː i
pǟvasidām	p æː v ɑ s i d ɑː m
pǟvaval	p æː v ɑ v ɑˀ l
peijõd	p e i j ə d
peislõ	p e i s l ə
peppiņd	p e pː i ɲ d
perīmīez	p e r iː m iː e z
perri	p eˀ rː i
pešlinki	p e ʃ l i n k i
pēgal	p eː ɡ ɑ l
pēgõz	p eːˀ ɡ ə z
pēļ	p eː ʎ
piddõ	p iˀ dː ə
piddõz	p iˀ dː ə z
pids	p iˀ d s
piḑīm	p i ɟ iː m
piedāg	p i e d ɑː ɡ
pieksõ	p i e k s ə
pierā	p i e r ɑː
pierāst	p i e r ɑː s t
pierrõ	p i eˀ rː ə
pierz	p i e r z
pietk	p i e t k
piettõ	p i e tː ə
pietūks	p i e t uː k s
piezā	p i e z ɑː
piezzõ	p i eˀ zː ə
pigā	p i ɡ ɑː
pilktõ	p i l k t ə
piļļi	p i ʎː i
pimdiņtõ	p iˀ m d i ɲ t ə
pimdõ	p iˀ m d ə
piņ	p iˀ ɲ
pipā	p i p ɑː
pippõr	p i pː ə r
pistõ	p i s t ə
piški	p i ʃ k i
piškivīļa	p i ʃ k i v iː ʎ ɑ
pit	p i t
pitkā	p i t k ɑː
pitkit	p i t k i t
pitkittēḑ	p i t k i t t eːˀ ɟ
Pitrõg	p i t r ə ɡ
pițki	p i c k i
piv	p iˀ v
pivā	p i v ɑː
pivākuodā	p i v ɑː k u o d ɑː
pivāli	p i v ɑː l i
pivālind	p i v ɑː l i n d
pivāpǟva	p i v ɑː p æː v ɑ
pivāstõ	p i v ɑː s t ə
Pizā	p i z ɑː
pizār	p i z ɑː r
pīedrõb	p iː e d r ə b
pīemdõ	p iːˀ e m d ə
pīendrõks	p iː e n d r ə k s
pīenti	p iː e n t i
pīentõ	p iː e n t ə
pīer	p iː e r
pīerõ	p iː e r ə
pīerslõ	p iː e r s l ə
pīertõ	p iː e r t ə
pīgõz	p iː ɡ ə z
pīk	p iː k
pīki	p iː k i
pīkstõ	p iː k s t ə
pīla	p iː l ɑ
pīldzi	p iːˀ l d z i
pīlgõmōŗa	p iːˀ l ɡ ə m ɒː rʲ ɑ
pīlgõz	p iːˀ l ɡ ə z
pīlõ	p iːˀ l ə
pīlpaz	p iː l p ɑ z
pīnda	p iː n d ɑ
pīņõ	p iː ɲ ə
pīrag	p iː r ɑ ɡ
pīrgal	p iː r ɡ ɑ l
pīsk	p iː s k
plagā	p l ɑ ɡ ɑː
plakā	p l ɑ k ɑː
plēšõd	p l eː ʃ ə d
plīț	p l iː c
plōț	p l ɒː c
plūm	p l uː m
polākõz	p o l ɑː k ə z
Portugal	p o r t u ɡ ɑ l
Portugāl	p o r t u ɡ ɑː l
poțā	p o c ɑː
poukõ	p o u k ə
povār	p o v ɑː r
pōdõz	p ɒːˀ d ə z
pōgõz	p ɒːˀ ɡ ə z
pōgstõ	p ɒːˀ ɡ s t ə
pōļaz	p ɒː ʎ ɑ z
pōmi	p ɒːˀ m i
pōna	p oː n ɑ
pōr	p ɒː r
pōrkimdõ	p ɒː r k i m d ə
pōŗ	p ɒː rʲ
pōŗkimdõ	p ɒː rʲ k i m d ə
pōțõr	p ɒː c ə r
pōž	p ɒː ʒ
pȯddõ	p ɤˀ dː ə
pȯigõ	p ɤ i ɡ ə
pȯimõ	p ɤ i m ə
pȯis	p ɤ i s
pȯiški	p ɤ i ʃ k i
pȯj	p ɤˀ j
pȯlgõ	p ɤ l ɡ ə
pȯļļõ	p ɤ ʎː ə
pȯļtõ	p ɤ ʎ t ə
pȯrt	p ɤ r t
pȯrtõ	p ɤ r t ə
pȯsk	p ɤ s k
põddõrz	p ɯˀ dː ə r z
põnkt	p ɯ n k t
põnktõ	p ɯ n k t ə
põrm	p ɯ r m
põrmstõ	p ɯ r m s t ə
põŗgõ	p ɯ rʲ ɡ ə
põŗgtõ	p ɯ rʲ ɡ t ə
põzāg	p ɯ z ɑː ɡ
pȭda	p ɯː d ɑ
pȭkt	p ɯːˀ k t
pȭrand	p ɯː r ɑ n d
pȭrna	p ɯː r n ɑ
pȭzõ	p ɯː z ə
Prantsūzmō	p r ɑ n t s uː z m ɒː
Prantšmō	p r ɑ n t͡ʃ m ɒː
prațțõ	p r ɑ cː ə
prepozītsij	p r e p o z iː t s i j
prepozītsijõ	p r e p o z iː t s i j ə
printsip	p r i n t s i p
priš	p r i ʃ
prīestõr	p r iː e s t ə r
problēm	p r o b l eː m
program	p r o ɡ r ɑ m
projekt	p r o j e k t
protsent	p r o t s e n t
prūš	p r uː ʃ
pubā	p u b ɑː
puddõ	p uˀ dː ə
puggõ	p uˀ ɡː ə
punni	p uˀ nː i
purāz	p u r ɑː z
purgõ	p u r ɡ ə
purmõz	p uˀ r m ə z
purōv	p u r oː v
purrõ	p uˀ rː ə
puŗŗõkuoig	p u rʲː ə k u oˀ i ɡ
pusk	p u s k
puskāntõ	p u s k ɑː n t ə
puțkõz	p u c k ə z
pū	p uː
pūdõ	p uː d ə
pūdõz	p uːˀ d ə z
pūdstõ	p uːˀ d s t ə
pūgõ	p uːˀ ɡ ə
pūgõ	p uːˀ ɡ ə
pūgõ	p uː ɡ ə
pūi	p uː i
pūlka	p uː l k ɑ
pūmpar	p uː m p ɑ r
pūnda	p uː n d ɑ
pūnga	p uː n ɡ ɑ
pūoga	p uː o ɡ ɑ
pūois	p uːˀ o i s
pūoj	p uːˀ o j
Pūojmer	p uːˀ o j m eˀ r
pūojtõ	p uːˀ o j t ə
pūol	p uː o l
pūola	p uː o l ɑ
pūolīe	p uː o l iː e
pūolõ	p uː o l ə
pūolpǟva	p uː o l p æː v ɑ
pūoļ	p uː o ʎ
Pūoļmō	p uː o ʎ m ɒː
pūom	p uː o m
pūoraz	p uː o r ɑ z
pūošt	p uː o ʃ t
pūrdaz	p uː r d ɑ z
pūrmaņ	p uː r m ɑ ɲ
pūŗaz	p uː rʲ ɑ z
pūŗitõ	p uː rʲ i t ə
pūstõ	p uːˀ s t ə
pūškõ	p uː ʃ k ə
pūtiļ	p uːˀ t i ʎ
pūtõ	p uː t ə
pūtõks	p uː t ə k s
pūvīļa	p uː v iː ʎ ɑ
r	r
rabā	r ɑ b ɑː
rabbõ	r ɑˀ bː ə
rabdõ	r ɑˀ b d ə
radā	r ɑ d ɑː
radio	r ɑ d i o
radļõ	r ɑˀ d ʎ ə
ragdõ	r ɑˀ ɡ d ə
raigā	r ɑ i ɡ ɑː
raiskõ	r ɑ i s k ə
raj	r ɑˀ j
rakkõ	r ɑ kː ə
raņg	r ɑ ɲ ɡ
ratsõl	r ɑ t s ə l
ratstõ	r ɑ t s t ə
rattõd	r ɑ tː ə d
razā	r ɑ z ɑː
razzi	r ɑˀ zː i
rānda	r ɑː n d ɑ
rāndakēļ	r ɑː n d ɑ k eː ʎ
rāndali	r ɑː n d ɑ l i
räukõ	r æ u k ə
rǟnka	r æː n k ɑ
rǟstõz	r æː s t ə z
rebā	r e b ɑː
rebbi	r eˀ bː i
