Ա	ɑ
աստուճ	ɑ s t u t͡ʃ
աստված	ɑ s t v ɑ t͡s
աստվածաբան	ɑ s t v ɑ t͡s ɑ b ɑ n
աստվածաբանական	ɑ s t v ɑ t͡s ɑ b ɑ n ɑ k ɑ n
աստվածաբանություն	ɑ s t v ɑ t͡s ɑ b ɑ n u t͡sʰ j u n
աստվածաշունչ	ɑ s t v ɑ t͡s ɑ ʃ u n t͡ʃʰ
աստվածյան	ɑ s t v ɑ t͡s j ɑ n
աստվածուհի	ɑ s t v ɑ t͡s u h i
ասր	ɑ s ə ɾ
ասք	ɑ s kʰ
ասֆալտ	ɑ s f ɑ l t
ավագ	ɑ v ɑ kʰ
ավագանի	ɑ v ɑ kʰ ɑ n i
ավագանու	ɑ v ɑ kʰ ɑ n u
ավազ	ɑ v ɑ z
ավազակ	ɑ v ɑ z ɑ k
ավազան	ɑ v ɑ z ɑ n
ավազաքար	ɑ v ɑ z ɑ kʰ ɑ ɾ
ավազուտ	ɑ v ɑ z u t
ավաղ	ɑ v ɑ ʁ
ավան	ɑ v ɑ n
ավանակ	ɑ v ɑ n ɑ k
ավանդ	ɑ v ɑ n d
ավանդական	ɑ v ɑ n d ɑ k ɑ n
ավանդություն	ɑ v ɑ n d u t͡sʰ j u n
ավանդույթ	ɑ v ɑ n d u j tʰ
ավատ	ɑ v ɑ t
ավար	ɑ v ɑ ɾ
ավարտ	ɑ v ɑ ɾ t
ավարտում	ɑ v ɑ ɾ t u m
ավարտուն	ɑ v ɑ ɾ t u n
ավարտված	ɑ v ɑ ɾ t v ɑ t͡s
ավարտվածություն	ɑ v ɑ ɾ t v ɑ t͡s u t͡sʰ j u n
ավիացիա	ɑ v i j ɑ t͡sʰ i j ɑ
ավիշ	ɑ v i ʃ
ավյուն	ɑ v j u n
ավչարկա	ɑ f t͡ʃʰ ɑ ɾ k ɑ
ավստրալիական	ɑ f s t ɾ ɑ l i j ɑ k ɑ n
ավստրալիացի	ɑ f s t ɾ ɑ l j ɑ t͡sʰ i
ավստրիական	ɑ f s t ɾ i j ɑ k ɑ n
ատակ	ɑ t ɑ k
ատաղձ	ɑ t ɑ ʁ d͡z
ատամ	ɑ t ɑ m
ատաման	ɑ t ɑ m ɑ n
ատամնաբույժ	ɑ t ɑ m n ɑ b u j ʒ
ատամնաբույժ	ɑ t ɑ m n ɑ b u ʒ
ատամնային	ɑ t ɑ m n ɑ j i n
ատամնաշար	ɑ t ɑ m n ɑ ʃ ɑ ɾ
ատդուշի	ɑ t d u ʃ i
ատկատ	ɑ t k ɑ t
ատյան	ɑ t j ɑ n
ատյան	ɑ t͡s j ɑ n
ատտա	ɑ tː ɑ
ատրագույն	ɑ t ɾ ɑ ɡ u j n
ատրճան	ɑ t ə ɾ t͡ʃ ɑ n
ատրճանակ	ɑ t ə ɾ t͡ʃ ɑ n ɑ k
ատրուշան	ɑ t ɾ u ʃ ɑ n
ար	ɑ ɾ
արա	ɑ ɾ ɑ
արաբ	ɑ ɾ ɑ b
արաբական	ɑ ɾ ɑ b ɑ k ɑ n
արագ	ɑ ɾ ɑ ɡ
արագաշարժ	ɑ ɾ ɑ ɡ ɑ ʃ ɑ ɾ ʒ
արագաչափ	ɑ ɾ ɑ ɡ ɑ t͡ʃʰ ɑ pʰ
արագարար	ɑ ɾ ɑ ɡ ɑ ɾ ɑ ɾ
արագացում	ɑ ɾ ɑ ɡ ɑ t͡sʰ u m
արագացուցիչ	ɑ ɾ ɑ ɡ ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
արագիլ	ɑ ɾ ɑ ɡ i l
արագություն	ɑ ɾ ɑ ɡ u t͡sʰ j u n
արած	ɑ ɾ ɑ t͡s
արական	ɑ ɾ ɑ k ɑ n
արաղ	ɑ ɾ ɑ ʁ
արամբի	ɑ ɾ ɑ m b i
արատ	ɑ ɾ ɑ t
արար	ɑ ɾ ɑ ɾ
արարած	ɑ ɾ ɑ ɾ ɑ t͡s
արարիչ	ɑ ɾ ɑ ɾ i t͡ʃʰ
արարյալ	ɑ ɾ ɑ ɾ j ɑ l
արարք	ɑ ɾ ɑ ɾ kʰ
արաց	ɑ ɾ ɑ t͡sʰ
արբանյակ	ɑ ɾ b ɑ n j ɑ k
արբանյակային	ɑ ɾ b ɑ n j ɑ k ɑ j i n
արբուն	ɑ ɾ b u n
արբուն	ɑ ɾ pʰ u n
արբունք	ɑ ɾ pʰ u ŋ kʰ
արգանակ	ɑ ɾ ɡ ɑ n ɑ k
արգանդ	ɑ ɾ ɡ ɑ n d
արգանդային	ɑ ɾ ɡ ɑ n d ɑ j i n
արգասիք	ɑ ɾ ɡ ɑ s i kʰ
արգավանդ	ɑ ɾ ɡ ɑ v ɑ n d
արդ	ɑ ɾ d
արդ	ɑ ɾ tʰ
արդար	ɑ ɾ tʰ ɑ ɾ
արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u t͡sʰ j u n
արդարացի	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ i
արդարացում	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ u m
արդարություն	ɑ ɾ tʰ ɑ ɾ u t͡sʰ j u n
արդի	ɑ ɾ d i
արդիական	ɑ ɾ d i j ɑ k ɑ n
արդիականացում	ɑ ɾ d i j ɑ k ɑ n ɑ t͡sʰ u m
արդյամբ	ɑ ɾ d j ɑ m pʰ
արդյան	ɑ ɾ d j ɑ n
արդյուն	ɑ ɾ tʰ j u n
արդյունք	ɑ ɾ tʰ j u ŋ kʰ
արդուկ	ɑ ɾ tʰ u k
արթնանալ	ɑ ɾ tʰ n ɑ n ɑ l
արթուն	ɑ ɾ tʰ u n
արժան	ɑ ɾ ʒ ɑ n
արժանահավատ	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ t
արժանահավատություն	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ t u t͡sʰ j u n
արժանանալ	ɑ ɾ ʒ ɑ n ɑ n ɑ l
արժանապատվություն	ɑ ɾ ʒ ɑ n ɑ p ɑ t v u t͡sʰ j u n
արժանի	ɑ ɾ ʒ ɑ n i
արժույթ	ɑ ɾ ʒ u j tʰ
արի	ɑ ɾ i
արիական	ɑ ɾ i j ɑ k ɑ n
արիշտա	ɑ ɾ i ʃ t ɑ
արիություն	ɑ ɾ i j u t͡sʰ j u n
արխ	ɑ ɾ χ
արխալուղ	ɑ ɾ χ ɑ l u ʁ
արխային	ɑ ɾ χ ɑ j i n
արխիվ	ɑ ɾ χ i v
արծաթ	ɑ ɾ t͡s ɑ tʰ
արծաթապատ	ɑ ɾ t͡s ɑ tʰ ɑ p ɑ t
արծաթասիրություն	ɑ ɾ t͡s ɑ tʰ ɑ s i ɾ u t͡sʰ j u n
արծաթի	ɑ ɾ t͡s ɑ tʰ i
արծաթյա	ɑ ɾ t͡s ɑ tʰ j ɑ
արծիվ	ɑ ɾ t͡s i v
արծվաբույն	ɑ ɾ t͡s v ɑ b u j n
արծվաբուն	ɑ ɾ t͡s v ɑ b u n
արծվառյուծ	ɑ ɾ t͡s v ɑ r j u t͡s
արծվի	ɑ ɾ t͡s v i
արծրունյաց	ɑ ɾ t͡s ɾ u n j ɑ t͡sʰ
արկ	ɑ ɾ k
արկղ	ɑ ɾ k ə ʁ
արհամարհ	ɑ r h ɑ m ɑ ɾ
արհամարհ	ɑ ɾ h ɑ m ɑ ɾ
արձագանք	ɑ ɾ d͡z ɑ ɡ ɑ ŋ kʰ
արձակ	ɑ ɾ t͡sʰ ɑ k
արձակուրդ	ɑ ɾ t͡sʰ ɑ k u ɾ tʰ
արձան	ɑ ɾ d͡z ɑ n
արձան	ɑ ɾ t͡sʰ ɑ n
արձանագրություն	ɑ ɾ d͡z ɑ n ɑ ɡ ɾ u t͡sʰ j u n
արճիճ	ɑ ɾ t͡ʃ i t͡ʃ
արմ	ɑ ɾ m
արմանալ	ɑ ɾ m ɑ n ɑ l
արմավ	ɑ ɾ m ɑ v
արմատ	ɑ ɾ m ɑ t
արմատաքի	ɑ ɾ m ɑ t ɑ kʰ i
արմունկ	ɑ ɾ m u ŋ k
արյուն	ɑ ɾ j u n
արյունաբանություն	ɑ ɾ j u n ɑ b ɑ n u t͡sʰ j u n
արյունաքամ	ɑ ɾ j u n ɑ kʰ ɑ m
արնախում	ɑ ɾ n ɑ χ u m
արշալույս	ɑ ɾ ʃ ɑ l u j s
արշավ	ɑ ɾ ʃ ɑ v
արշավանք	ɑ ɾ ʃ ɑ v ɑ ŋ kʰ
արշին	ɑ ɾ ʃ i n
արու	ɑ ɾ u
արույր	ɑ ɾ u j ɾ
արուն	ɑ ɾ u n
արջ	ɑ ɾ t͡ʃʰ
արջամուկ	ɑ ɾ t͡ʃʰ ɑ m u k
արջառ	ɑ ɾ t͡ʃʰ ɑ r
արջասպ	ɑ ɾ d͡ʒ ɑ s p
արջուկ	ɑ ɾ t͡ʃʰ u k
արվարձան	ɑ ɾ v ɑ ɾ d͡z ɑ n
արտ	ɑ ɾ t
արտագաղթ	ɑ ɾ t ɑ ɡ ɑ χ tʰ
արտադրանք	ɑ ɾ t ɑ d ɾ ɑ ŋ kʰ
արտադրություն	ɑ ɾ t ɑ d ɾ u t͡sʰ j u n
արտալա	ɑ ɾ t ɑ l ɑ
արտախուրակ	ɑ ɾ t ɑ χ u ɾ ɑ k
արտակարգ	ɑ ɾ t ɑ k ɑ ɾ kʰ
արտահայտություն	ɑ ɾ t ɑ h ɑ j t u t͡sʰ j u n
արտահանձնում	ɑ ɾ t ɑ h ɑ n d͡z n u m
արտահանում	ɑ ɾ t ɑ h ɑ n u m
արտամղում	ɑ ɾ t ɑ m ə ʁ u m
արտաշիրմում	ɑ ɾ t ɑ ʃ i ɾ m u m
արտապատվիրում	ɑ ɾ t ɑ p ɑ t v i ɾ u m
արտասահման	ɑ ɾ t ɑ s ɑ h m ɑ n
արտասահմանցի	ɑ ɾ t ɑ s ɑ h m ɑ n t͡sʰ i
արտասանություն	ɑ ɾ t ɑ s ɑ n u t͡sʰ j u n
արտասունք	ɑ ɾ t ɑ s u ŋ kʰ
արտասուք	ɑ ɾ t ɑ s u kʰ
արտավար	ɑ ɾ t ɑ v ɑ ɾ
արտարժույթ	ɑ ɾ t ɑ ɾ ʒ u j tʰ
արտաքին	ɑ ɾ t ɑ kʰ i n
արտաքուստ	ɑ ɾ t ɑ kʰ u s t
արտույտ	ɑ ɾ t u j t
արցախյան	ɑ ɾ t͡sʰ ɑ χ j ɑ n
արցախցի	ɑ ɾ t͡sʰ ɑ χ t͡sʰ i
արցունք	ɑ ɾ t͡sʰ u ŋ kʰ
արփի	ɑ ɾ pʰ i
արքա	ɑ ɾ kʰ ɑ
արքադ	ɑ ɾ kʰ ɑ d
արքայադուստր	ɑ ɾ kʰ ɑ j ɑ d u s t ə ɾ
արքայազն	ɑ ɾ kʰ ɑ j ɑ z ə n
արքայական	ɑ ɾ kʰ ɑ j ɑ k ɑ n
արքայանարինջ	ɑ ɾ kʰ ɑ j ɑ n ɑ ɾ i n d͡ʒ
արքայասպան	ɑ ɾ kʰ ɑ j ɑ s p ɑ n
արքայություն	ɑ ɾ kʰ ɑ j u t͡sʰ j u n
արքատ	ɑ ɾ kʰ ɑ t
արքունի	ɑ ɾ kʰ u n i
արքունիք	ɑ ɾ kʰ u n i kʰ
ափ	ɑ pʰ
ափափա	ɑ pʰ ɑ pʰ ɑ
ափի	ɑ pʰ i
ափու	ɑ pʰ u
ափսար	ɑ pʰ s ɑ ɾ
աք	ɑ kʰ
աքաղաղ	ɑ kʰ ɑ ʁ ɑ ʁ
աքայական	ɑ kʰ ɑ j ɑ k ɑ n
աքացի	ɑ kʰ ɑ t͡sʰ i
աքիս	ɑ kʰ i s
աքցան	ɑ kʰ t͡sʰ ɑ n
աֆղան	ɑ f ʁ ɑ n
աֆրիկական	ɑ f ɾ i k ɑ k ɑ n
աֆրիկանս	ɑ f ɾ i k ɑ n s
աֆրիկացի	ɑ f ɾ i k ɑ t͡sʰ i
աֆրիկյան	ɑ f ɾ i k j ɑ n
բ	b ə
բաբան	b ɑ b ɑ n
բագաժնիկ	b ɑ ɡ ɑ ʒ n i k
բագին	b ɑ ɡ i n
բադ	b ɑ d
բադակտուց	b ɑ d ɑ k ə t u t͡sʰ
բադրիջան	b ɑ d ɾ i d͡ʒ ɑ n
բազա	b ɑ z ɑ
բազազ	b ɑ z ɑ z
բազալտ	b ɑ z ɑ l t
բազկաթան	b ɑ z k ɑ tʰ ɑ n
բազմագիտակարգային	b ɑ z m ɑ ɡ i t ɑ k ɑ ɾ kʰ ɑ j i n
բազմագույն	b ɑ z m ɑ ɡ u j n
բազմազան	b ɑ z m ɑ z ɑ n
բազմազանություն	b ɑ z m ɑ z ɑ n u t͡sʰ j u n
բազմաթիվ	b ɑ z m ɑ tʰ i v
բազմածաղիկ	b ɑ z m ɑ t͡s ɑ ʁ i k
բազմակնություն	b ɑ z m ɑ k ə n u t͡sʰ j u n
բազմամարդ	b ɑ z m ɑ m ɑ ɾ tʰ
բազմանալ	b ɑ z m ɑ n ɑ l
բազմապատկիչ	b ɑ z m ɑ p ɑ t k i t͡ʃʰ
բազմապատկում	b ɑ z m ɑ p ɑ t k u m
բազմաստվածություն	b ɑ z m ɑ s t v ɑ t͡s u t͡sʰ j u n
բազմացում	b ɑ z m ɑ t͡sʰ u m
բազմիցս	b ɑ z m i t͡sʰ ə s
բազմություն	b ɑ z m u t͡sʰ j u n
բազուկ	b ɑ z u k
բազում	b ɑ z u m
բազրիք	b ɑ z ɾ i kʰ
բաժ	b ɑ ʒ
բաժակ	b ɑ ʒ ɑ k
բաժանմունք	b ɑ ʒ ɑ n m u ŋ kʰ
բաժանում	b ɑ ʒ ɑ n u m
բաժին	b ɑ ʒ i n
բալ	b ɑ l
բալալայկա	b ɑ l ɑ l ɑ j k ɑ
բալախ	b ɑ l ɑ χ
բալակլավա	b ɑ l ɑ k l ɑ v ɑ
բալանս	b ɑ l ɑ n s
բալատուր	b ɑ l ɑ t u ɾ
բալթիկ	b ɑ l tʰ i k
բալիկ	b ɑ l i k
բալնիցա	b ɑ l n i t͡sʰ ɑ
բախ	b ɑ χ
բախյուն	b ɑ χ j u n
բախում	b ɑ χ u m
բախչա	b ɑ χ t͡ʃʰ ɑ
բախտ	b ɑ χ t
բախտախաղ	b ɑ χ t ɑ χ ɑ ʁ
բակ	b ɑ k
բակլա	b ɑ k l ɑ
բահ	b ɑ h
բահակ	b ɑ h ɑ k
բահամյան	b ɑ h ɑ m j ɑ n
բահայի	b ɑ h ɑ j i
բահի	b ɑ h i
բահիկ	b ɑ h i k
բաղ	b ɑ ʁ
բաղադրիչ	b ɑ ʁ ɑ d ɾ i t͡ʃʰ
բաղաձայն	b ɑ ʁ ɑ d͡z ɑ j n
բաղարջ	b ɑ ʁ ɑ ɾ d͡ʒ
բաղբաջանք	b ɑ ʁ b ɑ d͡ʒ ɑ ŋ kʰ
բաղդատական	b ɑ ʁ d ɑ t ɑ k ɑ n
բաղխում	b ɑ χː u m
բաղկանալ	b ɑ χ k ɑ n ɑ l
բաղձալ	b ɑ ʁ d͡z ɑ l
բաղձանք	b ɑ ʁ d͡z ɑ ŋ kʰ
բաղնիք	b ɑ ʁ n i kʰ
բաղչա	b ɑ χ t͡ʃʰ ɑ
բամբակ	b ɑ m b ɑ k
բամբաս	b ɑ m b ɑ s
բամբասանք	b ɑ m b ɑ s ɑ ŋ kʰ
բամբարա	b ɑ m b ɑ ɾ ɑ
բամբիշ	b ɑ m b i ʃ
բամիա	b ɑ m i j ɑ
բայ	b ɑ j
բայղուշ	b ɑ j ʁ u ʃ
բայց	b ɑ j t͡sʰ
բան	b ɑ n
բանադրանք	b ɑ n ɑ d ɾ ɑ ŋ kʰ
բանալ	b ɑ n ɑ l
բանալի	b ɑ n ɑ l i
բանակ	b ɑ n ɑ k
բանական	b ɑ n ɑ k ɑ n
բանականություն	b ɑ n ɑ k ɑ n u t͡sʰ j u n
բանակցություն	b ɑ n ɑ k t͡sʰ u t͡sʰ j u n
բանան	b ɑ n ɑ n
բանասիրություն	b ɑ n ɑ s i ɾ u t͡sʰ j u n
բանդա	b ɑ n d ɑ
բանկ	b ɑ ŋ k
բանկա	b ɑ ŋ k ɑ
բանկային	b ɑ ŋ k ɑ j i n
բանկլ	b ɑ ŋ k ə l
բաննա	b ɑ nː ɑ
բանուկ	b ɑ n u k
բանջար	b ɑ n d͡ʒ ɑ ɾ
բանսարկու	b ɑ n s ɑ ɾ k u
բանտ	b ɑ n t
բանտարկյալ	b ɑ n t ɑ ɾ k j ɑ l
բանտարկություն	b ɑ n t ɑ ɾ k u t͡sʰ j u n
բաշ	b ɑ ʃ
բաջաղանք	b ɑ d͡ʒ ɑ ʁ ɑ ŋ kʰ
բաջանաղ	b ɑ d͡ʒ ɑ n ɑ ʁ
բաջի	b ɑ d͡ʒ i
բառ	b ɑ r
բառագիրք	b ɑ r ɑ ɡ i ɾ kʰ
բառադի	b ɑ r ɑ d i
բառախաղ	b ɑ r ɑ χ ɑ ʁ
բառակազմություն	b ɑ r ɑ k ɑ z m u t͡sʰ j u n
բառակապակցություն	b ɑ r ɑ k ɑ p ɑ k t͡sʰ u t͡sʰ j u n
բառապաշար	b ɑ r ɑ p ɑ ʃ ɑ ɾ
բառարան	b ɑ r ɑ ɾ ɑ n
բառարանագիր	b ɑ r ɑ ɾ ɑ n ɑ ɡ i ɾ
բառարանագրություն	b ɑ r ɑ ɾ ɑ n ɑ ɡ ɾ u t͡sʰ j u n
բառացանկ	b ɑ r ɑ t͡sʰ ɑ ŋ k
բառացի	b ɑ r ɑ t͡sʰ i
բառգիրք	b ɑ r ɡ i ɾ kʰ
բառիգ	b ɑ r i ɡ
բառնալ	b ɑ r n ɑ l
բառույթ	b ɑ r u j tʰ
բաստուրմա	b ɑ s t u ɾ m ɑ
բավ	b ɑ v
բավական	b ɑ v ɑ k ɑ n
բավականաչափ	b ɑ v ɑ k ɑ n ɑ t͡ʃʰ ɑ pʰ
բավարար	b ɑ v ɑ ɾ ɑ ɾ
բավարացի	b ɑ v ɑ ɾ ɑ t͡sʰ i
բավիղ	b ɑ v i ʁ
բատիսկաֆ	b ɑ t i s k ɑ f
բար	b ɑ ɾ
բարակ	b ɑ ɾ ɑ k
բարբանջ	b ɑ ɾ b ɑ n d͡ʒ
բարբանջանք	b ɑ ɾ b ɑ n d͡ʒ ɑ ŋ kʰ
բարբաջ	b ɑ ɾ b ɑ d͡ʒ
բարբաջանք	b ɑ ɾ b ɑ d͡ʒ ɑ ŋ kʰ
բարբառ	b ɑ ɾ b ɑ r
բարբառային	b ɑ ɾ b ɑ r ɑ j i n
բարգավաճ	b ɑ ɾ ɡ ɑ v ɑ t͡ʃ
բարդ	b ɑ ɾ tʰ
բարդի	b ɑ ɾ d i
բարդություն	b ɑ ɾ tʰ u t͡sʰ j u n
բարի	b ɑ ɾ i
բարիդրացիական	b ɑ ɾ i d ə ɾ ɑ t͡sʰ i j ɑ k ɑ n
բարիկադ	b ɑ ɾ i k ɑ d
բարիում	b ɑ ɾ i u m
բարիում	b ɑ ɾ j u m
բարիք	b ɑ ɾ i kʰ
բարկ	b ɑ ɾ k
բարկանալ	b ɑ ɾ k ɑ n ɑ l
բարկացած	b ɑ ɾ k ɑ t͡sʰ ɑ t͡s
բարկություն	b ɑ ɾ k u t͡sʰ j u n
բարձ	b ɑ ɾ t͡sʰ
բարձունք	b ɑ ɾ t͡sʰ u ŋ kʰ
բարձր	b ɑ ɾ t͡sʰ ə ɾ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ u j n
բարձրահասակ	b ɑ ɾ t͡sʰ ɾ ɑ h ɑ s ɑ k
բարձրաձայն	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l
բարձրավանդակ	b ɑ ɾ t͡sʰ ɾ ɑ v ɑ n d ɑ k
բարձրացում	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ u m
բարձրություն	b ɑ ɾ t͡sʰ ɾ u t͡sʰ j u n
բարձրունք	b ɑ ɾ t͡sʰ ə ɾ u ŋ kʰ
բարձրունք	b ɑ ɾ t͡sʰ ɾ u ŋ kʰ
բարյավ	b ɑ ɾ j ɑ v
բարյացակամ	b ɑ ɾ j ɑ t͡sʰ ɑ k ɑ m
բարութ	b ɑ ɾ u tʰ
բարք	b ɑ ɾ kʰ
բաց	b ɑ t͡sʰ
բացակա	b ɑ t͡sʰ ɑ k ɑ
բացակայություն	b ɑ t͡sʰ ɑ k ɑ j u t͡sʰ j u n
բացականչ	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ
բացականչական	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ ɑ k ɑ n
բացականչություն	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u t͡sʰ j u n
բացականչում	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u m
բացահայտ	b ɑ t͡sʰ ɑ h ɑ j t
բացահայտում	b ɑ t͡sʰ ɑ h ɑ j t u m
բացառաբար	b ɑ t͡sʰ ɑ r ɑ b ɑ ɾ
բացառական	b ɑ t͡sʰ ɑ r ɑ k ɑ n
բացառիկ	b ɑ t͡sʰ ɑ r i k
բացառիկություն	b ɑ t͡sʰ ɑ r i k u t͡sʰ j u n
բացառություն	b ɑ t͡sʰ ɑ r u t͡sʰ j u n
բացասական	b ɑ t͡sʰ ɑ s ɑ k ɑ n
բացատ	b ɑ t͡sʰ ɑ t
բացատրական	b ɑ t͡sʰ ɑ t ɾ ɑ k ɑ n
բացատրություն	b ɑ t͡sʰ ɑ t ə ɾ u t͡sʰ j u n
բացարձակ	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k
բացի	b ɑ t͡sʰ i
բացիչ	b ɑ t͡sʰ i t͡ʃʰ
բացում	b ɑ t͡sʰ u m
բացվածք	b ɑ t͡sʰ v ɑ t͡s kʰ
բեկտել	b ɛ k t ɛ l
բզզալ	b ə zː ɑ l
բզրուկ	b ə z ɾ u k
բժիշկ	b ə ʒ i ʃ k
բժշկագիտություն	b ə ʒ ə ʃ k ɑ ɡ i t u t͡sʰ j u n
բժշկական	b ə ʒ ə ʃ k ɑ k ɑ n
բժշկություն	b ə ʒ ə ʃ k u t͡sʰ j u n
բժշկում	b ə ʒ ə ʃ k u m
բիբ	b i b
բիբար	b i b ɑ ɾ
բիզ	b i z
բիթ	b i tʰ
բիլ	b i l
բիլակ	b i l ɑ k
բիծ	b i t͡s
բիհարի	b i h ɑ ɾ i
բիճ	b i t͡ʃ
բինտ	b i n t
բիսլամա	b i s l ɑ m ɑ
բիսմութ	b i s m u tʰ
բիր	b i ɾ
բիրտ	b i ɾ t
բլբլալ	b ə l b ə l ɑ l
բլբուլ	b ə l b u l
բլթակ	b ə l tʰ ɑ k
բլիթ	b ə l i tʰ
բլղուր	b ə l ʁ u ɾ
բլղուրապուր	b ə l ʁ u ɾ ɑ p u ɾ
բլնգազ	b ə l ə ŋ ɡ ɑ z
բլուր	b ə l u ɾ
բխկալ	b ə χ k ɑ l
բծախնդիր	b ə t͡s ɑ χ ə n tʰ i ɾ
բղուղ	b ə ʁ u ʁ
բյուզանդական	b j u z ɑ n d ɑ k ɑ n
բյուզանդացի	b j u z ɑ n d ɑ t͡sʰ i
բյուր	b j u ɾ
բնաբան	b ə n ɑ b ɑ n
բնագիր	b ə n ɑ ɡ i ɾ
բնազանցություն	b ə n ɑ z ɑ n t͡sʰ u t͡sʰ j u n
բնազդ	b ə n ɑ z d
բնական	b ə n ɑ k ɑ n
բնակարան	b ə n ɑ k ɑ ɾ ɑ n
բնակիչ	b ə n ɑ k i t͡ʃʰ
բնակչություն	b ə n ɑ k t͡ʃʰ u t͡sʰ j u n
բնապահպանություն	b ə n ɑ p ɑ h p ɑ n u t͡sʰ j u n
բնավ	b ə n ɑ v
բնիկ	b ə n i k
բնություն	b ə n u t͡sʰ j u n
բնույթ	b ə n u j tʰ
բշտիկ	b ə ʃ t i k
բու	b u
բուգ	b u ɡ
բուդ	b u d
բուդդայականություն	b u dː ɑ j ɑ k ɑ n u t͡sʰ j u n
բուդդիզմ	b u dː i z m
բուդկա	b u d k ɑ
բութ	b u tʰ
բուժառու	b u ʒ ɑ r u
բուժում	b u ʒ u m
բուժքույր	b u ʃ kʰ u j ɾ
բուլկի	b u l k i
բուլղարացի	b u l ʁ ɑ ɾ ɑ t͡sʰ i
բուխ	b u χ
բուխախ	b u χ ɑ χ
բուխարա	b u χ ɑ ɾ ɑ
բուխարական	b u χ ɑ ɾ ɑ k ɑ n
բուխարի	b u χ ɑ ɾ i
բուխարիկ	b u χ ɑ ɾ i k
բուծ	b u t͡s
բուկ	b u k
բուհ	b u h
բուղա	b u ʁ ɑ
բույթ	b u j tʰ
բույլ	b u j l
բույն	b u j n
բույս	b u j s
բույր	b u j ɾ
բուն	b u n
բունկալ	b u ŋ k ɑ l
բուշտ	b u ʃ t
բուռ	b u r
բուռն	b u r ə n
բուսաբան	b u s ɑ b ɑ n
բուսաբանական	b u s ɑ b ɑ n ɑ k ɑ n
բուսաբանություն	b u s ɑ b ɑ n u t͡sʰ j u n
բուսական	b u s ɑ k ɑ n
բուստ	b u s t
բուտ	b u t
բուրաստան	b u ɾ ɑ s t ɑ n
բուրգ	b u ɾ ɡ
բուրգունդյան	b u ɾ ɡ u n d j ɑ n
բուրդ	b u ɾ tʰ
բուրժուազիա	b u ɾ ʒ u ɑ z i j ɑ
բուրմունք	b u ɾ m u ŋ kʰ
բուրում	b u ɾ u m
բուրվառ	b u ɾ v ɑ r
բուք	b u kʰ
բջիջ	b ə d͡ʒ i d͡ʒ
բջջաբան	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n
բջջաբանական	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n ɑ k ɑ n
բջջաբանություն	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n u t͡sʰ j u n
բջջային	b ə d͡ʒ ə d͡ʒ ɑ j i n
բռի	b ə r i
բռինչ	b ə r i n t͡ʃʰ
բռնաբար	b ə r n ɑ b ɑ ɾ
բռնաբարություն	b ə r n ɑ b ɑ ɾ u t͡sʰ j u n
բռնազավթում	b ə r n ɑ z ɑ f tʰ u m
բռնակ	b ə r n ɑ k
բռնակալ	b ə r n ɑ k ɑ l
բռնակալություն	b ə r n ɑ k ɑ l u t͡sʰ j u n
բռնություն	b ə r n u t͡sʰ j u n
բռնչի	b ə r ə n t͡ʃʰ i
բռնցքամարտ	b ə r ə n t͡sʰ kʰ ɑ m ɑ ɾ t
բռունցք	b ə r u n t͡sʰ kʰ
բրդյա	b ə ɾ tʰ j ɑ
բրիգադ	b ɾ i ɡ ɑ d
բրինձ	b ə ɾ i n d͡z
բրինձ	pʰ ə ɾ i n d͡z
բրիչ	b ə ɾ i t͡ʃʰ
բրիտանական	b ɾ i t ɑ n ɑ k ɑ n
բրիտանացի	b ɾ i t ɑ n ɑ t͡sʰ i
բրիտվա	b ɾ i t v ɑ
բրնձապուր	b ə ɾ ə n d͡z ɑ p u ɾ
բրնձապուր	pʰ ə ɾ ə n d͡z ɑ b u ɾ
բրուտ	b ə ɾ u t
գ	ɡ ə
գագաթ	ɡ ɑ ɡ ɑ tʰ
գազ	ɡ ɑ z
գազալցակայան	ɡ ɑ z ɑ l ə t͡sʰ ɑ k ɑ j ɑ n
գազախ	ɡ ɑ z ɑ χ
գազային	ɡ ɑ z ɑ j i n
գազան	ɡ ɑ z ɑ n
գազանություն	ɡ ɑ z ɑ n u t͡sʰ j u n
գազար	ɡ ɑ z ɑ ɾ
գազարագույն	ɡ ɑ z ɑ ɾ ɑ ɡ u j n
