ئا	a
كۆزگۈ	k ø z ɡ y
كۆكس	k ø k s
كۆل	k ø l
كۆمۈر	k ø m y r
كۆمەك	k ø m ɛ k
كۆن	k ø n
كۆينەك	k ø j n ɛ k
كۆپۈك	k ø p y k
كۆچ	k ø t͡ʃ
كۆچكۈن	k ø t͡ʃ k y n
كۆچمەك	k ø t͡ʃ m ɛ k
كۆڭۈل	k ø ŋ y l
كۇتۇپخانا	k u t u p χ ɑ n ɑ
كۈرەش	k y r ɛ ʃ
كۈل	k y l
كۈلپەت	k y l p ɛ t
كۈمۈش	k y m y ʃ
كۈن	k y n
كۈنجۈت	k y n d͡ʒ y t
كۈپ	k y p
كېلىن	k e l i n
كېلەر	k e l ɛ r
كېمىرمەك	k e m i r m ɛ k
كېمىچى	k e m i t͡ʃ i
كېپىل	k e p i l
كېپەن	k e p ɛ n
كېچا	k e t͡ʃ ɑ
كەررە	k ɛ r r ɛ
كەسكىن	k ɛ s k i n
كەسىر	k ɛ s i r
كەسىپ	k ɛ s ɪ p
كەشنىز	k ɛ ʃ n i z
كەشپ	k ɛ ʃ p
كەكلىك	k ɛ k l i k
كەلمەك	kʰ æː m æ k
كەنت	k ɛ n t
كەندىر	k ɛ n d i r
كەيپ	k ɛ j p
كەچ	k ɛ t͡ʃ
كەچۈرۈڭ	k e t ʃ i r i ŋ
كەچۈرۈڭ	k ɛ t ʃ y r y ŋ
كەھرىبا	k ɛ h r i b ɑ
كەۋسەر	k ɛ w s ɛ r
ل	l
ل	l e
لاتارىيە	l ɑ t ɑ r i j ɛ
لاتاپەت	l ɑ t ɑ p ɛ t
لازىم	l ɑ z i m
لاك	l ɑ k
لال	l ɑ l
لانتان	l ɑ n t ɑ n
لايىھە	l ɑ j i h ɛ
لاچىن	l ɑ t͡ʃ i n
لاڭتۇ	l ɑ ŋ t u
لاۋا	l ɑ w ɑ
لاۋرېنتسىي	l ɑ w r e n t s i j
لوقما	l o q m ɑ
لوم	l o m
لوگارىفما	l o ɡ ɑ r i f m ɑ
لىباس	l i b ɑ s
لىبېرال	l i b e r ɑ l
لىتىي	l i t i j
لىفت	l i f t
لىمونات	l i m o n ɑ t
لىڭجەن	l i ŋ d͡ʒ ɛ n
ليۇتېتسىي	l j u t e t s i j
لۇغەت	l u ʁ æ t
لۈتۈپ	l y t y p
لېزىز	l e z i z
لېكىن	l e k i n
لېۋەن	l e w ɛ n
لەتىپە	l ɛ t i p ɛ
لەززەت	l ɛ z z ɛ t
لەقەم	l ɛ q ɛ m
لەنەت	l ɛ n ɛ t
لەيتەكس	l ɛ j t ɛ k s
لەپ	l ɛ p
لەڭمەن	l æ ʁ m ɑ n
لەڭگەر	l ɛ ŋ ɡ ɛ r
لەگەن	l ɛ ɡ ɛ n
لەھجە	l ɛ h d͡ʒ ɛ
لەھزە	l ɛ h z ɛ
لەھەت	l ɛ h ɛ t
م	m
م	m e
مائارىپ	m ɑ ʔ ɑ r i p
مائاش	m ɑ ʔ ɑ ʃ
مائاۋىن	m ɑ ʔ ɑ w i n
ماتكا	m ɑ t k ɑ
ماتور	m ɑ t o r
ماتېماتىكا	m ɑ t e m ɑ t i k ɑ
ماتەم	m ɑ t ɛ m
ماجال	m ɑ d͡ʒ ɑ l
ماددا	m ɑ d d ɑ
مارافون	m ɑ r ɑ f o n
ماراكەش	m ɑ r ɑ k ɛ ʃ
مارال	m ɑ r ɑ l
مارت	m ɑ r t
مارجان	m ɑ r d͡ʒ ɑ n
مارگانېتىس	m ɑ r ɡ ɑ n e t i s
مازار	m ɑ z ɑ r
ماشىنا	m ɑ ʃ i n ɑ
ماقالا	m ɑ q ɑ l ɑ
ماقالە	m ɑ q ɑ l ɛ
ماقۇل	m ɑ q u l
مالىيە	m ɑ l i j ɛ
مالېكۇلا	m ɑ l e k u l ɑ
مامونت	m ɑ m o n t
مانجىت	m ɑ n d͡ʒ i t
مانىفېست	m ɑ n i f e s t
مانېۋىر	m ɑ n e w i r
مايمۇن	m ɑ j m u n
ماگنىت	m ɑ ɡ n i t
ماگنىي	m ɑ ɡ n i j
ماھارەت	m ɑ h ɑ r ɛ t
ماھىيەت	m ɑ h i j ɛ t
ماۋزۇ	m ɑ w z u
ماۋزۇر	m ɑ w z u r
مودېل	m o d e l
مورفىن	m o r f i n
مول	m o l
مولىبدېن	m o l i b d e n
موم	m o m
مونچاق	m o n t͡ʃ ɑ q
موڭغۇلىيە	m o ŋ ʁ u l i j ɛ
مىخ	m i χ
مىراس	m i r ɑ s
مىزان	m i z ɑ n
مىس	m i s
مىسال	m i s ɑ l
مىسرا	m i s r ɑ
مىسكىن	m i s k i n
مىسۋاك	m i s w ɑ k
مىقدار	m i q d ɑ r
مىكروسكوپ	m i k r o s k o p
مىكروفون	m i k r o f o n
مىكروپ	m i k r o p
مىللەت	m i l l ɛ t
مىليارد	m i l j ɑ r t
مىليون	m i l j o n
مىنا	m i n ɑ
مىننەت	m i n n ɛ t
مىننەتدار	m i n n ɛ t d ɑ r
مىنىستىر	m i n i s t i r
مىنگۇو	m i n ɡ u o
مىنۇت	m i n u t
مىنۇس	m i n u s
مىنېرال	m i n e r ɑ l
مىڭ	m i ŋ
مۆجىزە	m ø d͡ʒ i z ɛ
مۆمىن	m ø m i n
مۆڭ	m ø ŋ
مۆھۈر	m ø h y r
مۇئاش	m u ʔ ɑ ʃ
مۇئاھىدە	m u ʔ ɑ h i d ɛ
مۇئەززەم	m u ʔ ɛ z z ɛ m
مۇئەسسەسە	m u ʔ ɛ s s ɛ s ɛ
مۇئەللىم	m u ʔ ɛ l l i m
مۇئەمما	m u ʔ ɛ m m ɑ
مۇئەييەن	m u ʔ ɛ j j ɛ n
مۇبارەك	m u b ɑ r ɛ k
مۇبالىغە	m u b ɑ l i ʁ ɛ
مۇتلەق	m u t l ɛ q
مۇتەئەسسىپ	m u t ɛ ʔ ɛ s s i p
مۇتەخەسسىس	m u t ɛ χ ɛ s s i s
مۇخالىپ	m u χ ɑ l i p
مۇخبىر	m u χ b i r
مۇختار	m u χ t ɑ r
مۇداپىە	m u d ɑ p i ɛ
مۇددەت	m u d d ɛ t
مۇدھىش	m u d h i ʃ
مۇراسىم	m u r ɑ s i m
مۇرەككەپ	m u r ɛ k k ɛ p
مۇزاكىرە	m u z ɑ k i r ɛ
مۇزېي	m u z e j
مۇسابىقە	m u s ɑ b i q ɛ
مۇساپىر	m u s ɑ p i r
مۇسبەت	m u s b ɛ t
مۇستەسنا	m u s t ɛ s n ɑ
مۇستەقىل	m u s t ɛ q i l
مۇستەملىكە	m u s t ɛ m l i k ɛ
مۇستەھكەم	m u s t ɛ h k ɛ m
مۇسكۇل	m u s k u l
مۇسىبەت	m u s i b ɛ t
مۇشەققەت	m u ʃ ɛ q q ɛ t
مۇقىم	m u q i m
مۇقەددەس	m u q ɛ d d ɛ s
مۇقەررەر	m u q ɛ r r ɛ r
مۇكاپات	m u k ɑ p ɑ t
مۇكەممەل	m u k ɛ m m ɛ l
مۇلايىم	m u l ɑ j i m
مۇنازىرە	m u n ɑ z i r ɛ
مۇناسىپ	m u n ɑ s i p
مۇناسىۋەت	m u n ɑ s i w ɛ t
مۇنتىزىم	m u n t i z i m
مۇنەججىم	m u n ɛ d͡ʒ d͡ʒ i m
مۇيەسسەر	m u j ɛ s s ɛ r
مۇپتىلا	m u p t i l ɑ
مۇھاسىرە	m u h ɑ s i r ɛ
مۇھتاج	m u h t ɑ d͡ʒ
مۇھتەرەم	m u h t ɛ r ɛ m
مۇھىت	m u h i t
مۇھىم	m u h i m
مۇھەببەت	m u h ɛ b b ɛ t
مۇۋازىنەت	m u w ɑ z i n ɛ t
مۇۋاپىق	m u w ɑ p i q
مۇۋەققەت	m u w ɛ q q ɛ t
مۇۋەپپەق	m u w ɛ p p ɛ q
مۇۋەپپەقىيەت	m u w ɛ p p ɛ q i j ɛ t
مۈشكۈل	m y ʃ k y l
مۈشۈك	m y ʃ y k̚
مۈلۈك	m y l y k
مۈمكىن	m y m k i n
مېتان	m e t ɑ n
مېترو	m e t r o
مېتود	m e t o d
مېتىر	m e t i r
مېدال	m e d ɑ l
مېردىيان	m e r d i j ɑ n
مېركۇرى	m e r k u r i
مېندېلېيېۋىي	m e n d e l e j e w i j
مېنىنگىت	m e n i n ɡ i t
مېھراپ	m e h r ɑ p
مېھمان	m e h m ɑ n
مېھنەت	m e h n ɛ t
مېۋە	m e w ɛ
مەبلەغ	m ɛ b l ɛ ʁ
مەتبە	m ɛ t b ɛ
مەجبۇر	m ɛ d͡ʒ b u r
مەجلىس	m ɛ d͡ʒ l i s
مەجنۇن	m ɛ d͡ʒ n u n
مەجھۇل	m ɛ d͡ʒ h u l
مەخلۇق	m ɛ χ l u q
مەدەت	m ɛ d ɛ t
مەدەن	m ɛ d ɛ n
مەدەنىي	m ɛ d ɛ n i j
مەرت	m ɛ r t
مەرتىۋە	m ɛ r t i w ɛ
مەركەز	m ɛ r k ɛ z
مەرمەر	m ɛ r m ɛ r
مەرھۇم	m ɛ r h u m
مەرھەمەت	m ɛ r h ɛ m ɛ t
مەزلۇم	m ɛ z l u m
مەزھەپ	m ɛ z h ɛ p
مەسئۇل	m ɛ s ʔ u l
مەسخىرە	m ɛ s χ i r ɛ
مەسلىھەت	m ɛ s l i h ɛ t
مەسلەك	m ɛ s l ɛ k
مەسۇم	m ɛ s u m
مەشغۇل	m ɛ ʃ ʁ u l
مەشھۇر	m ɛ ʃ h u r
مەغرۇر	m ɛ ʁ r u r
مەغلۇپ	m ɛ ʁ l u p
مەقئەت	m ɛ q ʔ ɛ t
مەقبۇل	m ɛ q b u l
مەقسەت	m ɛ q s ɛ t
مەكتۇپ	m ɛ k t u p
مەكتەپ	m ɛ k t ɛ p
مەمنۇن	m ɛ m n u n
مەمۇر	m ɛ m u r
مەن	m æ n
مەنتىق	m ɛ n t i q
مەنزىرە	m ɛ n z i r ɛ
مەنزىل	m ɛ n z i l
مەنسۇپ	m ɛ n s u p
مەنپىي	m ɛ n p i j
مەنپەئەت	m ɛ n p ɛ ʔ ɛ t
مەيدان	m ɛ j d ɑ n
مەيىل	m ɛ j i l
مەيۈس	m ɛ j y s
مەھبۇس	m ɛ h b u s
مەھرۇم	m ɛ h r u m
مەھسۇل	m ɛ h s u l
مەھكىمە	m ɛ h k i m ɛ
مەھكۇم	m ɛ h k u m
مەھەممەت	m æ m æ t̚
مەھەممەت	m ɛ m ɛ t̚
مەۋسۈم	m ɛ w s y m
مەۋھۈم	m ɛ w h y m
ن	n
ن	n e
نائىل	n ɑ ʔ i l
نائىلاج	n ɑ ʔ i l ɑ d͡ʒ
نائىنساپ	n ɑ ʔ i n s ɑ p
نائىپ	n ɑ ʔ i p
نائۇستا	n ɑ ʔ u s t ɑ
نائۈمىت	n ɑ ʔ y m i t
ناترىي	n ɑ t r i j
ناتسىست	n ɑ t s i s t
ناتوغرا	n ɑ t o ʁ r ɑ
نادامەت	n ɑ d ɑ m ɛ t
نادان	n ɑ d ɑ n
نادىر	n ɑ d i r
ناز	n ɑ z
نازارەت	n ɑ z ɑ r ɛ t
نازاكەت	n ɑ z ɑ k ɛ t
نازىم	n ɑ z i m
نالايىق	n ɑ l ɑ j i q
نام	n ɑ m
ناماز	n ɑ m ɑ z
ناماقۇل	n ɑ m ɑ q u l
نامايىش	n ɑ m ɑ j i ʃ
نامزات	n ɑ m z ɑ t
نامۇس	n ɑ m u s
نامە	n ɑ m ɛ
نامەرت	n ɑ m ɛ r t
نامەلۇم	n ɑ m ɛ l u m
نان	n ɑ n
نانكور	n ɑ n k o r
ناپاك	n ɑ p ɑ k
ناھىيە	n ɑ h i j ɛ
نوبېلىي	n o b e l i j
نورمال	n o r m ɑ l
نوغاي	n o ʁ ɑ j
نومۇر	n o m u r
نومۇس	n o m u s
نويابر	n o j ɑ b r
نوپۇز	n o p u z
نوپۇس	n o p u s
نىجات	n i d͡ʒ ɑ t
نىجىس	n i d͡ʒ i s
نىزام	n i z ɑ m
نىسبەت	n i s b ɛ t
نىسپىي	n i s p i j
نىشان	n i ʃ ɑ n
نىكا	n i k ɑ
نىكېل	n i k e l
نىلۇپەر	n i l u p ɛ r
نىوبىي	n i o b i j
نىيەت	n i j ɛ t
نىگار	n i ɡ ɑ r
نۆشۈدۈر	n ø ʃ y d y r
نۆل	n ø l
نۆل	n œ l
نۆلىنچى	n ø l i n t͡ʃ i
نۆلىنچى	n œ l i n t͡ʃ i
نۆۋەت	n ø w ɛ t
نۇتۇق	n u t u q
نۇر	n u r
نۇرانى	n u r ɑ n i
نۇسخە	n u s χ ɛ
نۇسرەت	n u s r ɛ t
نۇقسان	n u q s ɑ n
نېرۋا	n e r w ɑ
نېسىپ	n e s i p
نېفىت	n e f i t
نېمە	n e m ɛ
نېودىم	n e o d i m
نېون	n e o n
نېيترون	n e j t r o n
نېپتۇنىي	n e p t u n i j
نەبى	n ɛ b i
نەتىجە	n ɛ t i d͡ʒ ɛ
نەرە	n ɛ r ɛ
نەزەر	n ɛ z ɛ r
نەسىر	n ɛ s i r
نەسىل	n ɛ s i l
نەسىھەت	n ɛ s i h ɛ t
نەشتەر	n ɛ ʃ t ɛ r
نەشر	n ɛ ʃ r
نەغمە	n ɛ ʁ m ɛ
نەقلىيات	n ɛ q l i j ɑ t
نەقىش	n ɛ q i ʃ
نەقىل	n ɛ q i l
نەمۇنە	n ɛ m u n ɛ
نەي	n ɛ j
نەپرەت	n ɛ p r ɛ t
نەپس	n ɛ p s
نەپىس	n ɛ p i s
نەپەس	n ɛ p ɛ s
نەپەقە	n ɛ p ɛ q ɛ
نەۋ	n ɛ w
ى	i
ى	ɪ
ى	ɯ
ي	j
ي	j e
يات	j ɑ t
ياخشى	j ɑ χ ʃ i
ياخشىمۇسىز	j ɑ χ ʃ i m u s i z
ياخشىمۇسىلەر	j a kʰ ʃ i m u s i l æ r
ياخشىمۇسىلەر	j a kʰ ʃ i m u s i l ɛ r
ياخشىمۇسىلەر	j ɑ x ʃ i m u s i l æ r
ياخشىمۇسىلەر	j ɑ x ʃ i m u s i l ɛ r
ياد	j ɑ d
يادىكار	j ɑ d i k ɑ r
يار	j ɑ r
يارا	j ɑ r ɑ
ياستۇق	j ɑ s t u q
ياسىن	j ɑ s i n
ياغ	j ɑ ʁ
ياغاچ	j ɑ ʁ ɑ t͡ʃ
ياق	j ɑ q
ياقا	j ɑ q ɑ
ياقماق	j ɑ q m ɑ q
ياقۇت	j ɑ q u t
ياكور	j ɑ k o r
يالاڭ	j ɑ l ɑ ŋ
يالاڭئاياق	j ɑ l ɑ ŋ ʔ ɑ j ɑ q
يالغان	j ɑ l ʁ ɑ n
يالپۇز	j ɑ l p u z
يالۋۇرماق	j ɑ l w u r m ɑ q
يامغۇر	j ɑ m ʁ u r
يانغىن	j ɑ n ʁ i n
يانفون	j ɑ ŋ p o n
يانماق	j ɑ n m ɑ q
يانۋار	j ɑ n w ɑ r
ياپونىيە	j ɑ p o n i j ɛ
ياڭاق	j ɑ ŋ ɑ q
ياڭيۇ	j ɑ ŋ j u
ياگاو	j ɑ ɡ ɑ o
ياۋروپا	j ɑ w r o p ɑ
ياۋۇز	j ɑ w u z
يوتقان	j o t q ɑ n
يود	j o d
يورۇقلۇق	j o r u q l u q
يوغان	j o ʁ ɑ n
يوق	j o q
يول	j o l
يولداش	j o l d ɑ ʃ
يولۋاس	j o l w ɑ s
يوپىتېر	j o p i t e r
يوپۇرماق	j o p u r m ɑ q
يىتىم	j i t i m
يىراقلىق	j i r ɑ q l i q
يىرتماق	j i r t m ɑ q
يىرىڭ	j i r i ŋ
يىل	j i l
يىلان	j i l ɑ n
يىلىك	j i l i k
يىپ	j i p
يىپەك	j i p ɛ k
يىڭنە	j i ŋ n ɛ
يىگىت	j i ɡ i t
يىگىرمە	j i ɡ i r m æ
يىگىرمە	j i ɡ i r m ɛ
يۇتقۇنچاق	j u t q u n t͡ʃ ɑ q
يۇتماق	j u t m ɑ q
يۇرت	j u r t
يۇغۇرماق	j u ʁ u r m ɑ q
يۇققا	j u q q ɑ
يۇقۇرى	j u q u r i
يۇلتۇز	j u l t u z
يۇلماق	j u l m ɑ q
يۇماق	j u m ɑ q
يۇمماق	j u m m ɑ q
يۇمۇق	j u m u q
يۇپقا	j u p q ɑ
يۇڭ	j u ŋ
يۇۋاش	j u w ɑ ʃ
يۈتمەك	j y t m ɛ k
يۈرەكلىك	j y r ɛ k l i k
يۈز	j y z
يۈسۈپ	j y s y p
يۈگەن	j y ɡ ɛ n
يېتەرسىز	j e t ɛ r s i z
يېتەرلىك	j e t ɛ r l i k
يېشىل	j e ʃ i l
يېقىلغۇ	j e q i l ʁ u
يېنىك	j e n i k
يېپىشقاق	j e p i ʃ q ɑ q
يېپىشماق	j e p i ʃ m ɑ q
يېڭىلىق	j e ŋ i l i q
يېۋروپىي	j e w r o p i j
يەتتىنچى	j ɛ t t i n t ʃ i
يەتتە	j æ t t æ
يەتتە	j æ t̚ t æ
يەتتە	j ɛ t t ɛ
يەتتە	j ɛ t̚ t ɛ
يەتمىش	j ɛ t m i ʃ
يەريۈزى	j ɛ r j y z i
يەكشەنبە	j æ k ʃ æ m b æ
يەكشەنبە	j æ x ʃ æ m b æ
يەكشەنبە	j ɛ k ʃ ɛ m b ɛ
يەكشەنبە	j ɛ x ʃ ɛ m b ɛ
يەكۈن	j ɛ k y n
يەل	j ɛ l
يەلكەن	j ɛ l k ɛ n
يەم	j ɛ m
يەنى	j ɛ n i
يەڭ	j ɛ ŋ
يەڭگىل	j ɛ ŋ ɡ i l
يەھۇدى	j ɛ h u d i
پ	p
پ	p e
پاراخوت	p ɑ r ɑ χ o t
پارازىت	p ɑ r ɑ z i t
پاراشوت	p ɑ r ɑ ʃ o t
پاراشوك	p ɑ r ɑ ʃ o k
پاراكەندە	p ɑ r ɑ k ɛ n d ɛ
پاراگىراپ	p ɑ r ɑ ɡ i r ɑ p
پاراۋوز	p ɑ r ɑ w o z
پاسپورت	p ɑ s p o r t
پاقا	p ɑ q ɑ
پاكىت	p ɑ k i t
پال	p ɑ l
پايتەخت	p ɑ j t ɛ χ t
پايدا	p ɑ j d ɑ
پاھىشە	p ɑ h i ʃ ɛ
پروفېسسور	p r o p e s s o r
پوق	p o q
پولات	p o l ɑ t
پولشا	p o l ʃ ɑ
پويىز	p o j i z
پىت	p i t
پىشلاق	p i ʃ l ɑ q
پىيادە	p i j ɑ d ɛ
پۇت	p u t
پۇرسەت	p u r s ɛ t
پۇرچاق	p u r t͡ʃ ɑ q
پېقىر	p e q i r
پەردە	p ɛ r d ɛ
پەرۋانە	p ɛ r w ɑ n ɛ
پەلتو	p ɛ l t o
پەلسەپە	p ɛ l s ɛ p ɛ
پەن	p ɛ n
پەنجاب	p ɛ n d͡ʒ ɑ b
پەيشەنبە	p æ j ʃ æ n b æ
پەيشەنبە	p ɛ j ʃ ɛ n b ɛ
پەيغەمبەر	p ɛ j ʁ ɛ m b ɛ r
چ	t͡ʃ
چ	t͡ʃ e
چارشەنبە	t ʃ a r ʃ æ n b æ
چارشەنبە	t ʃ a r ʃ ɛ n b ɛ
چارشەنبە	t ʃ ɑ r ʃ æ n b æ
چارشەنبە	t ʃ ɑ r ʃ ɛ n b ɛ
چارەك	t͡ʃ ɑ r ɛ k
چاشكا	t͡ʃ ɑ ʃ k ɑ
چاي	t͡ʃ ɑ j
چايان	t͡ʃ ɑ j ɑ n
چاچ	t͡ʃ ɑ t͡ʃ
چوكا	t͡ʃ o k ɑ
چولاق	t͡ʃ o l ɑ q
چىراق	t͡ʃ i r ɑ q
چىش	t͡ʃ i ʃ
چىكەتكە	t͡ʃ i k ɛ t k ɛ
چىمەن	t͡ʃ i m ɛ n
چىۋىن	t͡ʃ i w i n
چېركاۋ	t͡ʃ e r k ɑ w
چېچەك	t͡ʃ e t͡ʃ æ k̚
چېچەك	t͡ʃ e t͡ʃ ɛ k̚
ژ	ʒ
ژ	ʒ e
ژارگون	ʒ ɑ r ɡ o n
ژاندارما	ʒ ɑ n d ɑ r m ɑ
ژانىر	ʒ ɑ n i r
ژۇرنال	ʒ u r n ɑ l
ژېڭۋېي	ʒ e ŋ w e j
ڭ	ŋ
ڭ	ŋ e
گ	ɡ
گ	ɡ e
گاباردىن	ɡ ɑ b ɑ r d i n
گادولىنىي	ɡ ɑ d o l i n i j
گاز	ɡ ɑ z
گافنىي	ɡ ɑ f n i j
گاللىي	ɡ ɑ l l i j
گاڭبى	ɡ ɑ ŋ b i
گاڭپەن	ɡ ɑ ŋ p ɛ n
گاھ	ɡ ɑ h
گرېتسىيە	ɡ r e t s i j ɛ
گوللاندىيە	ɡ o l l ɑ n d i j ɛ
گولمىي	ɡ o l m i j
گويا	ɡ o j ɑ
گىتار	ɡ i t ɑ r
گىرانات	ɡ i r ɑ n ɑ t
گىرانىت	ɡ i r ɑ n i t
گىرداپ	ɡ i r d ɑ p
گىرىپ	ɡ i r i p
گىياھ	ɡ i j ɑ h
گۆش	ɡ ø ʃ
گۆھەر	ɡ ø h ɛ r
گۇنا	ɡ u n ɑ
گۇناھ	ɡ u n ɑ h
گۈشە	ɡ y ʃ ɛ
گۈل	ɡ y l
گۈلباغ	ɡ y l b ɑ ʁ
گۈلباھار	ɡ y l b ɑ h ɑ r
گۈلخانا	ɡ y l χ ɑ n ɑ
گۈللەر	ɡ y l l æ r
گۈللەر	ɡ y l l æː
گۈللەر	ɡ y l l ɛ r
گۈلىستان	ɡ y l i s t ɑ n
گۈڭگۈرت	ɡ y ŋ ɡ y r t
گېرمانىي	ɡ e r m ɑ n i j
گېزىت	ɡ e z i t
گېكتار	ɡ e k t ɑ r
گېلىي	ɡ e l i j
گەدەن	ɡ ɛ d ɛ n
ھ	h
ھ	h e
ھارارەت	h ɑ r ɑ r ɛ t
ھازىر	ɦ ɑ z ɪ r
ھازىرقى	ɦ ɑ z ɪ r q ɨ
ھالۋا	h ɑ l w ɑ
ھايا	h ɑ j ɑ
ھايات	h ɑ j ɑ t
ھاۋا	h ɑ w ɑ
ھاۋز	h ɑ w z
ھىكايە	h i k ɑ j ɛ
ھۆرمەت	h ø r m ɛ t
ھۆكۈم	h ø k y m
ھۇجۇم	h u d͡ʒ u m
ھېكايە	h i k ɑ j æ
ھەئە	h ɛ ʔ ɛ
ھەجىم	h ɛ d͡ʒ i m
ھەدىيە	h ɛ d i j ɛ
ھەسەل	h ɛ s ɛ l
ھەممە	h ɛ m m ɛ
ھەيكەل	h æ j k æ l
ھەپتە	h æ p t æ
ھەپتە	h æ p̚ t æ
ھەپتە	h ɛ p t ɛ
ھەپتە	h ɛ p̚ t ɛ
ھەپتە	ɦ æ p t æ
ھەپتە	ɦ æ p̚ t æ
ھەپتە	ɦ ɛ p t ɛ
ھەپتە	ɦ ɛ p̚ t ɛ
ۆ	ø
ۇ	u
ۈ	y
ۋ	v
ۋ	v e
ۋائىز	w ɑ ʔ i z
ۋابا	w ɑ b ɑ
ۋادى	w ɑ d i
ۋاراق	w ɑ r ɑ q
ۋارىس	w ɑ r i s
ۋاز	w ɑ z
ۋاكسىنا	w ɑ k s i n ɑ
ۋاپا	w ɑ p ɑ
ۋاھە	w ɑ h ɛ
ۋىرۇس	w i r u s
ۋۇجۇت	w u d͡ʒ u t
ۋېلسىپىت	w e l s i p i t
ۋېلىنېمەت	w e l i n e m ɛ t
ۋە	w ɛ
ۋەتەن	w ɛ t ɛ n
ۋەدە	w ɛ d ɛ
ۋەز	w ɛ z
ۋەزىپە	w ɛ z i p ɛ
ۋەسىقە	w ɛ s i q ɛ
ۋەسىيەت	w ɛ s i j ɛ t
ۋەسۋەسە	w ɛ s w ɛ s ɛ
ۋەلسىپىت	w ɛ l s i p i t
ۋەلىئەھد	w ɛ l i ʔ ɛ h d
ۋەھشەت	w ɛ h ʃ ɛ t
