ং	ŋ
খত্ম	x ɔ t̪ː oˑ
খদ্দর	kʰ ɔ d̪ː ɔ ɾ
খনন	kʰ ɔ n o n
খন্দকার	kʰ o n d̪ o k a ɾ
খন্দকার	kʰ ɔ n d̪ o k a ɾ
খবর	kʰ ɔ b o ɾ
খবরদার	kʰ ɔ b o ɾ d̪ a ɾ
খবিশ	kʰ o b i ʃ
খবীস	kʰ ɔ̝ b iˑ s
খয়রাত	kʰ ɔ e̯ ɾ a t̪
খয়ের	kʰ ɔ e ɾ
খরগোশ	kʰ ɔ ɾ ɡ o s
খরগোশ	kʰ ɔ ɾ ɡ o ʃ
খরচ	kʰ ɔ ɾ o t͡ʃ
খর্জুর	kʰ o ɾ d͡ʒ u ɾ
খলিফা	kʰ o l i f aˑ
খসড়া	kʰ ɔ ʃ ɔ ɽ aˑ
খসড়া	kʰ ɔ ʃ ɔ ɾ aˑ
খসরু	kʰ o s ɾ uˑ
খসরু	kʰ o ʃ ɾ uˑ
খসা	kʰ ɔ ʃ aˑ
খাঁচা	kʰ ã t͡ʃ aˑ
খাঁটি	kʰ a ʈ iˑ
খাঁটি	kʰ ã ʈ iˑ
খাঁড়া	kʰ ã ɽ aˑ
খাঁড়া	kʰ ã ɾ aˑ
খাঁড়ি	kʰ ã ɽ iˑ
খাঁড়ি	kʰ ã ɾ iˑ
খাই	kʰ a i̯
খাইশ	kʰ a i̯ ʃ
খাওয়া	kʰ a o̯ aˑ
খাওয়ানো	kʰ a w a n o
খাগড়া	kʰ a ɡ ɽ aˑ
খাগড়া	kʰ a ɡ ɾ aˑ
খাচ্চর	kʰ a t͡ʃː ɔ ɾ
খাজনা	kʰ a d͡ʒ n aˑ
খাজনা	kʰ a z n aˑ
খাজা	kʰ a d͡ʒ aˑ
খাট	kʰ äː ʈ̟
খাটা	kʰ a ʈ aˑ
খাটুলি	kʰ a ʈ u l iˑ
খাট্টা	kʰ a ʈː aˑ
খাড়া	kʰ a ɽ aˑ
খাড়া	kʰ a ɾ aˑ
খাড়ি	kʰ a ɽ iˑ
খাড়ি	kʰ a ɾ iˑ
খাতা	kʰ a t̪ aˑ
খাতির	kʰ a t̪ i ɾ
খাদি	kʰ a d̪ iˑ
খাদেম	kʰ a d̪ e m
খান	kʰ a n
খান	kʰ aː n
খানকি	kʰ a n k iˑ
খানদান	kʰ a n d̪ a n
খানা	kʰ a n aˑ
খাবার	kʰ a b a ɾ
খাম	kʰ a m
খাম	kʰ aː m
খামচান	kʰ a m t͡ʃ a n
খামাখা	kʰ a m a k aˑ
খামাখা	kʰ a m a kʰ aˑ
খামোশ	kʰ a m o ʃ
খায়েশ	kʰ a e̯ ʃ
খারাপ	kʰ a ɾ a p
খারাব	kʰ a ɾ a b
খাল	kʰ a l
খাল	kʰ aː l
খালা	kʰ a l aˑ
খালি	kʰ a l iˑ
খালু	kʰ a l uˑ
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ iˑ
খাহেশ	kʰ a e̯ ʃ
খাহেশ	kʰ a h e ʃ
খিচুড়ি	kʰ i t͡ʃ u ɽ iˑ
খিচুড়ি	kʰ i t͡ʃ u ɾ iˑ
খিড়কি	kʰ i ɽ ɔ k iˑ
খিড়কি	kʰ i ɾ ɔ k iˑ
খিদা	kʰ i d̪ aˑ
খির	kʰ i ɾ
খির	kʰ iː ɾ
খীর	kʰ i ɾ
খীর	kʰ iː ɾ
খুজুটিপাড়া	kʰ u d͡ʒ u ʈ i p a ɽ aˑ
খুজুটিপাড়া	kʰ u d͡ʒ u ʈ i p a ɾ aˑ
খুব	kʰ u b
খুব	kʰ uː b
খুবসুরত	kʰ u b s u ɾ ɔ t̪
খুবসুরতি	kʰ u b ʃ u ɾ o t̪ iˑ
খুশকি	kʰ u ʃ k iˑ
খুশবু	kʰ u ʃ b uˑ
খুশি	kʰ u ʃ iˑ
খুষি	kʰ u ʃ i
খৃস্টানী	kʰ ɾ i s ʈ a n iˑ
খৃস্টানী	kʰ ɾ i ʂ ʈ a n iˑ
খেঁচা	kʰ ẽ t͡ʃ aˑ
খেই	kʰ e i̯
খেজুর	kʰ e d͡ʒ u ɾ
খেত	kʰ e t̪
খেদমত	kʰ e d̪ m ɔ t̪
খেদা	kʰ e d̪ aˑ
খেয়া	kʰ e aˑ
খেয়ানত	kʰ e a n ɔ t̪
খেয়াল	kʰ e a l
খেয়াল	kʰ ɛ a l
খেলনা	kʰ æ l n aˑ
খেলাধুলা	kʰ æ l a d̪ʱ u l aˑ
খেলোয়াড়	kʰ æ l o̯ a ɽ
খেলোয়াড়	kʰ æ l o̯ a ɾ
খেশী	kʰ e ʃ iˑ
খোঁজ	kʰ õ d͡ʒ
খোঁজা	kʰ o d͡ʒ aˑ
খোঁজা	kʰ õ d͡ʒ aˑ
খোঁড়া	kʰ o ɽ̟ a
খোঁড়ানো	kʰ o ɽ̟ a n o
খোঁপা	kʰ õ p a
খোদ	kʰ o d̪
খোদা	kʰ o d̪ aˑ
খোয়াব	kʰ o̯ a b
খোয়াব	x o̯ a b
খোলা	kʰ o l a
খোলাখুলি	kʰ o l a kʰ u l iˑ
খোলাখুলিভাবে	kʰ o l a kʰ u l i bʱ a b eˑ
খোলাখুলিভাবে	kʰ o l a kʰ u l i v a b eˑ
খোশ	kʰ o ʃ
খোশ	kʰ oː ʃ
খোশবিয়ান	kʰ o ʃ b i̯ a n
খ্বাইশ	kʰ a i̯ ʃ
খ্বাব	kʰ a b
খ্বাব	kʰ aː b
খ্যামা	kʰ æ m aˑ
খ্রিস্ট	kʰ ɾ i s ʈ oˑ
খ্রিস্ট	kʰ ɾ i ʂ ʈ oˑ
খ্রিস্টধর্ম	kʰ ɾ i s ʈ o d̪ʱ ɔ ɾ m oˑ
খ্রিস্টধর্ম	kʰ ɾ i ʂ ʈ o d̪ʱ ɔ ɾ m oˑ
খ্রিস্টপূর্ব	kʰ ɾ i s ʈ ɔ p u ɾ b oˑ
খ্রিস্টপূর্ব	kʰ ɾ i ʂ ʈ ɔ p u ɾ b oˑ
খ্রিস্টান	kʰ ɾ i ʂ ʈ a n
খৎম	kʰ ɔ t̪ m
খৎম	kʰ ɔ t̪ m oˑ
খৎম	x ɔ t̪ m
খৎম	x ɔ t̪ m oˑ
গ	ɡ ɔˑ
গগন	ɡ ɔ ɡ o n
গঙ্গা	ɡ ɔ ŋ ɡ aˑ
গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
গজল	ɡ ɔ d͡ʒ o l
গজল	ɡ ɔ z o l
গঞ্জ	ɡ ɔ n d͡ʒ
গঠন	ɡ ɔ ʈʰ ɔ n
গঠিত	ɡ ɔ ʈʰ i t̪ oˑ
গড়	ɡ ɔ ɽ
গড়ন	ɡ ɔ ɽ o n
গড়বড়	ɡ ɔ ɽ b ɔ ɽ
গড়া	ɡ ɔ ɽ aˑ
গড়া	ɡ ɔ ɾ aˑ
গণ	ɡ ɔ n
গণঅভ্যুত্থান	ɡ ɔ n o bʱː u t̪ʰː a n
গণঅভ্যুত্থান	ɡ ɔ n o vː u t̪ʰː a n
গণইফতার	ɡ ɔ n o i̯ f t̪ a ɾ
গণতন্ত্র	ɡ ɔ n o t̪ ɔ n t̪ː ɾ oˑ
গণতান্ত্রিক	ɡ ɔ n o t̪ a n t̪ː ɾ i k
গণনা	ɡ ɔ n o n aˑ
গণপোস্টাতন্ত্রী	ɡ ɔ n o p o s ʈ a t̪ ɔ n t̪ː ɾ iˑ
গণপোস্টাতন্ত্রী	ɡ ɔ n o p o ʂ ʈ a t̪ ɔ n t̪ː ɾ iˑ
গণপ্রজাতন্ত্রী	ɡ ɔ n o p ɾ o d͡ʒ a t̪ ɔ n t̪ː ɾ iˑ
গণহত্যা	ɡ ɔ n o h o t̪ː aˑ
গণিত	ɡ o n i t̪
গণেশ	ɡ ɔ n e ʃ
গণ্ডার	ɡ ɔ ɳ ɖ a ɾ
গণ্য	ɡ o nː oˑ
গত	ɡ ɔ t̪ oˑ
গতকাল	ɡ ɔ t̪ o k a l
গতি	ɡ o t̪ iˑ
গতিবেগ	ɡ ɔ t̪ i b e ɡ
গদ্দার	ɡ ɔ d̪ː a ɾ
গন্ডার	ɡ ɔ ɳ ɖ a ɾ
গন্ধ	ɡ ɔ n d̪ʱ oˑ
গন্ধক	ɡ ɔ n d̪ʱ ɔ k
গন্ধরস	ɡ ɔ n d̪ʱ ɔ ɾ o ʃ
গন্ধসার	ɡ ɔ n d̪ʱ ɔ ʃ a ɾ
গপ	ɡ ɔ p
গবাক্ষ	ɡ ɔ b a kʰː oˑ
গভীর	ɡ o bʱ i ɾ
গভীর	ɡ o v i ɾ
গভীরভাবে	ɡ o bʱ i ɾ bʱ a b eˑ
গভীরভাবে	ɡ o v i ɾ v a b eˑ
গম	ɡ ɔ m
গয়না	ɡ ɔ e̯ n aˑ
গরজ	ɡ ɔ ɾ o d͡ʒ
গরম	ɡ ɔ ɾ o m
গরমকাল	ɡ ɔ ɾ o m k a l
গরিলা	ɡ o ɾ i l aˑ
গরীব	ɡ o ɾ i b
গরু	ɡ o ɾ uˑ
গরুড়	ɡ o ɾ u ɽ
গর্ত	ɡ ɔ ɾ t̪ oˑ
গর্দভ	ɡ ɔ ɾ d̪ o b
গর্দভ	ɡ ɔ ɾ d̪ o v
গর্দান	ɡ ɔ ɾ d̪ a n
গর্ভসম্ভূতা	ɡ ɔ ɾ bʱ ɔ ʃ ɔ m bʱ u t̪ aˑ
গর্ভসম্ভূতা	ɡ ɔ ɾ v ɔ ʃ ɔ m v u t̪ aˑ
গলা	ɡ ɔ l aˑ
গলি	ɡ o l iˑ
গল্প	ɡ ɔ l p oˑ
গহনা	ɡ ɔ h o n aˑ
গা	ɡ aˑ
গাঁ	ɡ ãˑ
গাঁইয়া	ɡ ã i̯ aˑ
গাঁও	ɡ a õ̯ˑ
গাঁও	ɡ ã oˑ
গাঁওয়ালী	ɡ ã o̯ a l iˑ
গাঁজা	ɡ a n d͡ʒ aˑ
গাঁজা	ɡ ã d͡ʒ aˑ
গাঁট	ɡ ã ʈ
গাঁথা	ɡ ã t̪ʰ aˑ
গাই	ɡ a i̯
গাওয়া	ɡ a o̯ aˑ
গাঙ্গুলি	ɡ a ŋ ɡ u l iˑ
গাঙ্গেয়	ɡ a ŋ ɡ e oˑ
গাছ	ɡ a t͡ʃ
গাজর	ɡ a d͡ʒ ɔ ɾ
গাজী	ɡ a d͡ʒ iˑ
গাড়া	ɡ a ɽ aˑ
গাড়া	ɡ a ɾ aˑ
গাড়ি	ɡ a ɽ iˑ
গাড়ি	ɡ a ɾ iˑ
গাঢ়	ɡ a ɽ oˑ
গাঢ়	ɡ a ɽʱ oˑ
গাঢ়	ɡ a ɾ h oˑ
গাত্র	ɡ a t̪ː ɾ oˑ
গান	ɡ a n
গান্ধারী	ɡ a n d̪ʱ a ɾ iˑ
গান্ধী	ɡ a n d̪ʱ iˑ
গান্ধীনগর	ɡ a n d̪ʱ i n ɡ ɔ ɾ
গাব	ɡ a b
গাভিন	ɡ a bʱ i n
গাভিন	ɡ a v i n
গাভুর	ɡ a bʱ u ɾ
গাভুর	ɡ a v u ɾ
গামছা	ɡ a m t͡ʃʰ aˑ
গামলা	ɡ a m l aˑ
গায়ক	ɡ a e̯ ɔ k
গায়রত	ɡ a e̯ ɔ ɾ o t̪
গারবা	ɡ a ɾ b aˑ
গাল	ɡ a l
গালা	ɡ a l aˑ
গালি	ɡ a l iˑ
গালিচা	ɡ a l i t͡ʃ aˑ
গালিব	ɡ a l i b
গালিব	ɡ a l ɪ b
গালেব	ɡ a l e b
গালেব	ɡ a l ɪ b
গিজার	ɡ i d̪͡ʒ a ɾ
গিজার	ɡ i z a ɾ
গিটার	ɡ i ʈ a ɾ
গিয়ে	ɡ i̯ eˑ
গিয়েছিল	ɡ i̯ e t͡ʃʰ i l oˑ
গির্জা	ɡ i ɾ d͡ʒ aˑ
গী	ɡ iˑ
গীতিনাট্য	ɡ i t̪ i n a ʈː oˑ
গু	ɡ uˑ
গুঁড়া	ɡ ũ ɽ a
গুগগুল	ɡ u ɡː u l
গুগগুলু	ɡ u ɡː u l uˑ
গুগল	ɡ u ɡ l oˑ
গুগল	ɡ u ɡ ɔ l
গুজরাট	ɡ u d͡ʒ o ɾ a ʈ
গুজরাট	ɡ u d͡ʒ ɾ a ʈ
গুজরাটি	ɡ u d͡ʒ ɾ a ʈ iˑ
গুজরাত	ɡ u d͡ʒ o ɾ a t̪
গুজরাত	ɡ u d͡ʒ ɾ a t̪
গুঞ্জা	ɡ u n d͡ʒ aˑ
গুণ	ɡ u n
গুণা	ɡ u n aˑ
গুণাবলি	ɡ u n a b o l iˑ
গুদাম	ɡ u d̪ a m
গুন	ɡ u n
গুনাগার	ɡ u n a ɡ a ɾ
গুনাহ	ɡ u n a ɦ
গুনাহ	ɡ u n aˑ
গুপ্ত	ɡ u p t̪ oˑ
গুফা	ɡ u f aˑ
গুবাক	ɡ u b a k
গুম	ɡ u m
গুমোট	ɡ u m o ʈ
গুম্ফা	ɡ u m f aˑ
গুম্বজ	ɡ u m b ɔ d͡ʒ
গুরু	ɡ u ɾ uˑ
গুরুত্ব	ɡ u ɾ u t̪ː oˑ
গুরুত্বপূর্ণ	ɡ u ɾ u t̪ː ɔ p u ɾ n oˑ
গুল	ɡ u l
গুলজার	ɡ u l z a ɾ
গুলদাস্তা	ɡ u l̪ d̪ a s t̪ aˑ
গুলবনফ্‌শা	ɡ u l b ɔ n o f ʃ aˑ
গুলশান	ɡ u l ʃ a n
গুলাল	ɡ u l a l
গুলি	ɡ u l iˑ
গুলিস্তাঁ	ɡ u l i s t̪ ãˑ
গুলিস্তান	ɡ u l i s t̪ a n
গুহা	ɡ u h aˑ
গৃহ	ɡ ɾ i h oˑ
গেঁদা	ɡ ẽ d̪ aˑ
গেঁয়ো	ɡ ẽ e̯ oˑ
গেজা	ɡ e d͡ʒ aˑ
গেঞ্জি	ɡ e n d͡ʒ iˑ
গেঞ্জি	ɡ e n z iˑ
গেরাম	ɡ e ɾ a m
গেলা	ɡ e l a
গৈরিক	ɡ o i̯ ɾ i k
গোঁড়	ɡ õ ɽ
গোঁয়ানো	ɡ õ a n oˑ
গোঁষা	ɡ õ ʃ aˑ
গোঁসা	ɡ õ ʃ aˑ
গোঠ	ɡ o ʈ
গোনা	ɡ o n a
গোপন	ɡ o p o n
গোপন	ɡ o p ɔ n
গোপাল	ɡ o p a l
গোফা	ɡ o f äˑ
গোফা	ɡ o pʰ äˑ
গোফা	ɡ o ɸ äˑ
গোবর	ɡ ɔ b o ɾ
গোমূত্র	ɡ o m u t̪ː ɾ oˑ
গোয়া	ɡ o̯ aˑ
গোয়াল	ɡ o̯ a l
গোয়ালা	ɡ o̯ a l aˑ
গোয়েন্দা	ɡ o e n d̪ aˑ
গোরু	ɡ o ɹ uˑ
গোরু	ɡ o ɾ uˑ
গোল	ɡ o l
গোলন্দাজ	ɡ o l ɔ n d̪ a d͡ʒ
গোলসাগু	ɡ o l ʃ a ɡ uˑ
গোলাপ	ɡ o l a p
গোলাপজল	ɡ o l a b d͡ʒ ɔ l
গোলাপজল	ɡ o l a p d͡ʒ ɔ l
গোলাপজাম	ɡ o l a p d͡ʒ a m
গোলাম	ɡ o l a m
গোল্লা	ɡ o lː aˑ
গোশত	ɡ o s t̪ oˑ
গোশত	ɡ o ʃ t̪
গোশত	ɡ o ʃ t̪ oˑ
গোশালা	ɡ o ʃ a l aˑ
গোষ্ঠী	ɡ o ʂ ʈʰ iˑ
গোসল	ɡ o s o l
গোসল	ɡ o s u l
গোসল	ɡ o t͡ʃʰ o l
গোসল	ɡ o ʃ o l
গোসাঁই	ɡ o ʃ ã iˑ
গোস্ত	ɡ o s t̪ oˑ
গোস্ত	ɡ o ʃ t̪ oˑ
গোস্বা	ɡ o ʃː ɑ
গোস্বামী	ɡ o ʃː a m iˑ
গোস্যা	ɡ o sː aˑ
গোস্যা	ɡ o ʃː aˑ
গোস্‌সা	ɡ o sː aˑ
গোস্‌সা	ɡ o ʃː aˑ
গোহাল	ɡ o h a l
গৌড়	ɡ o u̯ ɽ
গৌতম	ɡ o u̯ t̪ o m
গৌরব	ɡ o u̯ ɾ ɔ b
গৌরবহীন	ɡ o u̯ ɾ ɔ b h i n
গৌরাঙ্গ	ɡ o u̯ ɾ a ŋ ɡ oˑ
গ্যাঞ্জাম	ɡ æ n d͡ʒ a m
গ্যারেজ	ɡ æ ɾ e d͡ʒ
গ্যালারি	ɡ e l a ɾ iˑ
গ্যালারি	ɡ æ l a ɾ iˑ
গ্যালারি	ɡ ɪ l a ɾ iˑ
গ্যাস	ɡ æ ʃ
গ্রন্থকার	ɡ ɾ o n t̪ʰ o k a ɾ
গ্রন্থাগার	ɡ ɾ o n t̪ʰ a ɡ a ɾ
গ্রন্থি	ɡ ɾ ɔ n t̪ʰ iˑ
গ্রহ	ɡ ɾ o h oˑ
গ্রহণ	ɡ ɾ o h o n
গ্রাম	ɡ ɾ a m
গ্রামীণ	ɡ ɾ a m i n
গ্রিস	ɡ ɾ i s
গ্রীষ্ম	ɡ ɾ i ʃː oˑ
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
গ্লানি	ɡ l a n iˑ
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
গ্লোব	ɡ l o b
ঘটা	ɡʱ ɔ ʈ a
ঘটানো	ɡʱ ɔ ʈ a n o
ঘড়ি	ɡʱ o ɽ iˑ
ঘড়ি	ɡʱ o ɾ iˑ
ঘণ্টা	ɡʱ ɔ ɳ ʈ aˑ
ঘনিষ্ঠ	ɡʱ o n i ʂ ʈʰ oˑ
ঘর	ɡʱ ɔ ɾ
ঘষা	ɡʱ ɔ ʃ aˑ
ঘাঁটা	ɡʱ ã ʈ̟ ɑˑ
ঘাড়	ɡʱ a ɽ
ঘাবড়ান	ɡʱ a b ɽ a n oˑ
ঘাবড়ান	ɡʱ a b ɾ a n oˑ
ঘাবড়ানো	ɡʱ a b ɽ a n oˑ
ঘাবড়ানো	ɡʱ a b ɾ a n oˑ
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘামানো	ɡʱ a m a n o
ঘাস	ɡʱ a ʃ
ঘি	ɡʱ iˑ
ঘুচা	ɡʱ u t͡ʃ aˑ
ঘুড়ি	ɡʱ u ɽ iˑ
ঘুড়ি	ɡʱ u ɾ iˑ
ঘুমানো	ɡʱ u m a n o
ঘুষ	ɡʱ u ʃ
ঘৃণা	ɡʱ ɾ i n aˑ
ঘেঁষা	ɡʱ æ̃ ʃ aˑ
ঘেরা	ɡʱ e r aˑ
ঘোঙ্গা	ɡʱ o ŋ ɡ äˑ
ঘোড়া	ɡʱ o ɽ aˑ
ঘোড়া	ɡʱ o ɾ aˑ
ঘোমটা	ɡʱ o m ʈ aˑ
ঘোরা	ɡʱ o r a
ঘোষ	ɡʱ o ʃ
ঘোষক	ɡʱ o ʃ ɔ k
ঘোষাল	ɡʱ o ʃ a l
ঙ	u m ɔˑ
ঙ	ŋ ɔˑ
ঙাপ্পি	n a pː i
চ	t͡ʃ ɔˑ
চওড়া	t͡ʃ ɔ o̯ ɽ aˑ
চওড়া	t͡ʃ ɔ o̯ ɾ aˑ
চকলেট	t͡ʃ ɔ k l e ʈ
চকলেট	t͡ʃ ɔ k o l e ʈ
চকোর	t͡ʃ ɔ k o ɾ
চক্কর	t͡ʃ ɔ kː o ɾ
চক্র	t͡ʃ ɔ k ɾ oˑ
চক্রবর্তী	t͡ʃ ɔ k ɾ ɔ b o ɾ t̪ iˑ
চচ্চড়ি	t͡ʃ ɔ t͡ʃː o ɽ iˑ
চচ্চড়ি	t͡ʃ ɔ t͡ʃː o ɾ iˑ
চঞ্চলতা	t͡ʃ ɔ n t͡ʃ ɔ l o t̪ aˑ
চট্টগ্রাম	t͡ʃ ɔ ʈː o ɡ ɾ a m
চট্টোপাধ্যায়	t͡ʃ ɔ ʈː o p a d̪ʱː a e̯
চড়া	t͡ʃ ɔ ɽ aˑ
চড়া	t͡ʃ ɔ ɾ aˑ
চড়াই	t͡ʃ ɔ ɽ a i̯
চড়াই	t͡ʃ ɔ ɾ a i̯
চণ্ডীগড়	t͡ʃ o ɳ ɖ i ɡ ɔ ɽ
চণ্ডীগড়	t͡ʃ o ɳ ɖ i ɡ ɔ ɽʱ
চণ্ডীগড়	t͡ʃ o ɳ ɖ i ɡ ɔ ɾ h
চতুর্দশ	t͡ʃ o t̪ u ɾ d̪ ɔ ʃ
চন্দন	t͡ʃ ɔ n d̪ ɔ n
চন্দ্র	t͡ʃ ɔ n d̪ː ɾ oˑ
চন্দ্রগ্রহণ	t͡ʃ ɔ n d̪ː ɾ ɔ ɡ ɾ ɔ h o n
চন্দ্রবিন্দু	t͡ʃ ɔ n d̪ː ɾ o b i n d̪ uˑ
চন্দ্রমুখী	t̪͡s ɔ̃ n̪ d̪ ɾ ɔ m u kʰ i
চন্দ্রোদয়	t͡ʃ ɔ n d̪ː ɾ o d̪ o e̯
চব্বিশ	t͡ʃ o bː i ʃ
চম্পা	t͡ʃ ɔ m p aˑ
চমৎকার	t͡ʃ ɔ m ɔ t̪ k a ɾ
চরকা	t͡ʃ ɔ ɾ k aˑ
চরণ	t͡ʃ ɔ ɾ o n
চরম	t͡ʃ ɔ ɾ o m
চরানো	t͡ʃ ɔ ɾ a n oˑ
চর্বি	t͡ʃ o ɾ b iˑ
চর্যাপদ	t͡ʃ ɔ ɾ d͡ʒ a p ɔ d̪
চলচ্চিত্র	t͡ʃ ɔ l o t͡ʃ i t̪ː ɾ oˑ
চলচ্চিত্র	t͡ʃ ɔ l o t͡ʃː i t̪ː ɾ oˑ
চলা	t͡ʃ ɔ l aˑ
চলিত	t͡ʃ o l i t̪ oˑ
চল্লিশ	t͡ʃ ɔ lː i ʃ
চশম	t͡ʃ ɔ ʃ o m
চশমা	t͡ʃ ɔ ʃ m aˑ
চষা	t͡ʃ ɔ ʃ aˑ
চা	t͡ʃ aˑ
চাঁকা	t͡ʃ ã k aˑ
চাঁছা	t͡ʃ ã t͡ʃʰ aˑ
চাঁটগাঁ	t͡ʃ ã ʈ ɡ ãˑ
চাঁদ	t͡ʃ ã d̪
চাঁদনি	t͡ʃ ã d̪ n iˑ
চাঁদনী	t͡ʃ ã d̪ n iˑ
চাঁদিনী	t͡ʃ ã d̪ i n iˑ
চাঁদ্নী	t͡ʃ ã d̪ n iˑ
চাঁপা	t͡ʃ ã p aˑ
চাই	t͡ʃ a i̯
চাউর	t͡ʃ a u̯ ɾ
চাউল	t͡ʃ a u̯ l
চাওয়া	t͡ʃ a o̯ aˑ
চাকমা	t͡ʃ a k m aˑ
চাকরানী	t͡ʃ a k ɾ a n iˑ
চাকরিস্থল	t͡ʃ a k ɾ i s t̪ʰ ɔ l
চাকরী	t͡ʃ a k ɾ iˑ
চাকরীজীবন	t͡ʃ a k ɾ i d͡ʒ i b o n
চাকরীজীবী	t͡ʃ a k ɾ i d͡ʒ i b iˑ
চাকরীদাতা	t͡ʃ a k ɾ i d̪ a t̪ aˑ
চাকরীবাকরী	t͡ʃ a k ɾ i b a k ɾ iˑ
চাকরীস্থল	t͡ʃ a k ɾ i s t̪ʰ ɔ l
চাকা	t͡ʃ a k aˑ
চাকু	t͡ʃ a k uˑ
চাখোর	t͡ʃ a kʰ o ɾ
চাগা	t͡ʃ a ɡ aˑ
চাচা	t͡ʃ a t͡ʃ aˑ
চাচ্চা	t͡ʃ a t͡ʃː aˑ
চাচ্চু	t͡ʃ a t͡ʃː uˑ
চাটগাঁ	t͡ʃ a ʈ ɡ ãˑ
চাটনি	t͡ʃ a ʈ n iˑ
চাটা	t͡ʃ a ʈ aˑ
চাটুজ্জে	t͡ʃ a ʈ u d͡ʒ d͡ʒ eˑ
চাটুজ্জে	t͡ʃ a ʈ u z̪̪ d͡ʒ eˑ
চাড়ি	t͡ʃ a ɽ iˑ
চাড়ি	t͡ʃ a ɾ iˑ
চাতক	t͡ʃ a t̪ o k
চাদ	t͡ʃ a d̪
চাদর	t͡ʃ a d̪ o ɾ
চান্দ্র	t͡ʃ a n d̪ː ɾ oˑ
চাপ	t͡ʃ a p
চাপাতি	t͡ʃ a p a t̪ iˑ
চাবি	t͡ʃ a b iˑ
চাবুক	t͡ʃ a b u k
চামচ	t͡ʃ a m o t͡ʃ
চামচ	t͡ʃ a m u t͡ʃ
চামচা	t͡ʃ a m t͡ʃ aˑ
চামড়া	t͡ʃ a m ɽ aˑ
চামড়া	t͡ʃ a m ɾ aˑ
চামাটি	t͡ʃ a m a ʈ iˑ
চামেলি	t͡ʃ a m e l iˑ
চায়	t͡ʃ a e̯
চার	t͡ʃ a ɾ
চারিদিক	t͡ʃ a ɾ i d̪ i k
চার্চ	t͡ʃ a ɾ t͡ʃ
চার্লস	t͡ʃ a ɾ l s
চাল	t͡ʃ a l
চালকুমড়া	t͡ʃ a l k u m ɽ aˑ
চালকুমড়া	t͡ʃ a l k u m ɾ aˑ
চালকুমড়ো	t͡ʃ a l k u m ɽ oˑ
চালকুমড়ো	t͡ʃ a l k u m ɾ oˑ
চালু	t͡ʃ a l uˑ
চাষ	t͡ʃ a ʃ
চাহিদা	t͡ʃ a h i d̪ aˑ
চিঁড়া	t͡ʃ i ɽ aˑ
চিঁড়া	t͡ʃ i ɾ aˑ
চিঁড়া	t͡ʃ ĩ ɽ aˑ
চিঁড়া	t͡ʃ ĩ ɾ aˑ
চিংড়ি	t͡ʃ i ŋ ɽ iˑ
চিংড়ি	t͡ʃ i ŋ ɾ iˑ
চিকন	t͡ʃ i k o n
চিকিত্সা	t͡ʃ i k i t̪ ʃ aˑ
চিকিৎসক	t͡ʃ i k i t̪ ʃ o k
চিকিৎসক	t͡ʃ i k i ʃː o k
চিকিৎসাধীন	t͡ʃ i k i t̪ ʃ a d̪ʱ i n
চিকুৎকুৎ	t͡ʃ i k u t̪ k u t̪
চিজ	t͡ʃ i d͡ʒ
চিজ	t͡ʃ i z
চিটাগুড়	t͡ʃ i ʈ a ɡ u ɽ
চিটাগুড়	t͡ʃ i ʈ a ɡ u ɾ
চিঠা	t͡ʃ i ʈʰ a
চিঠি	t͡ʃ i ʈʰ iˑ
চিড়িয়াখানা	t͡ʃ i ɽ i̯ a kʰ a n aˑ
চিড়িয়াখানা	t͡ʃ i ɾ i̯ a kʰ a n aˑ
চিতল	t͡ʃ i t̪ o l
চিতা	t͡ʃ i t̪ aˑ
চিত্ত	t͡ʃ i t̪ː oˑ
চিত্র	t͡ʃ i t̪ː ɾ oˑ
চিত্রগ্রীব	t͡ʃ i t̪ː ɾ ɔ ɡ ɾ i b
চিত্রনাট্য	t͡ʃ i t̪ː ɾ ɔ n a ʈː oˑ
চিত্রনাট্যকার	t͡ʃ i t̪ː ɾ ɔ n a ʈː o k a ɾ
চিত্রিত	t͡ʃ i t̪ː ɾ i t̪ oˑ
চিনি	t͡ʃ i n iˑ
চিন্তন	t͡ʃ i n t̪ o n
চিন্তন	t͡ʃ i n t̪ ɔ n
চিন্তা	t͡ʃ i n t̪ aˑ
চিন্তাপরাধ	t͡ʃ i n t̪ a p ɔ ɾ a d̪
চিন্তাভাবনা	t͡ʃ i n t̪ a bʱ a b n aˑ
চিন্তাভাবনা	t͡ʃ i n t̪ a bʱ a b o n aˑ
চিন্তাভাবনা	t͡ʃ i n t̪ a v a b n aˑ
চিন্তাভাবনা	t͡ʃ i n t̪ a v a b o n aˑ
চিবানো	t͡ʃ i b a n oˑ
চিমনি	t͡ʃ i m n iˑ
চির	t͡ʃ i ɾ
চির	t͡ʃ i ɾ oˑ
চিরকাল	t͡ʃ i ɾ o k a l
