aa	aː
dampnablely	d a m p n aː b ə l iː
dampnablely	d a m n aː b l ə l iː
dampnablely	d a m n aː b ə l iː
dampnablely	d a m p n aː b l iː
dampnablely	d a m n aː b l iː
dampnacioun	d a m p n aː s i uː n
dampnacioun	d a m n aː s i uː n
dampnacioun	d a m p n aː s i u n
dampnacioun	d a m n aː s i u n
dampnacioun	d a m p n aː s j u n
dampnacioun	d a m n aː s j u n
dampnen	d a m p n ə n
dampnen	d a m n ə n
dampnen	d a m p ə n
dampnen	d a m ə n
dampnynge	d a m p n i n ɡ ə
dampnynge	d a m p n i n ɡ
dampnynge	d a m n i n ɡ ə
dampnynge	d a m n i n ɡ
dampnynge	d a m p i n ɡ ə
dampnynge	d a m p i n ɡ
dampnynge	d a m i n ɡ ə
dampnynge	d a m i n ɡ
dan	d a u̯ n
dan	d a n
Dane	d aː n ə
Dane	d aː n
dart	d a r t
darten	d a r t ə n
dasch	d a ʃ
daschen	d a ʃ ə n
daschen	d a s ə n
dasshyng	d a ʃ i n ɡ
Dauid	d aː v i d
daunce	d a u̯ n s ə
daunce	d a u̯ n s
daunce	d a n s ə
daunce	d a n s
dauncen	d a u̯ n s ə n
dauncen	d a n s ə n
dauncynge	d a u̯ n s i n ɡ ə
dauncynge	d a u̯ n s i n ɡ
daunten	d a n t ə n
daunten	d a u̯ n t ə n
dauntynge	d a u̯ n t i n ɡ ə
dauntynge	d a u̯ n t i n ɡ
Dauphin	d a u̯ f iː n
Dauphin	d ɔ l f iː n
Dauphin	d ɔ f iː n
Dauphin	d ɛ l f iː n
Dauphin	d ɛ f iː n
dawen	d a u̯ ə n
dawen	d æ i̯ ə n
dawnen	d a u̯ n ə n
dawnynge	d a u̯ ə n i n ɡ ə
dawnynge	d a u̯ ə n i n ɡ
dawnynge	d a u̯ n i n ɡ ə
dawnynge	d a u̯ n i n ɡ
dawnynge	d æ i̯ ə n i n ɡ ə
dawnynge	d æ i̯ ə n i n ɡ
dawnynge	d æ i̯ n i n ɡ ə
dawnynge	d æ i̯ n i n ɡ
dawynge	d a u̯ i n ɡ ə
dawynge	d a u̯ i n ɡ
dawynge	d æ i̯ i n ɡ
dawynge	d æ i̯ n ɡ
dawynge	d a u̯ i i n ɡ ə
dawynge	d a u̯ i i n ɡ
dawynge	d a u̯ j i n ɡ ə
dawynge	d a u̯ j i n ɡ
day	d æ i̯
day	d a j
day	d ɛ j
dayly	d æ i̯ l iː
decepcioun	d ɛ s ɛ p s i uː n
decepcioun	d ɛ s ɛ p s j u n
deceyte	d ɛː s æ i̯ t ə
deceyte	d ɛː s æ i̯ t
deceyte	d ɛ s ɛː t ə
deceyte	d ɛ s ɛː t
deceyvable	d ɛː s æ i̯ v aː b ə l
deceyvable	d ɛː s ɛː v aː b ə l
deceyvably	d ɛː s æ i̯ v aː b l iː
deceyvably	d ɛː s ɛː v aː b l iː
deceyvaunce	d ɛː s æ i̯ v a u̯ n s ə
deceyvaunce	d ɛː s æ i̯ v a u̯ n s
deceyvaunce	d ɛː s æ i̯ v a n s ə
deceyvaunce	d ɛː s æ i̯ v a n s
deceyvaunce	d ɛː s ɛː v a u̯ n s ə
deceyvaunce	d ɛː s ɛː v a u̯ n s
deceyvaunce	d ɛː s ɛː v a n s ə
deceyvaunce	d ɛː s ɛː v a n s
deceyvaunce	d ɛː s æ i̯ v a u̯ n s ə
deceyvaunce	d ɛː s æ i̯ v a u̯ n s
deceyvaunce	d ɛː s æ i̯ v a n s ə
deceyvaunce	d ɛː s æ i̯ v a n s
deceyvaunce	d ɛː s æ i̯ v a u̯ n s ə
deceyvaunce	d ɛː s æ i̯ v a u̯ n s
deceyvaunce	d ɛː s æ i̯ v a n s ə
deceyvaunce	d ɛː s æ i̯ v a n s
deceyven	d ɛː s æ i̯ v ə n
deceyven	d ɛː s ɛː v ə n
deceyvour	d ɛː s æ i̯ v uː r
deceyvour	d ɛː s ɛː v uː r
deceyvour	d ɛː s æ i̯ v u r
deceyvour	d ɛː s æ i̯ v ə r
deceyvour	d ɛː s ɛː v u r
deceyvour	d ɛː s ɛː v ə r
deceyvynge	d ɛː s æ i̯ v i n ɡ ə
deceyvynge	d ɛː s æ i̯ v i n ɡ
deceyvynge	d ɛː s ɛː v i n ɡ ə
deceyvynge	d ɛː s ɛː v i n ɡ
dechen	d eː t͡ʃ ə n
deciden	d ɛː s iː d ə n
declin	d ɛ k l iː n
declin	d ɛː k l iː n
declinacioun	d ɛ k l i n aː s i uː n
declinacioun	d ɛ k l i n aː s j u n
declinen	d ɛ k l iː n ə n
declinen	d ɛː k l iː n ə n
declinson	d ɛ k l i n z u n
declinson	d ɛ k l ɛ n z u n
declinson	k l ɛ n z u n
declinson	d ɛ k l y n z u n
decre	d ɛː k r eː
dedly	d ɛ̝ː d l iː
dedly	d ɛ d l iː
dee	d eː
dee	d iː
dee	d æ i̯
deed	d ɛ̝ː d
deeth	d ɛ̝ː θ
def	d ɛ̝ː f
defaute	d ɛː f a u̯ t ə
defaute	d ɛː f a u̯ t
defferent	d ɛ f ɛ r ɛ n t
defferent	d ɛ f ɛ r ɛ n t
defnesse	d ɛ̝ː f n ɛ s ə
defnesse	d ɛ̝ː f n ɛ s
deformen	d ɛː f ɔ r m ə n
deformen	d ɛː f uː r m ə n
deformen	d ɛː f u r m ə n
deformite	d ɛː f ɔ r m i t eː
deformite	d ɛː f ɔ r m i t eː
defoul	d ɛ f uː l
defoul	d ɛː f uː l
defoulen	d ɛ f uː l ə n
defoulen	d ɛː f uː l ə n
defte	d a f t ə
defte	d a f t
defte	d ɛ f t ə
defte	d ɛ f t
degre	d ɛː ɡ r eː
degre	d ɛː ɡ r eː s
deis	d æ i̯ s
deis	d ɛː s
deken	d ɛ̝ː k ə n
deken	d ɛ̝ː k n ə
del	d ɛː l
delare	d ɛː l ə r ə
delare	d ɛː l ə r
dele	d ɛː l ə
dele	d ɛː l
delen	d ɛː l ə n
delf	d ɛ l f
delf	d ɛ l v
delitabilite	d ɛ l i t a b i l i t eː
delitabilite	d ɛ l i t a b i l i t eː
delitabilite	d ɛ l i t aː b l i t eː
delitable	d ɛː l i t aː b ə l
delitable	d ɛ l i t aː b ə l
delitably	d eː l iː t aː b l iː
delitably	d ɛ l iː t aː b l iː
delite	d eː l iː t ə
delite	d eː l iː t
deliten	d eː l iː t ə n
delityng	d eː l iː t i n ɡ
delle	d ɛ l ə
delle	d ɛ l
delphyn	d ɛ l f iː n
delphyn	d ɛ l f i n
delphyn	d ɔ l f i n
deluden	d ɛː l i u̯ d ə n
deluden	d ɛ l i u̯ d ə n
deluden	d ə l i u̯ d ə n
deluge	d ɛː l i u̯ d ʒ ə
deluge	d ɛː l i u̯ d ʒ
delven	d ɛ l v ə n
delvere	d ɛ l v ɛː r ə
delvere	d ɛ l v ɛː r
delvere	d ɛ l v ə r ə
delvere	d ɛ l v ə r
delvynge	d ɛ l v i n ɡ ə
delvynge	d ɛ l v i n ɡ
delynge	d ɛː l i n ɡ
demaunde	d ɛː m a u̯ n d ə
demaunde	d ɛː m a u̯ n d
demaunde	d ɛː m a n d ə
demaunde	d ɛː m a n d
demaunden	d ɛː m a u̯ n d ə n
demaunden	d ɛː m a n d ə n
demere	d eː m ə r ə
demere	d eː m ə r
demon	d ɛː m ɔː n
demure	d ɛː m i u̯ r
demure	d ɛː m eː r
demure	d ɛː m i u̯ r
demure	d ɛː m u r
demurely	d ɛː m i u̯ r l iː
demuren	d ɛː m eː r ə n
demuren	d ɛː m i u̯ r ə n
demuren	d ɛː m u r ə n
den	d ɛ n
den	d ɛ n ə
den	d ɛ n
den	d ɛː n
dene	d ɛː n ə
dene	d ɛː n
dene	d eː n ə
dene	d eː n
Denemarke	d ɛ n ə m a r k ə
Denemarke	d ɛ n ə m a r k
Denemarke	d ɛ n m a r k ə
Denemarke	d ɛ n m a r k
Denemarke	d ɛ n ə m a r t͡ʃ ə
Denemarke	d ɛ n ə m a r t͡ʃ
Denemarke	d ɛ n m a r t͡ʃ ə
Denemarke	d ɛ n m a r t͡ʃ
Denemarke	d a n ə m a r k
Denemarke	d a n m a r k
Denemarke	d a n ə m ɛ r k
Denemarke	d a n m ɛ r k
denyen	d ɛː n iː ə n
dep	d eː p
dep	d øː p
depe	d eː p ə
depe	d eː p
depe	d øː p ə
depe	d øː p
depe	d eː p ə
depe	d eː p
depe	d øː p ə
depe	d øː p
depe	d yː p ə
depe	d yː p
Depe	d eː p ə
Depe	d eː p
depen	d eː p ə n
deply	d eː p l iː
deply	d eː p l i t͡ʃ ə
deply	d eː p l i t͡ʃ
depnesse	d eː p n ɛ s ə
depnesse	d eː p n ɛ s
deposicion	d ɛ p ɔ z i s j uː n
deposicion	d ɛ p ɔ z i s j u n
depthe	d ɛ p θ ə
depthe	d ɛ p θ
depthe	d eː p θ ə
depthe	d eː p θ
der	d eː r
der	d øː r
Derby	d ɛ r b iː
Derby	d a r b iː
Derbyschire	d ɛ r b iː ʃ iː r ə
Derbyschire	d ɛ r b iː ʃ iː r
Derbyschire	d ɛ r b i ʃ iː r ə
Derbyschire	d ɛ r b i ʃ iː r
Derbyschire	d a r b iː ʃ iː r ə
Derbyschire	d a r b iː ʃ iː r
Derbyschire	d a r b i ʃ iː r ə
Derbyschire	d a r b i ʃ iː r
dere	d eː r ə
dere	d eː r
dere	d ɛ̞ː r ə
dere	d ɛ̞ː r
derelyng	d ɛ r l i n ɡ
derelyng	d eː r l i n ɡ
deren	d ɛ̞ː r ə n
dereyne	d ɛ r æ i̯ n ə
dereyne	d ɛ r æ i̯ n
dereynen	d ɛ r æ i̯ n ə n
dereynen	d ɛ r ɛː n ə n
dereynen	d ɛ r ɛː ɲ ə
dereynen	d ɛ r ɛː ɲ
derk	d ɛ r k
derkly	d ɛ r k l iː
derkly	d ɛ r k l i t͡ʃ ə
derkly	d ɛ r k l i t͡ʃ
derknesse	d ɛ r k n ɛ s ə
derknesse	d ɛ r k n ɛ s
dernen	d ɛ r n ə n
dernen	d ɛː r n ə n
derthe	d ɛ r θ ə
derthe	d ɛ r θ
derthe	d i r θ ə
derthe	d i r θ
derthe	d ɛ̝ː r θ ə
derthe	d ɛ̝ː r θ
derthe	d eː r θ ə
derthe	d eː r θ
derthe	d a r θ ə
derthe	d a r θ
desert	d ɛː z ɛ r t
desert	d ɛ z ɛ r t
desert	d ɛ z ɛ r t
desert	d ɛ z ɛ r t
desirous	d ɛ z iː r uː s
desirous	d ɛ z iː r u s
despeyringe	d eː s p æ i̯ r i n ɡ
despeyringe	d ɛ s p æ i̯ r i n ɡ
destroyen	d ɛ s t r u i̯ ə n
destroyen	d ɛ s t r i u̯ ə n
destroyen	d ɛ s t r iː ə n
destroyour	d ɛː s t r u i̯ ə r ə
destroyour	d ɛː s t r u i̯ ə r
destroyour	d ɛː s t r i u̯ ə r ə
destroyour	d ɛː s t r i u̯ ə r
destroyour	d ɛː s t r iː ə r ə
destroyour	d ɛː s t r iː ə r
destruccioun	d ɛ s t r u k s i uː n
destruccioun	d ɛ s t r u k s j u n
dette	d ɛ t ə
dette	d ɛ t
dettour	d ɛ t u r
detty	d ɛ t iː
devel	d eː v ə l
devel	d ɛ v ə l
devel	d eː l
develiche	d eː v ə l iː
develiche	d eː v ə l iː t ʃ
develiche	d eː v l iː t ʃ
develissh	d eː v ə l i ʃ
develissh	d ɛ v ə l i ʃ
develrye	d eː v ə l ə r iː ə
develrye	d eː v ə l ə r iː
develrye	d eː v ə l r iː ə
develrye	d eː v ə l r iː
develrye	d ɛ v ə l ə r iː ə
develrye	d ɛ v ə l ə r iː
develrye	d ɛ v ə l r iː ə
develrye	d ɛ v ə l r iː
devely	d eː v ə l iː
devely	d ɛ f l iː t ʃ ə
devely	d ɛ f l iː t ʃ
deven	d ɛ̝ː v ə n
devouren	d ɛː v uː r ə n
devourere	d ɛː v uː r ə r ə
devourere	d ɛː v uː r ə r
dew	d ɛ u̯
dewe	d i u̯ ə
dewe	d i u̯
dewen	d ɛ u̯ ə n
dewy	d ɛ u̯ iː
dewynge	d ɛ u̯ i n ɡ ə
dewynge	d ɛ u̯ i n ɡ
deye	d æ i̯ ə
deye	d æ i̯
deye	d ɛ i̯
deye	d ɛ̞ː
deye	d e i̯ ə
deye	d e i̯
deye	d iː ə
deye	d iː
deye	d eː ɣ ə
deye	d eː j ə
deyen	d eː j ə n
deyen	d e i̯ ə n
deyen	d iː ə n
deyen	d æ i̯ ə n
deyen	d e i̯
deyen	d eː
deyen	d e i̯ ə n
deyen	d iː ə n
deyerie	d æ i̯ ə r iː ə
deyerie	d æ i̯ ə r iː
deyerie	d æ i̯ ə r iː ə
deyerie	d æ i̯ ə r iː
deyerie	d æ i̯ r iː ə
deyerie	d æ i̯ r iː
deyerie	d ɛ i̯ ə r iː
deyerie	d ɛ i̯ ə r iː
deyerie	d ɛ i̯ r iː
deyne	d æ i̯ n ə
deyne	d æ i̯ n
deyne	d ɛː n ə
deyne	d ɛː n
deynen	d æ i̯ n ə n
deynen	d æ i̯ n ə n
deynous	d æ i̯ n uː s
deynous	d æ i̯ n u s
deynously	d æ i̯ n uː s l iː
deynously	d æ i̯ n u s l iː
deynte	d æ i̯ n t eː
deynte	d ɛ n t eː
deyntely	d æ i̯ n t eː l iː
deyntely	d æ i̯ n t i l iː
deynteth	d æ i̯ n t eː θ
deynteth	d æ i̯ n t ɛ θ
deynteth	d ɛ n t ɛ θ
deyntevous	d æ i̯ n t ɛ v uː s
deyntevous	d æ i̯ n t eː uː s
deyntevous	d æ i̯ n t i u s
deyntevously	d æ i̯ n t ɛ v uː s l iː
deyntevously	d æ i̯ n t i u s l iː
diademe	d iː a d eː m ə
diademe	d iː a d eː m
diademe	d iː a d ɛ m ə
diademe	d iː a d ɛ m
diall	d iː a l
diall	d iː ə l
dialog	d iː a l ɔ ɡ ə
dialog	d iː a l ɔ ɡ
dialog	d iː a l ɔː ɡ ə
dialog	d iː a l ɔː ɡ
difference	d i f ɛ r ɛ n s ə
difference	d i f ɛ r ɛ n s
difference	d i f ɛ r ɛ n s ə
difference	d i f ɛ r ɛ n s
different	d i f ɛ r ɛ n t
different	d i f ɛ r ɛ n t
differently	d i f ɛ r ɛ n t l iː
differently	d i f ɛ r ɛ n t l iː
differren	d i f ɛ r ə n
differren	d i f ɛ r ə n
differren	d i f ɛ r ə n
differren	d i f ɛ r ə n
differryng	d i f ɛ r i n ɡ
differryng	d i f ɛ r i n ɡ
difficult	d i f i k u l t
difficult	d i f i k ə l t
difficult	d i f i k ə l
difficulte	d i f i k u l t eː
difficulte	d i f i k u l t eː
digge	d i ɡ ə
digge	d i ɡ
dighten	d i x t ə n
digit	d i d ʒ i t
digit	d i d ʒ i t u s
digne	d iː n ə
digne	d iː n
digne	d i n ɡ n ə
digne	d i n ɡ n
digne	d i ɡ n ə
digne	d i ɡ n
digne	d i n ɡ ə
digne	d i n ɡ
dignely	d iː n ə l iː
dignely	d iː n l iː
dignely	d i n ɡ n ə l iː
dignely	d i n ɡ n l iː
dignely	d i ɡ n ə l iː
dignely	d i ɡ n l iː
dignyte	d i n ɡ n i t eː
dignyte	d i ɡ n i t eː
dile	d i l ə
dile	d i l
dingen	d i n ɡ ə n
dint	d i n t
dint	d ɛ n t
dint	d u n t
dinten	d i n t ə n
dinten	d u n t ə n
dirige	d i r i d͡ʒ eː
dirige	d i r d͡ʒ eː
dirige	d iː r i d͡ʒ eː
dirige	d iː r d͡ʒ eː
disapoynten	d i z a p u i̯ n t ə n
disavauncen	d i s a v a u̯ n s ə n
disavauncen	d ɛ s a v a u̯ n s ə n
disch	d i ʃ
discres	d i s k r ɛː s
discres	d i s k r ɛ s
discresen	d i s k r ɛː s ə n
discresen	d i s k r ɛ s ə n
disdeyne	d i s d æ i̯ n ə
disdeyne	d i s d æ i̯ n
disdeyne	d ɛː d æ i̯ n ə
disdeyne	d ɛː d æ i̯ n
disdeynen	d i s d æ i̯ n ə n
disdeynen	d ɛː d æ i̯ n ə n
disdeynous	d i s d æ i̯ n uː s
disdeynous	d i s d æ i̯ n u s
disheritaunce	d i s ɛ r i t a u̯ n s ə
disheritaunce	d i s ɛ r i t a u̯ n s
disheritaunce	d i s ɛ r i t a n s ə
disheritaunce	d i s ɛ r i t a n s
disheritaunce	d i s ɛ r i t a u̯ n s ə
disheritaunce	d i s ɛ r i t a u̯ n s
disheritaunce	d i s ɛ r i t a n s ə
disheritaunce	d i s ɛ r i t a n s
dishoneste	d i s ɔ n ɛ s t ə
dishoneste	d i s ɔ n ɛ s t
dishoneste	d i s ɔ n ɛ s t eː
dishonestly	d i s ɔ n ɛ s t l iː
disparage	d i s p a r aː d͡ʒ ə
disparage	d i s p a r aː d͡ʒ
disparage	d i s p a r a d͡ʒ ə
disparage	d i s p a r a d͡ʒ
disparagen	d i s p a r aː d͡ʒ ə
disparagen	d i s p a r aː d͡ʒ
disparagen	d i s p a r a d͡ʒ ə
disparagen	d i s p a r a d͡ʒ
displayen	d i s p l æ i̯ ə n
disporten	d i s p ɔː r t ə n
disposicioun	d i s p ɔː z i s j uː n
disposicioun	d i s p ɔː z i s j u n
disposicioun	d i s p ɔː s j u n
dissimulacioun	d i s i m i u̯ l aː s i uː n
dissimulacioun	d i s i m i u̯ l aː s j u n
dissimulacioun	d i s i m i l aː s j u n
dissimulen	d i s i m i u̯ l ə n
dissimulen	d i s i m i u̯ l ə n
dissimulour	d i s i m i u̯ l uː r
dissimulour	d i s i m i u̯ l u r
dissimulour	d i s i m i l ə r
dissolucioun	d i s ɔ l i u̯ s i uː n
dissolucioun	d i s ɔ l i u̯ s j u n
dissolven	d i z ɔ l v ə n
dissolven	d i s s ɔ l v ə n
dissolven	d i s ɔ l v ə n
distaf	d i s t a f
distroublen	d i s t r uː b ə l ə n
distroublen	d i s t r uː b l ə n
distroublen	d i s t r u b ə l ə n
distroublen	d i s t r u b l ə n
diverse	d i v ə r s
diverse	d iː v ə r s
diversite	d i v ə r s i t eː
diversite	d iː v ə r s i t eː
divisioun	d i v i z i uː n
divisioun	d i v i z j u n
do	d ɔ̝ː
do	d ɑː
do	d aː
doer	d oː ə r ə
doer	d oː ə r
doffen	d ɔ f ə n
dogge	d ɔ ɡ ə
dogge	d ɔ ɡ
dogged	d ɔ ɡ ɛ d
dogh	d ɔ u̯ x
dogh	d ɔ̝ː x
dogh	x
doghter	d ɔ x t ə r
doghter	d ɔ u̯ x t ə r
dok	d ɔ k ə
dok	d ɔ k
doke	d oː k ə
doke	d oː k
doke	d uː k ə
doke	d uː k
doke	d u k ə
doke	d u k
dokeling	d oː k l i n ɡ
dokeling	d uː k l i n ɡ
dokeling	d u k l i n ɡ
dokke	d ɔ k ə
dokke	d ɔ k
dokkyn	d ɔ k ə n
dol	d ɔː l
dole	d ɔː l
dole	d oː l
dombenesse	d u m b n ɛ s
dombenesse	d u m n ɛ s
dombenesse	d uː m b n ɛ s
dombenesse	d uː m n ɛ s
don	d oː n
don	d ɔ n
donge	d u n ɡ ə
donge	d u n ɡ
donge	d u n d͡ʒ ə
donge	d u n d͡ʒ
dongeoun	d u n d ʒ uː n
dongeoun	d u n d ʒ u n
doom	d oː m
dore	d ɔː r ə
dore	d ɔː r
dore	d oː r ə
dore	d oː r
dorry	d ɔ r ɛː
dorry	d ɔ r iː
Dorsete	d ɔ r s ɛː t ə
Dorsete	d ɔ r s ɛː t
Dorsete	d ɔ r s ɛ t ə
Dorsete	d ɔ r s ɛ t
doseyne	d u z æ i̯ n ə
doseyne	d u z æ i̯ n
doseyne	d u z ɛ n ə
doseyne	d u z ɛ n
doseyne	d u z i n ə
doseyne	d u z i n
doseyne	d yː z æ i̯ n
doseyne	d yː z a n
dosk	d ɔ s k
dosk	d u s k
dosk	d ɛ s k
dotacion	d ɔː t aː s j uː n
dotage	d ɔː t aː d͡ʒ ə
dotage	d ɔː t aː d͡ʒ
dotage	d ɔː t a d͡ʒ ə
dotage	d ɔː t a d͡ʒ
dotard	d ɔː t a r d
dote	d ɔː t ə
dote	d ɔː t
doten	d ɔ̞ː t ə n
dotynge	d ɔː t i n ɡ ə
dotynge	d ɔː t i n ɡ
douce	d uː s
doucen	d uː s ə n
doucet	d uː s i t
doucet	d u l s i t
douen	d uː ə n
dought	d u x t
dought	d uː x t
doughty	d u x t iː
doughty	d uː x t iː
doughty	d ɔ x t iː
doughty	d ɔ u̯ x t iː
doughtyly	d u x t iː l iː
doughtyly	d u x t i l iː
doughtynesse	d u x t iː n ɛ s ə
doughtynesse	d u x t iː n ɛ s
doughtynesse	d u x t i n ɛ s ə
doughtynesse	d u x t i n ɛ s
douken	d uː k ə n
doun	d uː n
dousour	d uː s uː r
dousour	d uː s u r
douthe	d uː ð ə
douthe	d uː ð
douthe	d uː θ ə
douthe	d uː θ
douthe	d uː ə ð ə
douthe	d uː ə ð
douthe	d u ɣ ə ð ə
douthe	d u ɣ ə ð
douve	d uː v ə
douve	d uː v
douve	d uː ə
douve	d uː
douve	d uː f ə
douve	d uː f
dovehouse	d uː f h uː s
dovehouse	d uː f uː s
dovehouse	d uː v ə h uː s
dovehouse	d uː v h uː s
dowarye	d uː a r iː ə
dowarye	d uː a r iː
dowarye	d uː ə r iː ə
dowarye	d uː ə r iː
dowarye	d uː r iː ə
dowarye	d uː r iː
dowen	d uː ə n
dower	d uː ɛː r ə
dower	d uː ɛː r
dower	d uː ə r ə
dower	d uː ə r
dragoun	d r a ɡ uː n
dragoun	d r a ɡ u n
drake	d r aː k ə
drake	d r aː k
drane	d r aː n ə
drane	d r aː n
drane	d r ɔː n ə
drane	d r ɔː n
draught	d r a u̯ x t
drawebrigge	d r a u̯ ə b r i d͡ʒ ə
drawebrigge	d r a u̯ ə b r i d͡ʒ
drawebrigge	d r a u̯ b r i d͡ʒ ə
drawebrigge	d r a u̯ b r i d͡ʒ
drawebrigge	d r a u̯ b r i ɡ
drawebrigge	d r a u̯ ə b r u d͡ʒ ə
drawebrigge	d r a u̯ ə b r u d͡ʒ
drawebrigge	d r a u̯ b r u d͡ʒ ə
drawebrigge	d r a u̯ b r u d͡ʒ
drawen	d r a u̯ ə n
drawer	d r a u̯ ə r
dred	d r ɛ̝ː d
dred	d r eː d
dreden	d r ɛ̝ː d ə n
dreden	d r eː d ə n
dredful	d r ɛ d f u l
dredful	d r ɛ̝ː d f u l
dredfully	d r ɛ d f u l l iː
dredfully	d r ɛ d f u l iː
dredfully	d r ɛ̝ː d f u l l iː
dredfully	d r ɛ̝ː d f u l iː
dredfulnesse	d r ɛ d f u l n ɛ s ə
dredfulnesse	d r ɛ d f u l n ɛ s
dredfulnesse	d r ɛ̝ː d f u l n ɛ s ə
dredfulnesse	d r ɛ̝ː d f u l n ɛ s
dredles	d r ɛ d l ɛ̝ː s
dredles	d r ɛ̝ː d l ɛ̝ː s
drednesse	d r ɛ d n ɛ s ə
drednesse	d r ɛ d n ɛ s
drednesse	d r ɛ̝ː d n ɛ s ə
drednesse	d r ɛ̝ː d n ɛ s
dredy	d r ɛ̝ː d iː
dregh	d r eː x
dregh	d r iː x
dregh	d r e i̯ x
dreghly	d r iː x l iː
dreghly	d r iː l iː
dreghly	d r eː x l iː
dreghly	d r eː l iː
drem	d r ɛ̝ː m
dremels	d r ɛ̝ː m ə l s
dremels	d r ɛ̝ː m ə l ə s
dremels	d r ɛ̝ː m l ə s
dremen	d r eː m ə n
dremen	d r ɛ̝ː m ə n
dremere	d r ɛ̝ː m ə r ə
dremere	d r ɛ̝ː m ə r
dremynge	d r eː m i n ɡ ə
dremynge	d r eː m i n ɡ
dremynge	d r ɛ̝ː m i n ɡ ə
dremynge	d r ɛ̝ː m i n ɡ
drenchen	d r ɛ n t͡ʃ ə n
drenchen	d r i n t͡ʃ ə n
dreng	d r ɛ n d͡ʒ
dreng	d r i n d͡ʒ
dreng	d r ɛ n ɡ
dreng	d r i n ɡ
drepen	d r ɛ p ə n
drepen	d r ɛ̞ː p ə n
drepen	d r eː p ə n
drerily	d r eː r iː l iː
drerily	d r eː r i l iː
drerily	d r eː r ə l iː
drerily	d r eː r iː l i t͡ʃ ə
drerily	d r eː r iː l i t͡ʃ
drerily	d r eː r ə l i t͡ʃ ə
drerily	d r eː r ə l i t͡ʃ
drerily	d r eː r l i t͡ʃ ə
drerily	d r eː r l i t͡ʃ
drerimod	d r eː r iː m oː d
drery	d r eː r iː
drery	d r øː r iː
dreryhed	d r eː r iː h ɛː d
drerynesse	d r eː r iː n ɛ s ə
drerynesse	d r eː r iː n ɛ s
dresen	d r eː z ə n
dressen	d r ɛ s ə n
dresser	d r ɛ s ə r ə
dresser	d r ɛ s ə r
dressour	d r ɛ s u r
dressour	d r ɛ s i u̯ r
dressynge	d r ɛ s i n ɡ ə
dressynge	d r ɛ s i n ɡ
drighte	d r i x t ə
drighte	d r i x t
drighte	d r i x t iː n
drighte	d r i x t iː n
drighte	d r i x t ə n
drit	d r i t
driven	d r iː v ə n
dronkelewe	d r u n k ə l ɛ u̯ ə
dronkelewe	d r u n k ə l ɛ u̯
dronkelewe	d r u n k l ɛ u̯ ə
dronkelewe	d r u n k l ɛ u̯
dronkelewe	d r u n k ə n l ɛ u̯ ə
dronkelewe	d r u n k ə n l ɛ u̯
drope	d r ɔ̞ː p ə
drope	d r ɔ̞ː p
drope	d r ɔ p ə
drope	d r ɔ p
droppen	d r ɔ p ə n
droughte	d r u x t ə
droughte	d r u x t
droughte	d r uː x t ə
droughte	d r uː x t
droughte	d r u x θ ə
droughte	d r u x θ
droughte	d r uː ð ə
droughte	d r uː ð
droughte	d r uː θ ə
droughte	d r uː θ
droughte	d r ɔ x t ə
droughte	d r ɔ x t
droughte	d r ɔ u̯ x t ə
droughte	d r ɔ u̯ x t
drounen	d r uː n ə n
droupen	d r uː p ə n
druggen	d r u d͡ʒ ə n
drullen	d r u l ə n
drye	d r iː ə
drye	d r iː
dryenesse	d r iː ə n ɛ s ə
dryenesse	d r iː ə n ɛ s
dryenesse	d r iː n ɛ s ə
dryenesse	d r iː n ɛ s
dryenesse	d r yː ə n ɛ s ə
dryenesse	d r yː ə n ɛ s
dryenesse	d r yː n ɛ s ə
dryenesse	d r yː n ɛ s
dubler	d u b l eː r
dubler	d u b l ə r
Duch	d u t ʃ
Duch	d i u̯ t ʃ
duche	d u t ʃ eː
duchesse	d u t͡ʃ ɛ s ə
duchesse	d u t͡ʃ ɛ s
duchesse	d u t͡ʃ ɛ s ə
duchesse	d u t͡ʃ ɛ s
Duchish	d u t͡ʃ i ʃ
Duchish	d i u̯ t͡ʃ i ʃ
duely	d i u̯ ə l iː
duely	d i u̯ l iː
duely	d i u̯ ə l iː t ʃ ə
duely	d i u̯ ə l iː t ʃ
duely	d i u̯ l iː t ʃ ə
duely	d i u̯ l iː t ʃ
duete	d i u̯ ə t eː
duete	d i u̯ t eː
duk	d i u̯ k
duk	d u k
dukdom	d i u̯ k d oː m
dul	d u l
dumb	d u m b
dumb	d u m
dumb	d uː m b
dumb	d uː m
dumben	d u m b ə n
duracioun	d i u̯ r aː s i uː n
duracioun	d i u̯ r aː s j u n
durren	d u r ə n
dusken	d ɔ s k ə n
dusken	d u s k ə n
dusken	d ɛ s k ə n
dust	d u s t
dust	d uː s t
dusty	d u s t iː
dusty	d uː s t iː
dwale	d w aː l ə
dwale	d w aː l
dwalen	d w aː l ə n
dwele	d w ɛ l ə
dwele	d w ɛ l
dwele	d w ɛ̞ː l ə
dwele	d w ɛ̞ː l
dwele	d w œ l ə
dwele	d w œ l
dwele	d w œː l ə
dwele	d w œː l
dwelen	d w ɛ l ə n
dwelen	d w ɛː l ə n
dwelle	d w ɛ l ə
dwelle	d w ɛ l
dwellen	d w ɛ l ə n
dweller	d w ɛ l ə r ə
dweller	d w ɛ l ə r
dwellynge	d w ɛ l i n ɡ ə
