A	a
ciekawsi	t͡ɕ ɛ k a f ɕ i
ciekawska	t͡ɕ ɛ k a f s k a
ciekawski	t͡ɕ ɛ k a f s k i
ciekawsko	t͡ɕ ɛ k a f s k ɔ
ciekawską	t͡ɕ ɛ k a f s k ɔ w̃
ciekawsza	t͡ɕ ɛ k a f ʂ a
ciekawsze	t͡ɕ ɛ k a f ʂ ɛ
ciekawszego	t͡ɕ ɛ k a f ʂ ɛ ɡ ɔ
ciekawszej	t͡ɕ ɛ k a f ʂ ɛ j
ciekawszemu	t͡ɕ ɛ k a f ʂ ɛ m u
ciekawszy	t͡ɕ ɛ k a f ʂ ɘ
ciekawszych	t͡ɕ ɛ k a f ʂ ɘ x
ciekawszym	t͡ɕ ɛ k a f ʂ ɘ m
ciekawszymi	t͡ɕ ɛ k a f ʂ ɘ m i
ciekawszą	t͡ɕ ɛ k a f ʂ ɔ w̃
ciekawy	t͡ɕ ɛ k a v ɘ
ciekawy	t͡ɕ ɛ k a v ɨ
ciekawych	t͡ɕ ɛ k a v ɘ x
ciekawym	t͡ɕ ɛ k a v ɘ m
ciekawymi	t͡ɕ ɛ k a v ɘ m i
ciekawą	t͡ɕ ɛ k a v ɔ w̃
ciekać	t͡ɕ ɛ k a t͡ɕ
cieknie	t͡ɕ ɛ k ɲ ɛ
cieknięcie	t͡ɕ ɛ k ɲ ɛ ɲ t͡ɕ ɛ
ciekną	t͡ɕ ɛ k n ɔ w̃
cieknąć	t͡ɕ ɛ k n ɔ ɲ t͡ɕ
cieką	t͡ɕ ɛ k ɔ w̃
ciekłokrystaliczny	t͡ɕ ɛ k w ɔ k r ɘ s t a l i t͡ʂ n ɘ
ciekły	t͡ɕ ɛ k w ɘ
ciel	t͡ɕ ɛ l
cielaczek	t͡ɕ ɛ l a t͡ʂ ɛ k
cielak	t͡ɕ ɛ l a k
ciele	t͡ɕ ɛ l ɛ
cielec	t͡ɕ ɛ l ɛ t͡s
cielesność	t͡ɕ ɛ l ɛ s n ɔ ɕ t͡ɕ
cielesny	t͡ɕ ɛ l ɛ s n ɘ
cieleśnie	t͡ɕ ɛ l ɛ ɕ ɲ ɛ
cieli	t͡ɕ ɛ l i
cielica	t͡ɕ ɛ l i t͡s a
cielista	t͡ɕ ɛ l i s t a
cieliste	t͡ɕ ɛ l i s t ɛ
cielistego	t͡ɕ ɛ l i s t ɛ ɡ ɔ
cielistej	t͡ɕ ɛ l i s t ɛ j
cielisty	t͡ɕ ɛ l i s t ɘ
cielistych	t͡ɕ ɛ l i s t ɘ x
cielistym	t͡ɕ ɛ l i s t ɘ m
cielistymi	t͡ɕ ɛ l i s t ɘ m i
cielistą	t͡ɕ ɛ l i s t ɔ w̃
cielić	t͡ɕ ɛ l i t͡ɕ
cieliści	t͡ɕ ɛ l i ɕ t͡ɕ i
cielny	t͡ɕ ɛ l n ɘ
cielsko	t͡ɕ ɛ l s k ɔ
cielą	t͡ɕ ɛ l ɔ w̃
cieląt	t͡ɕ ɛ l ɔ n t
cielątko	t͡ɕ ɛ l ɔ n t k ɔ
cielę	t͡ɕ ɛ l ɛ
cielę	t͡ɕ ɛ l ɛ w̃
cielęcia	t͡ɕ ɛ l ɛ ɲ t͡ɕ a
cielęciem	t͡ɕ ɛ l ɛ ɲ t͡ɕ ɛ m
cielęcina	t͡ɕ ɛ l ɛ ɲ t͡ɕ i n a
cielęciu	t͡ɕ ɛ l ɛ ɲ t͡ɕ u
cielęcy	t͡ɕ ɛ l ɛ n t͡s ɘ
cielęta	t͡ɕ ɛ l ɛ n t a
cielętach	t͡ɕ ɛ l ɛ n t a x
cielętami	t͡ɕ ɛ l ɛ n t a m i
cielętnik	t͡ɕ ɛ l ɛ n t ɲ i k
cielętom	t͡ɕ ɛ l ɛ n t ɔ m
ciem	t͡ɕ ɛ m
ciemieniucha	t͡ɕ ɛ m j ɛ ɲ u x a
ciemieniuchą	t͡ɕ ɛ m j ɛ ɲ u x ɔ w̃
ciemiernik	t͡ɕ ɛ m j ɛ r ɲ i k
ciemierzyca	t͡ɕ ɛ m j ɛ ʐ ɘ t͡s a
ciemiączko	t͡ɕ ɛ m j ɔ n t͡ʂ k ɔ
ciemię	t͡ɕ ɛ m j ɛ
ciemię	t͡ɕ ɛ m j ɛ w̃
ciemięga	t͡ɕ ɛ m j ɛ ŋ ɡ a
ciemięzca	t͡ɕ ɛ m j ɛ n s t͡s a
ciemięzca	t͡ɕ ɛ m j ɛ w̃ s t͡s a
ciemiężca	t͡ɕ ɛ m j ɛ n ʂ t͡s a
ciemiężca	t͡ɕ ɛ m j ɛ w̃ ʂ t͡s a
ciemiężenie	t͡ɕ ɛ m j ɛ n ʐ ɛ ɲ ɛ
ciemiężenie	t͡ɕ ɛ m j ɛ w̃ ʐ ɛ ɲ ɛ
ciemiężyca	t͡ɕ ɛ m j ɛ n ʐ ɘ t͡s a
ciemiężyca	t͡ɕ ɛ m j ɛ w̃ ʐ ɘ t͡s a
ciemiężyciel	t͡ɕ ɛ m j ɛ n ʐ ɘ t͡ɕ ɛ l
ciemiężyciel	t͡ɕ ɛ m j ɛ w̃ ʐ ɘ t͡ɕ ɛ l
ciemiężyk	t͡ɕ ɛ m j ɛ n ʐ ɘ k
ciemiężyk	t͡ɕ ɛ m j ɛ w̃ ʐ ɘ k
ciemiężyć	t͡ɕ ɛ m j ɛ n ʐ ɘ t͡ɕ
ciemiężyć	t͡ɕ ɛ m j ɛ w̃ ʐ ɘ t͡ɕ
ciemna	t͡ɕ ɛ m n a
ciemnawo	t͡ɕ ɛ m n a v ɔ
ciemnawy	t͡ɕ ɛ m n a v ɘ
ciemne	t͡ɕ ɛ m n ɛ
ciemnego	t͡ɕ ɛ m n ɛ ɡ ɔ
ciemnej	t͡ɕ ɛ m n ɛ j
ciemnemu	t͡ɕ ɛ m n ɛ m u
ciemni	t͡ɕ ɛ m ɲ i
ciemnia	t͡ɕ ɛ m ɲ a
ciemniach	t͡ɕ ɛ m ɲ a x
ciemniak	t͡ɕ ɛ m ɲ a k
ciemniami	t͡ɕ ɛ m ɲ a m i
ciemnica	t͡ɕ ɛ m ɲ i t͡s a
ciemnicą	t͡ɕ ɛ m ɲ i t͡s ɔ w̃
ciemnie	t͡ɕ ɛ m ɲ ɛ
ciemniej	t͡ɕ ɛ m ɲ ɛ j
ciemniejszego	t͡ɕ ɛ m ɲ ɛ j ʂ ɛ ɡ ɔ
ciemniejszy	t͡ɕ ɛ m ɲ ɛ j ʂ ɘ
ciemnienie	t͡ɕ ɛ m ɲ ɛ ɲ ɛ
ciemnieć	t͡ɕ ɛ m ɲ ɛ t͡ɕ
ciemnio	t͡ɕ ɛ m ɲ ɔ
ciemniom	t͡ɕ ɛ m ɲ ɔ m
ciemniutki	t͡ɕ ɛ m ɲ u t k i
ciemnią	t͡ɕ ɛ m ɲ ɔ w̃
ciemnię	t͡ɕ ɛ m ɲ ɛ
ciemnię	t͡ɕ ɛ m ɲ ɛ w̃
ciemno	t͡ɕ ɛ m n ɔ
ciemnobeżowy	t͡ɕ ɛ m n ɔ b ɛ ʐ ɔ v ɘ
ciemnoczerwoni	t͡ɕ ɛ m n ɔ t͡ʂ ɛ r v ɔ ɲ i
ciemnoczerwony	t͡ɕ ɛ m n ɔ t͡ʂ ɛ r v ɔ n ɘ
ciemnogród	t͡ɕ ɛ m n ɔ ɡ r u t
ciemnolicy	t͡ɕ ɛ m n ɔ l i t͡s ɘ
ciemnolubek	t͡ɕ ɛ m n ɔ l u b ɛ k
ciemnoniebieski	t͡ɕ ɛ m n ɔ ɲ ɛ b j ɛ s k i
ciemnooki	t͡ɕ ɛ m n ɔ ɔ k i
ciemnota	t͡ɕ ɛ m n ɔ t a
ciemnotą	t͡ɕ ɛ m n ɔ t ɔ w̃
ciemnotę	t͡ɕ ɛ m n ɔ t ɛ
ciemnotę	t͡ɕ ɛ m n ɔ t ɛ w̃
ciemnowłosy	t͡ɕ ɛ m n ɔ v w ɔ s ɘ
ciemnozielony	t͡ɕ ɛ m n ɔ ʑ ɛ l ɔ n ɘ
ciemności	t͡ɕ ɛ m n ɔ ɕ t͡ɕ i
ciemnościach	t͡ɕ ɛ m n ɔ ɕ t͡ɕ a x
ciemnościami	t͡ɕ ɛ m n ɔ ɕ t͡ɕ a m i
ciemnościom	t͡ɕ ɛ m n ɔ ɕ t͡ɕ ɔ m
ciemnością	t͡ɕ ɛ m n ɔ ɕ t͡ɕ ɔ w̃
ciemność	t͡ɕ ɛ m n ɔ ɕ t͡ɕ
ciemnożółci	t͡ɕ ɛ m n ɔ ʐ u w t͡ɕ i
ciemnożółte	t͡ɕ ɛ m n ɔ ʐ u w t ɛ
ciemnożółty	t͡ɕ ɛ m n ɔ ʐ u w t ɘ
ciemny	t͡ɕ ɛ m n ɘ
ciemny	t͡ɕ ɛ m n ɨ
ciemnych	t͡ɕ ɛ m n ɘ x
ciemnym	t͡ɕ ɛ m n ɘ m
ciemnymi	t͡ɕ ɛ m n ɘ m i
ciemną	t͡ɕ ɛ m n ɔ w̃
ciemń	t͡ɕ ɛ m ɲ
ciency	t͡ɕ ɛ n t͡s ɘ
cieni	t͡ɕ ɛ ɲ i
cienia	t͡ɕ ɛ ɲ a
cieniach	t͡ɕ ɛ ɲ a x
cieniami	t͡ɕ ɛ ɲ a m i
cienias	t͡ɕ ɛ ɲ a s
cieniasom	t͡ɕ ɛ ɲ a s ɔ m
cienie	t͡ɕ ɛ ɲ ɛ
cieniej	t͡ɕ ɛ ɲ ɛ j
cieniem	t͡ɕ ɛ ɲ ɛ m
cienieć	t͡ɕ ɛ ɲ ɛ t͡ɕ
cieniom	t͡ɕ ɛ ɲ ɔ m
cieniować	t͡ɕ ɛ ɲ ɔ v a t͡ɕ
cieniowi	t͡ɕ ɛ ɲ ɔ v i
cienistszy	t͡ɕ ɛ ɲ i s t ʂ ɘ
cienisty	t͡ɕ ɛ ɲ i s t ɘ
cieniu	t͡ɕ ɛ ɲ u
cieniuchno	t͡ɕ ɛ ɲ u x n ɔ
cieniuchny	t͡ɕ ɛ ɲ u x n ɘ
cieniusi	t͡ɕ ɛ ɲ u ɕ i
cieniusieńki	t͡ɕ ɛ ɲ u ɕ ɛ ɲ k i
cieniusieńko	t͡ɕ ɛ ɲ u ɕ ɛ ɲ k ɔ
cieniuteczki	t͡ɕ ɛ ɲ u t ɛ t͡ʂ k i
cieniuteńki	t͡ɕ ɛ ɲ u t ɛ ɲ k i
cieniutki	t͡ɕ ɛ ɲ u t k i
cieniuśki	t͡ɕ ɛ ɲ u ɕ k i
cieniów	t͡ɕ ɛ ɲ u f
cienią	t͡ɕ ɛ ɲ ɔ w̃
cienić	t͡ɕ ɛ ɲ i t͡ɕ
cienię	t͡ɕ ɛ ɲ ɛ
cienię	t͡ɕ ɛ ɲ ɛ w̃
cienka	t͡ɕ ɛ n k a
cienki	t͡ɕ ɛ ŋ k i
cienkich	t͡ɕ ɛ ŋ k i x
cienkie	t͡ɕ ɛ ŋ k j ɛ
cienkiego	t͡ɕ ɛ ŋ k j ɛ ɡ ɔ
cienkiej	t͡ɕ ɛ ŋ k j ɛ j
cienkiemu	t͡ɕ ɛ ŋ k j ɛ m u
cienkim	t͡ɕ ɛ ŋ k i m
cienkimi	t͡ɕ ɛ ŋ k i m i
cienko	t͡ɕ ɛ ŋ k ɔ
cienkonogi	t͡ɕ ɛ ŋ k ɔ n ɔ ɡ i
cienkopis	t͡ɕ ɛ ŋ k ɔ p i s
cienkusz	t͡ɕ ɛ ŋ k u ʂ
cienką	t͡ɕ ɛ ŋ k ɔ w̃
ciep	t͡ɕ ɛ p
ciepać	t͡ɕ ɛ p a t͡ɕ
ciepał	t͡ɕ ɛ p a w
ciepała	t͡ɕ ɛ p a w a
ciepełko	t͡ɕ ɛ p ɛ w k ɔ
ciepie	t͡ɕ ɛ p j ɛ
ciepią	t͡ɕ ɛ p j ɔ w̃
ciepię	t͡ɕ ɛ p j ɛ
ciepię	t͡ɕ ɛ p j ɛ w̃
cieplak	t͡ɕ ɛ p l a k
cieplarnia	t͡ɕ ɛ p l a r ɲ a
cieplarniany	t͡ɕ ɛ p l a r ɲ a n ɘ
cieple	t͡ɕ ɛ p l ɛ
cieplej	t͡ɕ ɛ p l ɛ j
cieplejszego	t͡ɕ ɛ p l ɛ j ʂ ɛ ɡ ɔ
cieplejszy	t͡ɕ ɛ p l ɛ j ʂ ɘ
ciepli	t͡ɕ ɛ p l i
cieplica	t͡ɕ ɛ p l i t͡s a
cieplice	t͡ɕ ɛ p l i t͡s ɛ
cieplik	t͡ɕ ɛ p l i k
cieplne	t͡ɕ ɛ p l n ɛ
cieplny	t͡ɕ ɛ p l n ɘ
cieplutki	t͡ɕ ɛ p l u t k i
ciepła	t͡ɕ ɛ p w a
ciepławy	t͡ɕ ɛ p w a v ɘ
ciepłe	t͡ɕ ɛ p w ɛ
ciepłego	t͡ɕ ɛ p w ɛ ɡ ɔ
ciepłej	t͡ɕ ɛ p w ɛ j
ciepłem	t͡ɕ ɛ p w ɛ m
ciepłemu	t͡ɕ ɛ p w ɛ m u
ciepło	t͡ɕ ɛ p w ɔ
ciepłociąg	t͡ɕ ɛ p w ɔ t͡ɕ ɔ ŋ k
ciepłolubny	t͡ɕ ɛ p w ɔ l u b n ɘ
ciepłota	t͡ɕ ɛ p w ɔ t a
ciepłotą	t͡ɕ ɛ p w ɔ t ɔ w̃
ciepłownia	t͡ɕ ɛ p w ɔ v ɲ a
ciepłowniczy	t͡ɕ ɛ p w ɔ v ɲ i t͡ʂ ɘ
ciepłownik	t͡ɕ ɛ p w ɔ v ɲ i k
ciepłu	t͡ɕ ɛ p w u
ciepły	t͡ɕ ɛ p w ɘ
ciepły	t͡ɕ ɛ p ɫ ɨ
ciepłych	t͡ɕ ɛ p w ɘ x
ciepłym	t͡ɕ ɛ p w ɘ m
ciepłymi	t͡ɕ ɛ p w ɘ m i
ciepłą	t͡ɕ ɛ p w ɔ w̃
cierlica	t͡ɕ ɛ r l i t͡s a
cierlicą	t͡ɕ ɛ r l i t͡s ɔ w̃
cierlicę	t͡ɕ ɛ r l i t͡s ɛ
cierlicę	t͡ɕ ɛ r l i t͡s ɛ w̃
cierlik	t͡ɕ ɛ r l i k
cierni	t͡ɕ ɛ r ɲ i
ciernia	t͡ɕ ɛ r ɲ a
cierniczek	t͡ɕ ɛ r ɲ i t͡ʂ ɛ k
ciernie	t͡ɕ ɛ r ɲ ɛ
ciernik	t͡ɕ ɛ r ɲ i k
cierniopląt	t͡ɕ ɛ r ɲ ɔ p l ɔ n t
cierniowy	t͡ɕ ɛ r ɲ ɔ v ɘ
ciernisty	t͡ɕ ɛ r ɲ i s t ɘ
cierniów	t͡ɕ ɛ r ɲ u f
cierniówce	t͡ɕ ɛ r ɲ u f t͡s ɛ
cierniówek	t͡ɕ ɛ r ɲ u v ɛ k
cierniówka	t͡ɕ ɛ r ɲ u f k a
cierniówkach	t͡ɕ ɛ r ɲ u f k a x
cierniówkami	t͡ɕ ɛ r ɲ u f k a m i
cierniówki	t͡ɕ ɛ r ɲ u f k i
cierniówko	t͡ɕ ɛ r ɲ u f k ɔ
cierniówkom	t͡ɕ ɛ r ɲ u f k ɔ m
cierniówką	t͡ɕ ɛ r ɲ u f k ɔ w̃
cierniówkę	t͡ɕ ɛ r ɲ u f k ɛ
cierniówkę	t͡ɕ ɛ r ɲ u f k ɛ w̃
cierny	t͡ɕ ɛ r n ɘ
cierp	t͡ɕ ɛ r p
cierpcie	t͡ɕ ɛ r p t͡ɕ ɛ
cierpi	t͡ɕ ɛ r p i
cierpiarz	t͡ɕ ɛ r p j a ʂ
cierpiał	t͡ɕ ɛ r p j a w
cierpiała	t͡ɕ ɛ r p j a w a
cierpiałaby	t͡ɕ ɛ r p j a w a b ɘ
cierpiałabym	t͡ɕ ɛ r p j a w a b ɘ m
cierpiałabyś	t͡ɕ ɛ r p j a w a b ɘ ɕ
cierpiałam	t͡ɕ ɛ r p j a w a m
cierpiałaś	t͡ɕ ɛ r p j a w a ɕ
cierpiałby	t͡ɕ ɛ r p j a w b ɘ
cierpiałbym	t͡ɕ ɛ r p j a w b ɘ m
cierpiałbyś	t͡ɕ ɛ r p j a w b ɘ ɕ
cierpiałem	t͡ɕ ɛ r p j a w ɛ m
cierpiałeś	t͡ɕ ɛ r p j a w ɛ ɕ
cierpiało	t͡ɕ ɛ r p j a w ɔ
cierpiałoby	t͡ɕ ɛ r p j a w ɔ b ɘ
cierpicie	t͡ɕ ɛ r p i t͡ɕ ɛ
cierpienie	t͡ɕ ɛ r p j ɛ ɲ ɛ
cierpieć	t͡ɕ ɛ r p j ɛ t͡ɕ
cierpimy	t͡ɕ ɛ r p i m ɘ
cierpisz	t͡ɕ ɛ r p i ʂ
cierpią	t͡ɕ ɛ r p j ɔ w̃
cierpiąc	t͡ɕ ɛ r p j ɔ n t͡s
cierpiąca	t͡ɕ ɛ r p j ɔ n t͡s a
cierpiący	t͡ɕ ɛ r p j ɔ n t͡s ɘ
cierpię	t͡ɕ ɛ r p j ɛ
cierpię	t͡ɕ ɛ r p j ɛ w̃
cierpiętnica	t͡ɕ ɛ r p j ɛ n t ɲ i t͡s a
cierpiętnicą	t͡ɕ ɛ r p j ɛ n t ɲ i t͡s ɔ w̃
cierpiętnik	t͡ɕ ɛ r p j ɛ n t ɲ i k
cierpkawo	t͡ɕ ɛ r p k a v ɔ
cierpkawy	t͡ɕ ɛ r p k a v ɘ
cierpki	t͡ɕ ɛ r p k i
cierpko	t͡ɕ ɛ r p k ɔ
cierpkość	t͡ɕ ɛ r p k ɔ ɕ t͡ɕ
cierpliwa	t͡ɕ ɛ r p l i v a
cierpliwe	t͡ɕ ɛ r p l i v ɛ
cierpliwego	t͡ɕ ɛ r p l i v ɛ ɡ ɔ
cierpliwej	t͡ɕ ɛ r p l i v ɛ j
cierpliwemu	t͡ɕ ɛ r p l i v ɛ m u
cierpliwi	t͡ɕ ɛ r p l i v i
cierpliwie	t͡ɕ ɛ r p l i v j ɛ
cierpliwiej	t͡ɕ ɛ r p l i v j ɛ j
cierpliwość	t͡ɕ ɛ r p l i v ɔ ɕ t͡ɕ
cierpliwy	t͡ɕ ɛ r p l i v ɘ
cierpliwych	t͡ɕ ɛ r p l i v ɘ x
cierpliwym	t͡ɕ ɛ r p l i v ɘ m
cierpliwymi	t͡ɕ ɛ r p l i v ɘ m i
cierpmy	t͡ɕ ɛ r p m ɘ
cierpnąć	t͡ɕ ɛ r p n ɔ ɲ t͡ɕ
cierń	t͡ɕ ɛ r ɲ
ciesak	t͡ɕ ɛ s a k
ciesielski	t͡ɕ ɛ ɕ ɛ l s k i
ciesielstwo	t͡ɕ ɛ ɕ ɛ l s t f ɔ
ciesz	t͡ɕ ɛ ʂ
cieszenie	t͡ɕ ɛ ʂ ɛ ɲ ɛ
cieszy	t͡ɕ ɛ ʂ ɘ
cieszycie	t͡ɕ ɛ ʂ ɘ t͡ɕ ɛ
cieszymy	t͡ɕ ɛ ʂ ɘ m ɘ
cieszynianin	t͡ɕ ɛ ʂ ɘ ɲ a ɲ i n
cieszynitowy	t͡ɕ ɛ ʂ ɘ ɲ i t ɔ v ɘ
cieszynka	t͡ɕ ɛ ʂ ɘ n k a
cieszysz	t͡ɕ ɛ ʂ ɘ ʂ
cieszyć	t͡ɕ ɛ ʂ ɘ t͡ɕ
cieszyć	t͡ɕ ɛ ʂ ɨ t͡ɕ
cieszył	t͡ɕ ɛ ʂ ɘ w
cieszyński	t͡ɕ ɛ ʂ ɘ ɲ s k i
cieszą	t͡ɕ ɛ ʂ ɔ w̃
ciesząc	t͡ɕ ɛ ʂ ɔ n t͡s
cieszę	t͡ɕ ɛ ʂ ɛ
cieszę	t͡ɕ ɛ ʂ ɛ w̃
cietrzew	t͡ɕ ɛ t ʂ ɛ f
cietrzewi	t͡ɕ ɛ t ʂ ɛ v i
cietrzewia	t͡ɕ ɛ t ʂ ɛ v j a
cietrzewiach	t͡ɕ ɛ t ʂ ɛ v j a x
cietrzewiami	t͡ɕ ɛ t ʂ ɛ v j a m i
cietrzewich	t͡ɕ ɛ t ʂ ɛ v i x
cietrzewie	t͡ɕ ɛ t ʂ ɛ v j ɛ
cietrzewiego	t͡ɕ ɛ t ʂ ɛ v j ɛ ɡ ɔ
cietrzewiej	t͡ɕ ɛ t ʂ ɛ v j ɛ j
cietrzewiem	t͡ɕ ɛ t ʂ ɛ v j ɛ m
cietrzewiemu	t͡ɕ ɛ t ʂ ɛ v j ɛ m u
cietrzewim	t͡ɕ ɛ t ʂ ɛ v i m
cietrzewimi	t͡ɕ ɛ t ʂ ɛ v i m i
cietrzewiom	t͡ɕ ɛ t ʂ ɛ v j ɔ m
cietrzewiu	t͡ɕ ɛ t ʂ ɛ v j u
cietrzewią	t͡ɕ ɛ t ʂ ɛ v j ɔ w̃
cieć	t͡ɕ ɛ t͡ɕ
cień	t͡ɕ ɛ ɲ
cieńszego	t͡ɕ ɛ ɲ ʂ ɛ ɡ ɔ
cieńszy	t͡ɕ ɛ ɲ ʂ ɘ
cieście	t͡ɕ ɛ ɕ t͡ɕ ɛ
cieśla	t͡ɕ ɛ ɕ l a
cieśle	t͡ɕ ɛ ɕ l ɛ
cieśli	t͡ɕ ɛ ɕ l i
cieślica	t͡ɕ ɛ ɕ l i t͡s a
cieślą	t͡ɕ ɛ ɕ l ɔ w̃
cieślę	t͡ɕ ɛ ɕ l ɛ
cieślę	t͡ɕ ɛ ɕ l ɛ w̃
cieśni	t͡ɕ ɛ ɕ ɲ i
cieśnie	t͡ɕ ɛ ɕ ɲ ɛ
cieśnina	t͡ɕ ɛ ɕ ɲ i n a
cieśniną	t͡ɕ ɛ ɕ ɲ i n ɔ w̃
cieśninę	t͡ɕ ɛ ɕ ɲ i n ɛ
cieśninę	t͡ɕ ɛ ɕ ɲ i n ɛ w̃
cieśnią	t͡ɕ ɛ ɕ ɲ ɔ w̃
cieśnić	t͡ɕ ɛ ɕ ɲ i t͡ɕ
cieśnię	t͡ɕ ɛ ɕ ɲ ɛ
cieśnię	t͡ɕ ɛ ɕ ɲ ɛ w̃
cieśń	t͡ɕ ɛ ɕ ɲ
cieżki	t͡ɕ ɛ ʂ k i
cinkciarz	t͡ɕ i ŋ k t͡ɕ a ʂ
cioci	t͡ɕ ɔ t͡ɕ i
ciocia	t͡ɕ ɔ t͡ɕ a
ciociach	t͡ɕ ɔ t͡ɕ a x
ciociami	t͡ɕ ɔ t͡ɕ a m i
ciocie	t͡ɕ ɔ t͡ɕ ɛ
ciociom	t͡ɕ ɔ t͡ɕ ɔ m
ciociu	t͡ɕ ɔ t͡ɕ u
ciocią	t͡ɕ ɔ t͡ɕ ɔ w̃
ciocię	t͡ɕ ɔ t͡ɕ ɛ
ciocię	t͡ɕ ɔ t͡ɕ ɛ w̃
ciorać	t͡ɕ ɔ r a t͡ɕ
ciort	t͡ɕ ɔ r t
cios	t͡ɕ ɔ s
ciosa	t͡ɕ ɔ s a
ciosach	t͡ɕ ɔ s a x
ciosacie	t͡ɕ ɔ s a t͡ɕ ɛ
ciosaj	t͡ɕ ɔ s a j
ciosajcie	t͡ɕ ɔ s a j t͡ɕ ɛ
ciosajmy	t͡ɕ ɔ s a j m ɘ
ciosają	t͡ɕ ɔ s a j ɔ w̃
ciosając	t͡ɕ ɔ s a j ɔ n t͡s
ciosająca	t͡ɕ ɔ s a j ɔ n t͡s a
ciosające	t͡ɕ ɔ s a j ɔ n t͡s ɛ
ciosającego	t͡ɕ ɔ s a j ɔ n t͡s ɛ ɡ ɔ
ciosającej	t͡ɕ ɔ s a j ɔ n t͡s ɛ j
ciosającemu	t͡ɕ ɔ s a j ɔ n t͡s ɛ m u
ciosający	t͡ɕ ɔ s a j ɔ n t͡s ɘ
ciosających	t͡ɕ ɔ s a j ɔ n t͡s ɘ x
ciosającym	t͡ɕ ɔ s a j ɔ n t͡s ɘ m
ciosającymi	t͡ɕ ɔ s a j ɔ n t͡s ɘ m i
ciosającą	t͡ɕ ɔ s a j ɔ n t͡s ɔ w̃
ciosak	t͡ɕ ɔ s a k
ciosali	t͡ɕ ɔ s a l i
ciosaliby	t͡ɕ ɔ s a l i b ɘ
ciosalibyście	t͡ɕ ɔ s a l i b ɘ ɕ t͡ɕ ɛ
ciosalibyśmy	t͡ɕ ɔ s a l i b ɘ ɕ m ɘ
ciosaliście	t͡ɕ ɔ s a l i ɕ t͡ɕ ɛ
ciosaliśmy	t͡ɕ ɔ s a l i ɕ m ɘ
ciosam	t͡ɕ ɔ s a m
ciosami	t͡ɕ ɔ s a m i
ciosamy	t͡ɕ ɔ s a m ɘ
ciosana	t͡ɕ ɔ s a n a
ciosane	t͡ɕ ɔ s a n ɛ
ciosanego	t͡ɕ ɔ s a n ɛ ɡ ɔ
ciosanej	t͡ɕ ɔ s a n ɛ j
ciosanemu	t͡ɕ ɔ s a n ɛ m u
ciosani	t͡ɕ ɔ s a ɲ i
ciosania	t͡ɕ ɔ s a ɲ a
ciosanie	t͡ɕ ɔ s a ɲ ɛ
ciosaniem	t͡ɕ ɔ s a ɲ ɛ m
ciosaniu	t͡ɕ ɔ s a ɲ u
ciosano	t͡ɕ ɔ s a n ɔ
ciosany	t͡ɕ ɔ s a n ɘ
ciosanych	t͡ɕ ɔ s a n ɘ x
ciosanym	t͡ɕ ɔ s a n ɘ m
ciosanymi	t͡ɕ ɔ s a n ɘ m i
ciosaną	t͡ɕ ɔ s a n ɔ w̃
ciosasz	t͡ɕ ɔ s a ʂ
ciosać	t͡ɕ ɔ s a t͡ɕ
ciosał	t͡ɕ ɔ s a w
ciosała	t͡ɕ ɔ s a w a
ciosałaby	t͡ɕ ɔ s a w a b ɘ
ciosałabym	t͡ɕ ɔ s a w a b ɘ m
ciosałabyś	t͡ɕ ɔ s a w a b ɘ ɕ
ciosałam	t͡ɕ ɔ s a w a m
ciosałaś	t͡ɕ ɔ s a w a ɕ
ciosałby	t͡ɕ ɔ s a w b ɘ
ciosałbym	t͡ɕ ɔ s a w b ɘ m
ciosałbyś	t͡ɕ ɔ s a w b ɘ ɕ
ciosałem	t͡ɕ ɔ s a w ɛ m
ciosałeś	t͡ɕ ɔ s a w ɛ ɕ
ciosało	t͡ɕ ɔ s a w ɔ
ciosałoby	t͡ɕ ɔ s a w ɔ b ɘ
ciosałobym	t͡ɕ ɔ s a w ɔ b ɘ m
ciosałobyś	t͡ɕ ɔ s a w ɔ b ɘ ɕ
ciosałom	t͡ɕ ɔ s a w ɔ m
ciosałoś	t͡ɕ ɔ s a w ɔ ɕ
ciosały	t͡ɕ ɔ s a w ɘ
ciosałyby	t͡ɕ ɔ s a w ɘ b ɘ
ciosałybyście	t͡ɕ ɔ s a w ɘ b ɘ ɕ t͡ɕ ɛ
ciosałybyśmy	t͡ɕ ɔ s a w ɘ b ɘ ɕ m ɘ
ciosałyście	t͡ɕ ɔ s a w ɘ ɕ t͡ɕ ɛ
ciosałyśmy	t͡ɕ ɔ s a w ɘ ɕ m ɘ
ciosem	t͡ɕ ɔ s ɛ m
cioseł	t͡ɕ ɔ s ɛ w
ciosie	t͡ɕ ɔ ɕ ɛ
cioso	t͡ɕ ɔ s ɔ
ciosom	t͡ɕ ɔ s ɔ m
ciosowi	t͡ɕ ɔ s ɔ v i
ciosu	t͡ɕ ɔ s u
ciosy	t͡ɕ ɔ s ɘ
ciosz	t͡ɕ ɔ ʂ
cioszcie	t͡ɕ ɔ ʂ t͡ɕ ɛ
ciosze	t͡ɕ ɔ ʂ ɛ
cioszecie	t͡ɕ ɔ ʂ ɛ t͡ɕ ɛ
cioszemy	t͡ɕ ɔ ʂ ɛ m ɘ
cioszesz	t͡ɕ ɔ ʂ ɛ ʂ
cioszmy	t͡ɕ ɔ ʂ m ɘ
