'day	d a i
canina	k a n i n a
cantiveros	k a n t i b e ɾ o s
cantos	k a n t o s
caparas	k a p a ɾ a s
capinpin	k a p i n p i n
capitan	k a p i t a n
capiz	k a p i s
cardiño	k a ɾ d i ɲ o
cariaso	k a ɾ j a s o
carillo	k a ɾ i l j o
cariñosa	k a ɾ i n j o s a
carlos	k ɐ ɾ l ɔ s
carrillo	k a ɾ ɾ i l l o
casal	k a s a l
casanova	k a s a n o b a
casao	k a s a u
caseda	k a s e d a
castañeda	k a s t a ɲ e d a
castrence	k a s t ɾ e n s e
catanduanes	k a t a n d u a n e s
catapang	k a t a p a ŋ
catibog	k a t i b o ɡ
catimbang	k a t i m b a ŋ
catipon	k a t i p o n
cato	k a t o
catral	k a t ɾ a l
cauilan	k a w i l a n
cavan	k a b a n
cavite	k a b i t e
caw	k a w
cayetano	k a j e t a n o
cañete	k a ɲ e t e
cebu	s e b u
cebuano	s e b w a n o
cedeño	s e d e ɲ o
cenizal	s e n i s a l
cereno	s e ɾ e n o
cerillo	s e ɾ i l j o
chan	t͡ʃ a n
chang	t͡ʃ a ŋ
charot	t͡ʃ a ɾ o t
chavez	t͡ʃ a b e s
cheng	c h ɛ ŋ
chi	t ʃ i
ching	t͡ʃ i ŋ
chiong	t͡ʃ i o ŋ
chiyoko	t͡ʃ i o k o
choi	t͡ʃ o i
chong	t͡ʃ o ŋ
chu	t ʃ ʊ
chua	t ʃ w a
chua	t ʃ u w a
chung	t ʃ ʊ ŋ
cinco	s i n k o
closa	k l o s a
co	k ɔ
collado	k o l j a d o
cometa	k o m e t a
comia	k o m i a
condez	k o n d e s
consolacion	k o n s o l a s j o n
coo	k u
coquia	k o k i a
corazon	k o ɾ a s o n
corcuera	k o ɾ k w e ɾ a
cornejo	k o ɾ n e h o
coronel	k o ɾ o n e l
corpus	k o ɾ p u s
corrales	k o ɾ ɾ a l e s
correa	k o ɾ e a
corro	k o ɾ ɾ o
cosico	k o s i k o
cotabato	k o t a b a t o
coting	k o t i ŋ
cpp	s i p i p i
crisostomo	k ɾ i s o s t o m o
cruzat	k ɾ u s a t
cua	k w a
cua	k u w a
cuasay	k w a s a i
cubacub	k u b a k u b
cueto	k w e t o
cuizon	k u i s o n
custodio	k u s t o d j o
daan	d a ʔ a n
daan	d a ʔ a n
daantaon	d a ʔ a n t a ʔ o n
dabarkads	d a b a ɾ k a d s
dabaw	d a b a u
dabdab	d a b d a b
dabog	d a b o ɡ
dacanay	d a k a n a i
dadaanin	d a d a ʔ a n i n
dadaanin	d a d a ʔ a n i n
dado	d a d o
daga	d a ɡ a ʔ
daga	d a ɡ a
daga	d a ɡ a
dagabdab	d a ɡ a b d a b
dagadagaan	d a ɡ a d a ɡ a ʔ a n
dagalwak	d a ɡ a l w a k
dagan	d a ɡ a n
dagas	d a ɡ a s
dagasdas	d a ɡ a s d a s
dagat	d a ɡ a t
dagatan	d a ɡ a t a n
dagdag	d a ɡ d a ɡ
dagibulog	d a ɡ i b u l o ɡ
dagihaynayan	d a ɡ i h a i n a j a n
dagikapnayan	d a ɡ i k a p n a j a n
dagil	d a ɡ i l
dagilusaw	d a ɡ i l u s a u
dagim	d a ɡ i m
dagindas	d a ɡ i n d a s
daginding	d a ɡ i n d i ŋ
dagipik	d a ɡ i p i k
dagisdis	d a ɡ i s d i s
dagisik	d a ɡ i s i k
dagisik	d a ɡ i s i k
dagisikan	d a ɡ i s i k a n
dagison	d a ɡ i s o n
dagit	d a ɡ i t
dagitab	d a ɡ i t a b
dagitban	d a ɡ i t b a n
dagitigilan	d a ɡ i t i ɡ i l a n
dagitsigan	d a ɡ i t͡ʃ i ɡ a n
daglat	d a ɡ l a t
dagli	d a ɡ l i ʔ
dagok	d a ɡ o k
dagos	d a ɡ o s
dagsa	d a ɡ s a ʔ
dagsin	d a ɡ s i n
dagta	d a ɡ t a ʔ
dagubang	d a ɡ u b a ŋ
dagubdob	d a ɡ u b d o b
daguldol	d a ɡ u l d o l
dagundong	d a ɡ u n d o ŋ
dagupan	d a ɡ u p a n
dagusdos	d a ɡ u s d o s
dahak	d a h a k
dahan	d a h a n
dahas	d a h a s
dahil	d a h i l
dahilan	d a h i l a n
dahilig	d a h i l i ɡ
dahilig	d a l i h i ɡ
dahon	d a h o n
dahop	d a h o p
dahop	d a h o p
daig	d a ʔ i ɡ
daig	d a ʔ i ɡ
daigdig	d a ʔ i ɡ d i ɡ
daing	d a ʔ i ŋ
daing	d a ʔ i ŋ
dais	d a ʔ i s
daisuke	d a i s u k e
daka	d a k a
dakdak	d a k d a k
dakila	d a k i l a ʔ
dakip	d a k i p
dakma	d a k m a ʔ
dako	d a k o
dakol	d a k o l
dakot	d a k o t
dakota	d a k o t a
daks	d a k s
daktao	d a k t a ʔ o
daktinig	d a k t i n i ɡ
dakutin	d a k u t i n
dala	d a l a
dala	d a l a
dala	d a l a ʔ
dalag	d a l a ɡ
dalaga	d a l a ɡ a
dalaginday	d a l a ɡ i n d a i
dalaginding	d a l a ɡ i n d i ŋ
dalagita	d a l a ɡ i t a
dalahik	d a l a h i k
dalahikan	d a l a h i k a n
dalamhati	d a l a m h a t i ʔ
dalampasigan	d a l a m p a s i ɡ a n
dalandan	d a l a n d a n
dalang	d a l a ŋ
dalangat	d a l a ŋ a t
dalangat	d a l a ŋ a t
dalanghita	d a l a ŋ h i t a
dalangin	d a l a ŋ i n
dalao	d a l a u
dalas	d a l a s
dalatan	d a l a t a n
dalaw	d a l a u
dalawa	d a l a w a
dalawampu	d a l a w a m p u ʔ
dalawandaan	d a l a w a n d a ʔ a n
dalawin	d a l a w i n
dalawit	d a l a w i t
daldal	d a l d a l
daldalera	d a l d a l e ɾ a
daldalero	d a l d a l e ɾ o
dale	d a l e
dalhin	d a l h i n
dali	d a l i ʔ
dali	d a l i ʔ
dali	d a l i
dalikdik	d a l i k d i k
daliri	d a l i ɾ i ʔ
dalisay	d a l i s a i
dalit	d a l i t
dalit	d a l i t
dalita	d a l i t a ʔ
dalmasya	d a l m a s j a
dalmatika	d a l m a t i k a
dalo	d a l o
dalok	d a l o k
daloy	d a l o i
dalubbanwa	d a l u b b a n w a
dalubbanwahan	d a l u b b a n w a h a n
dalubguro	d a l u b ɡ u ɾ o ʔ
dalubhalman	d a l u b h a l m a n
dalubhalmanan	d a l u b h a l m a n a n
dalubhasa	d a l u b h a s a ʔ
dalubhasaan	d a l u b h a s a ʔ a n
dalubhayop	d a l u b h a j o p
dalubhayupan	d a l u b h a j u p a n
dalubituinan	d a l u b i t u ʔ i n a n
dalubkabibihan	d a l u b k a b i b i h a n
dalubkatawan	d a l u b k a t a w a n
dalubkulisap	d a l u b k u l i s a p
dalubkulisapan	d a l u b k u l i s a p a n
dalublahi	d a l u b l a h i ʔ
dalublahian	d a l u b l a h i ʔ a n
dalublasunan	d a l u b l a s u n a n
dalublumutan	d a l u b l u m u t a n
dalubsugaan	d a l u b s u ɡ a a n
dalubtala	d a l u b t a l a ʔ
dalubtalaan	d a l u b t a l a ʔ a n
dalubtalain	d a l u b t a l a i n
dalubtao	d a l u b t a ʔ o
dalubtauhan	d a l u b t a ʔ u h a n
dalubwika	d a l u b w i k a ʔ
dalubwikaan	d a l u b w i k a ʔ a n
daluhong	d a l u h o ŋ
dalumat	d a l u m a t
daluro	d a l u ɾ o ʔ
daluro	d a l u ɾ o ʔ
dalurok	d a l u ɾ o k
dalusong	d a l u s o ŋ
daluyong	d a l u j o ŋ
dalwa	d a l w a
dalya	d a l j a
dama	d a m a
dama	d a m a
dama	d a m a
damag	d a m a ɡ
damag	d a m a ɡ
damahan	d a m a h a n
damahan	d a m a h a n
damak	d a m a k
damay	d a m a i
dambana	d a m b a n a ʔ
dambong	d a m b o ŋ
dambuhala	d a m b u h a l a ʔ
damdam	d a m d a m
damdamin	d a m d a m i n
damikay	d a m i k a i
damit	d a m i t
damo	d a m o
damot	d a m o t
dampa	d a m p a ʔ
dampalit	d a m p a l i t
dampi	d a m p i ʔ
dampot	d a m p o t
damsiha	d a m s i h a ʔ
damuhan	d a m u h a n
damuho	d a m u h o ʔ
damulag	d a m u l a ɡ
danas	d a n a s
danaw	d a n a u
danay	d a n a i
danes	d a n e s
danesa	d a n e s a
dangal	d a ŋ a l
danggit	d a ŋ ɡ i t
dangkal	d a ŋ k a l
dani	d a n i ʔ
daniw	d a n i u
daniw	d a n i u
dansay	d a n s a i
dantaon	d a n t a ʔ o n
dantay	d a n t a i
danum	d a n u m
danumbiling	d a n u m b i l i ŋ
danumbulog	d a n u m b u l o ɡ
danumhaynayan	d a n u m h a i n a j a n
danumkapnayan	d a n u m k a p n a j a n
danumnayan	d a n u m n a i ɐ n
danumsigwasan	d a n u m s i ɡ w a s a n
danumtigilan	d a n u m t i ɡ i l a n
danyos	d a n j o s
dao	d a ʔ o
daong	d a ʔ o ŋ
daos	d a ʔ o s
dapa	d a p a ʔ
dapal	d a p a l
dapat	d a p a t
dapdap	d a p d a p
dapit	d a p i t
dapitan	d a p i t a n
dapithapon	d a p i t h a p o n
daplis	d a p l i s
dapo	d a p o ʔ
dapog	d a p o ɡ
dapog	d a p o ɡ
dapulak	d a p u l a k
dara	d a ɾ a
darak	d a ɾ a k
daras	d a ɾ a s
darasigsukat	d a ɾ a s i ɡ s u k a t
dasal	d a s a l
dasmariñas	d a s m a ɾ i ɲ a s
daspan	d a s p a n
daspanin	d a s p a n i n
daster	d a s t e ɾ
datal	d a t a l
datapuwa	d a t a p u w a ʔ
datapwa	d a t a p w a ʔ
datapwat	d a t a p w a t
dati	d a t i
datiles	d a t i l e s
dating	d a t i ŋ
datinguinoo	d a t i ŋ ɡ i n o ʔ o
datos	d a t o s
datu	d a t u
datu	d a t u
daulat	d a ʔ u l a t
daungan	d a ʔ u ŋ a n
dausdos	d a ʔ u s d o s
davao	d a b a u
daw	d a u
dawdaw	d a u d a u
dawi	d a w i
dawis	d a w i s
dawit	d a w i t
day	d a i
daya	d a j a ʔ
dayag	d a j a ɡ
dayalekto	d a j a l e k t o
dayalogo	d a j a l o ɡ o
dayami	d a j a m i
dayan	d a j a n
dayang	d a j a ŋ
dayang	d a j a ŋ
dayang	d a j a ŋ
dayanghirang	d a j a ŋ h i ɾ a ŋ
dayap	d a j a p
dayo	d a j o
dayrit	d a i ɾ i t
dayuhan	d a j u h a n
dayuhan	d a j u h a n
dayukyok	d a j u k d o k
dayungon	d a j u ŋ o n
dazo	d a s o
deang	d j a ŋ
debate	d e b a t e
debatista	d e b a t i s t a
debosyon	d e b o s j o n
deboto	d e b o t o
decena	d e s e n a
dede	d e d e
dede	d e d e ʔ
dedikado	d e d i k a d o
dedikasyon	d e d i k a s j o n
dedma	d e d m a
deds	d e d s
dee	d i
dehado	d e h a d o
dehins	d e h i n s
dehins	d e i n s
dekada	d e k a d a
dekametro	d e k a m e t ɾ o
dekametro	d e k a m e t ɾ o
dekana	d e k a n a
dekano	d e k a n o
deklara	d e k l a ɾ a
deklarasyon	d e k l a ɾ a s j o n
dekorasyon	d e k o ɾ a s j o n
dekreto	d e k ɾ e t o
dekwat	d e k w a t
dekwatin	d e k w a t i n
delata	d e l a t a
delegado	d e l e ɡ a d o
delegasyon	d e l e ɡ a s j o n
deliberasyon	d e l i b e ɾ a s j o n
delikadesa	d e l i k a d e s a
delikado	d e l i k a d o
deliryo	d e l i ɾ j o
delubyo	d e l u b j o
demanda	d e m a n d a
demandado	d e m a n d a d o
demano	d e m a n o
demokrasya	d e m o k ɾ a s j a
demolisyon	d e m o l i s j o n
demonio	d e m o n j o
demonstrasyon	d e m o n s t ɾ a s j o n
demonyo	d e m o n j o
demostrasyon	d e m o s t ɾ a s j o n
dengge	d e ŋ ɡ e
denggoy	d e ŋ ɡ o i
denggoyin	d e ŋ ɡ o j i n
dentista	d e n t i s t a
dentisteriya	d e n t i s t e ɾ i a
departamento	d e p a ɾ t a m e n t o
depektibo	d e p e k t i b o
depende	d e p e n d e
depensa	d e p e n s a
depensahan	d e p e n s a h a n
depensibo	d e p e n s i b o
deportasyon	d e p o ɾ t a s j o n
deposito	d e p o s i t o
depresasyon	d e p ɾ e s a s j o n
depresyon	d e p ɾ e s j o n
deregulasyon	d e ɾ e ɡ u l a s j o n
deretso	d e ɾ e t͡ʃ o
desbentaha	d e s b e n t a h a
desente	d e s e n t e
desesperada	d e s e s p e ɾ a d a
desesperado	d e s e s p e ɾ a d o
desesperasyon	d e s e s p e ɾ a s j o n
desgrasya	d e s ɡ ɾ a s j a
desidido	d e s i d i d o
desilitro	d e s i l i t ɾ o
desimetro	d e s i m e t ɾ o
desimetro	d e s i m e t ɾ o
desimpeksiyon	d e s i m p e k s i o n
desisyon	d e s i s j o n
deskarte	d e s k a ɾ t e
deskripsiyon	d e s k ɾ i p s i o n
deskubri	d e s k u b ɾ i
deskuwento	d e s k u e n t o
desmaya	d e s m a j a
desmayado	d e s m a j a d o
despedida	d e s p e d i d a
desperada	d e s p e ɾ a d a
desperado	d e s p e ɾ a d o
desperasyon	d e s p e ɾ a s j o n
despertador	d e s p e ɾ t a d o ɾ
despuig	d e s p u t͡ʃ
destabilisasyon	d e s t a b i l i s a s j o n
destinasyon	d e s t i n a s j o n
destino	d e s t i n o
destiyero	d e s t i e ɾ o
destruksiyon	d e s t ɾ u k s i o n
desyerto	d e s j e ɾ t o
detalyado	d e t a l j a d o
detalye	d e t a l j e
deteni	d e t e n i
detenido	d e t e n i d o
determinasyon	d e t e ɾ m i n a s j o n
detonasyon	d e t o n a s j o n
di	d i ʔ
di	d e ʔ
diamante	d i a m a n t e
dian	d i ʔ a n
diba	d i b a
dibdib	d i b d i b
dibisyon	d i b i s j o n
diblinig	d i b l i n i ɡ
diborsiyo	d i b o ɾ s i o
dighal	d i ɡ h a l
dighay	d i ɡ h a i
diglap	d i ɡ l a p
digma	d i ɡ m a ʔ
digmaan	d i ɡ m a ʔ a n
dignidad	d i ɡ n i d a d
digos	d i ɡ o s
digtalain	d i ɡ t a l a ʔ i n
diigkasin	d i ʔ i ɡ k a s i n
diin	d i i n
diit	d i ʔ i t
diitan	d i ʔ i t a n
diitan	d i ʔ i t a n
dijamco	d i d͡ʒ a m k o
dikdik	d i k d i k
dike	d i k e
dikiam	d i k j a m
dikit	d i k i t
diklap	d i k l a p
diko	d i k o
diksiyonaryo	d i k s j o n a ɾ j o
dikta	d i k t a
diktador	d i k t a d o ɾ
diktadora	d i k t a d o ɾ a
diktadura	d i k t a d u ɾ a
diktadurya	d i k t a d u ɾ j a
dikya	d i k j a ʔ
dikya	d i k j a
dikyam	d i k j a m
dila	d i l a ʔ
dilaan	d i l a ʔ a n
dilaan	d i l a ʔ a n
dilag	d i l a ɡ
dilambuwaya	d i l a m b u a j a
dilambuwaya	d i l a m b u a j a
dilat	d i l a t
dilat	d i l a t
dilaw	d i l a u
dilawan	d i l a w a n
dilawan	d i l a w a n
dilawdinsol	d i l a u d i n s o l
dili	d i l i
dili	d i l i ʔ
dilig	d i l i ɡ
dilihensiya	d i l i h e n s i a
dilikas	d i l i k a s
dilim	d i l i m
dilis	d i l i s
dilis	d i l i s
dilubyo	d i l u b j o
dimaala	d i m a a l a
dimaandal	d i m a a n d a l
dimaapi	d i m a a p i
dimacali	d i m a k a l i
dimagiba	d i m a ɡ i b a
dimailig	d i m a i l i ɡ
dimalaluan	d i m a l a l u a n
dimalanta	d i m a l a n t a
dimapilis	d i m a p i l i s
dimaranan	d i m a ɾ a n a n
dimarim	d i m a ɾ i m
dimatatac	d i m a t a t a k
dimig	d i m i ɡ
dimig	d i m i ɡ
din	d i n
din	d e n
dinagat	d i n a ɡ a t
dinagipik	d i n a ɡ i p i k
dinamarka	d i n a m a ɾ k a
dinamita	d i n a m i t a
dinastiya	d i n a s t i a
dinding	d i n d i ŋ
dine	d i n e
dingal	d i ŋ a l
dingding	d i ŋ d i ŋ
dinggin	d i ŋ ɡ i n
dingig	d i ŋ i ɡ
dini	d i n i
dinig	d i n i ɡ
dinosawro	d i n o s a u ɾ o
dinsol	d i n s o l
dinsulan	d i n s u l a n
dinuguan	d i n u ɡ u ʔ a n
diokno	d i o k n o
dios	d i o s
dipa	d i p a
dipasupil	d i p a s u p i l
dipende	d i p e n d e
diperensiya	d i p e ɾ e n s i a
diplomasya	d i p l o m a s j a
diplomata	d i p l o m a t a
diplomatiko	d i p l o m a t i k o
dipolog	d i p o l o ɡ
dipterya	d i p t e ɾ j a
direksiyon	d i ɾ e k s i o n
direkta	d i ɾ e k t a
direktiba	d i ɾ e k t i b a
direktor	d i ɾ e k t o ɾ
direktora	d i ɾ e k t o ɾ a
direktoryo	d i ɾ e k t o ɾ j o
diretso	d i ɾ e t͡ʃ o
diri	d i ɾ i
dirihible	d i ɾ i h i b l e
diris	d i ɾ i s
disaluyan	d i s a l u j a n
disente	d i s e n t e
disenteriya	d i s e n t e ɾ i a
disenyo	d i s e n j o
disgrasya	d i s ɡ ɾ a s j a
disinuwebe	d i s i n u e b e
disiotso	d i s i ʔ o t͡ʃ o
disiplina	d i s i p l i n a
disiplinado	d i s i p l i n a d o
disiplinahin	d i s i p l i n a h i n
disipulo	d i s i p u l o
disisais	d i s i s a ʔ i s
disiseis	d i s i s e ʔ i s
disiseis	d i s i s a ʔ i s
disisiyete	d i s i s i e t e
diskarte	d i s k a ɾ t e
diskita	d i s k i t a
disko	d i s k o
diskompiyado	d i s k o m p i a d o
diskriminasyon	d i s k ɾ i m i n a s j o n
diskumpiyado	d i s k u m p i a d o
diskusyon	d i s k u s j o n
diskuwalipika	d i s k u a l i p i k a
diskuwalipikado	d i s k u a l i p i k a d o
diskuwalipikasyon	d i s k u a l i p i k a s j o n
dismayado	d i s m a j a d o
diso	d i s o
dispatser	d i s p a t͡ʃ e ɾ
dispensa	d i s p e n s a
distansiya	d i s t a n i s i a
distinggido	d i s t i ŋ ɡ i d o
distribusyon	d i s t ɾ i b u s j o n
distrito	d i s t ɾ i t o
disyembre	d i s j e m b ɾ e
dita	d i t a ʔ
dita	d i t a ʔ
ditdit	d i t d i t
dito	d i t o
ditse	d i t͡ʃ e
diwa	d i w a ʔ
diwa	d i w a
diwang	d i w a ŋ
diwata	d i w a t a ʔ
diyabetes	d i a b e t e s
diyabetes	d j a b e t i s
diyabetiko	d i a b e t i k o
diyablo	d i a b l o
diyakono	d i a k o n o
diyalekto	d i a l e k t o
diyalogo	d i a l o ɡ o
diyamante	d i a m a n t e
diyametro	d i a m e t ɾ o
diyametro	d i a m e t ɾ o
diyan	d i a n
diyan	d j a ʔ a n
diyan	d i ʔ a n
diyaryo	d i a ɾ j o
diyes	d i e s
diyes	d j i s
diyeta	d i e t a
diyos	d i o s
diyos	d i o s
diyosa	d i o s a
diyosesis	d i o s e s i s
diño	d i ɲ o
doble	d o b l e
doctolero	d o k t o l e ɾ o
doktor	d o k t o ɾ
doktor	d o k t o ɾ
doktora	d o k t o ɾ a
doktora	d o k t o ɾ a
doktorado	d o k t o ɾ a d o
doktrina	d o k t ɾ i n a
dokumentado	d o k u m e n t a d o
dokumentaryo	d o k u m e n t a ɾ j o
dokumentasyon	d o k u m e n t a s j o n
dokumento	d o k u m e n t o
dolar	d o l a ɾ
dole	d o l e
dolores	d o l o ɾ e s
dolyar	d o l j a ɾ
domantay	d o m a n t a i
dominado	d o m i n a d o
dominante	d o m i n a n t e
dominggo	d o m i ŋ ɡ o
domingo	d o m i ŋ ɡ o
dominguez	d o m i ŋ ɡ e s
dominikano	d o m i n i k a n o
domino	d o m i n o
don	d o n
donasyon	d o n a s j o n
donat	d o n a t
doon	d o ʔ o n
doon	d o n
dormitoryo	d o ɾ m i t o ɾ j o
dos	d o s
dose	d o s e
dosena	d o s e n a
dosis	d o s i s
dosyentos	d o s j e n t o s
dr.	d o k t o ɾ
dra.	d o k t o ɾ a
dragon	d ɾ a ɡ o n
drakula	d ɾ a k u l a
drama	d ɾ a m a
dramatiko	d ɾ a m a t i k o
droga	d ɾ o ɡ a
drowing	d ɾ o w i ŋ
duag	d u a ɡ
dubdob	d u b d o b
duda	d u d a
dueñas	d u e ɲ a s
dugas	d u ɡ a s
dugo	d u ɡ o ʔ
dugong	d u ɡ o ŋ
dugso	d u ɡ s o ʔ
dugtong	d u ɡ t o ŋ
duguan	d u ɡ u ʔ a n
dugyot	d u ɡ j o t
duhagi	d u h a ɡ i
duhagi	d u h a ɡ i
duhakay	d u h a k a i
duhambindahon	d u h a m b i n d a h o n
duhandas	d u h a n d a s
duhansipat	d u h a n s i p a t
duhasik	d u h a s i k
duhat	d u h a t
duhol	d u h o l
dukado	d u k a d o
dukal	d u k a l
duke	d u k e
dukesa	d u k e s a
dukha	d u k h a ʔ
dukot	d u k o t
dukwang	d u k w a ŋ
dukwangin	d u k w a ŋ i n
dula	d u l a ʔ
dula	d u l a ʔ
dulaan	d u l a a n
dulang	d u l a ŋ
dulang	d u l a ŋ
dulas	d u l a s
dulay	d u l a i
duldol	d u l d o l
duling	d u l i ŋ
dulis	d u l i s
dulit	d u l i t
dulo	d u l o
dulog	d u l o ɡ
dulos	d u l o s
dulot	d u l o t
dulugan	d u l u ɡ a n
dulugan	d u l u ɡ a n
duluhan	d u l u h a n
dumaan	d u m a ʔ a n
dumagit	d u m a ɡ i t
dumagsin	d u m a ɡ s i n
dumaguete	d u m a ɡ e t e
dumaguing	d u m a ɡ i ŋ
dumal	d u m a l
dumalaw	d u m a l a u
dumali	d u m a l i ʔ
dumapa	d u m a p a ʔ
dumating	d u m a t i ŋ
dumausdos	d u m a ʔ u s d o s
dumi	d u m i
dumighay	d u m i ɡ h a i
dumihan	d u m i h a n
dumihan	d u m i h a n
dumilim	d u m i l i m
dumlao	d u m l a o
dumog	d u m o ɡ
dumog	d u m o ɡ
dumpit	d u m p i t
dumugo	d u m u ɡ o ʔ
dumukot	d u m u k o t
dumulas	d u m u l a s
dumumi	d u m u m i
dumungaw	d u m u ŋ a u
dumura	d u m u ɾ a ʔ
dungaw	d u ŋ a u
dunggol	d u ŋ ɡ o l
dunggot	d u ŋ ɡ o t
dungis	d u ŋ i s
dungon	d u ŋ o n
dungon	d u ŋ o n
dunong	d u n o ŋ
dupa	d u p a ʔ
dupikal	d u p i k a l
dupil	d u p i l
dupong	d u p o ŋ
dura	d u ɾ a ʔ
durante	d u ɾ a n t e
durian	d u ɾ j a n
duro	d u ɾ o ʔ
durog	d u ɾ o ɡ
durugista	d u ɾ u ɡ i s t a
durungawan	d u ɾ u ŋ a w a n
duryan	d u ɾ j a n
dusa	d u s a
dusdos	d u s d o s
dusing	d u s i ŋ
dusta	d u s t a ʔ
dutaan	d u t a ʔ a n
dutaliknayan	d u t a l i k n a j a n
dutdot	d u t d o t
dutdutin	d u t d u t i n
duwag	d u a ɡ
duwende	d u e n d e
duyan	d u j a n
duyong	d u j o ŋ
dy	d i
dyahe	d j a h e
dyaket	d j a k e t
dyanitor	d j a n i t o ɾ
dyaryo	d j a ɾ j o
dyas	d j a s
dyip	d j i p
dyipni	d j i p n i
dyologin	d j o l o ɡ i n
dyologs	d j o l o ɡ s
dyudo	d j u d o
dyumologs	d j u m o l o ɡ s
eba	ʔ e b a
ebak	ʔ e b a k
ebakwasyon	ʔ e b a k w a s j o n
ebanghelista	ʔ e b a ŋ h e l i s t a
ebanghelyo	ʔ e b a ŋ h e l j o
ebaporada	ʔ e b a p o ɾ a d a
ebidensiya	ʔ e b i d e n s i a
ebidensya	ʔ e b i d e n s j a
ebolusyon	ʔ e b o l u s j o n
echano	ʔ e t͡ʃ a n o
echevarria	ʔ e t͡ʃ e b a ɾ j a
edad	ʔ e d a d
eden	ʔ e d e n
edipisyo	ʔ e d i p i s j o
edisyon	ʔ e d i s j o n
editoryal	ʔ e d i t o ɾ j a l
edukada	ʔ e d u k a d a
edukado	ʔ e d u k a d o
edukasyon	ʔ e d u k a s j o n
ehe	ʔ e h e
ehekutibo	ʔ e h e k u t i b o
ehemplo	ʔ e h e m p l o
ehersisyo	ʔ e h e ɾ s i s j o
ehersito	ʔ e h e ɾ s i t o
ehipto	ʔ e h i p t o
ekipahe	ʔ e k i p a h e
ekis	ʔ e k i s
ekisan	ʔ e k i s a n
eklipse	ʔ e k l i p s e
ekonomista	ʔ e k o n o m i s t a
ekonomiya	ʔ e k o n o m i a
eksaherado	ʔ e k s a h e ɾ a d o
eksaherasyon	ʔ e k s a h e ɾ a s j o n
eksakto	ʔ e k s a k t o
eksaminador	ʔ e k s a m i n a d o ɾ
eksena	ʔ e k s e n a
eksklusibo	ʔ e k s k l u s i b o
eksklusyon	ʔ e k s k l u s j o n
eksperimento	ʔ e k s p e ɾ i m e n t o
eksperto	ʔ e k s p e ɾ t o
eksplanasyon	ʔ e k s p l a n a s j o n
ekspresyon	ʔ e k s p ɾ e s j o n
ektarya	ʔ e k t a ɾ j a
ekwador	ʔ e k w a d o ɾ
elaborasyon	ʔ e l a b o ɾ a s j o n
elamparo	ʔ e l a m p a ɾ o
elastiko	ʔ e l a s t i k o
elegansiya	ʔ e l e ɡ a n s i a
elegante	ʔ e l e ɡ a n t e
elehiya	ʔ e l e h i a
eleksiyon	ʔ e l e k s i o n
elektrisidad	ʔ e l e k t ɾ i s i d a d
elektrisista	ʔ e l e k t ɾ i s i s t a
elemento	ʔ e l e m e n t o
elepante	ʔ e l e p a n t e
eliseo	ʔ e l i s e j o
elizaga	ʔ e l i s a ɡ a
elyo	ʔ e l j o
embahada	ʔ e m b a h a d a
embahador	ʔ e m b a h a d o ɾ
embalsama	ʔ e m b a l s a m a
embalsamador	ʔ e m b a l s a m a d o ɾ
embudo	ʔ e m b u d o
emiko	ʔ e m i k o
emir	ʔ e m i ɾ
emosyon	ʔ e m o s j o n
emosyonal	ʔ e m o s j o n a l
empake	ʔ e m p a k e
empatso	ʔ e m p a t͡ʃ o
emperador	ʔ e m p e ɾ a d o ɾ
emperador	ʔ e m p e ɾ a d o ɾ
emperadora	ʔ e m p e ɾ a d o ɾ a
emperatris	ʔ e m p e ɾ a t ɾ i s
empleyado	ʔ e m p l e j a d o
empleyo	ʔ e m p l e j o
encarnado	ʔ e n k a ɾ n a d o
encinas	ʔ e n s i n a s
endaya	ʔ e n d a j a
endozo	ʔ e n d o s o
enerhiya	ʔ e n e ɾ h i a
enero	ʔ e n e ɾ o
engganyo	ʔ e ŋ ɡ a n j o
engkanto	ʔ e ŋ k a n t o
engkuwentro	ʔ e ŋ k u e n t ɾ o
engot	ʔ e ŋ o t
engrande	ʔ e ŋ ɡ ɾ a n d e
ensaymada	ʔ e n s a i m a d a
ensayo	ʔ e n s a j o
ensemada	ʔ e n s e m a d a
ensiklopedya	ʔ e n s i k l o p e d j a
entendido	ʔ e n t e n d i d o
entero	ʔ e n t e ɾ o
entrada	ʔ e n t ɾ a d a
entusyasmo	ʔ e n t u s j a s m o
epal	ʔ e p a l
epektibo	ʔ e p e k t i b o
epekto	ʔ e p e k t o
epidemia	ʔ e p i d e m j a
epidemya	ʔ e p i d e m j a
epiko	ʔ e p i k o
epilepsiya	ʔ e p i l e p s i a
epistemolohiya	ʔ e p i s t e m o l o h i a
episyente	ʔ e p i s j e n t e
ere	ʔ e ɾ e
eredera	ʔ e ɾ e d e ɾ a
eredero	ʔ e ɾ e d e ɾ o
erehe	ʔ e ɾ e h e
erehiya	ʔ e ɾ e h i a
ergo	ʔ e ɾ ɡ o
ermita	ʔ e ɾ m i t a
ermitanyo	ʔ e ɾ m i t a n j o
eroplano	ʔ e ɾ o p l a n o
escalona	ʔ e s k a l o n a
escaño	ʔ e s k a ɲ o
esena	ʔ e s e n a
esguerra	ʔ e s ɡ e ɾ ɾ a
eskabetse	ʔ e s k a b e t͡ʃ e
eskalador	ʔ e s k a l a d o ɾ
eskandalo	ʔ e s k a n d a l o
eskandalosa	ʔ e s k a n d a l o s a
