Adar	ɑː d ɑː ɾ
dadgeh	d ɑː d ɡ ɛ h
dadmend	d ɑː d m ɛ n d
damezrandin	d ɑː m ɛ z ɾ ɑː n d ɪ n
danegeh	d ɑː n ɛ ɡ ɛ h
danîn	d ɑː n iː n
daqurtandin	d ɑː q ʊ ɾ t ɑː n d ɪ n
daristan	d ɑː ɾ ɪ s t ɑː n
dasî	d ɑː s iː
daxuyanî	d ɑː x ʊ j ɑː n iː
daxwaz	d ɑː x w ɑː z
dayik	d ɑː j ɪ k
daçek	d ɑː t͡ʃ ɛ k
daûrandin	d ɑː uː ɾ ɑː n d ɪ n
defter	d ɛ f t ɛ ɾ
delalî	d ɛ l ɑː l iː
delîl	d ɛ l iː l
demokratîk	d ɛ m oː k ɾ ɑː t iː k
demsal	d ɛ m s ɑː l
dendikî	d ɛ n d ɪ k iː
dendrokronolojî	d ɛ n d ɾ oː k ɾ oː n oː l oː ʒ iː
dereng	d ɛ ɾ ɛ ŋ ɡ
derew	d ɛ ɾ ɛ w
derfet	d ɛ ɾ f ɛ t
dergeh	d ɛ ɾ ɡ ɛ h
dergûş	d ɛ ɾ ɡ uː ʃ
derhêner	d ɛ ɾ h eː n ɛ ɾ
derzî	d ɛ ɾ z iː
dest	d ɛ s t
destan	d ɛ s t ɑː n
desthilat	d ɛ s t h ɪ l ɑː t
destnivîs	d ɛ s t n ɪ v iː s
destpêk	d ɛ s tˤ pˤ eː kˤ
destûr	d ɛ s tˤ uː ɾ
dev	d ɛ v
dever	d ɛ v ɛ ɾ
devkî	d ɛ v k iː
dewisandin	d ɛ w ɪ s ɑː n d ɪ n
dewlemend	d ɛ w l ɛ m ɛ n d
dewlet	d ɛ w l ɛ t
dews	d ɛ w s
dexalet	d ɛ x ɑː l ɛ t
dexl	d ɛ x l
deyndêr	d ɛ j n d eː ɾ
dezî	d ɛ z iː
dibistan	d ɪ b ɪ s t ɑː n
digel	d ɪ ɡ ɛ l
dihî	d ɪ h iː
dijdemokratîk	d ɪ ʒ d ɛ m oː k ɾ ɑː t iː k
dijmin	d ɪ ʒ m ɪ n
dijmirovî	d ɪ ʒ m ɪ ɾ oː v iː
dijwate	d ɪ ʒ w ɑː t ɛ
dijî	d ɪ ʒ iː
dikak	d ɪ k ɑː k
dil	d ɪ l
dilop	d ɪ l oː p
dilsozî	d ɪ l s oː z iː
diltengî	d ɪ l t ɛ n ɡ iː
dilşewat	d ɪ l ʃ ɛ w ɑː t
din	d ɪ n
dinyalik	d ɪ n j ɑː l ɪ k
diranî	d ɪ ɾ ɑː n iː
dirust	d ɪ ɾ ʊ s t
dirêj	d ɪ ɾ eː ʒ
dirêş	d ɪ ɾ eː ʃ
dirî	d ɪ ɾ iː
dizîkî	d ɪ z iː k iː
dizîn	d ɪ z iː n
dolab	d oː l ɑː b
domandin	d oː m ɑː n d ɪ n
domiz	d oː m ɪ z
dost	d oː s t
dotin	d oː t ɪ n
dozgêr	d oː z ɡ eː ɾ
doşîn	d oː ʃ iː n
dubare	d ʊ b ɑː ɾ ɛ
duşem	d ʊ ʃ ɛ m
dê	d eː
dêdik	d eː d ɪ k
dêl	d eː l
dêw	d eː w
dîn	d iː n
dîrok	d iː ɾ oː k
dîroknas	d iː ɾ oː k n ɑː s
dîrokî	d iː ɾ oː k iː
dîsa	d iː s ɑː
dîtin	d iː t ɪ n
dîwar	d iː w ɑː ɾ
dîyar	d iː j ɑː ɾ
dîz	d iː z
dûr	d uː ɾ
dûrbîn	d uː ɾ b iː n
ebedî	ɛ b ɛ d iː
ebreşûm	ɛ b ɾ ɛ ʃ uː m
ebûrî	ɛ b uː ɾ iː
ebûrî	ʕ ɛ b uː ɾ iː
ecer	ɛ d͡ʒ ɛ ɾ
ecer	ʕ ɛ d͡ʒ ɛ ɾ
ecere	ɛ d͡ʒ ɛ ɾ ɛ
ecibandin	ɛ d͡ʒ ɪ b ɑː n d ɪ n
eciz	ˤɛ d͡ʒ ɪ z
ecûr	ɛ d͡ʒ uː ɾ
ecûr	ʕ ɛ d͡ʒ uː ɾ
edalet	ɛ d ɑː l ɛ t
ede	ɛ d ɛ
edilandin	ɛ d ɪ l ɑː n d ɪ n
edr	ɛ d ɾ
edr	ʕ ɛ d ɾ
edr	ˤɛ d ɾ
edro	ˤɛ d ɾ oː
edu	ˤɛ d ʊ
edû	ɛ d uː
edû	ʕ ɛ d uː
efendî	ɛ f ɛ n d iː
efo	ˤɛ f oː
efrandin	ɛ f ɾ ɑː n d ɪ n
efrandin	ʕ ɛ f ɾ ɑː n d ɪ n
efrîqayî	ɛ f ɾ iː q ɑː j iː
efrîqî	ɛ f ɾ iː q iː
efsûn	ɛ f s uː n
efsûnî	ɛ f s uː n iː
efû	ɛ f uː
efû	ʕ ɛ f uː
ejdeha	ɛ ʒ d ɛ h ɑː
elbanî	ɛ l b ɑː n iː
elfabe	ɛ l f ɑː b ɛ
elmanî	ɛ l m ɑː n iː
elîfba	ɛ l iː f b ɑː
elîfbe	ɛ l iː f b ɛ
elîfbê	ɛ l iː f b eː
em	ɛ m
emanet	ɛ m ɑː n ɛ t
embar	ɛ m b ɑː ɾ
embar	ʕ ɛ m b ɑː ɾ
emeliyat	ɛ m ɛ l ɪ j ɑː t
emeliyat	ʕ ɛ m ɛ l ɪ j ɑː t
emerîkanî	ɛ m ɛ ɾ iː k ɑː n iː
emerîkî	ɛ m ɛ ɾ iː k iː
emin	ɛ m ɪ n
emirkanî	ɛ m ɪ ɾ k ɑː n iː
emrîkî	ɛ m ɾ iː k iː
emîn	ɛ m iː n
enbar	ɛ n b ɑː ɾ
encumen	ɛ n d͡ʒ ʊ m ɛ n
encûr	ˤɛ n d͡ʒ uː ɾ
enextar	ɛ n ɛ x t ɑː ɾ
engizandin	ɛ n ɡ ɪ z ɑː n d ɪ n
enişk	ɛ n ɪ ʃ k
enîşk	ɛ n iː ʃ k
enîşk	ʕ ɛ n iː ʃ k
epoksîd	ɛ p oː k s iː d
eqar	ɛ q ɑː ɾ
eqildar	ˤɛ q ɪ l d ɑː ɾ
eql	ɛ q l
eqldar	ˤɛ q l d ɑː ɾ
erak	ɛ ɾ ɑː k
eraq	ɛ ɾ ɑː q
erav	ɛ ɾ ɑː v
ereb	ɛ ɾ ɛ b
ereb	ʕ ɛ ɾ ɛ b
erebî	ˤɛ ɾ ɛ b iː
ereq	ɛ ɾ ɛ q
ereq	ʕ ɛ ɾ ɛ q
erimûş	ɛ ɾ ɪ m uː ʃ
ermûş	ɛ ɾ m uː ʃ
erotîk	ɛ ɾ oː t iː k
erze	ˤɛ ɾ z ɛ
erê	ɛ ɾ eː
erûk	ɛ ɾ uː k
esman	ɛ s m ɑː n
esman	ʕ ɛ s m ɑː n
esraq	ɛ s ɾ ɑː q
esrax	ɛ s ɾ ɑː x
esreq	ɛ s ɾ ɛ q
esrex	ɛ s ɾ ɛ x
evdesxane	ˤɛ v d ɛ s x ɑː n ɛ
evîn	ɛ v iː n
evîndar	ɛ v iː n d ɑː ɾ
evîndarî	ɛ v iː n d ɑː ɾ iː
ew	æ w
ewlehî	ɛ w l ɛ h iː
ewr	ɛ w ɾ
ewrkirin	ɛ w ɾ k ɪ ɾ ɪ n
ewropayî	ɛ w ɾ oː p ɑː j iː
ewropî	ɛ w ɾ oː p iː
ewrûpayî	ɛ w ɾ uː p ɑː j iː
ewrûpî	ɛ w ɾ uː p iː
eylo	ɛ j l oː
ez	æ z
ezman	ɛ z m ɑː n
ezman	ʕ ɛ z m ɑː n
eşq	ɛ ʃ q
eşya	ɛ ʃ j ɑː
eşêf	ˤɛ ʃ eː f
eşîr	ɛ ʃ iː ɾ
farisî	f ɑː ɾ ɪ s iː
fehm	f ɛ h m
ferec	f ɛ ɾ ɛ d͡ʒ
ferfûr	f ɛ ɾ f uː ɾ
ferheng	f ɛ ɾ h ɛ ŋ ɡ
ferman	f ɛ ɾ m ɑː n
fermî	f ɛ ɾ m iː
fetisandin	f ɛ t ɪ s ɑː n d ɪ n
fikirîn	f ɪ k ɪ ɾ iː n
filitîn	f ɪ l ɪ t iː n
firaq	f ɪ ɾ ɑː q
firavîn	f ɪ ɾ ɑː v iː n
fireh	f ɪ ɾ ɛ h
firotin	f ɪ ɾ oː t ɪ n
firrîn	f ɪ ɾ ɾ iː n
firîn	f ɪ ɾ iː n
fistiq	f ɪ s t ɪ q
fonetîk	f oː n ɛ t iː k
frên	f ɾ eː n
fîl	f iː l
fîrma	f iː ɾ m ɑː
fîtotomî	f iː t oː t oː m iː
garantî	ɡ ɑː ɾ ɑː n t iː
gazî	ɡ ɑː z iː
geh	ɡ ɛ h
gelek	ɡ ɛ l ɛ k
genim	ɡ ɛ n ɪ m
gerden	ɡ ɛ ɾ d ɛ n
gewdeyî	ɡ ɛ w d ɛ j iː
gewr	ɡ ɛ w ɾ
gewrî	ɡ ɛ w ɾ iː
gihanek	ɡ ɪ h ɑː n ɛ k
gir	ɡ ɪ ɾ
girover	ɡ ɪ r oː v ɛ r
girrnijîn	ɡ ɪ r n ɪ ʒ iː n
girtin	ɡ ɪ ɾ t ɪ n
girtî	ɡ ɪ ɾ t iː
girtîgeh	ɡ ɪ ɾ t iː ɡ ɛ h
girêdan	ɡ ɪ ɾ eː d ɑː n
girîng	ɡ ɪ ɾ iː ŋ ɡ
gizêr	ɡ ɪ z eː ɾ
giştî	ɡ ɪ ʃ t iː
gor	ɡ oː r
goristan	ɡ oː r ɪ s t ɑː n
gotin	ɡ oː t ɪ n
govend	ɡ oː v ɛ n d
goşe	ɡ oː ʃ ɛ
goşt	ɡ oː ʃ t
goştxwer	ɡ oː ʃ t xʷ ɛ ɾ
guharto	ɡ ʊ h ɑː ɾ tˤ oː
guhdar	ɡ ʊ h d ɑː ɾ
guldank	ɡ ʊ l d ɑː ŋ k
guman	ɡ ʊ m ɑː n
gund	ɡ ʊ n d
gurî	ɡ ʊ r iː
gêj	ɡ eː ʒ
gêjî	ɡ eː ʒ iː
gêlaz	ɡ eː l ɑː z
gêzer	ɡ eː z ɛ ɾ
gûz	ɡ uː z
hafir	h ɑː f ɪ r
halû	ħ ɑː l uː
han	h ɑː n
hanîn	h ɑː n iː n
haqas	h ɑː q ɑː s
haran	h ɑː ɾ ɑː n
harîkarî	h ɑː ɾ iː kʰ ɑː ɾ iː
hasê	h ɑː s eː
hatin	h ɑː t ɪ n
havlik	h ɑː v l ɪ k
havlêk	h ɑː v l eː k
havêtin	h ɑː v eː t ɪ n
havîtin	h ɑː v iː t ɪ n
heb	ħ ɛ b
hebûn	h ɛ b uː n
hecer	h ɛ d͡ʒ ɛ ɾ
hedef	h ɛ d ɛ f
heft	ħ æ f t
hefte	h ɛ f t ɛ
hefteyane	h ɛ f t ɛ j ɑː n ɛ
hejmar	h ɛ ʒ m ɑː ɾ
hejîr	h ɛ ʒ iː ɾ
helbest	h ɛ l b ɛ s t
helû	ħ ɛ l uː
henek	h ɛ n ɛ k
herherî	h ɛ ɾ h ɛ ɾ iː
herheyî	h ɛ ɾ h ɛ j iː
herimandin	h ɛ ɾ ɪ m ɑː n d ɪ n
hermiş	h ɛ ɾ m ɪ ʃ
hermûş	h ɛ ɾ m uː ʃ
herêm	h ɛ ɾ eː m
hesan	h ɛ s ɑː n
hesan	ħ ɛ s ɑː n
hesand	ħ ɛ s ɑː n d
hesin	h ɛ s ɪ n
hesin	ħ ɛ s ɪ n
hesinger	h ɛ s ɪ n ɡ ɛ ɾ
hesingêr	h ɛ s ɪ n ɡ eː ɾ
hesinkar	h ɛ s ɪ n k ɑː ɾ
hesinker	h ɛ s ɪ n k ɛ ɾ
hesp	h ɛ s p
hest	h ɛ s t
hetikandin	h ɛ t ɪ k ɑː n d ɪ n
hev	h ɛ v
hev	ħ ɛ v
heval	h ɛ v ɑː l
hevalkar	h ɛ v ɑː l k ɑː ɾ
hevalo	h ɛ v ɑː l oː
hevaltî	h ɛ v ɑː l t iː
hevalê	h ɛ v ɑː l eː
hevenav	h ɛ v ɛ n ɑː v
hevirmiş	h ɛ v ɪ ɾ m ɪ ʃ
hevirmîş	h ɛ v ɪ ɾ m iː ʃ
hevirmûş	h ɛ v ɪ ɾ m uː ʃ
hevkarî	h ɛ v kʰ ɑː ɾ iː
hevok	h ɛ v oː k
hevrik	h ɛ v ɾ ɪ k
hevrikî	h ɛ v ɾ ɪ k iː
hevring	h ɛ v ɾ ɪ ŋ ɡ
hevris	h ɛ v ɾ ɪ s
hevrîng	h ɛ v ɾ iː ŋ ɡ
hevrîşim	h ɛ v ɾ iː ʃ ɪ m
hevrûşim	h ɛ v ɾ uː ʃ ɪ m
hevsengî	h ɛ v s ɛ n ɡ iː
hevser	h ɛ v s ɛ ɾ
hevwate	h ɛ v w ɑː t ɛ
hevîr	h ɛ v iː ɾ
hevûrî	h ɛ v uː ɾ iː
hewa	h ɛ w ɑː
hewce	h ɛ w d͡ʒ ɛ
hewl	h ɛ w l
hewq	h ɛ w q
heyam	h ɛ j ɑː m
heyranî	h ɛ j ɾ ɑː n iː
heyv	h ɛ j v
heyşet	h ɛ j ʃ ɛ t
hezarpê	h ɛ z ɑː ɾ p eː
hezarsal	h ɛ z ɑː ɾ s ɑː l
heşt	ħ ɛ ʃ t
hikûmet	h ɪ k uː m ɛ t
hilbijêr	h ɪ l b ɪ ʒ eː ɾ
hildan	h ɪ l d ɑː n
hilweşandin	h ɪ l w ɛ ʃ ɑː n d ɪ n
hilî	ħ ɪ l iː
hilû	h ɪ l uː
hilû	ħ ɪ l uː
hinartin	h ɪ n ɑː ɾ t ɪ n
hincar	h ɪ n d͡ʒ ɑː ɾ
hindik	h ɪ n d ɪ k
hingiv	h ɪ n ɡ ɪ v
hingê	h ɪ n ɡ eː
hirî	h ɪ ɾ iː
hisan	h ɪ s ɑː n
hizirîn	h ɪ z ɪ ɾ iː n
hişk	h ɪ ʃ k
hodax	h oː d ɑː x
hogir	h oː ɡ ɪ ɾ
hoker	h oː k ɛ ɾ
holendî	h oː l ɛ n d iː
homonîm	h oː m oː n iː m
hox	h oː x
hozanvan	h oː z ɑː n v ɑː n
hulî	h ʊ l iː
hulî	ħ ʊ l iː
hulû	h ʊ l uː
hunerhez	h ʊ n ɛ ɾ h ɛ z
hêdî	h eː d iː
hêja	h eː ʒ ɑː
hêjatî	h eː ʒ ɑː t iː
hêkesor	h eː k ɛ s oː ɾ
hêlekan	h eː l ɛ k ɑː n
hêlîn	h eː l iː n
hênik	h eː n ɪ k
hêrs	h eː ɾ s
hêrûg	h eː ɾ uː ɡ
hêrûng	h eː ɾ uː ŋ ɡ
hêsa	h eː s ɑː
hêsan	h eː s ɑː n
hêsanî	h eː s ɑː n iː
hêstir	h eː s t ɪ ɾ
hêvî	h eː v iː
hêvîdar	h eː v iː d ɑː ɾ
hêz	h eː z
hîdrojen	h iː d ɾ oː ʒ ɛ n
hîndarî	h iː n d ɑː ɾ iː
hîponîm	h iː p oː n iː m
hîrog	h iː ɾ oː ɡ
hîstamîn	h iː s t ɑː m iː n
hîv	h iː v
ihtiyac	ɪ h t ɪ j ɑː d͡ʒ
imbar	ɪ m b ɑː ɾ
incûr	ɪ n d͡ʒ uː ɾ
inglîzî	ɪ ŋ ɡ l iː z iː
japonî	ʒ ɑː p oː n iː
jehr	ʒ ɛ h ɾ
jin	ʒ ɪ n
jinebî	ʒ ɪ n ɛ b iː
jixwe	ʒ ɪ x w ɛ
jiyan	ʒ ɪ j ɑː n
jêder	ʒ eː d ɛ ɾ
jêrnivîs	ʒ eː ɾ n ɪ v iː s
jî	ʒ iː
jîn	ʒ iː n
jîyan	ʒ iː j ɑː n
k'il	kˤ ɪ l
kal	k ɑː l
kal	kʰ ɑː l
kanabîs	k ɑː n ɑː b iː s
karbidest	k ɑː ɾ b ɪ d ɛ s t
kardînal	k ɑː ɾ d iː n ɑː l
kareba	k ɑː ɾ ɛ b ɑː
kargeh	k ɑː ɾ ɡ ɛ h
karik	k ɑː ɾ ɪ k
karsaz	k ɑː ɾ s ɑː z
karûbar	k ɑː ɾ uː b ɑː ɾ
kat	k ɑː t
katalanî	k ɑː t ɑː l ɑː n iː
kategorî	k ɑː t ɛ ɡ oː ɾ iː
kedî	k ɛ d iː
kef	k ɛ f
kefen	k ɛ f ɛ n
kelex	k ɛ l ɛ x
keleş	k ɛ l ɛ ʃ
kelwaş	k ɛ l w ɑː ʃ
kelî	k ɛ l iː
keman	k ɛ m ɑː n
kemer	k ɛ m ɛ ɾ
ken	k ɛ n
kendav	k ɛ n d ɑː v
kenîn	k ɛ n iː n
ker	kʰ ɜ ɾ
kerb	k ɛ ɾ b
kereng	k ɛ ɾ ɛ ŋ ɡ
kerguh	k ɛ ɾ ɡ ʊ h
keskesor	k ɛ s k ɛ s oː ɾ
keskûala	k ɛ s k uː ɑː l ɑː
ketamîn	k ɛ t ɑː m iː n
ketin	k ɛ t ɪ n
kevan	k ɛ v ɑː n
kevanî	k ɛ v ɑː n iː
kevir	k ɛ v ɪ ɾ
kevjal	k ɛ v ʒ ɑː l
kevn	k ɛ v n
kevneşopî	k ɛ v n ɛ ʃ oː p iː
kevok	k ɛ v oː k
kevçî	k ɛ v t͡ʃ iː
kew	k ɛ w
kewandin	k ɛ w ɑː n d ɪ n
keç	k ɛ t͡ʃ
keçik	k ɛ t͡ʃ ɪ k
keştî	k ɛ ʃ t iː
kilîd	k ɪ l iː d
kilîl	k ɪ l iː l
kirdin	k ɪ r d ɪ n
kirrîn	k ɪ r iː n
kirîn	k ɪ r iː n
kitik	k ɪ t ɪ k
kitêb	k ɪ t eː b
kizir	k ɪ z ɪ ɾ
klorîn	k l oː ɾ iː n
kokaîn	k oː k ɑː iː n
kolan	k oː l ɑː n
kolonî	k oː l oː n iː
komele	kʰ oː m ɛ l ɛ
komenav	k oː m ɛ n ɑː v
kompanya	k oː m p ɑː n j ɑː
komîte	k oː m iː t ɛ
kongresman	k oː ŋ ɡ ɾ ɛ s m ɑː n
konsolosxane	k oː n s oː l oː s x ɑː n ɛ
kor	k oː ɾ
kovan	k oː v ɑː n
kovar	k oː v ɑː ɾ
kovik	k oː v ɪ k
kox	k oː x
kromatîd	k ɾ oː m ɑː t iː d
kudik	k ʊ d ɪ k
kujêr	k ʊ ʒ eː ɾ
kultûr	k ʊ l t uː ɾ
kulîlk	k ʊ l iː l k
kulîmek	k ʊ l iː m ɛ k
kund	k ʊ n d
kundir	k ʊ n d ɪ ɾ
kur	k ʊ ɾ
kurd	kʰ ʊ ɾ d
kurdane	kʰ ʊ ɾ d ɑː n ɛ
kurdmancî	k ʊ ɾ d m ɑː n d͡ʒ iː
kurdî	kʰ ʊ ɾ d iː
kurik	k ʊ ɾ ɪ k
kurmancí	k ʊ ɾ m ɑː n d͡ʒ í
kurtedaw	k ʊ ɾ t ɛ d ɑː w
kurtedawên	k ʊ ɾ t ɛ d ɑː w eː n
kurtenav	k ʊ ɾ t ɛ n ɑː v
kurtetenore	k ʊ ɾ t ɛ t ɛ n oː ɾ ɛ
kurteçîrok	k ʊ ɾ t ɛ t͡ʃ iː ɾ oː k
kuç	k ʊ t͡ʃ
kuş	k ʊ ʃ
kuştin	k ʊ ʃ t ɪ n
kêlî	kˤ eː l iː
kêç	k eː t͡ʃ
kîjan	kʰ iː ʒ ɑː n
kîkongoyî	k iː k oː n ɡ oː j iː
kîr	k iː ɾ
kûr	kʰ uː ɾ
kûçik	k uː t͡ʃ ɪ k
latînî	l ɑː t iː n iː
lazimî	l ɑː z ɪ m iː
lehî	l ɛ h iː
leng	l ɛ ŋ ɡ
lepik	l ɛ p ɪ k
lewitandin	l ɛ w ɪ t ɑː n d ɪ n
leystin	l ɛ j s t ɪ n
lezgîn	l ɛ z ɡ iː n
leşker	l ɛ ʃ k ɛ ɾ
lijne	l ɪ ʒ n ɛ
ling	l ɪ ŋ ɡ
lokomotîv	l oː k oː m oː t iː v
losyon	l oː s j oː n
loyalîte	l oː j ɑː l iː t ɛ
lêgerîn	l eː ɡ ɛ ɾ iː n
lêker	l eː k ɛ ɾ
lêkolîn	l eː k oː l iː n
lêkolîner	l eː k oː l iː n ɛ ɾ
lênûsk	l eː n uː s k
lêpirsîn	l eː p ɪ ɾ s iː n
lêv	l eː v
lêvkî	l eː v k iː
lêxistin	l eː x ɪ s t ɪ n
lîse	l iː s ɛ
lîstik	l iː s t ɫ k
lîstikvan	l iː s t ɪ k v ɑː n
lîstin	l iː s t ɪ n
makîne	m ɑː k iː n ɛ
malbat	m ɑː l b ɑː t
maldarî	m ɑː l d ɑː ɾ iː
malnişîn	m ɑː l n ɪ ʃ iː n
malper	m a l p ɛː r
mamosta	m ɑː m oː s t ɑː
mamoste	m ɑː m oː s t ɛ
marmasî	m ɑː ɾ m ɑː s iː
masî	m ɑː s iː
masîgir	m ɑː s iː ɡ ɪ ɾ
masîzerk	m ɑː s iː z ɛ ɾ k
meaş	m ɛ ɑː ʃ
mebest	m ɛ b ɛ s t
mefer	m ɛ f ɛ ɾ
mefreq	m ɛ f ɾ ɛ q
mehane	m ɛ h ɑː n ɛ
mehkeme	m ɛ h k ɛ m ɛ
mehname	m ɛ h n ɑː m ɛ
mehîn	m ɛ h iː n
mekok	m ɛ k oː k
mekteb	m ɛ k t ɛ b
melexan	m ɛ l ɛ x ɑː n
meqsed	m ɛ q s ɛ d
mer	m ɛ ɾ
merd	m ɛ ɾ d
mereq	m ɛ ɾ ɛ q
merhele	m ɛ ɾ h ɛ l ɛ
merixandin	m ɛ ɾ ɪ x ɑː n d ɪ n
merov	m ɛ ɾ oː v
merr	m ɛ r
meslek	m ɛ s l ɛ k
mesîl	m ɛ s iː l
mewîj	m ɛ w iː ʒ
meyxanevan	m ɛ j x ɑː n ɛ v ɑː n
mezad	m ɛ z ɑː d
mezin	m ɛ z ɪ n
mezinahî	m ɛ z ɪ n ɑː h iː
mezolojî	m ɛ z oː l oː ʒ iː
mifriq	m ɪ f ɾ ɪ q
mift	m ɪ f t
mihafize	m ɪ h ɑː f ɪ z ɛ
mihne	m ɪ h n ɛ
mij	m ɪ ʒ
mijar	m ɪ ʒ ɑː ɾ
mijmij	m ɪ ʒ m ɪ ʒ
mijûl	m ɪ ʒ uː l
milîs	m ɪ l iː s
milûk	m ɪ l uː k
minasib	m ɪ n ɑː s ɪ b
mirin	m ɪ ɾ ɪ n
mirov	m ɪ ɾ oː v
mirovxwer	m ɪ ɾ oː v x w ɛ ɾ
mirqî	m ɪ ɾ q iː
mirîd	m ɪ ɾ iː d
mirîşk	m ɪ ɾ iː ʃ k
misabiqe	m ɪ s ɑː b ɪ q ɛ
misilman	m ɪ s ɪ l m ɑː n
mitleq	m ɪ t l ɛ q
mitêl	m ɪ t eː l
mixdar	m ɪ x d ɑː ɾ
mixenet	m ɪ x ɛ n ɛ t
mizafer	m ɪ z ɑː f ɛ ɾ
mizakere	m ɪ z ɑː k ɛ ɾ ɛ
mizdan	m ɪ z d ɑː n
mizgeft	m ɪ z ɡ ɛ f t
mişar	m ɪ ʃ ɑː ɾ
mişk	m ɪ ʃ k
mişmiş	m ɪ ʃ m ɪ ʃ
monoksîd	m oː n oː k s iː d
morfolojî	m oː ɾ f oː l oː ʒ iː
moz	m oː z
mozik	m oː z ɪ k
muhtac	m ʊ h t ɑː d͡ʒ
muxtar	m ʊ x t ɑː ɾ
muzîk	m ʊ z iː k
muçe	m ʊ t͡ʃ ɛ
mêjîn	m eː ʒ iː n
mêr	m eː ɾ
mêrg	m eː ɾ ɡ
mêrkuj	m eː ɾ k ʊ ʒ
mêtingeh	m eː t ɪ n ɡ ɛ h
mêvan	m eː v ɑː n
mêvanxane	m eː v ɑː n x ɑː n ɛ
mêw	m eː w
mêwe	m eː w ɛ
mêze	m eː z ɛ
mêş	m eː ʃ
mî	m iː
mîl	m iː l
mînak	m iː n ɑː k
mîstin	m iː s t ɪ n
mîz	m iː z
mûrî	m uː ɾ iː
nabos	n ɑː b oː s
naga	n ɑː ɡ ɑː
naha	n ɑː h ɑː
naka	n ɑː k ɑː
nal	n ɑː l
nalet	n ɑː l ɛ t
name	n ɑː m ɛ
namzet	n ɑː m z ɛ t
namûs	n ɑː m uː s
nan	n ɑː n
nar	n ɑː ɾ
narkotîk	n ɑː ɾ k oː t iː k
nas	n ɑː s
nasname	n ɑː s n ɑː m ɛ
nasyonalîst	n ɑː s j oː n ɑː l iː s t
nasyonalîzm	n ɑː s j oː n ɑː l iː z m
nasîn	n ɑː s iː n
nav	n ɑː v
navbendik	n ɑː v b ɛ n d ɪ k
navber	n ɑː v b ɛ ɾ
navdêr	n ɑː v d eː ɾ
navend	n ɑː v ɛ n d
navendî	n ɑː v ɛ n d iː
naverok	n ɑː v ɛ ɾ oː k
navgir	n ɑː v ɡ ɪ ɾ
navneteweyî	n ɑː v n ɛ t ɛ w ɛ j iː
navneteweyîtî	n ɑː v n ɛ t ɛ w ɛ j iː t iː
navsera	n ɑː v s ɛ ɾ ɑː
navteng	n ɑː v t ɛ ŋ ɡ
navçe	n ɑː v t͡ʃ ɛ
navûdeng	n ɑː v uː d ɛ ŋ ɡ
naşî	n ɑː ʃ iː
nebî	n ɛ b iː
neder	n ɛ d ɛ ɾ
nefel	n ɛ f ɛ l
nefer	n ɛ f ɛ ɾ
nefropatî	n ɛ f ɾ oː p ɑː t iː
neh	n ɛ h
neheng	n ɛ h ɛ ŋ ɡ
neheq	n ɛ h ɛ q
neheqî	n ɛ h ɛ q iː
nemaze	n ɛ m ɑː z ɛ
neqanûnî	n ɛ q ɑː n uː n iː
neqil	n ɛ q ɪ l
nerm	n ɛ ɾ m
nerx	n ɛ ɾ x
netewe	n ɛ t ɛ w ɛ
netewesazî	n ɛ t ɛ w ɛ s ɑː z iː
neteweyî	n ɛ t ɛ w ɛ j iː
neteweyîtî	n ɛ t ɛ w ɛ j iː t iː
nevî	n ɛ v iː
newal	n ɛ w ɑː l
newq	n ɛ w q
next	n ɛ x t
nexwe	n ɛ x w ɛ
nexweş	n ɛ x w ɛ ʃ
nexweşî	n ɛ x w ɛ ʃ iː
nexşekêş	n ɛ x ʃ ɛ k eː ʃ
ney	n ɛ j
nifir	n ɪ f ɪ ɾ
nig	n ɪ ɡ
niha	n ɪ h ɑː
niho	n ɪ h oː
nika	n ɪ k ɑː
nimêjker	n ɪ m eː ʒ k ɛ ɾ
ning	n ɪ ŋ ɡ
nivişt	n ɪ v ɪ ʃ t
nivêj	n ɪ v eː ʒ
nivîs	n ɪ v iː s
nivîsbarî	n ɪ v iː s b ɑː ɾ iː
nivîskar	n ɪ v iː s k ɑː ɾ
nivîskî	n ɪ v iː s k iː
nivîsîn	n ɪ v iː s iː n
nivîşk	n ɪ v iː ʃ k
nizm	n ɪ z m
niştir	n ɪ ʃ t ɪ ɾ
niştîman	n ɪ ʃ t iː m ɑː n
nojdar	n oː ʒ d ɑː ɾ
nok	n oː k
noke	n oː k ɛ
nola	n oː l ɑː
noqavok	n oː q ɑː v oː k
nutq	n ʊ t q
nêm	n eː m
nêrekew	n eː ɾ ɛ k ɛ w
nêtarî	n eː t ɑː ɾ iː
nêz	n eː z
nîgarvan	n iː ɡ ɑː ɾ v ɑː n
nîr	n iː ɾ
nîsk	n iː s k
nîtrojen	n iː t ɾ oː ʒ ɛ n
nîveşkêl	n iː v ɛ ʃ k eː l
nîvgirav	n iː v ɡ ɪ ɾ ɑː v
nîzam	n iː z ɑː m
nîşan	n iː ʃ ɑː n
nû	n uː
nûjen	n uː ʒ ɛ n
nûjenî	n uː ʒ ɛ n iː
nûçe	n uː t͡ʃ ɛ
nûçename	n uː t͡ʃ ɛ n ɑː m ɛ
oc	oː d͡ʒ
ocax	oː d͡ʒ ɑː x
odontolojî	oː d oː n t oː l oː ʒ iː
oksîd	oː k s iː d
oksîjen	oː k s iː ʒ ɛ n
ol	oː l
