'day	d̪ a ɪ̯
awanhaydrohan	ʔ ɐ w ɐ n̪ h a ɪ̯ d̪ ɾ o h a n̪
awankulayin	ʔ ɐ w a ŋ k ʊ l aː j ɪ n̪
awanling	ʔ ɐ w ɐ n̪ l ɪ ŋ
awansik	ʔ ɐ w ɐ n̪ s ɪ k̚
awansikin	ʔ ɐ w ɐ n̪ s iː x ɪ n̪
awantakayin	ʔ ɐ w a n̪ t̪ ɐ x aː j ɪ n̪
awas	ʔ aː w ɐ s
awas	ʔ ɐ w a s
awat	ʔ aː w ɐ t̪̚
awat	ʔ ɐ w a t̪̚
away	ʔ aː w a ɪ̯
awayan	ʔ ɐ w ɐ j a n̪
awayin	ʔ ɐ w aː j ɪ n̪
awditor	ʔ a ʊ̯ d̪ ɪ t̪ o ɾ
awditor	ʔ o d̪ ɪ t̪ o ɾ
awditoryo	ʔ a ʊ̯ d̪ ɪ t̪ o ɾ j o
awditoryo	ʔ o d̪ ɪ t̪ o ɾ j o
awdiyens	ʔ a ʊ̯ d̪ j ɛ n̪ s
awdiyens	ʔ a ʊ̯ d͡ʒ ɛ n̪ s
awdiyo	ʔ a ʊ̯ d̪ j o
awdiyo	ʔ a ʊ̯ d͡ʒ o
awdyens	ʔ a ʊ̯ d̪ j ɛ n̪ s
awdyens	ʔ a ʊ̯ d͡ʒ ɛ n̪ s
awdyo	ʔ a ʊ̯ d̪ j o
awdyo	ʔ a ʊ̯ d͡ʒ o
awit	ʔ aː w ɪ t̪̚
awitin	ʔ ɐ w iː t̪ ɪ n̪
awra	ʔ a ʊ̯ ɾ ɐ
awting	ʔ a ʊ̯ t̪ ɪ ŋ
awtismo	ʔ a ʊ̯ t̪ i s m o
awto	ʔ a ʊ̯ t̪ o
awto	ʔ oː t̪ o
awtobus	ʔ a ʊ̯ t̪ o b ʊ s
awtobus	ʔ oː t̪ o b ʊ s
awtograp	ʔ a ʊ̯ t̪ o ɡ ɾ a p̚
awtograpo	ʔ a ʊ̯ t̪ oː ɡ ɾ ɐ p o
awtokuwarentena	ʔ a ʊ̯ t̪ o k w ɐ ɾ ɛ n̪ t̪ ɛː n̪ ɐ
awtomatiko	ʔ a ʊ̯ t̪ o m aː t̪ ɪ x o
awtomatiko	ʔ o t̪ o m aː t̪ ɪ x o
awtomobil	ʔ a ʊ̯ t̪ o m oː b ɪ l
awtomobil	ʔ oː t̪ o m oː b ɪ l
awtonomiya	ʔ a ʊ̯ t̪ o n̪ o m iː j ɐ
awtonomo	ʔ a ʊ̯ t̪ oː n̪ o m o
awtonomus	ʔ a ʊ̯ t̪ oː n̪ o m ʊ s
awtopsiya	ʔ a ʊ̯ t̪ o p s iː j ɐ
awtopsiya	ʔ a ʊ̯ t̪ o p s j ɐ
awtopsiya	ʔ a ʊ̯ t̪ o p ʃ ɐ
awtopsiya	ʔ o t̪ o p s iː j ɐ
awtopsiya	ʔ o t̪ o p s j ɐ
awtopsiya	ʔ o t̪ o p ʃ ɐ
awtor	ʔ a ʊ̯ t̪ o ɾ
awtoridad	ʔ a ʊ̯ t̪ o ɾ ɪ d̪ a d̪̚
awtoridad	ʔ o t̪ o ɾ ɪ d̪ a d̪̚
awtorisado	ʔ a ʊ̯ t̪ o ɾ ɪ s aː d̪ o
awtorisado	ʔ o t̪ o ɾ ɪ s aː d̪ o
awtorisasyon	ʔ a ʊ̯ t̪ o ɾ ɪ s ɐ s j o n̪
awtorisasyon	ʔ a ʊ̯ t̪ o ɾ ɪ s ɐ ʃ o n̪
awtorisasyon	ʔ o t̪ o ɾ ɪ s ɐ s j o n̪
awtorisasyon	ʔ o t̪ o ɾ ɪ s ɐ ʃ o n̪
awtoritarismo	ʔ a ʊ̯ t̪ o ɾ ɪ t̪ ɐ ɾ i s m o
awtoritaryanismo	ʔ a ʊ̯ t̪ o ɾ ɪ t̪ ɐ ɾ j ɐ n̪ i s m o
awtput	ʔ a ʊ̯ t̪ p ʊ t̪̚
awts	ʔ a ʊ̯ t̪ s
awtsu	ʔ a ʊ̯ t͡s ʊ
ay	ʔ a ɪ̯
ay	ʔ ɛ
aya	ʔ aː j ɐ
aya	ʔ aː j ɐ ʔ
ayam	ʔ aː j ɐ m
ayan	ʔ ɐ j a n̪
ayangaw	ʔ ɐ j ɐ ŋ a ʊ̯
ayaw	ʔ aː j a ʊ̯
ayaw	ʔ ɐ j a ʊ̯
ayayay	ʔ ɐ j ɐ j a ɪ̯
aydentidad	ʔ a ɪ̯ d̪ ɛ n̪ t̪ ɪ d̪ a d̪̚
aydentipika	ʔ a ɪ̯ d̪ ɛ n̪ t̪ ɪ p ɪ x a
aydentipikasyon	ʔ a ɪ̯ d̪ ɛ n̪ t̪ ɪ p ɪ x ɐ s j o n̪
aydentipikasyon	ʔ a ɪ̯ d̪ ɛ n̪ t̪ ɪ p ɪ x ɐ ʃ o n̪
ayibutod	ʔ ɐ j ɪ b uː t̪ o d̪̚
ayibutod	ʔ ɐ j ɪ b ʊ t̪ o d̪̚
ayikid	ʔ ɐ j iː x ɪ d̪̚
aykid	ʔ a ɪ̯ x ɪ d̪̚
aykon	ʔ a ɪ̯ x o n̪
aylabyu	ʔ a ɪ̯ l a b j ʊ
ayo	ʔ aː j o
ayo	ʔ aː j o ʔ
ayo	ʔ ɐ j o
ayo	ʔ ɐ j o ʔ
ayok	ʔ aː j o k̚
ayok	ʔ ɐ j o k̚
ayoko	ʔ ɐ j oː x o
ayon	ʔ aː j o n̪
ayon	ʔ ɐ j o n̪
ayop	ʔ aː j o p̚
ayop	ʔ ɐ j o p̚
ayorta	ʔ ɐ j o ɾ t̪ ɐ
ayos	ʔ aː j o s
ayos	ʔ ɐ j o s
ayre	ʔ a ɪ̯ ɾ ɛ
ayron	ʔ a ɪ̯ ɾ o n̪
ays	ʔ a ɪ̯ s
aysing	ʔ a ɪ̯ s ɪ ŋ
ayskrim	ʔ a ɪ̯ s k ɾ ɪ m
aysla	ʔ a ɪ̯ s l a
ayslado	ʔ a ɪ̯ s l aː d̪ o
ayslador	ʔ a ɪ̯ s l ɐ d̪ o ɾ
ayslahan	ʔ a ɪ̯ s l ɐ h a n̪
ayslamyento	ʔ a ɪ̯ s l ɐ m j ɛ n̪ t̪ o
ayt	ʔ a ɪ̯ t̪
aytem	ʔ a ɪ̯ t̪ ɛ m
ayuda	ʔ ɐ j uː d̪ ɐ
ayunal	ʔ ɐ j ʊ n̪ a l
ayungin	ʔ ɐ j uː ŋ ɪ n̪
ayuno	ʔ ɐ j uː n̪ o
ayusin	ʔ ɐ j uː s ɪ n̪
ayusin	ʔ ɐ j ʊ s ɪ n̪
ayuyang	ʔ ɐ j ʊ j a ŋ
aywan	ʔ a ɪ̯ w a n̪
aywan	ʔ ɛː w ɐ n̪
b	b
b	b a
b	b ɐ
b	b ɛ
b	b ɪ
ba	b a ʔ
ba	b ɐ
ba't	b a t̪̚
baang	b aː ʔ ɐ ŋ
baat	b ɐ ʔ a t̪̚
baba	b aː b ɐ
baba	b aː b ɐ ʔ
baba	b ɐ b a
baba	b ɐ b a ʔ
babaan	b aː b aː ʔ ɐ n̪
babaan	b ɐ b ɐ ʔ a n̪
bababa	b aː b ɐ b a ʔ
bababaihin	b aː b ɐ b ɐ ʔ iː h ɪ n̪
babad	b aː b ɐ d̪̚
babad	b ɐ b a d̪̚
babae	b ɐ b aː ʔ ɛ
babaero	b ɐ b ɐ ʔ ɛː ɾ o
babag	b aː b ɐ ɡ̚
babag	b ɐ b a ɡ̚
babagsak	b aː b ɐ ɡ s a k̚
babahin	b ɐ b ɐ h ɪ n̪
babahing	b ɐ b ɐ h ɪ ŋ
babaihin	b ɐ b ɐ ʔ iː h ɪ n̪
babakunahan	b ɐ b ɐ x ʊ n̪ aː h ɐ n̪
babala	b ɐ b ɐ l a ʔ
babalik	b aː b ɐ l ɪ k̚
babalikin	b aː b ɐ l ɪ x ɪ n̪
babarya	b aː b ɐ ɾ j a
babasagin	b aː b ɐ s aː ɣ ɪ n̪
babasagin	b aː b ɐ s ɐ ɣ ɪ n̪
babasagin	b ɐ b ɐ s aː ɣ ɪ n̪
babasagin	b ɐ b ɐ s ɐ ɣ ɪ n̪
babasahin	b aː b ɐ s aː h ɪ n̪
babasahin	b ɐ b ɐ s aː h ɪ n̪
babasahin	b ɐ b ɐ s ɐ h ɪ n̪
babat	b aː b ɐ t̪̚
babat	b ɐ b a t̪̚
babatukan	b ɐ b ɐ t̪ uː x ɐ n̪
babaw	b aː b a ʊ̯
babay	b aː b a ɪ̯
babayaran	b ɐ b ɐ j aː ɾ ɐ n̪
babayaran	b ɐ b ɐ j ɐ ɾ a n̪
babaye	b ɐ b aː j ɛ
babayi	b ɐ b aː j ɪ
babaylan	b ɐ b a ɪ̯ l a n̪
babaysot	b ɐ b a ɪ̯ s o t̪̚
babero	b ɐ b ɛː ɾ o
baboy	b aː b o ɪ̯
babu	b ɐ b ʊ
babuyan	b ɐ b uː j ɐ n̪
babuyan	b ɐ b ʊ j a n̪
babuyin	b ɐ b uː j ɪ n̪
bacas	b ɐ x a s
baclad	b ɐ k l a d̪̚
bacsilog	b a k s ɪ l o ɡ̚
badaho	b ɐ d̪ aː h o
badap	b ɐ d̪ a p̚
badha	b ɐ d̪ h a ʔ
badhala	b ɐ d̪ h aː l ɐ ʔ
badhi	b ɐ d̪ h ɪ ʔ
badigard	b aː d̪ ɪ ɣ a ɹ d̪
bading	b aː d̪ ɪ ŋ
bading	b ɐ d̪ ɪ ŋ
badminton	b a d̪ m ɪ n̪ t̪ o n̪
badminton	b ɐ d̪ m ɪ n̪ t̪ o n̪
badoy	b ɐ d̪ o ɪ̯
badtrip	b a d̪ t̪ ɾ ɪ p̚
baduy	b ɐ d̪ ʊ ɪ̯
badya	b ɐ d d͡ʒ a
badya	b ɐ d̪ j a
badyet	b a d̪ j ɛ t̪̚
badyet	b aː d͡ʒ ɛ t̪̚
bag	b a ɡ̚
baga	b aː ɣ ɐ
baga	b aː ɣ ɐ ʔ
baga	b ɐ ɣ a
baga	b ɐ ɣ a ʔ
bagabag	b ɐ ɣ aː b ɐ ɡ̚
bagabag	b ɐ ɣ ɐ b a ɡ̚
bagabundo	b ɐ ɣ ɐ b u n̪ d̪ o
bagahe	b ɐ ɣ aː h ɛ
bagal	b aː ɣ ɐ l
bagalan	b ɐ ɣ aː l ɐ n̪
bagama't	b ɐ ɣ ɐ m a t̪̚
bagaman	b ɐ ɣ ɐ m a n̪
bagamat	b ɐ ɣ ɐ m a t̪̚
bagamundo	b ɐ ɣ ɐ m u n̪ d̪ o
bagang	b ɐ ɣ a ŋ
bagansiya	b ɐ ɣ a n̪ s j ɐ
bagansiya	b ɐ ɣ a n̪ ʃ ɐ
bagaong	b ɐ ɣ aː ʔ o ŋ
bagaso	b ɐ ɣ aː s o
bagat	b aː ɣ ɐ t̪̚
bagat	b ɐ ɣ a t̪̚
bagay	b aː ɣ a ɪ̯
bagbag	b ɐ ɡ b a ɡ̚
bagets	b ɐ ɣ ɛ t̪ s
bagin	b aː ɣ ɪ n̪
baging	b aː ɣ ɪ ŋ
bagito	b ɐ ɣ iː t̪ o
bagko	b ɐ ɡ k o ʔ
bagkos	b ɐ ɡ k o s
bagkus	b ɐ ɡ k ʊ s
bagnet	b ɐ ɡ n̪ ɛ t̪̚
bago	b aː ɣ o
bagok	b ɐ ɣ o k̚
bagol	b ɐ ɣ o l
bagon	b ɐ ɣ o n̪
bagook	b ɐ ɣ oː ʔ o k̚
bagoong	b ɐ ɣ o ʔ o ŋ
bagoong	b ɐ ɣ oː ʔ o ŋ
bagot	b ɐ ɣ o t̪̚
bagsak	b ɐ ɡ s a k̚
bagsakan	b ɐ ɡ s aː x ɐ n̪
bagsakan	b ɐ ɡ s ɐ x a n̪
bagsik	b ɐ ɡ s ɪ k̚
bagtas	b ɐ ɡ t̪ a s
bagting	b ɐ ɡ t̪ ɪ ŋ
baguhan	b ɐ ɣ uː h ɐ n̪
bagunsakupin	b ɐ ɣ ʊ n̪ s ɐ x uː p ɪ n̪
baguntao	b ɐ ɣ ʊ n̪ t̪ aː ʔ o
bagwis	b ɐ ɡ w ɪ s
bagyo	b ɐ ɡ j o
bagyuhin	b ɐ ɡ j ʊ h ɪ n̪
baha	b aː h ɐ
baha	b ɐ h a ʔ
bahada	b ɐ h aː d̪ ɐ
bahag	b ɐ h a ɡ̚
bahagan	b ɐ h ɐ ɣ a n̪
bahagdan	b ɐ h ɐ ɡ d̪ a n̪
bahaghari	b ɐ h ɐ ɡ h aː ɾ ɛ ʔ
bahaghari	b ɐ h ɐ ɡ h aː ɾ ɪ ʔ
bahagi	b ɐ h aː ɣ ɪ
bahagi	b ɐ h aː ɣ ɪ ʔ
bahagimbilang	b ɐ h aː ɣ ɪ m b iː l ɐ ŋ
bahagsubay	b ɐ h ɐ ɡ s uː b a ɪ̯
bahagya	b ɐ h ɐ ɡ j a ʔ
bahain	b ɐ h aː ʔ ɪ n̪
bahain	b ɐ h ɐ ʔ ɪ n̪
bahala	b ɐ h aː l ɐ ʔ
bahanda	b ɐ h ɐ n̪ d̪ a ʔ
bahaw	b aː h a ʊ̯
bahaw	b ɐ h a ʊ̯
bahay	b aː h a ɪ̯
bahay	b ɐ h a ɪ̯
bahete	b ɐ h ɛː t̪ ɛ
bahi	b aː h ɪ ʔ
bahid	b aː h ɪ d̪̚
bahin	b aː h ɪ n̪
bahin	b ɐ h ɪ n̪
bahing	b ɐ h ɪ ŋ
bahista	b ɐ h i s t̪ ɐ
bahite	b ɐ h iː t̪ ɛ
bahiya	b ɐ h iː j ɐ
baho	b aː h o
baho	b aː h o ʔ
bahon	b ɐ h o n̪
bahura	b ɐ h uː ɾ ɐ
baiki	b ɐ ʔ iː x ɪ ʔ
baimbi	b ɐ ʔ ɪ m b ɪ ʔ
baino	b ɐ ʔ iː n̪ o
bainte	b a ɪ̯ n̪ t̪ ɛ
baisan	b ɐ ʔ ɪ s a n̪
baisi	b ɐ ʔ iː s ɪ ʔ
bait	b ɐ ʔ ɛ t̪̚
bait	b ɐ ʔ ɪ t̪̚
baitang	b a ɪ̯ t̪ a ŋ
baitang	b ɐ ʔ iː t̪ ɐ ŋ
baitang	b ɐ ʔ ɪ t̪ a ŋ
baiya	b ɐ ʔ iː j ɐ
baka	b aː x ɐ
baka	b ɐ x a
baka	b ɐ x a ʔ
bakahan	b ɐ x ɐ h a n̪
bakal	b aː x ɐ l
bakal	b ɐ x a l
bakalaw	b ɐ x ɐ l a ʊ̯
bakam	b aː x ɐ m
bakam	b ɐ x a m
bakante	b ɐ x a n̪ t̪ ɛ
bakareta	b ɐ x ɐ ɾ ɛː t̪ ɐ
bakas	b aː x ɐ s
bakas	b ɐ x a s
bakasyon	b ɐ x ɐ s j o n̪
bakasyon	b ɐ x ɐ ʃ o n̪
bakasyonista	b ɐ x ɐ s j o n̪ i s t̪ ɐ
bakasyonista	b ɐ x ɐ ʃ o n̪ i s t̪ ɐ
bakasyunan	b aː x ɐ s j uː n̪ ɐ n̪
bakasyunan	b aː x ɐ ʃ uː n̪ ɐ n̪
bakasyunista	b ɐ x ɐ s j ʊ n̪ i s t̪ ɐ
bakasyunista	b ɐ x ɐ ʃ ʊ n̪ i s t̪ ɐ
bakat	b aː x ɐ t̪̚
bakat	b ɐ x a t̪̚
bakaw	b aː x a ʊ̯
bakaw	b ɐ x a ʊ̯
bakawan	b ɐ x aː w ɐ n̪
bakay	b aː x a ɪ̯
bakbak	b ɐ k b a k̚
bakbakan	b ɐ k b aː x ɐ n̪
bakbakan	b ɐ k b ɐ x a n̪
bakero	b ɐ x ɛː ɾ o
baket	b aː x ɛ t̪̚
baki't	b aː x ɪ t̪̚
bakin	b aː x ɪ n̪
bakit	b aː x ɛ t̪̚
bakit	b aː x ɪ t̪̚
bakla	b ɐ k l a
bakla	b ɐ k l a ʔ
baklad	b ɐ k l a d̪̚
baklain	b ɐ k l aː ʔ ɪ n̪
baklain	b ɐ k l ɐ ʔ ɪ n̪
baklaran	b ɐ k l aː ɾ ɐ n̪
baklaran	b ɐ k l ɐ ɾ a n̪
baklas	b ɐ k l a s
bakle	b ɐ k l ɛ
bakle	b ɐ k l ɛ ʔ
bakli	b ɐ k l ɛ ʔ
bakli	b ɐ k l ɪ ʔ
baklita	b ɐ k l iː t̪ ɐ
baklush	b ɐ k l ʊ s
baklush	b ɐ k l ʊ ʃ
bako	b ɐ x o ʔ
bakod	b aː x o d̪̚
bakod	b ɐ x o d̪̚
bakokang	b ɐ x oː x ɐ ŋ
bakol	b aː x o l
bakong	b aː x o ŋ
bakood	b ɐ x o ʔ o d̪̚
bakood	b ɐ x oː ʔ o d̪̚
baksa	b ɐ k s a
baksa	b ɐ k s a ʔ
baksing	b a k s ɪ ŋ
baktaw	b ɐ k t̪ a ʊ̯
bakterya	b ɐ k t̪ ɛ ɾ j ɐ
bakto	b a k t̪ o
bakulaw	b ɐ x uː l a ʊ̯
bakulo	b aː x ʊ l o
bakulod	b ɐ x uː l o d̪̚
bakuna	b ɐ x uː n̪ ɐ
bakunado	b ɐ x ʊ n̪ aː d̪ o
bakunahan	b ɐ x ʊ n̪ aː h ɐ n̪
bakunawa	b ɐ x ʊ n̪ aː w ɐ
bakuran	b ɐ x uː ɾ ɐ n̪
bakuwod	b ɐ x uː w o d̪̚
bakwet	b ɐ k w ɛ t̪̚
bakwit	b ɐ k w ɪ t̪̚
bakya	b ɐ k j a ʔ
bala	b aː l ɐ
bala	b aː l ɐ ʔ
bala	b ɐ l a ʔ
balaan	b ɐ l aː ʔ ɐ n̪
balaas	b ɐ l ɐ ʔ a s
balabag	b ɐ l ɐ b a ɡ̚
balabal	b ɐ l aː b ɐ l
balabiga	b ɐ l ɐ b iː ɣ ɐ ʔ
balada	b ɐ l aː d̪ ɐ
balae	b ɐ l aː ʔ ɛ
balag	b aː l ɐ ɡ̚
balag	b ɐ l a ɡ̚
balaga	b ɐ l ɐ ɣ a
balaga	b ɐ l ɐ ɣ a ʔ
balagat	b ɐ l aː ɣ ɐ t̪̚
balagbag	b ɐ l ɐ ɡ b a ɡ̚
balagbagan	b ɐ l ɐ ɡ b aː ɣ ɐ n̪
balaghan	b ɐ l ɐ ɡ h a n̪
balaghin	b ɐ l ɐ ɡ h ɪ n̪
balaglawas	b ɐ l ɐ ɡ l aː w ɐ s
balagtas	b ɐ l ɐ ɡ t̪ a s
balagtasan	b aː l ɐ ɡ t̪ aː s ɐ n̪
balahak	b ɐ l aː h ɐ k̚
balahakan	b aː l ɐ h ɐ x a n̪
balahasi	b ɐ l ɐ h aː s ɪ ʔ
balahaw	b ɐ l aː h a ʊ̯
balahibo	b ɐ l ɐ h iː b o
balaho	b ɐ l aː h o ʔ
balaho	b ɐ l ɐ h o ʔ
balahura	b ɐ l ɐ h uː ɾ ɐ
balai	b ɐ l aː ʔ ɪ
balaid	b ɐ l ɐ ʔ ɪ d̪̚
balailo	b ɐ l ɐ ʔ iː l o
balais	b ɐ l aː ʔ ɪ s
balais	b ɐ l ɐ ʔ ɪ s
balak	b aː l ɐ k̚
balakang	b ɐ l ɐ x a ŋ
balakat	b ɐ l aː x ɐ t̪̚
balakbak	b ɐ l ɐ k b a k̚
balaki	b ɐ l aː x ɪ ʔ
balakid	b ɐ l aː x ɪ d̪̚
balakid	b ɐ l ɐ x ɪ d̪̚
balakil	b ɐ l aː x ɪ l
balakilan	b ɐ l ɐ x iː l ɐ n̪
balaklaot	b aː l ɐ k l aː ʔ o t̪̚
balaksila	b ɐ l ɐ k s iː l ɐ ʔ
balakubak	b ɐ l ɐ x uː b ɐ k̚
balakubakin	b ɐ l ɐ x ʊ b aː x ɪ n̪
balakyot	b ɐ l ɐ k j o t̪̚
balalayka	b ɐ l ɐ l a ɪ̯ x ɐ
balam	b aː l ɐ m
balam	b ɐ l a m
balamban	b ɐ l ɐ m b a n̪
balana	b aː l ɐ n̪ a
balana	b ɐ l aː n̪ ɐ ʔ
balana	b ɐ l ɐ n̪ a ʔ
balanan	b ɐ l aː n̪ ɐ n̪
balandra	b ɐ l a n̪ d̪ ɾ ɐ
balang	b aː l ɐ ŋ
balanga	b ɐ l ɐ ŋ a ʔ
balangaw	b ɐ l ɐ ŋ a ʊ̯
balangay	b ɐ l aː ŋ a ɪ̯
balangay	b ɐ l ɐ ŋ a ɪ̯
balanggot	b ɐ l ɐ ŋ ɡ o t̪̚
balangkas	b ɐ l ɐ ŋ k a s
balangna	b aː l ɐ ŋ n̪ a
balani	b ɐ l aː n̪ ɪ ʔ
balanoy	b ɐ l aː n̪ o ɪ̯
balansa	b ɐ l a n̪ s ɐ
balansang	b ɐ l ɐ n̪ s a ŋ
balanse	b ɐ l a n̪ s ɛ
balansehin	b ɐ l a n̪ s ɛ h ɪ n̪
balante	b ɐ l a n̪ t̪ ɛ
balantugi	b ɐ l ɐ n̪ t̪ uː ɣ ɪ ʔ
balantukis	b ɐ l ɐ n̪ t̪ ʊ x ɪ s
balaon	b ɐ l aː ʔ o n̪
balaon	b ɐ l ɐ ʔ o n̪
balaong	b ɐ l aː ʔ o ŋ
balaraw	b ɐ l ɐ ɾ a ʊ̯
balarila	b ɐ l ɐ ɾ iː l ɐ ʔ
balas	b aː l ɐ s
balas	b ɐ l a s
balasa	b ɐ l aː s ɐ
balasador	b ɐ l ɐ s ɐ d̪ o ɾ
balasahin	b ɐ l ɐ s aː h ɪ n̪
balasik	b ɐ l aː s ɪ k̚
balasina	b ɐ l ɐ s iː n̪ ɐ ʔ
balasto	b ɐ l a s t̪ o
balasubas	b ɐ l ɐ s uː b ɐ s
balat	b aː l ɐ t̪̚
balat	b ɐ l a t̪̚
balata	b ɐ l aː t̪ ɐ ʔ
balatan	b ɐ l aː t̪ ɐ n̪
balatengga	b ɐ l ɐ t̪ ɛ ŋ ɡ ɐ
balatik	b ɐ l aː t̪ ɪ k̚
balatik	b ɐ l ɐ t̪ ɪ k̚
balatkayo	b ɐ l ɐ t̪ k ɐ j o
balatkayo	b ɐ l ɐ t̪ k ɐ j o ʔ
balato	b ɐ l aː t̪ o
balatok	b ɐ l aː t̪ o k̚
balatok	b ɐ l ɐ t̪ o k̚
balatong	b ɐ l aː t̪ o ŋ
balaw	b aː l a ʊ̯
balaw	b ɐ l a ʊ̯
balaye	b ɐ l aː j ɛ
balayi	b ɐ l aː j ɪ
balbakwa	b ɐ l b ɐ k w a
balbal	b ɐ l b a l
balbas	b ɐ l b a s
balbon	b ɐ l b o n̪
balbula	b a l b ʊ l a
balda	b a l d̪ ɐ
balda	b ɐ l d̪ a
baldado	b ɐ l d̪ aː d̪ o
baldahin	b ɐ l d̪ ɐ h ɪ n̪
balde	b a l d̪ ɛ
balde	b ɐ l d̪ ɛ
baldosa	b ɐ l d̪ oː s ɐ
bale	b aː l ɛ
balena	b ɐ l ɛː n̪ ɐ ʔ
balentiya	b ɐ l ɛ n̪ t̪ iː j ɐ
baler	b ɐ l ɛ ɾ
balete	b ɐ l ɛː t̪ ɛ
balewala	b aː l ɛ w ɐ l a ʔ
balewalain	b aː l ɛ w ɐ l ɐ ʔ ɪ n̪
baley	b ɐ l e ɪ̯
bali	b aː l ɪ
bali	b aː l ɪ ʔ
bali	b ɐ l ɪ ʔ
balian	b ɐ l iː ʔ ɐ n̪
balibag	b ɐ l iː b ɐ ɡ̚
balibag	b ɐ l ɪ b a ɡ̚
balibago	b ɐ l ɪ b aː ɣ o
balibat	b ɐ l iː b ɐ t̪̚
balibat	b ɐ l ɪ b a t̪̚
balibilos	b ɐ l ɪ b iː l o s
balibol	b aː l ɪ b o l
balibol	b ɐ l iː b o l
balibul	b ɐ l iː b ʊ l
balibulan	b aː l ɪ b uː l ɐ n̪
balidasyon	b ɐ l ɪ d̪ ɐ s j o n̪
balidasyon	b ɐ l ɪ d̪ ɐ ʃ o n̪
balido	b aː l ɪ d̪ o
baligho	b ɐ l ɪ ɡ h o ʔ
baligtad	b ɐ l ɪ ɡ t̪ a d̪̚
baligtarin	b ɐ l ɪ ɡ t̪ aː ɾ ɪ n̪
baligtarin	b ɐ l ɪ ɡ t̪ ɐ ɾ ɪ n̪
baliin	b ɐ l iː ʔ ɪ n̪
balik	b ɐ l ɪ k̚
balikan	b aː l iː x ɐ n̪
balikan	b ɐ l ɪ x a n̪
balikat	b ɐ l iː x ɐ t̪̚
balikatan	b aː l ɪ x ɐ t̪ a n̪
balikatin	b ɐ l ɪ x aː t̪ ɪ n̪
balikbayan	b ɐ l ɪ k b aː j ɐ n̪
balikin	b ɐ l ɪ x ɪ n̪
baliko	b ɐ l ɪ x o ʔ
baliksuwa	b ɐ l ɪ k s w a
balikswa	b ɐ l ɪ k s w a
baliktad	b ɐ l ɪ k t̪ a d̪̚
balikutsa	b ɐ l ɪ x ʊ t t͡ʃ a
balikutsa	b ɐ l ɪ x ʊ t̪ s a
balikwas	b ɐ l ɪ k w a s
baliling	b ɐ l iː l ɪ ŋ
baliling	b ɐ l ɪ l ɪ ŋ
balimbing	b ɐ l ɪ m b ɪ ŋ
balina	b ɐ l iː n̪ ɐ ʔ
balindang	b ɐ l ɪ n̪ d̪ a ŋ
balindas	b ɐ l ɪ n̪ d̪ a s
baling	b aː l ɪ ŋ
baling	b ɐ l ɪ ŋ
balinghat	b ɐ l ɪ ŋ h a t̪̚
balinghoy	b ɐ l ɪ ŋ h o ɪ̯
balingkinitan	b ɐ l ɪ ŋ k ɪ n̪ iː t̪ ɐ n̪
balingot	b ɐ l iː ŋ o t̪̚
balingot	b ɐ l ɪ ŋ o t̪̚
balinguyngoy	b ɐ l ɪ ŋ ʊ ɪ̯ ŋ o ɪ̯
balino	b ɐ l iː n̪ o
balino	b ɐ l ɪ n̪ o
balino	b ɐ l ɪ n̪ o ʔ
balinsasayaw	b ɐ l i n̪ s ɐ s ɐ j a ʊ̯
balintatao	b ɐ l ɪ n̪ t̪ ɐ t̪ ɐ ʔ o
balintataw	b ɐ l ɪ n̪ t̪ ɐ t̪ a ʊ̯
balintatawo	b ɐ l ɪ n̪ t̪ ɐ t̪ ɐ w o
balintawak	b ɐ l ɪ n̪ t̪ ɐ w a k̚
balintiyak	b ɐ l ɪ n̪ t̪ j a k̚
balintiyak	b ɐ l ɪ n̪ t͡ʃ a k̚
balintong	b ɐ l ɪ n̪ t̪ o ŋ
balintuna	b ɐ l ɪ n̪ t̪ uː n̪ ɐ ʔ
balintunay	b ɐ l ɪ n̪ t̪ uː n̪ a ɪ̯
balipik	b ɐ l iː p ɪ k̚
balisa	b ɐ l iː s ɐ
balisa	b ɐ l ɪ s a
balisakang	b ɐ l ɪ s ɐ x a ŋ
balisawsaw	b ɐ l ɪ s a ʊ̯ s a ʊ̯
baliskad	b ɐ l ɪ s k a d̪̚
balisong	b ɐ l iː s o ŋ
balisong	b ɐ l ɪ s o ŋ
balisungsong	b ɐ l ɪ s ʊ n̪ s o ŋ
balisuplingan	b ɐ l ɪ s ʊ p l iː ŋ ɐ n̪
balisuso	b ɐ l ɪ s ʊ s o ʔ
balita	b ɐ l iː t̪ ɐ ʔ
balitaan	b aː l ɪ t̪ ɐ ʔ a n̪
balitaan	b ɐ l ɪ t̪ aː ʔ ɐ n̪
balitado	b ɐ l ɪ t̪ aː d̪ o
balitaktak	b ɐ l ɪ t̪ ɐ k t̪ a k̚
balitaktakan	b ɐ l ɪ t̪ ɐ k t̪ aː x ɐ n̪
balitang	b ɐ l iː t̪ ɐ ŋ
balitok	b ɐ l iː t̪ o k̚
balitok	b ɐ l ɪ t̪ o k̚
baliw	b aː l ɪ ʊ̯
baliw	b ɐ l ɪ ʊ̯
baliwag	b ɐ l iː w ɐ ɡ̚
baliwala	b aː l ɪ w ɐ l a ʔ
baliwas	b ɐ l ɪ w a s
baliwis	b ɐ l iː w ɪ s
