A	ə
hikina	h i t i n ə
hikiāloa	h i t i j aː l o w ə
hilinaʻi	h i l i n ɐ ʔ i
hina	h i n ə
hinahina	h i n ə h i n ə
hinakā	h i n ə k aː
hio	h i j o
hipa	h i p ə
hiu	h j u
hiwa	h i ʋ ə
hiō	h i j oː
hiʻohiʻona	h i ʔ o h i ʔ o n ə
hiʻona	h i ʔ o n ə
hoa	h o w ə
hoai	h o w ɐ j
hoai	h o w ɛ j
hoakipa	h o w ə t i p ə
hoana	h o w ɐ n ə
hoe	h o w e
hoehoe	h o w e h o w e
hohoki	h o h o t i
hoikiuna	h o̯ i t j u n ə
hoki	h o t i
hokua	h o k u w ə
hola	h o l ə
holoholona	h o l o h o l o n ə
holoāiʻa	h o l o w aː i ʔ ə
honua	h o n u w ə
hopena	h o p ɛ n ə
hou	h o w
hoʻaʻā	h o ʔ ə ʔ aː
hoʻohae	h o ʔ o h ɐ e̯
hoʻohaku	h o ʔ o h ɐ k u
hoʻohala	h o ʔ o h ɐ l ə
hoʻohalahala	h o ʔ o h ɐ l ə h ɐ l ə
hoʻohana	h o ʔ o h ɐ n ə
hoʻohanini	h o ʔ o h ə n i n i
hoʻohanohano	h o ʔ o h ɐ n o h ɐ n o
hoʻohaole	h o ʔ o h ɐ o̯ l e
hoʻohaʻalulu	h o ʔ o h ə ʔ ə l u l u
hoʻohele	h o ʔ o h ɛ l ɛ
hoʻohelehele	h o ʔ o h e l ɛ h ɛ l ɛ
hoʻoheu	h o ʔ o h ɛ w
hoʻoheʻe	h o ʔ o h ɛ ʔ ɛ
hoʻohina	h o ʔ o h i n ə
hoʻohui	h o ʔ o h u w i
hoʻohāliu	h o ʔ o h aː l j u
hoʻohālāwai	h o ʔ o h aː l aː ʋ ɐ j
hoʻohālāwai	h o ʔ o h aː l aː ʋ ɛ j
hoʻoikaika	h o ʔ o w i k ɐ j k ə
hoʻoikaika	h o ʔ o w i k ɛ j k ə
hoʻoilo	h o ʔ o w i l o
hoʻokae	h o ʔ o k ɐ e̯
hoʻokahua	h o ʔ o k ə h u w ə
hoʻokala	h o ʔ o k ɐ l ə
hoʻokali	h o ʔ o k ɐ l i
hoʻokamaliʻi	h o ʔ o k ɐ m ə l i ʔ i
hoʻokani	h o ʔ o k ɐ n i
hoʻokaʻa	h o ʔ o k ɐ ʔ ə
hoʻokaʻawale	h o ʔ o k ɐ ʔ ə ʋ ɐ l e
hoʻokaʻukaʻu	h o ʔ o k ɐ ʔ u k ɐ ʔ u
hoʻokipa	h o ʔ o t i p ə
hoʻokiʻekiʻe	h o ʔ o t i ʔ e t i ʔ e
hoʻokolohua	h o ʔ o k o l o h u w ə
hoʻokua	h o ʔ o k u w ə
hoʻokuaʻāina	h o ʔ o k u w ə ʔ aː j n ə
hoʻolaka	h o ʔ o l ɐ k ə
hoʻolaukōnā	h o ʔ o l ɐ w k oː n aː
hoʻolaukōnā	h o ʔ o l ɔ w k oː n aː
hoʻolaulā	h o ʔ o l ɐ w l aː
hoʻolaulā	h o ʔ o l ɔ w l aː
hoʻolawe	h o ʔ o l ɐ ʋ e
hoʻolei	h o ʔ o l ɛ j
hoʻolimalima	h o ʔ o l i m ə l i m ə
hoʻomaha	h o ʔ o m ɐ h ə
hoʻomaikaʻi	h o ʔ o m ɐ j k ɐ ʔ i
hoʻomaikaʻi	h o ʔ o m ɛ j k ɐ ʔ i
hoʻomaka	h o ʔ o m ɐ k ə
hoʻomakaʻu	h o ʔ o m ə k ɐ ʔ u
hoʻomake	h o ʔ o m ɐ k e
hoʻomakua	h o ʔ o m ə k u w ə
hoʻomale	h o ʔ o m ɐ l e
hoʻomalihini	h o ʔ o m ɐ l i h i n i
hoʻomalolo	h o ʔ o m ə l o l o
hoʻomana	h o ʔ o m ɐ n ə
hoʻomanaʻo	h o ʔ o m ə n ɐ ʔ o
hoʻomanō	h o ʔ o m ə n oː
hoʻomaopopo	h o ʔ o m ɐ o̯ p o p o
hoʻomaʻalahi	h o ʔ o m ɐ ʔ ə l ɐ h i
hoʻomaʻamaʻa	h o ʔ o m ɐ ʔ ə m ɐ ʔ ə
hoʻomaʻau	h o ʔ o m ə ʔ ɐ w
hoʻomaʻau	h o ʔ o m ə ʔ ɔ w
hoʻomaʻemaʻe	h o ʔ o m ɐ ʔ e m ɐ ʔ e
hoʻomaʻi	h o ʔ o m ɐ ʔ i
hoʻomikanele	h o ʔ o m i k ə n ɛ l ɛ
hoʻomoana	h o ʔ o m o w ɐ n ə
hoʻomoʻa	h o ʔ o m o ʔ ə
hoʻomākeʻaka	h o ʔ o m aː k e ʔ ɐ k ə
hoʻomāʻona	h o ʔ o m aː ʔ o n ə
hoʻonalu	h o ʔ o n ɐ l u
hoʻonani	h o ʔ o n ɐ n i
hoʻonaʻauao	h o ʔ o n ə ʔ ɐ w w ɐ o̯
hoʻonaʻauao	h o ʔ o n ə ʔ ɔ w w ɐ o̯
hoʻonaʻaupō	h o ʔ o n ə ʔ ɐ w p oː
hoʻonaʻaupō	h o ʔ o n ə ʔ ɔ w p oː
hoʻoneo	n ɛ j o
hoʻoneʻe	h o ʔ o n ɛ ʔ ɛ
hoʻonuha	h o ʔ o n u h ə
hoʻonui	h o ʔ o n u w i
hoʻonuinui	h o ʔ o n u w i n u w i
hoʻopae	h o ʔ o p ɐ e̯
hoʻopalaka	h o ʔ o p ə l ɐ k ə
hoʻopau	h o ʔ o p ɐ w
hoʻopau	h o ʔ o p ɔ w
hoʻopaʻa	h o ʔ o p ɐ ʔ ə
hoʻopaʻahao	h o ʔ o p ɐ ʔ ə h ɐ o̯
hoʻopaʻanaʻau	h o ʔ o p ɐ ʔ ə n ə ʔ ɐ w
hoʻopaʻanaʻau	h o ʔ o p ɐ ʔ ə n ə ʔ ɔ w
hoʻopaʻapū	h o ʔ o p ɐ ʔ ə p uː
hoʻopelapela	h o ʔ o p ɛ l ə p ɛ l ə
hoʻopilikia	h o ʔ o p i l i t i j ə
hoʻopio	h o ʔ o p i j o
hoʻopoe	h o ʔ o p o w e
hoʻopuka	h o ʔ o p u k ə
hoʻopālua	h o ʔ o p aː l u w ə
hoʻopāweo	h o ʔ o p aː ʋ ɛ j o
hoʻopōhaku	h o ʔ o p oː h ɐ k u
hoʻopōʻai	h o ʔ o p oː ʔ ɐ j
hoʻopōʻai	h o ʔ o p oː ʔ ɛ j
hoʻouluhua	h o ʔ o u l u h u w ə
hoʻowahine	h o ʔ o ʋ ə h i n e
hoʻowela	h o ʔ o ʋ ɛ l ə
hoʻowīwī	h o ʔ o ʋ iː ʋ iː
hoʻoʻulaʻula	h o ʔ o ʔ u l ə ʔ u l ə
hoʻāhiahi	h o ʔ aː h i j ɐ h i
hoʻākoakoa	h o ʔ aː k o w ə k o w ə
hoʻākua	h o ʔ aː k u w ə
hoʻāla	h o ʔ ɐ l ə
hoʻōla	h o ʔ oː l ə
hoʻōnaha	h o ʔ oː n ɐ h ə
hoʻōnea	h o ʔ oː n ɛ j ə
hua	h u w ə
huakaʻi	h u w ə k ɐ ʔ i
huakō	h u w ə k oː
huaʻōlelo	h u w ə ʔ oː l ɛ l o
hue	h u w e
hui	h u w i
huila	h u w i l ə
huinahā	h u w i n ə h aː
huinakolu	h u w i n ə k o l u
huki	h u t i
hukialewa	h u t i j ə l ɛ ʋ ə
hula	h u l ə
hulina	h u l i n ə
huliāmahi	h u l i j aː m ɐ h i
humuhumunukunukuāpuaʻa	h u m u h u m u n u k u n u k u w aː p u w ɐ ʔ ə
huna	h u n ə
hunahuna	h u n ə h u n ə
huʻa	h u ʔ ə
huʻahuʻa	h u ʔ ə h u ʔ ə
hākiʻi	h aː t i ʔ i
hālana	h aː l ɐ n ə
hālau	h aː l ɐ w
hālau	h aː l ɔ w
hāliu	h aː l j u
hālula	h aː l u l ə
hālāwai	h aː l aː ʋ ɐ j
hālāwai	h aː l aː ʋ ɛ j
hāmeʻa	h aː m ɛ ʔ ə
hāna	h aː n ə
hānai	h aː n ɐ j
hānai	h aː n ɛ j
hānana	h aː n ɐ n ə
hānau	h aː n ɐ w
hānau	h aː n ɔ w
hāpa	h aː p ə
hāpai	h aː p ɐ j
hāpai	h aː p ɛ j
hāuna	h aː u n ə
hāʻawe	h aː ʔ aː ɐ ʋ e
hāʻawi	h aː ʔ ɐ ʋ i
hāʻāpuka	h aː ʔ aː p u k ə
hēkī	h eː t iː
hīkiʻi	h iː t i ʔ i
hīmeni	h iː m ɛ n i
hīnano	h iː n ɐ n o
hīnaʻi	h iː n ɐ ʔ i
hōkūhele	h oː k uː h ɛ l ɛ
hōkūnaʻi	h oː k uː n ɐ ʔ i
hōloʻa	h oː l o ʔ ə
hōʻae	h oː ʔ ɐ e̯
hōʻai	h oː ʔ ɐ j
hōʻai	h oː ʔ ɛ j
hōʻaiā	h oː ʔ ɐ j j aː
hōʻaiā	h oː ʔ ɛ j j aː
hōʻaiʻē	h oː ʔ ɐ j ʔ eː
hōʻaiʻē	h oː ʔ ɛ j ʔ eː
hōʻaka	h oː ʔ ɐ k ə
hōʻakaʻaka	h oː ʔ ɐ k ə ʔ ɐ k ə
hōʻalo	h oː ʔ ɐ l o
hōʻano	h oː ʔ ɐ n o
hōʻaumoe	h oː ʔ ɐ w m o w e
hōʻaumoe	h oː ʔ ɔ w m o w e
hōʻauʻau	h oː ʔ ɐ w ʔ ɐ w
hōʻauʻau	h oː ʔ ɔ w ʔ ɔ w
hōʻelemakule	h oː ʔ ɛ l ɛ m ə k u l e
hōʻoia	h oː ʔ o̯ i j ə
hōʻona	h oː ʔ o n ə
hōʻonaʻona	h oː ʔ o n ə ʔ o n ə
ia	i j ə
ianakama	i j ɐ n ə k ɐ m ə
iaʻu	i j ɐ ʔ u
ihoiho	i h o w i h o
ihola	i h o l ə
ihona	i h o n ə
ikaika	i k ɐ j k ə
ikaika	i k ɛ j k ə
ikehu	i k ɛ h u
ikiiki	i t i i t i
ilelo	i l ɛ l o
ilina	i l i n ə
inoa	i n o w ə
inumia	i n u m i j ə
iwa	i ʋ ə
iwakālua	i ʋ ə k aː l u w ə
iwi	i ʋ i
iā	i j aː
iākala	i j aː k ɐ l ə
iʻa	i ʔ ə
ka	k ə
kaena	k ɐ e̯ n ə
kaha	k ɐ h ə
kahahānai	k ə h ə h aː n ɐ j
kahahānai	k ə h ə h aː n ɛ j
kahakaha	k ə h ə k ɐ h ə
kahakai	k ə h ə k ɐ j
kahakai	k ə h ə k ɛ j
kahakō	k ə h ə k oː
kahaone	k ɐ h ə o n e
kahawai	k ɐ h ə ʋ ɐ j
kahawai	k ɐ h ə ʋ ɛ j
kahe	k ɐ h e
kahi	k ɐ h i
kahiki	k ə h i t i
kahiko	k ə h i k o
kahikolu	k ɐ h i k o l u
kahu	k ɐ h u
kahua	k ə h u w ə
kahuapaʻa	k ə h u w ə p ɐ ʔ ə
kahuna	k ə h u n ə
kai	k ɐ j
kai	k ɛ j
kaikaina	k ə j k ɐ j n ə
kaikaina	k ə j k ɛ j n ə
kaikamahine	k ɐ j k ə m ə h i n e
kaikamahine	k ɛ j k ə m ə h i n e
kaikoʻeke	k ɐ j k o ʔ ɛ k ɛ
kaikoʻeke	k ɛ j k o ʔ ɛ k ɛ
kaikuahine	k ɐ j k u w ə h i n e
kaikuahine	k ɛ j k u w ə h i n e
kaikuaʻana	k ɐ j k u w ə ʔ ɐ n ə
kaikuaʻana	k ɛ j k u w ə ʔ ɐ n ə
kaikunāne	k ɐ j k u n aː n e
kaikunāne	k ɛ j k u n aː n e
kaimana	k ə j m ɐ n ə
kaina	k ɐ j n ə
kaina	k ɛ j n ə
kainui	k ə j n u w i
kaioke	k ə j j o k e
kaka	k ɐ k ə
kakahiaka	k ɐ k ə h i j ɐ k ə
kakalina	k ə k ə l i n ə
kala	k ɐ l ə
kalaima	k ə l ɐ j m ə
kalaima	k ə l ɛ j m ə
kalaina	k ə l ɐ j n ə
kalaina	k ə l ɛ j n ə
kalaiwa	k ə l ɐ j ʋ ə
kalaiwa	k ə l ɛ j ʋ ə
kalaka	k ə l ɐ k ə
kalakala	k ɐ l ə k ɐ l ə
kalame	k ə l ɐ m e
kalapuna	k ə l ə p u n ə
kalenekalio	k ə l e n e k ə l i j o
kali	k ɐ l i
kalima	k ə l i m ə
kalipuna	k ə l i p u n ə
kalo	k ɐ l o
kaloline	k ə l o l i n e
kalukalu	k ɐ l u k ɐ l u
kama	k ɐ m ə
kamakuaka	k ɐ m ə k u w ɐ k ə
kamaliʻi	k ɐ m ə l i ʔ i
kamani	k ə m ɐ n i
kamaʻāina	k ɐ m ə ʔ aː j n ə
kamepiula	k ə m e p j u l ə
kamepuila	k ɐ m e p u w i l ə
kanaka	k ə n ɐ k ə
kanaluna	k ɐ n ə l u n ə
kanapī	k ə n ə p iː
kani	k ɐ n i
kanikau	k ɐ n i k ɐ w
kanikau	k ɐ n i k ɔ w
kao	k ɐ o̯
kaona	k ɐ o̯ n ə
kapa	k ɐ p ə
kapikala	k ɐ p i k ɐ l ə
kapuahi	k ɐ p u w ɐ h i
kau	k ɐ w
kau	k ɔ w
kaua	k ɐ w w ə
kaua	k ɔ w w ə
kauka	k ɐ w k ə
kauka	k ɔ w k ə
kaukani	k ə w k ɐ n i
kaukau	k ɐ w k ɐ w
kaukau	k ɔ w k ɔ w
kaulaʻi	k ɐ w l ɐ ʔ i
kaulaʻi	k ɔ w l ɐ ʔ i
kaumaha	k ɐ w m ɐ h ə
kaumaha	k ɔ w m ɐ h ə
kaumokuʻāina	k ɐ w m o k u ʔ aː j n ə
kaumokuʻāina	k ɔ w m o k u ʔ aː j n ə
kawa	k ɐ ʋ ə
kaʻa	k ɐ ʔ ə
kaʻaka	k ə ʔ ɐ k ə
kaʻawale	k ɐ ʔ ə ʋ ɐ l e
kaʻe	k ɐ ʔ e
kaʻi	k ɐ ʔ i
kaʻo	k ɐ ʔ o
kaʻokaʻo	k ɐ ʔ o k ɐ ʔ o
kaʻu	k ɐ ʔ u
kaʻukaʻu	k ɐ ʔ u k ɐ ʔ u
kea	k ɛ j ə
keakea	k ɛ j ə k ɛ j ə
keha	k ɛ h ə
keka	k ɛ k ə
kekele	k ɛ k ɛ l ɛ
keleawe	k e l e j ɐ ʋ e
kenekoa	k ɛ n ɛ k o w ə
keonimana	k e j o n i m ɐ n ə
kepa	k ɛ p ə
keu	k ɛ w
keʻehi	k ɛ ʔ ɛ h i
keʻena	k ɛ ʔ ɛ n ə
keʻokeʻo	k ɛ ʔ o k ɛ ʔ o
kia	t i j ə
kiawe	t i j ɐ ʋ e
kiaʻi	t i j ɐ ʔ i
kika	t i k ə
kikiki	t i t i t i
kiko	t i k o
kikokiko	t i k o t i k o
kikī	t i t iː
kila	t i l ə
kilakila	t i l ə t i l ə
kilika	t i l i k ə
kiliona	t i l i j o n ə
kilo	t i l o
kilohana	t i l o h ɐ n ə
kilohi	t i l o h i
kime	t i m e
kimu	t i m u
kinipōpō	t i n i p oː p oː
kino	t i n o
kinoea	t i n o w ɛ j ə
kinopaʻa	t i n o p ɐ ʔ ə
kinowai	t i n o ʋ ɐ j
kinowai	t i n o ʋ ɛ j
kio	t i j o
kipa	t i p ə
kipaku	t i p ɐ k u
kipi	t i p i
kipikelia	t i p i k e l i j ə
kiʻe	t i ʔ e
kiʻekiʻe	t i ʔ e t i ʔ e
kiʻi	t i ʔ i
kiʻiʻoniʻoni	t i ʔ i ʔ o n i ʔ o n i
koaea	k o w ɐ e̯ j ə
koali	k o w ɐ l i
kokoleka	k o k o l ɛ k ə
koloa	k o l o w ə
komohana	k o m o h ɐ n ə
kona	k o n ə
konakona	k o n ə k o n ə
kopa	k o p ə
kou	k o w
koʻa	k o ʔ ə
kua	k u w ə
kuahao	k u w ə h ɐ o̯
kuahine	k u w ə h i n e
kuamoʻo	k u w ə m o ʔ o
kuaʻana	k u w ə ʔ ɐ n ə
kuene	k u w ɛ n ɛ
kuhia	k u h i j ə
kuhina	k u h i n ə
kui	k u w i
kuikui	k u w i k u w i
kuka	k u k ə
kuki	k u t i
kukui	k u k u w i
kukula	k u k u l ə
kukuluaeʻo	k u k u l u w ɐ e̯ ʔ o
kula	k u l ə
kulanui	k u l ə n u w i
kulaʻi	k u l ɐ ʔ i
kuleana	k u l e j ɐ n ə
kulāiwi	k u l aː i ʋ i
kumuhana	k u m u h ɐ n ə
kumukānāwai	k u m u k aː n aː ʋ ɐ j
kumukānāwai	k u m u k aː n aː ʋ ɛ j
kumulāʻau	k u m u l aː ʔ ɐ w
kumulāʻau	k u m u l aː ʔ ɔ w
kuna	k u n ə
kupuna	k u p u n ə
kuʻihao	k u ʔ i h ɐ o̯
kuʻina	k u ʔ i n ə
kāhea	k aː h ɛ j ə
kāhewa	k aː h ɛ ʋ ə
kākau	k aː k ɐ w
kākau	k aː k ɔ w
kākela	k aː k ɛ l ə
kāki	k aː t i
kākini	k aː t i n i
kākou	k aː k o w
kālai	k aː l ɐ j
kālai	k aː l ɛ j
kālele	k aː l ɛ l ɛ
kālelei	k aː l ɛ l ɛ j
kālepa	k aː l ɛ p ə
kālua	k aː l u w ə
kālualua	k aː l u w ə l u w ə
kāmaʻa	k aː m ɐ ʔ ə
kāna	k aː n ə
kānāwai	k aː n aː ʋ ɐ j
kānāwai	k aː n aː ʋ ɛ j
kāpena	k aː p ɛ n ə
kāu	k aː w
kāua	k aː w w ə
kāwili	k aː ʋ i l i
kāʻahi	k aː ʔ ɐ h i
kāʻalo	k aː ʔ ɐ l o
kēia	k eː j j ə
kī	t iː
kīhei	t iː h ɛ j
kīhāpai	t iː h aː p ɐ j
kīhāpai	t iː h aː p ɛ j
kīkoʻo	t iː k o ʔ o
kīkī	t iː t iː
kīpuka	t iː p u k ə
kīwila	t iː ʋ i l ə
kīʻaha	t iː ʔ ɐ h ə
kōina	k oː i n ə
kōkua	k oː k u w ə
kōlea	k oː l ɛ j ə
kōnane	k oː n ɐ n e
kōpaʻa	k oː p ɐ ʔ ə
kōʻai	k oː ʔ ɐ j
kōʻai	k oː ʔ ɛ j
kōʻala	k oː ʔ ɐ l ə
kūkaepele	k uː k ə e̯ p ɛ l ɛ
kūlana	k uː l ɐ n ə
kūlanakauhale	k uː l ɐ n ə k ɐ w h ɐ l e
kūlanakauhale	k uː l ɐ n ə k ɔ w h ɐ l e
kūlou	k uː l o w
kūmau	k uː m ɐ w
kūmau	k uː m ɔ w
kūnou	k uː n o w
kūʻai	k uː ʔ ɐ j
kūʻai	k uː ʔ ɛ j
kūʻauhau	k uː ʔ ɐ w h ɐ w
kūʻauhau	k uː ʔ ɔ w h ɔ w
kūʻokoʻa	k uː ʔ o k o ʔ ə
lahilahi	l ə h i l ɐ h i
laholio	l ə h o l i j o
laka	l ɐ k ə
lala	l ɐ l ə
lalo	l ɐ l o
lana	l ɐ n ə
lanakila	l ɐ n ə t i l ə
lani	l ɐ n i
lau	l ɐ w
lau	l ɔ w
laukōnā	l ɐ w k oː n aː
laukōnā	l ɔ w k oː n aː
laulā	l ə w l aː
lauoho	l ɐ w o h o
lauoho	l ɔ w o h o
lawaiʻa	l ɐ ʋ ə i ʔ ə
lawe	l ɐ ʋ e
lawena	l ə ʋ ɛ n ə
laʻa	l ɐ ʔ ə
lehulehu	l ɛ h u l ɛ h u
lei	l ɛ j
lele	l ɛ l ɛ
lelele	l ɛ l ɛ l ɛ
lelemu	l ɛ l ɛ m u
lena	l ɛ n ə
lenalena	l ɛ n ə l ɛ n ə
leo	l ɛ j o
leoleo	l e j o l ɛ j o
lepa	l ɛ p ə
lepe	l ɛ p ɛ
lepeamoa	l ɛ p ɛ j ə m o w ə
lepelepe	l e p ɛ l ɛ p ɛ
lepelepeamoa	l e p e l e p e j ə m o w ə
lepo	l ɛ p o
lepu	l ɛ p u
lewa	l ɛ ʋ ə
leʻa	l ɛ ʔ ə
leʻo	l ɛ ʔ o
lima	l i m ə
limahana	l i m ə h ɐ n ə
limalima	l i m ə l i m ə
lio	l i j o
liona	l i j o n ə
liu	l j u
loa	l o w ə
lokomaikaʻi	l o k o m ə j k ɐ ʔ i
lolouila	l o l o w w i l ə
lonoā	l o n o w aː
loukuaka	l o w k u w ɐ k ə
lua	l u w ə
luahine	l u w ə h i n e
luakaha	l u w ə k ɐ h ə
luana	l u w ɐ n ə
luaʻi	l u w ɐ ʔ i
luma	l u m ə
lumaʻi	l u m ɐ ʔ i
luna	l u n ə
lāhui	l aː h u w i
lākana	l aː k ɐ n ə
lākou	l aː k o w
lāpaki	l aː p ɐ t i
lāua	l aː w w ə
lāʻau	l aː ʔ ɐ w
lāʻau	l aː ʔ ɔ w
lāʻiki	l aː ʔ i t i
lūauʻi	l uː ɐ w ʔ i
lūauʻi	l uː ɔ w ʔ i
ma	m ə
maha	m ɐ h ə
mahae	m ə h ɐ e̯
mahalo	m ə h ɐ l o
mahana	m ə h ɐ n ə
mahele	m ə h ɛ l ɛ
mahi	m ɐ h i
mahina	m ə h i n ə
mahiole	m ə h i j o l e
mahiʻai	m ə h i ʔ ɐ j
mahiʻai	m ə h i ʔ ɛ j
mahāha	m ə h aː h ə
mahū	m ə h uː
mai	m ɐ j
mai	m ɛ j
maikaʻi	m ə j k ɐ ʔ i
maila	m ɐ j l ə
maila	m ɛ j l ə
maile	m ɐ j l e
maile	m ɛ j l e
maipoinaiaʻu	m ɐ j p o̯ i n ə i j ɐ ʔ u
maipoinaiaʻu	m ɛ j p o̯ i n ə i j ɐ ʔ u
maiʻa	m ɐ j ʔ ə
maiʻa	m ɛ j ʔ ə
maiʻao	m ə j ʔ ɐ o̯
maka	m ɐ k ə
makaaniani	m ɐ k ə ɐ n i j ɐ n i
makahiki	m ə k ə h i t i
makai	m ə k ɐ j
makai	m ə k ɛ j
makala	m ə k ɐ l ə
makana	m ə k ɐ n ə
makanahele	m ɐ k ə n ə h ɛ l ɛ
makani	m ə k ɐ n i
makapiapia	m ɐ k ə p i j ə p i j ə
makaʻina	m ɐ k ə ʔ i n ə
makaʻu	m ə k ɐ ʔ u
make	m ɐ k e
makemake	m ɐ k e m ɐ k e
makemakika	m ɐ k e m ə t i k ə
makua	m ə k u w ə
makuahine	m ɐ k u w ə h i n e
makule	m ə k u l e
mala	m ɐ l ə
malama	m ə l ɐ m ə
male	m ɐ l e
malihini	m ə l i h i n i
malino	m ə l i n o
malo	m ɐ l o
malolo	m ə l o l o
malu	m ɐ l u
maluhia	m ə l u h i j ə
malū	m ə l uː
mama	m ɐ m ə
mamao	m ə m ɐ o̯
mamaʻo	m ə m ɐ ʔ o
mana	m ɐ n ə
manamana	m ɐ n ə m ɐ n ə
manawa	m ə n ɐ ʋ ə
manaʻo	m ə n ɐ ʔ o
manaʻolana	m ə n ɐ ʔ o l ɐ n ə
manaʻoʻiʻo	m ə n ɐ ʔ o ʔ i ʔ o
manene	m ə n ɛ n ɛ
maneʻo	m ə n ɛ ʔ o
manu	m ɐ n u
manuhelekū	m ɐ n u h ɛ l ɛ k uː
manō	m ə n oː
maoli	m ɐ o̯ l i
maopopo	m ə o̯ p o p o
mau	m ɐ w
mau	m ɔ w
mauka	m ɐ w k ə
mauka	m ɔ w k ə
mauli	m ɐ w l i
mauli	m ɔ w l i
mauna	m ɐ w n ə
mauna	m ɔ w n ə
mauʻu	m ɐ w ʔ u
mauʻu	m ɔ w ʔ u
maʻa	m ɐ ʔ ə
maʻalahi	m ɐ ʔ ə l ɐ h i
maʻamaʻa	m ɐ ʔ ə m ɐ ʔ ə
maʻemaʻe	m ə ʔ e m ɐ ʔ e
maʻi	m ɐ ʔ i
maʻo	m ɐ ʔ o
mea	m ɛ j ə
mehame	m e h ɐ m e
mehameha	m ɛ h ə m ɛ h ə
mehana	m e h ɐ n ə
mele	m ɛ l ɛ
melemele	m ɛ l ɛ m ɛ l ɛ
meli	m ɛ l i
melia	m e l i j ə
menehune	m ɛ n ɛ h u n e
mika	m i k ə
mikanele	m i k ə n ɛ l ɛ
miki	m i t i
miliona	m i l i j o n ə
mina	m i n ə
mio	m i j o
moa	m o w ə
moamoa	m o w ə m o w ə
moana	m o w ɐ n ə
moe	m o w e
moehewa	m o w ɛ h ɛ ʋ ə
moena	m o w ɛ n ə
mokuhonua	m o k u h o n u w ə
mokulele	m o k u l ɛ l ɛ
mokuʻāina	m o k u ʔ aː j n ə
momona	m o m o n ə
mona	m o n ə
monakō	m o n ə k oː
moʻa	m o ʔ ə
moʻopuna	m o ʔ o p u n ə
mua	m u w ə
mukuela	m u k u w ɛ l ə
māhaehae	m aː h ɐ e̯ h ɐ e̯
māhana	m aː h ɐ n ə
māhea	m aː h ɛ j ə
māihi	m aː j h i
māiʻuʻu	m aː j ʔ u ʔ u
mākaukau	m aː k ə w k ɐ w
mākaukau	m aː k ə w k ɔ w
mākaʻi	m aː k ɐ ʔ i
mākia	m aː t i j ə
mākou	m aː k o w
māla	m aː l ə
mālamalama	m aː l ə m ə l ɐ m ə
mālua	m aː l u w ə
mālualua	m aː l u w ə l u w ə
māmaki	m aː m ɐ t i
māua	m aː w w ə
māuna	m aː u n ə
māunauna	m aː u n ə u n ə
māʻalo	m aː ʔ ɐ l o
māʻaloʻalo	m aː ʔ ɐ l o ʔ ɐ l o
māʻeʻele	m aː ʔ ɛ ʔ ɛ l ɛ
māʻona	m aː ʔ ɐ n ə
mīka	m iː k ə
mīkini	m iː t i n i
mōakaaka	m oː ɐ k ə ɐ k ə
mōhai	m oː h ɐ j
mōhai	m oː h ɛ j
na	n ə
nae	n ɐ e̯
naha	n ɐ h ə
nahele	n ə h ɛ l ɛ
nahenahe	n ɐ h e n ɐ h e
naka	n ɐ k ə
naku	n ɐ k u
nakulu	n ə k u l u
nalo	n ɐ l o
nalu	n ɐ l u
nana	n ɐ n ə
nanahana	n ɐ n ə h ɐ n ə
nani	n ɐ n i
naʻau	n ə ʔ ɐ w
naʻau	n ə ʔ ɔ w
naʻauao	n ə ʔ ɐ w w ɐ o̯
naʻauao	n ə ʔ ɔ w w ɐ o̯
naʻaukake	n ə ʔ ɐ w k ɐ k e
naʻaukake	n ə ʔ ɔ w k ɐ k e
naʻaupō	n ə ʔ ɐ w p oː
naʻaupō	n ə ʔ ɔ w p oː
naʻauʻauā	n ə ʔ ɐ w ʔ ə w w aː
naʻauʻauā	n ə ʔ ɔ w ʔ ə w w aː
naʻi	n ɐ ʔ i
naʻu	n ɐ ʔ u
nea	n ɛ j ə
nehinei	n e h i n ɛ j
nene	n ɛ n ɛ
neo	n ɛ j o
neʻe	n ɛ ʔ ɛ
nihoa	n i h o w ə
ninaninau	n i n ə n i n ɐ w
ninaninau	n i n ə n i n ɔ w
niu	n j u
niuhi	n j u h i
noa	n o w ə
nohona	n o h o n ə
noio	n o̯ i j o
nona	n o n ə
noʻa	n o ʔ ə
noʻeau	n o ʔ e j ɐ w
noʻeau	n o ʔ e j ɔ w
nuha	n u h ə
nui	n u w i
nunuha	n u n u h ə
nāhelehele	n aː h e l ɛ h ɛ l ɛ
nāna	n aː n ə
nānahu	n aː n ɐ h u
nānaku	n aː n ɐ k u
nāu	n aː w
nāuki	n aː u t i
nīnau	n iː n ɐ w
nīnau	n iː n ɔ w
nīnauele	n iː n ə w w ɛ l ɛ
okaoka	o k ə o k ə
oki	o t i
ola	o l ə
ona	o n ə
pae	p ɐ e̯
paepae	p ɐ e̯ p ɐ e̯
paha	p ɐ h ə
pahu	p ɐ h u
pahupaʻikiʻi	p ɐ h u p ɐ ʔ i t i ʔ i
paiki	p ɐ j t i
paiki	p ɛ j t i
paila	p ɐ j l ə
paila	p ɛ j l ə
paina	p ɐ j n ə
paina	p ɛ j n ə
paio	p ɐ j j o
paio	p ɛ j j o
paka	p ɐ k ə
pakakē	p ə k ə k eː
pakū	p ə k uː
pala	p ɐ l ə
palai	p ə l ɐ j
palai	p ə l ɛ j
