Ⴁ	b
ვირტუოზობა	v i r tʼ u ɔ z ɔ b a
ვირული	v i r u l i
ვირუსი	v i r u s i
ვირუსოლოგია	v i r u s ɔ l ɔ ɡ i a
ვირჯინია	v i r d͡ʒ i n i a
ვის	v i s
ვისვენებ	v i s v ɛ n ɛ b
ვისი	v i s i
ვისტი	v i s tʼ i
ვისურვებდით	v i s u r v ɛ b d i tʰ
ვიტალიზმი	v i tʼ a l i z m i
ვიტალისტი	v i tʼ a l i s tʼ i
ვიტამინი	v i tʼ a m i n i
ვიტრინა	v i tʼ r i n a
ვიქეიფოთ	v i kʰ ɛ i pʰ ɔ tʰ
ვიქნები	v i kʰ n ɛ b i
ვიქსიკონი	v i kʰ s i kʼ ɔ n i
ვიქტორი	v i kʰ tʼ ɔ r i
ვიქტორია	v i kʰ tʼ ɔ r i a
ვიღაც	v i ɣ a t͡s
ვიყავი	v i qʼ a v i
ვიჩინა	v i t͡ʃ i n a
ვიცი	v i t͡s i
ვიწრო	v i t͡sʼ r ɔ
ვიწროდ	v i t͡sʼ r ɔ d
ვიხდი	v i x d i
ვიხდიდი	v i x d i d i
ვლაპარაკობ	v l a pʼ a r a kʼ ɔ b
ვმუშაობ	v m u ʃ a ɔ b
ვნახე	v n a x ɛ
ვნახოთ	v n a x ɔ tʰ
ვნება	v n ɛ b a
ვნებიანად	v n ɛ b i a n a d
ვნებიანი	v n ɛ b i a n i
ვოდევილი	v ɔ d ɛ v i l i
ვოკალი	v ɔ kʼ a l i
ვოკალისტი	v ɔ kʼ a l i s tʼ i
ვოკალური	v ɔ kʼ a l u r i
ვოლგოგრადი	v ɔ l ɡ ɔ ɡ r a d i
ვოლტი	v ɔ l tʼ i
ვოლფრამი	v ɔ l pʰ r a m i
ვორონეჟი	v ɔ r ɔ n ɛ ʒ i
ვრცელი	v r t͡s ɛ l i
ვრცლად	v r t͡s l a d
ვსაუბრობ	v s a u b r ɔ b
ვსვავ	v s v a v
ვსვამ	v s v a m
ვუალი	v u a l i
ვუბნობ	v u b n ɔ b
ვუთხრა	v u tʰ x r a
ვულგარიზაცია	v u l ɡ a r i z a t͡s i a
ვულგარიზმი	v u l ɡ a r i z m i
ვულგარულად	v u l ɡ a r u l a d
ვულგარული	v u l ɡ a r u l i
ვულგარულობა	v u l ɡ a r u l ɔ b a
ვულკანი	v u l kʼ a n i
ვულკანიზაცია	v u l kʼ a n i z a t͡s i a
ვულკანური	v u l kʼ a n u r i
ვუყურებ	v u qʼ u r ɛ b
ვფლობთ	v pʰ l ɔ b tʰ
ვწუხვარ	v t͡sʼ u x v a r
ვჭამ	v t͡ʃʼ a m
ვხოცავდი	v x ɔ t͡s a v d i
ზაგარი	z a ɡ a r i
ზაგრები	z a ɡ r ɛ b i
ზადენი	z a d ɛ n i
ზადი	z a d i
ზადიკი	z a d i kʼ i
ზადიკობა	z a d i kʼ ɔ b a
ზავთი	z a v tʰ i
ზავთიანი	z a v tʰ i a n i
ზავთობა	z a v tʰ ɔ b a
ზავი	z a v i
ზაზანი	z a z a n i
ზაზუნა	z a z u n a
ზაზუნი	z a z u n i
ზათქი	z a tʰ kʰ i
ზათქიანი	z a tʰ kʰ i a n i
ზაირი	z a i r i
ზაკვა	z a kʼ v a
ზალა	z a l a
ზალაყინი	z a l a qʼ i n i
ზალვანა	z a l v a n a
ზალპი	z a l pʼ i
ზალცბურგი	z a l t͡s b u r ɡ i
ზამბაკი	z a m b a kʼ i
ზამბარა	z a m b a r a
ზამბარაკი	z a m b a r a kʼ i
ზამბარაკიანი	z a m b a r a kʼ i a n i
ზამბახი	z a m b a x i
ზამბახიანი	z a m b a x i a n i
ზამბახიძე	z a m b a x i d͡z ɛ
ზამბია	z a m b i a
ზამბურაკი	z a m b u r a kʼ i
ზამთარი	z a m tʰ a r i
ზამში	z a m ʃ i
ზანგი	z a n ɡ i
ზანგურაშვილი	z a n ɡ u r a ʃ v i l i
ზანზარით	z a n z a r i tʰ
ზანური	z a n u r i
ზაპოროჟიე	z a pʼ ɔ r ɔ ʒ i ɛ
ზარალი	z a r a l i
ზარაფხანა	z a r a pʰ x a n a
ზარბაზანი	z a r b a z a n i
ზარდახშა	z a r d a x ʃ a
ზარდლი	z a r d l i
ზარი	z a r i
ზარმაცად	z a r m a t͡s a d
ზარმაცი	z a r m a t͡s i
ზატიკი	z a tʼ i kʼ i
ზაფრანა	z a pʰ r a n a
ზაფხულად	z a pʰ x u l a d
ზაფხული	z a pʰ x u l i
ზაფხულით	z a pʰ x u l i tʰ
ზაფხულის	z a pʰ x u l i s
ზაფხულმა	z a pʰ x u l m a
ზაფხულს	z a pʰ x u l s
ზაქარო	z a kʰ a r ɔ
ზაყენი	z a qʼ ɛ n i
ზდაროვა	z d a r ɔ v a
ზე	z ɛ
ზებგერითი	z ɛ b ɡ ɛ r i tʰ i
ზებრა	z ɛ b r a
ზებუნებრივად	z ɛ b u n ɛ b r i v a d
ზებუნებრივი	z ɛ b u n ɛ b r i v i
ზეგ	z ɛ ɡ
ზეგავლენა	z ɛ ɡ a v l ɛ n a
ზეგანაკვეთურად	z ɛ ɡ a n a kʼ v ɛ tʰ u r a d
ზეგანი	z ɛ ɡ a n i
ზედ	z ɛ d
ზედა	z ɛ d a
ზედადგარი	z ɛ d a d ɡ a r i
ზედამხედველი	z ɛ d a m x ɛ d v ɛ l i
ზედაპირი	z ɛ d a pʼ i r i
ზედაპირულად	z ɛ d a pʼ i r u l a d
ზედაპირული	z ɛ d a pʼ i r u l i
ზედაწელი	z ɛ d a t͡sʼ ɛ l i
ზედახორა	z ɛ d a x ɔ r a
ზედმეტი	z ɛ d m ɛ tʼ i
ზევით	z ɛ v i tʰ
ზევსი	z ɛ v s i
ზეთავს	z ɛ tʰ a v s
ზეთანამედროვე	z ɛ tʰ a n a m ɛ d r ɔ v ɛ
ზეთი	z ɛ tʰ i
ზეთისცხება	z ɛ tʰ i s t͡s x ɛ b a
ზეთისხილი	z ɛ tʰ i s x i l i
ზეთოვანი	z ɛ tʰ ɔ v a n i
ზეითუნი	z ɛ i tʰ u n i
ზეითუნის	z ɛ i tʰ u n i s
ზეიმი	z ɛ i m i
ზეინკალი	z ɛ i n kʼ a l i
ზელანდია	z ɛ l a n d i a
ზელანდიური	z ɛ l a n d i u r i
ზემო	z ɛ m ɔ
ზემოდან	z ɛ m ɔ d a n
ზემოთ	z ɛ m ɔ tʰ
ზემოქმედება	z ɛ m ɔ kʰ m ɛ d ɛ b a
ზენიტი	z ɛ n i tʼ i
ზენიტური	z ɛ n i tʼ u r i
ზეპირად	z ɛ pʼ i r a d
ზეპირი	z ɛ pʼ i r i
ზეჟანგი	z ɛ ʒ a n ɡ i
ზერელე	z ɛ r ɛ l ɛ
ზერელედ	z ɛ r ɛ l ɛ d
ზერელობა	z ɛ r ɛ l ɔ b a
ზეფირი	z ɛ pʰ i r i
ზეციური	z ɛ t͡s i u r i
ზეწარი	z ɛ t͡sʼ a r i
ზვავი	z v a v i
ზვარა	z v a r a
ზვარაკი	z v a r a kʼ i
ზვარი	z v a r i
ზვერავს	z v ɛ r a v s
ზვიგენი	z v i ɡ ɛ n i
ზვინი	z v i n i
ზვირთი	z v i r tʰ i
ზვირთცემა	z v i r tʰ t͡s ɛ m a
ზიანი	z i a n i
ზიარება	z i a r ɛ b a
ზიგზაგი	z i ɡ z a ɡ i
ზიგზაგურად	z i ɡ z a ɡ u r a d
ზიდვა	z i d v a
ზიზილა	z i z i l a
ზიზღი	z i z ɣ i
ზიზღიანად	z i z ɣ i a n a d
ზიზღიანი	z i z ɣ i a n i
ზიზღით	z i z ɣ i tʰ
ზიმბაბვე	z i m b a b v ɛ
ზირაქაშვილი	z i r a kʰ a ʃ v i l i
ზლოტი	z l ɔ tʼ i
ზმნა	z m n a
ზმნიზედა	z m n i z ɛ d a
ზმნიზედური	z m n i z ɛ d u r i
ზმნისწინი	z m n i s t͡sʼ i n i
ზოგადად	z ɔ ɡ a d a d
ზოგადი	z ɔ ɡ a d i
ზოგავს	z ɔ ɡ a v s
ზოგი	z ɔ ɡ i
ზოგიერთი	z ɔ ɡ i ɛ r tʰ i
ზოგჯერ	z ɔ ɡ d͡ʒ ɛ r
ზოდიაქო	z ɔ d i a kʰ ɔ
ზოზინა	z ɔ z i n a
ზოლებიანი	z ɔ l ɛ b i a n i
ზოლიანი	z ɔ l i a n i
ზომა	z ɔ m a
ზომვა	z ɔ m v a
ზომვადი	z ɔ m v a d i
ზომიერად	z ɔ m i ɛ r a d
ზომიერება	z ɔ m i ɛ r ɛ b a
ზომიერი	z ɔ m i ɛ r i
ზონა	z ɔ n a
ზონარი	z ɔ n a r i
ზონდი	z ɔ n d i
ზოოლოგი	z ɔ ɔ l ɔ ɡ i
ზოოლოგია	z ɔ ɔ l ɔ ɡ i a
ზოოლოგიური	z ɔ ɔ l ɔ ɡ i u r i
ზოოფილია	z ɔ ɔ pʰ i l i a
ზორბა	z ɔ r b a
ზორვა	z ɔ r v a
ზორვარი	z ɔ r v a r i
ზრდა	z r d a
ზრდასრული	z r d a s r u l i
ზრდილობა	z r d i l ɔ b a
ზრდილობიანად	z r d i l ɔ b i a n a d
ზრდილობიანი	z r d i l ɔ b i a n i
ზრდის	z r d i s
ზუგდიდი	z u ɡ d i d i
ზუთხი	z u tʰ x i
ზუმბა	z u m b a
ზუმფარა	z u m pʰ a r a
ზურაბი	z u r a b i
ზურაბიშვილი	z u r a b i ʃ v i l i
ზურგზე	z u r ɡ z ɛ
ზურგი	z u r ɡ i
ზურგჩანთა	z u r ɡ t͡ʃ a n tʰ a
ზურმუხტი	z u r m u x tʼ i
ზურნა	z u r n a
ზუსტად	z u s tʼ a d
ზუსტი	z u s tʼ i
ზღაპარი	z ɣ a pʼ a r i
ზღარბი	z ɣ a r b i
ზღვა	z ɣ v a
ზღვარი	z ɣ v a r i
ზღვის	z ɣ v i s
ზღვისიქითა	z ɣ v i s i kʰ i tʰ a
ზღვისიქითური	z ɣ v i s i kʰ i tʰ u r i
ზღვისკენ	z ɣ v i s kʼ ɛ n
ზღმარტლი	z ɣ m a r tʼ l i
ზღურბლი	z ɣ u r b l i
თ	tʰ
თაბაშირი	tʰ a b a ʃ i r i
თაგვი	tʰ a ɡ v i
თაგვისფერი	tʰ a ɡ v i s pʰ ɛ r i
თავად	tʰ a v a d
თავადი	tʰ a v a d i
თავაზიანად	tʰ a v a z i a n a d
თავაზიანი	tʰ a v a z i a n i
თავაზიანობა	tʰ a v a z i a n ɔ b a
თავანი	tʰ a v a n i
თავაშვებული	tʰ a v a ʃ v ɛ b u l i
თავაწყვეტილი	tʰ a v a t͡sʼ qʼ v ɛ tʼ i l i
თავბრუ	tʰ a v b r u
თავბრუდამხვევად	tʰ a v b r u d a m x v ɛ v a d
თავგადასავალი	tʰ a v ɡ a d a s a v a l i
თავგადსავალთა	tʰ a v ɡ a d s a v a l tʰ a
თავგანწირვა	tʰ a v ɡ a n t͡sʼ i r v a
თავგანწირული	tʰ a v ɡ a n t͡sʼ i r u l i
თავგზააბნეულად	tʰ a v ɡ z a a b n ɛ u l a d
თავდამსხმელი	tʰ a v d a m s x m ɛ l i
თავდაპირველად	tʰ a v d a pʼ i r v ɛ l a d
თავდაპირველი	tʰ a v d a pʼ i r v ɛ l i
თავდასხმა	tʰ a v d a s x m a
თავდაუზოგავად	tʰ a v d a u z ɔ ɡ a v a d
თავდაყირა	tʰ a v d a qʼ i r a
თავდაცვა	tʰ a v d a t͡s v a
თავდაცვითი	tʰ a v d a t͡s v i tʰ i
თავდაჭერილი	tʰ a v d a t͡ʃʼ ɛ r i l i
თავდაჯერებულად	tʰ a v d a d͡ʒ ɛ r ɛ b u l a d
თავდები	tʰ a v d ɛ b i
თავდებობა	tʰ a v d ɛ b ɔ b a
თავზარი	tʰ a v z a r i
თავი	tʰ a v i
თავიდან	tʰ a v i d a n
თავით	tʰ a v i tʰ
თავისებურება	tʰ a v i s ɛ b u r ɛ b a
თავისებური	tʰ a v i s ɛ b u r i
თავისთვის	tʰ a v i s tʰ v i s
თავისი	tʰ a v i s i
თავისუფალი	tʰ a v i s u pʰ a l i
თავისუფლად	tʰ a v i s u pʰ l a d
თავისუფლება	tʰ a v i s u pʰ l ɛ b a
თავკომბალა	tʰ a v kʼ ɔ m b a l a
თავლა	tʰ a v l a
თავმა	tʰ a v m a
თავმდაბალი	tʰ a v m d a b a l i
თავმდაბლად	tʰ a v m d a b l a d
თავმდაბლობა	tʰ a v m d a b l ɔ b a
თავმდაბლურად	tʰ a v m d a b l u r a d
თავმჯდომარე	tʰ a v m d͡ʒ d ɔ m a r ɛ
თავნება	tʰ a v n ɛ b a
თავნებად	tʰ a v n ɛ b a d
თავნებობა	tʰ a v n ɛ b ɔ b a
თავნებურად	tʰ a v n ɛ b u r a d
თავს	tʰ a v s
თავსაბურავი	tʰ a v s a b u r a v i
თავსატეხი	tʰ a v s a tʼ ɛ x i
თავსაფარი	tʰ a v s a pʰ a r i
თავქარიანად	tʰ a v kʰ a r i a n a d
თავქარიანი	tʰ a v kʰ a r i a n i
თავქვეშ	tʰ a v kʰ v ɛ ʃ
თავქუდმოგლეჯილი	tʰ a v kʰ u d m ɔ ɡ l ɛ d͡ʒ i l i
თავყვითელა	tʰ a v qʼ v i tʰ ɛ l a
თავშალი	tʰ a v ʃ a l i
თავშეკავება	tʰ a v ʃ ɛ kʼ a v ɛ b a
თავშეკავებულად	tʰ a v ʃ ɛ kʼ a v ɛ b u l a d
თავშესაფარი	tʰ a v ʃ ɛ s a pʰ a r i
თავშესაქცევად	tʰ a v ʃ ɛ s a kʰ t͡s ɛ v a d
თავშეუკავებლად	tʰ a v ʃ ɛ u kʼ a v ɛ b l a d
თავშეყუკავებლად	tʰ a v ʃ ɛ qʼ u kʼ a v ɛ b l a d
თავშიშველი	tʰ a v ʃ i ʃ v ɛ l i
თავხე	tʰ a v x ɛ
თავხედი	tʰ a v x ɛ d i
თავხედობა	tʰ a v x ɛ d ɔ b a
თავხედურად	tʰ a v x ɛ d u r a d
თავხედური	tʰ a v x ɛ d u r i
თათარიახნი	tʰ a tʰ a r i a x n i
თათბირი	tʰ a tʰ b i r i
თათი	tʰ a tʰ i
თათმანი	tʰ a tʰ m a n i
თათრული	tʰ a tʰ r u l i
თაიგული	tʰ a i ɡ u l i
თაკარა	tʰ a kʼ a r a
თაკარად	tʰ a kʼ a r a d
თალგამი	tʰ a l ɡ a m i
თალგამურა	tʰ a l ɡ a m u r a
თალიუმი	tʰ a l i u m i
თალმუდი	tʰ a l m u d i
თამადა	tʰ a m a d a
თამამად	tʰ a m a m a d
თამამი	tʰ a m a m i
თამარი	tʰ a m a r i
თამასა	tʰ a m a s a
თამასუქი	tʰ a m a s u kʰ i
თამაშგარე	tʰ a m a ʃ ɡ a r ɛ
თამაშგარეთ	tʰ a m a ʃ ɡ a r ɛ tʰ
თამაში	tʰ a m a ʃ i
თამაშობს	tʰ a m a ʃ ɔ b s
თამბაქო	tʰ a m b a kʰ ɔ
თამბაქოსფერი	tʰ a m b a kʰ ɔ s pʰ ɛ r i
თან	tʰ a n
თანაარსებობა	tʰ a n a a r s ɛ b ɔ b a
თანაბარი	tʰ a n a b a r i
თანაბრად	tʰ a n a b r a d
თანაგრძნობა	tʰ a n a ɡ r d͡z n ɔ b a
თანაგრძნობით	tʰ a n a ɡ r d͡z n ɔ b i tʰ
თანადროულად	tʰ a n a d r ɔ u l a d
თანადროული	tʰ a n a d r ɔ u l i
თანაზომადი	tʰ a n a z ɔ m a d i
თანამგზავრი	tʰ a n a m ɡ z a v r i
თანამგრძნობი	tʰ a n a m ɡ r d͡z n ɔ b i
თანამდებობა	tʰ a n a m d ɛ b ɔ b a
თანამედროვე	tʰ a n a m ɛ d r ɔ v ɛ
თანამედროვედ	tʰ a n a m ɛ d r ɔ v ɛ d
თანამემამულე	tʰ a n a m ɛ m a m u l ɛ
თანამოიჯარე	tʰ a n a m ɔ i d͡ʒ a r ɛ
თანამონაწილე	tʰ a n a m ɔ n a t͡sʼ i l ɛ
თანამოსაუბრე	tʰ a n a m ɔ s a u b r ɛ
თანამოძმე	tʰ a n a m ɔ d͡z m ɛ
თანამშრომელი	tʰ a n a m ʃ r ɔ m ɛ l i
თანასწორი	tʰ a n a s t͡sʼ ɔ r i
თანასწორობა	tʰ a n a s t͡sʼ ɔ r ɔ b a
თანაფარდობა	tʰ a n a pʰ a r d ɔ b a
თანაყვავილი	tʰ a n a qʼ v a v i l i
თანაშემწე	tʰ a n a ʃ ɛ m t͡sʼ ɛ
თანაც	tʰ a n a t͡s
თანაცხოვრება	tʰ a n a t͡s x ɔ v r ɛ b a
თანახმა	tʰ a n a x m a
თანახმად	tʰ a n a x m a d
თანდათან	tʰ a n d a tʰ a n
თანდათანობით	tʰ a n d a tʰ a n ɔ b i tʰ
თანდაყოლილად	tʰ a n d a qʼ ɔ l i l a d
თანდაყოლილი	tʰ a n d a qʼ ɔ l i l i
თანდებული	tʰ a n d ɛ b u l i
თანი	tʰ a n i
თანმიმდევრობა	tʰ a n m i m d ɛ v r ɔ b a
თანმიმდევრულად	tʰ a n m i m d ɛ v r u l a d
თანმხლები	tʰ a n m x l ɛ b i
თანხა	tʰ a n x a
თანხლება	tʰ a n x l ɛ b a
თანხმობა	tʰ a n x m ɔ b a
თანხმოვანი	tʰ a n x m ɔ v a n i
თაობა	tʰ a ɔ b a
თარაზო	tʰ a r a z ɔ
თარგი	tʰ a r ɡ i
თარგმანები	tʰ a r ɡ m a n ɛ b i
თარგმანი	tʰ a r ɡ m a n i
თარგმნა	tʰ a r ɡ m n a
თართი	tʰ a r tʰ i
თარიღი	tʰ a r i ɣ i
თარო	tʰ a r ɔ
თარფი	tʰ a r pʰ i
თარჯიმანი	tʰ a r d͡ʒ i m a n i
თასი	tʰ a s i
თასმა	tʰ a s m a
თაფლა	tʰ a pʰ l a
თაფლი	tʰ a pʰ l i
თაფლუჭი	tʰ a pʰ l u t͡ʃʼ i
თაღი	tʰ a ɣ i
თაღლითი	tʰ a ɣ l i tʰ i
თაღლითობა	tʰ a ɣ l i tʰ ɔ b a
თაღლითურად	tʰ a ɣ l i tʰ u r a d
თაღლითური	tʰ a ɣ l i tʰ u r i
თაყაიშვილი	tʰ a qʼ a i ʃ v i l i
თაყვანისცემა	tʰ a qʼ v a n i s t͡s ɛ m a
თახვი	tʰ a x v i
თახსირი	tʰ a x s i r i
თბილა	tʰ b i l a
თბილად	tʰ b i l a d
თბილი	tʰ b i l i
თბილისი	tʰ b i l i s i
თბილისმა	tʰ b i l i s m a
თეატრალი	tʰ ɛ a tʼ r a l i
თეატრალურად	tʰ ɛ a tʼ r a l u r a d
თეატრალური	tʰ ɛ a tʼ r a l u r i
თეატრი	tʰ ɛ a tʼ r i
თებერვალი	tʰ ɛ b ɛ r v a l i
თებო	tʰ ɛ b ɔ
თევდორე	tʰ ɛ v d ɔ r ɛ
თევზაობა	tʰ ɛ v z a ɔ b a
თევზები	tʰ ɛ v z ɛ b i
თევზი	tʰ ɛ v z i
თეზამი	tʰ ɛ z a m i
თეზისი	tʰ ɛ z i s i
თეთრეული	tʰ ɛ tʰ r ɛ u l i
თეთრი	tʰ ɛ tʰ r i
თეთრყვავილა	tʰ ɛ tʰ r qʼ v a v i l a
თეიზმი	tʰ ɛ i z m i
თეირანი	tʰ ɛ i r a n i
თეისტური	tʰ ɛ i s tʼ u r i
თეკლა	tʰ ɛ kʼ l a
თელა	tʰ ɛ l a
თელავი	tʰ ɛ l a v i
თელავს	tʰ ɛ l a v s
თელვადი	tʰ ɛ l v a d i
თელვადობა	tʰ ɛ l v a d ɔ b a
თემა	tʰ ɛ m a
თემატური	tʰ ɛ m a tʼ u r i
თემშარა	tʰ ɛ m ʃ a r a
თეო	tʰ ɛ ɔ
თეოდიცეა	tʰ ɛ ɔ d i t͡s ɛ a
თეოდოლიტი	tʰ ɛ ɔ d ɔ l i tʼ i
თეოლოგი	tʰ ɛ ɔ l ɔ ɡ i
თეოლოგია	tʰ ɛ ɔ l ɔ ɡ i a
თეოლოგიურად	tʰ ɛ ɔ l ɔ ɡ i u r a d
თეოლოგიური	tʰ ɛ ɔ l ɔ ɡ i u r i
თეორბო	tʰ ɛ ɔ r b ɔ
თეორემა	tʰ ɛ ɔ r ɛ m a
თეორეტიკოსი	tʰ ɛ ɔ r ɛ tʼ i kʼ ɔ s i
თეორია	tʰ ɛ ɔ r i a
თეორიულად	tʰ ɛ ɔ r i u l a d
თეორიული	tʰ ɛ ɔ r i u l i
თეოსოფია	tʰ ɛ ɔ s ɔ pʰ i a
თეოსოფიური	tʰ ɛ ɔ s ɔ pʰ i u r i
თერაპევტი	tʰ ɛ r a pʼ ɛ v tʼ i
თერაპევტული	tʰ ɛ r a pʼ ɛ v tʼ u l i
თერაპია	tʰ ɛ r a pʼ i a
თერთმეტი	tʰ ɛ r tʰ m ɛ tʼ i
თერმომეტრი	tʰ ɛ r m ɔ m ɛ tʼ r i
თერმოსი	tʰ ɛ r m ɔ s i
თერმოსტატი	tʰ ɛ r m ɔ s tʼ a tʼ i
თერმოსტატურად	tʰ ɛ r m ɔ s tʼ a tʼ u r a d
თერმულად	tʰ ɛ r m u l a d
თერმული	tʰ ɛ r m u l i
თერძი	tʰ ɛ r d͡z i
თესავს	tʰ ɛ s a v s
თესალონიკი	tʰ ɛ s a l ɔ n i kʼ i
თესვა	tʰ ɛ s v a
თესლდანთხევა	tʰ ɛ s l d a n tʰ x ɛ v a
თესლი	tʰ ɛ s l i
თეფში	tʰ ɛ pʰ ʃ i
თექვსმეტი	tʰ ɛ kʰ v s m ɛ tʼ i
თეძო	tʰ ɛ d͡z ɔ
თვალაკი	tʰ v a l a kʼ i
თვალახვეული	tʰ v a l a x v ɛ u l i
თვალთახედვა	tʰ v a l tʰ a x ɛ d v a
თვალთმაქცობა	tʰ v a l tʰ m a kʰ t͡s ɔ b a
თვალი	tʰ v a l i
თვალნათლივ	tʰ v a l n a tʰ l i v
თვალწარმტაცი	tʰ v a l t͡sʼ a r m tʼ a t͡s i
თვარა	tʰ v a r a
თვე	tʰ v ɛ
თვითკმაყოფილად	tʰ v i tʰ kʼ m a qʼ ɔ pʰ i l a d
თვითკმაყოფილი	tʰ v i tʰ kʼ m a qʼ ɔ pʰ i l i
თვითმარქვია	tʰ v i tʰ m a r kʰ v i a
თვითმასწავლებელი	tʰ v i tʰ m a s t͡sʼ a v l ɛ b ɛ l i
თვითმპყრობლურად	tʰ v i tʰ m pʼ qʼ r ɔ b l u r a d
თვითმფრინავი	tʰ v i tʰ m pʰ r i n a v i
თვითნასწავლი	tʰ v i tʰ n a s t͡sʼ a v l i
თვითნება	tʰ v i tʰ n ɛ b a
თვითნებად	tʰ v i tʰ n ɛ b a d
თვითნებობა	tʰ v i tʰ n ɛ b ɔ b a
თვითნებურად	tʰ v i tʰ n ɛ b u r a d
თვითნებური	tʰ v i tʰ n ɛ b u r i
თვითონ	tʰ v i tʰ ɔ n
თვისება	tʰ v i s ɛ b a
თვისტომი	tʰ v i s tʼ ɔ m i
თვლადი	tʰ v l a d i
თვლემა	tʰ v l ɛ m a
თვრამეტი	tʰ v r a m ɛ tʼ i
თიაქარი	tʰ i a kʰ a r i
თიბავს	tʰ i b a v s
თიბვა	tʰ i b v a
თივა	tʰ i v a
თივთიკი	tʰ i v tʰ i kʼ i
თითბერი	tʰ i tʰ b ɛ r i
თითი	tʰ i tʰ i
თითისტარი	tʰ i tʰ i s tʼ a r i
თითო	tʰ i tʰ ɔ
თითოეული	tʰ i tʰ ɔ ɛ u l i
თითქმის	tʰ i tʰ kʰ m i s
თითქოს	tʰ i tʰ kʰ ɔ s
თილისმა	tʰ i l i s m a
თინა	tʰ i n a
თინათინი	tʰ i n a tʰ i n i
თინუსი	tʰ i n u s i
თირი	tʰ i r i
თირკმელზედა	tʰ i r kʼ m ɛ l z ɛ d a
თირკმელი	tʰ i r kʼ m ɛ l i
თიხა	tʰ i x a
თიხოვანი	tʰ i x ɔ v a n i
თლა	tʰ l a
თლის	tʰ l i s
თმა	tʰ m a
თმიანი	tʰ m i a n i
თმიანობა	tʰ m i a n ɔ b a
თოვლი	tʰ ɔ v l i
თოვლიანი	tʰ ɔ v l i a n i
თოთხმეტი	tʰ ɔ tʰ x m ɛ tʼ i
თოკი	tʰ ɔ kʼ i
თოლია	tʰ ɔ l i a
თონე	tʰ ɔ n ɛ
თორე	tʰ ɔ r ɛ
თორემ	tʰ ɔ r ɛ m
თორი	tʰ ɔ r i
თორიუმი	tʰ ɔ r i u m i
თორმეტი	tʰ ɔ r m ɛ tʼ i
თორნე	tʰ ɔ r n ɛ
თორნიკე	tʰ ɔ r n i kʼ ɛ
თოფი	tʰ ɔ pʰ i
თოფიანი	tʰ ɔ pʰ i a n i
თოფრა	tʰ ɔ pʰ r a
თოფურია	tʰ ɔ pʰ u r i a
თოხი	tʰ ɔ x i
თოხლო	tʰ ɔ x l ɔ
თოჯინა	tʰ ɔ d͡ʒ i n a
თრგუნავს	tʰ r ɡ u n a v s
თრევა	tʰ r ɛ v a
თრთვილი	tʰ r tʰ v i l i
თრთოლა	tʰ r tʰ ɔ l a
თრიალეთი	tʰ r i a l ɛ tʰ i
თრითინა	tʰ r i tʰ i n a
თრომბი	tʰ r ɔ m b i
თუ	tʰ u
თუთა	tʰ u tʰ a
თუთია	tʰ u tʰ i a
თუთიყუში	tʰ u tʰ i qʼ u ʃ i
თუთუბო	tʰ u tʰ u b ɔ
თუთუნი	tʰ u tʰ u n i
თუთქი	tʰ u tʰ kʰ i
თულარი	tʰ u l a r i
თულიუმი	tʰ u l i u m i
თუმცა	tʰ u m t͡s a
თუნდაც	tʰ u n d a t͡s
თუნუქი	tʰ u n u kʰ i
თურინჯი	tʰ u r i n d͡ʒ i
თურმე	tʰ u r m ɛ
თურქეთად	tʰ u r kʰ ɛ tʰ a d
თურქეთი	tʰ u r kʰ ɛ tʰ i
თურქეთით	tʰ u r kʰ ɛ tʰ i tʰ
თურქეთის	tʰ u r kʰ ɛ tʰ i s
თურქეთმა	tʰ u r kʰ ɛ tʰ m a
თურქეთს	tʰ u r kʰ ɛ tʰ s
თურქი	tʰ u r kʰ i
თურქმენეთი	tʰ u r kʰ m ɛ n ɛ tʰ i
თურქული	tʰ u r kʰ u l i
თუშეთი	tʰ u ʃ ɛ tʰ i
თუშური	tʰ u ʃ u r i
თუშფალანგი	tʰ u ʃ pʰ a l a n ɡ i
თქვა	tʰ kʰ v a
თქვენ	tʰ kʰ v ɛ n
თქვენთვის	tʰ kʰ v ɛ n tʰ v i s
თქვენი	tʰ kʰ v ɛ n i
თქმა	tʰ kʰ m a
თქმით	tʰ kʰ m i tʰ
თქო	tʰ kʰ ɔ
თხა	tʰ x a
თხევადი	tʰ x ɛ v a d i
თხელი	tʰ x ɛ l i
თხელკანიანი	tʰ x ɛ l kʼ a n i a n i
თხემი	tʰ x ɛ m i
თხზავს	tʰ x z a v s
თხზულება	tʰ x z u l ɛ b a
თხილამური	tʰ x i l a m u r i
თხილი	tʰ x i l i
თხლე	tʰ x l ɛ
თხოვნა	tʰ x ɔ v n a
თხოვს	tʰ x ɔ v s
თხრილი	tʰ x r i l i
თხრობა	tʰ x r ɔ b a
თხუთმეტი	tʰ x u tʰ m ɛ tʼ i
თხუნელა	tʰ x u n ɛ l a
ია	i a
იაგუარი	i a ɡ u a r i
იავადმყოფებს	i a v a d m qʼ ɔ pʰ ɛ b s
იავნანა	i a v n a n a
იაკი	i a kʼ i
იაკობ	i a kʼ ɔ b
იაკობი	i a kʼ ɔ b i
იალბუზი	i a l b u z i
იალქანი	i a l kʰ a n i
იამაიკა	i a m a i kʼ a
იამბი	i a m b i
იანვარი	i a n v a r i
