Abae	a b a e̯
dīcēbās	d iː k eː b aː s
dīcēbātis	d iː k eː b aː t ɪ s
dīcēbātur	d iː k eː b aː t ʊ r
dīcēbō	d iː k eː b oː
dīcēminī	d iː k eː m ɪ n iː
dīcēmur	d iː k eː m ʊ r
dīcēmus	d iː k eː m ʊ s
dīcēre	d iː k eː r ɛ
dīcēris	d iː k eː r ɪ s
dīcēs	d iː k eː s
dīcētis	d iː k eː t ɪ s
dīcētur	d iː k eː t ʊ r
dīcō	d iː k oː
dīdet	d iː d ɛ t
dīe	d iː ɛ
dīgestīva	d iː ɡ ɛ s t iː w a
dīgestīva	d iː ɡ ɛ s t iː w aː
dīgestīve	d iː ɡ ɛ s t iː w ɛ
dīgestīvās	d iː ɡ ɛ s t iː w aː s
dīgestīvī	d iː ɡ ɛ s t iː w iː
dīgestīvō	d iː ɡ ɛ s t iː w oː
dīgestīvōs	d iː ɡ ɛ s t iː w oː s
dīgnōscō	d iː ŋ n oː s k oː
dīiungō	d iː j ʊ ŋ ɡ oː
dīiūnctior	d iː j uː ŋ k t i ɔ r
dīiūnctiō	d iː j uː ŋ k t i oː
dījugātiō	d iː j ʊ ɡ aː t i oː
dījugō	d iː j ʊ ɡ oː
dījūdicātiō	d iː j uː d ɪ k aː t i oː
dījūdicātrīx	d iː j uː d ɪ k aː t r iː k s
dījūdicō	d iː j uː d ɪ k oː
dījūnctiō	d iː j uː ŋ k t i oː
dīlapidātiōne	d iː ɫ a p ɪ d aː t i oː n ɛ
dīlapidātiōnem	d iː ɫ a p ɪ d aː t i oː n ẽː
dīlapidātiōnibus	d iː ɫ a p ɪ d aː t i oː n ɪ b ʊ s
dīlapidātiōnis	d iː ɫ a p ɪ d aː t i oː n ɪ s
dīlapidātiōnum	d iː ɫ a p ɪ d aː t i oː n ũː
dīlapidātiōnēs	d iː ɫ a p ɪ d aː t i oː n eː s
dīlapidātiōnī	d iː ɫ a p ɪ d aː t i oː n iː
dīlapidātor	d iː ɫ a p ɪ d aː t ɔ r
dīligente	d iː l ɪ ɡ ɛ n t ɛ
dīluvia	d iː ɫ ʊ w i a
dīluviī	d iː ɫ ʊ w i iː
dīluviīs	d iː ɫ ʊ w i iː s
dīluviō	d iː ɫ ʊ w i oː
dīluviōrum	d iː ɫ ʊ w i oː r ũː
dīlātor	d iː ɫ aː t ɔ r
dīlūcidātiōne	d iː ɫ uː k ɪ d aː t i oː n ɛ
dīlūcidātiōnis	d iː ɫ uː k ɪ d aː t i oː n ɪ s
dīlūcidō	d iː ɫ uː k ɪ d oː
dīmidiō	d iː m ɪ d i oː
dīminutīva	d iː m ɪ n ʊ t iː w a
dīminutīvum	d iː m ɪ n ʊ t iː w ũː
dīminutīvus	d iː m ɪ n ʊ t iː w ʊ s
dīminutīvī	d iː m ɪ n ʊ t iː w iː
dīminutīvīs	d iː m ɪ n ʊ t iː w iː s
dīminutīvō	d iː m ɪ n ʊ t iː w oː
dīminutīvōrum	d iː m ɪ n ʊ t iː w oː r ũː
dīmittunda	d iː m ɪ t t ʊ n d a
dīmittunda	d iː m ɪ t t ʊ n d aː
dīmittundae	d iː m ɪ t t ʊ n d a e̯
dīmittundam	d iː m ɪ t t ʊ n d ãː
dīmittunde	d iː m ɪ t t ʊ n d ɛ
dīmittundum	d iː m ɪ t t ʊ n d ũː
dīmittundus	d iː m ɪ t t ʊ n d ʊ s
dīmittundārum	d iː m ɪ t t ʊ n d aː r ũː
dīmittundās	d iː m ɪ t t ʊ n d aː s
dīmittundī	d iː m ɪ t t ʊ n d iː
dīmittundīs	d iː m ɪ t t ʊ n d iː s
dīmittundō	d iː m ɪ t t ʊ n d oː
dīmittundōrum	d iː m ɪ t t ʊ n d oː r ũː
dīmittundōs	d iː m ɪ t t ʊ n d oː s
dīnōt	d iː n oː t
dīplōmata	d iː p ɫ oː m a t a
dīre	d iː r ɛ
dīrige	d iː r ɪ ɡ ɛ
dīrigent	d iː r ɪ ɡ ɛ n t
dīrigeris	d iː r ɪ ɡ eː r ɪ s
dīrigeris	d iː r ɪ ɡ ɛ r ɪ s
dīrigunda	d iː r ɪ ɡ ʊ n d a
dīrigunda	d iː r ɪ ɡ ʊ n d aː
dīrigundae	d iː r ɪ ɡ ʊ n d a e̯
dīrigundam	d iː r ɪ ɡ ʊ n d ãː
dīrigunde	d iː r ɪ ɡ ʊ n d ɛ
dīrigundum	d iː r ɪ ɡ ʊ n d ũː
dīrigundus	d iː r ɪ ɡ ʊ n d ʊ s
dīrigundārum	d iː r ɪ ɡ ʊ n d aː r ũː
dīrigundās	d iː r ɪ ɡ ʊ n d aː s
dīrigundī	d iː r ɪ ɡ ʊ n d iː
dīrigundīs	d iː r ɪ ɡ ʊ n d iː s
dīrigundō	d iː r ɪ ɡ ʊ n d oː
dīrigundōrum	d iː r ɪ ɡ ʊ n d oː r ũː
dīrigundōs	d iː r ɪ ɡ ʊ n d oː s
dīrigī	d iː r ɪ ɡ iː
dīripuimus	d iː r ɪ p u ɪ m ʊ s
dīrēcta	d iː r eː k t a
dīrēcta	d iː r eː k t aː
dīrēcte	d iː r eː k t ɛ
dīrēctrīce	d iː r eː k t r iː k ɛ
dīrēctrīcem	d iː r eː k t r iː k ẽː
dīrēctrīcibus	d iː r eː k t r iː k ɪ b ʊ s
dīrēctrīcis	d iː r eː k t r iː k ɪ s
dīrēctrīcum	d iː r eː k t r iː k ũː
dīrēctrīcēs	d iː r eː k t r iː k eː s
dīrēctrīcī	d iː r eː k t r iː k iː
dīrēctās	d iː r eː k t aː s
dīrēctē	d iː r eː k t eː
dīrēctō	d iː r eː k t oː
dīrēctōre	d iː r eː k t oː r ɛ
dīrēctōrem	d iː r eː k t oː r ẽː
dīrēctōribus	d iː r eː k t oː r ɪ b ʊ s
dīrēctōris	d iː r eː k t oː r ɪ s
dīrēctōrum	d iː r eː k t oː r ũː
dīrēctōrēs	d iː r eː k t oː r eː s
dīrēctōrī	d iː r eː k t oː r iː
dīrēctōs	d iː r eː k t oː s
dīrēxerimus	d iː r ɛ k s ɛ r iː m ʊ s
dīrēxerimus	d iː r ɛ k s ɛ r ɪ m ʊ s
dīrēxeris	d iː r ɛ k s ɛ r iː s
dīrēxeris	d iː r ɛ k s ɛ r ɪ s
dīrēxeritis	d iː r ɛ k s ɛ r iː t ɪ s
dīrēxeritis	d iː r ɛ k s ɛ r ɪ t ɪ s
dīrō	d iː r oː
dīs	d iː s
dīte	d iː t ɛ
dītem	d iː t ẽː
dītia	d iː t i a
dītibus	d iː t ɪ b ʊ s
dītior	d iː t i ɔ r
dītis	d iː t iː s
dītis	d iː t ɪ s
dītissima	d iː t ɪ s s ɪ m a
dītissimae	d iː t ɪ s s ɪ m a e̯
dītissimam	d iː t ɪ s s ɪ m ãː
dītissime	d iː t ɪ s s ɪ m ɛ
dītissimum	d iː t ɪ s s ɪ m ũː
dītissimus	d iː t ɪ s s ɪ m ʊ s
dītissimā	d iː t ɪ s s ɪ m aː
dītissimārum	d iː t ɪ s s ɪ m aː r ũː
dītissimās	d iː t ɪ s s ɪ m aː s
dītissimē	d iː t ɪ s s ɪ m eː
dītissimī	d iː t ɪ s s ɪ m iː
dītissimīs	d iː t ɪ s s ɪ m iː s
dītissimō	d iː t ɪ s s ɪ m oː
dītissimōrum	d iː t ɪ s s ɪ m oː r ũː
dītissimōs	d iː t ɪ s s ɪ m oː s
dītium	d iː t i ũː
dītius	d iː t i ʊ s
dītiōra	d iː t i oː r a
dītiōre	d iː t i oː r ɛ
dītiōrem	d iː t i oː r ẽː
dītiōribus	d iː t i oː r ɪ b ʊ s
dītiōris	d iː t i oː r ɪ s
dītiōrum	d iː t i oː r ũː
dītiōrēs	d iː t i oː r eː s
dītiōrī	d iː t i oː r iː
dītiōrīs	d iː t i oː r iː s
dītum	d iː t ũː
dītēs	d iː t eː s
dītī	d iː t iː
dīum	d iː ũː
dīus	d iː ʊ s
dīva	d iː w a
dīva	d iː w aː
dīvae	d iː w a e̯
dīvam	d iː w ãː
dīve	d iː w ɛ
dīvergente	d iː w ɛ r ɡ ɛ n t ɛ
dīvergentēs	d iː w ɛ r ɡ ɛ n t eː s
dīversa	d iː w ɛ r s a
dīversitāte	d ɪ w ɛ r s ɪ t a t ɛ
dīversā	d iː w ɛ r s aː
dīversās	d iː w ɛ r s aː s
dīversīs	d iː w ɛ r s iː s
dīversō	d iː w ɛ r s oː
dīversōs	d iː w ɛ r s oː s
dīversū	d iː w ɛ r s uː
dīvida	d iː w ɪ d a
dīvida	d iː w ɪ d aː
dīvidam	d iː w ɪ d ãː
dīvidar	d iː w ɪ d a r
dīvidat	d iː w ɪ d a t
dīvide	d iː w ɪ d ɛ
dīvidiam	d iː w ɪ d i ãː
dīvidis	d iː w ɪ d ɪ s
dīvidiās	d iː w ɪ d i aː s
dīvidās	d iː w ɪ d aː s
dīvidēs	d iː w ɪ d eː s
dīvidī	d iː w ɪ d iː
dīvidōs	d iː w ɪ d oː s
dīvite	d iː w ɪ t ɛ
dīvitem	d iː w ɪ t ẽː
dīvitibus	d iː w ɪ t ɪ b ʊ s
dīvitior	d iː w ɪ t i ɔ r
dīvitis	d iː w ɪ t iː s
dīvitis	d iː w ɪ t ɪ s
dīvitissima	d iː w ɪ t ɪ s s ɪ m a
dīvitissimae	d iː w ɪ t ɪ s s ɪ m a e̯
dīvitissimam	d iː w ɪ t ɪ s s ɪ m ãː
dīvitissime	d iː w ɪ t ɪ s s ɪ m ɛ
dīvitissimum	d iː w ɪ t ɪ s s ɪ m ũː
dīvitissimus	d iː w ɪ t ɪ s s ɪ m ʊ s
dīvitissimā	d iː w ɪ t ɪ s s ɪ m aː
dīvitissimārum	d iː w ɪ t ɪ s s ɪ m aː r ũː
dīvitissimās	d iː w ɪ t ɪ s s ɪ m aː s
dīvitissimē	d iː w ɪ t ɪ s s ɪ m eː
dīvitissimī	d iː w ɪ t ɪ s s ɪ m iː
dīvitissimīs	d iː w ɪ t ɪ s s ɪ m iː s
dīvitissimō	d iː w ɪ t ɪ s s ɪ m oː
dīvitissimōrum	d iː w ɪ t ɪ s s ɪ m oː r ũː
dīvitissimōs	d iː w ɪ t ɪ s s ɪ m oː s
dīvitius	d iː w ɪ t i ʊ s
dīvitiōra	d iː w ɪ t i oː r a
dīvitiōre	d iː w ɪ t i oː r ɛ
dīvitiōrem	d iː w ɪ t i oː r ẽː
dīvitiōribus	d iː w ɪ t i oː r ɪ b ʊ s
dīvitiōris	d iː w ɪ t i oː r ɪ s
dīvitiōrum	d iː w ɪ t i oː r ũː
dīvitiōrēs	d iː w ɪ t i oː r eː s
dīvitiōrī	d iː w ɪ t i oː r iː
dīvitiōrīs	d iː w ɪ t i oː r iː s
dīvitum	d iː w ɪ t ũː
dīvitēs	d iː w ɪ t eː s
dīvitī	d iː w ɪ t iː
dīvom	d iː w õː
dīvulgatrīcem	d iː w ʊ ɫ ɡ a t r iː k ẽː
dīvulgatrīcibus	d iː w ʊ ɫ ɡ a t r iː k ɪ b ʊ s
dīvulgatrīcis	d iː w ʊ ɫ ɡ a t r iː k ɪ s
dīvulgatrīcum	d iː w ʊ ɫ ɡ a t r iː k ũː
dīvulgatrīcī	d iː w ʊ ɫ ɡ a t r iː k iː
dīvulgātor	d iː w ʊ ɫ ɡ aː t ɔ r
dīvulgātrīce	d iː w ʊ ɫ ɡ aː t r iː k ɛ
dīvulgātrīcēs	d iː w ʊ ɫ ɡ aː t r iː k eː s
dīvulgātōre	d iː w ʊ ɫ ɡ aː t oː r ɛ
dīvulgātōrem	d iː w ʊ ɫ ɡ aː t oː r ẽː
dīvulgātōribus	d iː w ʊ ɫ ɡ aː t oː r ɪ b ʊ s
dīvulgātōris	d iː w ʊ ɫ ɡ aː t oː r ɪ s
dīvulgātōrum	d iː w ʊ ɫ ɡ aː t oː r ũː
dīvulgātōrēs	d iː w ʊ ɫ ɡ aː t oː r eː s
dīvulgātōrī	d iː w ʊ ɫ ɡ aː t oː r iː
dīvum	d iː w ũː
dīvā	d iː w a
dīvā	d iː w aː
dīvārum	d iː w aː r ũː
dīvās	d iː w aː s
dīvī	d iː w iː
dīvīna	d iː w iː n a
dīvīnae	d iː w iː n a e̯
dīvīnam	d iː w iː n ãː
dīvīnior	d iː w iː n i ɔ r
dīvīnissima	d iː w iː n ɪ s s ɪ m a
dīvīnissimae	d iː w iː n ɪ s s ɪ m a e̯
dīvīnissimam	d iː w iː n ɪ s s ɪ m ãː
dīvīnissime	d iː w iː n ɪ s s ɪ m ɛ
dīvīnissimum	d iː w iː n ɪ s s ɪ m ũː
dīvīnissimus	d iː w iː n ɪ s s ɪ m ʊ s
dīvīnissimā	d iː w iː n ɪ s s ɪ m aː
dīvīnissimārum	d iː w iː n ɪ s s ɪ m aː r ũː
dīvīnissimās	d iː w iː n ɪ s s ɪ m aː s
dīvīnissimē	d iː w iː n ɪ s s ɪ m eː
dīvīnissimī	d iː w iː n ɪ s s ɪ m iː
dīvīnissimīs	d iː w iː n ɪ s s ɪ m iː s
dīvīnissimō	d iː w iː n ɪ s s ɪ m oː
dīvīnissimōrum	d iː w iː n ɪ s s ɪ m oː r ũː
dīvīnissimōs	d iː w iː n ɪ s s ɪ m oː s
dīvīnius	d iː w iː n i ʊ s
dīvīniōra	d iː w iː n i oː r a
dīvīniōre	d iː w iː n i oː r ɛ
dīvīniōrem	d iː w iː n i oː r ẽː
dīvīniōribus	d iː w iː n i oː r ɪ b ʊ s
dīvīniōris	d iː w iː n i oː r ɪ s
dīvīniōrum	d iː w iː n i oː r ũː
dīvīniōrēs	d iː w iː n i oː r eː s
dīvīniōrī	d iː w iː n i oː r iː
dīvīniōrīs	d iː w iː n i oː r iː s
dīvīnum	d iː w iː n ũː
dīvīnā	d iː w iː n aː
dīvīnārum	d iː w iː n aː r ũː
dīvīnās	d iː w iː n aː s
dīvīnī	d iː w iː n iː
dīvīnīs	d iː w iː n iː s
dīvīnōrum	d iː w iː n oː r ũː
dīvīnōs	d iː w iː n oː s
dīvīs	d iː w iː s
dīvīsa	d iː w iː s a
dīvīsa	d iː w iː s aː
dīvīsam	d iː w iː s ãː
dīvīse	d iː w iː s ɛ
dīvīsās	d iː w iː s aː s
dīvīsī	d iː w iː s iː
dīvīsō	d iː w iː s oː
dīvīsōs	d iː w iː s oː s
dīvō	d iː w oː
dīvōrum	d iː w oː r ũː
dīvōs	d iː w oː s
dīxeram	d iː k s ɛ r ãː
dīxerant	d iː k s ɛ r a n t
dīxerat	d iː k s ɛ r a t
dīxerim	d iː k s ɛ r ĩː
dīxerimus	d iː k s ɛ r ɪ m ʊ s
dīxerint	d iː k s ɛ r ɪ n t
dīxeris	d iː k s ɛ r ɪ s
dīxerit	d iː k s ɛ r ɪ t
dīxeritis	d iː k s ɛ r ɪ t ɪ s
dīxerāmus	d iː k s ɛ r aː m ʊ s
dīxerās	d iː k s ɛ r aː s
dīxerātis	d iː k s ɛ r aː t ɪ s
dīxerīmus	d iː k s ɛ r iː m ʊ s
dīxerīs	d iː k s ɛ r iː s
dīxerītis	d iː k s ɛ r iː t ɪ s
dīxerō	d iː k s ɛ r oː
dīxim	d iː k s ĩː
dīximus	d iː k s ɪ m ʊ s
dīxint	d iː k s ɪ n t
dīxis	d iː k s ɪ s
dīxissem	d iː k s ɪ s s ẽː
dīxissent	d iː k s ɪ s s ɛ n t
dīxisset	d iː k s ɪ s s ɛ t
dīxissēmus	d iː k s ɪ s s eː m ʊ s
dīxissēs	d iː k s ɪ s s eː s
dīxissētis	d iː k s ɪ s s eː t ɪ s
dīxistis	d iː k s ɪ s t ɪ s
dīxistī	d iː k s ɪ s t iː
dīxit	d iː k s ɪ t
dīxitis	d iː k s ɪ t ɪ s
dīxtī	d iː k s t iː
dīxēre	d iː k s eː r ɛ
dīxērunt	d iː k s eː r ʊ n t
dīxīmus	d iː k s iː m ʊ s
dīxīs	d iː k s iː s
dīxīt	d iː k s iː t
dīxītis	d iː k s iː t ɪ s
dīxō	d iː k s oː
dīā	d iː aː
dīārum	d iː aː r ũː
dīās	d iː aː s
dīī	d iː iː
dīīs	d iː iː s
dīō	d iː oː
dīōrum	d iː oː r ũː
dīōs	d iː oː s
dōdrantārius	d oː d r a n t aː r i ʊ s
dōma	d oː m a
dōna	d oː n a
dōnantī	d oː n a n t iː
dōnā	d oː n aː
dōnāre	d oː n aː r ɛ
dōnī	d oː n iː
dōricus	d oː r ɪ k ʊ s
dūcent	d uː k ɛ n t
dūcere	d uː k ɛ r ɛ
dūcunda	d uː k ʊ n d a
dūcunda	d uː k ʊ n d aː
dūcundae	d uː k ʊ n d a e̯
dūcundam	d uː k ʊ n d ãː
dūcunde	d uː k ʊ n d ɛ
dūcundum	d uː k ʊ n d ũː
dūcundus	d uː k ʊ n d ʊ s
dūcundārum	d uː k ʊ n d aː r ũː
dūcundās	d uː k ʊ n d aː s
dūcundī	d uː k ʊ n d iː
dūcundīs	d uː k ʊ n d iː s
dūcundō	d uː k ʊ n d oː
dūcundōrum	d uː k ʊ n d oː r ũː
dūcundōs	d uː k ʊ n d oː s
dūcāre	d uː k aː r ɛ
dūcēbāre	d uː k eː b aː r ɛ
dūlcamāra	d uː ɫ k a m aː r a
dūlcamāra	d uː ɫ k a m aː r aː
dūlcamāre	d uː ɫ k a m aː r ɛ
dūlcamārā	d uː ɫ k a m aː r a
dūlcamārā	d uː ɫ k a m aː r aː
dūlcamārās	d uː ɫ k a m aː r aː s
dūracine	d uː r a k ɪ n ɛ
dūratea	d uː r a t e a
dūratea	d uː r a t e aː
dūrateae	d uː r a t e a e̯
dūrateam	d uː r a t e ãː
dūratee	d uː r a t e ɛ
dūrateum	d uː r a t e ũː
dūrateārum	d uː r a t e aː r ũː
dūrateās	d uː r a t e aː s
dūrateī	d uː r a t e iː
dūrateīs	d uː r a t e iː s
dūrateō	d uː r a t e oː
dūrateōrum	d uː r a t e oː r ũː
dūrateōs	d uː r a t e oː s
dūriusculus	d uː r i ʊ s k ʊ ɫ ʊ s
dūrō	d uː r oː
dūxēre	d uː k s eː r ɛ
ea	e a
ea	e aː
eae	e a e̯
eam	e ãː
eant	e a n t
eat	e a t
ebraeus	ɛ b r a e̯ ʊ s
eccillam	ɛ k k ɪ l l ãː
eccillos	ɛ k k ɪ l l oː s
eccillud	ɛ k k ɪ l l ʊ d
eccillum	ɛ k k ɪ l l ũː
eccistum	ɛ k k ɪ s t ũː
ecfringō	ɛ k f r ɪ ŋ ɡ oː
ecfrēnō	ɛ k f r eː n oː
eclampsiae	ɛ k ɫ a m p s i a e̯
eclyptica	ɛ k l iː p t ɪ k a
eclīpse	ɛ k l iː p s ɛ
eclīpsem	ɛ k l iː p s ẽː
eclīpsēs	ɛ k l iː p s eː s
eclīptica	ɛ k l iː p t ɪ k a
eclīpticus	ɛ k l iː p t ɪ k ʊ s
ecqua	ɛ k kʷ a
ecqua	ɛ k kʷ aː
ecquī	ɛ k kʷ iː n ãː
ecquīnam	ɛ k kʷ iː n ãː
ecuadoriēnsis	ɛ kʷ a d ɔ r i ẽː s ɪ s
ecuadorēnsis	ɛ kʷ a d ɔ r ẽː s ɪ s
eculeus	ɛ k ʊ ɫ e ʊ s
ecuātōriānus	ɛ kʷ aː t oː r i aː n ʊ s
ecuātōriānās	ɛ k u aː t oː r i aː n aː s
ecuātōriānō	ɛ k u aː t oː r i aː n oː
ecuātōriānōs	ɛ k u aː t oː r i aː n oː s
edera	ɛ d ɛ r a
ederae	ɛ d ɛ r a e̯
ederam	ɛ d ɛ r ãː
edere	ɛ d ɛ r ɛ
ederis	eː d ɛ r iː s
ederis	eː d ɛ r ɪ s
ederis	ɛ d eː r ɪ s
ederis	ɛ d ɛ r ɪ s
ederārum	ɛ d ɛ r aː r ũː
ederās	ɛ d ɛ r aː s
ederīs	ɛ d ɛ r iː s
edis	ɛ d ɪ s
edit	ɛ d ɪ t
edite	ɛ d ɪ t ɛ
edmontonicus	ɛ d m ɔ n t ɔ n ɪ k ʊ s
edunda	ɛ d ʊ n d a
edunda	ɛ d ʊ n d aː
edundae	ɛ d ʊ n d a e̯
edundam	ɛ d ʊ n d ãː
edunde	ɛ d ʊ n d ɛ
edundum	ɛ d ʊ n d ũː
edundus	ɛ d ʊ n d ʊ s
edundārum	ɛ d ʊ n d aː r ũː
edundās	ɛ d ʊ n d aː s
edundī	ɛ d ʊ n d iː
edundīs	ɛ d ʊ n d iː s
edundō	ɛ d ʊ n d oː
edundōrum	ɛ d ʊ n d oː r ũː
edundōs	ɛ d ʊ n d oː s
edīs	ɛ d iː s
edō	ɛ d oː
ef	ɛ f
effectrīce	ɛ f f ɛ k t r iː k ɛ
effectrīcem	ɛ f f ɛ k t r iː k ẽː
effectrīcibus	ɛ f f ɛ k t r iː k ɪ b ʊ s
effectrīcis	ɛ f f ɛ k t r iː k ɪ s
effectrīcum	ɛ f f ɛ k t r iː k ũː
effectrīcēs	ɛ f f ɛ k t r iː k eː s
effectrīcī	ɛ f f ɛ k t r iː k iː
effectus	ɛ f f ɛ k t ʊ s
effectōre	ɛ f f ɛ k t oː r ɛ
effectōrem	ɛ f f ɛ k t oː r ẽː
effectōria	ɛ f f ɛ k t oː r i a
effectōria	ɛ f f ɛ k t oː r i aː
effectōriae	ɛ f f ɛ k t oː r i a e̯
effectōriam	ɛ f f ɛ k t oː r i ãː
effectōribus	ɛ f f ɛ k t oː r ɪ b ʊ s
effectōrie	ɛ f f ɛ k t oː r i ɛ
effectōris	ɛ f f ɛ k t oː r ɪ s
effectōrium	ɛ f f ɛ k t oː r i ũː
effectōriārum	ɛ f f ɛ k t oː r i aː r ũː
effectōriās	ɛ f f ɛ k t oː r i aː s
effectōriī	ɛ f f ɛ k t oː r i iː
effectōriīs	ɛ f f ɛ k t oː r i iː s
effectōriō	ɛ f f ɛ k t oː r i oː
effectōriōrum	ɛ f f ɛ k t oː r i oː r ũː
effectōriōs	ɛ f f ɛ k t oː r i oː s
effectōrum	ɛ f f ɛ k t oː r ũː
effectōrēs	ɛ f f ɛ k t oː r eː s
effectōrī	ɛ f f ɛ k t oː r iː
efferō	ɛ f f ɛ r oː
effice	ɛ f f ɪ k ɛ
efficient	ɛ f f ɪ k i ɛ n t
efficiente	ɛ f f ɪ k i ɛ n t ɛ
efficientēs	ɛ f f ɪ k i ɛ n t eː s
efficiunda	ɛ f f ɪ k i ʊ n d a
efficiunda	ɛ f f ɪ k i ʊ n d aː
efficiundae	ɛ f f ɪ k i ʊ n d a e̯
efficiundam	ɛ f f ɪ k i ʊ n d ãː
efficiunde	ɛ f f ɪ k i ʊ n d ɛ
efficiundum	ɛ f f ɪ k i ʊ n d ũː
efficiundus	ɛ f f ɪ k i ʊ n d ʊ s
efficiundārum	ɛ f f ɪ k i ʊ n d aː r ũː
efficiundās	ɛ f f ɪ k i ʊ n d aː s
efficiundī	ɛ f f ɪ k i ʊ n d iː
efficiundīs	ɛ f f ɪ k i ʊ n d iː s
efficiundō	ɛ f f ɪ k i ʊ n d oː
efficiundōrum	ɛ f f ɪ k i ʊ n d oː r ũː
efficiundōs	ɛ f f ɪ k i ʊ n d oː s
effluente	ɛ f f ɫ u ɛ n t ɛ
effluentem	ɛ f f ɫ u ɛ n t ẽː
effluentia	ɛ f f ɫ u ɛ n t i a
effluentibus	ɛ f f ɫ u ɛ n t ɪ b ʊ s
effluentis	ɛ f f ɫ u ɛ n t ɪ s
effluentium	ɛ f f ɫ u ɛ n t i ũː
effluentēs	ɛ f f ɫ u ɛ n t eː s
effluentī	ɛ f f ɫ u ɛ n t iː
effluentīs	ɛ f f ɫ u ɛ n t iː s
effricābere	ɛ f f r ɪ k aː b ɛ r ɛ
effricābāre	ɛ f f r ɪ k aː b aː r ɛ
effricārēre	ɛ f f r ɪ k aː r eː r ɛ
effricēre	ɛ f f r ɪ k eː r ɛ
effrixēre	ɛ f f r ɪ k s eː r ɛ
effulgent	ɛ f f ʊ ɫ ɡ ɛ n t
effēte	ɛ f f eː t ɛ
effūdit	ɛ f f uː d ɪ t
egēna	ɛ ɡ eː n a
egēna	ɛ ɡ eː n aː
egēne	ɛ ɡ eː n ɛ
egēnī	ɛ ɡ eː n iː
egēnō	ɛ ɡ eː n oː
ehem	e ɦ ẽː
ehem	e ẽː
eho	e ɔ
eho	e ɦ ɔ
ei	ɛ i̯
eia	ɛ j j a
eiius	ɛ j j ʊ s
einsteinium	ɛ i̯ n s t ɛ i̯ n i ũː
eiulātus	ɛ j j ʊ ɫ aː t uː s
eiulātus	ɛ j j ʊ ɫ aː t ʊ s
eius	ɛ j j ʊ s
eiusdem	ɛ j j ʊ s d ẽː
ejjus	ɛ j j ʊ s
ejusdem	ɛ j j ʊ s d ẽː
ejusmodī	ɛ j j ʊ s m ɔ d ɪ
el	ɛ ɫ
elamīticus	ɛ ɫ a m iː t ɪ k ʊ s
elatē	ɛ ɫ a t eː
elegātus	ɛ ɫ ɛ ɡ aː t ʊ s
elegēon	ɛ ɫ ɛ ɡ eː ɔ n
elegī	ɛ ɫ ɛ ɡ iː
elegīon	ɛ ɫ ɛ ɡ iː ɔ n
elephantinus	ɛ ɫ ɛ pʰ a n t ɪ n ʊ s
elephantīnus	ɛ ɫ ɛ pʰ a n t iː n ʊ s
elephāns	ɛ ɫ ɛ pʰ ãː s
elesitaiēnsis	ɛ ɫ ɛ s ɪ t a j j ẽː s ɪ s
eleēmosynārie	ɛ ɫ e eː m ɔ s y n aː r i ɛ
eleēmosynārium	ɛ ɫ e eː m ɔ s y n aː r i ũː
eleēmosynāriī	ɛ ɫ e eː m ɔ s y n aː r i iː
eleēmosynāriīs	ɛ ɫ e eː m ɔ s y n aː r i iː s
eleēmosynāriō	ɛ ɫ e eː m ɔ s y n aː r i oː
eleēmosynāriōrum	ɛ ɫ e eː m ɔ s y n aː r i oː r ũː
eleēmosynāriōs	ɛ ɫ e eː m ɔ s y n aː r i oː s
elgonēnsis	ɛ ɫ ɡ ɔ n ẽː s ɪ s
elluanda	ɛ l l u a n d a
elluandae	ɛ l l u a n d a e̯
elluandam	ɛ l l u a n d ãː
elluande	ɛ l l u a n d ɛ
elluandum	ɛ l l u a n d ũː
elluandā	ɛ l l u a n d aː
elluandārum	ɛ l l u a n d aː r ũː
elluandās	ɛ l l u a n d aː s
elluandī	ɛ l l u a n d iː
elluandīs	ɛ l l u a n d iː s
elluandō	ɛ l l u a n d oː
elluandōrum	ɛ l l u a n d oː r ũː
elluandōs	ɛ l l u a n d oː s
elluante	ɛ l l u a n t ɛ
elluantem	ɛ l l u a n t ẽː
elluantia	ɛ l l u a n t i a
elluantibus	ɛ l l u a n t ɪ b ʊ s
elluantis	ɛ l l u a n t ɪ s
elluantium	ɛ l l u a n t i ũː
elluantor	ɛ l l u a n t ɔ r
elluantur	ɛ l l u a n t ʊ r
elluantēs	ɛ l l u a n t eː s
elluantī	ɛ l l u a n t iː
elluantīs	ɛ l l u a n t iː s
elluentur	ɛ l l u ɛ n t ʊ r
elluer	ɛ l l u ɛ r
elluor	ɛ l l u ɔ r
elluābantur	ɛ l l u aː b a n t ʊ r
elluābar	ɛ l l u aː b a r
elluābere	ɛ l l u aː b ɛ r ɛ
elluāberis	ɛ l l u aː b ɛ r ɪ s
elluābiminī	ɛ l l u aː b ɪ m ɪ n iː
elluābimur	ɛ l l u aː b ɪ m ʊ r
elluābitur	ɛ l l u aː b ɪ t ʊ r
elluābor	ɛ l l u aː b ɔ r
elluābuntur	ɛ l l u aː b ʊ n t ʊ r
elluābāminī	ɛ l l u aː b aː m ɪ n iː
elluābāmur	ɛ l l u aː b aː m ʊ r
elluābāre	ɛ l l u aː b aː r ɛ
elluābāris	ɛ l l u aː b aː r ɪ s
elluābātur	ɛ l l u aː b aː t ʊ r
elluāminī	ɛ l l u aː m ɪ n iː
