Ѓ	ɟ ə
билјарство	b i ʎ a r s t v ɔ
билјарче	b i ʎ a r t͡ʃ ɛ
билје	b i ʎ ɛ
билјур	b i ʎ u r
билјурен	b i ʎ u ɾ ɛ n
бимбашија	b i m b a ʃ i j a
бина	b i n a
бинарен	b i n a ɾ ɛ n
бинарно	b i n a r n ɔ
бинго	b i ŋ ɡ ɔ
бинекташ	b i n ɛ k t a ʃ
бини	b i n i
биниче	b i n i t͡ʃ ɛ
бинокл	b i n ɔ k ɫ̩
бином	b i n ɔ m
бинт	b i n t
био	b i j ɔ
биограф	b i j ɔ ɡ r a f
биографија	b i j ɔ ɡ r a f i j a
биографски	b i j ɔ ɡ r a f s k i
биографски	b i ɔ ɡ r a f s k i
биодиверзитет	b i j ɔ d i v ɛ r z i t ɛ t
биоенергија	b i j ɔ ɛ n ɛ r ɡ i j a
биол	b i ɔ ɫ
биоли	b i j ɔ l i
биолог	b i j ɔ ɫ ɔ k
биологија	b i j ɔ ɫ ɔ ɡ i j a
биолошки	b i j ɔ ɫ ɔ ʃ k i
биолошки	b i ɔ ɫ ɔ ʃ k i
биомаса	b i j ɔ m a s a
биометрички	b i j ɔ m ɛ t r i t͡ʃ k i
биопсија	b i ɔ p s i j a
биоразградлив	b i j ɔ r a z ɡ r a d l i f
биоритам	b i j ɔ r i t a m
биосфера	b i j ɔ s f ɛ ɾ a
биофизика	b i j ɔ f i z i k a
биофизички	b i j ɔ f i z i t͡ʃ k i
биохемиски	b i j ɔ x ɛ m i s k i
биохемичар	b i j ɔ x ɛ m i t͡ʃ a r
биохемичари	b i j ɔ x ɛ m i t͡ʃ a ɾ i
биохемичарка	b i j ɔ x ɛ m i t͡ʃ a r k a
биохемија	b i j ɔ x ɛ m i j a
биполарност	b i p ɔ ɫ a r n ɔ s t
бира	b i ɾ a
биралишта	b i r a l i ʃ t a
биралиште	b i r a l i ʃ t ɛ
биран	b i ɾ a n
бирач	b i ɾ a t͡ʃ
бирачки	b i ɾ a t͡ʃ k i
бирајќи	b i r a j c i
бирање	b i ɾ a ɲ ɛ
бирета	b i r ɛ t a
биро	b i r ɔ
бироа	b i r ɔ a
бирократ	b i ɾ ɔ k r a t
бирократи	b i ɾ ɔ k r a t i
бирократизација	b i ɾ ɔ k r a t i z a t͡s i j a
бирократизира	b i ɾ ɔ k r a t i z i ɾ a
бирократизиран	b i ɾ ɔ k r a t i z i ɾ a n
бирократизирајќи	b i ɾ ɔ k r a t i z i r a j c i
бирократизирање	b i ɾ ɔ k r a t i z i ɾ a ɲ ɛ
бирократија	b i ɾ ɔ k r a t i j a
бирократка	b i ɾ ɔ k r a t k a
бирократски	b i r ɔ k r a t s k i
бирократски	b i ɾ ɔ k r a t s k i
биртија	b i r t i j a
бис	b i s
бисаец	b i s a ɛ t͡s
бисаогвинејски	b i s a ɔ ɡ v i n ɛ j s k i
бисајка	b i s a j k a
бисајски	b i s a j s k i
бисексуален	b i s ɛ k s u a l ɛ n
бисексуалец	b i s ɛ k s u a l ɛ t͡s
бисексуалка	b i s ɛ k s u a ɫ k a
бисексуално	b i s ɛ k s u a ɫ n ɔ
бисер	b i s ɛ r
бисерен	b i s ɛ ɾ ɛ n
бисери	b i s ɛ ɾ i
бисерка	b i s ɛ r k a
бисерче	b i s ɛ r t͡ʃ ɛ
бисквит	b i s k v i t
бискупија	b i s k u p i j a
бискупов	b i s k u p ɔ f
бискупски	b i s k u p s k i
биста	b i s t a
бистар	b i s t a r
бистиче	b i s t i t͡ʃ ɛ
бистра	b i s t r a
бистрен	b i s t r ɛ n
бистрејќи	b i s t r ɛ j c i
бистрење	b i s t r ɛ ɲ ɛ
бистри	b i s t r i
бистрина	b i s t r i n a
бистро	b i s t r ɔ
бистроумност	b i s t r ɔ u m n ɔ s t
бит	b i t
битен	b i t ɛ n
битие	b i t i j ɛ
битиса	b i t i s a
битисан	b i t i s a n
битисува	b i t i s u v a
битисувајќи	b i t i s u v a j c i
битија	b i t i j a
битка	b i t k a
битки	b i t k i
битно	b i t n ɔ
битност	b i t n ɔ s t
битов	b i t ɔ f
битолски	b i t ɔ ɫ s k i
битолско	b i t ɔ ɫ s k ɔ
битолчанец	b i t ɔ ɫ t͡ʃ a n ɛ t͡s
битолчани	b i t ɔ ɫ t͡ʃ a n i
битолчаните	b i t ɔ ɫ t͡ʃ a n i t ɛ
битолчанка	b i t ɔ ɫ t͡ʃ a ŋ k a
битолчанки	b i t ɔ ɫ t͡ʃ a ŋ k i
битолчанките	b i t ɔ ɫ t͡ʃ a ŋ k i t ɛ
битолчанче	b i t ɔ ɫ t͡ʃ a n t͡ʃ ɛ
битолчанчиња	b i t ɔ ɫ t͡ʃ a n t͡ʃ i ɲ a
битумен	b i t u m ɛ n
бифе	b i f ɛ
бифеа	b i f ɛ a
бифокален	b i f ɔ k a l ɛ n
бифокално	b i f ɔ k a ɫ n ɔ
бифтек	b i f t ɛ k
бихевиоризам	b i x ɛ v i j ɔ r i z a m
бихевиорист	b i x ɛ v i j ɔ r i s t
бихевиористички	b i x ɛ v i j ɔ r i s t i t͡ʃ k i
бицепс	b i t͡s ɛ p s
бицикла	b i t͡s i k ɫ a
бицикле	b i t͡s i k l ɛ
бич	b i t͡ʃ
бичкии	b i t͡ʃ k i i
бичкија	b i t͡ʃ k i j a
бичува	b i t͡ʃ u v a
бичуван	b i t͡ʃ u v a n
бичувајќи	b i t͡ʃ u v a j c i
бичување	b i t͡ʃ u v a ɲ ɛ
бишка	b i ʃ k a
бишкечанец	b i ʃ k ɛ t͡ʃ a n ɛ t͡s
бишкечанка	b i ʃ k ɛ t͡ʃ a ŋ k a
бишкечки	b i ʃ k ɛ t͡ʃ k i
бишки	b i ʃ k i
биљар	b i ʎ a r
биљбили	b i ʎ b i l i
биљбиљ	b i ʎ b i ʎ
биљбиљче	b i ʎ b i ʎ t͡ʃ ɛ
благ	b ɫ a k
благајна	b ɫ a ɡ a j n a
благајни	b ɫ a ɡ a j n i
благајник	b ɫ a ɡ a j n i k
благајничка	b ɫ a ɡ a j n i t͡ʃ k a
благајнички	b ɫ a ɡ a j n i t͡ʃ k i
благичок	b ɫ a ɡ i t͡ʃ ɔ k
благо	b ɫ a ɡ ɔ
благово	b ɫ a ɡ ɔ v ɔ
благоволи	b ɫ a ɡ ɔ v ɔ l i
благовремен	b ɫ a ɡ ɔ v r ɛ m ɛ n
благовремено	b ɫ a ɡ ɔ v r ɛ m ɛ n ɔ
благовременост	b ɫ a ɡ ɔ v r ɛ m ɛ n ɔ s t
благоглаголив	b ɫ a ɡ ɔ ɡ ɫ a ɡ ɔ l i f
благоглаголиво	b ɫ a ɡ ɔ ɡ ɫ a ɡ ɔ l i v ɔ
благоглаголивост	b ɫ a ɡ ɔ ɡ ɫ a ɡ ɔ l i v ɔ s t
благодарам	b ɫ a ɡ ɔ d a ɾ a m
благодарен	b ɫ a ɡ ɔ d a ɾ ɛ n
благодарно	b ɫ a ɡ ɔ d a r n ɔ
благодарност	b ɫ a ɡ ɔ d a r n ɔ s t
благодат	b ɫ a ɡ ɔ d a t
благодатен	b ɫ a ɡ ɔ d a t ɛ n
благодати	b ɫ a ɡ ɔ d a t i
благодет	b ɫ a ɡ ɔ d ɛ t
благодушен	b ɫ a ɡ ɔ d u ʃ ɛ n
благодушно	b ɫ a ɡ ɔ d u ʃ n ɔ
благодушност	b ɫ a ɡ ɔ d u ʃ n ɔ s t
благозвучност	b ɫ a ɡ ɔ z v u t͡ʃ n ɔ s t
благолик	b ɫ a ɡ ɔ l i k
благонадежен	b ɫ a ɡ ɔ n a d ɛ ʒ ɛ n
благонадежно	b ɫ a ɡ ɔ n a d ɛ ʒ n ɔ
благонаклонет	b ɫ a ɡ ɔ n a k ɫ ɔ n ɛ t
благонаклонето	b ɫ a ɡ ɔ n a k ɫ ɔ n ɛ t ɔ
благонаклонетост	b ɫ a ɡ ɔ n a k ɫ ɔ n ɛ t ɔ s t
благоно	b ɫ a ɡ ɔ n ɔ
благопријатен	b ɫ a ɡ ɔ p r i j a t ɛ n
благопријатно	b ɫ a ɡ ɔ p r i j a t n ɔ
благоразумен	b ɫ a ɡ ɔ r a z u m ɛ n
благоразумно	b ɫ a ɡ ɔ r a z u m n ɔ
благороден	b ɫ a ɡ ɔ r ɔ d ɛ n
благороден	b ɫ a ɡ ɔ ɾ ɔ d ɛ n
благородник	b ɫ a ɡ ɔ r ɔ d n i k
благородник	b ɫ a ɡ ɔ ɾ ɔ d n i k
благородници	b ɫ a ɡ ɔ r ɔ d n i t͡s i
благородничка	b ɫ a ɡ ɔ r ɔ d n i t͡ʃ k a
благороднички	b ɫ a ɡ ɔ r ɔ d n i t͡ʃ k i
благородништво	b ɫ a ɡ ɔ r ɔ d n i ʃ t v ɔ
благородно	b ɫ a ɡ ɔ ɾ ɔ d n ɔ
благородност	b ɫ a ɡ ɔ ɾ ɔ d n ɔ s t
благородство	b ɫ a ɡ ɔ ɾ ɔ t s t v ɔ
благослов	b ɫ a ɡ ɔ s ɫ ɔ f
благословен	b ɫ a ɡ ɔ s ɫ ɔ v ɛ n
благослови	b ɫ a ɡ ɔ s ɫ ɔ v i
благословува	b ɫ a ɡ ɔ s ɫ ɔ v u v a
благословуван	b ɫ a ɡ ɔ s ɫ ɔ v u v a n
благословувајќи	b ɫ a ɡ ɔ s ɫ ɔ v u v a j c i
благословување	b ɫ a ɡ ɔ s ɫ ɔ v u v a ɲ ɛ
благосостојба	b ɫ a ɡ ɔ s ɔ s t ɔ j b a
благост	b ɫ a ɡ ɔ s t
благотворен	b ɫ a ɡ ɔ t v ɔ ɾ ɛ n
благотворно	b ɫ a ɡ ɔ t v ɔ r n ɔ
благотворност	b ɫ a ɡ ɔ t v ɔ r n ɔ s t
благото	b ɫ a ɡ ɔ t ɔ
благоухание	b ɫ a ɡ ɔ u x a n i j ɛ
благочестив	b ɫ a ɡ ɔ t͡ʃ ɛ s t i f
благочестиво	b ɫ a ɡ ɔ t͡ʃ ɛ s t i v ɔ
благочестие	b ɫ a ɡ ɔ t͡ʃ ɛ s t i j ɛ
благун	b ɫ a ɡ u n
благуни	b ɫ a ɡ u n i
блада	b ɫ a d a
бладајќи	b ɫ a d a j c i
бладање	b ɫ a d a ɲ ɛ
блаженство	b ɫ a ʒ ɛ n s t v ɔ
блажина	b ɫ a ʒ i n a
блажникав	b ɫ a ʒ n i k a f
блазон	b ɫ a z ɔ n
блазони	b ɫ a z ɔ n i
блазонира	b ɫ a z ɔ n i ɾ a
блазониран	b ɫ a z ɔ n i ɾ a n
блазонирајќи	b ɫ a z ɔ n i r a j c i
блазонирања	b ɫ a z ɔ n i ɾ a ɲ a
блазонирање	b ɫ a z ɔ n i ɾ a ɲ ɛ
блам	b ɫ a m
бламира	b ɫ a m i ɾ a
бламирање	b ɫ a m i ɾ a ɲ ɛ
бланшира	b ɫ a n ʃ i ɾ a
бласфемија	b ɫ a s f ɛ m i j a
блатен	b ɫ a t ɛ n
блатиште	b ɫ a t i ʃ t ɛ
блато	b ɫ a t ɔ
блед	b l ɛ t
бледее	b l ɛ d ɛ ɛ
бледеење	b l ɛ d ɛ ɛ ɲ ɛ
бледило	b l ɛ d i ɫ ɔ
бледнее	b l ɛ d n ɛ ɛ
бледнеејќи	b l ɛ d n ɛ ɛ j c i
бледнеење	b l ɛ d n ɛ ɛ ɲ ɛ
бледникав	b l ɛ d n i k a f
бледо	b l ɛ d ɔ
бледолик	b l ɛ d ɔ l i k
бледост	b l ɛ d ɔ s t
блее	b l ɛ ɛ
блеејќи	b l ɛ ɛ j c i
блеење	b l ɛ ɛ ɲ ɛ
блен	b l ɛ n
блендер	b l ɛ n d ɛ r
блендира	b l ɛ n d i ɾ a
блендиран	b l ɛ n d i ɾ a n
блендирајќи	b l ɛ n d i r a j c i
блендирање	b l ɛ n d i ɾ a ɲ ɛ
блене	b l ɛ n ɛ
бленење	b l ɛ n ɛ ɲ ɛ
блесав	b l ɛ s a f
блесавење	b l ɛ s a v ɛ ɲ ɛ
блесаво	b l ɛ s a v ɔ
блеска	b l ɛ s k a
блескав	b l ɛ s k a f
блескаво	b l ɛ s k a v ɔ
блескавост	b l ɛ s k a v ɔ s t
блескајќи	b l ɛ s k a j c i
блескање	b l ɛ s k a ɲ ɛ
блескот	b l ɛ s k ɔ t
блескотејќи	b l ɛ s k ɔ t ɛ j c i
блескотење	b l ɛ s k ɔ t ɛ ɲ ɛ
блескоти	b l ɛ s k ɔ t i
блесне	b l ɛ s n ɛ
блеснува	b l ɛ s n u v a
блеснувајќи	b l ɛ s n u v a j c i
блеснување	b l ɛ s n u v a ɲ ɛ
блесок	b l ɛ s ɔ k
блефира	b l ɛ f i ɾ a
блефирајќи	b l ɛ f i r a j c i
блефирање	b l ɛ f i ɾ a ɲ ɛ
блеј	b l ɛ j
блејзер	b l ɛ j z ɛ r
блејзери	b l ɛ j z ɛ ɾ i
ближен	b l i ʒ ɛ n
близина	b l i z i n a
близнак	b l i z n a k
близнаци	b l i z n a t͡s i
близначе	b l i z n a t͡ʃ ɛ
близначка	b l i z n a t͡ʃ k a
близначки	b l i z n a t͡ʃ k i
близок	b l i z ɔ k
близост	b l i z ɔ s t
близу	b l i z u
блик	b l i k
блика	b l i k a
бликајќи	b l i k a j c i
бликање	b l i k a ɲ ɛ
бликне	b l i k n ɛ
бликнува	b l i k n u v a
бликнувајќи	b l i k n u v a j c i
бликнување	b l i k n u v a ɲ ɛ
блиндира	b l i n d i ɾ a
блиндиран	b l i n d i ɾ a n
блиндирајќи	b l i n d i r a j c i
блиндирање	b l i n d i ɾ a ɲ ɛ
блискоисточен	b l i s k ɔ i s t ɔ t͡ʃ ɛ n
блискост	b l i s k ɔ s t
блиску	b l i s k u
блиц	b l i t͡s
блог	b ɫ ɔ k
блогер	b ɫ ɔ ɡ ɛ r
блогери	b ɫ ɔ ɡ ɛ ɾ i
блогерка	b ɫ ɔ ɡ ɛ r k a
блогерски	b ɫ ɔ ɡ ɛ r s k i
блогира	b ɫ ɔ ɡ i ɾ a
блогови	b ɫ ɔ ɡ ɔ v i
блок	b ɫ ɔ k
блокада	b ɫ ɔ k a d a
блокира	b ɫ ɔ k i ɾ a
блокиран	b ɫ ɔ k i ɾ a n
блокирајќи	b ɫ ɔ k i r a j c i
блокирање	b ɫ ɔ k i ɾ a ɲ ɛ
блокови	b ɫ ɔ k ɔ v i
блокче	b ɫ ɔ k t͡ʃ ɛ
блондин	b ɫ ɔ n d i ŋ k a
блондинка	b ɫ ɔ n d i ŋ k a
блувотина	b ɫ u v ɔ t i n a
блуд	b ɫ u t
блуден	b ɫ u d ɛ n
блудец	b ɫ u d ɛ t͡s
блудник	b ɫ u d n i k
блудница	b ɫ u d n i t͡s a
блудницата	b ɫ u d n i t͡s a t a
блудници	b ɫ u d n i t͡s i
блудничејќи	b ɫ u d n i t͡ʃ ɛ j c i
блудничење	b ɫ u d n i t͡ʃ ɛ ɲ ɛ
блудничи	b ɫ u d n i t͡ʃ i
блуднички	b ɫ u d n i t͡ʃ k i
блудно	b ɫ u d n ɔ
блудност	b ɫ u d n ɔ s t
блудствува	b ɫ u t s t v u v a
блудствувајќи	b ɫ u t s t v u v a j c i
блудствување	b ɫ u t s t v u v a ɲ ɛ
блудци	b ɫ u t t͡s i
блуе	b ɫ u ɛ
блуејќи	b ɫ u ɛ j c i
блуење	b ɫ u ɛ ɲ ɛ
блуз	b ɫ u s
блуза	b ɫ u z a
блузи	b ɫ u z i
блузиче	b ɫ u z i t͡ʃ ɛ
блузичка	b ɫ u z i t͡ʃ k a
блузон	b ɫ u z ɔ n
блуткав	b ɫ u t k a f
блуткавост	b ɫ u t k a v ɔ s t
боа	b ɔ a
боб	b ɔ p
бобинка	b ɔ b i ŋ k a
бовча	b ɔ f t͡ʃ a
бовче	b ɔ f t͡ʃ ɛ
бог	b ɔ k
богат	b ɔ ɡ a t
богаташ	b ɔ ɡ a t a ʃ
богаташи	b ɔ ɡ a t a ʃ i
богаташка	b ɔ ɡ a t a ʃ k a
богаташки	b ɔ ɡ a t a ʃ k i
богатник	b ɔ ɡ a t n i k
богатница	b ɔ ɡ a t n i t͡s a
богатници	b ɔ ɡ a t n i t͡s i
богато	b ɔ ɡ a t ɔ
богатства	b ɔ ɡ a t s t v a
богатство	b ɔ ɡ a t s t v ɔ
богдански	b ɔ ɡ d a n s k i
богданчанец	b ɔ ɡ d a n t͡ʃ a n ɛ t͡s
богданчанка	b ɔ ɡ d a n t͡ʃ a ŋ k a
богиња	b ɔ ɡ i ɲ a
богињи	b ɔ ɡ i ɲ i
богобојазлив	b ɔ ɡ ɔ b ɔ j a z l i f
богобојазливо	b ɔ ɡ ɔ b ɔ j a z l i v ɔ
богобојазливост	b ɔ ɡ ɔ b ɔ j a z l i v ɔ s t
богови	b ɔ ɡ ɔ v i
боговите	b ɔ ɡ ɔ v i t ɛ
богомил	b ɔ ɡ ɔ m i ɫ
богомилски	b ɔ ɡ ɔ m i ɫ s k i
богомолка	b ɔ ɡ ɔ m ɔ ɫ k a
богомолки	b ɔ ɡ ɔ m ɔ ɫ k i
богомолство	b ɔ ɡ ɔ m ɔ ɫ s t v ɔ
богородица	b ɔ ɡ ɔ r ɔ d i t͡s a
богородичен	b ɔ ɡ ɔ r ɔ d i t͡ʃ ɛ n
богослов	b ɔ ɡ ɔ s ɫ ɔ f
богословен	b ɔ ɡ ɔ s ɫ ɔ v ɛ n
богословец	b ɔ ɡ ɔ s ɫ ɔ v ɛ t͡s
богослови	b ɔ ɡ ɔ s ɫ ɔ v i
богословие	b ɔ ɡ ɔ s ɫ ɔ v i j ɛ
богословија	b ɔ ɡ ɔ s ɫ ɔ v i j a
богословци	b ɔ ɡ ɔ s ɫ ɔ f t͡s i
богослужбен	b ɔ ɡ ɔ s ɫ u ʒ b ɛ n
богослужение	b ɔ ɡ ɔ s ɫ u ʒ ɛ n i j ɛ
боготворен	b ɔ ɡ ɔ t v ɔ ɾ ɛ n
боготворејќи	b ɔ ɡ ɔ t v ɔ r ɛ j c i
боготворење	b ɔ ɡ ɔ t v ɔ ɾ ɛ ɲ ɛ
боготвори	b ɔ ɡ ɔ t v ɔ ɾ i
боготски	b ɔ ɡ ɔ t s k i
боготјанец	b ɔ ɡ ɔ t j a n ɛ t͡s
боготјанка	b ɔ ɡ ɔ t j a ŋ k a
богоугоден	b ɔ ɡ ɔ u ɡ ɔ d ɛ n
богоугодно	b ɔ ɡ ɔ u ɡ ɔ d n ɔ
богохулен	b ɔ ɡ ɔ x u l ɛ n
богохулник	b ɔ ɡ ɔ x u ɫ n i k
богохулница	b ɔ ɡ ɔ x u ɫ n i t͡s a
богохулници	b ɔ ɡ ɔ x u ɫ n i t͡s i
богохулнички	b ɔ ɡ ɔ x u ɫ n i t͡ʃ k i
богохулно	b ɔ ɡ ɔ x u ɫ n ɔ
богохулство	b ɔ ɡ ɔ x u ɫ s t v ɔ
богољубец	b ɔ ɡ ɔ ʎ u b ɛ t͡s
богољубив	b ɔ ɡ ɔ ʎ u b i f
богољубиво	b ɔ ɡ ɔ ʎ u b i v ɔ
бод	b ɔ t
бода	b ɔ d a
бодар	b ɔ d a r
боде	b ɔ d ɛ
бодеж	b ɔ d ɛ ʃ
боден	b ɔ d ɛ n
бодејќи	b ɔ d ɛ j c i
бодење	b ɔ d ɛ ɲ ɛ
боди	b ɔ d i
бодибилдер	b ɔ d i b i ɫ d ɛ r
бодибилдерка	b ɔ d i b i ɫ d ɛ r k a
бодибилдинг	b ɔ d i b i ɫ d i ŋ k
бодира	b ɔ d i ɾ a
бодликав	b ɔ d l i k a f
бодликаво	b ɔ d l i k a v ɔ
бодовен	b ɔ d ɔ v ɛ n
бодови	b ɔ d ɔ v i
бодрен	b ɔ d r ɛ n
бодрејќи	b ɔ d r ɛ j c i
бодрење	b ɔ d r ɛ ɲ ɛ
бодри	b ɔ d r i
бодро	b ɔ d r ɔ
бодрост	b ɔ d r ɔ s t
бодрумски	b ɔ d r u m s k i
бодува	b ɔ d u v a
бодуван	b ɔ d u v a n
бодување	b ɔ d u v a ɲ ɛ
боем	b ɔ ɛ m
боеми	b ɔ ɛ m i
боемски	b ɔ ɛ m s k i
боен	b ɔ ɛ n
боенка	b ɔ ɛ ŋ k a
боејќи	b ɔ ɛ j c i
боење	b ɔ ɛ ɲ ɛ
божанка	b ɔ ʒ a ŋ k a
божанки	b ɔ ʒ a ŋ k i
боже	b ɔ ʒ ɛ
божем	b ɔ ʒ ɛ m
божемен	b ɔ ʒ ɛ m ɛ n
божемно	b ɔ ʒ ɛ m n ɔ
божества	b ɔ ʒ ɛ s t v a
божествен	b ɔ ʒ ɛ s t v ɛ n
божествено	b ɔ ʒ ɛ s t v ɛ n ɔ
божественост	b ɔ ʒ ɛ s t v ɛ n ɔ s t
божество	b ɔ ʒ ɛ s t v ɔ
божила	b ɔ ʒ i ɫ a
божилак	b ɔ ʒ i ɫ a k
божило	b ɔ ʒ i ɫ ɔ
божица	b ɔ ʒ i t͡s a
божици	b ɔ ʒ i t͡s i
божиќен	b ɔ ʒ i c ɛ n
божиќно	b ɔ ʒ i c n ɔ
божур	b ɔ ʒ u r
божурига	b ɔ ʒ u ɾ i ɡ a
божуриги	b ɔ ʒ u ɾ i ɡ i
божурика	b ɔ ʒ u ɾ i k a
божурики	b ɔ ʒ u ɾ i k i
божја	b ɔ ʒ j a
божјак	b ɔ ʒ j a k
божјаци	b ɔ ʒ j a t͡s i
божји	b ɔ ʒ j i
боз	b ɔ s
боза	b ɔ z a
боздоган	b ɔ z d ɔ ɡ a n
боздогани	b ɔ z d ɔ ɡ a n i
бозел	b ɔ z ɛ ɫ
бози	b ɔ z i
бозон	b ɔ z ɔ n
бозје	b ɔ z j ɛ
бои	b ɔ i
боица	b ɔ i t͡s a
боиче	b ɔ i t͡ʃ ɛ
боичка	b ɔ i t͡ʃ k a
боишта	b ɔ i ʃ t a
боиште	b ɔ i ʃ t ɛ
бок	b ɔ k
бокал	b ɔ k a ɫ
бокали	b ɔ k a l i
бокалче	b ɔ k a ɫ t͡ʃ ɛ
боклук	b ɔ k ɫ u k
бокс	b ɔ k s
боксер	b ɔ k s ɛ r
боксери	b ɔ k s ɛ ɾ i
боксерка	b ɔ k s ɛ r k a
боксерки	b ɔ k s ɛ r k i
боксерски	b ɔ k s ɛ r s k i
боксирање	b ɔ k s i ɾ a ɲ ɛ
боксит	b ɔ k s i t
боксови	b ɔ k s ɔ v i
бол	b ɔ ɫ
болва	b ɔ ɫ v a
болвиче	b ɔ ɫ v i t͡ʃ ɛ
болвичка	b ɔ ɫ v i t͡ʃ k a
боледува	b ɔ l ɛ d u v a
боледувајќи	b ɔ l ɛ d u v a j c i
боледување	b ɔ l ɛ d u v a ɲ ɛ
болежлив	b ɔ l ɛ ʒ l i f
болежливо	b ɔ l ɛ ʒ l i v ɔ
болежливост	b ɔ l ɛ ʒ l i v ɔ s t
болезливост	b ɔ l ɛ z l i v ɔ s t
болен	b ɔ l ɛ n
болеснички	b ɔ l ɛ s n i t͡ʃ k i
болест	b ɔ l ɛ s t
болести	b ɔ l ɛ s t i
болештина	b ɔ l ɛ ʃ t i n a
болештиње	b ɔ l ɛ ʃ t i ɲ ɛ
болејќи	b ɔ l ɛ j c i
болење	b ɔ l ɛ ɲ ɛ
боли	b ɔ l i
боливач	b ɔ l i v a t͡ʃ
боливиски	b ɔ l i v i s k i
болид	b ɔ l i t
болка	b ɔ ɫ k a
болки	b ɔ ɫ k i
болник	b ɔ ɫ n i k
болница	b ɔ ɫ n i t͡s a
болничар	b ɔ ɫ n i t͡ʃ a r
болничарка	b ɔ ɫ n i t͡ʃ a r k a
болничарски	b ɔ ɫ n i t͡ʃ a r s k i
болнички	b ɔ ɫ n i t͡ʃ k i
болно	b ɔ ɫ n ɔ
болови	b ɔ ɫ ɔ v i
болсне	b ɔ ɫ s n ɛ
болснува	b ɔ ɫ s n u v a
болснување	b ɔ ɫ s n u v a ɲ ɛ
болшевизам	b ɔ ɫ ʃ ɛ v i z a m
болшевик	b ɔ ɫ ʃ ɛ v i k
болјар	b ɔ ʎ a r
болјари	b ɔ ʎ a ɾ i
бомба	b ɔ m b a
бомбардер	b ɔ m b a r d ɛ r
бомбардира	b ɔ m b a r d i ɾ a
бомбардиран	b ɔ m b a r d i ɾ a n
бомбардирајќи	b ɔ m b a r d i r a j c i
бомбардирање	b ɔ m b a r d i ɾ a ɲ ɛ
бомбастичен	b ɔ m b a s t i t͡ʃ ɛ n
бомбастично	b ɔ m b a s t i t͡ʃ n ɔ
бомбаш	b ɔ m b a ʃ
бомби	b ɔ m b i
бомбица	b ɔ m b i t͡s a
бомбици	b ɔ m b i t͡s i
бомбиче	b ɔ m b i t͡ʃ ɛ
бомбичиња	b ɔ m b i t͡ʃ i ɲ a
бомбичка	b ɔ m b i t͡ʃ k a
бомбички	b ɔ m b i t͡ʃ k i
бомбона	b ɔ m b ɔ n a
бон	b ɔ n
бонбона	b ɔ m b ɔ n a
бонбони	b ɔ m b ɔ n i
бонбониера	b ɔ m b ɔ n i ɛ ɾ a
бонбониера	b ɔ m b ɔ ɲ ɛ ɾ a
бонбониери	b ɔ m b ɔ ɲ ɛ ɾ i
бонбонче	b ɔ m b ɔ n t͡ʃ ɛ
бонитет	b ɔ n i t ɛ t
бонсаи	b ɔ n s a i
бонтон	b ɔ n t ɔ n
бонус	b ɔ n u s
бонче	b ɔ n t͡ʃ ɛ
бор	b ɔ r
бора	b ɔ ɾ a
боранија	b ɔ r a n i j a
борач	b ɔ ɾ a t͡ʃ
борачи	b ɔ ɾ a t͡ʃ i
борачки	b ɔ ɾ a t͡ʃ k i
борба	b ɔ r b a
борбен	b ɔ r b ɛ n
борбено	b ɔ r b ɛ n ɔ
борбеност	b ɔ r b ɛ n ɔ s t
борби	b ɔ r b i
борбичка	b ɔ r b i t͡ʃ k a
борд	b ɔ r t
бордел	b ɔ r d ɛ ɫ
бордо	b ɔ r d ɔ
бордура	b ɔ r d u ɾ a
борец	b ɔ ɾ ɛ t͡s
боречки	b ɔ ɾ ɛ t͡ʃ k i
борејќи	b ɔ r ɛ j c i
борење	b ɔ ɾ ɛ ɲ ɛ
бори	b ɔ ɾ i
борина	b ɔ ɾ i n a
бориум	b ɔ ɾ i j u m
борија	b ɔ ɾ i j a
бормашина	b ɔ r m a ʃ i n a
боров	b ɔ ɾ ɔ f
борови	b ɔ ɾ ɔ v i
боровина	b ɔ r ɔ v i n a
боровинка	b ɔ r ɔ v i ŋ k a
боровинки	b ɔ r ɔ v i ŋ k i
боровишта	b ɔ r ɔ v i ʃ t a
боровиште	b ɔ r ɔ v i ʃ t ɛ
боровник	b ɔ ɾ ɔ v n i k
боровникот	b ɔ r ɔ v n i k ɔ t
боровница	b ɔ r ɔ v n i t͡s a
боровници	b ɔ r ɔ v n i t͡s i
борон	b ɔ ɾ ɔ n
борци	b ɔ r t͡s i
борч	b ɔ r t͡ʃ
борче	b ɔ r t͡ʃ ɛ
борчлија	b ɔ r t͡ʃ l i j a
борје	b ɔ r j ɛ
бос	b ɔ s
боса	b ɔ s a
босанска	b ɔ s a n s k a
босански	b ɔ s a n s k i
босилек	b ɔ s i l ɛ k
босилок	b ɔ s i ɫ ɔ k
босичок	b ɔ s i t͡ʃ ɔ k
боска	b ɔ s k a
боски	b ɔ s k i
босоног	b ɔ s ɔ n ɔ k
бостан	b ɔ s t a n
босфорски	b ɔ s f ɔ r s k i
бот	b ɔ t
ботаника	b ɔ t a n i k a
ботаничар	b ɔ t a n i t͡ʃ a r
ботаничарка	b ɔ t a n i t͡ʃ a r k a
ботови	b ɔ t ɔ v i
ботокс	b ɔ t ɔ k s
бофл	b ɔ f ɫ̩
боца	b ɔ t͡s a
