'ntós	n t o s
cares	k a ɾ e s
cargaderu	k a ɾ ɡ a d e ɾ u
cariegu	k a ɾ j e ɡ u
carifu	k a ɾ i f u
Carlinos	k a ɾ l i n o s
carne	k a ɾ n e
carniegu	k a ɾ n j e ɡ u
carrera	k a r e ɾ a
Carreño	k a r e ɲ o
carru	k a r u
carrucha	k a r u t͡ʃ a
carta	k a ɾ t a
cartera	k a ɾ t e ɾ a
cartiar	k a ɾ t j a ɾ
casariegu	k a s a ɾ j e ɡ u
cascoxu	k a s k o ʃ u
casiegu	k a s j e ɡ u
castaña	k a s t a ɲ a
castañal	k a s t a ɲ a l
castañona	k a s t a ɲ o n a
castañéu	k a s t a ɲ e u̯
castellanismu	k a s t e ʎ a n i s m u
castellanizada	k a s t e ʎ a n i θ a d a
castellanizáu	k a s t e ʎ a n i θ a u̯
castellano	k a s t e ʎ a n o
castellanu	k a s t e ʎ a n u
castellán	k a s t e ʎ a n
Castiella	k a s t j e ʎ a
castiellu	k a s t j e ʎ u
castillete	k a s t i ʎ e t e
Castrillón	k a s t ɾ i ʎ o n
Castripol	k a s t ɾ i p o l
Castropol	k a s t ɾ o p o l
castráu	k a s t ɾ a u̯
Casu	k a s u
cata	k a t a
catalanizáu	k a t a l a n i θ a u̯
Cataluña	k a t a l u ɲ a
catalán	k a t a l a n
catar	k a t a ɾ
cataxuán	k a t a ʃ w a n
catedral	k a t e d ɾ a l
catedráticu	k a t e d ɾ a t i k u
categoría	k a t e ɡ o ɾ i a
catorce	k a t o ɾ θ e
caxa	k a ʃ a
caxellu	k a ʃ e ʎ u
Caya	k a ʝ a
cayer	k a ʝ e ɾ
Cayo	k a ʝ o
cazador	k a θ a d o ɾ
cazando	k a θ a n d o
cazar	k a θ a ɾ
cazurria	k a θ u r j a
cazurru	k a θ u r u
caída	k a i d a
caín	k a i n
cañada	k a ɲ a d a
cañavera	k a ɲ a b e ɾ a
cañicar	k a ɲ i k a ɾ
cañoneru	k a ɲ o n e ɾ u
cañón	k a ɲ o n
cedo	θ e d o
cedu	θ e d u
cedáis	θ e d a i̯ s
cedéis	θ e d e i̯ s
cedíu	θ e d i u
Ceferino	θ e f e ɾ i n o
Cefontes	θ e f o n t e s
celebrar	θ e l e b ɾ a ɾ
celebras	θ e l e b ɾ a s
celebráu	θ e l e b ɾ a u̯
cencia	θ e n θ j a
cenciellez	θ e n θ j e ʎ e θ
cenciellu	θ e n θ j e ʎ u
ceniza	θ e n i θ a
censuráu	θ e n s u ɾ a u̯
centauru	θ e n t a u̯ ɾ u
centralizáu	θ e n t ɾ a l i θ a u̯
centru	θ e n t ɾ u
centuria	θ e n t u ɾ j a
ceo	θ e o
ceo	θ e w
cera	θ e ɾ a
cerebral	θ e ɾ e b ɾ a l
cerebrales	θ e ɾ e b ɾ a l e s
cerebros	θ e ɾ e b ɾ o s
cerebru	θ e ɾ e b ɾ u
cerecéu	θ e ɾ e θ e u̯
Cernadiella	θ e ɾ n a d j e ʎ a
certifica	θ e ɾ t i f i k a
certificar	θ e ɾ t i f i k a ɾ
certificáu	θ e ɾ t i f i k a u̯
ceu	θ e u̯
chalina	t͡ʃ a l i n a
chambra	t͡ʃ a m b ɾ a
chaqueta	t͡ʃ a k e t a
char	t͡ʃ a ɾ
Charo	t͡ʃ a ɾ o
charru	t͡ʃ a r u
chegar	t͡ʃ e ɡ a ɾ
cheite	t͡ʃ e i̯ t e
Chequia	t͡ʃ e k j a
chicolate	t͡ʃ i k o l a t e
chigre	t͡ʃ i ɡ ɾ e
chimenea	t͡ʃ i m e n e a
China	t͡ʃ i n a
chinclar	t͡ʃ i n k l a ɾ
chipitéu	t͡ʃ i p i t e u̯
chirlotu	t͡ʃ i ɾ l o t u
chiscar	t͡ʃ i s k a ɾ
chisgar	t͡ʃ i s ɡ a ɾ
chocar	t͡ʃ o k a ɾ
choscu	t͡ʃ o s k u
chuchar	t͡ʃ u t͡ʃ a ɾ
chumar	t͡ʃ u m a ɾ
churru	t͡ʃ u r u
Chus	t͡ʃ u s
chute	t͡ʃ u t e
chutón	t͡ʃ u t o n
cibiella	θ i b j e ʎ a
ciegu	θ j e ɡ u
cielu	θ j e l u
ciencia	θ j e n θ j a
científicu	θ j e n t i f i k u
ciervu	θ j e ɾ b u
cigotu	θ i ɡ o t u
cigüeña	θ i ɡ w e ɲ a
cilindros	θ i l i n d ɾ o s
cilindru	θ i l i n d ɾ u
cilíndricu	θ i l i n d ɾ i k u
cimble	θ i m b l e
cinc	θ i n k
cincocientos	θ i n k o θ j e n t o s
cine	θ i n e
cinematógrafu	θ i n e m a t o ɡ ɾ a f u
circuncidáu	θ i ɾ k u n θ i d a u̯
circunnavegáu	θ i ɾ k u n a b e ɡ a u̯
circunscrito	θ i ɾ k u n s k ɾ i t o
circunscritu	θ i ɾ k u n s k ɾ i t u
circunstancia	θ i ɾ k u n s t a n θ j a
cirigüeyu	θ i ɾ i ɡ w e ʝ u
cisne	θ i s n e
ciudadanía	θ j u d a d a n i a
ciudá	θ j u d a
civiliza	θ i b i l i θ a
civilización	θ i b i l i θ a θ j o n
civilizada	θ i b i l i θ a d a
civilizas	θ i b i l i θ a s
civilizo	θ i b i l i θ o
civilizáu	θ i b i l i θ a u̯
ciñir	θ i ɲ i ɾ
claro	k l a ɾ o
clas	k l a s
clase	k l a s e
clases	k l a s e s
clasificáu	k l a s i f i k a u̯
climen	k l i m e n
clisar	k l i s a ɾ
cloru	k l o ɾ u
cloyu	k l o ʝ u
cobertoriu	k o b e ɾ t o ɾ j u
cobila	k o b i l a
cobre	k o b ɾ e
coche	k o t͡ʃ e
cochera	k o t͡ʃ e ɾ a
cocina	k o θ i n a
cocíu	k o θ i u
codifica	k o d i f i k a
codificar	k o d i f i k a ɾ
codificáu	k o d i f i k a u̯
cogüelmu	k o ɡ w e l m u
cohete	k w e t e
cohete	k u e t e
coincidíu	k o i̯ n θ i d i u
coisa	k o i̯ s a
cola	k o l a
coladeru	k o l a d e ɾ u
colar	k o l a ɾ
coldu	k o l d u
coleutivu	k o l e u̯ t i b u
colexos	k o l e ʃ o s
colexu	k o l e ʃ u
colgaxu	k o l ɡ a ʃ u
collación	k o ʎ a θ j o n
collecha	k o ʎ e t͡ʃ a
collechar	k o ʎ e t͡ʃ a ɾ
collor	k o ʎ o ɾ
colomina	k o l o m i n a
colomineros	k o l o m i n e ɾ o s
colomineru	k o l o m i n e ɾ u
colomines	k o l o m i n e s
colonda	k o l o n d a
colondra	k o l o n d ɾ a
colondrame	k o l o n d ɾ a m e
colonialismu	k o l o n j a l i s m u
coloniza	k o l o n i θ a
colonizáu	k o l o n i θ a u̯
color	k o l o ɾ
columbiar	k o l u m b j a ɾ
columna	k o l u m n a
Colunga	k o l u n ɡ a
colín	k o l i n
combalachar	k o m b a l a t͡ʃ a ɾ
combináu	k o m b i n a u̯
come	k o m e
comer	k o m e ɾ
cometa	k o m e t a
comida	k o m i d a
comiendo	k o m j e n d o
comina	k o m i n a
como	k o m o
compangu	k o m p a n ɡ u
comparanza	k o m p a ɾ a n θ a
compautu	k o m p a u̯ t u
completamente	k o m p l e t a m e n t e
complicáu	k o m p l i k a u̯
componer	k o m p o n e ɾ
comprar	k o m p ɾ a ɾ
comprimíu	k o m p ɾ i m i u
compuesta	k o m p w e s t a
compuestes	k o m p w e s t e s
compuesto	k o m p w e s t o
compuestos	k o m p w e s t o s
compuestu	k o m p w e s t u
computadora	k o m p u t a d o ɾ a
comu	k o m u
comunicáu	k o m u n i k a u̯
comunismu	k o m u n i s m u
comunistes	k o m u n i s t e s
comuña	k o m u ɲ a
comíes	k o m i e s
comíu	k o m i u
común	k o m u n
con	k o n
concebíu	k o n θ e b i u
concedáis	k o n θ e d a i̯ s
concedéis	k o n θ e d e i̯ s
concedía	k o n θ e d i a
concedíu	k o n θ e d i u
concencia	k o n θ e n θ j a
concentráu	k o n θ e n t ɾ a u̯
conceyal	k o n θ e ʝ a l
conceyu	k o n θ e ʝ u
conciencia	k o n θ j e n θ j a
conciertos	k o n θ j e ɾ t o s
conciertu	k o n θ j e ɾ t u
condición	k o n d i θ j o n
conducida	k o n d u θ i d a
conducíu	k o n d u θ i u
coneyu	k o n e ʝ u
confiscáu	k o n f i s k a u̯
conmemorativu	k o m m e m o ɾ a t i b u
connotáu	k o n o t a u̯
conocer	k o n o θ e ɾ
conocíu	k o n o θ i u
conqueru	k o n k e ɾ u
conquistáu	k o n k i s t a u̯
consagráu	k o n s a ɡ ɾ a u̯
consentíu	k o n s e n t i u
conservadorismu	k o n s e ɾ b a d o ɾ i s m u
conserváu	k o n s e ɾ b a u̯
consistida	k o n s i s t i d a
consistíu	k o n s i s t i u
construcción	k o n s t ɾ u k θ j o n
construyíu	k o n s t ɾ u ʝ i u
contactar	k o n t a t t a ɾ
contactar	k o n t a t a ɾ
contar	k o n t a ɾ
contaxosu	k o n t a ʃ o s u
contenida	k o n t e n i d a
contentu	k o n t e n t u
conteníu	k o n t e n i u
continente	k o n t i n e n t e
contra	k o n t ɾ a
contrabaxu	k o n t ɾ a b a ʃ u
contracái	k o n t ɾ a k a i̯
contratu	k o n t ɾ a t u
contribuyíu	k o n t ɾ i b u ʝ i u
controzu	k o n t ɾ o θ u
convencíu	k o m b e n θ i u
convenida	k o m b e n i d a
conveníu	k o m b e n i u
convertíu	k o m b e ɾ t i u
convidáu	k o m b i d a u̯
convulsión	k o m b u l s j o n
conxal	k o n ʃ a l
conxugación	k o n ʃ u ɡ a θ j o n
conxugada	k o n ʃ u ɡ a d a
conxugar	k o n ʃ u ɡ a ɾ
conxugáu	k o n ʃ u ɡ a u̯
conxuntu	k o n ʃ u n t u
Copenḥague	k o p e n h a ɡ e
cor	k o ɾ
corar	k o ɾ a ɾ
coraxe	k o ɾ a ʃ e
corazu	k o ɾ a θ u
corazón	k o ɾ a θ o n
cordión	k o ɾ d j o n
cordobeyu	k o ɾ d o b e ʝ u
coreyalbu	k o ɾ e ʝ a l b u
coricia	k o ɾ i θ j a
coriza	k o ɾ i θ a
Cornualles	k o ɾ n w a ʎ e s
coronda	k o ɾ o n d a
corondame	k o ɾ o n d a m e
corondia	k o ɾ o n d j a
coronáu	k o ɾ o n a u̯
correa	k o r e a
correr	k o r e ɾ
corrida	k o r i d a
corrompíu	k o r o m p i u
corrupción	k o r u p θ j o n
corríu	k o r i u
cortar	k o ɾ t a ɾ
corte	k o ɾ t e
cortexar	k o ɾ t e ʃ a ɾ
cortina	k o ɾ t i n a
Corvera	k o ɾ b e ɾ a
corón	k o ɾ o n
cosadiella	k o s a d j e ʎ a
cosques	k o s k e s
cosquielles	k o s k j e ʎ e s
costume	k o s t u m e
costín	k o s t i n
cousa	k o u̯ s a
coxicar	k o ʃ i k a ɾ
coxu	k o ʃ u
coyer	k o ʝ e ɾ
coyones	k o ʝ o n e s
coyu	k o ʝ u
coyón	k o ʝ o n
cranial	k ɾ a n j a l
craniales	k ɾ a n j a l e s
cranios	k ɾ a n j o s
craniu	k ɾ a n j u
creación	k ɾ e a θ j o n
crear	k ɾ e a ɾ
creyer	k ɾ e ʝ e ɾ
creáu	k ɾ e a u̯
crismar	k ɾ i s m a ɾ
cristalizáu	k ɾ i s t a l i θ a u̯
cristiana	k ɾ i s t j a n a
cristianar	k ɾ i s t j a n a ɾ
cristianes	k ɾ i s t j a n e s
cristianiza	k ɾ i s t j a n i θ a
cristianizar	k ɾ i s t j a n i θ a ɾ
cristianizas	k ɾ i s t j a n i θ a s
cristianizáu	k ɾ i s t j a n i θ a u̯
cristiano	k ɾ i s t j a n o
cristianos	k ɾ i s t j a n o s
cristianu	k ɾ i s t j a n u
cristianó	k ɾ i s t j a n o
cristoloxía	k ɾ i s t o l o ʃ i a
Cristu	k ɾ i s t u
cristu	k ɾ i s t u
Croacia	k ɾ o a θ j a
cruel	k ɾ w e l
cu	k u
Cuadonga	k w a d o n ɡ a
cuadonguismu	k w a d o n ɡ i s m u
cuadrublar	k w a d ɾ u b l a ɾ
cualidá	k w a l i d a
cuarta	k w a ɾ t a
cuarzu	k w a ɾ θ u
Cuaña	k w a ɲ a
Cuba	k u b a
cubierta	k u b j e ɾ t a
cubiertes	k u b j e ɾ t e s
cubierto	k u b j e ɾ t o
cubiertos	k u b j e ɾ t o s
cubiertu	k u b j e ɾ t u
cubil	k u b i l
cucaracha	k u k a ɾ a t͡ʃ a
cuchu	k u t͡ʃ u
cuellu	k w e ʎ u
cuemo	k w e m o
cuentu	k w e n t u
cuenxu	k w e n ʃ u
cuer	k w e ɾ
cuerda	k w e ɾ d a
cuerpos	k w e ɾ p o s
cuerpu	k w e ɾ p u
cuestión	k w e s t j o n
cueva	k w e b a
cuidar	k w i d a ɾ
cuidatible	k w i d a t i b l e
Cuideiru	k w i d e i̯ ɾ u
culiebra	k u l j e b ɾ a
culiestros	k u l j e s t ɾ o s
cultura	k u l t u ɾ a
cultural	k u l t u ɾ a l
cume	k u m e
cumpleaños	k u m p l i a ɲ o s
cumpleaños	k u m p l e a ɲ o s
cumpleaños	k u m p l j a ɲ o s
cumu	k u m u
cunqueiru	k u n k e i̯ ɾ u
cuntar	k u n t a ɾ
cuquiellu	k u k j e ʎ u
curasán	k u ɾ a s a n
curatible	k u ɾ a t i b l e
curdión	k u ɾ d j o n
curiosina	k u ɾ j o s i n a
curiosines	k u ɾ j o s i n e s
curiosino	k u ɾ j o s i n o
curiosinos	k u ɾ j o s i n o s
curiosu	k u ɾ j o s u
curiosín	k u ɾ j o s i n
curonda	k u ɾ o n d a
curondia	k u ɾ o n d j a
curtar	k u ɾ t a ɾ
curuxa	k u ɾ u ʃ a
curuxeru	k u ɾ u ʃ e ɾ u
curuxía	k u ɾ u ʃ i a
curuxín	k u ɾ u ʃ i n
cuspe	k u s p e
cuspiu	k u s p j u
cusu	k u s u
cuyu	k u ʝ u
cuélebre	k w e l e b ɾ e
cuérrabu	k w e r a b u
cáncer	k a n θ e ɾ
cárcele	k a ɾ θ e l e
célibe	θ e l i b e
cíclope	θ i k l o p e
círculu	θ i ɾ k u l u
cómo	k o m o
cö	k ø
d'	d
daltónicu	d a l t o n i k u
dantes	d a n t e s
daqué	d a k e
dañar	d a ɲ a ɾ
dañible	d a ɲ i b l e
dañu	d a ɲ u
deber	d e b e ɾ
debida	d e b i d a
debura	d e b u ɾ a
deburar	d e b u ɾ a ɾ
debíu	d e b i u
decapitáu	d e k a p i t a u̯
decatar	d e k a t a ɾ
deceniu	d e θ e n j u
decidida	d e θ i d i d a
decidíu	d e θ i d i u
decisiones	d e θ i s j o n e s
decisión	d e θ i s j o n
declaraciones	d e k l a ɾ a θ j o n e s
declaración	d e k l a ɾ a θ j o n
declaráu	d e k l a ɾ a u̯
decoráu	d e k o ɾ a u̯
dedicar	d e d i k a ɾ
dedicáu	d e d i k a u̯
definíu	d e f i n i u
Degaña	d e ɡ a ɲ a
degorriu	d e ɡ o r j u
degredu	d e ɡ ɾ e d u
delda	d e l d a
delegáu	d e l e ɡ a u̯
dello	d e ʎ o
democracia	d e m o k ɾ a θ j a
democratizáu	d e m o k ɾ a t i θ a u̯
democrático	d e m o k ɾ a t i k o
demográfica	d e m o ɡ ɾ a f i k a
demográficos	d e m o ɡ ɾ a f i k o s
demográficu	d e m o ɡ ɾ a f i k u
demorriu	d e m o r j u
dempués	d e m p w e s
denantes	d e n a n t e s
denantias	d e n a n t j a s
dende	d e n d e
denotáu	d e n o t a u̯
dentista	d e n t i s t a
dentón	d e n t o n
denunciella	d e n u n θ j e ʎ a
denunciáu	d e n u n θ j a u̯
deporte	d e p o ɾ t e
deportivu	d e p o ɾ t i b u
deprendíu	d e p ɾ e n d i u
deprimíu	d e p ɾ i m i u
depuesta	d e p w e s t a
depuestes	d e p w e s t e s
depuesto	d e p w e s t o
depuestos	d e p w e s t o s
depuestu	d e p w e s t u
derive	d e ɾ i b e
deriváu	d e ɾ i b a u̯
desallugar	d e s a ʎ u ɡ a ɾ
descambiar	d e s k a m b j a ɾ
descentralizáu	d e s θ e n t ɾ a l i θ a u̯
descolonizáu	d e s k o l o n i θ a u̯
descomprimíu	d e s k o m p ɾ i m i u
descompuesta	d e s k o m p w e s t a
descompuestes	d e s k o m p w e s t e s
descompuesto	d e s k o m p w e s t o
descompuestos	d e s k o m p w e s t o s
descompuestu	d e s k o m p w e s t u
desconocíu	d e s k o n o θ i u
descritu	d e s k ɾ i t u
descubierta	d e s k u b j e ɾ t a
descubiertes	d e s k u b j e ɾ t e s
descubierto	d e s k u b j e ɾ t o
descubiertos	d e s k u b j e ɾ t o s
descubiertu	d e s k u b j e ɾ t u
desde	d e s d e
desdexar	d e s d e ʃ a ɾ
desenguedeyar	d e s e n ɡ e d e ʝ a ɾ
desenvueltu	d e s e m b w e l t u
desierta	d e s j e ɾ t a
desiertes	d e s j e ɾ t e s
desierto	d e s j e ɾ t o
desiertos	d e s j e ɾ t o s
desiertu	d e s j e ɾ t u
desixir	d e s i ʃ i ɾ
desmilitarizáu	d e s m i l i t a ɾ i θ a u̯
desortir	d e s o ɾ t i ɾ
despacio	d e s p a θ j o
despotismu	d e s p o t i s m u
destinar	d e s t i n a ɾ
destruyíu	d e s t ɾ u ʝ i u
detalle	d e t a ʎ e
detective	d e t e k t i b e
detener	d e t e n e ɾ
detenida	d e t e n i d a
deteníu	d e t e n i u
deterioráu	d e t e ɾ j o ɾ a u̯
determinas	d e t e ɾ m i n a s
determináu	d e t e ɾ m i n a u̯
deteutive	d e t e u̯ t i b e
detonador	d e t o n a d o ɾ
detonar	d e t o n a ɾ
detonáu	d e t o n a u̯
deu	d e u̯
deuda	d e u̯ d a
devueltu	d e b w e l t u
diacrítico	d j a k ɾ i t i k o
diacríticu	d j a k ɾ i t i k u
dialectal	d j a l e k t a l
dialectos	d j a l e k t o s
dialectu	d j a l e k t u
dialeutal	d j a l e u̯ t a l
dialeutos	d j a l e u̯ t o s
dialeutu	d j a l e u̯ t u
diañu	d j a ɲ u
dica	d i k a
diccionariu	d i k θ j o n a ɾ j u
dicha	d i t͡ʃ a
diches	d i t͡ʃ e s
dicho	d i t͡ʃ o
dichos	d i t͡ʃ o s
dichu	d i t͡ʃ u
diecisiete	d j e θ i s j e t e
dieldu	d j e l d u
diente	d j e n t e
dientro	d j e n t ɾ o
diez	d j e θ
diezmillonésimu	d j e θ m i ʎ o n e s i m u
diferente	d i f e ɾ e n t e
diferentes	d i f e ɾ e n t e s
diferida	d i f e ɾ i d a
diferíu	d i f e ɾ i u
difícil	d i f i θ i l
dineru	d i n e ɾ u
dinosaurios	d i n o s a u̯ ɾ j o s
dios	d j o s
Dios	d j o s
diplomacia	d i p l o m a θ j a
diplomacies	d i p l o m a θ j e s
diplomático	d i p l o m a t i k o
diplomáticu	d i p l o m a t i k u
discriminada	d i s k ɾ i m i n a d a
discrimináu	d i s k ɾ i m i n a u̯
discutible	d i s k u t i b l e
dispacio	d i s p a θ j o
distinguíu	d i s t i n ɡ i u
distinto	d i s t i n t o
distraer	d i s t ɾ a e ɾ
distrayer	d i s t ɾ a ʝ e ɾ
distrayida	d i s t ɾ a ʝ i d a
distrayíes	d i s t ɾ a ʝ i e s
distrayío	d i s t ɾ a ʝ i o
distrayíos	d i s t ɾ a ʝ i o s
distrayíu	d i s t ɾ a ʝ i u
distribuyíu	d i s t ɾ i b u ʝ i u
disueltu	d i s w e l t u
diversa	d i b e ɾ s a
diverses	d i b e ɾ s e s
diversidá	d i b e ɾ s i d a
diverso	d i b e ɾ s o
diversos	d i b e ɾ s o s
diversu	d i b e ɾ s u
divertíu	d i b e ɾ t i u
doce	d o θ e
doctor	d o k t o ɾ
documentación	d o k u m e n t a θ j o n
documentos	d o k u m e n t o s
dolce	d o l θ e
domenicar	d o m e n i k a ɾ
domingu	d o m i n ɡ u
domináu	d o m i n a u̯
dondu	d o n d u
dormida	d o ɾ m i d a
dormir	d o ɾ m i ɾ
dormíu	d o ɾ m i u
dos	d o s
dotor	d o t o ɾ
dubia	d u b j a
duda	d u d a
dulce	d u l θ e
dulda	d u l d a
dun	d u n
dunviar	d u m b j a ɾ
dunviu	d u m b j u
duplicáu	d u p l i k a u̯
duplu	d u p l u
duque	d u k e
duquesu	d u k e s u
duráu	d u ɾ a u̯
duviachu	d u b j a t͡ʃ u
década	d e k a d a
dél	d e l
día	d i a
dómina	d o m i n a
echar	e t͡ʃ a ɾ
ecolóxicu	e k o l o ʃ i k u
Ecuador	e k w a d o ɾ
edición	e d i θ j o n
edificiu	e d i f i θ j u
editar	e d i t a ɾ
educación	e d u k a θ j o n
educáis	e d u k a i̯ s
educáu	e d u k a u̯
edá	e d a
efeutu	e f e u̯ t u
eichar	e i̯ t͡ʃ a ɾ
Eilao	e i̯ l a o
eispaciu	e i̯ s p a θ j u
el	e l
elefante	e l e f a n t e
elementos	e l e m e n t o s
elementu	e l e m e n t u
eleváu	e l e b a u̯
eliminada	e l i m i n a d a
eliminar	e l i m i n a ɾ
eliminas	e l i m i n a s
elimino	e l i m i n o
elimináu	e l i m i n a u̯
elli	e ʎ i
emancipáu	e m a n θ i p a u̯
embalagar	e m b a l a ɡ a ɾ
embaxo	e m b a ʃ o
embelecu	e m b e l e k u
embelga	e m b e l ɡ a
emborrachase	e m b o r a t͡ʃ a s e
emitida	e m i t i d a
emitíu	e m i t i u
empeorar	e m p e o ɾ a ɾ
empisonáu	e m p i s o n a u̯
emplegar	e m p l e ɡ a ɾ
emplegu	e m p l e ɡ u
emplegáu	e m p l e ɡ a u̯
empodrecer	e m p o d ɾ e θ e ɾ
empozaretáu	e m p o θ a ɾ e t a u̯
empresa	e m p ɾ e s a
en	e n
enantes	e n a n t e s
enanu	e n a n u
encalar	e n k a l a ɾ
encaliar	e n k a l j a ɾ
encalzar	e n k a l θ a ɾ
encalïar	e n k a l i a ɾ
encarar	e n k a ɾ a ɾ
encartar	e n k a ɾ t a ɾ
enciclopedia	e n θ i k l o p e d j a
encolingar	e n k o l i n ɡ a ɾ
encontráu	e n k o n t ɾ a u̯
encuesta	e n k w e s t a
ende	e n d e
endelgazar	e n d e l ɡ a θ a ɾ
Enedina	e n e d i n a
enerxía	e n e ɾ ʃ i a
enestonces	e n e s t o n θ e s
enestoncias	e n e s t o n θ j a s
enfadar	e n f a d a ɾ
enfadáu	e n f a d a u̯
enfatizáu	e n f a t i θ a u̯
enfotar	e n f o t a ɾ
enfotáu	e n f o t a u̯
engarabecer	e n ɡ a ɾ a b e θ e ɾ
engarabellar	e n ɡ a ɾ a b e ʎ a ɾ
engarrar	e n ɡ a r a ɾ
engrueba	e n ɡ ɾ w e b a
enguadar	e n ɡ w a d a ɾ
enguadu	e n ɡ w a d u
enguedeyar	e n ɡ e d e ʝ a ɾ
enguedeyu	e n ɡ e d e ʝ u
engurullar	e n ɡ u ɾ u ʎ a ɾ
enllaguazar	e n ʎ a ɡ w a θ a ɾ
enllaz	e n ʎ a θ
enmancurniáu	e m m a n k u ɾ n j a u̯
Enol	e n o l
ensame	e n s a m e
ensayar	e n s a ʝ a ɾ
ensayu	e n s a ʝ u
enseñanza	e n s e ɲ a n θ a
enseñar	e n s e ɲ a ɾ
entamador	e n t a m a d o ɾ
entamu	e n t a m u
entender	e n t e n d e ɾ
entendible	e n t e n d i b l e
enteráu	e n t e ɾ a u̯
entestar	e n t e s t a ɾ
entestinu	e n t e s t i n u
entierru	e n t j e r u
entoes	e n t o e s
entoice	e n t o i̯ θ e
entonación	e n t o n a θ j o n
entonces	e n t o n θ e s
entoncia	e n t o n θ j a
entoncias	e n t o n θ j a s
entoncies	e n t o n θ j e s
entoncis	e n t o n θ i s
entoxu	e n t o ʃ u
entrar	e n t ɾ a ɾ
entrenar	e n t ɾ e n a ɾ
entretenida	e n t ɾ e t e n i d a
entreteníu	e n t ɾ e t e n i u
entrevista	e n t ɾ e b i s t a
entruga	e n t ɾ u ɡ a
entóis	e n t o i̯ s
entón	e n t o n
entóncenes	e n t o n θ e n e s
entóncianas	e n t o n θ j a n a s
entós	e n t o s
entúes	e n t u e s
envitar	e m b i t a ɾ
envite	e m b i t e
envueltu	e m b w e l t u
enxamás	e n ʃ a m a s
enxeita	e n ʃ e i̯ t a
enxeitar	e n ʃ e i̯ t a ɾ
enxundia	e n ʃ u n d j a
equivalencia	e k i b a l e n θ j a
equivalir	e k i b a l i ɾ
equí	e k i
era	e ɾ a
ergüeya	e ɾ ɡ w e ʝ a
ermu	e ɾ m u
error	e r o ɾ
erru	e r u
erupción	e ɾ u p θ j o n
esame	e s a m e
esaminar	e s a m i n a ɾ
esamináu	e s a m i n a u̯
esautamente	e s a u̯ t a m e n t e
esautu	e s a u̯ t u
esbillar	e s b i ʎ a ɾ
escaecer	e s k a e θ e ɾ
escaldoriáu	e s k a l d o ɾ j a u̯
escalecer	e s k a l e θ e ɾ
escalecíu	e s k a l e θ i u
escalera	e s k a l e ɾ a
escaláu	e s k a l a u̯
escarriar	e s k a r j a ɾ
escazar	e s k a θ a ɾ
esceicional	e s θ e i̯ θ j o n a l
esceicionales	e s θ e i̯ θ j o n a l e s
esceicionalidá	e s θ e i̯ θ j o n a l i d a
esceicionalmente	e s θ e i̯ θ j o n a l m e n t e
esceición	e s θ e i̯ θ j o n
esclavu	e s k l a b u
escobixu	e s k o b i ʃ u
Escocia	e s k o θ j a
escolarizáu	e s k o l a ɾ i θ a u̯
escopeta	e s k o p e t a
escorrentar	e s k o r e n t a ɾ
escorrer	e s k o r e ɾ
escoyeta	e s k o ʝ e t a
escribir	e s k ɾ i b i ɾ
escrita	e s k ɾ i t a
escrites	e s k ɾ i t e s
escrito	e s k ɾ i t o
escritos	e s k ɾ i t o s
escritu	e s k ɾ i t u
escritura	e s k ɾ i t u ɾ a
escualu	e s k w a l u
escuchar	e s k u t͡ʃ a ɾ
escuela	e s k w e l a
escuenciu	e s k w e n θ j u
esculibiertu	e s k u l i b j e ɾ t u
esculibierzu	e s k u l i b j e ɾ θ u
esculigüerzu	e s k u l i ɡ w e ɾ θ u
esculpa	e s k u l p a
escultóricu	e s k u l t o ɾ i k u
escusáu	e s k u s a u̯
esentóncenes	e s e n t o n θ e n e s
esfargatar	e s f a ɾ ɡ a t a ɾ
esfargatáu	e s f a ɾ ɡ a t a u̯
esfera	e s f e ɾ a
esfinxe	e s f i n ʃ e
esfotar	e s f o t a ɾ
esfoyaza	e s f o ʝ a θ a
esfrutar	e s f ɾ u t a ɾ
esfuecha	e s f w e t͡ʃ a
esfueya	e s f w e ʝ a
esgatuñu	e s ɡ a t u ɲ u
esgayar	e s ɡ a ʝ a ɾ
esguilacarbayos	e s ɡ i l a k a ɾ b a ʝ o s
esistencia	e s i s t e n θ j a
esistencies	e s i s t e n θ j e s
esistíu	e s i s t i u
esixir	e s i ʃ i ɾ
Eslovaquia	e s l o b a k j a
Eslovenia	e s l o b e n j a
esmiagarriar	e s m j a ɡ a r j a ɾ
esmondongar	e s m o n d o n ɡ a ɾ
esnalar	e s n a l a ɾ
esnalu	e s n a l u
espacio	e s p a θ j o
espaciu	e s p a θ j u
espada	e s p a d a
Espadañéu	e s p a d a ɲ e u̯
espalda	e s p a l d a
espansión	e s p a n s j o n
espantible	e s p a n t i b l e
espardíu	e s p a ɾ d i u
espatuxar	e s p a t u ʃ a ɾ
espaxarar	e s p a ʃ a ɾ a ɾ
espaxaretar	e s p a ʃ a ɾ e t a ɾ
espaxarotar	e s p a ʃ a ɾ o t a ɾ
España	e s p a ɲ a
español	e s p a ɲ o l
españolizada	e s p a ɲ o l i θ a d a
españolizar	e s p a ɲ o l i θ a ɾ
españolizáu	e s p a ɲ o l i θ a u̯
especializáu	e s p e θ j a l i θ a u̯
específicamente	e s p e θ i f i k a m e n t e
específico	e s p e θ i f i k o
específicu	e s p e θ i f i k u
espelma	e s p e l m a
