ⲁ⸗	ɑ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a r a t͡ʃ o u ʃ
ⲥⲓⲧⲉ	s iː t ə
ⲥⲓϯ	s iː t ə
ⲥⲱⲧⲙ	s oː tʼ ə m
ⲥⲱⲧⲉⲙ	s oː t ə m
ⲥⲱⲧⲙⲉ	s o t m ɛ
ⲥⲁⲧⲉⲉⲣⲉ	s a t e ʔ ɾ ə
ⲥⲧⲁⲥⲓⲁⲍⲉ	s t a s i j a d͡z e
ⲥⲁⲩ	s a w
ⲥⲟⲟⲩ	s o w
ⲥⲟⲟⲩ	s u w
ⲥⲟⲟⲩ	s o u
ⲥⲓⲱⲟⲩⲛⲓ	ə s j oː u̯ n ə
ⲥⲓⲱⲟⲩⲛⲓ	s j oː u̯ n ə
ⲥⲓⲱⲟⲩⲧ	s j ɔː w t
ⲥⲓⲱⲟⲩⲧ	s j oː w t
ⲥⲭⲟⲗⲏ	s kʰ o l ɛː
ⲥⲭⲟⲗⲏ	s kʰ o l eː
ⲥⲁⲭⲙⲓ	s a k h m iː
ⲥⲁϣϥ	ʃ a ʃ f
ⲥⲁϧ	s a x
ⲥϧⲁⲓ	ə s x a i̯
ⲥϧⲁⲓ	s x a i̯
ⲥϧⲁⲓ	a s x a i̯
ⲥϧⲁⲓ	s x a i̯
ⲥϧⲁⲓ	e s x a ɪ̯
ⲥⲁϧⲙⲓ	s a x m ə
ⲥⲉϩ	s e h
ⲥⲁϫⲓ	s a ʔ t͡ʃ ə
ⲥⲁϫⲓ	s a ʔ ɟ a
ⲥⲁϫⲓ	s a d͡ʒ i
ⲥⲁⳉ	s a x
ⲥⲁⳉϥ	ʃ a x f
ⲧⲏ	t eː
ϯ	tʼ iː
ϯ	t i
ⲧⲟ	t o
ⲧⲏⲃ	tʼ eː b
ⲧⲏⲏⲃⲉ	t eː ʔ β ə
ⲧⲟⲩⲃⲟ	t uː β o ʔ
ⲧⲟⲩⲃⲟ	d u w u ʔ
ⲧⲱⲃⲉ	t oː β ə
ⲧⲱⲃⲓ	t oː β ə
ⲧⲃⲛⲏ	t ə β n eː ʔ
ⲧⲁⲕⲟ	t a k o
Reconstruction:Coptic/ϯⲕⲁϣⲣⲱⲙⲓ	t ə k a ʃ ɾ oː m ə
ϯⲕⲉϣⲣⲱⲙⲓ	t ə k ə ʃ ɾ oː m ə
ϯⲉⲗⲗⲁⲥ	d e l l ɑ s
ϯⲙⲓ	tʼ iː m ə
ϯⲙⲓ	d i m a
ϯⲙⲓ	t i m i
ⲧⲁⲛⲧⲁⲑⲟ	t a n t a tʰ o
ϯⲡⲓ	tʼ iː p ə
ϯⲡⲓ	d i b a
ϯⲡⲓ	t i p i
ϯⲡⲓ	t i p i
ϯⲡⲉⲣⲥⲏⲥ	t ə p ɛ r s e s
ϯⲡⲉⲣⲥⲏⲥ	d ə b a r s i s
ⲧⲱⲣⲓ	tʼ oː ɾ ə
ⲧⲱⲣⲓ	d u ɾ a
ⲧⲱⲣⲓ	t o r i
ϯⲥⲃⲱ	t iː ʔ ə s β oː ʔ
ϯⲥⲃⲱ	t iː s β oː ʔ
ϯⲥⲃⲱ	t i ʔ a s w u
ϯⲥⲃⲱ	t i s w u
ϯⲥⲃⲱ	t i e s v o
ⲧⲁⲩ	t a u̯
ϯⲟⲩ	tʼ iː w
ⲧⲓⲟⲩ	tʼ iː w
ⲧⲓⲟⲩ	d i w
ⲧⲓⲟⲩ	t i u
ϯⲱⲟⲩ	t iː ʔ oː w
ⲧⲟⲟⲩ	t o u̯
ⲧⲱⲟⲩ	tʼ oː u̯
ⲧⲟⲟⲩⲧⲉ	t o w t ə
ϯϣⲁⲓⲣⲓ	t ə ʃ a ɪ r ə
ϯϩⲉ	t iː h ə
ⲟⲩⲁⲁⲓⲉ	w a a i
ⲟⲩⲁⲓ	w a j
ⲟⲩⲁⲓ	w a j
ⲟⲩⲁⲓ	u w a ɪ̯
ⲟⲩⲉⲉⲓ	w e e j
ⲟⲩⲱⲓ	w oː i
ⲟⲩⲃⲉ	uː β e ʔ
ⲟⲩⲗⲏ	uː l eː ʔ
ⲟⲩⲟⲉⲓⲛ	w o i̯ n
ⲟⲩⲱⲓⲛⲓ	w oː i̯ n ə
ⲟⲩⲁⲓⲛⲓⲛ	w a j n iː n
ⲟⲩⲟⲡ	w o p
ⲟⲩⲏⲣ	w eː r
ⲟⲩⲣⲟ	u r ɔ
ⲟⲩⲉⲣⲧ	w e ɾ t
ⲟⲩⲉⲣⲧ	w a ɾ t
ⲟⲩⲉⲣⲧ	u w e r t
ⲩⲥ	h ɥ i j o s
ⲟⲩⲥⲓⲣⲉ	u s iː ɾ ə
ⲟⲩⲥⲓⲣⲓ	ʔ uː s iː ɾ ə
ⲟⲩⲧⲁϩ	u t a h
ⲟⲩⲧⲉϩ	u t e h
ⲟⲩⲟϩ	w o h
ⲟⲩⲁϩⲉ	w a ʔ h ə
ⲟⲩⲉϩⲓ	w e ʔ h ə i
ⲟⲩⲟⲟϩⲉ	w o ʔ h ə
ⲟⲩϩⲟⲗ	uː h o l
ⲟⲩϩⲟⲣ	uː h o r
ⲟⲩϩⲟⲣ	u h u r
ⲟⲩϩⲟⲣ	u h o r
ⲟⲩϫⲁⲓ	uː t͡ʃʼ a j
ⲟⲩϫⲁⲓ	u d͡ʒ a j
ⲟⲩϫⲁⲓ	u ɡ a ɪ̯
ⲟⲩⲱϫⲉ	w oː t͡ʃ ə
ⲫⲁⲓ	pʰ a i̯
ⲫⲉ	pʰ e ʔ
ⲫⲉ	b a ʔ
ⲫⲉ	f e
ⲫⲓⲃ	ʔ ə p h iː β
ⲫⲓⲃ	pʰ iː b
ⲫⲟⲓⲃⲁⲙⲙⲱⲛ	pʰ o j β a m m ɔ n
ⲫⲟⲓⲃⲁⲙⲙⲱⲛ	b i f a m m ɔ n
ⲫⲓⲗⲟⲥⲟⲫⲓⲁ	pʰ i l o s o pʰ i a
ⲫⲓⲛ	pʰ iː n
ⲫⲁⲛⲟⲥ	p h a n o s
ⲫⲟⲣϣⲓ	pʰ o ɾ ʃ ə
ⲫⲟⲣϣⲓ	b u r ʃ a
ⲫⲟⲣϣⲓ	f o r ʃ i
ⲫⲓⲥⲓ	pʰ iː s ə
ⲫⲓⲥⲓ	b i s a
ⲫⲓⲥⲓ	f i s i
ⲫⲓϯ	pʰ iː t ə
ⲫⲓϯ	b i d a
ⲫⲓϯ	f i t i
ⲭⲱ	kʰ oː ʔ
ⲭⲱ	k u ʔ
ⲭⲱ	k o
ⲭⲁⲕⲓ	kʰ a k i
ⲭⲏⲙⲓ	kʰ eː m ə
ⲭⲏⲙⲓ	k ɪ m i
ⲭⲏⲙⲓ	k i m i
ⲭⲏⲙⲓ	k iː m i
ⲭⲓⲙⲁⲣⲣⲁⲓⲥ	kʰ i m a r a i s
ⲭⲣⲟⲩⲣ	kʰ r u r
ⲭⲣⲩⲥⲁⲱⲣ	kʰ r u s a ɔː r
ⲯⲓⲧ	p s iː t
ⲯⲓⲧ	b s i t
ⲯⲓⲧ	e p s i t
ⲯⲓⲧ	p s i t
ⲯⲁⲧⲉ	p s a ʔ t ə
ⲯⲁϯ	p s a ʔ t ə
ⲱⲓⲕ	oː i̯ k
ⲱⲓⲕ	u i̯ k
ⲱⲓⲕ	o ɪ̯ k
ⲱⲛϧ	oː n ə x
ⲱⲛϧ	oː n x
ⲱⲟⲩ	oː w
ϣⲉ	ʃ e ʔ
ϣⲟ	ʃ o ʔ
ϣⲃⲉ	ʔ ə ʃ β e ʔ
ϣⲃⲉ	ʃ β e ʔ
ϣⲃⲏ	ʔ ə ʃ β eː ʔ
ϣⲃⲏ	ʃ β eː ʔ
ϣⲑⲟⲣⲧⲉⲣ	ʃ tʰ o ɾ t ə ɾ
ϣⲑⲟⲣⲧⲉⲣ	ʃ d u ɾ d a ɾ
ϣⲑⲟⲣⲧⲉⲣ	e ʃ θ o r t e r
ϣⲏⲗⲓ	ʃ eː l ə
ϣⲗⲏⲗ	ʔ ə ʃ l eː l
ϣⲗⲏⲗ	ʃ l eː l
ϣⲗⲏⲗ	ʔ a ʃ l a l
ϣⲗⲏⲗ	ʃ l a l
ϣⲗⲏⲗ	ʔ e ʃ l i l
ϣⲗⲏⲗ	ʃ l ɛː l
ϣⲁⲗⲓⲟⲩ	ʃ ɑ l j u
ϣⲁⲗⲓⲩ	ʃ a l i w
ϣⲙⲏⲛ	ə ʃ m eː n
ϣⲙⲏⲛ	ʃ m eː n
ϣⲙⲏⲛ	a ʃ m a n
ϣⲙⲏⲛ	ʃ m a n
ϣⲙⲏⲛ	e ʃ m i n
ϣⲙⲟⲩⲛ	ʃ m u n
ϣⲟⲙⲛⲧ	ʃ o m ə n t
ϣⲟⲙⲧ	ʃ o m t
ϣⲉⲛⲟⲩϯ	ʃ ə n uː t ə
ϣⲉⲛⲟⲩϯ	ʃ a n u d a
ϣⲉⲛⲟⲩϯ	ʃ e n u t i
ϣⲱⲡⲓ	ʃ oː p ə
ϣⲱⲡⲓ	ʃ u b a
ϣⲱⲡⲓ	ʃ o p i
ϣⲁⲓⲣⲓ	ʃ a ɪ r ə
ϣⲉⲣⲓ	ʃ e ʔ ɾ ə
ϣⲉⲣⲓ	ʃ a ʔ ɾ a
ϣⲉⲣⲓ	ʃ e r i
ϣⲏⲣⲓ	ʃ eː ɾ ə
ϣⲏⲣⲓ	ʃ a ɾ a
ϣⲏⲣⲓ	ʃ i r i
ϣⲁⲣⲓⲟⲩ	ʃ ɑ r j u
ϣⲁⲩ	ʃ a w
ϣⲁⲩ	ʃ a v
ϣⲉϣⲃ	ʃ e ʃ b
ϣⲁϣⲙⲓ	ʃ a ʃ m iː
ϣⲟϣⲙⲓ	ʃ o ʃ m iː
ϣⲱϣⲉⲛ	ʃ oː ʃ ə n
ϣⲱϣⲉⲛ	ʃ u ʃ a n
ϣⲱϣⲉⲛ	ʃ o ʃ e n
ϣⲁϣϥ	ʃ a ʃ f
ϣϩⲓϫ	ʃ h i t͡ʃ
ϣϩⲓϭ	ʃ h i c
ϣⲁϫⲉ	ʃ a d͡ʒ ə
ϣⲁϫⲉ	ʃ a d͡ʒ e
ϣⲉϫⲓ	ʃ e ʔ t͡ʃ i
ϣϫⲟⲙ	ʔ ə ʃ t͡ʃʼ o m
ϥⲧⲟⲩ	ə f tʼ uː ʔ
ϥⲧⲟⲩ	f tʼ uː ʔ
ϥⲧⲟⲩ	a f d u ʔ
ϥⲧⲟⲩ	f d u ʔ
ϥⲧⲟⲩ	e f t u
ϥⲧⲁⲩ	ʔ ə f tʼ a uː
ϥⲧⲁⲩ	f tʼ a uː
ϥⲧⲟⲟⲩ	ʔ ə f tʼ o w
ϥⲧⲟⲟⲩ	f tʼ o w
ϥⲧⲟⲟⲩ	ʔ ə f t o w
ϥⲁϩ	f a h
ϧⲁ	x a ʔ
ϧⲁⲗⲕⲓⲛ	x a l kʼ iː n
ϧⲁⲗⲕⲓⲛ	x a l k i n
ϧⲁⲗⲕⲓⲛ	x a l k i n
ϧⲉⲛ	x ə n
ϧⲟⲩⲛ	x uː n
ϧⲣⲱⲟⲩ	x ɾ oː w
ϧⲱⲧⲉⲃ	x oː t ə b
ϧⲱⲧⲉⲃ	x u d a b
ϧⲱⲧⲉⲃ	x o t e b
ϩⲁⲓ	h a i̯
ϩⲟ	h o ʔ
ϩⲟⲓ	h o j
ϩⲁⲇⲏⲥ	h a d eː s
ϩⲑⲟ	ə h tʰ o ʔ
ϩⲕⲟ	ə h k ɔ
ϩⲕⲟ	h k ɔ
ϩⲱⲗ	h oː l
ϩⲗⲗⲁ	h ə l l a ʔ
ϩⲗⲗⲟ	h ə l l o ʔ
ϩⲁⲗⲏⲧ	h a l eː t
ϩⲗⲟϫ	ʔ ə h l o t͡ʃ
ϩⲗⲟϫ	h l o t͡ʃ
ϩⲗⲟϫ	ʔ a h l u ɟ
ϩⲗⲟϫ	h l u ɟ
ϩⲗⲟϫ	e h l o ɡ
ϩⲗⲟϭ	ʔ ə h l o kʲ
ϩⲁⲙ	h a m
ϩⲉⲙⲕⲓ	h e m k ə
ϩⲉⲙⲕⲓ	h a m k a
ϩⲉⲙⲕⲓ	h e m k i
ϩⲙⲟⲟⲥ	h m oː s
ϩⲉⲙⲥⲓ	h e m s ə
ϩⲁⲙⲉⲩ	h a m e u̯
ϩⲛ	h ə n
ϩⲟⲩⲛ	h uː n
ϩⲟⲛⲃⲉ	h o n β ə
ϩⲛⲕⲉ	h n̩ k ɛ
ϩⲛⲟⲩⲙ	h n u m
ϩⲣⲱⲙⲏ	h r ɔː m ɛː
ϩⲉⲣⲙⲁⲛⲟⲩⲡ	h ɛ r m a n u p
ϩⲉⲣⲙⲏⲥ	h ɛ ɾ m eː s
ϩⲣⲙⲏⲥ	h ə ɾ m eː s
ϩⲁⲣⲡⲟⲕⲣⲁⲧⲏⲥ	h a r p ɔ k r aː t ɛː s
Reconstruction:Coptic/ϩⲁⲣⲡⲉϩⲣⲟⲧ	h a r p ə h r o t
ϩⲟⲣⲧϥ	h o ɾ t ə f
ϩⲣⲟⲟⲩ	h ɾ o w
ϩⲉⲣⲟⲩⲱϫ	h ə ɾ w oː t͡ʃ
ϩⲟⲟⲩ	h ɔː w
ϩⲟⲟⲩ	h ɔ w
ϩⲁⲟⲩⲧ	h a o u̯ t
ϩⲁⲩⲧ	h a u̯ t
ϩⲟⲟⲩⲧ	h o u̯ t
ϩⲁϫⲓ	h a ʔ t͡ʃ ə
ϩⲁϭⲉ	h a ʔ kʲ ə
ϫⲉ	t͡ʃʼ e ʔ
ϫⲉ	t͡ʃ e ʔ
ϫⲱ	t͡ʃʼ oː ʔ
ϫⲱⲃⲓ	t͡ʃʼ oː β ə
ϫⲱⲃⲓ	ɟ u w a
ϫⲱⲃⲓ	ɡ o v i
ϫⲓⲕⲣⲓⲥ	t͡ʃ i k r iː s
ϫⲓⲕⲣⲓⲥ	t͡ʃ i k r iː s
ϫⲓⲕⲣⲓⲥ	d͡ʒ i k r i s
ϫⲓⲕⲣⲓⲥ	ɡ i k r i s
ϫⲱⲓⲗⲓ	t͡ʃʼ oː i̯ l ə
ϫⲟⲙ	t͡ʃʼ o m
ϫⲟⲙ	ɟ u m
ϫⲱⲙ	t͡ʃʼ oː m
ϫⲱⲙ	ɟ u m
ϫⲱⲙ	ɡ o m
ϫⲓⲙⲓ	t͡ʃʼ iː m ə
ϫⲓⲙⲓ	ɟ i m a
ϫⲓⲙⲓ	d͡ʒ i m i
ϫⲟⲟⲙⲉ	t͡ʃʼ oː m e
ϫⲱⲙⲓ	t͡ʃʼ oː m i
ϫⲁⲙⲟⲩⲗ	t͡ʃ a m uː l
ϫⲁⲙⲟⲩⲗ	ɟ a m u l
ϫⲁⲙⲟⲩⲗ	ɡ a m u l
ϫⲙⲡⲉϩ	t͡ʃ ə m p e h
ϫⲉⲙⲫⲉϩ	t͡ʃ ə m pʰ e h
ϫⲉⲙⲫⲉϩ	ɟ a m b a h
ϫⲉⲙⲫⲉϩ	d͡ʒ e ɱ f e h
ϫⲓⲛ	d͡ʒ i n
ϫⲁⲁⲛⲉ	t͡ʃ a ʔ n ə
ϫⲁⲛⲓ	t͡ʃʼ a ʔ n ə
ϫⲁⲛⲓ	ɟ a ʔ n a
ϫⲁⲛⲓ	ɡ a n i
ϫⲉⲡ	d͡ʒ ə p
ϫⲉⲡ	t͡ʃ ə p
ϫⲁⲉⲓⲥ	t͡ʃ a i̯ s
ϫⲟⲉⲓⲥ	t͡ʃ o i̯ s
ϫⲓⲥⲉ	t͡ʃ iː s ə
ϫⲁⲓⲧ	t͡ʃʼ a i̯ t
ϫⲟⲉⲓⲧ	t͡ʃ ɔ j t
ϫⲱⲧ	t͡ʃʼ oː t
ϫⲱⲧ	ɟ u t
ϫⲱⲧ	ɡ o t
ϫⲟⲩⲱⲧ	t͡ʃ w oː t
ϫⲫⲟⲓ	ə t͡ʃ pʰ o j
ϫⲫⲟⲓ	t͡ʃ pʰ o j
ϫⲫⲟⲓ	a ɟ b u j
ϫⲫⲟⲓ	ɟ b u j
ϫⲫⲟⲓ	e ɡ f o ɪ̯
ϫⲉⲫⲣⲟ	kʲ ə pʰ r oː
ϫⲉⲫⲣⲟ	t͡ʃ ə pʰ r oː
ϫⲉⲫⲣⲟ	ʃ ə b r oː
ϫⲁϥ	t͡ʃʼ a f
ϫⲁϥ	ɡ a f
ϫⲁϥϫⲓϥ	t͡ʃ a f t͡ʃʼ iː f
ϫⲁϥϫⲓϥ	ɟ a f ɟ i f
ϫⲁϥϫⲓϥ	ɡ a f d͡ʒ i f
ϫⲱϩⲙ	t͡ʃ ɔː h m̩
ϫⲱϩⲙ	d͡ʒ ɔː h m̩
ϫⲓϫ	t͡ʃʼ iː t͡ʃ
ϫⲓϫ	ɟ i ɟ
ϫⲓϫ	d͡ʒ i ɡ
ϫⲁϫⲓ	t͡ʃʼ a ʔ t͡ʃ ə
ϫⲁϫⲓ	d͡ʒ a ʔ d͡ʒ a
ϫⲁϫⲓ	ɡ a d͡ʒ i
ϫⲓϫⲱⲓ	t͡ʃ iː t͡ʃʼ oː j
ϫⲓϫⲱⲓ	ɟ i ɟ u j
ϫⲓϫⲱⲓ	d͡ʒ i ɡ o ɪ̯
ϫⲏϭⲉ	t͡ʃ eː kʲ ə
ϫⲓϭⲱⲓ	t͡ʃ iː t͡ʃʰ oː j
ϫⲓϭⲱⲓ	ɟ i ʃ u j
ϫⲓϭⲱⲓ	d͡ʒ i t͡ʃ o ɪ̯
ϭⲓ	t͡ʃʰ iː ʔ
ϭⲓ	t͡ʃ i
ϭⲃⲟⲓ	kʲ β o j
ϭⲱⲃⲉ	kʲ oː β ə
ϭⲱⲱⲃⲉ	kʲ oː ʔ β ə
ϭⲁⲓⲗⲓ	t͡ʃʼ aː i̯ l ə
ϭⲱⲙ	kʲ oː m
ϭⲱⲙ	t͡ʃʰ oː m
ϭⲁⲙⲟⲩⲗ	kʲ a m uː l
ϭⲁⲙⲁⲩⲗⲉ	kʲ a m a u̯ l ə
ϭⲓⲛⲉ	kʲ iː n ə
ϭⲱⲛⲧ	t͡ʃʰ o n t
ϭⲁⲣⲧⲉ	kʲ o r t e
ϭⲁⲣⲧⲉ	t͡ʃ o r t e
ϭⲟⲣⲧⲉ	c o r t e
ϭⲱⲣϩ	kʲ oː ɾ ə h
ϭⲣⲏϫⲓ	t͡ʃʰ ɾ eː t͡ʃ ə
ϭⲣⲏϫⲓ	ʃ ɾ a ɟ ə
ϭⲣⲏϫⲓ	t͡ʃ ɾ i d͡ʒ i
ϭⲉⲣϭⲏ	kʲ ə ɾ kʲ eː ʔ
ϭⲣⲏϭⲉ	kʲ ɾ eː kʲ ə
ϭⲟⲓⲥ	t͡ʃʰ o i̯ s
ϭⲟⲓⲥ	ʃ u i̯ s
ϭⲟⲓⲥ	t͡ʃ o ɪ̯ s
ϭⲓⲥⲓ	t͡ʃʰ iː s ə
ϭⲟⲥϫⲉⲥ	t͡ʃʰ o s t͡ʃ ə s
ϭⲟⲥϫⲉⲥ	ʃ u s ɟ a s
ϭⲟⲥϫⲉⲥ	t͡ʃ o z d͡ʒ e s
ϭⲟⲧ	kʲ o t
ϭⲁϧⲉⲙ	t͡ʃʰ a x e m
ϭⲏϫⲓ	t͡ʃʰ eː t͡ʃ i
ϭⲏϫⲓ	ʃ aː ɟ i
ϭⲏϫⲓ	ʃ ɪ ɟ i
ϭⲓϫⲱⲓ	kʲ iː t͡ʃ oː j
ϭⲁϫⲓϥ	kʲ a t͡ʃ iː f
ⲁ̀ⲥⲓⲗⲱⲛ	ɑ s ɪ l oː n
