ȁ	â
pekva	p ê k ʋ a
pelc	p ê l t͡s
pelena	p ê l e n a
pelikan	p e l ǐ k aː n
pelin	p ě l i n
pelivan	p e l ǐ ʋ aː n
pelud	p ě l u d
pendrek	p ě n d r e k
penetracija	p e n e t r ǎː t͡s i j a
penetrirati	p e n e t r ǐː r a t i
penis	p ěː n i s
peniti	p ê n i t i
penušav	p e n ǔ ʃ a ʋ
penzija	p ěː n z i j a
penzijski	p ěː n z iː j s k iː
penzioner	p e n z i ǒ n eː r
penzionerka	p e n z i ǒ n eː r k a
penzioni	p ê n z i oː n iː
penjač	p ě ɲ aː t͡ʃ
penjačica	p e ɲ ǎ t͡ʃ i t͡s a
penjanje	p ě ɲ aː ɲ e
penjati	p ě ɲ a t i
pepeljara	p e p ě ʎ a r a
pepeljast	p ê p e ʎ a s t
pepeljati	p e p ě ʎ a t i
pepeljav	p ê p e ʎ a ʋ
Pepeljuga	p e p ě ʎ u ɡ a
pepeo	p ê p e o
pepsin	p ě p s iː n
peraći	p ě r aː t͡ɕ iː
perajar	p e r ǎ j aː r
Perast	p ě r a s t
Peraškinja	p ě r a ʃ k i ɲ a
Peraštanin	p ě r a ʃ t a n i n
percepcija	p e r t͡s ě p t͡s i j a
perfekat	p ě r f e k a t
perfekcionizam	p e r f e k t͡s i o n ǐ z a m
perfekt	p ě r f e k t
perfektivan	p ê r f e k t iː ʋ a n
Perica	p ě r i t͡s a
Perić	p ěː r i t͡ɕ
perihel	p e r ǐ x e l
perika	p ě r i k a
perilica	p ě r i l i t͡s a
perina	p ê r i n a
period	p e r ǐ o d
periodički	p e r i ǒ d i t͡ʃ k i
periskop	p ě r i s k o p
Perišić	p ě r i ʃ i t͡ɕ
perjanica	p ě r j a n i t͡s a
perjanik	p ě r j a n iː k
perje	p êː r j e
Perković	p ěː r k o ʋ i t͡ɕ
perla	p êː r l a
permanentan	p e r m a n ě n t a n
permanentnost	p e r m a n ě n t n oː s t
permutacija	p e r m u t ǎː t͡s i j a
pernat	p ě r n a t
pero	p ě r o
Pero	p ěː r o
Persefona	p e r s e f o n a
persirati	p e r s ǐː r a t i
personalan	p ê r s o n aː l a n
personifikacija	p e r s o n i f i k ǎː t͡s i j a
perspektiva	p e r s p e k t ǐː ʋ a
perspektivan	p ê r s p e k t iː ʋ a n
peršin	p êː r ʃ i n
Peru	p e r u
Peruanac	p e r u ǎː n a t͡s
peruanski	p e r ǔ aː n s k iː
Perun	p ê r u n
perunika	p e r ǔ n i k a
Peruško	p ě r u ʃ k o
perut	p ê r uː t
Pervan	p ě r ʋ a n
perverzan	p ě r ʋ e r z a n
perverzija	p e r ʋ ě r z i j a
perverzno	p ě r ʋ e r z n o
Perzija	p ě r z i j a
perzijski	p ě r z iː j s k iː
pesak	p ěː s a k
peskarija	p e s k ǎ r i j a
pesma	p ê s m a
pesnica	p ě s n i t͡s a
pesnik	p ê s n iː k
pest	p êː s t
pesticid	p e s t ǐ t͡s iː d
pešačiti	p e ʃ ǎː t͡ʃ i t i
pešadija	p e ʃ ǎ d i j a
pešak	p ě ʃ aː k
pešaštvo	p e ʃ ǎː ʃ t ʋ o
peščanik	p e ʃ t͡ʃ ǎ n iː k
peščenjak	p e ʃ t͡ʃ ě ɲ aː k
pešice	p ê ʃ i t͡s eː
Pešić	p ê ʃ i t͡ɕ
peškarija	p e ʃ k ǎ r i j a
peškati	p ě ʃ k a t i
peške	p ê ʃ k eː
peškir	p ě ʃ k iː r
pešt	p ê ʃ t
pet	p êː t
pet	p ê t
peta	p ěː t a
petak	p ě t aː k
petao	p ěː t a o
Petar	p ě t a r
petarda	p ě t aː r d a
peteljka	p ê t eː ʎ k a
Peteranec	p e t e r ǎː n e t͡s
petero	p ê t e r o
peterokut	p ê t e r o k uː t
petica	p ě t i t͡s a
petica	p ěː t i t͡s a
petina	p ě t i n a
Petlovac	p ěː t l o ʋ a t͡s
petlja	p ê t ʎ a
petljati	p ě t ʎ a t i
petnaestak	p e t n a ěː s t a k
petorica	p e t ǒ r i t͡s a
Petrčane	p ě t r̩ t͡ʃ aː n e
Petrijanec	p e t r i j ǎː n e t͡s
Petrograd	p ě t r o ɡ r aː d
Petrovac	p ě t r o ʋ a t͡s
Petrović	p ě t r o ʋ i t͡ɕ
Petrovsko	p ě t r o ʋ s k oː
petunija	p ě t uː n i j a
pev	p êː ʋ
pevac	p ěː ʋ a t͡s
pevač	p ě ʋ aː t͡ʃ
pevačica	p e ʋ ǎ t͡ʃ i t͡s a
pevati	p ê ʋ a t i
pi	p îː
pica	p ǐː t s a
pica	p î t s a
picajzla	p i t͡s ǎ j z l a
pička	p î t͡ʃ k a
piće	p ǐː t͡ɕ e
pidžama	p i d͡ʒ ǎː m a
pigmejski	p ǐ ɡ m e j s k iː
pigment	p ǐ ɡ m e n t
pigmentacija	p i ɡ m e n t ǎː t͡s i j a
pijaca	p ǐ j a t͡s a
pijan	p ǐ j a n
pijanac	p i j ǎː n a t͡s
pijandura	p i j ǎ n d u r a
pijanica	p ǐ j a n i t͡s a
pijanino	p i j ǎ n iː n o
pijanist	p i j ǎ n i s t
pijanistica	p i j ǎ n i s t i t͡s a
pijanka	p ǐ j aː n k a
pijano	p ǐ j aː n o
pijanstvo	p i j ǎː n s t ʋ o
pijat	p ǐ j a t
pijesak	p j ěː s a k
pijetao	p j ěː t a o
pijevac	p j ěː ʋ a t͡s
pijun	p ǐ j uː n
pik	p î k
pikado	p i k âː d o
pikat	p î k aː t
piksel	p ǐ k s e l
piksla	p ǐ k s l a
pil	p îː l
pila	p ǐː l a
pilad	p î l aː d
Pilar	p î l aː r
pilav	p ǐ l aː ʋ
pile	p î l e
pileći	p ǐ l e t͡ɕ iː
pilence	p i l ěː n t͡s e
piletina	p ǐ l e t i n a
piliti	p ǐː l i t i
pinceta	p i n t͡s ě t a
pintar	p ǐ n t aː r
pipa	p î p a
piramidalan	p î r a m i d aː l a n
pirat	p ǐ r aː t
Pirić	p ǐː r i t͡ɕ
pirija	p îː r i j a
piroga	p ǐ r o ɡ a
piroksen	p i r ǒ k s eː n
piroksilin	p i r o k s ǐ l iː n
piroška	p ǐ r o ʃ k a
Pirovac	p î r o ʋ a t͡s
pirožak	p ǐ r o ʒ a k
pisac	p ǐː s a t͡s
pisač	p ǐ s aː t͡ʃ
pisak	p îː s a k
pisaljka	p ǐː s aː ʎ k a
pisanka	p ǐː s aː n k a
pisar	p ǐ s aː r
Pisarovina	p i s ǎː r o ʋ i n a
pisati	p ǐː s a t i
piskati	p î s k a t i
piskavac	p î s k a ʋ a t͡s
pisme	p îː s m e
pismen	p î s m e n
pismeno	p î s m e n o
pismenost	p î s m e n oː s t
pismo	p ǐː s m o
pista	p î s t a
pistač	p ǐ s t aː t͡ʃ
pistać	p ǐ s t aː t͡ɕ
pišati	p ǐ ʃ a t i
piščev	p ǐː ʃ t͡ʃ e ʋ
pišljiv	p ǐ ʃ ʎ i ʋ
pita	p î t a
pitak	p î t a k
pitanje	p ǐː t aː ɲ e
pitar	p ǐ t aː r
pitati	p ǐː t a t i
pitati	p î t a t i
piti	p î t i
pitom	p ǐ t o m
pitomac	p i t ǒː m a t͡s
Pitomača	p î t o m a t͡ʃ a
pitomica	p i t ǒ m i t͡s a
pitomost	p ǐ t o m oː s t
piton	p ǐ t oː n
pitoreskan	p i t o r ě s k a n
Pituh	p i t u x
piva	p ǐː ʋ a
pivar	p ǐ ʋ aː r
Pivarić	p ǐ ʋ a r i t͡ɕ
pivarski	p ǐ ʋ aː r s k iː
pivarski	p ǐ ʋ aː r s k i
pivarstvo	p i ʋ ǎː r s t ʋ o
pivnica	p ǐː ʋ n i t͡s a
pivničar	p ǐː ʋ n i t͡ʃ aː r
pivničarka	p ǐː ʋ n i t͡ʃ aː r k a
pivo	p îː ʋ o
pivski	p îː ʋ s k iː
pizda	p ǐː z d a
pizdarija	p i z d ǎ r i j a
pizdek	p i z d e k
pizdeti	p ǐː z d e t i
pizditi	p ǐː z d i t i
pizdun	p ǐ z d uː n
pizma	p î z m a
Pjanić	p j âː n i t ɕ
pjat	p j â t
pjega	p j ê ɡ a
pjenez	p j ê n eː z
pjenez	p j ě n e z
pjeniti	p j ê n i t i
pjenušav	p j e n ǔ ʃ a ʋ
pjesma	p j ê s m a
pjesna	p j ê s n a
pjesnik	p j ê s n iː k
pješačiti	p j e ʃ ǎː t͡ʃ i t i
pješadija	p j e ʃ ǎ d i j a
pješak	p j ě ʃ aː k
pješaštvo	p j e ʃ ǎː ʃ t ʋ o
pješčanik	p j e ʃ t͡ʃ ǎ n iː k
pješčenjak	p j e ʃ t͡ʃ ě ɲ aː k
pješice	p j ê ʃ i t͡s eː
pješke	p j ê ʃ k eː
pjeti	p j ê t i
pjev	p j êː ʋ
pjevač	p j ě ʋ aː t͡ʃ
pjevačica	p j e ʋ ǎ t͡ʃ i t͡s a
pjevati	p j ê ʋ a t i
placenta	p l ǎ t͡s eː n t a
plač	p l â t͡ʃ
plačan	p l â t͡ʃ a n
plačko	p l ǎː t͡ʃ k o
plačljiv	p l ǎ t͡ʃ ʎ i ʋ
plaća	p l ǎː t͡ɕ a
plaćati	p l ǎː t͡ɕ a t i
plaćenica	p l âː t͡ɕ e n i t͡s a
plaćenik	p l âː t͡ɕ e n iː k
pladanj	p l ǎ d a ɲ
plah	p l âː x
plahta	p l â x t a
plakanje	p l â k aː ɲ e
plakati	p l ǎː k a t i
plam	p l âː m
plamen	p l â m eː n
plamen	p l ǎ m e n
plamenac	p l a m ěː n a t͡s
plamičac	p l a m ǐː t͡ʃ a t͡s
plamičak	p l a m ǐː t͡ʃ a k
plan	p l âː n
planer	p l ǎ n eː r
planet	p l ǎ n eː t
planeta	p l a n ěː t a
planina	p l a n ǐ n a
planina	p l â n i n a
planinar	p l a n ǐ n aː r
Planinić	p l ǎ n i n i t͡ɕ
planinski	p l ǎ n iː n s k iː
planirano	p l ǎ n iː r aː n o
planirati	p l a n ǐː r a t i
plankton	p l ǎ n k t oː n
planktonski	p l ǎ n k t oː n s k iː
planski	p l âː n s k iː
planski	p l âː n s k i
Plantak	p l â n t a k
plantaža	p l a n t ǎː ʒ a
planuti	p l ǎ n u t i
plasirati	p l a s ǐː r a t i
plasman	p l ǎ s m aː n
plast	p l âː s t
plastelin	p l a s t ě l iː n
plastenik	p l a s t ě n iː k
plastičan	p l ǎ s t i t͡ʃ a n
plastičar	p l ǎ s t i t͡ʃ aː r
plastično	p l ǎ s t i t͡ʃ n o
plastičnost	p l ǎ s t i t͡ʃ n oː s t
plastika	p l ǎ s t i k a
plašilo	p l â ʃ i l o
plašiti	p l â ʃ i t i
plašljiv	p l ǎ ʃ ʎ i ʋ
plašljivo	p l ǎ ʃ ʎ i ʋ o
plašljivost	p l ǎ ʃ ʎ i ʋ oː s t
plašt	p l âː ʃ t
plata	p l ǎː t a
platac	p l ǎː t a t͡s
platforma	p l ǎ t f oː r m a
platfus	p l ǎ t f u s
platina	p l ǎ t i n a
platinski	p l â t i n s k iː
platiša	p l ǎ t i ʃ a
platiti	p l ǎː t i t i
plativ	p l ǎ t i ʋ
platnen	p l ǎ t n e n
platni	p l âː t n iː
platno	p l ǎː t n o
plato	p l ǎ t oː
Platon	p l ǎ t oː n
platonski	p l ǎ t oː n s k iː
platonski	p l ǎ t oː n s k i
plauzibilan	p l â u z i b iː l a n
plauzibilnost	p l a u z i b ǐː l n oː s t
plav	p l âː ʋ
plavetan	p l â ʋ e t a n
plavetnilo	p l a ʋ ě t n i l o
plavičast	p l ǎ ʋ i t͡ʃ a s t
plaviti	p l ǎː ʋ i t i
plavka	p l âː ʋ k a
plavojka	p l ǎ ʋ oː j k a
plavokos	p l a ʋ ǒ k o s
plavokrvan	p l â ʋ o k rː ʋ a n
plavook	p l a ʋ ǒ o k
plavuša	p l ǎ ʋ u ʃ a
plaziti	p l â z i t i
plebejac	p l e b ěː j a t͡s
plebejka	p l ě b eː j k a
plebejski	p l ě b eː j s k iː
plebejski	p l ě b eː j s k i
pleća	p l ě t͡ɕ a
plećat	p l ě t͡ɕ a t
pleće	p l ě t͡ɕ e
plećka	p l ê t͡ɕ k a
pleh	p l ê x
pleiotropija	p l e i o t r ǒ p i j a
plemenima	p l e m ě n i m a
plemenit	p l e m ě n i t
plemenit	p l ê m e n i t
plemenitaš	p l e m e n ǐ t aː ʃ
plemenitašica	p l e m e n i t ǎ ʃ i t͡s a
plemenitost	p l e m ě n i t oː s t
plemenitost	p l ê m e n i t oː s t
plemenski	p l ê m e n s k iː
plemenski	p l ê m e n s k i
plemić	p l ê m iː t͡ɕ
plemić	p l ě m iː t͡ɕ
Plemić	p l ê m i t͡ɕ
plemkinja	p l ê m k i ɲ a
plemstvo	p l ě m s t ʋ o
plen	p l êː n
pleonastičan	p l e o n ǎ s t i t͡ʃ a n
pleonazam	p l e o n ǎ z a m
pleroma	p l e r ǒː m a
ples	p l êː s
plesač	p l ě s aː t͡ʃ
plesačica	p l e s ǎ t͡ʃ i t͡s a
plesan	p l êː s a n
plesati	p l ěː s a t i
plesniv	p l ě s n i ʋ
plesniviti	p l ě s n i ʋ i t i
plesnivost	p l ě s n i ʋ oː s t
pleso	p l ê s o
plesti	p l ê s t i
pleša	p l ê ʃ a
plešiv	p l ě ʃ i ʋ
pletenica	p l e t ě n i t͡s a
pletivo	p l ê t iː ʋ o
plićak	p l ǐ t͡ɕ aː k
plijen	p l j êː n
plijesan	p l j êː s a n
plima	p l ǐː m a
plimni	p l îː m n iː
plin	p l îː n
plinovit	p l i n ǒ ʋ i t
plinovod	p l î n o ʋ oː d
pliska	p l î s k a
pliš	p l î ʃ
plišani	p l ǐ ʃ a n iː
plitak	p l ǐː t a k
plitica	p l î t i t͡s a
plitko	p l îː t k o
plitkost	p l ǐː t k oː s t
plitva	p l î t ʋ a
plivač	p l ǐ ʋ aː t͡ʃ
plivačica	p l i ʋ ǎ t͡ʃ i t͡s a
plivački	p l ǐ ʋ aː t͡ʃ k iː
plivački	p l ǐ ʋ aː t͡ʃ k i
plivaći	p l ǐ ʋ aː t͡ɕ iː
plivalište	p l ǐ ʋ a l iː ʃ t e
plivanje	p l î ʋ aː ɲ e
plivati	p l î ʋ a t i
ploča	p l ô t͡ʃ a
pločica	p l ô t͡ʃ i t͡s a
pločnik	p l ô t͡ʃ n iː k
plod	p l ôː d
plodan	p l ô d a n
plodina	p l ô d i n a
ploditi	p l ǒ d i t i
plodnica	p l ô d n i t͡s a
plodno	p l ô d n o
plodnost	p l ô d n oː s t
plodonosan	p l o d ǒ n o s a n
plodored	p l ô d o r eː d
ploha	p l ǒ x a
plomba	p l ôː m b a
Plominština	p l o m ǐː n ʃ t i n a
plotun	p l ǒ t uː n
plovan	p l ôː ʋ a n
plovidba	p l ǒ ʋ i d b a
ploviti	p l ǒ ʋ i t i
plovnost	p l ǒː ʋ n oː s t
plovučac	p l o ʋ ǔː t͡ʃ a t͡s
plovućac	p l o ʋ ǔː t͡ɕ a t͡s
pluća	p l ǔː t͡ɕ a
plućni	p l ûː t͡ɕ n iː
plug	p l û ɡ
plural	p l ǔ r aː l
pluralistički	p l u r a l ǐ s t i t͡ʃ k iː
pluralistički	p l u r a l ǐ s t i t͡ʃ k i
pluralizacija	p l u r a l i z ǎː t͡s i j a
pluralizam	p l u r a l ǐ z a m
pluralni	p l û r aː l n iː
pluralnost	p l u r ǎː l n oː s t
pluskvamperfekat	p l u s k ʋ a m p ě r f e k a t
pluskvamperfekt	p l u s k ʋ a m p ě r f e k t
pluta	p l û t a
plutača	p l ǔ t a t͡ʃ a
plutati	p l ǔ t a t i
pluti	p l û t i
pluto	p l û t o
plutokracija	p l u t o k r ǎ t͡s i j a
plutokratski	p l u t ǒ k r a t s k iː
plutokratski	p l u t ǒ k r a t s k i
Pluton	p l ǔ t oː n
plužni	p l û ʒ n iː
pljačka	p ʎ â t͡ʃ k a
pljačkaški	p ʎ ǎ t͡ʃ k aː ʃ k iː
pljačkati	p ʎ â t͡ʃ k a t i
pljesak	p ʎ êː s a k
pljeskati	p ʎ ê s k a t i
pljesniv	p ʎ ě s n i ʋ
pljesniviti	p ʎ ě s n i ʋ i t i
pljesnivost	p ʎ ě s n i ʋ oː s t
plješa	p ʎ ê ʃ a
plješiv	p ʎ ě ʃ i ʋ
Pljevlja	p ʎ êː ʋ ʎ a
Pljevljak	p ʎ êː ʋ ʎ aː k
pljunuti	p ʎ û n u t i
pljuska	p ʎ û s k a
pljuštati	p ʎ ǔː ʃ t a t i
pljuvač	p ʎ ǔ ʋ aː t͡ʃ
pljuvačica	p ʎ u ʋ ǎ t͡ʃ i t͡s a
pljuvačka	p ʎ ǔ ʋ a t͡ʃ k a
pljuvati	p ʎ û ʋ a t i
pneumatologija	p n e u m a t o l ǒ ɡ i j a
pneumatski	p n e ǔ m a t s k iː
po	p ôː
po	p ô
Po	p ôː
pobacati	p o b ǎ t͡s a t i
pobaciti	p o b ǎː t͡s i t i
pobačaj	p ô b a t͡ʃ aː j
pobadati	p o b ǎː d a t i
pobeći	p ǒ b e t͡ɕ i
pobeda	p ô b e d a
pobediti	p o b ěː d i t i
pobediv	p o b ě d i ʋ
pobednik	p ǒ b e d n iː k
pobeđivati	p o b e d͡ʑ ǐː ʋ a t i
pobegulja	p o b ě ɡ u ʎ a
pobeliti	p o b ěː l i t i
pobeljivati	p o b e ʎ ǐː ʋ a t i
pobesniti	p o b ě s n i t i
pobijati	p o b ǐː j a t i
pobijediti	p o b j ěː d i t i
pobijeliti	p o b i j ěː l i t i
pobiti	p ǒ b i t i
pobjeći	p ǒ b j e t͡ɕ i
pobjeda	p ô b j e d a
pobjediv	p o b j ě d i ʋ
pobjednik	p ǒ b j e d n iː k
pobjeđivati	p o b j e d͡ʑ ǐː ʋ a t i
pobjegulja	p o b j ě ɡ u ʎ a
pobjeljivati	p o b j e ʎ ǐː ʋ a t i
pobjesniti	p o b j ě s n i t i
pobledeti	p o b l ěː d e t i
poblediti	p ǒ b l e d i t i
poblijediti	p ǒ b l i j e d i t i
poblijedjeti	p o b l i j ěː d j e t i
pobliže	p ô b l i ʒ eː
pobočnik	p ô b o t͡ʃ n iː k
poboljšanje	p o b o ʎ ʃ ǎː ɲ e
poboljšati	p o b ǒ ʎ ʃ a t i
poboljšavati	p o b o ʎ ʃ ǎː ʋ a t i
pobornica	p ǒ b oː r n i t͡s a
pobornik	p ǒ b oː r n iː k
pobosti	p o b ǒ s t i
pobožan	p ô b o ʒ a n
pobratim	p ǒ b r a t i m
pobuda	p ô b u d a
pobuditi	p o b ǔː d i t i
pobuđivati	p o b u d͡ʑ ǐː ʋ a t i
pobuna	p ô b u n a
pobuniti	p o b ǔː n i t i
pobunjenica	p o b u ɲ ě n i t͡s a
pobunjenik	p o b u ɲ ě n iː k
pobunjivati	p o b u ɲ ǐː ʋ a t i
počakati	p o t ʃ a k a t i
počast	p ô t͡ʃ aː s t
počastiti	p o t͡ʃ ǎ s t i t i
počelo	p o t͡ʃ ěː l o
početak	p o t͡ʃ ěː t a k
početi	p ǒ t͡ʃ eː t i
početkom	p o t͡ʃ ěː t k o m
početni	p ǒ t͡ʃ e t n iː
početnica	p ǒ t͡ʃ e t n i t͡s a
početnik	p ǒ t͡ʃ e t n iː k
počiniti	p o t͡ʃ ǐ n i t i
počinuti	p ǒ t͡ʃ i n u t i
počinjati	p ǒ t͡ʃ i ɲ a t i
počistiti	p ǒ t͡ʃ i s t i t i
poći	p ǒː t͡ɕ i
pod	p ô d
pod	p ô d
podanica	p ǒ d a n i t͡s a
podanik	p ǒ d a n iː k
podao	p ô d a o
podatak	p o d ǎː t a k
podbaciti	p o d b ǎː t͡s i t i
podbadati	p o d b ǎː d a t i
podbel	p ǒ d b e l
podbeo	p ǒ d b e o
podbijel	p ǒ d b i j e l
podbio	p ǒ d b i o
podbjel	p ǒ d b j e l
podbosti	p o d b ǒ s t i
podcijeniti	p o d t͡s i j ěː n i t i
Podcrkavlje	p ǒ d t͡s r̩ k aː ʋ ʎ e
podcrtati	p ǒ d t͡s r̩ t a t i
podcrtavati	p o d t͡s r̩ t ǎː ʋ a t i
podčiniti	p o d t͡ʃ ǐ n i t i
podčinjavati	p o d t͡ʃ i ɲ ǎː ʋ a t i
podela	p ô d e l a
podeliti	p o d ěː l i t i
poderati	p o d ě r a t i
poderiv	p o d ě r i ʋ
podesan	p ô d e s a n
podesiti	p ǒ d e s i t i
podest	p ǒ d e s t
podešavati	p o d e ʃ ǎː ʋ a t i
podglavlje	p ǒ d ɡ l aː ʋ ʎ e
Podgora	p ô d ɡ o r a
Podgorač	p o d ɡ ǒ r aː t͡ʃ
Podgorica	p ǒ d ɡ o r i t͡s a
Podgoričanin	p ǒ d ɡ o r i t͡ʃ a n i n
podgraditi	p o d ɡ r ǎː d i t i
podgrađivati	p o d ɡ r a d͡ʑ ǐː ʋ a t i
podgrejati	p ǒ d ɡ r e j a t i
podgrejavati	p o d ɡ r e j ǎː ʋ a t i
podgrijati	p ǒ d ɡ r i j a t i
podgrijavati	p o d ɡ r i j ǎː ʋ a t i
podgristi	p ǒ d ɡ r i s t i
podgrizati	p o d ɡ r ǐː z a t i
podičiti	p ǒ d i t͡ʃ i t i
podići	p ǒ d i t͡ɕ i
podići	p o d ǐː t͡ɕ i
podignuti	p ǒ d i ɡ n u t i
podijeliti	p o d j ěː l i t i
podilaziti	p o d ǐ l a z i t i
podizati	p ǒ d i z a t i
podjarmiti	p o d j ǎː r m i t i
podjarmljivati	p o d j a r m ʎ ǐː ʋ a t i
podjela	p ô d j e l a
podlac	p ǒ d l a t͡s
podlistak	p ǒ d l i s t a k
podmazati	p ǒ d m a z a t i
podmazivati	p o d m a z ǐː ʋ a t i
podmićivati	p o d m i t͡ɕ ǐː ʋ a t i
podmititi	p o d m ǐː t i t i
podmitljiv	p o d m ǐ t ʎ i ʋ
podmitljivost	p o d m ǐ t ʎ i ʋ oː s t
podmorje	p ǒ d m oː r j e
podmornica	p ǒ d m oː r n i t͡s a
podmorničar	p ǒː d m o r n i t͡ʃ aː r
podmornički	p ǒ d m oː r n i t͡ʃ k iː
podmorski	p ǒ d m o r s k iː
podmukao	p ǒ d m uː k a o
podmuklo	p ǒ d m uː k l o
podmuklost	p ǒ d m uː k l oː s t
podnaslov	p o d n ǎː s l o ʋ
podne	p ǒː d n eː
podneblje	p ǒː d n eː b ʎ e
podneti	p ǒ d n eː t i
podnevni	p ǒː d n eː ʋ n iː
podnevnik	p ǒː d n eː ʋ n iː k
podnijeti	p ǒ d n i j eː t i
podnosilac	p o d n ǒ s i l a t͡s
podnositelj	p o d n ǒ s i t e ʎ
podnositi	p o d n ǒ s i t i
podnošljiv	p o d n ǒ ʃ ʎ i ʋ
podnožje	p ǒ d n oː ʒ j e
podoban	p ô d o b a n
podoficir	p ô d o f i t͡s iː r
podoknica	p ǒ d o k n i t͡s a
podraniti	p ǒ d r a n i t i
podrazumevati	p o d r a z u m ěː ʋ a t i
podrazumijevati	p o d r a z u m j ěː ʋ a t i
podrediti	p o d r êː d i t i
podrezati	p ǒ d r e z a t i
podrezivati	p o d r e z ǐː ʋ a t i
podrigivati	p o d r i ɡ ǐː ʋ a t i
podrignuti	p ǒ d r i ɡ n u t i
podrijetlo	p o d r j ěː t l o
podroban	p ô d r o b a n
podrobno	p ô d r o b n o
podrška	p ǒ d r̩ ʃ k a
područje	p ǒ d r uː t͡ʃ j e
područni	p ǒ d r u t͡ʃ n iː
Podrug	p ô d r uː ɡ
podrugivati	p o d r u ɡ ǐː ʋ a t i
podrugnuti	p ǒ d r u ɡ n u t i
podrum	p ǒ d r u m
podružnica	p ǒ d r u ʒ n i t͡s a
podržavati	p o d r̩ ʒ ǎː ʋ a t i
podsećati	p ǒ d s e t͡ɕ a t i
podsetiti	p ǒ d s e t i t i
podsetnik	p ǒ d s e t n iː k
podsjećati	p ǒ d s j e t͡ɕ a t i
podsjetiti	p ǒ d s j e t i t i
podsjetnik	p ǒ d s j e t n iː k
podsmeh	p ô d s m eː x
podsmijeh	p ô d s m i j eː x
podstaći	p ǒ d s t a t͡ɕ i
podstaknuti	p o d s t ǎ k n u t i
podstanar	p ô d s t a n aː r
podstanarka	p ô d s t a n aː r k a
podstanarski	p ô d s t a n aː r s k iː
podstanarski	p ô d s t a n aː r s k i
podstava	p ô d s t a ʋ a
podstaviti	p ǒ d s t a ʋ i t i
podsticati	p ǒ d s t i t͡s a t i
Podstrana	p o d s t r ǎː n a
podstrek	p ô d s t r eː k
podstrekač	p o d s t r ě k aː t͡ʃ
podstrići	p ǒ d s t r i t͡ɕ i
podstrizati	p o d s t r ǐː z a t i
podsuknja	p ǒ d s u k ɲ a
podsvest	p ô d s ʋ eː s t
podsvestan	p ô d s ʋ e s t a n
podsvijest	p ô d s ʋ j eː s t
podsvjestan	p ô d s ʋ j e s t a n
podšprajcati	p ǒ d ʃ p r a j t͡s a t i
Podturen	p ǒ d t u r e n
podučavati	p o d u t͡ʃ ǎː ʋ a t i
podučiti	p o d ǔ t͡ʃ i t i
podudaran	p ô d u d aː r a n
podudarati	p o d ǔ d a r a t i
podudariti	p o d ǔ d a r i t i
podudarnost	p o d u d ǎː r n oː s t
podugačak	p ô d u ɡ a t͡ʃ a k
poduhvat	p ô d u x ʋ a t
poduka	p ô d u k a
poduzeće	p o d u z e t͡ɕ e
poduzeti	p o d ǔ z eː t i
poduzetnica	p ô d u z eː t n i t͡s a
poduzetnica	p ô d u z e t n i t͡s a
poduzetnik	p ô d u z eː t n iː k
poduzetništvo	p ô d u z eː t n iː ʃ t ʋ o
poduzimati	p o d ǔ z i m a t i
podvala	p ô d ʋ a l a
podvaliti	p o d ʋ ǎː l i t i
podvaljivati	p o d ʋ a ʎ ǐː ʋ a t i
podvesti	p ǒ d ʋ e s t i
podvig	p ô d ʋ iː ɡ
podvodač	p o d ʋ ǒ d aː t͡ʃ
podvoditi	p o d ʋ ǒ d i t i
podvostručiti	p o d ʋ ǒ s t r u t͡ʃ i t i
podzemlje	p ǒː d z eː m ʎ e
poen	p ǒ eː n
poetici	p o ě t i t͡s i
poetika	p o ě t i k a
poetike	p o ě t i k e
poetiko	p o ě t i k o
poetikom	p o ě t i k o m
poetiku	p o ě t i k u
poezija	p ǒ eː z i j a
pogača	p ǒ ɡ a t͡ʃ a
pogađač	p o ɡ ǎ d͡ʑ aː t͡ʃ
pogađati	p o ɡ ǎː d͡ʑ a t i
pogasiti	p o ɡ ǎː s i t i
pogibati	p o ɡ ǐː b a t i
poginuti	p ǒ ɡ i n u t i
poglavar	p o ɡ l ǎ ʋ aː r
poglavito	p ǒ ɡ l a ʋ i t o
poglavlje	p ǒ ɡ l aː ʋ ʎ e
pogled	p ô ɡ l eː d
pogledati	p ǒ ɡ l e d a t i
pogledavati	p o ɡ l e d ǎː ʋ a t i
pogodak	p ǒ ɡ o d a k
pogodan	p ô ɡ o d a n
pogoditi	p o ɡ ǒ d i t i
pogodnost	p o ɡ ǒː d n oː s t
pogotovo	p o ɡ ǒ t o ʋ o
pogovor	p ô ɡ o ʋ oː r
pogrbiti	p ǒ ɡ r b i t i
pogrbljivati	p o ɡ r b ʎ ǐː ʋ a t i
pogreb	p ǒ ɡ r e b
pogrešan	p ǒ ɡ r e ʃ a n
pogrešiti	p o ɡ r ěː ʃ i t i
pogrešiv	p o ɡ r ě ʃ i ʋ
pogreška	p ǒ ɡ r e ʃ k a
pogrešno	p ǒ ɡ r e ʃ n o
pogriješiti	p o ɡ r j ěː ʃ i t i
pogrješka	p ǒ ɡ r j e ʃ k a
poguban	p ô ɡ uː b a n
pohabati	p ǒ x a b a t i
pohati	p ô x a t i
pohitati	p ǒ x i t a t i
pohlepa	p ô x l e p a
pohlepan	p ô x l eː p a n
pohlepno	p ô x l eː p n o
