'da	d a
lugan	l u ɡ a n
lungon	l u ŋ o n
mabolo	m ɐ b o l o
madaddan	m ɐ d ɐ d d a n
makataktakki	m ɐ k ɐ t ɐ k t ɐ k k i
makita	m ɐ k i t a
mama	m ɐ m a
mamam	m ɐ m a m
mannanakaw	m ɐ n n ɐ n a k a ʊ̯
manong	m ɐ n o ŋ
mapa	m ɐ p a
mata	m ɐ t a
maysa	m a ɪ̯ s a
met	m e t
met	m ɯ t
mil	m i l
mt	m e t
munisipio	m u n i s i p j o
mura	m u ɾ a
nabaaw	n ɐ b a ʔ a u
nabanglo	n ɐ b ɐ ŋ l o
nabartek	n ɐ b ɐ ɾ t ɛ k
nabartek	n ɐ b ɐ ɾ t ɯ k
nabasa	n ɐ b ɐ s a
nadagsen	n ɐ d ɐ ɡ s e n
nadagsen	n ɐ d ɐ ɡ s ɯ n
nadalus	n ɐ d a l u s
nagan	n ɐ ɡ a n
naid	n ɐ i d
naimas	n ɐ ʔ i m a s
namaga	n ɐ m ɐ ɡ a
namayat	n ɐ m ɐ j a t
nanang	n ɐ n a ŋ
napintas	n ɐ p i n t a s
napudot	n ɐ p u d o t
naruot	n ɐ ɾ u ʔ o t
nasadut	n ɐ s ɐ d u t
natakrot	n ɐ t ɐ k ɾ o t
naulep	n ɐ ʔ u l e p
naulep	n ɐ ʔ u l ɯ p
nepo	n e p o
nga'd	ŋ a d
ngalod	ŋ ɐ l o d
ngarod	ŋ ɐ ɾ o d
ngarud	ŋ ɐ ɾ u d
ngay	ŋ a ɪ̯
ngipen	ŋ i p e n
ngipen	ŋ i p ɯ n
niaeta	ɲ ɐ e t a
niog	ɲ o ɡ
nipa	n i p ɐ ʔ
nuang	n w ɐ ŋ
nuebe	n w e b e
nyaeta	n j ɐ e t a
obispo	ʔ o b i s p o
onse	ʔ o n s e
otro	ʔ o t ɾ o
otso	ʔ o t͡ʃ o
padi	p ɐ d i
paet	p ɐ ɯ t
paet	p ɐ ʔ e t
pagtayaban	p ɐ ɡ t ɐ j a b a n
pakasaritaan	p ɐ k ɐ s ɐ ɾ i t a ɐ n
pakdaar	p ɐ k d a ʔ ɐ ɾ
palakol	p ɐ l ɐ k o l
palasio	p ɐ l a ʃ o
palayaw	p ɐ l a j a ʊ̯
paltog	p ɐ l t o ɡ
pamilia	p ɐ m i l j a
pamilia	p ɐ m i ʎ ɐ
pampam	p ɐ m p a m
panday	p ɐ n d a ɪ̯
pandemia	p ɐ n d e m j ɐ
pangnagan	p ɐ ŋ n a ɡ a n
panio	p ɐ ɲ o
panniki	p ɐ n n i k i
parit	p ɐ ɾ i t
parsua	p ɐ ɾ s w ɐ
patay	p ɐ t a ɪ̯
pateg	p ɐ t e ɡ
pateg	p ɐ t ɯ ɡ
paway	p ɐ w a ɪ̯
pay	p a ɪ̯
payong	p ɐ j o ŋ
pelikula	p e l i k u l a
periodiko	p e ɾ j o d i k o
perlas	p e ɾ l a s
permiso	p e ɾ m i s o
persen	p e r s e n
persen	p ɯ r s ɯ n
pinggan	p i ŋ ɡ a n
pinikpikan	p i n i k p i k a n
pintas	p i n t a s
pipino	p i p i n o
pito	p i t o
presio	p ɾ e s i j o
presio	p ɾ e ʃ o
probinsia	p ɾ o b i n ʃ a
problema	p ɾ o b l e m a
propeta	p ɾ o p e t a
pudno	p u d n o
pudot	p u d o t
puente	p w e n t e
puerto	p w e ɾ t o
pukaw	p u k a ʊ̯
pukis	p u k i s
puro	p u ɾ o ʔ
pusa	p u s a
pusil	p u s i l
puso	p u s o
puso	p u s u
puspuso	p u s p u s o
puspuso	p u s p u s u
pusta	p u s t a
puyupoy	p u j u p o ɪ̯
py	p a ɪ̯
rabii	ɾ ɐ b i i
radio	ɾ ɐ d͡ʒ o
ragsak	ɾ ɐ ɡ s a k
relo	ɾ e l o
ribo	ɾ i b o
rosario	ɾ o s a ɾ j o
ruot	ɾ u ʔ o t
saan	s ɐ ɐ n
saba	s ɐ b a
sabangan	s ɐ b a ŋ a n
sabon	s ɐ b o n
sadut	s ɐ d u t
sagana	s ɐ ɡ a n a
saiddek	s ɐ i d d e k
saiddek	s ɐ i d d ɯ k
sais	s ɐ ʔ i s
saklolo	s ɐ k l o l o
saksi	s ɐ k s i
sala	s ɐ l a
salamat	s ɐ l a m a t
salomagi	s ɐ l o m a ɡ i
sandalia	s ɐ n d a ʎ ɐ
sandia	s ɐ n d i ɐ
sandinagan	s ɐ n d i n a ɡ a n
sangapulo	s ɐ ŋ ɐ p u l o
sangit	s ɐ ŋ i t
sapatos	s ɐ p a t o s
sarming	s ɐ ɾ m i ŋ
selio	s e ʎ o
semana	s e m a n a
sementerio	s e m e n t e ɾ j o
serbesa	s e ɾ b e s a
shet	ʃ e t
siak	s i j a k
siak	ʃ a k
siam	s i j a m
siam	ʃ a m
sibuyas	s e b u j a s
sibuyas	s i b u j a s
sida	s i d a
siete	s i j e t e
siete	ʃ e t e
sigarilio	s i ɡ ɐ ɾ i ʎ o
sikami	s i x ɐ m i
sikayo	s i x ɐ j o
sikayo	s i x ɐ j u
silindro	s i l i n d ɾ o
simbaan	s i m b a ɐ n
singko	s i ŋ k o
sinonimo	s i n o n i m o
sita	s iː t a
sitaw	s i t a ʊ̯
sitayo	s i t ɐ j o
sitayo	s i t ɐ j u
sitio	s i t͡ʃ o
siudad	ʃ u d a d
soldado	s o l d a d o
suka	s u k a
susi	s u s i
tabbed	t ɐ b b e d
tabbed	t ɐ b b ɯ d
takki	t ɐ k k i
takrot	t ɐ k ɾ o t
takuri	t ɐ k u ɾ i
tallo	t ɐ l l o
tangad	t ɐ ŋ a d
tangrib	t a ŋ ɡ ɾ i b
taning	t ɐ n i ŋ
tao	t aː ʔ o
tao	t aː ʔ u
tapok	t ɐ p o k
taraki	t ɐ ɾ a k i
taraok	t ɐ ɾ a ʔ o k
tawen	t ɐ w e n
tawen	t ɐ w ɯ n
teknolohia	t e k n o l o h j ɐ
telebision	t e l e b i ʃ o n
teltel	t e l t e l
templa	t e m p l a
tia	t i j a
tinidor	t e n e d o ɾ
tinidor	t i n i d o ɾ
tio	t i j o
tipon	t i p o n
toy	t o ɪ̯
tradision	t ɾ ɐ d i s i j o n
tradision	t ɾ ɐ d i ʃ o n
trahedia	t ɾ ɐ h e d i j a
trahedia	t ɾ ɐ h e d͡ʒ ɐ
tres	t ɾ e s
trese	t ɾ e s e
tsinelas	t͡ʃ i n e l a s
tualia	t w ɐ ʎ ɐ
tugtog	t u ɡ t o ɡ
tulang	t u l a ŋ
tulisan	t u l i s a n
tulong	t u l o ŋ
tuloy	t u l o ɪ̯
tumakder	t u m ɐ k d e ɾ
tumakder	t u m ɐ k d ɯ ɾ
tumakder	t u m ɐ ɡ d e ɾ
tumakder	t u m ɐ ɡ d ɯ ɾ
tumulong	t u m u l o ŋ
tunaw	t u n a ʊ̯
turog	t u ɾ o ɡ
tuyo	t u j o
uging	ʔ u ɡ i ŋ
ukay	ʔ u k a ɪ̯
uken	ʔ u k e n
ukina	ʔ u k i n n a
ukinna	ʔ u k i n n a
ukis	ʔ u k i s
ukom	ʔ u k o m
ulep	ʔ u l e p
ulep	ʔ u l ɯ p
uliteg	ʔ u l i t e ɡ
umay	ʔ u m a ɪ̯
umisem	ʔ u m i s e m
umisem	ʔ u m i s ɯ m
uno	ʔ u n o
uong	ʔ u o ŋ
uppat	ʔ u p p a t
uray	ʔ u ɾ a ɪ̯
urok	ʔ u ɾ o k
utong	ʔ u t o ŋ
uwak	ʔ u w a k
uyek	ʔ u j e k
uyek	ʔ u j ɯ k
uyokan	ʔ u j o k a n
wak	w a k
wak	ʔ u w a k
walo	w ɐ l o
wayawaya	w ɐ j ɐ w ɐ j a
wenno	w e n n o
wenno	w ɯ n n o
ya	j ɐ ʔ
yenna	j e n n a
yoyo	j o j o
