á	aː
džihádista	d͡ʒ i ɦ aː d i s t a
džin	d͡ʒ i n
džinizmus	d͡ʒ i n i z m u s
džíp	d͡ʒ iː p
Dzivý	d͡z i ʋ iː
džokej	d͡ʒ ɔ k e ɪ̯
džokeja	d͡ʒ ɔ k e j a
džokejka	d͡ʒ ɔ k e ɪ̯ k a
džokejský	d͡ʒ ɔ k e ɪ̯ s k iː
džudo	d͡ʒ u d ɔ
džungľa	d͡ʒ u ŋ ɡ ʎ a
džungľa	d͡ʒ u ŋ ɡ l a
Džupina	d͡ʒ u p i n a
Dzurik	d͡z u r i k
Dzurilla	d͡z u r i lː a
Dzurinda	d͡z u r i n d a
Dzurjanin	d͡z u r j a ɲ i n
Dzurko	d͡z u r k ɔ
džús	d͡ʒ uː s
džúsový	d͡ʒ uː s ɔ ʋ iː
e	e
é	eː
eben	e b e n
echokardiogram	e x ɔ k a r d i ɔ ɡ r a m
echolokácia	e x ɔ l ɔ k aː t͡s i a
Eder	e ɟ e r
Edita	e d i t a
editovanie	e d i t ɔ ʋ a ɲ ɪ̯ e
editovať	e ɟ i t ɔ ʋ a c
edituje	e ɟ i t u j e
editujem	e ɟ i t u j e m
editujeme	e ɟ i t u j e m e
edituješ	e ɟ i t u j e ʃ
editujete	e ɟ i t u j e c e
editujú	e ɟ i t u j uː
efedra	e f e d r a
efektívny	e f e k c iː u̯ n i
efektívny	e f e k c iː ʋ n i
efendi	e f e n d i
Efezanom	e f e z a n ɔ m
egocentrizmus	e ɡ ɔ t͡s e n t r i z m u s
egoistický	e ɡ ɔ i s c i t͡s k iː
egreš	e ɡ r e ʃ
egreša	e ɡ r e ʃ a
egrešík	e ɡ r e ʃ iː k
egrešíka	e ɡ r e ʃ iː k a
egrešíky	e ɡ r e ʃ iː k i
egrešový	e ɡ r e ʃ ɔ ʋ iː
Egypťanka	e ɡ i p c a ŋ k a
Egypte	e ɡ i p c e
egyptológia	e ɡ i p t ɔ l ɔː ɡ i a
ejakulácia	e j a k u l aː t͡s ɪ̯ a
ejakulovať	e j a k u l ɔ ʋ a c
eklampsia	e k l a m p s i a
eklekticizmus	e k l e k t i t͡s i z m u s
eklektizmus	e k l e k t i z m u s
ekofyziológia	e k ɔ f i z i ɔ l ɔː ɡ i a
ekológ	e k ɔ l ɔː k
ekologička	e k ɔ l ɔ ɡ i t͡ʃ k a
ekonomizácia	e k ɔ n ɔ m i z aː t͡s i a
ekumenizmus	e k u m e n i z m u s
Ekvádor	e k ʋ aː d ɔ r
ekvivalentný	e k ʋ i ʋ a ʎ e n t n iː
ekvivalentný	e k ʋ i ʋ a l e n t n iː
Ela	e l a
elatív	e l a t iː u̯
elégia	e l eː ɡ i a
elektráreň	e l e k t r aː r e ɲ
električka	e l e k t r i t͡ʃ k a
električky	e ʎ e k t r i t͡ʃ k i
električky	e l e k t r i t͡ʃ k i
elektrifikácia	e l e k t r i f i k aː t͡s i a
elektrifikovať	e ʎ e k t r i f i k ɔ ʋ a c
elektrifikovať	e l e k t r i f i k ɔ ʋ a c
elektrika	e l e k t r i k a
elektrina	e l e k t r i n a
elektrolyt	e l e k t r ɔ l i t
elektromagnetizmus	e l e k t r ɔ m a ɡ n e t i z m u s
elektroterapia	e l e k t r ɔ t e r a p i a
elektroterapie	e l e k t r ɔ t e r a p i e
elektroterapii	e l e k t r ɔ t e r a p i i
elektroterapiou	e l e k t r ɔ t e r a p i ɔ u̯
elektroterapiu	e l e k t r ɔ t e r a p i u
element	e l e m e n t
elementárny	e ʎ e m e n t aː r n i
elementárny	e l e m e n t aː r n i
elementu	e ʎ e m e n t u
elementu	e l e m e n t u
Elena	e l e n a
Eleonóra	e l e ɔ n ɔː r a
Eliáš	e ʎ i aː ʃ
Eliáš	e l i aː ʃ
eliminácia	e l i m i n aː t͡s i a
eliminovať	e ʎ i m i n ɔ ʋ a c
eliminovať	e l i m i n ɔ ʋ a c
Eliška	e ʎ i ʃ k a
Eliška	e l i ʃ k a
Eľko	e ʎ k ɔ
Eľko	e l k ɔ
Elvíra	e l ʋ iː r a
Ema	e m a
emancipácia	e m a n t͡s i p aː t͡s i a
embargo	e m b a r ɡ ɔ
embólia	e m b ɔː l i a
emigrácia	e m i ɡ r aː t͡s i a
emigroval	e m i ɡ r ɔ ʋ a l
emigrovala	e m i ɡ r ɔ ʋ a l a
emigrovať	e m i ɡ r ɔ ʋ a c
Emil	e m i l
Emília	e m iː l i a
eminentná	e m i ɲ e n t n aː
eminentné	e m i ɲ e n t n eː
eminentného	e m i ɲ e n t n eː ɦ ɔ
eminentnej	e m i ɲ e n t ɲ e ɪ̯
eminentnému	e m i ɲ e n t n eː m u
eminentní	e m i ɲ e n t ɲ iː
eminentnom	e m i ɲ e n t n ɔ m
eminentnou	e m i ɲ e n t n ɔ u̯
eminentnú	e m i ɲ e n t n uː
eminentný	e m i ɲ e n t n iː
eminentných	e m i ɲ e n t n iː x
eminentným	e m i ɲ e n t n iː m
eminentnými	e m i ɲ e n t n iː m i
emocionálne	e m ɔ t͡s i ɔ n aː l ɲ e
emocionálnosť	e m ɔ t͡s i ɔ n aː l n ɔ s c
emocionálny	e m ɔ t͡s i ɔ n aː l n i
encyklopédia	e n t͡s i k l ɔ p eː d i a
endemit	e n d e m i t
endonymum	e n d ɔ n i m u m
enkláva	e ŋ k l aː ʋ a
entomológia	e n t ɔ m ɔ l ɔː ɡ i a
entozoon	e n t ɔ z ɔ ɔ n
entuziastický	e n t u z i a s t i t͡s k iː
entuziazmus	e n t u z i a z m u s
enunciácia	e n u n t͡s i aː t͡s i a
environment	e n ʋ i r ɔ n m e n t
environment	e ɱ ʋ i r ɔ n m e n t
environmentálny	e n ʋ i r ɔ n m e n t aː l n i
environmentálny	e ɱ ʋ i r ɔ n m e n t aː l n i
enzým	e n z iː m
enzým	e n̠ z iː m
epidémia	e p i d eː m i a
epidemiológia	e p i d e m i ɔ l ɔː ɡ i a
epilepsia	e p i l e p s i a
epistemológia	e p i s t e m ɔ l ɔː ɡ i a
epizóda	e p i z ɔː d a
eponym	e p ɔ n i m
erb	e r p
erdžali	e r d͡ʒ a ʎ i
erdžali	e r d͡ʒ a l i
erdžať	e r d͡ʒ a c
erdží	e r d͡ʒ iː
erekcia	e r e k t͡s i a
ergatív	e r ɡ a t iː u̯
ergonómia	e r ɡ ɔ n ɔː m i a
Erika	e r i k a
Eritrea	e r i t r e a
Ernest	e r n e s t
erodoval	e r ɔ d ɔ ʋ a l
erodovať	e r ɔ d ɔ ʋ a c
erotický	e r ɔ c i t͡s k iː
erupcia	e r u p t͡s i a
Esbjerg	e z b j e r
Esbjerg	e z b j e r k
esej	e s e ɪ̯
esencia	e s e n t͡s i a
eskalácia	e s k a l aː t͡s i a
eskalátor	e s k a l aː t ɔ r
eskalovať	e s k a l ɔ ʋ a c
eskortovať	e s k ɔ r t ɔ ʋ a c
esplanáda	e s p l a n aː d a
ešte	e ʃ c e
Eštok	e ʃ t ɔ k
estónčina	e s t ɔː n t͡ʃ i n a
Estónsko	e s t ɔː n s k ɔ
Estónsko	e s t ɔː n̠ s k ɔ
estrogén	e s t r ɔ ɡ eː n
Eta	e t a
etanol	e t a n ɔ l
Etela	e t e l a
etický	e c i t͡s k iː
Etiópia	e t i ɔː p i a
etnocentrizmus	e t n ɔ t͡s e n t r i z m u s
etnológia	e t n ɔ l ɔː ɡ i a
etnonymum	e t n ɔ n i m u m
etológia	e t ɔ l ɔː ɡ i a
étos	eː t ɔ s
etylén	e t i l eː n
etymológ	e t i m ɔ l ɔː k
etymológia	e t i m ɔ l ɔː ɡ i a
etymologička	e t i m ɔ l ɔ ɡ i t͡ʃ k a
eufemizmus	e u f e m i z m u s
Eugénia	e u̯ ɡ eː n i a
eugenika	e u̯ ɡ e n i k a
eukalyptus	e u k a l i p t u s
eurokomisár	e u r ɔ k ɔ m i s aː r
eurokomisárka	e u r ɔ k ɔ m i s aː r k a
Európa	e u r ɔː p a
europarlament	e u r ɔ p a r l a m e n t
europoslanci	e u r ɔ p ɔ s l a n t͡s i
europoslanec	e u r ɔ p ɔ s l a ɲ e t͡s
Európy	e u r ɔː p i
euroskepticizmus	e u r ɔ s k e p t i t͡s i z m u s
euroskeptický	e u r ɔ s k e p c i t͡s k iː
eutanázia	e u̯ t a n aː z i a
Eva	e ʋ a
evanjelium	e ʋ a ɲ ɪ̯ e l i u m
evidencia	e ʋ i d e n t͡s i a
evolúcia	e ʋ ɔ l uː t͡s i a
exhumovať	e ɡ z ɦ u m ɔ ʋ a c
exil	e ɡ z i l
existencia	e ɡ z i s t e n t͡s i a
exkavátor	e k s k a ʋ aː t ɔ r
exoetnonymum	e ɡ z ɔ e t n ɔ n i m u m
exonymum	e ɡ z ɔ n i m u m
exorcizmus	e ɡ z ɔ r t͡s i z m u s
experimentovať	e k s p e r i m e n t ɔ ʋ a c
explodovať	e k s p l ɔ d ɔ ʋ a c
explozívny	e k s p l ɔ z iː u̯ n i
explozívny	e k s p l ɔ z iː ʋ n i
exportovať	e k s p ɔ r t ɔ ʋ a c
expresívny	e k s p r e s iː u̯ n i
expresívny	e k s p r e s iː ʋ n i
exspirácia	e k sː p i r aː t͡s i a
extatický	e k s t a c i t͡s k iː
extáza	e k s t aː z a
extradícia	e k s t r a d iː t͡s i a
extravagancia	e k s t r a ʋ a ɡ a n t͡s i a
extrémizmus	e k s t r eː m i z m u s
Ezechiel	e z e x i e l
f	f
Fabian	f a b ɪ̯ a n
Fabián	f a b i aː n
Fabuš	f a b u ʃ
faerčina	f a e r t͡ʃ i n a
faerčiny	f a e r t͡ʃ i n i
fajčí	f a ɪ̯ t͡ʃ iː
fajčia	f a ɪ̯ t͡ʃ ɪ̯ a
fajčiar	f a ɪ̯ t͡ʃ ɪ̯ a r
fajčiareň	f a ɪ̯ t͡ʃ ɪ̯ a r e ɲ
fajčil	f a ɪ̯ t͡ʃ i l
fajčila	f a ɪ̯ t͡ʃ i l a
fajčím	f a ɪ̯ t͡ʃ iː m
fajčíme	f a ɪ̯ t͡ʃ iː m e
fajčíš	f a ɪ̯ t͡ʃ iː ʃ
fajčiť	f a ɪ̯ t͡ʃ i c
Fajdek	f a ɪ̯ d e k
fajka	f a ɪ̯ k a
Fajmon	f a ɪ̯ m ɔ n
Fajnor	f a ɪ̯ n ɔ r
faka	f a k a
fakami	f a k a m i
fakľa	f a k ʎ a
fakľa	f a k l a
fako	f a k ɔ
Fako	f a k ɔ
fakovia	f a k ɔ ʋ ɪ̯ a
fakt	f a k t
faktoriál	f a k t ɔ r i aː l
faktorizácia	f a k t ɔ r i z aː t͡s i a
faktový	f a k t ɔ ʋ iː
faktúra	f a k t uː r a
fakturovať	f a k t u r ɔ ʋ a c
Falat	f a l a t
falzifikácia	f a l z i f i k aː t͡s i a
falzifikovať	f a l z i f i k ɔ ʋ a c
fám	f aː m
fanatici	f a n a c i t͡s i
fanatický	f a n a t i t͡s k iː
fanatik	f a n a t i k
Fano	f a n ɔ
fantóm	f a n t ɔː m
Fapšo	f a p ʃ ɔ
farandola	f a r a n d ɔ l a
faraón	f a r a ɔː n
faraónsky	f a r a ɔː n s k i
faraónsky	f a r a ɔː n̠ s k i
farba	f a r b a
Farda	f a r d a
farizej	f a r i z e ɪ̯
Farkas	f a r k a s
Farkaš	f a r k a ʃ
Farkašovský	f a r k a ʃ ɔ u̯ s k iː
farmácia	f a r m aː t͡s i a
farmakológia	f a r m a k ɔ l ɔː ɡ ɪ̯ a
farnosť	f a r n ɔ s c
fasáda	f a s aː d a
Fašánek	f a ʃ aː n e k
fascinácia	f a s t͡s i n aː t͡s i a
Fašiang	f a ʃ ɪ̯ a ŋ k
fašiangový	f a ʃ ɪ̯ a ŋ ɡ ɔ ʋ iː
fašista	f a ʃ i s t a
fašistický	f a ʃ i s c i t͡s k iː
fašistka	f a ʃ i s t k a
fašizmu	f a ʃ i z m u
fašizmus	f a ʃ i z m u s
Faško	f a ʃ k ɔ
fatamorgána	f a t a m ɔ r ɡ aː n a
fatamorganický	f a t a m ɔ r ɡ a ɲ i t͡s k iː
faul	f a u l
faulovať	f a u l ɔ ʋ a c
faxovať	f a k s ɔ ʋ a c
fazúľ	f a z uː ʎ
fazúľ	f a z uː l
fazuľa	f a z u ʎ a
fazuľa	f a z u l a
fazuľami	f a z u ʎ a m i
fazuľami	f a z u l a m i
fazule	f a z u ʎ e
fazule	f a z u l e
fazuliach	f a z u ʎ ɪ̯ a x
fazuliach	f a z u l ɪ̯ a x
fazuľka	f a z u ʎ k a
fazuľka	f a z u l k a
fazuľou	f a z u ʎ ɔ u̯
fazuľou	f a z u l ɔ u̯
fazuľový	f a z u ʎ ɔ ʋ iː
fazuľový	f a z u l ɔ ʋ iː
fazuľu	f a z u ʎ u
fazuľu	f a z u l u
februárový	f e b r u aː r ɔ ʋ iː
Fedák	f e d aː k
federalizácia	f e d e r a l i z aː t͡s i a
federalizmus	f e d e r a l i z m u s
federalizovať	f e d e r a l i z ɔ ʋ a c
federálny	f e ɟ e r aː l n i
Fedorco	f e d ɔ r t͡s ɔ
Fedorko	f e d ɔ r k ɔ
Fejsák	f e ɪ̯ s aː k
Fekete	f e k e t e
felčiar	f e l t͡ʃ ɪ̯ a r
felčiarka	f e l t͡ʃ ɪ̯ a r k a
felčiarsky	f e l t͡ʃ ɪ̯ a r s k i
feminizácia	f e m i n i z aː t͡s i a
feminizmus	f e m i n i z m u s
fén	f eː n
Feňák	f e ɲ aː k
fenológia	f e n ɔ l ɔː ɡ i a
fenomenalizmus	f e n ɔ m e n a l i z m u s
fenomenálny	f e n ɔ m e n aː l n i
fenotyp	f e n ɔ t i p
Ferenčík	f e r e n t͡ʃ iː k
Ferianc	f e r ɪ̯ a n t͡s
Ferko	f e r k ɔ
fermentácia	f e r m e n t aː t͡s i a
fermentovať	f e r m e n t ɔ ʋ a c
fermež	f e r m e ʃ
fernet	f e r n e t
feromón	f e r ɔ m ɔː n
Ferus	f e r u s
festival	f e s t i ʋ a l
fetoval	f e t ɔ ʋ a l
fetovaní	f e t ɔ ʋ a ɲ iː
fetovanie	f e t ɔ ʋ a ɲ ɪ̯ e
fetovať	f e t ɔ ʋ a c
fetuje	f e t u j e
fetujem	f e t u j e m
fetujeme	f e t u j e m e
fetuješ	f e t u j e ʃ
fetujete	f e t u j e c e
fetujú	f e t u j uː
feudalizmu	f e u̯ d a l i z m u
feudalizmus	f e u̯ d a l i z m u s
feudálny	f e u d aː l n i
Fiala	f ɪ̯ a l a
fialová	f ɪ̯ a l ɔ ʋ aː
Ficek	f i t͡s e k
Ficová	f i t͡s ɔ ʋ aː
figa	f i ɡ a
fígeľ	f iː ɡ e ʎ
fígeľ	f iː ɡ e l
figovník	f i ɡ ɔ u̯ ɲ iː k
figovník	f i ɡ ɔ ʋ ɲ iː k
figovníka	f i ɡ ɔ u̯ ɲ iː k a
figovníka	f i ɡ ɔ ʋ ɲ iː k a
figovníkový	f i ɡ ɔ u̯ ɲ iː k ɔ ʋ iː
figovníkový	f i ɡ ɔ ʋ ɲ iː k ɔ ʋ iː
Figura	f i ɡ u r a
fik	f i k
Fila	f i l a
filantropia	f i l a n t r ɔ p i a
Filemonovi	f i l e m ɔ n ɔ ʋ i
Filip	f i ʎ i p
Filip	f i l i p
Filipanom	f i ʎ i p a n ɔ m
Filipanom	f i l i p a n ɔ m
Filipíny	f i ʎ i p iː n i
Filipíny	f i l i p iː n i
Fiľko	f i ʎ k ɔ
Fiľko	f i l k ɔ
film	f i l m
filmografia	f i l m ɔ ɡ r a f i a
filmovať	f i l m ɔ ʋ a c
Filo	f i l ɔ
filológ	f i l ɔ l ɔː k
filológia	f i l ɔ l ɔː ɡ i a
filologička	f i l ɔ l ɔ ɡ i t͡ʃ k a
Filoména	f i l ɔ m eː n a
filozofia	f i l ɔ z ɔ f i a
Fín	f iː n
finále	f i n aː ʎ e
finále	f i n aː l e
finalizácia	f i n a l i z aː t͡s i a
finalizmus	f i n a l i z m u s
finalizovať	f i n a ʎ i z ɔ ʋ a c
finalizovať	f i n a l i z ɔ ʋ a c
fínčina	f iː n t͡ʃ i n a
Findra	f i n d r a
finišovať	f i ɲ i ʃ ɔ ʋ a c
Fínka	f iː ŋ k a
Fínok	f iː n ɔ k
Fínska	f iː n s k a
Fínska	f iː n̠ s k a
Fínsko	f iː n s k ɔ
Fínsko	f iː n̠ s k ɔ
fínsky	f iː n s k i
fínsky	f iː n̠ s k i
firn	f i r n
Fišer	f i ʃ e r
fistula	f i s t u l a
fjord	f ɪ̯ ɔ r t
fjord	f j ɔ r t
Flander	f l a n d e r
fľaša	f ʎ a ʃ a
fľaša	f l a ʃ a
fľaška	f ʎ a ʃ k a
fľaška	f l a ʃ k a
flauta	f l a u t a
flautista	f l a u t i s t a
flautistka	f l a u c i s t k a
fliačik	f ʎ ɪ̯ a t͡ʃ i k
fliačik	f l ɪ̯ a t͡ʃ i k
flirtovať	f ʎ i r t ɔ ʋ a c
flirtovať	f l i r t ɔ ʋ a c
Florida	f l ɔ r i d a
fluorescencia	f l u ɔ r e s t͡s e n t͡s i a
fluorid	f l u ɔ r i t
fluoridácia	f l u ɔ r i d aː t͡s i a
föhn	f ø n
Fojt	f ɔ ɪ̯ t
fön	f ø n
föne	f ø ɲ e
fonéma	f ɔ n eː m a
fonetika	f ɔ n e t i k a
fonograf	f ɔ n ɔ ɡ r a f
fonografický	f ɔ n ɔ ɡ r a f i t͡s k iː
fonológia	f ɔ n ɔ l ɔː ɡ i a
fonologický	f ɔ n ɔ l ɔ ɡ i t͡s k iː
fönu	f ø n u
formalizmus	f ɔ r m a l i z m u s
formálne	f ɔ r m aː l ɲ e
formálny	f ɔ r m aː l n i
formula	f ɔ r m u l a
formulovať	f ɔ r m u l ɔ ʋ a c
fosfor	f ɔ s f ɔ r
fosgén	f ɔ z ɡ eː n
fosilizácia	f ɔ s i l i z aː t͡s i a
fosilizovať	f ɔ s i ʎ i z ɔ ʋ a c
fosilizovať	f ɔ s i l i z ɔ ʋ a c
fotka	f ɔ t k a
fotograf	f ɔ t ɔ ɡ r a f
fotografia	f ɔ t ɔ ɡ r a f i a
fotografický	f ɔ t ɔ ɡ r a f i t͡s k iː
fotografista	f ɔ t ɔ ɡ r a f i s t a
fotografistka	f ɔ t ɔ ɡ r a f i s t k a
fotografovať	f ɔ t ɔ ɡ r a f ɔ ʋ a c
fotografuje	f ɔ t ɔ ɡ r a f u j e
fotografujem	f ɔ t ɔ ɡ r a f u j e m
fotografujeme	f ɔ t ɔ ɡ r a f u j e m e
fotografuješ	f ɔ t ɔ ɡ r a f u j e ʃ
fotografujete	f ɔ t ɔ ɡ r a f u j e c e
fotografujú	f ɔ t ɔ ɡ r a f u j uː
fotokópia	f ɔ t ɔ k ɔː p i a
Fotta	f ɔ tː a
foxhound	f ɔ ɡ z ɦ a u n t
foyer	f ɔ a j eː
fragment	f r a ɡ m e n t
frajer	f r a j e r
frajerka	f r a j e r k a
frajerôčka	f r a j e r u̯ ɔ t͡ʃ k a
frajerský	f r a j e r s k iː
fraktúra	f r a k t uː r a
Franc	f r a n t͡s
Francúzsko	f r a n t͡s uː s k ɔ
francúzština	f r a n t͡s uː ʃ c i n a
Franek	f r a n e k
Franeková	f r a ɲ e k ɔ ʋ aː
Frank	f r a ŋ k
Franko	f r a ŋ k ɔ
Frano	f r a n ɔ
Fraňo	f r a ɲ ɔ
František	f r a n c i ʃ e k
Františka	f r a n c i ʃ k a
frapantný	f r a p a n t n iː
Frátrik	f r aː t r i k
frazeológia	f r a z e ɔ l ɔː ɡ i a
frazeologický	f r a z e ɔ l ɔ ɡ i t͡s k iː
Freetown	f r iː t a u n
frekvencia	f r e k ʋ e n t͡s i a
frekventatívum	f r e k ʋ e n t a t iː ʋ u m
frenológia	f r e n ɔ l ɔː ɡ i a
frflať	f r̩ v l a c
frfle	f r̩ v ʎ e
frfle	f r̩ v l e
frflú	f r̩ v l uː
Friga	f r i ɡ a
frigidita	f r i ɡ i d i t a
frigidnosť	f r i ɡ i d n ɔ s c
frigidný	f r i ɡ i d n iː
frizér	f r i z eː r
frk	f r̩ k
frkan	f r̩ k a n
Frlajs	f r̩ l a ɪ̯ s
Fronc	f r ɔ n t͡s
fruštik	f r u ʃ c i k
fruštik	f r u ʃ t i k
frustrácia	f r u s t r aː t͡s i a
Ftáčnik	f t aː t͡ʃ ɲ i k
Fuják	f u j aː k
fujara	f u j a r a
fúka	f uː k a
fúkajú	f uː k a j uː
fúkal	f uː k a l
fúkať	f uː k a c
Fulajtár	f u l a ɪ̯ t aː r
fundamentalizmus	f u n d a m e n t a l i z m u s
fundamentálne	f u n d a m e n t aː l ɲ e
fundamentálny	f u n d a m e n t aː l n i
funkcionálny	f u ŋ k t͡s i ɔ n aː l n i
Furdík	f u r ɟ iː k
furfural	f u r f u r a l
furfurale	f u r f u r a ʎ e
furfurale	f u r f u r a l e
furfuralu	f u r f u r a l u
fúrik	f uː r i k
Furman	f u r m a n
Fürst	f y r s t
furt	f u r t
futbal	f u d b a l
futbalista	f u d b a l i s t a
futbalistka	f u d b a ʎ i s t k a
futbalistka	f u d b a l i s t k a
futbalový	f u d b a l ɔ ʋ iː
futrál	f u t r aː l
futurizmus	f u t u r i z m u s
fúz	f uː s
fúza	f uː z a
fúzatý	f uː z a t iː
fúze	f uː z e
fúzik	f uː z i k
Fúzik	f uː z i k
fúzika	f uː z i k a
fúzmi	f uː z m i
fúzoch	f uː z ɔ x
fúzom	f uː z ɔ m
fúzov	f uː z ɔ u̯
fúzu	f uː z u
fúzy	f uː z i
fytonymum	f i t ɔ n i m u m
fyzik	f i z i k
fyzika	f i z i k a
fyzikálne	f i z i k aː l ɲ e
fyzikálni	f i z i k aː l ɲ i
fyzikálny	f i z i k aː l n i
fyziológia	f i z i ɔ l ɔː ɡ i a
fyzioterapia	f i z i ɔ t e r a p i a
g	k
Gaba	ɡ a b a
Gabaľ	ɡ a b a ʎ
Gabaľ	ɡ a b a l
Gabčo	ɡ a p t͡ʃ ɔ
Gabon	ɡ a b ɔ n
Gáborík	ɡ aː b ɔ r iː k
Gaborone	ɡ a b ɔ r ɔ ɲ e
Gabriel	ɡ a b r ɪ̯ e l
Gabriela	ɡ a b r i e l a
Gabužda	ɡ a b u ʒ d a
Gadži	ɡ a d͡ʒ i
gáfrový	ɡ aː v r ɔ ʋ iː
Gahér	ɡ a ɦ eː r
Gajarský	ɡ a j a r s k iː
Gajdica	ɡ a ɪ̯ ɟ i t͡s a
Gajdičiar	ɡ a ɪ̯ ɟ i t͡ʃ ɪ̯ a r
gajdoš	ɡ a ɪ̯ d ɔ ʃ
Gajdoš	ɡ a ɪ̯ d ɔ ʃ
gajdošský	ɡ a ɪ̯ d ɔ ʃ s k iː
gajdy	ɡ a ɪ̯ d i
Gajer	ɡ a j e r
Gaľa	ɡ a ʎ a
Gaľa	ɡ a l a
Gála	ɡ aː l a
Galajda	ɡ a l a ɪ̯ d a
Galanda	ɡ a l a n d a
Galanta	ɡ a l a n t a
Galaťanom	ɡ a l a c a n ɔ m
galaxia	ɡ a l a k s i a
galaxii	ɡ a l a k s i i
Galbavý	ɡ a l b a ʋ iː
galbavý	ɡ a l b a ʋ iː
galeóna	ɡ a l e ɔː n a
galéria	ɡ a l eː r i a
galícijčina	ɡ a ʎ iː t͡s i ɪ̯ t͡ʃ i n a
galícijčina	ɡ a ʎ iː t͡s i j t͡ʃ i n a
galícijčina	ɡ a l iː t͡s i ɪ̯ t͡ʃ i n a
galícijčina	ɡ a l iː t͡s i j t͡ʃ i n a
Gálik	ɡ aː ʎ i k
Gálik	ɡ aː l i k
Galina	ɡ a ʎ i n a
Galina	ɡ a l i n a
Galis	ɡ a ʎ i s
Galis	ɡ a l i s
Galko	ɡ a l k ɔ
Galla	ɡ a lː a
Gallo	ɡ a lː ɔ
Gaľo	ɡ a ʎ ɔ
Gaľo	ɡ a l ɔ
Galús	ɡ a l uː s
Gálus	ɡ aː l u s
galvanizácia	ɡ a l ʋ a n i z aː t͡s i a
galvanizovať	ɡ a l ʋ a ɲ i z ɔ ʋ a c
Gambia	ɡ a m b i a
gambit	ɡ a m b i t
Gamboš	ɡ a m b ɔ ʃ
ganč	ɡ a n t͡ʃ
gangréna	ɡ a ŋ ɡ r eː n a
Gaňo	ɡ a ɲ ɔ
Gápa	ɡ aː p a
Garabík	ɡ a r a b iː k
garád	ɡ a r aː t
Garaj	ɡ a r a ɪ̯
garantovať	ɡ a r a n t ɔ ʋ a c
garbiar	ɡ a r b ɪ̯ a r
Garbiar	ɡ a r b ɪ̯ a r
garbiarka	ɡ a r b ɪ̯ a r k a
gardénia	ɡ a r d eː n i a
gardénie	ɡ a r d eː n i e
gardénií	ɡ a r d eː ɲ i iː
Gardlo	ɡ a r d l ɔ
garsónka	ɡ a r s ɔː ŋ k a
garsónok	ɡ a r s ɔː n ɔ k
Gašpar	ɡ a ʃ p a r
Gašparides	ɡ a ʃ p a r i d e s
Gašparovič	ɡ a ʃ p a r ɔ ʋ i t͡ʃ
Gašparových	ɡ a ʃ p a r ɔ ʋ iː x
Gašparovýchová	ɡ a ʃ p a r ɔ ʋ iː x ɔ ʋ aː
gastrológia	ɡ a s t r ɔ l ɔː ɡ i a
gastronómia	ɡ a s t r ɔ n ɔː m i a
gauč	ɡ a u t͡ʃ
gaučový	ɡ a u t͡ʃ ɔ ʋ iː
Gavenda	ɡ a ʋ e n d a
Gavorník	ɡ a ʋ ɔ r ɲ iː k
gazda	ɡ a z d a
Gazda	ɡ a z d a
gazdovský	ɡ a z d ɔ u̯ s k iː
gazela	ɡ a z e l a
Gažo	ɡ a ʒ ɔ
Gažovič	ɡ a ʒ ɔ ʋ i t͡ʃ
Gažura	ɡ a ʒ u r a
Gdansk	ɡ d a n s k
Gdansk	ɡ d a n̠ s k
Gdanska	ɡ d a n s k a
Gdanska	ɡ d a n̠ s k a
Gdynia	ɡ d i ɲ a
gebuzina	ɡ e b u z i n a
Géc	ɡ eː t͡s
Geier	ɡ e ɪ̯ e r
gejzír	ɡ e ɪ̯ z iː r
Gembický	ɡ e m b i t͡s k iː
Gemzický	ɡ e m z i t͡s k iː
Geňa	ɡ e ɲ a
genealógia	ɡ e n e a l ɔː ɡ i a
generácia	ɡ e n e r aː t͡s i a
generalizácia	ɡ e n e r a l i z aː t͡s i a
generalizovať	ɡ e ɲ e r a ʎ i z ɔ ʋ a c
generalizovať	ɡ e ɲ e r a l i z ɔ ʋ a c
generátor	ɡ e n e r aː t ɔ r
generátorový	ɡ e ɲ e r aː t ɔ r ɔ ʋ iː
genetický	ɡ e n e t i t͡s k iː
genéza	ɡ e n eː z a
genitív	ɡ e n i t iː u̯
genitívny	ɡ e ɲ i c iː u̯ n i
genitívny	ɡ e ɲ i c iː ʋ n i
génius	ɡ eː n i u s
genocída	ɡ e n ɔ t͡s iː d a
genóm	ɡ e n ɔː m
genotyp	ɡ e n ɔ t i p
Genovéva	ɡ e n ɔ ʋ eː ʋ a
geografia	ɡ e ɔ ɡ r a f i a
geografický	ɡ e ɔ ɡ r a f i t͡s k iː
geológ	ɡ e ɔ l ɔː k
geológia	ɡ e ɔ l ɔː ɡ i a
geologička	ɡ e ɔ l ɔ ɡ i t͡ʃ k a
geomagnetizmus	ɡ e ɔ m a ɡ n e t i z m u s
geometria	ɡ e ɔ m e t r i a
geonymum	ɡ e ɔ n i m u m
Georgia	d͡ʒ ɔː r d͡ʒ a
Georgia	ɡ e ɔ r ɡ i a
Georgína	ɡ e ɔ r ɡ iː n a
geotermálny	ɡ e ɔ c e r m aː l n i
Gera	ɡ e r a
Gerboc	ɡ e r b ɔ t͡s
Gereg	ɡ e r e k
germanizácia	ɡ e r m a n i z aː t͡s i a
germanizovať	ɡ e r m a ɲ i z ɔ ʋ a c
