ং	ŋ
গধূলা	ɡ ɔ dʱ u l a
গধূলি	ɡ ɔ dʱ u l i
গন্ধবিৰিণা	ɡ ɔ n dʱ ɔ b i ɹ i n a
গম	ɡ ɔ m
গমা	ɡ ɔ m a
গল	ɡ ɔ l
গলা	ɡ ɔ l a
গলোৱা	ɡ ɔ l ʊ a
গহনা	ɡ ɔ ɦ ɔ n a
গা	ɡ aː
গাঁউ	ɡ ã u
গাঁও	ɡ ã ʊ
গাঁঠি	ɡ ã tʰ i
গাঁত	ɡ ã t
গাঁৰ	ɡ ã ɹ
গাঁৰি	ɡ ã ɹ i
গাঁৰু	ɡ ã ɹ u
গাং	ɡ a ŋ
গাই	ɡ a ɪ
গাউ	ɡ a u
গাখীৰ	ɡ a kʰ i ɹ
গাখীৰ	ɡ a x i ɹ
গাখীৰজাত	ɡ a kʰ i ɹ z a t
গাখীৰদাঁত	ɡ a kʰ i ɹ d ã t
গাগিনী	ɡ a ɡ i n i
গাড়ী	ɡ a ɹ i
গাধ	ɡ a dʱ ɔ ɦ
গান্ধবিৰিণা	ɡ a n dʱ ɔ b i ɹ i n a
গান্ধী	ɡ a n dʱ i
গাভিনী	ɡ a bʱ i n i
গাভৰু	ɡ a bʱ ɔ ɹ u
গামোচা	ɡ a m ʊ s a
গায়ক	ɡ a j ɔ k
গাল	ɡ a l
গাহাম	ɡ a ɦ a m
গাহৰি	ɡ a ɦ o ɹ i
গাৱাল	ɡ a w a l
গিলা	ɡ i l a
গিৰি	ɡ i ɹ i
গু	ɡ u
গু	ɡ uː
গুঁই	ɡ ũ i
গুগল	ɡ u ɡ ɔ l
গুচা	ɡ u s a
গুচোৱা	ɡ u s ʊ a
গুটি	ɡ u t i
গুড়	ɡ u ɹ
গুড়া	ɡ u ɹ a
গুড়ি	ɡ u ɹ i
গুদাম	ɡ u d a m
গুবৰুৱা	ɡ u b ɔ ɹ u a
গুলপীয়া	ɡ u l ɔ p i a
গুলি	ɡ u l i
গুলীয়াগুলী	ɡ u l i a ɡ u l i
গুহা	ɡ u ɦ a
গুৰ	ɡ u ɹ
গুৰা	ɡ u ɹ a
গুৰি	ɡ u ɹ i
গুৰিওৱা	ɡ u ɹ i ʊ a
গুৰুবাৰ	ɡ u ɹ u b a ɹ
গুৰুমুখীয়া	ɡ u ɹ u m u kʰ i a
গুৱাহাটী	ɡ u a ɦ a t i
গেছ	ɡ ɛ s
গেছীয়	ɡ ɛ s i ɔ
গেছীয়া	ɡ ɛ s i a
গেণ্ডাৰ	ɡ ɛ n d a ɹ
গেলা	ɡ ɛ l a
গেলোৱা	ɡ ɛ l ʊ a
গেৰেজ	ɡ ɛ ɹ ɛ z
গেৰোৱা	ɡ ɛ ɹ ʊ a
গোছ	ɡ ʊ s
গোট	ɡ ʊ t
গোটা	ɡ ʊ t a
গোটেই	ɡ ʊ t e
গোটেই	ɡ ʊ t ɛ ɪ
গোটোৱা	ɡ ʊ t ʊ a
গোধাফুটুকী	ɡ ʊ dʱ a pʰ u t u k i
গোবৰ	ɡ ʊ b ɔ ɹ
গোম	ɡ ʊ m
গোমধান	ɡ ʊ m dʱ a n
গোল	ɡ ʊ l
গোলা	ɡ ʊ l a
গোসাঁই	ɡ ʊ x ã i
গোসাঞি	ɡ ʊ x a ɪ
গোহাঁই	ɡ ʊ ɦ ã i
গোৰ	ɡ ʊ ɹ
গোৱা	ɡ ʊ a
গোৱালা	ɡ ʊ a l a
গৌৰৱ	ɡ o ʊ ɹ ɔ w
গৰম	ɡ ɔ ɹ ɔ m
গৰাকী	ɡ ɔ ɹ a k i
গৰাহ	ɡ ɔ ɹ aʱ
গৰীয়া	ɡ ɔ ɹ i a
গৰু	ɡ o ɾ u
গৰু	ɡ ɔ ɹ u
গৰুৱা	ɡ ɔ ɹ u a
গৰৈ	ɡ ɔ ɹ o ɪ
ঘ	ɡʱ ɔ
ঘঁহনি	ɡʱ ɔ̃ ɦ ɔ n i
ঘঁহা	ɡʱ ɔ̃ ɦ a
ঘটা	ɡʱ ɔ t a
ঘড়ী	ɡʱ ɔ ɹ i
ঘনত্ব	ɡʱ ɔ n ɔ t t ɔ
ঘমা	ɡʱ ɔ m a
ঘা	ɡʱ a
ঘা	ɡʱ ã
ঘাঁহ	ɡʱ ãʱ
ঘাঁহনি	ɡʱ ã ɦ ɔ n i
ঘাই	ɡʱ a ɪ
ঘাউ	ɡʱ a u
ঘাম	ɡʱ a m
ঘামচি	ɡʱ a m ɔ s i
ঘামা	ɡʱ a m a
ঘাৰ	ɡʱ a ɹ
ঘিঁউ	ɡʱ i u
ঘিণ	ɡʱ i n
ঘুমা	ɡʱ u m a
ঘেঁহু	ɡʱ ẽ ɦ u
ঘৈণী	ɡʱ o ɪ n i
ঘোঁৰা	ɡʱ ʊ̃ ɹ a
ঘোং	ɡʱ ʊ ŋ
ঘোষণা	ɡʱ ʊ x ɔ n a
ঘোৰঘোৰা	ɡʱ ʊ ɹ ɡʱ ʊ ɹ a
ঘৰ	ɡʱ ɔ ɹ
ঘৰা	ɡʱ ɔ ɹ a
ঙ	ŋ ɔ
চ	s ɔ
চকা	s ɔ k a
চকী	s o k i
চকু	s ɔ k u
চকুপানী	s ɔ k u p a n i
চকুলো	s ɔ k u l ʊ
চকোৱা	s ɔ k ʊ a
চক্লেট	s ɔ k l ɛ t
চকৰ	s ɔ k ɔ ɹ
চকৰা	s ɔ k ɔ ɹ a
চকৰি	s ɔ k ɔ ɹ i
চকৰিফেঁটী	s ɔ k ɔ ɹ i pʰ ẽ t i
চকৰী	s ɔ k ɔ ɹ i
চখু	s ɔ kʰ u
চতুৰ্থ	s ɔ t u t tʰ ɔ
চতুৰ্থ	s ɔ t u ɹ tʰ ɔ
চন	s ɔ n
চন্দন	s ɔ n d ɔ n
চন্দুক	s ɔ n d u k
চন্দ্ৰ	s ɔ n d ɔ
চন্দ্ৰ	s ɔ n d ɹ ɔ
চন্দ্ৰবিন্দু	s ɔ n d ɹ ɔ b i n d u
চবতকে	s ɔ b ɔ t k ɛ
চমু	s ɔ m u
চমুউৱা	s ɔ m u u a
চমুকে	s ɔ m u k ɛ
চমুকৈ	s ɔ m u k o ɪ
চমুটোকা	s ɔ m u t ʊ k a
চলা	s ɔ l a
চলোৱা	s ɔ l ʊ a
চল্লিছ	s ɔ l l i s
চহী	s ɔ ɦ i
চহৰ	s ɔ ɦ ɔ ɹ
চা	s a
চাঁদ	s ã d
চাংমাই	s a ŋ m a ɪ
চাইগা	s a ɪ ɡ a
চাক	s a k
চাকা	s a k a
চাকৈ	s a k o ɪ
চাজ	s a z
চাদৰ	s a d ɔ ɹ
চান	s a n
চানেকি	s a n ɛ k i
চান্দ	s a n
চান্দ	s a n d
চাপৰ	s a p ɔ ɹ
চাবন	s a b ɔ n
চাবাইচ	s a b a ɪ s
চাবাচ	s a b a s
চাবি	s a b i
চাবোন	s a b ʊ n
চাম	s a m
চায়না	s a é n a
চালগোম	s a l ɡ ʊ m
চালনি	s a l ɔ n i
চালা	s a l a
চালাক	s a l a k
চাহ	s aʱ
চাহ	s aː
চাহী	s a ɦ i
চাৰি	s a ɹ i
চাৰিআলি	s a ɹ i a l i
চিংৰা	s i ŋ ɹ a
চিকমিকিয়া	s i k ɔ m i k i a
চিকা	s i k a
চিকাৰ	s i k a ɹ
চিকাৰী	s i k a ɹ i
চিকিৎসক	s i k i s s ɔ k
চিকিৎসক	s i k i t s ɔ k
চিকুট	s i k u t
চিকুটা	s i k u t a
চিকৰা	s i k ɔ ɹ a
চিগাৰেট	s i ɡ a ɹ ɛ t
চিঙৰা	s i ŋ ɔ ɹ a
চিঞৰ	s i ɔ̃ ɹ
চিঠি	s i tʰ i
চিত	s i t
চিতল	s i t ɔ l
চিন	s i n
চিনা	s i n a
চিনাকি	s i n a k i
চিনাকী	s i n a k i
চিন্তা	s i n t a
চিপ	s i p
চিম্পাঞ্জী	s i m p a n z i
চিয়াঁহী	s i ã ɦ i
চিলাকেন্থ	s i l a k ɛ n tʰ ɔ
চিলোৱা	s i l ʊ a
চিৰতা	s i ɹ ɔ t a
চিৰা	s i ɹ a
চিৰিয়াখানা	s i ɹ i a kʰ a n a
চিৰিয়াখানা	s i ɹ i a x a n a
চু	s u
চুঁৱৰী	s ũ ɔ ɹ i
চুঙা	s u ŋ a
চুট	s u t
চুটি	s u t i
চুটিকে	s u t i k ɛ
চুটিকৈ	s u t i k o ɪ
চুটিগল্প	s u t i ɡ ɔ l p ɔ
চুফি	s u pʰ i
চুলা	s u l a
চুৰিয়া	s u ɹ i a
চূণ	s u n
চেঁচা	s ẽ s a
চেউৰী	s ɛ u ɹ i
চেনি	s e n i
চেপা	s ɛ p a
চেপেটা	s ɛ p ɛ t a
চেলা	s ɛ l a
চেলাউৰি	s ɛ l a u ɹ i
চেলেক	s ɛ l ɛ k
চেলেকা	s ɛ l ɛ k a
চেল্ফি	s ɛ l pʰ i
চেহেৰা	s ɛ ɦ ɛ ɹ a
চোঁৱৰ	s ʊ̃ ɔ ɹ
চোতাল	s ʊ t a l
চোদ	s ʊ d
চোফা	s ʊ f a
চোফা	s ʊ pʰ a
চোফা	s ʊ ɸ a
চোবা	s ʊ b a
চোবোৱা	s ʊ b ʊ a
চোলা	s ʊ l a
চোৰাং	s ʊ ɹ a ŋ
চোৰাংচোৱা	s ʊ ɹ a ŋ s ʊ a
চোৰাত	s ʊ ɹ a t
চোৱা	s ʊ a
চোৱাহিলি	s ʊ a ɦ i l i
চৌ	s o ʊ
চৌক	s o ʊ k
চৌকা	s o ʊ k a
চৌখা	s o ʊ kʰ a
চৌত্ৰিছ	s o ʊ t ɹ i s
চৌথা	s o ʊ tʰ a
চৌবিছ	s o ʊ b i s
চৌষষ্ঠি	s o ʊ x ɔ s tʰ i
চৌসত্তৰ	s o ʊ x ɔ t t ɔ ɹ
চৌৰান্নব্বৈ	s o ʊ ɹ a n n ɔ b b o ɪ
চৌৰাল্লিছ	s o ʊ ɹ a l l i s
চৌৰাশী	s o ʊ ɹ a x i
চৌৱন	s ɔ ʊ ɔ n
চৰ	s ɔ ɹ
চৰকাৰ	s ɔ ɹ k a ɹ
চৰাই	s ɔ ɹ a ɪ
চৰিওৱা	s ɔ ɹ i ʊ a
চৰিত্ৰ	s ɔ ɹ i t ɹ ɔ
চৰু	s ɔ ɹ u
চৰ্বত	s ɔ ɹ b ɔ t
চৰ্বত	s ɔː b ɔ t
চৰ্বি	s ɔ ɹ b i
চ’থা	s o tʰ a
চ’বতকে	s o b ɔ t k ɛ
ছ	ɕ ɔ
ছটিওৱা	s ɔ t i ʊ a
ছত্তীছগঢ়	s ɔ t t i s ɔ ɡ ɔ ɹʱ
ছনা	s ɔ n a
ছবি	s ɔ b i
ছয়	s ɔ j
ছয়চল্লিছ	s ɔ é s ɔ l l i s
ছয়ত্ৰিছ	s ɔ é t ɹ i s
ছয়ষষ্ঠি	s ɔ é x ɔ s tʰ i
ছয়সত্তৰ	s ɔ é x ɔ t t ɔ ɹ
ছয়ান্নব্বৈ	s ɔ é a n n ɔ b b o ɪ
ছয়াশী	s ɔ é a x i
ছলি	s ɔ l i
ছাই	s a ɪ
ছাগলী	s a ɡ ɔ l i
ছাতি	s a t i
ছানা	s a n a
ছাপন	s a p ɔ n
ছাবিছ	s a b i s
ছাল	s a l
ছাৱ	s a w
ছাৱা	s a w a
ছিগা	s i ɡ a
ছিঙা	s i ŋ a
ছিটা	s i t a
ছিটিকনি	s i t i k ɔ n i
ছিটিকা	s i t i k a
ছিটিকোৱা	s i t i k ʊ a
ছিপ	s i p
ছু	s u
ছুটি	s u t i
ছুৰী	s u ɹ i
ছেকনী	s ɛ k ɔ n i
ছেকা	s ɛ k a
ছেলোৱা	s ɛ l ʊ a
ছো	s ʊ
ছোৱা	s ʊ a
ছোৱালী	s ʊ a l i
ছৰ্পত	s ɔ ɹ p ɔ t
ছৰ্বত	s ɔ ɹ b ɔ t
ছৰ্বত	s ɔː b ɔ t
ছৱাল	s ɔ w a l
জ	z ɔ
জঁ	z ɔ̃
জঁকা	z ɔ̃ k a
জঁপা	z ɔ̃ p a
জকা	z ɔ k a
জকাই	z ɔ k a ɪ
জখলা	z ɔ kʰ ɔ l a
জখলা	z ɔ x ɔ l a
জগা	z ɔ ɡ a
জগোৱা	z ɔ ɡ ʊ a
জগৰ	z ɔ ɡ ɔ ɹ
জগৰীয়া	z ɔ ɡ ɔ ɹ i a
জঙাই	z ɔ ŋ a ɪ
জনপ্ৰিয়	z ɔ n ɔ ɦ p i ɔ
জনপ্ৰিয়	z ɔ n ɔ ɦ p ɹ i ɔ
জনসংখ্যা	z ɔ n ɔ x ɔ ŋ kʰ j a
জনা	z ɔ n a
জন্তু	z ɔ n t u
জপনা	z ɔ p ɔ n a
জপা	z ɔ p a
জপোৱা	z ɔ p ʊ a
জবকা	z ɔ b ɔ k a
জল	z ɔ l
জলকীয়া	z ɔ l ɔ k i a
জলফাই	z ɔ l f a ɪ
জলফাই	z ɔ l pʰ a ɪ
জলফাই	z ɔ l ɸ a ɪ
জলবায়ু	z ɔ l ɔ b a j u
জলহুৱা	z ɔ l ɔ ɦ u a
জলা	z ɔ l a
জলাহ	z ɔ l aʱ
জলোৱা	z ɔ l ʊ a
জল্পে’	z ɔ l p e
জহা	z ɔ ɦ a
জহামলা	z ɔ ɦ a m ɔ l a
জহামাল	z ɔ ɦ a m a l
জাঁত	z ã t
জাঁতমিল	z ã t m i l
জাঁতি	z ã t i
জাঁপ	z ã p
জাং	z a ŋ
জাংফাই	z a ŋ pʰ a ɪ
জাই	z a ɪ
জাক	z a k
জাকৈ	z a k o ɪ
জাখে’	z a qʰ e
জাখে’	z a xʰ e
জাখৈ	z a kʰ o ɪ
জাখ্লা	z a x l a
জাগা	z a ɡ a
জাতি	z a t i
জাতিলাউ	z a t i l a u
জান	z a n
জানা	z a n a
জানোঁ	z a n ʊ̃
জাপ	z a p
জাপা	z a p a
জাপান	z a p a n
জাব্ৰাং	z a b ɹ a ŋ
জাম	z a m
জামু	z a m u
জামুক	z a m u k
জাল	z a l
জালা	z a l a
জালুক	z a l u k
জাৰ	z a ɹ
জাৰা	z a ɹ a
জাৰু	z a ɹ u
জিক	z i k
জিঞাঁ	z i a
জিঞাঁ	z ĩ ã
জিনা	z i n a
জিভা	z i bʱ a
জিয়াঁ	z i a
জিয়াঁ	z ĩ ã
জিলি	z i l i
জিলিকা	z i l i k a
জিলী	z i l i
জিৰণি	z i ɹ ɔ n i
জিৰাফ	z i ɹ a pʰ
জিৰোৱা	z i ɹ ʊ a
জী	z i
জী	z iː
জীউ	z i u
জীয়	z i ɔ
জীয়া	z i a
জীৱ	z i b ɔ
জীৱ	z i β ɔ
জীৱন	z i b ɔ n
জীৱন	z i w ɔ n
জীৱন	z i ɔ n
জীৱাণু	z i b a n u
জীৱাণু	z i β a n u
জুই	z u i
জুইশলা	z u i x ɔ l a
জুইশাল	z u i x a l
জুটুলিপকা	z u t u l i p ɔ k a
জুঠা	z u tʰ a
জুতি	z u t i
জুন	z u n
জুপুৰি	z u p u ɹ i
জুবুৰিয়া	z u b u ɹ i a
জুলা	z u l a
জুলীয়া	z u l i a
জেং	z ɛ ŋ
জেওৰা	z ɛ ʊ ɹ a
জেকা	z ɛ k a
জেগা	z ɛ ɡ a
জেঠা	z ɛ tʰ a
জেঠাই	z ɛ tʰ a ɪ
জেঠী	z ɛ tʰ i
জেঠু	z ɛ tʰ u
জেতুকা	z ɛ t u k a
জেপ	z ɛ p
জেব্ৰা	z ɛ b ɹ a
জেলুক	z ɛ l u k
জোঁকা	z ʊ̃ k a
জোঁকাৰ	z ʊ̃ k a ɹ
জোঁৱাই	z ʊ̃ a ɪ
জোং	z ʊ ŋ
জোক	z ʊ k
জোখ	z ʊ kʰ
জোখ	z ʊ x
জোখা	z ʊ kʰ a
জোখা	z ʊ x a
জোতা	z ʊ t a
জোতাঠোঁটীয়া	z ʊ t a tʰ ʊ̃ t i a
জোন	z ʊ n
জোনবাই	z ʊ n b a ɪ
জোনাক	z ʊ n a k
জোনাকী	z ʊ n a k i
জোপোহা	z ʊ p ʊ ɦ a
জোলোঙা	z ʊ l ʊ ŋ a
জোৱাৰ	z ʊ a ɹ
জ্ঞান	ɡ j a n
জ্বলন	z ɔ l ɔ n
জ্বলা	z ɔ l a
জ্বলোৱা	z ɔ l ʊ a
জ্বালা	z a l a
জ্বৰ	z ɔ ɹ
জৰা	z ɔ ɹ a
জৰি	z ɔ ɹ i
জৰিগছ	z ɔ ɹ i ɡ ɔ s
জৰী	z ɔ ɹ i
ঝ	zʱ ɔ
ঝাড়ু	z a ɹ u
ঝাড়ু	zʱ a ɹ u
ঝাৰা	zʱ a ɹ a
ঝিঞা	zʱ i a
ঝিঞা	zʱ ĩ ã
ঝিলি	zʱ i l i
ঝিলী	zʱ i l i
ঞ	j ɔ
ট	t ɔ
টকা	t ɔ k a
টকিঅ’	t ɔ k i o
টনা	t ɔ n a
টমটম	t ɔ m t ɔ m
টাকা	t a k a
টাকা	t a q a
টানা	t a n a
টালিটোপোলা	t a l i t ʊ p ʊ l a
টিকা	t i k a
টিপা	t i p a
টিভি	t i bʱ i
টিলা	t i l a
টুকুৰা	t u k u ɹ a
টুকুৰিওৱা	t u k u ɹ i ʊ a
টুট	t u t
টুপী	t u p i
টুল	t u l
টেংকি	t ɛ ŋ k i
টেঙা	t ɛ ŋ a
টেমা	t ɛ m a
টোকা	t ʊ k a
টোপনি	t ʊ p ɔ n i
টোপাল	t ʊ p a l
টোপোলা	t ʊ p ʊ l a
টোপোলাটাপলি	t ʊ p ʊ l a t a p ɔ l i
ঠ	tʱ ɔ
ঠগ	tʰ ɔ ɡ
ঠগা	tʰ ɔ ɡ a
ঠগোৱা	tʰ ɔ ɡ ʊ a
ঠাই	tʰ a ɪ
ঠান	tʰ a n
ঠানি	tʰ a n i
ঠাল	tʰ a l
ঠালি	tʰ a l i
ঠাৰ	tʰ a ɹ
ঠাৰি	tʰ a ɹ i
ঠিলা	tʰ i l a
ঠেং	tʰ ɛ ŋ
ঠেক	tʰ ɛ k
ঠোঁট	tʰ ʊ̃ t
ঠোঙা	tʰ ʊ ŋ a
ঠৌগা	tʰ o ʊ ɡ a
ড	d ɔ
ডঁহা	d ɔ̃ ɦ a
ডঙ্কা	d ɔ ŋ k a
ডবা	d ɔ b a
ডল	d ɔ l
ডলা	d ɔ l a
ড়	ɾ ɔ
ডাঁহ	d ã ɦ
ডাঁহী	d ã ɦ i
ডাঁৰ	d ã ɹ
ডাঁৰা	d ã ɹ a
ডাঁৰি	d ã ɹ i
ডাউক	d a u k
ডাক	d a k
ডাক্তৰ	d a k t ɔ ɹ
ডাঙৰ	d a ŋ ɔ ɹ
ডাঠ	d a tʰ
ডাঠুৱা	d a tʰ u a
ডাব	d a b
ডাল	d a l
ডালি	d a l i
ডালিম	d a l i m
ডালিমা	d a l i m a
ডাৱৰ	d a ɔ ɹ
ডাৱৰীয়া	d a ɔ ɹ i a
ডিঙি	d i ŋ i
ডিম	d i m
ডিমা	d i m a
ডিমৰু	d i m ɔ ɹ u
ডিল	d i l
ডিলা	d i l a
ডিলামাৰি	d i l a m a ɹ i
ডুবা	d u b a
ডুবাৰু	d u b a ɹ u
ডুৰি	d u ɹ i
ডে	d ɛ
ডেউকা	d ɛ u k a
ডেকা	d ɛ k a
ডেকেৰী	d ɛ k ɛ ɹ i
ডেৰা	d ɛ ɹ a
ডেৱা	d ɛ w a
ডোং	d ʊ ŋ
ডোঙা	d ʊ ŋ a
ডোল	d ʊ l
ডোৰ	d ʊ ɹ
ডোৰা	d ʊ ɹ a
ঢ	dʱ ɔ
ঢকা	dʱ ɔ k a
ঢলা	dʱ ɔ l a
ঢ়	ɾ ɔ
ঢাক	dʱ a k
ঢাকন	dʱ a k ɔ n
ঢাকনি	dʱ a k ɔ n i
ঢাকনী	dʱ a k ɔ n i
ঢাকা	dʱ a k a
ঢাপ	dʱ a p
ঢাপলি	dʱ a p ɔ l i
ঢাপলিকা	dʱ a p ɔ l i k a
ঢাপৰ	dʱ a p ɔ ɹ
ঢালা	dʱ a l a
ঢুকা	dʱ u k a
ঢেঁকী	dʱ ẽ k i
ঢেঁৰা	dʱ ẽ ɹ a
ঢোঁৰাকাউৰী	dʱ ʊ̃ ɹ a k a u ɹ i
ঢোল	dʱ ʊ l
ঢৌ	dʱ o ʊ
ণ	n ɔ
ত	t ɔ
তই	t ɔ ɪ
তজু	t ɔ z u
তত্ত্ব	t ɔ t t t ɔ
তত্ব	t ɔ t t ɔ
তথা	t ɔ tʰ a
তথাগত	t ɔ tʰ a ɡ ɔ t
তথাপি	t ɔ tʰ a p i
তপত	t ɔ p ɔ t
তপিনা	t ɔ p i n a
তবলা	t ɔ b ɔ l a
তম্বু	t ɔ m b u
তল	t ɔ l
তলা	t ɔ l a
তহঁত	t ɔ ɦ ɔ̃ t
তাঁত	t ã t
তাঁতশাল	t ã t x a l
তাঁতিনী	t ã t i n i
তাঁতী	t ã t i
তাই	t a ɪ
তাইক	t a ɪ k
তাইৰ	t a ɪ ɹ
তাও	t a ʊ
তাজমহল	t a z m ɔ ɦ ɔ l
তাজা	t a z a
তাত	t a t
তাপ	t a p
তামাম	t a m a m
তামীঘৰা	t a m i ɡʱ ɔ ɹ a
তামোল	t a m ʊ l
তাল	t a l
তালব্য	t a l ɔ ɪ b b ɔ
তাহুন	t a ɦ u n
তাৰিখ	t a ɹ i kʰ
তাৰিখ	t a ɹ i x
তিঁত	t i t
তিঁতা	t i t a
তিওৱা	t i ʊ a
তিতা	t i t a
তিতাকেৰেলা	t i t a k ɛ ɹ ɛ l a
তিতামৰা	t i t a m ɔ ɹ a
তিতৌ	t i t o ʊ
তিতৰ	t i t ɔ ɹ
তিনি	t i n i
তিমি	t i m i
তিয়ঁহ	t i ɒ̃ʱ
তিয়াল্লিছ	t i a l l i s
তিল	t i l
তিৰান্নব্বৈ	t i ɹ a n n ɔ b b o ɪ
তিৰাশী	t i ɹ a x i
তীখা	t i kʰ a
তুতাংসামোন	t u t a ŋ x a m ʊ n
তুমি	t u m i
তুলা	t u l a
তুলি	t u l i
তুলী	t u l i
তূলী	t u l i
তৃতীয়	t ɹ i t i ɔ
তেঁতেলী	t ẽ t e l i
তেইছ	t ɛ i s
তেওঁ	t ɛ ʊ̃
তেওঁলোক	t ɛ ʊ̃ l ʊ k
তেখেত	t ɛ kʰ ɛ t
তেজপিয়া	t ɛ z p i a
তেজা	t ɛ z a
তেতিয়া	t ɛ t i a
তেত্ৰিছ	t ɛ t ɹ i s
তেনে	t ɛ n ɛ
তেনেহলে	t ɛ n ɛ ɦ ɔ l ɛ
তেনেহ’লে	t ɛ n ɛ ɦ o l ɛ
তেল	t ɛ l
তেলটুপি	t ɛ l t u p i
তেলাকুচা	t ɛ l a k u s a
তেলাল	t ɛ l a l
তেলীয়া	t ɛ l i a
তেলীয়াসাৰেং	t ɛ l i a x a ɹ ɛ ŋ
তেষষ্ঠি	t ɛ x ɔ s tʰ i
তেসত্তৰ	t ɛ x ɔ t t ɔ ɹ
তেৱন	t ɛ ɔ n
তোপ	t ʊ p
তোমালোক	t ʊ m a l ʊ k
তোমাৰ	t ʊ m a ɹ
তোমোলাক	t ʊ m ʊ l a k
তোলা	t ʊ l a
ত্ৰিছ	t ɹ i s
তৰমুজ	t ɔ ɹ m u z
তৰা	t ɔ ɹ a
তৰামাছ	t ɔ ɹ a m a s
তৰোৱাল	t ɔ ɹ ʊ a l
তৰ্জমা	t ɔ ɹ z ɔ m a
থ	tʱ ɔ
থকা	tʰ ɔ k a
থপা	tʰ ɔ p a
থপিওৱা	tʰ ɔ p i ʊ a
থপৰ	tʰ ɔ p ɔ ɹ
থপৰিওৱা	tʰ ɔ p ɔ ɹ i ʊ a
থাইলেণ্ড	tʰ a ɪ l ɛ n d
থাক	tʰ a k
থাকা	tʰ a k a
থান	tʰ a n
থাপ	tʰ a p
থাপা	tʰ a p a
থাপ্পৰ	tʰ a p p ɔ ɹ
থাপৰ	tʰ a p ɔ ɹ
থাম	tʰ a m
থাল	tʰ a l
থালি	tʰ a l i
থিয়	tʰ i ɔ
থিৰ	tʰ i ɹ
থু	tʰ u
থুঁতৰি	tʰ ũ t ɔ ɹ i
থুঁপ	tʰ ũ p
থুম	tʰ u m
থোঁতা	tʰ ʊ̃ t a
থোক	tʰ ʊ k
থোৱা	tʰ ʊ a
দ	d ɔ
দখল	d ɔ kʰ ɔ l
দখল	d ɔ x ɔ l
দঙা	d ɔ ŋ a
দন্ত্য	d ɔ n t j ɔ
দফা	d ɔ pʰ a
দবা	d ɔ b a
দবাখেল	d ɔ b a kʰ ɛ l
দবাখেল	d ɔ b a x ɛ l
দমা	d ɔ m a
দমোৱা	d ɔ m ʊ a
দমৰা	d ɔ m ɔ ɹ a
দলং	d ɔ l ɔ ŋ
দলম’ৰা	d ɔ l m o ɹ a
দলিওৱা	d ɔ l i ʊ a
দহ	d ɔ ɦ
দা	d aː
দাঁত	d ã t
দাঁৰ	d ã ɹ
দাউদাউ	d a u d a u
দাঙা	d a ŋ a
দাদা	d a d a
দাপোণ	d a p ʊ n
দাম	d a m
দামী	d a m i
দালাল	d a l a l
দালালি	d a l a l i
দাহ	d aʱ
দাৰি	d a ɹ i
দাৱত	d a ɔ t
দিওৱা	d i ʊ a
দিছপুৰ	d i s ɔ p u ɹ
দিঠক	d i tʰ ɔ k
দিন	d i n
দিনকণা	d i n k ɔ n a
দিয়া	d i a
দিল্লী	d i l l i
দীগ	d i ɡ
দীঘ	d i ɡ
দীঘলা	d i ɡʱ ɔ l a
দীঘলোৱা	d i ɡʱ ɔ l ʊ a
দীঘা	d i ɡʱ a
দীয়া	d i a
দীৰ্ঘ	d i ɹ ɡʱ ɔ
দুই	d u i
দুধ	d u d
দুধ	d u dʱ
দুৰাকাছ	d u ɹ a k a s ɔ
দুৱাৰ	d u a ɹ
দে	d ɛ
দেউতা	d ɛ ʊ t a
দেউতি	d ɛ u t i
দেওবাৰ	d ɛ ʊ b a ɹ
দেখা	d ɛ kʰ a
দেখা	d ɛ x a
দেতা	d ɛ t a
দেহা	d ɛ ɦ a
দেৱ	d ɛ w
দেৱনাগৰী	d ɛ w n a ɡ ɔ ɹ i
দেৱালী	d ɛ w a l i
দৈকলা	d ɔ i k ɔ l a
দৈনিক	d o ɪ n i k
দোতাৰা	d ʊ t a ɹ a
দোতোৰা	d ʊ t ʊ ɹ a
দোলা	d ʊ l a
দোহাৰ	d ʊ ɦ a ɹ
দোৱা	d ʊ a
দোৱাত	d ʊ a t
দৌৰা	d o ʊ ɹ a
দ্বিতীয়	d i t i ɔ
দ্বীপ	d i p
দৰা	d ɔ ɹ a
দৰে	d ɔ ɹ ɛ
দৰ্খাস্ত	d ɔ ɹ kʰ a s t ɔ
দৰ্খাস্ত	d ɔ ɹ x a s t ɔ
দৰ্জা	d ɔ ɹ z a
দৰ্জী	d ɔ ɹ z i
দৰৱ	d ɒ ɹ ɒ β
দ’তি	d o t i
ধ	dʱ ɔ
ধঁপাত	dʱ ɔ̃ p a t
ধনিয়া	dʱ ɔ n i a
ধনী	dʱ ɔ n i
ধন্যবাদ	dʱ ɔ ɪ n n ɔ b a d
ধলা	dʱ ɔ l a
ধাতু	dʱ a t u
ধান	dʱ a n
ধাননি	dʱ a n ɔ n i
ধাৰ	dʱ a ɹ
ধুতি	dʱ u t i
ধুনীয়া	dʱ u n i a
ধুন্দুলি	dʱ u n d u l i
ধুমুহা	dʱ u m u ɦ a
ধুৰা	dʱ u ɹ a
ধূমকেতু	dʱ u m k ɛ t u
ধূলি	dʱ u l i
ধেমালি	dʱ ɛ m a l i
ধোৱা	dʱ ʊ a
ধৰ	dʱ ɔ ɹ
