AFI	a f i
brêtema	b ɾ e t e m a
brío	b ɾ i o̝
brócoli	b ɾ o k o l i
brúa	b ɾ u a̝
brúo	b ɾ u o
bubela	b u b ɛ l a
buceta	b u s e t a
buceta	b u θ e t a
bucina	b u s i n a̝
bucina	b u θ i n a̝
bucio	b u s j o
bucio	b u θ j o
budión	b u ð i o ŋ
bufanda	b u f a n d a
bufandas	b u f a n d a s
bufar	b u f a ɾ
bufarda	b u f a ɾ d a
bugallo	b u ħ a ɟ o
bugallo	b u ɡ a ɟ o
buguina	b u ħ i n a
buguina	b u ɡ i n a
buio	b u j o
bulicio	b u l i s j o̝
bulicio	b u l i θ j o̝
buligar	b u l i ɡ a ɾ
bulir	b u l i ɾ
bullar	b u ɟ a ɾ
bulleiro	b u ʎ e j ɾ o̝
bulleiro	b u ʎ ɛ j ɾ o̝
bullo	b u ɟ o
bulló	b u ʎ ɔ
bulra	b u l r a̝
buque	b u k e
buraco	b u ɾ a k o̝
buraz	b u ɾ a s
buraz	b u ɾ a θ
burbulla	b u ɾ β u ʎ a̝
burbullar	b u ɾ β u ʎ a ɾ
burdiar	b u ɾ d j a ɾ
burel	b u ɾ ɛ l
burela	b u ɾ ɛ l ɐ
burga	b u ɾ ħ a
burga	b u ɾ ɡ a
burgo	b u ɾ ɣ o̝
burgueiro	b u ɾ ɣ e j ɾ o̝
burla	b u ɾ l a
burlar	b u ɾ l a ɾ
burro	b u r o
buscar	b u s k a ɾ
buso	b u s o̝
buso	b u s̻ o̝
busto	b u s t o̝
buxa	b u ʃ a
buxarda	b u ʃ a ɾ ð a̝
buxardo	b u ʃ a ɾ ð̝ o
buxeo	b u ʃ e o
buxeu	b u ʃ e w
buxola	b u ʃ ɔ l a̝
buxán	b u ʃ a ŋ
buxón	b u ʃ o ŋ
buzaco	b u s a k o̝
buzaco	b u θ a k o̝
bácoro	b a k o̝ ɾ o̝
bágoa	b a ħ o a
bágoa	b a ɡ o a
bárbaro	b a ɾ b a ɾ o
básico	b a s i k o
béisbol	b ɛ j s b ɔ l
bélico	b ɛ l i k o
bésta	b ɛ s t a
bóveda	b ɔ b e d a
búsula	b u s u l a̝
cabaleiro	k a b a l e j ɾ o
cabalgar	k a b a l ħ a ɾ
cabalgar	k a b a l ɡ a ɾ
cabaliños	k a b a l i ɲ o s
cabalo	k a b a l o
cabalos	k a b a l o s
cabana	k a β a n a̝
cabaneiro	k a β a n e j ɾ o̝
cabanón	k a β a n o ŋ
cabaza	k a β a s a̝
cabaza	k a β a θ a̝
cabazo	k a b a s o
cabazo	k a b a θ o
cabeiro	k a b e j ɾ o
cabelo	k a b ɛ l o
cabeludo	k a b e l u d o
caber	k a b e ɾ
cabestro	k a β e s t ɾ o̝
cabeza	k a b e s a
cabeza	k a b e θ a
cabezada	k a β e s a ð a̝
cabezada	k a β e θ a ð a̝
cabezal	k a β e s a l
cabezal	k a β e θ a l
cabezudo	k a b e s u d o
cabezudo	k a b e θ u d o
cabido	k a β i ð o̝
cable	k a b l e
cabo	k a b o
cabodano	k a β o ð a n o̝
cabra	k a b ɾ a
cabrafigo	k a β ɾ a̝ f i ɣ o̝
cabrón	k a b ɾ o ŋ
cabuxa	k a b u ʃ a
cabuxeiro	k a b u ʃ e j ɾ o
cabuxo	k a b u ʃ o
caca	k a k a̝
cacarexar	k a k a ɾ e ʃ a ɾ
cacatúa	k a k a t u a
cacha	k a t͡ʃ a
cachalote	k a t͡ʃ a l ɔ t e
cachar	k a t͡ʃ a ɾ
cacharela	k a t͡ʃ a ɾ ɛ l a̝
cacharro	k a t͡ʃ a r o
cachaza	k a t͡ʃ a s a
cachaza	k a t͡ʃ a θ a
cachear	k a t͡ʃ e a ɾ
cacheira	k a t͡ʃ e j ɾ a̝
cachelo	k a t͡ʃ ɛ l o̝
cachena	k a t͡ʃ e n a̝
cacho	k a t͡ʃ o
cachola	k a t͡ʃ ɔ l a
cachote	k a t͡ʃ ɔ t e̝
cachucha	k a t͡ʃ u t͡ʃ a
cachón	k a t͡ʃ o ŋ
cacique	k a s i k e
cacique	k a θ i k e
cacto	k a k t o
cada	k a d a
cadaleito	k a ð a l e j t ʊ
cadea	k a d e a
cadeado	k a d e a d o
cadeira	k a d e j ɾ a
cadeirado	k a ð e j ɾ a ð o
cadeiras	k a d e j ɾ a s
cadela	k a ð ɛ l a̝
cadillo	k a ð i ʎ o̝
cadoiro	k a d o j ɾ o
cadrar	k a ð ɾ a ɾ
cadril	k a d ɾ i l
cadro	k a d ɾ o
cadáver	k a d a b e ɾ
caeira	k ɐ ɛ j ɾ ɐ
caer	k a e ɾ
caes	k a j s
cafetaría	k a f e t a ɾ i ɐ
cafurna	k a f u ɾ n a̝
café	k a f ɛ
cafúa	k a f u a̝
cagalla	k a ɣ a ʎ a̝
cagalleta	k a ɣ a ʎ e t a̝
cagallón	k a ɣ a ʎ o ŋ
cagar	k a ħ a ɾ
cagar	k a ɣ a ɾ
cai	k a j
cailón	k a j l o ŋ
cairo	k a j ɾ o
caivanca	k a j β a ŋ k a̝
caixa	k a j ʃ a
caixas	k a j ʃ a s
caixón	k a j ʃ o ŋ
cal	k a l
calacú	k a l a k u
calafatear	k a l a f a t e a ɾ
calar	k a l a ɾ
calaza	k a l a s a
calaza	k a l a θ a
calcar	k a l k a ɾ
calcañar	k a l k a ɲ a ɾ
calcaño	k a l k a ɲ o̝
calcule	k a l k u l e
calcules	k a l k u l e s
calda	k a l d a̝
caldas	k a l d a̝ s
caldeira	k a l d e j ɾ a
caldeirada	k a l d e j ɾ a ð a̝
caldeireiro	k a l d e j ɾ e j ɾ o̝
caldeiro	k a l d e j ɾ o
caldo	k a l d o
calella	k a l e ʎ a̝
caligráfica	k a l i ħ ɾ a f i k a
caligráfica	k a l i ɡ ɾ a f i k a
caligráfico	k a l i ħ ɾ a f i k o
caligráfico	k a l i ɡ ɾ a f i k o
caligráficos	k a l i ħ ɾ a f i k o s
caligráficos	k a l i ɡ ɾ a f i k o s
calixen	k a l i ʃ e̝ ŋ
callar	k a ɟ a ɾ
callau	k a ʎ a w
callo	k a ʎ o̝
calma	k a l m a
calmo	k a l m o
calor	k a l o ɾ
caloroso	k a l o ɾ o s o̝
caloteiro	k a l ɔ t e j ɾ o
calvario	k a l b a ɾ j o
calvo	k a l β o̝
calza	k a l s a
calza	k a l θ a
calzada	k a l s a d a
calzada	k a l θ a d a
calzar	k a l s a ɾ
calzar	k a l θ a ɾ
calzón	k a l s o ŋ
calzón	k a l θ o ŋ
caléndula	k a l ɛ n d u l a
cama	k a m a
camaleón	k a m a l e o ŋ
camareiro	k a m a ɾ e j ɾ o
camariña	k a m a ɾ i ɲ a̝
camarón	k a m a ɾ o ŋ
camba	k a m b a
cambada	k a m b a d a
cambiar	k a m b j a ɾ
cambio	k a m b j o
cambito	k a m b i t o
cambo	k a m b o̝
cambota	k a m b ɔ t a̝
cambra	k a m b ɾ a̝
camelo	k a m e l o
camioneiro	k a m j o n e j ɾ o
camioneiro	k a m j o n e ɾ o
camisa	k a m i s a
camisas	k a m i s a s
camiño	k a m i ɲ o
camión	k a m j o ŋ
camouco	k a m o w k o̝
campa	k a m p a
campanario	k a m p a n a ɾ j o
campaza	k a m p a θ a̝
campión	k a m p j o ŋ
campo	k a m p o
camposa	k a m p o s a̝
camposanto	k a m p o s a n t o
campá	k a m p aː
camuflar	k a m u f l a ɾ
camurza	k a m u ɾ z̻ ɐ
camurza	k a m u ɾ θ ɐ
can	k a ŋ
cana	k a n a
canada	k a n a ð a̝
canadense	k a n a n d e n s e
canado	k a n a ð o̝
canafrecha	k a n a f ɾ e t͡ʃ a̝
canal	k a n a l
canario	k a n a ɾ j o
canaval	k a n a β a l
cancela	k a n s ɛ l a̝
cancela	k a n θ ɛ l a̝
cancelo	k a n s ɛ l o̝
cancelo	k a n θ ɛ l o̝
cancil	k a n s i l
cancil	k a n θ i l
cancioneiro	k a n s j o n e j ɾ o
cancioneiro	k a n θ j o n e j ɾ o
canción	k a n s j o ŋ
canción	k a n θ j o ŋ
canda	k a n d a̝
candea	k a n d e a
candeeiro	k a n d e e j ɾ o
candeeiro	k a n d j e j ɾ o
candidato	k a n d i d a t o
candorca	k a n d ɔ ɾ k a
caneca	k a n ɛ k a
caneco	k a n ɛ k o
canedo	k a n e ð o̝
caneiro	k a n e j ɾ o̝
canela	k a n ɛ l a
canella	k a n e ʎ a̝
canexa	k a n e ʃ a̝
canfurna	k a n f u ɾ n a
canga	k a ŋ k a
canga	k a ŋ ħ a
canga	k a ŋ ɡ a
cangar	k a ŋ ħ a ɾ
cangar	k a ŋ ɡ a ɾ
cango	k a ŋ k o̝
cango	k a ŋ ɡ o̝
canguro	k a ŋ ħ u ɾ o
canguro	k a ŋ ɡ u ɾ o
canil	k a n i l
canizo	k a n i s o̝
canizo	k a n i θ o̝
cano	k a n o̝
canoa	k a n ɔ a
cans	k a ŋ s
canta	k a n t ɐ
cantar	k a n t a ɾ
cantas	k a n t ɐ s
cantazo	k a n t a s o
cantazo	k a n t a θ o
canteira	k a n t e j ɾ a̝
canteiro	k a n t e j ɾ o
canterla	k a n t ɛ ɾ l a̝
cantiga	k a n t i ħ a
cantiga	k a n t i ɡ a
cantil	k a n t i l
canto	k a n t o̝
cantón	k a n t o ŋ
canudo	k a n u ð o̝
cançom	k a n s o ŋ
cançom	k a n θ o ŋ
canção	k a n s o ŋ
canção	k a n θ o ŋ
canónico	k a n o n i k o
capa	k a p a̝
capacidade	k a p a s i d a d e
capacidade	k a p a θ i d a d e
capacitación	k a p a s i t a s j o ŋ
capacitación	k a p a θ i t a θ j o ŋ
capador	k a p a d o ɾ
capear	k a p e a ɾ
capeirote	k a p e j ɾ ɔ t e̝̝
capela	k a p ɛ l a
capelo	k a p e l o̝
capelán	k a p e l a ŋ
capitalismo	k a p i t a l i s m o
capitalista	k a p i t a l i s t a
capitán	k a p i t a ŋ
captar	k a p t a ɾ
capuchino	k a p u t͡ʃ i n o
capudre	k a p u d ɾ e
capón	k a p o ŋ
caqui	k a k i
cara	k a ɾ a
carabela	k a ɾ a b ɛ l a
carabuxa	k a ɾ a β u ʃ a̝
carabuña	k a ɾ a β u ɲ a̝
caracha	k a ɾ a t͡ʃ a
caracol	k a ɾ a k ɔ l
característica	k a ɾ a k t e ɾ i s t i k a
carafuncho	k a ɾ a f u n t͡ʃ o
carallada	k a ɾ a ʎ a ð a̝
carallo	k a ɾ a ɟ o
carambelo	k a ɾ a m b e l o
carambelo	k a ɾ a m b ɛ l o
carambo	k a ɾ a m b o
caramecha	k a ɾ a m e t͡ʃ a̝
caramuxo	k a ɾ a m u ʃ o
carantoña	k a ɾ a n t o ɲ a
carapucha	k a ɾ a p u t͡ʃ a̝
carapucho	k a ɾ a p u t͡ʃ o̝
caras	k a ɾ a s
caravel	k ɑ ɾ a β ɛ l
caravilla	k a ɾ a β i ʎ a̝
carazo	k a ɾ a θ o̝
carba	k a ɾ b a
carballa	k a ɾ β a ʎ a̝
carballal	k a ɾ b a ɟ a l
carballeira	k a ɾ b a ɟ e j ɾ a
carballo	k a ɾ b a ɟ o
carbón	k a ɾ b o ŋ
carbónica	k a ɾ b ɔ n i k a
carbónicas	k a ɾ b ɔ n i k a s
carbónico	k a ɾ b ɔ n i k o
carbónicos	k a ɾ b ɔ n i k o s
carbúnculo	k a ɾ b u ŋ k u l o
carcán	k a ɾ k a ŋ
carcás	k a ɾ k a s
cardar	k ɑ ɾ ð a ɾ
cardeña	k a ɾ d e ɲ a
cardo	k a ɾ ð o̝
cardume	k a ɾ d u m e
careixa	k a ɾ e j ʃ a̝
carepa	k a ɾ e p a̝
carexar	k a ɾ e ʃ a ɾ
careza	k a ɾ e s a
careza	k a ɾ e θ a
cargar	k a ɾ ɣ a ɾ
caricia	k a ɾ i s j a
caricia	k a ɾ i θ j a
caridade	k a ɾ i d a d e
carioca	k a ɾ j ɔ k a
carlou	k a ɾ l o w
carmear	k a ɾ m e a ɾ
carne	k a ɾ n e̝
carneiro	k a ɾ n e j ɾ o̝
carniceiro	k a ɾ n i s e j ɾ o
carniceiro	k a ɾ n i θ e j ɾ o
carnicería	k a ɾ n i s e ɾ i a
carnicería	k a ɾ n i θ e ɾ i a
carniza	k a ɾ n i s a
carniza	k a ɾ n i θ a
carnizaría	k a ɾ n i s a ɾ i a
carnizaría	k a ɾ n i θ a ɾ i a
carnocho	k a ɾ n o t͡ʃ o
carnoedo	k a ɾ n o e ð o̝
caro	k a ɾ o
carolo	k a ɾ ɔ l o̝
caros	k a ɾ o s
carozo	k a ɾ o s o
carozo	k a ɾ o θ o
carpais	k a ɾ p a j s
carpear	k a ɾ p e a ɾ
carpintaría	k a ɾ p i n t a ɾ i a
carpinteiro	k a ɾ p i n t e j ɾ o
carpir	k a ɾ p i ɾ
carqueixa	k a ɾ k e j ʃ a̝
carrabouxo	k a r a β o w ʃ o̝
carraca	k a r a k a
carracha	k a r a t͡ʃ a̝
carracho	k a r a t͡ʃ o̝
carranca	k a r a ŋ k a̝
carrasco	k a r a s k o
carraxe	k a r a ʃ e
carreira	k a r e j ɾ a
carreta	k a r e t a
carretar	k a r e t a ɾ
carretilla	k a r e t i ɟ a
carreto	k a r e t o̝
carriza	k a r i s̻ ɐ
carriza	k a r i θ ɐ
carrizo	k a r i s o
carrizo	k a r i θ o
carro	k a r o
carros	k a r o s
carroucha	k a r o w t͡ʃ a̝
carruaxe	k a r u a ʃ e
carta	k a ɾ t a
cartilaxe	k a ɾ t i l a ʃ e
cartilla	k a ɾ t i ɟ a
carto	k a ɾ t o
cartos	k a ɾ t o s
cartón	k a ɾ t o ŋ
cas	k a s
casa	k a s a
casal	k a s a l
casas	k a s a s
cascabel	k a s k a b ɛ l
cascallo	k a s k a ʎ o̝
cascar	k a s k a ɾ
casco	k a s k o
cascuda	k a s k u ð a̝
cascón	k a s k o ŋ
caseiro	k a s e j ɾ o̝
casiña	k a s i ɲ a
casqueiro	k a s k e j ɾ o̝
casquete	k a s k e t e̝
casta	k a s t a
castaña	k a s t a ɲ a
castañal	k a s t a ɲ a l
castañeta	k a s t a ɲ e t a
castaño	k a s t a ɲ o
caste	k a s t e
castelo	k a s t ɛ l o
castelán	k a s t e l a ŋ
castidade	k a s t i d a d e
castigar	k a s t i ħ a ɾ
castigar	k a s t i ɡ a ɾ
castizal	k a s t i s a l
castizal	k a s t i θ a l
castizo	k a s t i θ o̝
castor	k a s t o ɾ
castrapo	k a s t ɾ a p o̝
castrexo	k a s t ɾ e ʃ o
castro	k a s t ɾ o
castrón	k a s t ɾ o ŋ
catadura	k a t a ð u ɾ a̝
catafalco	k a t a f a l k o
catalán	k a t a l a ŋ
catar	k a t a ɾ
catasol	k a t a s o l
catedral	k a t e d ɾ a l
categoría	k a t e ħ o ɾ i a
categoría	k a t e ħ ɔ ɾ i a
categoría	k a t e ɡ o ɾ i a
categoría	k a t e ɡ ɔ ɾ i a
cativo	k a t i β o̝
catorce	k a t o ɾ s e
catorce	k a t o ɾ θ e
catro	k a t ɾ o
causa	k a w s a
causela	k a w s e l a̝
causela	k o w s e l a̝
caustra	k a w s t ɾ a̝
cavada	k a β a ð a̝
cavar	k a β a ɾ
cavaxe	k a β a ʃ e̝
cavorco	k a β ɔ ɾ k o̝
caza	k a s a
caza	k a θ a
cazacú	k a s a k u
cazacú	k a θ a k u
cazando	k a s a n d o
cazando	k a θ a n d o
cazar	k a s a ɾ
cazar	k a θ a ɾ
cazón	k a s o ŋ
cazón	k a θ o ŋ
cação	k a θ o ŋ
caída	k a i d a
caíño	k a i ɲ o̝
caña	k a ɲ a̝
cañoto	k a ɲ o t o̝
caótico	k a ɔ t i k o
ce	s e
ce	θ e
cea	s e a
cea	θ e a
cear	s e a ɾ
cear	θ e a ɾ
cebada	s e b a d a
cebada	θ e b a d a
cebeira	s ɪ β̞ e j r ɐ
cebeira	θ ɪ β̞ e j r ɐ
cebola	s e b o l a
cebola	s ɛ b ɔ l a
cebola	θ e b o l a
cebola	θ ɛ b ɔ l a
cebrisca	θ e β ɾ i s k a̝
cebro	θ e β ɾ o̝
cego	s ɛ ħ o
cego	θ ɛ ħ o
cego	θ ɛ ɡ o
ceibar	s e j β a ɾ
ceibar	θ e j β a ɾ
ceibe	s e j β e̝
ceibe	θ e j β e̝
ceibo	s e j β o̝
ceibo	θ e j β o̝
ceifa	s ɛ j f ɐ
ceifa	θ ɛ j f ɐ
ceila	θ e j l a̝
cela	θ ɛ l a̝
celamín	θ e l a m i ŋ
celebridade	s e l e b ɾ i d a d e
celebridade	θ e l e b ɾ i d a d e
celeiro	s e l e j ɾ o
celeiro	θ e l e j ɾ o
celigras	θ e l i ɣ ɾ a̝ s
celme	s ɛ l m e̝
celme	θ ɛ l m e̝
celoso	s e l o s o
celoso	θ e l o s o
celtismo	θ ɛ l t i s m o
cen	s ɛ ŋ
cen	θ ɛ ŋ
cenceno	s e n s e n o̝
cenceno	θ e n θ e n o̝
cendal	θ e n d a l
cenlla	s e n ʎ a̝
cenlla	θ e n ʎ a̝
ceno	a θ e n o̝
cenoria	s e n ɔ ɾ j a
cenoria	θ e n ɔ ɾ j a
cenrada	s e n r a ð a̝
cenrada	θ e n r a ð a̝
censura	s e n s u ɾ a
censura	s ɛ n s u ɾ a
censura	θ e n s u ɾ a
censura	θ ɛ n s u ɾ a
censurar	s e n s u ɾ a ɾ
censurar	s ɛ n s u ɾ a ɾ
censurar	θ e n s u ɾ a ɾ
censurar	θ ɛ n s u ɾ a ɾ
centeo	s e n t e o̝
centeo	θ e n t e o̝
centeo	θ e n t e w
cento	s e n t o
cento	θ e n t o
centola	s e n t o l a̝
centola	θ e n t o l a̝
centralización	s e n t ɾ a l i s a s j o ŋ
centralización	θ e n t ɾ a l i θ a θ j o ŋ
centralizaçom	s e n t ɾ a l i s a s o ŋ
centralizaçom	θ e n t ɾ a l i θ a θ o ŋ
centrismo	s e n t ɾ i s m o
centrismo	θ e n t ɾ i s m o
centro	s e n t ɾ o
centro	θ e n t ɾ o
centulo	θ e n t u l o̝
cenza	s ɛ n s a
cenza	θ ɛ n θ a
ceo	s ɛ o
ceo	θ ɛ o
cepa	s e p a
cepa	θ e p a
cepar	θ e p a ɾ
cepillar	θ e p i ʎ a ɾ
cepillo	θ e p i ʎ ʊ
cepo	s e p o̝
cepo	θ e p o̝
cera	s e ɾ a
cera	θ e ɾ a
cerca	s e ɾ k a̝
cerca	θ e ɾ k a̝
cercar	s e ɾ k a ɾ
cercar	θ e ɾ k a ɾ
cercear	θ e ɾ θ e a ɾ
cerco	s e ɾ k o
cerco	θ e ɾ k o
cerdeira	s e ɾ ð e j ɾ a̝
cerdeira	θ e ɾ ð e j ɾ a̝
cereal	s e ɾ e a l
cereal	θ e ɾ e a l
cerebro	s e ɾ ɛ b ɾ o
cerebro	θ e ɾ ɛ b ɾ o
cereixa	s e ɾ e j ʃ a
cereixa	θ e ɾ e j ʃ a
cerello	θ e ɾ e ʎ o̝
cerimonia	s e ɾ i m ɔ n j a
cerimonia	θ e ɾ i m ɔ n j a
cerna	s ɛ ɾ n a
cerna	θ ɛ ɾ n a
cernas	s ɛ ɾ n a s
cernas	θ ɛ ɾ n a s
cerne	s ɛ ɾ n e
cerne	θ ɛ ɾ n e
cernella	θ e ɾ n e ʎ a̝
cernes	s ɛ ɾ n e s
cernes	θ ɛ ɾ n e s
cerno	s ɛ ɾ n o
cerno	θ ɛ ɾ n o
cernos	s ɛ ɾ n o s
cernos	θ ɛ ɾ n o s
cero	s ɛ ɾ o
cero	θ ɛ ɾ o
cerqueiro	s e ɾ k e j ɾ o̝
cerqueiro	θ e ɾ k e j ɾ o̝
cerquiño	s e ɾ k i ɲ o̝
cerquiño	θ e ɾ k i ɲ o̝
cerrar	s ɛ r a ɾ
cerrar	θ ɛ r a ɾ
cerro	s e r o̝
cerro	θ e r o̝
certidume	s ɛ ɾ t i d u m e
certidume	θ ɛ ɾ t i d u m e
certo	s ɛ ɾ t o
certo	θ ɛ ɾ t o
cerume	s e ɾ u m e
cerume	θ e ɾ u m e
cervexa	s e ɾ b e ʃ a
cervexa	θ e ɾ b e ʃ a
cerviña	θ ɛ ɾ β i ɲ a̝
cerviño	s ɛ ɾ b i ɲ o
cerviño	θ ɛ ɾ b i ɲ o
cervo	s ɛ ɾ b o
cervo	θ ɛ ɾ b o
cervúa	θ ɛ ɾ β u a̝
cervún	θ ɛ ɾ β u ŋ
cesta	s e s t a
cesta	θ e s t a
cesteiro	s e s t e j ɾ o̝
cesteiro	θ e s t e j ɾ o̝
ceta	s e t a
ceta	θ e t a
chabola	t͡ʃ a β ɔ l a̝
chacina	t͡ʃ a s i n a̝
chacina	t͡ʃ a θ i n a̝
chafallada	t͡ʃ a f a ɟ a d a
chafandín	t͡ʃ a f a n d i ŋ
chafariz	t͡ʃ a f a ɾ i s
chafariz	t͡ʃ a f a ɾ i θ
chaga	t͡ʃ a ħ a
chaga	t͡ʃ a ɡ a
chagorza	t͡ʃ a ɣ ɔ ɾ θ a̝
chaguazo	t͡ʃ a ɡ w a θ o̝
chairo	t͡ʃ a j ɾ o
chaleco	t͡ʃ a l ɛ k o
chama	t͡ʃ a m a
chamador	t͡ʃ a m a ð o ɾ
chamar	t͡ʃ a m a ɾ
chamarse	t͡ʃ a m a ɾ s ɪ
chamas	t͡ʃ ɐ m ɐ s
chambergas	t͡ʃ a m b e ɾ ɣ a̝ s
chame	t͡ʃ ɐ m ɪ
chamizo	t͡ʃ a m i s o̝
chamizo	t͡ʃ a m i θ o̝
chamo	t͡ʃ ɐ m ʊ
chamorro	t͡ʃ a m o r o̝
champaña	t͡ʃ a m p a ɲ a
chamuscar	t͡ʃ a m u s k a ɾ
chan	t͡ʃ a ŋ
chanca	t͡ʃ a ŋ k a
chanchar	t͡ʃ a n t͡ʃ a ɾ
chancho	t͡ʃ a n t͡ʃ o̝
chanfaina	t͡ʃ a n f a j n a
chantado	t͡ʃ a n t a d o
chantar	t͡ʃ a n t a ɾ
chantaxe	t͡ʃ a n t a ʃ e
chanto	t͡ʃ a n t ʊ
chanzo	t͡ʃ a n θ o̝
chapa	t͡ʃ a p a̝
chapacuña	t͡ʃ a p a k u ɲ a̝
chapapote	t͡ʃ a p a p ɔ t e̝
chapar	t͡ʃ a p a ɾ
chapeu	t͡ʃ a p e w
chapeu	t͡ʃ a p ɛ w
chapeus	t͡ʃ a p e w s
chapeus	t͡ʃ a p ɛ w s
chaqueta	t͡ʃ a k e t a
chaquetas	t͡ʃ ɐ k e t ɐ s
charamisca	t͡ʃ a ɾ a m i s k a̝
charamusca	t͡ʃ a ɾ a m u s k a
charamuscas	t͡ʃ a ɾ a m u s k a s
charamuza	t͡ʃ a ɾ a m u θ a̝
charco	t͡ʃ a ɾ k o
charro	t͡ʃ a r o
charruar	t͡ʃ a r u a ɾ
charrúa	t͡ʃ a r u a
chasco	t͡ʃ a s k o
chata	t͡ʃ a t a
chato	t͡ʃ a t o
chau	t͡ʃ a w
chave	t͡ʃ a b e
chavella	t͡ʃ a b e ɟ a
che	t͡ʃ e
chea	t͡ʃ e a̝
checo	t͡ʃ ɛ k ʊ
cheda	t͡ʃ e d a
chedeiro	t͡ʃ e ð e j ɾ o̝
chegar	t͡ʃ e ħ a ɾ
chegar	t͡ʃ e ɡ a ɾ
cheirar	t͡ʃ e j ɾ a ɾ
cheirento	t͡ʃ e j ɾ e n t o̝
cheirento	t͡ʃ e j ɾ ɛ n t o̝
cheiro	t͡ʃ e j ɾ o̝
cheiro	t͡ʃ ɛ j ɾ o̝
cheminea	t͡ʃ e m i n ɛ a
chencha	t͡ʃ e n t͡ʃ a̝
chencha	t͡ʃ ɛ n t͡ʃ a̝
cheo	t͡ʃ e o
chepudo	t͡ʃ e p u d o
chiar	t͡ʃ i a ɾ
chicha	t͡ʃ i t͡ʃ a
chicote	t͡ʃ i k ɔ t e
chifrar	t͡ʃ i f ɾ a ɾ
chifre	t͡ʃ i f ɾ e̝
chilena	t͡ʃ i l e n a
chimpar	t͡ʃ i m p a ɾ
chimpo	t͡ʃ i m p o̝
chinche	t͡ʃ i n t͡ʃ e
chineiro	t͡ʃ i n e j ɾ o
chinés	t͡ʃ i n e s
chirlar	t͡ʃ i ɾ l a ɾ
chisca	t͡ʃ i s k a̝
chiscar	t͡ʃ i s k a ɾ
chisco	t͡ʃ i s k o̝
chisme	t͡ʃ i s m e
chispa	t͡ʃ i s p a
chisqueiro	t͡ʃ i s k e j ɾ o
chiste	t͡ʃ i s t e
cho	t͡ʃ o
choca	t͡ʃ o k ɐ
choca	t͡ʃ ɔ k ɐ
chocallo	t͡ʃ o k a ʎ o̝
choco	t͡ʃ o k ʊ
choco	t͡ʃ ɔ k ʊ
choer	t͡ʃ o e ɾ
choia	t͡ʃ ɔ j a̝
choiar	t͡ʃ ɔ j a ɾ
choio	t͡ʃ ɔ j o
chola	t͡ʃ ɔ l a
chopa	t͡ʃ o p a̝
chope	t͡ʃ ɔ p e̝
choqueiro	t͡ʃ ɔ k e j ɾ ʊ
chor	t͡ʃ o ɾ
chorar	t͡ʃ o ɾ a ɾ
chorida	t͡ʃ o ɾ i ð a̝
chorima	t͡ʃ o ɾ i m a̝
chorir	t͡ʃ o ɾ i ɾ
choromicas	t͡ʃ o ɾ o m i k a s
chorón	t͡ʃ o ɾ o ŋ
chosco	t͡ʃ o s k o̝
chota	t͡ʃ ɔ t a
choupa	t͡ʃ o w p a
choupa	t͡ʃ ɔ u p a
choupana	t͡ʃ o w p a n a̝
choupar	t͡ʃ o w p a ɾ
chouparro	t͡ʃ o w p a r o
choupelo	t͡ʃ o w p ɛ l o̝
chourela	t͡ʃ o w ɾ ɛ l a̝
chourizo	t͡ʃ o w ɾ i s o
chourizo	t͡ʃ o w ɾ i θ o
choutar	t͡ʃ o w t a ɾ
chouteira	t͡ʃ o w t e j ɾ a
chouto	t͡ʃ o w t o̝
chover	t͡ʃ o b e ɾ
choza	t͡ʃ ɔ s a
choza	t͡ʃ ɔ θ a
chozo	t͡ʃ ɔ s o
chozo	t͡ʃ ɔ θ o
chucha	t͡ʃ u t͡ʃ a
chuchamel	t͡ʃ u t͡ʃ a m ɛ l
chuchar	t͡ʃ u t͡ʃ a ɾ
chucho	t͡ʃ u t͡ʃ o
chufa	t͡ʃ u f a̝
chufar	t͡ʃ u f a ɾ
chumaceira	t͡ʃ u m a s e j ɾ a̝
chumaceira	t͡ʃ u m a θ e j ɾ a̝
chumazo	t͡ʃ u m a s o̝
chumazo	t͡ʃ u m a θ o̝
chumbada	t͡ʃ u m b a ð a̝
chumbalagato	t͡ʃ u m b a l a ħ a t o
chumbalagato	t͡ʃ u m b a l a ɡ a t o
chumbo	t͡ʃ u m b o
chupeta	t͡ʃ u p e t a̝
churrasco	t͡ʃ u r a s k o
churrusqueiro	t͡ʃ u r u s k e j ɾ o
chus	t͡ʃ u s
chuspir	t͡ʃ u s p i ɾ
chuvascada	t͡ʃ u b a s k a d a
chuvasco	t͡ʃ u b a s k o
chuvasqueiro	t͡ʃ u β a s k e j ɾ o̝
chuvia	t͡ʃ u b j a
chuvisca	t͡ʃ u b i s k a
chuviña	t͡ʃ u b i ɲ a
chá	t͡ʃ a
chío	t͡ʃ i o̝
ciano	s j a n o
ciano	θ j a n o
cicha	s i t͡ʃ a̝
cicha	θ i t͡ʃ a̝
cichar	s i t͡ʃ a ɾ
cichar	θ i t͡ʃ a ɾ
cichote	s i t͡ʃ ɔ t e̝
cichote	θ i t͡ʃ ɔ t e̝
cichón	s i t͡ʃ o ŋ
cichón	θ i t͡ʃ o ŋ
ciclismo	s i k l i s m o
ciclismo	θ i k l i s m o
cidadanía	s i d a d a n i a
cidadanía	θ i d a d a n i a
cidade	s i d a d e
cidade	θ i d a d e
cidadán	s i d a d a ŋ
