aachen	ɑː k eː n
fru	f r ʉː
frugge	² f r ɵ ɡ ɛ
frukt	f r ɵ k t
frunch	f r ɵ n ɧ
frys	f r yː s
främlingsfientlig	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ
främlingsfientlighet	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
främmat	² f r ɛ m a t
frände	f r ɛ n d ɛ
fråga	f r oː ɡ a
från	f r oː n
från	f r ɔ n
frånvaro	² f r oː n v ɑː r ʊ
frö	f r øː
fröjd	f r œ j d
fröken	f r øː k ɛ n
frös	f r øː s
fubbick	f ɵ b ɪ k
ful	f ʉː l
full	f ɵ l
fungera	f ɵ ŋ ɡ eː r a
funka	f ɵ ŋ k a
funktion	f ɵ ŋ k ɧ uː n
funktionell	f ɵ ŋ k ɧ ʊ n ɛ l
fur	f ʉː r
furnera	f ɵ r n eː r a
fusion	f ɵ ɧ uː n
fusk	f ɵ s k
futurum	f ɵ t ʉː r ɵ m
fy	f yː
fyn	f yː n
fynd	f ʏ n d
fyr	f yː r
fyra	f yː r a
fyrmänning	² f yː r m ɛ n ɪ ŋ
fyrtal	f yː r t ɑː l
fyrtio	² f œ r t ɪ ʊ
fyrtio	² f œ r t ɪ
fä	f ɛː
fäbod	² f ɛː b uː d
fälad	² f ɛː l a d
fälad	² f ɛː l ɑː d
fältsångare	f ɛ l t s ɔ ŋ a r ɛ
fän	f ɛː n
fänkål	f ɛː n k oː l
fänrik	f ɛ n r ɪ k
färg	f ɛ r j
färsk	f ɛ r s k
färskvatten	f ɛ r s k v a t ɛ n
fäst	f ɛ s t
få	f oː
fågel	f oː ɡ ə l
fågel	f oː ɡ ɛ l
får	f oː r
fåraherde	² f oː r a h eː r d ɛ
fårakläder	² f oː r a k l ɛː d ɛ r
fåtal	² f oː t ɑː l
fåtölj	f ɔ t œ l j
fåtölj	f ʊ t œ l j
föda	f øː d a
födelsedag	f øː d ɛ l s ɛ d ɑː ɡ
födelsedag	f øː l s ɛ d ɑː ɡ
fönster	f œ n s t ɛ r
fönstertittarsjuka	² f œ n s t ɛ r t ɪ t a r ɧ ʉ̟ː k a
för	f øː r
förbruka	f œ r b r ʉː k a
förbud	f œ r b ʉː d
förbundskapten	f œ r ² b ɵ n d s k a p t eː n
förbutik	f øː r b ʉː t iː k
fördriva	f œ r ɖ r iː v a
fördöma	f ɵ r d ɵ m a
före	² f øː r ɛ
förebrå	f øː r ɛ b r oː
föregångare	f øː r ɛ ɡ ɔ ŋ a r ɛ
förena	f œ r eː n a
förening	f œ r eː n ɪ ŋ
förete	f øː r ɛ t eː
förgänglig	f œ r j ɛ ŋ l ɪ ɡ
förgäves	f œ r j ɛː v ɛ s
förnuftig	f œ ɳ ɵ f t i ɡ
förrän	f œ r ɛ n
försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
förskolelärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskollärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskräcklig	f œ r s k r ɛ k l ɪ ɡ
förstå	f œ r s t oː
förstås	f ɶ ʂ t ɔ s
förstås	f ɶ ʂ t oː s
förstöra	f œ ʂ ʈ œː r a
försvarare	f øː r s v ɑː r a r ɛ
försvarstal	f œ r ² s v ɑː r s t ɑː l
försöka	f œ r s øː k a
förträfflig	f œ r ʈ r ɛ f l ɪ ɡ
förut	f øː r ʉː t
förut	f œ r ʉː t
förut	f øː r ʉː t
förvirring	f øː r v ɪ r ɪ ŋ
förvärra	f œ̞ r v æ r a
förvärras	f œ̞ r v æ r a s
förälder	f œ r ¹ ɛ l d æ r
förälskad	f œ r ɛ l s k a d
förälskelse	f œ r ɛ l s k ɛ l s ɛ
g	ɡ eː
g	ɡ
g	j
g	ɧ
gabbe	² ɡ a b ɛ
gabriel	ɡ ɑː b r ɪ ɛ l
gadd	ɡ a d
gaffel	ɡ a fː ɛ l
galax	ɡ a l a k s
galär	ɡ a l ɛ r
gammal	² ɡ a mː a l
gamme	² ɡ a m ɛ
gammeldans	² ɡ a m ɛ l d a n s
gammelgädda	² ɡ a m ɛ l j ɛ d a
gammelmedia	² ɡ a m ɛ l m eː d ɪ a
garage	ɡ a r ɑː ɕ
garage	ɡ a r ɑː ɧ
garanti	ɡ a r a n t ɪ
gas	ɡ ɑː s
gata	ɡ ɑː t a
gav	ɡ ɑː v
ge	j eː
gelé	ɧ ɛ l eː
gem	ɡ eː m
gem	j eː m
gemen	j ɛ m eː n
gen	j eː n
general	j ɛ n ɛ r ɑː l
generös	ɧ ɛ n ɛ r øː s
genitiv	j eː n ɪ t iː v
genom	j eː n ɔ m
genom	j eː n oː m
genre	¹ ɧ a ŋ ɛ r
genren	ɧ a ŋ ɛ r n
genrep	² j eː n r eː p
genrer	ɧ a ŋ r a r
genrerna	ɧ a ŋ r a r n a
gentil	ɧ a ŋ t iː l
georg	j eː ɔ r j
ger	j eː r
germanium	j ɛ r m ɑː n ɪ ɵ m
gert	j æ ʈ
gert	ɡ æ ʈ
gest	ɧ ɛ s t
get	j eː t
geting	j eː t ɪ ŋ
getruta	j eː t r ʉː t a
geväder	j ɛ v ɛː d e r
gevär	j ɛ v ɛː r
gick	j ɪ k
gifter	² j ɪ f t ɛ r
gifter	¹ j ɪ f t ɛ r
giftig	j ɪ f t ɪ ɡː
gin	j ɪ n
gin	d ʒ ɪ n
gipsplatta	j ɪ p s p l a t a
gipsskiva	j ɪ p s ɧ iː v a
gir	j iː r
giraff	ɧ ɪ r a f
gita	² j iː t a
gitarr	j ɪ t a r
gitta	² j ɪ t a
gitta	² ɡ ɪ t a
giva	j iː v a
gjord	j ʊ ɖː
gjord	j uː r d
gjorde	j ʊ ɖ ɛ
gjort	j ʊ ʈ
gjuta	² j ʉː t a
glad	ɡ l ɑː d
gladlynt	ɡ l ɑː d l yː n t
gladlynt	ɡ l ɑː d l ʏ n t
glas	ɡ l ɑː s
glashus	² ɡ l ɑː s h ʉː s
glasmästarsill	² ɡ l ɑː s m ɛ s t a r s ɪ l
glass	ɡ l a s
glassmaskin	ɡ l a s m a ɧ iː n
glatt	ɡ l a tː
gluttsnäppa	ɡ l ɵ t s n ɛ p a
glögg	ɡ l œ ɡ
gnag	ɡ n ɑː ɡ
gned	ɡ n eː d
gnid	ɡ n iː d
gnids	ɡ n iː d s
god	ɡ uː d
god	ɡ uː
goddag	ɡ ʊ dː ɑː ɡ
golv	ɡ ɔ l v
gott	ɡ ɔ t
gradu	ɡ r ɑ d ʉ
gran	ɡ r ɑː n
gransångare	ɡ r ɑː n s ɔ ŋ a r ɛ
grattis	¹ ɡ r a t ɪ s
gratäng	ɡ r a t ɛ ŋ
grav	ɡ r ɑː v
gravand	ɡ ɾ ɑː v a n d
gravitation	ɡ r a v ɪ t a ɧ uː n
gravlax	ɡ r ɑː v l a k s
green	ɡ r iː n
grej	ɡ r ɛ j
grekland	ɡ r eː k l a n d
grep	ɡ r eː p
grina	ɡ r iː n a
grip	ɡ r iː p
groda	ɡ r uː d a
gross	ɡ r ɔ s
grov	ɡ r uː v
grund	ɡ r ɵ n d
grym	ɡ r ʏ m
grymta	ɡ r ʏ m t a
gryning	ɡ r yː n ɪ ŋ
gryta	ɡ r yː t a
gräddbulle	² ɡ r ɛ d b ɵ l ɛ
gräddfil	ɡ r ɛ dː f iː l
gräsand	ɡ ɾ ɛː s a n d a n d
grät	ɡ r ɛː t
gråben	² ɡ r oː b eː n
grågam	ɡ r oː ɡ ɑː m
grågås	ɡ ɾ oː ɡ oː s
gråhakedopping	ɡ ɾ oː h ɑː k ɛ d ɔ p ɪ ŋ
gråhäger	ɡ r oː h ɛ ɡ ɛ r
gråspett	ɡ r oː s p ɛ t
gråsäl	ɡ r oː s ɛː l
gråt	ɡ r oː t
gråtrut	ɡ r oː t r ʉː t
grön	ɡ r øː n
grönbena	ɡ r øː n b eː n a
grönkål	ɡ r øː n k oː l
grönsångare	ɡ r øː n s ɔ ŋ a r ɛ
gröt	ɡ r øː t
gubbe	ɡ ɵ b ɛ
gud	ɡ ʉː d
gud	ɡ ʉː d
guding	² ɡ ʉː d ɪ ŋ
guds	ɡ ɵ tː s
gul	ɡ ʉː l
gula	² ɡ ʉː l a
guld	ɡ ɵ l d
gullgosse	² ɡ ɵ l ɡ ɔ s ɛ
gullviva	ɡ ɵ l v iː v a
gump	ɡ ɵ m p
gungfly	² ɡ ɵ ŋ f l yː
gurra	² ɡ ɵ r a
guru	ɡ ʉ̟ː r ɵ
guss	ɡ ɵ s
guss	ɡ ɵ z
gym	j ʏ m
gymma	² j ʏ m a
gymnasium	j ʏ m n ɑː s ɪ ɵ m
gymnasium	j ʏ m n ɑː s ɪ ɛ
gyros	ɡ yː r ʊ s
gyros	j yː r ʊ s
gäl	j ɛː l
gäl	ɡ ɛː l
gäri	ɡ ɛː r ɪ
gärna	² j ɛː r n a
gäst	j ɛ s t
gästfri	² j ɛ s t f r iː
gästfrihet	j ɛ s t f r iː h eː t
gästgiveri	j æ ɧ ɪ v ɛ r iː
gästgiveri	j æ s t j iː v ɛ r iː
gästgiveri	j æ s t j ɪ v ɛ r iː
gävle	j ɛː v l ɛ
gå	ɡ oː
gång	ɡ ɔ ŋ
gången	ɡ ɔ ŋ e n
gången	ɡ ɔ ŋ e n
gångjärn	ɡ ɔ ŋ j ɛː r n
gård	ɡ oː r d
gås	ɡ oː s
gåskarl	ɡ oː s k ɑː r
gåstol	ɡ oː s t uː l
gått	ɡ ɔ t
gök	j øː k
göktyta	j øː k t yː t a
göl	j øː l
göra	² j øː r a
göra	² ɡ œː r a
göran	j øː r a n
gördel	j œ r d ɛ l
göt	ɡ øː t
göteborg	j œ t ɛ b ɔ r j
göteborgska	j œ t e ² b ɔ r j s k a
gött	j œ t
gött	ɡ œ t
ha	h ɑː
ha	h a
ha	h ɑː v a
hade	² h a dː ɛ
haft	h a f t
hage	h ɑː ɡ ɛ
hagtorn	h a k t uː r n
hagtorn	² h ɑː ɡ t uː r n
haj	h a j
hall	h a l
hallon	h a l ɔ n
hallå	h a l oː
halmbock	² h a l m b ɔ k
halmstad	h â l m s t a d
halv	h a l v
halvlek	² h a l v l eː k
hambo	h a m b ʊ
han	h a nː
hand	h a n d
handikapp	h a n d ɪ k a p
handikapp	² h a n d i k a p
handskrift	h a n d s k r ɪ f t
handtryck	² h a n d t r ʏ k
hans	h ɑː n s
hantverk	h a n t v ɛ r k
har	h ɑː r
hara	h ɑː r a
hat	h ɑː t
hata	² h ɑː t a
hatt	h a t
hav	h ɑː v
havre	² h ɑː v r ɛ
havssula	h a v s ʉː l a
havstrut	h a v s t r ʉː t
havsörn	h a v s øː r n
heat	h iː t
hej	h ɛ jː
hekto	h ɛ k t ʊ
hel	h eː l
helg	h ɛ l j
helga	h ɛ l ɡ a
helig	h eː l ɪ ɡ
helium	h eː l ɪ ɵ m
helsingborg	h ɛ l s ɪ ŋ b ɔ r j
helsingfors	h ɛ l s ɪ ŋ f ɔ r s
helsingör	h ɛ l s ɪ ŋ øː r
helvete	h ɛ l v ɛ t ɛ
helvete	h ɛ l v eː t ɛ
hem	h ɛ m
hembränd	² h ɛ m b r ɛ n d
hembränt	² h ɛ m b r ɛ n t
hemester	h ɛ m ɛ s t ɛ r
hemläxa	² h ɛ m l ɛ k s a
hemmaplan	² h ɛ m a p l ɑː n
hemul	h e m ʉː l
hen	h ɛ n
hen	h eː n
henne	h ɛ nː ɛ
henom	h ɛ n ɔ m
hens	h ɛ n s
herbert	¹ h æ r b æ ʈ
herdestund	² h eː r d ɛ s t ɵ n d
herr	h ɛ r
herre	h ɛ̄ rː ɛ̂
hertz	h æ r t s
het	h eː t
heta	h eː t a
hetvägg	h eː t v ɛ ɡ
hia	² h iː a
hialös	² h iː a l øː s
himalaya	h ɪ ¹ m ɑː l a j a
himalaya	h ɪ m a ² l a jː a
himalayagyllenmes	h i m ɑː l ɪ j a j ʏ l ɛ n m eː s
hinsidan	² h iː n s iː d a n
hinsidan	² h ɪ n s iː d a n
hispa	² h ɪ s p a
hispig	² h ɪ s p ɪ ɡ
hitta	h ɪ t a
hjord	j uː ɖ
hjort	j ʊ r t
hjorta	j ʊ r t a
hjortron	j ʊ ʈ r ɔ n
hjul	j ʉː l
hjälm	j ɛ l m
hjälp	j ɛ l p
hjälpa	j ɛ l pː a
hjälte	j ɛ l t ɛ
hjärna	² j ɛː ɳ a
hjärta	j ɛ r t a
hjärtinfarkt	² j ɛ r t ɪ n f a r k t
hjärtlig	² j æ ʈ l ɪ ɡ
hockeyfrilla	h ɔ k ʏ f r ɪ l a
hockeyfrilla	h ɔ k ɪ f r ɪ l a
holm	h ɔ l m ɛ
homofili	h u m u f i l iː
homosex	h uː m ʊ s e k s
hon	h ʊ n
hon	h uː n
honom	h ɔ nː ɔ m
honung	h oː n ɵ ŋ
hoppa	h ɔ p a
hoppeligen	² h ɔ p ɛ l iː ɡ ɛ n
hoppeligen	h ɔ pː e l iː ɡ e n
hor	h uː r
hornuggla	h ʊ r n ɵ ɡ l a
horoskop	h ʊ r ʊ s k oː p
hos	h ʊ s
hos	h uː s
hot	h uː t
hotell	h ʊ t ɛ lː
hov	h uː v
hov	h oː v
hud	h ʉː d
hudsonspov	h ɑ d s ɔ n s p uː v
huggmejsel	h ʊ ɡ m ɛ j s ɛ l
humle	h ɵ m l ɛ
hund	h ɵ n d
hundra	h ɵ n d r a
hungrig	h ɵ ŋ r ɪ ɡ
hur	h ʉː r
hurring	² h ɵ r ɪ ŋ
hus	h ʉː s
husdjur	h ʉː s j ʉː r
husmanskost	² h ʉ̟ː s m a n s k ɔ s t
hussvala	h ʉː s s v ɑː l a
hustru	h ɵ̄ sː t r ʉ̂ː
huv	h ʉː v
huvud	² h ʉː v ɵ d
huvud	² h ɵ vː ɵ d
huvud	² h ʉː v ɛ
huvud	² h œ vː ɛ
huvud	² h ʉː ɛ
huvud	h ʉ v ʉ
huvudspråk	² h ʉː v ɵ d s p r oː k
huvudspråk	² h ʉː v ɛ s p r oː k
hyf	h yː f
hygglig	h ʏ ɡ l ɪ ɡ
hylla	h ʏ lː a
hyperdrift	² h yː p ɛ r d r ɪ f t
hyrkanmes	h ʏ ɾ k a n m eː s
häftig	h ɛ f t ɪ ɡ
hägna	h ɛ ŋ n a
häl	h ɛː l
häll	h ɛ l
hällregn	h ɛ l r ɛ ŋ n
här	h æː r
häradshövding	h æː r a d s h œ v d ɪ ŋ
häradsrätt	h æː r a d s r ɛ t
härför	h æː r f øː r
härk	h ɛ r k
härlig	h ɛː r l ɪ ɡ
härmsångare	h ɛ r m s ɔ ŋ a r ɛ
härold	² h ɛː r ɔ l d
håg	h oː ɡ
håla	h oː l a
håna	² h oː n a
hår	h oː r
hårdrockare	h oː r d r o k a r ɛ
hårt	h oː ʈ
håv	h oː v
hö	h øː
höbal	h øː b ɑː l
hög	h øː ɡ
höga	h øː ɡ a
högkvarter	h øː ɡ k v a r t eː r
högljudd	² h øː ɡ j ɵ d
högljutt	² h øː ɡ j ɵ t
högsvenska	h øː ɡ s v e n s k ɑ
högsvenska	² h øː ɡ s v ɛ n s k a
högtid	h œ kː t iː d
högtid	h øː ɡ t iː d
hök	h øː k
hölja	h œ l j a
höna	² h øː n a
höra	² h øː r a
höst	h œ s t
höstas	² h œ s t a s
höstdagjämning	h œ s t d ɑː ɡ j ɛ m n ɪ ŋ
i	iː
i	iː
i	iː
i	iː
i	ɪ
idissla	² iː d ɪ s l a
idrott	² iː d r ɔ t
igelkott	iː ɡ ɛ l k ɔ t
igenom	ɪ j eː n ɔ m
ignorera	ɪ ŋ n ʊ r eː r a
ihjäl	ɪ j ɛː l
ihop	ɪ h uː p
ikea	ɪ k êː a
illamående	ɪ l a m oː ɛ n d ɛ
illusion	ɪ l ɵ ɧ uː n
imperfekt	ɪ m p ɛ r f ɛ k t
in	ɪ n
inandning	² ɪ n a n d n ɪ ŋ
inbjudan	² ɪ n b j ʉ̟ː d a n
indian	ɪ n d ɪ ɑː n
infinitiv	ɪ n f ɪ n ɪ t iː v
inga	² ɪ ŋ a
ingendera	² ɪ ŋ ɛ n d eː r a
ingenjör	ɪ n ɧ ɛ n j øː r
ingenting	ɪ ŋ ɛ n tʰ ɪ ŋ
inger	² ɪ n j eː r
inkapabel	ɪ n k a p ɑː b ɛ l
inn	ɪ n
innan	² ɪ n a n
innanför	² ɪ n a n f øː r
insexnyckel	ɪ n s ɛ k s n ʏ k ɛ l
insjukna	² ɪ n ɧ ʉː k n a
inspektion	ɪ n s p ɛ k ɧ uː n
instruktion	ɪ n s t r ɵ k ɧ uː n
inte	² ɪ n t ɛ
integral	ɪ n t ɛ ɡ r aː l
internationell	ɪ n t ɛ r n a t ɧ ʊ n ɛ l
internet	ɪ n t ɛ r n ɛ t
internet	ɪ n t ɛ r n ɛ t
intervju	ɪ n t ɛ r v j ʉː
intryck	ɪ n t r ʏ kː
intyg	² ɪ n t yː ɡ
invändig	² ɪ n v ɛ n d ɪ ɡ
iriomotemes	ɪ ɾ ɪ j ɔ m ɔ t ɛ m eː s
irland	ɪ r l a n d
irra	ɪ r a
is	iː s
isabella	ɪ s a ² b ɛ l a
isabellatörnskata	ɪ s a b ɛ l a t øː r n s k ɑː t a
ismås	iː s m oː s
israel	ɪ s r a eː l
italien	ɪ t ɒː l ɪ ə n
ivar	iː v a r
j	j iː
j	j
j	ɧ
ja	j ɑː
ja	j aː
ja	j a
ja	j ɑː
ja	j aː
ja	j ɑː
jacka	j a k a
jacke	² j a k ɛ
jag	j ɑː ɡ
jaga	j ɑː ɡ a
jak	j ɑː k
jaktfalk	j a k t f a l k
jalla	j a l l a
jalusi	ɧ a l ɵ s iː
jam	j ɑː m
januari	j a n ɵ ɑː r ɪ
japan	¹ j ɑː p a n
japan	j a p ɑː n
japanare	j a p ² ɑː n a r ɛ
japansk	j a p ɑː n s k
japanska	j a p ɑː n s k a
jargong	ɧ a r ɡ ɔ ŋ
jasmine	ɧ a s m iː n
jason	j ɑː s ɔ n
jennie	¹ j ɛ n ɪ
jenny	¹ j ɛ n ʏ
jerusalem	j ɛ ² r ʉː s a l ɛ m
jesuit	j ɛ s ʉ iː t
jesus	² j eː s ɵ s
jesus	j eː s ɵ s
jiddra	² j ɪ d r a
jo	j uː
jocke	² j ʊ k ɛ
jod	j ɔ d
johan	j ʊ a n
johanna	j ʊ ² h a n a
joint	j ɔ ɪ n t
joint	d ʒ ɔ ɪ n t
jojk	j ɔ j k
jojka	² j ɔ j k a
jojo	j ʊ j ʊ
jokk	j ɔ k
jolle	j ɔ lː ɛ
jonas	j uː n a s
jonsson	j ʊ n s ɔ n
jonte	² j ɔ n t ɛ
joppe	j ɔ pː e
jord	j uː r d
jordafärd	² j uː r d a f ɛː r d
jorden	j uː r d ɛ n
jordgubbe	j uː ɖ ɡ ɵ b ɛ
jorduggla	j ʊ r d ɵ ɡ l a
jordvarg	j uː ɖ v a r j
jota	² j uː t a
journal	ɧ ʊ ɳ ɑː l
journalist	ɧ ʊ r n a l ɪ s t
jox	j ʊ k s
ju	j ɵ
ju	j ʉː
judetyska	² j ʉː d ɛ t ʏ s k a
juice	j uː s
jul	j ʉː l
julas	² j ʉ̟ː l a s
julgranskula	² j ʉ̟ː l ɡ r ɑː n s k ʉ̟ː l a
juli	j ʉː l ɪ
julmust	² j ʉ̟ː l m ɵ s t
jungfrukälla	j ʉ ŋ f r ʉː ɕ ɛ l a
jungfrutrana	j ɵ ŋ f ɾ ɵ t ɾ ɑː n a
juni	j ʉː n ɪ
jupiter	j ʉː p ɪ t ɛ r
jury	j ɵ r ʏ
juver	j ʉ v ɛ r
jägmästare	² j ɛː ɡ m ɛ s t a r ɛ
jämte	² j ɛ m t ɛ
järn	j ɛː r n
järnvägsstation	² j æː ɳ v ɛː ɡ s s t a ɧ uː n
järpe	j ɛ ɾ p ɛ
järv	j æ r v
jäst	j ɛ s t
jävel	j ɛː v ɛ l
jävig	j ɛː v ɪ ɡ
jönköping	j ɜː n t ʃ ɜː p ɪ ŋ
jönköping	j œ n ɕ øː p ɪ ŋ
k	k oː
k	k
k	ɕ
kackig	k a kː ɪ ɡ
kadmium	k a d m ɪ ɵ m
kaffe	² kʰ a fː ɛ
kaffegök	kʰ a fː e j øː k
kaffepumla	² k a f ɛ p ɵ m l a
kafé	k a f eː
kajak	k a j ɑː k
kaka	k ɑ̂ː k a
kakao	k ɑː k a ʊ
kal	k ɑː l
kalabalik	k a l a b a l iː k
kalcium	k a l s ɪ ɵ m
kalifornien	k a l ɪ f uː r n ɪ ɛ n
kalium	k ɑː l ɪ ɵ m
kalk	k a l k
kalkon	k a l k uː n
kall	k a l
kalla	² k a lː a
kalle	² k a l ɛ
kallprat	² k a l p r ɑː t
kalmarit	k a l m a r iː t
kam	k a m
kamera	k ɑː m ɛ r a
kan	k a nː
kanadagås	k a n a d a ɡ oː s
kanadames	k a n a d a m eː s
kanadensisk	k a n a d ɛ n s ɪ s k
kanelbulle	k a n eː l b ɵ lː ɛ
kanelsnäcka	k a n eː l s n ɛ kː a
kanot	k a n uː t
kanot	e ŋ k a n uː t
kanot	e ŋ k a n uː t
kanot	k a n oː
kanske	² k a n ɧ ɛ
kaos	k a ʊ s
kaos	k ɑː ʊ s
kapmes	k ɑː p m eː s
kappa	k a pː a
kar	k ɑː r
karbin	k a r b iː n
kardinal	k a ɖˑ ɪ n ɒː l
karina	k a ² r iː n a
karl	k ɑː r l
karl	k ɑː r
karolina	k a r ʊ ² l iː n a
karolinasumphöna	k a ɾ ʊ l iː n a s ɵ m p h øː n a
karolinatita	k a ɾ ʊ l iː n a t iː t a
karta	k ɑː r t a
kasse	² k a s ɛ
kasus	k ɑː s ɵ s
katarina	k a t a ² r iː n a
katod	k a t oː d
katod	k a t uː d
katrina	k a ² t r iː n a
katt	k a tː
kedja	² ɕ eː d j a
kedja	² ɕ ɛː d j a
keff	k ɛ f
kejsarörn	ɕ ɛ j s a r øː r n
kemi	ɕ ɛ m iː
keramik	ɕ ɛ r a m iː k
kerstin	² ɕ æ ʂ t ɪ n
ketchup	k ɛ tː ɕ ɵ p
kex	k ɛ k s
kex	ɕ ɛ k s
kidnappa	² k iː d n a p a
kika	ɕ iː k a
kil	ɕ iː l
kille	² k ɪ l ɛ
kille	² k ɪ l ɛ
kille	² ɕ ɪ l ɛ
kilo	ɕ iː l ʊ
kilo	k iː l ʊ
kilometer	ɕ ɪ l ʊ m eː t ɛ r
kina	² ɕ iː n a
kind	ɕ ɪ n d
kinders	ɕ ɪ n d ɛ r s
kines	ɕ ɪ n eː s
kinesa	ɕ ɪ n eː s a
kinesisk	ɕ ɪ n eː s ɪ s k
kinesiska	ɕ ɪ n eː s ɪ s k a
kiosk	ɕ ɔ s k
kiosk	k ɪ ɔ s k
kiosk	k j ɔ s k
kioskmongo	ɕ ɔ sː k m ɔ ŋ ɡ ʊ
kioskvältare	ɕ o s k v ɛ l t a r ɛ
kirra	² k ɪ r a
kirurg	ɕ ɪ r ɵ r ɡ
kis	k i s
kis	ç i s
kisel	ɕ iː s ɛ l
kiss	k ɪ s
kissa	k ɪ s a
kista	ɕ ɪ s t a
kitsch	k ɪ t ɧ
kitschig	k ɪ t ɧ ɪ ɡ
kittel	ɕ ɪ t ɛ l
kjell	ɕ ɛ l
kjellberg	ɕ ɛ l b æ r j
kjol	ɕ uː l
kladdkaka	² k l a d k ɑː k a
klandra	k l a n d r a
klar	k l ɑː r
klarhet	² k l ɑː r h eː t
klinga	² k l ɪ ŋ a
klingonska	k l ɪ ŋ ɔ n s k a
klintbergare	k l iː n t b ɛː r j a r eː
klippduva	k l ɪ p d ʉː v a
klippkaja	k l ɪ p k a j a
klippsvala	k l ɪ p s v ɑː l a
klittra	k l ɪ t r a
klocka	k l ɔ kː a
klon	k l uː n
klonken	k l ɔ ŋ k ɛ n
klor	k l oː r
klor	k l uː r
kläde	k l ɛː d ɛ
kläder	k l ɛː d ɛ r
klädhängare	k l ɛ d h ɛ ŋ a r ɛ
klå	k l oː
klår	k l oː r
klökas	² k l øː k a s
klösa	² k l øː s a
klövdjur	² k l øː v j ʉː r
knaffel	k n a fː ɛ l
knapp	k n a p
knappologi	k n a p ʊ l ʊ ɡ iː
knark	k n a r k
knarka	k n a r k a
kned	k n eː d
kniv	k n iː v
knoparmoj	² k n uː p a r m ɔ j
knubbsäl	k n ɵ b s ɛː l
knulla	k n ɵ lː a
knut	k n ʉː t
knuten	¹ k n ʉː t ɛ n
knuten	² k n ʉː t ɛ n
knä	k n ɛː
knåda	² k n oː d a
knô	k n œː
knö	k n œː
knöl	k n øː l
knölsvan	k n ø l s v ɑː n
knölsvärta	k n ø l s v ɛ ʈ a
ko	k uː
kobolt	k uː b ɔ l t
kobolt	k oː b ɔ l t
koboltmes	k uː b ɔ l t m eː s
kod	k oː d
kod	k uː d
kofta	k ɔ f t a
kol	k oː l
kolla	k ɔ l a
kolymasnäppa	k ɔ l yː m a s n ɛ p a
kom	k ɔ m
komma	² k ɔ m a
kommer	k ɔ m ɛ r
kompis	¹ k ɔ m p ɪ s
komplett	k ɔ m p l ɛ t
kon	k uː n
kondition	k ɔ n d ɪ ɧ uː n
konflikt	k ɔ n f l ɪ k t
konspiration	k ɔ n s p ɪ r a ɧ uː n
konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r eː t ɪ k ɛ r
konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r iː
konst	k ɔ nː s t
konstbefrukta	² k ɔ n s t b ɛ f r ɵ k t a
konstbevattna	² k ɔ n s t b ɛ v a t n a
konstbevattning	² k ɔ n s t b ɛ v a t n ɪ ŋ
konstfiber	² k ɔ n s t f iː b ɛ r
konstgjord	² k ɔ n s t j uː r d
konstgjord	² k ɔ n s t j ʊ r d
konstläder	² k ɔ n s t l ɛː d ɛ r
konstruktion	k ɔ n s t r ɵ k ɧ uː n
konsumtion	k ɔ n s ɵ m ɧ uː n
kontra	k ɔ n t r a
kontrast	k ʊ n t r a s t
konung	k oː n ɵ ŋ
konungarike	k oː n ɵ ŋ a r iː k ɛ
kopia	k ʊ ² p iː a
kopp	k ɔ p
koppar	k ɔ p a r
kopparand	k ɔ p a ɾ a n d
koppling	² k ɔ p l ɪ ŋ
kopplingskåpa	² k ɔ p l ɪ ŋ s k oː p a
kor	k uː r
korea	k ʊ ² r eː a
korean	k ʊ r eː aː n
korg	k ɔ r j
kornknarr	k uː ɳ k n a ɾ
korp	k ɔ r p
korshänvisning	² k ɔ r s h ɛː n v iː s n ɪ ŋ
kort	k ɔ r t
kort	k ʊ r t
korttålärka	k ɔ r t oː l ɛ r k a
kost	k ɔ s t
kostpris	k ɔ s t p r iː s
koxik	k ʊ k s ɪ k
koxik	k ɔ k s ɪ k
koyot	k ʊ j oː t
krabba	k r a bː a
krabbis	k r ɑ bː i s
kraftfull	k r a f t f ɵ l
kragtrapp	k ɾ ɑː ɡ t ɾ a p
kran	k r ɑː n
krans	k r a n s
krans	k r ɑː n s
krav	k ɾ ɑː v
kretensisk	k r ɛ t ɛ n s ɪ s k
kretsschema	k r ɛ t s ɧ eː m a
krig	k r iː ɡ
kristianstad	k r ɪ ɧ a n s t a
kristina	k r ɪ ² s t iː n a
krita	² k r iː t a
krog	k r uː ɡ
krokan	k r ʊ k ɑː n
krokan	k r ɔ k ɑː n
krokan	k r oː k ɑː n
krokben	² k r uː k b eː n
krom	k r oː m
krona	k r uː n a
kronor	k r uː n ʊ r
kropp	k r ɔ pː
kruka	k r ʉː k a
krusbär	k r ʉ̟ː s b ɛː r
krusbär	² k r ʉ̟ː s b ɛː r
krut	k r ʉː t
kräftskiva	² k r ɛ f t ɧ iː v a
kröka	² k r øː k a
kuba	k ʉː b a
