A	a
kłub	k u p
klěb	k l ɪ p
klěcaś	k l ɪ t͡s a ɕ
klěkaś	k l ɪ k a ɕ
klěšće	k l ɪ ɕ t͡ɕ ɛ
klěś	k l ɪ ɕ
klin	k l i n
klink	k l i n k
kloštaŕ	k l ɔ ʃ t a rʲ
kmótš	k m ɛ t͡ʃ
kmótš	k m ɨ t͡ʃ
kmótš	k m ʊ t͡ʃ
kněni	k nʲ ɪ nʲ i
kněz	k ɲ ɪ s
kněžaŕ	k nʲ ɪ ʒ a rʲ
kněžaŕstwo	k nʲ ɪ ʒ a rʲ s t w ɔ
kněžna	k nʲ ɪ ʒ n a
knigły	k nʲ i ɡ w ɨ
kobołk	k ɔ b ɔ w k
kobra	k ɔ b r a
kobrami	k ɔ b r a mʲ i
kobru	k ɔ b r u
kobry	k ɔ b r ɨ
kobyła	k ɔ b ɨ w a
kofer	k ɔ f ɛ r
kogo	k ɔ ɡ ɔ
kokoš	k ɔ k ɔ ʃ
kokoška	k ɔ k ɔ ʃ k a
kokot	k ɔ k ɔ t
koło	k o w ɔ
kołp	k ɔ w p
komar	k ɔ m a r
komora	k ɔ m ɛ r a
komu	k ɔ m u
kopi	k ɔ pʲ i
kopje	k ɔ pʲ ɛ
kopš	k ɔ p ʃ
kopyto	k ɔ p ɨ t ɔ
kócka	k ɛ t͡s k a
kócka	k ɨ t͡s k a
kócka	k ʊ t͡s k a
kócor	k ɛ t͡s ɔ r
kócor	k ɨ t͡s ɔ r
kócor	k ʊ t͡s ɔ r
kólaso	k ɛ l a s ɔ
kólaso	k ɨ l a s ɔ
kólaso	k ʊ l a s ɔ
kóleno	k ɛ l ɛ n ɔ
kóleno	k ɨ l ɛ n ɔ
kóleno	k ʊ l ɛ n ɔ
kónja	k ɨ nʲ a
kónja	k ɛ nʲ a
kónja	k ʊ nʲ a
kónju	k ɨ nʲ u
kónju	k ɛ nʲ u
kónju	k ʊ nʲ u
kónopje	k ɨ n ɔ pʲ ɛ
kónopje	k ɛ n ɔ pʲ ɛ
kónopje	k ʊ n ɔ pʲ ɛ
kóń	k ɛ ɲ
kóń	k ɨ ɲ
kóń	k ʊ ɲ
kóńc	k ɛ ɲ t͡s
kóńc	k ɨ ɲ t͡s
kóńc	k ʊ ɲ t͡s
kóńck	k ɛ ɲ t͡s k
kóńck	k ɨ ɲ t͡s k
kóńck	k ʊ ɲ t͡s k
kóńcowaś	k ɨ nʲ t s o w a ɕ
kóńcowaś	k ɛ nʲ t s o w a ɕ
kóńcowaś	k ʊ nʲ t s o w a ɕ
kórjeń	k ɨ rʲ ɛ nʲ
kórjeń	k ɛ rʲ ɛ nʲ
kórjeń	k ʊ rʲ ɛ nʲ
kóryto	k ɨ r ɨ t ɔ
kóryto	k ɛ r ɨ t ɔ
kóryto	k ʊ r ɨ t ɔ
kós	k ɨ s
kós	k ɛ s
kós	k ʊ s
kósa	k ɨ s a
kósa	k ɛ s a
kósa	k ʊ s a
kósam	k ɨ s a m
kósam	k ɛ s a m
kósam	k ʊ s a m
kósć	k ɛ s t͡ɕ
kósć	k ɨ s t͡ɕ
kósć	k ʊ s t͡ɕ
kóse	k ɨ s ɛ
kóse	k ɛ s ɛ
kóse	k ʊ s ɛ
kósu	k ɨ s u
kósu	k ɛ s u
kósu	k ʊ s u
kóśeł	k ɨ ɕ ɛ w
kóśeł	k ɛ ɕ ɛ w
kóśeł	k ʊ ɕ ɛ w
kót	k ɛ t
kót	k ɨ t
kót	k ʊ t
kóta	k ɨ t a
kóta	k ɛ t a
kóta	k ʊ t a
kótary	k ɛ t a r ɨ
kótary	k ɨ t a r ɨ
kótary	k ʊ t a r ɨ
kótow	k ɨ t o w
kótow	k ɛ t o w
kótow	k ʊ t o w
kóza	k ɛ z a
kóza	k ɨ z a
kóza	k ʊ z a
kózoł	k ɛ z ɔ w
kózoł	k ɨ z ɔ w
kózoł	k ʊ z ɔ w
kózyrožk	k ɨ z ɨ r o ʃ k
kózyrožk	k ɛ z ɨ r o ʃ k
kózyrožk	k ʊ z ɨ r o ʃ k
kóža	k ɛ ʒ a
kóža	k ɨ ʒ a
kóža	k ʊ ʒ a
kraba	k r a b a
kral	k r a l
krala	k r a l a
krale	k r a l ɛ
kralik	k r a l i k
kralu	k r a l u
krida	k rʲ i d a
krogul	k r ɔ ɡ u l
krotko	k r ɔ t k ɔ
krowa	k r ɔ w a
krowach	k r o w a x
krowami	k r o w a mʲ i
krowy	k r o w ɨ
kšaj	k ʃ a j
kšajaś	k ʃ a j a ɕ
kšej	k ʃ ɛ j
kšupa	k ʃ u p a
kšupy	k ʃ u p ɨ
kšuška	k ʃ u ʃ k a
kšuty	k ʃ u t ɨ
kšyśe	k ʃ ɨ ɕ ɛ
kśebjat	k ɕ ɛ bʲ a t
kśebjata	k ɕ ɛ bʲ a t a
kśemjeń	k ɕ ɛ mʲ ɛ nʲ
kśě	k ɕ ɪ
kśěł	k ɕ ɪ w
kśěn	k ɕ ɪ n
kśěś	k ɕ ɪ ɕ
kśidło	k ɕ i d w ɔ
kśiwy	k ɕ i w ɨ
ku	k u
Kuba	k u b a
kuchni	k u x ɲ i
kuchnja	k u x ɲ a
kukawa	k u k a w a
kulka	k u l k a
kumštny	k u m ʃ t n ɨ
kunu	k u n u
kupnice	k u p nʲ i t͡s ɛ
kura	k u r a
kuram	k u r a m
kurami	k u r a mʲ i
kurce	k u r t͡s ɛ
kurjawa	k u rʲ a w a
kurka	k u r k a
kurki	k u r kʲ i
kuru	k u r u
kurwota	k u r w ɔ t a
kusa	k u s a
kusam	k u s a m
kusaś	k u s a ɕ
kuždy	k u ʒ d ɨ
kwas	k w a s
kwět	k vʲ ɪ t
kwětk	k vʲ ɪ t k
ł	w
Ł	w
łasycka	w a s ɨ t͡s k a
łdza	d͡z a
Łobjo	w ɔ bʲ ɔ
łojach	w ɔ j a x
łoje	w ɔ j ɛ
łojł	w ɔ j w
łojś	w ɔ j ɕ
łono	w ɔ n ɔ
łopata	w ɔ p a t a
łopatka	w ɔ p a t k a
łoski	w ɔ s kʲ i
łoskich	w ɔ s kʲ i x
łosos	w ɔ s ɔ s
łyko	w ɨ k ɔ
łžyca	ʒ ɨ t͡s a
lan	l a n
lanka	l a ŋ k a
law	l a w
lawk	l a w k
laž	l a ʃ
lažaś	l a ʒ a ɕ
lažčejšy	l a ʃ t͡ʃ ɛ j ʃ ɨ
laže	l a ʒ ɛ
leśe	l ɛ ɕ ɛ
lěkaŕ	l ɪ k a rʲ
lěpšy	l ɪ p ʃ ɨ
lěs	l ɪ s
lěska	lʲ ɪ s k a
lěśe	l ɪ ɕ ɛ
lěto	l ɪ t ɔ
lěwy	l ɪ w ɨ
lězć	l ɪ s t͡ɕ
lic	l i t͡s
lice	l i t͡s ɛ
lico	l i t͡s ɔ
licy	l i t͡s ɨ
licyś	l i t͡s ɨ ɕ
licho	l i x ɔ
lichy	l i x ɨ
lip	l i p
lipa	l i p a
lipach	l i p a x
lipami	l i p a mʲ i
lipaś	l i p a ɕ
lipat	l i p a t
lipoma	l i p ɔ m a
Lipsk	l i p s k
lipu	l i p u
lipy	l i p ɨ
list	l i s t
lista	l i s t a
listach	l i s t a x
listam	l i s t a m
listami	l i s t a mʲ i
listom	l i s t ɔ m
listy	l i s t ɨ
liška	l i ʃ k a
lod	l ɔ t
loda	l ɔ d a
lody	l ɔ d ɨ
lom	l ɔ m
loma	l ɔ m a
lomach	l ɔ m a x
lomom	l ɔ m ɔ m
lomy	l ɔ m ɨ
luba	l u b a
lube	l u b ɛ
Lubin	l u bʲ i n
lubje	l u bʲ ɛ
lubjej	l u bʲ ɛ j
lubowaś	l u b ɔ w a ɕ
lud	l u t
luta	l u t a
lute	l u t ɛ
lutem	l u t ɛ m
lutu	l u t u
luty	l u t ɨ
luź	l u ɕ
mack	m a t͡s k
macka	m a t͡s k a
mackach	m a t͡s k a x
mackami	m a t͡s k a mʲ i
macki	m a t͡s kʲ i
mackom	m a t͡s k ɔ m
maju	m a j u
mak	m a k
maka	m a k a
makam	m a k a m
maki	m a kʲ i
maku	m a k u
małe	m a w ɛ
mało	m a w ɔ
mały	m a w ɨ
małych	m a w ɨ x
malina	m a l i n a
malinami	m a l i n a mʲ i
mamam	m a m a m
maminka	m a mʲ i n k a
mamu	m a m u
mamy	m a m ɨ
mapa	m a p a
mapje	m a pʲ ɛ
marchwej	m a r x w ɛ j
marchwje	m a r x vʲ ɛ
marchwje	m a r x j ɛ
marjank	m a r j a ŋ k
masło	m a s w ɔ
masle	m a s l ɛ
maś	m a ɕ
maśerka	m a ɕ ɛ r k a
mech	m ɛ x
mecha	m ɛ x a
mej	m ɛ j
mě	mʲ ɪ
měch	mʲ ɪ x
měj	mʲ ɛ j
měki	mʲ ɪ kʲ i
měra	mʲ ɪ r a
měri	mʲ ɪ rʲ i
měrił	mʲ ɪ rʲ i w
měrim	mʲ ɪ rʲ i m
měriś	mʲ ɪ rʲ i ɕ
měrje	mʲ ɪ rʲ ɛ
měŕ	mʲ ɪ rʲ
měsćanaŕ	mʲ ɪ s t͡ɕ a n a rʲ
měsćańske	mʲ ɪ s t͡ɕ a nʲ s kʲ ɛ
měsćański	mʲ ɪ s t͡ɕ a ɲ s kʲ i
měso	mʲ ɪ s ɔ
města	mʲ ɪ s t a
městno	mʲ ɪ s t n ɔ
město	mʲ ɪ s t ɔ
měś	mʲ ɪ ɕ
Měto	mʲ ɪ t ɔ
mězdze	mʲ ɪ z d͡z ɛ
mězga	mʲ ɪ z ɡ a
měź	mʲ ɪ ɕ
miła	mʲ i w a
miłe	mʲ i w ɛ
miłego	mʲ i w ɛ ɡ ɔ
miłej	mʲ i w e j
miłemu	mʲ i w ɛ m u
miły	mʲ i w ɨ
miłych	mʲ i w ɨ χ
miłym	mʲ i w ɨ m
miłymi	mʲ i w ɨ mʲ i
mimo	mʲ i m ɔ
Mišnjo	mʲ i ʃ nʲ ɔ
mjac	mʲ a t͡s
mjadwjeź	mʲ a d vʲ e ɕ
mjadwjeź	mʲ a d j e ɕ
mjasec	mʲ a s ɛ t͡s
mjatel	mʲ a t ɛ l
mjazy	mʲ a z ɨ
mjod	mʲ ɔ t
mła	m w a
młode	m w ɔ d ɛ
młoźinske	m ɔ ʑ i n s kʲ ɛ
młoźinski	m ɔ ʑ i n s kʲ i
mlaś	m l a ɕ
mloko	m l ɔ k ɔ
moderna	m ɔ d ɛ r n a
moderne	m ɔ d ɛ r n ɛ
Mokoš	m ɔ k ɔ ʃ
mošeja	m ɔ ʃ ɛ j a
móc	m ɨ t͡s
móc	m ɛ t͡s
móc	m ʊ t͡s
móct	m ɨ t͡s t
móct	m ɛ t͡s t
móct	m ʊ t͡s t
módle	m ɨ d l ɛ
módle	m ɛ d l ɛ
módle	m ʊ d l ɛ
módli	m ɨ d l i
módli	m ɛ d l i
módli	m ʊ d l i
módlił	m ɨ d l i w
módlił	m ɛ d l i w
módlił	m ʊ d l i w
módlim	m ɨ d l i m
módlim	m ɛ d l i m
módlim	m ʊ d l i m
módliś	m ɨ d l i ɕ
módliś	m ɛ d l i ɕ
módliś	m ʊ d l i ɕ
módra	m ɨ d r a
módra	m ɛ d r a
módra	m ʊ d r a
módre	m ɨ d r ɛ
módre	m ɛ d r ɛ
módre	m ʊ d r ɛ
módru	m ɨ d r u
módru	m ɛ d r u
módru	m ʊ d r u
módry	m ɛ d r ɨ
módry	m ɨ d r ɨ
módry	m ʊ d r ɨ
mógł	m ɛ k
mógł	m ɨ k
mógł	m ʊ k
mógła	m ɨ ɡ w a
mógła	m ɛ ɡ w a
mógła	m ʊ ɡ w a
mógłej	m ɨ ɡ w ɛ j
mógłej	m ɛ ɡ w ɛ j
mógłej	m ʊ ɡ w ɛ j
mógło	m ɨ ɡ w ɔ
mógło	m ɛ ɡ w ɔ
mógło	m ʊ ɡ w ɔ
mógli	m ɨ ɡ l i
mógli	m ɛ ɡ l i
mógli	m ʊ ɡ l i
mógu	m ɨ ɡ u
mógu	m ɛ ɡ u
mógu	m ʊ ɡ u
mój	m ɛ j
mója	m ɛ j a
móje	m ɛ j ɛ
mójej	m ɛ j ɛ j
mójo	m ɛ j ɔ
mól	m ɛ l
mól	m ɨ l
mól	m ʊ l
móla	m ɨ l a
móla	m ɛ l a
móla	m ʊ l a
mólach	m ɨ l a x
mólach	m ɛ l a x
mólach	m ʊ l a x
mólam	m ɨ l a m
mólam	m ɛ l a m
mólam	m ʊ l a m
móle	m ɨ l ɛ
móle	m ɛ l ɛ
móle	m ʊ l ɛ
móli	m ɨ l i
móli	m ɛ l i
móli	m ʊ l i
mólu	m ɨ l u
mólu	m ɛ l u
mólu	m ʊ l u
móri	m ɨ rʲ i
móri	m ɛ rʲ i
móri	m ʊ rʲ i
mórjo	m ɨ rʲ ɔ
mórjo	m ɛ rʲ ɔ
mórjo	m ʊ rʲ ɔ
mórzgi	m ɨ r z ɡʲ i
mórzgi	m ɛ r z ɡʲ i
mórzgi	m ʊ r z ɡʲ i
móst	m ɨ s t
móst	m ɛ s t
móst	m ʊ s t
móžo	m ɨ ʒ ɔ
móžo	m ɛ ʒ ɔ
móžo	m ʊ ʒ ɔ
móžom	m ɨ ʒ ɔ m
móžom	m ɛ ʒ ɔ m
móžom	m ʊ ʒ ɔ m
móžomej	m ɨ ʒ ɔ m ɛ j
móžomej	m ɛ ʒ ɔ m ɛ j
móžomej	m ʊ ʒ ɔ m ɛ j
móžomy	m ɨ ʒ ɔ m ɨ
móžomy	m ɛ ʒ ɔ m ɨ
móžomy	m ʊ ʒ ɔ m ɨ
móžoš	m ɨ ʒ ɔ ʃ
móžoš	m ɛ ʒ ɔ ʃ
móžoš	m ʊ ʒ ɔ ʃ
móžotej	m ɨ ʒ ɔ t ɛ j
móžotej	m ɛ ʒ ɔ t ɛ j
móžotej	m ʊ ʒ ɔ t ɛ j
mrěś	m rʲ ɪ ɕ
mrětwa	m rʲ ɪ t w a
muce	m u t͡s ɛ
mudra	m u d r a
mucha	m u x a
muku	m u k u
mul	m u l
mula	m u l a
mulam	m u l a m
mule	m u l ɛ
muli	m u l i
mulu	m u l u
murja	m u rʲ a
muše	m u ʃ ɛ
muž	m u ʃ
muže	m u ʒ ɛ
mydło	m ɨ d w ɔ
myli	m ɨ l i
mysl	m ɨ s l
mysli	m ɨ s l i
mysliś	m ɨ s l i ɕ
myslit	m ɨ s l i t
myslony	m ɨ s l ɔ n ɨ
myš	m ɨ ʃ
myś	m ɨ ɕ
myśe	m ɨ ɕ ɛ
myt	m ɨ t
na	n a
naga	n a ɡ a
nage	n a ɡʲ ɛ
nagi	n a ɡʲ i
nagich	n a ɡʲ i x
nagim	n a ɡʲ i m
nagimi	n a ɡʲ i mʲ i
nagu	n a ɡ u
nakup	n a k u p
nałpa	n a w p a
nalěwo	n a l ɪ w ɔ
nan	n a n
nana	n a n a
nanom	n a n ɔ m
napad	n a p a t
napis	n a pʲ i s
napšawo	n a p ʃ a w ɔ
nas	n a s
naš	n a ʃ
ned	n ɛ t
nejgóršy	n ɛ j ɡ ɨ r ʃ ɨ
nejgóršy	n ɛ j ɡ ɛ r ʃ ɨ
nejgóršy	n ɛ j ɡ ʊ r ʃ ɨ
ně	nʲ ɪ
něco	ɲ ɪ t͡s ɔ
někotary	nʲ ɪ k ɔ t a r ɨ
něnt	nʲ ɪ n t
něnto	nʲ ɪ n t ɔ
nich	nʲ i x
nim	nʲ i m
nima	nʲ i m a
Nimc	ɲ i m t͡s
Nimcowka	nʲ i m t͡s o w k a
nime	nʲ i m ɛ
Nimska	ɲ i m s k a
nimski	ɲ i m s kʲ i
nimšćina	ɲ i m ɕ t͡ɕ i n a
niska	nʲ i s k a
niskich	nʲ i s kʲ i x
nisko	nʲ i s k ɔ
njama	nʲ a m a
njasć	ɲ a s t͡ɕ
njasł	ɲ a s
njebjo	nʲ ɛ bʲ ɔ
njejdu	nʲ ɛ j d u
njejo	nʲ ɛ j ɔ
njejsćo	nʲ ɛ j s t͡ɕ ɔ
njejsmej	nʲ ɛ j s m ɛ j
njejsmy	ɲ ɛ j s m ɨ
njejsom	nʲ ɛ j s ɔ m
njejstej	nʲ ɛ j s t ɛ j
njejsu	nʲ ɛ j s u
njejsy	nʲ ɛ j s ɨ
njejźo	nʲ ɛ j ʑ ɔ
njejźom	nʲ ɛ j ʑ ɔ m
njejźomej	nʲ ɛ j ʑ ɔ m ɛ j
njejźoš	ɲ ɛ j ʑ ɔ ʃ
njekśě	nʲ ɛ k ɕ ɪ
njen	ɲ ɛ n
njerěšny	nʲ ɛ rʲ ɪ ʃ n ɨ
njetopyŕ	nʲ ɛ t ɔ p ɨ rʲ
njewjedro	nʲ ɛ vʲ ɛ d r ɔ
njewjedro	nʲ ɛ j ɛ d r ɔ
njewjericka	nʲ ɛ j ɛ rʲ i t͡s k a
njewjericka	nʲ ɛ vʲ ɛ rʲ i t͡s k a
njeźela	ɲ ɛ ʑ ɛ l a
noc	n ɔ t͡s
nocach	n ɔ t͡s a x
nocami	n ɔ t͡s a mʲ i
nocka	n ɔ t͡s k a
nocy	n ɔ t͡s ɨ
noga	n ɔ ɡ a
nogi	n ɔ ɡʲ i
nokś	n ɔ k ɕ
nos	n ɔ s
nosach	n ɔ s a x
nosami	n ɔ s a mʲ i
nose	n ɔ s ɛ
nosom	n ɔ s ɔ m
nowe	n ɔ w ɛ
nowo	n ɔ w ɔ
nowy	n o w ɨ
noze	n ɔ z ɛ
nož	n ɔ ʃ
nožyce	n ɔ ʒ ɨ t͡s ɛ
numer	n u m ɛ r
numera	n u m ɛ r a
numeram	n u m ɛ r a m
nutśi	n u t͡ɕ i
ń	nʲ
Ń	nʲ
o	ɔ
ó	ɨ
ó	ɛ
ó	ʊ
Ó	ɨ
Ó	ɛ
Ó	ʊ
padali	p a d a l i
padaś	p a d a ɕ
paduch	p a d u x
pałka	p a w k a
palach	p a l a x
palc	p a l t͡s
palca	p a l t͡s a
palcach	p a l t͡s a x
palcami	p a l t͡s a mʲ i
palce	p a l t͡s ɛ
palcom	p a l t͡s ɔ m
palcu	p a l t͡s u
pale	p a l ɛ
pali	p a l i
palica	p a l i t͡s a
palice	p a l i t͡s ɛ
palił	p a l i w
paliła	p a l i w a
paliło	p a l i w ɔ
palim	p a l i m
palimy	p a l i m ɨ
pališ	p a l i ʃ
paliś	p a l i ɕ
paliśo	p a l i ɕ ɔ
palit	p a l i t
palona	p a l ɔ n a
palone	p a l ɔ n ɛ
palony	p a l ɔ n ɨ
papa	p a p a
papagaj	p a p a ɡ a j
papje	p a pʲ ɛ
paprika	p a p rʲ i k a
papriku	p a p r i k u
paproś	p a p r ɔ ɕ
park	p a r k
parka	p a r k a
pas	p a s
pasa	p a s a
pasach	p a s a x
pasam	p a s a m
pasami	p a s a mʲ i
pase	p a s ɛ
pasom	p a s ɔ m
pasu	p a s u
paśpula	p a ɕ p u l a
pata	p a t a
patu	p a t u
paw	p a w
pawa	p a w a
pawk	p a w k
pcołka	t͡s ɔ w k a
pej	p ɛ j
pěsć	pʲ ɪ s t͡ɕ
pěseń	pʲ ɪ s ɛ ɲ
pěsk	pʲ ɪ s k
pěšy	pʲ ɪ ʃ ɨ
pěś	pʲ ɪ ɕ
pěta	pʲ ɪ t a
pětk	pʲ ɪ t k
pětka	pʲ ɪ t k a
pětkach	pʲ ɪ t k a x
pětkam	pʲ ɪ t k a m
pětkami	pʲ ɪ t k a mʲ i
pětki	pʲ ɪ t kʲ i
pětkoma	pʲ ɪ t k ɔ m a
pětkow	pʲ ɪ t k ɔ w
pětkowu	pʲ ɪ t k ɔ w u
pětku	pʲ ɪ t k u
pcha	p x a
pił	pʲ i w
piła	pʲ i w a
piłam	pʲ i w a m
piło	pʲ i w ɔ
piły	pʲ i w ɨ
pile	pʲ i l ɛ
pili	pʲ i l i
pisał	pʲ i s a w
pisaś	pʲ i s a ɕ
pismik	pʲ i s mʲ i k
piś	pʲ i ɕ
piśe	pʲ i ɕ ɛ
pit	pʲ i t
pite	pʲ i t ɛ
pitu	pʲ i t u
pity	pʲ i t ɨ
piwo	pʲ i w ɔ
pjac	pʲ a t͡s
pjakł	pʲ a k
pjas	pʲ a s
pjelch	pʲ ɛ l x
pjelniś	pʲ ɛ l nʲ i ɕ
pjenjeze	pʲ ɛ nʲ ɛ z ɛ
pjerina	pʲ ɛ rʲ i n a
pjerjo	pʲ ɛ rʲ ɔ
pjero	pʲ ɛ r ɔ
pławiś	p w a vʲ i ɕ
płotno	p w ɔ t n ɔ
płowy	p ɔ w ɨ
pług	p w u k
pla	p l a
plasć	p l a s t͡ɕ
plasta	p l a s t a
platł	p l a t
plěś	p l ɪ ɕ
Podstupim	p ɔ t s t u pʲ i m
połny	p o w n ɨ
połtera	p ɔ w t ɛ r a
politika	p ɔ l i tʲ i k a
politiki	p ɔ l i tʲ i kʲ i
pomnik	p ɔ m nʲ i k
pomoc	p ɔ m ɛ t͡s
pomsć	p ɔ m s t ɕ
popajź	p ɔ p a j ɕ
popajźeństwo	p ɔ p a j ʑ ɛ nʲ s t w ɔ
popjeł	p ɔ pʲ ɛ w
powědański	p o vʲ ɪ d a nʲ s kʲ i
powědaś	p o vʲ ɪ d a ɕ
powědaś	p ɔ j ɪ d a ɕ
powěźeś	p o vʲ ɪ ʑ e ɕ
powěźeś	p ɔ j ɪ ʑ e ɕ
powrjoz	p o w rʲ ɔ s
pó	p ɨ
pó	p ɛ
pó	p ʊ
pód	p ɨ t
pód	p ɛ t
pód	p ʊ t
pódla	p ɨ d l a
pódla	p ɛ d l a
pódla	p ʊ d l a
pódomk	p ɛ d ɔ m k
pódomk	p ɨ d ɔ m k
pódomk	p ʊ d ɔ m k
póchad	p ɨ x a t
póchad	p ɛ x a t
póchad	p ʊ x a t
póla	p ɨ l a
póla	p ɛ l a
póla	p ʊ l a
pólack	p ɨ l a t͡s k
pólack	p ɛ l a t͡s k
pólack	p ʊ l a t͡s k
pólach	p ɨ l a x
pólach	p ɛ l a x
pólach	p ʊ l a x
Pólak	p ɛ l a k
Pólak	p ɨ l a k
Pólak	p ʊ l a k
póli	p ɨ l i
póli	p ɛ l i
póli	p ʊ l i
Pólka	p ɛ l k a
Pólka	p ɨ l k a
Pólka	p ʊ l k a
pólo	p ɛ l ɔ
pólo	p ɨ l ɔ
pólo	p ʊ l ɔ
pólska	p ɨ l s k a
pólska	p ɛ l s k a
pólska	p ʊ l s k a
Pólska	p ɨ l s k a
Pólska	p ɛ l s k a
Pólska	p ʊ l s k a
pólske	p ɛ l s kʲ ɛ
pólske	p ɨ l s kʲ ɛ
pólske	p ʊ l s kʲ ɛ
pólski	p ɛ l s kʲ i
pólski	p ɨ l s kʲ i
pólski	p ʊ l s kʲ i
pólskich	p ɛ l s kʲ i x
pólskich	p ɨ l s kʲ i x
pólskich	p ʊ l s kʲ i x
pólskim	p ɛ l s kʲ i m
pólskim	p ɨ l s kʲ i m
pólskim	p ʊ l s kʲ i m
pólskimi	p ɛ l s kʲ i mʲ i
pólskimi	p ɨ l s kʲ i mʲ i
pólskimi	p ʊ l s kʲ i mʲ i
pólsku	p ɨ l s k u
pólsku	p ɛ l s k u
pólsku	p ʊ l s k u
pólšćina	p ɛ l ɕ t͡ɕ i n a
pólšćina	p ɨ l ɕ t͡ɕ i n a
pólšćina	p ʊ l ɕ t͡ɕ i n a
pólu	p ɨ l u
pólu	p ɛ l u
pólu	p ʊ l u
pón	p ɨ n
pón	p ɛ n
pón	p ʊ n
pónjeźela	p ɨ nʲ ɛ ʑ ɛ l a
pónjeźela	p ɛ nʲ ɛ ʑ ɛ l a
pónjeźela	p ʊ nʲ ɛ ʑ ɛ l a
pónjeźele	p ɛ ɲ ɛ ʑ ɛ l ɛ
pónjeźele	p ɨ ɲ ɛ ʑ ɛ l ɛ
pónjeźele	p ʊ ɲ ɛ ʑ ɛ l ɛ
póra	p ɨ r a
póra	p ɛ r a
póra	p ʊ r a
póram	p ɨ r a m
póram	p ɛ r a m
póram	p ʊ r a m
póraś	p ɨ r a ɕ
póraś	p ɛ r a ɕ
póraś	p ʊ r a ɕ
pórat	p ɨ r a t
pórat	p ɛ r a t
pórat	p ʊ r a t
pósoł	p ɨ s ɔ w
pósoł	p ɛ s ɔ w
pósoł	p ʊ s ɔ w
pótom	p ɨ t ɔ m
pótom	p ɛ t ɔ m
pótom	p ʊ t ɔ m
pówětš	p ɨ vʲ ɪ t͡ʃ
pówětš	p ɛ vʲ ɪ t͡ʃ
pówětš	p ʊ vʲ ɪ t͡ʃ
pówětš	p ɨ j ɛ t͡ʃ
pówětš	p ɛ j ɛ t͡ʃ
prał	p r a w
prała	p r a w a
prało	p r a w ɔ
prali	p r a l i
prama	p r a m a
pramu	p r a m u
prana	p r a n a
prane	p r a n ɛ
pranje	p r a nʲ ɛ
pranu	p r a n u
prany	p r a n ɨ
praś	p r a ɕ
prezident	p r ɛ z i d ɛ n t
prěcny	p rʲ ɪ t͡s n ɨ
prědk	p rʲ ɪ t k
prědny	p rʲ ɪ d n ɨ
prězy	p rʲ ɪ z ɨ
proga	p r ɔ ɡ a
progi	p r ɔ ɡʲ i
proch	p r ɔ x
prose	p r ɔ s ɛ
prozniny	p r ɔ z nʲ i n ɨ
prozny	p r ɔ z n ɨ
psa	p s a
psy	p s ɨ
pšenica	p ʃ ɛ ɲ i t͡s a
pšenice	p ʃ ɛ nʲ i t͡s ɛ
pšose	p ʃ ɔ s ɛ
pšosyś	p ʃ ɔ s ɨ ɕ
pšut	p ʃ u t
pśed	p ɕ ɛ t
pśedawarnja	p ɕ ɛ d a w a r nʲ a
pśedešćnik	p ɕ ɛ d ɛ ɕ t͡ɕ ɲ i k
pśechójźowaś	p ɕ ɛ x ɛ j ʑ ɔ w a ɕ
pśechwatanje	p ɕ ɛ x w a t a nʲ ɛ
pśez	p ɕ ɛ s
pśědł	p ɕ ɪ t
pśědu	p ɕ ɪ d u
pśěsć	p ɕ ɪ s t͡ɕ
pśěźo	p ɕ ɪ ʑ ɔ
pśěźom	p ɕ ɪ ʑ ɔ m
pśi	p ɕ i
pśigótowaś	p ɕ i ɡ ɛ t ɔ w a ɕ
pśigótowaś	p ɕ i ɡ ɨ t ɔ w a ɕ
pśigótowaś	p ɕ i ɡ ʊ t ɔ w a ɕ
pśigótujo	p ɕ i ɡ ɨ t u j ɔ
pśigótujo	p ɕ i ɡ ɛ t u j ɔ
pśigótujo	p ɕ i ɡ ʊ t u j ɔ
pśichod	p ɕ i x ɔ t
pśijaśel	p ɕ i j a ɕ ɛ l
pśiś	p ɕ i ɕ
ptašk	p t a ʃ k
ptaškowy	t a ʃ k ɔ w ɨ
purst	p u r s t
pusta	p u s t a
puste	p u s t ɛ
pusty	p u s t ɨ
puta	p u t a
putam	p u t a m
putu	p u t u
pyrje	p ɨ rʲ ɛ
pytali	p ɨ t a l i
pytanje	p ɨ t a nʲ ɛ
pyto	p ɨ t ɔ
rad	r a t
rada	r a d a
radijo	r a dʲ i j ɔ
radło	r a d w ɔ
rado	r a d ɔ
rady	r a d ɨ
rak	r a k
raka	r a k a
rakach	r a k a x
rakam	r a k a m
raki	r a kʲ i
raku	r a k u
ramje	r a mʲ ɛ
rdžaś	r d͡ʒ a ɕ
rež	r ɛ ʃ
rěc	rʲ ɪ t͡s
rěd	rʲ ɪ t
rědki	rʲ ɪ t kʲ i
rědne	rʲ ɪ d n ɛ
rědnosć	rʲ ɪ d n o s t͡ɕ
rědny	rʲ ɪ d n ɨ
rěka	rʲ ɪ k a
rězaś	rʲ ɪ z a ɕ
rěznik	rʲ ɪ z nʲ i k
rězyna	rʲ ɪ z ɨ n a
ricali	rʲ i t͡s a l i
rice	rʲ i t͡s ɛ
riś	rʲ i ɕ
ritka	rʲ i t k a
rjemjeń	rʲ ɛ mʲ ɛ nʲ
