ale	a l ə
tkaś	t k a ɕ
tłusty	t w u s t ɨ
to	t ɔ
toboła	t ɔ b o w a
tobu	t ɔ b u
togo	t ɔ ɡ ɔ
tom	t ɔ m
tomu	t ɔ m u
torma	t ɔ r m a
tšochu	t͡ʃ ɔ x u
tšojenje	t͡ʃ ɔ j e nʲ ə
tśmjel	t ɕ mʲ e l
tśmjeń	t͡ɕ mʲ e nʲ
tucne	t u t͡s n ə
tupy	t u p ɨ
tura	t u r a
turam	t u r a m
turami	t u r a mʲ i
twarjenja	t w a rʲ e nʲ a
twarjenje	t w a rʲ e nʲ ə
ty	t ɨ
tych	t ɨ x
tym	t ɨ m
tyma	t ɨ m a
tymi	t ɨ mʲ i
wam	w a m
wami	w a mʲ i
Waršawa	v a r ʃ a w a
was	w a s
waš	w a ʃ
wej	w e j
wence	w ɛ n t͡s ə
wěźeś	vʲ ɪ ʑ e ɕ
wišnja	vʲ i ʃ nʲ a
witaj	vʲ i t a j
witał	vʲ i t a w
witała	vʲ i t a w a
witało	vʲ i t a w ɔ
witali	vʲ i t a lʲ i
witam	vʲ i t a m
witamy	vʲ i t a m ɨ
witśe	wʲ i t͡ɕ ɛ
wiźenje	vʲ i ʑ e nʲ ə
wiźeś	vʲ i ʑ e ɕ
wjacerja	vʲ a t͡s ɛ rʲ a
wjacerja	j a t͡s ɛ rʲ a
wjacerjaś	vʲ a t͡s ɛ rʲ a ɕ
wjacerjaś	j a t͡s ɛ rʲ a ɕ
wjapś	vʲ a p ɕ
wjapś	j a p ɕ
wjas	vʲ a s
wjas	j a s
wjasele	vʲ a s ɛ l ə
wjasele	j a s ɛ l ə
wjasoły	j a s o w ɨ
wjasoły	vʲ a s o w ɨ
wjaža	vʲ a ʒ a
wjaža	j a ʒ a
wjele	vʲ e l ə
wjele	j e l ə
wjelgin	vʲ e l ɡʲ i n
wjelgin	j e l ɡʲ i n
wjelike	vʲ e lʲ i kʲ ə
wjelike	j e lʲ i kʲ ə
wjeliki	vʲ e lʲ i kʲ i
wjeliki	j e lʲ i kʲ i
wjelk	vʲ e l k
wjelk	j e l k
wjerba	vʲ ɛ r b a
wjerba	j ɛ r b a
włose	w ɔ s ə
włosy	w ɔ s ɨ
wobjedował	ɔ bʲ ə d o w a w
wobjedowali	ɔ bʲ ə d o w a lʲ i
wobjedowaś	ɔ bʲ ə d o w a ɕ
wobraz	ɔ b r a s
wobrośiś	ɔ b r ɔ ɕ i ɕ
woglěd	ɔ ɡ lʲ ɪ t
woglědaś	ɔ ɡ lʲ ɪ d a ɕ
woken	ɔ kʲ ɛ n
wokoło	ɔ k o w ɔ
woł	o w
wołaś	o w a ɕ
wole	ɔ l ɛ
wopuchnuś	ɔ p u x n u ɕ
wopuchowaś	ɔ p u x o w a ɕ
wows	o w s
wódajtej	w ɨ d a j t e j
wódajtej	w ɛ d a j t e j
wódajtej	w ʊ d a j t e j
wódce	w ɨ t t͡s ə
wódce	w ɛ t t͡s ə
wódce	w ʊ t t͡s ə
wódkow	w ɨ t k o w
wódkow	w ɛ t k o w
wódkow	w ʊ t k o w
wójwodstwo	w e j w ɔ d s t w ɔ
wónej	w ɨ n e j
wónej	w ɛ n e j
wónej	w ʊ n e j
wósoł	w ɨ s o w
wósoł	w ɛ s o w
wósoł	w ʊ s o w
wósow	w ɨ s o w
wósow	w ɛ s o w
wósow	w ʊ s o w
wósowu	w ɨ s o w u
wósowu	w ɛ s o w u
wósowu	w ʊ s o w u
wóte	w ɨ t ə
wóte	w ɛ t ə
wóte	w ʊ t ə
wótmyslenje	w ɨ t m ɨ s l e nʲ ə
wótmyslenje	w ɛ t m ɨ s l e nʲ ə
wótmyslenje	w ʊ t m ɨ s l e nʲ ə
wucabnica	u t s a b nʲ i t s a
wucabnik	u t s a b nʲ i k
wuknica	u k nʲ i t s a
wuknjo	u k nʲ ɔ
wuknjom	u k nʲ ɔ m
wuknu	u k n u
wuknuł	u k n u w
wuknuś	u k n u ɕ
wule	u l ə
wulicowaś	u lʲ i t͡s o w a ɕ
wumje	u mʲ ə
wumrějom	u m rʲ e j ɔ m
wumrěju	u m rʲ e j u
wusmjerśiś	u s mʲ ɛ r ɕ i ɕ
wusmjerśowaś	u s mʲ ɛ r ɕ o w a ɕ
wusoki	u s ɔ kʲ i
wutšobnje	u t͡ʃ ɔ b nʲ ə
wuwiśe	u vʲ i ɕ ə
wužeńc	u ʒ ɛ nʲ t͡s
zasej	z a s e j
zasejwiźenje	z a s e j vʲ i ʑ e nʲ ə
zeger	z ɛ ɡʲ ɛ r
zelena	z ɛ l ɛ n a
zeleń	z ɛ lʲ e nʲ
zemi	z e mʲ i
zemiska	z e mʲ i s k a
zemiskam	z e mʲ i s k a m
zemiski	z e mʲ i s kʲ i
zemisku	z e mʲ i s k u
zemju	z e mʲ u
zła	z w a
złe	z w ɛ
złej	z w e j
złemu	z w ɛ m u
złote	z w ɔ t ə
złotej	z w ɔ t e j
złych	z w ɨ x
złymi	z w ɨ mʲ i
zmije	z mʲ i j ɛ
znamje	z n a mʲ ə
znaty	z n a t ɨ
zwěrje	z vʲ ɪ rʲ ə
žni	ʒ nʲ i
žołma	ʒ o w m a
žołty	ʒ o w t ɨ
žołź	ʒ o w ɕ
žrěbje	ʒ rʲ ɪ bʲ ə
žurnalist	ʒ u r n a lʲ i s t
žurnalistka	ʒ u r n a lʲ i s t k a
žywjenje	ʒ ɨ vʲ ɛ nʲ ə
žywjenje	ʒ ɨ j ɛ nʲ ə
žywot	ʒ ɨ w ɔ t
źej	ʑ e j
źěle	ʑ ɪ l ə
źiśecy	ʑ i ɕ ɛ t͡s ɨ
źiwadło	ʑ i w a d w o
źomej	ʑ ɔ m e j
źotej	ʑ ɔ t e j
źowce	ʑ o w t͡s ə
źurja	ʑ u rʲ a
