A	ʔ aː ˧˧
bìm bịp	ʔ ɓ i m ˨˩ ʔ ɓ i p̚ ˧˨ ʔ
bìm nắp	ʔ ɓ i m ˨˩ n a p̚ ˧˦
bình	ʔ ɓ ï ŋ ˨˩
bình an	ʔ ɓ ï ŋ ˨˩ ʔ aː n ˧˧
bình an vô sự	ʔ ɓ ï ŋ ˨˩ ʔ aː n ˧˧ v o ˧˧ s ɨ ˧˨ ʔ
bình bát	ʔ ɓ ï ŋ ˨˩ ʔ ɓ aː t̚ ˧˦
bình bình	ʔ ɓ ï ŋ ˨˩ ʔ ɓ ï ŋ ˨˩
bình bầu	ʔ ɓ ï ŋ ˨˩ ʔ ɓ ə w ˨˩
bình chân	ʔ ɓ ï ŋ ˨˩ t͡ɕ ə n ˧˧
bình chú	ʔ ɓ ï ŋ ˨˩ t͡ɕ u ˧˦
bình chọn	ʔ ɓ ï ŋ ˨˩ t͡ɕ ɔ n ˧˨ ʔ
bình diện	ʔ ɓ ï ŋ ˨˩ z i ə n ˧˨ ʔ
bình dân	ʔ ɓ ï ŋ ˨˩ z ə n ˧˧
bình dưỡng khí	ʔ ɓ ï ŋ ˨˩ z ɨ ə ŋ ˦ˀ˥ x i ˧˦
bình dị	ʔ ɓ ï ŋ ˨˩ z i ˧˨ ʔ
bình luận	ʔ ɓ ï ŋ ˨˩ l w ə n ˧˨ ʔ
bình luận viên	ʔ ɓ ï ŋ ˨˩ l w ə n ˧˨ ʔ v i ə n ˧˧
bình lặng	ʔ ɓ ï ŋ ˨˩ l a ŋ ˧˨ ʔ
bình minh	ʔ ɓ ï ŋ ˨˩ m ï ŋ ˧˧
bình nguyên	ʔ ɓ ï ŋ ˨˩ ŋ w i ə n ˧˧
bình nhật	ʔ ɓ ï ŋ ˨˩ ɲ ə t̚ ˧˨ ʔ
bình nóng lạnh	ʔ ɓ ï ŋ ˨˩ n a w ŋ͡m ˧˦ l a j ŋ̟ ˧˨ ʔ
bình phong	ʔ ɓ ï ŋ ˨˩ f a w ŋ͡m ˧˧
bình phương	ʔ ɓ ï ŋ ˨˩ f ɨ ə ŋ ˧˧
bình phẩm	ʔ ɓ ï ŋ ˨˩ f ə m ˧˩
bình phục	ʔ ɓ ï ŋ ˨˩ f ʊ w k͡p̚ ˧˨ ʔ
bình quyền	ʔ ɓ ï ŋ ˨˩ k w i ə n ˨˩
bình quân	ʔ ɓ ï ŋ ˨˩ k w ə n ˧˧
bình sinh	ʔ ɓ ï ŋ ˨˩ s ï ŋ ˧˧
bình thuỷ	ʔ ɓ ï ŋ ˨˩ tʰ w i ˧˩
bình thân	ʔ ɓ ï ŋ ˨˩ tʰ ə n ˧˧
bình thường	ʔ ɓ ï ŋ ˨˩ tʰ ɨ ə ŋ ˨˩
bình thường hoá	ʔ ɓ ï ŋ ˨˩ tʰ ɨ ə ŋ ˨˩ h w aː ˧˦
bình thản	ʔ ɓ ï ŋ ˨˩ tʰ aː n ˧˩
bình thời	ʔ ɓ ï ŋ ˨˩ tʰ əː j ˨˩
bình tâm	ʔ ɓ ï ŋ ˨˩ t ə m ˧˧
bình tĩnh	ʔ ɓ ï ŋ ˨˩ t ï ŋ ˦ˀ˥
bình vôi	ʔ ɓ ï ŋ ˨˩ v o j ˧˧
bình xăng	ʔ ɓ ï ŋ ˨˩ s a ŋ ˧˧
bình yên	ʔ ɓ ï ŋ ˨˩ ʔ i ə n ˧˧
bình điện	ʔ ɓ ï ŋ ˨˩ ʔ ɗ i ə n ˧˨ ʔ
bình đẳng	ʔ ɓ ï ŋ ˨˩ ʔ ɗ a ŋ ˧˩
bình đẳng giới	ʔ ɓ ï ŋ ˨˩ ʔ ɗ a ŋ ˧˩ z əː j ˧˦
bình địa	ʔ ɓ ï ŋ ˨˩ ʔ ɗ i ə ˧˨ ʔ
bình định	ʔ ɓ ï ŋ ˨˩ ʔ ɗ ï ŋ ˧˨ ʔ
bình ổn	ʔ ɓ ï ŋ ˨˩ ʔ o n ˧˩
bìu	ʔ ɓ i w ˨˩
bìu dái	ʔ ɓ i w ˨˩ z aː j ˧˦
bím	ʔ ɓ i m ˧˦
bính bong	ʔ ɓ ï ŋ ˧˦ ʔ ɓ a w ŋ͡m ˧˧
bính boong	ʔ ɓ ï ŋ ˧˦ ʔ ɓ ɔ ŋ ˧˧
bính âm	ʔ ɓ ï ŋ ˧˦ ʔ ə m ˧˧
bíp	ʔ ɓ i p̚ ˧˦
bít	ʔ ɓ i t̚ ˧˦
bít tất	ʔ ɓ i t̚ ˧˦ t ə t̚ ˧˦
bít tất tay	ʔ ɓ i t̚ ˧˦ t ə t̚ ˧˦ t a j ˧˧
bít tết	ʔ ɓ i t̚ ˧˦ t e t̚ ˧˦
bíu	ʔ ɓ i w ˧˦
bò	ʔ ɓ ɔ ˨˩
bò bía	ʔ ɓ ɔ ˨˩ ʔ ɓ i ə ˧˦
bò cạp	ʔ ɓ ɔ ˨˩ k aː p̚ ˧˨ ʔ
bò húc	ʔ ɓ ɔ ˨˩ h ʊ w k͡p̚ ˧˦
bò kho	ʔ ɓ ɔ ˨˩ x ɔ ˧˧
bò lê	ʔ ɓ ɔ ˨˩ l e ˧˧
bò mộng	ʔ ɓ ɔ ˨˩ m ə w ŋ͡m ˧˨ ʔ
bò né	ʔ ɓ ɔ ˨˩ n ɛ ˧˦
bò rừng	ʔ ɓ ɔ ˨˩ z ɨ ŋ ˨˩
bò sát	ʔ ɓ ɔ ˨˩ s aː t̚ ˧˦
bò tót	ʔ ɓ ɔ ˨˩ t ɔ t̚ ˧˦
bò viên	ʔ ɓ ɔ ˨˩ v i ə n ˧˧
bò vàng	ʔ ɓ ɔ ˨˩ v aː ŋ ˨˩
bò vẽ	ʔ ɓ ɔ ˨˩ v ɛ ˦ˀ˥
bò đỏ	ʔ ɓ ɔ ˨˩ ʔ ɗ ɔ ˧˩
bòn	ʔ ɓ ɔ n ˨˩
bòn bon	ʔ ɓ ɔ n ˨˩ ʔ ɓ ɔ n ˧˧
bòn rút	ʔ ɓ ɔ n ˨˩ z u t̚ ˧˦
bòng bong	ʔ ɓ a w ŋ͡m ˨˩ ʔ ɓ a w ŋ͡m ˧˧
bòng bòng	ʔ ɓ a w ŋ͡m ˨˩ ʔ ɓ a w ŋ͡m ˨˩
bó	ʔ ɓ ɔ ˧˦
bó buộc	ʔ ɓ ɔ ˧˦ ʔ ɓ u ə k̚ ˧˨ ʔ
bó hoa	ʔ ɓ ɔ ˧˦ h w aː ˧˧
bó tay	ʔ ɓ ɔ ˧˦ t a j ˧˧
bó tay chấm com	ʔ ɓ ɔ ˧˦ t a j ˧˧ t͡ɕ ə m ˧˦ k ɔ m ˧˧
bóc	ʔ ɓ a w k͡p̚ ˧˦
bóc lịch	ʔ ɓ a w k͡p̚ ˧˦ l ï k̟̚ ˧˨ ʔ
bóc lột	ʔ ɓ a w k͡p̚ ˧˦ l o t̚ ˧˨ ʔ
bóc mẽ	ʔ ɓ a w k͡p̚ ˧˦ m ɛ ˦ˀ˥
bóc tem	ʔ ɓ a w k͡p̚ ˧˦ t ɛ m ˧˧
bóc trần	ʔ ɓ a w k͡p̚ ˧˦ t͡ɕ ə n ˨˩
bói	ʔ ɓ ɔ j ˧˦
bói cá	ʔ ɓ ɔ j ˧˦ k aː ˧˦
bói toán	ʔ ɓ ɔ j ˧˦ t w aː n ˧˦
bón	ʔ ɓ ɔ n ˧˦
bón phân	ʔ ɓ ɔ n ˧˦ f ə n ˧˧
bóng	ʔ ɓ a w ŋ͡m ˧˦
bóng bay	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ a j ˧˧
bóng bàn	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ aː n ˨˩
bóng bán dẫn	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ aː n ˧˦ z ə n ˦ˀ˥
bóng bảy	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ a j ˧˩
bóng bầu dục	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ ə w ˨˩ z ʊ w k͡p̚ ˧˨ ʔ
bóng bẩy	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɓ ə j ˧˩
bóng chuyền	ʔ ɓ a w ŋ͡m ˧˦ t͡ɕ w i ə n ˨˩
bóng chày	ʔ ɓ a w ŋ͡m ˧˦ t͡ɕ a j ˨˩
bóng dáng	ʔ ɓ a w ŋ͡m ˧˦ z aː ŋ ˧˦
bóng gió	ʔ ɓ a w ŋ͡m ˧˦ z ɔ ˧˦
bóng gỗ	ʔ ɓ a w ŋ͡m ˧˦ ɣ o ˦ˀ˥
bóng hồng	ʔ ɓ a w ŋ͡m ˧˦ h ə w ŋ͡m ˨˩
bóng loáng	ʔ ɓ a w ŋ͡m ˧˦ l w aː ŋ ˧˦
bóng ma	ʔ ɓ a w ŋ͡m ˧˦ m aː ˧˧
bóng mềm	ʔ ɓ a w ŋ͡m ˧˦ m e m ˨˩
bóng ném	ʔ ɓ a w ŋ͡m ˧˦ n ɛ m ˧˦
bóng nước	ʔ ɓ a w ŋ͡m ˧˦ n ɨ ə k̚ ˧˦
bóng rổ	ʔ ɓ a w ŋ͡m ˧˦ z o ˧˩
bóng truyền	ʔ ɓ a w ŋ͡m ˧˦ t͡ɕ w i ə n ˨˩
bóng tròn	ʔ ɓ a w ŋ͡m ˧˦ t͡ɕ ɔ n ˨˩
bóng tối	ʔ ɓ a w ŋ͡m ˧˦ t o j ˧˦
bóng vợt	ʔ ɓ a w ŋ͡m ˧˦ v əː t̚ ˧˨ ʔ
bóng đá	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɗ aː ˧˦
bóng đái	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɗ aː j ˧˦
bóng đè	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɗ ɛ ˨˩
bóng đèn	ʔ ɓ a w ŋ͡m ˧˦ ʔ ɗ ɛ n ˨˩
bóp	ʔ ɓ ɔ p̚ ˧˦
bóp chẹt	ʔ ɓ ɔ p̚ ˧˦ t͡ɕ ɛ t̚ ˧˨ ʔ
bóp cổ nhận nước	ʔ ɓ ɔ p̚ ˧˦ k o ˧˩ ɲ ə n ˧˨ ʔ n ɨ ə k̚ ˧˦
bóp méo	ʔ ɓ ɔ p̚ ˧˦ m ɛ w ˧˦
bót	ʔ ɓ ɔ t̚ ˧˦
bô	ʔ ɓ o ˧˧
bô bô	ʔ ɓ o ˧˧ ʔ ɓ o ˧˧
bô lão	ʔ ɓ o ˧˧ l aː w ˦ˀ˥
bô lô ba la	ʔ ɓ o ˧˧ l o ˧˧ ʔ ɓ aː ˧˧ l aː ˧˧
bôi	ʔ ɓ o j ˧˧
bôi bác	ʔ ɓ o j ˧˧ ʔ ɓ aː k̚ ˧˦
bôi nhọ	ʔ ɓ o j ˧˧ ɲ ɔ ˧˨ ʔ
bôi tro trát trấu	ʔ ɓ o j ˧˧ t͡ɕ ɔ ˧˧ t͡ɕ aː t̚ ˧˦ t͡ɕ ə w ˧˦
bôi đen	ʔ ɓ o j ˧˧ ʔ ɗ ɛ n ˧˧
bôm	ʔ ɓ o m ˧˧
bôm bốp	ʔ ɓ o m ˧˧ ʔ ɓ o p̚ ˧˦
bôn	ʔ ɓ o n ˧˧
bôn ba	ʔ ɓ o n ˧˧ ʔ ɓ aː ˧˧
bôn tẩu	ʔ ɓ o n ˧˧ t ə w ˧˩
bông	ʔ ɓ ə w ŋ͡m ˧˧
bông bụp	ʔ ɓ ə w ŋ͡m ˧˧ ʔ ɓ u p̚ ˧˨ ʔ
bõ	ʔ ɓ ɔ ˦ˀ˥
bõ công	ʔ ɓ ɔ ˦ˀ˥ k ə w ŋ͡m ˧˧
bù	ʔ ɓ u ˨˩
bù lu bù loa	ʔ ɓ u ˨˩ l u ˧˧ ʔ ɓ u ˨˩ l w aː ˧˧
bù nhìn	ʔ ɓ u ˨˩ ɲ i n ˨˩
bù trừ	ʔ ɓ u ˨˩ t͡ɕ ɨ ˨˩
bù tọt	ʔ ɓ u ˨˩ t ɔ t̚ ˧˨ ʔ
bù xù	ʔ ɓ u ˨˩ s u ˨˩
bù đầu	ʔ ɓ u ˨˩ ʔ ɗ ə w ˨˩
bù đắp	ʔ ɓ u ˨˩ ʔ ɗ a p̚ ˧˦
bùa	ʔ ɓ u ə ˨˩
bùa chú	ʔ ɓ u ə ˨˩ t͡ɕ u ˧˦
bùa yêu	ʔ ɓ u ə ˨˩ ʔ i ə w ˧˧
bùi	ʔ ɓ u j ˨˩
bùi ngùi	ʔ ɓ u j ˨˩ ŋ u j ˨˩
bùi nhùi	ʔ ɓ u j ˨˩ ɲ u j ˨˩
bùm	ʔ ɓ u m ˨˩
bùm bụp	ʔ ɓ u m ˨˩ ʔ ɓ u p̚ ˧˨ ʔ
bùn	ʔ ɓ u n ˨˩
bùn lầy	ʔ ɓ u n ˨˩ l ə j ˨˩
bùng	ʔ ɓ ʊ w ŋ͡m ˨˩
bùng binh	ʔ ɓ ʊ w ŋ͡m ˨˩ ʔ ɓ ï ŋ ˧˧
bùng nổ	ʔ ɓ ʊ w ŋ͡m ˨˩ n o ˧˩
bùng phát	ʔ ɓ ʊ w ŋ͡m ˨˩ f aː t̚ ˧˦
bú	ʔ ɓ u ˧˦
bú cu	ʔ ɓ u ˧˦ k u ˧˧
bú fame	ʔ ɓ u ˧˦ f e m ˧˧
búa	ʔ ɓ u ə ˧˦
búa khoan	ʔ ɓ u ə ˧˦ x w aː n ˧˧
búa la xua	ʔ ɓ u ə ˧˦ l aː ˧˧ s u ə ˧˧
búa liềm	ʔ ɓ u ə ˧˦ l i ə m ˨˩
búa tạ	ʔ ɓ u ə ˧˦ t aː ˧˨ ʔ
búa và liềm	ʔ ɓ u ə ˧˦ v aː ˨˩ l i ə m ˨˩
búi	ʔ ɓ u j ˧˦
bún	ʔ ɓ u n ˧˦
bún bò Huế	ʔ ɓ u n ˧˦ ʔ ɓ ɔ ˨˩ h w e ˧˦
bún chả	ʔ ɓ u n ˧˦ t͡ɕ aː ˧˩
bún cua	ʔ ɓ u n ˧˦ k u ə ˧˧
bún măng vịt	ʔ ɓ u n ˧˦ m a ŋ ˧˧ v i t̚ ˧˨ ʔ
bún mắm	ʔ ɓ u n ˧˦ m a m ˧˦
bún mẹ	ʔ ɓ u n ˧˦ m ɛ ˧˨ ʔ
bún mọc	ʔ ɓ u n ˧˦ m a w k͡p̚ ˧˨ ʔ
bún riêu	ʔ ɓ u n ˧˦ z i ə w ˧˧
bún sông	ʔ ɓ u n ˧˦ s ə w ŋ͡m ˧˧
bún thang	ʔ ɓ u n ˧˦ tʰ aː ŋ ˧˧
bún thịt nướng	ʔ ɓ u n ˧˦ tʰ i t̚ ˧˨ ʔ n ɨ ə ŋ ˧˦
bún đậu mắm tôm	ʔ ɓ u n ˧˦ ʔ ɗ ə w ˧˨ ʔ m a m ˧˦ t o m ˧˧
bún ốc	ʔ ɓ u n ˧˦ ʔ ə w k͡p̚ ˧˦
búng	ʔ ɓ ʊ w ŋ͡m ˧˦
búp	ʔ ɓ u p̚ ˧˦
búp bê	ʔ ɓ u p̚ ˧˦ ʔ ɓ e ˧˧
búp phê	ʔ ɓ u p̚ ˧˦ f e ˧˧
bút	ʔ ɓ u t̚ ˧˦
bút bi	ʔ ɓ u t̚ ˧˦ ʔ ɓ i ˧˧
bút chiến	ʔ ɓ u t̚ ˧˦ t͡ɕ i ə n ˧˦
bút chì	ʔ ɓ u t̚ ˧˦ t͡ɕ i ˨˩
bút chì bấm	ʔ ɓ u t̚ ˧˦ t͡ɕ i ˨˩ ʔ ɓ ə m ˧˦
bút chì kim	ʔ ɓ u t̚ ˧˦ t͡ɕ i ˨˩ k i m ˧˧
bút chì màu	ʔ ɓ u t̚ ˧˦ t͡ɕ i ˨˩ m a w ˨˩
bút danh	ʔ ɓ u t̚ ˧˦ z a j ŋ̟ ˧˧
bút hiệu	ʔ ɓ u t̚ ˧˦ h i ə w ˧˨ ʔ
bút kí	ʔ ɓ u t̚ ˧˦ k i ˧˦
bút lông	ʔ ɓ u t̚ ˧˦ l ə w ŋ͡m ˧˧
bút lông dầu	ʔ ɓ u t̚ ˧˦ l ə w ŋ͡m ˧˧ z ə w ˨˩
bút máy	ʔ ɓ u t̚ ˧˦ m a j ˧˦
bút mực	ʔ ɓ u t̚ ˧˦ m ɨ k̚ ˧˨ ʔ
bút nghiên	ʔ ɓ u t̚ ˧˦ ŋ i ə n ˧˧
bút nguyên tử	ʔ ɓ u t̚ ˧˦ ŋ w i ə n ˧˧ t ɨ ˧˩
bút pháp	ʔ ɓ u t̚ ˧˦ f aː p̚ ˧˦
bút tích	ʔ ɓ u t̚ ˧˦ t ï k̟̚ ˧˦
bút tích học	ʔ ɓ u t̚ ˧˦ t ï k̟̚ ˧˦ h a w k͡p̚ ˧˨ ʔ
bút đàm	ʔ ɓ u t̚ ˧˦ ʔ ɗ aː m ˨˩
bĩnh	ʔ ɓ ï ŋ ˦ˀ˥
bĩu	ʔ ɓ i w ˦ˀ˥
bơ	ʔ ɓ əː ˧˧
bơ phờ	ʔ ɓ əː ˧˧ f əː ˨˩
bơ thực vật	ʔ ɓ əː ˧˧ tʰ ɨ k̚ ˧˨ ʔ v ə t̚ ˧˨ ʔ
bơ vơ	ʔ ɓ əː ˧˧ v əː ˧˧
bơi	ʔ ɓ əː j ˧˧
bơi chó	ʔ ɓ əː j ˧˧ t͡ɕ ɔ ˧˦
bơi lội	ʔ ɓ əː j ˧˧ l o j ˧˨ ʔ
bơm	ʔ ɓ əː m ˧˧
bơm cho	ʔ ɓ əː m ˧˧ t͡ɕ ɔ ˧˧
bư	ʔ ɓ ɨ ˧˧
bưng	ʔ ɓ ɨ ŋ ˧˧
bưng biền	ʔ ɓ ɨ ŋ ˧˧ ʔ ɓ i ə n ˨˩
bưng bít	ʔ ɓ ɨ ŋ ˧˧ ʔ ɓ i t̚ ˧˦
bưng bô	ʔ ɓ ɨ ŋ ˧˧ ʔ ɓ o ˧˧
bưu	ʔ ɓ i w ˧˧
bưu chính	ʔ ɓ i w ˧˧ t͡ɕ ï ŋ ˧˦
bưu chính viễn thông	ʔ ɓ i w ˧˧ t͡ɕ ï ŋ ˧˦ v i ə n ˦ˀ˥ tʰ ə w ŋ͡m ˧˧
bưu cục	ʔ ɓ i w ˧˧ k ʊ w k͡p̚ ˧˨ ʔ
bưu kiện	ʔ ɓ i w ˧˧ k i ə n ˧˨ ʔ
bưu phiếu	ʔ ɓ i w ˧˧ f i ə w ˧˦
bưu phí	ʔ ɓ i w ˧˧ f i ˧˦
bưu phẩm	ʔ ɓ i w ˧˧ f ə m ˧˩
bưu thiếp	ʔ ɓ i w ˧˧ tʰ i ə p̚ ˧˦
bưu tá	ʔ ɓ i w ˧˧ t aː ˧˦
bưu điện	ʔ ɓ i w ˧˧ ʔ ɗ i ə n ˧˨ ʔ
bươi	ʔ ɓ ɨ ə j ˧˧
bươm	ʔ ɓ ɨ ə m ˧˧
bươm bướm	ʔ ɓ ɨ ə m ˧˧ ʔ ɓ ɨ ə m ˧˦
bươn	ʔ ɓ ɨ ə n ˧˧
bươn chải	ʔ ɓ ɨ ə n ˧˧ t͡ɕ aː j ˧˩
bương	ʔ ɓ ɨ ə ŋ ˧˧
bươu	ʔ ɓ i ə w ˧˧
bước	ʔ ɓ ɨ ə k̚ ˧˦
bước ngoặt	ʔ ɓ ɨ ə k̚ ˧˦ ŋ w a t̚ ˧˨ ʔ
bước sóng	ʔ ɓ ɨ ə k̚ ˧˦ s a w ŋ͡m ˧˦
bước đường	ʔ ɓ ɨ ə k̚ ˧˦ ʔ ɗ ɨ ə ŋ ˨˩
bước đầu	ʔ ɓ ɨ ə k̚ ˧˦ ʔ ɗ ə w ˨˩
bướm	ʔ ɓ ɨ ə m ˧˦
bướm đêm	ʔ ɓ ɨ ə m ˧˦ ʔ ɗ e m ˧˧
bướng	ʔ ɓ ɨ ə ŋ ˧˦
bướng bỉnh	ʔ ɓ ɨ ə ŋ ˧˦ ʔ ɓ ï ŋ ˧˩
bướu	ʔ ɓ i ə w ˧˦
bướu cổ	ʔ ɓ i ə w ˧˦ k o ˧˩
bưởi	ʔ ɓ ɨ ə j ˧˩
bưởi chùm	ʔ ɓ ɨ ə j ˧˩ t͡ɕ u m ˨˩
bượp	ʔ ɓ ɨ ə p̚ ˧˨ ʔ
bạn	ʔ ɓ aː n ˧˨ ʔ
bạn bè	ʔ ɓ aː n ˧˨ ʔ ʔ ɓ ɛ ˨˩
bạn gái	ʔ ɓ aː n ˧˨ ʔ ɣ aː j ˧˦
bạn hữu	ʔ ɓ aː n ˧˨ ʔ h i w ˦ˀ˥
bạn thân	ʔ ɓ aː n ˧˨ ʔ tʰ ə n ˧˧
bạn trai	ʔ ɓ aː n ˧˨ ʔ t͡ɕ aː j ˧˧
bạn đọc	ʔ ɓ aː n ˧˨ ʔ ʔ ɗ a w k͡p̚ ˧˨ ʔ
bạn đời	ʔ ɓ aː n ˧˨ ʔ ʔ ɗ əː j ˨˩
bản	ʔ ɓ aː n ˧˩
bản chí	ʔ ɓ aː n ˧˩ t͡ɕ i ˧˦
bản chất	ʔ ɓ aː n ˧˩ t͡ɕ ə t̚ ˧˦
bản doanh	ʔ ɓ aː n ˧˩ z w a j ŋ̟ ˧˧
bản dịch	ʔ ɓ aː n ˧˩ z ï k̟̚ ˧˨ ʔ
bản gốc	ʔ ɓ aː n ˧˩ ɣ ə w k͡p̚ ˧˦
bản lĩnh	ʔ ɓ aː n ˧˩ l ï ŋ ˦ˀ˥
bản lề	ʔ ɓ aː n ˧˩ l e ˨˩
bản ngã	ʔ ɓ aː n ˧˩ ŋ aː ˦ˀ˥
bản ngữ	ʔ ɓ aː n ˧˩ ŋ ɨ ˦ˀ˥
bản nhạc	ʔ ɓ aː n ˧˩ ɲ aː k̚ ˧˨ ʔ
bản năng	ʔ ɓ aː n ˧˩ n a ŋ ˧˧
bản quyền	ʔ ɓ aː n ˧˩ k w i ə n ˨˩
bản sao	ʔ ɓ aː n ˧˩ s aː w ˧˧
bản sắc	ʔ ɓ aː n ˧˩ s a k̚ ˧˦
bản thân	ʔ ɓ aː n ˧˩ tʰ ə n ˧˧
bản thảo	ʔ ɓ aː n ˧˩ tʰ aː w ˧˩
bản thổ	ʔ ɓ aː n ˧˩ tʰ o ˧˩
bản tin	ʔ ɓ aː n ˧˩ t i n ˧˧
bản tính	ʔ ɓ aː n ˧˩ t ï ŋ ˧˦
bản vị	ʔ ɓ aː n ˧˩ v i ˧˨ ʔ
bản xứ	ʔ ɓ aː n ˧˩ s ɨ ˧˦
bản án	ʔ ɓ aː n ˧˩ ʔ aː n ˧˦
bản địa	ʔ ɓ aː n ˧˩ ʔ ɗ i ə ˧˨ ʔ
bản địa hoá	ʔ ɓ aː n ˧˩ ʔ ɗ i ə ˧˨ ʔ h w aː ˧˦
bản đồ	ʔ ɓ aː n ˧˩ ʔ ɗ o ˨˩
bảng	ʔ ɓ aː ŋ ˧˩
bảng biểu	ʔ ɓ aː ŋ ˧˩ ʔ ɓ i ə w ˧˩
bảng chọn	ʔ ɓ aː ŋ ˧˩ t͡ɕ ɔ n ˧˨ ʔ
bảng chữ cái	ʔ ɓ aː ŋ ˧˩ t͡ɕ ɨ ˦ˀ˥ k aː j ˧˦
bảng cửu chương	ʔ ɓ aː ŋ ˧˩ k i w ˧˩ t͡ɕ ɨ ə ŋ ˧˧
bảng hiệu	ʔ ɓ aː ŋ ˧˩ h i ə w ˧˨ ʔ
bảng mã	ʔ ɓ aː ŋ ˧˩ m aː ˦ˀ˥
bảng mẫu tự phiên âm quốc tế	ʔ ɓ aː ŋ ˧˩ m ə w ˦ˀ˥ t ɨ ˧˨ ʔ f i ə n ˧˧ ʔ ə m ˧˧ k u ə k̚ ˧˦ t e ˧˦
bảng nhãn	ʔ ɓ aː ŋ ˧˩ ɲ aː n ˦ˀ˥
bảng tuần hoàn	ʔ ɓ aː ŋ ˧˩ t w ə n ˨˩ h w aː n ˨˩
bảng tuần hoàn các nguyên tố hoá học	ʔ ɓ aː ŋ ˧˩ t w ə n ˨˩ h w aː n ˨˩ k aː k̚ ˧˦ ŋ w i ə n ˧˧ t o ˧˦ h w aː ˧˦ h a w k͡p̚ ˧˨ ʔ
bảng vàng	ʔ ɓ aː ŋ ˧˩ v aː ŋ ˨˩
bảng đen	ʔ ɓ aː ŋ ˧˩ ʔ ɗ ɛ n ˧˧
bảnh	ʔ ɓ a j ŋ̟ ˧˩
bảnh bao	ʔ ɓ a j ŋ̟ ˧˩ ʔ ɓ aː w ˧˧
bảnh mắt	ʔ ɓ a j ŋ̟ ˧˩ m a t̚ ˧˦
bấc	ʔ ɓ ə k̚ ˧˦
bấm	ʔ ɓ ə m ˧˦
bấm chuột	ʔ ɓ ə m ˧˦ t͡ɕ u ə t̚ ˧˨ ʔ
bấm chí	ʔ ɓ ə m ˧˦ t͡ɕ i ˧˦
bấm đàn	ʔ ɓ ə m ˧˦ ʔ ɗ aː n ˨˩
bấn	ʔ ɓ ə n ˧˦
bấn loạn	ʔ ɓ ə n ˧˦ l w aː n ˧˨ ʔ
bấp bênh	ʔ ɓ ə p̚ ˧˦ ʔ ɓ ə j ŋ̟ ˧˧
bất	ʔ ɓ ə t̚ ˧˦
bất an	ʔ ɓ ə t̚ ˧˦ ʔ aː n ˧˧
bất biến	ʔ ɓ ə t̚ ˧˦ ʔ ɓ i ə n ˧˦
bất bình	ʔ ɓ ə t̚ ˧˦ ʔ ɓ ï ŋ ˨˩
bất bại	ʔ ɓ ə t̚ ˧˦ ʔ ɓ aː j ˧˨ ʔ
bất bạo động	ʔ ɓ ə t̚ ˧˦ ʔ ɓ aː w ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˧˨ ʔ
bất bằng	ʔ ɓ ə t̚ ˧˦ ʔ ɓ a ŋ ˨˩
bất chính	ʔ ɓ ə t̚ ˧˦ t͡ɕ ï ŋ ˧˦
bất chấp	ʔ ɓ ə t̚ ˧˦ t͡ɕ ə p̚ ˧˦
bất chợt	ʔ ɓ ə t̚ ˧˦ t͡ɕ əː t̚ ˧˨ ʔ
bất công	ʔ ɓ ə t̚ ˧˦ k ə w ŋ͡m ˧˧
bất cần	ʔ ɓ ə t̚ ˧˦ k ə n ˨˩
bất cẩn	ʔ ɓ ə t̚ ˧˦ k ə n ˧˩
bất cập	ʔ ɓ ə t̚ ˧˦ k ə p̚ ˧˨ ʔ
bất cập vật	ʔ ɓ ə t̚ ˧˦ k ə p̚ ˧˨ ʔ v ə t̚ ˧˨ ʔ
bất cốc	ʔ ɓ ə t̚ ˧˦ k ə w k͡p̚ ˧˦
bất cứ	ʔ ɓ ə t̚ ˧˦ k ɨ ˧˦
bất diệt	ʔ ɓ ə t̚ ˧˦ z i ə t̚ ˧˨ ʔ
bất giác	ʔ ɓ ə t̚ ˧˦ z aː k̚ ˧˦
bất hiếu	ʔ ɓ ə t̚ ˧˦ h i ə w ˧˦
bất hoà	ʔ ɓ ə t̚ ˧˦ h w aː ˨˩
bất hại	ʔ ɓ ə t̚ ˧˦ h aː j ˧˨ ʔ
bất hạnh	ʔ ɓ ə t̚ ˧˦ h a j ŋ̟ ˧˨ ʔ
bất hảo	ʔ ɓ ə t̚ ˧˦ h aː w ˧˩
bất hợp lí	ʔ ɓ ə t̚ ˧˦ h əː p̚ ˧˨ ʔ l i ˧˦
bất hợp lệ	ʔ ɓ ə t̚ ˧˦ h əː p̚ ˧˨ ʔ l e ˧˨ ʔ
bất hợp pháp	ʔ ɓ ə t̚ ˧˦ h əː p̚ ˧˨ ʔ f aː p̚ ˧˦
bất hợp tác	ʔ ɓ ə t̚ ˧˦ h əː p̚ ˧˨ ʔ t aː k̚ ˧˦
