Allâh	a l l ɒː h
kötürmək	k e̹ t ʏ ɾ m æ k
kötürmək	k ɛ̹ t ɪ ɾ m æ k
kötürmək	k ɛ̹ t ʏ ɾ m æ k
köyüs	k œ j s
köyüs	k œ j ʏ s
köyüs	k œ j ʏ ʃ
köz	k eː z
köz	k eˑ z
köz	k e̞ˑ z
köz	k øː z
köz	k øˑ z
köz	k ø̞ z
köz	k ĭ ɛ z
köz	k œ z
köz	k œ z̥
köz	k œ̜ z
köz	k ɛ z
köz	k ɪ̞ z
köz	k ʏ̞ z
kö̂k	k øː k
kö̂k	k øː ø̯ k
kö̂k	k ø̹ː k
kö̂kərçik	k øː ø̯ k æ̞ ɾ t͡ʃ i k
kûona	k u̞ o̯ n a
kûor	k uː o̯ ɾ
kûra	k uː ɾ a
kûrə	k uː ɾ æ
kûrə	k uˑ ɾ æ
küdən	k i d æ n
küdən	k i d æ̞ n
küdən	k y d æ̞ n
küdən	k ɪ d æ n
kül	k i̞ˑ l
kül	k y l
kül	k ɪ l
kül	k ʏ l
kül	k ʏ̹ l
külmək	k i l m æ k
külmək	k i̞ l m æ k
külmək	k i̞͗ l m æ k
külmək	k y l m æ k
külmək	k y ˕ l m æ k
külmək	k ɪ l m æ k
külmək	k ʏ l m æ k
küm	k ʏ m
kün	k i n
kün	k iˑ n
kün	k y n
kün	k yˑ n
kün	k ɪ n
kün	k ɪ̹ n
kün	k ʏ n
kün	kʰ ɪ n
künbatar	k y n b ɒ t æ̞ ɾ
künbatar	k ʏ n b a t a ɾ
künd	k y n t
kündüz	k y n d y z
kündüz	k ɪ n d ɪ z
kündüz	k ɪ̹ n d ʏ z
kündüz	k ʏ n d ʏ z
künçalar	k y n t͡ʃ ɒ l æ̞ ɾ
künçalar	k ɪ n t͡ʃ a l a ɾ
künçalar	k ʏ n t͡ʃ a l a ɾ
künəş	k iˑ n æ ʃ
künəş	k ʏˑ n æ ʃ
kürgək	k i ɾ j æ k
kürgək	k y ɾ j æ̞ k
kürgək	k y ɾ ɟ æ̞ k
kürgək	k ɪ ɾ ɡ æ k
kürgək	k ʏ̜ ɾ ɡ æ k
küönmək	k i e̯ n m æ k
küönmək	k y ø̯ n m æ k
kü̂ç	k iː i̯ t͡ʃ
kü̂ç	k yː t͡ʃ
kü̂ök	k iː e̯ k
kü̂ök	k yː ø̯ k
kü̂ök	k y̜ː ø̯ k
kü̂ök	k ʏ̞ː œ̯ k
kü̂ös	k iː e̯ s
kəf	k æ f
kəftər	k æ̞ f t æ̞ ɾ
kəlin	k æ l iː n
kəlin	k æ l iˑ n
kəlin	k æ l ɪ n
kəlin	k æ l ɪ̹ n
kəlin	k æ l ʏ n
kəlin	k æ̞ l i n
kəlin	k æ̞ l ɪ n
kəlin	k æ̞ l ʏ n
kəlmək	k æ l m æ k
kəlmək	k æ̞ l m æ k
kəlütmək	k æ l ɪ t m æ k
kəlütmək	k æ l ɪ̹ t m æ k
kəlütmək	k æ l ʏ t m æ k
kəm	k æ m
kəm	k æ̞ m
kəmər	k æ m æ ɾ
kəmərbənd	k æ m æ ɾ b æ n d
kəmərbənd	k æ̞ m æ̞ ɾ b æ̞ n d
kərə	k æ ɾ æ
kəsmək	k æ s m æ k
kəsmək	k æ̞ s m æ k
kəsük	k æ s ɪ̹ k
kəsük	k æ s ʏ k
kəsük	k æ̞ s i k
kəsər	k æ s æ ɾ
kəçmək	k æ t͡ʃ m æ k
kəçə	k æ t͡ʃ æ
kəşti	k æ ʃ t ɪ
lamaşt	l a m a ʃ
lov	l ɔ u̯
lâla	l aː l a
lâla	l aː l ɑ
lâla	l aˑ l a
lâla	l o̞ː l ɑ
lâla	l ɑː l a
lâla	l ɑː l ɑ
lâla	l ɒː l a
lâla	l ɒː l æ
lâla	l ɒː l æ̞
lâla	l ɒː l ɑ
lâla	l ɔ̞ː l a
lâla	l ɔ̞ː l ɑ
lâla	l ɔ̞ː l ɒ
lâla	l ɔ̞ː l ɔ
lâla	l ɔ̞ː l ə
lâğər	l ɒˑ ʁ æ ɾ
lûlə	l u l æ
lûlə	l uˑ l æ
ləb	l æ̞ b
ləməşt	l æ m æ ʃ t
marmaq	m a ɾ m a q
mağas	m a ʁ a s
ming	m i n
ming	m i ŋ k
ming	m ɪ ŋ ɡ
mis	m ɪ s
mujə	m o ʒ æ
murç	m u ɾ t͡ʃ
murç	m ʊ ɾ t͡ʃ
muç	m o t͡ʃ
muç	m ʊ t͡ʃ
mâla	m aˑ l a
mâlə	m ɒː l æ
məgəs	m æ̞ ɡ æ̞ s
mən	m æ n
məttə	m æ t t æ
mə̂mək	m æː m æ k
mə̂mək	m æˑ m æ k
mə̂mək	m æ̞ m æ̞ k
narm	n a ɾ m
nazzâ	n a z z ɑː
nâzuk	n ɒː z ʊ k
nâzuk	n ɒˑ z ʊ k
nâzuk	n ɒˑ z ʊ q
nâşmaq	n aː ʃ m a q
nêdə	n eː d æ
nêdə	n i̯ eː d æ
nêrə	n eː ɾ æ
nêrə	n i̯ eː ɾ æ
nîersə	n iː e̯ ɾ s æ
nə	n æ
nəbîrə	n æ̞ b iː ɾ æ
nəbîrə	n æ̞ β iː ɾ æ
nəfəs	n æ f æ s
nənjân	n æ n d͡ʒ aː n
nənjân	n æ n d͡ʒ ɒː n
nənjân	n æ n d͡ʒ ɔ̞ː n
nənjân	n æ̞ː n d͡ʒ ɑː n
nənjûn	n a n d͡ʒ uː n
nənjûn	n aː n d͡ʒ uː n
nənjûn	n æː n d͡ʒ uː n
nənə	n æ n æ
nənə	n æː n æ
nənə	n æˑ n æ
nənə	n æ̞ n æ
nənə	n æ̞ n æ̞
nənə	n æ̞ː n æ
nənə	n æ̞ˑ n æ
nənəcân	n æ n æ d͡ʒ ɑː n
nənəcân	n æ n æ d͡ʒ ɒː n
nənəcân	n æ n æ d͡ʒ ɒːː n
nənəcân	n æ n æ d͡ʒ ɔ̞ː n
nərm	n æ ɾ m
nətîcə	n æ t iː d͡ʒ æ
nətîcə	n æ t iˑ d͡ʒ æ
nətîcə	n æ t iˑ d͡ʒ ɛ
nətîcə	n æ̞ t i d͡ʒ æ̞
nətîcə	n æ̞ t iː d͡ʒ
nətîcə	n æ̞ t iː d͡ʒ æ
nətîcə	n æ̞ t iː d͡ʒ æ̞
nətîcə	n æ̞ t iː d͡ʒ ɛ
nətîcə	n æ̞ t iˑ d͡ʒ æ
nətəy	n æ t e
nətəy	n æ t æ j
nəvə	n æ v æ
nəvə	n æ v æ s i
nəvə	n æ v ə
nəvə	n æ̞ v æ
nəvə	n æ̞ v æ̞
nəvə	n ɪ v æ
nəvəd	n æ̞ v æ̞ d
nəy	n æ j
nəysə	n æ j s æ
nəzzâ	n æ z z ɒː
nəççə	n æ t t͡ʃ æ
nə̂rsə	n æː s æ
nə̂rsə	n ɛː s æ
nə̂rsə	n ɛː ɾ s æ
nə̂rsədə	n æː s æ d æ
ocaq	o d͡ʒ a q
otaq	o t a ʁ̥
otaqlığ	o t a ʁ l ʊ ʁ
otaqlığ	o t a ʁ l ʊ ʁ̥
oynamaq	o̞ j n a m a q
oyın	o j ɪ̈ n
oğul	o ʁ l i
oğul	o ʁ l ʊ
oğul	o ʁ l ʊ m
oğul	o ʁ u̞ l
oğul	o ʁ ʊ l
oğul	o̞ ʁ ʊ l
oğul	ɔ ʁ ʊ l
palang	p a l a ŋ ɡ̊
paşşa	p a ʃ a
paşşa	p a ʃ ʃ a
pihin	p e j ɪ n
pihin	p ɪ h ɪ n
pilləkân	p ɪ l l æ k ɒː n
pistə	p e s t æ
pistə	p ɪ s t æ
purtəğâl	p ʊ ɾ t æ ʁ ɒː l
puşuq	p ʊ ʃ ʊ c
puşuq	p ʊ ʃ ʊ kʰ
puşuq	p ʊ ʃ ʊ q
pâru	p ɒˑ ɾ ʊ̞
pâyîz	p ɒː j iː z
pîh	p iː
pîs	p iː s
pəhin	p æ h ɪ n
pəlləkân	p æ̞ l æ k ɒˑ n
pələng	p æ l æ ŋ ɡ
pələng	p æ̞ l æ̞ ŋ ɡ̊
pəncərə	p æ n d͡ʒ æː ɾ æ
pəncərə	p æ n d͡ʒ æ̞ ɾ æ
pənîr	p æ n iː ɾ
pənîr	p ɛ n iˑ ɾ
pənîr	p ɛ n i̞ː e̯ ɾ
pənîr	p ɪ n i e̯ ɾ
pər	p æ ɾ
pər	p æ̞ ɾ
qara	q a ɾ a
qara	ɢ̥ ɒ ɾ a
qaralıq	q a ɾ a l ʊ q
qaralıq	q a ɾ aˑ l ʊ χ
qaralığ	q a ɾ ɑː l ʊ ʁ
qaralığ	q ɒ ɾ ɒ̃ l ʊ χ
qarayâaz	q a ɾ a j ɑː ɑ̯ z
qarrı	q a r ɪ
qarrı	q ɑ r ɪ̈
qarrı	q ɑː r ɪ
qarrı	q ɒ r i
qarrı	q ɒˑ r i
qarrımaq	q ɑ r ɪ̈ m a q
qarrımaq	q ɑ r ʊ m a q
qarğu	q ɒ ɾ ʁ ʊ̞
qarğu	ɢ ɒ ɾ ʁ ʊ̞
qarğu	ɢ̥ ɒ ɾ ʁ ʊ̞
qarın	q aː ɾ ɪ̈ n
qarın	q aˑ ɾ ɪ̈ n
qarın	q ɑˑ ɾ ɪ̈ n
qarın	q ɒˑ ɾ ɨ n
qarın	q ɒˑ ɾ ʊ n
qatuq	q a t ʊ q
qatuq	q a t ʊ q χ
qatuq	q ɒ t ʊ q
qaynarvadu	q a i̯ n a ɾ v a d ʊ
qazmaq	q a z m a q
qazğân	q a z ʁ aː n
qazəbnâk	ɢ a z æ b n ɒː k
qaçân	q a t͡ʃ ɑː n
qaşuq	q a ʃ ʊ q
qaşımaq	q a ʃ ʊ m a q
qol	q oː l
qol	q oˑ l
qol	q u o̯ l
qol	q ʊ l
qol	q ʊ̞ l
qol	q ʊ̞ˑ l
qolay	q ʊ̞ l ɒ j
qolay	ɢ ʊ l æ j
qolay	ɢ ʊ̞ l æ j
qorqmaq	q o̞ ɾ q m a q
qoç	ɢ ɔ t͡ʃ
qoçâq	q ɔ t͡ʃ ɑː q
qudruq	q ʊ d ʊ̆ ɾ ʊ q
qudruq	q ʊ ɾ d ɪ q
qudruq	q ʊ ɾ d ʊ q
qudğı	q ʊ d ʁ i̠
qudğı	q ʊ d ʁ ʊ̞
qudğı	q ʊ d ʊ̆ ʁ ʊ
qudğı	ɢ ʊ d ʁ ʊ
qudğı	ɢ̥ ʊ d ʁ ʊ̞
qulaq	q u l ɒ q
qulaq	q ʊ l a q
qulaq	q ʊ l aː q
qulaq	q ʊ l ɑː q
qulaq	q ʊ̞ l ɒː qʰ
qulaq	ɢ̥ u l ɒː q ⁽ʰ ⁾
qumurğâç	ɢ ʊ m ʊ ɾ ʁ ɑː t͡ʃ
qurruq	q ʊ r ʊ ɢ̥
qurruğ	q ʊ r ʊ ʁ
qurruğ	q ʊ r ʊ ʁ̥
qurs	q ʊ ɾ s
qurs	ɢ ʊ ɾ s
qurs	ɢ̥ ʊ ɾ s
qusmaq	q ʊ s m a q
quzı	q ʊ z ɪ̈
quş	q uː ʃ
quş	q uˑ ʃ
quş	q u̞ˑ ʃ
quş	q ʊ ʃ
quş	ɢ ʊ ʃ
quş	ɢ̥ ʊ ʃ
qâan	q ɑː ɑ̯ n
qâanaq	q ɑː ɑ̯ n a q
qâanaq	q ɒː ɒ̯ n a q
qâaq	ɢ ɑ̂ q
qâaq	ɢ̥ ɒː ɒ̯ q
qâar	q ɑː ɑ̯ ɾ
qâar	ɢ̥ ɒː ɒ̯ ɾ
qâdın	q ɒː ɒ̯ d ɨ n
qâdın	q ɒː ɒ̯ d ɪ n
qâdın	q ɒː ɒ̯ d ʊ n
qâdın	ɢ oː d ʊ n
qâdın	ɢ ɑː d ʊ n
qâdın	ɢ ɑː ɑ̯ d ɪ̈ n
qâdın	ɢ ɑː ɑ̯ d ʊ n
qâdın	ɢ ɒː d ʊ n
qâlmaq	q ɑː l m a q
qân	q oː n
qân	q ɑː n
qân	q ɒː n
qân	q ɒˑ n
qânaq	q ɑː n a q
qânı	q ɑː n ɪ
qânı	q ɑː ɑ̯ n ɪ̈
qânı	q ɒː ɒ̯ n i
qânı	q ɒː ɒ̯ n ɪ
qânısı	q ɑː n ɪ s ɪ
qânısı	q ɑː ɑ̯ n ɪ̈ s ɪ̈
qâq	ɢ ɑː q
qâq	ɢ ɒː q
qâr	q oː ɾ
qâr	q ɑː ɾ
qâr	q ɒː ɾ
qâtır	ɢ ɒː t ɪ̈ ɾ
qâş	q oː ʃ
qâş	q ɑː ɑ̯ ʃ
qâş	q ɑː ʃ
qâş	q ɒː ʃ
qâş	ɢ̥ ɒː ɒ̯ ʃ
qômaq	q oː m a q
qômaq	q o̞ː m a q
qômaq	q u̯ oː m a q
qômaq	q u̯ o̞ː m a q
qôn	q o o̯ n
qôn	q oː n
qôn	q oˑ n
qôn	q u̞ː n
qôn	q ʊ n
qôn	q ʊ̞ n
qôn	q ʊ̞ˑ n
qûomaq	q u o̯ m a q
qûomaq	q ʊ o̯ m a q
qûon	q uː o̯ n
qûon	ɢ̥ u o̯ n
qûrt	q uː ɾ t
qûrt	q uˑ ɾ t
qûrt	q u̞ː t
qûrt	ɢ uː ɾ t
qûrt	ɢ̥ uː ʊ̯ t
qıblə	q ɪ̠ b l æ
qıblə	ɢ ɪ̈ b l æ
qıl	q i l
qıl	q ɪ̈ l
qılîç	ɢ ɪ̈ l iː t͡ʃ
qırmaq	q ɪ̈ ɾ m a q
qırq	q i̠ ɾ q
qırq	q ɨ ɾ q
qırq	q ɪ̈ ɾ q
qırq	q ɪ̠ ɾ q
qırqmıncı	q ɪ̈ ɾ q m ɪ̈ n d ʒ ɪ̈
qısır	q ɪ̈ s ɪ̈ ɾ
qızıl	q ɪ̈ z ɪ̈ l
qıç	q i t͡ʃ
qıız	d ɑ d ɑˑ ʃ
qıız	p ĕ i̯ iː z
qıız	q iː i̯ z
qıız	q iː i̯ z̥
qıız	q iː z
qıız	q iː z̥
qıız	q i̠ː z
qıız	qʰ iː z
qıız	ɢ iː i̯ z
qıız	ɢ iː z
qıız	ɢ iː z ɪ m
qıız	ɢ iː z ʊ m
qıız	ɢ iˑ z
qıız	ɢ ɪ̞ z
qıız	ɢ̥ iː z
qıığırmaq	q iː ʁ ɪ̈ ɾ m a q
qıığırmaq	q iː ʁ ʊ ɾ m a q
qış	q ɪ̈ ʃ
qəysi	ɢ æ j s i̞
qəşəng	q æ̞ ʃ æ̞ ŋ ɡ̊
qəşəng	ɢ a ʃ æ ŋ
rang	ɾ a ŋ ɡ
rikâb	ɾ ɪ k ɒː b
râst	ɾ ɒː s t
rûda	ɾ uː d a
rûda	ɾ uˑ d ɒ
rûdə	ɾ u̞ˑ d æ
rəng	ɾ æ ŋ ɡ
sanmaq	s a n m a q
saqqal	s a q q a l
saqqal	s a q ɢ a l
saqqal	s æ̞ q q æ̞ l
satmaq	s aː t m a q
satmaq	s aˑ t m a q
satmaq	s ɒː t m a q
saç	s aː t͡ʃ
saç	s aˑ t͡ʃ
saç	ʃ ɒ t͡ʃ
saçmaq	s a t͡ʃ m a q
sik	s ɪ k
sikmək	s i k m æ k
sikmək	s ɪ k m æ k
simük	s ɪ m ɪ k
simük	s ɪ̹ m ɪ̹ k
sipürgə	s y p y ɾ ɟ æ
sipürgə	s ɪ p ɪ ɾ ɡ æ
sipürmək	s ɪ p ɪ ɾ m æ k
siz	s ɪ z
sovuq	s o v ʊ q
sovuq	s o̞ v ʊ q
sovuq	s o̞ w ʊ q
sum	s ʊ̞ m
suv	s uː
suv	s uː v
suv	s uˑ v
suv	s ʊ
suv	s ʊ v
suv	s ʊ w
suv	s ʊˑ v
suvsamaq	s u w s a m a q
suvsız	s uˑ v s ʊ z
suvsız	s u̞ w s ʊ z
suvsız	s ʊ w s ʊ z
sâruq	s ɒː ɒ̯ ɾ ʊ χ
sâruğ	s ɑː ɑ̯ ɾ ʊ ʁ
sâruğ	s ɒː ɒ̯ ɾ ʊ̞ ʁ
sârı	s oː ɾ ɪ
sârı	s ɑː ɾ ʊ
sârı	s ɒˑ ɾ ʊ
sârız	s ɑː ɾ ʊ s
sârız	s ɑː ɾ ʊ z
sârız	s ɒː ɾ ʊ s
sîb	s iː b
sîdmək	s iː d m æ k
sîdək	s iː d æ k
sîdək	s iː d æ̞ k
sîdək	s iˑ d æ k
söz	s œː z
söz	s ɛ̹ˑ z
söğət	s æ j æ t
söğət	s ø̜ ʝ̠ æ t
söğət	s œ j æ t
söğət	s œ ʝ̠ æ t
söğət	s ɛ j æ t
söğət	s ɛ ʁ æ t
söğət	s ɛ ʝ̠ æ t
süm	s ɪ m
süm	s ʏ m
sü̂rmək	s i ɾ m æ k
sü̂rmək	s iː i̯ ɾ m æ̞ k
sü̂rmək	s y ɾ m æ k
sü̂rmək	s yː ɾ m æ k
sü̂t	s iː i̯ t
sü̂t	s iː t
sü̂t	s yː t
sü̂t	s yː y̯ t
sıdırmaq	s ɪ d ʊ ɾ m a q
sıdırmaq	s ɪ̈ d ʊ ɾ m a q
sıdırmaq	s ɪ̈ z ɪ̈ ɾ m a q
sıqmaq	s ɪ q m a q
sıqmaq	s ɪ̈ q m a q
sıqmaq	s ɪ̈ ʁ m a q
sıqmaq	s ɪ̈ χ m a q
sıqmaq	s ɪ̠ q m a q
sıqmaq	s ʊ χ m a q
sırımaq	s ɪ ɾ ʊ m a q
sırımaq	s ɪ̈ ɾ ʊ m a q
sıçmaq	s ɪ t͡ʃ m a q
sıçmaq	s ɪ̈ t͡ʃ m a q
sıçğân	s i t͡ʃ ʁ ɒː n
sıçğân	s i̠ t͡ʃ ʁ ɒː n
sıçğân	s ɪ t͡ʃ ʁ ɒː n
sıçğân	s ɪ̈ t͡ʃ ʁ aː n
sıçğân	s ɪ̈ t͡ʃ ʁ ɑː n
sığır	s i̠ ʁ i̠ ɾ
sığır	s ɨ ʁ ɨ ɾ
sığır	s ɪ̈ ʁ ɪ̈ ɾ
sıımaq	s iː m a q
sıınmaq	s iː n m a q
səbîl	s i b i l
səbîl	s i b ɪ ɛ̯ l
səbîl	s æ b iː l
səbîl	s æ b ɪ l
səkkiz	s æ kː ɪ z
səkkiz	s æ kː ɪ̹ z
səkkizminci	s æ k k ʏ z m ɪ n d͡ʒ ɪ
səksən	s æ k s æ n
sən	s æ n
sərtsîl	s æ ɾ t s iː l
səs	s a s
səs	s æ s
səsləmək	s a s l aˑ m æ k
səsləmək	s æ s l æˑ m æ k
səvmək	s æ v m æ k
səysən	s a j s a n
səysən	s æ j s æ n
səysən	s ɛ j s æ̞ n
tahâl	t a h ɑː l
tanâb	t a n aː f
tanâb	t a n ɑː f
tanâb	t a n ɑː p
tavarçuq	t a v a ɾ t͡ʃ ʊ q
tavarçuq	t a v a ɾ t͡ʃ ʊ qʰ
tavuşğân	d o̞ w ʊ ʃ ʁ aː n
tavuşğân	d ɔ v ʊ ʃ ʁ aː n
tavuşğân	d ɔ w ʊ̆ ʃ ʁ aː n
tavuşğân	t o w u ʃ ʁ ɒː n
tavuşğân	t ɒ v u ʃ ʁ ɒˑ n
tavuşğân	t ɔ v u ʃ ʁ ɒː n
tavuşğân	t ɔ v ʊ ʃ ʁ aː n
taxta	t a χ d̥ a
teyirmən	t e i̯ ɾ m æ n
teyirmən	t e j ɪ ɾ m æ n
teyirmən	t i ɪ ɾ m æ n
teyirmən	t ɛ j i ɾ m æ n
tikmək	t ɪ k m æ k
til	c̟ ɪ l
til	t i l
til	t iˑ l
til	t ɪˑ l
tilkü	t y l k y
tilkü	t y̞ l k ʏ
tilkü	t ɪ̹ l k ʏ̜
tişi	t i ʃ i
tişi	t ɪ ʃ ɪ
todmaq	t ʊ̞ d m a q
tolğanmaq	t o l ʁ a n m a q
tolı	t u̯ o̞ˑ l ɪ̈
tongquz	d ɔ ɴ ɢ ʊ z
tongquz	t ɔ ɴ ɢ ʊ z
top	t o p
top	t ŭ ɔˑ p
topuq	t ɔ p ʊ q
topuq	t ɔ p ʊ̞ q
toqquz	t ɔ qː ʊ z
toqquzmıncı	t ɔ q q ʊ z m ɪ̈ n d͡ʒ ɪ̈
toqsan	d̥ ɔ χ s a n
toqsan	t ɔ q s a n
toqsan	t ɔ q͡χ s a n
toqsan	t ʊ̞ χ s a n
toqımaq	t ɔ q ʊ m a q
toğmaq	t o ʁ m a q
toğmaq	t oː ʁ m a q
toğmaq	t oˑ ʁ m a q
toğmaq	t ʊ̞ˑ ʁ m a q
toğrı	t o ʁ ɾ ɪ̈
toğrı	t ɔ ʁ ɾ ʊ
toğılmaq	t o ʁ ʊ l m a q
tund	t ʊ n d
tund	t ʊ n t
tunnûr	t ʊ n n uˑ ɾ
tunnûr	t ʊ n ʊ ɾ
tunnûr	t ʊ n ʊ̞ ɾ
tuolı	t u o̯ l ʊ̞
turmaq	t ʊ ɾ m a q
turpâq	t ʊ ɾ p ɑː q
turpâq	t ʊ ɾ p ɒː qʰ
turş	t ʊ ɾ ʃ
tutmaq	t ʊ t m a q
tâalâq	t ɑː ɑ̯ l ɑː q
tâapân	t ɒː ɒ̯ p ɒː n
tâağ	t ɑː ɑ̯ ʁ
tâağ	t ɒː ɒ̯ ʁ
tâaş	t ɑː ɑ̯ ʃ
tâaş	t ɒː ɒ̯ ʃ
tâlâq	t ɑː l ɑː q
tâlâq	t ɒː l ɒː q
tâpân	t ɑː p ɑː n
tâpân	t ɒː p ɒː n
târ	t ɑː ɑ̯ ɾ
târ	t ɑː ɾ
tâta	t ɑː t a
tâta	t ɑː ɑ̯ t a
tâta	t ɒː t a
tâta	t ɒː t ɑ
tâta	t ɒˑ t aˑ
tâta	t ɒˑ t ɒˑ
tâta	t ɔ̞ː t aː
tâta	t ɔ̞ː t ə
tâza	t ɒː z a
tâzə	t ɒˑ z æ
tâğ	d oː ʁ
tâğ	t oː ʁ
tâğ	t ɑː ʁ
têmi	t eː m ɪ
tîemi	t iː e̯ m ɪ
tîemiki	t iː e̯ m ɪ k ɪ
tîiz	t iː i̯ z
tîiş	t iː i̯ ʃ
tînc	t iː n d ʒ
tîrsək	t iː ɾ s æ k
tîrsək	t iˑ ɾ s æ̞ k
tîz	t iː z
tîğ	t iː ʁ
tîş	t iː ʃ
tîş	t iˑ ʃ
tôla	t oː l a
tôla	t u̯ oː l a
tôlmaq	t oː l m a q
tôn	t oː n
tôn	t u̞ː n
tôq	t o̞ː q
tôq	t ɔ q
tôq	t ɔ χ
tôq	t ɔː q
tökmək	t e k m æ k
tökmək	t e̞ k m æ k
tökmək	t ø k m æ k
tökmək	t ø̜ k m æ k
tökmək	t ɛ k m æ k
tö̂rt	t eː e̯ ɾ t
tö̂rt	t eː ɾ t
tö̂rt	t y̯ ø̜ˑ ɾ t
tö̂rt	t øː ø̯ ɾ t
tö̂rt	t øː ɾ t
tö̂rt	t ø̜ː ɾ t
tö̂rtminci	t y̯ øː ɾ t m ɪ n d͡ʒ ɪ
tö̂ş	d øː ʃ
tö̂ş	d̥ øː ø̯ ʃ
tö̂ş	t øː y̯ ʃ
tö̂ş	t øː ø̯ ʃ
tö̂ş	t øː ʃ
tûola	t ʊ ɔ̯ l a
tûola	t ʊː o̯ l a
tûolmaq	t u̞ː o̯ l m a q
tûon	t uː o̯ n
tûon	t ʊː ɔ̯ n
tûorâq	t u o̯ ɾ ɑː q
tûorâq	t u o̯ ɾ ɒˑ q
tûorâq	t uː o̯ ɾ ɒ q
tûorâq	t u̞ o̯ ɾ aˑ q
tûorâq	t ʊ̞ ɾ a q
tûuz	t uː u̯ z
tûuz	t uː u̯ z̥
tûz	t uː z
tûz	t uˑ z
tütimək	t i t i̹ m æ k
tütîn	t i̹ t y n
tütîn	t ɪ t iː n
tüşmək	t i ʃ m æ k
tüşmək	t i̞ ʃ m æ k
tüşmək	t ɪ ʃ m æ k
tüşmək	t ɪ̹ ʃ m æ k
tüşmək	t ʏ ʃ m æ k
tü̂k	t iː k
tü̂k	t y ˕ k
tü̂k	t yː y̯ k
tü̂ört	t iː e̯ ɾ t
tü̂ört	t yː ø̯ ɾ t
tü̂örtminci	t yː ø̯ ɾ t m ɪ n d͡ʒ ɪ
tırnaq	t ɪ̈ ɾ n aː q
tırnaq	t ɪ̈ ɾ n aˑ q
tırnaq	t ɪ̝ ɾ n a q
təmir	t æ m ɪ ɾ
təmir	t æ̞ m ɪ ɾ
tənâb	t æ n aː f
tənâb	t æ̞ n ɑˑ b̥
tənâb	t æ̞ n ɑˑ f
təpə	t æ p æ
təpə	t æ̞ b̥ æ̞
tər	t æ ɾ
tər	t æ̞ ɾ
tər	t ɛ ɾ
təri	t æ ɾ ɪ
təri	t æ̞ ɾ i
təri	t æ̞ ɾ ɪ
təri	t ɛ ɾ ɪ
təvə	t æ v æ
təxtə	t a χ t æ
təzmək	t æ z m æ k
uca	u d͡ʒ a
uca	u d͡ʒ ɒː
uca	ʊ d d͡ʒ a
utmaq	ʊ t m a q
uzâq	ʊ z aː q
uzâq	ʊ z ɑː q
uzâq	ʊ z ɒː q
uçmaq	ʊ t͡ʃ m a q
vaqmaq	v a q m a q
vaqt	v a ʁ t
vaqt	v a χ t
varmaq	v a ɾ m a q
varmaq	β ɒ ɾ m a q
vurmaq	v ʊ ɾ m a q
vuruşmaq	v ʊ ɾ ʊ ʃ m a q
vâr	v aː a̯ ɾ
vâr	v ɑː ɑ̯ ɾ
vâr	v ɒ ɾ
vêrmək	v eː ɾ m æ k
vêrmək	v i̯ eː ɾ m æ k
vêrmək	v i̯ e̞ ɾ m æ k
vêrmək	v ɛ ɾ m æ k
vîermək	v iː e̯ ɾ m æ k
xabar	χ a b a ɾ
xabar	χ a v a ɾ
xabarlamaq	χ a b a ɾ l a m a q
xabarlaşmaq	χ a b a ɾ l a ʃ m a q
xarman	χ a ɾ m a n
xazâna	χ a z a n a
xazâna	χ a z ɒː n a
xirs	χ ɪ ɾ s
xiyâr	χ i j ɒ ɾ
xiyâr	χ i j ɒː ɾ
xiyâr	χ i̞ j ɒː ɾ
xişt	χ i ʃ t
xişt	χ ɪ ʃ t
xurôs	χ o ɾ oˑ s
xurôs	χ ʊ ɾ u̯ oː s
xurôs	χ ʊ ɾ ʊ̯ oː s
xurôs	χ ʊ ɾ ʊ̯ oˑ s
xurûos	χ ʊ ɾ ʊ o̯ s
xurûos	χ ʊ̞ ɾ ʊː o̯ s
xâla	χ a l a
xâla	χ a l ɑ
xâla	χ aˑ l a
xâla	χ ɑ l a
xâla	χ ɑ l ɑ
xâla	χ ɑ l ɒ
xâla	χ ɑː l a
xâla	χ ɑˑ l a
xâla	χ ɒ l a
xâla	χ ɔ̞ː l a
xâla	χ ɔ̞ː l ɑ
xâla	χ ɔ̞ː l ɒ
xâlə	χ a l ə
xâlə	χ ɑ l æ
xâlə	χ ɑː l æ
xâlə	χ ɒː l æ
xâlə	χ ɔˑ l æ
xâlə	χ ɔ̞ː l æ
xâlə	χ ɔ̞ː l ɛ
xâmatu	χ ɒː m a t u
xâmatu	χ ɒˑ m a t ʊ̞
xâmətu	χ ɒˑ m æ̞ t u
xâmətu	χ ɒˑ m æ̞ t ʊ
xəbər	χ æ̞ b æ ɾ
xərmən	χ æ ɾ m æ n
yalğamaq	j a l ʁ a m a q
yapışmaq	j a p ɪ ʃ m a q
yapışmaq	j a p ʊ ʃ m a q
yapışmaq	j aˑ p ʊ̜ ʃ m a q
yaqqa	j a q a
yaqqa	j a q q a
yastuq	j a s t ʊ q͡χ
yastuq	j aˑ s t ʊ q
yastuq	j ɒˑ s d̥ ʊ q
yatmaq	j a t m a q
yatmaq	j aː t m a q
yatmaq	j ɒ t m a q
yatmaq	j ɒː t m a q
yatğırmaq	j a t ʁ ɪ ɾ m a q
yatğırmaq	j aː t ʁ ɪ̈ ɾ m a q
yatğırmaq	j aː t ʁ ʊ ɾ m a q
