adaş	a d a ʃ
hadaq	h a d ɒˑ q
hadaq	h æ̞ d æ̞ χ
hadaq	h a d ɒː χ
hadaq	a d a χ
hadaq	h a d ɑː χ
hadaq	h ɒ d ɒ q
hadaq	h a d ɒ qʰ
hadaq	h a d ɒˑ q
hadırmaq	h a d ʊ ɾ m a q
harq	h ɒ ɾ q
harq	h a ɾ q
harqân	h a ɾ q ɒː n
harqân	h a ɾ q aː n
harqân	h a ɾ q a n
harra	h a r a
harra	h ɒ r ɒ
harra	h a r a
hat	h aˑ t
hat	h a t
hat	h aː t
hat	h ɒˑ t
hat	h ɒ t
hat	h ɒː t
hat	h æ̞ t
hat	h ɒ t
hat	h aˑ t
hat	h a t
hatmaq	h aˑ t m a q
hatmaq	h a t m a q
hatmaq	h aː t m a q
hatmaq	h ɒ t m a q
hatmaq	h æ̞ t m a q
hatmaq	h a t m a q
havul	h ɒ v u l
havul	h ɒ v ʊ l
havul	h aˑ v ʊ l
havul	h a v ʊ l
havuz	h a u̯ ʊ z
havâ	h a v ɑː
havâ	h ɒ v ɒː
havû	h æ̞ v u
havû	h æ̞ w uː
havû	h a v u
havû	h æ v uː
havû	h o̞ u̯ u̞
havû	h æ̞ v uː
hayâz	h a j ɑː z
haçılmaq	h a t͡ʃ ʊ l m a q
haçılmaq	h a t͡ʃ ʏ l m a q
haçılmaq	h a t͡ʃ ɪ̈ l m a q
haçılmaq	h a t͡ʃ ʊ l m a q
haçmaq	h a t͡ʃ m a q
haçuq	h a t͡ʃ ʊ q
haçuq	h a t͡ʃ ʊ q
haçuq	h a t͡ʃ ʊ̞ q
hağaç	h ɒ ʁ ɒ t͡ʃ
hağaç	h a ʁ a t͡ʃ
hağaç	h ɑ ʁ a t͡ʃ
hikmək	h ɪ k m æ k
hikmək	h i c m æ c
hikmək	h i k m æ̞ k
hikmək	h ɪ k m æ̞ k
hikmək	h ɪ k m æ k
hilmək	h ɪ l m æ k
hirkək	h ɪ ɾ k æ k
hirkək	h ʏ ɾ k æ k
hirkək	h iˑ ɾ k æ̞ k
hirkək	h i ɾ k æ k
hırâq	h i ɾ ɒː q
hırâq	i ɾ ɒː q
hırâq	h ɪ̈ ɾ ɑː q
hissig	h ɪ s s ɪ ɡ
hissig	h i s s i
hissig	h i s s i j
hissig	h i s s i ɟ
hissig	h ɪ s s iː
hığılmaq	h ɪ̈ ʁ ʊ l m a q
hığılmaq	h ɪ ʁ ʊ l m a q
hığılmaq	h ɪ ʁ ɪ l m a q
hığlamaq	h ɪ ʁ l a m a q
hığlamaq	h ɪ ʁ l a m a χ
hığlamaq	h ɪ ʁ l æ̞ m æ k
hığlamaq	h ɪ̈ ʁ l æ̞ m æ k
hığlamaq	h ɪ̈ ʁ l a m a q
hığlamaq	h ɪ̈ l l a m a q
hığmaq	h ɪ ʁ m a q
hişəmək	h ʏ ʃ æ m æ k
hişəmək	h ɪ ʃ æ m æ k
holımaq	h o l ɪ̈ m a q
holımaq	h o l ʊ m a q
holımaq	h ʊ̞ l ʊ̆ m a q
holınmaq	h o l ʏ n m a q
holınmaq	h o l ɪ̈ n m a q
holınmaq	h o l ʊ n m a q
hoqımaq	h o q ʊ m a q
hoqımaq	h o q ɪ m a q
hoqımaq	h o q ʊ m a q
hoqımaq	h o q ʊ̞ m a q
hottuz	h ɔ tː ʊ z
hottuz	h o tː ʊ z
hottuz	h ɔ tː ʊ z
hottuz	h ɔ t d̥ ʊ z
hottuz	h o̞ tː ʊ z
hottuz	h ɔ tː ʊ z̥
hottuzmıncı	h ɔ t t ʊ z m ɪ n d͡ʒ ɪ
hovz	h ɔ w z
hovz	h ɔ w z̥
hoğız	h o ʁ ʊ z
hoğrı	h ɔ ʁ ɾ ɪ̈
hulımaq	h ʊ l ʊ m a q
hunduvâna	h ʊ n d ʊ v ɒː n a
hunduvâna	h ʊ n d ʊ v aː n a
hunduvânə	h ʊ n d ʊ̆ v ɒ n æ
hurmaq	h ʊ ɾ m a q
hurmaq	h ʊ ɾ m a q
hâarı	h ɑː ɑ̯ ɾ ɪ̈
hâlın	h ɑː l ɪ n
hâlın	h ɒː l ʊ n
hâlın	h ɔˑ lː
hâlın	h ɒ lː
hâlın	h ɑː lː ʊ m
hâlın	h ɒː lː
hâlın	h ɑː lː
hâlın	h ɔ̞ː lː
hâlın	h ɑː n l ʊ m
hâlın	h ɑː n l ʊ j
hâlın	h ɑː n l ɪ̈
hâlın	h ɑː ɑ̯ n l ɪ̈
hâlın	h ɑː ɑ̯ n l
hâlın	h ɑˑ lː
hâlın	h ɑː ɑ̯ lː
hâlın	h ɔ̞ː l ʏ̜ n
hâlın	h ɔ̞ː l ɪ n
hâlın	h ɒː ɾ ʊ n
hâlın	h aː l n ɪ j aː
hâlın	h ɑː l
hâlın	h ɔ̞ː lː iˑ
hâlın	h aˑ l n ɪ
hâm	h ɑː m
hâm	h aː m
hâm	h ɑˑ m
hâm	h a m
hâm	h aˑ m
hâm	h aː a̯ m
hâm	h ɒː ɒ̯ m
hârt	h ɑː ɑ̯ ɾ t
hârt	h ɑː ɾ t
hây	h ɒː ɒ̯ j
hây	h ɑː ɑ̯ j
hây	h ɑː j
hâymaq	h a j m a q
hâymaq	h ɒˑ j m a q
hâymaq	h ɒ j m a q
hâymaq	h aː j m a q
hâz	h aː z
hâz	h aˑ z
hâçıq	h ɒː ɒ̯ t͡ʃ ʊ q χ
hâçıq	h ɒː ɒ̯ t͡ʃ ʊ χ
hâçıq	h ɒː ɒ̯ t͡ʃ ɪ q χ
hâçıq	h ɑː t͡ʃ ʊ q
hâçığ	h ɑː t͡ʃ ʊ ʁ
hâçığ	h ɑː t͡ʃ ɪ̈̈ ʁ
hâçığ	h ɑː t͡ʃ ɪ ʁ
hâçığ	h ɑː ɑ̯ t͡ʃ ʊ ʁ
hâğrımaq	h ɑː ʁ ɾ ʊ m a q
hâğrıtmaq	h ɑː ʁ ɾ ɪ̈ t m a q
hâğrıtmaq	h ɑː ʁ ɾ ʊ t m a q
hâğrıtmaq	h ɑː ʁ ɾ ɪ t m a q
hâğrığ	h ɑː ʁ ɾ ɪ̈ ʁ
hôt	h oː t
hôt	h oˑ t
hôt	h o t
hôt	h ʊ̞ t
hôt	h uː t
hôğraq	h oː ʁ ɾ a qʰ
hôğraq	h oː ʁ ɾ a q͡χ
hôğraq	h oː ʁ ɾ a χ
hölmək	h œ l m æ k
hölmək	h e̹ l m æ k
hölmək	h e l m æ k
höy	h œ ɥ
hö̂l	h i̯ eː l
hö̂l	h eː l
hö̂l	h øː ø̯ l
hûn	h uː n
hûot	h uː o̯ t
hûot	h u o̯ t
hûot	h uː o̯ t
hûot	h ʊː o̯ t
hûot	h uː o̯ t
hûot	h u o̯ t
hûot	h ʊː o̯ t
hûotun	h ʊː o̯ t ʊ n
hûotun	h uː o̯ t ʊ n
hûoçaq	h uː o̯ t͡ʃ ɒˑ q
hûoçaq	h ʊː o̯ t͡ʃ a q
hûoçaq	h u̞ o̯ t͡ʃ a q
hûoçaq	h uˑ o̯ t͡ʃ a q
hürün	h ʏ ɾ ʏ n
hürün	h ɪ ɾ ɪ n
hürün	h i ɾ i n
hürün	h y ɾ y n
hürün	h y ɾ ʏ n
hürün	h y̜ ɾ ʏ n
hürün	h ʏ̜ ɾ ʏ̜ n
hürün	h i̹ ɾ ʏ n
hürün	h i̹ ɾ ɪ n
hürün	h ɪ̹ ɾ ɪ̹ n
hürün	h i ɾ i n
hüzmək	h ɪ̹ z m æ k
hüzmək	h ɪ z m æ k
hüzüm	h ʏ z ʏ m
hüzüm	h ɪ z ʏ̜ m
hüzüm	h ɪ z ɪ m
hüzüm	h y ð y m
hüzüm	h ɪ̹ z ɪ̹ m
hüzüm	h ɪ̹ z ʏ m
hüzüm	h y̜ z ʏ m
hü̂mək	h yː m æ k
hü̂mək	h iː m æ k
hü̂nmək	h iː n m æ k
hü̂nmək	h iˑ n m æ k
hü̂nmək	h ʏ̜ˑ n m æ k
hü̂nmək	h ɪ n m æ k
hü̂nmək	h iˑ n m æ k
hü̂nmək	h i n m æ k
hü̂öl	h iː e̯ l
həlgək	h æ l j æ c
həlgək	h æ̞ j l æ̞ k
həlgək	h æ j l æ̞ k
həlgək	h æˑ j l æ k
həlgək	h æ j l æ k
həlgəmək	h æ j l æ m æ k
həmbâcanaq	h æ m b ɒ d͡ʒ a n a χ
həmbâcanaq	h æ m b ɔ̞ː d͡ʒ a n a χ
həmbâcanaq	h æ̞ m b ɔ̞ː d͡ʒ a n a χ
həmbâcanaq	h æ m b ɔ̞ː d͡ʒ a n ɑ χ
həmbâcanaq	h æ m b aː d͡ʒ a n a χ
həmbâcanaq	h æ̞ m b ɑː d͡ʒ a n ɑ χ
həmbâcanaq	h æ̞ m b ɑ d͡ʒ a n ɑ χ
həmbâcanaq	h æ m b ɔ̞ː d͡ʒ a n ɑ ʁ
həmbâcanaq	h æ m b ɔ̞ː d͡ʒ a n a ʁ
həmpâça	h æ m p ɒː t͡ʃ a
həmpâça	h æ m p ɔ̞ː t͡ʃ ɒ
həmpâça	h æ̞ m p ɔˑ t͡ʃ a
həmpâça	h æ m p ɔ̞ː t͡ʃ a
həmpâça	h æ m p ɔ̞ː t͡ʃ ɔ
həmpâçə	h æ̞ m p ɔˑ t͡ʃ æ
həmpâçə	h æ̞ m p ɔ̞ː t͡ʃ æ
həmpâçə	h æ m b ɔˑ d͡ʒ ɛ
həmpâçə	h æ m p ɔ̞ː t͡ʃ æ
hər	h æˑ ɾ
hər	h æ̞ˑ ɾ
hər	h æː ɾ
hər	h æ ɾ
hər	h æ̞ ɾ
hər	h æ̞ ɾ
hər	h æː ɾ
hər	h æ̞ˑ ɾ
hər	h æ̞ ɾ ɪ
hər	h æˑ ɾ
hər	h æ ɾ
hər	h æ ɾ ɪ
hər	h æ̞ ɾ i
hər	h æ̞ ɾ
hər	h æ ɾ ʏ m
hərrə	æ̞ r æ
hərrə	h a r æ
hərrə	h æ r æ
hərrə	æ r æ
həsmək	h æ s m æ k
həsâr	h æ̞ s ɒˑ ɾ
həsâr	h æ s ɒː ɾ
həsâr	h æ̞ s ɒː ɾ
hətək	h æ̞ t æ̞ k
hətək	h æ t æ k
həv	h æˑ v
həv	h æ v
həv	h æ̞ˑ v
həv	h æ̞ˑ v
həv	h æˑ v
həv	h æ v
həyvân	h æ j v ɑː n
həyvân	h ɛ j v ɒː n
həştâd	h æ̞ ʃ t ɒˑ d
hə̂m	h æ̞ː m
hə̂n	h æ j n
hə̂n	h æː n
hə̂nlığ	h æ̞ n l ɪ ɡ χ
hə̂nlığ	h æ̞ n l ɪ ʁ̥
hə̂nlığ	h æ j n l ʊ ʁ
hə̂nlığ	h æː n l ʊ χ
hə̂nsüz	h æ̞ n s ɪ z
idbâr	ɪ d b ɒˑ ɾ
idbâr	ɪ d b ɒː ɾ
ilgər	ɪ l ʝ̠ æ ɾ
ilgər	ɪ l ɡ æ ɾ
ilgər	i l j æ ɾ
ilgər	i l j æ̞ ɾ
ilgər	i̞ l ɡ æ ɾ
ilgər	ɪ l ɡ æ ɾ
ini	i̞ n i̞
ini	ɪ n i
ini	i̞ n i̞
ini	i̞ n iː
irdək	ɪ ɾ d æ k
irdək	ɪ ɾ d æ k
irgənmək	ɪ ɾ ɡ æ n m æ k
irgənmək	ɪ ɾ j æ n m æ k
irgənmək	ɪ ɾ ɡ æ n m æ k
irgətmək	ɪ ɾ ɡ æ t m æ k
irmək	ɪ ɾ m æ k
irmək	ɪ ɾ m æ k
ispurz	ɪ s b ʊ ɾ z
ispərz	ɪ s p æ ɾ z
ist	ɪ s t
ist	i̞ s t
iç	ɪ t͡ʃ
iç	ɪ t͡ʃ
içmək	ɪ t͡ʃ m æ k
içmək	ɪ t͡ʃ m æ k
ışımaq	ɪ̈ ʃ ɪ̈ m a q
ışıq	i̠ ʃ ɪ̠ q
ışıq	ɨ ʃ ɪ̈ q
ışıq	ɪ̈ ʃ ɪ̈ q
ışıq	ɪ̈ ʃ ɪ̈ χ
kaklık	q ɒˑ q ŭ k l ʊ q
kaklık	k aː k l ɪ k
kaklık	k a k l ʊ k
kamar	k a m a ɾ
kamar	k a m a ɾ
kara	k a ɾ a
kardu	q a ɾ d u
kardu	k a ɾ d ʊ
keçmək	k ɛ t͡ʃ m æ k
kim	k ɪ m
kim	k ɪ m
kindük	k ʏ n d ʏ k
kindük	k ɪ m d ɪ k
kindük	k ɪ n d ɪ k
kindük	k ɪ n d ɪ k ʏ m
kindük	k ʏ n d ʏ̜ k
kindük	k y n d y k
kindük	k ʏ̜ n d ɪ̹ k
kindük	k ɪ n d ɪ̹ k
kindük	k ɪ n d ɪ k
kindük	k ʏ̜ n d ɪ k
kindük	k i n d i kʰ
kindük	k ɪ n d i k
kindük	k y̞ n d ʏ k
kindük	k ɪ ɾ p ɾ ɪ k
kindük	k ɪ n d ɪ kʲ
kindük	kʲʰ ɪ m d ɪ k
kindük	k ɪ n d i̞ k
kindük	k ʏ m d ʏ k
kindük	k y̞ m d y̞ k
kindük	k i̞ n d ɪ k
kindük	k ɪ n d ɪ k ɪ
kirpik	k ɪ ɾ p ɪ k
kirpik	t iː ɾ p æ k
kirpik	k i ɾ p ɪ k
kirpik	k ɪ ɾ p ɪ k ɪ
kirpik	k ɪ ɾ p ɪ kʰ
kirpik	k ʏ p ɾ ʏ k
kirpik	k ɪ ɾ p i̞ k
kirpik	k i j ɪ ɾ p ɪ k
kirpik	k ɪ ɾ p ɾ ɪ k
kirpik	k ɪ ɾ p ɾ ɪ k ɪ
kirpik	k ɪ p ɾ ɪ k
kirpik	k ʏ ɾ p ʏ k
kirpik	k i p ɾ i k
kirpik	k i p ɾ i̞ k
kirpik	k ɪ ɾ p ʏ̜ k
kissi	k i sː ɪ
kissi	k ɪ sː ɪ
kitik	k i tʰ i kʰ
kitik	k i t ɪ k
kitik	k ɪː t ɪ k
kitik	k ɪ t ɪ k
kitâb	k ɪ t ɒː b
kişi	k ɪ ʃ i̞ˑ
kişi	k ɪ ʃ ɪ
kişi	k i ʃ ɪ
kişi	k ɪ ʃ ɪ m
kişi	k ɪ ʃ iː
kişi	k ɪ sː ɪ
kişi	k ɪ ʃ i̞
kişi	k ɪ ʃ ʏ
kişi	k ɪ ʃ iː
kişi	k i ʃ i
kişi	k ɪ ʃ i
kişi	k i̞ ʃ ɪ
kişi	k ʃ ɪ
kişi	k ɪ ʃ iˑ
kişi	k i ʃ i̹
kişi	k ɪ ʃ ʏ̜
kişi	k ɪ ʃ i̞
kişi	k ɪ ʃ i̞ l æ ɾ
kudı	q ʊ d u
kudı	k ʊ d ɪ
kula	q u l ɒ
kula	k ʊ l aː
kula	k ʊ l a
kula	k u̞ l aː
kull	k ʊ l l
kull	k ʊ l
kullı	k ʊ l l ʊ
kullı	k ʊ l l ɪ
kund	k ʊ n t
kund	k ʊ̞ n t
kund	k ʊ n
kurəkən	k u ɾ æ̞ k æ̞ n
kurəkən	k u ɾ æ k æ n
kus	k ʊ s
kus	k ʊˑ s
kus	k ʊ s a k
kus	k u̞ s
kutula	k ʊ t ʊ l a
kutula	k ʊ t ʊ ɾ a
kutula	k ʊ t ʊ ɾ
kutula	k ʊ t ʊ̆ ɾ a
kâkul	k ɑː k ʊ̞ l
kâkul	k ɑː k ʊ l
kâkul	k ɔ k ʊ l
kâkul	k aː k ʊ l
kâkul	k ɑ k ʊ l
kâkul	k a k ʊ l
kâkul	k ɑ k ʊ l
kâkul	k aː k ʊ l
kâkul	k ɑː k ʊ l
kâl	k ɒː l
kâl	k oː l
kâl	k ɑː l
kâl	k aː l
kâl	k oː l ɪ
kâl	q ɒː l
kâlək	q ɒˑ l æ̞ k
kâlək	k ɒː l æ k
kâm	k ɑː m
kâm	k ɔ̞ː m
kâm	k ɒː m
kâm	k ɑː m ʊ m
kâm	k aː m
kâm	q ɒː m
kâm	k ɑˑ m
kêm	k eː m
kêng	k eː ŋ ɡ
kêçə	k eː t͡ʃ æ
kîem	k iː e̯ m
kîeng	k iː e̯ ŋ ɡ
kîeng	k iː e̯ ŋ k
kîeçə	k iː e̯ t͡ʃ æ
kîeçə	k ɪː e̯ t͡ʃ æ
kîeçə	k iː e̯ t͡ʃ æ
kîm	k iː m
kîm	k i̞ː m
kîm	k iˑ m
kîm	k ɪ m
kîm	k ɪ m
kîr	k iː ɾ
kîç	k iː i̯ t͡ʃ
kôka	k u k a
kôka	k u̯ ɔ̞ː k æ̞
kôna	k oˑ n a
kônə	k o n æ
kôr	k u̯ oː ɾ
kök	k ø k
kök	k œ k
kömək	k œ m æ k
kömək	k e m æ k
köməkləşmək	k e m æ k l æ ʃ m æ k
könmək	k øˑ n m æ k
könmək	k ʏ̞ˑ n m æ k
körmək	k œ ɾ m æ k
körmək	k ɛ̹ ɾ m æ k
körmək	k ɛ ɾ m æ k
körmək	k e ɾ m æ k
körmək	k œ ɾ m æ k
körmək	k œ̜ ɾ m æ k
körmək	k ø ɾ m æ k
körmək	k e ɾ m æ k
körsətmək	k e ɾ s æ t m æ k
körsətmək	k ɛ̹ ɾ s æ t m æ k
körsətmək	k e ɾ s æ t m æ k
köt	k œ t
köt	k eˑ t
köt	k ø t
köt	k ø̞ t
köt	k e̞ t
köt	k ɪ t
köt	k ɛ t
köt	k e̞ˑ t
köt	k ø̞ t
köt	k e t
köt	k e̞ː t
köt	k ɛː t
köt	k y̯ e̞͗ː t
köt	k ø̞ˑ t
köt	k œ̜ t
kötürmək	k ɛ̹ t ʏ ɾ m æ k
kötürmək	k e̹ t ʏ ɾ m æ k
kötürmək	k ɛ̹ t ɪ ɾ m æ k
kötürmək	k e̞ t ɪ ɾ m æ k
kötürmək	k e̹ t ɪ ɾ m æ k
köyüs	k ɛ j i̞ s
köyüs	k e̞ j ɪ s
köyüs	k ɛː i̯ s
köyüs	k ɛ j s
köyüs	k eˑ j s
köyüs	k ɛˑ i̯ s
köyüs	k ɛ j s ʏ m
köyüs	k eː j s
köyüs	k ɛ i̯ iː s
köyüs	k e̞ i̯ s
köyüs	k e̞ː j s
köyüs	k e̞ j s
köyüs	k e̞ː i̯ s
köyüs	k œ j s
köyüs	k i̯ ɛ i̯ s
köyüs	k œ i̯ y̞ s
köyüs	k e̞ː e̯ i̯ s
köyüs	k e̞ j s ɪ m
köyüs	k e̞ i̯ s ɪ m
köyüs	k ɛ j s ɪ m
köyüs	kʲ ɛˑ i̯ s
köyüs	kʲ ɛ i̯ s
köyüs	k e̞ˑ j s
köyüs	k e̞ː j ɪ ʃ
köyüs	k ɛ i̯ s
köyüs	k ɛ j s ɪ
köz	k œˑ z
köz	kʰ e̞͗ˑ z
köz	k e̞ˑ z
köz	k e̞ː z
köz	k œ z
köz	k œ̜ z
köz	kʰ e̞ˑ z
köz	k ɛː z
köz	k e̞͗ː z
köz	k e̞ z̥
köz	k œ̜ z
köz	k œ z̥
köz	k ɛ z
köz	k ʏ̞ z
köz	k ø̞ː z
köz	k ɛˑ z̥
köz	k ɪ̞ z
köz	k i̯ e̞ z
köz	k i̯ e̞ː z
köz	k eː z
köz	k eː e̯ z
köz	k e̞ z ʏ̜ m
köz	k eˑ z
köz	k e z
köz	k ɪ z
köz	k ø̞ˑ z
köz	k ø̞ z
köz	k e̞ z
kö̂k	k øː k
kö̂k	k ø̹ː k
kö̂k	k øː ø̯ k
kö̂k	k øː k
kö̂kərçik	k øː ø̯ k æ̞ ɾ t͡ʃ i k
kûona	k u̞ o̯ n a
kûor	k uː o̯ ɾ
kûor	k u o̯ ɾ
kûra	k uː ɾ a
kûrə	k uˑ ɾ æ
kûrə	k uː ɾ æ
küdən	k y̜ d æ n
küdən	k ɪ̞ d æ̞ n
küdən	k ɪ d æ n
küdən	k i d æ n
küdən	k y̞ d æ n
küdən	k i̞ d æ n
küdən	k y d æ̞ n
küdən	k y d æ n
küdən	k y̜ d æ̞ n æ̞ ɾ
küdən	k i̞ d æ̞ n
küdən	k iˑ d æ n
küdən	k i d æ̞ n
küdən	k i d æ n æ ɾ
küdən	k i d æ n ɪ
küdən	kʲ i d æ̞ n
küdən	k i̞ d æ n æ ɾ
küdəyi	k y d æ̞ j ɪ
küdəyi	k ɪ d æ̞ j ɪ
küdəyi	k i d æ̞ j i
küdəyi	k i d æ̞ j i̞
küdəyi	k i d æ ʔ i
küdəyi	k i d æ i̯ i
küdəyi	k i d æ̞ j ɪ
küdəyi	k y̜ d æ̞ j i̞
küdəyi	k i d æ j i
küdəyi	k y̞ d æ̞ j ɪ
küdəyi	k i d æ i̯ ɪ
küdəyi	k i d æ j
küdəyi	k i d æ̞ˑ j i
küdəyi	k i̞ d æ̞ j i
küdəyi	k i d ɛ j ɪ
küdəyi	k i d ɛ i̯ i
küdəyi	k i d æ iː
küdəyi	k i d æ j i̞
küdəyi	k y d æ̞ j i̞
kül	k ʏ l
kül	k ʏ̹ l
kül	k ɪ l
kül	k y l
kül	k i̞ˑ l
kül	k ɪ l
külmək	k y l m æ k
külmək	k y ˕ l m æ k
külmək	k ʏ l m æ k
külmək	k i̞͗ l m æ k
külmək	k i l m æ k
külmək	k i̞ l m æ k
külmək	k ɪ l m æ k
külmək	k i l m æ k
külmək	k ɪ l m æ k
küm	k ʏ m
küm	k ʏ m
kün	k yˑ n
kün	k ʏ n
kün	k iˑ n
kün	k ɪ n
kün	kʰ ɪ n
kün	k i n
kün	k y n
kün	k ʏ n
kün	k ɪ̹ n
kün	k ɪ n
künbatar	k y n b ɒ t æ̞ ɾ
künbatar	k ʏ n b a t a ɾ
künd	k y n t
kündüz	k ʏ n d ʏ z
kündüz	k y n d y z
kündüz	k ʏ n d ʏ z
kündüz	k ɪ̹ n d ʏ z
kündüz	k ɪ n d ɪ z
küni	k y̞ n ʏ
küni	k i̞ n ɪ
küni	k i n i̞
küni	k y̜ n ɪ
küni	k y n ɪ
küni	k i n ɪ
küni	k i n iː
küni	k y n ʏ
küni	k y̜ n ʏ
küni	k i̞ n ʏ
küni	k i̞ n i̞
küni	k ɪ n ɪ
küni	k ɪ n i̞
küni	k i̞ n i
küni	k i n iˑ
küni	k y n i
küni	k i n ɪ ɾ ɪ
künçalar	k y n t͡ʃ ɒ l æ̞ ɾ
künçalar	k ʏ n t͡ʃ a l a ɾ
künçalar	k ɪ n t͡ʃ a l a ɾ
künəş	k ʏˑ n æ ʃ
künəş	k ʏ n æ ʃ
künəş	k iˑ n æ ʃ
künəş	k i n æ ʃ
kürgək	k i ɾ j æ k
kürgək	k y ɾ ɟ æ̞ k
kürgək	k y ɾ j æ̞ k
kürgək	k ʏ̜ ɾ ɡ æ k
kürgək	k ɪ ɾ ɡ æ k
küönmək	k i e̯ n m æ k
küönmək	k y ø̯ n m æ k
küönmək	k i e̯ n m æ k
kü̂ç	k yː t͡ʃ
kü̂ç	k iː i̯ t͡ʃ
kü̂ök	k iː e̯ k
kü̂ök	k iː e̯ k
kü̂ök	k yː ø̯ k
kü̂ök	k ʏ̞ː œ̯ k
kü̂ök	k yː ø̯ k
kü̂ök	k y̜ː ø̯ k
kü̂ök	k iː e̯ k
kü̂ök	k i e̯ k
kü̂ös	k iː e̯ s
kü̂ös	k iː s
kəf	k æ f
kəf	k æ̞ f
kəf	k æ f
kəftər	k æ̞ f t æ̞ ɾ
kəlin	k æ l ɪ n
kəlin	k æ̞ l ɪ n
kəlin	k æ̞ lː ɪ
kəlin	k æ l ʏ n
kəlin	k æ l i̞ n
kəlin	k æ̞ l i̞ n
kəlin	k æ̞ l iː n
kəlin	k æ l iː n
kəlin	k æ l i̹ː n
kəlin	k æ̞ l ʏ n
kəlin	k æ l iˑ n
kəlin	k æ̞ l i n
kəlin	k æ̞ˑ l ɪ n
kəlin	k æ l ɪ̹ n
kəlin	k æ l ʏ̜ n
kəlin	k æ l i n
kəlin	kʰ æ̞ l iː n
kəlin	k æ n d ɪ
kəlmək	k æ l m æ k
kəlmək	k æ̞ l m æ k
kəlmək	k æ l m æ k
kəlütmək	k æ l ʏ t m æ k
kəlütmək	k æ l ɪ̹ t m æ k
kəlütmək	k æ l ɪ t m æ k
kəm	k æ̞ m
kəm	k æ m
kəmər	k æ m æ ɾ
kəmər	k æ m æ ɾ
kəmərbənd	k æ̞ m æ̞ ɾ b æ̞ n d
kəmərbənd	k æ m æ ɾ b æ n d
kərə	k æ ɾ æ
kəsmək	k æ̞ s m æ k
kəsmək	k æ s m æ k
kəsük	k æ s ʏ k
kəsük	k æ̞ s i k
kəsük	k æ s ʏ k
kəsük	k æ s ɪ̹ k
kəsər	k æ s æ ɾ
kəçmək	k æ t͡ʃ m æ k
kəçə	k æ t͡ʃ æ
kəşti	k æ ʃ t ɪ
lamaşt	l a m a ʃ
lofç	l ɔ ʊ̯ ʃ
lofç	l ɔ ʊ̯ ʒ
lofç	l ɔ ʊ̯ t͡ʃ
lov	l ɔ u̯
lâla	l ɑː l ɑ
lâla	l ɔ̞ː l ɑ
lâla	l ɒː l a
lâla	l ɒː l ɑ
lâla	l ɔ̞ː l a
lâla	l ɑː l a
lâla	l ɒː l æ̞
lâla	l o̞ː l ɑ
lâla	l ɔ̞ː l ɒ
lâla	l aː l ɑ
lâla	l aː l a
lâla	l ɒː l æ
lâla	l ɔ̞ː l ɜ
lâla	l aˑ l a
lâla	l a l a
lâla	l ɔ̞ː l ɔ
lâğər	l ɒˑ ʁ æ ɾ
lûlə	l uˑ l æ
lûlə	l u l æ
ləb	l æ β
ləb	l æ̞ b̥
ləb	l æ̞ b
ləb	l æ b̥
ləb	l æ f
ləb	l æ p
ləfç	l æ f ʃ
ləfç	l æ̞ b̥
ləfç	l æ̞ v̥ ʃ
ləfç	l æ f ʃ iː
ləfç	l æ̞ f ʃ
ləfç	l æ f ʃ i̞
ləməşt	l æ m æ ʃ t
marmaq	m a ɾ m a q
mağas	m a ʁ a s
ming	m i ŋ k
ming	m i n
ming	m ɪ ŋ ɡ
mis	m ɪ s
muja	m ʊ ʒ a
muja	m ʊ zː a
muja	m ʊ d͡ʒ ɑ
muja	m ʊ d͡ʒ a
muja	m ʊ d͡ʒ a s ɪ
muja	m ʊ d͡ʒː ɑ
muja	m ʊ ʒ a l a ɾ ɪ
muja	m ʊ d͡ʒ a s i
muja	m ʊ d͡ʒː a
muja	m ʊ d͡ʒː ɒ
muja	m ʊ t͡ʃː a
muja	m ʊ ʒ ɔ
mujə	m ʊ ʒ æ
mujə	m i̞ d͡ʒ æ̞ s ɪ
mujə	m ʊ d͡ʒ æ
mujə	m ʊ d͡ʒ æ̞
mujə	m ɪ ʒ æ̞ s ɪ
mujə	m ø d͡ʒ æ
mujə	m ʊ d͡ʒː æ
mujə	m ʊ ʒ æ̞
mujə	m ʊ ʒ æ̞ s ɪ
mujə	m æ̞ d͡ʒː i̞
mujə	m ɔ ʒ æ
mujə	m ɪ d͡ʒː æ
murç	m ʊ ɾ t͡ʃ
murç	m u ɾ t͡ʃ
muç	m ʊ t͡ʃ
muç	m u̞ t͡ʃ
muç	m uː t͡ʃ
muç	m u t͡ʃ
muç	m ʊ̞ t͡ʃ
muç	m o t͡ʃ
muç	m ʊ t͡ʃ ʊ m
mâla	m aˑ l a
mâlə	m ɒː l æ
məccə	m æ d͡ʒː ɪ
məccə	m a d͡ʒː ɪ
məgəs	m æ̞ ɡ æ̞ s
mən	m æ n
məttə	m æ t t æ
mə̂mək	m æ̞ː m æ k
mə̂mək	m æː m æ k
mə̂mək	m æˑ m æ k
mə̂mək	m æ̞ˑ m æ k
mə̂mək	m æ̞ m æ̞ k
mə̂mək	m æ̞ː m æ c
narm	n a ɾ m
nazzâ	n a z z ɑː
nâf	n aː f
nâf	n ɒː f
nâf	n ɑː f
nâf	n ɔ̞ː f
nâzuk	n ɒˑ z ʊ q
nâzuk	n ɒː z ʊ k
nâzuk	n ɒˑ z ʊ k
