aa	ɑː
jäävve	ʝ æː vʲː ə̟
jäävve	ʝ æː vʲː
jürisse	ʝ y rʲ i sʲː ə̟
jürkkü	ʝ y r kʲː y
jürü	ʝ y rʲ y
jüvä	ʝ y vʲ æ
kaa	k ɑː
kaakko	k ɑː kː o
kaakõtta	k ɑː k ɤ̟ tː ɑ
kaalia	k ɑː l i ɑ̯
kaappi	k ɑː pʲː i
kaari	k ɑː rʲ i
kaarta	k ɑː r t ɑ
kaasi	k ɑː sʲ i
kaasi	k ɑː s i
kaaskõ	k ɑː s k ə̠
kaaz	k ɑː z̥
kaazikkõ	k ɑː zʲ i kː ə̠
kaatsõd	k ɑː t͡s ɤ̟ d̥
kaattõri	k ɑː tː ɤ rʲ i
kabjõ	k ɑ b ʝ ə̠
kablad	k ɑ b ɫ ɑ d̥
Kabrio	k ɑ b rʲ i o̯
kačči	k ɑ t͡ʃː i
kadgõtõ	k ɑ d ɡ ɤ̟ t ə̠
kadgõtõ	k ɑ d ɡ ɤ t ə̠
kadikkõ	k ɑ dʲ i kː ə̠
kadikõz	k ɑ dʲ i k ɤ̟ z̥
kagluz	k ɑ ɡ ɫ u z̥
kaglõ	k ɑ ɡ ɫ ə̠
kaglõrätte	k ɑ ɡ ɫ ə̠ rʲ æ tʲː e
kagrõ	k ɑ ɡ r ə̠
kahči	k ɑ h t͡ʃ i
kahčümmed	k ɑ h t͡ʃ y mʲː e d̥
kahs	k ɑ h z̥
kahs	k ɑ h sʲ
kahs	k ɑ h s
kahsi	k ɑ h sʲ i
kahsteiššümed	k ɑ h s tʲ e i̯ ʃː y mʲ e d̥
kahstõiššümed	k ɑ h s t ɤ i̯ ʃː y mʲ e d̥
kahzikko	k ɑ h zʲ i kː o
kahu	k ɑ h u
kahutta	k ɑ h u tː ɑ
kahõsa	k ɑ h ɤ s ɑ
kahõsa	k ɑ h ɤ s ɑ
kahõsateiššümed	k ɑ h ɤ s ɑ tʲ e i̯ ʃː y mʲ e d̥
kahõsatõiššümed	k ɑ h ɤ s ɑ t ɤ i̯ ʃː y mʲ e d̥
kaiho	k ɑ i̯ h o
kaihossõ	k ɑ i̯ h o sː ə̠
kaimõ	k ɑ i̯ m ə̠
kainõlo	k ɑ i̯ n ɤ̟ ɫ o
kaiva	k ɑ i̯ v ɑ
kaivo	k ɑ i̯ v o
kaivoa	k ɑ i̯ v o ɑ̯
kaivoa	k ɑ i̯ v o ɑ̯
kaivõtõ	k ɑ i̯ v ɤ̟ t ə̠
kajagõ	k ɑ ʝ ɑ ɡ ə̠
kajutti	k ɑ ʝ u tʲː i
kakko	k ɑ kː o
kakku	k ɑ kː u
kakku	k ɑ kː u
kala	k ɑ ɫ ɑ
kala	k ɑ ɫ ɑ
kalameez	k ɑ ɫ ɑ mʲ eː z̥
kalanikkõ	k ɑ ɫ ɑ nʲ i kː ə̠
kalʹaskõ	k ɑ ʎ ɑ s k ə̠
kalbõssi	k ɑ ɫ b ɤ̟ sʲː i
kalliz	k ɑ lː i z̥
kalʹlʹo	k ɑ ʎː o
kalʹlʹua	k ɑ ʎː u ɑ̯
kalʹlʹua	k ɑ ʎː u ɑ̯
kallõz	k ɑ ɫː ɤ̟ z̥
kalmo	k ɑ ɫ m o
kalmõ	k ɑ ɫ m ə̠
kamalikkõ	k ɑ m ɑ l i kː ə̠
kammittsõ	k ɑ mʲː i t͡sː ə̠
kampõlõ	k ɑ m p ɤ̟ ɫ ə̠
kamunistõ	k ɑ m u nʲ i s t ə̠
kana	k ɑ n ɑ
kana	k ɑ n ɑ
kanamuna	k ɑ n ɑ m u n ɑ
kanavõ	k ɑ n ɑ v ə̠
kanavõ	k ɑ n ɑ v ɑ
kane	k ɑ nʲ e
kaned	k ɑ nʲ e d̥
kanfetti	k ɑ n fʲ e tʲː i
kangõz	k ɑ ŋ ɡ ɤ̟ z̥
kangõzpuud	k ɑ ŋ ɡ ɤ̟ s p uː d̥
kanʹivo	k ɑ ɲ i v o
kankia	k ɑ ŋ kʲ i ɑ̯
kanni	k ɑ nʲː i
kanni	k ɑ nʲː i
kannuz	k ɑ nː u z̥
kannõ	k ɑ nː ɤ
kannõl	k ɑ nː ɤ ɫ
kannõtta	k ɑ nː ɤ̟ tː ɑ
kansi	k ɑ n sʲ i
kansõ	k ɑ n s ə̠
kanta	k ɑ n t ɑ
kanto	k ɑ n t o
kantõ	k ɑ n t ə̠
kanõrvo	k ɑ n ɤ r v o
kapalod	k ɑ p ɑ ɫ o d̥
kappõ	k ɑ pː ə̠
kapussõ	k ɑ p u sː ə̠
kapussõ	k ɑ p u sː
karassa	k ɑ r ɑ sː ɑ
kargõtõ	k ɑ r ɡ ɤ̟ t ə̠
karissõ	k ɑ rʲ i sː ə̠
karittsõ	k ɑ rʲ i t͡sː ə̠
karjušši	k ɑ r ʝ u ʃː i
karjõ	k ɑ r ʝ ə̠
karjõ	k ɑ r ʝ ə̠̆
karjõlain	k ɑ r ʝ ɤ̟ ɫ ɑ i̯ n
karjõmaa	k ɑ r ʝ ə̠ m ɑː
karka	k ɑ r k ɑ
karkutta	k ɑ r k u tː ɑ
karkõa	k ɑ r k ɤ ɑ̯
karmia	k ɑ r mʲ i ɑ̯
karsia	k ɑ r sʲ i ɑ̯
karsinõ	k ɑ r sʲ i n ə̠
kartočkõ	k ɑ r t o t͡ʃ k ə̠
kartta	k ɑ r tː ɑ
kartta	k ɑ r tː ɑ
karttõ	k ɑ r tː ə̠
kartõ	k ɑ r t ə̠
karu	k ɑ r u
karu	k ɑ r u
karvõ	k ɑ r v ə̠
karvõ	k ɑ r v
karvõn	k ɑ r v ɤ̟ n
kase	k ɑ sʲ e
kase	k ɑ s e
kassa	k ɑ sː ɑ
kasse	k ɑ sʲː e
kassen	k ɑ sʲː e n
kassen	k ɑ sː e n
kassua	k ɑ sː u ɑ̯
kassõ	k ɑ sː ə̠
kasõ	k ɑ s ɤ
kazittõ	k ɑ zʲ i tː ə̠
kazva	k ɑ z v ɑ
kazvo	k ɑ z v o
kazvotta	k ɑ z v o tː ɑ
kazvotta	k ɑ z v o tː ɑ
kazvõtta	k ɑ z v ɤ̟ tː ɑ
katagõ	k ɑ t ɑ ɡ ə̠
katajõ	k ɑ t ɑ ʝ ə̠
katkoa	k ɑ t k o ɑ̯
katta	k ɑ tː ɑ
katti	k ɑ tʲː i
Kattila	k ɑ tʲː i ɫ ə̠
Kattila	k ɑ tː i ɫ ɑ
kattilõ	k ɑ tʲː i ɫ ə̠
katto	k ɑ tː o
kattsoa	k ɑ t͡sː o ɑ̯
kattsoa	k ɑ t͡sː o ɑ̯
katõ	k ɑ t ɤ
katõsõpa	k ɑ t ɤ s ɤ p ɑ
kauga	k ɑ u̯ ɡ ɑ
kaugõz	k ɑ u̯ ɡ ɤ̟ z̥
kauhtõnõ	k ɑ u̯ h t ɤ̟ n ə̠
kaukall	k ɑ u̯ k ɑ lː ə̠
kaukall	k ɑ u̯ k ɑ lː
kaukallõ	k ɑ u̯ k ɑ ɫː ɤ
kaukalt	k ɑ u̯ k ɑ ɫ t ə̠
kaukalt	k ɑ u̯ k ɑ ɫ t
kaukolo	k ɑ u̯ k o ɫ o
kaukõn	k ɑ u̯ k ɤ̟ n
kauniz	k ɑ u̯ nʲ i z̥
kauniz	k ɑ u̯ nʲ i z̥
kauppõ	k ɑ u̯ pː ə̠
kaussõ	k ɑ u̯ sː ə̠
kauttõ	k ɑ u̯ tː ə̠
kavalõ	k ɑ v ɑ ɫ ə̠
kavi	k ɑ vʲ i
kaõ	k ɑ ɤ̯
kehatõ	kʲ e h ɑ t ə̠
kehatõ	k e h ɑ t
kehno	kʲ e h n o
keittä	kʲ e i̯ tʲː æ
kelkkõ	kʲ e ɫ kː ə̠
kena	kʲ e n ɑ
keppi	kʲ e pʲː i
kerittsä	kʲ e rʲ i t͡sː æ
kerittsä	k e rʲ i t͡sː æ
kerkisse	kʲ e r kʲ i sʲː ə̟
kerkisse	k e r kʲ i sʲː
kerkiä	kʲ e r kʲ i æ̯
kerkiäin	kʲ e r kʲ i æ̯ i̯ n
Kerstova	kʲ e r s t o v ə̠
kerttä	kʲ e r tʲː æ
kerttäüsse	kʲ e r tʲː æ y̯ sʲː ə̟
keräje	kʲ e rʲ æ ʝ ə̟
keräte	kʲ e rʲ æ tʲ ə̟
keskolin	kʲ e s k o l i n
kestä	kʲ e s tʲ æ
kiikkua	kʲ iː kː u ɑ̯
kiikutta	kʲ iː k u tː ɑ
kiili	kʲ iː l i
kiisseli	kʲ iː sʲː e l i
kiisseli	kʲ iː s sʲ e l i
killisse	kʲ i lː i sʲː ə̟
kilogrammõ	kʲ i ɫ o ɡ r ɑ mː ə̠
kilogrammõ	kʲ i ɫ o ɡ r ɑ mː ə̠
kilometri	kʲ i ɫ o mʲ e t rʲ i
kilometrõ	kʲ i ɫ o mʲ e t r ə̠
kilometrõ	kʲ i ɫ o mʲ e t r ə̠
kimmiä	kʲ i mʲː i æ̯
kipunõ	kʲ i p u n ə̠
kirpittsõ	kʲ i r pʲ i t͡sː ə̠
kirpittsõ	kʲ i r pʲ i t͡sː ə̠
kirstu	kʲ i r s t u
kittsi	kʲ i t͡sː i
kittsi	kʲ i t͡sː i
kiuru	kʲ i u̯ r u
klaassõ	k ɫ ɑː sː ə̠
klaassõ	k ɫ ɑː sː
klazi	k ɫ ɑ zʲ i
Kliimettina	k l iː m e t tʲ i n ɑ
kläkisse	k l æ kʲ i sʲː ə̟
ko	k o
kobri	k o b rʲ i
kobrõ	k o b r ə̠
koffi	k o fʲː i
koftõ	k o f t ə̠
kohinõ	k o hʲ i n ə̠
kohissõ	k o hʲ i sː ə̠
kohotta	k o h o tː ɑ
kohotõ	k o h o t ə̠
koi	k o i̯
koikkõ	k o i̯ kː ə̠
koinia	k o i̯ nʲ i ɑ̯
koinõtõ	k o i̯ n ɤ̟ t ə̠
koipõ	k o i̯ p ə̠
koirõ	k o i̯ r ə̠
koirõ	k o i̯ r
koizutta	k o i̯ z u tː ɑ
koivu	k o i̯ v u
koivuin	k o i̯ v u i̯ n
koivuzikko	k o i̯ v u zʲ i kː o
kojjossõ	k o ʝː o sː ə̠
kokkõ	k o kː ə̠
koko	k o k o
koko	k o k o
kokutta	k o k u tː ɑ
kolissõ	k o l i sː ə̠
kolkki	k o ɫ kʲː i
kolkkõ	k o ɫ kː ə̠
kolo	k o ɫ o
komissõ	k o mʲ i sː ə̠
komnõtti	k o m n ɤ̟ tʲː i
kompõssua	k o m p ɤ̟ sː u ɑ̯
konnõ	k o nː ə̠
konʹo	k o ɲ o
konsti	k o n s tʲ i
kookkõ	k oː kː ə̠
koollu	k oː ɫː u
koollõ	k oː ɫː ə̠
koollõ	k oː ɫː
koolõmõ	k oː ɫ ɤ m ə̠
koolõtta	k oː ɫ ɤ tː ɑ
koolõtta	k oː ɫ ɤ tː ɑ
koono	k oː n o
koono	k oː n o
kooppõ	k oː pː ə̠
koori	k oː rʲ i
kooria	k oː rʲ i ɑ̯
koormõ	k oː r m ə̠
koorõ	k oː r ɤ
koozõri	k oː z ɤ rʲ i
kopekkõ	k o pʲ e kː ə̠
kopitta	k o pʲ i tː ɑ
koppiussõ	k o pʲː i u̯ sː ə̠
kora	k o r ɑ
korentõ	k o rʲ e n t ə̠
korissõ	k o rʲ i sː ə̠
korjõtõ	k o r ʝ ɤ̟ t ə̠
kormunõ	k o r m u n ə̠
korppu	k o r pː u
korria	k o rʲː i ɑ̯
korrõa	k o rː ɤ ɑ̯
kossa	k o sː ɑ
kossia	k o sʲː i ɑ̯
kozʹzʹoa	k o ʑː o ɑ̯
kozʹzʹoa	k o ʑː o ɑ̯
kotikko	k o tʲ i kː o
kotko	k o t k o
koto	k o t o
koto	k o t o
koton	k o t o n
kototüü	k o t o tʲ yː
kototüü	k o t o tʲ yː
kotti	k o tʲː i
koukku	k o u̯ kː u
koverõ	k o vʲ e r ə̠
kraappia	k r ɑː pʲː i ɑ̯
kraaskõ	k r ɑː s k ə̠
kraazgõtõ	k r ɑː z ɡ ɤ̟ t ə̠
kramppi	k r ɑ m pʲː i
krappussõ	k r ɑ pː u sː ə̠
krapu	k r ɑ p u
krapu	k r ɑ p u
kripisse	k rʲ i pʲ i sʲː ə̟
Krissuz	k rʲ i sː u z̥
kritisse	k rʲ i tʲ i sʲː ə̟
krookõtõ	k r oː k ɤ̟ t ə̠
krottõ	k r o tː ə̠
kruga	k r u ɡ ɑ
krutissõ	k r u tʲ i sː ə̠
ku	k u
ku	k u
kuha	k u h ɑ
kuhan	k u h ɑ n
kuhhõ	k u hː ɤ
kuhjõ	k u h ʝ ə̠
kuhni	k u h nʲ i
kuhõ	k u h ɤ
kuhõ	k u h ɤ
kui	k u i̯
kui	k u i̯
kuilõz	k u i̯ ɫ ɤ̟ z̥
kuini	k u i̯ nʲ i
kuito	k u i̯ t o
kuiva	k u i̯ v ɑ
kuivõ	k u i̯ v ə̠
kuivõssõ	k u i̯ v ɤ̟ sː ə̠
kuivõtta	k u i̯ v ɤ̟ tː ɑ
kuja	k u ʝ ɑ
kukittsa	k u kʲ i t͡sː ɑ
kukko	k u kː o
kukko	k u kː o
kukkua	k u kː u ɑ̯
kukkulõ	k u kː u ɫ ə̠
Kukkuzi	k u kː u zʲ i
kukkõ	k u kː ə̠
kukkõ	k u kː
kukkõ	k u kː ɤ
kukšinõ	k u k ʃ i n ə̠
kukuruza	k u k u r u z ɑ
kukuruza	k u k u r u z ɑ
kukutta	k u k u tː ɑ
kulkõa	k u ɫ k ɤ ɑ̯
kulli	k u lː i
kullua	k u ɫː u ɑ̯
kulmõ	k u ɫ m ə̠
kulo	k u ɫ o
kultain	k u ɫ t ɑ i̯ n
kultõ	k u ɫ t ə̠
kultõin	k u ɫ t ɤ i̯ n
kumatõ	k u m ɑ t ə̠
kumatõ	k u m ɑ t
kummitõllõ	k u mʲː i t ɤ ɫː ə̠
kummõ	k u mː ə̠
kummõrtassõ	k u mː ɤ̟ r t ɑ sː ə̠
kumpõ	k u m p ə̠
kumpõ	k u m p
kunikõz	k u nʲ i k ɤ̟ z̥
kuniz	k u nʲ i z̥
kunnia	k u nʲː i ɑ̯
kupo	k u p o
kuppi	k u pʲː i
kura	k u r ɑ
kuraz	k u r ɑ z̥
kurči	k u r t͡ʃ i
kurikkõ	k u rʲ i kː ə̠
kurissa	k u rʲ i sː ɑ
kurjõ	k u r ʝ ə̠
kurki	k u r kʲ i
kurkku	k u r kː u
kurnõtõ	k u r n ɤ̟ t ə̠
kurra	k u rː ɑ
kurrossõ	k u rː o sː ə̠
kursi	k u r sʲ i
kurtta	k u r tː ɑ
kurõa	k u rː ɤ ɑ̯
kusi	k u sʲ i
kusirakko	k u sʲ i r ɑ kː o
kuss	k u sː ə̠
kuss	k u sː
kuss	k u sː
kussua	k u sː u ɑ̯
kussõ	k u sː ə̠
kussõ	k u sː
kusutta	k u s u tː ɑ
kuza	k u z ɑ
kuza	k u z ɑ
kuzale	k u z ɑ l e
kuzanibutʹ	k u z ɑ nʲ i b u c
kuzza	k u zː ɑ
kuttissõ	k u tʲː i sː ə̠
kuttoa	k u tː o ɑ̯
kuttsua	k u t͡sː u ɑ̯
kuttsua	k u t͡sː u ɑ̯
kutu	k u t u
kuu	k uː
kuullõ	k uː ɫː ə̠
kuullõ	k uː ɫː
kuullõ	k uː lː e
kuulua	k uː ɫ u ɑ̯
kuuluvõ	k uː ɫ u v ə̠
kuumõ	k uː m ə̠
kuunõllõ	k uː n ɤ ɫː ə̠
kuunõllõ	k uː n ɤ ɫː
kuus	k uː z̥
kuus	k uː sʲ
kuus	k uː z̥
kuusi	k uː sʲ i
kuusin	k uː sʲ i n
kuusteiššümed	k uː s tʲ e i̯ ʃː y mʲ e d̥
kuustõiššümed	k uː s t ɤ i̯ ʃː y mʲ e d̥
kuuzikko	k uː zʲ i kː o
kuva	k u v ɑ
kuõ	k u ɤ̯
kõhtõ	k ɤ h t ə̠
kõhtõ	k ɤ h t
kõhuz	k ɤ h u z̥
kõig	k ɤ i̯ ɡ̊
kõig	k ɤ i̯ ɡ̊
kõik	k ɤ i̯ k
kõiki	k ɤ i̯ kʲ i
kõiki	k ɤ i̯ kʲ i
kõikka	k ɤ i̯ kː ɑ
kõikkina	k ɤ i̯ kʲː i n ɑ
kõikõlain	k ɤ i̯ k ɤ ɫ ɑ i̯ n
kõikõllain	k ɤ i̯ k ɤ ɫː ɑ i̯ n
kõlmõd	k ɤ ɫ m ɤ d̥
kõlmõd	k ɤ ɫ m ɤ d̥
kõlmõdteiššümed	k ɤ ɫ m ɤ t tʲ e i̯ ʃː y mʲ e d̥
kõlmõdtõiššümed	k ɤ ɫ m ɤ t t ɤ i̯ ʃː y mʲ e d̥
kõlmõz	k ɤ ɫ m ɤ̟ z̥
kõlmõzpäive	k ɤ ɫ m ɤ̟ s pʲ æ i̯ vʲ ə̟
kõlmõtteiššümed	k ɤ ɫ m ɤ t tʲ e i̯ ʃː y mʲ e d̥
kõlmõttõiššümed	k ɤ ɫ m ɤ t t ɤ i̯ ʃː y mʲ e d̥
kõltain	k ɤ ɫ t ɑ i̯ n
kõltõ	k ɤ ɫ t ə̠
kõltõin	k ɤ ɫ t ɤ i̯ n
kõlvõtõ	k ɤ ɫ v ɤ̟ t ə̠
kõnsa	k ɤ n s ɑ
kõnsaid	k ɤ n s ɑ i̯ d̥
kõnz	k ɤ n z̥
kõnz	k ɤ n s
kõnzle	k ɤ n z l e
kõnznibutʹ	k ɤ n z nʲ i b u c
kõrjõtõ	k ɤ r ʝ ɤ̟ t ə̠
kõrka	k ɤ r k ɑ
kõrka	k ɤ r k ɑ
kõrkuz	k ɤ r k u z̥
kõrkõa	k ɤ r k ɤ ɑ̯
kõrkõuz	k ɤ r k ɤ u̯ z̥
kõrrõz	k ɤ rː ɤ̟ z̥
kõrrõtõ	k ɤ rː ɤ̟ t ə̠
kõrsi	k ɤ r sʲ i
kõrta	k ɤ r t ɑ
kõrtõ	k ɤ r t ə̠
kõrtõ	k ɤ r t
kõrvõ	k ɤ r v ə̠
Kõrvõttula	k ɤ r v ɤ t t u ɫ ɑ
kõrõtõ	k ɤ r ɤ t ə̠
kõrõtõ	k ɤ r ɤ t
kõta	k ɤ t ɑ
kõtarõ	k ɤ t ɑ r ə̠
kõva	k ɤ v ɑ
kõvassi	k ɤ v ɑ sʲː i
kõvassi	k ɤ v ɑ sʲː i
kõvissa	k ɤ vʲ i sː ɑ
kõvissua	k ɤ vʲ i sː u ɑ̯
käpäle	kʲ æ pʲ æ l ə̟
kärisse	kʲ æ rʲ i sʲː ə̟
kärkki	kʲ æ r kʲː i
kärse	kʲ æ r sʲ ə̟
köökki	kʲ øː kʲː i
köühe	kʲ ø y̯ hʲ ə̟
küll	kʲ y lː
külläin	kʲ y lː æ i̯ n
la	ɫ ɑ
laadia	ɫ ɑː dʲ i ɑ̯
laadia	ɫ ɑː dʲ i ɑ̯
laadiussõ	ɫ ɑː dʲ i u̯ sː ə̠
laatko	ɫ ɑː t k o
lači	ɫ ɑ t͡ʃ i
ladʹdʹuz	ɫ ɑ ɟː u z̥
ladʹdʹõ	ɫ ɑ ɟː ə̠
ladvõ	ɫ ɑ d v ə̠
lafkõ	ɫ ɑ f k ə̠
lafkõ	ɫ ɑ f k
lagotta	ɫ ɑ ɡ o tː ɑ
laha	ɫ ɑ h ɑ
lahjõ	ɫ ɑ h ʝ ə̠
lahko	ɫ ɑ x k o
lahko	ɫ ɑ x k o
lahnõ	ɫ ɑ h n ə̠
laho	ɫ ɑ h o
lahsi	ɫ ɑ h sʲ i
lahsi	ɫ ɑ h s
lahti	ɫ ɑ h tʲ i
laihtua	ɫ ɑ i̯ h t u ɑ̯
laihutta	ɫ ɑ i̯ h u tː ɑ
laihõ	ɫ ɑ i̯ h ə̠
lainõ	ɫ ɑ i̯ n ɤ
lainõ	ɫ ɑ i̯ n ə̠
lainõ	ɫ ɑ i̯ n ɤ
lainõtõ	ɫ ɑ i̯ n ɤ t ə̠
laiskuz	ɫ ɑ i̯ s k u z̥
laiskõ	ɫ ɑ i̯ s k ə̠
laiskõ	ɫ ɑ i̯ s k
laitʹjo	ɫ ɑ i̯ c ʝ o
laitta	ɫ ɑ i̯ tː ɑ
laitta	ɫ ɑ i̯ tː ɑ
laitõ	ɫ ɑ i̯ t ə̠
laivod	ɫ ɑ i̯ v o d̥
laivod	ɫ ɑ i̯ v o d̥
laivõ	ɫ ɑ i̯ v ə̠
laivõ	ɫ ɑ i̯ v
laki	ɫ ɑ kʲ i
laki	ɫ ɑ kʲ i
lakka	ɫ ɑ kː ɑ
lakkia	ɫ ɑ kʲː i ɑ̯
lakkua	ɫ ɑ kː u ɑ̯
lako	ɫ ɑ k o
lako	ɫ ɑ k o
laksu	ɫ ɑ k s u
lakõa	ɫ ɑ kː ɤ ɑ̯
lammõz	ɫ ɑ mː ɤ̟ z̥
lammõz	ɫ ɑ mː ɤ̟ z̥
lamppi	ɫ ɑ m pʲː i
langõtta	ɫ ɑ ŋ ɡ ɤ tː ɑ
langõtõ	ɫ ɑ ŋ ɡ ɤ t ə̠
lanko	ɫ ɑ ŋ k o
lankõssõ	ɫ ɑ ŋ k ɤ sː ə̠
lanttu	ɫ ɑ n tː u
lanttõri	ɫ ɑ n tː ɤ rʲ i
lapa	ɫ ɑ p ɑ
lappa	ɫ ɑ pː ɑ
lappia	ɫ ɑ pʲː i ɑ̯
laskissõ	ɫ ɑ s kʲ i sː ə̠
lasku	ɫ ɑ s k u
laskõa	ɫ ɑ s k ɤ ɑ̯
laskõssõ	ɫ ɑ s k ɤ sː ə̠
lassu	ɫ ɑ sː u
lassõ	ɫ ɑ sː ə̠
lastõtõ	ɫ ɑ s t ɤ̟ t ə̠
latikkõ	ɫ ɑ tʲ i kː ə̠
latissa	ɫ ɑ tʲ i sː ɑ
lattoa	ɫ ɑ tː o ɑ̯
Laugaz	ɫ ɑ u̯ ɡ ɤ̟ z̥
laugõtõ	ɫ ɑ u̯ ɡ ɤ̟ t ə̠
laukopäive	ɫ ɑ u̯ k o pʲ æ i̯ vʲ ə̟
laukopäive	ɫ ɑ u̯ k o pʲ æ i̯ vʲ
laukõssõ	ɫ ɑ u̯ k ɤ sː ə̠
laula	ɫ ɑ u̯ ɫ ɑ
laula	ɫ ɑ u̯ ɫ ɑ
lauloa	ɫ ɑ u̯ ɫ o ɑ̯
lauloa	ɫ ɑ u̯ ɫ o ɑ̯
laulu	ɫ ɑ u̯ ɫ u
laulu	ɫ ɑ u̯ ɫ u
laulõjõ	ɫ ɑ u̯ ɫ ɤ̟ ʝ ə̠
laulõtta	ɫ ɑ u̯ ɫ ɤ̟ tː ɑ
lauto	ɫ ɑ u̯ t o
lauto	ɫ ɑ u̯ t o
lautti	ɫ ɑ u̯ tʲː i
lauttõ	ɫ ɑ u̯ tː ə̠
lauttõ	ɫ ɑ u̯ tː
lautõ	ɫ ɑ u̯ t ə̠
lautõ	ɫ ɑ u̯ t
lautõkuntõ	ɫ ɑ u̯ t ə̠ k u n t ə̠
lava	ɫ ɑ v ɑ
lee	l eː
leemi	l eː mʲ i
leemi	l eː mʲ i
leemi	l i e̯ m i
leeminõ	l eː mʲ i n ə̠
leete	l eː tʲ e
leettüä	l eː tʲː y æ̯
leevve	l eː vʲː ə̟
lehči	l e h t͡ʃ i
lehme	l e h mʲ ə̟
lehme	l e h mʲ
lehti	l e h tʲ i
lehti	l e h t i
lehto	l e h t o
lehto	l e h t o
leikõtõ	l e i̯ k ɤ̟ t ə̠
leipe	l e i̯ pʲ ə̟
leipe	l e i̯ pʲ
lekarstvõ	l e k ɑ r s t v ə̠
lekarstvõ	l e k ɑ r s t v ə̠
lello	l e ɫː o
Lempola	l e m p o ɫ ə̠
lennelle	l e nʲː e lː ə̟
lennete	l e nː e̠ tʲ ə̟
lentä	l e n tʲ æ
leppe	l e pʲː ə̟
leppüä	l e pʲː y æ̯
ležiä	l e ʒ i æ̯
leve	l e vʲ e
leväte	l e vʲ æ tʲ ə̟
leütä	l e y̯ tʲ æ
liblõ	l i b ɫ ə̠
liči	l i t͡ʃ i
lidnõ	l i d n ə̠
ligotta	l i ɡ o tː ɑ
liha	l i h ɑ
lihakõz	l i h ɑ k ɤ z̥
lihassua	l i h ɑ sː u ɑ̯
lihavõ	l i h ɑ v ə̠
lihottua	l i h o tː u ɑ̯
liika	l iː k ɑ
liikkua	l iː kː u ɑ̯
liikkua	l iː kː u ɑ̯
liikuskõllõ	l iː k u s k ɤ ɫː ə̠
liikutta	l iː k u tː ɑ
liikõ	l iː k ə̠
liitkõ	l iː t k ə̠
liittsõ	l iː t͡sː ə̠
liittsõ	l iː t͡sː
liittä	l iː tʲː æ
Liivčülä	l iː v t͡ʃ y l æ
liivõ	l iː v ə̠
likkossõ	l i kː o sː ə̠
lima	l i m ɑ
limoni	l i m o nʲ i
lina	l i n ɑ
linnõ	l i nː ə̠
linnõ	l i nː
linnõz	l i nː ɤ̟ z̥
lintti	l i n tʲː i
linttõ	l i n tː ə̠
lintu	l i n t u
lipatõ	l i p ɑ t ə̠
lipittsõ	l i pʲ i t͡sː ə̠
lippia	l i pʲː i ɑ̯
lippiä	l i pʲː i æ̯
lippu	l i pː u
lissäüsse	l i sʲː æ y̯ sʲː ə̟
lisä	l i sʲ æ
lisä	l i sʲ æ
lizäte	l i zʲ æ tʲ ə̟
litrõ	l i t r ə̠
liukupäive	l i u̯ k u pʲ æ i̯ vʲ ə̟
loba	ɫ o b ɑ
lohko	ɫ o x k o
lohmia	ɫ o h mʲ i ɑ̯
lookkõ	ɫ oː kː ə̠
looko	ɫ oː k o
loomuz	ɫ oː m u z̥
loopua	ɫ oː p u ɑ̯
looto	ɫ oː t o
loottissõ	ɫ oː tʲː i sː ə̠
lootõ	ɫ oː t ə̠
loovia	ɫ oː vʲ i ɑ̯
loovvõ	ɫ oː vː ə̠
looõ	ɫ oː ɤ
lopissõ	ɫ o pʲ i sː ə̠
loppua	ɫ o pː u ɑ̯
loukõtõ	ɫ o u̯ k ɤ̟ t ə̠
lousaussõ	ɫ o u̯ s ɑ u̯ sː ə̠
lugõtta	ɫ u ɡ ɤ tː ɑ
lugõtõllõ	ɫ u ɡ ɤ t ɤ ɫː ə̠
luhtõ	ɫ u h t ə̠
luikko	ɫ u i̯ kː o
luikõtõ	ɫ u i̯ k ɤ̟ t ə̠
luiskõ	ɫ u i̯ s k ə̠
lukko	ɫ u kː o
lukku	ɫ u kː u
lukku	ɫ u kː u
lukkuz	ɫ u kː u z̥
lukkuz	ɫ u kː u z̥
lukkõa	ɫ u kː ɤ ɑ̯
luku	ɫ u k u
lumi	ɫ u mʲ i
lumin	ɫ u mʲ i n
lumituisku	ɫ u mʲ i t u i̯ s k u
lummõtõ	ɫ u mː ɤ̟ t ə̠
lunassa	ɫ u n ɑ sː ɑ
lupa	ɫ u p ɑ
lurjuz	ɫ u r ʝ u z̥
lusti	ɫ u s tʲ i
lusti	ɫ u s tʲ i
luzikkõ	ɫ u zʲ i kː ə̠
lutissa	ɫ u tʲ i sː ɑ
luu	ɫ uː
Luuditsa	ɫ uː dʲ i t͡s ə̠
lʹuukki	ʎ uː kʲː i
luukkõ	ɫ uː kː ə̠
lʹuukua	ʎ uː k u ɑ̯
lʹuukua	ʎ uː k u ɑ̯
Luutsa	ɫ uː t͡sː ə̠
Luutsa	ɫ uː t͡s
luuvvõ	ɫ uː vː ə̠
luvatõ	ɫ u v ɑ t ə̠
lõhči	ɫ ɤ h t͡ʃ i
lõhgõtõ	ɫ ɤ x ɡ ɤ̟ t ə̠
lõhi	ɫ ɤ hʲ i
lõhkoa	ɫ ɤ x k o ɑ̯
lõikõtõ	ɫ ɤ i̯ k ɤ̟ t ə̠
