a.K.	a k o
eksoskeletoj	e k s o s k e l e t o i̯
eksoskeletojn	e k s o s k e l e t o i̯ n
eksoskeleton	e k s o s k e l e t o n
ekspansio	e k s p a n s i o
ekspedaĵo	e k s p e d a ʒ o
ekspedaĵujo	e k s p e d a ʒ u j o
ekspedi	e k s p e d i
ekspediciano	e k s p e d i t͡s i a n o
ekspedicianoj	e k s p e d i t͡s i a n o i̯
ekspedicianojn	e k s p e d i t͡s i a n o i̯ n
ekspedicianon	e k s p e d i t͡s i a n o n
ekspedicio	e k s p e d i t͡s i o
eksperimentado	e k s p e r i m e n t a d o
eksperimentas	e k s p e r i m e n t a s
eksperimenti	e k s p e r i m e n t i
eksperimentis	e k s p e r i m e n t i s
eksperimento	e k s p e r i m e n t o
eksperimentos	e k s p e r i m e n t o s
eksperimentu	e k s p e r i m e n t u
eksperimentus	e k s p e r i m e n t u s
eksperto	e k s p e r t o
ekspertoj	e k s p e r t o i̯
ekspertojn	e k s p e r t o i̯ n
eksperton	e k s p e r t o n
eksplicite	e k s p l i t͡s i t e
eksplikantaj	e k s p l i k a n t a j
eksplikantajn	e k s p l i k a n t a j n
eksplikantan	e k s p l i k a n t a n
eksplikante	e k s p l i k a n t e
eksplikantoj	e k s p l i k a n t o j
eksplikantojn	e k s p l i k a n t o j n
eksplikanton	e k s p l i k a n t o n
eksplikas	e k s p l i k a s
eksplikataj	e k s p l i k a t a j
eksplikatajn	e k s p l i k a t a j n
eksplikatan	e k s p l i k a t a n
eksplikate	e k s p l i k a t e
eksplikatoj	e k s p l i k a t o j
eksplikatojn	e k s p l i k a t o j n
eksplikaton	e k s p l i k a t o n
ekspliki	e k s p l i k i
eksplikintaj	e k s p l i k i n t a j
eksplikintajn	e k s p l i k i n t a j n
eksplikintan	e k s p l i k i n t a n
eksplikinte	e k s p l i k i n t e
eksplikintoj	e k s p l i k i n t o j
eksplikintojn	e k s p l i k i n t o j n
eksplikinton	e k s p l i k i n t o n
eksplikis	e k s p l i k i s
eksplikitaj	e k s p l i k i t a j
eksplikitajn	e k s p l i k i t a j n
eksplikitan	e k s p l i k i t a n
eksplikite	e k s p l i k i t e
eksplikitoj	e k s p l i k i t o j
eksplikitojn	e k s p l i k i t o j n
eksplikiton	e k s p l i k i t o n
eksplikontaj	e k s p l i k o n t a j
eksplikontajn	e k s p l i k o n t a j n
eksplikontan	e k s p l i k o n t a n
eksplikonte	e k s p l i k o n t e
eksplikontoj	e k s p l i k o n t o j
eksplikontojn	e k s p l i k o n t o j n
eksplikonton	e k s p l i k o n t o n
eksplikos	e k s p l i k o s
eksplikotaj	e k s p l i k o t a j
eksplikotajn	e k s p l i k o t a j n
eksplikotan	e k s p l i k o t a n
eksplikote	e k s p l i k o t e
eksplikotoj	e k s p l i k o t o j
eksplikotojn	e k s p l i k o t o j n
eksplikoton	e k s p l i k o t o n
ekspliku	e k s p l i k u
eksplikus	e k s p l i k u s
eksploda	e k s p l o d a
eksplodaj	e k s p l o d a i̯
eksplodajn	e k s p l o d a i̯ n
eksplodan	e k s p l o d a n
eksplodas	e k s p l o d a s
eksplode	e k s p l o d e
eksplodi	e k s p l o d i
eksplodiganta	e k s p l o d i ɡ a n t a
eksplodigantaj	e k s p l o d i ɡ a n t a i̯
eksplodigantajn	e k s p l o d i ɡ a n t a i̯ n
eksplodigantan	e k s p l o d i ɡ a n t a n
eksplodigante	e k s p l o d i ɡ a n t e
eksplodiganto	e k s p l o d i ɡ a n t o
eksplodigantoj	e k s p l o d i ɡ a n t o i̯
eksplodigantojn	e k s p l o d i ɡ a n t o i̯ n
eksplodiganton	e k s p l o d i ɡ a n t o n
eksplodigas	e k s p l o d i ɡ a s
eksplodigata	e k s p l o d i ɡ a t a
eksplodigataj	e k s p l o d i ɡ a t a i̯
eksplodigatajn	e k s p l o d i ɡ a t a i̯ n
eksplodigatan	e k s p l o d i ɡ a t a n
eksplodigate	e k s p l o d i ɡ a t e
eksplodigato	e k s p l o d i ɡ a t o
eksplodigatoj	e k s p l o d i ɡ a t o i̯
eksplodigatojn	e k s p l o d i ɡ a t o i̯ n
eksplodigaton	e k s p l o d i ɡ a t o n
eksplodigi	e k s p l o d i ɡ i
eksplodiginta	e k s p l o d i ɡ i n t a
eksplodigintaj	e k s p l o d i ɡ i n t a i̯
eksplodigintajn	e k s p l o d i ɡ i n t a i̯ n
eksplodigintan	e k s p l o d i ɡ i n t a n
eksplodiginte	e k s p l o d i ɡ i n t e
eksplodiginto	e k s p l o d i ɡ i n t o
eksplodigintoj	e k s p l o d i ɡ i n t o i̯
eksplodigintojn	e k s p l o d i ɡ i n t o i̯ n
eksplodiginton	e k s p l o d i ɡ i n t o n
eksplodigis	e k s p l o d i ɡ i s
eksplodigita	e k s p l o d i ɡ i t a
eksplodigitaj	e k s p l o d i ɡ i t a i̯
eksplodigitajn	e k s p l o d i ɡ i t a i̯ n
eksplodigitan	e k s p l o d i ɡ i t a n
eksplodigite	e k s p l o d i ɡ i t e
eksplodigito	e k s p l o d i ɡ i t o
eksplodigitoj	e k s p l o d i ɡ i t o i̯
eksplodigitojn	e k s p l o d i ɡ i t o i̯ n
eksplodigiton	e k s p l o d i ɡ i t o n
eksplodigonta	e k s p l o d i ɡ o n t a
eksplodigontaj	e k s p l o d i ɡ o n t a i̯
eksplodigontajn	e k s p l o d i ɡ o n t a i̯ n
eksplodigontan	e k s p l o d i ɡ o n t a n
eksplodigonte	e k s p l o d i ɡ o n t e
eksplodigonto	e k s p l o d i ɡ o n t o
eksplodigontoj	e k s p l o d i ɡ o n t o i̯
eksplodigontojn	e k s p l o d i ɡ o n t o i̯ n
eksplodigonton	e k s p l o d i ɡ o n t o n
eksplodigos	e k s p l o d i ɡ o s
eksplodigota	e k s p l o d i ɡ o t a
eksplodigotaj	e k s p l o d i ɡ o t a i̯
eksplodigotajn	e k s p l o d i ɡ o t a i̯ n
eksplodigotan	e k s p l o d i ɡ o t a n
eksplodigote	e k s p l o d i ɡ o t e
eksplodigoto	e k s p l o d i ɡ o t o
eksplodigotoj	e k s p l o d i ɡ o t o i̯
eksplodigotojn	e k s p l o d i ɡ o t o i̯ n
eksplodigoton	e k s p l o d i ɡ o t o n
eksplodigu	e k s p l o d i ɡ u
eksplodigus	e k s p l o d i ɡ u s
eksplodilo	e k s p l o d i l o
eksplodis	e k s p l o d i s
eksplodo	e k s p l o d o
eksplodoj	e k s p l o d o i̯
eksplodojn	e k s p l o d o i̯ n
eksplodon	e k s p l o d o n
eksplodos	e k s p l o d o s
eksplodu	e k s p l o d u
eksplodus	e k s p l o d u s
ekspluatas	e k s p l u a t a s
ekspluati	e k s p l u a t i
ekspluatis	e k s p l u a t i s
ekspluatos	e k s p l u a t o s
ekspluatu	e k s p l u a t u
ekspluatus	e k s p l u a t u s
ekspono	e k s p o n o
eksporti	e k s p o r t i
ekspoziciejo	e k s p o z i t͡s i e j o
ekspozicii	e k s p o z i t͡s i i
ekspozicio	e k s p o z i t͡s i o
eksproprietigo	e k s p r o p r i e t i ɡ o
eksreĝiĝi	e k s r e d͡ʒ i d͡ʒ i
ekstari	e k s t a r i
ekstaza	e k s t a z a
ekstazi	e k s t a z i
ekstazo	e k s t a z o
ekster	e k s t e r
ekstera	e k s t e r a
eksteraĵo	e k s t e r a ʒ o
eksteraĵon	e k s t e r a ʒ o n
eksterdanĝera	e k s t e r d a n d͡ʒ e r a
eksterdanĝeraj	e k s t e r d a n d͡ʒ e r a i̯
eksterdanĝerajn	e k s t e r d a n d͡ʒ e r a i̯ n
eksterdanĝeran	e k s t e r d a n d͡ʒ e r a n
eksterdome	e k s t e r d o m e
eksterduba	e k s t e r d u b a
eksterdubaj	e k s t e r d u b a i̯
eksterdubajn	e k s t e r d u b a i̯ n
eksterduban	e k s t e r d u b a n
ekstere	e k s t e r e
eksteren	e k s t e r e n
eksterlanda	e k s t e r l a n d a
eksterlandano	e k s t e r l a n d a n o
eksterlande	e k s t e r l a n d e
eksterlando	e k s t e r l a n d o
eksterlandoj	e k s t e r l a n d o i̯
eksterlandon	e k s t e r l a n d o n
eksterleĝa	e k s t e r l e d͡ʒ a
eksterleĝaj	e k s t e r l e d͡ʒ a i̯
eksterleĝajn	e k s t e r l e d͡ʒ a i̯ n
eksterleĝan	e k s t e r l e d͡ʒ a n
eksterleĝulo	e k s t e r l e d͡ʒ u l o
ekstermi	e k s t e r m i
ekstermovadulo	e k s t e r m o v a d u l o
eksterordinara	e k s t e r o r d i n a r a
eksterordinaraj	e k s t e r o r d i n a r a i̯
eksterordinarajn	e k s t e r o r d i n a r a i̯ n
eksterordinaran	e k s t e r o r d i n a r a n
eksterordinare	e k s t e r o r d i n a r e
eksterreta	e k s t e r r e t a
ekstertera	e k s t e r t e r a
eksterulo	e k s t e r u l o
eksterurba	e k s t e r u r b a
eksterurbaj	e k s t e r u r b a i̯
eksterurbajn	e k s t e r u r b a i̯ n
eksterurban	e k s t e r u r b a n
ekstra	e k s t r a
ekstraj	e k s t r a i̯
ekstrajn	e k s t r a i̯ n
ekstraktado	e k s t r a k t a d o
ekstrakti	e k s t r a k t i
ekstrakto	e k s t r a k t o
ekstran	e k s t r a n
ekstravaganca	e k s t r a v a ɡ a n t͡s a
ekstravagancaj	e k s t r a v a ɡ a n t͡s a i̯
ekstravagancajn	e k s t r a v a ɡ a n t͡s a i̯ n
ekstravagancan	e k s t r a v a ɡ a n t͡s a n
ekstre	e k s t r e
ekstrema	e k s t r e m a
Ekstremaduro	e k s t r e m a d u r o
ekstremdekstra	e k s t r e m d e k s t r a
ekstremdekstraj	e k s t r e m d e k s t r a i̯
ekstremdekstrajn	e k s t r e m d e k s t r a i̯ n
ekstremdekstran	e k s t r e m d e k s t r a n
ekstreme	e k s t r e m e
ekstudas	e k s t u d a s
ekstudi	e k s t u d i
ekstudis	e k s t u d i s
ekstudos	e k s t u d o s
ekstudu	e k s t u d u
ekstudus	e k s t u d u s
ektimema	e k t i m e m a
ektimi	e k t i m i
ektiri	e k t i r i
ektodermo	e k t o d e r m o
ektomio	e k t o m i o
ektremi	e k t r e m i
eku	e k u
ekumena	e k u m e n a
ekus	e k u s
ekuzi	e k u z i
ekvacio	e k v a t͡s i o
Ekvadoro	e k v a d o r o
ekvatora	e k v a t o r a
ekvatoro	e k v a t o r o
ekvedo	e k v e d o
ekvidanta	e k v i d a n t a
ekvidantaj	e k v i d a n t a i̯
ekvidantajn	e k v i d a n t a i̯ n
ekvidantan	e k v i d a n t a n
ekvidante	e k v i d a n t e
ekvidanto	e k v i d a n t o
ekvidantoj	e k v i d a n t o i̯
ekvidantojn	e k v i d a n t o i̯ n
ekvidanton	e k v i d a n t o n
ekvidas	e k v i d a s
ekvidata	e k v i d a t a
ekvidataj	e k v i d a t a i̯
ekvidatajn	e k v i d a t a i̯ n
ekvidatan	e k v i d a t a n
ekvidate	e k v i d a t e
ekvidato	e k v i d a t o
ekvidatoj	e k v i d a t o i̯
ekvidatojn	e k v i d a t o i̯ n
ekvidaton	e k v i d a t o n
ekvidi	e k v i d i
ekvidinta	e k v i d i n t a
ekvidintaj	e k v i d i n t a i̯
ekvidintajn	e k v i d i n t a i̯ n
ekvidintan	e k v i d i n t a n
ekvidinte	e k v i d i n t e
ekvidinto	e k v i d i n t o
ekvidintoj	e k v i d i n t o i̯
ekvidintojn	e k v i d i n t o i̯ n
ekvidinton	e k v i d i n t o n
ekvidis	e k v i d i s
ekvidita	e k v i d i t a
ekviditaj	e k v i d i t a i̯
ekviditajn	e k v i d i t a i̯ n
ekviditan	e k v i d i t a n
ekvidite	e k v i d i t e
ekvidito	e k v i d i t o
ekviditoj	e k v i d i t o i̯
ekviditojn	e k v i d i t o i̯ n
ekviditon	e k v i d i t o n
ekvidonta	e k v i d o n t a
ekvidontaj	e k v i d o n t a i̯
ekvidontajn	e k v i d o n t a i̯ n
ekvidontan	e k v i d o n t a n
ekvidonte	e k v i d o n t e
ekvidonto	e k v i d o n t o
ekvidontoj	e k v i d o n t o i̯
ekvidontojn	e k v i d o n t o i̯ n
ekvidonton	e k v i d o n t o n
ekvidos	e k v i d o s
ekvidota	e k v i d o t a
ekvidotaj	e k v i d o t a i̯
ekvidotajn	e k v i d o t a i̯ n
ekvidotan	e k v i d o t a n
ekvidote	e k v i d o t e
ekvidoto	e k v i d o t o
ekvidotoj	e k v i d o t o i̯
ekvidotojn	e k v i d o t o i̯ n
ekvidoton	e k v i d o t o n
ekvidu	e k v i d u
ekvidus	e k v i d u s
ekvilibristo	e k v i l i b r i s t o
ekvilibro	e k v i l i b r o
ekvinokso	e k v i n o k s o
ekvinoksoj	e k v i n o k s o i̯
ekvinoksojn	e k v i n o k s o i̯ n
ekvinokson	e k v i n o k s o n
ekvivalenta	e k v i v a l e n t a
ekvo	e k v o
ekvoj	e k v o i̯
ekvojn	e k v o i̯ n
ekvon	e k v o n
ekzakta	e k z a k t a
ekzakte	e k z a k t e
ekzamenado	e k z a m e n a d o
ekzameni	e k z a m e n i
ekzameno	e k z a m e n o
ekzegezo	e k z e ɡ e z o
ekzekutanta	e ɡ z e k u t a n t a
ekzekutantaj	e k z e k u t a n t a i̯
ekzekutantajn	e k z e k u t a n t a i̯ n
ekzekutantan	e ɡ z e k u t a n t a n
ekzekutante	e ɡ z e k u t a n t e
ekzekutanto	e ɡ z e k u t a n t o
ekzekutantoj	e k z e k u t a n t o i̯
ekzekutantojn	e k z e k u t a n t o i̯ n
ekzekutanton	e ɡ z e k u t a n t o n
ekzekutas	e ɡ z e k u t a s
ekzekutata	e ɡ z e k u t a t a
ekzekutataj	e k z e k u t a t a i̯
ekzekutatajn	e k z e k u t a t a i̯ n
ekzekutatan	e ɡ z e k u t a t a n
ekzekutate	e ɡ z e k u t a t e
ekzekutato	e ɡ z e k u t a t o
ekzekutatoj	e k z e k u t a t o i̯
ekzekutatojn	e k z e k u t a t o i̯ n
ekzekutaton	e ɡ z e k u t a t o n
ekzekutejo	e k z e k u t e j o
ekzekuti	e k z e k u t i
ekzekutinta	e ɡ z e k u t i n t a
ekzekutintaj	e k z e k u t i n t a i̯
ekzekutintajn	e k z e k u t i n t a i̯ n
ekzekutintan	e ɡ z e k u t i n t a n
ekzekutinte	e ɡ z e k u t i n t e
ekzekutinto	e ɡ z e k u t i n t o
ekzekutintoj	e k z e k u t i n t o i̯
ekzekutintojn	e k z e k u t i n t o i̯ n
ekzekutinton	e ɡ z e k u t i n t o n
ekzekutis	e ɡ z e k u t i s
ekzekutisto	e k z e k u t i s t o
ekzekutita	e ɡ z e k u t i t a
ekzekutitaj	e k z e k u t i t a i̯
ekzekutitajn	e k z e k u t i t a i̯ n
ekzekutitan	e ɡ z e k u t i t a n
ekzekutite	e ɡ z e k u t i t e
ekzekutito	e ɡ z e k u t i t o
ekzekutitoj	e k z e k u t i t o i̯
ekzekutitojn	e k z e k u t i t o i̯ n
ekzekutiton	e ɡ z e k u t i t o n
ekzekuto	e k z e k u t o
ekzekutonta	e ɡ z e k u t o n t a
ekzekutontaj	e k z e k u t o n t a i̯
ekzekutontajn	e k z e k u t o n t a i̯ n
ekzekutontan	e ɡ z e k u t o n t a n
ekzekutonte	e ɡ z e k u t o n t e
ekzekutonto	e ɡ z e k u t o n t o
ekzekutontoj	e k z e k u t o n t o i̯
ekzekutontojn	e k z e k u t o n t o i̯ n
ekzekutonton	e ɡ z e k u t o n t o n
ekzekutos	e ɡ z e k u t o s
ekzekutota	e ɡ z e k u t o t a
ekzekutotaj	e k z e k u t o t a i̯
ekzekutotajn	e k z e k u t o t a i̯ n
ekzekutotan	e ɡ z e k u t o t a n
ekzekutote	e ɡ z e k u t o t e
ekzekutoto	e ɡ z e k u t o t o
ekzekutotoj	e k z e k u t o t o i̯
ekzekutotojn	e k z e k u t o t o i̯ n
ekzekutoton	e ɡ z e k u t o t o n
ekzekutu	e ɡ z e k u t u
ekzekutus	e ɡ z e k u t u s
ekzemo	e k z e m o
ekzempla	e k z e m p l a
ekzemplaj	e k z e m p l a i̯
ekzemplajn	e k z e m p l a i̯ n
ekzemplan	e k z e m p l a n
ekzemple	e k z e m p l e
ekzemplero	e k z e m p l e r o
ekzemplo	e k z e m p l o
ekzemploj	e k z e m p l o i̯
ekzemplojn	e k z e m p l o i̯ n
ekzemplon	e k z e m p l o n
ekzercado	e k z e r t͡s a d o
ekzercas	e k z e r t͡s a s
ekzerci	e k z e r t͡s i
ekzercis	e k z e r t͡s i s
ekzerco	e k z e r t͡s o
ekzercoj	e k z e r t͡s o i̯
ekzercojn	e k z e r t͡s o i̯ n
ekzercon	e k z e r t͡s o n
ekzercos	e k z e r t͡s o s
ekzercu	e k z e r t͡s u
ekzercus	e k z e r t͡s u s
ekzili	e k z i l i
ekzilito	e k z i l i t o
ekzista	e k z i s t a
ekzistado	e k z i s t a d o
ekzistaj	e k z i s t a i̯
ekzistajn	e k z i s t a i̯ n
ekzistan	e k z i s t a n
ekzistanta	e k z i s t a n t a
ekzistas	e k z i s t a s
ekzisti	e k z i s t i
ekzisto	e k z i s t o
ekzocitozo	e k z o t͡s i t o z o
ekzoplanedo	e k z o p l a n e d o
ekzorcas	e k z o r t͡s a s
ekzorci	e k z o r t͡s i
ekzorcis	e k z o r t͡s i s
ekzorcos	e k z o r t͡s o s
ekzorcu	e k z o r t͡s u
ekzorcus	e k z o r t͡s u s
ekzota	e k z o t a
ekzotika	e k z o t i k a
el	e l
elaĉeti	e l a t͡ʃ e t i
elakompani	e l a k o m p a n i
elangligi	e l a n ɡ l i ɡ i
elasta	e l a s t a
elasteco	e l a s t e t͡s o
elcento	e l t͡s e n t o
elĉenigi	e l t͡ʃ e n i ɡ i
elĉenigontoj	e l t͡ʃ e n i ɡ o n t o j
elĉerpas	e l t͡ʃ e r p a s
elĉerpi	e l t͡ʃ e r p i
elĉerpis	e l t͡ʃ e r p i s
elĉerpita	e l t͡ʃ e r p i t a
elĉerpos	e l t͡ʃ e r p o s
elĉerpu	e l t͡ʃ e r p u
elĉerpus	e l t͡ʃ e r p u s
eldevigi	e l d e v i ɡ i
eldevigo	e l d e v i ɡ o
eldiri	e l d i r i
eldonaĵo	e l d o n a ʒ o
eldonaĵoj	e l d o n a ʒ o i̯
eldonaĵojn	e l d o n a ʒ o i̯ n
eldonaĵon	e l d o n a ʒ o n
eldonas	e l d o n a s
eldonejo	e l d o n e j o
eldoni	e l d o n i
eldonis	e l d o n i s
eldonisto	e l d o n i s t o
eldono	e l d o n o
eldonoj	e l d o n o i̯
eldonojn	e l d o n o i̯ n
eldonon	e l d o n o n
eldonos	e l d o n o s
eldonu	e l d o n u
eldonus	e l d o n u s
elefanta	e l e f a n t a
elefantino	e l e f a n t i n o
elefanto	e l e f a n t o
elefantoj	e l e f a n t o i̯
elefantojn	e l e f a n t o i̯ n
elefanton	e l e f a n t o n
elefenisto	e l e f e n i s t o
Elefeno	e l e f e n o
eleganta	e l e ɡ a n t a
elegantaj	e l e ɡ a n t a i̯
elegantajn	e l e ɡ a n t a i̯ n
elegantan	e l e ɡ a n t a n
eleganteco	e l e ɡ a n t e t͡s o
elegio	e l e ɡ i o
elekta	e l e k t a
elektado	e l e k t a d o
elekti	e l e k t i
elektita	e l e k t i t a
elekto	e l e k t o
elektra	e l e k t r a
elektraj	e l e k t r a i̯
elektrajn	e l e k t r a i̯ n
elektran	e l e k t r a n
elektreco	e l e k t r e t͡s o
elektrejo	e l e k t r e j o
elektrigado	e l e k t r i ɡ a d o
elektrigebla	e l e k t r i ɡ e b l a
elektrigi	e l e k t r i ɡ i
elektro	e l e k t r o
elektrobiologio	e l e k t r o b i o l o ɡ i o
elektrodinamiko	e l e k t r o d i n a m i k o
elektrodinamikon	e l e k t r o d i n a m i k o n
elektrodo	e l e k t r o d o
elektroĥemio	e l e k t r o x e m i o
elektrokemio	e l e k t r o k e m i o
elektrolito	e l e k t r o l i t o
elektrolizi	e l e k t r o l i z i
elektrolizo	e l e k t r o l i z o
elektromagneta	e l e k t r o m a ɡ n e t a
elektromagnetaj	e l e k t r o m a ɡ n e t a i̯
elektromagnetajn	e l e k t r o m a ɡ n e t a i̯ n
elektromagnetan	e l e k t r o m a ɡ n e t a n
elektromagnetismo	e l e k t r o m a ɡ n e t i s m o
elektromagneto	e l e k t r o m a ɡ n e t o
elektromagnetoj	e l e k t r o m a ɡ n e t o i̯
elektromagnetojn	e l e k t r o m a ɡ n e t o i̯ n
elektromagneton	e l e k t r o m a ɡ n e t o n
elektrometro	e l e k t r o m e t r o
elektrometroj	e l e k t r o m e t r o i̯
elektrometrojn	e l e k t r o m e t r o i̯ n
elektrometron	e l e k t r o m e t r o n
elektromotoro	e l e k t r o m o t o r o
elektromova	e l e k t r o m o v a
elektron	e l e k t r o n
elektrona	e l e k t r o n a
elektroniko	e l e k t r o n i k o
elektrono	e l e k t r o n o
elektropozitiva	e l e k t r o p o z i t i v a
elektroskopo	e l e k t r o s k o p o
elektroteĥniko	e l e k t r o t e x n i k o
elektroteĥnikon	e l e k t r o t e x n i k o n
elektrotekniko	e l e k t r o t e k n i k o
elektroteknikon	e l e k t r o t e k n i k o n
elektroterapio	e l e k t r o t e r a p i o
elektu	e l e k t u
elektus	e l e k t u s
elementa	e l e m e n t a
elemento	e l e m e n t o
elfa	e l f a
elfaj	e l f a i̯
elfajn	e l f a i̯ n
elfali	e l f a l i
elfan	e l f a n
elfaro	e l f a r o
elfe	e l f e
elflati	e l f l a t i
elfo	e l f o
elfoj	e l f o i̯
elfojn	e l f o i̯ n
elfon	e l f o n
eligi	e l i ɡ i
eliksiro	e l i k s i r o
eliminado	e l i m i n a d o
eliminadoj	e l i m i n a d o i̯
eliminadojn	e l i m i n a d o i̯ n
eliminadon	e l i m i n a d o n
eliminanta	e l i m i n a n t a
eliminantaj	e l i m i n a n t a i̯
eliminantajn	e l i m i n a n t a i̯ n
eliminantan	e l i m i n a n t a n
eliminante	e l i m i n a n t e
eliminanto	e l i m i n a n t o
eliminantoj	e l i m i n a n t o i̯
eliminantojn	e l i m i n a n t o i̯ n
eliminanton	e l i m i n a n t o n
eliminas	e l i m i n a s
eliminata	e l i m i n a t a
eliminataj	e l i m i n a t a i̯
eliminatajn	e l i m i n a t a i̯ n
eliminatan	e l i m i n a t a n
eliminate	e l i m i n a t e
eliminato	e l i m i n a t o
eliminatoj	e l i m i n a t o i̯
eliminatojn	e l i m i n a t o i̯ n
eliminaton	e l i m i n a t o n
elimini	e l i m i n i
elimininta	e l i m i n i n t a
eliminintaj	e l i m i n i n t a i̯
eliminintajn	e l i m i n i n t a i̯ n
eliminintan	e l i m i n i n t a n
elimininte	e l i m i n i n t e
elimininto	e l i m i n i n t o
eliminintoj	e l i m i n i n t o i̯
eliminintojn	e l i m i n i n t o i̯ n
elimininton	e l i m i n i n t o n
eliminis	e l i m i n i s
eliminita	e l i m i n i t a
eliminitaj	e l i m i n i t a i̯
eliminitajn	e l i m i n i t a i̯ n
eliminitan	e l i m i n i t a n
eliminite	e l i m i n i t e
eliminito	e l i m i n i t o
eliminitoj	e l i m i n i t o i̯
eliminitojn	e l i m i n i t o i̯ n
eliminiton	e l i m i n i t o n
elimino	e l i m i n o
eliminoj	e l i m i n o i̯
eliminojn	e l i m i n o i̯ n
eliminon	e l i m i n o n
eliminonta	e l i m i n o n t a
eliminontaj	e l i m i n o n t a i̯
eliminontajn	e l i m i n o n t a i̯ n
eliminontan	e l i m i n o n t a n
eliminonte	e l i m i n o n t e
eliminonto	e l i m i n o n t o
eliminontoj	e l i m i n o n t o i̯
eliminontojn	e l i m i n o n t o i̯ n
eliminonton	e l i m i n o n t o n
eliminos	e l i m i n o s
eliminota	e l i m i n o t a
eliminotaj	e l i m i n o t a i̯
eliminotajn	e l i m i n o t a i̯ n
eliminotan	e l i m i n o t a n
eliminote	e l i m i n o t e
eliminoto	e l i m i n o t o
eliminotoj	e l i m i n o t o i̯
eliminotojn	e l i m i n o t o i̯ n
eliminoton	e l i m i n o t o n
eliminu	e l i m i n u
eliminus	e l i m i n u s
elipso	e l i p s o
elipsoido	e l i p s o i d o
elipsoj	e l i p s o i̯
elipsojn	e l i p s o i̯ n
elipson	e l i p s o n
elirejo	e l i r e j o
eliri	e l i r i
eliro	e l i r o
Eliro	e l i r o
elirpunkto	e l i r p u n k t o
elirpunktoj	e l i r p u n k t o i̯
elirpunktojn	e l i r p u n k t o i̯ n
elirpunkton	e l i r p u n k t o n
elito	e l i t o
Elizabeta	e l i z a b e t a
Elizabeto	e l i z a b e t o
Elizabeton	e l i z a b e t o n
elizio	e l i z i o
elĵeti	e l ʒ e t i
elĵetisto	e l ʒ e t i s t o
elkavatoro	e l k a v a t o r o
elkreski	e l k r e s k i
ellabori	e l l a b o r i
ellasi	e l l a s i
ellerni	e l l e r n i
ellitiĝi	e l l i t i d͡ʒ i
elmeti	e l m e t i
elmigras	e l m i ɡ r a s
elmigri	e l m i ɡ r i
elmigris	e l m i ɡ r i s
elmigros	e l m i ɡ r o s
elmigru	e l m i ɡ r u
elmigrus	e l m i ɡ r u s
elmontras	e l m o n t r a s
elmontri	e l m o n t r i
elmontris	e l m o n t r i s
elmontros	e l m o n t r o s
elmontru	e l m o n t r u
elmontrus	e l m o n t r u s
elo	e l o
elokventa	e l o k v e n t a
elokventeco	e l o k v e n t e t͡s o
elokventi	e l o k v e n t i
elparoli	e l p a r o l i
elparolo	e l p a r o l o
elpeli	e l p e l i
elpensas	e l p e n s a s
elpensi	e l p e n s i
elpensinto	e l p e n s i n t o
elpensis	e l p e n s i s
elpensos	e l p e n s o s
elpensu	e l p e n s u
elpensus	e l p e n s u s
elporti	e l p o r t i
elpreni	e l p r e n i
elradikas	e l r a d i k a s
elradiki	e l r a d i k i
elradikigas	e l r a d i k i ɡ a s
elradikigi	e l r a d i k i ɡ i
elradikigis	e l r a d i k i ɡ i s
elradikigos	e l r a d i k i ɡ o s
elradikigu	e l r a d i k i ɡ u
elradikigus	e l r a d i k i ɡ u s
elradikis	e l r a d i k i s
elradikos	e l r a d i k o s
elradiku	e l r a d i k u
elradikus	e l r a d i k u s
elreviĝi	e l r e v i d͡ʒ i
elreviĝo	e l r e v i d͡ʒ o
elrigardi	e l r i ɡ a r d i
elsaluti	e l s a l u t i
elsendi	e l s e n d i
elsorĉas	e l s o r t͡ʃ a s
elsorĉi	e l s o r t͡ʃ i
elsorĉis	e l s o r t͡ʃ i s
elsorĉos	e l s o r t͡ʃ o s
elsorĉu	e l s o r t͡ʃ u
elsorĉus	e l s o r t͡ʃ u s
elspezi	e l s p e z i
elspezo	e l s p e z o
elstara	e l s t a r a
elstari	e l s t a r i
elŝalti	e l ʃ a l t i
elŝipiĝi	e l ʃ i p i d͡ʒ i
elŝiri	e l ʃ i r i
elŝrankigi	e l ʃ r a n k i ɡ i
elŝrankiĝi	e l ʃ r a n k i d͡ʒ i
elŝuti	e l ʃ u t i
elteni	e l t e n i
eltiraĵo	e l t i r a ʒ o
eltiri	e l t i r i
eltrinkas	e l t r i n k a s
eltrinki	e l t r i n k i
eltrinkis	e l t r i n k i s
eltrinkos	e l t r i n k o s
eltrinku	e l t r i n k u
eltrinkus	e l t r i n k u s
eltrovi	e l t r o v i
eltrovo	e l t r o v o
eluzi	e l u z i
elveni	e l v e n i
elvoki	e l v o k i
ema	e m a
emaj	e m a i̯
emajlo	e m a i̯ l o
emajlon	e m a i̯ l o n
emajn	e m a i̯ n
eman	e m a n
emas	e m a s
embarasi	e m b a r a s i
embaraso	e m b a r a s o
embargas	e m b a r ɡ a s
embargi	e m b a r ɡ i
embargis	e m b a r ɡ i s
embargo	e m b a r ɡ o
embargoj	e m b a r ɡ o i̯
embargojn	e m b a r ɡ o i̯ n
embargon	e m b a r ɡ o n
embargos	e m b a r ɡ o s
embargu	e m b a r ɡ u
