ааба	ʔ äˑ b ɜ
афрангь	a f r a n ɡʲ
Франкьыл	f r a n kʼʲ ə l
афранцыз	a f r a n t sʰ ə z
афыҩга	a f ə ɥˤ ɡ a
афҩыбааԥс	a f ɥˤ ʏ b ā pʰ s
ахада	a χ a d a
ахаидаҟ	a χ a j d a qʼ
Хаидаҟтәыла	χ a j d a qʼ tʼʷ ə l a
ахамеигӡара	a χ a m e̞ j ɡ d z a r a
ахархәаԥса	a χ a r χʷ a pʰ s a
ахархәаҩ	a χ a r χʷ a ɥˤ
ахаҭа	a χ a tʰ a
ахаҵа	a χˤ á t sʼ a
ахаҵаӷьеҩ	a χ a t sʼ a ʁʲ e̞ ɥˤ
ахаҷа	a χ a t ʃʼ a
ахашәала	a χʷ a ʃʷ a l a
ахаҩа	a χ a ɥˤ a
ахкаршәра	a χ kʼ a r ʃʷ r a
ахлаҵа	a χ l a t sʼ a
хԥа	χː pʰ æ̈
аххьа	a χ χʲ a
ахҷаҭ	a χ t ʃʼ a tʰ
Ахҷыԥсоу	a ħ t ʃʼ ə pʰ s o̞ w
ахылԥа	a χ ə l pʰ a
ахынгәысҭа	a χ ə n ɡʷ ə s tʰ a
ахысбжьы	a χ ə s b ʒ ə
ахысра	a χ ə s r a
ахьанҭаҭра	a χʲ a n tʰ a tʰ r a
хьзы	xʲ z ə
ахьӡымҳәа	a χʲ d z ə m χʷ a
ахьнысҭаа	a χʲ n ə s t ā
Хьрыԥс	χʲ r ə pʰ s
ахьҭа	a χʲ tʰ a
ахьҭаҟа	a χʲ tʰ a qʼ a
ахьчала	a χʲ t ʃʰ a l a
ахьыӡҭаҩ	a χʲ ə d z tʰ a ɥˤ
ахьымӡӷ	a χʲ ə m d z ʁ
Хьырбеи	χʲ ə r b e j
ахәажә	a χʷ a ʒʷ
Хәажәарԥыс	χʷ a ʒʷ a r pʰ ə s
ахәарҭлаӷь	a χʷ a r tʰ l a ʁʲ
хәба	χʷː b æ̈
ахәқәҵа	a χʷ kʰʷ t sʰ a
ахәлԥҵыс	a χʷ l pʰ t sʰ ə s
ахәԥҳа	a χʷ pʰ χ a
ахәура	a χʷ ə w r a
ахәыӡ	a χʷ ə d z
ахәылԥаиаҵә	a χʷ ə l pʰ a j a t ɕʼʷ
ахәыԥҳа	a χʷ ə pʰ ħ a
ах'амаҟьара	a χˤ a m a qʼʲ a r a
ах'аҫәыла	a χˤ a ɕʷ ə l a
ах'ах'әы	a χˤ a χˤʷ ə
ах'ы	a χˤ ə
ах'ҩа	a χˤ ɥˤ a
ах'әаҙә	a χˤʷ a ʑʷ
ах'әламҵьыҫ	a χˤʷ l a m t ɕʰ ə ɕ
ах'әы	a χˤʷ ə
аҳ	a ħ
аҳадгәын	a ħ a d ɡʷ ə n
аҳадуан	a ħ a d w a n
Ҳаити	ħ a j ə tʼ i
Ҳанаҫә	ħ a n a ɕʷ
Ҳанашә	ħ a n a ʃʷ
аҳарџькасы	a ħ a r d ʒ kʼ a s ə
аҳаскьын	a ħ a s kʼʲ ə n
аҳаҭашә	a ħ a tʰ a ʃʷ
аҳацкьын	a ħ a t sʰ kʼʲ ə n
аҳаҷашь	a ħ a t ʃʼ a ʃ
Ҳендеқь	ħ e̞ n d e̞ kʰʲ
аҳкәажә	a ħ kʼʷ a ʒʷ
Ҳонқонг	ħ o̞ n kʰ o̞ n ɡ
аҳҭны	a ħ tʰ n ə
аҳҭнықалақь	a ħ tʰ n ə kʰ a l a kʰʲ
аҳҭнырԥар	a ħ tʰ n ə r pʰ a r
аҳцәа	a ħ t ɕʰʷ a
аҳә	a ħʷ
аҳәасаг	a ħʷ a s a ɡ
аҳәаҵьыҫ	a ħʷ a t ɕʼ ə ɕ
аҳәиҵа	a ħʷ ə j t sʼ a
аҳәызба	a ħʷ ə z b a
аҳәыҙба	a ħʷ ə ʑ b a
аҳәынҵәырҟаԥшь	a ħʷ ə n t ɕʷʼ ə r qʼ a pʰ ʃ
аҳәыс	a ħʷ ə s
аҳәысҭа	a ħʷ ə s tʰ a
ацаблыкь	a t sʰ a b l ə kʼʲ
ацаӷа	a t sʰ ʁ a
ацгәы	a t sʰ ɡʷ ə
ацицка	a t sʰ i t sʰ kʼ a
ацыӷрацара	a t sʰ ə ʁ r a t sʰ a r a
ацырҳә	a t sʰ ə r ħʷ
ацых'әда	a t sʰ ə χˤʷ d a
ацәа	a t ɕʰʷ a
ацәара	a t ɕʰʷ a r a
ацәхьа	a t ɕʰʷ χʲ a
ацәыргақәҵа	a t ɕʰʷ ə r ɡ a kʰʷ t sʼ a
аҵаа	a t sʼ á
аҵаԥха	a t sʼ a pʰ χ a
аҵара	a t sʼ a r a
аҵаҵмыџь	a t͡sʼ a t͡sʼ m ɨ d͡ʒ
аҵкыс	a t sʼ kʼ ə s
аҵыбра	a t sʼ ə b r a
аҵыс	a t sʼ ə s
аҵысҭра	a t sʼ ə s tʰ r a
аҵыхә	a t sʼ ə χʷ
аҵыхәаҩызы	a t sʼ ə χʷ a ɥˤ ʏ z ə
аҵыхәсыӷә	a t sʼ ə χʷ s ə ʁʷ
аҵыхәшәыгә	a t sʼ ə χʷ ʃʷ ə ɡʷ
аҵых'ә	a t sʼ ə χˤʷ
аҵых'әҫәыгә	a t sʼ ə χˤʷ ɕʷ ə ɡʷ
аҵьаҵьындыр	a t ɕʼ a t ɕʼ ə n d ə r
аҵькьыҫ	a t ɕʼ kʼʲ ə ɕ
аҵьыҫ	a t ɕʼ ə ɕ
аҵьыҫҭра	a t ɕʼ ə ɕ tʰ r a
аҵьыць	a t ɕʼ ə t ɕʰ
аҵәаӷәа	a t ɕʼʷ a ʁʷ a
аҵәаӷәага	a t ɕʼʷ a ʁʷ a ɡ a
аҵәаӷәаԥҵәа	a t ɕʼʷ a ʁʷ a pʰ t ɕʼʷ a
аҵәаӷәара	a t ɕʼʷ a ʁʷ a r a
аҵәаӷәаҷ	a t ɕʼʷ a ʁʷ a t ʃʼ
аҵәаӡы	a t ɕʼʷ a d z ə
аҵәиан	a t ɕʷʼ ə j a n
аҵәыбзы	a t ɕʼʷ ə b z ə
аҵәҩан	a t ɕʷʼ ə ɥˤ a n
ачамам	a t ʃʰ a m a m
Чаԥ	t ʃʰ a pʰ
ачаԥшь	a t ʃʰ a pʰ ʃ
ачафара	a t ʃʰ a f a r a
Чехтәыла	t ʃʰ e χ tʼʷ ə l a
ачма	a t ʃʰ m a
ачыба	a t ʃʰ ə b a
аҷаԥшьара	a t ʃʼ a pʰ ʃ a r a
аҷашьа	a t ʃʼ a ʃ a
ҷыгәӡа	t ʃʼ ə ɡʷ d z a
аҷыдаԥҟа	a t ʃʼ ə d a pʰ qʼ a
аҷыфына	a t ʃʼ ə f ə n a
аҽада	a t͡ʂʰ a d a
аҽхарԥарҭа	a ʈ ʂʰ χ a r pʰ a r tʰ a
аҽҵыс	a t ʂʰ t sʼ ə s
аҽҵьыҫ	a t ʂʰ t ɕʼ ə ɕ
аҿа	a ʈ ʂʼ a
аҿаарҳәра	a ʈ ʂʼ aː r ħʷ r a
аҿанҵа	a ʈ ʂʼ a n t sʼ a
аҿар	a ʈ ʂʼ a r
аҿарпын	a ʈ ʂʼ a r pʼ ə n
аҿарҳасра	a ʈ ʂʼ a r ħ a s r a
аҿасра	a ʈ͡ʂʼ a s r a
аҿатә	a ʈ ʂʼ a tʼʷ
аҿаҭ	a ʈ ʂʼ a tʰ
аҿаҭара	a ʈ ʂʼ a tʰ a r a
аҿаҭахьа	a ʈ ʂʼ a tʰ a χʲ a
аҿықәгылара	a ʈ ʂʼ ə kʰʷ ɡ ə l a r a
аҿыц	a ʈ ʂʼ ə t sʰ
ашамыхьажь	a ʂ a m ə χʲ a ʒ
ашас	a ʂ a s
ашеиаҵә	a ʂ e̞ j a t ɕʼʷ
ашҭа	a ʂ tʰ a
ашҭҳар	a ʂ tʰ ħ a r
ашхәар	a ʂ χʷ a r
Ашҳангьери	a ʂ ħ a n ɡʲ e̞ r ə j
ашшаӷьыч	a ʂ ʂ a ʁʲ ə t ʃʰ
ашықәс	a ʂ ə kʰʷ s
ашыха	a ʃ χ a
Шьаабан	ʃ aː b a n
ашьақар	a ʃ a kʰ a r
Шьақьыр	ʃ a kʰʲ ə r
ашьаҟар	a ʃ a qʼ a r
ашьаныӡа	a ʃ a n ə d z a
ашьапхыц	a ʃ a pʼ χ ə t sʰ
ашьапылампыл	a ʃ a pʼ ə l a m pʼ ə l
Шьарифа	ʃ a r i f a
ашьаршьаф	ʃ a r ʃ a f
ашьацәхныслара	a ʃ a t ɕʰʷ χ n ə s l a r a
ашьацәх'ыҫлара	a ʃ a t ɕʰʷ χˤ ə ɕ l a r a
ашьнаҟәма	a ʃ n a qʼʷ m a
Шьынқәба	ʃ ə n kʰʷ b a
ашьыршьыр	a ʃ ə r ʃ ə r
ашьышь	a ʃ ə ʃ
ашәанаӡы	a ʃʷ a n a d z ə
ашәануа	a ʃʷ a n ə w a
ашәиаҟ	a ʃʷ ə j a qʼ
ашәишәи	a ʃʷ ə j ʃʷ ə j
ашәра	a ʃʷ r a
ашәшь	a ʃʷ ʃ
ҩажәа	ɥ ɛ ʒʷ a
ҩажәа	ɥ ə̹ ʒʷ a
ҩба	yː b æ̈
аҩеидасра	a ɥˤ e̞ j d a s r a
Аҩӡба	a ɥˤ ə d z b a
аҩндунагара	a ɥˤ n d ə w n a ɡ a r a
аҩны	a ɥˤ n ə
аҩҿы	a ɥˤ ʈ ʂʼ ə
аҩы	a ɥˤ ʏ
аҩыза	a ɥˤ ʏ z a
аҩын	a ɥˤ ʏ n
аҩынцәыш	a ɥˤ ʏ n t ɕʷʰ ə ʂ
аҩышьа	a ɥˤ ʏ ʃ a
аҩышьаԥҟара	a ɥˤ ʏ ʃ a pʰ qʼ a r a
аџарџар	a ɖ ʐ a r ɖ ʐ a r
аџарџарра	a ɖ ʐ a r ɖ ʐ a r r a
Џаџа	ɖ ʐ a ɖ ʐ a
Џибути	ɖ ʐ ə j b u tʼ i
аџыршаха	a ɖ ʐ ə r ʂ a χ a
аџьагәат	a d ʒ a ɡʷ a tʼ
аџьаз	a d ʒ a z
аџьал	a d ʒ a l
аџьалакьат	a d ʒ a l a kʼʲ a tʼ
аџьам	a d ʒ a m
аџьамԥаз	a d ʒ a m pʰ a z
аџьана	a d ʒ a n a
аџьармыкьа	a d ʒ a r m ə kʼʲ a
аџьныш	a d ʒ n ə ʂ
аџьоурым	a d ʒ o̞ w r ə m
аџьунгли	a d ʒ ə w n ɡ l i
аџьуҭ	a d ʒ w ə tʰ
џьушьҭ	d ʒ w ə ʃ tʰ
аџьушәақь	a d ʒ ə w ʃʷ a kʰʲ
аџьықәреи	a d ʒ ə kʰʷ r e̞ j
аџьынс	a d ʒ ə n s
