अ	ə
कबीर	k ə b iː ɾ
कबूतर	k ə b uː t̪ ə ɾ
कबूतरबाज़	k ə b uː t̪ ə ɾ b ɑː d͡ʒ
कबूतरबाज़	k ə b uː t̪ ə ɾ b ɑː z
कबूतरबाज़ी	k ə b uː t̪ ə ɾ b ɑː d͡ʒ iː
कबूतरबाज़ी	k ə b uː t̪ ə ɾ b ɑː z iː
कबूतरो	k ə b uː t̪ ə ɾ oː
कबूतरों	k ə b uː t̪ ə ɾ õː
कबूल	k ə b uː l
कबूल	q ə b uː l
कभी	k ə bʱ iː
कम	k ə m
कमअक़्ल	k ə m ə ə k lᵊ
कमअक़्ल	k ə m ə ə q lᵊ
कमउम्र	k ə m ɔː m ɾᵊ
कमज़ोर	k ə m d͡ʒ oː ɾ
कमज़ोर	k ə m z oː ɾ
कमज़ोरियाँ	k ə m d͡ʒ oː ɾ ɪ j ɑ̃ː
कमज़ोरियाँ	k ə m z oː ɾ ɪ j ɑ̃ː
कमज़ोरियो	k ə m d͡ʒ oː ɾ ɪ j oː
कमज़ोरियो	k ə m z oː ɾ ɪ j oː
कमज़ोरियों	k ə m d͡ʒ oː ɾ ɪ j õː
कमज़ोरियों	k ə m z oː ɾ ɪ j õː
कमज़ोरी	k ə m d͡ʒ oː ɾ iː
कमज़ोरी	k ə m z oː ɾ iː
कमतर	k ə m t̪ ə ɾ
कमबख़्त	k ə m b ə kʰ t̪
कमबख़्त	k ə m b ə x t̪
कमर	k ə m ə ɾ
कमर	q ə m ə ɾ
कमरबंद	k ə m ə ɾ b ə n d̪
कमरबन्द	k ə m ə ɾ b ə n d̪
कमरा	k ə m ɾ ɑː
कमरे	k ə m ɾ eː
कमरो	k ə m ɾ oː
कमरों	k ə m ɾ õː
कमर्शियल	k ə m ə ɾ ʃ ɪ j ə l
कमल	k ə m ə l
कमली	k ə m l iː
कमा	k ə m ɑː
कमाइये	k ə m ɑː ɪ j eː
कमाइयेगा	k ə m ɑː ɪ j eː ɡ ɑː
कमाइयो	k ə m ɑː ɪ j oː
कमाई	k ə m ɑː iː
कमाऊ	k ə m ɑː uː
कमाऊँ	k ə m ɑː ũː
कमाऊँगा	k ə m ɑː uː ŋ ɡ ɑː
कमाऊँगी	k ə m ɑː uː ŋ ɡ iː
कमाओ	k ə m ɑː oː
कमाओगी	k ə m ɑː oː ɡ iː
कमाओगे	k ə m ɑː oː ɡ eː
कमाकर	k ə m ɑː k ə ɾ
कमाके	k ə m ɑː k eː
कमाता	k ə m ɑː t̪ ɑː
कमाती	k ə m ɑː t̪ iː
कमातीं	k ə m ɑː t̪ ĩː
कमाते	k ə m ɑː t̪ eː
कमान	k ə m ɑː n
कमानी	k ə m ɑː n iː
कमानीं	k ə m ɑː n ĩː
कमाने	k ə m ɑː n eː
कमानेवाला	k ə m ɑː n eː ʋ ɑː l ɑː
कमानेवाली	k ə m ɑː n eː ʋ ɑː l iː
कमानेवालीं	k ə m ɑː n eː ʋ ɑː l ĩː
कमानेवाले	k ə m ɑː n eː ʋ ɑː l eː
कमाया	k ə m ɑː j ɑː
कमायी	k ə m ɑː j iː
कमायीं	k ə m ɑː j ĩː
कमाये	k ə m ɑː j eː
कमायें	k ə m ɑː j ẽː
कमायेंगी	k ə m ɑː j eː ŋ ɡ iː
कमायेंगे	k ə m ɑː j eː ŋ ɡ eː
कमायेगा	k ə m ɑː j eː ɡ ɑː
कमायेगी	k ə m ɑː j eː ɡ iː
कमाल	k ə m ɑː l
कमिश्नर	k ə m ɪ ʃ n ə ɾ
कमी	k ə m iː
कमीना	k ə m iː n ɑː
कमीनापन	k ə m iː n ɑː p ə n
कमीशन	k ə m iː ʃ ə n
कमेंट	k ə m eː ɳ ʈ
कमेटियाँ	k ə m eː ʈ ɪ j ɑ̃ː
कमेटियो	k ə m eː ʈ ɪ j oː
कमेटियों	k ə m eː ʈ ɪ j õː
कमेटी	k ə m eː ʈ iː
कमेरा	k ə m eː ɾ ɑː
कमेला	k ə m eː l ɑː
कमोबेश	k ə m oː b eː ʃ
कम्प	k ə m p
कम्पन	k ə m p ə n
कम्पित	k ə m p ɪ t̪
कम्बल	k ə m b ə l
कम्बोडिया	k ə m b oː ɖ ɪ j ɑː
कम्युनिजम	k ə m j ʊ n ɪ d͡ʒ ə m
कम्युनिजम	k ə m j ʊ n ɪ z ə m
कम्युनिज़म	k ə m j ʊ n ɪ d͡ʒ m
कम्युनिज़म	k ə m j ʊ n ɪ d͡ʒ ə m
कम्युनिज़म	k ə m j ʊ n ɪ z m
कम्युनिज़म	k ə m j ʊ n ɪ z ə m
कम्युनिज़्म	k ə m j ʊ n ɪ d͡ʒ mᵊ
कम्युनिज़्म	k ə m j ʊ n ɪ z mᵊ
कम्युनिज्म	k ə m j ʊ n ɪ d͡ʒ mᵊ
कम्युनिज्म	k ə m j ʊ n ɪ z mᵊ
कयामत	k ə j ɑː m ə t̪
कयामत	q ə j ɑː m ə t̪
कर	k ə ɾ
करकर	k ə ɾ k ə ɾ
करके	k ə ɾ k eː
करघा	k ə ɾ ɡʱ ɑː
करछी	k ə ɾ t͡ʃʰ iː
करण	k ə ɾ ə ɳ
करणी	k ə ɾ ɳ iː
करतब	k ə ɾ t̪ ə b
करता	k ə ɾ t̪ ɑː
करती	k ə ɾ t̪ iː
करतीं	k ə ɾ t̪ ĩː
करतूत	k ə ɾ t̪ uː t̪
करते	k ə ɾ t̪ eː
करदाता	k ə ɾ d̪ ɑː t̪ ɑː
करना	k ə ɾ n ɑː
करनाल	k ə ɾ n ɑː l
करनी	k ə ɾ n iː
करनीं	k ə ɾ n ĩː
करने	k ə ɾ n eː
करनेवाला	k ə ɾ n eː ʋ ɑː l ɑː
करनेवाली	k ə ɾ n eː ʋ ɑː l iː
करनेवालीं	k ə ɾ n eː ʋ ɑː l ĩː
करनेवाले	k ə ɾ n eː ʋ ɑː l eː
करबर	k ə ɾ b ə ɾ
करम	k ə ɾ ə m
करमरिया	k ə ɾ ə m ɾ ɪ j ɑː
करवाइये	k ə ɾ ʋ ɑː ɪ j eː
करवाइयेगा	k ə ɾ ʋ ɑː ɪ j eː ɡ ɑː
करवाइयो	k ə ɾ ʋ ɑː ɪ j oː
करवाऊँ	k ə ɾ ʋ ɑː ũː
करवाऊँगा	k ə ɾ ʋ ɑː uː ŋ ɡ ɑː
करवाऊँगी	k ə ɾ ʋ ɑː uː ŋ ɡ iː
करवाओ	k ə ɾ ʋ ɑː oː
करवाओगी	k ə ɾ ʋ ɑː oː ɡ iː
करवाओगे	k ə ɾ ʋ ɑː oː ɡ eː
करवाकर	k ə ɾ ʋ ɑː k ə ɾ
करवाके	k ə ɾ ʋ ɑː k eː
करवाता	k ə ɾ ʋ ɑː t̪ ɑː
करवाती	k ə ɾ ʋ ɑː t̪ iː
करवातीं	k ə ɾ ʋ ɑː t̪ ĩː
करवाते	k ə ɾ ʋ ɑː t̪ eː
करवाना	k ə ɾ ʋ ɑː n ɑː
करवानी	k ə ɾ ʋ ɑː n iː
करवानीं	k ə ɾ ʋ ɑː n ĩː
करवाने	k ə ɾ ʋ ɑː n eː
करवानेवाला	k ə ɾ ʋ ɑː n eː ʋ ɑː l ɑː
करवानेवाली	k ə ɾ ʋ ɑː n eː ʋ ɑː l iː
करवानेवालीं	k ə ɾ ʋ ɑː n eː ʋ ɑː l ĩː
करवानेवाले	k ə ɾ ʋ ɑː n eː ʋ ɑː l eː
करवाया	k ə ɾ ʋ ɑː j ɑː
करवायी	k ə ɾ ʋ ɑː j iː
करवायीं	k ə ɾ ʋ ɑː j ĩː
करवाये	k ə ɾ ʋ ɑː j eː
करवायें	k ə ɾ ʋ ɑː j ẽː
करवायेंगी	k ə ɾ ʋ ɑː j eː ŋ ɡ iː
करवायेंगे	k ə ɾ ʋ ɑː j eː ŋ ɡ eː
करवायेगा	k ə ɾ ʋ ɑː j eː ɡ ɑː
करवायेगी	k ə ɾ ʋ ɑː j eː ɡ iː
करा	k ə ɾ ɑː
कराइये	k ə ɾ ɑː ɪ j eː
कराइयेगा	k ə ɾ ɑː ɪ j eː ɡ ɑː
कराइयो	k ə ɾ ɑː ɪ j oː
कराई	k ə ɾ ɑː iː
कराऊँ	k ə ɾ ɑː ũː
कराऊँगा	k ə ɾ ɑː uː ŋ ɡ ɑː
कराऊँगी	k ə ɾ ɑː uː ŋ ɡ iː
कराए	k ə ɾ ɑː eː
कराओ	k ə ɾ ɑː oː
कराओगी	k ə ɾ ɑː oː ɡ iː
कराओगे	k ə ɾ ɑː oː ɡ eː
कराकर	k ə ɾ ɑː k ə ɾ
कराके	k ə ɾ ɑː k eː
कराची	k ə ɾ ɑː t͡ʃ iː
कराता	k ə ɾ ɑː t̪ ɑː
कराती	k ə ɾ ɑː t̪ iː
करातीं	k ə ɾ ɑː t̪ ĩː
कराते	k ə ɾ ɑː t̪ eː
करानी	k ə ɾ ɑː n iː
करानीं	k ə ɾ ɑː n ĩː
कराने	k ə ɾ ɑː n eː
करानेवाला	k ə ɾ ɑː n eː ʋ ɑː l ɑː
करानेवाली	k ə ɾ ɑː n eː ʋ ɑː l iː
करानेवालीं	k ə ɾ ɑː n eː ʋ ɑː l ĩː
करानेवाले	k ə ɾ ɑː n eː ʋ ɑː l eː
कराया	k ə ɾ ɑː j ɑː
करायी	k ə ɾ ɑː j iː
करायीं	k ə ɾ ɑː j ĩː
कराये	k ə ɾ ɑː j eː
करायें	k ə ɾ ɑː j ẽː
करायेंगी	k ə ɾ ɑː j eː ŋ ɡ iː
करायेंगे	k ə ɾ ɑː j eː ŋ ɡ eː
करायेगा	k ə ɾ ɑː j eː ɡ ɑː
करायेगी	k ə ɾ ɑː j eː ɡ iː
करारा	k ə ɾ ɑː ɾ ɑː
करालवदन	k ə ɾ ɑː l ə ʋ d̪ ə n
कराहना	k ə ɾ ɑː ɦ n ɑː
करिए	k ə ɾ ɪ eː
करिएगा	k ə ɾ ɪ eː ɡ ɑː
करिये	k ə ɾ ɪ j eː
करियेगा	k ə ɾ ɪ j eː ɡ ɑː
करियो	k ə ɾ ɪ j oː
करिश्मा	k ə ɾ ɪ ʃ m ɑː
करिश्मे	k ə ɾ ɪ ʃ m eː
करिश्मो	k ə ɾ ɪ ʃ m oː
करिश्मों	k ə ɾ ɪ ʃ m õː
करी	k ə ɾ iː
करीब	k ə ɾ iː b
करीब	q ə ɾ iː b
करुणा	k ə ɾ ʊ ɳ ɑː
करुणाएँ	k ə ɾ ʊ ɳ ɑː ẽː
करुणाओ	k ə ɾ ʊ ɳ ɑː oː
करुणाओं	k ə ɾ ʊ ɳ ɑː õː
करूँ	k ə ɾ ũː
करूँगा	k ə ɾ uː ŋ ɡ ɑː
करूँगी	k ə ɾ uː ŋ ɡ iː
करूंगा	k ə ɾ uː ŋ ɡ ɑː
करे	k ə ɾ eː
करें	k ə ɾ ẽː
करेंगी	k ə ɾ eː ŋ ɡ iː
करेंगे	k ə ɾ eː ŋ ɡ eː
करेगा	k ə ɾ eː ɡ ɑː
करेगी	k ə ɾ eː ɡ iː
करेला	k ə ɾ eː l ɑː
करैत	k ə ɾ ɛː t̪
करो	k ə ɾ oː
करों	k ə ɾ õː
करोगी	k ə ɾ oː ɡ iː
करोगे	k ə ɾ oː ɡ eː
करोड़	k ə ɾ oː ɽ
करोड़पति	k ə ɾ oː ɽ p ə t̪ iː
करोड़ो	k ə ɾ oː ɽ oː
करोड़ों	k ə ɾ oː ɽ õː
करौंदा	k ə ɾ ɔː n d̪ ɑː
कर्कश	k ə ɾ k ə ʃ
कर्ण	k ə ɾ ɳ
कर्तव्य	k ə ɾ t̪ ə ʋ jᵊ
कर्तव्यपथ	k ə ɾ t̪ ə ʋ j ə p ə t̪ʰ
कर्ता	k ə ɾ t̪ ɑː
कर्तृत्व	k ə ɾ t̪ ɾ ɪ t̪ ʋᵊ
कर्नाटक	k ə ɾ n ɑː ʈ ə k
कर्पूर	k ə ɾ p uː ɾ
कर्म	k ə ɾ m
कर्मचारियो	k ə ɾ m ə t͡ʃ ɑː ɾ ɪ j oː
कर्मचारियों	k ə ɾ m ə t͡ʃ ɑː ɾ ɪ j õː
कर्मचारी	k ə ɾ m ə t͡ʃ ɑː ɾ iː
कर्मभूमि	k ə ɾ m bʱ uː m iː
कर्मशाला	k ə ɾ m ə ʃ ɑː l ɑː
कर्मी	k ə ɾ m iː
कर्मो	k ə ɾ m oː
कर्मों	k ə ɾ m õː
कर्षण	k ə ɾ ʂ ə ɳ
कल	k ə l
कलंक	k ə l ə ŋ k
कलंकित	k ə l ə ŋ k ɪ t̪
कलकत्ता	k ə l k ə t̪ t̪ ɑː
कलक्टर	k ə l ə k ʈ ə ɾ
कलछी	k ə l t͡ʃʰ iː
कलन	k ə l ə n
कलफ़	k ə l ə f
कलफ़	k ə l ə pʰ
कलम	k ə l ə m
कलमकारी	k ə l ə m k ɑː ɾ iː
कलमरिया	k ə l ə m ɾ ɪ j ɑː
कलमा	k ə l m ɑː
कलवार	k ə l ʋ ɑː ɾ
कलसा	k ə l s ɑː
कलह	k ə l ə ɦ
कलहो	k ə l ə ɦ oː
कला	k ə l ɑː
कलाई	k ə l ɑː iː
कलाएँ	k ə l ɑː ẽː
कलाओ	k ə l ɑː oː
कलाओं	k ə l ɑː õː
कलाकार	k ə l ɑː k ɑː ɾ
कलाकारो	k ə l ɑː k ɑː ɾ oː
कलाकारों	k ə l ɑː k ɑː ɾ õː
कलात्मक	k ə l ɑː t̪ m ə k
कलापट्टी	k ə l ɑː p ə ʈ ʈ iː
कलाम	k ə l ɑː m
कलाल	k ə l ɑː l
कलावंत	k ə l ɑː ʋ ə n t̪
कलासी	k ə l ɑː s iː
कली	k ə l iː
कलीसा	k ə l iː s ɑː
कलीसिया	k ə l iː s ɪ j ɑː
कलेजा	k ə l eː d͡ʒ ɑː
कलेवा	k ə l eː ʋ ɑː
कलोर	k ə l oː ɾ
कलोल	k ə l oː l
कल्टी	k ə l ʈ iː
कल्प	k ə l p
कल्पना	k ə l p ə n ɑː
कल्पनाएँ	k ə l p ə n ɑː ẽː
कल्पनाओ	k ə l p ə n ɑː oː
कल्पनाओं	k ə l p ə n ɑː õː
कल्पनादर्श	k ə l p ə n ɑː d̪ ə ɾ ʃ
कल्पनादर्शो	k ə l p ə n ɑː d̪ ə ɾ ʃ oː
कल्पनादर्शों	k ə l p ə n ɑː d̪ ə ɾ ʃ õː
कल्पनाशील	k ə l p ə n ɑː ʃ iː l
कल्पित	k ə l p ɪ t̪
कल्ला	k ə l l ɑː
कल्लोल	k ə l l oː l
कवक	k ə ʋ ə k
कवच	k ə ʋ ə t͡ʃ
कवचित	k ə ʋ ə t͡ʃ ɪ t̪
कवयित्रियाँ	k ə ʋ j ɪ t̪ ɾ ɪ j ɑ̃ː
कवयित्रियो	k ə ʋ j ɪ t̪ ɾ ɪ j oː
कवयित्रियों	k ə ʋ j ɪ t̪ ɾ ɪ j õː
कवयित्री	k ə ʋ j ɪ t̪ ɾ iː
कवि	k ə ʋ iː
कविता	k ə ʋ ɪ t̪ ɑː
कविताएँ	k ə ʋ ɪ t̪ ɑː ẽː
कविताओ	k ə ʋ ɪ t̪ ɑː oː
कविताओं	k ə ʋ ɪ t̪ ɑː õː
कवित्त	k ə ʋ ɪ t̪ t̪
कवियो	k ə ʋ ɪ j oː
कवियों	k ə ʋ ɪ j õː
कवी	k ə ʋ iː
कवेला	k ə ʋ eː l ɑː
कश	k ə ʃ
कशमकश	k ə ʃ m ə k ə ʃ
कश्ती	k ə ʃ t̪ iː
कश्मीर	k ə ʃ m iː ɾ
कश्मीरी	k ə ʃ m iː ɾ iː
कष्ट	k ə ʂ ʈ
कष्टसाध्य	k ə ʂ ʈ s ɑː d̪ʱ jᵊ
कष्टो	k ə ʂ ʈ oː
कष्टों	k ə ʂ ʈ õː
कस	k ə s
कसकर	k ə s k ə ɾ
कसके	k ə s k eː
कसता	k ə s t̪ ɑː
कसना	k ə s n ɑː
कसने	k ə s n eː
कसम	k ə s ə m
कसम	q ə s ə m
कसर	k ə s ə ɾ
कसरत	k ə s ɾ ə t̪
कसा	k ə s ɑː
कसाई	k ə s ɑː iː
कसाई	q ə s ɑː iː
कसीस	k ə s iː s
कसूँ	k ə s ũː
कसूँगा	k ə s uː ŋ ɡ ɑː
कसूँगी	k ə s uː ŋ ɡ iː
कसूर	k ə s uː ɾ
कसूर	q ə s uː ɾ
कसें	k ə s ẽː
कसेंगी	k ə s eː ŋ ɡ iː
कसेंगे	k ə s eː ŋ ɡ eː
कसेगा	k ə s eː ɡ ɑː
कसेगी	k ə s eː ɡ iː
कसेरा	k ə s eː ɾ ɑː
कसौटी	k ə s ɔː ʈ iː
कस्सर	k ə s s ə ɾ
कह	k ə ɦ
कहकर	k ə ɦ k ə ɾ
कहके	k ə ɦ k eː
कहता	k ə ɦ t̪ ɑː
कहती	k ə ɦ t̪ iː
कहतीं	k ə ɦ t̪ ĩː
कहते	k ə ɦ t̪ eː
कहना	k ə ɦ n ɑː
कहनी	k ə ɦ n iː
कहनीं	k ə ɦ n ĩː
कहने	k ə ɦ n eː
कहनेवाला	k ə ɦ n eː ʋ ɑː l ɑː
कहनेवाली	k ə ɦ n eː ʋ ɑː l iː
कहनेवालीं	k ə ɦ n eː ʋ ɑː l ĩː
कहनेवाले	k ə ɦ n eː ʋ ɑː l eː
कहर	k ə ɦ ə ɾ
कहर	q ə ɦ ə ɾ
कहला	k ə ɦ l ɑː
कहलाइये	k ə ɦ l ɑː ɪ j eː
कहलाइयेगा	k ə ɦ l ɑː ɪ j eː ɡ ɑː
कहलाऊँ	k ə ɦ l ɑː ũː
कहलाऊँगा	k ə ɦ l ɑː uː ŋ ɡ ɑː
कहलाऊँगी	k ə ɦ l ɑː uː ŋ ɡ iː
कहलाओ	k ə ɦ l ɑː oː
कहलाओगी	k ə ɦ l ɑː oː ɡ iː
कहलाओगे	k ə ɦ l ɑː oː ɡ eː
कहलाकर	k ə ɦ l ɑː k ə ɾ
कहलाके	k ə ɦ l ɑː k eː
कहलाता	k ə ɦ l ɑː t̪ ɑː
कहलाती	k ə ɦ l ɑː t̪ iː
कहलातीं	k ə ɦ l ɑː t̪ ĩː
कहलाते	k ə ɦ l ɑː t̪ eː
कहलाना	k ə ɦ l ɑː n ɑː
कहलाने	k ə ɦ l ɑː n eː
कहलानेवाला	k ə ɦ l ɑː n eː ʋ ɑː l ɑː
कहलाया	k ə ɦ l ɑː j ɑː
कहलायी	k ə ɦ l ɑː j iː
कहलायीं	k ə ɦ l ɑː j ĩː
कहलाये	k ə ɦ l ɑː j eː
कहलायें	k ə ɦ l ɑː j ẽː
कहलायेंगी	k ə ɦ l ɑː j eː ŋ ɡ iː
कहलायेंगे	k ə ɦ l ɑː j eː ŋ ɡ eː
कहलायेगा	k ə ɦ l ɑː j eː ɡ ɑː
कहलायेगी	k ə ɦ l ɑː j eː ɡ iː
कहवा	k ə ɦ ʋ ɑː
कहवा	q ə ɦ ʋ ɑː
कहा	k ə ɦ ɑː
कहाँ	k ə ɦ ɑ̃ː
कहानियाँ	k ə ɦ ɑː n ɪ j ɑ̃ː
कहानियों	k ə ɦ ɑː n ɪ j õː
कहानी	k ə ɦ ɑː n iː
कहानीकार	k ə ɦ ɑː n iː k ɑː ɾ
कहावत	k ə ɦ ɑː ʋ ə t̪
कहावतें	k ə ɦ ɑː ʋ ə t̪ ẽː
कहावतो	k ə ɦ ɑː ʋ ə t̪ oː
कहावतों	k ə ɦ ɑː ʋ ə t̪ õː
कहिये	k ə ɦ ɪ j eː
कहियेगा	k ə ɦ ɪ j eː ɡ ɑː
कहियो	k ə ɦ ɪ j oː
कही	k ə ɦ iː
कहीं	k ə ɦ ĩː
कहूँ	k ə ɦ ũː
कहूँगा	k ə ɦ uː ŋ ɡ ɑː
कहूँगी	k ə ɦ uː ŋ ɡ iː
कहे	k ə ɦ eː
कहें	k ə ɦ ẽː
कहेंगी	k ə ɦ eː ŋ ɡ iː
कहेंगे	k ə ɦ eː ŋ ɡ eː
कहेगा	k ə ɦ eː ɡ ɑː
कहेगी	k ə ɦ eː ɡ iː
कहो	k ə ɦ oː
कहोगी	k ə ɦ oː ɡ iː
कहोगे	k ə ɦ oː ɡ eː
क़	k ə
क़	q ə
क़ज़्ज़ाक़	k ə d̪ d͡ʒ ɑː k
क़ज़्ज़ाक़	q ə z z ɑː q
क़तई	k ə t̪ ə iː
क़तई	q ə t̪ ə iː
क़तर	k ə t̪ ə ɾ
क़तर	q ə t̪ ə ɾ
क़तरा	k ə t̪ ɾ ɑː
क़तरा	q ə t̪ ɾ ɑː
क़तरे	k ə t̪ ɾ eː
क़तरे	q ə t̪ ɾ eː
क़तरो	k ə t̪ ɾ oː
क़तरो	q ə t̪ ɾ oː
क़तरों	k ə t̪ ɾ õː
क़तरों	q ə t̪ ɾ õː
क़तल	k ə t̪ ə l
क़तल	q ə t̪ ə l
क़त्ल	k ə t̪ l
क़त्ल	q ə t̪ l
क़त्लेआम	k ə t̪ l eː ɑː m
क़त्लेआम	q ə t̪ l eː ɑː m
क़द	k ə d̪
क़द	q ə d̪
क़दम	k ə d̪ ə m
क़दम	q ə d̪ ə m
क़दमताल	k ə d̪ ə m t̪ ɑː l
क़दमताल	q ə d̪ ə m t̪ ɑː l
क़दमो	k ə d̪ ə m oː
क़दमो	q ə d̪ ə m oː
क़दमों	k ə d̪ ə m õː
क़दमों	q ə d̪ ə m õː
क़दीम	k ə d̪ iː m
क़दीम	q ə d̪ iː m
क़द्दावर	k ə d̪ d̪ ɑː ʋ ə ɾ
क़द्दावर	q ə d̪ d̪ ɑː ʋ ə ɾ
क़द्र	k ə d̪ ɾᵊ
क़द्र	q ə d̪ ɾᵊ
क़द्रदान	k ə d̪ ɾ ə d̪ ɑː n
क़द्रदान	q ə d̪ ɾ ə d̪ ɑː n
क़फ़स	k ə pʰ ə s
क़फ़स	q ə f ə s
क़बीला	k ə b iː l ɑː
क़बीला	q ə b iː l ɑː
क़बूल	k ə b uː l
क़बूल	q ə b uː l
क़ब्ज़	k ə b d͡ʒ
क़ब्ज़	q ə b z
क़ब्ज़ा	k ə b d͡ʒ ɑː
क़ब्ज़ा	q ə b z ɑː
क़ब्र	k ə b ɾ
क़ब्र	q ə b ɾ
क़ब्रिस्तान	k ə b ɾ ɪ s t̪ ɑː n
क़ब्रिस्तान	q ə b ɾ ɪ s t̪ ɑː n
क़मर	k ə m ə ɾ
क़मर	q ə m ə ɾ
क़मीज़	k ə m iː d͡ʒ
क़मीज़	q ə m iː z
क़यामत	k ə j ɑː m ə t̪
क़यामत	q ə j ɑː m ə t̪
क़रार	k ə ɾ ɑː ɾ
क़रार	q ə ɾ ɑː ɾ
क़रीब	k ə ɾ iː b
क़रीब	q ə ɾ iː b
क़रीबन	k ə ɾ iː b ə n
क़रीबन	q ə ɾ iː b ə n
क़र्ज़	k ə ɾ d͡ʒ
क़र्ज़	q ə ɾ z
क़लम	k ə l ə m
क़लम	q ə l ə m
क़व्वाल	k ə ʋ ʋ ɑː l
क़व्वाल	q ə ʋ ʋ ɑː l
क़व्वाली	k ə ʋ ʋ ɑː l iː
क़व्वाली	q ə ʋ ʋ ɑː l iː
क़सम	k ə s ə m
क़सम	q ə s ə m
क़साई	k ə s ɑː iː
क़साई	q ə s ɑː iː
क़सीदा	k ə s iː d̪ ɑː
क़सीदा	q ə s iː d̪ ɑː
क़सूर	k ə s uː ɾ
क़सूर	q ə s uː ɾ
क़स्बा	k ə s b ɑː
क़स्बा	q ə s b ɑː
क़स्साब	k ə s s ɑː b
क़स्साब	q ə s s ɑː b
क़हर	k ə ɦ ə ɾ
क़हर	q ə ɦ ə ɾ
क़हवा	k ə ɦ ʋ ɑː
क़हवा	q ə ɦ ʋ ɑː
क़ाज़ी	k ɑː d͡ʒ iː
क़ाज़ी	q ɑː z iː
क़ातिल	k ɑː t̪ ɪ l
क़ातिल	q ɑː t̪ ɪ l
क़ातिलाना	k ɑː t̪ ɪ l ɑː n ɑː
क़ातिलाना	q ɑː t̪ ɪ l ɑː n ɑː
क़ादियां	k ɑː d̪ ɪ j ɑ̃ː
क़ादियां	q ɑː d̪ ɪ j ɑ̃ː
क़ादियान	k ɑː d̪ ɪ j ɑː n
क़ादियान	q ɑː d̪ ɪ j ɑː n
क़ानून	k ɑː n uː n
क़ानून	q ɑː n uː n
क़ानूनगो	k ɑː n uː n ɡ oː
क़ानूनगो	q ɑː n uː n ɡ oː
क़ाफ़िला	k ɑː pʰ ɪ l ɑː
क़ाफ़िला	q ɑː f ɪ l ɑː
क़ाबिज़	k ɑː b ɪ d͡ʒ
क़ाबिज़	q ɑː b ɪ z
क़ाबिल	k ɑː b ɪ l
क़ाबिल	q ɑː b ɪ l
क़ाबिलीयत	k ɑː b ɪ l iː j ə t̪
क़ाबिलीयत	q ɑː b ɪ l iː j ə t̪
क़ामत	k ɑː m ə t̪
क़ामत	q ɑː m ə t̪
क़ामूस	k ɑː m uː s
क़ामूस	q ɑː m uː s
क़ायदा	k ɑː j d̪ ɑː
क़ायदा	q ɑː j d̪ ɑː
क़ायदे	k ɑː j d̪ eː
क़ायदे	q ɑː j d̪ eː
क़ायदो	k ɑː j d̪ oː
क़ायदो	q ɑː j d̪ oː
क़ायदों	k ɑː j d̪ õː
क़ायदों	q ɑː j d̪ õː
क़ायम	k ɑː j ə m
क़ायम	q ɑː j ə m
क़ारी	k ɑː ɾ iː
क़ारी	q ɑː ɾ iː
क़ालीन	k ɑː l iː n
क़ालीन	q ɑː l iː n
क़ासिद	k ɑː s ɪ d̪
क़ासिद	q ɑː s ɪ d̪
क़ाहिरा	k ɑː ɦ ɪ ɾ ɑː
क़ाहिरा	q ɑː ɦ ɪ ɾ ɑː
क़िरमिज़ी	k ɪ ɾ m ɪ d͡ʒ iː
क़िरमिज़ी	q ɪ ɾ m ɪ z iː
क़िला	k ɪ l ɑː
क़िला	q ɪ l ɑː
क़िले	k ɪ l eː
क़िले	q ɪ l eː
क़िलो	k ɪ l oː
क़िलो	q ɪ l oː
क़िलों	k ɪ l õː
क़िलों	q ɪ l õː
क़िल्लत	k ɪ l l ə t̪
क़िल्लत	q ɪ l l ə t̪
क़िस्त	k ɪ s t̪
क़िस्त	q ɪ s t̪
क़िस्म	k ɪ s m
क़िस्म	q ɪ s m
क़िस्मत	k ɪ s m ə t̪
क़िस्मत	q ɪ s m ə t̪
क़िस्मो	k ɪ s m oː
क़िस्मो	q ɪ s m oː
क़िस्मों	k ɪ s m õː
क़िस्मों	q ɪ s m õː
क़िस्सा	k ɪ s s ɑː
क़िस्सा	q ɪ s s ɑː
क़ीमतें	k iː m ə t̪ ẽː
क़ीमतें	q iː m ə t̪ ẽː
क़ीमतो	k iː m ə t̪ oː
क़ीमतो	q iː m ə t̪ oː
क़ीमतों	k iː m ə t̪ õː
क़ीमतों	q iː m ə t̪ õː
क़ीमा	k iː m ɑː
क़ीमा	q iː m ɑː
क़ुदरत	k ʊ d̪ ɾ ə t̪
क़ुदरत	q ʊ d̪ ɾ ə t̪
क़ुरआन	k ʊ ɾ ə ɑː n
क़ुरआन	q ʊ ɾ ə ɑː n
क़ुरान	k ʊ ɾ ɑː n
क़ुरान	q ʊ ɾ ɑː n
क़ुर्आन	k ʊ ɾ ɑː n
क़ुर्आन	q ʊ ɾ ɑː n
क़ुर्बानी	k ʊ ɾ b ɑː n iː
क़ुर्बानी	q ʊ ɾ b ɑː n iː
क़ुली	k ʊ l iː
क़ुली	q ʊ l iː
क़ुल्ज़ुम	k ʊ l d͡ʒ ʊ m
क़ुल्ज़ुम	q ʊ l z ʊ m
क़ुल्फ़ी	k ʊ l pʰ iː
क़ुल्फ़ी	q ʊ l f iː
क़ुव्वत	k ʊ ʋ ʋ ə t̪
