ஃ	ɐ hᵄ
ஒட்டுச்சுண்ணாம்பு	o ʈː u t͡ɕː u ɳː aː m b u
ஒத்துக்கொள்	o t̪ː u kː o ɭ
ஒன்பது	o n b ɐ d̪ u
ஒன்றாக	o n r aː ɡ ɐ
ஒன்று	o n r u
ஒபதியா	o b ɐ d̪ i j aː
ஒப்பந்தம்	o pː ɐ n̪ d̪ ɐ m
ஒப்பம்	o pː ɐ m
ஒப்பு	o pː u
ஒப்புகை	o pː u ɡ a ɪ̯
ஒப்புமை	o pː u m a ɪ̯
ஒரு	o ɾ u
ஒருபாலீர்ப்பு	o ɾ u p aː l iː ɾ pː u
ஒரே	o ɾ eː
ஒற்றன்	o rː ɐ n
ஒற்றுமை	o rː u m a ɪ̯
ஒலி	o l i
ஒலிநூல்	o l i n̪ uː l
ஒலிபெயர்ப்பு	o l i p e j a ɾ pː u
ஒலிபெருக்கி	ʔ o l̪ i p e ɾ̪ u k kː i
ஒலிவாங்கி	o l i ʋ aː ŋ ɡ i
ஒலிவாங்கிகள்	o l i ʋ aː ŋ ɡ i ɡ ɐ ɭ
ஒலுங்கு	o l u ŋ ɡ u
ஒலோவு	o l oː ʋ u
ஒளி	o ɭ i
ஒளிச்சீலை	o ɭ i t͡ɕː iː l a ɪ̯
ஒளிச்சேர்க்கை	o ɭ i t͡ɕː eː ɾ kː a ɪ̯
ஒளிநகல்	o ɭ i n̪ ɐ ɡ ɐ l
ஒளியாண்டு	o ɭ i j aː ɳ ɖ u
ஒழி	o ɻ i
ஒழிப்பு	o ɻ i pː u
ஒழுகு	o ɻ u ɡ u
ஒழுக்கம்	o ɻ u kː ɐ m
ஒழுங்கை	o ɻ u ŋ ɡ a ɪ̯
ஒவ்வாமை	o ʋː aː m a ɪ̯
ஒவ்வொரு	o ʋː o ɾ u
ஓ	oː
ஓங்கில்	oː ŋ ɡ i l
ஓசை	oː t͡ɕ a ɪ̯
ஓச்சன்	oː t͡ɕː ɐ n
ஓடம்	oː ɖ ɐ m
ஓடு	oː ɖ u
ஓடை	oː ɖ a ɪ̯
ஓட்டல்	oː ʈː ɐ l
ஓட்டு	oː ʈː u
ஓட்டை	oː ʈː a ɪ̯
ஓணான்	oː ɳ aː n
ஓணான்கள்	oː ɳ aː n ɡ ɐ ɭ
ஓதம்	oː d̪ ɐ m
ஓது	oː d̪ u
ஓநாய்	oː n̪ aː j
ஓமம்	oː m ɐ m
ஓம்	oː m
ஓம்படு	oː m b ɐ ɖ u
ஓய்	oː j
ஓய்வு	oː j ʋ u
ஓய்வுநாள்	oː j ʋ u n̪ aː ɭ
ஓய்வூதியம்	oː j ʋ uː d̪ i j ɐ m
ஓரம்	oː ɾ ɐ m
ஓரினச்சேர்க்கை	oː ɾ i n ɐ t͡ɕː eː ɾ kː a ɪ̯
ஓலம்	oː l ɐ m
ஓலை	oː l a ɪ̯
ஓவியம்	oː ʋ i j ɐ m
ஔ	ɐ u̯
ஔகாரக்குறுக்கம்	ɐ u̯ ɡ aː ɾ ɐ kː u r u kː ɐ m
ஔடதம்	ɐ u̯ ɖ ɐ d̪ ɐ m
ஔவியம்	ɐ u̯ ʋ i j ɐ m
ஔவை	ɐ u̯ ʋ a ɪ̯
ஔஷதம்	ɐ u̯ ʂ ɐ d̪ ɐ m
க	k ɐ
ககனம்	k ɐ ɡ ɐ n ɐ m
கங்காதரன்	k ɐ ŋ ɡ aː d̪ ɐ ɾ ɐ n
கங்காரு	ɡ ɐ ŋ ɡ aː ɾ u
கங்கு	k ɐ ŋ ɡ u
கச	k ɐ t͡ɕ ɐ
கசப்பு	k ɐ t͡ɕ ɐ pː u
கச்சு	k ɐ t͡ɕː u
கஜம்	ɡ ɐ d͡ʑ ɐ m
கஜானா	ɡ ɐ d͡ʑ aː n aː
கஞ்சா	k ɐ ɲ d͡ʑ aː
கஞ்சா	ɡ ɐ ɲ d͡ʑ aː
கஞ்சாவை	k ɐ ɲ d͡ʑ aː ʋ a ɪ̯
கஞ்சி	k ɐ ɲ d͡ʑ i
கட	k ɐ ɖ ɐ
கடகம்	k ɐ ɖ ɐ ɡ ɐ m
கடத்து	k ɐ ɖ ɐ t̪ː u
கடந்த	k ɐ ɖ ɐ n̪ d̪ ɐ
கடந்தை	k ɐ ɖ ɐ n̪ d̪ a ɪ̯
கடனாளி	k ɐ ɖ ɐ n aː ɭ i
கடன்	k ɐ ɖ ɐ n
கடமை	k ɐ ɖ ɐ m a ɪ̯
கடற்கன்னி	k ɐ ɖ ɐ r k ɐ nː i
கடற்கரை	k ɐ ɖ ɐ r k ɐ ɾ a ɪ̯
கடற்குதிரை	k ɐ ɖ ɐ r k u d̪ i ɾ a ɪ̯
கடற்கோள்	k ɐ ɖ ɐ r k oː ɭ
கடற்பாசி	k ɐ ɖ ɐ r p aː t͡ɕ i
கடலூர்	k ɐ ɖ ɐ l uː ɾ
கடலை	k ɐ ɖ ɐ l a ɪ̯
கடலோன்	k ɐ ɖ ɐ l oː n
கடல்	k ɐ ɖ ɐ l
கடல்நீர்	k ɐ ɖ ɐ l n̪ iː ɾ
கடவுச்சீட்டு	k ɐ ɖ ɐ ʋ u t͡ɕː iː ʈː u
கடவுச்சொற்கள்	k ɐ ɖ ɐ ʋ u t͡ɕː o r k ɐ ɭ
கடவுச்சொல்	k ɐ ɖ ɐ ʋ u t͡ɕː o l
கடவுள்	k ɐ ɖ ɐ ʋ u ɭ
கடாரம்	k ɐ ɖ aː ɾ ɐ m
கடி	k ɐ ɖ i
கடிகாரம்	k ɐ ɖ i ɡ aː ɾ ɐ m
கடிகாரம்	ɡ ɐ ɖ i ɡ aː ɾ ɐ m
கடிக்கை	k ɐ ɖ i kː a ɪ̯
கடிதம்	k ɐ ɖ i d̪ ɐ m
கடினம்	k ɐ ɖ i n ɐ m
கடுகு	k ɐ ɖ u ɡ u
கடுங்கோபம்	k ɐ ɖ u ŋ ɡ oː b ɐ m
கடுதாசி	k ɐ ɖ u d̪ aː t͡ɕ i
கடுமை	k ɐ ɖ u m a ɪ̯
கடும்	k ɐ ɖ u m
கடை	k ɐ ɖ a ɪ̯
கடைசி	k ɐ ɖ a ɪ̯ s i
கடைத்தெரு	k ɐ ɖ a ɪ̯ t̪ː e ɾ u
கடையர்	k ɐ ɖ a ɪ̯ j ɐ ɾ
கடைவாய்ப்பல்	k ɐ ɖ a ɪ̯ ʋ aː j pː ɐ l
கட்கம்	k ɐ ʈ k ɐ m
கட்சி	k ɐ ʈ t͡ɕ i
கட்சியார்	k ɐ ʈ t͡ɕ i j aː ɾ
கட்டடம்	k ɐ ʈː ɐ ɖ ɐ m
கட்டமைப்பு	k ɐ ʈː ɐ m a ɪ̯ pː u
கட்டம்	k ɐ ʈː ɐ m
கட்டல்	k ɐ ʈː ɐ l
கட்டளை	k ɐ ʈː ɐ ɭ a ɪ̯
கட்டி	k ɐ ʈː i
கட்டிடக்கலை	k ɐ ʈː i ɖ ɐ kː ɐ l a ɪ̯
கட்டிடம்	k ɐ ʈː i ɖ ɐ m
கட்டிப்பிடி	k ɐ ʈː i pː i ɖ i
கட்டிமை	k ɐ ʈː i m a ɪ̯
கட்டியடுப்பு	k ɐ ʈː i j ɐ ɖ u pː u
கட்டில்	k ɐ ʈː i l
கட்டு	k ɐ ʈː u
கட்டுத்தறி	k ɐ ʈː u t̪ː ɐ r i
கட்டுப்படு	k ɐ ʈː u pː ɐ ɖ u
கட்டுமரங்கள்	k ɐ ʈː u m ɐ ɾ ɐ ŋ ɡ ɐ ɭ
கட்டுமரம்	k ɐ ʈː u m ɐ ɾ ɐ m
கட்டுரை	k ɐ ʈː u ɾ a ɪ̯
கட்டை	k ɐ ʈː a ɪ̯
கட்டையிலை	k ɐ ʈː a ɪ̯ j i l a ɪ̯
கட்டைவிரல்	k ɐ ʈː a ɪ̯ ʋ i ɾ ɐ l
கணக்காளர்	k ɐ ɳ ɐ kː aː ɭ ɐ ɾ
கணக்கியல்	k ɐ ɳ ɐ kː i j ɐ l
கணக்கு	k ɐ ɳ ɐ kː u
கணம்	k ɐ ɳ ɐ m
கணவன்	k ɐ ɳ ɐ ʋ ɐ n
கணவாய்	k ɐ ɳ ɐ ʋ aː j
கணி	ɡ ɐ ɳ i
கணிகன்	k ɐ ɳ i ɡ ɐ n
கணிதம்	k ɐ ɳ i d̪ ɐ m
கணிதம்	ɡ ɐ ɳ i d̪ ɐ m
கணினி	k ɐ ɳ i n i
கணினியியல்	k ɐ ɳ i n i j i j ɐ l
கணு	k ɐ ɳ u
கணுமருது	k ɐ ɳ u m ɐ ɾ u d̪ u
கணேசன்	k ɐ ɳ eː t͡ɕ ɐ n
கணையாழி	k ɐ ɳ a ɪ̯ j aː ɻ i
கண்	k ɐ ɳ
கண்டக்கருவி	k ɐ ɳ ɖ ɐ kː ɐ ɾ u ʋ i
கண்டம்	k ɐ ɳ ɖ ɐ m
கண்டரை	k ɐ ɳ ɖ ɐ ɾ a ɪ̯
கண்டி	k ɐ ɳ ɖ i
கண்டிப்பு	k ɐ ɳ ɖ i pː u
கண்டு	k ɐ ɳ ɖ u
கண்டுபிடி	k ɐ ɳ ɖ u b i ɖ i
கண்டெடு	k ɐ ɳ ɖ e ɖ u
கண்டோனீயம்	k ɐ ɳ ɖ oː n iː j ɐ m
கண்ணன்	k ɐ ɳː ɐ n
கண்ணமரம்	k ɐ ɳː ɐ m ɐ ɾ ɐ m
கண்ணய	k ɐ ɳː ɐ j ɐ
கண்ணா	k ɐ ɳː aː
கண்ணாடி	k ɐ ɳː aː ɖ i
கண்ணாடிவிரியன்	k ɐ ɳː aː ɖ i ʋ i ɾ i j ɐ n
கண்ணி	k ɐ ɳː i
கண்ணீர்	k ɐ ɳː iː ɾ
கண்ணூர்	k ɐ ɳː uː ɾ
கண்ணோட்டம்	k ɐ ɳː oː ʈː ɐ m
கண்மாய்	k ɐ ɳ m aː j
கதகளி	k ɐ d̪ ɐ ɡ ɐ ɭ i
கதம்பகம்	k ɐ d̪ ɐ m b ɐ ɡ ɐ m
கதவு	k ɐ d̪ ɐ ʋ u
கதி	k ɐ d̪ i
கதிக்க	k ɐ d̪ i kː ɐ
கதிப்பு	k ɐ d̪ i pː u
கதிமை	k ɐ d̪ i m a ɪ̯
கதிரவன்	k ɐ d̪ i ɾ ɐ ʋ ɐ n
கதிரியக்கம்	k ɐ d̪ i ɾ i j ɐ kː ɐ m
கதிரோன்	k ɐ d̪ i ɾ oː n
கதிர்	k ɐ d̪ i ɾ
கதிர்க்கடவுள்	k ɐ d̪ i ɾ kː ɐ ɖ ɐ ʋ u ɭ
கதிர்க்கட்டு	k ɐ d̪ i ɾ kː ɐ ʈː u
கதிர்ப்பு	k ɐ d̪ i ɾ pː u
கதை	k ɐ d̪ a ɪ̯
கத்தரி	k ɐ t̪ː ɐ ɾ i
கத்தரிக்காய்	k ɐ t̪ː ɐ ɾ i kː aː j
கத்தி	k ɐ t̪ː i
கத்திரி	k ɐ t̪ː i ɾ i
கத்திரிக்காய்	k ɐ t̪ː i ɾ i kː aː j
கத்திரிணி	k ɐ t̪ː i ɾ i ɳ i
கத்திரியன்	k ɐ t̪ː i ɾ i j ɐ n
கத்து	k ɐ t̪ː u
கந்தகம்	k ɐ n̪ d̪ ɐ ɡ ɐ m
கந்தகம்	ɡ ɐ n̪ d̪ ɐ ɡ ɐ m
கந்தன்	k ɐ n̪ d̪ ɐ n
கந்தம்	k ɐ n̪ d̪ ɐ m
கந்தரம்	k ɐ n̪ d̪ ɐ ɾ ɐ m
கந்தல்	k ɐ n̪ d̪ ɐ l
கந்தி	k ɐ n̪ d̪ i
கந்து	k ɐ n̪ d̪ u
கனடா	k ɐ n ɐ ɖ aː
கனமழை	k ɐ n ɐ m ɐ ɻ a ɪ̯
கனம்	k ɐ n ɐ m
கனவு	k ɐ n ɐ ʋ u
கனா	k ɐ n aː
கனி	k ɐ n i
கனிமம்	k ɐ n i m ɐ m
கன்னட	k ɐ nː ɐ ɖ ɐ
கன்னடம்	k ɐ nː ɐ ɖ ɐ m
கன்னம்	k ɐ nː ɐ m
கன்னல்	k ɐ nː ɐ l
கன்னி	k ɐ nː i
கன்னியாகுமரி	k a nː i j aː k u m a ɾ i
கன்னியாகுமரி	k ɐ nː i j aː k u m ɐ ɾ i
கன்று	k ɐ n r u
கபடம்	k ɐ b ɐ ɖ ɐ m
கபாலம்	k ɐ b aː l ɐ m
கபிலம்	k ɐ b i l ɐ m
கபுரம்	k ɐ b u ɾ ɐ m
கபோதகம்	k ɐ b oː d̪ ɐ ɡ ɐ m
கபோதம்	k ɐ b oː d̪ ɐ m
கப்பற்சண்டை	k ɐ pː ɐ r t͡ɕ ɐ ɳ ɖ a ɪ̯
கப்பற்சேதம்	k ɐ pː ɐ r t͡ɕ eː d̪ ɐ m
கப்பல்	k ɐ pː ɐ l
கமகம	ɡ ɐ m ɐ ɡ ɐ m ɐ
கமலம்	k ɐ m ɐ l ɐ m
கம்பம்	k ɐ m b ɐ m
கம்பி	k ɐ m b i
கம்பு	k ɐ m b u
கம்போடியா	k ɐ m b oː ɖ i j aː
கயம்	k ɐ j ɐ m
கயல்	k ɐ j ɐ l
கயல்விழி	k ɐ j ɐ l ʋ i ɻ i
கயவாய்	k ɐ j ɐ ʋ aː j
கயிரவம்	k ɐ j i ɾ ɐ ʋ ɐ m
கயிறு	k ɐ j i r u
கரடகம்	k ɐ ɾ ɐ ɖ ɐ ɡ ɐ m
கரடி	k ɐ ɾ ɐ ɖ i
கரண்டி	k ɐ ɾ ɐ ɳ ɖ i
கரண்ட்	k ɐ ɾ ɐ ɳ ɖ
கரப்பான்	k ɐ ɾ ɐ pː aː n
கரம்	k ɐ ɾ ɐ m
கரி	k ɐ ɾ i
கரிக்குருவி	k ɐ ɾ i kː u ɾ u ʋ i
கரிச்சலாசத்து	k ɐ ɾ i t͡ɕː ɐ l aː t͡ɕ ɐ t̪ː u
கரிமம்	k ɐ ɾ i m ɐ m
கரியமிலவாயு	k ɐ ɾ i j ɐ m i l ɐ ʋ aː j u
கரிவாளன்கோலா	k ɐ ɾ i ʋ aː ɭ ɐ n ɡ oː l aː
கரு	k ɐ ɾ u
கருக்கு	k ɐ ɾ u kː u
கருக்குவாய்ச்சி	k ɐ ɾ u kː u ʋ aː j t͡ɕː i
கருங்கல்	k ɐ ɾ u ŋ ɡ ɐ l
கருங்காலி	k ɐ ɾ u ŋ ɡ aː l i
கருடன்	k ɐ ɾ u ɖ ɐ n
கருடன்	ɡ ɐ ɾ u ɖ ɐ n
கருணை	k ɐ ɾ u ɳ a ɪ̯
கருது	k ɐ ɾ u d̪ u
கருதுகோள்	k a ɾ u d̪ u k oː ɭ
கருதுகோள்	k ɐ ɾ u d̪ ɯ k oː ɭ
கருத்தியல்	k ɐ ɾ u t̪ː i j ɐ l
கருத்துரு	k ɐ ɾ u t̪ː u ɾ u
கருநாரை	k ɐ ɾ u n̪ aː ɾ a ɪ̯
கருப்பட்டி	k ɐ ɾ u pː ɐ ʈː i
கருப்பநீர்	k ɐ ɾ u pː ɐ n̪ iː ɾ
கருப்பம்	k ɐ ɾ u pː ɐ m
கருப்பிணி	k ɐ ɾ u pː i ɳ i
கருப்பு	k ɐ ɾ u pː u
கருப்பை	k ɐ ɾ u pː a ɪ̯
கருமம்	k ɐ ɾ u m ɐ m
கருமுட்டை	k ɐ ɾ u m u ʈː a ɪ̯
கருமை	k ɐ ɾ u m a ɪ̯
கருமையான	k ɐ ɾ u m a ɪ̯ j aː n ɐ
கரும்பு	k ɐ ɾ u m b u
கருவாடு	k ɐ ɾ u ʋ aː ɖ u
கருவி	k ɐ ɾ u ʋ i
கருவிழி	k ɐ ɾ u ʋ i ɻ i
கருவீரல்	k ɐ ɾ u ʋ iː ɾ ɐ l
கருவூலம்	k ɐ ɾ u ʋ uː l ɐ m
கரூர்	k ɐ ɾ uː ɾ
கரை	k ɐ ɾ a ɪ̯
கரைப்பு	k ɐ ɾ a ɪ̯ pː u
கர்த்தர்	k ɐ ɾ t̪ː ɐ ɾ
கர்நாடகம்	k ɐ ɾ n̪ aː ɖ ɐ ɡ ɐ m
கர்நாடகா	k ɐ ɾ n̪ aː ɖ ɐ ɡ aː
கர்ப்பிணி	k ɐ ɾ pː i ɳ i
கர்வம்	k ɐ ɾ ʋ ɐ m
கர்வம்	ɡ ɐ ɾ ʋ ɐ m
கறவு	k ɐ r ɐ ʋ u
கறவை	k ɐ r ɐ ʋ a ɪ̯
கறி	k ɐ r i
கறிக்கு	k ɐ r i kː u
கறிவேப்பிலை	k ɐ r i ʋ eː pː i l a ɪ̯
கறுவா	k ɐ r u ʋ aː
கறுவு	k ɐ r u ʋ u
கற்கண்டு	k ɐ r k ɐ ɳ ɖ u
கற்கம்	k ɐ r k ɐ m
கற்கள்	k ɐ r k ɐ ɭ
கற்குளி	k ɐ r k u ɭ i
கற்பனை	k ɐ r p ɐ n a ɪ̯
கற்பாழி	k ɐ r p aː ɻ i
கற்பி	k ɐ r p i
கற்பு	k ɐ r p u
கற்பூரம்	k ɐ r p uː ɾ ɐ m
கற்றார்	k ɐ rː aː ɾ
கற்றாலை	k ɐ rː aː l a ɪ̯
கற்றாழை	k ɐ rː aː ɻ a ɪ̯
கற்றிருத்து	k ɐ rː i ɾ u t̪ː u
கற்றை	k ɐ rː a ɪ̯
கற்றொட்டி	k ɐ rː o ʈː i
கற்றொழிலோர்	k ɐ rː o ɻ i l oː ɾ
கல	k ɐ l ɐ
கலகம்	k ɐ l ɐ ɡ ɐ m
கலங்கரை	k ɐ l ɐ ŋ ɡ ɐ ɾ a ɪ̯
கலங்கரைவிளக்கம்	k ɐ l ɐ ŋ ɡ ɐ ɾ a ɪ̯ ʋ i ɭ ɐ kː ɐ m
கலசம்	k ɐ l ɐ t͡ɕ ɐ m
கலந்தாய்வு	k ɐ l ɐ n̪ d̪ aː j ʋ u
கலப்பை	k ɐ l ɐ pː a ɪ̯
கலம்	k ɐ l ɐ m
கலயம்	k ɐ l ɐ j ɐ m
கலவி	k ɐ l ɐ ʋ i
கலவை	k ɐ l ɐ ʋ a ɪ̯
கலாய்	k ɐ l aː j
கலாவர்	k ɐ l aː ʋ ɐ ɾ
கலாவர்கள்	k ɐ l aː ʋ ɐ ɾ ɡ ɐ ɭ
கலுழ்ச்சி	k ɐ l u ɻ t͡ɕː i
கலை	k ɐ l a ɪ̯
கலைக்களஞ்சியம்	k ɐ l a ɪ̯ kː ɐ ɭ ɐ ɲ d͡ʑ i j ɐ m
கலைச்சொல்	k ɐ l a ɪ̯ t͡ɕː o l
கலைஞர்	k ɐ l a ɪ̯ ɲ ɐ ɾ
கலையுருக்காட்டி	k ɐ l a ɪ̯ j u ɾ u kː aː ʈː i
கல்	k ɐ l
கல்யாணம்	k ɐ l j aː ɳ ɐ m
கல்லீரல்	k ɐ l l iː ɾ ɐ l
கல்லூரி	k ɐ l l uː ɾ i
கல்லேறு	k ɐ l l eː r u
கல்லோலம்	k ɐ l l oː l ɐ m
கல்வி	k ɐ l ʋ i
கல்விக்கூடம்	k ɐ l ʋ i kː uː ɖ ɐ m
கல்விநிலையம்	k ɐ l ʋ i n̪ i l a ɪ̯ j ɐ m
கல்வெட்டியல்	k ɐ l ʋ e ʈː i j ɐ l
கல்வெட்டு	k ɐ l ʋ e ʈː u
களஞ்சியம்	k ɐ ɭ ɐ ɲ d͡ʑ i j ɐ m
களம்	k ɐ ɭ ɐ m
களவு	k ɐ ɭ ɐ ʋ u
களிகூறு	k a ɭ i k uː r u
களிகூறு	k ə ɭ ɪ k uː r ɯ
களிப்பு	k ɐ ɭ i pː u
களிமண்	k ɐ ɭ i m ɐ ɳ
களிறு	k ɐ ɭ i r u
களை	k ɐ ɭ a ɪ̯
கள்	k ɐ ɭ
கள்ளக்குறிச்சி	k ɐ ɭː ɐ kː u r i t͡ɕː i
கள்ளம்	k ɐ ɭː ɐ m
கள்ளிச்செடி	k ɐ ɭː i t͡ɕː e ɖ i
கழகம்	k ɐ ɻ ɐ ɡ ɐ m
கழட்டு	k ɐ ɻ ɐ ʈː u
கழனி	k ɐ ɻ ɐ n i
கழற்று	k ɐ ɻ ɐ rː u
கழி	k ɐ ɻ i
கழித்தல்	k ɐ ɻ i t̪ː ɐ l
கழிமுட்டான்	k ɐ ɻ i m u ʈː aː n
கழிவு	k ɐ ɻ i ʋ u
கழுகரிப்பரி	k ɐ ɻ u ɡ ɐ ɾ i pː ɐ ɾ i
கழுகு	k ɐ ɻ u ɡ u
கழுதை	k ɐ ɻ u d̪ a ɪ̯
கழுதைப்புலி	k ɐ ɻ u d̪ a ɪ̯ pː u l i
கழுத்து	k ɐ ɻ u t̪ː u
கழுவு	k ɐ ɻ u ʋ u
கவனம்	ɡ ɐ ʋ ɐ n ɐ m
கவனி	ɡ ɐ ʋ ɐ n i
கவர்வு	k ɐ ʋ ɐ ɾ ʋ u
கவற்சி	k ɐ ʋ ɐ r t͡ɕ i
கவலை	k ɐ ʋ ɐ l a ɪ̯
கவல்	k ɐ ʋ ɐ l
கவி	k ɐ ʋ i
கவிகள்	k ɐ ʋ i ɡ ɐ ɭ
கவிஞர்	k ɐ ʋ i ɲ ɐ ɾ
கவிதை	k ɐ ʋ i d̪ a ɪ̯
கவின்	k ɐ ʋ i n
கவிழ்	k ɐ ʋ i ɻ
கவுதாரி	k ɐ ʋ u d̪ aː ɾ i
கஷ்டங்கள்	k ɐ ʂ ʈ ɐ ŋ ɡ ɐ ɭ
கஷ்டம்	k ɐ ʂ ʈ ɐ m
கஸாயி	k ɐ s aː j i
கஸ்தூரிமஞ்சள்	k ɐ s t̪ uː ɾ i m ɐ ɲ d͡ʑ ɐ ɭ
கா	k aː
காகம்	k aː ɡ ɐ m
காகிதம்	k aː ɡ i d̪ ɐ m
காக்காய்	k aː kː aː j
காக்காய்பிடி	k aː kː aː j b i ɖ i
காக்காய்வெருட்சி	k aː kː aː j ʋ e ɾ u ʈ t͡ɕ i
காக்கை	k aː kː a ɪ̯
காக்கைக்கு	k aː kː a ɪ̯ kː u
காசர்கோடு	k aː t͡ɕ ɐ ɾ ɡ oː ɖ u
காசறை	k aː t͡ɕ ɐ r a ɪ̯
காசினிவிரை	k aː t͡ɕ i n i ʋ i ɾ a ɪ̯
காசு	k aː t͡ɕ u
காசோலை	k aː t͡ɕ oː l a ɪ̯
காஞ்சிபுரம்	k aː ɲ d͡ʑ i b u ɾ ɐ m
காடு	k aː ɖ u
காடை	k aː ɖ a ɪ̯
காடைக்கண்ணி	k aː ɖ a ɪ̯ kː ɐ ɳː i
காட்சி	k aː ʈ t͡ɕ i
காட்டகத்தமிர்து	k aː ʈː ɐ ɡ ɐ t̪ː ɐ m i ɾ d̪ u
காட்டசை	k aː ʈː ɐ t͡ɕ a ɪ̯
காட்டாமணக்கு	k aː ʈː aː m ɐ ɳ ɐ kː u
காட்டிலும்	k aː ʈː i l u m
காட்டு	k aː ʈː u
காட்டுக்காய்ச்சுரை	k aː ʈː u kː aː j t͡ɕː u ɾ a ɪ̯
காட்டுக்கோழி	k aː ʈː u kː oː ɻ i
காட்டுச்சந்தனம்	k aː ʈː u t͡ɕː ɐ n̪ d̪ ɐ n ɐ m
காட்டுப்பயிர்	k aː ʈː u pː ɐ j i ɾ
காட்டுப்புகையிலை	k aː ʈː u pː u ɡ a ɪ̯ j i l a ɪ̯
காட்டுப்பூனை	k aː ʈː u pː uː n a ɪ̯
காட்டுவெண்டை	k aː ʈː u ʋ e ɳ ɖ a ɪ̯
காட்டெருமை	k aː ʈː e ɾ u m a ɪ̯
காணம்	k aː ɳ ɐ m
காணி	k aː ɳ i
காணொளி	k aː ɳ o ɭ i
காண்	k aː ɳ
காண்டம்	k aː ɳ ɖ ɐ m
காண்டாமிருகம்	k aː ɳ ɖ aː m i ɾ u ɡ ɐ m
காண்டீவம்	k aː ɳ ɖ iː ʋ ɐ m
காண்டு	ɡ aː ɳ ɖ u
காதணி	k aː d̪ ɐ ɳ i
காதம்	k aː d̪ ɐ m
காதரம்	k aː d̪ ɐ ɾ ɐ m
காதலன்	k aː d̪ ɐ l ɐ n
காதல்	k aː d̪ ɐ l
காது	k aː d̪ u
காதை	k aː d̪ a ɪ̯
காத்திரம்	k aː t̪ː i ɾ ɐ m
காந்தக்கல்	k aː n̪ d̪ ɐ kː ɐ l
காந்தம்	k aː n̪ d̪ ɐ m
காந்தவண்டி	k aː n̪ d̪ ɐ ʋ ɐ ɳ ɖ i
காந்தாரம்	k aː n̪ d̪ aː ɾ ɐ m
கானங்கோழி	k aː n ɐ ŋ ɡ oː ɻ i
கானலி	k aː n ɐ l i
கானல்	k aː n ɐ l
கானெறி	k aː n e r i
காபி	k aː b i
காபூல்	k aː b uː l
காப்ச்சா	k aː p t͡ɕː aː
காப்பாற்று	k aː pː aː rː u
காப்பியம்	k aː pː i j ɐ m
காப்பீடு	k aː pː iː ɖ u
காமமரம்	k aː m ɐ m ɐ ɾ ɐ m
காமம்	k aː m ɐ m
காம்புச்சல்லடை	k aː m b u t͡ɕː ɐ l l ɐ ɖ a ɪ̯
காயம்	k aː j ɐ m
காய்	k aː j
காய்கறி	k aː j ɡ ɐ r i
காய்ச்சல்	k aː j t͡ɕː ɐ l
காய்த்து	k aː j t̪ː u
காரணம்	k aː ɾ ɐ ɳ ɐ m
காரம்	k aː ɾ ɐ m
காராமணி	k aː ɾ aː m ɐ ɳ i
காரியம்	k aː ɾ i j ɐ m
காரீயக்கல்	k aː ɾ iː j ɐ kː ɐ l
காருண்யம்	k aː ɾ u ɳ j ɐ m
கார்	k aː ɾ
கார்த்திகேயன்	k aː ɾ t̪ː i ɡ eː j ɐ n
கார்த்திகை	k aː ɾ t̪ː i ɡ a ɪ̯
கார்த்திகைவாளை	k aː ɾ t̪ː i ɡ a ɪ̯ ʋ aː ɭ a ɪ̯
கார்த்தூம்	k aː ɾ t̪ː uː m
கார்ப்பு	k aː ɾ pː u
கார்மம்	k aː ɾ m ɐ m
கார்முகில்	k aː ɾ m u ɡ i l
காறையெலும்பு	k aː r a ɪ̯ j e l u m b u
காற்றழுத்தமானி	k aː rː ɐ ɻ u t̪ː ɐ m aː n i
காற்றழுத்தம்	k aː rː ɐ ɻ u t̪ː ɐ m
காற்றாடி	k aː rː aː ɖ i
காற்றாலை	k aː rː aː l a ɪ̯
காற்று	k aː rː u
காலணி	k aː l ɐ ɳ i
காலம்	k aː l ɐ m
காலாள்	k aː l aː ɭ
காலுறை	k aː l u r a ɪ̯
காலுறைகள்	k aː l u r a ɪ̯ ɡ ɐ ɭ
காலை	k aː l a ɪ̯
கால்	k aː l
கால்நடை	k aː l n̪ ɐ ɖ a ɪ̯
காளவாய்	k aː ɭ ɐ ʋ aː j
காளான்	k aː ɭ aː n
காளை	k aː ɭ a ɪ̯
காவல்	k aː ʋ ɐ l
காவி	k aː ʋ i
காவு	k aː ʋ u
காவேரி	k aː ʋ eː ɾ i
கிசில்	k i t͡ɕ i l
கிசுகிசு	k i s u k i s u
கிசுகிசு	k i s u k i s ɯ
கிச்சு	k i t͡ɕː u
கிட	k i ɖ ɐ
கிடக்கை	k i ɖ ɐ kː a ɪ̯
கிடப்பு	k i ɖ ɐ pː u
கிடை	k i ɖ a ɪ̯
கிட்ட	k i ʈː ɐ
கிட்டப்பார்வை	k i ʈː ɐ pː aː ɾ ʋ a ɪ̯
கிணறு	k i ɳ ɐ r u
கிணற்றாமை	k i ɳ ɐ rː aː m a ɪ̯
கிணற்றுக்கட்டு	k i ɳ ɐ rː u kː ɐ ʈː u
கிண்டி	k i ɳ ɖ i
கிண்டி	ɡ i ɳ ɖ i
கித்தார்	k i t̪ː aː ɾ
கித்தில்	k i t̪ː i l
கின்னம்	k i nː ɐ m
கின்னரம்	k i nː ɐ ɾ ɐ m
