ꦄ	a
ꦮꦸꦤꦶ	w u n i
ꦮꦸꦫꦸꦏ꧀	w u r u k
ꦮꦺꦤ꧀ꦠꦼꦤ꧀	w ɛ n t ə n
ꦮꦺꦴꦁ	w ɔ ŋ
ꦮꦺꦴꦤ꧀ꦠꦼꦤ꧀	w ɔ n t ə n
ꦮꦼꦤꦁ	w ə n a ŋ
ꦮꦼꦫꦏ꧀	w ə r a ʔ
ꦮꦼꦮꦼꦤꦁ	w ə w ə n a ŋ
ꦮꦼꦱꦶ	w ə s i
ꦱꦏ	s ɔ k ɔ
ꦱꦒ	s ɔ ɡ ɔ
ꦱꦒꦫ	s a ɡ a r a
ꦱꦔꦸ	s a ŋ u
ꦱꦠ	s ɔ t ɔ
ꦱꦠꦺ	s a t e
ꦱꦢꦪ	s a d ɔ j ɔ
ꦱꦤ	s ɔ n ɔ
ꦱꦤꦏ꧀	s a n a k
ꦱꦤ꧀ꦝꦔꦤ꧀	s a ɖ a ŋ a n
ꦱꦤ꧀ꦠꦼꦤ꧀	s a n t ə n
ꦱꦥ	s ɔ p ɔ
ꦱꦥꦶ	s a p i
ꦱꦧ꧀ꦢ	s a p d ɔ
ꦱꦩꦸꦢꦿ	s a m u d r ɔ
ꦱꦩꦺꦴꦢꦿ	s a m o d r ɔ
ꦱꦩ꧀ꦥꦺꦪꦤ꧀	s a m p e j a n
ꦱꦫ	s ɔ r ɔ
ꦱꦫꦝꦝꦸ	s a r a ɖ a ɖ u
ꦱꦫꦱꦺꦲꦤ꧀	s a r a s ɛ h a n
ꦱꦫꦶ	s a r i
ꦱꦫꦸꦁ	s a r ʊ ŋ
ꦱꦫꦺ	s a r e
ꦱꦭ	s ɔ l ɔ
ꦱꦭꦃ	s a l a h
ꦱꦭꦶꦫ	s a l i r ɔ
ꦱꦮꦃ	s a w a h
ꦱꦮꦸꦁ	s a w ʊ ŋ
ꦱꦱꦁꦏ	s a s a ŋ k ɔ
ꦱꦱꦤ	s ɔ s ɔ n ɔ
ꦱꦱ꧀ꦠꦿ	s a s t r ɔ
ꦱꦶ	s i
ꦱꦶꦏꦼꦥ꧀	s i k ə p
ꦱꦶꦤꦸꦲꦸꦤ꧀	s i n u h u n
ꦱꦶꦤ꧀ꦝꦺꦤ꧀	s i n ɖ ɛ n
ꦱꦶꦤ꧀ꦠꦼꦤ꧀	s i n t ə n
ꦱꦶꦪꦁ	s i j a ŋ
ꦱꦶꦫꦃ	s i r a h
ꦱꦸꦒꦠ	s u ɡ ɔ t ɔ
ꦱꦸꦒꦼꦁ	s u ɡ ə ŋ
ꦱꦸꦔꦸꦠ꧀	s u ŋ ʊ t
ꦱꦸꦕꦶ	s u t͡ʃ i
ꦱꦸꦝꦃ	s u ɖ a h
ꦱꦸꦝꦶ	s u ɖ i
ꦱꦸꦢ	s u d ɔ
ꦱꦸꦢꦒꦂ	s u d a ɡ a r
ꦱꦸꦢꦶ	s u d i
ꦱꦸꦢꦿ	s u d r ɔ
ꦱꦸꦪꦱ	s u j ɔ s ɔ
ꦱꦸꦮꦸꦤ꧀	s u w u n
ꦱꦸꦱꦶꦭ	s u s i l ɔ
ꦱꦸꦲꦸꦤ꧀	s u h u n
ꦱꦺꦉꦥ꧀	s ɛ r ə p
ꦱꦺꦤꦥꦠꦶ	s e n ɔ p a t i
ꦱꦺꦫꦺꦠ꧀	s e r ɛ t
ꦱꦺꦭ	s e l ɔ
ꦱꦺꦴꦠꦺꦴ	s o t o
ꦱꦺꦴꦫ	s o r ɔ
ꦱꦼꦉꦠ꧀	s ə r ə t
ꦱꦼꦉꦥ꧀	s ə r ə p
ꦱꦼꦏ꧀ꦠꦶ	s ə k t i
ꦱꦼꦕꦁ	s ə t͡ʃ a ŋ
ꦱꦼꦤꦶ	s ə n i
ꦱꦼꦤ꧀ꦠꦤ	s ə n t ɔ n ɔ
ꦱꦼꦥꦸꦃ	s ə p u h
ꦱꦼꦩꦢꦶ	s ə m a d i
ꦱꦼꦩ꧀ꦧꦿꦤ	s ə m b r ɔ n ɔ
ꦱꦼꦫꦠ꧀	s ə r a t
ꦱꦼꦭ	s ə l ɔ
ꦱꦽꦔꦺꦔꦺ	s r ə ŋ e ŋ e
ꦱꦿꦩ	s r ɔ m ɔ
ꦱꦿꦶ	s r i
ꦱꦿꦸꦤ꧀ꦢꦺꦁ	s r ʊ n d ɛ ŋ
ꦱ꧀ꦭꦩꦼꦠꦤ꧀	s l a m ə t a n
ꦱ꧀ꦭꦩꦼꦠ꧀	s l a m ə t
ꦱ꧀ꦭꦺꦤ꧀ꦢꦿꦺꦴ	s l e n d r o
ꦱ꧀ꦮꦫ	s w ɔ r ɔ
ꦲꦁꦒ	h a ŋ ɡ ɔ
ꦲꦁꦱ	a ŋ s a
ꦲꦂꦒ	a r ɡ ɔ
ꦲꦂꦒꦾ	a r ɡ j ɔ
ꦲꦂꦪ	a r j ɔ
ꦲꦉꦥ꧀	a r ə p
ꦲꦏꦺꦃ	a k ɛ h
ꦲꦔꦤ꧀	a ŋ a n
ꦲꦔꦼꦤ꧀	a ŋ ə n
ꦲꦕꦸꦁ	a t͡ʃ u ŋ
ꦲꦗꦶ	a d͡ʒ i
ꦲꦗꦶ	h a d͡ʒ i
ꦲꦗꦼꦒ꧀	a d͡ʒ ə k
ꦲꦝꦁ	a d a ŋ
ꦲꦝꦃ	a ɖ a h
ꦲꦝꦼꦥ꧀	a ɖ ə p
ꦲꦠꦸꦂ	a t u r
ꦲꦢꦁ	a d a ŋ
ꦲꦢꦶꦥꦠꦶ	a d i p a t i
ꦲꦢꦼꦒꦤ꧀	a d ə ɡ a n
ꦲꦢꦼꦒ꧀	a d ə k
ꦲꦢꦼꦒ꧀ꦲꦢꦼꦒ꧀	a d ə k a d ə k
ꦲꦤꦕꦫꦏ	h ɔ n ɔ t͡ʃ ɔ r ɔ k ɔ
ꦲꦤꦺꦴꦩ꧀	a n ɔ m
ꦲꦤ꧀ꦝꦥ꧀	a n ɖ a p
ꦲꦤ꧀ꦝꦺꦴꦁ	a n ɖ ɔ ŋ
ꦲꦤ꧀ꦠꦼꦁ	a n t ə ŋ
ꦲꦤ꧀ꦢꦺꦴꦁ	a n d̪ ɔ ŋ
ꦲꦥ	a p a
ꦲꦥ	ɔ p ɔ
ꦲꦧꦁ	a b a ŋ
ꦲꦧꦁ	ɔ b ɔ ŋ
ꦲꦧꦸꦏ꧀	a b ʊ k
ꦲꦩꦺꦴꦁ	a m ɔ ŋ
ꦲꦩ꧀ꦧ	ɔ m b ɔ
ꦲꦩ꧀ꦧꦸ	a m b u
ꦲꦩ꧀ꦧꦼꦁ	a m b ə ŋ
ꦲꦩ꧀ꦧꦿꦤꦁ	a m b r a n a ŋ
ꦲꦫꦸꦃ	a r ʊ h
ꦲꦫꦸꦱ꧀	a r u s
ꦲꦭ	ɔ l ɔ
ꦲꦭꦥ꧀	a l a p
ꦲꦭꦶꦃ	a l ɪ h
ꦲꦭꦸꦤ꧀	a l u n
ꦲꦭꦺꦴꦤ꧀	a l ɔ n
ꦲꦱꦠ꧀	a s a t
ꦲꦱ꧀ꦠ	h a s t ɔ
ꦲꦱ꧀ꦠꦤ	a s t ɔ n ɔ
ꦲꦱ꧀ꦩ	a s m ɔ
ꦲꦶꦁꦒꦶꦭ꧀	i ŋ ɡ i l
ꦲꦶꦚꦺꦴꦁ	i ɲ ɔ ŋ
ꦲꦶꦠ	h i t ɔ
ꦲꦶꦢꦼꦂ	i d ə r
ꦲꦶꦢꦼꦥ꧀	ɪ d ə p̚
ꦲꦶꦮꦏ꧀	i w a ʔ
ꦲꦸꦁꦏꦢ꧀	ʊ ŋ k a t
ꦲꦸꦒꦼꦂ	u ɡ ə r
ꦲꦸꦢꦸꦏ꧀	u d u k
ꦲꦸꦤ꧀ꦝꦁ	ʊ n ɖ a ŋ
ꦲꦸꦩ꧀ꦧꦸꦭ꧀	u m b u l
ꦲꦸꦭꦸ	u l u
ꦲꦸꦭꦸꦲꦸꦭꦸ	u l u u l u
ꦲꦺꦚꦺꦴꦁ	ɛ ɲ ɔ ŋ
ꦲꦺꦩ꧀ꦧꦺꦂ	ɛ m b ɛ r
ꦲꦺꦭꦶꦁ	e l ɪ ŋ
ꦲꦺꦱ꧀ꦠꦿꦶ	ɛ s t r i
ꦲꦺꦴꦧꦠ꧀	o b a t
ꦲꦼꦂꦗꦸꦤ	h ə r d͡ʒ u n a
ꦲꦼꦤ꧀ꦝꦱ꧀	ə n ɖ a s
ꦲꦼꦩ꧀ꦥꦭ꧀	ə m p a l
ꦲꦼꦩ꧀ꦧꦤ꧀	ə m b a n
