aakʼee	ʔ ɑ̀ː kʼ èː
iildlóósh	ʔ ìː l t͡l óː ʃ
íílééh	ʔ íː l éː h
iiltaał	ʔ ìː l tʰ ɑ̀ː ɬ
iilyeed	ʔ ìː l j èː t
iilʼéés	ʔ ìː l ʔ éː s
iiłchʼąął	ʔ ìː l t͡ʃʼ ɑ̀ː l
iiłjiid	ʔ ìː l t͡ʃ ìː t
iiłmáás	ʔ ìː ɬ m ɑ́ː s
ííłní	ʔ íː ɬ n ɪ́
ííłniih	ʔ íː ɬ n ìː h
iiłtʼááh	ʔ ìː ɬ tʼ ɑ́ː h
iiłtʼééh	ʔ ìː ɬ tʼ éː h
iiłtʼood	ʔ ìː ɬ tʼ òː t
iiłʼeeł	ʔ ìː ɬ ʔ èː ɬ
ííłʼį́	ʔ íː ɬ ʔ ĩ́
iimáás	ʔ ìː m ɑ́ː s
iiná	ʔ ìː n ɑ́
ííníiltaʼ	ʔ íː n îː l tʰ ɑ̀ ʔ
íínílwod	ʔ íː n ɪ́ l w ò t
ííníłtaʼ	ʔ íː n ɪ́ ɬ tʰ ɑ̀ ʔ
ííníshtaʼ	ʔ íː n ɪ́ ʃ tʰ ɑ̀ ʔ
ííníyá	ʔ íː n ɪ́ j ɑ́
íínółtaʼ	ʔ íː n ó ɬ tʰ ɑ̀ ʔ
iishchʼid	ʔ ìː ʃ t͡ʃʼ ɪ̀ t
iiteeł	ʔ ìː tʰ èː ɬ
Iithiyópya	ʔ ìː θ ɪ̀ j ó pʰ j ɑ̀
iitʼééh	ʔ ìː tʼ éː h
iitłíísh	ʔ ìː t͡ɬʰ íː ʃ
iiʼ	ʔ ìː ʔ
iiʼeeł	ʔ ìː ʔ èː ɬ
iiʼnééh	ʔ ìː ʔ n éː h
ilí	ʔ ɪ̀ l ɪ́
ílį́įgo	ʔ ɪ́ l ĩ́ː k ò
ílį́įnii	ʔ ɪ́ l ĩ̂ː n ìː
iłhóyééʼ	ʔ ɪ̀ ɬ h ó j éː ʔ
íłį́	ʔ ɪ́ ɬ ĩ́
ínáóltąʼí	ʔ ɪ́ n ɑ́ ó l tʰ ɑ̃̀ ʔ ɪ́
índa	ʔ ɪ́ n t ɑ̀
ínsadoobíídiiya	ʔ ɪ́ n s ɑ̀ t òː p íː t ìː j ɑ̀
íyą́	ʔ ɪ́ j ɑ̃́
iʼííʼą́	ɪ̀ ʔ íː ʔ ɑ̃́
iʼiiʼnííł	ʔ ɪ̀ ʔ ìː ʔ n íː ɬ
jaaʼabaní	t͡ʃ ɑ̀ː ʔ ɑ̀ p ɑ̀ n ɪ́
jádí	t͡ʃ ɑ́ t ɪ́
jádídlǫ́ʼii	t͡ʃ ɑ́ t ɪ́ t͡ɬ ṍ ʔ ìː
jádítsoh	t͡ʃ ɑ́ t ɪ́ t͡sʰ ò h
jééhkał	t͡ʃ éː h kʰ ɑ̀ ɬ
jélii	t͡ʃ ɛ́ l ìː
jį́	t͡ʃ ĩ́
Jíbitoo	t͡ʃ ɪ́ p ɪ̀ t òː
jį́į́dą́ą́ʼ	t͡ʃ ĩ́ː t ɑ̃́ː ʔ
jį́įgo	t͡ʃ ĩ́ː k ò
Jíísas	t͡ʃ íː s ɑ̀ s
jiłtʼoʼí	t͡ʃ ɪ̀ ɬ tʼ ò ʔ ɪ́
jish	t͡ʃ ɪ̀ ʃ
jó	t͡ʃ ó
jóhonaaʼéí	t͡ʃ ó h ò n àː ʔ ɛ́ ɪ́
joobaah	t͡ʃ òː p ɑ̀ː h
joobaʼ	t͡ʃ òː p ɑ̀ ʔ
joogii	t͡ʃ òː k ìː
Jóojah	t͡ʃ ôː t͡ʃ ɑ̀ h
jooł	t͡ʃ òː ɬ
káábin	kʰ ɑ́ː p ɪ̀ n
ké	k ɛ́
kééhatʼį́	kʰ éː h ɑ̀ tʼ ĩ́
kélchí	k ɛ́ l t͡ʃʰ ɪ́
Késhmish	kʰ ɛ́ ʃ m ɪ̀ ʃ
kétłoh	kʰ ɛ́ t͡ɬʰ ò h
kéyah	kʰ ɛ́ j ɑ̀ h
kin	kʰ ɪ̀ n
Kinłání	kʰ ɪ̀ n ɬ ɑ́ n ɪ́
kintah	kʰ ɪ̀ n tʰ ɑ̀ h
kónaa	kʰ ó n ɑ̀ː
kóyaa	kʰ ó j ɑ̀ː
kǫʼ	kʰ õ̀ ʔ
kʼ	kʼ
Kʼ	kʼ
kʼaalógii	kʼ ɑ̀ː l ó k ìː
kʼad	kʼ ɑ̀ t
Kʼiiłtsoiitah	kʼ ìː ɬ t͡sʰ ò ìː tʰ à h
kʼįįʼ	kʼ ĩ̀ ʔ
kʼíshíshjį́į́zh	kʼ ɪ́ ʃ ɪ́ ʃ t͡ʃ ĩ́ː ʒ
kʼos	kʼ ò s
kw	kʷʰ
Kw	kʷʰ
lá	l ɑ́
laanaa	l ɑ̀ː n ɑ̀ː
lágo	l ɑ́ k ò
lókʼeeshchąąʼí	l ó kʼ èː ʃ t͡ʃʰ ɑ̃̀ː ʔ ɪ́
łáaʼii	ɬ ɑ̂ː ʔ ìː
łahgo	ɬ ɑ̀ h k ò
łaʼ	ɬ ɑ̀ ʔ
łaʼtsʼáadah	ɬ ɑ̀ ʔ t͡sʼ ɑ̂ː t ɑ̀ h
łééchąąʼí	ɬ éː t͡ʃʰ ɑ̃̀ː ʔ ɪ́
łeeh	ɬ èː h
łeesdísí	ɬ èː s t ɪ́ s ɪ́
łeesʼáán	ɬ èː s ʔ ɑ́ː n
łeeyiʼ	ɬ èː j ɪ̀ ʔ
łeezh	ɬ èː ʒ
łeʼ	ɬ ɛ̀ ʔ
łeʼdilchʼííł	ɬ ɛ̀ ʔ t ɪ̀ l t͡ʃʼ íː ɬ
łibá	ɬ ɪ̀ p ɑ́
łichííʼ	ɬ ɪ̀ t͡ʃʰ íː ʔ
łichxííʼ	ɬ ɪ̀ t͡ʃʰ x íː ʔ
łid	ɬ ɪ̀ t
łigai	ɬ ɪ̀ k ɑ̀ ɪ̀
łigaii	ɬ ɪ̀ k ɑ̀ ìː
łį́į́ʼ	ɬ ĩ́ː ʔ
łikan	ɬ ɪ̀ kʰ ɑ̀ n
łitso	ɬ ɪ̀ t͡sʰ ò
łitsooí	ɬ ɪ̀ t͡sʰ òː ɪ́
łitsxo	ɬ ɪ̀ t͡sʰ x ò
łizhin	ɬ ɪ̀ ʒ ɪ̀ n
łizhiní	ɬ ɪ̀ ʒ ɪ̀ n ɪ́
łóóʼ	ɬ óː ʔ
łóóʼtsoh	ɬ óː ʔ t͡sʰ ò h
Maakiimaakii	m ɑ̀ː k ìː m ɑ̀ː k ìː
Máaz	m ɑ̂ː z
mágí	m ɑ́ k ɪ́
mágítsoh	m ɑ́ k ɪ́ t͡sʰ ò h
mandagíiya	m ɑ̀ n t ɑ̀ k îː j ɑ̀
másí	m ɑ́ s ɪ́
mąʼii	m ɑ̃̀ ʔ ìː
Méhigo	m ɛ́ h ɪ̀ k ò
mííl	m íː l
Mókiwii	m ó kʰ ɪ̀ w ìː
mósí	m ó s ɪ́
ná	n ɑ́
naa	n ɑ̀ː
naabąąs	n ɑ̀ː p ɑ̃̀ː s
Naabeehó	n ɑ̀ː p èː h ó
naadą́ą́ʼ	n ɑ̀ː t ɑ̃́ː ʔ
náádamóo	n ɑ́ː t ɑ̀ m ôː
náádamóogo	n ɑ́ː t ɑ̀ m ôː k ò
naadiin	n ɑ̀ː t ìː n
naaghá	n ɑ̀ː ɣ ɑ́
nááhai	n ɑ́ː h ɑ̀ ɪ̀ː
nááhaiídą́ą́ʼ	n ɑ́ː h ɑ̀ ǐː t ɑ̃́ː ʔ
naaki	n ɑ̀ː kʰ ɪ̀
naakiishchíín	n àː kʰ ìː ʃ t͡ʃʰ íː n
naakishchíín	n àː kʰ ɪ̀ ʃ t͡ʃʰ íː n
naakitsʼáadah	n ɑ̀ː k ɪ̀ t͡sʼ ɑ̂ː t ɑ̀ h
naaldo	n ɑ̀ː l t ò
naaldloosh	n ɑ̀ː l t͡l òː ʃ
naaldlooshii	n ɑ̀ː l t͡l òː ʃ ìː
naalkaah	n ɑ̀ː l kʰ ɑ̀ː h
naalnish	n ɑ̀ː l n ɪ̀ ʃ
naaltsoos	n ɑ̀ː l t͡sʰ òː s
naalyéhé	n ɑ̀ː l j ɛ́ h ɛ́
naalʼeełí	n ɑ̀ː l ʔ èː ɬ ɪ́
naalʼeełídaaʼí	n ɑ̀ː l ʔ èː ɬ ɪ́ t ɑ̀ː ʔ ɪ́
náánádááh	n ɑ́ː n ɑ́ t ɑ́ː h
naané	n ɑ̀ː n ɛ́
naasbá	n ɑ̀ː s p ɑ́
naasgai	n ɑ̀ː s k ɑ̀ ɪ̀
naaskai	n ɑ̀ː s kʰ ɑ̀ ɪ̀
naastsxo	n ɑ̀ː s t͡sʰ x ò
naashchiiʼ	n ɑ̀ː ʃ t͡ʃʰ ìː ʔ
Naashgalí	n ɑ̀ː ʃ k ɑ̀ l ɪ́
naashjin	n ɑ̀ː ʃ t͡ʃ ɪ̀ n
naatʼáanii	n ɑ̀ː tʼ ɑ̂ː n ìː
naatʼaʼ	n ɑ̀ː tʼ ɑ̀ ʔ
naatʼaʼí	n ɑ̀ː tʼ ɑ̀ ʔ ɪ́
náátsʼíílid	n ɑ́ː t͡sʼ íː l ɪ̀ t
náátsʼǫ́ʼoołdísii	n ɑ́ː t͡sʼ ṍ ʔ òː ɬ t ɪ́ s ìː
naayá	n ɑ̀ː j ɑ́
naayééʼ	n ɑ̀ː j éː ʔ
naayízítsʼósí	n ɑ̀ː j ɪ́ z ɪ́ t͡sʼ ó s ɪ́
naazhʼáázh	n ɑ̀ː ʒ ʔ ɑ́ː ʒ
naaʼahóóhai	n ɑ̀ː ʔ ɑ̀ h óː h ɑ̀ ɪ̀
naaʼeeł	n ɑ̀ː ʔ èː ɬ
naaʼnaʼ	n ɑ̀ː ʔ n ɑ̀ ʔ
nábał	n ɑ́ p ɑ̀ ɬ
naháatą́	n ɑ̀ h ɑ̂ː tʰ ɑ̃́
naháaztą́	n ɑ̀ h ɑ̂ː z tʰ ɑ̃́
náhádleeh	n ɑ́ h ɑ́ t͡l èː h
nahakʼízii	n ɑ̀ h ɑ̀ kʼ ɪ́ z ìː
nahałtin	n ɑ̀ h ɑ̀ ɬ tʰ ɪ̀ n
nahasdzáán	n ɑ̀ h ɑ̀ s t͡s ɑ́ː n
nahasdzáánígíí	n ɑ̀ h ɑ̀ s t͡s ɑ́ː n ɪ́ k íː
náhásdzo	n ɑ́ h ɑ́ s t͡s ò
náhástʼéí	n ɑ́ h ɑ́ s tʼ ɛ́ ɪ́
náhástʼéítsʼáadah	n ɑ́ h ɑ́ s tʼ ɛ́ ɪ́ t͡sʼ ɑ̂ː t ɑ̀ h
nahateeł	n ɑ̀ h ɑ̀ tʰ èː ɬ
nahatʼá	n ɑ̀ h ɑ̀ tʼ ɑ́
nahatʼeʼii	n ɑ̀ h ɑ̀ tʼ ɛ̀ ʔ ìː
nahatʼeʼiitsoh	n ɑ̀ h ɑ̀ tʼ ɛ̀ ʔ ìː t͡sʰ ò h
nahidiłhį́į́h	n ɑ̀ h ɪ̀ t ɪ̀ ɬ h ĩ́ː h
nahísóotą́	n ɑ̀ h ɪ́ s ôː tʰ ɑ̃́
náhodidleeh	n ɑ́ h ò t ɪ̀ t͡l èː h
nahodoołtį́į́ł	n ɑ̀ h ò t òː ɬ tʰ ĩ́ː ɬ
náhookǫs	n ɑ́ h òː kʰ õ̀ s
nahóółtą́	n ɑ̀ h óː ɬ tʰ ɑ̃́
nahóotą́	n ɑ̀ h óː tʰ ɑ̃́
námboo	n ɑ́ m p òː
naniná	n à n ɪ̀ n á
naniseʼ	n ɑ̀ n ɪ̀ s ɛ̀ ʔ
nantłʼah	n ɑ̀ n t͡ɬʼ ɑ̀ h
násgai	n ɑ́ s k ɑ̀ ɪ̀
náshdóí	n ɑ́ ʃ t ó ɪ́
náshdóítsoh	n ɑ́ ʃ t ó ɪ́ t͡sʰ ò h
nayiilé	n ɑ̀ j ìː l ɛ́
nayiiłniih	n ɑ̀ j ìː ɬ n ìː h
náyoołbał	n ɑ́ j òː ɬ p ɑ̀ ɬ
názbąs	n ɑ́ z p ɑ̃̀ s
naʼ	n ɑ̀ ʔ
naʼáłchíní	n ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
naʼashǫ́ʼii	n ɑ̀ ʔ ɑ̀ ʃ ṍ ʔ ìː
naʼatsʼǫǫsí	n ɑ̀ ʔ ɑ̀ t sʼ õ̀ː s ɪ́
naʼazísí	n ɑ̀ ʔ ɑ̀ z ɪ́ s ɪ́
naʼazhǫǫsh	n ɑ̀ ʔ ɑ̀ ʒ õ̀ː ʃ
naʼiidzeeł	n ɑ̀ ʔ ìː t͡s èː ɬ
naʼníʼá	n ɑ̀ ʔ n ɪ́ ʔ ɑ́
náʼoolkiłí	n ɑ́ ʔ òː l kʰ ɪ̀ ɬ ɪ́
ńchííl	ń̩ t͡sʰ íː l
ndagaʼ	ǹ̩ t ɑ̀ k ɑ̀ ʔ
Ndaʼiiníísh	ǹ̩ t ɑ̀ ʔ ìː n íː ʃ
ndi	ǹ̩ t ɪ̀
ndíyíliitsoh	ǹ̩ t ɪ́ j ɪ́ l ìː t͡s o h
ńdízídígíí	ń̩ t ɪ́ z ɪ́ t ɪ́ k íː
neeshchʼíínímazí	n èː ʃ t͡ʃʼ íː n ɪ́ m ɑ̀ z ɪ́
neeshchʼííʼ	n èː ʃ t͡ʃʼ íː ʔ
neezgai	n èː z k ɑ̀ ɪ̀
neezílí	n èː z ɪ́ l ɪ́
neeznáá	n èː z n ɑ́ː
néíłtʼih	n ɛ́ ɪ́ ɬ tʼ ɪ̀ h
neishood	n ɛ̀ ɪ̀ ʃ òː t
neiyeeł	n ɛ̀ ɪ̀ j èː ɬ
néʼéshjaaʼ	n ɛ́ ʔ ɛ́ ʃ t͡ʃ ɑ̀ː ʔ
Néʼtoon	n ɛ́ ʔ tʰ òː n
ni	n ɪ̀
ní	n ɪ́
nichįʼ	n ɪ̀ t͡ʃʰ ĩ̀ ʔ
nidaashchʼąąʼígíí	n ɪ̀ t ɑ̀ː ʃ t͡ʃʼ ɑ̃̀ː ʔ ɪ́ k íː
nidíyílii	n ɪ̀ t ɪ́ j ɪ́ l ìː
nihaʼáłchíní	n ɪ̀ h ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
nihił	n ɪ̀ h ɪ̀ ɬ
niidzin	n ìː t͡s ɪ̀ n
niimas	n ìː m ɑ̀ s
nila	n ɪ̀ l ɑ̀
níléíjí	n ɪ́ l ɛ́ ɪ́ t͡ʃ ɪ́
nilį́	n ɪ̀ l ĩ́
nílį́	n ɪ́ l ĩ́
nílʼį́	n ɪ́ l ʔ ĩ́
nił	n ɪ̀ ɬ
niłchiis	n ɪ̀ ɬ t͡ʃʰ ìː s
níłchʼi	n ɪ́ ɬ t͡ʃʼ ɪ̀
Níłchʼitsoh	n ɪ́ ɬ t͡ʃʼ ɪ̀ t͡sʰ ò h
Níłchʼitsʼósí	n ɪ́ ɬ t͡ʃʼ ɪ̀ t͡sʼ ó s ɪ́
níłtsą́	n ɪ́ ɬ t͡sʰ ɑ̃́
níłtsą́goʼ	n ɪ́ ɬ t͡sʰ ɑ̃́ k ò ʔ
níłtsą́ʼééʼ	n ɪ́ ɬ t͡sʰ ɑ̃́ ʔ éː ʔ
niłtsínii	n ɪ̀ ɬ t͡s ɪ́ n ìː
nímasii	n ɪ́ m ɑ̀ s ìː
nímaz	n ɪ́ m ɑ̀ z
nináháłtį́į́h	n ɪ̀ n ɑ́ h ɑ́ ɬ tʰ ĩ́ː h
nineez	n ɪ̀ n èː z
nínízin	n ɪ́ n ɪ́ z ɪ̀ n
niséyá	n ɪ̀ s ɛ́ j ɑ́
nisiikai	n ɪ̀ s ìː kʰ ɑ̀ ɪ̀
nisin	n ɪ̀ s ɪ̀ n
nisíníyá	n ɪ̀ s ɪ́ n ɪ́ j ɑ́
nisoohkai	n ɪ̀ s òː h kʰ ɑ̀ ɪ̀
nissin	n ɪ̀ s s ɪ̀ n
nishiitʼáázh	n ɪ̀ ʃ ìː tʼ ɑ́ː ʒ
nishłį́	n ɪ̀ ʃ ɬ ĩ́
nishooʼáázh	n ɪ̀ ʃ òː ʔ ɑ́ː ʒ
niteel	n ɪ̀ tʰ èː l
nitʼááh	n ɪ̀ tʼ ɑ́ː h
nitséés	n ɪ̀ t͡sʰ éː s
nitsékees	n ɪ̀ t͡sʰ ɛ́ kʰ èː s
niyéél	n ɪ̀ j éː l
níyol	n ɪ̀ j ò l
nízah	n ɪ́ z ɑ̀ h
nízin	n ɪ́ z ɪ̀ n
nizhóní	n ɪ̀ ʒ ó n ɪ́
niʼ	n ɪ̀ ʔ
níʼą́	n ɪ́ ʔ ɑ̃́
nohsin	n ò h s ɪ̀ n
Nóódaʼí	n óː t à ʔ ɪ́
nówehjí	n ó w ɛ̀ t͡ʃ ɪ́
ńtʼééʼ	ń̩ tʼ éː ʔ
ńʼdíłhį́į́h	ń̩ ʔ t ɪ́ ɬ h ĩ́ː h
o	o
ohsą́	ʔ ò h s ɑ̃́
óltaʼ	ʔ ó l tʰ ɑ̀ ʔ
ółtaʼ	ʔ ó ɬ tʰ ɑ̀ ʔ
óola	ʔ ôː l à
óolyé	ʔ ôː l j ɛ́
ooshgę́ę́zh	ʔ òː ʃ k ẽ́ː ʒ
ooshkʼiizh	òː ʃ kʼ ìː ʒ
ootsą́	òː t͡sʰ ɑ̃́
Oozéí	òː z ɛ́ ɪ́
pop	pʰ ò pʰ
są́	s ɑ̃́
saad	s ɑ̀ː t
sáál	s ɑ́ː l
sédá	s ɛ́ t ɑ́
sęęschʼil	s ẽ̀ː s t͡ʃʼ ɪ̀ l
Séetin	s êː tʰ ɪ̀ n
Séwes	s ɛ́ w ɛ̀ s
sid	s ɪ̀ t
sidá	s ɪ̀ t ɑ́
sido	s ɪ̀ t ò
siiké	s ìː kʰ ɛ́
siké	s ɪ̀ kʰ ɛ́
sikʼis	s ɪ̀ kʼ ɪ̀ s
siláo	s ɪ̀ l ɑ́ ò
sin	s ɪ̀ n
sínídá	s ɪ́ n ɪ́ t ɑ́
sis	s ɪ̀ s
Sisnaajiní	s ɪ̀ s n ɑ̀ː t͡ʃ ɪ̀ n ɪ́
sitʼé	s ɪ̀ tʼ ɛ́
sitsʼą́ą́ʼ	s ɪ̀ t͡sʼ ɑ̃́ː ʔ
sizį́	s ɪ̀ z ĩ́
sizid	s ɪ̀ z ɪ̀ t
siʼą́	s ɪ̀ ʔ ɑ̃́
soodin	s òː t ɪ̀ n
sooké	s òː kʰ ɛ́
Sooléí	s òː l ɛ́ ɪ́
sǫʼ	s õ̀ ʔ
spéshelígíí	s pʰ ɛ́ ʃ ɛ̀ l ɪ́ k íː
sxih	s x ɪ̀ h
shą́ą́ʼ	ʃ ɑ̃́ː
Shą́ą́ʼtóhí	ʃ ɑ̃́ː ʔ tʰ ó h ɪ́
shádiʼááh	ʃ ɑ́ t ɪ̀ ʔ ɑ́ː h
sháńdíín	ʃ ɑ́ ń̩ t íː n
Sháńdíín	ʃ ɑ́ ń̩ t íː n
shash	ʃ ɑ̀ ʃ
shąʼ	ʃ ɑ̃̀ ʔ
shaʼáłchíní	s h ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
shį́	ʃ ĩ́
shijáád	ʃ ɪ̀ t͡ʃ ɑ́ː t
shijaaʼ	ʃ ɪ̀ t͡ʃ ɑ̀ː ʔ
shilááh	ʃ ɪ̀ l ɑ́ː h
shilah	ʃ ɪ̀ l ɑ̀ h
shił	ʃ ɪ̀ ɬ
shinaagóó	ʃ ɪ̀ n ɑ̀ː k óː
shį́ʼííłnííʼ	ʃ ɪ̃́ ʔ íː ɬ n íː ʔ
sho	ʃ ò
shoh	ʃ ò h
taah	tʰ ɑ̀ː h
tááʼ	tʰ ɑ́ː ʔ
taaʼniil	tʰ ɑ̀ː ʔ n ìː l
tááʼtsʼáadah	tʰ ɑ́ː ʔ t͡sʼ ɑ̂ː t ɑ̀ h
tábąąsdísí	tʰ ɑ́ p ɑ̃̀ː s t ɪ́ s ɪ́
tábąąstíín	tʰ ɑ́ p ɑ̃̀ː s t íː n
tádídíín	tʰ ɑ́ t ɪ́ t íː n
tádiin	tʰ ɑ́ t ìː n
Táiwáán	tʰ ɑ́ ɪ̀ w ɑ́ː n
táláwosh	tʰ ɑ́ l ɑ́ w ò ʃ
táłkááʼ	tʰ ɑ́ ɬ kʰ ɑ́ː ʔ
tązhii	tʰ ɑ̃̀ ʒ ìː
taʼneeskʼání	tʰ ɑ̀ ʔ n èː s kʼ ɑ́ n ɪ́
tééh	tʰ éː h
tįʼę́ę	tʰ ĩ̀ ʔ ẽ̂ː
tó	tʰ ó
tónteel	tʰ ó n tʰ èː l
tooh	tʰ òː h
tózis	tʰ ó z ɪ̀ s
tʼ	tʼ
Tʼ	tʼ
tʼáá	tʼ ɑ́ː
Tʼą́ą́chil	tʼ ɑ̃́ː t͡ʃʰ ɪ̀ l
tʼáadoo	tʰ ɑ̂ː t òː
tʼáágééd	tʰ ɑ́ː k éː t
tʼááłáʼí	tʼ ɑ́ː ɬ ɑ́ ʔ ɪ́
tʼááshʼáko	tʰ ɑ́ː ʃ ʔ ɑ́ kʰ ò
Tʼą́ą́tsoh	tʼ ɑ̃́ː t͡sʰ ò h
tʼááʼáko	tʼ ɑ́ː ʔ ɑ́ k ò
tʼeesh	tʼ èː ʃ
tʼóó	tʼ óː
tł	t ɬʰ
Tł	t ɬʰ
Tłóotoo	t͡ɬʰ ôː tʰ òː
tłʼ	t͡ɬʼ
Tłʼ	t͡ɬʼ
tłʼééʼ	t͡ɬʼ éː ʔ
tłʼéhonaaʼéí	t͡ɬʼ ɛ́ h ò n ɑ̀ː ʔ ɛ́ ɪ́
tłʼiish	t͡ɬʼ ìː ʃ
tłʼízí	t ɬʼ ɪ́ z ɪ́
tłʼoh	t͡ɬʼ ò h
tłʼohchin	t͡ɬʼ ò h t͡ʃʰ ɪ̀ n
tłʼóół	t͡ɬʼ óː ɬ
tłʼóoʼdi	t͡ɬʼ óː ʔ t ɪ̀
tłʼóóʼgóó	t͡ɬʼ óː ʔ k óː
TS	t͡sʰ
Ts	t͡sʰ
ts	t͡sʰ
tsah	t͡sʰ ɑ̀ h
tsé	t͡sʰ ɛ́
tseebíí	t͡sʰ èː p íː
tseebíítsʼáadah	t͡sʰ èː p íː t͡sʼ ɑ̂ː t ɑ̀ h
Tségháhoodzání	t͡sʰ ɛ́ ɣ ɑ́ h òː t͡s ɑ́ n ɪ́
tsékooh	t͡sʰ ɛ́ kʰ òː h
tsésǫʼ	t͡sʰ ɛ́ s õ̀ ʔ
tsétah	t͡sʰ ɛ́ tʰ à h
Tséyiʼ	t s ɛ́ j ɪ̀ ʔ
tséyiʼ	t s ɛ́ j ɪ̀ ʔ
tsézhin	t͡sʰ ɛ́ ʒ ɪ̀ n
tsídii	t͡sʰ ɪ́ t ìː
tsíłkę́ę́h	t͡sʰ ɪ́ ɬ kʰ ẽ́ː h
tsin	t͡sʰ ɪ̀ n
Tsinaaʼeełíkʼeh	t s ì n ɑ̀ ʔ éː ɬ í kʼ ɛ̀ h
tsindáo	t͡sʰ ɪ́ n t ɑ́ ò
tsinsitą́	t͡sʰ ɪ̀ n s ɪ̀ tʰ ɑ̃́
tsísʼná	t͡sʰ ɪ́ s ʔ n ɑ́
tsísʼnáłtsooí	t͡sʰ ɪ́ s ʔ n ɑ́ ɬ t͡sʰ òː ɪ́
tsísʼnáłtsooítsoh	t͡sʰ ɪ́ s ʔ n ɑ́ ɬ t͡sʰ òː ɪ́ t͡sʰ ò h
tsísʼnátsoh	t͡sʰ ɪ́ s ʔ n ɑ́ t͡sʰ ò h
tsostsʼid	t͡sʰ ò s t͡sʼ ɪ̀ t
tsostsʼidtsʼáadah	t͡sʰ ò s t͡sʼ ɪ̀ t t͡sʼ ɑ̂ː t ɑ̀ h
tsʼ	t͡sʼ
Tsʼ	t͡sʼ
tsʼah	t͡sʼ ɑ̀ h
tsʼídá	t͡sʼ ɪ́ t ɑ́
tsʼin	t͡sʼ ɪ̀ n
w	w
w	ɣ
wáán	w ɑ́ː n
wááshindoon	w ɑ́ː ʃ ɪ̀ n t òː n
Wááshindoon	w ɑ́ː ʃ ɪ̀ n t òː n
waaʼ	w ɑ̀ː ʔ
Wikiibíídiiya	w ɪ̀ kʰ ìː p íː t ìː j ɑ̀
wolyé	w ò l j ɛ́
wónáásdóó	w ó n ɑ́ː s t óː
Wóózhchʼį́į́d	w óː ʒ t͡ʃʼ ĩ́ː t
woshchʼishígíí	w ò ʃ t͡ʃʼ ɪ̀ ʃ ɪ́ k íː
woshchʼishjí	w ó ʃ t͡ʃʼ ɪ́ ʃ t͡ʃ ɪ́
wóshdę́ę́ʼ	w ó ʃ t ẽ́ː ʔ
x	x
x	h
y	j
y	ɣ
yáál	j ɑ́ː l
yaałáí	j ɑ̀ː ɬ ɑ́ ɪ́
yáázh	j ɑ́ː ʒ
yádaałtiʼ	j ɑ́ t ɑ̀ː ɬ t ɪ̀ ʔ
yádeiiltiʼ	j ɑ́ t ɛ̀ ìː l tʰ ɪ̀ ʔ
yádiłhił	j ɑ́ t ɪ̀ ɬ h ɪ̀ ɬ
yáhashjool	j ɑ́ h ɑ̀ ʃ t͡ʃ òː l
yáłtiʼ	j ɑ́ ɬ tʰ ɪ̀ ʔ
yáníłtiʼ	j ɑ́ n ɪ́ ɬ tʰ ɪ̀ ʔ
yas	j ɑ̀ s
yáshtiʼ	j ɑ́ ʃ tʰ ɪ̀ ʔ
yayiizííd	j ɑ̀ j ìː z íː t
yázhí	j ɑ́ ʒ ɪ́
yaʼ	j ɑ̀ ʔ
yáʼáhootʼééh	j ɑ́ ʔ ɑ́ h òː tʼ éː h
yaʼáłchíní	j ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
yáʼátʼééh	j ɑ́ ʔ ɑ́ tʼ éː h
yáʼátʼéehgo	j ɑ́ ʔ ɑ́ tʼ êː h k o
Yaʼiishjáástsoh	j ɑ̀ ʔ ìː ʃ t͡ʃ ɑ́ː s t͡sʰ ò h
Yaʼiishjááshchilí	j ɑ̀ ʔ ìː ʃ t͡ʃ ɑ́ː ʃ t͡ʃʰ ɪ̀ l ɪ́
yee	j èː
yę́ę	j ẽ̂ː
yéédahósin	j éː t ɑ̀ h ó s ɪ̀ n
yéego	j êː k ò
yééhoosįįh	j éː h òː s ĩ̀ː h
yééhósin	j éː h ó s ɪ̀ n
yééʼ	j éː ʔ
yéigo	j ɛ́ ɪ̀ k ò
yéiiltiʼ	j ɛ́ ìː l tʰ ɪ̀ ʔ
yénálniih	j ɛ́ n ɑ́ l n ìː h
yeʼelééh	j ɛ̀ ʔ ɛ̀ l éː h
yéʼii	j ɛ́ ʔ ìː
yéʼiitsoh	j ɛ́ ʔ ìː t͡sʰ o h
Yéʼiitsoh	j ɛ́ ʔ ìː t͡sʰ o h
yibizh	j ɪ̀ p ɪ̀ ʒ
yicha	j ɪ̀ t͡ʃʰ ɑ̀
yichííh	j ɪ̀ t͡ʃʰ íː h
yichííł	j ɪ̀ t͡ʃʰ íː ɬ
yichʼish	j ɪ̀ t͡ʃʼ ɪ̀ ʃ
yídahoołʼaah	j ɪ́ t ɑ̀ h òː ɬ ʔ ɑ̀ː h
yidiiłmáás	j ɪ̀ t ìː ɬ m ɑ́ː s
yidiłmáás	j ɪ̀ t ɪ̀ ɬ m ɑ́ː s
yidiłní	j ɪ̀ t ɪ̀ ɬ n ɪ́
