㑚	n a ² ³
大	d a ² ³
大	d u ² ³
大一歇	d u ² ² i ɪ ʔ ⁵ ⁵ ɕ i ɪ ʔ ² ¹
大亨	d a ² ² h ã ⁴ ⁴
大人	d a ² ² z ə n ⁴ ⁴
大人	d u ² ² n̠ʲ i n ⁴ ⁴
大伯	d a ² ² p a ʔ ⁴ ⁴
大伯	d u ² ² p a ʔ ⁴ ⁴
大便	d a ² ² b i ⁴ ⁴
大先生	d u ² ² ɕ i ⁵ ⁵ s ã ² ¹
大前天	d u ² ² ʑ i ⁵ ⁵ tʰ i ² ¹
大前年	d u ² ² ʑ i ⁵ ⁵ n̠ʲ i ² ¹
大前年子	d u ² ² ʑ i ⁵ ⁵ n̠ʲ i ³ ³ t͡s z̩ ² ¹
大前日	d u ² ² ʑ i ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
大勤共	d u ² ² d͡ʑ i n ⁵ ⁵ k o ŋ ² ¹
大勤共	d u ² ² d͡ʑ i n ⁵ ⁵ ɡ o ŋ ² ¹
大半夜	d u ² ² p ø ⁵ ⁵ ɦ i a ² ¹
大半天	d u ² ² p ø ⁵ ⁵ tʰ i ² ¹
大半日	d u ² ² p ø ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
大卡	d a ² ² k a ⁴ ⁴
大卵脬	d u ² ² l ø ⁵ ⁵ pʰ ɔ ² ¹
大口	d u ² ² kʰ ɤ ⁴ ⁴
大名	d a ² ² m i n ⁴ ⁴
大哥大	d a ² ² k u ⁵ ⁵ d a ² ¹
大嘴巴	d u ² ² t͡s z̩ ⁵ ⁵ p o ² ¹
大團結	d a ² ² d ø ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
大塊頭	d u ² ² kʰ u e ⁵ ⁵ d ɤ ² ¹
大壯	d a ² ² t͡s ɑ̃ ⁴ ⁴
大多數	d a ² ² t u ⁵ ⁵ s u ² ¹
大姨媽	d u ² ² ɦ i ⁵ ⁵ m a ² ¹
大學	d a ² ² ɦ o ʔ ⁴ ⁴
大家	d a ² ² k a ⁴ ⁴
大寒	d a ² ² ɦ ø ⁴ ⁴
大寫	d u ² ² ɕ i a ⁴ ⁴
大寫字	d u ² ² ɕ i a ⁵ ⁵ z z̩ ² ¹
大展	d a ² ² t͡s ø ⁴ ⁴
大展宏圖	d a ² ² t͡s ø ⁵ ⁵ ɦ o ŋ ³ ³ d u ² ¹
大展鴻圖	d a ² ² t͡s ø ⁵ ⁵ ɦ o ŋ ³ ³ d u ² ¹
大巴	d a ² ² p a ⁴ ⁴
大平公主	tʰ a ³ ³ b i n ⁵ ⁵ k o ŋ ³ ³ t͡s z̩ ² ¹
大年	d u ² ² n̠ʲ i ⁴ ⁴
大年三十	d u ² ² n̠ʲ i ⁵ ⁵ s e ³ ³ s ə ʔ ² ¹
大年初一	d u ² ² n̠ʲ i ⁵ ⁵ t͡sʰ u ³ ³ i ɪ ʔ ² ¹
大年夜	d u ² ² n̠ʲ i ⁵ ⁵ ɦ i a ² ¹
大年新歲	ɕ i n ⁵ ⁵ n̠ʲ i ³ ³ ɕ i n ³ ³ s z̩ ² ¹
大廈	d a ² ² ɕ i a ⁴ ⁴
大廈	d a ² ² ɦ o ⁴ ⁴
大廠	d u ² ² t͡sʰ ã ⁴ ⁴
大後天	d u ² ² ɦ ɤ ⁵ ⁵ tʰ i ² ¹
大後年	d u ² ² ɦ ɤ ⁵ ⁵ n̠ʲ i ² ¹
大後日	d u ² ² ɦ ɤ ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
大戲	d u ² ² ɕ i ⁴ ⁴
大手節頭	d u ² ² s ɤ ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ d ɤ ² ¹
大拇指	d u ² ² m̩ ⁵ ⁵ t͡s z̩ ² ¹
大拉斯	d a ² ² l a ⁵ ⁵ s z̩ ² ¹
大提琴	d u ² ² d i ⁵ ⁵ t͡ɕ i n ² ¹
大換血	d u ² ² ɦ u ø ⁵ ⁵ ɕ i o ʔ ² ¹
大換血	d u ² ² ɦ u ø ⁵ ⁵ ɕ y ɪ ʔ ² ¹
大暑	d a ² ² s z̩ ⁴ ⁴
大月	d u ² ² n̠ʲ i o ʔ ⁴ ⁴
大月	d u ² ² n̠ʲ y ɪ ʔ ⁴ ⁴
大月	d u ² ² ɦ i o ʔ ⁴ ⁴
大月	d u ² ² ɦ y ɪ ʔ ⁴ ⁴
大有	d a ² ² ɦ i ɤ ⁴ ⁴
大有	d u ² ² ɦ i ɤ ⁴ ⁴
大概	d a ² ² k e ⁴ ⁴
大橋	d u ² ² d͡ʑ i ɔ ⁴ ⁴
大水	d u ² ² s z̩ ⁴ ⁴
大汛	d a ² ² ɕ i n ⁴ ⁴
大汛	d u ² ² ɕ i n ⁴ ⁴
大池	d u ² ² z z̩ ⁴ ⁴
大海	d a ² ² h e ⁴ ⁴
大清早	d a ² ² t͡ɕʰ i n ⁵ ⁵ t͡s ɔ ² ¹
大清早	d u ² ² t͡ɕʰ i n ⁵ ⁵ t͡s ɔ ² ¹
大清老早	d u ² ² t͡ɕʰ i n ⁵ ⁵ l ɔ ³ ³ t͡s ɔ ² ¹
大湯	d u ² ² tʰ ɑ̃ ⁴ ⁴
大溪	d u ² ² t͡ɕʰ i ⁴ ⁴
大溲	d u ² ² s ɤ ⁴ ⁴
大灣區	d a ² ² u e ⁵ ⁵ t͡ɕʰ y ² ¹
大畜	d a ² ² ɕ i o ʔ ⁴ ⁴
大白天亮	d u ² ² b a ʔ ⁵ ⁵ tʰ i ³ ³ l i ã ² ¹
大白菜	d a ² ² b a ʔ ⁵ ⁵ t͡sʰ e ² ¹
大白菜	d u ² ² b a ʔ ⁵ ⁵ t͡sʰ e ² ¹
大眼睛	d u ² ² ŋ e ⁵ ⁵ t͡ɕ i n ² ¹
大眾	d a ² ² z o ŋ ⁴ ⁴
大節頭	d u ² ² t͡ɕ i ɪ ʔ ⁵ ⁵ d ɤ ² ¹
大篷車	d a ² ² b o ŋ ⁵ ⁵ t͡sʰ o ² ¹
大米	d u ² ² m i ⁴ ⁴
大米節頭	d u ² ² m i ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ d ɤ ² ¹
大糞	d a ² ² f ə n ⁴ ⁴
大約	d a ² ² i a ʔ ⁴ ⁴
大約摸	d a ² ² i a ʔ ⁵ ⁵ m o ʔ ² ¹
大約摸捉	d a ² ² i a ʔ ⁵ ⁵ m o ʔ ³ ³ t͡s o ʔ ² ¹
大總統	d a ² ² t͡s o ŋ ⁵ ⁵ tʰ o ŋ ² ¹
大考	d a ² ² kʰ ɔ ⁴ ⁴
大肚皮	d u ² ² d u ⁵ ⁵ b i ² ¹
大腳髈	d u ² ² t͡ɕ i a ʔ ⁵ ⁵ pʰ ɑ̃ ² ¹
大腸	d a ² ² z ã ⁴ ⁴
大腸油	d a ² ² z ã ⁵ ⁵ ɦ i ɤ ² ¹
大腿	d a ² ² tʰ e ⁴ ⁴
大腿	d u ² ² tʰ e ⁴ ⁴
大興	d a ² ² ɕ i n ⁴ ⁴
大菜	d a ² ² t͡sʰ e ⁴ ⁴
大菜	d u ² ² t͡sʰ e ⁴ ⁴
大蒜	d a ² ² s ø ⁴ ⁴
大蒜粉	d a ² ² s ø ⁵ ⁵ f ə n ² ¹
大蔥	d a ² ² t͡sʰ o ŋ ⁴ ⁴
大解	d u ² ² k a ⁴ ⁴
大豆	d u ² ² d ɤ ⁴ ⁴
大賣場	d a ² ² m a ⁵ ⁵ z ã ² ¹
大路	d a ² ² l u ⁴ ⁴
大路	d u ² ² l u ⁴ ⁴
大路貨	d a ² ² l u ⁵ ⁵ h u ² ¹
大轉彎	d u ² ² t͡s ø ⁵ ⁵ u e ² ¹
大過	d a ² ² k u ⁴ ⁴
大遠許	d u ² ² ɦ y ø ⁵ ⁵ ɕ y ² ¹
大選	d a ² ² ɕ i ⁴ ⁴
大門	d u ² ² m ə n ⁴ ⁴
大閘蟹	d u ² ² z a ʔ ⁵ ⁵ h a ² ¹
大阪	d a ² ² p e ⁴ ⁴
大陸	d a ² ² l o ʔ ⁴ ⁴
大雁	d a ² ² i ⁴ ⁴
大雁	d a ² ² ɦ i ⁴ ⁴
大雨	d u ² ² ɦ y ⁴ ⁴
大雪	d a ² ² ɕ i ɪ ʔ ⁴ ⁴
大雪	d u ² ² ɕ i ɪ ʔ ⁴ ⁴
大青豆	d u ² ² t͡ɕʰ i n ⁵ ⁵ d ɤ ² ¹
大韓民國	d a ² ² ɦ ø ³ ³ m i n ² ² k o ʔ ⁴ ⁴
大頭	d u ² ² d ɤ ⁴ ⁴
大頭利息	d u ² ² d ɤ ⁵ ⁵ l i ³ ³ ɕ i ɪ ʔ ² ¹
大頭菜	d a ² ² d ɤ ⁵ ⁵ t͡sʰ e ² ¹
大餅	d a ² ² p i n ⁴ ⁴
大餅攤	d u ² ² p i n ⁵ ⁵ tʰ e ² ¹
大餐	d a ² ² t͡sʰ e ⁴ ⁴
大餐	d a ² ² t͡sʰ ø ⁴ ⁴
大驚小怪	d u ² ² t͡ɕ i n ⁵ ⁵ ɕ i ɔ ³ ³ k u a ² ¹
大髈	d u ² ² pʰ ɑ̃ ⁴ ⁴
大麥	d a ² ² m a ʔ ⁴ ⁴
大麻	d a ² ² m o ⁴ ⁴
大黃魚	d u ² ² ɦ u ɑ̃ ⁵ ⁵ ŋ̍ ² ¹
天	tʰ i ⁵ ³
天下	tʰ i ⁵ ⁵ ɦ o ² ¹
天下為公	tʰ i ⁵ ⁵ ɦ o ² ¹ ɦ u e ² ³ k o ŋ ⁵ ³
天下為公	tʰ o ⁵ ⁵ ɦ o ² ¹ ɦ u e ³ ³ k o ŋ ⁵ ³
天主	tʰ i ⁵ ⁵ t͡s z̩ ² ¹
天主教	tʰ i ⁵ ⁵ t͡s z̩ ³ ³ t͡ɕ i ɔ ² ¹
天乾	tʰ i ⁵ ⁵ k ø ² ¹
天井	tʰ i ⁵ ⁵ t͡ɕ i n ² ¹
天亮	tʰ i ⁴ ⁴ l i ã ² ³
天亮	tʰ i ⁵ ⁵ l i ã ² ¹
天亮快	tʰ i ⁵ ⁵ l i ã ³ ³ kʰ u a ² ¹
天使	tʰ i ⁵ ⁵ s z̩ ² ¹
天冷	tʰ i ⁵ ⁵ l ã ² ¹
天后	tʰ i ⁵ ⁵ h ɤ ² ¹
天命	tʰ i ⁵ ⁵ m i n ² ¹
天堂	tʰ i ⁵ ⁵ d ɑ̃ ² ¹
天天	tʰ i ⁵ ⁵ tʰ i ² ¹
天好	tʰ i ⁴ ⁴ h ɔ ³ ⁴
天好	tʰ i ⁵ ⁵ h ɔ ² ¹
天妃	tʰ i ⁵ ⁵ f i ² ¹
天子	tʰ i ⁵ ⁵ t͡s z̩ ² ¹
天家	tʰ i ⁵ ⁵ k a ² ¹
天平	tʰ i ⁵ ⁵ b i n ² ¹
天恘	tʰ i ⁵ ⁵ t͡ɕʰ i ɤ ² ¹
天才	tʰ i ⁵ ⁵ z e ² ¹
天打	tʰ i ⁵ ⁵ t ã ² ¹
天文	tʰ i ⁵ ⁵ v ə n ² ¹
天文學	tʰ i ⁵ ⁵ v ə n ³ ³ ɦ i a ʔ ² ¹
天文臺	tʰ i ⁵ ⁵ v ə n ³ ³ d e ² ¹
天旱	tʰ i ⁴ ⁴ ɦ ø ² ³
天架	tʰ i ⁵ ⁵ k a ² ¹
天氣	tʰ i ⁵ ⁵ t͡ɕʰ i ² ¹
天河	tʰ i ⁵ ⁵ ɦ u ² ¹
天津	tʰ i ⁵ ⁵ t͡ɕ i n ² ¹
天浪	tʰ i ⁵ ⁵ l ɑ̃ ² ¹
天瀴	tʰ i ⁴ ⁴ i n ³ ⁴
天無絕人之路	tʰ i ⁵ ⁵ ɦ u ³ ³ ʑ i ɪ ʔ ¹ ¹ n̠ʲ i n ² ² t͡s z̩ ² ² l u ² ³
天然	tʰ i ⁵ ⁵ z ø ² ¹
天熱	tʰ i ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
天狗吃月亮	tʰ i ⁵ ⁵ k ɤ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴ ɦ y ɪ ʔ ¹ ¹ l i ã ² ³
天王	tʰ i ⁵ ⁵ ɦ u ɑ̃ ² ¹
天王星	tʰ i ⁵ ⁵ ɦ u ɑ̃ ³ ³ ɕ i n ² ¹
天空	tʰ i ⁵ ⁵ kʰ o ŋ ² ¹
天竺	tʰ i ⁵ ⁵ t͡s o ʔ ² ¹
天老爺	tʰ i ⁵ ⁵ l ɔ ³ ³ ɦ i a ² ¹
天花	tʰ i ⁵ ⁵ h o ² ¹
天落水	tʰ i ⁵ ⁵ l o ʔ ³ ³ s z̩ ² ¹
天藍	tʰ i ⁵ ⁵ l e ² ¹
天變	tʰ i ⁴ ⁴ p i ³ ⁴
天變	tʰ i ⁵ ⁵ p i ² ¹
天門	tʰ i ⁵ ⁵ m ə n ² ¹
天開眼	tʰ i ⁴ ⁴ kʰ e ⁴ ⁴ ŋ e ² ³
天開眼	tʰ i ⁵ ⁵ kʰ e ³ ³ ŋ e ² ¹
天際	tʰ i ⁵ ⁵ t͡ɕ i ² ¹
天頂心	tʰ i ⁵ ⁵ t i n ³ ³ ɕ i n ² ¹
天鵝	tʰ i ⁵ ⁵ ŋ u ² ¹
天黑	tʰ i ⁵ ⁵ h ə ʔ ² ¹
太	tʰ a ³ ⁴
太公	tʰ a ³ ³ k o ŋ ⁴ ⁴
太古	tʰ a ³ ³ k u ⁴ ⁴
太太	tʰ a ⁵ ⁵ tʰ a ² ¹
太妃	tʰ a ³ ³ f i ⁴ ⁴
太妃糖	tʰ a ³ ³ f i ⁵ ⁵ d ɑ̃ ² ¹
太婆	tʰ a ³ ³ b u ⁴ ⁴
太子	tʰ a ³ ³ t͡s z̩ ⁴ ⁴
太平	tʰ a ³ ³ b i n ⁴ ⁴
太極	tʰ a ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
太極拳	tʰ a ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ t͡ɕ y ø ² ¹
太空	tʰ a ³ ³ kʰ o ŋ ⁴ ⁴
太陽	tʰ a ³ ³ ɦ i ã ⁴ ⁴
太陽光	tʰ a ³ ³ ɦ i ã ⁵ ⁵ k u ã ² ¹
太陽眼鏡	tʰ a ³ ³ ɦ i ã ⁵ ⁵ ŋ e ³ ³ t͡ɕ i n ² ¹
太陽能	tʰ a ³ ³ ɦ i ã ⁵ ⁵ n ə n ² ¹
夫	f u ⁵ ³
夫	v u ² ³
夫妻	f u ⁵ ⁵ t͡ɕʰ i ² ¹
夫妻老婆店	f u ⁵ ⁵ t͡ɕʰ i ³ ³ l ɔ ² ² b u ⁵ ⁵ t i ² ¹
央	i ã ⁵ ³
夯	h ã ⁵ ³
失	s ə ʔ ⁵ ⁵
失匹	s ə ʔ ³ ³ pʰ i ɪ ʔ ⁴ ⁴
失去	s ə ʔ ³ ³ t͡ɕʰ y ⁴ ⁴
失望	s ə ʔ ³ ³ ɦ u ɑ̃ ⁴ ⁴
失禮	s ə ʔ ³ ³ l i ⁴ ⁴
失落	s ə ʔ ³ ³ l o ʔ ⁴ ⁴
夷	ɦ i ² ³
夾	k a ʔ ⁵ ⁵
夾	t͡ɕ i a ʔ ⁵ ⁵
夾心	k a ʔ ³ ³ ɕ i n ⁴ ⁴
夾心餅乾	k a ʔ ³ ³ ɕ i n ⁵ ⁵ p i n ³ ³ k ø ² ¹
夾生	k a ʔ ³ ³ s ã ⁴ ⁴
夾生飯	k a ʔ ³ ³ s ã ⁵ ⁵ v e ² ¹
夾竹桃	k a ʔ ³ ³ t͡s o ʔ ⁵ ⁵ d ɔ ² ¹
夾肝	k a ʔ ³ ³ k ø ⁴ ⁴
奇	d͡ʑ i ² ³
奇	t͡ɕ i ⁵ ³
奇怪	d͡ʑ i ² ² k u a ⁴ ⁴
奉	v o ŋ ² ³
奉賢	v o ŋ ² ² ɦ i ⁴ ⁴
奎	kʰ u e ⁵ ³
契	t͡ɕʰ i ³ ⁴
契約	t͡ɕʰ i ³ ³ i a ʔ ⁴ ⁴
奓	t͡s o ³ ⁴
奔	p ə n ⁵ ³
奔跑	p ə n ⁵ ⁵ b ɔ ² ¹
奔騰	p ə n ⁵ ⁵ d ə n ² ¹
奕	ɦ i ɪ ʔ ¹ ²
套	tʰ ɔ ³ ⁴
套子	tʰ ɔ ³ ³ z z̩ ⁴ ⁴
套房	tʰ ɔ ³ ³ v ɑ̃ ⁴ ⁴
套牢	tʰ ɔ ³ ³ l ɔ ⁴ ⁴
套袖	tʰ ɔ ³ ³ ʑ i ɤ ⁴ ⁴
奢	s ø ⁵ ³
奧	ɔ ³ ⁴
奧地利	ɔ ³ ³ d i ⁵ ⁵ l i ² ¹
奧妙	ɔ ³ ³ m i ɔ ⁴ ⁴
奧斯陸	ɔ ³ ³ s z̩ ⁵ ⁵ l o ʔ ² ¹
奪	d ə ʔ ¹ ²
奮	f ə n ³ ⁴
女	n̠ʲ y ² ³
女人	n̠ʲ y ² ² n̠ʲ i n ⁴ ⁴
女個	n̠ʲ y ² ² ɦ ə ʔ ⁴ ⁴
女兒	n̠ʲ y ² ² ɦ ə l ⁴ ⁴
女士	n̠ʲ y ² ² z z̩ ⁴ ⁴
女婿	n̠ʲ y ² ² ɕ i ⁴ ⁴
女婿	n̠ʲ y ² ² ɕ y ⁴ ⁴
女客	n̠ʲ y ² ² kʰ a ʔ ⁴ ⁴
女小囡	n̠ʲ y ² ² ɕ i ɔ ⁵ ⁵ n ø ² ¹
女性	n̠ʲ y ² ² ɕ i n ⁴ ⁴
女朋友	n̠ʲ y ² ² b ã ⁵ ⁵ ɦ i ɤ ² ¹
女王	n̠ʲ y ² ² ɦ u ɑ̃ ⁴ ⁴
女神	n̠ʲ y ² ² z ə n ⁴ ⁴
奴	n u ² ³
奴隸	n u ² ² d i ⁴ ⁴
奶	n a ² ³
奶咖	n a ² ² kʰ a ⁴ ⁴
奶奶	n a ² ² n a ⁴ ⁴
奶奶頭	n a ² ² n a ⁵ ⁵ d ɤ ² ¹
奶媽	n a ² ² m a ⁴ ⁴
奶嬸嬸	n a ² ² s ə n ⁵ ⁵ s ə n ² ¹
奶昔	n a ² ² ɕ i ɪ ʔ ⁴ ⁴
奶末頭	n a ² ² m ə ʔ ⁵ ⁵ d ɤ ² ¹
奶牙	n a ² ² ŋ a ⁴ ⁴
奶牛烏龜	n a ² ² n̠ʲ i ɤ ⁵ ⁵ u ³ ³ t͡ɕ y ² ¹
奶粉	n a ² ² f ə n ⁴ ⁴
奶糕	n a ² ² k ɔ ⁴ ⁴
奶糖	n a ² ² d ɑ̃ ⁴ ⁴
奶罩	n a ² ² t͡s ɔ ⁴ ⁴
奶脯肉	n a ² ² pʰ u ⁵ ⁵ n̠ʲ i o ʔ ² ¹
奶茶	n a ² ² z o ⁴ ⁴
奶酪	n a ² ² l o ʔ ⁴ ⁴
奶頭	n a ² ² d ɤ ⁴ ⁴
奶黃	n a ² ² ɦ u ɑ̃ ⁴ ⁴
奶黃包	n a ² ² ɦ u ɑ̃ ⁵ ⁵ p ɔ ² ¹
奸	k e ⁵ ³
奸	t͡ɕ i ⁵ ³
她	t a ⁵ ³
好	h ɔ ³ ⁴
好友	h ɔ ³ ³ ɦ i ɤ ⁴ ⁴
好吃	h ɔ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴
好天	h ɔ ³ ³ tʰ i ⁴ ⁴
好好	h ɔ ³ ³ h ɔ ⁴ ⁴
好好叫	h ɔ ³ ³ h ɔ ⁵ ⁵ t͡ɕ i ɔ ² ¹
好好叫	h ɔ ³ ³ ɔ ⁵ ⁵ t͡ɕ i ɔ ² ¹
好心	h ɔ ³ ³ ɕ i n ⁴ ⁴
好朋友	h ɔ ³ ³ b ã ⁵ ⁵ ɦ i ɤ ² ¹
好極了	h ɔ ³ ⁴ d͡ʑ i ɪ ʔ ¹ ¹ l ə ʔ ² ³
好極了	h ɔ ⁵ ³ d͡ʑ i ɪ ʔ ¹ ¹ l ə ʔ ² ³
好用	h ɔ ³ ³ ɦ i o ŋ ⁴ ⁴
好白相	h ɔ ³ ³ b ə ʔ ⁵ ⁵ ɕ i ã ² ¹
好看	h ɔ ³ ³ kʰ ø ⁴ ⁴
好處	h ɔ ³ ³ t͡sʰ z̩ ⁴ ⁴
好過	h ɔ ³ ³ k u ⁴ ⁴
如	l u ² ³
如	z z̩ ² ³
如來	z z̩ ² ² l e ⁴ ⁴
如意	z z̩ ² ² i ⁴ ⁴
如果	l u ² ² k u ⁴ ⁴
如果	z z̩ ² ² k u ⁴ ⁴
妃	f i ⁵ ³
妄	v ɑ̃ ² ³
妊神星	z ə n ² ² z ə n ⁵ ⁵ ɕ i n ² ¹
妍	n̠ʲ i ⁵ ³
妒	t u ³ ⁴
妓	t͡ɕ i ³ ⁴
妓女	t͡ɕ i ³ ³ n̠ʲ y ⁴ ⁴
妖	i ɔ ⁵ ³
妗	d͡ʑ i n ² ³
妙	m i ɔ ² ³
妝	t͡s ɑ̃ ⁵ ³
妞	n̠ʲ i ɤ ⁵ ³
妥	tʰ u ³ ⁴
妨	f ɑ̃ ³ ⁴
妳	n i ³ ⁴
妳	n̠ʲ i ² ³
妹	m e ² ³
妹夫	m e ² ² f u ⁴ ⁴
妹妹	m e ² ² m e ⁴ ⁴
妹子	m e ² ² t͡s z̩ ⁴ ⁴
妻	t͡ɕʰ i ⁵ ³
妻子	t͡ɕʰ i ⁵ ⁵ t͡s z̩ ² ¹
妾	t͡ɕʰ i ɪ ʔ ⁵ ⁵
姆	m u ⁵ ³
姆	m̩ ⁵ ³
姆媽	m̩ ⁵ ⁵ m a ² ¹
姊	t͡s z̩ ³ ⁴
姊妹	t͡s z̩ ³ ³ m e ⁴ ⁴
姊姊	t͡s z̩ ³ ³ t͡s z̩ ⁴ ⁴
始	s z̩ ³ ⁴
始終	s z̩ ³ ³ t͡s o ŋ ⁴ ⁴
姐	t͡ɕ i a ³ ⁴
姐	t͡ɕ i ³ ⁴
姐夫	t͡ɕ i a ³ ³ f u ⁴ ⁴
姐妹	t͡ɕ i ³ ³ m e ⁴ ⁴
姐姐	t͡ɕ i a ³ ³ t͡ɕ i a ⁴ ⁴
姑	k u ⁵ ³
姑且	k u ³ ³ t͡ɕʰ i ⁴ ⁴
姑娘	k u ⁵ ⁵ n̠ʲ i ã ² ¹
姑媽	k u ⁵ ⁵ m a ² ¹
姑母阿姐	k u ⁵ ⁵ m u ³ ³ a ʔ ³ ³ t͡ɕ i a ² ¹
姑母阿姐	k u ⁵ ⁵ m̩ ³ ³ a ʔ ³ ³ t͡ɕ i a ² ¹
姑父	k u ⁵ ⁵ f u ² ¹
姑蘇	k u ⁵ ⁵ s u ² ¹
姓	ɕ i n ³ ⁴
姓名	ɕ i n ³ ³ m i n ⁴ ⁴
姓氏	ɕ i n ³ ³ z z̩ ⁴ ⁴
委	u e ³ ⁴
委內瑞拉	u e ³ ³ n e ⁵ ⁵ z ø ³ ³ l a ² ¹
姘頭	pʰ i n ⁵ ⁵ d ɤ ² ¹
姚	ɦ i ɔ ² ³
姜	t͡ɕ i ã ⁵ ³
姝	t͡sʰ z̩ ⁵ ³
姦	k e ⁵ ³
姦	t͡ɕ i ⁵ ³
姦刁	k e ⁵ ⁵ t i ɔ ² ¹
姨	ɦ i ² ³
姨夫	ɦ i ² ² f u ⁴ ⁴
姨娘	ɦ i ² ² n̠ʲ i ã ⁴ ⁴
姨媽	ɦ i ² ² m a ⁴ ⁴
姪	z ə ʔ ¹ ²
姪囡	z ə ʔ ¹ ¹ n ø ² ³
姪囡兒	z ə ʔ ¹ ¹ n ø ² ² ŋ̍ ² ³
姪子	z ə ʔ ¹ ¹ t͡s z̩ ² ³
姻緣	i n ⁵ ⁵ ɦ y ø ² ¹
姿	t͡s z̩ ⁵ ³
姿態	t͡s z̩ ⁵ ⁵ tʰ e ² ¹
威	u e ⁵ ³
威尼斯	u e ⁵ ⁵ n̠ʲ i ³ ³ s z̩ ² ¹
威海	u e ⁵ ⁵ h e ² ¹
威爾士	u e ⁵ ⁵ ə l ³ ³ z z̩ ² ¹
威爾斯	u e ⁵ ⁵ ɦ ə l ³ ³ s z̩ ² ¹
威脅	u e ⁵ ⁵ ɕ i ɪ ʔ ² ¹
娃	u a ⁵ ³
娃娃	u a ⁵ ⁵ u a ² ¹
娘	n̠ʲ i ã ² ³
娘姨	n̠ʲ i ã ² ² ɦ i ⁴ ⁴
娘娘	n̠ʲ i ã ⁵ ⁵ n̠ʲ i ã ² ¹
娘娘腔	n̠ʲ i ã ² ² n̠ʲ i ã ⁵ ⁵ t͡ɕʰ i ã ² ¹
娘舅	n̠ʲ i ã ² ² d͡ʑ i ɤ ⁴ ⁴
娘舅家	n̠ʲ i ã ² ² d͡ʑ i ɤ ⁵ ⁵ k a ² ¹
娛	n̠ʲ y ² ³
娛	ɦ y ² ³
娛樂	n̠ʲ y ² ² l o ʔ ⁴ ⁴
娛樂	ɦ y ² ² l o ʔ ⁴ ⁴
娟	t͡ɕ y ø ⁵ ³
娶	t͡ɕʰ y ³ ⁴
娼妓	t͡sʰ ɑ̃ ⁵ ⁵ t͡ɕ i ² ¹
婁	l ɤ ² ³
婆	b u ² ³
婆婆	b u ² ² b u ⁴ ⁴
婆阿媽	b u ² ² a ʔ ⁵ ⁵ m a ² ¹
婊	p i ɔ ³ ⁴
婊子	p i ɔ ³ ³ t͡s z̩ ⁴ ⁴
婚	h u ə n ⁵ ³
婚姻	h u ə n ⁵ ⁵ i n ² ¹
婚紗	h u ə n ⁵ ⁵ s o ² ¹
婦	v u ² ³
婦	ɦ u ² ³
婦女	v u ² ² n̠ʲ y ⁴ ⁴
婿	ɕ i ³ ⁴
婿	ɕ y ³ ⁴
媒	m e ² ³
媒人	m e ² ² n̠ʲ i n ⁴ ⁴
媒體	m e ² ² tʰ i ⁴ ⁴
媲	pʰ i ³ ⁴
媽	m a ⁵ ³
媽媽	m a ⁵ ⁵ m a ² ¹
嫁	k a ³ ⁴
嫁妝	k a ³ ³ t͡s ɑ̃ ⁴ ⁴
嫂	s ɔ ³ ⁴
嫌	ɦ i ² ³
嫖	b i ɔ ² ³
嫖	pʰ i ɔ ⁵ ³
嫗	y ³ ⁴
嫠	l i ² ³
嫩	n ə n ² ³
嫩葉	n ə n ² ² ɦ i ɪ ʔ ⁴ ⁴
嫩薑	n ə n ² ² t͡ɕ i ã ⁴ ⁴
嫩豆腐	n ə n ² ² d ɤ ⁵ ⁵ v u ² ¹
嫩豆腐	n ə n ² ² d ɤ ⁵ ⁵ ɦ u ² ¹
嫵	ɦ u ² ³
嬌	t͡ɕ i ɔ ⁵ ³
嬤	m o ⁵ ³
嬰	i n ⁵ ³
嬰兒	i n ⁵ ⁵ ɦ ə l ² ¹
嬲	n̠ʲ i ɔ ² ³
嬸	s ə n ³ ⁴
嬸娘	s ə n ³ ³ n̠ʲ i ã ⁴ ⁴
嬸嬸	s ə n ³ ³ s ə n ⁴ ⁴
孀	s ɑ̃ ⁵ ³
孃希匹	n̠ʲ i ã ² ² ɕ i ⁵ ⁵ pʰ i ɪ ʔ ² ¹
子	t͡s z̩ ³ ⁴
子彈	t͡s z̩ ³ ³ d e ⁴ ⁴
子曰	t͡s z̩ ⁴ ⁴ ɦ i o ʔ ¹ ²
子曰	t͡s z̩ ⁴ ⁴ ɦ y ɪ ʔ ¹ ²
子音	t͡s z̩ ³ ³ i n ⁴ ⁴
孑	t͡ɕʰ i o ʔ ⁵ ⁵
孑	t͡ɕʰ i ɪ ʔ ⁵ ⁵
孑	t͡ɕʰ y ɪ ʔ ⁵ ⁵
孔	kʰ o ŋ ³ ⁴
