㐁	tʰ ʌ m H
崞	k w ɑ k̚
崟	ŋˠ i ɪ m
崠	t u ŋ
崢	d͡ʒˠ æ ŋ
崢嶸	d͡ʒˠ ɛ ŋ
崤	ɦˠ a u
崥	b e i
崥	pˠ i ᴇ X
崦	ʔˠ i ᴇ m
崧	s ɨ u ŋ
崨	d͡z i ᴇ p̚
崩	p ə ŋ
崩殂	p ə ŋ
崩潰	p ə ŋ
崪	d͡z u ə t̚
崱	d͡ʒ ɨ k̚
崳	j ɨ o
崴	ʔˠ u ɛ i
崵	j ɨ ɐ ŋ
崶	p ɨ o ŋ
崷	d͡z ɨ u
崹	d e i
崺	j i ᴇ X
崽	ʃˠ ɛ
崿	ŋ ɑ k̚
嵀	ɖ ɨ o X
嵁	kʰ ʌ m
嵃	ŋˠ i ᴇ n X
嵇	ɦ e i
嵈	ɦ u ɑ n X
嵊	ʑ ɨ ŋ H
嵋	mˠ i ɪ
嵌	kʰˠ a m
嵍	m ɨ o H
嵎	ŋ ɨ o
嵐	l ʌ m
嵑	kʰ ɑ t̚
嵔	ʔ ʉ i X
嵕	t͡s u ŋ
嵞	d u o
嵟	t u ʌ i
嵠	kʰ e i
嵣	d ɑ ŋ X
嵤	ɦˠ w ɛ ŋ
嵥	ɡˠ i ᴇ t̚
嵦	ŋ ʌ i
嵧	l ɨ u
嵩	s ɨ u ŋ
嵫	t͡s ɨ
嵬	ŋ u ʌ i
嵯	t͡ʃʰˠ i ᴇ
嵯峨	d͡z ɑ
嵰	kʰˠ i ᴇ m X
嵱	j ɨ o ŋ
嵲	ŋ e t̚
嵳	d͡z ɑ
嵸	t͡s u ŋ
嵼	ʃˠ ɛ n X
嵽	d e t̚
嵽嵲	d e t̚
嵾	t͡ʃʰˠ i ɪ m
嵾嵳	t͡ʃʰˠ i ɪ m
嶀	tʰ u o
嶁	l ɨ o X
嶂	t͡ɕ ɨ ɐ ŋ H
嶅	ŋ ɑ u
嶇	kʰ ɨ o
嶈	t͡sʰ ɨ ɐ ŋ
嶉	t͡s i u ɪ
嶊	t͡s u ʌ i X
嶏	pʰ u ʌ i H
嶑	z ɨ ɐ ŋ X
嶒	d͡z ɨ ŋ
嶓	p u ɑ
嶔	kʰˠ i ɪ m
嶔崎	kʰˠ i ɪ m
嶔崟	kʰˠ i ɪ m
嶕	d͡z i ᴇ u
嶘	d͡ʒˠ ɛ n X
嶙	l i ɪ n
嶙	l i ɪ n X
嶙峋	l i ɪ n
嶜	d͡z i ɪ m
嶜崟	d͡z i ɪ m
嶝	t ə ŋ H
嶞	d u ɑ X
嶟	t͡s i u ɪ n
嶠	ɡˠ i ᴇ u H
嶢	ŋ e u
嶢嶢	ŋ e u
嶧	j i ᴇ k̚
嶨	kʰˠ ʌ k̚
嶪	ŋ ɨ ɐ p̚
嶭	ŋ ɑ t̚
嶮	hˠ i ᴇ m X
嶮	ŋˠ i ᴇ m X
嶰	ɦˠ ɛ X
嶲	s i u ᴇ X
嶷	ŋ ɨ
嶷	ŋ ɨ k̚
嶸	ɦˠ w i æ ŋ
嶺	l i ᴇ ŋ X
嶼	z ɨ ʌ X
嶽	ŋˠ ʌ k̚
嶾	ʔ ɨ n X
嶾嶙	ʔ ɨ n X
巀	d͡z ɑ t̚
巀嶭	d͡z ɑ t̚
巁	l i ᴇ i H
巃	l u ŋ
巇	hˠ i ᴇ
巈	k ɨ u k̚
巉	d͡ʒˠ a m
巉岩	d͡ʒˠ a m
巉嶮	d͡ʒˠ a m X
巉巖	d͡ʒˠ a m
巊	ʔ e ŋ X
巋	kʰˠ i u ɪ
巍	ŋ ʉ i
巍峨	ŋ ʉ i
巍巍	ŋ ʉ i
巎	n ɑ u
巐	ʈʰˠ i ᴇ u X
巑	d͡z u ɑ n
巒	l u ɑ n
巔	t e n
巘	ŋ ɨ ɐ n X
川	t͡ɕʰ i u ᴇ n
州	t͡ɕ ɨ u
巟	h w ɑ ŋ
巠	k e ŋ
巡	z i u ɪ n
巡狩	z i u ɪ n
巢	d͡ʒˠ a u
巤	l i ᴇ p̚
工	k u ŋ
工匠	k u ŋ
工夫	k u ŋ
左	t͡s ɑ X
左右	t͡s ɑ X
左手	t͡s ɑ X
左馮翊	t͡s ɑ X
巧	kʰˠ a u X
巨	ɡ ɨ ʌ X
巨人	ɡ ɨ ʌ X
巨毋霸	ɡ ɨ ʌ X
巨無霸	ɡ ɨ ʌ X
巫	m ɨ o
巫山	m ɨ o
巫覡	m ɨ o
差	t͡ʃʰˠ a
差	t͡ʃʰˠ i ᴇ
差	t͡ʃʰˠ ɛ H
差	t͡ʃʰˠ ɛ i
己	k ɨ X
已	j ɨ X
已來	j ɨ X
已而	j ɨ X
巳	z ɨ X
巴	pˠ a
巵	t͡ɕ i ᴇ
巷	ɦˠ ʌ ŋ H
巸	j ɨ
巹	k ɨ n X
巽	s u ə n H
巾	kˠ i ɪ n
巿	p ɨ u t̚
帀	t͡s ʌ p̚
市	d͡ʑ ɨ X
市井	d͡ʑ ɨ X
市肆	d͡ʑ ɨ X
布	p u o H
布匿	p u o H
布教	p u o H
布施	p u o H
布濩	p u o H
布穀	p u o H
帆	b ɨ ɐ m
帆	b ɨ ɐ m H
帊	pʰˠ a H
希	h ɨ i
希冀	h ɨ i
希望	h ɨ i
帍	ɦ u o X
帑	n u o
帑	tʰ ɑ ŋ X
帓	mˠ a t̚
帔	pʰˠ i ᴇ
帕	mˠ a t̚
帖	tʰ e p̚
帗	p ɨ u t̚
帘	d͡ʒ ɪ n
帙	ɖˠ i ɪ t̚
帚	t͡ɕ ɨ u X
帛	bˠ æ k̚
帝	t e i H
帝釋	t e i H
帝釋天	t e i H
帞	mˠ æ k̚
帟	j i ᴇ k̚
帢	kʰˠ ɛ p̚
帣	kˠ i u ᴇ n H
帤	ɳ ɨ ʌ
帥	ʃˠ i u ɪ H
帨	t͡sʰ i u ᴇ i H
帩	t͡sʰ i ᴇ u H
帪	t͡ɕ i ɪ n
師	ʃˠ i ɪ
師傅	ʃˠ i ɪ
師子	ʃˠ i ɪ
師徒	ʃˠ i ɪ
師說	ʃˠ i ɪ
席	z i ᴇ k̚
帳	ʈ ɨ ɐ ŋ H
帴	d͡z ɑ n
帵	ʔ u ɑ n
帶	t ɑ i H
帶方	t ɑ i H
帷	ɦˠ i u ɪ
帷幄	ɦˠ i u ɪ
常	d͡ʑ ɨ ɐ ŋ
常刑	d͡ʑ ɨ ɐ ŋ
常理	d͡ʑ ɨ ɐ ŋ
常軌	d͡ʑ ɨ ɐ ŋ
帹	ʃˠ a p̚
帺	ɡ ɨ H
帽	m ɑ u H
帾	t u o X
幃	ɦ ʉ i
幄	ʔˠ ʌ k̚
幅	p ɨ k̚
幅	p ɨ u k̚
幅員	p ɨ u k̚
幋	b u ɑ n
幌	ɦ w ɑ ŋ X
幍	tʰ ɑ u
幏	kˠ a
幐	d ə ŋ
幔	m u ɑ n H
幕	m ɑ k̚
幕府	m ɑ k̚
幖	p i ᴇ u
幗	k u ʌ i H
幘	t͡ʃˠ ɛ k̚
幝	t͡ɕʰ i ᴇ n X
幞	b ɨ o k̚
幟	ɕ ɨ H
幠	h u o
幡	pʰ ʉ ɐ n
幡然	pʰ ʉ ɐ n
幢	ɖˠ ʌ ŋ
幢	ɖˠ ʌ ŋ H
幢幢	ɖˠ ʌ ŋ
幣	b i ᴇ i H
幦	m e k̚
幧	t͡sʰ i ᴇ u
幨	t͡ɕʰ i ᴇ m
幨	t͡ɕʰ i ᴇ m H
幪	m u ŋ
幫	p ɑ ŋ
幬	d ɑ u H
幬	ɖ ɨ u
幭	m e t̚
幮	ɖ ɨ o
幰	h ɨ ɐ n X
幰弩	h ɨ ɐ n X
幱	l ɑ n
干	k ɑ n
干將	k ɑ n
干戈	k ɑ n
干欄	k ɑ n
平	b i ᴇ n
平	bˠ i æ ŋ
平地	bˠ i æ ŋ
平天下	bˠ i æ ŋ
平安	bˠ i æ ŋ
平平	b i ᴇ n
平平	bˠ i æ ŋ
平日	bˠ i æ ŋ
平明	bˠ i æ ŋ
平素	bˠ i æ ŋ
年	n e n
年代	n e n
年尊	n e n
年歲	n e n
年紀	n e n
年齒	n e n
年齡	n e n
幵	k e n
并	p i ᴇ ŋ
幸	ɦˠ ɛ ŋ X
幸會	ɦˠ ɛ ŋ X
幸福	ɦˠ ɛ ŋ X
幸臣	ɦˠ ɛ ŋ X
幹	k ɑ n H
幺	ʔ e u
幻	ɦˠ u ɛ n H
幼	ʔ i ɪ u H
幼主	ʔ i ɪ u H
幽	ʔ i ɪ u
幽冥戒	ʔ i ɪ u
幽州	ʔ i ɪ u
幽門	ʔ i ɪ u
幽陽	ʔ i ɪ u
幽靈	ʔ i ɪ u
幽默	ʔ i ɪ u
幾	k ɨ i
幾	k ɨ i X
幾	ɡ ɨ i
幾何	k ɨ i X
广	ŋˠ i ᴇ m X
庀	pʰ i ᴇ X
庄	bˠ ɛ ŋ
庇	p i ɪ H
庈	ɡˠ i ɪ m
庉	d u ə n
床	d͡ʒ ɨ ɐ ŋ
庋	kˠ i u ᴇ X
庌	ŋˠ a X
庍	pˠ ɛ H
序	z ɨ ʌ X
底	t e i X
底野迦	t e i X
庖	bˠ a u
庖犧	bˠ a u
庖羲	bˠ a u
店	t e m H
庘	ʔˠ a p̚
庚	kˠ æ ŋ
庛	t͡sʰ i ᴇ H
府	p ɨ o X
庠	z ɨ ɐ ŋ
庠序	z ɨ ɐ ŋ
庡	ʔ ɨ i X
庢	ʈˠ i ɪ t̚
庣	tʰ e u
庤	ɖ ɨ X
庥	h ɨ u
度	d u o H
度	d ɑ k̚
座	d͡z u ɑ H
庨	hˠ a u
庩	tʰ u o
庪	kˠ i u ᴇ X
庫	kʰ u o H
庭	d e ŋ
庮	j ɨ u
庯	p u o
庰	b i ᴇ ŋ H
庱	ʈʰ ɨ ŋ
庲	l ʌ i
庳	b i ᴇ X
庴	t͡s i ᴇ k̚
庵	ʔ ʌ m
庵摩勒	ʔ ʌ m
庶	ɕ ɨ ʌ H
庶人	ɕ ɨ ʌ H
庶子	ɕ ɨ ʌ H
庶幾	ɕ ɨ ʌ H
庶民	ɕ ɨ ʌ H
康	kʰ ɑ ŋ
康樂	kʰ ɑ ŋ
庸	j ɨ o ŋ
庾	j ɨ o X
廁	t͡ʃʰ ɨ H
廂	s ɨ ɐ ŋ
廄	k ɨ u H
廅	ʔ ɑ p̚
廆	ɦ u ʌ i X
廇	l ɨ u H
廈	ɦˠ a X
廉	l i ᴇ m
廉恥	l i ᴇ m
廊	l ɑ ŋ
廋	ʃ ɨ u
廋辭	ʃ ɨ u
廌	ɖˠ i ᴇ X
廑	ɡˠ i ɪ n H
廓	kʰ w ɑ k̚
廓然	kʰ w ɑ k̚
廔	l ə u
廖	l e u
廘	l u k̚
廙	j ɨ H
廚	ɖ ɨ o
廛	ɖˠ i ᴇ n
廜	d u o
廝	s i ᴇ
廞	hˠ i ɪ m
廟	mˠ i ᴇ u H
廠	t͡ɕʰ ɨ ɐ ŋ X
廡	m ɨ o X
廢	p ʉ ɐ i H
廢死	p ʉ ɐ i H
廣	k w ɑ ŋ X
廣信	k w ɑ ŋ X
廣州	k w ɑ ŋ X
廣度	k w ɑ ŋ X
廣眾	k w ɑ ŋ X
廣開言路	k w ɑ ŋ X
廣韻	k w ɑ ŋ X
廥	k u ɑ i H
廦	pʰ i ᴇ k̚
廧	d͡z ɨ ɐ ŋ
廨	kˠ ɛ H
廩	l i ɪ m X
廬	l ɨ ʌ
廮	ʔ i ᴇ ŋ X
廯	s i ᴇ n
廱	ʔ ɨ o ŋ
廲	l e i
廳	tʰ e ŋ
廴	j i ɪ n X
延	j i ᴇ n
延年益壽	j i ᴇ n
延燒	j i ᴇ n
延蔓	j i ᴇ n H
廷	d e ŋ
建	k ɨ ɐ n H
建德	k ɨ ɐ n H
建業	k ɨ ɐ n H
建立	k ɨ ɐ n H
建言	k ɨ ɐ n H
建議	k ɨ ɐ n H
建鄴	k ɨ ɐ n H
廿	ȵ i ɪ p̚
弁	bˠ i ᴇ n H
弁韓	bˠ i ᴇ n H
异	j ɨ
弄	l u ŋ H
弄權	l u ŋ H
弅	b ɨ u n X
弆	k ɨ ʌ X
弇	k ʌ m
弈	j i ᴇ k̚
弊	b i ᴇ i H
弋	j ɨ k̚
式	ɕ ɨ k̚
式叉摩那	ɕ ɨ k̚
式微	ɕ ɨ k̚
弒君	k ɨ u n
弓	k ɨ u ŋ
弔	t e k̚
引	j i ɪ n X
引決	j i ɪ n X
引用	j i ɪ n X
弗	p ɨ u t̚
弘	ɦ w ə ŋ
弘法	ɦ w ə ŋ
弛	ɕ i ᴇ X
弜	ɡˠ i ᴇ
弝	pˠ a H
弞	ɕ i ɪ n X
弟	d e i X
弟子	d e i X
弣	pʰ ɨ o X
弤	t e i X
弦	ɦ e n
弧	ɦ u o
弨	t͡ɕʰ i ᴇ u
弩	n u o X
弬	j ɨ
弭	m i ᴇ X
弮	kʰˠ i u ᴇ n
弰	ʃˠ a u
弱	ȵ ɨ ɐ k̚
弱冠	ȵ ɨ ɐ k̚
弱小	ȵ ɨ ɐ k̚
弱水	ȵ ɨ ɐ k̚
弲	h i u ᴇ n
弲	ʔ w e n
弴	t u ə n
張	ʈ ɨ ɐ ŋ
張	ʈ ɨ ɐ ŋ H
張掖	ʈ ɨ ɐ ŋ
弶	ɡ ɨ ɐ ŋ H
強	ɡ ɨ ɐ ŋ
強	ɡ ɨ ɐ ŋ X
強國	ɡ ɨ ɐ ŋ
強大	ɡ ɨ ɐ ŋ
強梁	ɡ ɨ ɐ ŋ
強盜	ɡ ɨ ɐ ŋ
弸	pʰˠ ɛ ŋ
弼	bˠ i ɪ t̚
弽	ɕ i ᴇ p̚
彀	k ə u H
彃	p i ɪ t̚
彄	kʰ ə u
彆	p i ᴇ i H
彇	s e u
彈	d ɑ n
彈	d ɑ n H
彈丸	d ɑ n
彈丸	d ɑ n H
彈丸之地	d ɑ n H
彈劾	d ɑ n
彈壓	d ɑ n
彈琴	d ɑ n
彉	h w ɑ k̚
彊	ɡ ɨ ɐ ŋ
彋	ɦˠ w æ ŋ
彌	m i ᴇ
彌勒	m i ᴇ
彌施訶	m i ᴇ
彎	ʔˠ u a n
彏	h ʉ ɐ k̚
彐	kˠ i ᴇ i H
彔	l u k̚
彖	tʰ u ɑ n H
彗	z i u ɪ H
彗	ɦˠ i u ᴇ i H
彗星	z i u ɪ H
彘	ɖˠ i ᴇ i H
彙	ɦ ʉ i H
彝	j i ɪ
彠	ʔ ʉ ɐ k̚
彡	ʃˠ a m
形	ɦ e ŋ
形勝	ɦ e ŋ
形單影隻	ɦ e ŋ
形虞	ɦ e ŋ
彣	m ɨ u n
彤	d u o ŋ
彥	ŋˠ i ᴇ n H
彧	ʔ ɨ u k̚
彩	t͡sʰ ʌ i X
彩虹	t͡sʰ ʌ i X
彩雲	t͡sʰ ʌ i X
彪	p i ɪ u
彬	pˠ i ɪ n
彬彬	pˠ i ɪ n
彭	bˠ æ ŋ
彭城	bˠ æ ŋ
彭澤	bˠ æ ŋ
彯	pʰ i ᴇ u
彰	t͡ɕ ɨ ɐ ŋ
影	ʔˠ i æ ŋ X
影響	ʔˠ i æ ŋ X
彳	ʈʰ i ᴇ k̚
彳亍	ʈʰ i ᴇ k̚
彴	t͡ɕ ɨ ɐ k̚
彷	b ɑ ŋ
彷	pʰ ʉ ɐ ŋ X
彷彿	pʰ ʉ ɐ ŋ X
彷徉	b ɑ ŋ
彷徨	b ɑ ŋ
彸	t͡ɕ ɨ o ŋ
役	j w i ᴇ k̚
彺	ɦ ʉ ɐ ŋ
彼	pˠ i ᴇ X
彼岸	pˠ i ᴇ X
彼時	pˠ i ᴇ X
彽	ɖˠ i ɪ
彾	l e ŋ
彿	pʰ ɨ u t̚
往	ɦ ʉ ɐ ŋ X
往來	ɦ ʉ ɐ ŋ X
往往	ɦ ʉ ɐ ŋ X
往昔	ɦ ʉ ɐ ŋ X
往還	ɦ ʉ ɐ ŋ X
征	t͡ɕ i ᴇ ŋ
徂	d͡z u o
徂落	d͡z u o
徂謝	d͡z u o
徂遷	d͡z u o
待	d ʌ i X
待時	d ʌ i X
待罪	d ʌ i X
徇	z i u ɪ n H
很	ɦ ə n X
徉	j ɨ ɐ ŋ
徊	ɦ u ʌ i
律	l i u ɪ t̚
律師	l i u ɪ t̚
律詩	l i u ɪ t̚
後	ɦ ə u X
後事	ɦ ə u X
後來	ɦ ə u X
後來居上	ɦ ə u X
後宮	ɦ ə u X
後庭	ɦ ə u X
後胤	ɦ ə u X
後裔	ɦ ə u X
後類	ɦ ə u X
徎	ɖ i ᴇ ŋ X
徐	z ɨ ʌ
徐州	z ɨ ʌ
徐羅伐	z ɨ ʌ
徐聞	z ɨ ʌ
徐行	z ɨ ʌ
徑	k e ŋ H
徑庭	k e ŋ H
徑須	k e ŋ H
徒	d u o
徒步	d u o
得	t ə k̚
得人心	t ə k̚
得無	t ə k̚
得罪	t ə k̚
徘	b u ʌ i
徘徊	b u ʌ i
徙	s i ᴇ X
徛	kˠ i ᴇ H
徛	ɡˠ i ᴇ X
徜	d͡ʑ ɨ ɐ ŋ
徜徉	d͡ʑ ɨ ɐ ŋ
從	d͡z ɨ o ŋ
從	d͡z ɨ o ŋ H
從	t͡sʰ ɨ o ŋ
從事	d͡z ɨ o ŋ
從今	d͡z ɨ o ŋ
從容	t͡sʰ ɨ o ŋ
從心所欲	d͡z ɨ o ŋ
徠	l ʌ i
徠	l ʌ i H
御	ŋ ɨ ʌ H
御史	ŋ ɨ ʌ H
御極	ŋ ɨ ʌ H
徢	s e p̚
徥	d͡ʑ i ᴇ X
徨	ɦ w ɑ ŋ
復	b ɨ u H
復	b ɨ u k̚
復仇	b ɨ u H
復國	b ɨ u k̚
復生	b ɨ u k̚
復育	b ɨ u k̚
復興	b ɨ u H
復讎	b ɨ u H
循	z i u ɪ n
徬	b ɑ ŋ H
徭役	j w i ᴇ k̚
微	m ʉ i
徯	ɦ e i
徵	ʈ ɨ X
徵	ʈ ɨ ŋ
德	t ə k̚
德行	t ə k̚
徹	ɖˠ i ᴇ t̚
徼	k e u
徽	h ʉ i
徽州	h ʉ i
忀	s ɨ ɐ ŋ
忀徉	s ɨ ɐ ŋ
忂	ɡ ɨ o
心	s i ɪ m
心事	s i ɪ m
心志	s i ɪ m
心有靈犀一點通	s i ɪ m
必	p i ɪ t̚
忉	t ɑ u
忉利天	t ɑ u
忉怛	t ɑ u
忌	ɡ ɨ H
忌諱	ɡ ɨ H
忍	ȵ i ɪ n X
忒	tʰ ə k̚
忓	k ɑ n
忔	h ɨ t̚
忕	d͡ʑ i ᴇ i H
忕	tʰ ɑ i H
忖	t͡sʰ u ə n X
志	t͡ɕ ɨ H
志士	t͡ɕ ɨ H
忘	m ʉ ɐ ŋ H
忙	m ɑ ŋ
忚	h e i
忝	tʰ e m X
忞	mˠ i ɪ n
忠	ʈ ɨ u ŋ
忠信	ʈ ɨ u ŋ
忠厚	ʈ ɨ u ŋ
忠告	ʈ ɨ u ŋ
忡	ʈʰ ɨ u ŋ
忡忡	ʈʰ ɨ u ŋ
忤	ŋ u o H
忥	h ɨ i H
忦	kˠ ɛ t̚
忧	ɦ ɨ u H
忨	ŋ u ɑ n
忪	t͡ɕ ɨ o ŋ
快	kʰˠ u a i H
快刀	kʰˠ u a i H
快樂	kʰˠ u a i H
忬	j ɨ ʌ H
忭	bˠ i ᴇ n H
忮	t͡ɕ i ᴇ H
忯	ɡ i ᴇ
忱	d͡ʑ i ɪ m
忳	d u ə n
念	n e m H
忶	ɦ u ə n
忸	ɳ ɨ u k̚
忸怩	ɳ ɨ u k̚
忻	h ɨ n
忻悅	h ɨ n
忼	h ɑ ŋ
忽	h u ə t̚
忽如	h u ə t̚
忽忘	h u ə t̚
忽然	h u ə t̚
忽雷	h u ə t̚
忿	pʰ ɨ u n X
怊	ʈʰˠ i ᴇ u
怋	m i ɪ n
怋	m u ə n
怌	pʰˠ i ɪ
怍	d͡z ɑ k̚
怏	ʔ ɨ ɐ ŋ X
怐	k ɨ o H
怐愗	kʰ ə u H
怒	n u o X
怓	ɳˠ a u
怔	t͡ɕ i ᴇ ŋ
怔忡	t͡ɕ i ᴇ ŋ
怔忪	t͡ɕ i ᴇ ŋ
怕	pʰˠ a H
怕	pʰˠ æ k̚
怖	pʰ u o H
怗	tʰ e p̚
怙	ɦ u o X
怚	t͡s i a
怛	t ɑ t̚
怛特羅	t ɑ t̚
怜	l e ŋ
思	s ɨ
思	s ɨ H
思念	s ɨ
怞	ɖ ɨ u
怠	d ʌ i X
怡	j ɨ
怡悅	j ɨ
怤	pʰ ɨ o
急	kˠ i ɪ p̚
急流	kˠ i ɪ p̚
怦	pʰˠ ɛ ŋ
性	s i ᴇ ŋ H
性命	s i ᴇ ŋ H
怨	ʔ ʉ ɐ n
怨仇	ʔ ʉ ɐ n
怨恨	ʔ ʉ ɐ n H
怨讟	ʔ ʉ ɐ n H
怩	ɳˠ i ɪ
怪	kˠ u ɛ i H
怪物	kˠ u ɛ i H
怫	b ɨ u t̚
怫	b ʉ i H
怭	b i ɪ t̚
怮	ʔ e u
怯	kʰ ɨ ɐ p̚
怱	t͡sʰ u ŋ
怱怱	t͡sʰ u ŋ
怲	pˠ i æ ŋ X
怴	h i ɪ t̚
怵	ʈʰ i u ɪ t̚
怵惕	ʈʰ i u ɪ t̚
恀	t͡ɕ i ᴇ X
恁	ȵ i ɪ m
恂	s i u ɪ n
恃	d͡ʑ ɨ X
恄	h i ɪ t̚
恅	l ɑ u X
恆	ɦ ə ŋ
恆伽	ɦ ə ŋ
恆河	ɦ ə ŋ
恆河沙	ɦ ə ŋ
恇	kʰ ʉ ɐ ŋ
恈	m ɨ u
恉	t͡ɕˠ i ɪ X
恌	j i ᴇ u
恌	tʰ e u
恍	k w ɑ ŋ
恍惚	k w ɑ ŋ
恎	d e t̚
恐	kʰ ɨ o ŋ X
恐懼	kʰ ɨ o ŋ X
恑	kˠ i u ᴇ X
恔	k e u X
恕	ɕ ɨ ʌ H
恗	h u o
恘	kʰ ɨ u
恙	j ɨ ɐ ŋ H
恚	ʔ i u ᴇ H
恜	ʈʰ ɨ k̚
恞	j i ɪ
恟	h ɨ o ŋ
恢	kʰ u ʌ i
恣	t͡s i ɪ H
恣睢	t͡s i ɪ H
恤	s i u ɪ t̚
恥	ʈʰ ɨ X
恧	ɳ ɨ u k̚
恨	ɦ ə n H
恩	ʔ ə n
恪	kʰ ɑ k̚
恫	tʰ u ŋ
恬	d e m
恭	k ɨ o ŋ
恭敬	k ɨ o ŋ
恮	t͡sʰ i u ᴇ n
恮	t͡ʃˠ i u ᴇ n
息	s ɨ k̚
恰	kʰˠ ɛ p̚
恲	pʰˠ i æ ŋ
恾	m ɑ ŋ
恿	j ɨ o ŋ X
悀	j ɨ o ŋ X
悁	ʔ i u ᴇ n
悂	pʰ i ɪ
悃	kʰ u ə n X
悄	t͡sʰ i ᴇ u X
悅	j i u ᴇ t̚
悅樂	j i u ᴇ t̚
悆	j ɨ ʌ H
悇	tʰ u o
悈	kˠ ɛ i H
悉	s i ɪ t̚
悉曇	s i ɪ t̚
悉達多	s i ɪ t̚
悊	ʈˠ i ᴇ t̚
悌	d e i X
悍	ɦ ɑ n H
悏	kʰ e p̚
悐	tʰ e k̚
悑	pʰ u o H
悒	ʔˠ i ɪ p̚
悔	h u ʌ i X
悔悟	h u ʌ i X
悔改	h u ʌ i X
悕	h ɨ i
悖	b u ə t̚
悖	b u ʌ i H
悗	m u ɑ n
悙	hˠ æ ŋ
悚	s ɨ o ŋ X
悛	t͡sʰ i u ᴇ n
悜	ʈʰ i ᴇ ŋ X
悝	kʰ u ʌ i
悝	l ɨ X
悟	ŋ u o H
悠	j ɨ u
悠久	j ɨ u
悠悠	j ɨ u
悠揚	j ɨ u
悠然	j ɨ u
悢	l ɨ ɐ ŋ H
患	ɦˠ u a n H
悰	d͡z u o ŋ
悱	pʰ ʉ i X
悲	pˠ i ɪ
悲傷	pˠ i ɪ
悲哀	pˠ i ɪ
悲壯	pˠ i ɪ
悲憤	pˠ i ɪ
悲歌	pˠ i ɪ
悲歡	pˠ i ɪ
悲痛	pˠ i ɪ
悴	d͡z i u ɪ H
悵	ʈʰ ɨ ɐ ŋ H
悵惘	ʈʰ ɨ ɐ ŋ H
悶	m u ə n H
悷	l e i H
悸	ɡ i u ɪ H
悹	k u ɑ n
悺	k u ɑ n H
悼	d ɑ u H
悽	t͡sʰ e i
悾	kʰ u ŋ
悿	tʰ e m X
惀	l i u ɪ n
惁	s e k̚
惂	kʰ ʌ m X
惃	k u ə n
惄	n e k̚
情	d͡z i ᴇ ŋ
情態	d͡z i ᴇ ŋ
情懷	d͡z i ᴇ ŋ
惆	kʰ ɨ u
惆	ʈʰ ɨ u
惆悵	ʈʰ ɨ u
惇	t͡ɕ i u ɪ n
惇篤	t u ə n
惈	k u ɑ X
惋	ʔ u ɑ n H
惋惜	ʔ u ɑ n H
惌	ʔ ʉ ɐ n X
惎	ɡ ɨ H
惑	ɦ w ə k̚
惑眾	ɦ w ə k̚
惔	d ɑ m
惔	d ɑ m X
惕	tʰ e k̚
惘	m ʉ ɐ ŋ X
惘惘	m ʉ ɐ ŋ X
惙	ʈˠ i u ᴇ t̚
惚	h u ə t̚
惚恍	h u ə t̚
惛	h u ə n
惜	s i ᴇ k̚
惟	j i u ɪ
惠	ɦ w e i H
惡	ʔ u o
惡	ʔ u o H
惡	ʔ ɑ k̚
惡乎	ʔ u o
惡人	ʔ ɑ k̚
惡女	ʔ ɑ k̚
惡少	ʔ ɑ k̚
惡德	ʔ ɑ k̚
惡意	ʔ ɑ k̚
惡魔	ʔ ɑ k̚
惢	t͡s i ᴇ
惰	d u ɑ X
惰農	d u ɑ X
惱	n ɑ u X
惲	ʔ ɨ u n X
想	s ɨ ɐ ŋ X
想見	s ɨ ɐ ŋ X
惴	t͡ɕ i u ᴇ H
惴惴	t͡ɕ i u ᴇ H
惴耎	t͡ɕ i u ᴇ H
惵	d e p̚
惶	ɦ w ɑ ŋ
惶恐	ɦ w ɑ ŋ
惶惑	ɦ w ɑ ŋ
惶惶	ɦ w ɑ ŋ
惷	t͡ɕʰ i u ɪ n X
惸	ɡ w i ᴇ ŋ
惹	ȵ i a X
惹	ȵ ɨ ɐ k̚
惺	s e ŋ
惻	t͡ʃʰ ɨ k̚
惻隱	t͡ʃʰ ɨ k̚
惼	p e n X
愀	t͡sʰ i ᴇ u X
愁	d͡ʒ ɨ u
愃	s i u ᴇ n
愆	kʰˠ i ᴇ n
愇	ɦ ʉ i X
愈	j ɨ o X
愉	j ɨ o
愊	pʰ ɨ k̚
愋	h ʉ ɐ n
愍	mˠ i ɪ n X
愎	b ɨ k̚
意	ʔ ɨ H
意向	ʔ ɨ H
意志	ʔ ɨ H
意思	ʔ ɨ H
意氣	ʔ ɨ H
愐	m i ᴇ n X
愒	kʰˠ i ᴇ i H
愓	d ɑ ŋ X
愔	ʔ i ɪ m
愕	ŋ ɑ k̚
愕然	ŋ ɑ k̚
愖	d͡ʑ i ɪ m
愗	m ə u H
愙	kʰ ɑ k̚
愚	ŋ ɨ o
愚人	ŋ ɨ o
愚忠	ŋ ɨ o
愚民	ŋ ɨ o
愚氓	ŋ ɨ o
愚臣	ŋ ɨ o
愚蠢	ŋ ɨ o
愛	ʔ ʌ i H
愛情	ʔ ʌ i H
愛河	ʔ ʌ i H
愜	kʰ e p̚
愞	ȵ i u ᴇ n X
感	k ʌ m X
感動	k ʌ m X
感恩	k ʌ m X
感慨	k ʌ m X
感謝	k ʌ m X
愡	t͡sʰ u ŋ H
愢	s ʌ i
愧	kˠ i u ɪ H
愨	kʰˠ ʌ k̚
愩	k u ŋ
