ᆜ	j ɯ
깜빡하다	k͈ a̠ m p͈ a̠ kʰ a̠ d a̠
깜빵	k͈ a̠ m p͈ a̠ ŋ
깜작	k͈ a̠ m d͡ʑ a̠ k̚
깜작깜작	k͈ a̠ m d͡ʑ a̠ k̚ k͈ a̠ m d͡ʑ a̠ k̚
깜짝	k͈ a̠ m t͡ɕ͈ a̠ k̚
깜짝깜짝	k͈ a̠ m t͡ɕ͈ a̠ k̚ k͈ a̠ m t͡ɕ͈ a̠ k̚
깜찍하다	k͈ a̠ m t͡ɕ͈ i kʰ a̠ d a̠
깡치	k͈ a̠ ŋ t͡ɕʰ i
깡통	k͈ a̠ ŋ tʰ o̞ ŋ
깨	k͈ ɛː
깨다	k͈ ɛː d a̠
깨지다	k͈ ɛː d͡ʑ i d a̠
꺄아악	k͈ j a̠ a̠ a̠ k̚
꺅도요	k͈ j a̠ k̚ t͈ o̞ j o
꺼	k͈ ʌ̹
꺼리다	k͈ ɘː ɾ i d a̠
꺼멓다	k͈ ɘː m ʌ̹ tʰ a̠
꺼지다	k͈ ʌ̹ d͡ʑ i d a̠
꺼풀	k͈ ʌ̹ pʰ u ɭ
꺽저구	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɡ u
꺽저기	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɡ i
꺽정이	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ i
꺽지	k͈ ʌ̹ k̚ t͡ɕ͈ i
꺾다	k͈ ʌ̹ k̚ t͈ a̠
꺾어지다	k͈ ʌ̹ k͈ ʌ̹ d͡ʑ i d a̠
껌	k͈ ʌ̹ m
껌벅	k͈ ʌ̹ m b ʌ̹ k̚
껌벅껌벅	k͈ ʌ̹ m b ʌ̹ k̚ k͈ ʌ̹ m b ʌ̹ k̚
껌뻑	k͈ ʌ̹ m p͈ ʌ̹ k̚
껌뻑껌뻑	k͈ ʌ̹ m p͈ ʌ̹ k̚ k͈ ʌ̹ m p͈ ʌ̹ k̚
껍질	k͈ ʌ̹ p̚ t͡ɕ͈ i ɭ
께끈하다	k͈ e̞ k͈ ɯ n ɦ a̠ d a̠
께낀하다	k͈ e̞ k͈ i n ɦ a̠ d a̠
껴안다	k͈ j ʌ̹ a̠ n t͈ a̠
껴입다	k͈ j ʌ̹ i p̚ t͈ a̠
꼬다	k͈ o̞ː d a̠
꼬뜨디봐르	k͈ o̞ t͈ ɯ d i b w a̠ ɾ ɯ
꼬르륵	k͈ o̞ ɾ ɯ ɾ ɯ k̚
꼬르륵꼬르륵	k͈ o̞ ɾ ɯ ɾ ɯ k̚ k͈ o̞ ɾ ɯ ɾ ɯ k̚
꼬리	k͈ o̞ ɾ i
꼬리지느러미	k͈ o̞ ɾ i d͡ʑ i n ɯ ɾ ʌ̹ m i
꼬리치레	k͈ o̞ ɾ i t͡ɕʰ i ɾ e̞
꼬리치레도롱뇽	k͈ o̞ ɾ i t͡ɕʰ i ɾ e̞ d o̞ ɾ o̞ ŋ ɲ o ŋ
꼬리표	k͈ o̞ ɾ i pʰ j o
꼬마	k͈ o̞ m a̠
꼬마뒤쥐	k͈ o̞ m a̠ d ɥ i d͡ʑ ɥ i
꼬마청황	k͈ o̞ m a̠ t͡ɕʰ ʌ̹ ŋ β w a̠ ŋ
꼬막	k͈ o̞ m a̠ k̚
꼬무락꼬무락	k͈ o̞ m u ɾ a̠ k̚ k͈ o̞ m u ɾ a̠ k̚
꼬무룩	k͈ o̞ m u ɾ u k̚
꼬물꼬물	k͈ o̞ m u ɭ k͈ o̞ m u ɭ
꼬박	k͈ o̞ b a̠ k̚
꼬박거리다	k͈ o̞ b a̠ k̚ k͈ ʌ̹ ɾ i d a̠
꼬박꼬박	k͈ o̞ b a̠ k̚ k͈ o̞ b a̠ k̚
꼬부랑국수	k͈ o̞ b u ɾ a̠ ŋ ɡ u k s͈ u
꼬스따리까	k͈ o̞ sʰ ɯ t͈ a̠ ɾ i k͈ a̠
꼬집다	k͈ o̞ d͡ʑ i p̚ t͈ a̠
꼬치	k͈ o̞ t͡ɕʰ i
꼬치고기	k͈ o̞ t͡ɕʰ i ɡ o̞ ɡ i
꼬치구이	k͈ o̞ t͡ɕʰ i ɡ u i
꼭	k͈ o̞ k̚
꼭두각시	k͈ o̞ k̚ t͈ u ɡ a̠ k ɕ͈ i
꼭지	k͈ o̞ k̚ t͡ɕ͈ i
꼭지이응	k͈ o̞ k̚ t͡ɕ͈ i i ɯ ŋ
꼴	k͈ o̞ ɭ
꼴꼴	k͈ o̞ ɭ k͈ o̞ ɭ
꼴롬비아	k͈ o̞ ɭ ɭ o̞ m b i a̠
꼴리다	k͈ o̞ ʎ ʎ i d a̠
꼴불견	k͈ o̞ ɭ b u ɭ ɡ j ʌ̹ n
꼴사납다	k͈ o̞ ɭ sʰ a̠ n a̠ p̚ t͈ a̠
꼴찌	k͈ o̞ ʎ t͡ɕ͈ i
꼼꼼하다	k͈ o̞ m k͈ o̞ m ɦ a̠ d a̠
꼼꼼히	k͈ o̞ m k͈ o̞ m ʝ i
꼼수	k͈ o̞ m sʰ u
꼼실꼼실	k͈ o̞ m ɕʰ i ɭ k͈ o̞ m ɕʰ i ɭ
꼼작	k͈ o̞ m d͡ʑ a̠ k̚
꼼작꼼작	k͈ o̞ m d͡ʑ a̠ k̚ k͈ o̞ m d͡ʑ a̠ k̚
꼼지락	k͈ o̞ m d͡ʑ i ɾ a̠ k̚
꼼지락꼼지락	k͈ o̞ m d͡ʑ i ɾ a̠ k̚ k͈ o̞ m d͡ʑ i ɾ a̠ k̚
꼼짝	k͈ o̞ m t͡ɕ͈ a̠ k̚
꼼짝꼼짝	k͈ o̞ m t͡ɕ͈ a̠ k̚ k͈ o̞ m t͡ɕ͈ a̠ k̚
꼼치	k͈ o̞ m t͡ɕʰ i
꼼트락꼼트락	k͈ o̞ m tʰ ɯ ɾ a̠ k̚ k͈ o̞ m tʰ ɯ ɾ a̠ k̚
꼼틀	k͈ o̞ m tʰ ɯ ɭ
꼼틀꼼틀	k͈ o̞ m tʰ ɯ ɭ k͈ o̞ m tʰ ɯ ɭ
꼿발	k͈ o̞ t̚ p͈ a̠ ɭ
꽁냥꽁냥	k͈ o̞ ŋ ɲ a̠ ŋ k͈ o̞ ŋ ɲ a̠ ŋ
꽁무니	k͈ o̞ ŋ m u n i
꽁초	k͈ o̞ ŋ t͡ɕʰ o̞
꽁치	k͈ o̞ ŋ t͡ɕʰ i
꽁트	k͈ o̞ ŋ tʰ ɯ
꽂다	k͈ o̞ t̚ t͈ a̠
꽂이	k͈ o̞ d͡ʑ i
꽂히다	k͈ o̞ t͡ɕʰ i d a̠
꽃	k͈ o̞ t̚
꽃가루	k͈ o̞ t̚ k͈ a̠ ɾ u
꽃게	k͈ o̞ t̚ k͈ e̞
꽃꽂이	k͈ o̞ t̚ k͈ o̞ d͡ʑ i
꽃나무	k͈ o̞ n n a̠ m u
꽃다발	k͈ o̞ t̚ t͈ a̠ b a̠ ɭ
꽃말	k͈ o̞ n m a̠ ɭ
꽃며느리밥풀	k͈ o̞ n m j ʌ̹ n ɯ ɾ i b a̠ p̚ pʰ u ɭ
꽃미남	k͈ o̞ n m i n a̠ m
꽃병	k͈ o̞ t̚ p͈ j ʌ̹ ŋ
꽃봉오리	k͈ o̞ t̚ p͈ o̞ ŋ o̞ ɾ i
꽃불	k͈ o̞ t̚ p͈ u ɭ
꽃빵	k͈ o̞ t̚ p͈ a̠ ŋ
꽃이끼	k͈ o̞ n n i k͈ i
꽃잎	k͈ o̞ n n i p̚
꽃제비	k͈ o̞ t̚ t͡ɕ͈ e̞ b i
꽃집	k͈ o̞ t̚ t͡ɕ͈ i p̚
꽃피다	k͈ o̞ t̚ pʰ i d a̠
꽈리	k͈ w a̠ ɾ i
꽈잘	k͈ w a̠ d͡ʑ a̠ ɭ
꽉	k͈ w a̠ k̚
꽌시	k͈ w a̠ n ɕʰ i
꽝꽝나무	k͈ w a̠ ŋ k͈ w a̠ ŋ n a̠ m u
꾀	k͈ w e̞
꾀꼬리	k͈ w e̞ k͈ o̞ ɾ i
꾀꼬리버섯	k͈ w e̞ k͈ o̞ ɾ i b ʌ̹ sʰ ʌ̹ t̚
꾀병	k͈ w e̞ b j ʌ̹ ŋ
꾸구리	k͈ u ɡ u ɾ i
꾸다	k͈ u d a̠
꾸드스	k͈ u d ɯ sʰ ɯ
꾸란	k͈ u ɾ a̠ n
꾸러미	k͈ u ɾ ʌ̹ m i
꾸르륵	k͈ u ɾ ɯ ɾ ɯ k̚
꾸르륵꾸르륵	k͈ u ɾ ɯ ɾ ɯ k̚ k͈ u ɾ ɯ ɾ ɯ k̚
꾸리다	k͈ u ɾ i d a̠
꾸무럭꾸무럭	k͈ u m u ɾ ʌ̹ k̚ k͈ u m u ɾ ʌ̹ k̚
꾸물꾸물	k͈ u m u ɭ k͈ u m u ɭ
꾸미다	k͈ u m i d a̠
꾸바	k͈ u b a̠
꾸벅	k͈ u b ʌ̹ k̚
꾸벅거리다	k͈ u b ʌ̹ k̚ k͈ ʌ̹ ɾ i d a̠
꾸준하다	k͈ u d͡ʑ u n ɦ a̠ d a̠
꾸준히	k͈ u d͡ʑ u n ʝ i
꾸짖다	k͈ u d͡ʑ i t̚ t͈ a̠
꾹저구	k͈ u k̚ t͡ɕ͈ ʌ̹ ɡ u
꾼	k͈ u n
꿀	k͈ u ɭ
꿀꿀	k͈ u ɭ k͈ u ɭ
꿀꿀이	k͈ u ɭ k͈ u ɾ i
꿀떡	k͈ u ɭ t͈ ʌ̹ k̚
꿀맛	k͈ u ɭ m a̠ t̚
꿀밤	k͈ u ɭ b a̠ m
꿀벅지	k͈ u ɭ b ʌ̹ k̚ t͡ɕ͈ i
꿀벌	k͈ u ɭ b ʌ̹ ɭ
꿀술	k͈ u ɭ sʰ u ɭ
꿇다	k͈ u ɭ tʰ a̠
꿈	k͈ u m
꿈결	k͈ u m k͈ j ʌ̹ ɭ
꿈꾸다	k͈ u m k͈ u d a̠
꿈실꿈실	k͈ u m ɕʰ i ɭ k͈ u m ɕʰ i ɭ
꿈적	k͈ u m d͡ʑ ʌ̹ k̚
꿈적꿈적	k͈ u m d͡ʑ ʌ̹ k̚ k͈ u m d͡ʑ ʌ̹ k̚
꿈지럭	k͈ u m d͡ʑ i ɾ ʌ̹ k̚
꿈지럭꿈지럭	k͈ u m d͡ʑ i ɾ ʌ̹ k̚ k͈ u m d͡ʑ i ɾ ʌ̹ k̚
꿈쩍	k͈ u m t͡ɕ͈ ʌ̹ k̚
꿈쩍꿈쩍	k͈ u m t͡ɕ͈ ʌ̹ k̚ k͈ u m t͡ɕ͈ ʌ̹ k̚
꿈트럭꿈트럭	k͈ u m tʰ ɯ ɾ ʌ̹ k̚ k͈ u m tʰ ɯ ɾ ʌ̹ k̚
꿈틀	k͈ u m tʰ ɯ ɭ
꿈틀꿈틀	k͈ u m tʰ ɯ ɭ k͈ u m tʰ ɯ ɭ
꿋꿋하다	k͈ u t̚ k͈ u tʰ a̠ d a̠
꿩	k͈ w ʌ̹ ŋ
꿩의다리	k͈ w ʌ̹ ŋ ɰ i d a̠ ɾ i
꿩의밥	k͈ w ʌ̹ ŋ ɰ i b a̠ p̚
꿰다	k͈ w e̞ː d a̠
꿰뚫다	k͈ w e̞ː t͈ u ɭ tʰ a̠
꿰차다	k͈ w e̞ː t͡ɕʰ a̠ d a̠
뀌다	k͈ ɥ iː d a̠
끄다	k͈ ɯ d a̠
끄덕이다	k͈ ɯ d ʌ̹ ɡ i d a̠
끄르다	k͈ ɯ ɾ ɯ d a̠
끄리	k͈ ɯ ɾ i
끄스다	k͈ ɯ sʰ ɯ d a̠
끄집다	k͈ ɯː d͡ʑ i p̚ t͈ a̠
끄트러기	k͈ ɯ tʰ ɯ ɾ ʌ̹ ɡ i
끈	k͈ ɯ n
끈기	k͈ ɯ n ɡ i
끈끈이	k͈ ɯ n k͈ ɯ n i
끈끈이주걱	k͈ ɯ n k͈ ɯ n i d͡ʑ u ɡ ʌ̹ k̚
끈적끈적하다	k͈ ɯ ɲ d͡ʑ ʌ̹ k̚ k͈ ɯ ɲ d͡ʑ ʌ̹ kʰ a̠ d a̠
끈적하다	k͈ ɯ ɲ d͡ʑ ʌ̹ kʰ a̠ d a̠
끈질기다	k͈ ɯ ɲ d͡ʑ i ɭ ɡ i d a̠
끊다	k͈ ɯ n tʰ a̠
끊이다	k͈ ɯ n i d a̠
끊임	k͈ ɯ n i m
끊임없다	k͈ ɯ n i m ʌ̹ p̚ t͈ a̠
끊임없이	k͈ ɯ n i m ʌ̹ p ɕ͈ i
끌	k͈ ɯ ɭ
끌다	k͈ ɯː ɭ d a̠
끌리다	k͈ ɯː ʎ ʎ i d a̠
끌신	k͈ ɯː ɭ ɕʰ i n
끌어안다	k͈ ɯː ɾ ʌ̹ a̠ n t͈ a̠
끓다	k͈ ɯ ɭ tʰ a̠
끓이다	k͈ ɯ ɾ i d a̠
끔벅	k͈ ɯ m b ʌ̹ k̚
끔벅끔벅	k͈ ɯ m b ʌ̹ k̚ k͈ ɯ m b ʌ̹ k̚
끔뻑	k͈ ɯ m p͈ ʌ̹ k̚
끔뻑끔뻑	k͈ ɯ m p͈ ʌ̹ k̚ k͈ ɯ m p͈ ʌ̹ k̚
끔적	k͈ ɯ m d͡ʑ ʌ̹ k̚
끔적끔적	k͈ ɯ m d͡ʑ ʌ̹ k̚ k͈ ɯ m d͡ʑ ʌ̹ k̚
끔쩍	k͈ ɯ m t͡ɕ͈ ʌ̹ k̚
끔쩍끔쩍	k͈ ɯ m t͡ɕ͈ ʌ̹ k̚ k͈ ɯ m t͡ɕ͈ ʌ̹ k̚
끔찍끔찍하다	k͈ ɯ m t͡ɕ͈ i k̚ k͈ ɯ m t͡ɕ͈ i kʰ a̠ d a̠
끔찍하다	k͈ ɯ m t͡ɕ͈ i kʰ a̠ d a̠
끙	k͈ ɯ ŋ
끙끙	k͈ ɯ ŋ k͈ ɯ ŋ
끙끙거리다	k͈ ɯ ŋ k͈ ɯ ŋ ɡ ʌ̹ ɾ i d a̠
끙끙하다	k͈ ɯ ŋ k͈ ɯ ŋ ɦ a̠ d a̠
끝	k͈ ɯ t̚
끝나다	k͈ ɯ n n a̠ d a̠
끝말	k͈ ɯ n m a̠ ɭ
끝말잇기	k͈ ɯ n m a̠ ɾ i t̚ k͈ i
끝없다	k͈ ɯ d ʌ̹ p̚ t͈ a̠
끝자락	k͈ ɯ t̚ t͡ɕ͈ a̠ ɾ a̠ k̚
끝장	k͈ ɯ t̚ t͡ɕ͈ a̠ ŋ
끼	k͈ i
끼니	k͈ i n i
끼다	k͈ i d a̠
끼다	k͈ iː d a̠
끼르기즈스딴	k͈ i ɾ ɯ ɡ i d͡ʑ ɯ sʰ ɯ t͈ a̠ n
끼쁘로스	k͈ i p͈ ɯ ɾ o̞ sʰ ɯ
끼야기	k͈ i j a̠ ɡ i
끼예브	k͈ i j e̞ b ɯ
끼우다	k͈ i u d a̠
끼치다	k͈ i t͡ɕʰ i d a̠
끽	k͈ i k̚
끽다	k͈ i k̚ t͈ a̠
끽다점	k͈ i k̚ t͈ a̠ d͡ʑ ʌ̹ m
끽반하다	k͈ i k̚ p͈ a̠ n ɦ a̠ d a̠
끽연	k͈ i ɡ j ʌ̹ n
끽연하다	k͈ i ɡ j ʌ̹ n ɦ a̠ d a̠
나	n a̠
나	n a̠ː
나가다	n a̠ ɡ a̠ d a̠
나각	n a̠ ɡ a̠ k̚
나고야	n a̠ ɡ o̞ j a̠
나귀	n a̠ ɡ ɥ i
나그네	n a̠ ɡ ɯ n e̞
나그푸르	n a̠ ɡ ɯ pʰ u ɾ ɯ
나근나근	n a̠ ɡ ɯ n n a̠ ɡ ɯ n
나긋하다	n a̠ ɡ ɯ tʰ a̠ d a̠
나나니	n a̠ n a̠ n i
나놔다	n a̠ n w a̠ d a̠
나누기	n a̠ n u ɡ i
나누다	n a̠ n u d a̠
나누이다	n a̠ n u i d a̠
나뉘다	n a̠ n ɥ i d a̠
나닐다	n a̠ n i ɭ d a̠
나다	n a̠ d a̠
나들이옷	n a̠ d ɯ ɾ i o̞ t̚
나라	n a̠ ɾ a̠
나라님	n a̠ ɾ a̠ n i m
나라말	n a̠ ɾ a̠ m a̠ ɭ
나라이름	n a̠ ɾ a̠ i ɾ ɯ m
나락	n a̠ː ɾ a̠ k̚
나란히	n a̠ ɾ a̠ n ʝ i
나랑	n a̠ ɾ a̠ ŋ
나루	n a̠ ɾ u
나룻	n a̠ ɾ u t̚
나르다	n a̠ ɾ ɯ d a̠
나른하다	n a̠ ɾ ɯ n ɦ a̠ d a̠
나름	n a̠ ɾ ɯ m
나리	n a̠ ɾ i
나리	n a̠ː ɾ i
나마	n a̠ m a̠
나머지	n a̠ m ʌ̹ d͡ʑ i
나무	n a̠ m u
나무가지	n a̠ m u ɡ a̠ d͡ʑ i
나무결	n a̠ m u k͈ j ʌ̹ ɭ
나무군	n a̠ m u ɡ u n
나무껍질	n a̠ m u k͈ ʌ̹ p̚ t͡ɕ͈ i ɭ
나무꾼	n a̠ m u k͈ u n
나무늘보	n a̠ m u n ɯ ɭ b o̞
나무라다	n a̠ m u ɾ a̠ d a̠
나무아미타불	n a̠ m u a̠ m i tʰ a̠ b u ɭ
나무잎	n a̠ m u i p̚
나무타기사촌	n a̠ m u tʰ a̠ ɡ i sʰ a̠ t͡ɕʰ o̞ n
나무하다	n a̠ m u ɦ a̠ d a̠
나물	n a̠ m u ɭ
나뭇가지	n a̠ m u t̚ k͈ a̠ d͡ʑ i
나뭇결	n a̠ m u t̚ k͈ j ʌ̹ ɭ
나뭇꾼	n a̠ m u t̚ k͈ u n
나뭇잎	n a̠ m u n n i p̚
나미비아	n a̠ m i b i a̠
나박김치	n a̠ b a̠ k̚ k͈ i m t͡ɕʰ i
나박나박	n a̠ b a̠ ŋ n a̠ b a̠ k̚
나발	n a̠ b a̠ ɭ
나발니	n a̠ b a̠ ʎ ʎ i
나방	n a̠ b a̠ ŋ
나병	n a̠ː b j ʌ̹ ŋ
나부끼다	n a̠ b u k͈ i d a̠
나블루스	n a̠ b ɯ ɭ ɭ u sʰ ɯ
나비	n a̠ b i
나빠지다	n a̠ p͈ a̠ d͡ʑ i d a̠
나쁘다	n a̠ p͈ ɯ d a̠
나사	n a̠ sʰ a̠
나사로	n a̠ sʰ a̠ ɾ o̞
나상	n a̠ː sʰ a̠ ŋ
나서다	n a̠ sʰ ʌ̹ d a̠
나선	n a̠ sʰ ʌ̹ n
나선상	n a̠ sʰ ʌ̹ n sʰ a̠ ŋ
나선형	n a̠ sʰ ʌ̹ n ʝ ʌ̹ ŋ
나성	n a̠ sʰ ʌ̹ ŋ
나소	n a̠ sʰ o̞
나수다	n a̠ sʰ u d a̠
나시	n a̠ ɕʰ i
나아가다	n a̠ a̠ ɡ a̠ d a̠
나아지다	n a̠ a̠ d͡ʑ i d a̠
나열	n a̠ j ʌ̹ ɭ
나오다	n a̠ o̞ d a̠
나와바리	n a̠ w a̠ b a̠ ɾ i
나우루	n a̠ u ɾ u
나의	n a̠ ɰ i
나이	n a̠ i
나이들다	n a̠ i d ɯ ɭ d a̠
나이로비	n a̠ i ɾ o̞ b i
나이오븀	n a̠ i o̞ b j u m
나이제리아	n a̠ i d͡ʑ e̞ ɾ i a̠
나이지리아	n a̠ i d͡ʑ i ɾ i a̠
나이테	n a̠ i tʰ e̞
나이트	n a̠ i tʰ ɯ
나이트클럽	n a̠ i tʰ ɯ k x ɯ ɭ ɭ ʌ̹ p̚
나이팅게일	n a̠ i tʰ i ŋ ɡ e̞ i ɭ
나이프	n a̠ i pʰ ɯ
나이피다우	n a̠ i pʰ i d a̠ u
나일론	n a̠ i ɭ ɭ o̞ n
나일틸라피아	n a̠ i ɭ tʰ i ɭ ɭ a̠ pʰ i a̠
나전	n a̠ d͡ʑ ʌ̹ n
나절	n a̠ d͡ʑ ʌ̹ ɭ
나중	n a̠ː d͡ʑ u ŋ
나지	n a̠ː d͡ʑ i
나찰	n a̠ t͡ɕʰ a̠ ɭ
나체	n a̠ː t͡ɕʰ e̞
나치	n a̠ t͡ɕʰ i
나치즘	n a̠ t͡ɕʰ i d͡ʑ ɯ m
나침반	n a̠ t͡ɕʰ i m b a̠ n
나타나다	n a̠ tʰ a̠ n a̠ d a̠
나토	n a̠ tʰ o̞
나트륨	n a̠ tʰ ɯ ɾ j u m
나팔꽃	n a̠ pʰ a̠ ɭ k͈ o̞ t̚
나포	n a̠ː pʰ o̞
나포되다	n a̠ː pʰ o̞ d w e̞ d a̠
나포하다	n a̠ː pʰ o̞ ɦ a̠ d a̠
나폴리	n a̠ pʰ o̞ ʎ ʎ i
나프타	n a̠ pʰ ɯ tʰ a̠
나프탈렌	n a̠ pʰ ɯ tʰ a̠ ɭ ɭ e̞ n
나프티리딘	n a̠ pʰ ɯ tʰ i ɾ i d i n
나한	n a̠ ɦ a̠ n
나홋카	n a̠ β o̞ t̚ kʰ a̠
나환자	n a̠ː β w a̠ ɲ d͡ʑ a̠
나흘	n a̠ ɣ ɯ ɭ
낙	n a̠ k̚
낙관	n a̠ k̚ k͈ w a̠ n
낙농업	n a̠ ŋ n o̞ ŋ ʌ̹ p̚
낙동강	n a̠ k̚ t͈ o̞ ŋ ɡ a̠ ŋ
낙망	n a̠ ŋ m a̠ ŋ
낙서	n a̠ k s͈ ʌ̹
낙수	n a̠ k s͈ u
낙양	n a̠ ɡ j a̠ ŋ
낙엽	n a̠ ɡ j ʌ̹ p̚
낙원	n a̠ ɡ w ʌ̹ n
낙인	n a̠ ɡ i n
낙제	n a̠ k̚ t͡ɕ͈ e̞
낙제하다	n a̠ k̚ t͡ɕ͈ e̞ ɦ a̠ d a̠
낙지	n a̠ k̚ t͡ɕ͈ i
낙천	n a̠ k̚ t͡ɕʰ ʌ̹ n
낙천자	n a̠ k̚ t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠
낙천주의	n a̠ k̚ t͡ɕʰ ʌ̹ ɲ d͡ʑ u ɰ i
낙천주의자	n a̠ k̚ t͡ɕʰ ʌ̹ ɲ d͡ʑ u ɰ i d͡ʑ a̠
낙타	n a̠ k̚ tʰ a̠
낙하산	n a̠ kʰ a̠ sʰ a̠ n
낙하하다	n a̠ kʰ a̠ ɦ a̠ d a̠
낚다	n a̠ k̚ t͈ a̠
낚시	n a̠ k ɕ͈ i
낚시꾼	n a̠ k ɕ͈ i k͈ u n
낚시질	n a̠ k ɕ͈ i d͡ʑ i ɭ
낚시터	n a̠ k ɕ͈ i tʰ ʌ̹
낚시하다	n a̠ k ɕ͈ i ɦ a̠ d a̠
낚싯줄	n a̠ k ɕ͈ i t̚ t͡ɕ͈ u ɭ
난	n a̠ n
난각	n a̠ː n ɡ a̠ k̚
난간	n a̠ n ɡ a̠ n
난공불락	n a̠ n ɡ o̞ ŋ b u ɭ ɭ a̠ k̚
난관	n a̠ n ɡ w a̠ n
난관	n a̠ː n ɡ w a̠ n
난교	n a̠ː n ɡ j o
난데없이	n a̠ː n d e̞ ʌ̹ p ɕ͈ i
난독증	n a̠ n d o̞ k̚ t͡ɕ͈ ɯ ŋ
난로	n a̠ː ɭ ɭ o̞
난롯불	n a̠ː ɭ ɭ o̞ t̚ p͈ u ɭ
난리	n a̠ː ʎ ʎ i
난리하다	n a̠ː ʎ ʎ i ɦ a̠ d a̠
난무	n a̠ː n m u
난문	n a̠ n m u n
난민	n a̠ n m i n
난방	n a̠ n b a̠ ŋ
난방기	n a̠ n b a̠ ŋ ɡ i
난센스	n a̠ n s͈ e̞ n s͈ ɯ
난소	n a̠ n sʰ o̞
난수	n a̠ n sʰ u
난시	n a̠ː n ɕʰ i
난자	n a̠ː ɲ d͡ʑ a̠
난제	n a̠ ɲ d͡ʑ e̞
난질이	n a̠ː ɲ d͡ʑ i ɾ i
난처하다	n a̠ ɲ t͡ɕʰ ʌ̹ ɦ a̠ d a̠
난초	n a̠ ɲ t͡ɕʰ o̞
난추니	n a̠ː ɲ t͡ɕʰ u n i
난치	n a̠ ɲ t͡ɕʰ i
난치하다	n a̠ ɲ t͡ɕʰ i ɦ a̠ d a̠
난황	n a̠ː n β w a̠ ŋ
낟	n a̠ t̚
날	n a̠ ɭ
날것	n a̠ ɭ ɡ ʌ̹ t̚
날고기	n a̠ ɭ ɡ o̞ ɡ i
날다	n a̠ ɭ d a̠
날뛰다	n a̠ ɭ t͈ ɥ i d a̠
날려가다	n a̠ ʎ ʎ ʌ̹ ɡ a̠ d a̠
날리다	n a̠ ʎ ʎ i d a̠
날마다	n a̠ ɭ m a̠ d a̠
날망둑	n a̠ ɭ m a̠ ŋ d u k̚
날밤	n a̠ ɭ b a̠ m
날숨	n a̠ ɭ sʰ u m
날씨	n a̠ ɭ ɕ͈ i
날씬하다	n a̠ ɭ ɕ͈ i n ɦ a̠ d a̠
날아가다	n a̠ ɾ a̠ ɡ a̠ d a̠
날아오다	n a̠ ɾ a̠ o̞ d a̠
날아오르다	n a̠ ɾ a̠ o̞ ɾ ɯ d a̠
날조	n a̠ ʎ t͡ɕ͈ o̞
날조되다	n a̠ ʎ d͡ʑ o̞ d w e̞ d a̠
날조하다	n a̠ ʎ d͡ʑ o̞ ɦ a̠ d a̠
날짐승	n a̠ ʎ t͡ɕ͈ i m sʰ ɯ ŋ
날짜	n a̠ ʎ t͡ɕ͈ a̠
날치기	n a̠ ʎ t͡ɕʰ i ɡ i
날카롭다	n a̠ ɭ kʰ a̠ ɾ o̞ p̚ t͈ a̠
날파리	n a̠ ɭ pʰ a̠ ɾ i
낡	n a̠ k̚
낡다	n a̠ k̚ t͈ a̠
낡아빠지다	n a̠ ɭ ɡ a̠ p͈ a̠ d͡ʑ i d a̠
남	n a̠ m
남가주	n a̠ m ɡ a̠ d͡ʑ u
남겨지다	n a̠ m ɡ j ʌ̹ d͡ʑ i d a̠
남과	n a̠ m ɡ w a̠
남궁	n a̠ m ɡ u ŋ
남극	n a̠ m ɡ ɯ k̚
남근	n a̠ m ɡ ɯ n
남기다	n a̠ m ɡ i d a̠
남남북녀	n a̠ m n a̠ m b u ŋ ɲ ʌ̹
남녀	n a̠ m ɲ ʌ̹
남녀노소	n a̠ m ɲ ʌ̹ n o̞ sʰ o̞
남녘	n a̠ m ɲ ʌ̹ k̚
남다	n a̠ː m t͈ a̠
남돌	n a̠ m d o̞ ɭ
남동	n a̠ m d o̞ ŋ
남루	n a̠ː m n u
남루하다	n a̠ː m n u ɦ a̠ d a̠
남만	n a̠ m m a̠ n
남미	n a̠ m m i
남반구	n a̠ː m b a̠ n ɡ u
남방	n a̠ m b a̠ ŋ
남방동사리	n a̠ m b a̠ ŋ d o̞ ŋ sʰ a̠ ɾ i
남벌	n a̠ː m b ʌ̹ ɭ
남벌하다	n a̠ː m b ʌ̹ ɾ ɦ a̠ d a̠
남베트남	n a̠ m b e̞ tʰ ɯ n a̠ m
남부	n a̠ m b u
남북	n a̠ m b u k̚
남북문제	n a̠ m b u ŋ m u ɲ d͡ʑ e̞
남비	n a̠ m b i
남빙양	n a̠ m b i ŋ ɲ a̠ ŋ
남사친	n a̠ m sʰ a̠ t͡ɕʰ i n
남서	n a̠ m sʰ ʌ̹
남서부	n a̠ m sʰ ʌ̹ b u
남성	n a̠ m sʰ ʌ̹ ŋ
남성고음	n a̠ m sʰ ʌ̹ ŋ ɡ o̞ ɯ m
남성저음	n a̠ m sʰ ʌ̹ ŋ d͡ʑ ʌ̹ ɯ m
남성적	n a̠ m sʰ ʌ̹ ŋ d͡ʑ ʌ̹ k̚
남성중음	n a̠ m sʰ ʌ̹ ŋ d͡ʑ u ŋ ɯ m
남성혐오	n a̠ m sʰ ʌ̹ ŋ ʝ ʌ̹ m o̞
