ং	ŋ
অগ্রিমক	o ɡ ɡ r i m ɔ k
অগ্রিয়	o ɡ ɡ r iʲ o
অগ্রীয়	o ɡ ɡ r iʲ o
অগ্রে	ɔ ɡ ɡ r e
অগ্র‍্য	ɔ ɡ ɡ r o
অঘ	ɔ ɡʱ
অঘটন	ɔ ɡʱ ɔ ʈ ɔ n
অঘটনঘটনপটিয়সী	ɔ ɡʱ ɔ ʈ ɔ n ɡʱ ɔ ʈ ɔ n p o ʈ iʲ o ʃ i
অঘটনীয়	ɔ ɡʱ ɔ ʈ o n iʲ o
অঘটিত	ɔ ɡʱ o ʈ i t̪ o
অঘর	ɔ ɡʱ ɔ r
অঘা	ɔ ɡʱ a
অঘাকান্ত	ɔ ɡʱ a k a n t̪ o
অঘাচণ্ডী	ɔ ɡʱ a c o n ɖ i
অঘাট	ɔ ɡʱ a ʈ
অঘামারা	ɔ ɡʱ a m a r a
অঘারাম	ɔ ɡʱ a r a m
অঘৃণ্য	ɔ ɡʱ r i n n o
অঘোর	ɔ ɡʱ o r
অঘোরতন্ত্রী	ɔ ɡʱ o r o t̪ o n t̪ r i
অঘোরপন্থি	ɔ ɡʱ o r o p o n t̪ʰ i
অঘোরমন্ত্র	ɔ ɡʱ o r o m ɔ n t̪ r o
অঘোরী	ɔ ɡʱ o r i
অঘোরে	ɔ ɡʱ o r e
অঘোষ	ɔ ɡʱ o ʃ
অঘোষধ্বনি	ɔ ɡʱ o ʃ d̪ʱ o n i
অঘোষবর্ণ	ɔ ɡʱ o ʃ b ɔ r n o
অঘ্রাত	ɔ ɡ ɡʱ r a t̪ o
অঘ্রান	ɔ ɡʱ ɾ a n
অঙ্ক	ɔ ŋ k o
অঙ্কগত	ɔ ŋ k o ɡ ɔ t̪ o
অঙ্কদেশ	ɔ ŋ k o d̪ e ʃ
অঙ্কন	ɔ ŋ k o n
অঙ্কনি	ɔ ŋ k o n i
অঙ্কনীয়	ɔ ŋ k o n iʲ o
অঙ্কপাত	ɔ ŋ k o p a t̪
অঙ্কপাতন	ɔ ŋ k o p a t̪ o n
অঙ্কবাচক	ɔ ŋ k o b a c o k
অঙ্কবিদ	ɔ ŋ k o b i d̪
অঙ্কবিদ্যা	ɔ ŋ k o b i d̪ d̪ a
অঙ্কবেত্তা	ɔ ŋ k o b e t̪ t̪ a
অঙ্কলক্ষ্মী	ɔ ŋ k o l o k kʰ ĩ
অঙ্কলগ্ন	ɔ ŋ k o l ɔ ɡ n o
অঙ্কশায়িনী	ɔ ŋ k o ʃ aʲ i n i
অঙ্কশায়ী	ɔ ŋ k o ʃ aʲ i
অঙ্কশাস্ত্র	ɔ ŋ k o ʃ a s t̪ r o
অঙ্কশাস্ত্রবিদ	ɔ ŋ k o ʃ a s t̪ r o b i d̪
অঙ্কশাস্ত্রবেত্তা	ɔ ŋ k o ʃ a s t̪ r o b e t̪ t̪ a
অঙ্কস্থ	ɔ ŋ k o s t̪ʰ ɔ
অঙ্কস্থলী	ɔ ŋ k o s t̪ʰ o l i
অঙ্কস্থিত	ɔ ŋ k o s t̪ʰ i t̪ o
অঙ্কারূঢ়	ɔ ŋ k a r u ɽʱ o
অঙ্কিত	o ŋ k i t̪ o
অঙ্কীয়	o ŋ k iʲ o
অঙ্কুট	o ŋ k u ʈ
অঙ্কুর	o ŋ k u ɾ
অঙ্কুরিত	o ŋ k u ɾ i t̪ o
অঙ্কুরোদগম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদয়	o ŋ k u r o d̪ ɔʲ
অঙ্কুরোদ্গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদ্‌গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুশ	o ŋ k u ʃ
অঙ্কুশী	o ŋ k u ʃ i
অঙ্কুষ	o ŋ k u ʃ
অঙ্কোপরি	ɔ ŋ k o p o ɾ i
অঙ্ক্য	ɔ ŋ k o
অঙ্গ	ɔ ŋ ɡ o
অঙ্গন	ɔ ŋ ɡ o n
অঙ্গার	ɔ ŋ ɡ a ɾ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʃ ʈʰ o
অচেনা	ɔ t ʃ e n a
অজগর	ɔ d ʒ o ɡ ɔ ɾ
অঞ্চল	ɔ n t ʃ ɔ l
অঞ্জলি	ɔ n d ʒ o l i
অড়হর	ɔ ɽ o ɾ
অড়হর	ɔ ɽ ɔ ɾ
অড়হর	ɔ ɽʱ o ɾ
অড়হর	ɔ ɽʱ ɔ ɾ
অড়হর	ɔ ɾ ɦ o ɾ
অড়হর	ɔ ɾ ɦ ɔ ɾ
অণ্ড	ɔ n ɖ o
অণ্ডজ	ɔ n ɖ ɔ d ʒ
অতিথি	o t̪ i t̪ʰ i
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অতিরিক্ত	o t̪ i ɾ i k t̪ o
অতীত	o t̪ i t̪
অত্যাচার	o t̪ː a t ʃ a ɾ
অত্যাধুনিক	o t̪ t̪ ɑ d̪ʱ u n i k
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ o b a
অদৃশ্য	ɔ d̪ ɾ i ʃː o
অদৃষ্ট	ɔ d̪ ɹ i ʃ t o
অধর্ম	ɔ d̪ʱ ɔ ɾ m ɔ
অধিকাংশ	o dʱ i k a ŋ ʃ o
অধিকার	o d̪ʱ i k a ɾ
অধিকার	ɔ d̪ʱ i k a ɾ
অধিকারী	o dʱ i k ä ɾ i
অধ্যয়ন	ɔ d̪ʱː ɔ e̯ o n
অধ্যায়	ɔ d̪ʱː a e̯
অনন্যা	ɔ n o nː a
অনাঘ্রাত	ɔ n a ɡ ɡʱ r a t̪ o
অনাঘ্রাতা	ɔ n a ɡ ɡʱ r a t̪ a
অনার্য	ɔ n a ɾ d ʒ o
অনুগত	o n u ɡ ɔ t̪ o
অনুনাসিক	o n u n a ʃ i k
অনুবাদ	o n u b a d̪
অনুবাদক	o n u b a d̪ ɔ k
অনুভব	ɔ n u bʱ ɔ b
অনুভব	ɔ n u v ɔ b
অনুভূতি	o n u bʱ u t̪ i
অনুমতি	o n u m o t̪ i
অনুরাগ	o n u ɾ a ɡ
অনুরোধে	o n u ɾ o d̪ʱ e
অনুষ্ঠান	o n u ʃ ʈʰ a n
অনুস্বর	o n u ʃː ɔ ɾ
অনুস্বার	o n u ʃː a ɾ
অনেক	ɔ n e k
অন্টারিও	ɔ n ʈ a ɾ i̯ o
অন্তর	ɔ n t̪ ɔ ɾ
অন্ধকার	ɔ n d̪ʱ o k a ɾ
অন্ধত্ব	ɔ n dʱ o t̪ t̪ o
অন্ধপ্রায়	ɔ n d̪ʱ ɔ p ɾ a e̯
অন্ধ্র	ɔ n d̪ʱ ɾ ɔ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ ɾ ɔ p ɾ o d̪ e ʃ
অন্ন	ɔ nː o
অন্নপ্রাশন	ɔ n n ɔ p ɾ ɑ ʃ ɔ n
অন্বেষণ	ɔ nː e ʃ ɔ n
অন্য	o nː o
অন্যতম	o nː o t̪ ɔ m o
অন্যায়	ɔ n n ɛ e̯
অপভ্রংশ	ɔ p o bʱ ɾ ɔ ŋ ʃ o
অপরাধ	ɔ p o ɾ a d̪ʱ
অপারেশন	ɔ p a ɾ e ʃ o n
অপিনিহিতি	ɔ p i n i ɦ i t̪ i
অপ্সরা	ɔ p ʃ ɔ ɾ a
অফিস	ɔ f i s
অফিস	ɔ f i ʃ
অবগুন্ঠন	ɔ b o ɡ u n ʈʰ o n
অবতার	ɔ b o t̪ a ɾ
অবলম্বন	ɔ b o l ɔ m b o n
অবশ্য	ɔ b o ʃː o
অবাক	ɔ b a k
অবিচার	ɔ b i t ʃ a ɾ
অভদ্র	ɔ bʱ ɔ d̪ ɾ ɔ
অভদ্র	ɔ̜ bʱ ɔ̜ d̪ː ɾ o
অভিজ্ঞ	o bʱ i ɡː õ
অভিজ্ঞতা	o bʱ i ɡː ɔ t̪ a
অভিধান	o b i d̪ʱ a n
অভিধান	o bʱ i d̪ʱ a n
অভিনেতা	ɔ bʱ i n e t̪ a
অভিনেত্রী	ɔ bʱ i n e t̪ ɾ i
অভিমন্যু	ɔ bʱ i m ɔ nː u
অভিযোগ	o bʱ i d ʒ o ɡ
অভিশ্রুতি	ɔ bʱ i s ɾ u t̪ i
অভিষিক্ত	ɔ bʱ i ʃ i k t̪ o
অভিষেক	o bʱ i ʃ e k
অভিস্রবণ	ɔ bʱ i s ɾ ɔ b o n
অভীষ্ট	ɔ bʱ i ʃ ʈ o
অভ্র	ɔ bʱ ɾ o
অমন	ɔ m o n
অমর্ত্য	ɔ m ɔ ɾ t̪ ɔ
অমার্জনীয়	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
অমিত	ɔ m i t̪
অমিতাভ	ɔ m i t̪ a bʱ
অয়স্কান্ত	ɔ e̯ o s k a n t̪ o
অযোধ্যা	ɔ d ʒ o d̪ʱː a
অরণ্য	ɔ ɾ o nː o
অরবিন্দ	ɔ ɾ ɔ b i n d̪ ɔ
অরিজিনাল	ɔ ɾ i d ʒ i n a l
অরিত্র	o ɾ i t̪ ɾ o
অরিন্দম	ɔ ɾ i n d̪ ɔ m
অরুণ	o ɾ u n
অর্ণব	ɔ ɾ n o b
অর্থ	ɔ ɾ t̪ʰ o
অর্থাৎ	ɔ ɾ t̪ʰ a t̪
অর্ধমৃত	ɔ ɾ d̪ʱ o m ɾ i t̪ o
অর্পিতা	ɔ ɾ p i t̪ a
অলস	ɔ l o ʃ
অলাত	ɔ l a t̪
অলৌকিক	ɔ l o u̯ k i k
অশনি	ɔ ʃ o n i
অশিক্ষিত	ɔ ʃ i kʰː i t̪ o
অশোক	ɔ ʃ o k
অশোত	ɔ ʃ o t
অশ্বগন্ধা	ɔ ʃː ɔ ɡ ɔ n d̪ʱ a
অশ্বত্থ	ɔ ʃ w ɔ tːʰ ɔ
অশ্বত্থ	ɔ ʃː ɔ tʰː ɔ
অশ্বেত	ɔ ʃː e t̪
অষ্টাশি	ɔ ʃ ʈ a ʃ i
অসভ্য	ɔ ʃ o bʱː o
অসমীয়া	ɔ ʃ o m i̯ a
অসি	ɔ ʃ i
অসীমা	ɔ ʃ i m a
অসুখ	ɔ ʃ u kʰ
অসুস্থ	ɔ ʃ u s t̪ʰ o
অসুস্থতা	ɔ ʃ u s tʰ ɔ t a
অস্ট্রিয়া	ɔ s ʈ ɾ i̯ a
অস্ট্রিয়া	ɔ ʃ ʈ ɾ i̯ a
অস্ট্রেলিয়া	ɔ s ʈ ɾ e l i̯ a
অস্ট্রেলিয়া	ɔ ʃ ʈ ɾ e l i̯ a
অস্ত্র	ɔ s t̪ ɾ o
অস্ত্রচিকিৎসা	ɔ s t̪ ɾ o t ʃ i k i t̪ ʃ a
অস্ত্রোপচার	ɔ s t̪ ɾ o p o t ʃ a ɾ
অস্থি	o ʃ ʈʰ i
অস্থির	ɔ s t̪ʰ i ɾ
অস্পৃশ্যতা	ɔ ʃ p ɾ i ʃː ɔ t̪ a
অহংকার	ɔ ɦ o ŋ k a ɾ
অহরহ	ɔ ɦ o ɾ ɔ ɦ o
অহর্নিশি	ɔ ɦ o ɾ n i ʃ i
অ্যাঁ	ɛ̃
অ্যাদ্দিন	æ d̪ː i n
অ্যানথ্রাক্স	æ n t̪ʰ ɾ a k s
অ্যানিমে	æ n i m e
অ্যানিমেশন	æ n i m e ʃ ɔ n
অ্যান্টার্কটিকা	æ n ʈ a ɾ k ʈ i k a
অ্যাপোলো	æ p o l o
অ্যালগরিদম	æ l ɡ o ɾ i d̪ m
অ্যালগরিদম	æ l ɡ o ɾ i d̪ o m
অ্যালবার্টা	æ l b a ɾ ʈ a
আ	a
আঁকড়া	ã k ɽ a
আঁকড়া	ã k ɾ a
আঁকা	ã k a
আঁকাবাঁকা	ã k a b ã k a
আঁখ	ã kʰ
আঁখি	ã kʰ i
আঁচল	a t ʃ o l
আঁচল	ã t ʃ o l
আঁটা	ã ʈ a
আঁতাত	ã t̪ a t̪
আঁতেল	ã t̪ e l
আঁধার	ã d̪ʱ a ɾ
আংশিক	a ŋ ʃ i k
আইচ	a i̯ t ʃ
আইন	a i̯ n
আইয়ুব	a i̯ u̯ b
আইসক্রিম	a i̯ s k ɾ i m
আইসল্যান্ড	a i̯ s l æ n ɖ
আউলিয়া	a u̯ l i̯ a
আওতা	a o̯ t̪ a
আওয়াজ	a o a d ʒ
আওরঙ্গজেব	a o̯ ɾ ɔ ŋ ɡ d ʒ e b
আওরঙ্গজেব	a o̯ ɾ ɔ ŋ ɡ z e b
আকবর	a k b ɔ ɾ
আকসার	a k s a ɾ
আকাট	a k a ʈ
আকাঠ	a k a ʈʰ
আকাঠা	a k a ʈʰ a
আকাদেমি	a k a d̪ e m i
আকাম	a k a m
আকালী	a k a l i
আকাশ	a k a ʃ
আকাশি	a k a ʃ i
আক্রান্ত	a k ɾ a n t̪ o
আখ	a kʰ
আখতার	a kʰ t̪ a ɾ
আখবার	a kʰ b a ɾ
আখাত	a kʰ a t̪
আখের	a kʰ e ɾ
আখেরাত	a kʰ e ɾ a t̪
আগষ্ট	a ɡ ɔ s ʈ
আগস্ট	a ɡ o s ʈ
আগস্ট	a ɡ o ʃ ʈ
আগা	a ɡ a
আগাজ	a ɡ a d ʒ
আগাজ	a ɡ a z
আগানো	a ɡ a n o
আগামী	ɑ ɡ ɑ m i
আগুন	a ɡ u n
আগুয়ান	a ɡ uʷ a n
আগ্নেয়গিরি	a ɡ n e e̯ ɡ i ɾ i
আগ্রাবাদ	a ɡ ɾ a b a d
আঘাট	a ɡʱ a ʈ
আঘাটা	a ɡʱ a ʈ a
আঘাত	a ɡʱ a t̪
আঙিনা	a ŋ i n a
আঙুর	a ŋ u ɾ
আঙ্গুল	a ŋ ɡ u l
আচমকা	a t ʃ o m k a
আচরণ	a t ʃ o ɾ o n
আচরণ	a t ʃ o ɾ ɔ n
আচার	a t ʃ a ɾ
আচার্য	a t ʃ a ɹ d ʒ o
আছে	a t ʃʰ e
আজ	a d ʒ
আজব	a d ʒ o b
আজম	a d ʒ o m
আজম	a z o m
আজমায়েশ	a d ʒ m a e̯ ʃ
আজমায়েশ	a z m a e̯ ʃ
আজাড়ে	a d ʒ a ɽ e
আজাড়ে	a d ʒ a ɾ e
আজাদ	a d ʒ a d̪
আজাব	a d ʒ a b
আজার	a d ʒ a ɾ
আজি	a d ʒ i
আজিজ	a z i z
আজিজা	a z i z a
আজুড়ে	a d ʒ u ɽ e
আজুড়ে	a d ʒ u ɾ e
আজ্ঞা	a ɡː a
আজ্ঞে	a ɡː e
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আঞ্জুমান	a n d ʒ u m a n
আট	a ʈ
আটচল্লিশ	a ʈ ɔ t ʃ ɔ lː i ʃ
আটা	a ʈ a
আঠা	a ʈʰ a
আড়াই	a ɽ a i̯
আড়াই	a ɾ a i̯
আড়াল	a ɽ a l
আড়াল	a ɾ a l
আণ	ɑ n ɔ
আণ্ডা	a n ɖ a
আতর	a t̪ o ɾ
আতশ	a t̪ o ʃ
আতশকাচ	a t̪ ɔ ʃ k a t ʃ
আতশবাজি	a t̪ ɔ ʃ b a z i
আতা	a t̪ a
আত্মহত্যা	a t t o ɦ o t t a
আত্মা	a t̪ː a
আদম	a d̪ o m
আদমশুমার	ɑ d̪ ɔ m ʃ u m ɑ ɾ
আদমী	a d̪ o m i
আদর	a d̪ o ɾ
আদর্শ	a d̪ o ɾ ʃ o
আদা	a d̪ a
আদালত	a d̪ a l ɔ t̪
আদিবাসী	a d̪ i b a ʃ i
আদেশ	a d̪ e ʃ
আধুনিক	a d̪ʱ u n i k
আনন্দ	a n o n d̪ o
আনা	a n a
আনাড়ি	a n a ɽ i
আনাড়ি	a n a ɾ i
আনারস	a n a ɾ ɔ ʃ
আনোয়ার	a n o̯ a ɾ
আন্টার্কটিকা	a n ʈ a ɾ k ʈ i k a
আন্তঃনগর	a n t̪ ɔ n o ɡ ɔ ɾ
আন্তর্জাতিক	a n t̪ ɔ ɾ d ʒ a t̪ i k
আন্তর্জাল	a n t̪ ɔ ɾ d ʒ a l
আন্দাজ	a n d̪ a d ʒ
আন্দোলন	a n d̪ o l o n
আন্দোলন	a n d̪ o l ɔ n
আপকাওয়াস্তে	a p ɔ k a o̯ a s t̪ e
আপন	a p o n
আপনাকে	a p n a k e
আপনাদের	a p n a d̪ e ɾ
আপনার	a p n a ɾ
আপনারা	a p n a ɾ a
আপনি	a p n i
আপা	a p a
আপেল	a p e l
আফগানিস্তান	a pʰ ɡ a n i s t a n
আফজল	a f d ʒ ɔ l
আফতাব	a f t̪ a b
আফসোস	a f s o s
আফিম	a f i m
আফ্রিকা	a f ɾ i k a
আফ্রোদিতি	a f ɾ o d̪ i t̪ i
আব	a b
আবর্জনা	ɑ b ɔ ɾ d͡ʒ ɔ n ɑ
আবহাওয়া	a b o ɦ a o̯ a
আবার	a b a ɾ
আবির	ä b i ɾ
আবিষ্কার	a b i ʃ k a ɾ
আবেগ	a b e ɡ
আবেদ	a b e d̪
আব্দুল	a b d̪ u l
আব্দুল্লাহ	a b d̪ u lː a
আব্বা	a bː a
আব্বু	a bː u
আম	a m
আমড়া	a m ɽ a
আমন্ত্রণ	a m o n t̪ ɾ o n
আমন্ত্রণ	a m o n t̪ ɾ ɔ n
আমবেগুন	a m b e ɡ u n
আমবেগুন	a m b æ ɡ u n
আমরা	a m ɾ a
আমরার	a m ɾ a ɾ
আমল	a m o l
আমলকী	a m l o k i
আমাগর	a m a ɡ ɔ ɾ
আমাদের	a m a d̪ e ɾ
আমানত	a m a n ɔ t̪
আমার	a m a ɾ
আমারে	a m a ɾ e
আমাশয়	a m a ʃ ɔ e̯
আমি	a m i
আমীর	a m i ɾ
আমেজ	a m e d ʒ
আমেজ	a m e z
আমেরিকা	a m e ɾ i k a
আয়না	a e̯ n a
আয়াতুল্লাহ	a e̯ a t̪ o lː a ɦ
আয়াতুল্লাহ	a e̯ a t̪ u lː a ɦ
আয়ুর্বেদ	a e̯ u ɾ b e d̪
আয়েশা	a e̯ ʃ a
আয়োগ	a j o ɡ
আযান	a d ʒ a n
আযাব	a d ʒ a b
আর	a ɾ
আরক্ষী	a ɾ o k kʰ i
আরজ	a ɾ o d ʒ
আরজুমান্দ	a ɾ d ʒ u m a n
আরজুমান্দ	a ɾ d ʒ u m a n d̪
আরণ্যক	a ɾ o nː o k
আরতি	a ɾ o t̪ i
আরব	a ɾ ɔ b
আরাফাত	a ɾ a f a t̪
আরাম	a ɾ a m
আরিফ	a ɾ i f
আরে	a ɾ e
আরেক	a ɾ æ k
আর্জি	a ɾ d ʒ i
আর্জেন্টিনা	a r d ʒ e n ʈ i n a
আর্জেন্তিনা	a r d ʒ e n t i n a
আর্তব	ɑ ɾ t̪ ɔ b
আর্দ্র	a ɾ d̪ ɾ o
আর্মেনিয়া	a ɾ m e n i̯ a
আর্য	a ɾ d ʒ o
আলকাতরা	a l k a t̪ ɾ a
আলগা	a l ɡ a
আলজেরিয়া	a l d ʒ e r i a
আলপনা	a l p o n a
আলবেনিয়া	a l b e n i̯ a
আলভী	a l bʱ i
আলভী	a l ə bʱ i
আলম	a l o m
আলমারি	a l m a ɾ i
আলাদা	a l a d̪ a
আলাপ	a l a p
আলামত	a l a m o t̪
আলামত	a l a m ɔ t̪
আলী	a l i
আলু	a l u
আলেকজান্ডার	a l e k d ʒ a n ɖ a ɾ
আলেম	a l e m
আলো	a l o
আলোক	a l o k
আলোকতরঙ্গ	a l o k t ɔ r ɔ ŋ ɡ ɔ
আলোকরশ্মি	a l o k r o ʃ m i
আলোকরশ্মি	a l o k r o ʃ ʃ i
আলোচনা	a l o t ʃ ɔ n a
আল্লাহ	a lː a ɦ
আল্লাহ্	a lː a
আশমান	a ʃ m a n
আশা	a ʃ a
আশীর্বাদ	a ʃ i ɾ b a d̪
আশুতোষ	a ʃ u t o ʃ
আশুরা	a ʃ u ɾ a
আশেক	a ʃ e k
আশোত	a ʃ o t
আশ্চর্য	a ʃ t ʃ ɔ ɾ d ʒ o
আশ্চর্যজনকভাবে	a ʃ t ʃ o ɾ d ʒ o d ʒ ɔ n o k bʱ a b e
আশ্বিন	a ʃː i n
আশ্রম	a s ɾ ɔ m
আষাঢ়	a ʃ a ɽ
আষাঢ়	a ʃ a ɽʱ
আষাঢ়	a ʃ a ɾ ɦ
আসগর	a s ɡ ɔ ɾ
আসবাব	a ʃ b a b
আসবাব	a ʒ b a b
আসমা	a s m a
আসমান	a s m a n
আসর	a s o ɾ
আসর	a ʃ o ɾ
আসল	a ʃ o l
আসলে	a s l e
আসলে	a ʃ o l e
আসা	a ʃ a
আসাদুজ্জামান	a s a d̪ u d ʑː a m a n
আসাদুজ্জামান	a s a d̪ u z z a m a n
আসান	a ʃ a n
আসানী	a ʃ a n i
আসাম	a s a m
আসিফ	a s i f
আসিয়া	a s i̯ a
আসিয়া	a ʃ i̯ a
আস্তাবল	a s t̪ a b o l
আস্তে	a s t̪ e
আস্থা	a s t̪ʰ a
আস্পদ্দা	a ʃ p ɔ d̪ː a
আহনাফ	a ɦ n a f
আহমদ	a m ɦ o d̪
আহমদ	a mː o d̪
আহসান	a ɦ s a n
আহ্বান	a u̯ bʱ a n
ই	i
ইংরেজ	i ŋ ɾ e d ʒ
ইংরেজি	i ŋ ɾ e d ʒ i
ইংল্যান্ড	i ŋ l æ n ɖ
ইউক্রেন	i u k ɾ e n
ইউনান	i u̯ n a n
ইউনানি	i u̯ n a n i
ইউনিয়ন	i u̯ n i̯ o n
ইউনিয়ন	i u̯ n i̯ ɔ n
ইউরেনাস	i u̯ ɾ e n a ʃ
ইউরেশিয়া	i u̯ ɾ e ʃ i̯ a
ইউরো	i u ɾ o
ইউরোপ	i u̯ ɾ o p
ইকুয়েডর	i k u̯ e ɖ ɔ ɾ
ইচলা	i t ʃ ɔ l a
ইচ্ছা	i t ʃʰː a
ইজতেমা	i d ʒ t̪ e m a
ইজতেমা	i t ʃ t̪ e m a
ইজরায়েল	i d ʒ ɾ a e̯ l
ইজরায়েল	i z ɾ a e̯ l
ইজাজত	i d ʒ a d ʒ o t̪
ইজাফা	i z a f a
ইজ্জত	i d ʒː o t̪
ইজ্জত	i d ʒː ɔ t̪
ইঞ্জিল	i n d ʒ i l
ইটানো	i ʈ a n o
ইতস্তত	i t̪ o s t̪ o t̪ o
ইতস্তত	i t̪ ɔ s t̪ ɔ t̪ o
ইতিমধ্যে	i t̪ i m o d̪ʱː e
ইতিহাস	i t̪ i ɦ a ʃ
ইতোমধ্যে	i t̪ o m o d̪ʱː e
ইত্তেফাক	i t̪ː e f a k
ইত্যাদি	i t̪ː a d̪ i
ইদানীং	i d̪ a n i ŋ
ইনকিলাব	i n k i l a b
ইনকিলাবি	i n k i l a b i
ইনফ্লুয়েঞ্জা	i n f l u̯ e n d ʒ a
ইনফ্লুয়েঞ্জা	i n f l u̯ e n z a
ইনশাআল্লাহ	i n ʃ a l l a h
ইনসান	i n s a n
ইনসাফ	i n s a f
ইনাম	i n a m
ইনি	i n i
ইন্তেকাল	i n t̪ e k a l
ইন্দ্র	i n d̪ ɾ o
ইফতার	i f t̪ a ɾ
ইফতেখার	i f t̪ e kʰ a ɾ
ইব্রাহীম	i b ɾ a ɦ i m
ইমতেহান	i m t̪ e ɦ a n
ইমরান	i m ɾ a n
ইমাম	i m a m
ইয়াদ	i̯ a d̪
ইয়াসমিন	i̯ a s m i n
ইয়াসিন	i̯ a s i n
ইয়োরোপ	i̯ o ɾ o p
ইরফান	i ɾ f a n
ইরাক	i ɾ a k
ইরান	i ɾ a n
ইরিত্রিয়া	i ɾ i t̪ ɾ i̯ a
ইলিয়াস	i l i̯ a s
ইলিশ	i l i ʃ
ইস	i ʃ
ইসরায়েল	i z ɾ a e̯ l
ইসলাম	i s l a m
ইস্কুল	i s k u l
ইস্কুল	i ʃ k u l
ইস্তাম্বুল	i s t̪ a m b u l
ইস্তোনিয়া	i s t̪ o n i̯ a
ইস্পাত	i ʃ p a t̪
ঈ	i
ঈগল	i ɡ ɔ l
ঈদ	i d̪
ঈশপ	i ʃ ɔ p
ঈশানী	i ʃ a n i
ঈশ্বর	i ʃː ɔ ɾ
ঈসা	i s a
ঈস্ট	i s ʈ
ঈস্ট	i ʃ ʈ
উ	u
উইকিঅভিধান	u̯ i k i̯ ɔ bʱ i d̪ʱ a n
উইকিপিডিয়া	u̯ i k i p i ɖ i̯ a
উইল	u̯ i l
উইলিয়াম	u̯ i l i̯ a m
উকিল	u k i l
উখড়ানো	u kʰ ɽ a n o
উখড়ানো	u kʰ ɾ a n o
উচিত	u t ʃ i t̪
উচ্চাকাঙ্ক্ষী	u t ʃː a k a ŋ kʰ i
উচ্চারণ	u t ʃʰː a ɾ o n
উজির	u d ʒ i ɾ
উজির	u z i ɾ
উট	u ʈ
উঠান	u ʈʰ a n
উড়া	u ɽ a
উড়া	u ɾ a
উড়িষ্যা	u ɽ i ʃː a
উড়িষ্যা	u ɾ i ʃː a
উতরানো	u t̪ ɾ a n o
উত্তম	u t̪ː ɔ m
উত্তরাখণ্ড	u t̪ː ɔ ɾ a kʰ ɔ n ɖ o
উদয়	u d̪ ɔ e̯
উদাহরণ	u d̪ a ɦ ɔ ɾ o n
উদ্বোধন	u d̪ b o d̪ʱ ɔ n
উদ্ভিদ	u d̪ bʱ i d̪
উদ্যোগ	u d̪ː o ɡ
উধাও	u d̪ʱ a o̯
উনআশি	u n a ʃ i
উনি	u n i
উন্দূর	u n d̪ u ɾ
উন্মত্ততা	u n m ɔ t̪ː ɔ t̪ a
উপকার	u p o k a ɾ
উপচানো	u p t ʃ a n o
উপজেলা	u p ɔ z e l a
উপড়ানো	u p ɽ a n o
উপড়ানো	u p ɾ a n o
উপত্যকা	u p ɔ t̪ː ɔ k a
উপদেশ	u p o d̪ e ʃ
উপদ্বীপ	u p ɔ d̪ː i p
উপনয়ন	u p ɔ n o e̯ ɔ n
উপনিষদ	u p o n i ʃ ɔ d̪
উপনীত	u p o n i t̪ o
উপন্যাস	u p o nː a ʃ
উপভাষা	u p ɔ bʱ a ʃ a
উপমহাদেশ	u p ɔ m ɔ ɦ a d̪ e ʃ
উপর	u p o ɾ
উপসাগর	u p o ʃ a ɡ o r
উপহার	u p o ɦ a r
উপাচার্য	u p ä t͡ʃ ä ɾ d͡ʒ o
উপাচার্য	u p ɑ t͡ʃ ɑ ɾ d͡ʒ ɔ
উপায়	u p a e̯
উপাসক	u p a ʃ ɔ k
উপাসনা	u p a ʃ ɔ n a
উফ	u f
উভ	u bʱ o
উভকামী	u bʱ ɔ k a m i
উম্মত	u mː ɔ t̪
উলঙ্গ	u l ɔ ŋ ɡ ɔ
উলু	u l u
উলুখাগড়া	u l u kʰ a ɡ ɽ a
উলুখাগড়া	u l u kʰ a ɡ ɾ a
উল্কা	u l k a
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
উৎস	u t̪ ʃ o
উৎসর্গ	u t̪ ʃ ɔ ɾ ɡ o
উৎসাহ	u t ʃ a h o
উৎসাহিত	u t̪ ʃ a ɦ i t̪ o
ঊ	u
ঊর্ধ্ব	u ɾ d̪ʱ o
ঊর্ধ্বতন	u ɾ d̪ʱː ɔ t̪ o n
ঋ	r i
ঋক্ষ	r i kʰː o
ঋগ্বেদ	r i ɡ b e d̪
ঋণ	r i n
ঋতু	r i t̪ u
ঋষি	r i ʃ i
ঌ	l i
এ	e
এ	æ
এঁকে	ẽ k e
এঁদের	ẽ d̪ e ɾ
এই	e i
এইরকম	e i̯ ɾ ɔ k o m
এক	æ k
একচল্লিশ	e k t ʃ ɔ lː i ʃ
