Ⴀ	ɑ
გოთვერანი	ɡ o tʰʷ e ɾ a n i
გოთი	ɡ o tʰ i
გოიმი	ɡ o i m i
გოლგოთა	ɡ o l ɡ o tʰ a
გოლი	ɡ o l i
გოლიათი	ɡ o l i a tʰ i
გოლფი	ɡ o l pʰ i
გომბეშო	ɡ o m b e ʃ o
გომი	ɡ o m i
გომიაშვილი	ɡ o m i a ʃʷ i l i
გომური	ɡ o m u ɾ i
გონაშვილი	ɡ o n a ʃʷ i l i
გონგი	ɡ o n ɡ i
გონდვანა	ɡ o n dʷ a n a
გონდოლა	ɡ o n d o ɫ a
გონდოლიერი	ɡ o n d o l i e ɾ i
გონება	ɡ o n e b a
გონებადაფანტულად	ɡ o n e b a d a pʰ a n tʼ u ɫ a d
გონებამახვილურად	ɡ o n e b a m a χʷ i ɫ u ɾ a d
გონებაშეზღუდულად	ɡ o n e b a ʃ e z ʁ u d u ɫ a d
გონებაჩლუნგად	ɡ o n e b a t͡ʃʰ ɫ u n ɡ a d
გონებაჩლუნგი	ɡ o n e b a t͡ʃʰ ɫ u n ɡ i
გონებით	ɡ o n e b i tʰ
გონებრივად	ɡ o n e b ɾ i v a d
გონებრივი	ɡ o n e b ɾ i v i
გონიერება	ɡ o n i e ɾ e b a
გონიერი	ɡ o n i e ɾ i
გონივრულად	ɡ o n i v ɾ u ɫ a d
გონივრული	ɡ o n i v ɾ u l i
გონივრულობა	ɡ o n i v ɾ u ɫ o b a
გონიო	ɡ o n i o
გონორეა	ɡ o n o ɾ e a
გორა	ɡ o ɾ a
გორგალი	ɡ o ɾ ɡ a l i
გორგოლაჭი	ɡ o ɾ ɡ o ɫ a t͡ʃʼ i
გორდონი	ɡ o ɾ d o n i
გორი	ɡ o ɾ i
გორილა	ɡ o ɾ i ɫ a
გორკი	ɡ o ɾ kʼ i
გოროვანი	ɡ o ɾ o v a n i
გოჩა	ɡ o t͡ʃʰ a
გოჭი	ɡ o t͡ʃʼ i
გოჯი	ɡ o d͡ʒ i
გპასუხობდი	ɡ pʼ a s u χ o b d i
გრაგნილი	ɡ ɾ a ɡ n i l i
გრადაცია	ɡ ɾ a d a t͡sʰ i a
გრადუსი	ɡ ɾ a d u s i
გრავიურა	ɡ ɾ a v i u ɾ a
გრამატიკა	ɡ ɾ a m a tʼ i kʼ a
გრამატიკოსი	ɡ ɾ a m a tʼ i kʼ o s i
გრამატიკულად	ɡ ɾ a m a tʼ i kʼ u ɫ a d
გრამატიკული	ɡ ɾ a m a tʼ i kʼ u l i
გრამი	ɡ ɾ a m i
გრამოფონი	ɡ ɾ a m o pʰ o n i
გრანდიოზულად	ɡ ɾ a n d i o z u ɫ a d
გრანდიოზული	ɡ ɾ a n d i o z u l i
გრანიტი	ɡ ɾ a n i tʼ i
გრანულარული	ɡ ɾ a n u ɫ a ɾ u l i
გრაფიკი	ɡ ɾ a pʰ i kʼ i
გრაფიკულად	ɡ ɾ a pʰ i kʼ u ɫ a d
გრაფიკული	ɡ ɾ a pʰ i kʼ u l i
გრაფინი	ɡ ɾ a pʰ i n i
გრაფიტი	ɡ ɾ a pʰ i tʼ i
გრაცია	ɡ ɾ a t͡sʰ i a
გრაციოზულად	ɡ ɾ a t͡sʰ i o z u ɫ a d
გრაციოზული	ɡ ɾ a t͡sʰ i o z u l i
გრგვინვა	ɡ ɾ ɡʷ i nʷ a
გრდემლი	ɡ ɾ d e m l i
გრეგი	ɡ ɾ e ɡ i
გრეგორი	ɡ ɾ e ɡ o ɾ i
გრეიპფრუტი	ɡ ɾ e i pʼ pʰ ɾ u tʼ i
გრენადა	ɡ ɾ e n a d a
გრენადერი	ɡ ɾ e n a d e ɾ i
გრენადილი	ɡ ɾ e n a d i l i
გრეჩიხა	ɡ ɾ e t͡ʃʰ i χ a
გრეხა	ɡ ɾ e χ a
გრიგალი	ɡ ɾ i ɡ a l i
გრიგოლ	ɡ ɾ i ɡ o l
გრიგოლი	ɡ ɾ i ɡ o l i
გრილა	ɡ ɾ i ɫ a
გრილად	ɡ ɾ i ɫ a d
გრილი	ɡ ɾ i l i
გრიმასა	ɡ ɾ i m a s a
გრიმი	ɡ ɾ i m i
გრინვიჩი	ɡ ɾ i nʷ i t͡ʃʰ i
გრიპი	ɡ ɾ i pʼ i
გრიფი	ɡ ɾ i pʰ i
გრიფონი	ɡ ɾ i pʰ o n i
გროტესკი	ɡ ɾ o tʼ e s kʼ i
გროტესკულად	ɡ ɾ o tʼ e s kʼ u ɫ a d
გროტესკული	ɡ ɾ o tʼ e s kʼ u l i
გრუნტი	ɡ ɾ u n tʼ i
გრუშა	ɡ ɾ u ʃ a
გრუხუნი	ɡ ɾ u χ u n i
გრუხუნით	ɡ ɾ u χ u n i tʰ
გრძედი	ɡ ɾ d͡z e d i
გრძელვადიანი	ɡ ɾ d͡z e lʷ a d i a n i
გრძელი	ɡ ɾ d͡z e l i
გრძელფეხა	ɡ ɾ d͡z e l pʰ e χ a
გრძელცხვირა	ɡ ɾ d͡z e l t͡sʰ χʷ i ɾ a
გრძივად	ɡ ɾ d͡z i v a d
გრძივი	ɡ ɾ d͡z i v i
გრძნება	ɡ ɾ d͡z n e b a
გრძნეულება	ɡ ɾ d͡z n e u l e b a
გრძნეული	ɡ ɾ d͡z n e u l i
გრძნობა	ɡ ɾ d͡z n o b a
გრძნობადად	ɡ ɾ d͡z n o b a d a d
გრძნობადი	ɡ ɾ d͡z n o b a d i
გრძნობადობა	ɡ ɾ d͡z n o b a d o b a
გრძნობენ	ɡ ɾ d͡z n o b e n
გრძნობთ	ɡ ɾ d͡z n o b tʰ
გრძნობს	ɡ ɾ d͡z n o b s
გსურთ	ɡ s u ɾ tʰ
გტკივა	ɡ tʼ kʼ i v a
გუამი	ɡ u a m i
გუაში	ɡ u a ʃ i
გუბ	ɡ u b
გუგა	ɡ u ɡ a
გუგლი	ɡ u ɡ l i
გუგული	ɡ u ɡ u l i
გუგუშვილი	ɡ u ɡ u ʃʷ i l i
გუდა	ɡ u d a
გუდასტვირი	ɡ u d a s tʼʷ i ɾ i
გუდაუთა	ɡ u d a u tʰ a
გუდაწვერი	ɡ u d a t͡sʼʷ e ɾ i
გუთანი	ɡ u tʰ a n i
გუთები	ɡ u tʰ e b i
გუთნისდედა	ɡ u tʰ n i s d e d a
გუთური	ɡ u tʰ u ɾ i
გულაბი	ɡ u ɫ a b i
გულაგი	ɡ u ɫ a ɡ i
გულადი	ɡ u ɫ a d i
გულახდილად	ɡ u ɫ a χ d i ɫ a d
გულახდილი	ɡ u ɫ a χ d i l i
გულახდილობა	ɡ u ɫ a χ d i ɫ o b a
გულგამგმირავად	ɡ u l ɡ a m ɡ m i ɾ a v a d
გულგასახეთქი	ɡ u l ɡ a s a χ e tʰ kʰ i
გულგატეხილად	ɡ u l ɡ a tʼ e χ i ɫ a d
გულგატეხილი	ɡ u l ɡ a tʼ e χ i l i
გულგაწყალებული	ɡ u l ɡ a t͡sʼ χʼ a l e b u l i
გულგრილად	ɡ u l ɡ ɾ i ɫ a d
გულგრილი	ɡ u l ɡ ɾ i l i
გულგრილობა	ɡ u l ɡ ɾ i ɫ o b a
გულდასაწყვეტად	ɡ u l d a s a t͡sʼ χʼʷ e tʼ a d
გულდენი	ɡ u l d e n i
გულთბილი	ɡ u l tʰ b i l i
გული	ɡ u l i
გულიაში	ɡ u l i a ʃ i
გულითადად	ɡ u l i tʰ a d a d
გულითადი	ɡ u l i tʰ a d i
გულითადობა	ɡ u l i tʰ a d o b a
გულისამრევად	ɡ u l i s a m ɾ e v a d
გულისპირი	ɡ u l i s pʼ i ɾ i
გულისრევა	ɡ u l i s ɾ e v a
გულისრევამდე	ɡ u l i s ɾ e v a m d e
გულისცემა	ɡ u l i s t͡sʰ e m a
გულისწვა	ɡ u l i s t͡sʼʷ a
გულკეთილი	ɡ u l kʼ e tʰ i l i
გულკეთილობა	ɡ u l kʼ e tʰ i ɫ o b a
გულმავიწყად	ɡ u l m a v i t͡sʼ χʼ a d
გულმავიწყი	ɡ u l m a v i t͡sʼ χʼ i
გულმავიწყობა	ɡ u l m a v i t͡sʼ χʼ o b a
გულმკერდი	ɡ u l m kʼ e ɾ d i
გულმოდგინე	ɡ u l m o d ɡ i n e
გულმოდგინება	ɡ u l m o d ɡ i n e b a
გულმოდგინედ	ɡ u l m o d ɡ i n e d
გულმოწყალება	ɡ u l m o t͡sʼ χʼ a l e b a
გულმოწყალედ	ɡ u l m o t͡sʼ χʼ a l e d
გულოვანი	ɡ u ɫ o v a n i
გულსაფარი	ɡ u l s a pʰ a ɾ i
გულუბრყვილო	ɡ u ɫ u b ɾ χʼʷ i ɫ o
გულუბრყვილოდ	ɡ u ɫ u b ɾ χʼʷ i ɫ o d
გულუხვად	ɡ u ɫ u χʷ a d
გულუხვი	ɡ u ɫ u χʷ i
გულუხვობა	ɡ u ɫ u χʷ o b a
გულფიცხი	ɡ u l pʰ i t͡sʰ χ i
გულქვა	ɡ u l kʰʷ a
გულღიად	ɡ u l ʁ i a d
გულღიაობა	ɡ u l ʁ i a o b a
გულშემატკივარი	ɡ u l ʃ e m a tʼ kʼ i v a ɾ i
გულჩათხრობილი	ɡ u l t͡ʃʰ a tʰ χ ɾ o b i l i
გულჩვილი	ɡ u l t͡ʃʰʷ i l i
გულცივად	ɡ u l t͡sʰ i v a d
გულცივი	ɡ u l t͡sʰ i v i
გულძმარვა	ɡ u l d͡z m a ɾʷ a
გულწითელა	ɡ u l t͡sʼ i tʰ e ɫ a
გულწრფელად	ɡ u l t͡sʼ ɾ pʰ e ɫ a d
გულწრფელი	ɡ u l t͡sʼ ɾ pʰ e l i
გულწრფელობა	ɡ u l t͡sʼ ɾ pʰ e ɫ o b a
გუმანი	ɡ u m a n i
გუმანით	ɡ u m a n i tʰ
გუმფისი	ɡ u m pʰ i s i
გუნდა	ɡ u n d a
გუნდი	ɡ u n d i
გურია	ɡ u ɾ i a
გურიად	ɡ u ɾ i a d
გურიამ	ɡ u ɾ i a m
გურიას	ɡ u ɾ i a s
გურიით	ɡ u ɾ i i tʰ
გურიის	ɡ u ɾ i i s
გურმანი	ɡ u ɾ m a n i
გურული	ɡ u ɾ u l i
გურჯი	ɡ u ɾ d͡ʒ i
გუტაპერჩი	ɡ u tʼ a pʼ e ɾ t͡ʃʰ i
გუფთა	ɡ u pʰ tʰ a
გუშაგი	ɡ u ʃ a ɡ i
გუშინ	ɡ u ʃ i n
გუშინდელი	ɡ u ʃ i n d e l i
გუშინწინ	ɡ u ʃ i n t͡sʼ i n
გუშინწინისწინ	ɡ u ʃ i n t͡sʼ i n i s t͡sʼ i n
გქვია	ɡ kʰʷ i a
გყავთ	ɡ χʼ a f tʰ
გშია	ɡ ʃ i a
გშიათ	ɡ ʃ i a tʰ
გწყურია	ɡ t͡sʼ χʼ u ɾ i a
გწყურიათ	ɡ t͡sʼ χʼ u ɾ i a tʰ
გჭირდება	ɡ t͡ʃʼ i ɾ d e b a
დ	d̪
და	d a
დააბნელებს	d a a b n e l e b s
დააბრუნებ	d a a b ɾ u n e b
დააბრუნებს	d a a b ɾ u n e b s
დააგრძელებენ	d a a ɡ ɾ d͡z e l e b e n
დააგრძელებს	d a a ɡ ɾ d͡z e l e b s
დააგრძელეს	d a a ɡ ɾ d͡z e l e s
დაადგენს	d a a d ɡ e n s
დაავადება	d a a v a d e b a
დაავადებული	d a a v a d e b u l i
დაავიწყდება	d a a v i t͡sʼ χʼ d e b a
დაავიწყებს	d a a v i t͡sʼ χʼ e b s
დააზარალებს	d a a z a ɾ a l e b s
დააკვალიანებს	d a a kʼʷ a l i a n e b s
დაამზადებს	d a a m z a d e b s
დაამთავრებს	d a a m tʰ a v ɾ e b s
დაამოწმებს	d a a m o t͡sʼ m e b s
დაარქმევს	d a a ɾ kʰ m e f s
დაასაფლავებს	d a a s a pʰ ɫ a v e b s
დაასრულა	d a a s ɾ u ɫ a
დაასრულებს	d a a s ɾ u l e b s
დაასურათებს	d a a s u ɾ a tʰ e b s
დაახველა	d a a χʷ e ɫ a
დაახველებს	d a a χʷ e l e b s
დაახლოებით	d a a χ ɫ o e b i tʰ
დაბა	d a b a
დაბადება	d a b a d e b a
დაბადებად	d a b a d e b a d
დაბადებამ	d a b a d e b a m
დაბადებას	d a b a d e b a s
დაბადებით	d a b a d e b i tʰ
დაბადების	d a b a d e b i s
დაბადებული	d a b a d e b u l i
დაბალბიუჯეტიანი	d a b a l b i u d͡ʒ e tʼ i a n i
დაბალი	d a b a l i
დაბალკალორიული	d a b a l kʼ a ɫ o ɾ i u l i
დაბანაკება	d a b a n a kʼ e b a
დაბებკილად	d a b e b kʼ i ɫ a d
დაბეჭდავს	d a b e t͡ʃʼ d a f s
დაბზარული	d a b z a ɾ u l i
დაბინდული	d a b i n d u l i
დაბლა	d a b ɫ a
დაბლობი	d a b ɫ o b i
დაბნელება	d a b n e l e b a
დაბნელებული	d a b n e l e b u l i
დაბნეული	d a b n e u l i
დაბნეულობა	d a b n e u ɫ o b a
დაბოლოება	d a b o ɫ o e b a
დაბრუნდება	d a b ɾ u n d e b a
დაბრუნდნენ	d a b ɾ u n d n e n
დაბრუნება	d a b ɾ u n e b a
დაბრუნებას	d a b ɾ u n e b a s
დაბრუნების	d a b ɾ u n e b i s
დაგეზარებათ	d a ɡ e z a ɾ e b a tʰ
დაგეროტიპი	d a ɡ e ɾ o tʼ i pʼ i
დაგვეხმაროთ	d a ɡʷ e χ m a ɾ o tʰ
დაგვიანებულად	d a ɡʷ i a n e b u ɫ a d
დაგვიანებული	d a ɡʷ i a n e b u l i
დაგვირგვინება	d a ɡʷ i ɾ ɡʷ i n e b a
დაგინახავს	d a ɡ i n a χ a f s
დაგლეჯილად	d a ɡ l e d͡ʒ i ɫ a d
დაგლეჯილი	d a ɡ l e d͡ʒ i l i
დაგმობა	d a ɡ m o b a
დაგრძელება	d a ɡ ɾ d͡z e l e b a
დაგუგლვადი	d a ɡ u ɡ lʷ a d i
დაგუგლვადობა	d a ɡ u ɡ lʷ a d o b a
დადგენა	d a d ɡ e n a
დადგენილი	d a d ɡ e n i l i
დადებითად	d a d e b i tʰ a d
დადებითი	d a d e b i tʰ i
დადის	d a d i s
დაე	d a e
დაეზარება	d a e z a ɾ e b a
დაეთმო	d a e tʰ m o
დაეუფლება	d a e u pʰ l e b a
დაეჭვებულად	d a e t͡ʃʼʷ e b u ɫ a d
დაეჭვებული	d a e t͡ʃʼʷ e b u l i
დაეხმარება	d a e χ m a ɾ e b a
დავა	d a v a
დავალება	d a v a l e b a
დავალებული	d a v a l e b u l i
დავალიანება	d a v a l i a n e b a
დავამარცხე	d a v a m a ɾ t͡sʰ χ e
დავბრუნდებით	d a v b ɾ u n d e b i tʰ
დავბრუნდეთ	d a v b ɾ u n d e tʰ
დავთარი	d a f tʰ a ɾ i
დავით	d a v i tʰ
დავითაშვილი	d a v i tʰ a ʃʷ i l i
დავითი	d a v i tʰ i
დავითნი	d a v i tʰ n i
დავიწყე	d a v i t͡sʼ χʼ e
დავიწყება	d a v i t͡sʼ χʼ e b a
დავიწყეთ	d a v i t͡sʼ χʼ e tʰ
დავკარგე	d a f kʼ a ɾ ɡ e
დავლევ	d a v l e v
დავლური	d a v ɫ u ɾ i
დავრიში	d a v ɾ i ʃ i
დავრჩე	d a v ɾ t͡ʃʰ e
დავუბრუნდეთ	d a v u b ɾ u n d e tʰ
დაზარალებული	d a z a ɾ a l e b u l i
დაზგა	d a z ɡ a
დაზიანებული	d a z i a n e b u l i
დაზღვევა	d a z ʁʷ e v a
დათარიღებული	d a tʰ a ɾ i ʁ e b u l i
დათვი	d a tʰʷ i
დათმობა	d a tʰ m o b a
დათმობით	d a tʰ m o b i tʰ
დათმობს	d a tʰ m o b s
დათო	d a tʰ o
დათოვლილი	d a tʰ o v l i l i
დათრგუნვა	d a tʰ ɾ ɡ u nʷ a
დათრგუნული	d a tʰ ɾ ɡ u n u l i
დათუნია	d a tʰ u n i a
დაი	d a i
დაივიწყებს	d a i v i t͡sʼ χʼ e b s
დაიკარგა	d a i kʼ a ɾ ɡ a
დაიკარგება	d a i kʼ a ɾ ɡ e b a
დაიკიდე	d a i kʼ i d e
დაიკო	d a i kʼ o
დაიმტკიცებს	d a i m tʼ kʼ i t͡sʰ e b s
დაიმტკიცოს	d a i m tʼ kʼ i t͡sʰ o s
დაინახა	d a i n a χ a
დაინახავს	d a i n a χ a f s
დაიპყრობს	d a i pʼ χʼ ɾ o b s
დაირა	d a i ɾ a
დაისვენებს	d a i sʷ e n e b s
დაისვენოს	d a i sʷ e n o s
დაისი	d a i s i
დაიურვებს	d a i u ɾʷ e b s
დაიუფლებს	d a i u pʰ l e b s
დაიძინებდა	d a i d͡z i n e b d a
დაიძინებს	d a i d͡z i n e b s
დაიწყე	d a i t͡sʼ χʼ e
დაიწყება	d a i t͡sʼ χʼ e b a
დაიწყებს	d a i t͡sʼ χʼ e b s
დაიწყო	d a i t͡sʼ χʼ o
დაიჭერს	d a i t͡ʃʼ e ɾ s
დაკავებული	d a kʼ a v e b u l i
დაკავშირება	d a kʼ a f ʃ i ɾ e b a
დაკავშირებული	d a kʼ a f ʃ i ɾ e b u l i
დაკარგა	d a kʼ a ɾ ɡ a
დაკარგავს	d a kʼ a ɾ ɡ a f s
დაკარგეს	d a kʼ a ɾ ɡ e s
დაკარგვა	d a kʼ a ɾ ɡʷ a
დაკარგული	d a kʼ a ɾ ɡ u l i
დაკბილული	d a kʼ b i ɫ u l i
დაკვალიანება	d a kʼʷ a l i a n e b a
დაკვანძული	d a kʼʷ a n d͡z u l i
დაკვირვებულად	d a kʼʷ i ɾʷ e b u ɫ a d
დაკვირვებული	d a kʼʷ i ɾʷ e b u l i
დაკლაკნილი	d a kʼ ɫ a kʼ n i l i
დაკლაკნილობა	d a kʼ ɫ a kʼ n i ɫ o b a
დაკნინებული	d a kʼ n i n e b u l i
დაკოჟრებული	d a kʼ o ʒ ɾ e b u l i
დაკრძალავს	d a kʼ ɾ d͡z a ɫ a f s
დაკრძალვა	d a kʼ ɾ d͡z a lʷ a
დაკუნთული	d a kʼ u n tʰ u l i
დალასი	d a ɫ a s i
დალაქავებული	d a ɫ a kʰ a v e b u l i
დალაქი	d a ɫ a kʰ i
დალაქული	d a ɫ a kʰ u l i
დალევა	d a l e v a
დალევს	d a l e f s
დალია	d a l i a
დალინკავს	d a l i n kʼ a f s
დალინკვა	d a l i n kʼʷ a
დალინკოთ	d a l i n kʼ o tʰ
დალტონი	d a l tʼ o n i
დამაბრკოლებლად	d a m a b ɾ kʼ o l e b ɫ a d
დამათრობელი	d a m a tʰ ɾ o b e l i
დამაკმაყოფილებლად	d a m a kʼ m a χʼ o pʰ i l e b ɫ a d
დამალავს	d a m a ɫ a f s
დამალობანა	d a m a ɫ o b a n a
დამალული	d a m a ɫ u l i
დამამშვიდებლად	d a m a m ʃʷ i d e b ɫ a d
დამამცირებლად	d a m a m t͡sʰ i ɾ e b ɫ a d
დამამძიმებლად	d a m a m d͡z i m e b ɫ a d
დამანგრეველი	d a m a n ɡ ɾ e v e l i
დამარცვლა	d a m a ɾ t͡sʰʷ ɫ a
დამარცხება	d a m a ɾ t͡sʰ χ e b a
დამარცხებული	d a m a ɾ t͡sʰ χ e b u l i
დამარწმუნებლად	d a m a ɾ t͡sʼ m u n e b ɫ a d
დამასკო	d a m a s kʼ o
დამასკური	d a m a s kʼ u ɾ i
დამატება	d a m a tʼ e b a
დამატებით	d a m a tʼ e b i tʰ
დამატებითი	d a m a tʼ e b i tʰ i
დამატკბობელი	d a m a tʼ kʼ b o b e l i
დამატკბობლად	d a m a tʼ kʼ b o b ɫ a d
დამაჯერებელი	d a m a d͡ʒ e ɾ e b e l i
დამაჯერებლად	d a m a d͡ʒ e ɾ e b ɫ a d
დამბა	d a m b a
დამბაჩა	d a m b a t͡ʃʰ a
დამბლა	d a m b ɫ a
დამგეგმავი	d a m ɡ e ɡ m a v i
დამდაბლებულად	d a m d a b l e b u ɫ a d
დამდგარი	d a m d ɡ a ɾ i
დამესიჯება	d a m e s i d͡ʒ e b a
დამთმობი	d a m tʰ m o b i
დამთრგუნველად	d a m tʰ ɾ ɡ u nʷ e ɫ a d
დამთრგუნველი	d a m tʰ ɾ ɡ u nʷ e l i
დამიმესიჯე	d a m i m e s i d͡ʒ e
დამიწება	d a m i t͡sʼ e b a
დამიჭერია	d a m i t͡ʃʼ e ɾ i a
დამიჭირე	d a m i t͡ʃʼ i ɾ e
დამკვრელურად	d a m kʼʷ ɾ e ɫ u ɾ a d
დამკვრელური	d a m kʼʷ ɾ e ɫ u ɾ i
დამლაგებელი	d a m ɫ a ɡ e b e l i
დამნაშავე	d a m n a ʃ a v e
დამნაშავეობა	d a m n a ʃ a v e o b a
დამნაშავესავით	d a m n a ʃ a v e s a v i tʰ
დამნგრევი	d a m n ɡ ɾ e v i
დამოკიდებულება	d a m o kʼ i d e b u l e b a
დამოკიდებული	d a m o kʼ i d e b u l i
დამოკლე	d a m o kʼ l e
დამოუკიდებელი	d a m o u kʼ i d e b e l i
დამოუკიდებლად	d a m o u kʼ i d e b ɫ a d
დამოუკიდებლობა	d a m o u kʼ i d e b ɫ o b a
დამოწმება	d a m o t͡sʼ m e b a
დამოწმებული	d a m o t͡sʼ m e b u l i
დამპალი	d a m pʼ a l i
დამპყრობელი	d a m pʼ χʼ ɾ o b e l i
დამპყრობლური	d a m pʼ χʼ ɾ o b ɫ u ɾ i
დამრიგებელი	d a m ɾ i ɡ e b e l i
დამრიგებლურად	d a m ɾ i ɡ e b ɫ u ɾ a d
დამრიგებლური	d a m ɾ i ɡ e b ɫ u ɾ i
დამსვენებელი	d a m sʷ e n e b e l i
დამსწრე	d a m s t͡sʼ ɾ e
დამსჯელი	d a m s d͡ʒ e l i
დამტარებელი	d a m tʼ a ɾ e b e l i
დამტკიცება	d a m tʼ kʼ i t͡sʰ e b a
დამუშავებული	d a m u ʃ a v e b u l i
დამფუძნებელი	d a m pʰ u d͡z n e b e l i
დამქანცველად	d a m kʰ a n t͡sʰʷ e ɫ a d
დამქანცველი	d a m kʰ a n t͡sʰʷ e l i
დამღა	d a m ʁ a
დამღლელი	d a m ʁ l e l i
დამღუპველად	d a m ʁ u pʼʷ e ɫ a d
დამღუპველი	d a m ʁ u pʼʷ e l i
დამღუპველობა	d a m ʁ u pʼʷ e ɫ o b a
დამყაყებულად	d a m χʼ a χʼ e b u ɫ a d
დამყაყებული	d a m χʼ a χʼ e b u l i
დამყოლი	d a m χʼ o l i
დამშეული	d a m ʃ e u l i
დამცავი	d a m t͡sʰ a v i
დამცველად	d a m t͡sʰʷ e ɫ a d
დამცველი	d a m t͡sʰʷ e l i
დამცინავად	d a m t͡sʰ i n a v a d
დამცინავი	d a m t͡sʰ i n a v i
დამწვრობა	d a m t͡sʼʷ ɾ o b a
დამწნილებული	d a m t͡sʼ n i l e b u l i
დამწუხრებულად	d a m t͡sʼ u χ ɾ e b u ɫ a d
დამწუხრებული	d a m t͡sʼ u χ ɾ e b u l i
დამწყები	d a m t͡sʼ χʼ e b i
დამხმარე	d a m χ m a ɾ e
დამჯერი	d a m d͡ʒ e ɾ i
დანა	d a n a
დანამული	d a n a m u l i
დანაოჭებული	d a n a o t͡ʃʼ e b u l i
დანართი	d a n a ɾ tʰ i
დანარჩენი	d a n a ɾ t͡ʃʰ e n i
დანაშაულებრივად	d a n a ʃ a u l e b ɾ i v a d
დანაშაული	d a n a ʃ a u l i
დანგრეული	d a n ɡ ɾ e u l i
დანდალუკი	d a n d a ɫ u kʼ i
დანდური	d a n d u ɾ i
დანია	d a n i a
დანიელი	d a n i e l i
დანისლული	d a n i s ɫ u l i
დანიური	d a n i u ɾ i
დანიშვნა	d a n i ʃʷ n a
დანიშნულება	d a n i ʃ n u l e b a
დანიშნული	d a n i ʃ n u l i
დანჯღრეული	d a n d͡ʒ ʁ ɾ e u l i
დაობლება	d a o b l e b a
დაოსიზმი	d a o s i z m i
დაოსტატებული	d a o s tʼ a tʼ e b u l i
დაპირება	d a pʼ i ɾ e b a
დაპირისპირება	d a pʼ i ɾ i s pʼ i ɾ e b a
დაპყრობა	d a pʼ χʼ ɾ o b a
დაჟე	d a ʒ e
დაჟინებით	d a ʒ i n e b i tʰ
დაჟინებულად	d a ʒ i n e b u ɫ a d
დაჟინებული	d a ʒ i n e b u l i
დარაბა	d a ɾ a b a
დარაჯი	d a ɾ a d͡ʒ i
დარბაზი	d a ɾ b a z i
დარბაზობა	d a ɾ b a z o b a
დარბაისელი	d a ɾ b a i s e l i
დარგი	d a ɾ ɡ i
დარდი	d a ɾ d i
დარდიანად	d a ɾ d i a n a d
დარდიანი	d a ɾ d i a n i
დარდუბალა	d a ɾ d u b a ɫ a
დარვინი	d a ɾʷ i n i
დარვინიზმი	d a ɾʷ i n i z m i
დარი	d a ɾ i
დარიშხანა	d a ɾ i ʃ χ a n a
დარიშხანი	d a ɾ i ʃ χ a n i
დარიჩინი	d a ɾ i t͡ʃʰ i n i
დარუბანდი	d a ɾ u b a n d i
დარქმევა	d a ɾ kʰ m e v a
დარჩება	d a ɾ t͡ʃʰ e b a
დარჩენილი	d a ɾ t͡ʃʰ e n i l i
დარჩეული	d a ɾ t͡ʃʰ e u l i
დარწმუნებულად	d a ɾ t͡sʼ m u n e b u ɫ a d
დარწმუნებული	d a ɾ t͡sʼ m u n e b u l i
დასაბამიდან	d a s a b a m i d a n
დასაბუთებული	d a s a b u tʰ e b u l i
დასავლეთი	d a s a v l e tʰ i
დასავლეთიდან	d a s a v l e tʰ i d a n
დასავლეთით	d a s a v l e tʰ i tʰ
დასავლელი	d a s a v l e l i
დასავლური	d a s a v ɫ u ɾ i
დასაკიდი	d a s a kʼ i d i
დასამახსოვრებლად	d a s a m a χ s o v ɾ e b ɫ a d
დასამშვიდებლად	d a s a m ʃʷ i d e b ɫ a d
დასასრული	d a s a s ɾ u l i
დასასჯელი	d a s a s d͡ʒ e l i
დასაფლავება	d a s a pʰ ɫ a v e b a
დასაშვებად	d a s a ʃʷ e b a d
დასაშვები	d a s a ʃʷ e b i
დასაშვებობა	d a s a ʃʷ e b o b a
დასაშლელი	d a s a ʃ l e l i
დასაწყისი	d a s a t͡sʼ χʼ i s i
დასახელება	d a s a χ e l e b a
დასახლებული	d a s a χ l e b u l i
დასაჯერებელი	d a s a d͡ʒ e ɾ e b e l i
დასველებული	d a sʷ e l e b u l i
დასვენება	d a sʷ e n e b a
დასვრილი	d a sʷ ɾ i l i
დასიზმრება	d a s i z m ɾ e b a
დასკვნა	d a s kʼʷ n a
დასკვნითი	d a s kʼʷ n i tʰ i
დასრულდება	d a s ɾ u l d e b a
დასრულებული	d a s ɾ u l e b u l i
დასტა	d a s tʼ a
დასტამბო	d a s tʼ a m b o
დასტაქარი	d a s tʼ a kʰ a ɾ i
დასტურ	d a s tʼ u ɾ
დასტური	d a s tʼ u ɾ i
დასხმა	d a s χ m a
დასჯა	d a s d͡ʒ a
დასჯის	d a s d͡ʒ i s
დატბორილად	d a tʼ b o ɾ i ɫ a d
დატბორილი	d a tʼ b o ɾ i l i
დატვირთული	d a tʼʷ i ɾ tʰ u l i
დატოვებს	d a tʼ o v e b s
დაუახლოვდება	d a u a χ ɫ o v d e b a
დაუბეგრავი	d a u b e ɡ ɾ a v i
დაუბეჭდავი	d a u b e t͡ʃʼ d a v i
დაუბრუნდება	d a u b ɾ u n d e b a
დაუგეგმავი	d a u ɡ e ɡ m a v i
დაუდგრომელი	d a u d ɡ ɾ o m e l i
დაუდგრომლად	d a u d ɡ ɾ o m ɫ a d
დაუდგრომლობა	d a u d ɡ ɾ o m ɫ o b a
დაუდევარი	d a u d e v a ɾ i
დაუდევრად	d a u d e v ɾ a d
