'is	ə s
kopiereg	k ʊ ə̯ p i r ɛ χ
koraalrif	k ʊ ə̯ r ɑː l r ə f
korrek	k ɔ r ɛ k
korrup	k ɔ r œ p
kors	k ɔ r s
kort	k ɔ r t
kortbroek	k ɔ r t b r u k
kortliks	k ɔ r t l ə k s
kortsigtig	k ɔ r t s ə χ t ə χ
kos	k ɔ s
kosmenger	k ɔ s m ɛ ŋ ə r
kots	k ɔ t s
koud	k œ u t
kous	k œ u s
kraai	k r ɑː i
kraal	k r ɑː l
krag	k r a χ
kreukel	k r ɪ ø k ə l
kreupelhout	k r ɪ ø p ə l ɦ œ u̯ t
kriek	k r i k
krimp	k r ə m p
krimpvark	k r ə m p f a r k
kroeg	k r u χ
kroon	k r ʊ ə̯ n
kruid	k r œ i̯ t
kruip	k r œ i̯ p
kruis	k r œ ɪ̯ s
kruk	k r œ k
kry	k r ə i
kuier	k œ i̯ ə r
kultuur	k œ l t y r
kurk	k œ r k
kus	k œ s
kussing	k œ s ə ŋ
kwarantyn	k ʋ ɑ r ɑ n t ə i n
kweekskool	k v ɪ ə̯ k s k ʊ ə̯ l
kwessie	k v ɛ s i
kwik	k v ə k
kwyl	k v ə i̯ l
laag	l ɑː χ
laagste	l ɑː χ s t ə
laai	l ɑː i̯
laat	l ɑː t
laatmiddag	l ɑː t m ə d a χ
lae	l ɑː ə
laer	l ɑː ə r
lafhartig	l a f ɦ a r t ə χ
lag	ɫ ɐ χ
lam	l a m
lamp	l a m p
land	l a n t
landbou	l a n t b œ u̯
landdros	l a n d r ɔ s
landskap	l a n t s k a p
landsnaam	l a n t s n ɑː m
langs	l a ŋ s
laning	l ɑː n ə ŋ
lap	l a p
lasterveldtog	l a s t ə r f ɛ l t ɔ χ
lastig	l a s t ə x
lat	l a t
lawaglas	l ɑː v ə χ l a s
lede	l ɪ ə d ə
leef	l ɪ ə̯ f
leeg	l ɪ ə χ
leegste	l ɪ ə χ s t ə
leer	l ɪ ə r
leerarea	l e ə r a r ɛ a
lees	l ɪ ə s
legioen	l eː x i u n
leier	l ə i̯ ə r
lekker	l ɛ k ə r
lelik	l ɪ ə̯ l ə k
lemoen	l ə m u n
leraar	l ɪ ə̯ r ɑː r
les	l ɛ s
letter	l ɛ t ə r
letterkunde	l ɛ t ə r k œ n d ə
letterkundig	l ɛ t ə r k œ n d ə x
leuningstoel	l ɪ ø n ə ŋ s t u l
leunstoel	l ɪ ø n s t u l
lewe	l ɪ ə v ə
lewensgeskiedenis	l ɪ ə̯ v ə n s χ ə s k i d ə n ə s
lewer	l ɪ ə̯ v ə r
liedjie	l i k i
liefde	l i f d ə
liefdesbrief	l i f d ə s b r i f
lieg	l i χ
lig	l ə χ
liggaam	l ə χ ɑː m
liggende	l ə χ ə n d ə
lint	l ə n t
lip	l ə p
lis	l ə s
lof	l ɔ f
lok	l ɔ k
lol	l ɔ l
long	l ɔ ŋ
lont	l ɔ n t
lood	l ʊ ə t
loop	l ʊ ə p
loopgraaf	l ʊ ə̯ p χ r ɑː f
losbars	l ɔ s b a r s
lug	l œ χ
lugballon	l œ χ b a l ɔ n
luis	l œ i s
luister	l œ i s t ə r
luisteraar	l œ i̯ s t ə r ɑː r
luitenant	l œ i̯ t ə n ɐ n t
lyf	l ə i f
lyfvlegter	l ə i̯ f l ɛ χ t ə r
lyk	l ə i k
lyke	l ə i k ə
lys	l ə i s
lyste	l ə i s t ə
lywe	l ə i v ə
lê	l ɛː
ma'	m a
maagd	m ɑː χ t
maak	m ɑː k
maalvleis	m ɑː l f l ə i̯ s
maan	m ɑː n
maand	m ɑː n t
maar	m ɑː r
maat	m ɑː t
madrassa	m a d r a s a
madressa	m a d r ɛ s a
mag	m a χ
magdom	m a χ d ɔ m
magie	m ɑː χ i
magies	m ɑː χ i s
magneet	m a χ n ɪ ə̯ t
majoor	m a j ʊ ə̯ r
majoor	m ə j ʊ ə̯ r
makeer	m a k eː r
makou	m a k œ u̯
makou	m ə k œ u̯
mamparra	m a m p a r a
man	m a n
mang	m a ŋ
mantel	m a n t ə l
mar	m a r
mark	m a r k
maroela	m a r u l a
mas	m a s
massa	m a s a
matras	m a t r a s
mee	m ɪ ə̯
meersinnig	m ɪ ə̯ r s ə n ə x
meester	m ɪ ə̯ s t ə r
meetkunde	m ɪ ə̯ t k œ n d ə
meetkundig	m ɪ ə̯ t k œ n d ə χ
meisie	m ə i s i
melk	m ɛ l k
melkskommel	m ɛ l k s k ɔ m ə l
melktand	m ɛ l k t a n t
mening	m ɪ ə̯ n ə ŋ
mens	m ɛ n s
mensdom	m ɛ n s d ɔ m
mensheid	m ɛ n s ɦ ə i̯ t
mert	m əː t
mes	m ɛ s
met	m ɛ t
metafoor	m ɪ ə̯ t a f ʊ ə̯ r
meul	m ɪ ø l
meule	m ɪ ø l ə
middag	m ə d a χ
mielie	m i l i
mier	m i r
mik	m ə k
mikroskoop	m i k r u s k ʊ ə̯ p
mikroskoop	m i k r ʊ ə̯ s k ʊ ə̯ p
ministerie	m ə̯ n ə̯ s t ɪ ə̯ r i
mis	m ə s
misdaad	m ə s d ɑː t
mishandel	m ə s ɦ ɑ n d ə l
misken	m ə s k ɛ n
missiel	m ə s i l
moedertaalspreker	m u d ə r t ɑː l s p r e ə̯ k ə r
moedertaalsprekers	m u d ə r t ɑː l s p r e ə̯ k ə r s
moeg	m u χ
moeras	m u r a s
moes	m u s
moet	m u t
mog	m ɔ χ
moltrein	m ɔ l t r ə i̯ n
monnik	m ɔ n ə k
mooi	m ʊ ə ɪ̯
moor	m ʊ ə̯ r
moord	m ʊ ə̯ r t
mos	m o s
moskee	m ɔ s k ɪ ə̯
mossel	m ɔ s ə l
mosterd	m ɔ s t ə r t
mosterdgas	m ɔ s t ə r t χ a s
motief	m ʊ ə̯ t i f
motor	m ʊ ə̯ t ə r
mou	m œ u̯
muf	m œ f
mug	m œ χ
muggie	m œ χ i
muis	m œ i̯ s
muishond	m œ i̯ s ɦ ɔ n t
mummie	m œ m i
mus	m œ s
my	m ə i
myne	m ə i n ə
môre	m ɔː r ə
naald	n ɑː l t
naamval	n aː m f ɑ l
nader	n ɑː d ə r
nael	n ɑː ə l
nag	n a χ
nagereg	n ɑː χ ə r ɛ χ
naguil	n a χ œ i̯ l
nasie	n ɑː s i
natuur	n a t y r
natuurlik	n a t y r l ə k
naweek	n ɑː v ɪ ə̯ k
nedersetting	n ɪ ə̯ d ə r s ɛ t ə ŋ
nee	n i əː
neerdaal	n ɪ ə̯ r d ɑː l
neerlê	n i ə̯ r l ɛː
nege	n ɪ ə χ ə
nes	n ɛ s
neuk	n ɪ ø k
neus	n ɪ ø s
neushoring	n ɪ ø s ɦ ʊ ə r ə ŋ
neutraal	n ɪ ø t r ɑː l
nie	n i
nier	n i r
niks	n ə k s
nis	n ə s
nog	n ɔ χ
nommer	n ɔ m ə r
nooddruf	n ʊ ə̯ d r œ f
nooi	n oː i̯
nooit	n oː i t
noordwaarts	n ʊ ə̯ r t v ɑː r t s
noot	n ʊ ə̯ t
nou	n œ u
noudat	n œ u̯ d a t
noukeurig	n œ u̯ k ɪ ø r ə χ
novelle	n ʊ ə̯ f ɛ l ə
nul	n œ l
nuus	n y s
nuut	n i t
nuut	n y t
nè	n ɛ
oefen	u f ə n
oek	u k
oerknal	u r k n a l
oes	u s
oeste	u s t ə
of	ɔ f
offisieel	ɔ f i s i ɪ ə̯ l
offisieel	ɔ f i ʃ ɪ ə̯ l
oggend	ɔ χ ə n t
ogiesdraad	ʊ ə̯ χ i s d r ɑː t
olie	ʊ ə̯ l i
olifant	ʊ ə̯ l i f a n t
olifantslurp	u ə l i f a n t s l œ r p
omdat	ɔ m d a t
omgang	ɔ m χ a ŋ
omgewing	ɔ m χ ɪ ə̯ v ə ŋ
ommie	ɔ m i
omsons	ɔ m s ɔ n s
omstandigheid	ɔ m s t a n d ə χ ɦ ə i̯ t
onaards	ɔ n ɑː r t s
onbekend	ɔ n b ə k ɛ n t
onbeteuelbaar	ɔ n b ə t ɪ ø ə l b ɑː r
onderbroek	ɔ n ə r b r u k
onderskeidelik	ɔ n d ə r s k ə i̯ d ə l ə k
ondier	ɔ n d i r
ongelukkig	ɔ n χ ə l œ k ə χ
onkruid	ɔ ŋ k r œ i̯ t
onkruiddoder	ɔ ŋ k r œ i̯ t d ʊ ə̯ d ə r
onleesbaar	ɔ n l ɪ ə̯ s b ɑː r
onleesbaarheid	ɔ n l ɪ ə̯ s b ɑː r ɦ ə i̯ t
onnodig	ɔ n ʊ ə̯ d ə x
ons	ɔ n s
onse	ɔ n s ə
ontbyt	ɔ n t b ə i̯ t
onteenseglik	ɔ n t ɪ ə̯ n s ɛ χ l ə k
onthou	ɔ n t ɦ œ u̯
ontkenning	ɔ n t k ɛ n ə ŋ
ontploffing	ɔ n t p l ɔ f ə ŋ
ontsteking	ɔ n t s t ɪ ə̯ k ə ŋ
ontvang	ɔ n t f a ŋ
onverhoeds	ɔ n f ɛ r ɦ u t s
onvriendelik	ɔ n f r i n d ə l ə k
onwaardig	ɔ n v ɑː r d ə χ
onweer	ɔ n v ɪ ə̯ r
oog	o ə χ
ooglid	ʊ ə̯ χ l ə t
ook	ʊ ə̯ k
oom	o ə m
oond	ʊ ə̯ n t
oop	ʊ ə̯ p
oor	ʊ ə̯ r
oorbly	ʊ ə̯ r b l ə i̯ f
oorblyfsel	ʊ ə̯ r b l ə i̯ f s ə l
oorledene	ʊ ə̯ r l ɪ ə̯ d ə n ə
oorlog	ʊ ə r l ɔ χ
oorly	ʊ ə̯ r l ə ɪ̯
oormôre	u ə̯ r m ɔː r ə
oorname	ʊ ə̯ r n ɑː m ə
oorslaan	ʊ ə r s l aː n
oorspoel	ʊ ə̯ r s p u l
ooswaarts	ʊ ə̯ s v ɑː r t s
opdaag	ɔ p d ɑː χ
opdrag	ɔ p d r a χ
opeet	ɔ p ɪ ə̯ t
open	ʊ ə̯ p ə n
opname	ɔ p n ɑː m ə
opstand	ɔ p s t a n t
opstandeling	ɔ p s t a n d ə l ɪ ŋ
orde	ɔ r d ə
ordentlik	ɔ r d ɛ n t l ə k
orgaan	ɔ r χ ɑː n
organisasie	ɔ r χ a n i s ɑː s i
orkes	ɔ r k ɛ s
oseaan	ʊ ə̯ s ɪ ə̯ ɑː n
ossewa	ɔ s ə v ɑː
ot	ɔ t
ou	œ u
ounooi	œ u n oː i̯
outisme	œ u̯ t ə s m ə
outjie	œ u k i
outonomie	œ u t ʊ ə n ʊ ə m i
paal	p ɑː l
padda	p a d a
padda	p a r a
paddavoet	p a d a f u t
paling	p ɑː l ɪ ŋ
paljas	p a l j a s
palmboom	p a l m b ʊ ə̯ m
pampoen	p a m p u n
pan	p a n
pap	p a p
papier	p a p iː r
paradoks	p a r a d ɔ k s
partyleier	p a r t ə i̯ l ə i̯ ə r
paspoort	p a s p ʊ ə̯ r t
passaat	p a s ɑː t
peer	p ɪ ə̯ r
pels	p ɛ l s
perd	p æː r t
perfek	p ə r f ɛ k
perfek	p ɛ r f ɛ k
pers	p æː r s
pers	p ɛ r s
pers	p ɛː r s
perske	p ɛ r s k ə
persoonlik	p ə r s ʊ ə̯ n l ə k
persoonlikheid	p ə r s ʊ ə̯ n l ə k ɦ ə i̯ t
petrol	p ɛ t r ɔ l
piek	p i k
piemp	p i m p
pienk	p i ŋ k
piering	p i r ə ŋ
piesang	p i s a ŋ
pil	p ə l
pla	p l ɑː
plaas	p l ɑː s
plaasaanval	p l ɑː s ɑː n v a l
plaasdier	p l ɑː s d i r
plaasjapie	p l ɑː s j ɑː p i
plaasmoord	p l ɑː s m ʊ ə̯ r t
plaende	p l ɑː ə n d ə
plank	p l a ŋ k
platejoggie	p l ɑː t ə j ɔ χ i
plato	p l a t ʊ ə̯
platteland	p l a t ə l a n t
plek	p l ɛ k
plesier	p l ə s iː r
pluimbal	p l œ i̯ m b a l
pluk	p l œ k
poekoe	p u k u
poes	p u s
pofadder	p ɔ f a d ə r
polder	p ɔ l d ə r
polisie	p ʊ ə̯ l i s i
polisiekantoor	p ʊ ə̯ l i s i k a n t ʊ ə̯ r
pols	p ɔ l s
pomp	p ɔ m p
poot	p ʊ ə̯ t
portret	p ɔ r t r ɛ t
positief	p ʊ ə̯ s i t i f
poskantoor	p ɔ s k a n t ʊ ə̯ r
poësie	p ʊ ə̯ ə s i
praalgraf	p r ɑː l χ r a f
praat	p r ɑː t
pragtig	p r a χ t ə χ
praktyk	p r a k t ə i̯ k
preek	p r ɪ ə̯ k
prent	p r ɛ n t
presies	p r ə s i s
prinses	p r ə n s ɛ s
produk	p r ʊ ə̯ d œ k
profeet	p r ʊ ə f ɪ ə t
proses	p r ʊ ə̯ s ɛ s
prossie	p r ɔ s i
prostituut	p r ɔ s t i t y t
protes	p r ʊ ə̯ t ɛ s
pruim	p r œ i̯ m
publikasie	p y b l i k ɑː s i
publiseer	p y b l i s ɪ ə̯ r
pyn	p ə i n
pynappel	p ə i̯ n a p ə l
pyne	p ə i n ə
pynlik	p ə i̯ n l ə k
pynstiller	p ə i̯ n s t ə l ə r
pyp	p ə i p
raadpleeg	r ɑː t p l ɪ ə̯ χ
raaf	r ɑː f
raai	r ɑː i
raap	r ɑː p
radio	r ɑː d i ʊ ə̯
rampokker	r a m p ɔ k ə r
rand	r ɐ n t
raserny	r ɑː s ə r n ə i̯
rassis	r a s ə s
reebok	r ɪ ə̯ b ɔ k
reeks	r ɪ ə̯ k s
reeksmoordenaar	r ɪ ə̯ k s m ʊ ə̯ r d ə n ɑː r
regering	r ə χ ɪ ə̯ r ə ŋ
regisseur	r ɪ ə̯ χ i s ɪ ø r
regmatig	r ɛ χ m ɑː t ə χ
regs	r ɛ χ s
regstaat	r ɛ χ s t ɑː t
reier	r ə i̯ ə r
rekenaar	r ɪ ə̯ k ə n ɑː r
renoster	r ə n ɔ s t ə r
renostervoël	r ə n ɔ s t ə r f ʊ ə̯ l
reptiel	r ɛ p t i l
respek	r ə s p ɛ k
restaurant	r ɛ s t u r a n t
restaurant	r ɛ s t ʊ ə̯ r a n t
reuk	r i ø k
reus	r ɪ ø s
reën	r eː ə n
reën	r ɪ ə̯ n
riet	r i t
ring	r ə ŋ
risiko	r i s i k ʊ ə̯
ritme	r ə t m ə
rivier	r ə f iː r
riviertjie	r ə f iː r k i
robot	r ʊ ə̯ b ɔ t
roep	r u p
roereier	r u r ə i̯ ə r
rof	r ɔ f
rok	r ɔ k
rol	r ɔ l
rolle	r ɔ l ə
rolprent	r ɔ l p r ɛ n t
rolstoel	r ɔ l s t u l
rond	r ɔ n t
roofdier	r ʊ ə̯ f d i r
rooi	r oː i̯
rooibos	r oː i̯ b ɔ s
rook	r ʊ ə̯ k
room	r ʊ ə̯ m
roos	r ʊ ə̯ s
rotstekening	r ɔ t s t ɪ ə̯ k ə n ə ŋ
rou	r œ u
rower	r ʊ ə̯ v ə r
rug	r œ χ
rugsak	r œ χ s a k
ruiker	r œ i̯ k ə r
ruim	r œ i̯ m
ruit	r œ i̯ t
ruiter	r œ i̯ t ə r
rus	r œ s
rusie	r y s i
ruïne	r y i n ə
ry	r ə i
rykdom	r ə i̯ k d ɔ m
rym	r ə i̯ m
rûe	r œː
s'n	s ə n
saal	s ɑː l
saam	s ɑː m
saamkom	s ɑː m k ɔ m
saamstel	s ɑː m s t ɛ l
saans	s ɑː n s
saffier	s a f i r
sag	s a χ
sakdoek	s a k d u k
sakeman	s ɑː k ə m a n
sakevrou	s ɑː k ə f r œ u̯
sal	s a l
salamander	s a l a m a n d ə r
salmander	s a l m a n d ə r
sambreel	s a m b r ɪ ə l
samelewing	s ɑː m ə l ɪ ə̯ v ə ŋ
samespraak	s ɑː m ə s p r ɑː k
samevatting	s ɑː m ə f a t ə ŋ
sand	s a n t
sandkasteel	s a n t k a s t ɪ ə̯ l
sappig	s a p ə χ
se	s ə
sebra	s ɛ b r a
sedertdien	s ɪ ə̯ d ə r t d i n
see	s ɪ ə
seekoei	s ɪ ə k u i̯
seekomkommer	s ɪ ə̯ k ɔ m k ɔ m ə r
seep	s ɪ ə p
seeskap	s ɪ ə̯ s k a p
seevlak	s ɪ ə̯ f l a k
seewater	s ɪ ə̯ v ɑː t ə r
seis	s ə i s
seisoen	s ə i̯ s u n
sekere	s ɪ ə k ə r ə
sekerlik	s ɪ ə̯ k ə r l ə k
sel	s ɛ l
selde	s ɛ l d ə
selmaat	s ɛ l m ɑː t
sending	s ɛ n d ə ŋ
sent	s ɛ n t
senuweeagtig	s ɪ ə̯ n y v ɪ ə̯ a χ t ə χ
sering	s ə r ə ŋ
serp	s ɛ r p
servet	s ə r f ɛ t
ses	s e s
seun	s e ø n
seuntjie	s e ø n k i
sewe	s ɪ ə v ə
seën	s eː ə n
seën	s ɪ ə̯ n
seëning	s eː ə n ə ŋ
seëning	s ɪ ə̯ n ə ŋ
sfinks	s f ə ŋ k s
siek	s i k
siekehuis	s i k ə ɦ œ i̯ s
sieker	s i k ə r
siektekiem	s i k t ə k i m
sien	s i n
sierwa	s i r v ɑː
siet	s i t
sigbaar	s ə χ b ɑː r
siklus	s i k l œ s
silwer	s ə l v ə r
sin	s ə n
sing	s ə ŋ
sink	s ə ŋ k
sinsbou	s ə n s b œ u̯
sirkel	s ə r k ə l
sirkus	s ə r k œ s
sit	s ə t
sitkamer	s ə t k ɑː m ə r
sjokolade	ʃ ʊ ə̯ k ʊ ə̯ l ɑː d ə
skaamte	s k ɑː m t ə
skaamteloos	s k ɑː m t ə l ʊ ə̯ s
skaap	s k ɑː p
skaars	s k ɑː r s
skaatsplank	s k ɑ t s p l a ŋ k
skadu	s k ɑː d y
skaduwee	s k ɑː d y v i ə̯
skandelik	s k a n d ə l ə k
skare	s k ɑː r ə
skarminkel	s k a r m ə ŋ k ə l
skat	s k a t
skedel	s k ɪ ə̯ d ə l
skeldparty	s k ɛ l p a r t ə i̯
skiet	s k i t
skildery	s k ə l d ə r ə i̯
skim	s k ə m
skip	s k ə p
skipbreuk	s k ə p b r ɪ ø k
skoen	s k u n
skool	s k ʊ ə̯ l
skoolmaat	s k ʊ ə̯ l m ɑː t
skoolvoeding	s k ʊ ə̯ l f u d ə ŋ
skoon	s k ʊ ə̯ n
skoorsteen	s k ʊ ə̯ r s t ɪ ə̯ n
skoot	s k ʊ ə t
skootrekenaar	s k ʊ ə t r ɪ ə̯ k ə n ɑː r
skottel	s k ɔ t ə l
skottelgoed	s k ɔ t ə l χ u t
skrif	s k r ə f
skroef	s k r u f
skroewe	s k r u v ə
skrywer	s k r ə i̯ v ə r
skuld	s k œ l t
skuldig	s k œ l d ə χ
skuldige	s k œ l d ə χ ə
skurk	s k œ r k
skyf	s k ə i f
skêr	s k ɛː r
slaaf	s l ɑː f
slaan	s l ɑː n
slaapkamer	s l ɑː p k ɑː m ə r
slaat	s l ɑː t
slagoffer	s l a χ ɔ f ə r
slak	s l a k
slank	s l a ŋ k
slavin	s l ɑː v ə n
slawe	s l ɑː v ə
sleutel	s l ɪ ø t ə l
sloep	s l u p
sluit	s l œ i t
slurp	s l œ r p
smeltkroes	s m ɛ l t k r u s
smid	s m ə t
smokkelhuis	s m ɔ k ə l ɦ œ i̯ s
smokkie	s m ɔ k i
smous	s m œ u̯ s
snaaks	s n ɑː k s
snags	s n a χ s
snawel	s n ɑː v ə l
sneeu	s n i u
snert	s n ɛ r t
snik	s n ə k
snoek	s n u k
snoeker	s n u k ə r
snol	s n ɔ l
snorkel	s n ɔ r k ə l
so	s ʊ ə̯
sodoende	s ʊ ə̯ d u n d ə
soe	s u
soen	s u n
soet	s u t
soewerein	s u ʋ ə r ə i n
soewereiniteit	s u ʋ ə r ə i n i t ə i t
sog	s ɔ χ
sok	s ɔ k
soldaat	s ɔ l d ɑː t
solder	s ɔ l d ə r
somers	s ʊ ə̯ m ə r s
sommer	s ɔ m ə r
soms	s ɔ m s
son	s ɔ n
sondaar	s ɔ n d ɑː r
sondares	s ɔ n d ɑː r ɛ s
sonder	s ɔ n d ə r
sonneblom	s ɔ n ə b l ɔ m
sonnig	s ɔ n ə χ
soontoe	s ʊ ə̯ n t u
soos	s ʊ ə s
sorg	s ɔ r χ
sou	s œ u
sous	s œ u̯ s
sout	s œ u̯ t
spaarsamig	s p ɑː r s ɑː m ə χ
spaarvark	s p ɑː r f a r k
spaarwiel	s p ɑː r v i l
speel	s p ɪ ə̯ l
speelgrond	s p ɪ ə l χ r ɔ n t
spel	s p ɛ l
speld	s p ɛ l t
spelonk	s p ə l ɔ n k
spelonk	s p ɪ ə̯ l ɔ n k
spieël	s p iː l
spieëls	s p iː l s
splinternuut	s p l ə n t ə r n y t
spoedbult	s p u t b œ l t
spoel	s p u l
spook	s p ʊ ə̯ k
spoorlyn	s p ʊ ə̯ r l ə i̯ n
spoorweg	s p oː r w ɛ χ
spraakvryheid	s p r ɑː k f r ə i̯ ɦ ə i̯ t
spreektaal	s p r ɪ ə̯ k t ɑː l
spyker	s p ə i̯ k ə r
spyskaart	s p ɛ i̯ s k aː r t
staafkode	s t ɑː f k ʊ ə̯ d ə
staal	s t ɑː l
staan	s t ɑː n
staat	s t ɑː t
staatshoof	s t ɑː t s ɦ ʊ ə̯ f
stad	s t a t
stadsaal	s t a t s ɑː l
stadspoort	s t a t s p ʊ ə̯ r t
staking	s t ɑː k ə ŋ
stam	s t a m
standbeeld	s t a n t b ɪ ə̯ l t
stasie	s t ɑː s i
steekproef	s t ɪ ə̯ k p r u f
steen	s t ɪ ə̯ n
steenkool	s t ɪ ə̯ n k ʊ ə̯ l
stem	s t ɛ m
ster	s t ɛ r
stewel	s t i ə̯ v ə l
stigting	s t ə χ t ə ŋ
stillewe	s t ə l l ɪ ə̯ v ə
stilte	s t ə l t ə
stoel	s t u l
stoep	s t u p
stof	s t ɔ f
stofpad	s t ɔ f p a t
stok	s t ɔ k
stokkielekker	s t ɔ k i l ɛ k ə r
stol	s t ɔ l
stoom	s t ʊ ə̯ m
stoomroller	s t ʊ ə̯ m r ɔ l ə r
storm	s t ɔ r m
stowwe	s t ɔ v ə
straal	s t r ɑː l
straat	s t r ɑː t
straatvrou	s t r ɑː t f r œ u̯
strand	s t r a n t
streek	s t r ɪ ə̯ k
streekliteratuur	s t r ɪ ə̯ k l i t ə r a t y r
strek	s t r ɛ k
strepieskode	s t r ɪ ə̯ p i s k ʊ ə̯ d ə
strik	s t r ə k
stront	s t r ɔ n t
stroop	s t r u ə p
stroopwafel	s t r ʊ ə̯ p v ɑː f ə l
struikelblok	s t r œ i̯ k ə l b l ɔ k
strydwa	s t r ə i t v ɑː
stug	s t œ χ
stuk	s t œ k
subsidie	s œ p s i d i
sug	s œ χ
suid	s œ i t
suidwaarts	s œ i̯ t v ɑː r t s
suig	s œ i χ
suigstokkie	s œ i̯ χ s t ɔ k i
suiker	s œ i̯ k ə r
sus	s œ s
suster	s œ s t ə r
suur	s y r
swaan	s v ɑː n
swaartekrag	s v ɑː r t ə k r a χ
sweep	s v ɪ ə̯ p
sweet	s v ɪ ə̯ t
swembad	s v ə m b a t
swembad	s v ɛ m b a t
swyn	s w ə i̯ n
sy	s ə i
syfer	s ə i f ə r
sê	s ɛː
sôe	s oː ə
taal	t ɑː l
taalbeleid	t ɑː l b ə l ə i̯ t
taalgeleerde	t ɑː l χ ə l ɪ ə̯ r d ə
tabernakel	t a b ə r n ɑː k ə l
tafel	t ɑː f ə l
takbok	t a k b ɔ k
taktiek	t a k t i k
tale	t ɑː l ə
tamatie	t a m ɑː t i
tandeborsel	t a n d ə b ɔ r s ə l
tandepasta	t a n d ə p a s t a
tandepasta	t a n ə p a s t a
te	t ə
teater	t ɪ ə̯ ɑː t ə r
tee	t ɪ ə̯
teef	t i ə f
teekoppie	t ɪ ə̯ k ɔ p i
teel	t i ə̯ l
teen	t ɪ ə n
teenoor	t ɪ ə̯ n ʊ ə̯ r
teerpad	t ɪ ə̯ r p a t
tegniek	t ɛ χ n i k
tegnologies	t ɛ χ n ʊ ə̯ l ʊ ə̯ x i s
teiken	t ə i̯ k ə n
teken	t i ə̯ k ə n
tekening	t ɪ ə̯ k ə n ə ŋ
tekkie	t ɛ k i
telefoneer	t ɪ ə̯ l ə f ʊ ə̯ n ɪ ə̯ r
telefoon	t ɛ l ə f ʊ ə̯ n
telefoon	t ɪ ə̯ l ə f ʊ ə̯ n
telg	t ɛ l χ
telluur	t ɛ l y r
tiekie	t i k i
tiekieboks	t i k i b ɔ k s
tiet	t i t
tik	t ə k
tikkop	t ə k ɔ p
tjap	t ʃ a p
tjerrie	t ʃ ɛ r i
tjoef	t ʃ u f
tjommie	t ʃ ɔ m i
tjorts	t ʃ ɔ r t s
toeka	t u k a
toenadering	t u n ɑː d ə r ə ŋ
toesig	t u s ə χ
toespraak	t u s p r ɑː k
toestel	t u s t ɛ l
tong	t ɔ ŋ
tonnel	t ɔ n ə l
tooi	t oː i̯
toonbank	t ʊ ə̯ n b a ŋ k
toor	t oː r
tor	t ɔ r
toring	t ʊ ə̯ r ə ŋ
tot	t ɔ t
tou	t œ u̯
traan	t r ɑː n
tranetrekker	t r ɑː n ə t r ɛ k ə r
trap	t r a p
tree	t r ɪ ə̯
trein	t r ə i n
treindrywer	t r ə i̯ n d r ə i̯ v ə r
tronk	t r ɔ ŋ k
tuin	t œ i̯ n
tuis	t œ i̯ s
tuiste	t œ i̯ s t ə
tussen	t œ s ə n
twee	t v e ə
twee	t v ɪ ə̯
twyfel	t v ə i̯ f ə l
tyd	t œ i̯ t
u	y
ui	œ j
uit	œ i̯ t
uitdrukking	œ i̯ t d r œ k ə ŋ
uitgawe	œ i̯ t χ ɑː v ə
uithol	œ i̯ t ɦ ɔ l
uitjie	œ j k i
uitoefen	œ i t u f ə n
uitskel	œ i̯ t s k ɛ l
uitsondering	œ i̯ t s ɔ n d ə r ə ŋ
uitspraakwoordeboek	œ i̯ t s p r ɑː k v o ə̯ r d ə b u k
uitstel	œ i̯ t s t ɛ l
uittog	œ i̯ t ɔ χ
universiteit	y n i v ɛ r s i t ə i̯ t
ure	y r ə
uur	y r
uurglas	y r χ l a s
vaal	f ɑː l
vaart	f ɑː r t
vaartuig	f ɑː r t œ i̯ χ
vader	f ɑː d ə r
vakansie	f a k a n s i
val	f a l
vals	f a l s
valskerm	f a l s k ɛ r m
van	f a n
vanaand	f ə n ɑː n t
vandag	f ə n d a χ
vandeesweek	f ə n d ɪ ə̯ s v ɪ ə̯ k
vangs	f a ŋ s
vannag	f ə n a χ
vark	f a r k
vars	f a r s
vas	f a s
vat	f a t
veel	f ɪ ə l
veertig	f ɪ ə̯ r t ə χ
veiligheid	f ə i̯ l ə χ ɦ ə i̯ t
veiling	f ə i̯ l ə ŋ
vel	f ɛ l
veldbrand	f ɛ l t b r a n t
veldfliek	f ɛ l t f l i k
veldslag	f ɛ l t s l a χ
veldtog	f ɛ l t ɔ χ
ver	f ɛ r
veral	f ə r a l
veras	f ə r a s
verbeelding	f ə r b ɪ ə̯ l d ə ŋ
verbrysel	f ə r b r ə i̯ s ə l
verby	f ə r b ə i̯
verbygaan	f ə r b ə i̯ χ ɑː n
verdagte	f ə r d a χ t ə
verdrag	f ə r d r a χ
verdwyn	f ə r d w ɛ i n
verf	f ɛ r f
vergeef	f ə r χ ɪ ə̯ f
vergeet	f ə r χ ɪ ə̯ t
vergewe	f ə r χ ɪ ə̯ v ə
verhaal	f ə r ɦ ɑː l
verhoognaam	f ə r ɦ ʊ ə̯ χ n ɑː m
verhouding	f ə r ɦ œ u̯ d ə ŋ
verjaardag	f ə r j ɑː r d a χ
verjaarsdag	f ə r j ɑː r s d a χ
verjonging	f ə r j ɔ ŋ ə ŋ
verkeer	f ə r k ɪ ə r
verkenner	f ə r k ɛ n ə r
verkenning	f ə r k ɛ n ə ŋ
verlies	f ə r l i s
