'bout	b a ʊ t
arcing	ɑ ɹ k ɪ ŋ
arcing	ɑː k ɪ ŋ
arctic	ɑː k t ɪ k
arctician	ɑ ɹ k t ɪ ʃ ə n
arctogaeal	ɑ ɹ k t ə d ʒ i ə
arcturus	ɑ ɹ k t j ʊ ə ɹ ə s
arcweld	ɑ ɹ k w ɛ l d
ard	ɑː d
ardent	ɑː d ə n t
ardor	ɑː d ə
ardor	ɑː ɹ d ə ɹ
arduity	ɑː d j uː ɪ t i
arduous	ɑː d j uː ə s
arduous	ɑː d͡ʒ uː ə s
arduousness	ɑː d j uː ə s n ə s
are	ɑː ɹ
are	ə ɹ
are	ɛ ə
are	ɛː
area	ɛ ə̯ ɹ ɪ ə̯
areek	ə ɹ iː k
arefaction	æ ɹ ɪ f æ k ʃ ə n
aren'chu	ɑː n t ʃ uː
aren't	ɑː n t
arena	ə ɹ iː n ə
arenas	ə ɹ iː n ə z
areola	ə ɹ i ə l ə
areopagite	æ ɹ iː ɒ p ə ɡ a ɪ t
ares	e ə ɹ iː z
arete	æ ɹ ɪ t iː
arethusa	æ ɹ ɨ θ j uː z ə
arezzo	ə ɹ ɛ t s ə ʊ
argad'z	ɑ ɹ ɡ æ d z
argan	ɑː ɹ ɡ ə n
argent	ɑː d ʒ ə n t
argentina	ɑː d͡ʒ ə n t iː n ə
argentinan	ɑ ɹ d ʒ ɨ n t iː n ə n
argentine	ɑː d ʒ ə n t a ɪ n
argentine	ɑː d ʒ ə n t iː n
argentine	ɑː ɹ d ʒ ə n t a ɪ n
argentine	ɑː ɹ d ʒ ə n t iː n
argentinian	ɑ ɹ d ʒ ɨ n t iː n i ə n
argentinian	ɑ ɹ d ʒ ɨ n t ɪ n i ə n
argentocracy	ɑː d͡ʒ ə n t ɒ k ɹ ə s ɪ
argentry	ɑː ɹ d ʒ ə n t ɹ i
argh	ɑ ɹ ɡ
argh	ɑ ɹː
argillaceous	ɑː d ʒ ɪ l e ɪ ʃ ə s
argive	ɑː ɡ a ɪ v
argonaut	ɑː r ɡ ə n ɔː t
argot	ɑː ɡ ə ʊ
arguable	ɑː ɡ j u ə b l
argue	ɑː ɡ j uː
arguing	ɑː ɹ ɡ j u ɪ ŋ
argument	ɑː ɡ j ʊ m ə n t
argumenta	ɑː ɡ j uː m ɛ n t ə
argumentative	ɑː ɡ j ʊ m ɛ n t ə t ɪ v
arguments	ɑː ɡ j ʊ m ə n t s
argumentum	ɑː ɡ j uː m ɛ n t ə m
argute	ɑː ɡ j uː t
argutely	ɑː ɡ j uː t l i
argyle	ɑː ɡ a ɪ l
arhat	ɑː h æ t
arhythmical	e ɪ ɹ ɪ ð m ɪ k ə l
arhythmical	ə ɹ ɪ ð m ɪ k ə l
aria	ɑː ɹ ɪ ə
ariadne	æ ɹ i æ d n i
arian	ɛ ə ɹ i ə n
ariana	ɑː ɹ i æ n ə
arianism	ɛ ə ɹ ɪ ə n ɪ z ə m
arians	ɛ ə ɹ ɪ ə n z
arid	æ ɹ ɪ d
arie	ɑː ɹ i ɛ
aries	ɛ ə ɹ iː z
arietiform	ɛ ə ɹ i ɛ t ɪ f ɔː m
aright	ə ɹ a ɪ t
arikara	ə r ɪ k ə r ə
ariose	ɒ ɹ iː ə ʊ s
ariot	ə ɹ a ɪ ə t
aripple	ə ɹ ɪ p ə l
arise	ə ɹ a ɪ z
arised	ə ɹ a ɪ z d
arisen	ə ɹ ɪ z ə n
arises	ə ɹ a ɪ z ɪ z
arising	ə ɹ a ɪ z ɪ ŋ
aristaeus	æ ɹ ɨ s t iː ə s
aristarch	æ ɹ ɪ s t ɑː k
aristocracy	æ ɹ ɪ s t ɒ k ɹ ə s i
aristocrat	æ ɹ ɪ s t ə k ɹ æ t
aristocratic	æ ɹ ɪ s t ə k ɹ æ t ɪ k
aristolochic	ə ɹ ɪ s t ə l o ʊ k ɪ k
aristophanes	æ ɹ ɪ s t ɒ f ə n iː z
aristotle	æ r ɪ s t ɒ t ə l
arithmetic	æ ɹ ɪ θ m ɛ t ɪ k
arithmetic	ə ɹ ɪ θ m ə t ɪ k
arithmetician	ə ɹ ɪ θ m ə t ɪ ʃ ə n
arity	e ə ɹ ɪ t i
arity	æ ɹ ɪ t i
arius	ɛ ə ɹ i ə s
arizona	æ ɹ ɪ z ə ʊ n ə
arizonite	a ɹ ɪ z ə ʊ n ʌ ɪ t
arjun	ɑː ɹ d͡ʒ ʊ n
ark	ɑː k
arkansan	ɑː ɹ k ə n s ɔː n
arkansasan	ɑː ɹ k ə n s ɔː n
arlberg	ɑː ɹ l b ɜː ɹ ɡ
arlesey	ɑː ɹ l z i
arlo	ɑː ɹ l o ʊ
arlon	ɑ ɹ l ɔː n
arm	ɑː m
armada	ɑː m ɑː d ə
armadillo	ɑː m ə d ɪ l ə ʊ
armageddon	ɑː ɹ m ə ɡ ɛ d n̩
armagh	ɑː m ɑː
armament	ɑː ɹ m ə m ə n t
armatole	ɑː m ə t ə ʊ l
armchair	ɑː ɹ m t ʃ ɛ ə ɹ
armed	ɑː m d
armenia	ɑː m iː n i ə
armenian	ɑː m iː n i ə n
armful	ɑː m f ʊ l
armies	ɑː m i z
armiger	ɑː m ɪ d ʒ ə
armigerous	ɑː m ɪ d ʒ ə ɹ ə s
armill	ɑː m ə l
armill	ɑː m ɪ l
armistice	ɑː m ɪ s t ɪ s
armlet	ɑː m l ə t
armoire	ɑː m w ɑː
armor	ɑː m ə
armorica	ɑː m ɒ ɹ ɪ k ə
arms	ɑː m z
armshouse	ɑː m z h a ʊ s
army	ɑː m iː
arno	ɑː n ə ʊ
aroar	ə ɹ ɔː ɹ
aroint	ə ɹ ɔ ɪ n t
aroma	ə ɹ ə ʊ m ə
aromanian	æ ɹ ə ʊ m e ɪ n ɪ ə n
aromantic	e ɪ ɹ ə ʊ m a n t ɪ k
aromatase	ə ɹ o ʊ̯ m ə t e ɪ̯ s
aromatase	ə ɹ o ʊ̯ m ə t e ɪ̯ z
aromatic	æ ɹ ə m æ t ɪ k
arose	ə ɹ o ʊ z
around	ə ɹ a ʊ n d
arousal	ə ɹ a ʊ z ə l
arouse	ə ɹ a ʊ z
aroused	ə ɹ a ʊ z d
arousing	ə ɹ a ʊ z ɪ ŋ
arow	ə ɹ o ʊ
arpitan	ɑː p ɪ t æ n
arquebus	ɑː k w ɨ b ə s
arr	ɑː ɹ
arrabbiata	a ɹ ə b j ɑː t ə
arraign	ə ɹ e ɪ n
arraigned	ə ɹ e ɪ n d
arraigning	ə ɹ e ɪ n ɪ ŋ
arraignment	ə ɹ e ɪ n m ə n t
arraigns	ə ɹ e ɪ n z
arran	æ ɹ ə n
arrange	ə ɹ e ɪ n d ʒ
arranged	ə ɹ e ɪ n d ʒ d
arrangement	ə ɹ e ɪ n d͡ʒ m ə n t
arrangements	ə ɹ e ɪ n d͡ʒ m ə n t s
arranges	ə ɹ e ɪ n d ʒ ɪ z
arranging	ə ɹ e ɪ n d ʒ ɪ ŋ
arrangings	ə ɹ e ɪ n d ʒ ɪ ŋ z
arrant	æ ɹ ə n t
arras	æ ɹ ə s
array	ə ɹ e ɪ
arrayed	ə ɹ e ɪ d
arrays	ə ɹ e ɪ z
arrear	ə ɹ ɪ ə
arrears	ə ɹ ɪ ə ɹ z
arrect	ə ɹ e k t
arrest	ə ɹ ɛ s t
arrested	ə ɹ ɛ s t ɪ d
arretine	æ ɹ ɪ t a ɪ n
arrey	ə ɹ e ɪ
arrhythmia	e ɪ ɹ ɪ ð m ɪ ə
arrhythmia	ə ɹ ɪ ð m i ə
arris	æ ɹ ɪ s
arrival	ə ɹ a ɪ v ə l
arrivals	ə ɹ a ɪ v ə l z
arrive	ə ɹ a ɪ v
arrived	ə ɹ a ɪ v d
arrivederci	ə ɹ iː v ə d ɛ ə t ʃ i
arrives	ə ɹ a ɪ v z
arriving	ə ɹ a ɪ v ɪ ŋ
arrivisme	æ ɹ ɪ v ɪ z ə m
arriviste	æ ɹ ɪ v iː s t
arrogance	æ ɹ o ʊ ɡ ə n s
arrogance	æ ɹ ə ɡ ə n s
arrogancy	a ɹ ə ɡ ə n s i
arrogant	æ ɹ ə ɡ ə n t
arrove	ə ɹ ə ʊ v
arrow	æ ɹ ə ʊ
arrowmaker	æ ɹ ə ʊ m e ɪ k ə ɹ
arrowroot	æ ɹ ə ʊ ɹ uː t
arrows	æ ɹ ə ʊ z
arroyo	ə ɹ ɔ ɪ ə ʊ
arsaces	ɑː s e ɪ s i z
arsaces	ɑː s ə s i z
arsacid	ɑ ɹ s ə s ɪ d
arse	ɑː s
arsecheek	ɑː s t ʃ i k
arsed	ɑː s t
arsedine	ɑː ɹ s ə d a ɪ n
arsedine	ɑː ɹ s ə d i n
arsenal	ɑː ɹ s n ə l
arsenal	ɑː ɹ s ə n ə l
arsenic	ɑː ɹ s ə n ɪ k
arsenic	ɑː ɹ s ɛ n ɪ k
arsenical	ɑː s ɛ n ɪ k l̩
arsesmart	ɑː s m ɑː t
arson	ɑː s ə n
arsonist	ɑː s ə n ɪ s t
arsphenamine	ɑː s f ɛ n ə m a ɪ n
arsphenamine	ɑː s f ɛ n ə m iː n
art	ɑː t
artaxerxes	ɑː t ə ɡ z ɜː k s iː z
artel	ɑː t ɛ l
artemisia	ɑː t ɪ m ɪ z ɪ ə
artemisinin	ɑː t ɪ m iː s ɪ n ɪ n
artery	ɑː t ə ɹ i
artesia	ɑː t iː ʒ ə
artesian	ɑː t iː ʒ ə n
artful	ɑː ɹ t f ə l
arthen	ɑː ɹ ð ə n
arthralgia	ɑː θ ɹ æ l d ʒ i ə
arthritic	ɑː ɹ θ ɹ ɪ t ɪ k
arthritis	ɑː ɹ θ ɹ a ɪ t ɪ s
arthropodean	ɑː θ ɹ ə p ɒ d iː ə n
arthur	ɑː θ ə ɹ
article	ɑː t ɪ k ə l
articles	ɑː t ɪ k ə l z
articulate	ɑː ɹ t ɪ k j ʊ l e ɪ t
articulate	ɑː ɹ t ɪ k j ʊ l ə t
articulation	ɑː t ɪ k j ə l e ɪ ʃ ə n
artifact	ɑː t ɪ f æ k t
artifice	ɑː ɹ t ɪ f ɪ s
artificer	ɑ ɹ t ɪ f ə s ə ɹ
artificial	ɑː ɹ t ə f ɪ ʃ ə l
artificiality	ɑː ɹ t ɪ f ɪ ʃ i æ l ɪ t i
artillery	ɑː t ɪ l ə ɹ i
artiodactyl	ɑː t ɪ ə ʊ d a k t ɪ l
artisan	ɑː ɹ t ɪ z æ n
artisan	ɑː ɹ t ɪ z ə n
artisanal	ɑː t ɪ z ə n ə l
artist	ɑː t ɪ s t
artistic	ɑː t ɪ s t ɪ k
artists	ɑː t ɪ s t s
artless	ɑ ɹ t l ɪ s
arts	ɑː t s
artwork	ɑː t w ɜː k
aruba	ə ɹ uː b ə
arum	ɛ ə ɹ ə m
arundel	æ ɹ ə n d ə l
arvanite	ɑː v ə n a ɪ t
arvanitic	ɑː v ə n ɪ t ɪ k
arvanitika	ɑː v ə n ɪ t ɪ k ə
arverni	ɑː r v ɜː r n a ɪ
arvo	ɑː ɹ v ə ʊ
arwel	ɑː ɹ w ə l
arwel	ɑː ɹ w ɛ l
arytenoid	a ɹ ɪ t iː n ɔ ɪ d
arête	ə ɹ e ɪ t
arête	ə ɹ ɛ t
as	e ɪ z
as	æ s
as't	æ z t
asac	e ɪ s æ k
asafoetida	æ s ə f ɛ t ɪ d ə
asail	ə s e ɪ l
asana	ɑː s ə n ə
asap	e ɪ s æ p
asap	e ɪ ɛ s e ɪ p i
asbestos	æ s b ɛ s t ɒ s
asbestos	æ s b ɛ s t ə s
asbestos	æ z b ɛ s t ə s
asbestosis	æ s b ɛ s t ə ʊ s ɪ s
asbo	æ z b ə ʊ
ascanius	æ s k e ɪ n i ə s
ascend	ə s ɛ n d
ascendant	ə s ɛ n d ə n t
ascended	ə s ɛ n d ɪ d
ascending	ə s ɛ n d ɪ ŋ
ascent	ə s ɛ n t
ascertain	æ s ə t e ɪ n
ascertainable	æ s ə t e ɪ n ə b l̩
ascertained	æ s ə t e ɪ n d
asceses	ə s iː s iː z
ascesis	ə s iː s ɪ s
ascetic	ə s ɛ t ɪ k
ascii	æ s k i
asclepius	æ s k l iː p i ə s
asclepius	ə s k l iː p i ə s
ascot	æ s k ə t
ascribe	ə s k ɹ a ɪ b
ascribed	ə s k ɹ a ɪ b d
ascribes	ə s k ɹ a ɪ b z
ascribing	ə s k ɹ a ɪ b ɪ ŋ
asea	ə s iː
asean	æ z i ɑ n
asean	ɑ z i ɑ n
asearch	ə s ɜː ɹ t ʃ
aseity	ə s iː ɪ t i
asenath	æ s ɪ n æ θ
aseptic	ə s ɛ p t ɪ k
asgard	æ s ɡ ɑ ɹ d
asgard	æ z ɡ ɑ ɹ d
asgard	ɑ s ɡ ɑ ɹ d
asgard	ɑ z ɡ ɑ ɹ d
ash	æ ʃ
ashake	ə ʃ e ɪ k
ashame	ə ʃ e ɪ m
ashamed	ə ʃ e ɪ m d
ashanti	ə ʃ æ n t iː
ashanti	ə ʃ ɑː n t iː
ashed	æ ʃ t
ashen	æ ʃ ɪ n
asher	æ ʃ ə
asherah	ə ʃ iː ɹ ə
ashes	æ ʃ ɪ z
ashfield	æ ʃ f iː l d
ashford	æ ʃ f ə d
ashine	ə ʃ a ɪ n
ashiver	ə ʃ ɪ v ə ɹ
ashkenazi	æ ʃ k ɪ n ɑː z i
ashkenazi	æ ʃ k ɪ n ə z iː
ashkenazim	æ ʃ k ɪ n ɑː z ɪ m
ashkenazim	æ ʃ k ɪ n ə z ɪ m
ashlar	æ ʃ l ə
ashoka	ə ʃ ə ʊ k ə
ashore	ə ʃ ɔː
ashplant	æ ʃ p l æ n t
ashton	æ ʃ t ə n
ashtray	æ ʃ t ɹ e ɪ
ashtray	æ ʃ t ʃ ɹ e ɪ
ashwagandha	ʌ ʃ w ə ɡ ʌ n d ə
ashwick	æ ʃ w ɪ k
ashy	æ ʃ i
asia	e ɪ ʃ ə
asia	e ɪ ʒ ə
asian	e ɪ ʃ ə n
asian	e ɪ ʒ ə n
asiatic	e ɪ̯ ʒ i æ t ɪ k
aside	ə s a ɪ d
asides	ə s a ɪ d z
asinine	æ s ə n a ɪ n
asinine	æ s ɪ n a ɪ n
ask	ɑː s k
askance	ə s k æ n s
askance	ə s k ɑː n s
asked	ɑː s k t
asker	ɑː s k ə
askers	ɑː s k ə z
askeses	ə s k iː s iː z
askesis	ə s k iː s ɪ s
askew	ə s k j uː
asking	ɑː s k ɪ ŋ
asks	ɑː s k s
asleep	ə s l iː p
asmara	æ s m ɑː ɹ ə
asmear	ə s m ɪ ə ɹ
asmrtist	e ɪ ɛ s ɛ m ɑː t ɪ s t
asnarl	ə s n ɑː ɹ l
asnort	ə s n ɔː ɹ t
asoak	ə s o ʊ k
asocial	e ɪ s ə ʊ ʃ ə l
asonia	ə s o ʊ n i ə
asp	æ s p
asparaginyl	æ s p ə ɹ æ d ʒ ɪ n ə l
asparagus	ə s p æ ɹ ə ɡ ə s
aspartame	ə s p ɑː t e ɪ m
aspartamine	æ s p ɑː ɹ t ə m iː n
aspartyl	ə s p ɑː t ə l
aspec	e ɪː s p ɛ k
aspect	æ s p ɛ k t
aspectable	æ s p ɛ k t ə b ə l
aspects	æ s p ɛ k t s
aspen	æ s p ə n
asper	æ s p ə
asperate	æ s p ə ɹ e ɪ t
asperate	æ s p ə ɹ ə t
asperger	æ s p ɜː ɹ ɡ ə ɹ
aspergillum	æ s p ə ɹ d ʒ ɪ l ə m
asperitas	æ s p ɛ ɹ ɪ t a s
asperitas	æ s p ɛ ɹ ɪ t æ s
asperity	ə s p ɛ ɹ ɪ t i
asperse	ə s p ɜː s
aspersory	ə s p ɜː s ə ɹ ɪ
asphalt	æ s f æ l t
asphalt	æ s f ɔː l t
asphalt	æ s f ə l t
asphalt	æ ʃ f æ l t
asphalt	æ ʃ f ɔː l t
asphalt	æ ʃ f ə l t
aspheterism	ə s f ɛ t ə ɹ ɪ z ə m
asphodel	æ s f ə d ɛ l
aspic	æ s p ɪ k
aspidospondylous	æ s p ɪ d ə ʊ s p ɒ n d ɪ l ə s
aspie	æ s p i
aspien	æ s p i ə n
aspirant	æ s p ə ɹ ə n t
aspirate	æ s p ə ɹ e ɪ t
aspirate	æ s p ə ɹ ə t
aspirate	æ s p ə ɹ ɪ t
aspirate	æ s p ɪ ɹ e ɪ t
aspirate	æ s p ɪ ɹ ə t
aspirationalism	æ s p ə ɹ e ɪ ʃ ə n ə l ɪ z ə m
aspire	ə s p a ɪ ə ɹ
aspirin	æ s p ɪ ɹ ɪ n
aspirin	æ s p ɹ ɪ n
aspis	æ s p ɪ s
asplode	ə s p l o ʊ d
aspout	ə s p ɹ a ʊ t
asprawl	ə s p ɹ ɔː l
aspread	ə s p ɹ ɛ d
asprout	ə s p ɹ a ʊ t
asquat	ə s k w ɒ t
asquint	ə s k w ɪ n t
ass	æ s
assail	ə s e ɪ l
assailable	ə s e ɪ l ə b l̩
assailant	ə s e ɪ l ə n t
assam	æ s æ m
assam	ə s ɒ m
assart	ə s ɑː ɹ t
assassin	ə s æ s ɪ n
assassinate	ə s a s ɪ n e ɪ t
assassination	ə s æ s ɪ n e ɪ ʃ ə n
assassinatrices	ə s æ s ɪ n e ɪ t ɹ ɪ s iː z
assassinatrix	ə s æ s ɪ n e ɪ t ɹ ɪ k s
assassins	ə s æ s ɪ n z
assault	ə s ɔː l t
assay	æ s e ɪ
assay	ə s e ɪ
asscheek	æ s t ʃ i k
asse	æ s
assegai	æ s ə ɡ a ɪ
assemble	ə s ɛ m b l̩
assembled	ə s ɛ m b l̩ d
assembler	ə s ɛ m b ə l ɚ
assembly	ə s ɛ m b l ɪ
assent	ə s ɛ n t
assented	ə s ɛ n t ɪ d
assert	ə s ɜː t
asserted	ə s ɜː t ɪ d
assertion	ə s ɜː ʃ ə n
assertory	ə s ɜː ɹ t ə ɹ i
asses	æ s ɪ z
assess	ə s ɛ s
assessed	ə s ɛ s t
assesses	ə s ɛ s ɪ z
assessing	ə s ɛ s ɪ ŋ
asset	æ s ɪ t
assets	æ s e t s
asseveration	æ s ɛ v ə ɹ e ɪ ʃ ə n
asseveration	ə s ɛ v ə ɹ e ɪ ʃ ə n
assibilation	ə s ɪ b ɪ l e ɪ ʃ ə n
assiduous	ə s ɪ d j uː ə s
assign	ə s a ɪ n
assignable	ə s a ɪ n ə b l̩
assignat	a s ɪ n j a
assignat	a s ɪ ɡ n a t
assignation	æ s ɪ ɡ n e ɪ ʃ ə n
assigned	ə s a ɪ n d
assimilate	ə s ɪ m ɪ l e ɪ t
assimilation	ə s ɪ m ə l e ɪ ʃ ə n
assish	æ s ɪ ʃ
assist	ə s ɪ s t
assistance	ə s ɪ s t ə n s
assistant	ə s ɪ s t ə n t
assisted	ə s ɪ s t ɪ d
assisting	ə s ɪ s t ɪ ŋ
assistive	ə s ɪ s t ɪ v
assists	ə s ɪ s t s
assize	ə s a ɪ z
associate	ə s ə ʊ s i e ɪ t
associate	ə s ə ʊ s i ə t
associate	ə s ə ʊ ʃ i e ɪ t
associate	ə s ə ʊ ʃ i ə t
associated	ə s ə ʊ s i e ɪ t ɪ d
associated	ə s ə ʊ ʃ i e ɪ t ɪ d
associates	ə s ə ʊ s i e ɪ t s
associates	ə s ə ʊ s i ə t s
associates	ə s ə ʊ ʃ i e ɪ t s
associates	ə s ə ʊ ʃ i ə t s
association	ə s ə ʊ s i e ɪ ʃ ə n
association	ə s ə ʊ ʃ i e ɪ ʃ ə n
associations	ə s ə ʊ s i e ɪ ʃ ə n z
associations	ə s ə ʊ ʃ i e ɪ ʃ ə n z
assoil	ə s ɔ ɪ l
assoilzie	ə s ɔ ɪ l i
assonance	æ s ə n ə n s
assort	ə s ɔː t
assortment	ə s ɔː t m ə n t
assot	ə s ɒ t
asstastic	æ s t æ s t ɪ k
assuage	ə s w e ɪ d ʒ
assuagement	ə s w e ɪ d͡ʒ m ə n t
assume	ə s j uː m
assuming	ə s j uː m ɪ ŋ
assuming	ə s uː m ɪ ŋ
assumpt	ə s ʌ m p t
assumption	ə s ʌ m p ʃ ə n
assurance	ə ʃ ɔː ɹ ə n s
assurance	ə ʃ ʊ ə ɹ ə n s
assure	ə ʃ ɔː
assure	ə ʃ ʊ ə
assured	ə ʃ ɔː d
assured	ə ʃ ʊ ə d
assuredly	ə ʃ ɔː ɹ ɪ d l i
assuredly	ə ʃ ʊ ə ɹ ɪ d l i
assyria	ə s ɪ ɹ i ə
assyrian	ə s ɪ ɹ i ə n
assyrogenous	æ s ɪ ɹ ɒ d ʒ ɪ n ə s
assythment	ə s ʌ ɪ ð m ə n t
astana	ə s t ɑː n ə
astand	ə s t æ n d
astare	ə s t ɛ ə ɹ
astart	ə s t ɑː ɹ t
astatine	a s t ə t iː n
astay	ə s t e ɪ
aster	æ s t ə ɹ
asterisk	æ s t ə ɹ ɪ s k
asterisk	æ s t ɹ ɪ s k
asterism	a s t ə ɹ ɪ z ə m
asterix	æ s t ə ɹ ɪ k s
astern	ə s t ɜː n
asteroid	æ s t ə ɹ o ɪ d
asteroids	æ s t ə ɹ o ɪ d z
asterostromelloid	æ s t ə ɹ ə ʊ s t ɹ ə ʊ m ə l ɔ ɪ d
asthenia	æ s θ iː n ɪ ə
asthenospermia	æ s θ ə n ə ʊ s p ɜː ɹ m i ə
asthenospermic	æ s θ ə n ə ʊ s p ɜː ɹ m ɪ k
asthenosphere	a s θ ɛ n ə ʊ s f ɪ ə
asthma	a s m ə
asthma	a s θ m ə
asthma	a θ s m ə
astichous	æ s t ɪ k ə s
astipulate	ə s t ɪ p j ʊ l e ɪ t
astir	ə s t ɜː ɹ
astonied	ə s t ɑ n i d
astonish	ə s t ɒ n ɪ ʃ
astonishing	ə s t ɒ n ɪ ʃ ɪ ŋ
astonishment	ə s t ɒ n ɪ ʃ m ə n t
astony	ə s t ɒ n i
astoop	ə s t uː p
astound	ə s t a ʊ n d
astraddle	ə s t ɹ æ d ə l
astraea	æ s t ɹ iː ə
astraeus	ə s t ɹ iː ə s
astrain	ə s t ɹ e ɪ n
astrakhan	æ s t ɹ ə k æ n
astrand	ə s t ɹ æ n d
astream	ə s t ɹ iː m
astrid	æ s t ɹ ɪ d
astride	ə s t ɹ a ɪ d
astringence	ə s t ɹ ɪ n d ʒ ə n s
astringency	ə s t ɹ ɪ n d ʒ ə n s i
astrionics	æ s t ɹ i ɒ n ɪ k s
astripotent	æ s t ɹ ɪ p ə t ə n t
astripotent	ə s t ɹ ɪ p ə t ə n t
astroanthropology	æ s t ɹ ə æ n θ ɹ ə p ɑː l ə d ʒ i
astroarchitecture	æ s t ɹ ə ɑ ɹ k ə t ɛ k t ʃ ɚ
astrobleme	æ s t ɹ ə ʊ b l iː m
astrobotany	æ s t ɹ ə b ɒ t ə n ɪ
astrogeography	æ s t ɹ ə d ʒ ɪ ɒ ɡ ɹ ə f i
astrogeometry	æ s t ɹ ə d ʒ iː ɑ m ɛ t ɹ i
astrohistory	æ s t ɹ ə h ɪ s t ə ɹ i
astrolabe	æ s t ɹ ə l e ɪ b
astrolinguistics	æ s t ɹ ə l ɪ ŋ ɡ w ɪ s t ɪ k s
astrology	ə s t ɹ ɒ l ə d ʒ i
astromancy	æ s t ɹ ɵ m æ n s i
astrometry	ə s t ɹ ɒ m ə t ɹ i
astronaut	æ s t ɹ ə n ɔː t
astronomer	ə s t ɹ ɒ n ə m ə
astronomical	æ s t ɹ ə n ɒ m ɪ k ə l
astrophilosophy	æ s t ɹ ə f ɪ l ɒ s ə f i
astrotechnology	ə s t ɹ ɑ t ɛ k n ɒ l ə d ʒ i
astrotypic	æ s t ɹ ə ʊ t ɪ p ɪ k
astrozoology	æ s t ɹ ə z ə ʊ ɒ l ə d ʒ i
astrut	ə s t ɹ ʌ t
asturian	æ s t ʊ ə ɹ i ə n
asturian	ə s t j ʊ ə ɹ i ə n
asturias	æ s t ʊ ə ɹ i ə s
asturias	ə s t j ʊ ə ɹ i ə s
astute	ə s t j uː t
astyages	æ s t a ɪ ə d͡ʒ iː z
asunción	ə s uː n s i ɒ n
asunción	ə s uː n s i ə ʊ n
asunder	ə s ʌ n d ə
aswan	a s w ɑː n
aswarm	ə s w ɔː ɹ m
asweat	ə s w ɛ t
asweve	ə s w iː v
aswim	ə s w ɪ m
aswing	ə s w ɪ ŋ
aswirl	ə s w ɜː ɹ l
aswoon	ə s w uː n
asylum	ə s a ɪ l ə m
asylums	ə s a ɪ l ə m z
asymmetry	e ɪ s ɪ m ɪ t ɹ i
asymptotic	æ s ə m p t ɑ t ɪ k
asymptotic	æ s ə m p t ɒ t ɪ k
asynartetic	ə s ɪ n ɑː t ɛ t ɪ k
asynchronous	e ɪ s ɪ ŋ k ɹ ə n ə s
atabal	æ t ə b ɑː l
ataman	æ t ə m ə n
ataraxic	æ t ə ɹ æ k s ɪ k
ataraxy	a t ə ɹ a k s i
atari	ə t ɑː ɹ i
atatürk	a t ə t ɜː k
atavism	æ t ə v ɪ z ə m
atavistic	æ t ə v ɪ s t ɪ k
ataxia	e ɪ t æ k s ɪ ə
ataxia	ə t æ k s ɪ ə
ataxy	e ɪ t æ k s i
ate	e ɪ t
ate	ɛ t
atelectasis	æ t ɪ l ɛ k t ə s ɪ s
atelier	æ t ə l j e ɪ
atelier	ə t ɛ l i e ɪ
atelier	ə t ɛ l j e ɪ
atelophobia	ə t ɛ l ə f ə ʊ b ɪ ə
atend	ə t ɛ n d
atenolol	ə t ɛ n ə l ɒ l
athame	ɑː θ ɑː m e ɪ
athame	ə θ ɑː m e ɪ
athanasius	æ θ ə n e ɪ z i ə s
athanasius	æ θ ə n e ɪ ʃ ə s
athanasy	ə θ æ n ə s ɪ
athanor	æ θ ə n ɔː
atheism	e ɪ θ i ɪ z ə m
atheist	e ɪ θ i ɪ s t
athel	e ɪ θ ə l
athel	æ θ ə l
atheling	æ ð ə l ɪ ŋ
athelstan	æ θ e l s t æ n
athematic	æ θ iː m æ t ɪ k
athena	ə θ iː n ə
athenaeum	a θ ɪ n iː ə m
athenian	ə θ iː n i ə n
athenianism	ə θ iː n i ə n ɪ z ə m
athenians	ə θ iː n i ə n z
athens	æ θ ə n z
atheophobia	e ɪ θ i o ʊ f o ʊ b i ə
athermic	e ɪ θ ɜ ɹ m ɪ k
athetesis	æ θ ɪ t iː s ɪ s
athirst	ə θ əː s t
athlete	æ θ l iː t
athletic	æ θ l ɛ t ɪ k
athletics	æ θ l ɛ t ɪ k s
athos	æ θ ɒ s
athrill	ə θ ɹ ɪ l
athrob	ə θ ɹ ɒ b
athwart	ə θ w ɔː ɹ t
athymia	ə θ a ɪ m i ə
atikamekw	ə t ɪ k ə m ɛ k
atingle	ə t ɪ ŋ ɡ ə l
atinkle	ə t ɪ ŋ k ə l
atiptoe	ə t ɪ p t o ʊ
atlanta	æ t l æ n t ə
atlantean	æ t l ə n t iː ə n
atlantean	ə t l æ n t i ə n
atlantes	ə t l a n t iː z
atlantic	ə t l æ n t ɪ k
atlantis	ə t l æ n t ə s
atlas	æ t l ə s
atlas	æ t l ɪ s
atlatl	a t l a t ə l
atlatlist	ɑ t l ɑ t l̩ ɪ s t
atman	ɑː t m a n
atmosphere	æ t m ə s f ɪ ə ɹ
atmospheric	æ t m ə s f ɛ ɹ ɪ k
atocia	ə t ə ʊ ʃ ɪ ə
atoll	æ t ɒ l
atoll	ə t ɒ l
atoltivimab	æ t ɒ l t ɪ v ɪ m æ b
atom	a t ə m
atomic	ə t ɒ m ɪ k
atomist	æ t ə m ɪ s t
atompunk	æ t ə m p ʌ ŋ k
atoms	a t ə m z
atomy	æ t ə m i
atonal	e ɪ t ə ʊ n ə l
atone	ə t ə ʊ n
atonement	ə t o ʊ n m ə n t
atonic	e ɪ t ɒ n ɪ k
