ং	ŋ
বন্ধে	b ɒ n d̪ʱ e
বন্যা	b ɔ nː a
বয়রা	b ɒ e̯ ɾ a
বরফ	b ɔ r ɔ f
বরফ	b ɔ r ɔ pʰ
বলা	b ɔ l a
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বস্তু	b ɔ s t̪ u
বহেড়া	b ɔ h e ɽ a
বা	b ɑ
বাঁচাও	b ã c a o
বাঁদর	b ã d̪ ɔ ɾ
বাঁদর	b ã d̪ ɔ ɹ
বাঁশি	b ã ʃ i
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বাংলাদেশি	b a ŋ l a d̪ e ʃ i
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাঃ	b aʱ
বাইট	b a i ʈ
বাইত্যা	b a i t̪ t̪ a
বাইরাগ	b a i ɾ a ɡ
বাকি	b a k i
বাকী	b a k i
বাগ	b a ɡ
বাগান	b a ɡ a n
বাগিচা	b a ɡ i t ʃ a
বাঘ	b a ɡ
বাঘ	b a ɡʱ
বাঙালি	b a ŋ a l i
বাজ	b a z
বাজ	b a d ʒ
বাজ	b a d ʒ
বাজার	b a z a ɾ
বাজার	b a d ʒ a ɾ
বাত	b a t̪
বাত্তি	b a t̪ t̪ i
বাদ	b a d̪
বাদশাহ	b a d̪ ʃ a ɦ
বাদুড়	b a d̪ u ɽ
বাদুড়	b a d̪ u ɹ
বান	b a n
বানর	b a n ɔ ɾ
বানর	b a n ɔ ɹ
বান্দর	b a n d̪ ɔ ɾ
বান্দর	b a n d̪ ɔ ɹ
বাবা	b a b a
বাবুর্চি	b a b u r t ʃ i
বারি	b a ɾ i
বাল	b a l
বালিশ	b a l i ʃ
বাহ	b aʱ
বাহির	b a ɦ i ɾ
বিচইন	b i t͡s ɔ i n
বিচইন	b i s ɔ i n
বিছনা	b i s n a
বিজ্ঞান	b i ɡː æ n
বিজ্ঞাপন	b i ɡ j a p ɔ n
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশী	b i d̪ e ʃ i
বিনা	b i n a
বিন্দু	b i n d̪ u
বিবাদ	b i b ɑ d̪
বিভাগ	b i bʱ ɑ ɡ
বিভাগ	b i v ɑ ɡ
বিমানবন্দর	b i m ɑ n b ɔ n d̪ ɔ ɾ
বিয়াল	b i a l
বিরুদ্ধে	b i r u d̪ːʱ e
বিলাই	b i l a i
বিল্ব	b i lː ɔ
বিশেষজ্ঞ	b i ʃ e ʃ ɔ ɡ ɡ ɔ
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː õ
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː õ
বিশ্বভারতী	b i ʃ ʃ ɔ bʱ ɑ ɾ ɔ t̪ i
বিশ্বভারতী	b i s̠ː o bʱ ä ɾ o t̪ i
বিশ্বভারতী	b i s̠ː o bʱ ä ɾ o t̪ i
বিশ্রী	b i s ɾ i
বিষ	b i ʃ
বিসর্গ	b i ʃ o r ɡ o
বীচি	b i t ʃ i
বীচি	b i t s i
বীচি	b i s i
বুড়	b u ɾ
বুভুক্ষা	b u bʱ u k kʰ ɑ
বৃক্ষ	b r i k kʰ o
বেঁহা	b ɛ ɦ a
বেকুব	b e k u b
বেগুন	b e ɡ u n
বেচইন্যা	b ɛ t͡s ɔ i n n a
বেচইন্যা	b ɛ s ɔ i n n a
বেডা	b ɛ d̺ a
বেডি	b e d̺ i
বেপরোয়া	b e p ɔ r w a
বেল	b e l
বেল	b e l
বেল	b e l
বেল	b e l
বেশী	b e ʃ i
বেশুমার	b e ʃ u m ɑ ɾ
বৈঁচি	b õ ĩ̯ c i
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বোকা	b o k a
বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
বোঝা	b o d ʒʱ ɑ
বোঝা	b o d ʒ ɑ
বোঝা	b o z ɑ
বোন	b o n
বোরকা	b o ɾ k ɑ
বোরকা	b o ɹ k ɑ
বোস	b o ʃ
ব্যক্তি	b æ k t̪ i
ব্যস্ত	b ɛ s t̪ ɔ
ব্যাক	b ɛ k
ব্যাঘ্র	b æ ɡʱ ɾ ɔ
ব্যাটারি	b æ ʈ̟ ɑ ɾ i
ব্যাধি	b æ dʱ i
ব্লগ	b l ɔ ɡ
ব্ল্যাকহোল	b l æ k h o l
ব্ল্যাকহোল	b l ɛ k h o l
ভ	bʱ ɔ
ভগাঙ্কুর	bʱ ɔ ɡ ɑ ŋ k u ɾ
ভগাঙ্কুর	v ɔ ɡ ɑ ŋ k u ɹ
ভয়	bʱ ɔ e̯
ভাই	bʱ a j
ভাঙা	bʱ a ŋ a
ভাঙা	v a ŋ a
ভাজা	bʱ a j a
ভাড়াইট্যা	bʱ a ɾ a i t̺ t̺ a
ভাত	bʱ a t
ভারত	bʱ a ɾ ɔ t̪
ভাল	bʱ ɑ l o
ভাল	v ɑ l o
ভালভা	v a l v a
ভালা	bʱ a l a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালো	v a l o
ভালোবাসা	bʱ a l o b a ʃ a
ভাল্লুক	bʱ a lː u k
ভাল্লুক	v a lː u k
ভাষা	bʱ a ʂ aː
ভাষা	v ɑ ʃ ɑ
ভিয়েতনাম	v i j e t̪ n a m
ভিসি	bʱ i ʃ i
ভুঁইচাল	bʱ u i t͡s a l
ভুঁইচাল	bʱ u i s a l
ভেড়া	bʱ e ɽ ɑ
ভেড়া	v e ɽ ɑ
ভেস্তা	bʱ e ʃ t̪ ɑ
ভোদা	bʱ o d̪ a
ভোদা	b o d̪ a
ভোদা	v o d̪ a
ম	m ɔ
মই	m ɔ i
মত	m ɔ t̪ o
মতি	m ɔ t̪ i
মতো	m ɔ t̪ o
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
ময়ূর	m ɔ j u ɹ
ময়ূরী	m ɔ j u ɽ i
ময়ূরী	m ɔ j u ɾ i
ময়ূরী	m ɔ j u ɹ i
মরণ	m ɒ ɹ ɒ n
মরা	m ɔ ɾ a
মরা	m ɔ ɹ a
মরিচ	m o ɾ i t ʃ
মলম	m ɔ l o m
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
মহাভারত	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
মহিলা	m ɔ ɦ i l a
মাইনষে	m a i n ʃ e
মাকড়শা	m a k ɔ ɾ ʃ ɑ
মাকড়শা	m a k ɔ ɽ ʃ ɑ
মাকড়সা	m a k ɔ ɾ ʃ ɑ
মাকড়সা	m a k ɔ ɽ ʃ ɑ
মাখন	m ɑ kʰ ɔ n
মাছ	m ɑ t ʃʰ
মাছ	m ɑ s
মাছি	m a t ʃʰ i
মাছি	m a s i
মাত	m a t̪
মাতা	m a t̪ a
মাতৃ	m ɑ t̪ ɾ i
মাতৃভাষা	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
মাথা	m a t̪ʰ a
মাদান	m a d̪ a n
মাধ্যমে	m a d̪ːʱ ɔ m e
মানষি	m a n ʃ i
মানসিক	m ɑ n ɔ ʃ i k
মানু	m a n u
মানুষ	m a n u ʃ
মাল	m ɑ l
মালূর	m a l u ɾ
মাশাআল্লাহ্	m a ʃ a a l l aʱ
মিডা	m i d̺ a
মিনসা	m i n ʃ a
মু	m u
মুকেরি	m u k e ɾ i
মুকেরি	m u k ɛ ɾ i
মুক্তা	m u k t a
মুক্তিযুদ্ধ	m u k t̪ i d͡ʒ u d̪ d̪ʱ ɔ
মুখ	m u kʰ
মুত	m u t̪
মুতা	m u t̪ ä
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
মুরহা	m u ɾ ɦ a
মুহাজির	m u h a j i r
মূত্র	m u t̪ t̪ ɾ ɔ̝ˑ
মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
মৃত্যু	m r i t̪ t̪ u
মেকুর	m ɛ k u ɾ
মেঘ	m e ɡʱ
মেঘ	m ɛ ɡʱ
মেজাজ	m e d ʒ a d ʒ
মেথী	m e tʰ i
মেয়ে	m e e
মেয়েমানুষ	m ɛ ə m ɜː n ʊ ʃ
মেহুর	m e ɦ u ɾ
মোটা	m o ʈ a
মোতি	m o t̪ i
মোরগ	m o r ɔ ɡ
মৌচাক	m o u̯ t ʃ a k
মৌল	m o u̯ l
মৌসুম	m o u ʃ u m
মৌসুমি	m o u ʃ u m i
য	d͡ʒ ɔ
য়	j ɔ
য়	e ɔ
যিরূশালেম	d͡ʒ i ɾ u ʃ a l e m
যুবক	d ʒ u b ɔ k
যুবতী	d ʒ u b ɔ t̪ i
র	r ɔ
রইদ	r ɔ i d̪
রউন	r ɔ u n
রওনা	r ɔ o n a
রওয়ানা	r ɔ w a n a
রবীন্দ্রনাথ	ɾ ɔ b i n d̪ ɾ ɔ n ɑ t̪ʰ
রবীন্দ্রনাথ	r o b i n d̪ ɾ o n ä t̪ʰ
রবীন্দ্রনাথ	r o b i n d̪ ɾ o n ä t̪ʰ
রসায়ন	ɹ o ɹ ʃ j n
রসুই	ɾ ɔ ʃ u i
রসুইঘর	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
রসুল	ɾ ɔ ʃ u l
রাং	ɾ a ŋ
রাই	ɾ a i
রাইত	ɾ a i t̪
রাজি	r a z i
রাজি	r a d ʒ i
রামায়ণ	ɾ ɑ m ɑ e̯ ɔ n
রাষ্ট্র	ɾ a ʃ ʈ ɾ ɔ
রাস্তা	ɾ a s t̪ a
রিকশা	r i k ʃ ɑ
রিশকা	r i ʃ k ɑ
রিষ্ট	ɾ i ʃ ʈ ɔ
রীতি	ɾ i t̪ i
রীতি	ɽ i t̪ i
রোগ	ɾ o ɡ
রোজা	ɾ o z a
ল	l ɔ
লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লড়া	l ɔ ɹ a
লড়া	l ɔ ɽ a
লবডঙ্কা	l ɔ b ɔ d ɔ ŋ k ɑ
লবণ	l ɔ b o n
লাইব্রেরী	l a i b ɾ e ɾ i
লাউ	l a u
লাও	l a o
লাকান	l a k a n
লাখ	l ɑː kʰ
লাভ	l a bʱ
লালা	l a l a
লাশ	l a ʃ
লাহান	l a ɦ a n
লুডা	l u d̺ a
লেবু	l e b u
শ	ʃ ɔ
শ	s ɔ
শউর	ʃ ɔ u ɾ
শউরী	ʃ ɔ u ɾ i
শক্ত	ʃ ɔ k t̪ ɔ
শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
শজারু	ʃ ɔ d͡ʒ a r u
শত	ʃ ɔ t̪ ɔ
শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
শতাংশ	ʃ ɔ t̪ ɑ ŋ ʃ ɔ
শয়তান	ʃ ɔ j t̪ a n
শরাব	s h ô r a b
শল্যচিকিৎসা	ʃ ɔ l l ɔ t͡ʃ i k i t̪ ʃ ɑ
শল্যচিকিৎসা	s̠ o lː o t͡ʃ i k i t̪ s̠ ä
শল্যচিকিৎসা	s̠ o lː o t͡ʃ i k i t̪ s̠ ä
শহর	ʃ ɔ ɦ ɔ ɾ
শহর	ʃ ɔ ɦ ɔ ɽ
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্তনু	ʃ ɑ n t̪ ɔ n u
শান্তিনিকেতন	ʃ ɑ n t̪ i n i k e t̪ ɔ n
শাবাশ	ʃ a b a ʃ
শামিয়ানা	ʃ a m i j a n a
শামুক	ʃ a m u k
শালগম	ʃ a l ɡ ɔ m
শিকার	ʃ i k a r
শিকারি	ʃ i k a r i
শিক্ষক	ʃ i k kʰ ɔ k
শিক্ষা	ʃ i kːʰ ɑ
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিখ	ʃ i kʰ
শিথান	ʃ i t̪ʰ a n
শিবদ্রুম	ʃ i b d r u m
শিরীষ	ʃ i ɾ i ʃ
শুমার	ʃ u m ɑ ɾ
শুরু	ʃ u r u
শুলফা	ʃ u l pʰ a
শেখা	ʃ e kʰ a
শৈবাল	ʃ o i̯ b a l
শৈলুষ	ʃ o i̯ l u ʃ
শোনা	ʃ o n ɑ
শ্মশান	ʃ o ʃ ɐ n
শ্মশ্রু	ʃ w ɔ ʃ ɾ u
শ্মশ্রু	ʃ õ s ʃ ɾ u
শ্যাম্পু	ʃ æ m p u
শ্রীনিকেতন	ʃ ɾ i n i k e t̪ ɔ n
শ্রীফল	s ɾ i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
শ্লেষ্মা	ʃ l e ʃ ʃ ɑ̃
ষ	ʃ ɔ
স	ʃ ɔ
স	s ɔ
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংবাদ	ʃ ɔ ŋ b ɑ d̪
সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
সঙ্গে	ʃ ɔ ŋ ɡ e
সজারু	ʃ ɔ d͡ʒ a r u
সত্য	ʃ o tː ɔ
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদাই	ʃ ɔ d̪ a i
সনদ	ʃ ɔ n o d̪
সনদপত্র	ʃ ɔ n o d̪ p ɔ t̪ ɾ o
সপ্তাহ	ʃ ɔ p t̪ ɑ ɦ ɔ
সফর	s ɔ f o r
সফর	ʃ ɔ pʰ o r
সবজি	ʃ ɔ b d ʒ i
সবজি	ʃ ɔ b z i
সমক	ʃ ɒ m ɔ k
সমকামিতা	s ɔ m ɔ k a m i t̪ a
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
সমকামী	ʃ ɔ m ɔ k ɑ m i
সমকে	ʃ ɒ m k e
সময়কাল	ʃ ɔ m ɔ j k a l
সমাইন্যা	ʃ ɒ m a i n n a
সমীরণ	ʃ o m i ɾ ɔ n
সম্পাদক	ʃ ɔ m p ɑ d̪ ɔ k
সম্পাদিকা	ʃ ɔ m p ɑ d̪ i k ɑ
সরকার	ʃ ɔ ɾ k a ɾ
সরদ	ʃ ɔ ɾ ɔ d̪
সলিল	ʃ o l i l
সহকর্মী	ʃ ɔ ɦ ɔ k ɔ ɾ m i
সহযোগিতা	ʃ ɔ ɦ ɔ d͡ʒ o ɡ i t̪ ɑ
সাঁকো	ʃ ã k o
সাগর	ʃ a ɡ ɔ ɾ
সাদা	ʃ a d̪ a
সাপ	ʃ ɑ p
সাফ	s a pʰ
সাফ	s a f
সাবান	ʃ a b a n
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
সার	ʃ a ɾ
সার্জারি	ʃ ɑ ɾ d͡ʒ ɑ ɾ i
সালাম	s a l a m
সালোকসংশ্লেষ	ʃ ɑ l o k ʃ ɔ ŋ ʃ l e ʃ
সালোকসংশ্লেষণ	ʃ ɑ l o k ʃ ɔ ŋ ʃ l e ʃ ɔ n
সিগারেট	s i ɡ ɑ r e ʈ
সিন্দুক	ʃ i n d̪ u k
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধু	ʃ i n d̪ u
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o ʈ ɔ k
সিন্ধুঘোটক	ʃ i n d̪ u ɡ o ʈ ɔ k
সিলডি	s i l ɔ d̺ i
সিলেইট্যা	s i l e i t̺ t̺ a
সুইজারল্যান্ড	ʃ u i d͡ʒ ɑ ɾ l æ n ɖ̟
সুগার	ʃ u ɡ ɑ ɾ
সুন্দর	ʃ u n d̪ ɔ ɾ
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুরত	s u r ô t
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সে	ʃ e
সেঁউতি	ʃ ẽ u t̪ i
সেঁজার	ʃ ɛ z a ɾ
সেঁজার	ʃ ɛ̃ d͡z a ɾ
সেজার	ʃ ɛ z a ɾ
সেজার	ʃ ɛ d͡ʑ a ɾ
সেন্সস	ʃ e n ʃ ɔ ʃ
সেন্সস	ʃ ɛ n ʃ ɔ ʃ
সৌন্দর্য	ʃ o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ z o
সৌন্দর্য	s o u n d̪ ɔ ɹ z o
স্কুটার	ʃ k u ʈ̟ ɑ ɾ
স্তালিন	ʃ t̪ ɑ l i n
স্নেহ	s n e ɦ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বপন	ʃ ɔ p o n
স্বপ্ন	ʃ ɔ p n o
স্বাধীনতা	ʃ ɑ dʱ i n ɔ t̪ ɑ
স্বাস্থ্য	ʃ a s tʰ j ɔ
স্রেফ	s ɾ e f
সৎ	s ɔ t̪
হ	h ɔ
হউর	ɦ ɔ u ɾ
হউরী	ɦ ɔ u ɾ i
হক্কল	ɦ ɒ k k ɔ l
হগল	ɦ ɒ ɡ ɔ l
হঙ্গে	ɦ ɒ ŋ ɡ e
হঠাত্	ɦ ɔ ʈʰ a t̪
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
হন্দর	ɦ ɔ n d̪ ɔ ɾ
হপন	ɦ ɒ p ɔ n
হপন	ɦ ɒ ɸ ɔ n
হমকে	ɦ ɒ m k e
হমাইন্যা	ɦ ɒ m a i n n a
হমান	ɦ ɒ m a n
হমুক	ɦ ɔ m u k
হয়রান	ɦ ɔ e̯ ɾ a n
হরা	ɦ ɒ ɾ a
হরিজন	ɦ ɔ ɾ i d͡ʒ ɔ n
হরীতকী	h o ɾ i t o k i
হরু	ɦ ɔ ɾ u
হরুলা	ɦ ɔ ɾ u l a
হহুন	ɦ ɔ ɦ u n
হাঁ	h æ̃ː
হাঁই	ɦ a i
হাঁচোর	ɦ a t͡s o ɾ
হাঁচোর	ɦ a t͡s u ɾ
হাঁচোর	ɦ a s u ɾ
হাঁচোর	ɦ ã s u ɾ
হাঁটা	ɦ a ʈ a
হাঁটু	ɦ a ʈ u
হাঁটু	ɦ ã ʈ u
হাঁতরানো	ɦ a t̪ ɾ a n ɔ
হাঁতার	ɦ a t̪ a ɾ
হাইর	ɦ a i ɾ
হাওন	ɦ a o n
হাগা	ɦ a ɡ a
হাগু	ɦ a ɡ u
হাঙ্গুর	h ɐ ŋ ɡ u r
হাচা	ɦ a t͡s a
হাচা	ɦ a s a
হাড়ি	ɦ a ɾ i
হাত	ɦ a t̪
হাতি	ɦ ɑ t̪ i
হাপ	ɦ a p
হাপ	ɦ a ɸ
হাবশি	ɦ ɑ b ʃ i
হামলা	ɦ a m l a
হামানদিস্তা	h a m a n d i s t a
হামানো	ɦ a m a n ɔ
হামুক	ɦ a m u k
হাসা	ɦ ɑ ʃ ɑ
হাসানো	ɦ ɑ ʃ ɑ n o
হিংসা	ɦ i ŋ ʃ a
হিগা	ɦ i ɡ a
হিজড়া	ɦ i d ʒ ɽ a
হিজড়া	ɦ i d ʒ ɹ a
হিটলার	ɦ i ʈ̟ l ɑ ɾ
হিডা	ɦ i d̺ a
হিনান	ɦ i n a n
হিনি	ɦ i n i
হিম	ɦ i m
হিমাচল	ɦ i m ɑ t͡ʃ ɔ l
হিমাচল	ɦ i m ä t͡ʃ ɔ̜ l
হিমাচল	ɦ i m ä t͡ʃ ɔ̜ l
হিমালয়	ɦ i m ɑ l ɔ e̯
হিয়ান	ɦ i a n
হিয়াল	ɦ i a l
হিল	ɦ i l
হিসাব	ɦ i ʃ a b
হিস্সা	ɦ i ʃ ʃ a
হুটকি	ɦ u t̺ k i
হুদা	h u d ɐ
হুনা	ɦ u n a
হুনি	ɦ u n i
হুরইন	ɦ u ɾ ɔ i n
হুরু	ɦ u ɾ u
হুরুতা	ɦ u ɾ u t̪ a
হে	ɦ e
হেঁজ	ɦ ɛ z
হেঁজা	ɦ ɛ z a
হেঁজার	ɦ ɛ z a ɾ
হেই	ɦ e i
হেইতে	ɦ e i t̪ e
হেউত	ɦ e u t̪
হেতাই	ɦ ɛ t̪ a i
হেতাইন	ɦ ɛ t̪ a i n
হেতি	ɦ e t̪ i
হেতে	ɦ ɛ t̪ e
হোয়া	ɦ ɔ a
হোয়াদ	ɦ o a d̪
হোল	ɦ o l
হ্যাঁ	h ɛ̃
া	aː
ি	i
ী	iː
ু	u
ূ	uː
ৃ	r iː
ৄ	ɽ iː
ে	e
ে	æ
ৈ	o iː
ো	o
ো	ʊ
ৌ	o uː
ৠ	ɽ iː
ৡ	ɭ iː
ৢ	l iː
ৣ	ɭ iː
ৰ	ɹ ɔ
