آذى	ʔ aː z a
قحبة	ɡ a ħ b a
قد	ɡ a d
قد	ɡ i d
قدام	ɡ u d d aː m
قدر	ɡ a d a r
قدر	ɡ a d i r
قدر	ɡ i d i r
قرآن	ɡ u r ʔ aː n
قرا	ɡ a r a
قراج	ɡ a r aː d͡ʒ
قرام	ɡ r aː m
قربة	ɡ i r b a
قرد	ɡ i r d
قرر	ɡ a r r a r
قرش	ɡ i r ʃ
قرطبة	ɡ u r tˤ u b a
قرفان	ɡ a r f aː n
قرفة	ɡ i r f a
قرميد	ɡ a r m iː d
قرميد	ɡ i r m iː d
قرن	ɡ a r n
قرنبيط	ɡ a r n a b iː tˤ
قرنفل	ɡ u r u n f u l
قروب	ɡ r uː b
قروب	ɡ r uː p
قروب	ɡ u r uː b
قروش	ɡ u r uː ʃ
قري	ɡ i r i
قزاز	ɡ u z aː z
قش	ɡ a ʃ ʃ
قشتالة	ɡ a ʃ t aː l a
قشرة	ɡ i ʃ r a
قشطة	ɡ i ʃ tˤ a
قصار	ɡ u sˤ aː r
قصة	ɡ a sˤ sˤ a
قصة	ɡ i sˤ sˤ a
قصر	ɡ a sˤ sˤ a r
قصر	ɡ a sˤ u r
قطار	ɡ i tˤ aː r
قطايف	ɡ a tˤ aː j i f
قطعة	ɡ i tˤ ʕ a
قطمة	ɡ a tˤ m a
قطن	ɡ u tˤ u n
قطيفة	ɡ a tˤ iː f a
قعر	ɡ a ʕ a r
قفص	ɡ a f a sˤ
قفل	ɡ a f a l
قفل	ɡ a f f a l
قفل	ɡ u f u l
قلاب	ɡ a l l aː b
قلاية	ɡ a lː aː j a
قلب	ɡ a l a b
قلب	ɡ a l b
قلب	ɡ a l l a b
قلم	ɡ a l a m
قلوتن	ɡ l uː t i n
قمار	ɡ u m aː r
قماش	ɡ u m aː ʃ
قمبري	ɡ a m b a r i
قميص	ɡ a m iː sˤ
قناص	ɡ a n n aː sˤ
قنبلة	ɡ u n b u l a
قندول	ɡ u n d oː l
قنديل	ɡ a n d iː l
قهر	ɡ a h a r
قهوة	ɡ a h w a
قوام	ɡ a w aː m
قوة	ɡ u w w a
قوس	ɡ oː s
قول	ɡ a w w a l
قول	ɡ oː l
قول	ɡ uː l
قولون	ɡ oː l oː n
قوم	ɡ a w w a m
قوم	ɡ a w w i m
قوم	ɡ uː m
قوي	ɡ a w i
قيتار	ɡ iː t aː r
قيد	ɡ eː d
قيد	ɡ iː d
قير	ɡ eː r
قيراط	ɡ iː r aː tˤ
قيمة	ɡ iː m a
كأس	k a ʔ s
كاسة	k aː s a
كافيه	k aː f eː
كاونتر	k aː w n t a r
كاپ	k aː p
كبت	k a b t
كبر	k i b i r
كبري	k a b b i r i
كبري	k u b r i
كبريت	k a b r iː t
كبشة	k a b ʃ a
كبك	k a b a k
كبنيه	k a b i n eː
كبينة	k a b iː n a
كتاب	k i t aː b
كتاب	k u t t aː b
كتشب	k a t ʃ a b
كتشب	k a t ʃ a p
كتشينة	k u t ʃ iː n a
كتشپ	k a t ʃ a p
كتلوج	k a t a l oː d͡ʒ
كتلوق	k a t a l oː ɡ
كتلونيا	k a t a l oː n j a
كثير	k a t iː r
كثير	k a θ iː r
كحة	k a ħ ħ a
كحة	k u ħ ħ a
كذا	k a z a
كذا	k a ð a
كذا	k i d a
كذا	k i ð a
كذاب	k a d d aː b
كذاب	k a z z aː b
كذاب	k a ð ð aː b
كذب	k i d i b
كذب	k i z i b
كذب	k i ð i b
كراث	k u r r aː t
كراث	k u r r aː θ
كرتون	k a r t oː n
كرعة	k a r ʕ a
كرفتة	k a r a f i t t a
كرفتة	k a r a v i t t a
كرفس	k a r a f s
كرفس	k r a f s
كرنب	k u r u n b
كرنفال	k a r n a f aː l
كرنفال	k a r n a v aː l
كرنيش	k u r n eː ʃ
كرنيش	k u r n iː ʃ
كرنڤال	k a r n a v aː l
كرواسون	k u r w aː s oː n
كريت	k r iː t
كريك	k u r eː k
كرڤتة	k a r a v i t t a
كزبرة	k u z b a r a
كسارة	k a s s aː r a
كستنا	k a s t a n a
كشاف	k a ʃ ʃ aː f
كشتبان	k u ʃ t u b aː n
كف	k a f f
كفتة	k u f t a
كفر	k a f a r
كفر	k u f u r
كفرتة	k u f i r t a
كفرتة	k u v i r t a
ككة	k a k k a
كلبشة	k a l a b ʃ a
كلمة	k i l m a
كلونيا	k u l oː n j a
كمان	k a m aː n
كمبيوتر	k a m b i j uː t a r
كمبيوتر	k a m p i j uː t a r
كمدينة	k u m a d iː n a
كمرة	k a m i r a
كمكم	k u m k u m
كمپيوتر	k a m p i j uː t a r
كنايس	k a n aː j i s
كنبة	k a n a b a
كنديشن	k u n d eː ʃ a n
كنز	k a n z
كنسل	k a n s a l
كنعت	k a n ʕ a t
كهف	k a h f
كوب	k oː b
كوب	k uː b
كوبنهاقن	k oː b i n h aː ɡ i n
كوبنهاقن	k oː p i n h aː ɡ i n
كوبون	k oː b oː n
كوبون	k uː b oː n
كوبون	k uː p oː n
كورة	k uː r a
كورساج	k oː r s aː d͡ʒ
كوريقرافيا	k oː r i ɡ r aː f j a
كوريك	k oː r eː k
كوريك	k u r eː k
كوم	k oː m
كويس	k u w a j j i s
كوپنهاقن	k oː p i n h aː ɡ i n
كوپون	k uː p oː n
كيرم	k eː r a m
كيف	k eː f
كيفك	k eː f a k
كيفك	k eː f i k
كيك	k eː k
كيكة	k eː k a
كييڤ	k i j eː v
كييڤ	k i j iː v
كپتشينو	k a p p u t ʃ iː n u
كڤر	k a v a r
كڤرتة	k u v i r t a
لاكتوز	l aː k t oː z
لبان	l u b aː n
لبنان	l i b n aː n
لحاف	l i ħ aː f
لحام	l a ħ ħ aː m
لحام	l i ħ aː m
لحظة	l a ħ zˤ a
لحق	l a ħ ħ a ɡ
لحق	l i ħ i ɡ
لذيذ	l a z iː z
لذيذ	l a ð iː ð
لسان	l i s aː n
لسة	l i s s a
لشبونة	l i ʃ b oː n a
لشبونة	l ɪ ʃ b o̞ː n a
لصقة	l a sˤ a ɡ a
لعبة	l i ʕ b a
لفت	l i f t
لق	l a ɡː
لقطات	l a ɡ a tˤ aː t
لقطات	l a ɡ tˤ aː t
لقطة	l a ɡ tˤ a
لقطة	l u ɡ tˤ a
لقمة	l u ɡ m a
لقي	l i ɡ i
لقيت	l i ɡ eː t
لقيت	l i ɡ iː t
لما	l a m a
لما	l a m m a
لون	l oː n
لونين	l oː n eː n
ليش	l eː ʃ
ليقو	l eː ɡ u
ليقو	l iː ɡ u
ليل	l eː l
ليل	l iː l
ليه	l eː
ليه	l iː
ماركة	m aː r k a
مافي	m aː f i
مالقة	m aː l a ɡ a
مالقة	m aː l ɡ a
ماما	m aː m a
مايوه	m aː j oː h
مبسوط	m a b s uː tˤ
متحف	m a t ħ a f
متحف	m u t ħ a f
متحمس	m u t ħ a m m i s
مترو	m i t r u
متضايق	m u t dˤ aː j i ɡ
متين	m a t iː n
مثال	m i s aː l
مثال	m i θ aː l
مجاغة	m a d͡ʒ aː ɣ a
محار	m a ħ aː r
محفظة	m i ħ f a zˤ a
محل	m a ħ a l l
مخدة	m a x a d d a
مخطان	m u x tˤ aː n
مخمج	m u x a m m i d͡ʒ
مداس	m a d aː s
مدحة	m a d ħ a
مدري	m a d r i
مدوان	m i d w aː n
مراية	m i r aː j a
مربى	m u r a b b a
مرة	m a r a
مرة	m a r r a
مرة	m u r r a
مرتبة	m a r t a b a
مرتبة	m u r a t t a b a
مرجيحة	m u r d͡ʒ eː ħ a
مرقة	m a r a ɡ a
مركب	m u r a k k a b
مروحة	m i r w a ħ a
مروش	m a r w a ʃ
مريلة	m i r j a l a
مزة	m a z z a
مزة	m u z z a
مزهرية	m a z h a r i j j a
مزيل	m u z iː l
مساج	m a s aː d͡ʒ
مساحات	m a s aː ħ aː t
مساحات	m a s s aː ħ aː t
مساحة	m a s aː ħ a
مساحة	m a s s aː ħ a
مسبح	m a s b a ħ
مستقبل	m u s t a ɡ b a l
مستكة	m i s t i k a
مسكين	m a s k iː n
مسمار	m u s m aː r
مشمش	m i ʃ m i ʃ
مصاصة	m a sˤ sˤ aː sˤ a
مصر	m a sˤ u r
مصفاية	m i sˤ f aː j a
مصقعة	m u sˤ a ɡ ɡ a ʕ a
مضاربة	m u dˤ aː r a b a
مضرب	m a dˤ r a b
مضرب	m i dˤ r a b
مطارة	m a tˤ tˤ aː r a
مطبخ	m a tˤ b a x
مطبق	m u tˤ a b b a ɡ
مطرقة	m i tˤ r a ɡ a
مظلة	m a dˤ a l l a
مظلة	m i dˤ a l l a
مع	m a ʕ
مع	m a ʕ a
معجون	m a ʕ d͡ʒ uː n
معصب	m u ʕ a sˤ sˤ i b
معليش	m a ʕ l eː ʃ
مغرفة	m i ɣ r a f a
مفتاح	m u f t aː ħ
مفك	m a f a k k
مقابلة	m u ɡ aː b a l a
مقاس	m a ɡ aː s
مقام	m a ɡ aː m
مقبرة	m a ɡ b a r a
مقدار	m i ɡ d aː r
مقدونيا	m a ɡ d oː n j a
مقرف	m u ɡ r i f
مقشة	m a ɡ a ʃ ʃ a
مقشة	m i ɡ a ʃ ʃ a
مقص	m a ɡ a sˤ sˤ
مقصف	m a ɡ sˤ a f
مقط	m a ɡ a tˤ tˤ
مقطع	m a ɡ tˤ a ʕ
مقعد	m a ɡ ʕ a d
مقعد	m u ɡ ʕ a d
مقلب	m a ɡ l a b
مقلمة	m i ɡ l a m a
مقلي	m a ɡ l i
مقهور	m a ɡ h uː r
مكرمش	m u k a r m a ʃ
مكرونة	m a k a r oː n a
مكشطة	m i k ʃ a tˤ a
مكنسة	m u k n a s a
مكوة	m a k w a
مكياج	m i k j aː d͡ʒ
مكيف	m u k a j j i f
ملحق	m u l ħ a ɡ
ملعقة	m i l ʕ a ɡ a
مليون	m i l j oː n
مناظرة	m u n aː zˤ a r a
مناكير	m a n aː k iː r
منتج	m u n t a d͡ʒ
منتو	m a n t u
منديل	m a n d iː l
منطقة	m a n tˤ i ɡ a
منقا	m a n ɡ a
منقار	m i n ɡ aː r
منقة	m a n ɡ a
منقل	m i n ɡ a l
منقلة	m i n ɡ a l a
منقوش	m a n ɡ uː ʃ
منكوش	m a n k uː ʃ
منكير	m a n i k eː r
مهرج	m u h a r r i d͡ʒ
موافقة	m u w aː f a ɡ a
موافقة	m u w aː f ɡ a
موت	m a w w a t
موت	m oː t
موت	m uː t
موسكو	m oː s k u
موعد	m a w ʕ i d
موف	m oː f
موفي	m oː f i
موقف	m a w ɡ i f
موكيت	m oː k eː t
مول	m a w w a l
مول	m oː l
مولدوڤا	m oː l d oː v a
موناكو	m oː n aː k u
موية	m oː j a
ميدالية	m iː d aː l i j j a
مين	m eː n
مين	m iː n
نابلي	n aː b u l i
نابلي	n aː p u l i
نافخ	n aː f a x
ناموسة	n aː m uː s a
ناپلي	n aː p u l i
نبرة	n a b r a
نتايج	n a t aː j i d͡ʒ
نجفات	n a d͡ʒ a f aː t
نجفة	n a d͡ʒ a f a
نجمة	n a d͡ʒ m a
نرفز	n a r f a z
نسي	n a s s i
نسي	n i s i
نشابة	n a ʃ ʃ aː b a
نشافة	n a ʃ ʃ aː f a
نص	n a sˤ sˤ
نص	n u sˤ sˤ
نط	n a tˤ tˤ
نطنيطة	n u tˤ n eː tˤ a
نطيطة	n u tˤ tˤ eː tˤ a
نظارة	n a dˤ dˤ aː r a
نظارة	n a ðˤ ðˤ aː r a
نظرة	n a zˤ r a
نقز	n a ɡ ɡ a z
نقطة	n u ɡ tˤ a
نقل	n a ɡ a l
نقل	n a ɡ i l
نقل	n a ɡ ɡ a l
نكتة	n u k t a
نكدي	n i k a d i
نهائي	n i h aː ʔ i
نورس	n a w r a s
نيص	n eː sˤ
نيوزيلندا	n j uː z i l a n d a
نيوزيلندا	n j uː z iː l a n d a
نيپال	n eː p aː l
نيپال	n iː p aː l
هاشتاق	h aː ʃ t aː ɡ
هالوين	h aː l u w iː n
هذا	h aː d a
هذا	h aː ð a
هذولا	h a d oː l a
هذولا	h a ð oː l a
هذولا	h aː d oː l a
هذولا	h aː ð oː l a
هرجة	h a r d͡ʒ a
هرولة	h a r w a l a
هكر	h a k a r
هكر	h a k k a r
هلا	h a l a
هليون	h i l j oː n
هم	h a m m
هم	h u m
هم	h u m m a
هنقاريا	h a n ɡ aː r j a
هو	h u w w a
هولندا	h oː l a n d a
هي	h i j j a
هيل	h eː l
و	oː
و	u
و	uː
و	w
و	w aː w
وجع	w a d͡ʒ a ʕ
وخر	w a x x a r
ورا	w a r a
ورث	w i r s
ورث	w i r θ
ورشة	w a r ʃ a
وزغة	w a z a ɣ a
وسخ	w a s a x
وسخ	w a sː a x
وسخ	w i s i x
وقت	w a ɡ t
وقت	w a ɡ ɡ a t
ولا	w a l a
ولا	w a l l a
ويكند	w iː k i n d
ويلز	w eː l z
ياالله	j aː ɫː a h
ياقة	j aː ɡ a
يانسون	j aː n a s uː n
يانسون	j aː n s uː n
يخني	j a x n i
يرقة	j a r a ɡ a
يع	j i ʕ ʕ
يعسوب	j a ʕ s uː b
يقطين	j a ɡ tˤ iː n
يمامة	j a m aː m a
يمكن	j i m k i n n
يوم	j oː m
پ	p
پ	p aː ʔ
پاريس	p aː r iː s
پانثيون	p aː n θ i j oː n
پانكيك	p aː n k eː k
پراق	p r aː ɡ
پروپقاندا	p r oː p a ɡ aː n d a
پستو	p i s t u
پلاستيك	p a l a s t iː k
پلاستيك	p l aː s t iː k
پلوڤر	p l oː v a r
پلوڤر	p u l oː v a r
پنسلڤينيا	p i n s i l v eː n j a
پنما	p a n a m a
پورتو	p oː r t u
پول	p oː l
پولندا	p oː l a n d a
پيتزا	p iː t s a
پيتزا	p iː t z a
پيرو	p eː r uː
پيرو	p iː r uː
پپروني	p i p a r oː n i
پپروني	p i p i r oː n i
ڤ	v
ڤ	v aː ʔ
ڤانكوڤر	v aː n k uː v a r
ڤايكنق	v aː j k i n ɡ
ڤلة	v i l l a
ڤنزويلا	v i n i z w eː l a
ڤنزويلا	v i n z u w i l l a
ڤنيليا	v a n iː l j a
ڤيتامين	v i t a m iː n
ڤيتامين	v iː t aː m iː n
ڤيتنام	v i j i t n aː m
ڤيديو	v iː d j u
ڤيروس	v a j r uː s
ڤينا	v i j a n n a
ڤينا	v j a n n a
