aba	a b a
divizionizmus	d i v i z i o n i z m u s
divný	d i v n iː
divoký	d i v o k iː
divozel	d i v o z e l
divý	d i v iː
dlh	d l̩ x
dna	d n a
dobrovoľne	d o b r o v o ʎ n e
dobrovoľný	d o b r o v o ʎ n iː
dobročinný	d o b r o t͡ʃ i n iː
dobrý	d o b r iː
dofrasa	d o f r a s a
dogmaticky	d o ɡ m a t i t͡s k i
dogmatický	d o ɡ m a t i t͡s k iː
dogmatizmus	d o ɡ m a t i z m u s
dohodnutá	d o ɦ o d n u t aː
dohodnuté	d o ɦ o d n u t eː
dohodnutého	d o ɦ o d n u t eː ɦ o
dohodnutému	d o ɦ o d n u t eː m u
dohodnutí	d o ɦ o d n u t iː
dohodnutou	d o ɦ o d n u t o u
dohodnutý	d o ɦ o d n u t iː
dohodnutých	d o ɦ o d n u t iː x
dohodnutým	d o ɦ o d n u t iː m
dohodnutými	d o ɦ o d n u t iː m i
dojem	d o j e m
dojemný	d o j e m n iː
dojka	d o j k a
dojčiť	d o j t͡ʃ i c
dokument	d o k u m e n t
dokumentácia	d o k u m e n t aː t͡s i̯ a
dokumentovať	d o k u m e n t o v a c
domáce	d o m aː t͡s e
domácnosť	d o m aː t͡s n o s c
domami	d o m a m i
dome	d o m e
domestikácia	d o m e s t i k aː t͡s i̯ a
domestikovať	d o m e s t i k o v a c
dominik	d o m i n i k
dominikánec	d o m i n i k aː n e t͡s
dominikánka	d o m i n i k aː n k a
dominovať	d o m i n o v a c
domoch	d o m o x
domom	d o m o m
domu	d o m u
donatizmus	d o n a t i z m u s
donucovať	d o n u t͡s o v a c
dopamín	d o p a m iː n
doparoma	d o p a r o m a
dopravník	d o p r a v n iː k
doslova	d o s l o v a
doslovný	d o s l o v n iː
dospelosť	d o s p e l o s c
dospelý	d o s p e l iː
dospieť	d o s p i̯ e c
dostatok	d o s t a t o k
dôstojnosť	d u̯ o s t o j n o s c
dostredivý	d o s t r e d i v iː
dostupnosť	d o s t u p n o s c
dosť	d o s c
dôverovať	d u̯ o v e r o v a c
dovidenia	d o v i d e n i̯ a
dozimeter	d o z i m e t e r
dráh	d r aː x
dráha	d r aː ɦ a
drahami	d r a ɦ a m i
drahe	d r a ɦ e
drahí	d r a ɦ iː
drahou	d r a ɦ o u
drahu	d r a ɦ u
drahú	d r a ɦ uː
drahy	d r a ɦ i
drahý	d r a ɦ iː
drak	d r a k
drakonický	d r a k o n i t͡s k iː
dramaticky	d r a m a t i t͡s k i
dramatický	d r a m a t i t͡s k iː
dramatizácia	d r a m a t i z aː t͡s i̯ a
drasticky	d r a s t i t͡s k i
drastický	d r a s t i t͡s k iː
dračka	d r a t͡ʃ k a
dreva	d r e v a
drevá	d r e v aː
drevách	d r e v aː x
drevám	d r e v aː m
drevami	d r e v a m i
dreve	d r e v e
drevom	d r e v o m
drevorubač	d r e v o r u b a t͡ʃ
drevu	d r e v u
drez	d r e s
driapať	d r i̯ a p a c
driemať	d r i̯ e m a c
drieň	d r i̯ e ɲ
drina	d r i n a
drogéria	d r o ɡ eː r i̯ a
droždie	d r o ʒ d i̯ e
druhá	d r u ɦ aː
druhé	d r u ɦ eː
druhej	d r u ɦ e j
druhí	d r u ɦ iː
druhom	d r u ɦ o m
druhou	d r u ɦ o u
druhú	d r u ɦ uː
druhý	d r u ɦ iː
drž	d r̩ ʃ
dualizmus	d u a l i z m u s
dubák	d u b aː k
dublin	d u b l i n
duchovnosť	d u x o v n o s c
duchovný	d u x o v n iː
dúhe	d uː ɦ e
dukát	d u k aː t
duplikácia	d u p l i k aː t͡s i̯ a
duplikát	d u p l i k aː t
duplikovať	d u p l i k o v a c
dur	d u r
duša	d u ʃ a
dušanbe	d u ʃ a n b e
dúška	d uː ʃ k a
dužina	d u ʒ i n a
dva	d v a
dvadsať	d v a t͡s a c
dvanásť	d v a n aː s c
dvojfarebný	d v o j f a r e b n iː
dvojhláska	d v o j ɦ l aː s k a
dvojjazyčný	d v o j a z i t͡ʃ n iː
dvojmocný	d v o j m o t͡s n iː
dvojplošník	d v o j p l o ʃ n iː k
dvojtvar	d v o j t v a r
dvojča	d v o j t͡ʃ a
dvor	d v o r
dýchanie	d iː x a n i̯ e
dynamicky	d i n a m i t͡s k i
dynamický	d i n a m i t͡s k iː
dynamit	d i n a m i t
dynastia	d i n a s t i j a
dysgrafia	d i s ɡ r a f i̯ a
dyskalkúlia	d i s k a l k uː l i̯ a
dysplázia	d i s p l aː z i̯ a
dystrofia	d i s t r o f i̯ a
dyzentéria	d i z e n t eː r i̯ a
džersej	d͡ʒ e r s e j
džhárkhand	d͡ʒ ɦ aː r k ɦ a n t
džihád	d͡ʒ i ɦ aː t
džin	d͡ʒ i n
džinizmus	d͡ʒ i n i z m u s
echokardiogram	e x o k a r d i o ɡ r a m
echolokácia	e x o l o k aː t͡s i̯ a
editovať	e d i t o v a c
efedra	e f e d r a
efektívny	e f e k t iː v n i
egocentrizmus	e ɡ o t͡s e n t r i z m u s
egyptológia	e ɡ i p t o l oː ɡ i̯ a
ejakulovať	e j a k u l o v a c
eklampsia	e k l a m p s i̯ a
eklekticizmus	e k l e k t i t͡s i z m u s
eklektizmus	e k l e k t i z m u s
ekofyziológia	e k o f i z i o l oː ɡ i̯ a
ekonomizácia	e k o n o m i z aː t͡s i̯ a
ekumenizmus	e k u m e n i z m u s
ekvivalentný	e k v i v a l e n t n iː
elektrifikácia	e l e k t r i f i k aː t͡s i̯ a
elektrifikovať	e l e k t r i f i k o v a c
elektrika	e l e k t r i k a
elektrolyt	e l e k t r o l i t
elektromagnetizmus	e l e k t r o m a ɡ n e t i z m u s
emancipácia	e m a n t͡s i p aː t͡s i̯ a
emil	e m i l
encyklopédia	e n t͡s i k l o p eː d i̯ a
entomológia	e n t o m o l oː ɡ i̯ a
epidemiológia	e p i d e m i o l oː ɡ i̯ a
epizóda	e p i z oː d a
erekcia	e r e k t͡s i̯ a
esbjerg	e z b j e r
esbjerg	e z b j e r k
etanol	e t a n o l
etiópia	e t i oː p i̯ a
etológia	e t o l oː ɡ i̯ a
etylén	e t i l eː n
exil	e ɡ z i l
fajčiť	f a j t͡ʃ i c
faktoriál	f a k t o r i aː l
faktorizácia	f a k t o r i z aː t͡s i̯ a
fanatik	f a n a t i k
farandola	f a r a n d o l a
faraón	f a r a oː n
farizej	f a r i z e j
fasáda	f a s aː d a
fašista	f a ʃ i s t a
federalizmus	f e d e r a l i z m u s
felčiar	f e l t͡ʃ i̯ a r
fenomenalizmus	f e n o m e n a l i z m u s
fermež	f e r m e ʃ
feromón	f e r o m oː n
filip	f i l i p
filipíny	f i l i p iː n i
filozofia	f i l o z o f i̯ a
finalizmus	f i n a l i z m u s
firn	f i r n
flautista	f l a u t i s t a
formalizmus	f o r m a l i z m u s
fotka	f o t k a
fotokópia	f o t o k oː p i̯ a
frajerka	f r a j e r k a
fraktúra	f r a k t uː r a
francúzsko	f r a n t͡s uː s k o
frano	f r a n o
freetown	f r iː t a u n
ftáčnik	f t aː t͡ʃ n i k
furfural	f u r f u r a l
fúrik	f uː r i k
furt	f u r t
futurizmus	f u t u r i z m u s
fúz	f uː s
fúza	f uː z a
fúze	f uː z e
fúzik	f uː z i k
fúzmi	f uː z m i
fúzoch	f uː z o x
fúzom	f uː z o m
fúzov	f uː z o f
fúzu	f uː z u
fúzy	f uː z i
fľaška	f ʎ a ʃ k a
gabon	ɡ a b o n
gaborone	ɡ a b o r o n e
gabriel	ɡ a b r i̯ e l
gajdoš	ɡ a j d o ʃ
galaxia	ɡ a l a k s i̯ a
galaxii	ɡ a l a k s i i
gambia	ɡ a m b i̯ a
gazela	ɡ a z e l a
gdynia	ɡ d i ɲ a
genealógia	ɡ e n e a l oː ɡ i̯ a
genitív	ɡ ɛ n i t iː u̯
génius	ɡ eː n i̯ u s
geomagnetizmus	ɡ e o m a ɡ n e t i z m u s
georgia	d͡ʒ oː r d͡ʒ a
gerontológia	ɡ e r o n t o l oː ɡ i̯ a
ghana	ɡ ɦ a n a
gigantizmus	ɡ i ɡ a n t i z m u s
gitarista	ɡ i t a r i s t a
glg	k l̩ k
gnosticizmus	ɡ n o s t i t͡s i z m u s
gorica	ɡ o r i t͡s a
gravidita	ɡ r a v i d i t a
graz	ɡ r a t͡s
grécko	ɡ r eː t͡s k o
gril	ɡ r i l
grilovať	ɡ r i l o v a c
groznyj	ɡ r o z n i j
gruzínsko	ɡ r u z iː n s k o
gudžarát	ɡ u d͡ʒ a r aː t
gule	ɡ u l e
guli	ɡ u l i
gulí	ɡ u l iː
guliach	ɡ u l i̯ a x
guliam	ɡ u l i̯ a m
gúľ	ɡ uː ʎ
guľami	ɡ u ʎ a m i
guľatí	ɡ u ʎ a t iː
guľatina	ɡ u ʎ a t i n a
guľatý	ɡ u ʎ a t iː
gúľať	ɡ uː ʎ a c
guľou	ɡ u ʎ o u
guľu	ɡ u ʎ u
gynocentrizmus	ɡ i n o t͡s e n t r i z m u s
hada	ɦ a d a
hádanka	ɦ aː d a n k a
hádať	ɦ aː d a c
hadoch	ɦ a d o x
hadom	ɦ a d o m
hadov	ɦ a d o f
hadovi	ɦ a d o v i
hádzaná	ɦ aː d͡z a n aː
hák	ɦ aː k
hala	ɦ a l a
halogén	ɦ a l o ɡ eː n
halucinácia	ɦ a l u t͡s i n aː t͡s i̯ a
hanička	ɦ a n i t͡ʃ k a
hanka	ɦ a n k a
harare	ɦ a r a r e
harijána	ɦ a r i j aː n a
harpúna	ɦ a r p uː n a
harvan	ɦ a r v a n
havajský	ɦ a v a j s k iː
havajčan	ɦ a v a j t͡ʃ a n
havajčanka	ɦ a v a j t͡ʃ a n k a
havana	ɦ a v a n a
háveď	ɦ aː v e c
hedonizmus	ɦ e d o n i z m u s
heliodór	ɦ e l i o d oː r
helma	ɦ e l m a
hemisféra	ɦ e m i s f eː r a
herca	ɦ e r t͡s a
hercami	ɦ e r t͡s a m i
herci	ɦ e r t͡s i
hercoch	ɦ e r t͡s o x
hercom	ɦ e r t͡s o m
hercov	ɦ e r t͡s o f
hercovi	ɦ e r t͡s o v i
hermafroditizmus	ɦ e r m a f r o d i t i z m u s
heslo	ɦ e s l o
híkať	ɦ iː k a c
himáčalpradéš	ɦ i m aː t͡ʃ a l p r a d eː ʃ
hirošima	ɦ i r o ʃ i m a
histopatológia	ɦ i s t o p a t o l oː ɡ i̯ a
hladké	ɦ l a d k eː
hladkí	ɦ l a d k iː
hladký	ɦ l a d k iː
hlas	ɦ l a s
hlave	ɦ l a v e
hlien	ɦ l i̯ e n
hlísta	ɦ l iː s t a
hliva	ɦ ʎ i v a
hliva	ɦ l i v a
hlt	ɦ l̩ t
hlucháň	ɦ l u x aː ɲ
hluk	ɦ l u k
hlučný	ɦ l u t͡ʃ n iː
hnojník	ɦ n ɔ j n iː k
hnus	ɦ n u s
hnusný	ɦ n u s n iː
ho	ɦ o
hodváb	ɦ ɔ d v aː p
hodváb	ɦ ɔ d v aː b
hodvábnica	ɦ ɔ d v aː b ɲ i t͡s a
hojivý	ɦ o j i v iː
hojiť	ɦ o j i c
holá	ɦ o l aː
hole	ɦ o l e
holé	ɦ o l eː
holej	ɦ o l e j
holeš	ɦ o l e ʃ
holi	ɦ o l i
hologram	ɦ o l o ɡ r a m
holom	ɦ o l o m
holú	ɦ o l uː
holuba	ɦ o l u b a
holubom	ɦ o l u b o m
holubov	ɦ o l u b o f
holubovi	ɦ o l u b o v i
holuby	ɦ o l u b i
holý	ɦ o l iː
hongkončan	ɦ o n ɡ k o n t͡ʃ a n
hongkončanka	ɦ o n ɡ k o n t͡ʃ a n k a
hora	ɦ o r a
horieť	ɦ o r i̯ e c
hôrkach	ɦ u̯ o r k a x
hôrkam	ɦ u̯ o r k a m
hôrkami	ɦ u̯ o r k a m i
horkí	ɦ o r k iː
hôrkou	ɦ u̯ o r k o u
horkú	ɦ o r k uː
hôrku	ɦ u̯ o r k u
hôrky	ɦ u̯ o r k i
hormón	ɦ o r m oː n
hormonálny	ɦ o r m o n aː l n i
hôrok	ɦ u̯ o r o k
horskí	ɦ o r s k iː
hospitalizácia	ɦ o s p i t a l i z aː t͡s i̯ a
hospodár	ɦ o s p o d aː r
hrádza	ɦ r aː d͡z a
hrb	ɦ r̩ p
hŕb	ɦ r̩ː p
hŕba	ɦ r̩ː b a
hrdza	ɦ r̩ d͡z a
hre	ɦ r e
hríb	ɦ r iː p
hríb	ɦ r iː b
hríb	ɦ r iː p
hríb	ɦ r iː b
hríbová	ɦ r iː b o v aː
hrnček	ɦ r n̩ t͡ʃ e k
hrobár	ɦ r o b aː r
hrozno	ɦ r o z n o
hrsť	ɦ r̩ s c
hrubý	ɦ r u b iː
hruškovica	ɦ r u ʃ k o v i t͡s a
huba	ɦ u b a
hudobník	ɦ u d o b n iː k
hudobníčka	ɦ u d o b n iː t͡ʃ k a
hudobný	ɦ u d o b n iː
hugo	ɦ u ɡ o
humanizmus	ɦ u m a n i z m u s
huriska	ɦ u r i s k a
husenica	ɦ u s e n i t͡s a
husita	ɦ u s i t a
husitstvo	ɦ u s i t s t v o
huslista	ɦ u s l i s t a
hustú	ɦ u s t uː
húštie	ɦ uː ʃ t i̯ e
hvezdárstvo	ɦ v e z d aː r s t v o
hydrofóbia	ɦ i d r o f oː b i̯ a
hydrológia	ɦ i d r o l oː ɡ i̯ a
hymen	ɦ i m e n
hypnos	ɦ i p n o s
hýľ	ɦ iː ʎ
hľadať	ɦ ʎ a d a c
idaho	i d a ɦ o
idaho	a j d a ɦ o
idealizmus	i d e a l i z m u s
identifikácia	i d e n t i f i k aː t͡s i̯ a
ignorancia	i ɡ n o r a n t͡s i̯ a
íl	iː l
illinois	i l i n o j s
illinois	i l i n o j s
ílovec	iː l o v e t͡s
iluminácia	i l u m i n aː t͡s i̯ a
imágo	i m aː ɡ o
imel	i m e l
imela	i m e l a
imele	i m e l e
imelo	i m e l o
imelu	i m e l u
imperializmus	i m p e r i̯ a l i z m u s
impresionizmus	i m p r e s i o n i z m u s
iná	i n aː
india	i n d i̯ a
indiana	i n d i̯ a n a
individualizmus	i n d i v i d u a l i z m u s
indonézia	i n d o n eː z i̯ a
infant	i n f a n t
inom	i n o m
interjekcia	i n t e r j e k t͡s i̯ a
interpretácia	i n t e r p r e t aː t͡s i̯ a
inú	i n uː
iných	i n iː x
iným	i n iː m
inšpirácia	i n ʃ p i r aː t͡s i̯ a
inštalácia	i n ʃ t a l aː t͡s i̯ a
iowa	a j o v a
iracionalizmus	i r a t͡s i o n a l i z m u s
irak	i r a k
íris	iː r i s
islamabad	i s l a m a b a t
island	i s l a n t
islande	i s l a n ɟ e
istá	i s t aː
isté	i s t eː
istej	i s t e j
istému	i s t eː m u
istí	i s t iː
istom	i s t o m
istou	i s t o u
istú	i s t uː
itália	i t aː l i̯ a
iveta	i v e t a
izraelčan	i z r a e l t͡ʃ a n
izraelčanka	i z r a e l t͡ʃ a n k a
jabloň	j a b l o ɲ
jadrami	j a d r a m i
jahňacina	j a ɦ ɲ a t͡s i n a
jakarta	d͡ʒ a k a r t a
jalovica	j a l o v i t͡s a
jalový	j a l o v iː
jama	j a m a
jamka	j a m k a
jana	j a n a
jano	j a n o
japonsko	j a p o n s k o
jariem	j a r i̯ e m
jarma	j a r m a
jarme	j a r m e
jarmu	j a r m u
jaspis	j a s p i s
jatka	j a t k a
jazva	j a z v a
jazykolam	j a z i k o l a m
jašterica	j a ʃ t e r i t͡s a
je	j e
jedál	j e d aː l
jedáleň	j e d aː l e ɲ
jede	j e d e
jeden	j e d e n
jedenásť	j e d e n aː s c
jedia	j e d i̯ a
jediná	j e d i n aː
jedináčik	j e d i n aː t͡ʃ i k
jediné	j e d i n eː
jediní	j e d i n iː
jedinú	j e d i n uː
jedla	j e d l a
jedlá	j e d l aː
jedle	j e d l e
jedlí	j e d l iː
jedlom	j e d l o m
jedlu	j e d l u
jedlý	j e d l iː
jedmi	j e d m i
jednorožec	j e d n o r o ʒ e t͡s
jedoch	j e d o x
jedom	j e d o m
jedov	j e d o f
jedovatý	j e d o v a t iː
jedu	j e d u
jedy	j e d i
jedľa	j e d ʎ a
jem	j e m
jeme	j e m e
jemen	j e m e n
jerevan	j e r e v a n
jete	j e t e
ješ	j e ʃ
jež	j e ʃ
ježiš	j e ʒ i ʃ
jordán	j o r d aː n
jordánsko	j o r d aː n s k o
jordánčan	j o r d aː n t͡ʃ a n
jordánčanka	j o r d aː n t͡ʃ a n k a
jozefína	j o z e f iː n a
ju	j u
juhom	j u ɦ o m
juhu	j u ɦ u
júlia	j uː l i̯ a
július	j uː l i̯ u s
julo	j u l o
jupiter	j u p i t e r
jurek	j u r e k
jurka	j u r k a
jurko	j u r k o
južan	j u ʒ a n
južanka	j u ʒ a n k a
kabát	k a b aː t
kábul	k aː b u l
kacír	k a t͡s iː r
káfir	k aː f i r
kajúcny	k a j uː t͡s n i
kaktus	k a k t u s
kalendár	k a l e n d aː r
kalifornia	k a l i f o r n i̯ a
kalifornčan	k a l i f o r n̩ t͡ʃ a n
kalifornčanka	k a l i f o r n̩ t͡ʃ a n k a
kaligrafia	k a l i ɡ r a f i̯ a
kalkulácia	k a l k u l aː t͡s i̯ a
kalkulačka	k a l k u l a t͡ʃ k a
kamelot	k a m e l o t
kamera	k a m e r a
kampala	k a m p a l a
kanál	k a n aː l
kanalizácia	k a n a l i z aː t͡s i̯ a
kanibalizmus	k a n i b a l i z m u s
kansas	k a n s a s
kanton	k a n t o n
kanva	k a n v a
kanvica	k a n v i t͡s a
karburátor	k a r b u r aː t o r
kardiológia	k a r d i o l oː ɡ i̯ a
kartografia	k a r t o ɡ r a f i̯ a
kataklizma	k a t a k l i z m a
katéter	k a t eː t e r
káthmandu	k aː t ɦ m a n d u
katovice	k a t o v i t͡s e
kávovar	k aː v o v a r
kázanie	k aː z a n i̯ e
kázeň	k aː z e ɲ
káčer	k aː t͡ʃ e r
káčer	k aː t͡ʃ e r
kaňa	k a ɲ a
kašička	k a ʃ i t͡ʃ k a
kašmír	k a ʃ m iː r
kedže	k e d͡ʒ e
kentucky	k e n t a k i
kgb	k aː ɡ eː b eː
kigali	k i ɡ a l i
kilami	k i l a m i
kinematografia	k i n e m a t o ɡ r a f i̯ a
kingston	k i n ɡ s t o n
kino	k i n o
kinosála	k i n o s aː l a
kinshasa	k i n ʃ a s a
kirgizsko	k i r ɡ i z s k o
kišiňov	k i ʃ i ɲ o f
klase	k l a s e
klasmi	k l a s m i
klasoch	k l a s o x
klasom	k l a s o m
klasov	k l a s o f
klasu	k l a s u
klasy	k l a s i
klaustrofóbia	k l a u s t r o f oː b i̯ a
klavirista	k l a v i r i s t a
klaviristka	k l a v i r i s t k a
kláštor	k l aː ʃ t o r
kĺb	k l̩ː p
klebeta	k l e b e t a
klement	k l e m e n t
klenba	k l e n b a
klenot	k l e n o t
kliešť	k l i̯ e ʃ c
klitoris	k l i t o r i s
klk	k l̩ k
klystír	k l i s t iː r
kníh	k n iː x
knôt	k n u̯ o t
koalícia	k o a l iː t͡s i̯ a
kobrám	k o b r aː m
kobre	k o b r e
kobrou	k o b r o u
kocian	k o t͡s i̯ a n
kodaň	k o d a ɲ
koitus	k o i t u s
kolár	k o l aː r
koláča	k o l aː t͡ʃ a
koláče	k o l aː t͡ʃ e
koláči	k o l aː t͡ʃ i
koláčik	k o l aː t͡ʃ i k
koláčom	k o l aː t͡ʃ o m
koláču	k o l aː t͡ʃ u
kolchoz	k o l x o s
kolesár	k o l e s aː r
kolíska	k o l iː s k a
kolofónia	k o l o f oː n i̯ a
kolonializmus	k o l o n i̯ a l i z m u s
kolumbia	k o l u m b i̯ a
komentár	k o m e n t aː r
komplic	k o m p l i t͡s
konakry	k o n a k r i
konceptuálny	k o n t͡s e p t u aː l n i
konexia	k o n e k s i̯ a
konformizmus	k o n f o r m i z m u s
konkubína	k o n k u b iː n a
konzervativizmus	k o n z e r v a t i v i z m u s
kopať	k o p a c
kopytník	k o p i t n iː k
korbáč	k o r b aː t͡ʃ
korbáčik	k o r b aː t͡ʃ i k
korenie	k o r e n i̯ e
koronavírus	k o r o n a v iː r u s
korunovácia	k o r u n o v aː t͡s i̯ a
korzet	k o r z e t
kosák	k o s aː k
kosier	k o s i̯ e r
kosiť	k o s i c
kostra	k o s t r a
kostúr	k o s t uː r
kováč	k o v aː t͡ʃ
kovať	k o v a c
kôz	k u̯ o s
koza	k o z a
kozák	k ɔ z aː k
kozák	k ɔ z aː k
kozub	k o z u p
kočan	k o t͡ʃ a n
kôň	k u̯ o ɲ
koša	k o ʃ a
koše	k o ʃ e
koši	k o ʃ i
košice	k o ʃ i t͡s e
košmi	k o ʃ m i
košoch	k o ʃ o x
košom	k o ʃ o m
košov	k o ʃ o f
košu	k o ʃ u
košút	k o ʃ uː t
kožami	k o ʒ a m i
kože	k o ʒ e
koži	k o ʒ i
koží	k o ʒ iː
kožou	k o ʒ o u
kožu	k o ʒ u
kra	k r a
krá	k r aː
krádež	k r aː d e ʃ
krakova	k r a k o v a
krami	k r a m i
kravec	k r a v e t͡s
kráľ	k r aː ʎ
kráľovná	k r aː ʎ o v n aː
kre	k r e
kreacionizmus	k r e a t͡s i o n i z m u s
kreker	k r e k e r
krematórium	k r e m a t oː r i̯ u m
kresadlo	k r e s a d l o
kréta	k r eː t a
krídel	k r iː d e l
krík	k r iː k
kristianizácia	k r i s t i̯ a n i z aː t͡s i̯ a
kristína	k r i s t iː n a
kritizovať	k r i t i z o v a c
krivák	k r i v aː k
krivec	k r i v e t͡s
krividlo	k r i v i d l o
krivuľa	k r i v u ʎ a
kríček	k r iː t͡ʃ e k
križovatka	k r i ʒ o v a t k a
krk	k r̩ k
krkavec	k r̩ k a v e t͡s
krmelec	k r m e l e t͡s
krmivo	k r m i v o
kŕmiť	k r̩ː m i c
kroch	k r o x
krom	k r o m
krona	k r o n a
krona	k r uː n a
krov	k r o f
krst	k r̩ s t
krstiť	k r̩ s t i c
krt	k r̩ t
kru	k r u
krv	k r̩ f
krvácať	k r̩ v aː t͡s a c
kry	k r i
krym	k r i m
krypta	k r i p t a
kŕč	k r̩ː t͡ʃ
krčmár	k r̩ t͡ʃ m aː r
kuchár	k u x aː r
kuchárka	k u x aː r k a
kúkoľ	k uː k o ʎ
kultivovaný	k u l t i v o v a n iː
kuriatko	k u r i̯ a t k ɔ
kuru	k u r u
kurzor	k u r z o r
kuvajt	k u v a j t
kučera	k u t͡ʃ e r a
kuša	k u ʃ a
kvadruplégia	k v a d r u p l eː ɡ i̯ a
kvase	k v a s e
kvasnica	k v a s n i t͡s a
kvasom	k v a s o m
kvasu	k v a s u
kvaternión	k v a t e r n i oː n
kvete	k v e t e
kvetina	k v e t i n a
kvetináč	k v e t i n aː t͡ʃ
kvetu	k v e t u
kvety	k v e t i
kvíčala	k v iː t͡ʃ a l a
kýchať	k iː x a c
kýchnuť	k iː x n u c
kyklady	k i k l a d i
kynizmus	k i n i z m u s
kľučka	k ʎ u t͡ʃ k a
labuti	l a b u t i
láhaur	l aː ɦ a u r
lakte	l a k t e
lakti	l a k t i
lakťa	l a k c a
lakťami	l a k c a m i
lakťoch	l a k c o x
lakťom	l a k c o m
lakťov	l a k c o f
lakťu	l a k c u
lampa	l a m p a
langue	l aː n k
laos	l a o s
láskavý	l aː s k a v iː
látka	l aː t k a
lavína	l a v iː n a
legalizácia	l e ɡ a l i z aː t͡s i̯ a
legalizovať	l e ɡ a l i z o v a c
lekno	l e k n o
leninizmus	l e n i n i z m u s
lepidlo	l e p i d l o
lepiť	l e p i c
leptón	l e p t oː n
lepší	l e p ʃ iː
leví	l e v iː
lézia	l eː z i̯ a
libanon	l i b a n o n
libido	l i b i d o
libreville	l i b r e v i l
lichva	l i x v a
lima	l i m a
limuzína	l i m u z iː n a
linoleum	l i n o l e u m
lisabon	l i s a b o n
lístok	l iː s t o k
litovčan	l i t o v t͡ʃ a n
litovčanka	l i t o v t͡ʃ a n k a
lôn	l u̯ o n
lona	l o n a
loná	l o n aː
lonách	l o n aː x
lonám	l o n aː m
lonami	l o n a m i
londýn	l o n d iː n
lone	l o n e
lono	l o n o
lonom	l o n o m
lonu	l o n u
louisiana	l u i z i aː n a
ložisko	l o ʒ i s k o
luanda	l u a n d a
luhár	l u ɦ aː r
luhať	l u ɦ a c
lúk	l uː k
lúkach	l uː k a x
lúkam	l uː k a m
lúkami	l uː k a m i
lúke	l uː k e
lukmi	l u k m i
lukoch	l u k o x
lukom	l u k o m
lúkou	l uː k o u
lukov	l u k o f
luku	l u k u
lúku	l uː k u
luky	l u k i
lúky	l uː k i
lún	l uː n
lunách	l u n aː x
lunám	l u n aː m
lunami	l u n a m i
lunou	l u n o u
lunu	l u n u
luny	l u n i
lúpež	l uː p e ʃ
lupina	l u p i n a
lusaka	l u s a k a
lúčka	l uː t͡ʃ k a
lúčny	l uː t͡ʃ n i
lyžiarstvo	l i ʒ i̯ a r s t v o
ma	m a
macek	m a t͡s e k
mach	m a x
machom	m a x o m
machov	m a x o f
machu	m a x u
madagaskar	m a d a ɡ a s k a r
madrid	m a t r i t
magnetizácia	m a ɡ n e t i z aː t͡s i̯ a
magnetizmus	m a ɡ n e t i z m u s
magnetizovať	m a ɡ n e t i z o v a c
maháraštra	m a ɦ aː r a ʃ t r a
maine	m e j n
maj	m a j
maják	m a j aː k
majme	m a j m e
majte	m a j t e
majú	m a j uː
mäkké	m ɛ ɐ̯ k eː
mäkkí	m ɛ ɐ̯ k iː
mäkkú	m ɛ ɐ̯ k uː
mäkčeň	m ɛ ɐ̯ k t͡ʃ e ɲ
mal	m a l
mala	m a l a
malajzia	m a l a j z i̯ a
mali	m a l i
malo	m a l o
málo	m aː l o
malta	m a l t a
malte	m a l t e
maltou	m a l t o u
maltu	m a l t u
malty	m a l t i
managua	m a n a ɡ u a
manáma	m a n aː m a
manila	m a n i l a
manžel	m a n ʒ e l
manželka	m a n ʒ e l k a
maputo	m a p u t o
marcel	m a r t͡s e l
marek	m a r e k
marena	m a r e n a
marián	m a r i aː n
martin	m a r t i n
martina	m a r t i n a
maryland	m e r i l e n t
mäsa	m ɛ ɐ̯ s a
mäsá	m ɛ ɐ̯ s aː
mäsách	m ɛ ɐ̯ s aː x
mäsám	m ɛ ɐ̯ s aː m
mäsami	m ɛ ɐ̯ s a m i
mäse	m ɛ ɐ̯ s e
maseru	m a s e r u
masliak	m a s ʎ i̯ a k
mäso	m ɛ ɐ̯ s o
mäsom	m ɛ ɐ̯ s o m
mäsožravec	m ɛ ɐ̯ s o ʒ r a v e t͡s
mäsožravý	m ɛ ɐ̯ s o ʒ r a v iː
massachusetts	m e s e t͡ʃ uː s e t͡s
masti	m a s t i
mastí	m a s t iː
mastiach	m a s t i̯ a x
mastiam	m a s t i̯ a m
mäsu	m ɛ ɐ̯ s u
masťami	m a s c a m i
masťou	m a s c o u
máte	m aː t e
matrac	m a t r a t͡s
matrioška	m a t r i o ʃ k a
matus	m a t u s
mechúr	m e x uː r
mede	m e ɟ e
medi	m e ɟ i
medina	m e d i n a
medom	m e d o m
medu	m e d u
medúza	m e d uː z a
medvede	m e d v e d e
medvedi	m e d v e d i
medveďa	m e d v e ɟ a
medveďom	m e d v e ɟ o m
melbourne	m e l b ø r n
menovec	m e n o v e t͡s
menovkyňa	m e n o v k i ɲ a
mentalita	m e n t a l i t a
mentálny	m e n t aː l n i
merkúr	m e r k uː r
méta	m eː t a
meter	m e t e r
meďou	m e ɟ o u
miami	m a j a m i
michaela	m i x a e l a
michal	m i x a l
michigan	m i ʃ i ɡ e n
miere	m i̯ e r e
mieri	m i̯ e r i
mierom	m i̯ e r o m
mierou	m i̯ e r o u
mieru	m i̯ e r u
miery	m i̯ e r i
miestenka	m i̯ e s t e n k a
miešačka	m i̯ e ʃ a t͡ʃ k a
