㒒	p ɔ k̚ ⁴
吊銷	t i a u ² ¹ ⁻ ⁴ ¹ s i a u ⁴ ⁴
吊鐘	t i a u ² ¹ ⁻ ⁴ ¹ t͡s i ɪ ŋ ⁴ ⁴
吊頷	t i a u ² ¹ ⁻ ⁴ ¹ a m ³ ³
吊鬼仔	t i a u ² ¹ ⁻ ⁴ ¹ k u i ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
吊鼎	t i a u ² ¹ ⁻ ⁴ ¹ t i ã ⁴ ¹
吋	t͡sʰ u n ² ¹
同	t a ŋ ² ³
同	t ɔ ŋ ² ³
同事	t ɔ ŋ ² ³ ⁻ ³ ³ s u ³ ³
同人	t ɔ ŋ ² ³ ⁻ ³ ³ z i n ² ³
同仁	t ɔ ŋ ² ³ ⁻ ³ ³ z i n ² ³
同伴	t ɔ ŋ ² ³ ⁻ ³ ³ pʰ u ã ³ ³
同位素	t ɔ ŋ ² ³ ⁻ ³ ³ u i ³ ³ ⁻ ² ¹ s ɔ ² ¹
同位角	t ɔ ŋ ² ³ ⁻ ³ ³ u i ³ ³ ⁻ ² ¹ k a k̚ ³ ²
同位語	t ɔ ŋ ² ³ ⁻ ³ ³ u i ³ ³ ⁻ ² ¹ ɡ i ⁴ ¹
同僚	t ɔ ŋ ² ³ ⁻ ³ ³ l i a u ² ³
同化	t ɔ ŋ ² ³ ⁻ ³ ³ h u a ² ¹
同在	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s a i ³ ³
同姒	t a ŋ ² ³ ⁻ ³ ³ s a i ³ ³
同姓	t ɔ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ² ¹
同婚	t ɔ ŋ ² ³ ⁻ ³ ³ h u n ⁴ ⁴
同學	t a ŋ ² ³ ⁻ ³ ³ ɤ ʔ ⁴
同學	t ɔ ŋ ² ³ ⁻ ³ ³ h a k̚ ⁴
同學	t ɔ ŋ ² ³ ⁻ ³ ³ ɤ ʔ ⁴
同學會	t ɔ ŋ ² ³ ⁻ ³ ³ h a k̚ ⁴ ⁻ ³ ² h u e ³ ³
同安	t a ŋ ² ³ ⁻ ³ ³ u ã ⁴ ⁴
同宗	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s ɔ ŋ ⁴ ⁴
同居	t ɔ ŋ ² ³ ⁻ ³ ³ k i ⁴ ⁴
同席	t ɔ ŋ ² ³ ⁻ ³ ³ s i ɪ k̚ ⁴
同年	t a ŋ ² ³ ⁻ ³ ³ n ĩ ² ³
同床異夢	t ɔ ŋ ² ³ ⁻ ³ ³ t͡sʰ ŋ̍ ² ³ ⁻ ³ ³ i ³ ³ ⁻ ² ¹ b ɔ ŋ ³ ³
同心	t a ŋ ² ³ ⁻ ³ ³ s i m ⁴ ⁴
同心協力	t a ŋ ² ³ ⁻ ³ ³ s i m ⁴ ⁴ ⁻ ³ ³ h i a p̚ ⁴ ⁻ ³ ² l i ɪ k̚ ⁴
同心協力	t ɔ ŋ ² ³ ⁻ ³ ³ s i m ⁴ ⁴ ⁻ ³ ³ h i a p̚ ⁴ ⁻ ³ ² l i ɪ k̚ ⁴
同志	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s i ² ¹
同性	t ɔ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ² ¹
同性愛	t ɔ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ a i ² ¹
同性戀	t ɔ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ l u a n ² ³
同情	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ³
同情心	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ³ ⁻ ³ ³ s i m ⁴ ⁴
同意	t ɔ ŋ ² ³ ⁻ ³ ³ i ² ¹
同意書	t ɔ ŋ ² ³ ⁻ ³ ³ i ² ¹ ⁻ ⁴ ¹ s u ⁴ ⁴
同感	t ɔ ŋ ² ³ ⁻ ³ ³ k a m ⁴ ¹
同慶	t ɔ ŋ ² ³ ⁻ ³ ³ kʰ i ɪ ŋ ² ¹
同房	t a ŋ ² ³ ⁻ ³ ³ p a ŋ ² ³
同房	t ɔ ŋ ² ³ ⁻ ³ ³ p a ŋ ² ³
同族	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s ɔ k̚ ⁴
同時	t a ŋ ² ³ ⁻ ³ ³ s i ² ³
同時	t ɔ ŋ ² ³ ⁻ ³ ³ s i ² ³
同期	t ɔ ŋ ² ³ ⁻ ³ ³ k i ² ³
同案	t a ŋ ² ³ ⁻ ³ ³ u ã ² ¹
同業	t ɔ ŋ ² ³ ⁻ ³ ³ ɡ i a p̚ ⁴
同業公會	t ɔ ŋ ² ³ ⁻ ³ ³ ɡ i a p̚ ⁴ ⁻ ³ ² k ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h u e ³ ³
同樂	t ɔ ŋ ² ³ ⁻ ³ ³ l ɔ k̚ ⁴
同樣	t a ŋ ² ³ ⁻ ³ ³ i ũ ³ ³
同歸於盡	t ɔ ŋ ² ³ ⁻ ³ ³ k u i ⁴ ⁴ ⁻ ³ ³ i ² ³ ⁻ ³ ³ t͡s i n ³ ³
同母異父	t ɔ ŋ ² ³ ⁻ ³ ³ b u ⁴ ¹ i ³ ³ ⁻ ² ¹ h u ³ ³
同母異父	t ɔ ŋ ² ³ ⁻ ³ ³ b u ⁴ ¹ ĩ ³ ³ ⁻ ² ¹ h u ³ ³
同母異父	t ɔ ŋ ² ³ ⁻ ³ ³ b ɤ ⁴ ¹ i ³ ³ ⁻ ² ¹ h u ³ ³
同治	t ɔ ŋ ² ³ ⁻ ³ ³ t i ³ ³
同流合污	t ɔ ŋ ² ³ ⁻ ³ ³ l i u ² ³ h a p̚ ⁴ ⁻ ³ ² u ² ¹
同流合污	t ɔ ŋ ² ³ ⁻ ³ ³ l i u ² ³ k a p̚ ⁴ ⁻ ³ ² u ² ¹
同父異母	t ɔ ŋ ² ³ ⁻ ³ ³ h u ³ ³ i ³ ³ ⁻ ² ¹ b i ɤ ⁴ ¹
同父異母	t ɔ ŋ ² ³ ⁻ ³ ³ h u ³ ³ ĩ ³ ³ ⁻ ² ¹ b u ⁴ ¹
同班	t ɔ ŋ ² ³ ⁻ ³ ³ p a n ⁴ ⁴
同理	t ɔ ŋ ² ³ ⁻ ³ ³ l i ⁴ ¹
同甘共苦	t ɔ ŋ ² ³ ⁻ ³ ³ k a m ⁴ ⁴ ⁻ ³ ³ k i ɔ ŋ ³ ³ ⁻ ² ¹ kʰ ɔ ⁴ ¹
同病相憐	t ɔ ŋ ² ³ ⁻ ³ ³ p i ɪ ŋ ³ ³ ⁻ ² ¹ s i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ l i n ² ³
同病相憐	t ɔ ŋ ² ³ ⁻ ³ ³ p ẽ ³ ³ ⁻ ² ¹ s i a ŋ ⁴ ⁴ ⁻ ³ ³ l i n ² ³
同盟	t ɔ ŋ ² ³ ⁻ ³ ³ b i ɪ ŋ ² ³
同盟國	t ɔ ŋ ² ³ ⁻ ³ ³ b i ɪ ŋ ² ³ ⁻ ³ ³ k ɔ k̚ ³ ²
同種	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ¹
同窗	t ɔ ŋ ² ³ ⁻ ³ ³ t͡sʰ ɔ ŋ ⁴ ⁴
同等	t ɔ ŋ ² ³ ⁻ ³ ³ t i ɪ ŋ ⁴ ¹
同胞	t ɔ ŋ ² ³ ⁻ ³ ³ p a u ⁴ ⁴
同舟共濟	t ɔ ŋ ² ³ ⁻ ³ ³ t͡s i u ⁴ ⁴ ⁻ ³ ³ k i ɔ ŋ ³ ³ ⁻ ² ¹ t͡s e ² ¹
同行	t a ŋ ² ³ ⁻ ³ ³ k i ã ² ³
同行	t ɔ ŋ ² ³ ⁻ ³ ³ h a ŋ ² ³
同謀	t ɔ ŋ ² ³ ⁻ ³ ³ b ɔ ² ³
同輩	t ɔ ŋ ² ³ ⁻ ³ ³ p u e ² ¹
同道	t a ŋ ² ³ ⁻ ³ ³ t ɤ ³ ³
同鄉	t a ŋ ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴
同鄉	t ɔ ŋ ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴
同鄉會	t ɔ ŋ ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h u e ³ ³
同門	t a ŋ ² ³ ⁻ ³ ³ m ŋ̍ ² ³
同類	t ɔ ŋ ² ³ ⁻ ³ ³ l u i ³ ³
名	b i ɪ ŋ ² ³
名	m i ã ² ³
名人	b i ɪ ŋ ² ³ ⁻ ³ ³ z i n ² ³
名冊	m i ã ² ³ ⁻ ³ ³ t͡sʰ e ʔ ³ ²
名分	b i ɪ ŋ ² ³ ⁻ ³ ³ h u n ³ ³
名分	m i ã ² ³ ⁻ ³ ³ h u n ³ ³
名列	m i ã ² ³ ⁻ ³ ³ l i ɛ t̚ ⁴
名利	b i ɪ ŋ ² ³ ⁻ ³ ³ l i ³ ³
名利	m i ã ² ³ ⁻ ³ ³ l i ³ ³
名刺	b i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i ² ¹
名刺	m i ã ² ³ ⁻ ³ ³ t͡sʰ i ² ¹
名刺	m ẽ ² ¹ ⁻ ⁴ ¹ s i ² ¹
名副其實	m i ã ² ³ ⁻ ³ ³ h u ² ¹ ⁻ ⁴ ¹ k i ² ³ ⁻ ³ ³ s i t̚ ⁴
名勝	b i ɪ ŋ ² ³ ⁻ ³ ³ s i ɪ ŋ ² ¹
名古屋	b i ɪ ŋ ² ³ ⁻ ³ ³ k ɔ ⁴ ¹ ⁻ ⁴ ⁴ ɔ k̚ ³ ²
名單	m i ã ² ³ ⁻ ³ ³ t u ã ⁴ ⁴
名堂	b i ɪ ŋ ² ³ ⁻ ³ ³ t ɔ ŋ ² ³
名姓	m i ã ² ³ ⁻ ³ ³ s ẽ ² ¹
名字	m i ã ² ³ ⁻ ³ ³ z i ³ ³
名家	m i ã ² ³ ⁻ ³ ³ k a ⁴ ⁴
名將	m i ã ² ³ ⁻ ³ ³ t͡s i ɔ ŋ ² ¹
名帖	m i ã ² ³ ⁻ ³ ³ tʰ i a p̚ ³ ²
名曲	b i ɪ ŋ ² ³ ⁻ ³ ³ kʰ i ɪ k̚ ³ ²
名望	b i ɪ ŋ ² ³ ⁻ ³ ³ b ɔ ŋ ³ ³
名次	m i ã ² ³ ⁻ ³ ³ t͡sʰ u ² ¹
名正言順	b i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɪ ŋ ² ¹ ⁻ ⁴ ¹ ɡ i ɛ n ² ³ ⁻ ³ ³ s u n ³ ³
名氣	m i ã ² ³ ⁻ ³ ³ kʰ i ² ¹
名流	m i ã ² ³ ⁻ ³ ³ l i u ² ³
名片	b i ɪ ŋ ² ³ ⁻ ³ ³ pʰ i ɛ n ² ¹
名片	b i ɪ ŋ ² ³ ⁻ ³ ³ pʰ ĩ ² ¹
名片	m i ã ² ³ ⁻ ³ ³ pʰ i ɛ n ² ¹
名片	m i ã ² ³ ⁻ ³ ³ pʰ ĩ ² ¹
名牌	m i ã ² ³ ⁻ ³ ³ p a i ² ³
名產	b i ɪ ŋ ² ³ ⁻ ³ ³ s a n ⁴ ¹
名目	m i ã ² ³ ⁻ ³ ³ b a k̚ ⁴
名稱	m i ã ² ³ ⁻ ³ ³ t͡sʰ i ɪ ŋ ⁴ ⁴
名節	b i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ɛ t̚ ³ ²
名簿	m i ã ² ³ ⁻ ³ ³ pʰ ɔ ³ ³
名義	b i ɪ ŋ ² ³ ⁻ ³ ³ ɡ i ³ ³
名義	m i ã ² ³ ⁻ ³ ³ ɡ i ³ ³
名聲	m i ã ² ³ ⁻ ³ ³ s i ã ⁴ ⁴
名聲敨	m i ã ² ³ ⁻ ³ ³ s i ã ⁴ ⁴ ⁻ ³ ³ tʰ a u ⁴ ¹
名著	m i ã ² ³ ⁻ ³ ³ t u ² ¹
名號	b i ɪ ŋ ² ³ ⁻ ³ ³ h ɤ ³ ³
名號	m i ã ² ³ ⁻ ³ ³ h ɤ ³ ³
名言	m i ã ² ³ ⁻ ³ ³ ɡ i ɛ n ² ³
名詞	b i ɪ ŋ ² ³ ⁻ ³ ³ s u ² ³
名詞	m i ã ² ³ ⁻ ³ ³ s u ² ³
名誌	b i ɪ ŋ ² ³ ⁻ ³ ³ t͡s i ² ¹
名譽	b i ɪ ŋ ² ³ ⁻ ³ ³ u ³ ³
名貴	b i ɪ ŋ ² ³ ⁻ ³ ³ k u i ² ¹
名醫	m i ã ² ³ ⁻ ³ ³ i ⁴ ⁴
名門	b i ɪ ŋ ² ³ ⁻ ³ ³ b u n ² ³
名額	m i ã ² ³ ⁻ ³ ³ ɡ i a ʔ ⁴
后	h i ɤ ³ ³
后	h ɔ ³ ³
后土	h i ɤ ³ ³ ⁻ ² ¹ tʰ ɔ ⁴ ¹
后土	h ɔ ³ ³ ⁻ ² ¹ tʰ ɔ ⁴ ¹
后羿	h ɔ ³ ³ ⁻ ² ¹ ɡ e ³ ³
后里	a u ³ ³ ⁻ ² ¹ l i ⁴ ¹
吏	l i ³ ³
吐	tʰ ɔ ² ¹
吐	tʰ ɔ ⁴ ¹
吐大氣	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ t u a ³ ³ ⁻ ² ¹ kʰ u i ² ¹
吐棄	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ kʰ i ² ¹
吐槽	tʰ u ³ ² ⁻ ⁴ ¹ t͡sʰ a u ² ¹
吐槽	tʰ u ʔ ³ ² ⁻ ⁴ ¹ t͡sʰ a u ² ¹
吐氣	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ kʰ u i ² ¹
吐瀉	tʰ ɔ ² ¹ ⁻ ⁴ ¹ s i a ² ¹
吐目	tʰ ɔ ² ¹ ⁻ ⁴ ¹ b a k̚ ⁴
吐目	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ b a k̚ ⁴
吐穗	tʰ ɔ ² ¹ ⁻ ⁴ ¹ s u i ³ ³
吐腸頭	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ t ŋ̍ ² ³ ⁻ ³ ³ tʰ a u ² ³
吐血	tʰ ɔ ² ¹ ⁻ ⁴ ¹ h i ɛ t̚ ³ ²
吐血	tʰ ɔ ² ¹ ⁻ ⁴ ¹ h u e ʔ ³ ²
吐谷渾	tʰ u t̚ ⁴ ⁻ ³ ² k i ɔ k̚ ⁴ ⁻ ³ ² h u n ² ³
吐露	tʰ ɔ ² ¹ ⁻ ⁴ ¹ l ɤ ³ ³
吐頭	tʰ ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ tʰ a u ² ³
吐頭	tʰ ɔ ⁴ ¹ ⁻ ⁴ ⁴ tʰ a u ² ³
向	h i a ŋ ² ¹
向	h i ã ² ¹
向	h i ũ ² ¹
向	h i ɔ ŋ ² ¹
向	ã ² ¹
向	ŋ̍ ² ¹
向上	h i a ŋ ² ¹ ⁻ ⁴ ¹ s i a ŋ ³ ³
向上	h i a ŋ ² ¹ ⁻ ⁴ ¹ s i ɔ ŋ ³ ³
向上	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ s i ɔ ŋ ³ ³
向下	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ h a ³ ³
向來	h i a ŋ ² ¹ ⁻ ⁴ ¹ l a i ² ³
向來	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ l a i ² ³
向前	h i ã ² ¹ ⁻ ⁴ ¹ t͡s i ɪ ŋ ² ³
向前	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ t͡s i ɛ n ² ³
向前	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ t͡s i ɪ ŋ ² ³
向前	ŋ̍ ² ¹ ⁻ ⁴ ¹ t͡s i ɪ ŋ ² ³
向北	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ p a k̚ ³ ²
向北	ŋ̍ ² ¹ ⁻ ⁴ ¹ p a k̚ ³ ²
向南	ŋ̍ ² ¹ ⁻ ⁴ ¹ l a m ² ³
向善	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ s i ɛ n ³ ³
向外	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ ɡ u a ³ ³
向後	h i ã ² ¹ ⁻ ⁴ ¹ a u ³ ³
向後	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ h ɔ ³ ³
向後	ŋ̍ ² ¹ ⁻ ⁴ ¹ a u ³ ³
向心力	h i a ŋ ² ¹ ⁻ ⁴ ¹ s i m ⁴ ⁴ ⁻ ³ ³ l i ɪ k̚ ⁴
向心力	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ s i m ⁴ ⁴ ⁻ ³ ³ l i ɪ k̚ ⁴
向日	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ z i t̚ ⁴
向日葵	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ z i t̚ ⁴ ⁻ ³ ² k u i ² ³
向時	h i a ŋ ² ¹ ⁻ ⁴ ¹ s i ² ³
向望	ŋ̍ ² ¹ ⁻ ⁴ ¹ b a ŋ ³ ³
向陣	h i a ŋ ² ¹ ⁻ ⁴ ¹ t͡s u n ³ ³
向陽	h i a ŋ ² ¹ ⁻ ⁴ ¹ i a ŋ ² ³
向陽	h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ i ɔ ŋ ² ³
吒	t a ² ¹
吒	t͡sʰ a ² ¹
吒	t͡sʰ i a ⁴ ⁴
君	k u n ⁴ ⁴
君主	k u n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹
君主國	k u n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹ ⁻ ⁴ ⁴ k ɔ k̚ ³ ²
君子	k u n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹
君滾棍骨裙滾郡滑	k u n ⁴ ⁴ k u n ⁴ ¹ k u n ² ¹ k u t̚ ³ ² k u n ² ³ k u n ⁴ ¹ k u n ³ ³ k u t̚ ⁴
君王	k u n ⁴ ⁴ ⁻ ³ ³ ɔ ŋ ² ³
君臣	k u n ⁴ ⁴ ⁻ ³ ³ s i n ² ³
吝	l i n ³ ³
吝嗇	l i n ³ ³ ⁻ ² ¹ s i ɪ k̚ ³ ²
吝嗇	n ĩ ² ¹ ⁻ ⁴ ¹ s ĩ ² ¹
吝嗇	n ĩ ³ ² ⁻ ⁴ ¹ s ĩ ʔ ³ ²
吝嗇	n ĩ ʔ ³ ² ⁻ ⁴ ¹ s ĩ ʔ ³ ²
吝嗇鬼	n ĩ ² ¹ ⁻ ⁴ ¹ s ĩ ² ¹ ⁻ ⁴ ¹ k u i ⁴ ¹
吞	tʰ u n ⁴ ⁴
吞佔	tʰ u n ⁴ ⁴ ⁻ ³ ³ t͡s i a m ² ¹
吞併	tʰ u n ⁴ ⁴ ⁻ ³ ³ p i ɪ ŋ ² ¹
吞吐	tʰ u n ⁴ ⁴ ⁻ ³ ³ tʰ ɔ ² ¹
吞噬	tʰ u n ⁴ ⁴ ⁻ ³ ³ s e ³ ³
吞忍	tʰ u n ⁴ ⁴ ⁻ ³ ³ l u n ⁴ ¹
吞聲	tʰ u n ⁴ ⁴ ⁻ ³ ³ s i ã ⁴ ⁴
吞食	tʰ u n ⁴ ⁴ ⁻ ³ ³ t͡s i a ʔ ⁴
吟	ɡ i m ² ³
吟味	ɡ i m ² ³ ⁻ ³ ³ b i ³ ³
吟唱	ɡ i m ² ³ ⁻ ³ ³ t͡sʰ i ũ ² ¹
吟詩	ɡ i m ² ³ ⁻ ³ ³ s i ⁴ ⁴
吟誦	ɡ i m ² ³ ⁻ ³ ³ s i ɔ ŋ ³ ³
吠	h u i ³ ³
吠	p u i ³ ³
否	h ɔ ⁴ ¹
否	h ɔ̃ ⁴ ¹
否	pʰ i ⁴ ¹
否勢	pʰ a i ⁴ ¹ ⁻ ⁴ ⁴ s i ² ¹
否勢	pʰ ã i ⁴ ¹ ⁻ ⁴ ⁴ s e ² ¹
否定	h ɔ ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ ŋ ³ ³
否定	h ɔ̃ ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ ŋ ³ ³
否決	h i ɤ ⁴ ¹ ⁻ ⁴ ⁴ k u a t̚ ³ ²
否決	h ɔ ⁴ ¹ ⁻ ⁴ ⁴ k u a t̚ ³ ²
否決	h ɔ̃ ⁴ ¹ ⁻ ⁴ ⁴ k u a t̚ ³ ²
否決權	h ɔ ⁴ ¹ ⁻ ⁴ ⁴ k u a t̚ ³ ² ⁻ ⁴ k u a n ² ³
否認	h i ɤ ⁴ ¹ ⁻ ⁴ ⁴ z i m ³ ³
否認	h ɔ ⁴ ¹ ⁻ ⁴ ⁴ z i n ³ ³
否認	h ɔ̃ ⁴ ¹ ⁻ ⁴ ⁴ z i n ³ ³
吧	p a ³ ³
吧	p a ⁴ ⁴
吧城	p a ⁴ ⁴ ⁻ ³ ³ s i ã ² ³
吧檯	p a ⁴ ⁴ ⁻ ³ ³ t a i ² ³
吩	h u a n ⁴ ⁴
吩	h u n ⁴ ⁴
吩咐	h u a n ⁴ ⁴ ⁻ ³ ³ h u ² ¹
含	h a m ² ³
含	k a m ² ³
含	k ã ² ³
含冤	h a m ² ³ ⁻ ³ ³ u a n ⁴ ⁴
含含糊糊	h a m ² ³ ⁻ ³ ³ h a m ² ³ ⁻ ³ ³ h ɔ ² ³ ⁻ ³ ³ h ɔ ² ³
含怨	h a m ² ³ ⁻ ³ ³ u a n ² ¹
含恨	h a m ² ³ ⁻ ³ ³ h i n ³ ³
含恨	h a m ² ³ ⁻ ³ ³ h u n ³ ³
含意	h a m ² ³ ⁻ ³ ³ i ² ¹
含梢	h a m ² ³ ⁻ ³ ³ s a u ⁴ ⁴
含淚	h a m ² ³ ⁻ ³ ³ l u i ³ ³
含笑	h a m ² ³ ⁻ ³ ³ s i a u ² ¹
含糊	h a m ² ³ ⁻ ³ ³ h ɔ ² ³
含罅	h a m ² ³ ⁻ ³ ³ h e ⁴ ⁴
含罅	h a m ² ³ ⁻ ³ ³ h ẽ ⁴ ⁴
含羞草	h a m ² ³ ⁻ ³ ³ s i u ⁴ ⁴ ⁻ ³ ³ t͡sʰ a u ⁴ ¹
含義	h a m ² ³ ⁻ ³ ³ ɡ i ³ ³
含蓄	h a m ² ³ ⁻ ³ ³ tʰ i ɔ k̚ ³ ²
含血噴人	h a m ² ³ ⁻ ³ ³ h i ɛ t̚ ³ ² pʰ u n ² ¹ ⁻ ⁴ ¹ z i n ² ³
含量	h a m ² ³ ⁻ ³ ³ l i a ŋ ³ ³
含量	h a m ² ³ ⁻ ³ ³ l i ɔ ŋ ³ ³
含飯	b a m ³ ³ ⁻ ² ¹ p ŋ̍ ³ ³
吭	kʰ ŋ̍ ʔ ³ ²
吭	kʰ ɔ ŋ ³ ³
吭跤翹	kʰ ɔ ŋ ³ ³ ⁻ ² ¹ kʰ a ⁴ ⁴ ⁻ ³ ³ kʰ i a u ² ¹
吮	t͡s ŋ̍ ³ ³
吮	t͡sʰ u ĩ ⁴ ¹
吮	t͡sʰ ŋ̍ ⁴ ¹
吮	u n ⁴ ¹
吰	h ɔ ŋ ² ³
吱	k i ⁴ ⁴
吱	t͡s i ⁴ ⁴
吱吱嚼嚼	t͡s i ⁴ ⁴ ⁻ ³ ³ t͡s i ⁴ ⁴ ⁻ ³ ³ t͡s i a u ʔ ⁴ ⁻ ² ¹ t͡s i a u ʔ ⁴
吱吱嚼嚼	t͡s i ⁴ ⁴ ⁻ ³ ³ t͡s i ⁴ ⁴ ⁻ ³ ³ t͡s i a u ⁴ ⁻ ² ¹ t͡s i a u ʔ ⁴
吳	ŋ ɔ̃ ² ³
吳語	ŋ ɔ̃ ² ³ ⁻ ³ ³ ɡ i ⁴ ¹
吳郭魚	ŋ ɔ̃ ² ³ ⁻ ³ ³ k u e ³ ² ⁻ ⁴ ¹ h i ² ³
吳郭魚	ŋ ɔ̃ ² ³ ⁻ ³ ³ k u e ʔ ³ ² ⁻ ⁴ ¹ h i ² ³
吳郭魚	ŋ ɔ̃ ² ³ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ h i ² ³
吳郭魚	ɡ ɔ ² ³ ⁻ ³ ³ k u e ³ ² ⁻ ⁴ ¹ h i ² ³
吳郭魚	ɡ ɔ ² ³ ⁻ ³ ³ k u e ʔ ³ ² ⁻ ⁴ ¹ h i ² ³
吳音	ŋ ɔ̃ ² ³ ⁻ ³ ³ i m ⁴ ⁴
吵	t͡sʰ a ⁴ ¹
吵嘴	t͡sʰ a ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ u i ² ¹
吵嚷	t͡sʰ a ⁴ ¹ ⁻ ⁴ ⁴ z i a ŋ ⁴ ¹
吵醒	t͡sʰ a ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ ẽ ⁴ ¹
吵鬧	t͡sʰ a u ⁴ ¹ ⁻ ⁴ ⁴ l a u ³ ³
吵鬧	t͡sʰ a u ⁴ ¹ ⁻ ⁴ ⁴ n ã u ³ ³
吵鬧	t͡sʰ a ⁴ ¹ ⁻ ⁴ ⁴ n ã u ³ ³
吶	n ã ³ ³
吸	kʰ i p̚ ³ ²
吸入	kʰ i p̚ ³ ² ⁻ ⁴ z i p̚ ⁴
吸取	kʰ i p̚ ³ ² ⁻ ⁴ t͡sʰ u ⁴ ¹
吸塵器	kʰ i p̚ ³ ² ⁻ ⁴ t i n ² ³ ⁻ ³ ³ kʰ i ² ¹
吸引	kʰ i p̚ ³ ² ⁻ ⁴ i n ⁴ ¹
吸引力	kʰ i p̚ ³ ² ⁻ ⁴ i n ⁴ ¹ ⁻ ⁴ ⁴ l a t̚ ⁴
吸引力	kʰ i p̚ ³ ² ⁻ ⁴ i n ⁴ ¹ ⁻ ⁴ ⁴ l i ɪ k̚ ⁴
吸收	kʰ i p̚ ³ ² ⁻ ⁴ s i u ⁴ ⁴
吸毒	kʰ i p̚ ³ ² ⁻ ⁴ t ɔ k̚ ⁴
吸氣	kʰ i p̚ ³ ² ⁻ ⁴ kʰ i ² ¹
吸水	kʰ i p̚ ³ ² ⁻ ⁴ t͡s u i ⁴ ¹
吸汗	kʰ i p̚ ³ ² ⁻ ⁴ k u ã ³ ³
吸煙	kʰ i p̚ ³ ² ⁻ ⁴ i ɛ n ⁴ ⁴
吸石仔	kʰ i p̚ ⁴ ⁻ ³ ² t͡s i ɤ ʔ ⁴ ⁻ ³ ³ a ⁴ ¹
吸石仔	kʰ i p̚ ⁴ ⁻ ³ ² t͡s i ɤ ⁴ ⁻ ³ ³ a ⁴ ¹
吸血	kʰ i p̚ ³ ² ⁻ ⁴ h u e ʔ ³ ²
吸附	kʰ i p̚ ³ ² ⁻ ⁴ h u ² ¹
吹	t͡sʰ u e ⁴ ⁴
吹	t͡sʰ u i ⁴ ⁴
吹管	t͡sʰ u e ⁴ ⁴ ⁻ ³ ³ k ɔ ŋ ⁴ ¹
吹風	t͡sʰ u e ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
吹風機	t͡sʰ u e ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ k i ⁴ ⁴
吻	b u n ⁴ ¹
吻別	b u n ⁴ ¹ ⁻ ⁴ ⁴ p i ɛ t̚ ⁴
吼	h a u ⁴ ¹
