't	t
ergätzen	e ʀ ɡ æ t s e n
erhuuschen	e ʀ h uː ʃ e n
erhuuschten	e ʀ h uː ʃ t e n
eriwwer	e ʀ i v e ʀ
erkennen	e ʀ k æ n e n
erlaben	e ʀ l aː b e n
erof	e ʀ oː f
eroffalen	e ʀ oː f f aː l e n
eroflueden	e r o f l uː d e n
erofsetzen	e ʀ oː f z æ t s e n
eropsetzen	e ʀ o p z æ t͡s e n
ersetzen	e ʀ z æ t͡s e n
erstaunlech	ɐ ʃ t ɑ ʊ̯ n l ə ɕ
erstécken	e ʀ ʃ t e k e n
erwaarden	e ʀ v aː ʀ d e n
erwaarden	e ʀ v aː d e n
erwëschen	e ʀ v e ʃ e n
erzéien	e ʀ t s e i̯ e n
Erzéiung	e ʀ t s e i̯ u ŋ
Erëffnung	e ʀ e f n u ŋ
erëm	e r e m
erënneren	e ʀ e n e ʁ e n
Erënnerung	e ʀ e n e ʀ u ŋ
eréischt	e ʀ e i̯ ʃ t
esou	e z e u̯
esou	e z u
esoubal	e z u b aː l
esouguer	e z u ɡ uː ʀ
esoulaang	e z u l aː ŋ
Esseg	æ s e χ
Estland	æ s t l a n t
et	e t
Etapp	eː t a p
Etapp	e t a p
Ettelbréck	æ t e l b r e k
Etude	eː t yː t
Etude	eː t y t
ewech	e v æ χ
ewell	e v æ l
ewéi	e v e i̯
ewéi	e v i
exageréieren	æ k z a ʒ e ʀ e i̯ ʀ e n
explizéieren	æ k s p l i t s e i̯ r e n
Exploitatioun	æ k s p l v a t a t s j e u̯ n
Exploitatioun	æ k s p l v a t a s j e u̯ n
exteren	æ k s t e ʀ e n
Faarf	f aː r f
Faart	f aː ʀ t
Faart	f aː t
faarweblann	f aː r v e b l a n
faaschten	f aː ʃ t e n
Faaschtenzäit	f aː ʃ t e n t s æ i̯ t
Faass	f aː s
faassen	f aː s e n
Fach	f a χ
fad	f aː t
Fahrlehrer	f aː ʀ l eː ʀ e ʀ
Fakel	f aː k e l
Fal	f aː l
falen	f aː l e n
Fall	f a l
Fallek	f a l e k
falls	f a l s
Famill	f a m i l
Fanger	f a ŋ e ʀ
Fangernol	f a ŋ e ʀ n oː l
Fangerspëtz	f a ŋ e ʀ ʃ p e t s
fann	f a n
fannen	f a n e n
fannt	f a n t
Far	f aː ʀ
Far	f aː
Fascht	f a ʃ t
Fassad	f a s aː t
Faszinatioun	f a s t s i n a t s j e u̯ n
Faszinatioun	f a s t s i n a s j e u̯ n
Fatz	f a t s
faul	f ɑ ʊ l
faul	f æː ʊ l
faulen	f a u̯ l e n
faulenzen	f æ u̯ l æ n t s e n
Fauscht	f æ u̯ ʃ t
Fee	f eː
feelen	f eː l e n
Feeler	f eː l e ʀ
feeën	f e e n
Feierblumm	f a i̯ e ʀ b l u m
Feierblumm	f a i̯ ʀ b l u m
Feierdag	f a i̯ e ʀ d aː χ
Feierdag	f a i̯ ʀ d aː χ
feieren	f a i̯ ʀ e n
Feigling	f ɑ ɪ̯ ʑ l i ŋ
Feil	f a i̯ l
Feind	f a i̯ n t
Feld	f æ l t
Feldhong	f æ l t h o ŋ
Fenneg	f æ n e χ
fest	f æ s t
festsetzen	f æ s t z æ t s e n
feststellen	f æ s t ʃ t æ l e n
Feuter	f øː t e ʀ
Fichier	f i ʃ j e
fidderen	f i d e ʀ e n
Fieder	f i e̯ d e r
Fiederball	f i e̯ d e ʀ b a l
Fiels	f i e̯ l s
Fierkel	f i e̯ k e l
Fierschter	f i e̯ ʀ ʃ t e ʀ
fierwen	f i e̯ v e n
Fies	f i e̯ s
Fiffi	f i f i
Figur	f i ɡ uː ʀ
Fiicht	f iː χ t
fiicht	f iː χ t
Fiichtegkeet	f iː χ t e χ k eː t
Fiischt	f iː ʃ t
Fils	f i s
Filssen	f i s e n
Filz	f i l s
Filzstëft	f i l s ʃ t e f t
Finn	f i n
fir	f iː ʀ
fir	f e ʀ
fir	f e
firwat	f i ə̯ v aː t
firwat	f ə v aː t
fiselen	f i z e l e n
Fisemreen	f i z e m ʀ eː n
fit	f i t
Fitteng	f i t æ ŋ
Fixfeier	f i k s f a i̯ e ʀ
Fixfeier	f i k s f a i̯ ʀ
Fixspoun	f i k s ʃ p e u̯ n
Fixspéin	f i k s ʃ p ɜ ɪ̯ n
flaach	f l aː χ
Flack	f l a k
fladderen	f l a d e ʀ e n
Flam	f l aː m
Flanell	f l a n æ l
Flank	f l a ŋ k
Flapp	f l a p
flappseg	f l ɑ p s ə ɕ
flechten	f l æ χ t e n
Fleck	f l æ k
Fleegeheem	f l eː ʁ e h eː m
Fleel	f l eː l
Fleesch	f l eː ʃ
Flic	f l i k
Flich	f l i ɕ
Flicht	f l i χ t
Fliedermaus	f l i e̯ d e ʀ m æ u̯ s
Fligel	f l i ʁ e l
Fliger	f l iː ʁ e ʀ
Fliicht	f l iː χ t
Flillek	f l i l e k
flirten	f l œː ʀ t e n
flirten	f l œː t e n
flitt	f l i t
flitts	f l i t s
flitzen	f l i t s e n
Flom	f l oː m
Floss	f l o s
flott	f l o t
Flott	f l o t
flou	f l u
Flouer	f l e u̯ e ʀ
Flouer	f l e u̯ ʀ
Flouernumm	f l e u̯ e ʀ n u m
Flouernumm	f l e u̯ ʀ n u m
Floumaart	f l e u̯ m aː ʀ t
Floumaart	f l e u̯ m aː t
Fluch	f l u χ
fluchen	f l u χ ə n
Fluchfeld	f l u χ f æ l t
Fluchgesellschaft	f l u χ ɡ ə z æ l ʃ a f t
Flued	f l u e̯ t
Fluess	f l u e̯ s
Fluesssom	f l u e̯ s z oː m
flutschen	f l u t ʃ e n
Fläch	f l æ χ
Flächen	f l æ ɕ ə n
Fläiss	f l æ i̯ s
fläissen	f l æ i̯ s e n
Fläsch	f l æ ʃ
Flënt	f l e n t
Flëss	f l ə s
Fléck	f l e k
fléck	f l e k
flécken	f l e k e n
fléi	f l e i̯
fléien	f l e i̯ e n
Fléimouk	f l e i̯ m e u̯ k
fléissen	f l e i̯ s e n
Fléiwel	f l e ɪ̯ v ə l
fofzeg	f o f t s e χ
fofzéng	f o f t s e ŋ
fofzéngt	f o f t s e ŋ t
Folleg	f o l e χ
follegen	f o l e ʁ e n
Fong	f o ŋ
Fonk	f o ŋ k
fooschen	f oː ʃ e n
Force	f o ʀ s
Forchette	f o r ʃ æ t
formatéieren	f o ʀ m a t e i̯ ʀ e n
formidabel	f o ʀ m i d aː b e l
Forschett	f o r ʃ æ t
Fotell	f oː t æ l
Fou	f e u̯
fouen	f e u̯ e n
Fouss	f o u̯ s
Foussbäll	f ə ʊ̯ z b æ l
foussen	f e u̯ s e n
Foussgänger	f e u̯ s ɡ æ ŋ e ʀ
Foussnout	f e u̯ s n e u̯ t
Fousssuel	f e u̯ s z u e̯ l
Fra	f r aː
Frachtschëff	f ʀ a χ t ʃ e f
Frack	f r a k
Frang	f ʀ ɑ ŋ
Frankräich	f ʀ a ŋ k ʀ æ i̯ χ
Frascht	f ʀ a ʃ t
Frechheet	f ʀ æ χ h eː t
Frechheet	f ʀ æ χ eː t
Freed	f ʀ eː t
freeën	f ʀ e e n
freien	f ʀ a i̯ e n
Frell	f ʀ æ l
Fridden	f ʀ i d e n
friddlech	f ʀ i t l e χ
friem	f ʀ i e̯ m
friess	f ʀ i e̯ s
friessen	f ʀ i e̯ s e n
friesst	f ʀ i e̯ s t
Fritt	f ʀ i t
Fritten	f ʀ i t e n
Fro	f ʀ o
froen	f ʀ oː e n
fromm	f ʀ o m
Frooss	f ʀ oː s
frou	f r e u̯
Frust	f ʀ u s t
Fruucht	f ʀ uː χ t
fräi	f r æ i̯
Fräsch	f r æ ʃ
Frënd	f ʀ e n t
frësch	f r e ʃ
frëss	f ʀ e s
frësst	f ʀ e s t
fréi	f r e i̯
fréier	f r e i̯ e r
fréier	f r e i̯ r
fréieren	f r e i̯ r e n
Fréijoer	f r e i̯ j oː e r
Fréijoer	f r e i̯ j oː r
Fudder	f u d e ʀ
fuebelen	f u e̯ b e l e n
Fuedem	f u e̯ d e m
fueren	f uː r e n
Fuererflucht	f uː ʀ e ʀ f l u χ t
Fuerplang	f uː ʀ p l a ŋ
fuerschen	f u e̯ ʃ e n
fuert	f uː ʀ t
Fuerz	f u e̯ t s
fuerzen	f u e̯ t s e n
Fuite	f v i t
futti	f u t i
Fuuss	f uː s
Fächer	f æ χ e r
fäeg	f æ e χ
fäeg	f e e χ
fäerdeg	f eː ʀ d e χ
fäerten	f eː ʀ t e n
Fäil	f æ i̯ l
Fäischt	f æ i̯ ʃ t
fälleg	f æ l e χ
fälschen	f æ l ʃ e n
Fändel	f æ n d e l
fänken	f æ ŋ k e n
fëllen	f e l e n
fëmmen	f e m e n
fënnef	f e n e f
Fënnefeck	f e n e f æ k
Fënnefecker	f e n e f æ k e r
fënneft	f e n e f t
fënns	f e n s
fënnt	f e n t
Fësch	f e ʃ
fëschen	f e ʃ e n
Fëscher	f e ʃ e ʀ
fécken	f e k e n
féieren	f e i̯ ʀ e n
Féiss	f e i̯ s
Féiwer	f e i̯ v e r
Gaalgen	ɡ aː l ʁ e n
gaapsen	ɡ aː p s e n
Gaardeboun	ɡ aː ʀ d e b e u̯ n
Gaardeboun	ɡ aː d e b e u̯ n
Gaarf	ɡ aː ʀ f
Gaarf	ɡ aː f
Gaascht	ɡ aː ʃ t
Gaass	ɡ aː s
Gafel	ɡ aː f e l
Gal	ɡ aː l
Gamm	ɡ a m
Gang	ɡ a ŋ
Gank	ɡ a ŋ k
ganz	ɡ a n s
Gar	ɡ aː r
Gare	ɡ aː r
Gas	ɡ aː s
Gebai	ɡ e b a i̯
gebass	ɡ e b a s
Gebeess	ɡ e b eː s
Gebiet	ɡ e b i e̯ t
Gebitt	ɡ e b i t
geblitt	ɡ e b l i t
geblosen	ɡ e b l oː z e n
gebonnen	ɡ e b o n e n
Gebot	ɡ e b oː t
gebrauchen	ɡ e b ʀ æ u̯ χ e n
gebroden	ɡ e b ʀ oː d e n
gebräichlech	ɡ e b ʀ æ i̯ χ l e χ
gebueden	ɡ e b u e̯ d e n
Geck	ɡ æ k
Gedanken	ɡ e d a ŋ k e n
Gediechtnes	ɡ e d i e̯ χ t n e s
gedoen	ɡ e d o e n
Gedold	ɡ e d o l t
gedriwwen	ɡ e d r i v e n
gedroen	ɡ e d ʀ o e n
gedronk	ɡ e d ʀ o ŋ k
Geescht	ɡ eː ʃ t
geeschteg	ɡ eː ʃ t e χ
Geeschter	ɡ eː ʃ t e ʀ
geeschtlech	ɡ eː ʃ t l e χ
Geeschtlechen	ɡ eː ʃ t l e χ e n
Geeschtlechkeet	ɡ eː ʃ t l e χ k eː t
Geess	ɡ eː s
Geessebock	ɡ eː s e b o k
Gefaach	ɡ e f aː χ
gefalen	ɡ e f aː l e n
Gefier	ɡ e f iː ʀ
Gefill	ɡ e f i l
Gefisems	ɡ e f i z e m s
geflass	ɡ e f l a s
geflunn	ɡ e f l u n
Gefor	ɡ e f oː r
gefriess	ɡ e f ʀ i e̯ s
gefuer	ɡ e f uː ʀ
Gefäll	ɡ e f æ l
Gehacktes	ɡ e h a k t e s
gehaen	ɡ e h a e n
gehalen	ɡ e h aː l e n
Geheechnes	ɡ e h eː χ n e s
geheien	ɡ e h a i̯ e n
geheim	ɡ e h a i̯ m
Geheimnis	ɡ e h a i̯ m n i s
Gehier	ɡ e h iː r
geholl	ɡ e h o l
gehuewen	ɡ e h u e̯ v e n
gehéiereg	ɡ e h e i̯ ʀ e χ
gehéieren	ɡ e h e i̯ ʀ e n
Gei	ɡ a i̯
gejot	ɡ e j oː t
gejot	ɡ e ʒ oː t
geklommen	ɡ e k l o m e n
gelaf	ɡ e l aː f
Geld	ɡ æ l t
geleeën	ɡ e l e e n
gelidden	ɡ e l i d e n
Gellecht	ɡ æ l e χ t
gelooss	ɡ e l oː s
gelungen	ɡ e l u ŋ e n
gelunn	ɡ e l u n
Gelänner	ɡ ə l æ n ɐ
geléngen	ɡ e l e ŋ e n
gemaach	ɡ e m aː χ
Gemeng	ɡ e m æ ŋ
gemeng	ɡ e m æ ŋ
gemidden	ɡ e m i d e n
Gemitt	ɡ e m i t
Geméis	ɡ e m e i̯ s
Genereel	ʒ e n e ʀ eː l
Generol	ʒ e n e ʀ oː l
Genie	ʒ e n i
Genoss	ɡ e n o s
genuch	ɡ e n u χ
genéieren	ʒ e n e i̯ ʀ e n
genéissen	ɡ e n e i̯ s e n
gepaakt	ɡ e p aː k t
Gepëspers	ɡ e p e s p e ʀ s
geraf	ɡ e ʀ aː f
geraimeg	ɡ e ʀ a i̯ m e χ
gerass	ɡ e r a s
gerecht	ɡ e ʀ æ χ t
Gerechtegkeet	ɡ e ʀ æ χ t e χ k eː t
gereest	ɡ e ʀ eː s t
geridden	ɡ e ʀ i d e n
Geriicht	ɡ e ʀ iː χ t
geriwwen	ɡ e ʀ i v e n
germanesch	ɡ eː ʀ m aː n e ʃ
geroden	ɡ e ʀ oː d e n
Geräisch	ɡ e ʀ æ i̯ ʃ
Geräischer	ɡ e ʀ æ i̯ ʃ e ʀ
geréieren	ʒ e ʀ e i̯ ʀ ə n
Gerücht	ɡ e r y χ t
Gerüchter	ɡ e r y χ t e r
geschass	ɡ e ʃ a s
gescheit	ɡ ə ʃ ɑ ɪ̯ t
Geschenk	ɡ ə ʃ æ ŋ k
geschitt	ɡ e ʃ i t
geschlass	ɡ e ʃ l a s
geschlechtsflësseg	ɡ e ʃ l æ χ t s f l e s e χ
Geschlechtsverkéier	ɡ e ʃ l æ χ t s f e ʀ k e i̯ e ʀ
Geschlechtsverkéier	ɡ e ʃ l æ χ t s f e ʀ k e i̯ ʀ
Geschmaach	ɡ e ʃ m aː χ
geschmass	ɡ e ʃ m a s
geschwënn	ɡ e ʃ v e n
Geschäft	ɡ ə ʃ æ f t
geschéien	ɡ e ʃ e i̯ e n
Gesell	ɡ e z æ l
Gesetz	ɡ e z æ t s
gesetzlech	ɡ e z æ t s l e χ
Gesiicht	ɡ e z iː χ t
gesinn	ɡ e z i n
gesond	ɡ e z o n t
Gespier	ɡ ə ʃ p iː ʀ
gesprongen	ɡ e ʃ p ʀ o ŋ e n
Gespréich	ɡ e ʃ p ʀ e i̯ χ
gespréicheg	ɡ e ʃ p ʀ e i̯ χ e χ
gespuert	ɡ e ʃ p uː r t
Gestraich	ɡ e ʃ t ʀ a i̯ χ
Gestreits	ɡ e ʃ t ʀ a i̯ t s
gesträift	ɡ e ʃ t ʀ æ i̯ f t
getratt	ɡ e t ʀ a t
getrueden	ɡ e t ʀ u e̯ d e n
getëppelt	ɡ e t e p e l t
gewannen	ɡ e v a n e n
Gewierz	ɡ e v i e̯ t s
gewiescht	ɡ e v i e̯ ʃ t
Gewiicht	ɡ e v iː χ t
gewosst	ɡ e v o s t
gewuess	ɡ e v u e̯ s
gewuesst	ɡ e v u e̯ s t
Gewunnecht	ɡ e v u n e χ t
Gewënn	ɡ e v e n
Gewëssen	ɡ e v e s e n
Gezei	ɡ e t s a i̯
gezunn	ɡ e t s u n
gezwitschert	ɡ e t s v i t ʃ e ʀ t
Giedel	ɡ i e̯ d e l
giel	ɡ i e̯ l
gierwen	ɡ i e̯ v e n
Gierwer	ɡ i e̯ ʀ v e ʀ
Gierwerei	ɡ i e̯ v e ʀ a i̯
giess	ɡ i e̯ s
Gif	ɡ iː f
Giicht	ɡ iː χ t
ginn	ɡ i n
gipsen	ɡ i p s ə n
Gipser	ɡ i p s ɐ
Giraff	ʒ i ʀ a f
Gitt	ɡ i t
Gittar	ɡ i t aː ʀ
Glace	ɡ l a s
Glaf	ɡ l aː f
Glanz	ɡ l a n s
Glas	ɡ l aː s
Glasbléiser	ɡ l aː z b l ɜ ɪ̯ z ɐ
glaseg	ɡ l aː z e χ
glat	ɡ l aː t
Glatz	ɡ l a t s
Glawen	ɡ l aː v e n
gleewen	ɡ l eː v e n
Glidd	ɡ l i t
gliddeg	ɡ l i d e χ
glidderen	ɡ l i d e ʀ e n
gliesen	ɡ l i e̯ z e n
glott	ɡ l o t
Glous	ɡ l e u̯ s
glousen	ɡ l e u̯ z e n
gläich	ɡ l æ i̯ χ
gläichen	ɡ l æ i̯ χ e n
Glëtsch	ɡ l e t ʃ
Glëtz	ɡ l e t s
Gléck	ɡ l e k
glécken	ɡ l e k e n
Gnod	ɡ n oː t
goen	ɡ oː e n
Gof	ɡ oː f
Gol	ɡ oː l
Gold	ɡ o l t
Goldfësch	ɡ o l t f e ʃ
Golf	ɡ o l f
Gomm	ɡ o m
gonnen	ɡ o n e n
Gonscht	ɡ o n ʃ t
Goss	ɡ o s
Gott	ɡ o t
Goût	ɡ u
Graf	ɡ ʀ aː f
graff	ɡ r a f
Grafschrëft	ɡ ʀ aː f ʃ ʀ e f t
Grafsteen	ɡ ʀ aː f ʃ t eː n
Gramm	ɡ ʀ a m
Granat	ɡ ʀ a n aː t
Granatapel	ɡ ʀ a n aː t aː p ə l
Grand	ɡ ʀ a n t
Grapp	ɡ ʀ a p
Gras	ɡ ʀ aː s
Graskaarp	ɡ ʀ aː s k aː ʀ p
Graskaarp	ɡ ʀ aː s k aː p
gratinéieren	ɡ ʀ a t i n e i̯ ʀ e n
Gravitatioun	ɡ ʀ a v i t a t s j e u̯ n
Gravitatioun	ɡ ʀ a v i t a s j e u̯ n
Gravitéit	ɡ ʀ a v i t e i̯ t
Greef	ɡ ʀ eː f
grell	ɡ ʀ æ l
Grenz	ɡ ʁ æ n t͡s
Griicheland	ɡ ʀ iː χ e l a n t
Griichesch	ɡ ʀ iː χ e ʃ
griichesch	ɡ ʀ iː χ e ʃ
Grill	ɡ ʀ i l
grillen	ɡ ʀ i l ə n
Grimmel	ɡ ʀ i m e l
Gripp	ɡ ʀ i p
gro	ɡ ʀ o
Grof	ɡ ʀ oː f
Gromees	ɡ ʀ oː m eː s
grommelen	ɡ ʀ o m e l e n
Gromper	ɡ ʀ o m p e ʀ
Gromperenzalot	ɡ ʀ o m p ə ʀ ə n t s ɑ l oː t
Gromperenzopp	ɡ ʀ o m p ə ʀ ə n t s o p
Grompereschiel	ɡ ʀ o m p ə ʀ ə ʃ i ə l
Grond	ɡ ʀ o n t
Grondel	ɡ ʀ o n d e l
Grott	ɡ ʀ o t
Grouf	ɡ ʀ e u̯ f
grouss	ɡ r e u̯ s
Grouss	ɡ ʀ e u̯ s
groussaarteg	ɡ r e u̯ s aː r t e χ
groussem	ɡ ʀ e u̯ s e m
groussen	ɡ ʀ e u̯ s e n
grousser	ɡ ʀ e u̯ s e ʀ
Groussherzogtum	ɡ ʀ ə u s h ɛ ʀ t s oː χ t u m
Groussmamm	ɡ ʀ e u̯ s m a m
Grousspapp	ɡ ʀ e u̯ s p a p
grousst	ɡ ʀ e u̯ s t
Gruef	ɡ r u e̯ f
Grupp	ɡ ʀ u p
gräifen	ɡ ʀ æ i̯ f e n
gräisslech	ɡ ʀ æ i̯ s l e χ
grënnen	ɡ ʀ e n e n
Grënner	ɡ ʀ e n e ʀ
Grëtz	ɡ ʀ e t s
Gréif	ɡ ʀ e i̯ f
Gréiwemaacher	ɡ ʀ e i̯ v e m aː χ e ʀ
gréng	ɡ r e ŋ
gréngen	ɡ r e ŋ e n
Guckuck	ɡ u k u k
guddem	ɡ u d e m
gudden	ɡ u d e n
gudder	ɡ u d e ʀ
Gued	ɡ u e̯ t
guer	ɡ uː r
Gumm	ɡ u m
Gutt	ɡ u t
Gäertner	ɡ eː ʀ t n e ʀ
Gäipmännchen	ɡ æ i̯ p m æ n χ e n
Gäissel	ɡ æ i̯ s ə l
gäisselen	ɡ æ i̯ s e l e n
Gäiz	ɡ æ i̯ t s
gäizen	ɡ æ i̯ t s e n
Gäng	ɡ æ ŋ
Gäns	ɡ æ n s
Gänsen	ɡ æ n z ə n
gär	ɡ eː r
Gäscht	ɡ æ ʃ t
Gässen	ɡ æ s e n
Gëft	ɡ e f t
gëllen	ɡ e l e n
gënnen	ɡ e n e n
gëscht	ɡ e ʃ t
gëschter	ɡ e ʃ t e ʀ
Gëtter	ɡ e t e r
géi	ɡ e i̯
Géigend	ɡ e i̯ ʁ e n t
Géigner	ɡ e i̯ χ n e ʀ
géint	ɡ e i̯ n t
géinteneen	ɡ e i̯ n t e n eː n
géissen	ɡ e i̯ s e n
haalt	h aː l t
Haaptfach	h aː p t f a χ
Haaptsaach	h aː p t z aː χ
Haaptstad	h aː p t ʃ t aː t
Haaptstad	h aː p ʃ t aː t
haaptsächlech	h aː p t z æ χ l e χ
haart	h aː r t
Haarz	h aː ʀ t s
Haarz	h aː t s
Haass	h aː s
haassen	h aː s e n
hachéieren	h a ʃ e i̯ ʀ e n
hachéieren	a ʃ e i̯ ʀ e n
Hackernoss	h a k e ʀ n o s
Haff	h a f
hafteg	h ɑ f t ə ɕ
Haifësch	h a i̯ f e ʃ
Haiser	h a i̯ z e r
Hait	h a i̯ t
hal	h aː l
Hal	h aː l
halen	h aː l e n
Hall	h oː l
Hall	h o l
Hall	h a l
hallef	h a l e f
Hallefnuecht	h a l e f n u e̯ χ t
Hallem	h a l e m
Hals	h a l s
Halschent	h a l ʃ e n t
Ham	h aː m
Hammel	h ɑ m ə l
Hamster	h a m s t e ʀ
hamsteren	h ɑ m s t ə ʁ ə n
Hand	h a n t
Handbrems	h a n t b ʀ æ m s
Handduch	h a n t d u χ
handelen	h a n d e l e n
Handgelenk	h a n t ɡ e l æ ŋ k
Handlung	h a n t l u ŋ
Handy	h æ n d i
Handyen	h æ n d i e n
Hanf	h ɑ n f
Hank	h a ŋ k
hannen	h a n e n
hannendran	h a n e n d ʀ a n
hannendrun	h a n e n d ʀ u n
hannenno	h a n e n n o
hanner	h a n e ʀ
hannereneen	h a n e ʀ e n eː n
hannerwands	h a n e ʀ v a n s
hanneschtsetzen	h a n e ʃ t z æ t s e n
hannevir	h a n e f iː ʀ
Happ	h a p
Har	h aː ʀ
Har	h aː
Hardenne	h ɑ ʁ d æ n
Harespel	h aː ʀ æ s p e l
Harespel	h a ʀ æ s p e l
Harf	h a r f
hat	h aː t
hatt	h a t
Hatt	h a t
Hauf	h a u̯ f
Hausdéier	h æ u̯ s d e i̯ e ʀ
Hausdéier	h æ u̯ s d e i̯ ʀ
haut	h a u̯ t
Haut	h æ u̯ t
hautdesdaags	h a u̯ t d e s d aː χ s
hautdesdaags	h a u̯ t e s d aː χ s
Hautdokter	h a u̯ t d o k t e ʀ
Hauwemees	h a u̯ v e m eː s
Heck	h æ k
Hee	h e
Heed	h eː t
heefen	h eː f e n
Heel	h eː l
heelen	h eː l e n
Heelung	h eː l u ŋ
heem	h eː m
Heem	h eː m
Heemecht	h eː m e χ t
Heemechtshaus	h eː m e χ t s h æ u̯ s
heemschécken	h eː m ʃ e k e n
hees	h eː s
heeschen	h eː ʃ e n
Heeschnapp	h eː ʃ n a p
heet	h eː t
Heet	h eː t
heften	h æ f t e n
hei	h a i̯
Heizkierper	h a i̯ t s k i e̯ p e ʀ
Held	h æ l t
hell	h æ l
hellblo	h æ l b l o
helleg	h æ l e χ
hellegspriechen	h æ l e χ ʃ p ʀ i e̯ χ e n
Helm	h æ l m
Hengscht	h æ ŋ ʃ t
Herrlechkeet	h æ ʀ l e χ k eː t
Herzog	h æ r t s oː χ
Herzog	h æ r t s o χ
Herzogtum	h æ ʀ t s o χ t u m
hessesch	h æ s e ʃ
Hetz	h æ t s
hexen	h æ k s e n
hicken	h i k e n
hidden	h i d e n
Hiecht	h i e̯ χ t
Hief	h i e̯ f
Hiel	h i e̯ l
Hielenner	h i e̯ l æ n e ʀ
Hiem	h i e̯ m
hien	h i e̯ n
hier	h iː r
Hier	h iː r
Hierk	h i e̯ k
Hierscht	h i e̯ ʃ t
Hierschtkueb	h i e̯ ʃ t k u e̯ p
Hiert	h i e̯ ʀ t
hiert	h iː ʀ t
Hieselnoss	h i e̯ z e l n o s
Hieselter	h i e̯ z e l t e ʀ
Hiewan	h i ə̯ v aː n
Hiewel	h i e̯ v e l
hiewen	h i e̯ v e n
him	h i m
Himmel	h i m e l
himmelblo	h i m e l b l o
himmelen	h i m e l e n
Himmelräich	h i m e l ʀ æ i̯ χ
Himmelsdéierchen	h i m e l s d e i̯ e ʀ χ e n
Himmelsdéierchen	h i m e l s d e i̯ ʀ χ e n
hindeiten	h i n d a i̯ t e n
hinnen	h i n e n
hir	h iː ʀ
historesch	h i s t oː ʀ e ʃ
Historiker	h i s t oː ʀ i k e ʀ
Hitt	h i t
hiweisen	h i v a i̯ z e n
Hiwwel	h i v e l
Ho	h o
Hoer	h oː e r
Hoerbiischt	h oː e ʀ b iː ʃ t
Hoerbiischt	h oː ʀ b iː ʃ t
Hoff	h o f
hoffen	h o f e n
Hol	h oː l
Holland	h o l a n t
Hollännesch	h o l æ n e ʃ
hollännesch	h o l æ n ə ʃ
Holz	h o l s
Homard	h o m aː ʀ
Homard	h o m aː
Homard	h o m aː ʀ
Homard	h o m aː
Homard	o m aː ʀ
Homard	o m aː
Hond	h o n t
Hong	h o ŋ
Honger	h o ŋ e ʀ
honnert	h o n e ʀ t
Honnert	h o n e ʀ t
hoppelen	h o p e l e n
Horaire	h o ʀ eː ʀ
Horaire	o ʀ eː ʀ
Horaire	h oː ʀ eː ʀ
Horaire	oː ʀ eː ʀ
hospitaliséieren	h ɔ s p i t ɑ l i z ɜ ɪ̯ ə ʁ ə n
Hotel	h oː t æ l
Hotel	oː t æ l
Hotel	h o t æ l
Hotel	o t æ l
Hott	h o t
Houeren	h e u̯ r e n
Houf	h e u̯ f
Houfeisen	h e u̯ f a i̯ z e n
Houfert	h e u̯ f e ʀ t
houfreg	h e u̯ f ʀ e χ
Houfschmadd	h e u̯ f ʃ m a t
Houscht	h e u̯ ʃ t
houschten	h e u̯ ʃ t e n
huel	h u e̯ l
huelen	h u e̯ l e n
huelt	h u e̯ l t
huerteg	h ʊ ə̯ ʀ t e χ
Huesenziwwi	h u e̯ z e n t s i v i
Huewer	h u e̯ v e ʀ
Hummer	h u m e r
hummeren	h u m ə ʀ ə n
hunn	h u n
Hunn	h u n
Hunneg	h u n e χ
huppen	h u p e n
huschen	h u ʃ e n
Hutt	h u t
Huwwel	h u v e l
huwwelen	h u v e l e n
häerden	h eː ʀ d e n
Häerz	h eː r t s
häerzeg	h eː r t s e χ
Häerzer	h eː r t s e r
Häll	h æ l
Hällewull	h æ l e v u l
häls	h æ l s
hält	h æ l t
Hämmel	h æ m ə l
Hämmelfleesch	h æ m e l f l eː ʃ
Händchen	h æ n t χ e n
hänken	h æ ŋ k e n
Hänn	h æ n
Hännercher	h æ n ɐ ɕ ɐ
hänselen	h æ n z e l e n
Här	h eː r
Härcher	h eː r χ e r
Hären	h eː r e n
Härercher	h eː r e r χ e r
hätschelen	h æ t ʃ e l e n
Hëft	h e f t
Hëllef	h e l e f
hëllefen	h e l e f e n
Hëllefsverb	h e l e f s v æ ʀ p
hëls	h e l s
hëlt	h e l t
hëlzen	h e l t s e n
Hënn	h ə n
Hënt	h e n t
hëtzen	h e t s e n
Hëtzt	h e t s t
héchstens	h e k s t e n s
héich	h e i̯ χ
Héichhaus	h e i̯ χ h æ u̯ s
Héichsprong	h e i̯ χ ʃ p ʀ o ŋ
Héicht	h e i̯ χ t
Héichtenangscht	h e i̯ χ t e n a ŋ ʃ t
Héichuewen	h e i̯ χ u e̯ v e n
héieren	h e i̯ r e n
héiflech	h e i̯ f l e χ
Héiflechkeet	h e i̯ f l e χ k eː t
héijen	h e i̯ ʁ e n
Héil	h e i̯ l
Héiss	h e i̯ s
héissen	h e i̯ s e n
Hénger	h e ŋ e r
Héngeree	h e ŋ e ʀ e
Héngerhaut	h e ŋ e r h æ u̯ t
ideal	i d e aː l
ideal	i d i aː l
Iech	i e̯ χ
Iechternach	i e̯ χ t e ʀ n a χ
Ielebou	i e̯ l e b e u̯
