Є	j ɛ
військовий	ʋʲ i i̯ sʲ k ɔ ʋ e i̯
військовий	ʋʲ i i̯ sʲ k ɔ ʋ ɪ i̯
військовим	ʋʲ i i̯ sʲ k ɔ ʋ e m
військовими	ʋʲ i i̯ sʲ k ɔ ʋ e m e
військових	ʋʲ i i̯ sʲ k ɔ ʋ e x
військового	ʋʲ i i̯ sʲ k ɔ w ɔ ɦ ɔ
військовозобов'язаний	ʋʲ i i̯ sʲ k ɔ w ɔ z ɔ b ɔ ʋ j a z ɐ n e i̯
військовому	ʋʲ i i̯ sʲ k ɔ w ɔ m ʊ
військовополонений	ʋʲ i i̯ sʲ k ɔ w ɔ p ɔ ɫ ɔ n ɛ n e i̯
військовослужбовець	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ ʋ e t͡sʲ
військовослужбовцем	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡s e m
військовослужбовця	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡sʲ ɐ
військовослужбовцям	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡sʲ ɐ m
військовослужбовцями	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡sʲ ɐ m e
військовослужбовцях	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡sʲ ɐ x
військовослужбовців	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ u̯ t͡sʲ i u̯
військовою	ʋʲ i i̯ sʲ k ɔ w ɔ j ʊ
військової	ʋʲ i i̯ sʲ k ɔ w ɔ j i
військову	ʋʲ i i̯ sʲ k ɔ w ʊ
військові	ʋʲ i i̯ sʲ k ɔ ʋʲ i
військовій	ʋʲ i i̯ sʲ k ɔ ʋʲ i i̯
військовім	ʋʲ i i̯ sʲ k ɔ ʋʲ i m
військом	ʋʲ i i̯ sʲ k ɔ m
війську	ʋʲ i i̯ sʲ k ʊ
війт	ʋʲ i i̯ t
війтенко	ʋʲ i i̯ t ɛ n k ɔ
вік	ʋʲ i k
вікам	ʋʲ i k a m
віками	ʋʲ i k a m e
віках	ʋʲ i k a x
віки	ʋʲ i k ɪ
вікна	ʋʲ i k n a
вікна	ʋʲ i k n ɐ
вікнам	ʋʲ i k n ɐ m
вікнами	ʋʲ i k n ɐ m e
вікнах	ʋʲ i k n ɐ x
вікно	ʋʲ i k n ɔ
вікном	ʋʲ i k n ɔ m
вікну	ʋʲ i k n u
вікні	ʋʲ i k nʲ i
віко	ʋʲ i k ɔ
вікові	ʋʲ i k ɔ ʋʲ i
віковічний	ʋʲ i k ɔ ʋʲ i t͡ʃ n e i̯
віком	ʋʲ i k ɔ m
вікон	ʋʲ i k ɔ n
віконний	ʋʲ i k ɔ nː e i̯
віконце	ʋʲ i k ɔ n t͡s e
віку	ʋʲ i k u
віку	ʋʲ i k ʊ
вікі	ʋʲ i kʲ i
віків	ʋʲ i kʲ i u̯
вікінг	ʋʲ i kʲ i n ɦ
вікіпроєкт	ʋʲ i kʲ i p r ɔ j ɛ k t
вікітекст	ʋʲ i kʲ i t ɛ k s t
віл	ʋʲ i ɫ
вілла	ʋʲ i ɫː ɐ
вільна	ʋʲ i lʲ n ɐ
вільне	ʋʲ i lʲ n e
вільний	ʋʲ i lʲ n e i̯
вільних	ʋʲ i lʲ n e x
вільно	ʋʲ i lʲ n ɔ
вільного	ʋʲ i lʲ n ɔ ɦ ɔ
вільнодумець	ʋʲ i lʲ n o d u m e t͡sʲ
вільнодумка	ʋʲ i lʲ n o d u m k ɐ
вільнодумство	ʋʲ i lʲ n o d u m s t w ɔ
вільну	ʋʲ i lʲ n ʊ
вільнюський	ʋʲ i lʲ nʲ ʊ sʲ k e i̯
вільні	ʋʲ i lʲ nʲ i
вільха	ʋʲ i lʲ x ɐ
вільховий	ʋʲ i lʲ x ɔ ʋ e i̯
він	ʋʲ i n
вінда	ʋʲ i n d a
вінегрет	ʋʲ i n e ɦ r ɛ t
віник	ʋʲ i n e k
віничок	ʋʲ i n e t͡ʃ ɔ k
вінницький	ʋʲ i nː e t͡sʲ k e i̯
вінніпезький	ʋʲ i nʲː i p ɛ zʲ k e i̯
віно	ʋʲ i n ɔ
вінок	ʋʲ i n ɔ k
віолончель	ʋʲ i ɔ ɫ ɔ n t͡ʃ ɛ lʲ
віра	ʋʲ i r ɐ
віри	ʋʲ i r e
вірити	ʋʲ i r e t e
вірмен	ʋʲ i r m ɛ n
вірменин	ʋʲ i r m ɛ n e n
вірменка	ʋʲ i r m ɛ n k ɐ
вірменський	ʋʲ i r m ɛ nʲ sʲ k e i̯
вірненький	ʋʲ i r n ɛ nʲ k e i̯
вірний	ʋʲ i r n e i̯
вірнопідданий	ʋʲ i r n o pʲ i dː ɐ n e i̯
вірність	ʋʲ i r nʲ i sʲ tʲ
віровчення	ʋʲ i r ɔ u̯ t͡ʃ ɛ nʲː ɐ
вірогідний	ʋʲ i r o ɦʲ i d n e i̯
вірогідність	ʋʲ i r o ɦʲ i dʲ nʲ i sʲ tʲ
віроломний	ʋʲ i r ɔ ɫ ɔ m n e i̯
віросповідання	ʋʲ i r ɔ s p ɔ ʋʲ i d a nʲː ɐ
віртуальна	ʋʲ i r t ʊ a lʲ n ɐ
віртуальний	ʋʲ i r t ʊ a lʲ n e i̯
віру	ʋʲ i r ʊ
вірування	ʋʲ i r ʊ ʋ ɐ nʲː ɐ
вірувати	ʋʲ i r ʊ ʋ ɐ t e
вірус	ʋʲ i r ʊ s
вірусна	ʋʲ i r ʊ s n ɐ
вірусне	ʋʲ i r ʊ s n e
вірусний	ʋʲ i r ʊ s n e i̯
вірусним	ʋʲ i r ʊ s n e m
вірусними	ʋʲ i r ʊ s n e m e
вірусних	ʋʲ i r ʊ s n e x
вірусного	ʋʲ i r ʊ s n ɔ ɦ ɔ
вірусному	ʋʲ i r ʊ s n ɔ m ʊ
вірусною	ʋʲ i r ʊ s n ɔ j ʊ
вірусної	ʋʲ i r ʊ s n ɔ j i
вірусну	ʋʲ i r ʊ s n ʊ
вірусні	ʋʲ i r ʊ sʲ nʲ i
вірусній	ʋʲ i r ʊ sʲ nʲ i i̯
віруснім	ʋʲ i r ʊ sʲ nʲ i m
вірш	ʋʲ i r ʃ
віршувати	ʋʲ i r ʃ ʊ ʋ a t e
вірші	ʋʲ i r ʃʲ i
вірьовка	ʋʲ i rʲ ɔ u̯ k ɐ
вірянин	ʋʲ i rʲ a n e n
віск	ʋʲ i s k
віскі	ʋʲ i sʲ kʲ i
вісмут	ʋʲ i s m ʊ t
віспа	ʋʲ i s p ɐ
вістря	ʋʲ i s tʲ rʲ ɐ
вість	ʋʲ i sʲ tʲ
вісь	ʋʲ i sʲ
вісьма	ʋʲ i sʲ m a
вісьмом	ʋʲ i sʲ m ɔ m
вісьмома	ʋʲ i sʲ m ɔ m a
вісьмох	ʋʲ i sʲ m ɔ x
вісім	ʋʲ i sʲ i m
вісімдесят	ʋʲ i sʲ i m d e sʲ a t
вісімдесятий	ʋʲ i sʲ i m d e sʲ a t e i̯
вісімдесятитисячний	ʋʲ i sʲ i m d e sʲ ɐ t e t ɪ sʲ ɐ t͡ʃ n e i̯
вісімнадцятий	ʋʲ i sʲ i m n a d͡zʲ t͡sʲ ɐ t e i̯
вісімнадцятитисячний	ʋʲ i sʲ i m n ɐ d͡zʲ t͡sʲ ɐ t e t ɪ sʲ ɐ t͡ʃ n e i̯
вісімнадцять	ʋʲ i sʲ i m n a d͡zʲ t͡sʲ ɐ tʲ
вісімсот	ʋʲ i sʲ i m s ɔ t
вісімсоттисячний	ʋʲ i sʲ i m s ɔ tː ɪ sʲ ɐ t͡ʃ n e i̯
віта	ʋʲ i t ɐ
вітай	ʋʲ i t a i̯
віталень	ʋʲ i t a ɫ e nʲ
вітальне	ʋʲ i t a lʲ n e
вітальнею	ʋʲ i t a lʲ n e j ʊ
вітальню	ʋʲ i t a lʲ nʲ ʊ
вітальня	ʋʲ i t a lʲ nʲ ɐ
вітальням	ʋʲ i t a lʲ nʲ ɐ m
вітальнями	ʋʲ i t a lʲ nʲ ɐ m e
вітальнях	ʋʲ i t a lʲ nʲ ɐ x
вітальні	ʋʲ i t a lʲ nʲ i
вітамін	ʋʲ i t ɐ mʲ i n
вітання	ʋʲ i t a nʲː ɐ
вітаннячко	ʋʲ i t a nʲː ɐ t͡ʃ k ɔ
вітати	ʋʲ i t a t e
вітатися	ʋʲ i t a t e sʲ ɐ
вітаю	ʋʲ i t a j ʊ
вітер	ʋʲ i t e r
вітка	ʋʲ i t k ɐ
вітрило	ʋʲ i t r ɪ ɫ ɔ
вітрильний	ʋʲ i t r ɪ lʲ n e i̯
вітряк	ʋʲ i tʲ rʲ a k
вітряний	ʋʲ i tʲ rʲ ɐ n e i̯
вітчизна	ʋʲ i t͡ʃː ɪ z n ɐ
вітчизняний	ʋʲ i t͡ʃː e zʲ nʲ a n e i̯
вітчизняний	ʋʲ i t͡ʃː ɪ zʲ nʲ ɐ n e i̯
вітчим	ʋʲ i t͡ʃː ɪ m
віці	ʋʲ i t͡sʲ i
віче	ʋʲ i t͡ʃ e
вічко	ʋʲ i t͡ʃ k ɔ
вічний	ʋʲ i t͡ʃ n e i̯
вічно	ʋʲ i t͡ʃ n ɔ
вічність	ʋʲ i t͡ʃ nʲ i sʲ tʲ
вічі	ʋʲ i t͡ʃʲ i
вішав	ʋʲ i ʃ ɐ u̯
вішай	ʋʲ i ʃ ɐ i̯
вішайте	ʋʲ i ʃ ɐ i̯ t e
вішала	ʋʲ i ʃ ɐ ɫ ɐ
вішали	ʋʲ i ʃ ɐ ɫ e
вішало	ʋʲ i ʃ ɐ ɫ ɔ
вішати	ʋʲ i ʃ ɐ t e
вішатиме	ʋʲ i ʃ ɐ t e m e
вішатимуть	ʋʲ i ʃ ɐ t e m ʊ tʲ
вішаю	ʋʲ i ʃ ɐ j ʊ
вішають	ʋʲ i ʃ ɐ j ʊ tʲ
вішаючи	ʋʲ i ʃ ɐ j ʊ t͡ʃ e
вішає	ʋʲ i ʃ ɐ j e
вішаєм	ʋʲ i ʃ ɐ j e m
вішаємо	ʋʲ i ʃ ɐ j e m ɔ
вішаєте	ʋʲ i ʃ ɐ j e t e
вішаєш	ʋʲ i ʃ ɐ j e ʃ
віщати	ʋʲ i ʃ t͡ʃ a t e
віщо	ʋʲ i ʃ t͡ʃ ɔ
вію	ʋʲ i j ʊ
вія	ʋʲ i j ɐ
віям	ʋʲ i j ɐ m
віями	ʋʲ i j ɐ m e
віяти	ʋʲ i j ɐ t e
віях	ʋʲ i j ɐ x
віє	ʋʲ i j e
вією	ʋʲ i j e j ʊ
вії	ʋʲ i j i
віїкіт	ʋʲ i j i kʲ i t
г	ɦ
гаазький	ɦ ɐ a zʲ k e i̯
гавайка	ɦ ɐ ʋ a i̯ k ɐ
гаванський	ɦ a ʋ ɐ nʲ sʲ k e i̯
гаванський	ɦ ɐ ʋ a nʲ sʲ k e i̯
гавань	ɦ a ʋ ɐ nʲ
гавкати	ɦ a u̯ k ɐ t e
гагауз	ɦ ɐ ɦ ɐ u z
гагаузка	ɦ ɐ ɦ ɐ u z k ɐ
гад	ɦ a d
гадав	ɦ ɐ d a u̯
гадати	ɦ ɐ d a t e
гадаю	ɦ ɐ d a j ʊ
гадають	ɦ ɐ d a j ʊ tʲ
гадає	ɦ ɐ d a j e
гадаємо	ɦ ɐ d a j e m ɔ
гадаєте	ɦ ɐ d a j e t e
гадаєш	ɦ ɐ d a j e ʃ
гаджет	ɦ a d͡ʒ e t
гаджуґа	ɦ ɐ d͡ʒ u ɡ ɐ
гадоліній	ɦ ɐ d o lʲ i nʲ i i̯
гадюка	ɦ ɐ dʲ u k ɐ
газ	ɦ a z
газам	ɦ a z ɐ m
газами	ɦ a z ɐ m e
газард	ɦ ɐ z a r d
газардовий	ɦ ɐ z ɐ r d ɔ ʋ e i̯
газах	ɦ a z ɐ x
газет	ɦ ɐ z ɛ t
газета	ɦ ɐ z ɛ t ɐ
газетам	ɦ ɐ z ɛ t ɐ m
газетами	ɦ ɐ z ɛ t ɐ m e
газетах	ɦ ɐ z ɛ t ɐ x
газети	ɦ ɐ z ɛ t e
газетний	ɦ ɐ z ɛ t n e i̯
газетою	ɦ ɐ z ɛ t ɔ j ʊ
газету	ɦ ɐ z ɛ t ʊ
газеті	ɦ ɐ z ɛ tʲ i
гази	ɦ a z e
газлайтинг	ɦ ɐ z ɫ a i̯ t e n ɦ
газований	ɦ ɐ z ɔ ʋ ɐ n e i̯
газовий	ɦ a z ɔ ʋ e i̯
газові	ɦ a z ɔ ʋʲ i
газогін	ɦ ɐ z o ɦʲ i n
газом	ɦ a z ɔ m
газон	ɦ ɐ z ɔ n
газонокосарка	ɦ ɐ z ɔ n ɔ k ɔ s a r k ɐ
газопостачальний	ɦ ɐ z ɔ p ɔ s t ɐ t͡ʃ a lʲ n e i̯
газопостачальник	ɦ ɐ z ɔ p ɔ s t ɐ t͡ʃ a lʲ n e k
газопостачання	ɦ ɐ z ɔ p ɔ s t ɐ t͡ʃ a nʲː ɐ
газопровід	ɦ ɐ z ɔ p r ɔ ʋʲ i d
газу	ɦ a z ʊ
газі	ɦ a zʲ i
газів	ɦ a zʲ i u̯
гай	ɦ a i̯
гайдамак	ɦ ɐ i̯ d ɐ m a k
гайдамака	ɦ ɐ i̯ d ɐ m a k ɐ
гайп	ɦ a i̯ p
гайсинський	ɦ ɐ i̯ s ɪ nʲ sʲ k e i̯
гайстер	ɦ a i̯ s t e r
гайте	ɦ a i̯ t e
гак	ɦ a k
гал	ɦ a ɫ
галактика	ɦ ɐ ɫ a k t e k ɐ
галактичний	ɦ ɐ ɫ ɐ k t ɪ t͡ʃ n e i̯
галамагати	ɦ ɐ ɫ ɐ m a ɦ ɐ t e
галас	ɦ a ɫ ɐ s
галасливий	ɦ ɐ ɫ ɐ s ɫ ɪ ʋ e i̯
галерей	ɦ ɐ ɫ e r ɛ i̯
галерею	ɦ ɐ ɫ e r ɛ j ʊ
галерея	ɦ ɐ ɫ e r ɛ j ɐ
галереям	ɦ ɐ ɫ e r ɛ j ɐ m
галереями	ɦ ɐ ɫ e r ɛ j ɐ m e
галереях	ɦ ɐ ɫ e r ɛ j ɐ x
галереї	ɦ ɐ ɫ e r ɛ j i
галиця	ɦ a ɫ e t͡sʲ ɐ
галичанин	ɦ ɐ ɫ e t͡ʃ a n e n
галка	ɦ a ɫ k ɐ
галлізація	ɦ ɐ lʲː i z a t͡sʲ i j ɐ
галстук	ɦ a ɫ s t ʊ k
галузе	ɦ a ɫ ʊ z e
галузевий	ɦ ɐ ɫ ʊ z ɛ ʋ e i̯
галузей	ɦ a ɫ ʊ z e i̯
галуззю	ɦ a ɫ ʊ zʲː ʊ
галузь	ɦ a ɫ ʊ zʲ
галузям	ɦ a ɫ ʊ zʲ ɐ m
галузями	ɦ a ɫ ʊ zʲ ɐ m e
галузях	ɦ a ɫ ʊ zʲ ɐ x
галузі	ɦ a ɫ ʊ zʲ i
галун	ɦ ɐ ɫ u n
галушка	ɦ ɐ ɫ u ʃ k ɐ
гальмо	ɦ ɐ lʲ m ɔ
гальмувати	ɦ ɐ lʲ m ʊ ʋ a t e
гальмуватися	ɦ ɐ lʲ m ʊ ʋ a t e sʲ ɐ
галюцинація	ɦ ɐ lʲ ʊ t͡s e n a t͡sʲ i j ɐ
галюциногенний	ɦ ɐ lʲ ʊ t͡s e n ɔ ɦ ɛ nː e i̯
галявина	ɦ ɐ lʲ a ʋ e n ɐ
галій	ɦ a lʲ i i̯
галімий	ɦ ɐ lʲ i m e i̯
гаманець	ɦ ɐ m ɐ n ɛ t͡sʲ
гамбургер	ɦ a m b ʊ r ɦ e r
гамбурзький	ɦ a m b ʊ r zʲ k e i̯
гамувати	ɦ ɐ m ʊ ʋ a t e
гамуз	ɦ a m ʊ z
гамузом	ɦ a m ʊ z ɔ m
ганебний	ɦ ɐ n ɛ b n e i̯
ганець	ɦ a n e t͡sʲ
ганити	ɦ a n e t e
ганський	ɦ a nʲ sʲ k e i̯
ганчірка	ɦ ɐ n t͡ʃʲ i r k ɐ
ганьба	ɦ ɐ nʲ b a
ганьбити	ɦ ɐ nʲ b ɪ t e
ганьбитися	ɦ ɐ nʲ b ɪ t e sʲ ɐ
ганяти	ɦ ɐ nʲ a t e
гараж	ɦ ɐ r a ʒ
гаразд	ɦ ɐ r a z d
гарант	ɦ ɐ r a n t
гарантований	ɦ ɐ r ɐ n t ɔ ʋ ɐ n e i̯
гарантування	ɦ ɐ r ɐ n t ʊ ʋ a nʲː ɐ
гарантувати	ɦ ɐ r ɐ n t ʊ ʋ a t e
гарантій	ɦ ɐ r a nʲ tʲ i i̯
гарантію	ɦ ɐ r a nʲ tʲ i j ʊ
гарантія	ɦ ɐ r a nʲ tʲ i j ɐ
гарантіям	ɦ ɐ r a nʲ tʲ i j ɐ m
гарантіями	ɦ ɐ r a nʲ tʲ i j ɐ m e
гарантіях	ɦ ɐ r a nʲ tʲ i j ɐ x
гарантією	ɦ ɐ r a nʲ tʲ i j e j ʊ
гарантії	ɦ ɐ r a nʲ tʲ i j i
гарбуз	ɦ ɐ r b u z
гарбузеня	ɦ ɐ r b ʊ z e nʲ a
гарбузик	ɦ ɐ r b u z e k
гарбузовий	ɦ ɐ r b ʊ z ɔ ʋ e i̯
гарбузоподібний	ɦ ɐ r b u z ɔ p o dʲ i b n e i̯
гарем	ɦ ɐ r ɛ m
гармата	ɦ ɐ r m a t ɐ
гарматний	ɦ ɐ r m a t n e i̯
гарматник	ɦ ɐ r m a t n e k
гармаш	ɦ ɐ r m a ʃ
гармонія	ɦ ɐ r m ɔ nʲ i j ɐ
гарна	ɦ a r n ɐ
гарне	ɦ a r n e
гарненький	ɦ ɐ r n ɛ nʲ k e i̯
гарний	ɦ a r n e i̯
гарних	ɦ a r n e x
гарно	ɦ a r n ɔ
гарного	ɦ a r n ɔ ɦ ɔ
гарну	ɦ a r n ʊ
гарні	ɦ a r nʲ i
гарнізон	ɦ ɐ r nʲ i z ɔ n
гарнір	ɦ ɐ r nʲ i r
гарпун	ɦ ɐ r p u n
гаряча	ɦ ɐ rʲ a t͡ʃ ɐ
гаряче	ɦ ɐ rʲ a t͡ʃ e
гарячий	ɦ ɐ rʲ a t͡ʃ e i̯
гарячим	ɦ ɐ rʲ a t͡ʃ e m
гарячими	ɦ ɐ rʲ a t͡ʃ e m e
гарячих	ɦ ɐ rʲ a t͡ʃ e x
гарячка	ɦ ɐ rʲ a t͡ʃ k ɐ
гарячковий	ɦ ɐ rʲ ɐ t͡ʃ k ɔ ʋ e i̯
гарячого	ɦ ɐ rʲ a t͡ʃ ɔ ɦ ɔ
гарячому	ɦ ɐ rʲ a t͡ʃ ɔ m ʊ
гарячою	ɦ ɐ rʲ a t͡ʃ ɔ j ʊ
гарячої	ɦ ɐ rʲ a t͡ʃ ɔ j i
гарячу	ɦ ɐ rʲ a t͡ʃ ʊ
гарячі	ɦ ɐ rʲ a t͡ʃʲ i
гарячій	ɦ ɐ rʲ a t͡ʃʲ i i̯
гарячім	ɦ ɐ rʲ a t͡ʃʲ i m
гарячіший	ɦ ɐ rʲ ɐ t͡ʃʲ i ʃ e i̯
гасити	ɦ ɐ s ɪ t e
гасло	ɦ a s ɫ ɔ
гаснути	ɦ a s n ʊ t e
гаспид	ɦ a s p e d
гастролей	ɦ ɐ s t r ɔ ɫ e i̯
гастроллю	ɦ ɐ s t r ɔ lʲː ʊ
гастроль	ɦ ɐ s t r ɔ lʲ
гастролям	ɦ ɐ s t r ɔ lʲ ɐ̣ m
гастролями	ɦ ɐ s t r ɔ lʲ ɐ̣ m e
гастролях	ɦ ɐ s t r ɔ lʲ ɐ̣ x
гастролі	ɦ ɐ s t r ɔ lʲ i
гасій	ɦ a sʲ i i̯
гасіння	ɦ ɐ sʲ i nʲː ɐ
гатити	ɦ ɐ t ɪ t e
гать	ɦ a tʲ
гаубиця	ɦ a ʊ b e t͡sʲ ɐ
гауляйтер	ɦ ɐ ʊ lʲ a i̯ t e r
гаучо	ɦ a ʊ t͡ʃ ɔ
гафній	ɦ a f nʲ i i̯
гачек	ɦ a t͡ʃ e k
гачкоподібний	ɦ ɐ t͡ʃ k ɔ p o dʲ i b n e i̯
гачкуватий	ɦ ɐ t͡ʃ k ʊ ʋ a t e i̯
гачі	ɦ a t͡ʃʲ i
гаю	ɦ a j ʊ
гають	ɦ a j ʊ tʲ
гаям	ɦ ɐ j a m
гаями	ɦ ɐ j a m e
гаянець	ɦ ɐ j a n e t͡sʲ
гаянський	ɦ ɐ j a nʲ sʲ k e i̯
гаяти	ɦ a j ɐ t e
гаятися	ɦ a j ɐ t e sʲ ɐ
гаях	ɦ ɐ j a x
гає	ɦ a j e
гаєві	ɦ a j e ʋʲ i
гаєм	ɦ a j e m
гаємо	ɦ a j e m ɔ
гаєте	ɦ a j e t e
гаєш	ɦ a j e ʃ
гаї	ɦ a j i
гаї	ɦ ɐ j i
гаїв	ɦ ɐ j i u̯
гвардія	ɦ ʋ a r dʲ i j ɐ
гвардієць	ɦ ʋ ɐ r dʲ i j e t͡sʲ
гватемальський	ɦ ʋ ɐ t e m a lʲ sʲ k e i̯
гвинт	ɦ ʋ ɪ n t
гвинтокрил	ɦ ʋ e n t ɔ k r ɪ ɫ
гвинтівка	ɦ ʋ e nʲ tʲ i u̯ k ɐ
гегемонія	ɦ e ɦ e m ɔ nʲ i j ɐ
гедонізм	ɦ e d o nʲ i z m
гедоніст	ɦ e d o nʲ i s t
гедоністичний	ɦ e d ɔ nʲ i s t ɪ t͡ʃ n e i̯
гей	ɦ ɛ i̯
геймплей	ɦ e i̯ m p ɫ ɛ i̯
гектар	ɦ e k t a r
гель	ɦ ɛ lʲ
гельсінський	ɦ ɛ lʲ sʲ i nʲ sʲ k e i̯
гелій	ɦ ɛ lʲ i i̯
гелікоптер	ɦ e lʲ i k ɔ p t ɛ r
геліоцентричний	ɦ e lʲ i ɔ t͡s e n t r ɪ t͡ʃ n e i̯
гелієвий	ɦ ɛ lʲ i j e ʋ e i̯
гемоглобін	ɦ e m ɔ ɦ ɫ o bʲ i n
геморагічний	ɦ e m ɔ r ɐ ɦʲ i t͡ʃ n e i̯
геморой	ɦ e m ɔ r ɔ i̯
гемороїдальний	ɦ e m ɔ r ɔ j i d a lʲ n e i̯
ген	ɦ ɛ n
генделик	ɦ e n d ɛ ɫ e k
генделика	ɦ e n d ɛ ɫ e k ɐ
генделикам	ɦ e n d ɛ ɫ e k ɐ m
генделиками	ɦ e n d ɛ ɫ e k ɐ m e
генделиках	ɦ e n d ɛ ɫ e k ɐ x
генделики	ɦ e n d ɛ ɫ e k e
генделикові	ɦ e n d ɛ ɫ e k ɔ ʋʲ i
генделиком	ɦ e n d ɛ ɫ e k ɔ m
генделику	ɦ e n d ɛ ɫ e k ʊ
генделиків	ɦ e n d ɛ ɫ e kʲ i u̯
гендель	ɦ ɛ n d e lʲ
гендер	ɦ ɛ n d e r
гендерний	ɦ ɛ n d e r n e i̯
гендерологія	ɦ e n d e r ɔ ɫ ɔ ɦʲ i j ɐ
генеалогічний	ɦ e n e ɐ ɫ o ɦʲ i t͡ʃ n e i̯
генеалогія	ɦ e n e ɐ ɫ ɔ ɦʲ i j ɐ
генерал	ɦ e n e r a ɫ
генеральний	ɦ e n e r a lʲ n e i̯
генералітет	ɦ e n e r ɐ lʲ i t ɛ t
генератор	ɦ e n e r a t ɔ r
генерація	ɦ e n e r a t͡sʲ i j ɐ
генерувати	ɦ e n e r ʊ ʋ a t e
генерую	ɦ e n e r u j ʊ
генерують	ɦ e n e r u j ʊ tʲ
генерує	ɦ e n e r u j e
генеруєш	ɦ e n e r u j e ʃ
генетик	ɦ e n ɛ t e k
генетика	ɦ e n ɛ t e k ɐ
генетичний	ɦ e n e t ɪ t͡ʃ n e i̯
геном	ɦ e n ɔ m
геном	ɦ ɛ n ɔ m
геноцид	ɦ e n ɔ t͡s ɪ d
геноцидам	ɦ e n ɔ t͡s ɪ d ɐ m
геноцидами	ɦ e n ɔ t͡s ɪ d ɐ m e
геноцидах	ɦ e n ɔ t͡s ɪ d ɐ x
геноциде	ɦ e n ɔ t͡s ɪ d e
геноциди	ɦ e n ɔ t͡s ɪ d e
геноцидові	ɦ e n ɔ t͡s ɪ d ɔ ʋʲ i
геноцидом	ɦ e n ɔ t͡s ɪ d ɔ m
геноциду	ɦ e n ɔ t͡s ɪ d ʊ
геноциді	ɦ e n ɔ t͡s ɪ dʲ i
геноцидів	ɦ e n ɔ t͡s ɪ dʲ i u̯
геніальний	ɦ e nʲ i a lʲ n e i̯
геніальність	ɦ e nʲ i a lʲ nʲ i sʲ tʲ
геній	ɦ ɛ nʲ i i̯
генітив	ɦ e nʲ i t ɪ u̯
генічеський	ɦ e nʲ i t͡ʃ e sʲ k e i̯
географічна	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ɐ
географічне	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n e
географічний	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n e i̯
географічним	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n e m
географічними	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n e m e
географічних	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n e x
географічного	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ɔ ɦ ɔ
географічному	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ɔ m ʊ
географічною	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ɔ j ʊ
географічної	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ɔ j i
географічну	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ n ʊ
географічні	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i
географічній	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i i̯
географічнім	ɦ e ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i m
географію	ɦ e ɔ ɦ r a fʲ i j ʊ
географія	ɦ e ɔ ɦ r a fʲ i j ɐ
географією	ɦ e ɔ ɦ r a fʲ i j e j ʊ
географії	ɦ e ɔ ɦ r a fʲ i j i
геолог	ɦ e ɔ ɫ ɔ ɦ
геологічний	ɦ e ɔ ɫ o ɦʲ i t͡ʃ n e i̯
геологія	ɦ e ɔ ɫ ɔ ɦʲ i j ɐ
геометрична	ɦ e ɔ m e t r ɪ t͡ʃ n ɐ
геометричний	ɦ e ɔ m e t r ɪ t͡ʃ n e i̯
геометрію	ɦ e ɔ m ɛ tʲ rʲ i j ʊ
геометрія	ɦ e ɔ m ɛ tʲ rʲ i j ɐ
геометріє	ɦ e ɔ m ɛ tʲ rʲ i j e
геометрією	ɦ e ɔ m ɛ tʲ rʲ i j e j ʊ
геометрії	ɦ e ɔ m ɛ tʲ rʲ i j i
геоморфологічний	ɦ e ɔ m ɔ r f ɔ ɫ o ɦʲ i t͡ʃ n e i̯
геоморфологія	ɦ e ɔ m ɔ r f ɔ ɫ ɔ ɦʲ i j ɐ
геополітика	ɦ e ɔ p o lʲ i t e k ɐ
геополітичний	ɦ e ɔ p ɔ lʲ i t ɪ t͡ʃ n e i̯
геопросторовий	ɦ e ɔ p r ɔ s t ɔ r ɔ ʋ e i̯
геофізика	ɦ e o fʲ i z e k ɐ
геофізичний	ɦ e ɔ fʲ i z ɪ t͡ʃ n e i̯
геоцентричний	ɦ e ɔ t͡s e n t r ɪ t͡ʃ n e i̯
гепард	ɦ e p a r d
гепатит	ɦ e p ɐ t ɪ t
