Aada	ɑː d̥ ɑ
misjonär	m i sʲ j o n æ r
moos	m oː s
mudžahiid	m u d̥ ʒ ɑ h iː d̥
muinasjutt	m u i̯ n ɑ sʲ j ü tː
muna	m u n ɑ
munand	m u n ɑ n d̥
munandikott	m u n ɑ n d̥ʲ i k o tʲː
murakas	m u r ɑ kˑ ɑ s
muru	m u r u
muruniiduk	m u r u nʲ iˑ d̥ u kˑ
mutt	m u tʲː
muusika	m uː sʲ i kˑ ɑ
muusikainstrument	m uː sʲ i kˑ ɑ i n s t r u m e nʲ tˑ
mänd	m æ n d̥
mänd	m æ nʲ d̥
mõru	m ɤ r u
mõõk	m ɤː kˑ
möllama	m ø lː ɑ m ɑ
müdisema	m y d̥ʲ i s e m ɑ
münt	m y n tˑ
mürisema	m y r i s e m ɑ
mürk	m y r kˑ
müts	m y t s
müts	m y tʲ s
müür	m yː r
naine	n ɑ i̯ n e̞
narkolepsia	n ɑ r k o l e p sʲ i ɑ̯
neelama	n eː l ɑ m ɑ
neli	n e lʲ i
neljateistkümnes	n e lʲ j ɑ̈ t e i̯ s t k y m n e s
niidistik	nʲ iː d̥ʲ i s tʲ i kˑ
niiduk	nʲ iˑ d̥ u kˑ
niisiis	nʲ iː sʲ iː s
niit	nʲ iː tˑ
niitma	nʲ iː t m ɑ
nobe	n o b̥ e̞
nohisema	n o ɦ i s e m ɑ
nokkima	n o kː i m ɑ
noor	n oː r
nuhisema	n u ɦ i s e m ɑ
null	n u lʲː
nullis	n u lˑ i s
nussida	n u sʲː i d̥ ɑ
nägu	n æ ɡ̊ u
näidend	n æ i̯ d̥ e n d̥
näljane	n æ lʲ j ɑ̈ n e̞
nääre	n æˑ r e̞
nõudepesumasin	n ɤ u̯ d̥ e p e s u m ɑ sʲ i n
nõõ	n ɤː
o	oː
oga	o ɡ̊ ɑ
ohjama	o h j ɑ̈ m ɑ
ohutu	o ɦ u tˑ u
olema	o l e m ɑ
oliivipuu	o lʲ iː v i pˑ uː
oluline	o l u lʲ i n e̞
omadus	o m ɑ d̥ u s
omadussõna	o m ɑ d̥ u s s ɤ n ɑ
on	o n
ooper	oː pː e r
ootama	oː tː ɑ m ɑ
oras	o r ɑ s
orientatsioon	o r i e̯ n t ɑ t sʲ i o̯ː n
orkaan	o r k ɑː n
oskama	o s k ɑ m ɑ
osoon	o s oː n
ots	o t s
otse	o t s e̞
otstarve	o t s t ɑ r v e̞
paat	p ɑː tʲˑ
paat	p ɑː tˑ
paaž	p ɑː ʒ
pada	p ɑ d̥ ɑ
paine	p ɑ i̯ n e̞
paiste	p ɑ i̯ s t e̞
paks	p ɑ k s
palee	p ɑ l eː
paleepööre	p ɑ l eː p øː r e̞
palmik	p ɑ lʲ m i kˑ
park	p ɑ r kˑ
peaaegu	p e ɑ̯ ɑ e̯ ɡ̊ u
peaingel	p e ɑ̯ i ŋ ɡ̊ e l
peamine	p e ɑ̯ m i n e̞
pedantne	p e d̥ ɑ n t n e̞
peegel	p eː ɡ̊ e l
peer	p eː r
perfektne	p e r f e kˑ t n e̞
pesumasin	p e s u m ɑ sʲ i n
pidu	p i d̥ u
piiksuma	p iː k s u m ɑ
piim	p iː m
piimahammas	p iˑ m ɑ h ɑ mˑ ɑ s
piin	p iː n
piinama	p iː n ɑ m ɑ
piir	p iː r
piiraja	p iː r ɑ̈ j ɑ̈
piiramatus	p iː r ɑ m ɑ tˑ u s
piiramine	p iː r ɑ m i n e̞
piiramislahing	p iː r ɑ m i s l ɑ ɦ i ŋ ɡ̊
piiramismasin	p iː r ɑ m i s m ɑ sʲ i n
piiramisrõngas	p iː r ɑ m i s r ɤ ŋ ɡ̊ ɑ s
piiramisseisukord	p iː r ɑ m i s s e i̯ s u kˑ o r d̥
piiramistorn	p iː r ɑ m i s t o r n
piirang	p iː r ɑ ŋ ɡ̊
piiratus	p iː r ɑ tˑ u s
piirdumine	p iː r d̥ u m i n e̞
piire	p iː r e̞
pilv	p i l v
pinisema	p i nʲ i s e m ɑ
pirn	p i r n
pirnipuu	p i r nʲ i pˑ uː
pitsabaar	p i t s ɑ b̥ ɑː r
plankton	p l ɑ ŋ kˑ t o n
platooniline	p l ɑ t oː nʲ i lʲ i n e̞
pliidiraud	p lʲ iː d̥ʲ i r ɑ u̯ d̥
ploomipuu	p l oː m i pˑ uː
pläru	p l æ r u
poeg	p o e̯ ɡ̊
pohhui	p o hː u i̯
polaarstratosfääripilv	p o l ɑː r s t r ɑ tˑ o s f æˑ r i p i l v
pomm	p o mː
pommi	p o mː i
pontoonsild	p o n t oː n sʲ i l d̥
pood	p oː d̥ʲ
pool	p oː l
pool	p oː lʲ
poole	p oː l e̞
poolteist	p oː l t e i̯ s t
professionaalne	p r o fˑ e sˑ i o̯ n ɑː l n e̞
prostitutsioon	p r o s tʲ i tˑ u t sʲ i o̯ː n
präänik	p r æː nʲ i kˑ
prügikott	p r y ɡ̊ i k o tʲː
pulm	p u l m
puna	p u n ɑ
punakas	p u n ɑ kˑ ɑ s
punane	p u n ɑ n e̞
purikas	p u r i kˑ ɑ s
puu	p uː
puuvili	p uː v i lʲ i
pädema	p æ d̥ e m ɑ
pädev	p æ d̥ e v
pähkel	p æ h k e l
päitsed	p æ i̯ t s e d̥
pärdik	p æ r d̥ʲ i kˑ
pärlmutter	p æ r l m u tː e r
pärlmutterpilv	p æ r l m u tː e r p i l v
põhi	p ɤ ɦ i
põhikool	p ɤ ɦ i k oː l
põldmurakas	p ɤ l d̥ m u r ɑ kˑ ɑ s
põlev	p ɤ l e v
põlv	p ɤ lʲ v
põlvitama	p ɤ lʲ v i tˑ ɑ m ɑ
põsk	p ɤ sʲ kˑ
pöial	p ø i̯ ɑ̯ l
pöör	p øː r
pügal	p y ɡ̊ ɑ l
pügala	p y ɡ̊ ɑ l ɑ
pügalat	p y ɡ̊ ɑ l ɑ tˑ
pühamu	p y ɦ ɑ m u
pühapäev	p y ɦ ɑ p p æ e̯ v
pühapäev	p y ɦ ɑ p æ e̯ v
rabamurakas	r ɑ b̥ ɑ m u r ɑ kˑ ɑ s
raha	r ɑ ɦ ɑ
rahuläbirääkimised	r ɑ ɦ u l æ b̥ i r æː kː i m i s e d̥
rahvaarv	r ɑ h v ɑ ɑ r v
rahvuspark	r ɑ h v u s p ɑ r kˑ
rakk	r ɑ kː
rasv	r ɑ sˑ v̥
ratas	r ɑ tˑ ɑ s
ratassepp	r ɑ tˑ ɑ s s e pˑ
raudsepp	r ɑ u̯ d̥ s e pː
raudteejaam	r ɑ u̯ d̥ t eː j ɑ̈ː m
rebima	r e b̥ i m ɑ
reisijuht	r e i̯ sʲ i j ü h t
resto	r e s t o
riidepuu	r iː d̥ e pˑ uː
riik	r iː kˑ
riiki	r iː kː i
riisikeetja	r iː sʲ i k eː tʲ j ɑ̈
riisivein	r iˑ sʲ i v e i̯ n
rikastuma	r i kˑ ɑ s t u m ɑ
ringmängulaul	r i ŋ ɡ̊ m æ ŋ ɡ̊ u l ɑ u̯ l
romaan	r o m ɑː n
rongijaam	r o ŋ ɡ̊ i j ɑ̈ː m
rukis	r u kˑ i s
rämps	r æ m p s
räpane	r æ pˑ ɑ n e̞
rääkima	r æː kː i m ɑ
rõivas	r ɤ i̯ v ɑ s
rõõm	r ɤː m
röövima	r øː v i m ɑ
röövimine	r øː v i m i n e̞
rüperaal	r y pˑ e r ɑː l
saada	s ɑː d̥ ɑ
saada	s ɑˑ d̥ ɑ
saadik	s ɑˑ d̥ʲ i kˑ
saal	s ɑː lʲ
saalibändi	s ɑˑ lʲ i b̥ æ n d̥ʲ i
saarlane	s ɑː r l ɑ n e̞
saati	s ɑː tʲ i
sadomasohhism	s ɑ d̥ o m ɑ s o hː i sˑ m̥
sagar	s ɑ ɡ̊ ɑ r
sahtel	s ɑ h t e l
sahtli	s ɑ h t lʲ i
sahtlit	s ɑ h t lʲ i tˑ
saiake	s ɑ i̯ ɑ kˑ e̞
saiakese	s ɑ i̯ ɑ kˑ e s e̞
saiakest	s ɑ i̯ ɑ kˑ e s t
saientoloogia	s ɑ i̯ e n t o l oː ɡ̊ i ɑ̯
sajand	s ɑ̈ j ɑ̈ n d̥
saks	s ɑ k s
samasugune	s ɑ m ɑ s u ɡ̊ u n e̞
sanskrit	s ɑ n s k r i tˑ
seadma	s e ɑ̯ d̥ m ɑ
see	s eː
seitse	s e i̯ t s e̞
seitsmeteistkümnes	s e i̯ t s m e t e i̯ s t k y m n e s
sekretär	s e k r e tˑ æ r
seksuaalne	s e k s u ɑː l n e̞
sektor	s e kˑ t o r
selgus	s e l ɡ̊ u s
seljaaju	s e lʲ j ɑ̈ ɑ̈ j ü
sfäär	s f æː r
sidesõna	sʲ i d̥ e s ɤ n ɑ
siga	sʲ i ɡ̊ ɑ
sild	sʲ i l d̥
silmakirjatsema	sʲ i l m ɑ k i r j ɑ̈ t s e m ɑ
siluett	sʲ i l u e tʲː
skisofreenia	s k i s o f r eː nʲ i ɑ̯
skorpion	s k o r p i o̯ n
solvang	s o l v ɑ ŋ ɡ̊
soolama	s oː l ɑ m ɑ
soome	s oː m e̞
soum	s o u̯ m
stratosfäär	s t r ɑ tˑ o s f æː r
stratosfäärilend	s t r ɑ tˑ o s f æˑ r i l e n d̥
sugunääre	s u ɡ̊ u n æˑ r e̞
suletud	s u l e tˑ u d̥
sundima	s u n d̥ʲ i m ɑ
sunduslik	s u nʲ d̥ u s lʲ i kˑ
sunduslikkus	s u nʲ d̥ u s lʲ i kː u s
sutenöör	s u tˑ e n øː r
suutma	s uː t m ɑ
säilitama	s æ i̯ lʲ i tˑ ɑ m ɑ
särg	s æ r ɡ̊
säutsuma	s æ u̯ t s u m ɑ
säär	s æː r
sõge	s ɤ ɡ̊ e̞
sõiduk	s ɤ i̯ d̥ u kˑ
sõit	s ɤ i̯ tˑ
sõitma	s ɤ i̯ t m ɑ
sõltumatu	s ɤ l t u m ɑ tˑ u
sõna	s ɤ n ɑ
sõnaraamat	s ɤ n ɑ r ɑˑ m ɑ tˑ
sõnum	s ɤ n u m
sõsar	s ɤ s ɑ r
sööstma	s øː s t m ɑ
sülitama	s y lʲ i tˑ ɑ m ɑ
sündima	s y nʲ d̥ʲ i m ɑ
sünnitus	s y nʲː i tˑ u s
sünnitushaigla	s y nʲː i tˑ u s h ɑ i̯ ɡ̊ l ɑ
sünonüüm	s y n o n yː m
sünonüümne	s y n o n yː m n e̞
süü	s yː
taanduma	t ɑː n d̥ u m ɑ
tagama	t ɑ ɡ̊ ɑ m ɑ
tagasi	t ɑ ɡ̊ ɑ sʲ i
tagasõna	t ɑ ɡ̊ ɑ s ɤ n ɑ
taide	t ɑ i̯ d̥ e̞
taie	t ɑ i̯ e̞
taiet	t ɑ i̯ e tˑ
takjas	t ɑ k j ɑ̈ s
tallama	t ɑ lː ɑ m ɑ
talv	t ɑ lʲ v
tana	t ɑ n ɑ
tantsupõrand	t ɑ n t s u p ɤ r ɑ n d̥
taotlema	t ɑ o̯ t l e m ɑ
tapper	t ɑ pː e r
tarkusehammas	t ɑ r k u s e h ɑ mˑ ɑ s
tarkvaraarendaja	t ɑ r k v ɑ r ɑ ɑ r e n d̥ ɑ̈ j ɑ̈
tatari	t ɑ tˑ ɑ r i
teada	t e ɑ̯ d̥ ɑ
teadja	t e ɑ̯ d̥ʲ j ɑ̈
teadma	t e ɑ̯ d̥ m ɑ
tegevuspiirang	t e ɡ̊ e v u s p iː r ɑ ŋ ɡ̊
teine	t e i̯ n e̞
telefoninumber	t e l e fˑ o nʲ i n u m b̥ e r
telefoniraamat	t e l e fˑ o nʲ i r ɑˑ m ɑ tˑ
tellima	t e lʲː i m ɑ
telliskivi	t e lˑ i s k i v i
terav	t e r ɑ v
tere	t e r e̞
tibla	tʲ i b̥ l ɑ
tiiger	tʲ iː ɡ̊ e r
tikand	tʲ i kˑ ɑ n d̥
tikk	tʲ i kː
tipp	tʲ i pː
tobe	t o b̥ e̞
toimingupiirang	t o i̯ m i ŋ ɡ̊ u p iː r ɑ ŋ ɡ̊
tollipiirang	t o lʲː i p iː r ɑ ŋ ɡ̊
tolmuimeja	t o l m u i m e j ɑ̈
tomat	t o m ɑ tˑ
tomatimahl	t o m ɑ tʲˑ i m ɑ hˑ l̥
too	t oː
tsaar	t s ɑː r
tsement	t s e m e n tˑ
tsensuur	t s e n s uː r
tuletikk	t u l e tʲˑ i kː
tunnus	t u nː u s
tursk	t u r s k
tuul	t uː l
tuumaelektrijaam	t uˑ m ɑ e l e kˑ t r i j ɑ̈ː m
tuumaelektrijaama	t uˑ m ɑ e l e kˑ t r i j ɑ̈ː m ɑ
tuumaelektrijaama	t uˑ m ɑ e l e kˑ t r i j ɑ̈ˑ m ɑ
tuus	t uː s
tähestik	t æ ɦ e s tʲ i kˑ
täheteadus	t æ ɦ e t e ɑ̯ d̥ u s
tähistama	t æ ɦ i s t ɑ m ɑ
täht	t æ h t
täiuslik	t æ i̯ u̯ s lʲ i kˑ
täna	t æ n ɑ
tänan	t æ n ɑ n
täring	t æ r i ŋ ɡ̊
tõmblukk	t ɤ m b̥ l u kː
tõukeratas	t ɤ u̯ kˑ e r ɑ tˑ ɑ s
tööriist	t øˑ r iː s t
töötaja	t øː tː ɑ̈ j ɑ̈
tšekk	t ʃ e kː
tšellist	t ʃ e l lʲ i s t
tšello	t ʃ e lˑ o
ubinale	u b̥ i n ɑ l e̞
ubinalt	u b̥ i n ɑ l tˑ
ubinasse	u b̥ i n ɑ sː e̞
ubinat	u b̥ i n ɑ tˑ
ujuksild	ü j ü k sʲ i l d̥
universaalne	u nʲ i v e r s ɑː l n e̞
uss	u sʲː
uulits	uˑ lʲ i t s
vaas	v ɑː s
vaatama	v ɑː tˑ ɑ m ɑ
vaba	v ɑ b̥ ɑ
vabadus	v ɑ b̥ ɑ d̥ u s
vabamüürlane	v ɑ b̥ ɑ m yː r l ɑ n e̞
vabatahtlikult	v ɑ b̥ ɑ t ɑ h t lʲ i kˑ u l tˑ
vadja	v ɑ d̥ʲ j ɑ̈
vaen	v ɑ e̯ n
vagu	v ɑ ɡ̊ u
vaheldama	v ɑ ɦ e l d̥ ɑ m ɑ
vahetusõpilane	v ɑ ɦ e tˑ u s ɤ pˑ i l ɑ n e̞
vaip	v ɑ i̯ pˑ
vaksal	v ɑ k s ɑ l
valamu	v ɑ l ɑ m u
valge	v ɑ l ɡ̊ e̞
valguskiir	v ɑ l ɡ̊ u s k iː r
vandaal	v ɑ n d̥ ɑː l
vandaali	v ɑ n d̥ ɑː lʲ i
vandaali	v ɑ n d̥ ɑˑ lʲ i
vandaalitsema	v ɑ n d̥ ɑˑ lʲ i t s e m ɑ
vandenõuteooria	v ɑ n d̥ e n ɤ u̯ tˑ e oː r i ɑ̯
vanusepiirang	v ɑ n u s e p iː r ɑ ŋ ɡ̊
vapper	v ɑ pː e r
varblane	v ɑ r b̥ l ɑ n e̞
vares	v ɑ r e s
varjupaik	v ɑ r j ü pˑ ɑ i̯ kˑ
vasikaliha	v ɑ sʲ i kˑ ɑ lʲ i ɦ ɑ
vasikas	v ɑ sʲ i kˑ ɑ s
vastupidavus	v ɑ s t u p i d̥ ɑ v u s
vatitekk	v ɑ tʲˑ i t e kː
vatnik	v ɑ tʲ nʲ i kˑ
veider	v e i̯ d̥ e r
veidrat	v e i̯ d̥ r ɑ tˑ
veoauto	v e o̯ ɑ u̯ tˑ o
verd	v e r d̥
vere	v e r e̞
veri	v e r i
viga	v i ɡ̊ ɑ
vihm	v i hˑ m̥
vihmapiisk	v i h m ɑ p iː s k
vihmavari	v i h m ɑ v ɑ r i
viibima	v iː b̥ i m ɑ
viieteistkümnes	v iː j e t e i̯ s t k y m n e s
viir	v iː r
viirus	v iː r u s
viis	v iː s
viis	v iː sʲ
vikat	v i kˑ ɑ tˑ
vimm	v i mː
voodi	v oː d̥ʲ i
voodilutikas	v oː d̥ʲ i l u tʲˑ i k ɑ s
vägev	v æ ɡ̊ e v
vähk	v æ h k
värk	v æ r kˑ
värv	v æ r v
väsinud	v æ sʲ i n u d̥
västrik	v æ s t r i kˑ
väärt	v æː r tˑ
võim	v ɤ i̯ m
võtma	v ɤ t m ɑ
võtta	v ɤ tː ɑ
võõras	v ɤˑ r ɑ s
Õ	ɤ
Öland	øː l ɑ n d̥
äriline	æ r i lʲ i n e̞
ärkama	æ r k ɑ m ɑ
õde	ɤ d̥ e̞
õepoeg	ɤ e̯ p o e̯ ɡ̊
õetütar	ɤ e̯ t y tˑ ɑ r
õgima	ɤ ɡ̊ i m ɑ
õhtukleit	ɤ h t u k l e i̯ tˑ
õhtuti	ɤ h t u tʲˑ i
õhupall	ɤ ɦ u p ɑ lʲː
õigekeelsus	ɤ i̯ ɡ̊ e k eː l s u s
õigekeelsussõnaraamat	ɤ i̯ ɡ̊ e k eː l s u s s ɤ n ɑ r ɑˑ m ɑ tˑ
õigusriik	ɤ i̯ ɡ̊ u s r iː kˑ
õlg	ɤ l ɡ̊
õllekõht	ɤ lː e k ɤ h t
õmblusmasin	ɤ m b̥ l u s m ɑ sʲ i n
õpetama	ɤ pˑ e t ɑ m ɑ
õpilane	ɤ pˑ i l ɑ n e̞
õrnus	ɤ r n u s
õueaiamaa	ɤ u̯ e ɑ i̯ ɑ m ɑː
õun	ɤ u̯ n
öökima	øː kː i m ɑ
üdi	y d̥ʲ i
üheksa	y ɦ e k s ɑ
üheksa	ø ɦ e k s ɑ
üheksateist	ø ɦ e k s ɑ t e i̯ s t
üheksateistkümnendik	ø ɦ e k s ɑ t e i̯ s t k y m n e n d̥ʲ i kˑ
üheksateistkümnene	y ɦ e k s ɑ t e i̯ s t k y m n e n e̞
üheksateistkümnes	ø ɦ e k s ɑ t e i̯ s t k y m n e s
ühikas	y ɦ i kˑ ɑ s
ühiskondlik	y ɦ i s k o n d̥ lʲ i kˑ
ühistransport	y ɦ i s t r ɑ n s p o r tˑ
üks	y k s
üksi	y k sʲ i
üksteist	y k s t e i̯ s t
ülbe	y l b̥ e̞
ülekäik	y l e k æ i̯ kˑ
üles	y l e s
ülevenemaaline	y l e v e n e m ɑː lʲ i n e̞
üllatunud	y lˑ ɑ tˑ u n u d̥
ümar	y m ɑ r
ümberlõikamine	y m b̥ e r l ɤ i̯ kˑ ɑ m i n e̞
üritama	y r i tˑ ɑ m ɑ
üritus	y r i tˑ u s
ürt	y r tˑ
üsna	y s n ɑ
üterbium	y t t e r b̥ i u m
üterbium	y t t e r b̥ i u̯ m
ütlema	y t l e m ɑ
ütlev	y t l e v
ütrium	y t r i u m
ütrium	y t r i u̯ m
üür	yː r
üürikorter	yˑ r i k o r t e r
šaakal	ʃ ɑː kː ɑ l
šampoon	ʃ ɑ m p oː n
šantaaž	ʃ ɑ n t ɑː ʒ
šašlõkk	ʃ ɑ ʃ l ɤ kː
šnautser	ʃ n ɑ u̯ t s e r
šokk	ʃ o kː
šokolaad	ʃ o kˑ o l ɑː d̥
žanr	ʒ ɑ n r
žürii	ʒ y r iː
