@	a̠ t̚ t o̞
うまい	ɯ̟ m a̠ i
うまか	ɯ̟ m a̠ k a̠
うまから	ɯ̟ m a̠ k a̠ ɾ a̠
うまく	ɯ̟ m a̠ k ɯ̟
馬鍬	ɯ̟ m a̠ ɡ ɯ̟ β̞ a̠
うまごみ	ɯ̟ m a̠ ɡ o̞ mʲ i
馬小屋	ɯ̟ m a̠ ɡ o̞ j a̠
馬主	ɯ̟ m a̠ n ɯ̟ ɕ i
うまのり	ɯ̟ m a̠ n o̞ ɾʲ i
馬番	ɯ̟ m a̠ b ã̠ ɴ
旨味	ɯ̟ m a̠ mʲ i
うまや	ɯ̟ m a̠ j a̠
埋まる	ɯ̟ m a̠ ɾ ɯ̟
生まれ	ɯ̟ m a̠ ɾ e̞
生まれ変わり	ɯ̟ m a̠ ɾ e̞ k a̠ β̞ a̠ ɾʲ i
生まれ変わる	ɯ̟ m a̠ ɾ e̞ k a̠ β̞ a̠ ɾ ɯ̟
生まれ順	ɯ̟ m a̠ ɾ e̞ ʑ ɨ̃ ɴ
生まれ育つ	ɯ̟ m a̠ ɾ e̞ s o̞ d a̠ t͡s ɨ
生まれつき	ɯ̟ m a̠ ɾ e̞ t͡s ɨ kʲ i
うまれもつ	ɯ̟ m a̠ ɾ e̞ m o̞ t͡s ɨ
生まれる	ɯ̟ m a̠ ɾ e̞ ɾ ɯ̟
海	ɯ̟ mʲ i
膿	ɯ̟ mʲ i
海兎	ɯ̟ mʲ i ɯ̟ s a̠ ɡʲ i
海牛	ɯ̟ mʲ i ɯ̟ ɕ i
海馬	ɯ̟ mʲ i ɯ̟ m a̠
海亀	ɯ̟ mʲ i ɡ a̠ m e̞
海烏	ɯ̟ mʲ i ɡ a̠ ɾ a̠ s ɨ
うみじ	ɯ̟ mʲ i ʑ i
海雀	ɯ̟ mʲ i s ɨ z ɨ m e̞
海茸	ɯ̟ mʲ i t a̠ k e̞
生み出す	ɯ̟ mʲ i d a̠ s ɨ
海蜥蜴	ɯ̟ mʲ i t o̞ k a̠ ɡ e̞
海鳴り	ɯ̟ mʲ i n a̠ ɾʲ i
海猫	ɯ̟ mʲ i n e̞ k o̞
海開き	ɯ̟ mʲ i bʲ i ɾ a̠ kʲ i
海辺	ɯ̟ mʲ i b e̞
海蛇	ɯ̟ mʲ i h e̞ bʲ i
うみへび座	ɯ̟ mʲ i h e̞ bʲ i z a̠
海坊主	ɯ̟ mʲ i b o̞ː z ɨ
海蛍	ɯ̟ mʲ i h o̞ t a̠ ɾ ɯ̟
うみわけ	ɯ̟ mʲ i β̞ a̠ k e̞
海鷲	ɯ̟ mʲ i β̞ a̠ ɕ i
うむ	ɯ̟ m ɯ̟
有無	ɯ̟ m ɯ̟
生む	ɯ̟ m ɯ̟
膿む	ɯ̟ m ɯ̟
梅	ɯ̟ m e̞
埋め合わせ	ɯ̟ m e̞ a̠ β̞ a̠ s e̞
埋め合わせる	ɯ̟ m e̞ a̠ β̞ a̠ s e̞ ɾ ɯ̟
梅笠草	ɯ̟ m e̞ ɡ a̠ s a̠ s o̞ː
呻き	ɯ̟ m e̞ kʲ i
呻き声	ɯ̟ m e̞ kʲ i ɡ o̞ e̞
呻く	ɯ̟ m e̞ k ɯ̟
梅子	ɯ̟ m e̞ k o̞
埋め込む	ɯ̟ m e̞ k o̞ m ɯ̟
梅治	ɯ̟ m e̞ ʑ i
埋め立て	ɯ̟ m e̞ t a̠ t e̞
埋め立てる	ɯ̟ m e̞ t a̠ t e̞ ɾ ɯ̟
梅干し	ɯ̟ m e̞ b o̞ ɕ i
埋める	ɯ̟ m e̞ ɾ ɯ̟
埋もれる	ɯ̟ m o̞ ɾ e̞ ɾ ɯ̟
ゔゃ	bʲ a̠
ヴャ	bʲ a̠
ヴャチェスラフ	bʲ a̠ t͡ɕ e̞ s ɨ ɾ a̠ ɸ ɯ̟
恭しい	ɯ̟ j a̠ ɯ̟ j a̠ ɕ iː
敬う	ɯ̟ j a̠ m a̠ ɯ̟
有耶無耶	ɯ̟ j a̠ m ɯ̟ j a̠
うゅ	β̞ʲ ɨ
ゔゅ	bʲ ɨ
ヴュ	bʲ ɨ
烏有	ɯ̟ j ɯ̟ː
ゔょ	bʲ o̞
ヴョ	bʲ o̞
うようよ	ɯ̟ j o̞ ɯ̟ j o̞
紆余曲折	ɯ̟ j o̞ kʲ o̞ k ɯ̟ s e̞ t͡s ɨ
右翼	ɯ̟ j o̞ k ɯ̟
羽翼	ɯ̟ j o̞ k ɯ̟
浦	ɯ̟ ɾ a̠
裏	ɯ̟ ɾ a̠
ウラー	ɯ̟ ɾ a̠ː
裏打ち	ɯ̟ ɾ a̠ ɯ̟ t͡ɕ i
うらうつり	ɯ̟ ɾ a̠ ɯ̟ t͡s ɨ ɾʲ i
裏表	ɯ̟ ɾ a̠ o̞ m o̞ t e̞
浦賀	ɯ̟ ɾ a̠ ɡ a̠
裏返し	ɯ̟ ɾ a̠ ɡ a̠ e̞ ɕ i
裏返す	ɯ̟ ɾ a̠ ɡ a̠ e̞ s ɨ
裏返る	ɯ̟ ɾ a̠ ɡ a̠ e̞ ɾ ɯ̟
うらがき	ɯ̟ ɾ a̠ ɡ a̠ kʲ i
うらかた	ɯ̟ ɾ a̠ k a̠ t a̠
心悲しい	ɯ̟ ɾ a̠ ɡ a̠ n a̠ ɕ i i
裏金	ɯ̟ ɾ a̠ ɡ a̠ n e̞
裏側	ɯ̟ ɾ a̠ ɡ a̠ β̞ a̠
裏切り	ɯ̟ ɾ a̠ ɡʲ i ɾʲ i
裏切り者	ɯ̟ ɾ a̠ ɡʲ i ɾʲ i m o̞ n o̞
裏切る	ɯ̟ ɾ a̠ ɡʲ i ɾ ɯ̟
裏口	ɯ̟ ɾ a̠ ɡ ɯ̟ t͡ɕ i
裏工作	ɯ̟ ɾ a̠ k o̞ː s a̠ k ɯ̟
裏声	ɯ̟ ɾ a̠ ɡ o̞ e̞
うらごし	ɯ̟ ɾ a̠ ɡ o̞ ɕ i
ウラジオ	ɯ̟ ɾ a̠ ʑ i o̞
浦塩	ɯ̟ ɾ a̠ ʑ i o̞
ウラジオストク	ɯ̟ ɾ a̠ ʑ i o̞ s ɨ̥ t o̞ k ɯ̟
浦塩斯徳	ɯ̟ ɾ a̠ ʑ i o̞ s ɨ t o̞ k ɯ̟
浦潮斯徳	ɯ̟ ɾ a̠ ʑ i o̞ s ɨ t o̞ k ɯ̟
裏社会	ɯ̟ ɾ a̠ ɕ a̠ k a̠ i
ウラシル	ɯ̟ ɾ a̠ ɕ i ɾ ɯ̟
裏白	ɯ̟ ɾ a̠ ʑ i ɾ o̞
裏筋	ɯ̟ ɾ a̠ s ɨ ʑ i
うらて	ɯ̟ ɾ a̠ t e̞
裏戸	ɯ̟ ɾ a̠ d o̞
裏通り	ɯ̟ ɾ a̠ d o̞ː ɾʲ i
うらとり	ɯ̟ ɾ a̠ t o̞ ɾʲ i
うらどり	ɯ̟ ɾ a̠ d o̞ ɾʲ i
占い	ɯ̟ ɾ a̠ n a̠ i
占い師	ɯ̟ ɾ a̠ n a̠ i ɕ i
占う	ɯ̟ ɾ a̠ n a̠ ɯ̟
裏日本	ɯ̟ ɾ a̠ ɲ̟ i h õ̞ ɴ
ウラヌス	ɯ̟ ɾ a̠ n ɯ̟ s ɨ
裏箔	ɯ̟ ɾ a̠ h a̠ k ɯ̟
裏話	ɯ̟ ɾ a̠ b a̠ n a̠ ɕ i
うらはら	ɯ̟ ɾ a̠ h a̠ ɾ a̠
裏表紙	ɯ̟ ɾ a̠ bʲ o̞ː ɕ i
盂蘭盆	ɯ̟ ɾ a̠ b õ̞ ɴ
ウラマー	ɯ̟ ɾ a̠ m a̠ː
うらまき	ɯ̟ ɾ a̠ m a̠ kʲ i
裏巻	ɯ̟ ɾ a̠ m a̠ kʲ i
恨み	ɯ̟ ɾ a̠ mʲ i
うらみぶし	ɯ̟ ɾ a̠ mʲ i b ɯ̟ ɕ i
恨む	ɯ̟ ɾ a̠ m ɯ̟
裏向	ɯ̟ ɾ a̠ m ɯ̟ kʲ i
裏向き	ɯ̟ ɾ a̠ m ɯ̟ kʲ i
うらめ	ɯ̟ ɾ a̠ m e̞
怨めしい	ɯ̟ ɾ a̠ m e̞ ɕ iː
うらメニュー	ɯ̟ ɾ a̠ m e̞ ɲ̟ ɨː
裏門	ɯ̟ ɾ a̠ m õ̞ ɴ
羨ま	ɯ̟ ɾ a̠ j a̠ m a̠
裏山	ɯ̟ ɾ a̠ j a̠ m a̠
羨ましい	ɯ̟ ɾ a̠ j a̠ m a̠ ɕ i i
羨み	ɯ̟ ɾ a̠ j a̠ mʲ i
羨む	ɯ̟ ɾ a̠ j a̠ m ɯ̟
麗か	ɯ̟ ɾ a̠ ɾ a̠ k a̠
うらる	ɯ̟ ɾ a̠ ɾ ɯ̟
ウラル	ɯ̟ ɾ a̠ ɾ ɯ̟
うらルート	ɯ̟ ɾ a̠ ɾ ɯ̟ː t o̞
うらロム	ɯ̟ ɾ a̠ ɾ o̞ m ɯ̟
浦和	ɯ̟ ɾ a̠ β̞ a̠
うら若い	ɯ̟ ɾ a̠ β̞ a̠ k a̠ i
裏技	ɯ̟ ɾ a̠ β̞ a̠ z a̠
ウラン	ɯ̟ ɾ ã̠ ɴ
ウランバートル	ɯ̟ ɾ ã̠ m b a̠ː t o̞ ɾ ɯ̟
売り	ɯ̟ ɾʲ i
瓜	ɯ̟ ɾʲ i
売上げ	ɯ̟ ɾʲ i a̠ ɡ e̞
売り歩く	ɯ̟ ɾʲ i a̠ ɾ ɯ̟ k ɯ̟
うりかい	ɯ̟ ɾʲ i k a̠ i
売掛金	ɯ̟ ɾʲ i k a̠ k e̞ kʲ ĩ ɴ
売り切る	ɯ̟ ɾʲ i kʲ i ɾ ɯ̟
売り切れ	ɯ̟ ɾʲ i kʲ i ɾ e̞
売り切れる	ɯ̟ ɾʲ i kʲ i ɾ e̞ ɾ ɯ̟
瓜草	ɯ̟ ɾʲ i k ɯ̟ s a̠
うりこ	ɯ̟ ɾʲ i k o̞
売り込む	ɯ̟ ɾʲ i k o̞ m ɯ̟
瓜実顔	ɯ̟ ɾʲ i z a̠ n e̞ ɡ a̠ o̞
売り捌く	ɯ̟ ɾʲ i s a̠ b a̠ k ɯ̟
売り出す	ɯ̟ ɾʲ i d a̠ s ɨ
ウリチ語	ɯ̟ ɾʲ i t͡ɕ i ɡ o̞
売り付ける	ɯ̟ ɾʲ i t͡s ɨ k e̞ ɾ ɯ̟
売り手	ɯ̟ ɾʲ i t e̞
売り飛ばす	ɯ̟ ɾʲ i t o̞ b a̠ s ɨ
売り値	ɯ̟ ɾʲ i n e̞
売り場	ɯ̟ ɾʲ i b a̠
売り払う	ɯ̟ ɾʲ i h a̠ ɾ a̠ ɯ̟
瓜実蠅	ɯ̟ ɾʲ i mʲ i b a̠ e̞
うりもの	ɯ̟ ɾʲ i m o̞ n o̞
雨量	ɯ̟ ɾʲ o̞ː
雨量計	ɯ̟ ɾʲ o̞ː k e̞ː
売り渡す	ɯ̟ ɾʲ i β̞ a̠ t a̠ s ɨ
雨林	ɯ̟ ɾʲ ĩ ɴ
売る	ɯ̟ ɾ ɯ̟
閏	ɯ̟ ɾ ɯ̟ː
閏月	ɯ̟ ɾ ɯ̟ː z ɨ kʲ i
うるうどし	ɯ̟ ɾ ɯ̟ː d o̞ ɕ i
うるうびょう	ɯ̟ ɾ ɯ̟ː bʲ o̞ː
うるうる	ɯ̟ ɾ ɯ̟ ɯ̟ ɾ ɯ̟
潤い	ɯ̟ ɾ ɯ̟ o̞ i
潤う	ɯ̟ ɾ ɯ̟ o̞ ɯ̟
潤す	ɯ̟ ɾ ɯ̟ o̞ s ɨ
うる覚え	ɯ̟ ɾ ɯ̟ o̞ b o̞ e̞
うるか	ɯ̟ ɾ ɯ̟ k a̠
ウルガタ	ɯ̟ ɾ ɯ̟ ɡ a̠ t a̠
ウルカヌス	ɯ̟ ɾ ɯ̟ k a̠ n ɯ̟ s ɨ
ウルグアイ	ɯ̟ ɾ ɯ̟ ɡ ɯ̟ a̠ i
うるさい	ɯ̟ ɾ ɯ̟ s a̠ i
蔚山	ɯ̟ ɾ ɯ̟ s ã̠ ɴ
漆	ɯ̟ ɾ ɯ̟ ɕ i
漆塗り	ɯ̟ ɾ ɯ̟ ɕ i n ɯ̟ ɾʲ i
漆原	ɯ̟ ɾ ɯ̟ ɕ i h a̠ ɾ a̠
うるせえ	ɯ̟ ɾ ɯ̟ s e̞ e̞
うるち	ɯ̟ ɾ ɯ̟ t͡ɕ i
ウルドゥー語	ɯ̟ ɾ ɯ̟ d ɯ̟ː ɡ o̞
ウルトラ	ɯ̟ ɾ ɯ̟ t o̞ ɾ a̠
ウルトラC	ɯ̟ ɾ ɯ̟ t o̞ ɾ a̠ ɕ iː
ウルフ	ɯ̟ ɾ ɯ̟ ɸ ɯ̟
ウルフカット	ɯ̟ ɾ ɯ̟ ɸ ɯ̟ k a̠ t̚ t o̞
潤み	ɯ̟ ɾ ɯ̟ mʲ i
うるむ	ɯ̟ ɾ ɯ̟ m ɯ̟
烏魯木斉	ɯ̟ ɾ ɯ̟ m ɯ̟ t͡ɕ i
鬱陵島	ɯ̟ ɾ ɯ̟ ɾ ɯ̟̃ n d o̞
ウルレア	ɯ̟ ɾ ɯ̟ ɾ e̞ a̠
麗しい	ɯ̟ ɾ ɯ̟ β̞ a̠ ɕ iː
うれい	ɯ̟ ɾ e̞ i
うれう	ɯ̟ ɾ e̞ ɯ̟
憂え	ɯ̟ ɾ e̞ e̞
憂えた	ɯ̟ ɾ e̞ e̞ t a̠
憂えて	ɯ̟ ɾ e̞ e̞ t e̞
憂える	ɯ̟ ɾ e̞ e̞ ɾ ɯ̟
うれし	ɯ̟ ɾ e̞ ɕ i
うれC	ɯ̟ ɾ e̞ ɕ iː
嬉しい	ɯ̟ ɾ e̞ ɕ iː
嬉し泣き	ɯ̟ ɾ e̞ ɕ i n a̠ kʲ i
嬉し涙	ɯ̟ ɾ e̞ ɕ i n a̠ mʲ i d a̠
売れ線	ɯ̟ ɾ e̞ s ẽ̞ ɴ
売れっ子	ɯ̟ ɾ e̞ k̚ k o̞
売れ残り	ɯ̟ ɾ e̞ n o̞ k o̞ ɾʲ i
うれぴい	ɯ̟ ɾ e̞ pʲ iː
憂ふ	ɯ̟ ɾ e̞ ɸ ɯ̟
売れ行き	ɯ̟ ɾ e̞ j ɯ̟ kʲ i
売れる	ɯ̟ ɾ e̞ ɾ ɯ̟
熟れる	ɯ̟ ɾ e̞ ɾ ɯ̟
有漏	ɯ̟ ɾ o̞
烏鷺	ɯ̟ ɾ o̞
迂路	ɯ̟ ɾ o̞
うろうろ	ɯ̟ ɾ o̞ ɯ̟ ɾ o̞
うろ覚え	ɯ̟ ɾ o̞ː b o̞ e̞
鱗	ɯ̟ ɾ o̞ k o̞
鱗雲	ɯ̟ ɾ o̞ k o̞ ɡ ɯ̟ m o̞
うろたえる	ɯ̟ ɾ o̞ t a̠ e̞ ɾ ɯ̟
うろちょろ	ɯ̟ ɾ o̞ t͡ɕ o̞ ɾ o̞
うろつく	ɯ̟ ɾ o̞ t͡s ɨ̥ k ɯ̟
胡乱	ɯ̟ ɾ õ̞ ɴ
うわぁ	ɯ̟ β̞ a̠ː
うわあ	ɯ̟ β̞ a̠ː
うわー	ɯ̟ β̞ a̠ː
ウワー	ɯ̟ β̞ a̠ː
上顎	ɯ̟ β̞ a̠ a̠ ɡ o̞
ウワーッ	ɯ̟ᵝ β̞ a̠ː ʔ
上書き	ɯ̟ β̞ a̠ ɡ a̠ kʲ i
浮気	ɯ̟ β̞ a̠ kʲ i
上着	ɯ̟ β̞ a̠ ɡʲ i
釉薬	ɯ̟ β̞ a̠ ɡ ɯ̟ s ɨ ɾʲ i
上唇	ɯ̟ β̞ a̠ k ɯ̟ t͡ɕ i bʲ i ɾ ɯ̟
うわ言	ɯ̟ β̞ a̠ ɡ o̞ t o̞
噂	ɯ̟ β̞ a̠ s a̠
噂話	ɯ̟ β̞ a̠ s a̠ b a̠ n a̠ ɕ i
うわっ	ɯ̟ β̞ a̠ ʔ
上っ張り	ɯ̟ β̞ a̠ p̚ p a̠ ɾʲ i
浮つく	ɯ̟ β̞ a̠ t͡s ɨ k ɯ̟
上包み	ɯ̟ β̞ a̠ z ɨ t͡s ɨ mʲ i
うわづみ	ɯ̟ β̞ a̠ z ɨ mʲ i
上面	ɯ̟ β̞ a̠ t͡s ɨ ɾ a̠
後妻	ɡ o̞ s a̠ i
上乗せ	ɯ̟ β̞ a̠ n o̞ s e̞
上歯	ɯ̟ β̞ a̠ b a̠
蟒蛇	ɯ̟ β̞ a̠ b a̠ mʲ i
蟒蛇草	ɯ̟ β̞ a̠ b a̠ mʲ i s o̞ː
うわぶれ	ɯ̟ β̞ a̠ b ɯ̟ ɾ e̞
上辺	ɯ̟ β̞ a̠ b e̞
上回る	ɯ̟ β̞ a̠ m a̠ β̞ a̠ ɾ ɯ̟
うわむき	ɯ̟ β̞ a̠ m ɯ̟ kʲ i
うわめづかい	ɯ̟ β̞ a̠ m e̞ z ɨ k a̠ i
植わる	ɯ̟ β̞ a̠ ɾ ɯ̟
うわん	ɯ̟ β̞ ã̠ ɴ
うん	ɯ̟̃ ɴ
云	ɯ̟̃ ɴ
吽	ɯ̟̃ ɴ
蘊	ɯ̟̃ ɴ
運	ɯ̟̃ ɴ
云為	ɯ̟̃ ɰ̃ i
うんうん	ɯ̟̃ ɰ̃ ɯ̟̃ ɴ
ウンウンヘキシウム	ɯ̟̃ ɰ̃ ɯ̟̃ ɰ̃ h e̞ kʲ i̥ ɕ i ɯ̟ m ɯ̟
運営	ɯ̟̃ ɰ̃ e̞ː
浮塵子	ɯ̟̃ ŋ k a̠
雲霞	ɯ̟̃ ŋ k a̠
運河	ɯ̟̃ ŋ ɡ a̠
雲海	ɯ̟̃ ŋ k a̠ i
雲霓	ɯ̟̃ ŋ ɡ e̞ː
運ゲー	ɯ̟̃ ŋ ɡ e̞ː
繧繝	ɯ̟̃ ŋ ɡ ẽ̞ ɴ
うんこ	ɯ̟̃ ŋ k o̞
運航	ɯ̟̃ ŋ k o̞ː
運行	ɯ̟̃ ŋ k o̞ː
うんざり	ɯ̟̃ n d͡z a̠ ɾʲ i
雲散霧消	ɯ̟̃ ɰ̃ s ã̠ mː ɯ̟ ɕ o̞ː
運指	ɯ̟̃ ɰ̃ ɕ i
運勢	k o̞ː s e̞ː
運送	ɯ̟̃ ɰ̃ s o̞ː
運試し	ɯ̟̃ n d a̠ m e̞ ɕ i
うんたらかんたら	ɯ̟̃ n t a̠ ɾ a̠ k ã̠ n t a̠ ɾ a̠
うんち	ɯ̟̃ ɲ̟ t͡ɕ i
運痴	ɯ̟̃ ɲ̟ t͡ɕ i
蘊蓄	ɯ̟̃ ɲ̟ t͡ɕ i k ɯ̟
運賃	ɯ̟̃ ɲ̟ t͡ɕ ĩ ɴ
うんつく	ɯ̟̃ n t͡s ɨ k ɯ̟
ウンディーネ	ɯ̟̃ n dʲ iː n e̞
雲泥	ɯ̟̃ n d e̞ː
運転	ɯ̟̃ n t ẽ̞ ɴ
運転手	ɯ̟̃ n t ẽ̞ ɰ̃ ɕ ɨ
運転席	ɯ̟̃ n t ẽ̞ ɰ̃ s e̞ kʲ i
運転免許	ɯ̟̃ n t ẽ̞ mː ẽ̞ ŋʲ kʲ o̞
うんと	ɯ̟̃ n t o̞
運動	ɯ̟̃ n d o̞ː
運動員	ɯ̟̃ n d o̞ː ĩ ɴ
運動音痴	ɯ̟̃ n d o̞ː õ̞ ɲ̟ t͡ɕ i
運動家	ɯ̟̃ n d o̞ː k a̠
運動会	ɯ̟̃ n d o̞ː k a̠ i
運動靴	ɯ̟̃ n d o̞ː ɡ ɯ̟ t͡s ɨ
運動場	ɯ̟̃ n d o̞ː ʑ o̞ː
運動量	ɯ̟̃ n d o̞ː ɾʲ o̞ː
云々	ɯ̟̃ nː ɯ̟̃ ɴ
運搬	ɯ̟̃ m p ã̠ ɴ
運搬係	ɯ̟̃ m p ã̠ ŋ ɡ a̠ k a̠ ɾʲ i
運搬船	ɯ̟̃ m p ã̠ ɰ̃ s ẽ̞ ɴ
運搬中	ɯ̟̃ m p ã̠ ɲ̟ t͡ɕ ɨː
運筆	ɯ̟̃ m pʲ i t͡s ɨ
雲豹	ɯ̟̃ m pʲ o̞ː
ウンマ	ɯ̟̃ mː a̠
運命	ɯ̟̃ mː e̞ː
雲母	ɯ̟̃ mː o̞
雲紋雀蛾	ɯ̟̃ mː õ̞ ɰ̃ s ɨ z ɨ m e̞
運輸	ɯ̟̃ ɰ̃ j ɯ̟
運用	ɯ̟̃ ɰ̃ j o̞ː
雲鑼	ɯ̟̃ n̺ ɾ a̠
え	e̞
エ	e̞
恵	e̞
柄	e̞
榎	e̞
江	e̞
絵	e̞
エアコン	e̞ a̠ k õ̞ ɴ
エアコンディショナー	e̞ a̠ k õ̞ n dʲ i ɕ o̞ n a̠ː
エアチェック	e̞ a̠ t͡ɕ e̞ k̚ k ɯ̟
エアプ	e̞ a̠ p ɯ̟
エアベッド	e̞ a̠ b e̞ d̚ d̥ o̞
エアリプ	e̞ a̠ ɾʲ i p ɯ̟
エアロゾル	e̞ a̠ ɾ o̞ z o̞ ɾ ɯ̟
エアロビクス	e̞ a̠ ɾ o̞ bʲ i k ɯ̟̊ s ɨ
エイ	e̞ i
叡	e̞ː
営	e̞ː
嬰	e̞ː
映	e̞ː
曳	e̞ː
栄	e̞ː
永	e̞ː
泳	e̞ː
洩	e̞ː
盈	e̞ː
翳	e̞ː
英	e̞ː
衛	e̞ː
裔	e̞ː
詠	e̞ː
鋭	e̞ː
頴	e̞ː
鱏	e̞ i
永安	e̞ː ã̠ ɴ
営為	e̞ iː
鋭意	e̞ː i
影印	e̞ ĩː ɴ
影印本	e̞ː ĩ m b õ̞ ɴ
永延	e̞ː ẽ̞ ɴ
永遠	e̞ː ẽ̞ ɴ
詠歌	e̞ː k a̠
頴果	e̞ː k a̠
映画	e̞ː ɡ a̠
栄華	e̞ː ɡ a̠
英会話	e̞ː k a̠ i β̞ a̠
映画館	e̞ː ɡ a̠ k ã̠ ɴ
栄喜	e̞ː kʲ i
永紀	e̞ː kʲ i
英気	e̞ː kʲ i
鋭気	e̞ː kʲ i
永久	e̞ː kʲ ɨː
永久凍土	e̞ː kʲ ɨː t o̞ː d o̞
影響	e̞ː kʲ o̞ː
英京	e̞ː kʲ o̞ː
営業	e̞ː ɡʲ o̞ː
営業所	e̞ː ɡʲ o̞ː ɕ o̞
営業中	e̞ː ɡʲ o̞ː t͡ɕ ɨː
影響力	e̞ː kʲ o̞ː ɾʲ o̞ k ɯ̟
英斤	e̞ː kʲ ĩ ɴ
英君	e̞ː k ɯ̟̃ ɴ
永訣	e̞ː k e̞ t͡s ɨ
英傑	e̞ː k e̞ t͡s ɨ
英子	e̞ː k o̞
英語	e̞ː ɡ o̞
頴悟	e̞ː ɡ o̞
栄光	e̞ː k o̞ː
永劫	e̞ː ɡ o̞ː
英国	e̞ː k o̞ k ɯ̟
英国人	e̞ː k o̞ k ɯ̟ ʑ ĩ ɴ
英語圏	e̞ː ɡ o̞ k ẽ̞ ɴ
栄枯盛衰	e̞ː k o̞ s e̞ː s ɨ i
英五郎	e̞ː ɡ o̞ ɾ o̞ː
英魂	e̞ː k õ̞ ɴ
英才	e̞ː s a̠ i
衛視	e̞ː ɕ i
永字	e̞ː ʑ i
英司	e̞ː ʑ i
英字	e̞ː ʑ i
英治	e̞ː ʑ i
映日果	e̞ː ʑ i t͡s ɨ k a̠
映写	e̞ː ɕ a̠
映写機	e̞ː ɕ a̠ kʲ i
英尺	e̞ː ɕ a̠ k ɯ̟
贏輸	e̞ː ɕ ɨ
永住	e̞ː ʑ ɨː
英俊	e̞ː ɕ ɨ̃ ɴ
詠春拳	e̞ː ɕ ɨ̃ ŋ k ẽ̞ ɴ
英称	e̞ː ɕ o̞ː
詠唱	e̞ː ɕ o̞ː
英植	e̞ː ɕ o̞ k ɯ̟
映じる	e̞ː ʑ i ɾ ɯ̟
英二郎	e̞ː ʑ i ɾ o̞ː
AIDS	e̞ i z ɨ
英数	e̞ː s ɨː
英数字	e̞ː s ɨː ʑ i
映ずる	e̞ː z ɨ ɾ ɯ̟
永世	e̞ː s e̞ː
永生	e̞ː s e̞ː
永逝	e̞ː s e̞ː
衛星	e̞ː s e̞ː
衛生	e̞ː s e̞ː
衛生的	e̞ː s e̞ː t e̞ kʲ i
衛星電話	e̞ː s e̞ː d ẽ̞ ɰ̃ β̞ a̠
影像	e̞ː z o̞ː
映像	e̞ː z o̞ː
永続	e̞ː z o̞ k ɯ̟
永続的	e̞ː z o̞ k ɯ̟ t e̞ kʲ i
営団	e̞ː d ã̠ ɴ
英断	e̞ː d ã̠ ɴ
英単語	e̞ː t ã̠ ŋ ɡ o̞
エイチ	e̞ i t͡ɕ i
英知	e̞ː t͡ɕ i
HIV	e̞ t̚ t͡ɕ i a̠ i b ɯ̟ i
HDD	e̞ː t͡ɕ i dʲ iː dʲ iː
英帝	e̞ː t e̞ː
栄典	e̞ː t ẽ̞ ɴ
エイト	e̞ i t o̞
英トン	e̞ː t õ̞ ɴ
永年	e̞ː n ẽ̞ ɴ
鋭敏	e̞ː bʲ ĩ ɴ
英文	e̞ː b ɯ̟̃ ɴ
衛兵	e̞ː h e̞ː
泳法	e̞ː h o̞ː
エイミー	e̞ː mʲ iː
永眠	e̞ː mʲ ĩ ɴ
英名	e̞ː m e̞ː
英訳	e̞ː j a̠ k ɯ̟
英雄	e̞ː j ɯ̟ː
英雄譚	e̞ː j ɯ̟ː t ã̠ ɴ
栄誉	e̞ː j o̞
栄養	e̞ː j o̞ː
栄養塩	e̞ː j o̞ː ẽ̞ ɴ
栄養塩類	e̞ː j o̞ː ẽ̞ n̺ ɾ ɯ̟ i
栄養学	e̞ː j o̞ː ɡ a̠ k ɯ̟
栄養不良	e̞ː j o̞ː ɸ ɯ̟ ɾʲ o̞ː
営利	e̞ː ɾʲ i
英里	e̞ː ɾʲ i
鋭利	e̞ː ɾʲ i
エイリアン	e̞ i ɾʲ i ã̠ ɴ
営力	e̞ː ɾʲ o̞ k ɯ̟
英霊	e̞ː ɾ e̞ː
英連邦	e̞ː ɾ ẽ̞ m p o̞ː
永禄	e̞ː ɾ o̞ k ɯ̟
英和	e̞ː β̞ a̠
英和辞典	e̞ː β̞ a̠ ʑ i t ẽ̞ ɴ
会陰	e̞ ĩ ɴ
絵印	e̞ ĩ ɴ
エインヘリャル	e̞ ĩ ɰ̃ h e̞ ɾʲ a̠ ɾ ɯ̟
エウェ語	e̞ β̞ e̞ ɡ o̞
エヴェンキ語	e̞ b ẽ̞ ŋʲ kʲ i ɡ o̞
エヴェン語	e̞ b ẽ̞ ŋ ɡ o̞
涯月	e̞ β̞ o̞ ɾ ɯ̟
エウテルペー	e̞ ɯ̟ t e̞ ɾ ɯ̟ p e̞ː
エウローペー	e̞ ɯ̟ ɾ o̞ː p e̞ː
ええ	e̞ː
エー	e̞ː
ARG	e̞ː a̠ː ɾ ɯ̟ ʑ iː
AI	e̞ː a̠ i
エーアイ	e̞ː a̠ i
ASMRtist	e̞ː e̞ s ɨ e̞ m ɯ̟ a̠ː tʲ i s ɨ t o̞
ASMR	e̞ː e̞ s ɨ e̞ m ɯ̟ a̠ː ɾ ɯ̟
エーオース	e̞ː o̞ː s ɨ
エーカー	e̞ː k a̠ː
A型	e̞ː ɡ a̠ t a̠
エーゲ海	e̞ː ɡ e̞ k a̠ i
エージェンシー	e̞ː ʑ ẽ̞ ɰ̃ ɕ iː
エージェント	e̞ː ʑ ẽ̞ n t o̞
エース	e̞ː s ɨ
エータ	e̞ː t a̠
