'ya	j̰ áː
ibilis	ʔ ɪ̀ b ɪ̀ l ɪ̂ s
iblis	ʔ ɪ̀ b l ɪ̂ s
ibrahim	ʔ ɪ̀ b r áː h ɪ̀ ŋ
ice	ʔ ɪ́ t͡ʃ èː
idan	ʔ ɪ̀ d á ŋ
idda	ʔ ɪ́ d d àː
idi	ʔ íː d ìː
ido	ʔ ɪ́ d òː
igiya	ʔ ɪ́ ɟ ɪ́ j àː
igwa	ʔ ɪ̀ ɡʷ áː
ijara	ʔ ɪ̀ d͡ʒ áː r àː
ikko	ʔ ɪ̀ kʷ kʷ ó
iko	ʔ íː kʷ òː
ilimi	ʔ ɪ́ l ɪ̀ m íː
illa	ʔ ɪ́ l l àː
illa	ʔ ɪ́ l l áː
ilmi	ʔ ɪ́ l m ìː
ilmi	ʔ ɪ̂ l m íː
imani	ʔ íː m áː n ìː
inabi	ʔ ɪ́ n ə̀ b íː
indiya	ʔ ɪ́ n d ɪ́ j ɛ̀
inganta	ʔ ɪ̀ ŋ ɡ á n t ə̀
inganta	ʔ ɪ́ ŋ ɡ à n t áː
ingarma	ʔ ɪ̀ ŋ ɡ á r m àː
ingila	ʔ íː ɲ ɟ ɪ̀ l ə̀
ingilishi	ʔ ɪ́ ɲ ɟ ɪ̀ l íː ʃ ìː
inna	ʔ ɪ́ n n ə̀
iraƙ	ʔ ɪ̀ r â kʼ
iraƙi	ʔ ɪ̀ r âː cʼ ɪ̀
isa	ʔ íː s áː
isha	ʔ ìː ʃ áː
ishara	ʔ ɪ̀ ʃ áː r àː
ishe	ʔ ɪ́ ʃ èː
isiyaku	ʔ ɪ́ s ɪ́ j áː kʷ ʊ̀
iska	ʔ ɪ́ s k àː
isma'ilu	ʔ ɪ̀ s m áː ʔ íː l ɪ̀
isra'ila	ʔ ɪ̀ s r áː ʔ íː l ə̀
istihara	ʔ ɪ́ s t ɪ̀ h áː r àː
isƙandariya	ʔ ɪ̀ s kʼ á n d ə̀ r ɪ́ j ɛ̀
ita	ʔ ɪ́ t ə́
italiya	ʔ ɪ̀ t áː l ɪ́ j ɛ̀
iyali	ʔ ɪ̀ j áː l ìː
izifi	ʔ ɪ́ z ɪ̀ ɸ íː
izini	ʔ ɪ́ z ɪ̀ n íː
izni	ʔ ɪ́ z n ìː
iƙir̃ar̃i	ʔ ɪ̀ cʼ ɪ̀ r áː r ìː
ja	d͡ʒ áː
jace	d͡ʒ àː t͡ʃ éː
jadawali	d͡ʒ ə́ d ə́ w ə̀ l íː
jafa'i	d͡ʒ ə̀ ɸ áː ʔ ìː
jahadi	d͡ʒ ə̀ h áː d ìː
jahili	d͡ʒ áː h ɪ̀ l íː
jahun	d͡ʒ áː h ʊ̀ ŋ
jaka	d͡ʒ ə̀ k áː
jaki	d͡ʒ àː c íː
jam'i	d͡ʒ á m ʔ ìː
jam'iyya	d͡ʒ à m ʔ ɪ́ j j àː
jama'a	d͡ʒ ə̀ m ə́ ʔ à
jamhuriya	d͡ʒ à m h úː r ɪ́ j àː
jami'a	d͡ʒ áː m ɪ̀ ʔ áː
jami'a	d͡ʒ áː m ɪ́ ʔ àː
jami'i	d͡ʒ áː m ɪ̀ ʔ íː
jamus	d͡ʒ áː m ʊ̀ s
jamusanci	d͡ʒ áː m ʊ́ s á n t͡ʃ íː
jana'iza	d͡ʒ ə̀ n áː ʔ ɪ́ z àː
janaba	d͡ʒ ə̀ n ə́ b àː
janairu	d͡ʒ ə̀ n é i r ɪ̀
janar	d͡ʒ ə́ n à r
japan	d͡ʒ ə̀ p â ŋ
jarida	d͡ʒ ə̀ r íː d àː
jarrabawa	d͡ʒ á r r ə̀ b âː w áː
jatau	d͡ʒ àː t á u
jawabi	d͡ʒ ə̀ w áː b ìː
jawo	d͡ʒ áː w óː
jawur	d͡ʒ àː w ʊ́ r
jaza'i	d͡ʒ ə̀ z áː ʔ ìː
jazur	d͡ʒ àː z ɪ́ r
jega	d͡ʒ èː ɡ ə́
jeri	d͡ʒ éː ɽ ìː
ji	d͡ʒ ɪ́
jibirilu	d͡ʒ ɪ̀ b ɪ̀ r íː l ɪ̀
jibiya	d͡ʒ ɪ́ b ɪ́ j ɛ̀
jidali	d͡ʒ ɪ̀ d áː l ìː
jif	d͡ʒ ɪ̂ ɸ
jiha	d͡ʒ ɪ́ h àː
jihadi	d͡ʒ ɪ̀ h áː d ìː
jika	d͡ʒ ɪ́ k ə̀
jiki	d͡ʒ ɪ̀ c íː
jim	d͡ʒ ɪ́ ŋ
jima'i	d͡ʒ ɪ̀ m áː ʔ ìː
jimilla	d͡ʒ ɪ̀ m ɪ́ l l àː
jimina	d͡ʒ ɪ̀ m ɪ́ n áː
jimla	d͡ʒ ɪ́ m l àː
jimɓirɓir	d͡ʒ ɪ̀ m ɓ ɪ̀ r ɓ ɪ̀ r
jini	d͡ʒ ɪ́ n íː
jinjimi	d͡ʒ ɪ́ n d͡ʒ ɪ́ m íː
jinsi	d͡ʒ ɪ́ n s ìː
jirgi	d͡ʒ ɪ́ ɽ ɟ íː
jos	d͡ʒ à s
jugum	d͡ʒ ɪ̀ ɡʷ ʊ́ m
jumma'a	d͡ʒ ɪ́ m m ə́ ʔ àː
jummai	d͡ʒ ɪ́ m m é i
juwa	d͡ʒ ʊ̀ w áː
juzu'i	d͡ʒ ɪ́ z ɪ̀ ʔ íː
ka	k áː
kabari	k ə́ b ə̀ r íː
kabewa	k ə̀ b éː w àː
kabila	k ə̀ b íː l àː
kaca	k ə́ t͡ʃ àː
kaciya	k àː t͡ʃ ɪ́ j àː
kada	k ə́ d áː
kadari	k ə́ d ə̀ r íː
kaduna	k ə́ d úː n ə́
kaf	k á p
kafa	k ə́ ɸ àː
kafa	k ə́ ɸ áː
kafaɗa	k àː ɸ ə́ ɗ àː
kafe	k ə́ ɸ èː
kafin	k àː ɸ ɪ̀ ŋ
kafiri	k áː ɸ ɪ̀ r íː
kafur	k áː ɸ ʊ̀ r
kahuhu	k ə́ h ʊ́ h ʊ́
kai	k â i
kai	k é i
kaidi	k é i d ìː
kaigama	k é i ɡ ə́ m ə̀
kairo	k é i r ɔ̀
kaita	k é i t ə́
kaiwa	k é i w áː
kaka	k àː k áː
kaka	k àː k ə́
kakaki	k àː k àː c íː
kalami	k ə̀ l áː m ìː
kallo	k á l l óː
kalma	k á l m àː
kaltibeta	k á l t ɪ̀ b éː t àː
kam	k á m
kamala	k ə̀ m áː l àː
kamaru	k ə̀ m ə̀ r ɪ́
kambi	k á m b íː
kamfas	k á m ɸ à s
kamili	k áː m ɪ̀ l íː
kamin	k àː m ɪ̀ n , k àː m ɪ́ ŋ
kanar	k ə́ n à r
kandu	k á n d úː
kango	k á ŋ ɡʷ óː
kankana	k á ŋ k ə́ n áː
kanki	k ɛ́ ɲ c ìː
kanne	k á n n èː
kano	k ə́ n ó
kanta	k á n t àː
kanta	k á n t áː
kanti	k à n t íː
kanumfari	k ə̀ n ɪ́ m ɸ ə̀ r íː
karahiya	k ə̀ r áː h ɪ́ j àː
karama	k ə̀ r áː m àː
karanta	k ə́ r à n t áː
kare	k ə̀ ɽ éː
karimi	k ə̀ r íː m ìː
karkanda	k á r k à n d ə̀
karuwa	k áː r ʊ̀ w ə̀
kasat	k áː s à t
kasko	k á s kʷ óː
kasu	k ə̀ s ɪ́
kasuwa	k àː s ʊ́ w áː
kasuwanci	k áː s ʊ́ w á n t͡ʃ ìː
katagum	k ə́ t áː ɡʷ ʊ̀ ŋ
kati	k áː t ìː
katibi	k áː t ɪ̀ b íː
katifa	k ə̀ t íː ɸ àː
katsina	k ə̀ sʼ ɪ́ n ə̀
kauci	k á u t͡ʃ ìː
kawu	k àː w ʊ́
kawu	k áː w ʊ̀
kaza	k àː z áː
kazaf	k ə́ z à ɸ
kazaure	k ə̀ z á u ɽ é
kaɗanya	k ə́ ɗ ɛ́ ɲ j àː
kaɗo	k áː ɗ ò
keso	c éː s òː
kibiya	c ɪ́ b ɪ́ j àː
kibiya	c ɪ́ b ɪ́ j ɛ̀
kifa	c ɪ́ ɸ àː
kife	c ɪ́ ɸ èː
kifi	c íː ɸ íː
kili	c ɪ̀ l îː
kilishi	c ɪ́ l ɪ̀ ʃ íː
kimsa	c ɪ́ m s àː
kindirmo	c ɪ̀ n d ɪ̀ r m óː
kirsimati	c ɪ́ r s ɪ̀ m ə́ t ɪ̀
kirtif	c ɪ̀ ɽ t ɪ́ p
kishiya	c íː ʃ ɪ̀ j áː
kissa	c ɪ́ s s ə̀
kiyama	c ɪ̀ j áː m àː
kofi	kʷ òː ɸ íː
kofi	kʷ óː ɸ ìː
kofur	kʷ óː ɸ ʊ̀ r
kogi	kʷ òː ɟ íː
koka	kʷ óː k àː
koko	kʷ òː kʷ óː
koko	kʷ óː kʷ ó
kolo	kʷ óː l óː
koma	kʷ óː m áː
komi	kʷ óː m íː
komo	kʷ óː m óː
kore	kʷ óː r èː
kori	kʷ óː r ìː
kos	kʷ â s
kotu	kʷ óː t ɪ̀
kowa	kʷ óː w áː
kowanne	kʷ óː w à n n éː
kubbi	kʷ ʊ́ b b ɪ̀
kucaki	kʷ ʊ̀ t͡ʃ áː c íː
kudaku	kʷ úː d ə́ kʷ ʊ́ , kʷ úː d ə̀ kʷ úː
kudu	kʷ ʊ́ d ɪ̀
kufai	kʷ ʊ́ ɸ é i
kuge	kʷ ʊ̀ ɟ éː
kujera	kʷ ʊ́ d͡ʒ èː ɽ áː
kukuma	kʷ úː kʷ úː m àː
kullum	kʷ ʊ́ l l ɪ́ ŋ
kumallo	kʷ ʊ̀ m á l l óː
kumama	kʷ ʊ̀ m áː m áː
kunama	kʷ ʊ̀ n áː m àː
kuni	kʷ ʊ̀ n îː
kunkuru	kʷ ʊ̀ ŋ kʷ ʊ́ ɽ úː
kunne	kʷ ʊ́ n n é
kunne	kʷ ʊ̂ n n éː
kunya	kʷ ʊ́ ɲ j àː
kunya	kʷ ʊ́ ɲ j áː
kura	kʷ úː ɽ ə́
kurkuku	kʷ ʊ̂ r kʷ ʊ́ kʷ ùː
kurma	kʷ ʊ́ ɽ m áː
kurmi	kʷ ʊ́ ɽ m ìː
kurwa	kʷ ʊ̀ ɽ w áː
kusa	kʷ ʊ́ s ə́
kuskus	kʷ ʊ́ s kʷ ʊ̀ s
kuɓewa	kʷ ʊ́ ɓ èː w áː
kuɗi	kʷ ʊ́ ɗ íː
kwabo	kʷ ə́ b òː
kwal	kʷ â l
kwala	kʷ ə́ l àː
kwalekwale	kʷ ə̀ l é kʷ ə̀ l é
kwamanda	kʷ ə̀ m á n d àː
kwamfyuta	kʷ à m ɸʲ úː t àː
kwana	kʷ áː n áː
kwana	kʷ áː n ə́
kwana	kʷ ə́ n àː
kwango	kʷ á ŋ ɡʷ ò
kwano	kʷ áː n òː
kwara	kʷ áː ɽ ə̀
kwaram	kʷ ə́ ɽ à m
kwatsam	kʷ ə́ sʼ à m
kwaɗo	kʷ àː ɗ óː
kwaɗo	kʷ ə́ ɗ ò
kwiyat	kʷ ɪ̀ j ɛ̂ t
kyaftin	c ɛ́ ɸ t ɪ̀ ŋ
kyanada	c ɛ́ n ə́ d ə̀
kyanwa	c ɛ̂ m w áː
kyat	c ɛ̂ t
kyau	c ɛ̂ u
kyauro	c ɛ́ u ɽ óː
la'ada	l ə̀ ʔ á d àː
la'alla	l ə̀ ʔ á l l àː
la'asar	l ə̀ ʔ á s à r
la'asariyya	l ə̀ ʔ à s ə́ r ɪ́ j j àː
la'ifi	l ə̀ ʔ íː ɸ ìː
laba	l áː b àː
labari	l àː b áː r ìː
labudda	l àː b ʊ́ d d ə̀
lacca	l á t t͡ʃ àː
lada	l áː d áː
ladabi	l ə́ d ə̀ b ìː
ladan	l àː d â ŋ
ladani	l àː d áː n ìː
ladi	l áː d ɪ̀
lafazi	l ə́ ɸ ə̀ z íː
lafi	l áː ɸ ìː
lafiya	l áː ɸ ɪ́ j àː
lahadi	l ə́ h à d ɪ̀
lahira	l áː h ɪ́ r àː
laifi	l ê i ɸ íː
laima	l é i m àː
laita	l é i t àː
laka	l áː k áː
laka	l ə́ k áː
lakwaja	l ə́ kʷ ə́ d͡ʒ ə̀
lale	l áː l èː
lalle	l á l l èː
lalle	l á l l éː
lalo	l áː l òː
lam	l á ŋ
lamba	l á m b àː
lambu	l à m b úː
lami	l àː m îː
lamiri	l ə̀ m íː r ìː
landan	l á n d à ŋ
laraba	l àː r ə̀ b áː
lardi	l á r d ìː
larura	l ə̀ r úː r àː
lasin	l áː s ɪ̀ ŋ
lasisi	l áː s íː s ìː
laskofur	l â s kʷ óː ɸ ʊ̀ r
latsa	l áː sʼ àː
launi	l á u n ìː
lauya	l á u j àː
lawur	l áː w ʊ́ ɽ
laya	l áː j àː
lazza	l á z z àː
legas	l éː ɡ à s
lemo	l èː m óː
lif	l ɪ̂ ɸ
likita	l ɪ́ c ɪ́ t ə̀
limam	l ìː m â ŋ
liman	l ìː m â ŋ
linjila	l ɪ̀ n d͡ʒ íː l áː
linzami	l ɪ̀ n z áː m ìː
lisha	l ìː ʃ áː
lissafi	l ɪ̀ s s áː ɸ ìː
litinin	l ìː t ɪ̀ n ɪ̂ ŋ
littafi	l ɪ́ t t áː ɸ ìː
loga	l óː ɡ àː
lokaci	l óː k ə̀ t͡ʃ íː
lori	l óː r ìː
lu	l ûː
lubayya	l ɪ̀ b ɛ́ j j ɛ̀
lugga	l ɪ́ ɡ ɡ àː
lula	l úː l àː
lumana	l ɪ̀ m áː n àː
luwaɗi	l ʊ̀ w áː ɗ ìː
luƙwi	l ɪ́ kʷʼ íː
ma'aikata	m ə́ ʔ á i k ə́ t áː
ma'amala	m ə̀ ʔ áː m ə́ l àː
ma'ana	m ə̀ ʔ à n áː
mabiyi	m ə́ b ɪ̀ j íː
mace	m ə̀ t͡ʃ èː
maciji	m ə́ t͡ʃ ìː d͡ʒ íː
madina	m ə̀ d íː n ə̀
madubi	m ə́ d úː b íː
mafaka	m ə́ ɸ ə́ k áː
mafari	m ə́ ɸ ə́ ɽ íː
magaji	m ə́ ɡ àː d͡ʒ íː
magaji	m ə́ ɡ àː d͡ʒ ɪ́
magajiya	m ə́ ɡ áː d͡ʒ ɪ̀ j áː
magana	m ə̀ ɡ ə́ n àː
magani	m àː z óː
magariba	m ə̀ ɡ ə̀ r ɪ́ b àː
magini	m ə́ ɟ ìː n íː
mago	m ə́ ɡʷ ó
mahalli	m ə̀ h â l l íː
mahawara	m ə̀ h áː w ə́ r àː
mahmudu	m àː m úː d ɪ̀
mai	m â i
maiduguri	m è i d ɪ́ ɡʷ ʊ̀ r ɪ́
maigado	m è i ɡ ə́ d ó
maigari	m è i ɡ ə̀ ɽ ɪ́
maikuɗi	m è i kʷ ʊ́ ɗ ɪ́
maina	m é i n ə̀
mairiga	m è i ɽ ìː ɡ ə̀
maiso	m é i s óː
maita	m ê i t áː
maitama	m è i t ə́ m ə́
maiwada	m è i w ə̀ d áː
maiɗaki	m è i ɗ áː c ɪ̀
majalisa	m ə̀ d͡ʒ ə̀ l ɪ́ s àː
majami'a	m ə̀ d͡ʒ áː m ɪ́ ʔ àː
majanuni	m ə̀ d͡ʒ ə̀ n úː n ìː
maka	m ə́ k ə̀
makabarta	m ə́ k ə́ b á r t áː
makama	m ə́ k àː m áː
makama	m ə́ k áː m áː
makara	m ə̀ k ə̀ ɽ áː
makaranta	m ə́ k ə́ r á n t áː
makari	m ə́ k ə́ ɽ íː
makaɗi	m ə́ k ə̀ ɗ íː
makaɗi	m ə́ k ə́ ɗ íː
makero	m ə̀ c éː ɽ òː
makiyaya	m ə́ c ɪ́ j áː j áː
makiyayi	m ə́ c ɪ̀ j àː j íː
makka	m á k k ə̀
mako	m áː kʷ òː
makwanci	m ə́ kʷ á n t͡ʃ íː
mala'ika	m ə̀ l áː ʔ ɪ́ k àː
malam	m áː l à ŋ
malama	m áː l ə̀ m áː
malami	m áː l ə̀ m íː
mama	m àː m ə́
mamaki	m àː m áː c ìː
mamaye	m àː m ɛ̀ j éː
mandiri	m à n d íː r ìː
mangariba	m à ŋ ɡ ə̀ r ɪ́ b àː
manhaja	m á ŋ h á d͡ʒ àː
manja	m á n d͡ʒ ə̀
manjo	m á n d͡ʒ ɔ̀
mantau	m à n t á u
manzo	m à n z óː
maraba	m ə́ r àː b ə́
maraba	m ə́ ɽ ə́ b áː
maraya	m áː ɽ ɛ̀ j áː
maraya	m ə̀ ɽ áː j àː
maraya	m ə́ ɽ áː j ɛ́
maraɗi	m ə́ ɽ áː ɗ ɪ́
marhabin	m à r h á b ɪ̀ ŋ
marili	m ə̀ r íː l ìː
marini	m ə́ ɽ ɪ̀ n íː
mariri	m àː ɽ íː ɽ íː
maris	m áː r ɪ̀ s
marke	m á ɽ c éː
maroko	m ə̀ r óː kʷ ò
maroƙi	m ə́ ɽ òː cʼ íː
maru	m áː ɽ ɪ̀
maryamu	m á r j ɛ́ m ʊ̀
masallaci	m ə́ s á l l áː t͡ʃ íː
masaniya	m ə́ s ə́ n ɪ̀ j áː
masar	m ə́ s à r
masara	m ə́ s ə̀ r áː
masarauta	m ə́ s ə́ ɽ á u t áː
masassaƙi	m ə́ s à s s ə̀ cʼ íː
masassaƙi	m ə́ s á s s ə́ cʼ íː
masauki	m ə́ s á u c íː
masaya	m ə́ s áː j áː
masaya	m ə́ s ɛ́ j áː
masaƙi	m ə́ s àː cʼ íː
mashahuri	m ə̀ ʃ ə̀ h úː r ìː
mashaidi	m ə́ ʃ è i d íː
mashar̃ci	m ə́ ʃ á r t͡ʃ íː
mashawar̃ta	m ə́ ʃ áː w á r t áː
mashi	m áː ʃ ìː
mashin	m ə̀ ʃ ɪ̂ ŋ
masinja	m áː s ɪ́ n d͡ʒ ə̀
masoro	m ə̀ s óː ɽ ó
mata	m àː t áː
mata	m áː t áː
matalauci	m ə́ t ə̀ l à u t͡ʃ íː
matsala	m ə̀ sʼ ə́ l àː
matukar̃	m ə́ t ɪ́ k á r
matuƙa	m ə́ t ɪ́ kʼ áː
maya	m àː j áː
mayani	m ɛ́ j áː n íː
maye	m àː j éː
mayu	m áː j ùː
maza	m ə́ z áː
maza	m ə́ z ə́
mazauni	m ə́ z à u n íː
mazauni	m ə́ z á u n íː
mazo	m àː z óː
maƙala	m ə̀ kʼ áː l àː
maƙari	m ə́ kʼ áː ɽ íː
maƙil	m àː cʼ ɪ́ l
maƙiyi	m ə́ cʼ ɪ̀ j íː
maƙoshi	m ə́ kʷʼ óː ʃ íː
maƙoƙo	m àː kʷʼ óː kʷʼ òː
maƙwabci	m ə́ kʷʼ à b t͡ʃ íː
maɗaba'a	m ə́ ɗ áː b ə́ ʔ áː
maɗaci	m ə́ ɗ àː t͡ʃ íː
mele	m éː l éː
mena	m éː n àː
mesa	m éː s àː
mesin	m éː s ɪ̀ ŋ
metso	m èː sʼ óː
miji	m ɪ́ d͡ʒ ìː
mim	m ɪ́ ŋ
minista	m ɪ́ n ɪ́ s t ə̀
minti	m ɪ́ n t ìː
mirya	m ɪ́ ɽ j ɛ̀
misali	m ɪ̀ s áː l ìː
mishi	m ɪ́ ʃ íː
misira	m ɪ́ s ɪ́ r ə̀
miski	m ɪ́ s c ìː
miskini	m ɪ̀ s c íː n ìː
miya	m ɪ́ j àː
mizani	m íː z áː n ìː
mohammed	m ʊ̀ h á m m à d
molo	m óː l óː
mota	m óː t àː
mowa	m óː w àː
mu	m úː
mu'amala	m ʊ̀ ʔ áː m ə́ l àː
mu'ujiza	m ʊ̀ ʔ ʊ̀ d͡ʒ ɪ́ z àː
mubazzari	m ʊ̀ b á z z ə̀ r íː
muddin	m ʊ́ d d ɪ̀ ŋ
mugu	m úː ɡʷ ùː
muhammadiyya	m ʊ̀ h à m m ə̀ d ɪ́ j j àː
muhammadu	m ʊ̀ h á m m ə́ d ɪ̀
muharram	m ʊ̀ h á r r à ŋ
muhibba	m ʊ̀ h ɪ́ b b àː
muhimmi	m ʊ̀ h ɪ́ m m ìː
muhtari	m ʊ̀ k t áː r ɪ́
muhuri	m ʊ́ h úː ɽ íː
mujaddadi	m ʊ̀ d͡ʒ á d d ə̀ d íː
mujalla	m ʊ̀ d͡ʒ á l l àː
mujiya	m úː d͡ʒ ɪ̀ j áː
mula	m ʊ̀ l ə́
mulki	m ʊ́ l c ìː
mulukiya	m ʊ́ l úː c ɪ́ j àː
mumbari	m ʊ́ m b ə̀ r íː
mumini	m úː m ɪ̀ n íː
munafuki	m ʊ̀ n áː ɸ ʊ̀ c íː
mur	m ʊ̂ r
muradi	m ʊ̀ r áː d ìː
murfi	m ʊ́ ɽ ɸ íː
murhu	m ʊ́ ɽ h ùː
murjani	m ʊ̀ r d͡ʒ áː n ìː
murtuk	m ʊ̀ r t ɪ́ k
murza	m ʊ̀ ɽ z áː
murza	m ʊ́ ɽ z àː
murzani	m ʊ̀ r z áː n ìː
musa	m úː s áː
musamman	m ʊ̀ s á m m à ŋ
musawa	m úː s áː w áː
mushe	m úː ʃ èː
mushiriki	m ʊ́ ʃ ɪ́ r ɪ̀ c íː
mustapha	m ʊ́ s t ə̀ ɸ áː
musulmi	m ʊ̀ s ɪ̀ l m íː
mutu	m ʊ́ t ɪ̀
mutum	m ʊ̀ t ɪ̂ ŋ
mutunci	m ʊ́ t ɪ́ n t͡ʃ ìː
mutuwa	m ʊ́ t ʊ́ w àː
muzi	m úː z íː
muzuru	m ʊ̀ z úː ɽ úː
muƙami	m ʊ̀ kʼ áː m ìː
na'am	n ə̀ ʔ á m
na'am	n ə́ ʔ à m
na'ibi	n áː ʔ ɪ̀ b íː
na'ura	n àː ʔ úː r àː
nafila	n áː ɸ ɪ́ l àː
nahawu	n ə́ h á w ùː
nahiya	n áː h ɪ́ j àː
naijeriya	n è i d͡ʒ éː r ɪ́ j àː
naira	n é i r àː
najeriya	n àː d͡ʒ éː r ɪ́ j àː
nakiya	n àː c ɪ́ j àː
nama	n áː m àː
nas	n â s
nasaba	n ə́ s ə́ b àː
nasara	n ə́ s áː r àː
nasara	n ə́ s ə́ r àː
nasaru	n ə̀ s àː r úː
nasiha	n ə̀ s íː h àː
nau'i	n á u ʔ ìː
nazari	n ə́ z ə̀ r íː
neja	n éː d͡ʒ ə̀
nesa	n éː s ə̀
ni	n íː
ni'ima	n ɪ́ ʔ ɪ́ m àː
nijeriya	n ìː d͡ʒ éː r ɪ́ j ɛ̀
nil	n ɪ̂ l
nim	n ɪ̂ ŋ
nisa	n íː s áː
nishaɗi	n ɪ̀ ʃ áː ɗ ìː
nono	n óː n òː
noti	n óː t ìː
notis	n óː t ɪ̀ s
nuhu	n ɪ́ h ʊ̀
nukus	n ɪ̀ kʷ ʊ̀ s
nun	n ɪ́ ŋ
nuna	n úː n àː
nuwamba	n ʊ̀ w á m b àː
obin	ʔ óː b ɪ̀ ŋ
ofis	ʔ óː ɸ ɪ̀ s
oga	ʔ ò ɡ áː
oktoba	ʔ ɔ̀ k t óː b àː
omo	ʔ óː m òː
oza	ʔ óː z àː
pakistan	p áː c ɪ́ s t à ŋ
palasɗinu	p ə̀ l à s ɗ íː n ɪ̀
paris	p áː r ɪ̀ s
pasha	p áː ʃ ə̀
pijo	p ɪ̀ d͡ʒ ó
po	p ôː
ra'ayi	r ə́ ʔ ɛ̀ j íː
ra'i	r áː ʔ ìː
rafani	r áː ɸ àː n íː
ragama	ɽ ə́ ɡ ə̀ m áː
rahama	r ə́ h á m àː
rahila	ɽ ə̀ h íː l áː
rahusa	r ə̀ h úː s áː
rai	ɽ â i
rairai	ɽ è i ɽ é i
rairayi	ɽ è i ɽ ɛ̀ j íː
rajab	ɽ ə́ d͡ʒ à b
raka'a	r ə́ k ə́ ʔ àː
rake	ɽ ə̀ c éː
raki	ɽ áː c ìː
rama	ɽ àː m ə́
rama	ɽ ə́ m àː
ramalan	ɽ ə̀ m ə̀ l â ŋ
rami	ɽ áː m ìː
ramɓasɓas	r à m ɓ à s ɓ à s
rana	ɽ áː n áː
rana	ɽ áː n ə́
randa	ɽ à n d áː
rano	ɽ ə́ n ó
rasha	ɽ áː ʃ ə̀
rashawa	r ə́ ʃ ə́ w áː
rawani	ɽ ə́ w ə̀ n íː
rawaya	ɽ àː w ɛ́ j àː
raƙumi	ɽ àː kʷʼ ʊ́ m íː
raɓa	ɽ áː ɓ áː
raɗau	r ə́ ɗ á u
rema	ɽ éː m áː
reras	r èː r á s
reza	r éː z àː
ri	r ìː
riba	r íː b àː
riba	r ɪ̀ b ə́
ridda	r ɪ́ d d áː
riga	ɽ ìː ɡ áː
rige	ɽ ɪ́ ɟ é
rijiya	ɽ íː d͡ʒ íː j áː
rimi	ɽ íː m íː
rimi	ɽ íː m ɪ́
ringim	ɽ ɪ́ ɲ ɟ ɪ̀ ŋ
rinjaye	ɽ ɪ́ n d͡ʒ áː j èː
riris	ɽ ɪ́ ɽ ɪ̀ s
riɗi	ɽ íː ɗ íː
rogo	ɽ óː ɡʷ ò
rogo	ɽ óː ɡʷ òː
romo	ɽ óː m óː
ru'uya	r ɪ̀ ʔ ì j áː
rubu'i	r ɪ́ b ʊ̀ ʔ íː
rubuta	r ɪ́ b ùː t áː
ruhu	r úː h ʊ̀
rula	r úː l àː
rumbu	ɽ ɪ̀ m b úː
rumfa	ɽ ɪ̀ m ɸ áː
runji	ɽ ɪ́ n d͡ʒ ìː
rututu	r ɪ́ t ɪ́ t ɪ́
ruwa	ɽ ʊ́ w áː
ruwa	ɽ ʊ́ w ə́
ruƙayyatu	ɽ ɪ́ kʼ ɛ̀ j j ɛ́ t ɪ̀
sa	s âː
sa'a	s áː ʔ àː
sa'a	s ə́ ʔ àː
sa'ida	s ə̀ ʔ íː d àː
saba'in	s ə̀ b ə̀ ʔ ɪ́ ŋ
sababi	s ə́ b ə̀ b íː
sabo	s áː b ó
sabo	s áː b óː
saboda	s ə́ b òː d ə̀
sada	s áː d àː
sadaka	s ə́ d ə́ k àː
sadaki	s ə̀ d âː c íː
sadau	s àː d á u
sadin	s àː d ɪ̂ ŋ
safa	s àː ɸ áː
safa	s ə̀ ɸ âː
safar	s ə́ ɸ à r
safara	s ə́ ɸ ə́ r àː
safe	s áː ɸ é
safi	s áː ɸ íː
sagara	s àː ɡ ə́ ɽ áː
sage	s ə́ ɟ èː
sago	s ə́ ɡʷ óː
sahani	s ə̀ h áː n ìː
sahibi	s áː h ɪ̀ b íː
sahihi	s ə̀ h íː h ìː
sahur	s ə̀ h ʊ̂ r
saiwa	s ê i w áː
saja	s áː d͡ʒ àː
sakamako	s àː k ə̀ m ə́ kʷ óː
sakan	s ə́ k à ŋ
sakarai	s áː k ə́ r é i
sake	s ə̀ c éː
sakiya	s áː c ɪ́ j ɛ́
sakkwato	s á kʷ kʷ ə́ t ó
sako	s ə̀ kʷ óː
salama	s ə̀ l áː m àː
salati	s ə̀ l áː t ìː
salga	s á l ɡ áː
salihi	s áː l ɪ̀ h íː
saliyo	s àː l ɪ̀ j ôː
salka	s à l k áː
salla	s á l l àː
sallau	s à l l á u
salo	s ə́ l óː
sama	s ə́ m ə̀
samame	s ə̀ m àː m éː
samanja	s àː m á n d͡ʒ ə̀
samɓal	s à m ɓ á l
samɓala	s á m ɓ ə́ l áː
samɓali	s á m ɓ ə́ l ɪ́
samɓalɓal	s à m ɓ à l ɓ à l
sana'a	s ə̀ n ə́ ʔ àː
sanar̃wa	s ə́ n â r w áː
sanata	s ə́ n ə́ t àː
sanda	s à n d ə́
sandal	s á n d à l
sanduƙi	s à n d úː cʼ ìː
sani	s ə́ n ìː
saniya	s áː n ɪ̀ j áː
sanka	s á ŋ k áː
sannu	s à n n ɪ́
sannu	s á n n ɪ̀
sansan	s á n s à ŋ
sansani	s à n s ə́ n íː
santambul	s à n t à m b ʊ̂ l
santi	s à n t ɪ́
sara	s àː ɽ áː
sarai	s ə́ r é i
