A	aː
Munizipp	m u n i t͡s i p
munizippal	m u n i t͡s i p aː l
munter	m u n t a
Muschel	m u ʃ ə l
Muskel	m u ʃ k l̩
Muskitt	m u ʃ k i t
Muskitte	m u ʃ k i t ə
Muster	m u ʃ t ɐ
Mut	m uː t
Mutter	m u t a
Mëdalja	m e t aː l j a
Mëdalja	m e t a l j a
Mëlon	m e l oː n
Mërkaat	m e r k ɔː t
Mërkaate	m e r k ɔː t ə
Mëtall	m e t a l
Naaghel	n ɔː x l̩
Naame	n ɔː m e
Naas	n ɔː s
Naast	n ɔː ʃ t
Nacht	n a x t
nackich	n a k i ç
nass	n a s
nativ	n a t iː f
Natuer	n a tʰ uː ɐ
naus	n a ʊ̯ s
Nawel	n a ʊ̯ l̩
Nazi	n aː t͡s i
Nazion	n a t͡s i̯ oː n
Nazione	n a t͡s i̯ oː n ə
nazisdisch	n a t͡s i s t i ʃ
Nazismus	n a t͡s i s m u s
Necht	n e ç t
Ned	n eː t
nedich	n eː r i ç
nee	n eː
neere	n eː r ə
Neh	n eː
nehe	n eː ə
Nehe	n eː ə
Neher	n eː ɐ
nei	n a ɪ̯
Neid	n a ɪ̯ t
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzen	n a ɪ̯ n t͡s n̩
neinzich	n a ɪ̯ n t͡s i ç
nemme	n ɛ m ə
nenne	n ɛ n ə
Neongrien	n eː ɔ n k r iː n
Nest	n e ʃ t
net	n e t
Netz	n e t͡s
Newel	n e v l̩
nichter	n i ç t ɐ
Nickel	n i k l̩
nie	n iː
Nier	n iː ɐ
Niere	n iː r ə
niese	n iː s ə
Niese	n iː s ə
nin	n i n
Niss	n i s
Nist	n i ʃ t
Nister	n i ʃ t ɐ
nitter	n i t ɐ
Nitterlande	n i t a l a n t ə
noch	n o x
Nochber	n o x p a
Nod	n oː t
nodwennich	n oː t v ɛ n i ç
nommol	n ɔ m oː l
nommol	n ɔ m oː
Norde	n ɔ t ə
Nordkorea	n ɔ t kʰ o r eː a
nore	n oː r ə
normal	n o r m aː l
Not	n oː t
Note	n oː t ə
Notel	n oː t ə l
November	n oː v ɛ m p a
nuff	n u f
null	n u l
Nummer	n u m a
nunner	n u n ɐ
Nuss	n u s
Nutel	n uː t l̩
nutze	n u t͡s ə
Nutze	n u t͡s ə
ob	oː p
obwohl	oː p v oː l
Ochs	o k s
Ochse	o k s ə
odder	o r ɐ
Oder	oː r ɐ
oft	o f t
ohne	oː n ə
Ohre	oː r ə
Oktover	o k t oː v a
Oliv	o l iː f
Olive	o l iː v ə
Omelett	o m e l e t
Onkel	ɔ ŋ k l̩
Onnibus	ɔ n i p u s
Ool	oː l
Oostre	oː ʃ t r ə
Ooze	oː t͡s ə
Opfer	o p f ɐ
opfre	o p f r ə
Orde	ɔ t ə
ordne	ɔ t n ə
Ordnung	ɔ t n u ŋ
Oste	o ʃ t ə
Ove	oː v ə
Ovend	oː v n̩ t
Ovend	oː m t
Paar	pʰ ɔː
Paater	pʰ ɔː t a
packe	pʰ a k ə
Paliasse	pʰ a l i̯ a s ə
Paliasse	p a l i̯ a s ə
Pallem	pʰ a l ə m
Palme	pʰ a l m ə
Palëstina	p a l e ʃ t iː n a
Pann	pʰ a n
Panne	pʰ a n ə
Panz	pʰ a n t͡s
Panz	pʰ a n s
Papier	pʰ a p iː ɐ
Papier	p a p iː ɐ
Papiere	pʰ a p iː r ə
Papiere	p a p iː r ə
Paranaa	pʰ a r a n ɔː
Paranaa	p a r a n ɔː
Parent	pʰ a r ɛ n t
Parent	p a r ɛ n t
Parente	pʰ a r ɛ n t ə
Parente	p a r ɛ n t ə
partikulaar	pʰ a t i k u l ɔː
partikular	pʰ a t i k u l aː r
partikular	p a t i k u l aː r
Pasda	pʰ a s t a
Pasda	p a s t a
Patent	pʰ a t ɛ n t
Patent	p a t ɛ n t
Patente	pʰ a t ɛ n t ə
Patente	p a t ɛ n t ə
Patt	pʰ a t
Pausa	pʰ a ʊ̯ s a
Pausa	p a ʊ̯ s a
Pause	pʰ a ʊ̯ s ə
Pause	p a ʊ̯ s ə
Peck	pʰ e k
Peepst	pʰ eː p ʃ t
Peffer	pʰ e f ɐ
Peffermenz	pʰ e f ɐ m ɛ n t͡s
Peffermenz	pʰ e f ɐ m ɛ n s
Peif	pʰ a ɪ̯ f
Peil	pʰ a ɪ̯ l
Peiler	pʰ a ɪ̯ l ɐ
Pein	pʰ a ɪ̯ n
Peine	pʰ a ɪ̯ n ə
Perl	pʰ ɛ l
Perle	pʰ ɛ l ə
Persche	pʰ ɛ ʃ ə
Person	pʰ ɛ s oː n
Persone	pʰ ɛ s oː n ə
Pest	pʰ e ʃ t
petze	pʰ e t͡s ə
Piano	pʰ i aː n o
Piano	pʰ i a n o
Piano	p i aː n o
Piano	p i a n o
Pianos	pʰ i aː n o s
Pianos	pʰ i a n o s
Pianos	p i aː n o s
Pianos	p i a n o s
picke	pʰ i k ə
Piff	pʰ i f
Pihl	pʰ iː l
Pill	pʰ i l
Pille	pʰ i l ə
Pinguin	pʰ i ŋ k u iː n
Pisin	pʰ i s iː n
Pisin	p i s iː n
Piss	pʰ i s
pisse	pʰ i s ə
Pitange	pʰ i t a ŋ k ə
Pitange	p i t a ŋ k ə
Pitangebaam	pʰ i t a ŋ k ə p ɔː m
Pitangebaam	p i t a ŋ k ə p ɔː m
Pitsch	pʰ i t͡ʃ
Pizza	p i t͡s a
Pizzas	p i t͡s a s
Planet	p l a n eː t
Planete	p l a n eː t ə
Planz	p l a n t͡s
Planz	p l a n s
platt	p l a t
Platte	p l a t ə
Platz	p l a t͡s
platze	p l a t͡s ə
Pnëu	p n e ʊ̯
Polack	pʰ o l a k
Polack	p o l a k
Polacke	pʰ o l a k ə
Polacke	p o l a k ə
Pole	pʰ oː l ə
Polente	pʰ o l ɛ n t ə
Polente	p o l ɛ n t ə
poliere	pʰ o l iː r ə
poliere	p o l iː r ə
Politik	pʰ o l i t iː k
Politik	p o l i t iː k
Politiker	pʰ o l iː t i k ɐ
Politiker	p o l iː t i k ɐ
politisch	pʰ o l iː t i ʃ
politisch	p o l iː t i ʃ
polnisch	pʰ o l n i ʃ
polnisch	p o l n i ʃ
Pomata	pʰ o m aː t a
Pomata	p o m aː t a
Portugal	pʰ o r t u k aː l
Portugal	pʰ o r t u k a l
Portugal	p o r t u k aː l
Portugal	p o r t u k a l
Portugees	pʰ o r t u k eː s
Portugees	p o r t u k eː s
Portugeese	pʰ o r t u k eː s ə
Portugeese	p o r t u k eː s ə
Portugies	pʰ o r t u k iː s
Portugies	p o r t u k iː s
Portugiese	pʰ o r t u k iː s ə
Portugiese	p o r t u k iː s ə
Portugiesin	pʰ o r t u k iː s i n
Portugiesin	p o r t u k iː s i n
portugiesisch	pʰ o r t u k iː s i ʃ
portugiesisch	p o r t u k iː s i ʃ
Portugiesisch	pʰ o r t u k iː s i ʃ
Portugiesisch	p o r t u k iː s i ʃ
Possdeantes	pʰ o s t ə a n t ə s
Poste	pʰ o ʃ t ə
Praia	p r a ɪ̯ a
Praias	p r a ɪ̯ a s
praktisch	p r a k t i ʃ
Preis	p r a ɪ̯ s
Preso	p r eː s o
Priester	p r iː ʃ t a
Prim	p r iː m
Prime	p r iː m ə
Prinz	p r i n t͡s
Prinz	p r i n s
Prinzessin	p r i n t͡s e s i n
Prisong	p r i s ɔ ŋ
Problem	p r o p l eː m
problematisch	p r o p l ə m aː t i ʃ
Profeet	p r o f eː t
Pronome	p r o n oː m ə
Prozent	p r o t͡s ɛ n t
Prozess	p r o t͡s e s
Prunkel	p r u ŋ k ə l
puer	pʰ uː a
Puff	pʰ u f
puffe	pʰ u f ə
Puffe	pʰ u f ə
Puhl	pʰ uː l
Puliss	pʰ u l i s
Puliss	p u l i s
Pulisse	pʰ u l i s ə
Pulisse	p u l i s ə
Pulver	pʰ u l v ɐ
Pumpe	pʰ u m p ə
pumpe	pʰ u m p ə
Punkt	pʰ u ŋ k t
Putsch	pʰ u t͡ʃ
Putting	pʰ u t i ŋ
Putting	p u t i ŋ
Quarz	k w a t͡s
quatsche	k w a t͡ʃ ə
Quatti	k w a t iː
quele	k w eː l ə
Quelle	k w e l ə
Radio	r aː t i̯ o
Radios	r aː t i̯ o s
Rand	r a n t
Rang	r a ŋ
Range	r a ŋ ə
Rangel	r a ŋ ə l
rangle	r a ŋ l ə
Ransch	r a n ʃ
ranschegelleb	r a n ʃ ə k e l ə p
Ranschegelleb	r a n ʃ ə k e l ə p
rappe	r a p ə
Rass	r a s
Rasse	r a s ə
Ratt	r a t
Ratte	r a t ə
rau	r a ʊ̯
Raub	r a ʊ̯ p
rauche	r a ʊ̯ x ə
Raucher	r a ʊ̯ x a
Raum	r a ʊ̯ m
Raume	r a ʊ̯ m ə
rausche	r a ʊ̯ ʃ ə
Reb	r eː p
rechne	r e ç n ə
Rechnung	r e ç n u ŋ
recht	r e ç t
Recht	r e ç t
rechts	r e ç t͡s
Reck	r e k
Rees	r eː s
Reese	r eː s ə
reffe	r e f ə
Reh	r eː
Rehn	r eː n
rehne	r eː n ə
Rei	r a ɪ̯
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reide	r a ɪ̯ r ə
Reif	r a ɪ̯ f
reife	r a ɪ̯ f ə
Reim	r a ɪ̯ m
Reis	r a ɪ̯ s
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
Renner	r e n ɐ
repple	r e p l ə
Rest	r e ʃ t
Rester	r e ʃ t ɐ
rette	r e t ə
Retter	r e t ɐ
Rettung	r e t u ŋ
richte	r i ç t ə
Richter	r i ç t ɐ
Richtung	r i ç t u ŋ
Ricke	r i k ə
rieche	r iː ç ə
Rind	r i n t
Rindfleisch	r i n t f l a ɪ̯ ʃ
Ring	r i ŋ
Ringfinger	r i ŋ f i ŋ a
Rinner	r i n ɐ
Rio	r iː o
Rios	r iː o s
Ripp	r i p
Rippe	r i p ə
Riss	r i s
Ritz	r i t͡s
Ritze	r i t͡s ə
riwle	r i v l ə
Rock	r o k
rod	r oː t
Rod	r oː t
rode	r oː r ə
Rodomee	r o t o m eː
Rodwein	r oː t v a ɪ̯ n
roh	r oː
Roll	r o l
Rolle	r o l ə
romantik	r o m a n t i k
roppe	r o p ə
Ros	r oː s
rosch	r o ʃ
Rosch	r o ʃ
Rose	r oː s ə
Rosell	r o s e l
Roselle	r o s e l ə
Roserod	r oː z ə r oː t
Ross	r o s
Rosse	r o s ə
Rost	r o ʃ t
Rotz	r o t͡s
Ruf	r uː f
rufe	r uː f ə
Ruh	r uː
ruhe	r uː ə
Ruin	r u i n
Ruine	r u i n ə
Russ	r u s
Russe	r u s ə
russisch	r u s i ʃ
Russland	r u s l a n t
Rut	r uː t
Rute	r uː t ə
rëghiere	r e ç iː r ə
Rëghierung	r e ç iː r u ŋ
Rëghion	r e ç i oː n
Rëghione	r e ç i oː n ə
Rëlighion	r e l i ç i̯ o n
Rëmorss	r e m ɔ s
rëstrinschiere	r e ʃ t r i n ʃ iː r ə
saan	s ɔː n
Sach	s a x
Sache	s a x ə
Sack	s a k
Sacolas	s a k o l a s
Safran	s a f r a n
Sakrament	s a k r a m ɛ n t
Sals	s a l s
salse	s a l s e
Salse	s a l s e
salsich	s a l s i ç
sammle	s a m l ə
Sammlung	s a m l u ŋ
Sand	s a n t
Sandaalja	s a n t ɔː l j a
Sandfloh	s a n t f l oː
Sardin	s a t iː n
Sardine	s a t iː n ə
Satellit	s a t ə l iː t
Satellite	s a t ə l iː t ə
Sattel	s a t l̩
Satz	s a t͡s
Sau	s a ʊ̯
sauer	s a ʊ̯ a
Sauer	s a ʊ̯ a
saufe	s a ʊ̯ f ə
Saure	s a ʊ̯ r ə
sauver	s a ʊ̯ v ɐ
Scha	ʃ aː
Schaal	ʃ ɔː l
Schaam	ʃ ɔː m
schaaref	ʃ ɔː r ə f
Schabuticaave	ʃ a p u t i k ɔː v ə
Schabutikaab	ʃ a p u t i k ɔː p
Schach	ʃ a x
Schachtel	ʃ a x t ə l
schaffe	ʃ a f ə
Schakaree	ʃ a k a r eː
Schakoh	ʃ a k oː
Schakrakack	ʃ a k r a k a k
Schakrakacke	ʃ a k r a k a k ə
Schall	ʃ a l
schalle	ʃ a l ə
Schaponees	ʃ a p o n eː s
Schaponeese	ʃ a p o n eː s ə
Schapong	ʃ a p ɔ ŋ
Scharack	ʃ a r a k
Scharacke	ʃ a r a k ə
Schatte	ʃ a t ə
Schatz	ʃ a t͡s
Schaum	ʃ a ʊ̯ m
Scheed	ʃ eː t
Scheele	ʃ eː l ə
scheele	ʃ eː l ə
scheen	ʃ eː n
scheene	ʃ eː n ə
scheenem	ʃ eː n ə m
scheener	ʃ eː n a
scheenes	ʃ eː n ə s
scheenest	ʃ eː n ə ʃ t
Schein	ʃ a ɪ̯ n
scheine	ʃ a ɪ̯ n ə
Scheis	ʃ a ɪ̯ s
scheise	ʃ a ɪ̯ s ə
Schell	ʃ e l
schelle	ʃ e l ə
Schelle	ʃ e l ə
scheme	ʃ eː m ə
schenke	ʃ ɛ ŋ k ə
Schenker	ʃ ɛ ŋ k ɐ
Scherz	ʃ ɛ t͡s
Scherze	ʃ ɛ t͡s ə
Sches	ʃ eː s
Schesje	ʃ e s j ə
Schetz	ʃ e t͡s
Schicht	ʃ i ç t
Schichte	ʃ i ç t ə
schicke	ʃ i k ə
Schiff	ʃ i f
Schild	ʃ i l t
Schiller	ʃ i l a
Schimarong	ʃ i m a r ɔ ŋ
Schipp	ʃ i p
Schippe	ʃ i p ə
Schiraff	ʃ i r a f
Schiraffe	ʃ i r a f ə
Schiss	ʃ i s
Schissel	ʃ i s l̩
Schisser	ʃ i s ɐ
Schissle	ʃ i s l ə
Schlaa	ʃ l ɔː
schlachte	ʃ l a x t ə
Schlachtung	ʃ l a x t u ŋ
Schlang	ʃ l a ŋ
Schlange	ʃ l a ŋ ə
schlank	ʃ l a ŋ k
Schlapp	ʃ l a p
Schlappe	ʃ l a p ə
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
Schleier	ʃ l a ɪ̯ a
Schleim	ʃ l a ɪ̯ m
Schlepp	ʃ l e p
schleppe	ʃ l e p ə
Schlesser	ʃ l e s a
Schlick	ʃ l i k
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
Schlitz	ʃ l i t͡s
Schlitze	ʃ l i t͡s ə
Schlof	ʃ l oː f
schlofe	ʃ l oː f ə
Schloss	ʃ l o s
Schlott	ʃ l o t
Schluck	ʃ l u k
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
Schmetterling	ʃ m e t ɐ l i ŋ
Schmier	ʃ m iː ɐ
Schmitt	ʃ m i t
Schmuck	ʃ m u k
Schmutz	ʃ m u t͡s
Schnall	ʃ n a l
Schnalle	ʃ n a l ə
schnalle	ʃ n a l ə
Schnaps	ʃ n a p s
Schneck	ʃ n e k
Schnecke	ʃ n e k ə
Schnee	ʃ n eː
Schneemann	ʃ n eː m a n
Schnees	ʃ n eː s
Schneid	ʃ n a ɪ̯ t
schneide	ʃ n a ɪ̯ r ə
Schneider	ʃ n a ɪ̯ r ɐ
schnell	ʃ n e l
schnelle	ʃ n e l ə
schneller	ʃ n e l a
schnellest	ʃ n e l ə ʃ t
Schnips	ʃ n i p s
Schnire	ʃ n iː r ə
Schnitt	ʃ n i t
Schnorres	ʃ n ɔ r ə s
Schnuer	ʃ n uː a
schnuffle	ʃ n u f l ə
Schnuppe	ʃ n u p ə
Schnut	ʃ n uː t
Schnute	ʃ n uː t ə
Schof	ʃ oː f
Schokolaat	ʃ o k o l ɔː t
schone	ʃ oː n ə
Schopp	ʃ o p
Schoppe	ʃ o p ə
Schos	ʃ oː s
Schot	ʃ oː t
Schote	ʃ oː t ə
Schrank	ʃ r a ŋ k
schrappe	ʃ r a p ə
Schraub	ʃ r a ʊ̯ p
Schreck	ʃ r e k
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
Schrift	ʃ r i f t
Schritt	ʃ r i t
Schritte	ʃ r i t ə
Schuh	ʃ uː
Schul	ʃ uː l
Schuld	ʃ u l t
Schule	ʃ uː l ə
schun	ʃ u n
Schundiaa	ʃ u n t i ɔː
Schuping	ʃ u p i ŋ
Schuppe	ʃ u p ə
schuppe	ʃ u p ə
Schuss	ʃ u s
Schuster	ʃ u ʃ t ɐ
Schutz	ʃ u t͡s
schutze	ʃ u t͡s ə
Schutzengel	ʃ u t͡s ɛ ŋ l̩
Schwaart	ʃ v ɔː t
Schwaarte	ʃ v ɔː t ə
schwaarte	ʃ v ɔː t ə
schwach	ʃ v a x
Schwamm	ʃ v a m
schwanger	ʃ v a ŋ a
Schwanz	ʃ v a n t͡s
Schwanz	ʃ v a n s
schwarz	ʃ v a t͡s
Schwarz	ʃ v a t͡s
Schwarzbier	ʃ v a t͡s p iː ɐ
Schwefel	ʃ v eː f l̩
Schwein	ʃ v a ɪ̯ n
Schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
Schweiz	ʃ v a ɪ̯ t͡s
Schweizer	ʃ v a ɪ̯ t͡s a
schwelle	ʃ v e l ə
Schwellung	ʃ v e l u ŋ
schwetze	ʃ v e t͡s ə
schwimme	ʃ v i m ə
Schwimmer	ʃ v i m a
Schwitz	ʃ v i t͡s
schwitze	ʃ v i t͡s ə
Schwong	ʃ v o ŋ
schwäer	ʃ v ɛː ɐ
sechs	s e k s
Sechseck	s e k s e k
sechzen	s e ç t͡s n̩
sechzich	s e ç t͡s i ç
Seck	s e k
Seckel	s e k l̩
See	s eː
Seel	s eː l
Seele	s eː l ə
Seh	s eː
sehe	s eː ə
Sehe	s eː ə
Sehn	s eː n
Sei	s a ɪ̯
Seid	s a ɪ̯ t
seie	s a ɪ̯ ə
Seie	s a ɪ̯ ə
Seif	s a ɪ̯ f
Seife	s a ɪ̯ f ə
sein	s a ɪ̯ n
Seit	s a ɪ̯ t
Seite	s a ɪ̯ t ə
Sekund	s e k u n t
Send	s ɛ n t
Senger	s ɛ ŋ ɐ
September	s eː p t ɛ m p a
Setz	s e t͡s
setze	s e t͡s ə
sibzen	s i p t͡s n̩
Sichel	s i ç l̩
sicher	s i ç a
sicherlich	s i ç ɐ l i ç
Sicht	s i ç t
Sichte	s i ç t ə
sie	s iː
sie	s iː
Siedkorea	s iː t kʰ o r eː a
Siegh	s iː ç
sies	s iː s
Sies	s iː s
Siete	s iː t ə
sieve	s iː v ə
Siffer	s i f ɐ
sihn	s iː n
silver	s i l v a
Silver	s i l v ɐ
Simbol	s i m p o l
Simp	s i m p
sin	s i n
Sind	s i n t
Sinfonie	s i n f o n iː
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
Sinne	s i n ə
Sinner	s i n ɐ
Sinonim	s i n oː n i m
Siria	s iː r i a
Sirje	s iː r j ə
Sistem	s i s t eː m
sitze	s i t͡s ə
Skelett	ʃ k e l e t
Skorpion	ʃ k o r p i oː n
Soda	s oː t a
Sofa	s o f aː
Sofas	s o f aː s
Sofá	s o f aː
Sohl	s oː l
Sohle	s oː l ə
Sohn	s oː n
Soja	s oː ʃ a
Soje	s oː ʃ ə
Soldaat	s o l t ɔː t
solle	s o l ə
Some	s oː m ə
Sommer	s ɔ m a
Sonn	s ɔ n
Soot	s oː t
Sorte	s ɔ t ə
Sorvett	s o r v e t
Sos	s oː s
Sose	s oː s ə
Sozieteet	s o t͡s i ə t eː t
Spaad	ʃ p ɔː t
Spaan	ʃ p ɔː n
Spanje	ʃ p a n j ə
Spanje	ʃ p aː n j ə
spanne	ʃ p a n ə
Sparre	ʃ p a r ə
Spass	ʃ p a s
Spatze	ʃ p a t͡s ə
Speck	ʃ p e k
sped	ʃ p e t
Speen	ʃ p eː n
Speicher	ʃ p a ɪ̯ ç ɐ
sperre	ʃ p ɛ r ə
Spess	ʃ p e s
Spiel	ʃ p iː l
spiele	ʃ p iː l ə
Spieler	ʃ p iː l ɐ
Spinn	ʃ p i n
Spinne	ʃ p i n ə
Spiss	ʃ p i s
Spitaal	ʃ p i t ɔː l
Spitz	ʃ p i t͡s
Spitze	ʃ p i t͡s ə
Spoer	ʃ p oː ɐ
Spott	ʃ p o t
spreche	ʃ p r e ç ə
Sprecher	ʃ p r e ç ɐ
Sprecherei	ʃ p r e ç ə r a ɪ̯
Sprich	ʃ p r i ç
Spring	ʃ p r i ŋ
springe	ʃ p r i ŋ ə
Spritz	ʃ p r i t͡s
Spritze	ʃ p r i t͡s ə
spritze	ʃ p r i t͡s ə
Sproch	ʃ p r o x
Spruch	ʃ p r u x
Sprung	ʃ p r u ŋ
Spuck	ʃ p u k
spucke	ʃ p u k ə
Spul	ʃ p uː l
Spule	ʃ p uː l ə
Staab	ʃ t ɔː p
Staal	ʃ t ɔː l
Staat	ʃ t ɔː t
Staate	ʃ t ɔː t ə
Stachel	ʃ t a x l̩
Stall	ʃ t a l
Stamm	ʃ t a m
stampe	ʃ t a m p ə
Stamper	ʃ t a m p ɐ
Stang	ʃ t a ŋ
Stange	ʃ t a ŋ ə
Stanze	ʃ t a n t͡s ə
Statt	ʃ t a t
statts	ʃ t a t͡s
steche	ʃ t e ç ə
Steck	ʃ t e k
stecke	ʃ t e k ə
Steel	ʃ t eː l
Steen	ʃ t eː n
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
Steier	ʃ t a ɪ̯ a
steif	ʃ t a ɪ̯ f
Stell	ʃ t e l
stelle	ʃ t e l ə
Stempel	ʃ t ɛ m p l̩
Stengel	ʃ t ɛ ŋ ə l
Stern	ʃ t ɛ n
Sterne	ʃ t ɛ n ə
sterrve	ʃ t ɛ r v ə
Sterz	ʃ t ɛ t͡s
sterze	ʃ t ɛ t͡s ə
Stett	ʃ t e t
Stetter	ʃ t e t ɐ
Stich	ʃ t i ç
Stick	ʃ t i k
sticke	ʃ t i k ə
sticker	ʃ t i k a
Sticker	ʃ t i k ɐ
Stiefbruder	ʃ t iː f p r uː r ɐ
Stiefkind	ʃ t iː f kʰ i n t
Stiefmutter	ʃ t iː f m u t a
Stiefsohn	ʃ t iː f s oː n
Stiel	ʃ t iː l
Stier	ʃ t iː ɐ
Stift	ʃ t i f t
Stihl	ʃ t iː l
still	ʃ t i l
Stimme	ʃ t i m ə
stimme	ʃ t i m ə
Stinkdier	ʃ t i ŋ k t iː ɐ
stinke	ʃ t i ŋ k ə
Stock	ʃ t o k
Stolper	ʃ t o l p ɐ
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
Storz	ʃ t ɔ t͡s
Strauch	ʃ t r a ʊ̯ ç
Straus	ʃ t r a ʊ̯ s
Streck	ʃ t r e k
Strecke	ʃ t r e k ə
strecke	ʃ t r e k ə
streiche	ʃ t r a ɪ̯ ç ə
Streicher	ʃ t r a ɪ̯ ç ɐ
streichle	ʃ t r a ɪ̯ ç l ə
Streife	ʃ t r a ɪ̯ f ə
Strem	ʃ t r eː m
Strich	ʃ t r i ç
Strick	ʃ t r i k
stricke	ʃ t r i k ə
Strimp	ʃ t r i m p
Strof	ʃ t r oː f
strofe	ʃ t r o f ə
Strofe	ʃ t r o f ə
Stroh	ʃ t r oː
Strom	ʃ t r oː m
strome	ʃ t r oː m ə
Stros	ʃ t r oː s
Stross	ʃ t r o s
Strump	ʃ t r u m p
Struz	ʃ t r uː t͡s
Studente	ʃ t u t ɛ n t ə
Stuhl	ʃ t uː l
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
Suco	s uː k o
Suco	s u k o
Sump	s u m p
Sunn	s u n
Supp	s u p
Suppe	s u p ə
suttle	s u t l ə
Sërvett	s e r v e t
sërviere	s e r v iː r ə
Talent	tʰ a l ɛ n t
Tamburin	tʰ a m p u r iː n
Tante	tʰ a n t ə
Tappes	tʰ a p ə s
Tasch	tʰ a ʃ
Tasche	tʰ a ʃ ə
Tass	tʰ a s
Tasse	tʰ a s ə
Tattu	tʰ a t u
tausend	tʰ a ʊ̯ s ə n t
Tausendfus	tʰ a ʊ̯ s n̩ t f uː s
Taxi	tʰ a k s i
Taxis	tʰ a k s i s
Tee	tʰ eː
Teekann	tʰ eː kʰ a n
Teekanne	tʰ eː kʰ a n ə
Teepump	tʰ eː pʰ u m p
Tema	tʰ eː m a
Teme	tʰ eː m ə
Tempel	tʰ ɛ m p l̩
Terreno	tʰ e r eː n o
Terrenos	tʰ e r eː n o s
Text	tʰ e k s t
Texte	tʰ e k s t ə
Tickutick	tʰ i k u t i k
Tigher	tʰ iː ç a
Tint	tʰ i n t
Tinte	tʰ i n t ə
Tirol	tʰ i r oː l
tirolisch	tʰ i r oː l i ʃ
Tomatt	tʰ o m a t
Tomatt	t o m a t
Tomatte	tʰ o m a t ə
Tomatte	t o m a t ə
Torrem	tʰ ɔ r ə m
Torte	tʰ ɔ t ə
toych	t ɔ j x
Traira	t r a iː r a
Traire	t r a iː r ə
trample	t r a m p l ə
Traub	t r a ʊ̯ p
traue	t r a ʊ̯ ə
trede	t r eː r ə
treffe	t r e f ə
trenne	t r ɛ n ə
Treppe	t r e p ə
trieb	t r iː p
trieve	t r iː v ə
Tritt	t r i t
Troost	t r oː ʃ t
Trupp	t r u p
Truppe	t r u p ə
Tumoer	tʰ u m oː a
Tumoer	t u m oː a
tunke	tʰ u ŋ k ə
Tëlevisong	tʰ e l ə v i s ɔ ŋ
Tëlevisong	t e l ə v i s ɔ ŋ
Uersach	uː ɐ s a x
Uerwald	uː ɐ v a l t
uff	u f
uffem	u f ə m
uffs	u f s
Uher	uː a
Uherzeid	uː ɐ t͡s a ɪ̯ t
Uhre	uː r ə
um	u m
umfalle	u m f a l ə
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
Unfall	u n f a l
ungesund	u n k ə s u n t
Unglick	u n k l i c k
uns	u n s
Unschuld	u n ʃ u l t
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
Urin	u r iː n
Vaas	v ɔː s
Vasos	v aː s o s
Velorio	v ə l o r ɪ̯ o
Violin	v i o l iː n
Violine	v i o l iː n ə
Viëtnam	v i e t n a m
Waal	v ɔː l
Waan	v ɔː n
Waar	v ɔː
wach	v a x
Wach	v a x
Wache	v a x ə
wache	v a x ə
Wachs	v a k s
wachse	v a k s ə
wackle	v a k l ə
Waff	v a f
Waffe	v a f ə
Waffle	v a f l ə
walse	v a l s ə
Walse	v a l s ə
Wand	v a n t
wann	v a n
was	v a s
Wasser	v a s a
Wassre	v a s r ə
Watt	v a t
Watte	v a t ə
wech	v e ç
weche	v e ç ə
wechsle	v e k s l ə
Weck	v e k
Wecker	v e k a
weele	v eː l ə
Weeler	v eː l a
Weelerin	v eː l ə r i n
Ween	v eː n
Weert	v eː ɐ t
Weh	v eː
Weib	v a ɪ̯ p
weiblich	v a ɪ̯ p l i ç
Weid	v a ɪ̯ t
weid	v a ɪ̯ t
weider	v a ɪ̯ r ɐ
weie	v a ɪ̯ ə
Wein	v a ɪ̯ n
Weinachte	v a ɪ̯ n a x t ə
Weinachtsbaam	v a ɪ̯ n a x t s p ɔː m
Weinflasche	v a ɪ̯ n f l a ʃ ə
weinrod	v a ɪ̯ n r oː t
weis	v a ɪ̯ s
Weis	v a ɪ̯ s
Weisbrod	v a ɪ̯ s p r oː t
weise	v a ɪ̯ s ə
weisem	v a ɪ̯ s ə m
weiser	v a ɪ̯ s a
weises	v a ɪ̯ s ə s
weisest	v a ɪ̯ s ə ʃ t
Weize	v a ɪ̯ t͡s ə
Well	v e l
Welle	v e l ə
Wellef	v e l ə f
Welt	v e l t
Welte	v e l t ə
Wend	v e n t
