Ada	aː t a
efni	ɛ p n ɪ
efnilegur	ɛ p n ɪ l ɛː ɣ ʏ r
efnisyfirlit	ɛ p n ɪ s ɪː v ɪ r l ɪː t
efri	ɛ v r ɪ
eftir	ɛ f t ɪ r
eftir	ɛ h t ɪ r
eftirför	ɛ f t ɪ r f œː r
eftirlaun	ɛ f t ɪ r l ø yː n
eftirlit	ɛ f t ɪ r l ɪː t
eftirlíking	ɛ f t ɪ r l iː c i ŋ k
eftirminnilegur	ɛ f t ɪ r m ɪ nː ɪ l ɛː ɣ ʏ r
eftirmiðdagur	ɛ f t ɪ r m ɪ ð t aː ɣ ʏ r
eftirmynd	ɛ f t ɪ r m ɪ n t
eftirmáli	ɛ f t ɪ r m a uː l ɪ
eftirsókn	ɛ f t ɪ r s o u h k n
egg	ɛ kː
eggfruma	ɛ kː f r ʏː m a
eggja	ɛ cː a
eggjarauða	ɛ cː a r ø yː ð a
eggjaskurn	ɛ cː a s k ʏ r t n
eggjastokkur	ɛ cː a s t ɔ h k ʏ r
eggjárn	ɛ kː j a u r t n
eggleg	ɛ kː l ɛː ɣ
egglos	ɛ kː l ɔː s
egna	ɛ k n a
ei	e iː
ei	ɛː ɪ
eiga	e iː ɣ a
eigandi	e iː ɣ a n t ɪ
eiginhandaráritun	e iː j ɪ n h a n t a r a uː r ɪː t ʏ n
eiginkona	e iː j ɪ n kʰ ɔː n a
eiginleiki	e iː j ɪ n l e iː c ɪ
eiginmaður	e iː j ɪ n m aː ð ʏ r
eiginnafn	e iː j ɪ n n a p n
eign	e i k n
eignarfall	e i k n a r f a t l
eignarfornafn	e i k n a r f ɔ r n a p n
eignarhaldsfélag	e i k n a r h a l t s f j ɛː l aː ɣ
eigra	e i ɣ r a
eigur	e iː ɣ ʏ r
eik	e iː k
eilífð	e iː l i v ð
eimskip	e i m s c ɪː p
eimur	e iː m ʏ r
ein	e iː n
einangrari	e iː n a u ŋ k r aː r ɪ
einasta	e iː n a s t a
einasti	e iː n a s t ɪ
einbirni	e i n p ɪ r t n ɪ
eind	e i n t
einelti	e iː n ɛ l̥ t ɪ
einfaldlega	e i n f a l t l ɛː ɣ a
einfaldur	e i n f a l t ʏ r
eingetinn	e i n c ɛː t ɪ n
einglyrni	e i n k l ɪ r t n ɪ
eingöngu	e i n k ø y ŋ k ʏ
einhentur	e iː n h ɛ n̥ t ʏ r
einhjól	e i n ç o uː l
einhver	e i h k v ɛː r
einhver	e i n xʷ ɛː r
einhver	e i n̥ k v ɛː r
einhyrningur	e i n h ɪ r t n i ŋ k ʏ r
eining	e iː n i ŋ k
einingarfylki	e iː n i ŋ k a r f ɪ l̥ c ɪ
einir	e iː n ɪ r
einkalykill	e i ŋ k a l ɪː c ɪ t l
einkavæðing	e i ŋ k a v a iː ð i ŋ k
einkenni	e i n cʰ ɛ nː ɪ
einkum	e i n̥ k ʏ m
einlægni	e i n l a i k n ɪ
einmanaleiki	e i n m aː n a l e iː c ɪ
einmitt	e iː n m ɪ h t
einn	e i t n
einrækta	e i n r a i x t a
einræða	e i n r a iː ð a
einræði	e i n r a iː ð ɪ
eins	e i n s
einsemd	e i n s ɛ m t
einstaklingur	e i n s t a k l i ŋ k ʏ r
einstefnugata	e i n s t ɛ p n ʏ k aː t a
eintal	e i n tʰ aː l
eintala	e i n tʰ aː l a
einteymingur	e i n tʰ e iː m i ŋ k ʏ r
eintyngdur	e i n t i ŋ t ʏ r
einustu	e iː n ʏ s t ʏ
einvaldur	e i n v a l t ʏ r
einveldi	e i n v ɛ l t ɪ
einvetni	e i n v ɛ h t n ɪ
einvígi	e i n v iː j ɪ
einær	e iː n a iː r
eipa	e iː p a
eir	e iː r
eisa	e iː s a
eista	e i s t a
eistalyppa	e i s t a l ɪ h p a
eistneska	e i s t n ɛ s k a
eitilfruma	e iː t ɪ l f r ʏː m a
eitill	e iː t ɪ t l
eitra	e iː t r a
eitrun	e iː t r ʏ n
eitt	e i h t
eiturlyf	e iː t ʏ r l ɪː v
eiturlyfjanotandi	e iː t ʏ r l ɪ v j a n ɔː t a n t ɪ
eiturlyfjasali	e iː t ʏ r l ɪ v j a s aː l ɪ
eiði	e iː ð ɪ
eiður	e iː ð ʏ r
ekill	ɛː c ɪ t l
ekkert	ɛ h c ɛ r̥ t
ekki	ɛ h c ɪ
ekki	ɪ cː ɪ
ekkill	ɛ h c ɪ t l
ekkja	ɛ h c a
ekkjumaður	ɛ h c ʏ m aː ð ʏ r
ekla	ɛ h k l a
ekta	ɛ x t a
el	ɛː l
elda	ɛ l t a
eldast	ɛ l t a s t
eldfimur	ɛ l t f ɪː m ʏ r
eldgos	ɛ l t k ɔː s
eldhús	ɛ l t h uː s
eldhúshnífur	ɛ l t h uː s n̥ iː v ʏ r
elding	ɛ l t i ŋ k
eldiviður	ɛ l t ɪ v ɪː ð ʏ r
eldlilja	ɛ l t l ɪ l j a
eldmóður	ɛ l t m o uː ð ʏ r
eldpipar	ɛ l t p ɪː p a r
eldsneyti	ɛ l t s n e iː t ɪ
eldspýta	ɛ l t s p iː t a
eldstæði	ɛ l t s t a iː ð ɪ
eldstöð	ɛ l t s t œː ð
eldsvoði	ɛ l t s v ɔː ð ɪ
eldur	ɛ l t ʏ r
eldvarpa	ɛ l t v a r̥ p a
elfa	ɛ l v a
elfting	ɛ l̥ʷ t i ŋ k
elfur	ɛ l v ʏ r
elgur	ɛ l k ʏ r
elja	ɛ l j a
ell	ɛ t l
ella	ɛ t l a
ellefu	ɛ t l ɛ v ʏ
elli	ɛ t l ɪ
elri	ɛ l r ɪ
elska	ɛ l s k a
elta	ɛ l̥ t a
embætti	ɛ m p a i h t ɪ
emja	ɛ m j a
emm	ɛ mː
en	ɛː n
enda	ɛ n t a
endastöð	ɛ n t a s t œː ð
endaþarmsmök	ɛ n t a θ a r m s m œː k
endaþarmsop	ɛ n t a θ a r m s ɔː p
endi	ɛ n t ɪ
ending	ɛ n t i ŋ k
endir	ɛ n t ɪ r
endur	ɛ n t ʏ r
endurlífgun	ɛ n t ʏ r l i v k ʏ n
endurreisn	ɛ n t ʏ r r e i s t n
endurreisnarstefna	ɛ n t ʏ r r e i s t n a r s t ɛ p n a
endurræsa	ɛ n t ʏ r r a iː s a
endurskoðandi	ɛ n t ʏ r s k ɔː ð a n t ɪ
endurtaka	ɛ n t ʏ r tʰ aː k a
endurvekja	ɛ n t ʏ r v ɛː c a
engi	e i ɲ c ɪ
engiferöl	e i ɲ c ɪ f ɛː r œː l
engill	e i ɲ c ɪ t l
enginn	e i ŋ c ɪ nː
engispretta	e i ɲ c ɪ s p r ɛ h t a
englahorn	e i ŋ l a h ɔ r t n
enn	ɛ nː
enni	ɛ nː ɪ
ennþá	ɛ n̥ː θ a u
enska	ɛ n s k a
enskan	ɛ n s k a n
ensku	ɛ n s k ʏ
enskuna	ɛ n s k ʏ n a
enskunnar	ɛ n s k ʏ nː a r
enskunni	ɛ n s k ʏ nː ɪ
enskur	ɛ n s k ʏ r
eplabaka	ɛ h p l a p aː k a
eplamauk	ɛ h p l a m ø yː k
eplamús	ɛ h p l a m uː s
eplasafi	ɛ h p l a s aː v ɪ
eplatré	ɛ h p l a t r j ɛː
er	ɛː r
erfa	ɛ r v a
erfingi	ɛ r v i ɲ c ɪ
erfiða	ɛ r v ɪː ð a
erfiði	ɛ r v ɪː ð ɪ
erfiðisvinna	ɛ r v ɪː ð ɪ s v ɪ nː a
erfiður	ɛ r v ɪː ð ʏ r
erfðafræði	ɛ r v ð a f r a iː ð ɪ
erfðamengi	ɛ r v ð a m e i ɲ c ɪ
ergja	ɛ r c a
erill	ɛː r ɪ t l
erilsamur	ɛː r ɪ l s aː m ʏ r
erindi	ɛː r ɪ n t ɪ
erja	ɛ r j a
erkibiskup	ɛ r̥ c ɪ p ɪ s k ʏ p
erkiengill	ɛ r̥ c ɪ e i ɲ c ɪ t l
erla	ɛ r t l a
erlendur	ɛ r l ɛ n t ʏ r
ermi	ɛ r m ɪ
err	ɛ rː
ert	ɛ r̥ t
erta	ɛ r̥ t a
ertni	ɛ r̥ t n ɪ
ertu	ɛ r̥ t ʏ
eruð	ɛː r ʏ ð
erítreskur	ɛː r iː tʰ r ɛ s k ʏ r
es	ɛː s
eski	ɛ s c ɪ
ess	ɛ sː
estragon	ɛ s t r a k ɔː n
eta	ɛ t a
eta	ɛː t a
etja	ɛː t j a
etýða	ɛː tʰ iː ð a
evklíðskur	ɛ v kʰ l i ð s k ʏ r
evra	ɛ v r a
ex	ɛ k s
ex	ɛ x s
ey	e iː
eygja	e iː j a
eyja	e iː j a
eykt	e i x t
eymsli	e i m s t l ɪ
eyra	e i r a
eyrnalokkur	e i r t n a l ɔ h k ʏ r
eyrnamergur	e i r t n a m ɛ r k ʏ r
eyrnapinni	e i r t n a pʰ ɪ nː ɪ
eyrugla	e iː r ʏ k l a
eysill	e iː s ɪ t l
eystra	e i s t r a
eyða	e iː ð a
eyðilegging	e iː ð ɪ l ɛ cː i ŋ k
eyðimörk	e iː ð ɪ m œ r̥ k
eyðing	ɛ i̯ ð i ŋ k
eyðni	e i ð n ɪ
eyðsla	e i ð s t l a
eís	ɛː iː s
eð	ɛː ð
eða	ɛː ð a
eðalsteinn	ɛː ð a l s t e i t n
eðja	ɛ ð j a
eðla	ɛ ð l a
eðlilega	ɛ ð l ɪ l ɛː ɣ a
eðlilegur	ɛ ð l ɪ l ɛː ɣ ʏ r
eðlisfræði	ɛ ð l ɪ s f r a iː ð ɪ
eðlisfræðingur	ɛ ð l ɪ s f r a iː ð i ŋ k ʏ r
eðlismunur	ɛ ð l ɪ s m ʏː n ʏ r
f	ɛ fː
fabúla	f aː p uː l a
faggi	f a cː ɪ
fagott	f aː k ɔ h t
fagottleikari	f aː k ɔ h t l e iː k aː r ɪ
fagur	f aː ɣ ʏ r
fagurblár	f aː ɣ ʏ r p l a uː r
fagurfræði	f aː ɣ ʏ r f r a iː ð ɪ
fagurfífill	f aː ɣ ʏ r f iː v ɪ t l
fagurgæs	f aː ɣ ʏ r c a iː s
falda	f a l t a
faldur	f a l t ʏ r
fall	f a t l
falla	f a t l a
fallbeyging	f a t l b e iː j i ŋ k
fallbyssa	f a t l p ɪ sː a
fallegur	f a t l ɛː ɣ ʏ r
fallorð	f a t l ɔ r ð
fallvatn	f a t l v a h t n
fals	f a l s
falur	f aː l ʏ r
fang	f a u ŋ k
fanga	f a u ŋ k a
fangaklefi	f a u ŋ k a kʰ l ɛː v ɪ
fangelsa	f a u ŋ c ɛ l s a
fangelsi	f a u ŋ c ɛ l s ɪ
fangi	f a u ɲ c ɪ
fantur	f a n̥ t ʏ r
fappa	f a h p a
far	f aː r
fara	f aː r a
faraldur	f aː r a l t ʏ r
farangur	f aː r a u ŋ k ʏ r
faraó	f aː r a o uː
fargjald	f a r c a l t
farlama	f a r l a m a
farmiði	f a r m ɪː ð ɪ
farmur	f a r m ʏ r
farsakenndur	f a r̥ s a cʰ ɛ n t ʏ r
farseðill	f a r̥ s ɛː ð ɪ t l
farsi	f a r̥ s ɪ
farsæld	f a r̥ s a i l t
farsími	f a r̥ s iː m ɪ
fart	f a r̥ t
farteski	f a r̥ tʰ ɛ s c ɪ
fartölva	f a r̥ tʰ œ l v a
farði	f a r ð ɪ
fas	f aː s
fasani	f aː s aː n ɪ
fasismi	f aː s ɪ s m ɪ
fasta	f a s t a
fastanefnd	f a s t a n ɛ m t
fasteign	f a s t e i k n
fastmæli	f a s t m a iː l ɪ
fastur	f a s t ʏ r
fat	f aː t
fata	f aː t a
fataskápur	f aː t a s k a uː p ʏ r
fax	f a k s
fax	f a x s
faxtæki	f a k s tʰ a iː c ɪ
faðir	f aː ð ɪ r
faðirvor	f aː ð ɪ r v ɔː r
faðma	f a ð m a
faðmur	f a ð m ʏ r
fegra	f ɛ ɣ r a
fegurð	f ɛː ɣ ʏ r ð
feigð	f e i ɣ ð
feikn	f e i h k n
feill	f e i t l
feiti	f e iː t ɪ
feitur	f e iː t ʏ r
fela	f ɛː l a
feldur	f ɛ l t ʏ r
felga	f ɛ l k a
fell	f ɛ t l
fella	f ɛ t l a
fellafífill	f ɛ t l a f iː v ɪ t l
fellibylur	f ɛ t l ɪ p ɪː l ʏ r
felling	f ɛ t l i ŋ k
feluleikur	f ɛː l ʏ l e iː k ʏ r
fen	f ɛː n
fengur	f e i ŋ k ʏ r
fennikka	f ɛ nː ɪ h k a
fenómen	f ɛː n o uː m ɛː n
ferfætlingur	f ɛ r f a i h t l i ŋ k ʏ r
fergin	f ɛ r c ɪ n
ferhyrndur	f ɛː r h ɪ r n t ʏ r
ferhyrningur	f ɛ r h ɪ r t n i ŋ k ʏ r
ferill	f ɛː r ɪ t l
ferilskrá	f ɛː r ɪ l s k r a uː
ferja	f ɛ r j a
ferjumaður	f ɛ r j ʏ m aː ð ʏ r
ferma	f ɛ r m a
ferming	f ɛ r m i ŋ k
fern	f ɛ r t n
ferna	f ɛ r t n a
ferningur	f ɛ r t n i ŋ k ʏ r
ferskja	f ɛ r̥ s c a
ferskjutré	f ɛ r̥ s c ʏ t r j ɛː
ferskur	f ɛ r̥ s k ʏ r
ferstrendingur	f ɛ r̥ s t r ɛ n t i ŋ k ʏ r
ferð	f ɛ r ð
ferðamaður	f ɛ r ð a m aː ð ʏ r
ferðataska	f ɛ r ð a tʰ a s k a
ferðaáætlun	f ɛ r ð a a uː a i h t l ʏ n
fes	f ɛː s
festa	f ɛ s t a
festi	f ɛ s t ɪ
festing	f ɛ s t i ŋ k
fet	f ɛː t
fetta	f ɛ h t a
feyja	f e iː j a
feykja	f e iː c a
feðgar	f ɛ ð k a r
feðgin	f ɛ ð c ɪː n
feðraveldi	f ɛ ð r a v ɛ l t ɪ
filla	f ɪ t l a
filma	f ɪ l m a
fimbulvetur	f ɪ m p ʏ l v ɛː t ʏ r
fimleikar	f ɪ m l e iː k a r
fimm	f ɪ mː
fimma	f ɪ mː a
fimmti	f ɪ m̥ t ɪ
fimmtudagur	f ɪ m̥ː tʰ ʏ t aː ɣ ʏ r
fimur	f ɪː m ʏ r
fingur	f i ŋ k ʏ r
fingurbjargarblóm	f i ŋ k ʏ r p j a r k a r p l o uː m
fingurbjörg	f i ŋ k ʏ r p j œ r k
finka	f i ŋ̊ k a
finna	f ɪ nː a
finnast	f ɪ nː a s t
finnska	f ɪ n s k a
finnskur	f ɪ n s k ʏ r
finnungur	f ɪ nː u ŋ k ʏ r
firring	f ɪ rː i ŋ k
firð	f ɪ r ð
fis	f ɪː s
fiseind	f ɪː s e i n t
fiski	f ɪ s c ɪ
fiskibolla	f ɪ s c ɪ p ɔ lː a
fiskifræði	f ɪ s c ɪ f r a iː ð ɪ
fiskur	f ɪ s k ʏ r
fit	f ɪː t
fita	f ɪː t a
fitfugl	f ɪ t f ʏ k l
fitjasef	f ɪː t j a s ɛː v
fitna	f ɪ h t n a
fitusýra	f ɪː t ʏ s iː r a
fiðla	f ɪ ð l a
fiðrildi	f ɪ ð r ɪ l t ɪ
fiður	f ɪː ð ʏ r
fjall	f j a t l
fjallafinka	f j a t l a f i ŋ̊ k a
fjallafræhyrna	f j a t l a f r a iː h ɪ r t n a
fjallafura	f j a t l a f ʏː r a
fjallagrös	f j a t l a k r œː s
fjallakobbi	f j a t l a kʰ ɔ pː ɪ
fjallaljón	f j a t l a l j o uː n
fjallanóra	f j a t l a n o uː r a
fjallastör	f j a t l a s t œː r
fjallasveifgras	f j a t l a s v e i v k r aː s
fjallavíðir	f j a t l a v iː ð ɪ r
fjallaþinur	f j a t l a θ ɪː n ʏ r
fjalldalafífill	f j a t l t aː l a f iː v ɪ t l
fjalldrapi	f j a t l t r aː p ɪ
fjallganga	f j a t l̥ k a u ŋ k a
fjallgarður	f j a t l k a r ð ʏ r
fjallhæra	f j a t l h a iː r a
fjallkrækill	f j a t l kʰ r a iː c ɪ t l
fjallnykra	f j a t l n ɪː k r a
fjandi	f j a n t ɪ
fjandmaður	f j a n t m aː ð ʏ r
fjandskapur	f j a n t s k aː p ʏ r
fjara	f j aː r a
fjarki	f j a r̥ c ɪ
fjarlægja	f j a r l a iː j a
fjarski	f j a r̥ s c ɪ
fjarstýra	f j a r̥ s t iː r a
fjarstýring	f j a r̥ s t iː r i ŋ k
fjarvera	f j a r v ɛː r a
fjarverufall	f j a r v ɛː r ʏ f a t l
fjas	f j aː s
fjárdráttur	f j a u r t r a u h t ʏ r
fjárhundur	f j a u r h ʏ n t ʏ r
fjáður	f j a uː ð ʏ r
fjóla	f j o uː l a
fjólublár	f j o uː l ʏ p l a uː r
fjór	f j o uː r
fjórir	f j o uː r ɪ r
fjórðapartsnóta	f j o u r ð a pʰ a r̥ t s n o uː t a
fjórði	f j o u r ð ɪ
fjórðungur	f j o u r ð u ŋ k ʏ r
fjós	f j o uː s
fjöl	f j œː l
fjölbreytni	f j œ l p r e i h t n ɪ
fjölbýlishús	f j œ l p iː l ɪ s h uː s
fjöldamorð	f j œ l t a m ɔ r ð
fjöldamorðingi	f j œ l t a m ɔ r ð i ŋ c ɪ
fjöldi	f j œ l t ɪ
fjölga	f j œ l k a
fjölgyðistrú	f j œ l k ɪː ð ɪ s t r uː
fjölkvæni	f j œ l kʰ v a iː n ɪ
fjölkynngi	f j œ l cʰ i ɲ c ɪ
fjöllaufungur	f j œ l l ø yː v u ŋ k ʏ r
fjölliða	f j œ l l ɪː ð a
fjölmiðlasaga	f j œ l m ɪ ð l a s aː ɣ a
fjölröddun	f j œ l r œ tː ʏ n
fjölskylda	f j œ l s c ɪ l t a
fjöltyngdur	f j œ l tʰ i ŋ t ʏ r
fjölveri	f j œ l v ɛː r ɪ
fjölær	f j œː l a iː r
fjör	f j œː r
fjörfiskur	f j œ r f ɪ s k ʏ r
fjöruarfi	f j œː r ʏ a r v ɪ
fjötra	f j œː t r a
fjötur	f j œː t ʏ r
fjúka	f j uː k a
flag	f l aː ɣ
flaga	f l aː ɣ a
flagahnoðri	f l aː ɣ a n̥ ɔ ð r ɪ
flagasef	f l aː ɣ a s ɛː v
flagasóley	f l aː ɣ a s o uː l e iː
flagg	f l a kː
flaggdúkur	f l a kː t uː k ʏ r
flaggskip	f l a kː s c ɪː p
flak	f l aː k
flaka	f l aː k a
flakka	f l a h k a
flas	f l aː s
flasa	f l aː s a
flaska	f l a s k a
flaski	f l a s c ɪ
flass	f l a sː
flatbaka	f l a t p aː k a
flauel	f l ø yː j ɛː l
flauelsblóm	f l ø yː j ɛ l s p l o uː m
flaust	f l ø y s t
flaustur	f l ø y s t ʏ r
flauta	f l ø yː t a
flauta	f l ø yː tʰ a
flautuleikari	f l ø yː t ʏ l e iː k aː r ɪ
fleinn	f l e i t n
fleirtala	f l e i r̥ t aː l a
fleki	f l ɛː c ɪ
flekkaður	f l ɛ h k a ð ʏ r
flekklaus	f l ɛ h k l ø yː s
flekkur	f l ɛ h k ʏ r
flengja	f l e i ɲ c a
flengur	f l e i ŋ k ʏ r
flenna	f l ɛ nː a
flensa	f l ɛ n s a
flesk	f l ɛ s k
fletja	f l ɛː t j a
fletta	f l ɛ h t a
fley	f l e iː
fleygja	f l e iː j a
fleygur	f l e iː ɣ ʏ r
fleyta	f l e iː t a
flibbi	f l ɪ pː ɪ
flikki	f l ɪ h c ɪ
flinkur	f l i ŋ̊ k ʏ r
flipi	f l ɪː p ɪ
flissa	f l ɪ sː a
fljót	f l j o uː t
fljóta	f l j o uː t a
fljótur	f l j o uː t ʏ r
fljóð	f l j o uː ð
fljúga	f l j uː a
flog	f l ɔː ɣ
flogaveiki	f l ɔː ɣ a v e iː c ɪ
flokka	f l ɔ h k a
flokkun	f l ɔ h k ʏ n
flokkur	f l ɔ h k ʏ r
flotaforingi	f l ɔː t a f ɔː r i ɲ c ɪ
floti	f l ɔː t ɪ
flug	f l ʏː ɣ
fluga	f l ʏː ɣ a
flugbraut	f l ʏ ɣ p r ø yː t
flugdreki	f l ʏ ɣ t r ɛː c ɪ
flugfélag	f l ʏː ɣ f j ɛː l aː ɣ
flughöfn	f l ʏː ɣ h œ p n
flugmaður	f l ʏ ɣ m aː ð ʏ r
flugslóði	f l ʏ x s t l o uː ð ɪ
flugstjóri	f l ʏ x s t j o uː r ɪ
flugur	f l ʏː ɣ ʏ r
flugvél	f l ʏ ɣ v j ɛː l
flugvöllur	f l ʏ ɣ v œ t l ʏ r
flundra	f l ʏ n t r a
flygilhorn	f l ɪ j ɪ l h ɔ r t n
flygill	f l ɪː j ɪ t l
flyksa	f l ɪ k s a
flyksa	f l ɪ x s a
flytja	f l ɪː t j a
flá	f l a uː
flákaský	f l a uː k a s c iː
flámæli	f l a uː m a iː l ɪ
flækingur	f l a iː c i ŋ k ʏ r
flækja	f l a iː c a
flæmingi	f l a iː m i ɲ c ɪ
flæmska	f l a i m s k a
flæmskur	f l a i m s k ʏ r
flærð	f l a i r ð
flæða	f l a iː ð a
flæði	f l a iː ð ɪ
flétta	f l j ɛ h t a
flík	f l iː k
flís	f l iː s
flísatöng	f l iː s a tʰ ø y ŋ k
fló	f l o uː
flóajurt	f l o uː a j ʏ r̥ t
flóastör	f l o uː a s t œː r
flói	f l o uː ɪ
flón	f l o uː n
flónska	f l o u n s k a
flónskur	f l o u n s k ʏ r
flóra	f l o uː r a
flórgoði	f l o u r k ɔː ð ɪ
flóð	f l o uː ð
flóðhestur	f l o uː ð h ɛ s t ʏ r
flöskuskeyti	f l œ s k ʏ s c e iː t ɪ
flúr	f l uː r
flýja	f l iː j a
flýta	f l iː t a
flýtir	f l iː t ɪ r
fnykur	f n ɪː k ʏ r
fok	f ɔː k
fokk	f ɔ h k
fokking	f ɔ h k i ŋ k
folafluga	f ɔː l a f l ʏː ɣ a
folald	f ɔː l a l t
foli	f ɔː l ɪ
for	f ɔː r
fordrykkur	f ɔ r t r ɪ h k ʏ r
fordæmi	f ɔ r t a iː m ɪ
fordómur	f ɔ r t o uː m ʏ r
foreldrar	f ɔː r ɛ l t r a r
foreldri	f ɔː r ɛ l t r ɪ
forheimskun	f ɔː r h e i m s k ʏ n
forhúð	f ɔː r h uː ð
foringi	f ɔː r i ɲ c ɪ
forinta	f ɔː r ɪ n̥ t a
forjaxl	f ɔː r j a k s t l
forjaxl	f ɔː r j a x s t l
forliður	f ɔ r l ɪː ð ʏ r
forlát	f ɔ r l a uː t
forma	f ɔ r m a
formatta	f ɔ r m a h t a
formaður	f ɔ r m aː ð ʏ r
formkaka	f ɔ r m kʰ aː k a
formáli	f ɔ r m a uː l ɪ
formæling	f ɔ r m a iː l i ŋ k
forn	f ɔ r t n
fornafn	f ɔ r n a p n
fornenska	f ɔ r t n ɛ n s k a
forneskja	f ɔ r t n ɛ s c a
forngríska	f ɔ r t n k r i s k a
fornkirkjuslavneska	f ɔ r t n cʰ ɪ r̥ c ʏ s l aː v n ɛ s k a
fornnorræna	f ɔ r t n n ɔ r r a iː n a
forrit	f ɔ r r ɪː t
forrita	f ɔ rː ɪː t a
forritari	f ɔ rː ɪ t aː r ɪ
forritun	f ɔ rː ɪː t ʏ n
forritunarmál	f ɔ rː ɪː t ʏ n a r m a uː l
forréttur	f ɔ r r j ɛ h t ʏ r
forseti	f ɔ r̥ s ɛː t ɪ
forsetning	f ɔ r̥ s ɛ h t n i ŋ k
forsetningarliður	f ɔ r̥ s ɛ h t n i ŋ k a r l ɪː ð ʏ r
forsjá	f ɔ r̥ s j a uː
forskaut	f ɔ r̥ s k ø yː t
forskeyti	f ɔ r̥ s c e iː t ɪ
forskot	f ɔ r̥ s k ɔː t
forsprakki	f ɔ r̥ s p r a h c ɪ
forstaða	f ɔ r̥ s t aː ð a
forstjóri	f ɔ r̥ s t j o uː r ɪ
forstofa	f ɔ r̥ s t ɔː v a
forstöðumaður	f ɔ r̥ s t œ ð ʏ m aː ð ʏ r
forsæla	f ɔ r̥ s a iː l a
forsætisráðherra	f ɔ r̥ s a iː t ɪ s r a uː ð h ɛ rː a
forsíða	f ɔ r̥ s iː ð a
fortíð	f ɔ r̥ tʰ iː ð
fortíðarþrá	f ɔ r̥ tʰ iː ð a r θ r a uː
forvitni	f ɔ r v ɪ h t n ɪ
forvöð	f ɔ r v œː ð
forða	f ɔ r ð a
forðafræði	f ɔ r ð a f r a iː ð ɪ
forði	f ɔ r ð ɪ
fosfór	f ɔ s f o uː r
foss	f ɔ sː
frakki	f r a h c ɪ
frakkneskur	f r a h k n ɛ s k ʏ r
fram	f r a mː
framan	f r aː m a n
framburður	f r a m p ʏ r ð ʏ r
framferði	f r a m f ɛ r ð ɪ
framhaldsskóli	f r a m h a l s s k o uː l ɪ
framherji	f r a m h ɛ r j ɪ
framhjáhlaup	f r a m ç a uː l̥ ø yː p
framhlaðningur	f r a m l̥ a ð n i ŋ k ʏ r
framkoma	f r a m kʰ ɔː m a
framkvæma	f r a m kʰ v a iː m a
framkvæmd	f r a m kʰ v a i m t
framkvæmdastjóri	f r a m kʰ v a i m t a s t j o uː r ɪ
framlag	f r a m l aː ɣ
framleiða	f r a m l e iː ð a
framleiðandi	f r a m l e iː ð a n t ɪ
framleiðsla	f r a m l e i ð s t l a
framlengja	f r a m l e i ɲ c a
framreiða	f r a m r e iː ð a
framreiðsla	f r a m r e i ð s t l a
framræsla	f r a m r a i s t l a
framrúða	f r a m r uː ð a
framsaga	f r a m s aː ɣ a
framsöguháttur	f r a m s œː ɣ ʏ h a u h t ʏ r
framtíðarfræði	f r a m t iː ð a r f r a iː ð ɪ
framvinda	f r a m v ɪ n t a
franska	f r a n s k a
franskbrauð	f r a n s k p r ø yː ð
franskur	f r a n s k ʏ r
frasi	f r aː s ɪ
frat	f r aː t
frauð	f r ø yː ð
frauðplast	f r ø yː ð pʰ l a s t
fregn	f r ɛ k n
fregna	f r ɛ k n a
freista	f r e i s t a
freisting	f r e i s t i ŋ k
frekna	f r ɛ h k n a
freknóttur	f r ɛ h k n o u h t ʏ r
frekur	f r ɛː k ʏ r
frelsari	f r ɛ l s aː r ɪ
frelsi	f r ɛ l s ɪ
frelsingi	f r ɛ l s i ɲ c ɪ
frelsisbarátta	f r ɛ l s ɪ s b aː r a u h t a
frelsishetja	f r ɛ l s ɪ s h ɛː t j a
fremja	f r ɛ m j a
freri	f r ɛː r ɪ
fress	f r ɛ sː
fresta	f r ɛ s t a
frestun	f r ɛ s t ʏ n
frestur	f r ɛ s t ʏ r
freta	f r ɛː t a
fretta	f r ɛ h t a
fretur	f r ɛː t ʏ r
freyðivín	f r e iː ð ɪ v iː n
freðinn	f r ɛː ð ɪ nː
freðmýri	f r ɛː ð m iː r ɪ
friggjargras	f r ɪ cː a r k r aː s
friggjarlykill	f r ɪ cː a r l ɪː c ɪ t l
frilla	f r ɪ t l a
friða	f r ɪː ð a
friðarbogi	f r ɪː ð a r p ɔː j ɪ
friðill	f r ɪː ð ɪ t l
friðlýsa	f r ɪ ð l iː s a
friður	f r ɪː ð ʏ r
frjáls	f r j a u l s
frjó	f r j o uː
frjóhnappur	f r j o uː n̥ a h p ʏ r
frjókorn	f r j o uː kʰ ɔ r t n
frjór	f r j o uː r
frjósa	f r j o uː s a
frjósemi	f r j o uː s ɛː m ɪ
frjóþráður	f r j o uː θ r a uː ð ʏ r
froskdýr	f r ɔ s k t iː r
froskur	f r ɔ s k ʏ r
frost	f r ɔ s t
frostpinni	f r ɔ s t pʰ ɪ nː ɪ
froða	f r ɔː ð a
fruma	f r ʏː m a
frumbyggi	f r ʏ m p ɪ cː ɪ
frumefni	f r ʏː m ɛ p n ɪ
frumeind	f r ʏː m e i n t
frumlag	f r ʏ m l aː ɣ
frumskógur	f r ʏ m s k o uː ʏ r
frumstig	f r ʏ m s t ɪː ɣ
frumufræði	f r ʏː m ʏ f r a iː ð ɪ
frumuhimna	f r ʏː m ʏ h ɪ m n a
