ಅ	ɐ
ಕಾಯಿಲೆ	k aː j i l e
ಕಾರಣ	k aː ɾ ɐ ɳ ɐ
ಕಾರಾಗೃಹ	k aː ɾ aː ɡ ɾ ŭ h ɐ
ಕಾರ್ತಿಕೇಯ	k aː ɾ t̪ i k eː j ɐ
ಕಾಲ	k aː l ɐ
ಕಾಲಭೈರವ	k aː l ɐ bʱ ɐ i̯ ɾ ɐ ʋ ɐ
ಕಾಳಜಿ	k aː ɭ ɐ d͡ʒ i
ಕಾಸು	k aː s u
ಕಿಂಕಿಣಿ	k i ŋ k i ɳ i
ಕಿಚ್ಚು	k i t͡ʃ t͡ʃ u
ಕಿಟಕಿ	k i ʈ ɐ k i
ಕಿತ್ತಳೆ	k i t̪ t̪ ɐ ɭ e
ಕಿನಾರೆ	k i n̪ aː ɾ e
ಕಿರಿಯ	k i ɾ i j ɐ
ಕಿವಿ	k i ʋ i
ಕುಕ್ಕುರ	k u k k u ɾ ɐ
ಕುಟುಂಬ	k u ʈ u m b ɐ
ಕುಠಾರ	k u ʈʰ aː ɾ ɐ
ಕುಡಿ	k u ɖ i
ಕುಡಿಕೆ	k u ɖ i k e
ಕುಣಿ	k u ɳ i
ಕುತ್ತಿಗೆ	k u t̪ t̪ i ɡ e
ಕುದುರೆ	k u d̪ u ɾ e
ಕುಬೇರ	k u b eː ɾ ɐ
ಕುರಾನು	k u ɾ aː n̪ u
ಕುರಾನ್	k u ɾ aː n̪
ಕುರಿ	k u ɾ i
ಕುರುಡ	k u ɾ u ɖ ɐ
ಕುರುಬ	k u ɾ u b ɐ
ಕುರ್ಚಿ	k u ɾ t͡ʃ i
ಕುಳಿರ್	k u ɭ i ɾ
ಕುಸುಬು	k u s u b u
ಕುಸುವು	k u s u ʋ u
ಕುಸ್ತಿ	k u s t̪ i
ಕೂಟಾಕ	k uː ʈ aː k ɐ
ಕೂಡ	k uː ɖ ɐ
ಕೂಡಿಕೆ	k uː ɖ i k e
ಕೂದಲು	k uː d̪ ɐ l u
ಕೂರು	k uː ɾ u
ಕೂಸು	k uː s u
ಕೆಟ್ಟ	k e ʈ ʈ ɐ
ಕೆರೆ	k e ɾ e
ಕೆಲ	k e l ɐ
ಕೆಲವು	k e l ɐ ʋ u
ಕೆಲಸ	k e l ɐ s ɐ
ಕೆಲಸಗಾರ	k e l ɐ s ɐ ɡ aː ɾ ɐ
ಕೆಲಸಗಾರರು	k e l ɐ s ɐ ɡ aː ɾ ɐ ɾ u
ಕೆಸರು	k e s ɐ ɾ u
ಕೆಸವು	k e s ɐ ʋ u
ಕೇದಗೆ	k eː d̪ ɐ ɡ e
ಕೇರಳ	k eː ɾ ɐ ɭ ɐ
ಕೇಳು	k eː ɭ u
ಕೇಶ	k eː ʃ ɐ
ಕೇಶವಿನ್ಯಾಸ	k eː ʃ ɐ ʋ i n̪ j aː s ɐ
ಕೈ	k ɐ ɪ̯
ಕೊಂಚ	k o ɲ t͡ʃ ɐ
ಕೊಂಡ	k o ɳ ɖ ɐ
ಕೊಂಬು	k o m b u
ಕೊಟ್ಟಿಗೆ	k ɔ ʈ ʈ ɪ ɡ e
ಕೊಡಗು	k o ɖ ɐ ɡ u
ಕೊಡು	k o ɖ u
ಕೊಡೆ	k o ɖ e
ಕೊತವಾಲ	k o t̪ ɐ ʋ aː l ɐ
ಕೊತ್ತಂಬರಿ	k o t̪ t̪ ɐ m b ɐ ɾ i
ಕೊಬ್ಬರಿ	k o b b ɐ ɾ i
ಕೊಬ್ಬು	k o b b u
ಕೊಯಿತ	k o j i t̪ ɐ
ಕೊಲೆ	k o l e
ಕೊಲ್ಲು	k o l l u
ಕೊಳ	k o ɭ ɐ
ಕೊಳಕು	k o ɭ ɐ k u
ಕೊಳಲು	k o ɭ ɐ l u
ಕೊಳೆತ	k o ɭ e t̪ ɐ
ಕೊಳ್ಳು	k o ɭ ɭ u
ಕೋಟಿ	k oː ʈ i
ಕೋಟೆ	k oː ʈ e
ಕೋಡಂಗಿ	k oː ɖ ɐ ŋ ɡ i
ಕೋಣ	k oː ɳ ɐ
ಕೋತಿ	k oː t̪ i
ಕೋದಂಡರಾಮ	k oː d̪ ɐ ɳ ɖ ɐ ɾ aː m ɐ
ಕೋಪ	k oː p ɐ
ಕೋಮಲ	k oː m ɐ l ɐ
ಕೋರಿಕೆ	k oː ɾ i k e
ಕೋಳಿ	k oː ɭ i
ಕೋವಿ	k oː ʋ i
ಕೌಶಲ	k ɐ u̯ ʃ ɐ l ɐ
ಕ್ರಮವಿಧಿ	k ɾ ɐ m ɐ ʋ i d̪ʱ i
ಕ್ರಮೇಣ	k ɾ ɐ m eː ɳ ɐ
ಕ್ರಿಕೆಟ್	k ɾ i k e ʈ
ಕ್ರಿಯಾಪದ	k ɾ i j aː p ɐ d̪ ɐ
ಕ್ರಿಸ್ಮಸ್	k ɾ i s m ɐ s
ಕ್ರೀಡಿಸು	k ɾ iː ɖ i s u
ಕ್ರೀಡೆ	k ɾ iː ɖ e
ಕ್ರೋಧ	k ɾ oː d̪ʱ ɐ
ಕ್ಲುಪ್ತ	k l u p t̪ ɐ
ಕ್ಷಣ	k ʃ ɑ ɳ ɑ
ಕ್ಷತಿ	k ʂ ɐ t̪ i
ಕ್ಷತ್ರಿಯ	k ʂ ɐ t̪ ɾ i j ɐ
ಕ್ಷಮಿಸು	k ʂ ɐ m i s u
ಕ್ಷಮೆ	k ʂ ɐ m e
ಕ್ಷೇತ್ರ	k ʂ eː t̪ ɾ ɐ
ಕ್ಷೇಪ	k ʂ eː p ɐ
ಖಟ್ವೆ	kʰ ɐ ʈ ʋ e
ಖಡ್ಗ	kʰ ɐ ɖ ɡ ɐ
ಖಬರು	kʰ ɐ b ɐ ɾ u
ಖಾದ್ಯ	kʰ aː d̪ j ɐ
ಖಾಸಗಿ	kʰ aː s ɐ ɡ i
ಖೂನಿ	kʰ uː n̪ i
ಗಂಡ	ɡ ɐ ɳ ɖ ɐ
ಗಂಧ	ɡ ɐ n̪ d̪ʱ ɐ
ಗಗನ	ɡ ɐ ɡ ɐ n̪ ɐ
ಗಡಿ	ɡ ɐ ɖ i
ಗಡಿಯಾರ	ɡ ɐ ɖ i j aː ɾ ɐ
ಗಡ್ಡ	ɡ ɐ ɖ ɖ ɐ
ಗತ	ɡ ɑ t̪ ɑ
ಗಬ್ಬ	ɡ ɑ b b ɑ
ಗರಿ	ɡ ɐ ɾ i
ಗಲಭೆ	ɡ ɐ l ɐ bʱ e
ಗಲ್ಲ	ɡ ɐ l l ɐ
ಗಾಜು	ɡ aː d͡ʒ u
ಗಾಡಿ	ɡ aː ɖ i
ಗಾಳಿ	ɡ aː ɭ i
ಗಿಂಡಿ	ɡ i ɳ ɖ i
ಗಿಡ	ɡ i ɖ ɐ
ಗಿಡುಗ	ɡ i ɖ u ɡ ɐ
ಗಿಡ್ಡ	ɡ i ɖ ɖ ɐ
ಗಿಣ್ಣಿಲು	ɡ i ɳ ɳ i l u
ಗುಂಡಿಗೆ	ɡ u ɳ ɖ i ɡ e
ಗುಂಡು	ɡ u ɳ ɖ u
ಗುಂಪು	ɡ u m p u
ಗುಟ್ಟು	ɡ u ʈ ʈ u
ಗುಡಿ	ɡ u ɖ i
ಗುಮ್ಮಟ	ɡ u m m ɐ ʈ ɐ
ಗುರಿ	ɡ u ɾ i
ಗುರುವಾರ	ɡ u ɾ u ʋ ɑː ɾ ə
ಗುಲಾಬಿ	ɡ u l aː b i
ಗೆಂಟು	ɡ e ɳ ʈ u
ಗೆಣಸು	ɡ e ɳ ɐ s u
ಗೆಬರು	ɡ e b ɐ ɾ u
ಗೆಲುವು	ɡ e l u ʋ u
ಗೆಲ್ಲು	ɡ e l l u
ಗೆಳೆತನ	ɡ e ɭ e t̪ ɐ n̪ ɐ
ಗೆಳೆಯ	ɡ e ɭ e j ɐ
ಗೋಕರ್ಣ	ɡ oː k ɐ ɾ ɳ ɐ
ಗೋಡೆ	ɡ oː ɖ e
ಗೋತ್ರ	ɡ oː t̪ ɾ ɐ
ಗೋದ	ɡ oː d̪ ɐ
ಗೋಪ	ɡ oː p ɐ
ಗೋಪಾಲ	ɡ oː p aː l ɐ
ಗೋಮಾಯು	ɡ oː m aː j u
ಗೋರಂಟಿ	ɡ oː ɾ ɐ ɳ ʈ i
ಗೋವಿಂದ	ɡ oː ʋ i n̪ d̪ ɐ
ಗೋಶಾಲೆ	ɡ oː ʃ aː l e
ಗೌಡ	ɡ ɐ u̯ ɖ ɐ
ಗೌರಿ	ɡ ɐ u̯ ɾ i
ಗ್ರಹ	ɡ ɾ ɐ h ɐ
ಗ್ರಾಮ	ɡ ɾ aː m ɐ
ಗ್ರಾಹಕ	ɡ ɾ aː h ɐ k ɐ
ಗ್ರೀಷ್ಮ	ɡ ɾ iː ʂ m ɐ
ಗ್ಲಾನಿ	ɡ l aː n̪ i
ಘೂಕ	ɡʱ uː k ɐ
ಙ	ŋ ɐ
ಚಂದ್ರ	t͡ʃ ɐ n̪ d̪ ɾ ɐ
ಚಂದ್ರಶೇಖರ	t͡ʃ ɐ n̪ d̪ ɾ ɐ ʃ eː kʰ ɐ ɾ ɐ
ಚಂದ್ರಹಾಸ	t͡ʃ ɐ n̪ d̪ ɾ ɐ h aː s ɐ
ಚಕ್ರ	t͡ʃ ɐ k ɾ ɐ
ಚದುರಂಗ	t͡ʃ ɐ d̪ u ɾ ɐ ŋ ɡ ɐ
ಚಮಡ	t͡ʃ ɐ m ɐ ɖ ɐ
ಚರ್ಚಿಸು	t͡ʃ ɐ ɾ t͡ʃ i s u
ಚರ್ಚು	t͡ʃ ɐ ɾ t͡ʃ u
ಚರ್ಚೆ	t͡ʃ ɐ ɾ t͡ʃ e
ಚರ್ಮ	t͡ʃ ɐ ɾ m ɐ
ಚಲ್ಲು	t͡ʃ ɐ l l u
ಚಳಿ	t͡ʃ ɐ ɭ i
ಚಾಕು	t͡ʃ aː k u
ಚಿಕ್ಕ	t͡ʃ i k k ɐ
ಚಿಕ್ಕಮಗಳೂರು	t͡ʃ i k k ɐ m ɐ ɡ ɐ ɭ uː ɾ u
ಚಿತ್ರ	t͡ʃ i t̪ ɾ ɐ
ಚಿನ್ನ	t͡ʃ i n̪ n̪ ɐ
ಚಿಲಕ	t͡ʃ i l ɐ k ɐ
ಚೀಪು	t͡ʃ iː p u
ಚುಕ್ಕೆ	t͡ʃ u k k e
ಚೂರು	t͡ʃ uː ɾ u
ಚೆನ್ನಾಗಿ	t͡ʃ e n̪ n̪ aː ɡ i
ಚೆಲುವು	t͡ʃ e l u ʋ u
ಚೇಳು	t͡ʃ eː ɭ u
ಚೇಷ್ಟೆ	t͡ʃ eː ʂ ʈ e
ಚೊರ	t͡ʃ o ɾ ɐ
ಚೋರ	t͡ʃ oː ɾ ɑ
ಚೋರರು	t͡ʃ oː ɾ ɐ ɾ u
ಛತ್ರಿ	t͡ʃʰ ɐ t̪ ɾ i
ಜಂಗಲು	d͡ʒ ɐ ŋ ɡ ɐ l u
ಜಖಂ	d͡ʒ ɐ kʰ ɐ m
ಜಗತ್ತು	d͡ʒ ɐ ɡ ɐ t̪ t̪ u
ಜಗನ್ನಾಥ	d͡ʒ ɐ ɡ ɐ n̪ n̪ aː t̪ʰ ɐ
ಜಗಲಿ	d͡ʒ ɐ ɡ ɐ l i
ಜಡಧಿ	d͡ʒ ɐ ɖ ɐ d̪ʱ i
ಜಡೆ	d͡ʒ ɐ ɖ e
ಜನ	d͡ʒ ɐ n̪ ɐ
ಜನವರಿ	d͡ʒ ɐ n̪ ɐ ʋ ɐ ɾ i
ಜನ್ಮಭೂಮಿ	d͡ʒ ɐ n̪ m ɐ bʱ uː m i
ಜಪಾನ್	d͡ʒ ɐ p aː n̪
ಜಮೀನು	d͡ʒ ɐ m iː n̪ u
ಜಯ	d͡ʒ ɐ j ɐ
ಜರಡಿ	d͡ʒ ə ɾ ə ɖ ɪ
ಜರ್ಮನಿ	d͡ʒ ɐ ɾ m ɐ n̪ i
ಜಲಾಶಯ	d͡ʒ ɐ l aː ʃ ɐ j ɐ
ಜಾಗ	d͡ʒ aː ɡ ɐ
ಜಾಯಿಲ	d͡ʒ aː j i l ɐ
ಜಾರಿ	d͡ʒ aː ɾ i
ಜಾಸ್ತಿ	d͡ʒ aː s t̪ i
ಜಾಹೀರಾತು	d͡ʒ aː h iː ɾ aː t̪ u
ಜೀರಳೆ	d͡ʒ iː ɾ ɐ ɭ e
ಜೀರ್ಣಾಂಗ	d͡ʒ iː ɾ ɳ aː ŋ ɡ ɐ
ಜೀವ	d͡ʒ iː ʋ ɐ
ಜೀವನ	d͡ʒ iː ʋ ɐ n̪ ɐ
ಜೀವನಶೈಲಿ	d͡ʒ iː ʋ ɐ n̪ ɐ ʃ ɐ i̯ l i
ಜೀವನ್ಮುಕ್ತಿ	d͡ʒ iː ʋ ɐ n̪ m u k t̪ i
ಜೂಜು	d͡ʒ uː d͡ʒ u
ಜೂನ್	d͡ʒ uː n̪
ಜೇನು	d͡ʒ eː n u
ಜೈನ	d͡ʒ ɐ i̯ n̪ ɐ
ಜೈನಧರ್ಮ	d͡ʒ ɐ i̯ n̪ ɐ d̪ʱ ɐ ɾ m ɐ
ಜೊಂಪು	d͡ʒ o m p u
ಜೊತೆ	d͡ʒ o t̪ e
ಜೋಕೆ	d͡ʒ oː k e
ಜ್ಞಾನ	d͡ʒ ɲ aː n̪ ɐ
ಜ್ಞಾಪಕ	d͡ʒ ɲ aː p ɐ k ɐ
ಜ್ವರ	d͡ʒ ʋ ɐ ɾ ɐ
ಜ್ವಲಿಸು	d͡ʒ ʋ ɐ l i s u
ಜ್ವಾಲಾಮುಖಿ	d͡ʒ ʋ aː l aː m u kʰ i
ಞ	ɲ a
ಟಿಟ್ಟಿಭ	ʈ i ʈ ʈ i bʱ ɐ
ಟೋಪಿ	ʈ oː p i
ಠ	ʈʰ ɐ
ಠಾಣೆ	ʈʰ aː ɳ e
ಡಕೋಟಾ	ɖ ɐ k oː ʈ aː
ಡಿಸೆಂಬರ್	ɖ i s e m b ɐ ɾ
ತಂಡ	t̪ ɐ ɳ ɖ ɐ
ತಂಡವಾಳ	t̪ ɐ ɳ ɖ ɐ ʋ aː ɭ ɐ
ತಂತಿ	t̪ ɐ n̪ t̪ i
ತಂದೆ	t̪ ɐ n̪ d̪ e
ತಕ್ಕಾಳಿ	t̪ ɐ k k aː ɭ i
ತಜ್ಞ	t̪ ɐ d͡ʒ ɲ ɐ
ತಟ್ಟೆ	t̪ ɐ ʈ ʈ e
ತಡೆ	t̪ ɐ ɖ e
ತಣ್ಣೀರು	t̪ ɐ ɳ ɳ iː ɾ u
ತನುಜಾತೆ	t̪ ɐ n̪ u d͡ʒ aː t̪ e
ತನುವು	t̪ ə n u ʋ u
ತನ್ನ	t̪ ɐ n̪ n̪ ɐ
ತಪ್ಪಿಸು	t̪ ɐ p p i s u
ತಮ್ಮ	t̪ ɐ m m ɐ
ತಲೆ	t̪ ɐ l e
ತಳಕು	t̪ ɐ ɭ ɐ k u
ತಾಕತ್ತು	t̪ aː k ɐ t̪ t̪ u
ತಾಕೀತು	t̪ aː k iː t̪ u
ತಾಮ್ರ	t̪ aː m ɾ ɐ
ತಾಯಿ	t̪ aː j i
ತಾರೀಫು	t̪ aː ɾ iː pʰ u
ತಾಲೀಮು	t̪ aː l iː m u
ತಾಲ್ಲೂಕು	t̪ aː l l uː k u
ತಾಳಿ	t̪ aː ɭ i
ತಾಳು	t̪ aː ɭ u
ತಾಳ್ಮೆ	t̪ aː ɭ m e
ತಾವರೆ	t̪ aː ʋ ɐ ɾ e
ತಿಂಗಳು	t̪ i ŋ ɡ ɐ ɭ u
ತಿಂಡಿ	t̪ i ɳ ɖ i
ತಿಕ್ಕು	t̪ i k k u
ತಿದಿ	t̪ i d̪ i
ತಿನ್ನು	t̪ i n̪ n̪ u
ತಿರುಗು	t̪ i ɾ u ɡ u
ತಿಳಿ	t̪ i ɭ i
ತೀರ್ಮಾನ	t̪ iː ɾ m aː n̪ ɐ
ತುಂಡು	t̪ u ɳ ɖ u
ತುಂಬು	t̪ u m b u
ತುಟಿ	t̪ u ʈ i
ತುಪಾಕಿ	t̪ u p aː k i
ತುಪ್ಪ	t̪ u p p ɐ
ತುಫಾನು	t̪ u pʰ aː n̪ u
ತುಮಕುರು	t̪ u m ɐ k u ɾ u
ತುಳು	t̪ u ɭ u
ತೂಕ	t̪ uː k ɐ
ತೃಪ್ತಿ	t̪ ɾ ŭ p t̪ i
ತೃಷ್ಣೆ	t̪ ɾ u ʃ ɳ e
ತೆಂಕಣ	t̪ e ŋ k ɐ ɳ ɐ
ತೆರಿಗೆ	t̪ e ɾ i ɡ e
ತೆಳು	t̪ e ɭ u
ತೇಗ	t̪ eː ɡ ɐ
ತೇರು	t̪ eː ɾ u
ತೇಲು	t̪ eː l u
ತೈಲ	t̪ ɐ i̯ l ɐ
ತೊಂದರೆ	t̪ o n̪ d̪ ɐ ɾ e
ತೊಗಟೆ	t̪ o ɡ ɐ ʈ e
ತೊಡೆ	t̪ o ɖ e
ತೊರೆ	t̪ o ɾ e
ತೊಳೆ	t̪ o ɭ e
ತೋಕೆ	t̪ oː k e
ತೋಟ	t̪ oː ʈ ɐ
ತೋಡು	t̪ oː ɖ u
ತೋಪು	t̪ oː p u
ತೋರಿಸು	t̪ oː ɾ i s u
ತೋಳ	t̪ oː ɭ ɐ
ದಂಡನಾಥ	d̪ ɐ ɳ ɖ ɐ n̪ aː t̪ʰ ɐ
ದಟ್ಟಿಸು	d̪ ɐ ʈ ʈ i s u
ದಪ್ಪ	d̪ ɐ p p ɐ
ದರ್ಶನ	d̪ ɐ ɾ ʃ ɐ n̪ ɐ
ದವಾಖಾನೆ	d̪ ɐ ʋ aː kʰ aː n̪ e
ದಹನ	d̪ ɐ h ɐ n̪ ɐ
ದಾಖಲಾತಿ	d̪ aː kʰ ɐ l aː t̪ i
ದಾಟು	d̪ aː ʈ u
ದಾನ	d̪ aː n̪ ɐ
ದಾರಿ	d̪ aː ɾ i
ದಾರ್ಢ್ಯ	d̪ aː ɾ ɖʱ j ɐ
ದಿಕ್ಕು	d̪ ɪ k k u
ದಿಗಿಲು	d̪ i ɡ i l u
ದಿನ	d̪ i n̪ ɐ
ದಿನಾಂಕ	d̪ i n̪ aː ŋ k ɐ
ದಿವಸ	d̪ i ʋ ɐ s ɐ
ದೀಪಾವಳಿ	d̪ iː p aː ʋ ɐ ɭ i
ದುಃಖ	d̪ u h kʰ ɐ
ದುಃಶಾಸನ	d̪ u h ʃ aː s ɐ n̪ ɐ
ದುಃಸ್ವಪ್ನ	d̪ u h s ʋ ɐ p n̪ ɐ
ದುಡ್ಡು	d̪ u ɖ ɖ u
ದುರ್ಗೆ	d̪ u ɾ ɡ e
ದುರ್ಯೋಧನ	d̪ u ɾ j oː d̪ʱ ɐ n̪ ɐ
ದುಷ್ಠ	d̪ u ʂ ʈʰ ɐ
ದುಹಿತೆ	d̪ u h i t̪ e
ದೇವ	d̪ eː ʋ ɐ
ದೇವಲೋಕ	d̪ eː ʋ ɐ l oː k ɐ
ದೇವಸ್ಥಾನ	d̪ eː ʋ ɐ s t̪ʰ aː n̪ ɐ
ದೇವಿ	d̪ eː ʋ i
ದೇಶ	d̪ eː ʃ ɐ
ದೇಹ	d̪ eː ɦ ɑ
ದೈತ್ಯ	d̪ ɐ i̯ t̪ j ɐ
ದೊಡ್ಡ	d̪ o ɖ ɖ ɐ
ದೊನ್ನೆ	d̪ o n n e
ದೊಮ್ಮೆ	d̪ o m m e
ದೋಣಿ	d̪ oː ɳ i
ದೋಸೆ	d̪ oː s̪ e
ದೌಲತ್ತು	d̪ ɐ u̯ l ɐ t̪ t̪ u
ದ್ಯುತಿಸಂಶ್ಲೇಷಿಸು	d̪ j u t̪ i s ɐ m ʃ l eː ʂ i s u
ದ್ಯೂತ	d̪ j uː t̪ ɑ
ದ್ರೋಹ	d̪ ɾ oː h ɐ
ದ್ರೌಪದಿ	d̪ ɾ ɐ u̯ p ɐ d̪ i
ದ್ವೀಪ	d̪ ʋ iː p ɐ
ದ್ವೀಪಸಮೂಹ	d̪ ʋ iː p ɐ s ɐ m uː h ɐ
ಧನ	d̪ʱ ɐ n̪ ɐ
ಧನುಸ್ಸು	d̪ʱ ɐ n̪ u s s u
ಧನ್ಯವಾದ	d̪ʱ ɐ n̪ j ɐ ʋ aː d̪ ɐ
ಧರಿಸು	d̪ʱ ɐ ɾ i s u
ಧರ್ಮ	d̪ʱ ɐ ɾ m ɐ
ಧರ್ಮಾರ್ಥ	d̪ʱ ɐ ɾ m aː ɾ t̪ʰ ɐ
ಧಾತ್ರಿ	d̪ʱ aː t̪ ɾ i
ಧಾವಿಸು	d̪ʱ aː ʋ i s u
ಧಿಕ್ಕಾರ	d̪ʱ i k k aː ɾ ɐ
ಧ್ಯಾನ	d̪ʱ j aː n̪ ɐ
ಧ್ವಜ	d̪ʱ ʋ ɐ d͡ʒ ɐ
ಧ್ವನಿ	d̪ʱ ʋ ɐ n̪ i
ನಂಜು	n̪ ɐ ɲ d͡ʒ u
ನಂತರ	n̪ ɐ n̪ t̪ ɐ ɾ ɐ
ನಂಬಿಕೆ	n̪ ɐ m b i k e
ನಕ್ಷತ್ರ	n̪ ɐ k ʂ ɐ t̪ ɾ ɐ
ನಕ್ಷೆ	n̪ ɐ k ʂ e
ನಗರ	n̪ ɐ ɡ ɐ ɾ ɐ
ನಗು	n̪ ɐ ɡ u
ನಟ	n̪ ɐ ʈ ɐ
ನಟಿ	n̪ ɐ ʈ i
ನಡತೆ	n̪ ɐ ɖ ɐ t̪ e
ನಡುಗಡ್ಡೆ	n̪ ɐ ɖ u ɡ ɐ ɖ ɖ e
ನಡೆ	n̪ ɐ ɖ e
ನದಿ	n̪ ɐ d̪ i
ನನಸು	n̪ ɐ n̪ ɐ s u
ನನ್ನ	n̪ ɐ n̪ n̪ ɐ
ನನ್ನಿ	n̪ ɐ n̪ n̪ i
ನಪುಂಸಕ	n̪ ɐ p u m s ɐ k ɐ
ನಪುಂಸಕಲಿಂಗ	n̪ ɐ p u m s ɐ k ɐ l i ŋ ɡ ɐ
ನಮಸ್ಕಾರ	n̪ ɐ m ɐ s k aː ɾ ɐ
ನಮೂನೆ	n̪ ɐ m uː n̪ e
ನರ	n̪ ɐ ɾ ɐ
ನರಕ	n̪ ɐ ɾ ɐ k ɐ
ನರಿ	n̪ ɐ ɾ i
ನಲ್	n̪ ɐ l
ನವಿಲು	n̪ ɐ ʋ i l u
ನವೀಕರಣ	n̪ ɐ ʋ iː k ɐ ɾ ɐ ɳ ɐ
ನವೆಂಬರ್	n̪ ɐ ʋ e m b ɐ ɾ
ನಾಚಿಕೆ	n̪ aː t͡ʃ i k e
ನಾಟಕ	n̪ aː ʈ ɐ k ɐ
ನಾಡು	n̪ aː ɖ u
ನಾಣ್ಯ	n̪ aː ɳ j ɐ
ನಾತ	n̪ aː t̪ ɐ
ನಾನು	n̪ aː n̪ u
ನಾಮಪದ	n̪ aː m ɐ p ɐ d̪ ɐ
ನಾಯಿ	n̪ aː j i
ನಾರಾಯಣ	n̪ aː ɾ aː j ɐ ɳ ɐ
ನಾಲಗೆ	n̪ aː l ɐ ɡ e
ನಾಲಿಗೆ	n̪ aː l i ɡ e
ನಾಲ್ಕು	n̪ aː l k u
ನಾಳು	n̪ aː ɭ u
ನಾಳೆ	n̪ aː ɭ e
ನಾವು	n̪ aː ʋ u
ನಾಶ	n ɑː ʃ ɑ
ನಾಷ್ಟಾ	n̪ aː ʂ ʈ aː
ನಿಂಬೆ	n̪ i m b e
ನಿಘಂಟು	n̪ i ɡʱ ɐ ɳ ʈ u
ನಿಜ	n̪ i d͡ʒ ɐ
ನಿಜವಾಗಿ	n̪ i d͡ʒ ɐ ʋ aː ɡ i
ನಿಡು	n̪ i ɖ u
ನಿದ್ದೆ	n̪ i d̪ d̪ e
ನಿದ್ರೆ	n̪ i d̪ ɾ e
ನಿನ್ನ	n̪ i n̪ n̪ ɐ
ನಿಮಿಷ	n̪ i m i ʂ ɐ
ನಿಯಂತ್ರಿಸು	n̪ i j ɐ n̪ t̪ ɾ i s u
ನಿರಂತರ	n̪ i ɾ ɐ n̪ t̪ ɐ ɾ ɐ
ನಿಲ್ದಾಣ	n̪ i l d̪ aː ɳ ɐ
ನಿಲ್ಲು	n̪ i l l u
ನಿಶಾನೆ	n̪ i ʃ aː n̪ e
ನಿಶ್ಚಯ	n̪ i ʃ t͡ʃ ɐ j ɐ
ನಿಷೇಧ	n̪ i ʂ eː d̪ʱ ɐ
ನಿಸರ್ಗ	n̪ i s ɐ ɾ ɡ ɐ
ನೀಟು	n̪ iː ʈ u
ನೀನು	n̪ iː n̪ u
ನೀರು	n̪ iː ɾ u
ನೀಲಿ	n̪ iː l i
ನೀವು	n̪ iː ʋ u
ನುಡಿ	n̪ u ɖ i
ನುಡಿಗಟ್ಟು	n̪ u ɖ i ɡ ɐ ʈ ʈ u
ನುಣ್ಣಗೆ	n̪ u ɳ ɳ ɐ ɡ e
ನೂಕು	n̪ uː k u
ನೂರು	n̪ uː ɾ u
ನೂಲು	n̪ uː l u
ನೆತ್ತರು	n̪ e t̪ t̪ ɐ ɾ u
ನೆನಪು	n̪ e n̪ ɐ p u
ನೆಮ್ಮದಿ	n̪ e m m ɐ d̪ i
ನೆರಳು	n̪ e ɾ ɐ ɭ u
ನೆಲ	n̪ e l ɐ
ನೆಲಗುಳ್ಳ	n̪ e l ɐ ɡ u ɭ ɭ ɐ
ನೇಗಿಲು	n̪ eː ɡ i l u
ನೇಣು	n̪ eː ɳ u
ನೇರ	n̪ eː ɾ ɐ
ನೇಸರು	n̪ eː s ɐ ɾ u
ನೈಸರ್ಗಿಕ	n̪ ɐ i̯ s ɐ ɾ ɡ i k ɐ
ನೊಣ	n̪ o ɳ ɐ
ನೋಟ	n̪ oː ʈ ɐ
ನೋಡಿಕೊಳ್ಳು	n̪ oː ɖ i k o ɭ ɭ u
ನೋಡು	n̪ oː ɖ u
ನೋವು	n̪ oː ʋ u
ನೌಕರ	n̪ ɐ u̯ k ɐ ɾ ɐ
ನ್ಯೂನ	n̪ j uː n̪ ɐ
ಪಂಜಾಬ್	p ɐ ɲ d͡ʒ aː b
ಪಂಡಿತ	p ə ɳ ɖ i t̪ ɑ
ಪಂಣು	p ɐ ɳ ɳ u
ಪಕ್ಕ	p ɐ k k ɐ
ಪಕ್ಷಿ	p ɐ k ʂ i
ಪಚ್ಚೆ	p ɐ t͡ʃ t͡ʃ e
ಪಟೀರ	p ɐ ʈ iː ɾ ɐ
ಪಟ್ಟಡೆ	p ɐ ʈ ʈ ɐ ɖ e
ಪಟ್ಟಣ	p ɐ ʈ ʈ ɐ ɳ ɐ
ಪಡು	p ɐ ɖ u
ಪಣತಿ	p ɐ ɳ ɐ t̪ i
ಪತಿ	p ɐ t̪ i
ಪತ್ರ	p ɐ t̪ ɾ ɐ
ಪದ	p ɐ d̪ ɐ
ಪರಕೆ	p ɐ ɾ ɐ k e
ಪರಮಾಣು	p ɐ ɾ ɐ m aː ɳ u
ಪರವಾನಗಿ	p ɐ ɾ ɐ ʋ aː n̪ ɐ ɡ i
ಪರಶುರಾಮ	p ɐ ɾ ɐ ʃ u ɾ aː m ɐ
ಪರಿಣಾಮ	p ɐ ɾ i ɳ aː m ɐ
ಪರಿಮಳ	p ɐ ɾ i m ɐ ɭ ɐ
ಪರಿಶ್ರಮ	p ɐ ɾ i ʃ ɾ ɐ m ɐ
ಪರಿಹಾರ	p ɐ ɾ i h aː ɾ ɐ
ಪರೀಕ್ಷಿಸು	p ɐ ɾ iː k ʂ i s u
ಪರೀಕ್ಷೆ	p ɐ ɾ iː k ʂ e
ಪರ್ಣ	p a r ɳ a
