A	ʔ aː ˧˧
Trăm	ʈ a m ˧˧
Trưng	ʈ ɨ ŋ ˧˧
Trương	ʈ ɨ ə ŋ ˧˧
Trường	ʈ ɨ ə ŋ ˨˩
Trường Bộ	ʈ ɨ ə ŋ ˨˩ ʔ ɓ o w ˨˩˨
Trường Giang	ʈ ɨ ə ŋ ˨˩ j aː ŋ ˧˧
Trường Sa	ʈ ɨ ə ŋ ˨˩ s aː ˧˧
Trường Sa	ʈ ɨ ə ŋ ˨˩ ʂ aː ˧˧
Trường Sơn	ʈ ɨ ə ŋ ˨˩ s əː ŋ ˧˧
Trường Sơn	ʈ ɨ ə ŋ ˨˩ ʂ əː ŋ ˧˧
Trường Thành	ʈ ɨ ə ŋ ˨˩ tʰ a n ˨˩
Trường Thạnh	ʈ ɨ ə ŋ ˨˩ tʰ a n ˨˩˨
Trảng Bàng	ʈ aː ŋ ˨˩˦ ʔ ɓ aː ŋ ˨˩
Trấn Vũ	ʈ ə ŋ ˦˥ j ʊ w ˨˩˦
Trấn Vũ	ʈ ə ŋ ˦˥ v ʊ w ˨˩˦
Trầm	ʈ ə m ˨˩
Trần	ʈ ə ŋ ˨˩
Trần Thị B	ʈ ə ŋ ˨˩ tʰ ɪ j ˨˩˨ ʔ ɓ e j ˧˧
Trịnh	ʈ ɨ n ˨˩˨
Tua Rua	t u ə ˧˧ ɹ u ə ˧˧
Tung Của	t ʊ w ŋ͡m ˧˧ k u ə ˨˩˦
Tung Hoành gia	t ʊ w ŋ͡m ˧˧ w a n ˨˩ j aː ˧˧
Tuy Hoà	t ⁽ʷ ⁾ ɪ j ˧˧ w aː ˨˩
Tuyên Quang	t ⁽ʷ ⁾ i ə ŋ ˧˧ w aː ŋ ˧˧
Tuyết	t ⁽ʷ ⁾ i ə k̚ ˦˥
Tuyền Châu	t ⁽ʷ ⁾ i ə ŋ ˨˩ c ə w ˧˧
Tuấn	t ⁽ʷ ⁾ ə ŋ ˦˥
Tuất	t ⁽ʷ ⁾ ə k̚ ˦˥
Tuần Thánh	t ⁽ʷ ⁾ ə ŋ ˨˩ tʰ a n ˦˥
Tuệ	t ⁽ʷ ⁾ e j ˨˩˨
Tuỳ	t ⁽ʷ ⁾ ɪ j ˨˩
Tà Ôi	t aː ˨˩ ʔ o j ˧˧
Tài	t aː j ˨˩
Tào Tháo rượt	t aː w ˨˩ tʰ aː w ˦˥ ɹ ɨ ə k̚ ˨˩˨
Tàu	t a w ˨˩
Tàu	t aː w ˨˩
Tàu Chợ Lớn	t a w ˨˩ c əː ˨˩˨ l əː ŋ ˦˥
Tàu Chợ Lớn	t aː w ˨˩ c əː ˨˩˨ l əː ŋ ˦˥
Tày	t a j ˨˩
Tày	t aː j ˨˩
Tác ta	t aː k̚ ˦˥ t aː ˧˧
Táo	t aː w ˦˥
Táo quân	t aː w ˦˥ w ə ŋ ˧˧
Tâm	t ə m ˧˧
Tân	t ə ŋ ˧˧
Tân Bắc	t ə ŋ ˧˧ ʔ ɓ a k̚ ˦˥
Tân Cương	t ə ŋ ˧˧ k ɨ ə ŋ ˧˧
Tân Gia Ba	t ə ŋ ˧˧ j aː ˧˧ ʔ ɓ aː ˧˧
Tân Giới	t ə ŋ ˧˧ j əː j ˦˥
Tân La	t ə ŋ ˧˧ l aː ˧˧
Tân Thế Giới	t ə ŋ ˧˧ tʰ e j ˦˥ j əː j ˦˥
Tân Trúc	t ə ŋ ˧˧ ʈ ʊ w k͡p̚ ˦˥
Tân Tây Lan	t ə ŋ ˧˧ t ə j ˧˧ l aː ŋ ˧˧
Tân Đường thư	t ə ŋ ˧˧ ʔ ɗ ɨ ə ŋ ˨˩ tʰ ɨ ˧˧
Tân Đảo	t ə ŋ ˧˧ ʔ ɗ aː w ˨˩˦
Tân Ước	t ə ŋ ˧˧ ʔ ɨ ə k̚ ˦˥
Tây	t ə j ˧˧
Tây An	t ə j ˧˧ ʔ aː ŋ ˧˧
Tây Ban Nha	t ə j ˧˧ ʔ ɓ aː ŋ ˧˧ ɲ aː ˧˧
Tây Bá Lợi Á	t ə j ˧˧ ʔ ɓ aː ˦˥ l əː j ˨˩˨ ʔ aː ˦˥
Tây Bán cầu	t ə j ˧˧ ʔ ɓ aː ŋ ˦˥ k ə w ˨˩
Tây Bắc Bộ	t ə j ˧˧ ʔ ɓ a k̚ ˦˥ ʔ ɓ o w ˨˩˨
Tây Chu	t ə j ˧˧ c ʊ w ˧˧
Tây Cống	t ə j ˧˧ k ə w ŋ͡m ˦˥
Tây Hán	t ə j ˧˧ h aː ŋ ˦˥
Tây Hạ	t ə j ˧˧ h aː ˨˩˨
Tây Hồi	t ə j ˧˧ h o j ˨˩
Tây Liêu	t ə j ˧˧ l i w ˧˧
Tây Nam Bộ	t ə j ˧˧ n aː m ˧˧ ʔ ɓ o w ˨˩˨
Tây Nguyên	t ə j ˧˧ ŋ w i ə ŋ ˧˧
Tây Nguỵ	t ə j ˧˧ ŋ w ɪ j ˨˩˨
Tây Ninh	t ə j ˧˧ n ɨ n ˧˧
Tây Phi	t ə j ˧˧ f ɪ j ˧˧
Tây Sơn	t ə j ˧˧ s əː ŋ ˧˧
Tây Sơn	t ə j ˧˧ ʂ əː ŋ ˧˧
Tây Tạng	t ə j ˧˧ t aː ŋ ˨˩˨
Tây Tấn	t ə j ˧˧ t ə ŋ ˦˥
Tây Vương Mẫu	t ə j ˧˧ j ɨ ə ŋ ˧˧ m ə w ˨˩˦
Tây Vương Mẫu	t ə j ˧˧ v ɨ ə ŋ ˧˧ m ə w ˨˩˦
Tây ba lô	t ə j ˧˧ ʔ ɓ aː ˧˧ l o w ˧˧
Tây du kí	t ə j ˧˧ j ʊ w ˧˧ k ɪ j ˦˥
Tây hoá	t ə j ˧˧ w aː ˦˥
Tây lông	t ə j ˧˧ l ə w ŋ͡m ˧˧
Tây lịch	t ə j ˧˧ l ɨ t̚ ˨˩˨
Tây lịch kỉ nguyên	t ə j ˧˧ l ɨ t̚ ˨˩˨ k ɪ j ˨˩˦ ŋ w i ə ŋ ˧˧
Tây y	t ə j ˧˧ ʔ ɪ j ˧˧
Tây Á	t ə j ˧˧ ʔ aː ˦˥
Tây Âu	t ə j ˧˧ ʔ ə w ˧˧
Tây Úc	t ə j ˧˧ ʔ ʊ w k͡p̚ ˦˥
Tây Đức	t ə j ˧˧ ʔ ɗ ɨ k̚ ˦˥
Tây Ấn	t ə j ˧˧ ʔ ə ŋ ˦˥
Tèo	t ɛ w ˨˩
Têhêrăng	t e j ˧˧ h e j ˧˧ ɹ a ŋ ˧˧
Têrêsa	t e j ˧˧ ɹ e j ˧˧ s aː ˧˧
Tí	t ɪ j ˦˥
Tích Lan	t ɨ t̚ ˦˥ l aː ŋ ˧˧
Tô	t o w ˧˧
Tô Châu	t o w ˧˧ c ə w ˧˧
Tô Cách Lan	t o w ˧˧ k a t̚ ˦˥ l aː ŋ ˧˧
Tô Lịch	t o w ˧˧ l ɨ t̚ ˨˩˨
Tôn	t o ŋ ˧˧
Tôn Ngộ Không	t o ŋ ˧˧ ŋ o w ˨˩˨ kʰ ə w ŋ͡m ˧˧
Tôn Nữ	t o ŋ ˧˧ n ɨ ˨˩˦
Tôn Thất	t o ŋ ˧˧ tʰ ə k̚ ˦˥
Tôn Tử	t o ŋ ˧˧ t ɨ ˨˩˦
Tùng	t ʊ w ŋ͡m ˨˩
Tú	t ʊ w ˦˥
Tún	t ʊ w ŋ͡m ˦˥
Tăng	t a ŋ ˧˧
Tĩnh	t ɨ n ˨˩˦
Tưởng	t ɨ ə ŋ ˨˩˦
Tượng Nữ thần Tự do	t ɨ ə ŋ ˨˩˨ n ɨ ˨˩˦ tʰ ə ŋ ˨˩ t ɨ ˨˩˨ j ɔ ˧˧
Tạ	t aː ˨˩˨
Tạng	t aː ŋ ˨˩˨
Tạng kinh	t aː ŋ ˨˩˨ k ɨ n ˧˧
Tản Viên Sơn Thánh	t aː ŋ ˨˩˦ j i ə ŋ ˧˧ s əː ŋ ˧˧ tʰ a n ˦˥
Tản Viên Sơn Thánh	t aː ŋ ˨˩˦ v i ə ŋ ˧˧ ʂ əː ŋ ˧˧ tʰ a n ˦˥
Tấn	t ə ŋ ˦˥
Tấn Giang	t ə ŋ ˦˥ j aː ŋ ˧˧
Tất	t ə k̚ ˦˥
Tần	t ə ŋ ˨˩
Tần triều	t ə ŋ ˨˩ ʈ i w ˨˩
Tết	t əː t̚ ˦˥
Tết Dương lịch	t əː t̚ ˦˥ j ɨ ə ŋ ˧˧ l ɨ t̚ ˨˩˨
Tết Nguyên Tiêu	t əː t̚ ˦˥ ŋ w i ə ŋ ˧˧ t i w ˧˧
Tết Nguyên Đán	t əː t̚ ˦˥ ŋ w i ə ŋ ˧˧ ʔ ɗ aː ŋ ˦˥
Tết Thanh minh	t əː t̚ ˦˥ tʰ a n ˧˧ m ɨ n ˧˧
Tết Trung thu	t əː t̚ ˦˥ ʈ ʊ w ŋ͡m ˧˧ tʰ ʊ w ˧˧
Tết Tây	t əː t̚ ˦˥ t ə j ˧˧
Tết dương lịch	t əː t̚ ˦˥ j ɨ ə ŋ ˧˧ l ɨ t̚ ˨˩˨
Tết Âm lịch	t əː t̚ ˦˥ ʔ ə m ˧˧ l ɨ t̚ ˨˩˨
Tết âm lịch	t əː t̚ ˦˥ ʔ ə m ˧˧ l ɨ t̚ ˨˩˨
Tết Đoan Ngọ	t əː t̚ ˦˥ ʔ ɗ w aː ŋ ˧˧ ŋ ɔ ˨˩˨
Tết Độc lập	t əː t̚ ˦˥ ʔ ɗ ə w k͡p̚ ˨˩˨ l ə p̚ ˨˩˨
Tề	t e j ˨˩
Tề Thiên Đại Thánh	t e j ˨˩ tʰ i ə ŋ ˧˧ ʔ ɗ aː j ˨˩˨ tʰ a n ˦˥
Tị	t ɪ j ˨˩˨
Tịnh độ tông	t ɨ n ˨˩˨ ʔ ɗ o w ˨˩˨ t ə w ŋ͡m ˧˧
Tống	t ə w ŋ͡m ˦˥
Tống triều	t ə w ŋ͡m ˦˥ ʈ i w ˨˩
Tốt	t o k̚ ˦˥
Tổ chức Thương mại Thế giới	t o w ˨˩˦ c ɨ k̚ ˦˥ tʰ ɨ ə ŋ ˧˧ m aː j ˨˩˨ tʰ e j ˦˥ j əː j ˦˥
Tổ chức Y tế Thế giới	t o w ˨˩˦ c ɨ k̚ ˦˥ ʔ ɪ j ˧˧ t e j ˦˥ tʰ e j ˦˥ j əː j ˦˥
Tứ Hải	t ɨ ˦˥ h aː j ˨˩˦
Tứ Linh	t ɨ ˦˥ l ɨ n ˧˧
Tứ Pháp	t ɨ ˦˥ f aː p̚ ˦˥
Tứ Phủ	t ɨ ˦˥ f ʊ w ˨˩˦
Tứ Xuyên	t ɨ ˦˥ s ⁽ʷ ⁾ i ə ŋ ˧˧
Tứ bất tử	t ɨ ˦˥ ʔ ɓ ə k̚ ˦˥ t ɨ ˨˩˦
Tứ thư	t ɨ ˦˥ tʰ ɨ ˧˧
Tứ thư Ngũ kinh	t ɨ ˦˥ tʰ ɨ ˧˧ ŋ ʊ w ˨˩˦ k ɨ n ˧˧
Tứ đại danh tác	t ɨ ˦˥ ʔ ɗ aː j ˨˩˨ j a n ˧˧ t aː k̚ ˦˥
Tử Cấm Thành	t ɨ ˨˩˦ k ə m ˦˥ tʰ a n ˨˩
Tự học toản yếu	t ɨ ˨˩˨ h a w k͡p̚ ˨˩˨ t ⁽ʷ ⁾ aː ŋ ˨˩˦ ʔ i w ˦˥
U	ʔ ʊ w ˧˧
U Cà	ʔ ʊ w ˧˧ k aː ˨˩
U Minh	ʔ ʊ w ˧˧ m ɨ n ˧˧
Urbanô	w əː ˧˧ ʔ ɓ aː ŋ ˧˧ n o w ˧˧
Urbanô	ʔ w əː ˧˧ ʔ ɓ aː ŋ ˧˧ n o w ˧˧
Uy Kiên	w ɪ j ˧˧ k i ə ŋ ˧˧
Uy Kiên	ʔ w ɪ j ˧˧ k i ə ŋ ˧˧
Uyên	w i ə ŋ ˧˧
Uyên	ʔ w i ə ŋ ˧˧
Uên	w əː n ˧˧
Uên	ʔ w əː n ˧˧
Uông	ʔ u ə ŋ ˧˧
Uông Bí	ʔ u ə ŋ ˧˧ ʔ ɓ ɪ j ˦˥
Uỷ ban Thường vụ Quốc hội	w ɪ j ˨˩˦ ʔ ɓ aː ŋ ˧˧ tʰ ɨ ə ŋ ˨˩ j ʊ w ˨˩˨ w ə k̚ ˦˥ h o j ˨˩˨
Uỷ ban Thường vụ Quốc hội	w ɪ j ˨˩˦ ʔ ɓ aː ŋ ˧˧ tʰ ɨ ə ŋ ˨˩ v ʊ w ˨˩˨ w ə k̚ ˦˥ h o j ˨˩˨
Uỷ ban Thường vụ Quốc hội	ʔ w ɪ j ˨˩˦ ʔ ɓ aː ŋ ˧˧ tʰ ɨ ə ŋ ˨˩ j ʊ w ˨˩˨ w ə k̚ ˦˥ h o j ˨˩˨
Uỷ ban Thường vụ Quốc hội	ʔ w ɪ j ˨˩˦ ʔ ɓ aː ŋ ˧˧ tʰ ɨ ə ŋ ˨˩ v ʊ w ˨˩˨ w ə k̚ ˦˥ h o j ˨˩˨
V	j e j ˧˧
V	j əː ˨˩
V	v e j ˧˧
V	v əː ˨˩
VNCH	j i ə k̚ ˨˩˨ n aː m ˧˧ k ə w ŋ͡m ˨˩˨ w aː ˨˩
VNCH	v i ə k̚ ˨˩˨ n aː m ˧˧ k ə w ŋ͡m ˨˩˨ w aː ˨˩
VOA	j w aː ˧˧
VOA	v w aː ˧˧
Va Ti Căng	j aː ˧˧ t ɪ j ˧˧ k a ŋ ˧˧
Va Ti Căng	v aː ˧˧ t ɪ j ˧˧ k a ŋ ˧˧
Va linh tinh	j aː ˧˧ l ɨ n ˧˧ t ɨ n ˧˧
Va linh tinh	v aː ˧˧ l ɨ n ˧˧ t ɨ n ˧˧
Valentinô	j aː ˧˧ l ɛ ŋ ˧˧ t ɨ n ˧˧ n o w ˧˧
Valentinô	v aː ˧˧ l ɛ ŋ ˧˧ t ɨ n ˧˧ n o w ˧˧
Victor	j ɨ t̚ ˦˥ t ɔ ˧˧
Victor	v ɨ t̚ ˦˥ t ɔ ˧˧
Vinahouse	j ɪ j ˧˧ n aː ˧˧ h aː w ˧˧
Vinahouse	v ɪ j ˧˧ n aː ˧˧ h aː w ˧˧
Vinh	j ɨ n ˧˧
Vinh	v ɨ n ˧˧
Vinh Sơn	j ɨ n ˧˧ s əː ŋ ˧˧
Vinh Sơn	v ɨ n ˧˧ ʂ əː ŋ ˧˧
Viêm Đế	j i m ˧˧ ʔ ɗ e j ˦˥
Viêm Đế	v i m ˧˧ ʔ ɗ e j ˦˥
Viên	j i ə ŋ ˧˧
Viên	v i ə ŋ ˧˧
Viêng Chăn	j i ə ŋ ˧˧ c a ŋ ˧˧
Viêng Chăn	v i ə ŋ ˧˧ c a ŋ ˧˧
Viễn Tây	j i ə ŋ ˨˩˦ t ə j ˧˧
Viễn Tây	v i ə ŋ ˨˩˦ t ə j ˧˧
Viễn Đông	j i ə ŋ ˨˩˦ ʔ ɗ ə w ŋ͡m ˧˧
Viễn Đông	v i ə ŋ ˨˩˦ ʔ ɗ ə w ŋ͡m ˧˧
Viện kiểm sát nhân dân	j i ə ŋ ˨˩˨ k i m ˨˩˦ s aː k̚ ˦˥ ɲ ə ŋ ˧˧ j ə ŋ ˧˧
Viện kiểm sát nhân dân	v i ə ŋ ˨˩˨ k i m ˨˩˦ ʂ aː k̚ ˦˥ ɲ ə ŋ ˧˧ j ə ŋ ˧˧
Việt	j i ə k̚ ˨˩˨
Việt	v i ə k̚ ˨˩˨
Việt Cộng	j i ə k̚ ˨˩˨ k ə w ŋ͡m ˨˩˨
Việt Cộng	v i ə k̚ ˨˩˨ k ə w ŋ͡m ˨˩˨
Việt Minh	j i ə k̚ ˨˩˨ m ɨ n ˧˧
Việt Minh	v i ə k̚ ˨˩˨ m ɨ n ˧˧
Việt Nam	j i ə k̚ ˨˩˨ n aː m ˧˧
Việt Nam	v i ə k̚ ˨˩˨ n aː m ˧˧
Việt Nam Cộng hoà	j i ə k̚ ˨˩˨ n aː m ˧˧ k ə w ŋ͡m ˨˩˨ w aː ˨˩
Việt Nam Cộng hoà	v i ə k̚ ˨˩˨ n aː m ˧˧ k ə w ŋ͡m ˨˩˨ w aː ˨˩
Việt Nam Dân chủ Cộng hoà	j i ə k̚ ˨˩˨ n aː m ˧˧ j ə ŋ ˧˧ c ʊ w ˨˩˦ k ə w ŋ͡m ˨˩˨ w aː ˨˩
Việt Nam Dân chủ Cộng hoà	v i ə k̚ ˨˩˨ n aː m ˧˧ j ə ŋ ˧˧ c ʊ w ˨˩˦ k ə w ŋ͡m ˨˩˨ w aː ˨˩
Việt Nam hoá	j i ə k̚ ˨˩˨ n aː m ˧˧ w aː ˦˥
Việt Nam hoá	v i ə k̚ ˨˩˨ n aː m ˧˧ w aː ˦˥
Việt Nam học	j i ə k̚ ˨˩˨ n aː m ˧˧ h a w k͡p̚ ˨˩˨
Việt Nam học	v i ə k̚ ˨˩˨ n aː m ˧˧ h a w k͡p̚ ˨˩˨
Việt Tân	j i ə k̚ ˨˩˨ t ə ŋ ˧˧
Việt Tân	v i ə k̚ ˨˩˨ t ə ŋ ˧˧
Việt Võ Đạo	j i ə k̚ ˨˩˨ j ɔ ˨˩˦ ʔ ɗ aː w ˨˩˨
Việt Võ Đạo	v i ə k̚ ˨˩˨ v ɔ ˨˩˦ ʔ ɗ aː w ˨˩˨
Việt bính	j i ə k̚ ˨˩˨ ʔ ɓ ɨ n ˦˥
Việt bính	v i ə k̚ ˨˩˨ ʔ ɓ ɨ n ˦˥
Việt gian	j i ə k̚ ˨˩˨ j aː ŋ ˧˧
Việt gian	v i ə k̚ ˨˩˨ j aː ŋ ˧˧
Việt kiều	j i ə k̚ ˨˩˨ k i w ˨˩
Việt kiều	v i ə k̚ ˨˩˨ k i w ˨˩
Việt ngữ	j i ə k̚ ˨˩˨ ŋ ɨ ˨˩˦
Việt ngữ	v i ə k̚ ˨˩˨ ŋ ɨ ˨˩˦
Việt ngữ học	j i ə k̚ ˨˩˨ ŋ ɨ ˨˩˦ h a w k͡p̚ ˨˩˨
Việt ngữ học	v i ə k̚ ˨˩˨ ŋ ɨ ˨˩˦ h a w k͡p̚ ˨˩˨
Việt phục	j i ə k̚ ˨˩˨ f ʊ w k͡p̚ ˨˩˨
Việt phục	v i ə k̚ ˨˩˨ f ʊ w k͡p̚ ˨˩˨
Vovinam	j o w ˧˧ j ɪ j ˧˧ n aː m ˧˧
Vovinam	j ɔ ˧˧ j ɪ j ˧˧ n aː m ˧˧
Vovinam	v o w ˧˧ v ɪ j ˧˧ n aː m ˧˧
Vovinam	v ɔ ˧˧ v ɪ j ˧˧ n aː m ˧˧
Voòng	j ɔ ŋ ˨˩
Voòng	v ɔ ŋ ˨˩
Vu Gia	j ʊ w ˧˧ j aː ˧˧
Vu Gia	v ʊ w ˧˧ j aː ˧˧
Vu Lan	j ʊ w ˧˧ l aː ŋ ˧˧
Vu Lan	v ʊ w ˧˧ l aː ŋ ˧˧
Vua Tin Vịt	j u ə ˧˧ t ɨ n ˧˧ j ɨ t̚ ˨˩˨
Vua Tin Vịt	v u ə ˧˧ t ɨ n ˧˧ v ɨ t̚ ˨˩˨
Vui	j u j ˧˧
Vui	v u j ˧˧
Vy	j ɪ j ˧˧
Vy	v ɪ j ˧˧
Vân	j ə ŋ ˧˧
Vân	v ə ŋ ˧˧
Vân Lâm	j ə ŋ ˧˧ l ə m ˧˧
Vân Lâm	v ə ŋ ˧˧ l ə m ˧˧
Vân Nam	j ə ŋ ˧˧ n aː m ˧˧
Vân Nam	v ə ŋ ˧˧ n aː m ˧˧
Vân Đồn	j ə ŋ ˧˧ ʔ ɗ o ŋ ˨˩
Vân Đồn	v ə ŋ ˧˧ ʔ ɗ o ŋ ˨˩
Võ	j ɔ ˨˩˦
Võ	v ɔ ˨˩˦
Văn	j a ŋ ˧˧
Văn	v a ŋ ˧˧
Văn Chương	j a ŋ ˧˧ c ɨ ə ŋ ˧˧
Văn Chương	v a ŋ ˧˧ c ɨ ə ŋ ˧˧
Văn Hoá	j a ŋ ˧˧ w aː ˦˥
Văn Hoá	v a ŋ ˧˧ w aː ˦˥
Văn Học	j a ŋ ˧˧ h a w k͡p̚ ˨˩˨
Văn Học	v a ŋ ˧˧ h a w k͡p̚ ˨˩˨
Văn Lang	j a ŋ ˧˧ l aː ŋ ˧˧
Văn Lang	v a ŋ ˧˧ l aː ŋ ˧˧
Văn Lãng	j a ŋ ˧˧ l aː ŋ ˨˩˦
Văn Lãng	v a ŋ ˧˧ l aː ŋ ˨˩˦
Văn Minh	j a ŋ ˧˧ m ɨ n ˧˧
Văn Minh	v a ŋ ˧˧ m ɨ n ˧˧
Văn Phong	j a ŋ ˧˧ f a w ŋ͡m ˧˧
Văn Phong	v a ŋ ˧˧ f a w ŋ͡m ˧˧
Vĩ	j ɪ j ˨˩˦
Vĩ	v ɪ j ˨˩˦
Vĩnh Long	j ɨ n ˨˩˦ l a w ŋ͡m ˧˧
Vĩnh Long	v ɨ n ˨˩˦ l a w ŋ͡m ˧˧
Vĩnh Nguơn	j ɨ n ˨˩˦ ŋ w əː ŋ ˧˧
Vĩnh Nguơn	v ɨ n ˨˩˦ ŋ w əː ŋ ˧˧
Vĩnh Ngươn	j ɨ n ˨˩˦ ŋ ɨ ə ŋ ˧˧
Vĩnh Ngươn	v ɨ n ˨˩˦ ŋ ɨ ə ŋ ˧˧
Vĩnh Phúc	j ɨ n ˨˩˦ f ʊ w k͡p̚ ˦˥
Vĩnh Phúc	v ɨ n ˨˩˦ f ʊ w k͡p̚ ˦˥
Vĩnh Điện	j ɨ n ˨˩˦ ʔ ɗ i ə ŋ ˨˩˨
Vĩnh Điện	v ɨ n ˨˩˦ ʔ ɗ i ə ŋ ˨˩˨
Vũ	j ʊ w ˨˩˦
Vũ	v ʊ w ˨˩˦
Vũ Hán	j ʊ w ˨˩˦ h aː ŋ ˦˥
Vũ Hán	v ʊ w ˨˩˦ h aː ŋ ˦˥
Vũ Quang	j ʊ w ˨˩˦ w aː ŋ ˧˧
Vũ Quang	v ʊ w ˨˩˦ w aː ŋ ˧˧
Vũng Tàu	j ʊ w ŋ͡m ˨˩˦ t a w ˨˩
Vũng Tàu	j ʊ w ŋ͡m ˨˩˦ t aː w ˨˩
Vũng Tàu	v ʊ w ŋ͡m ˨˩˦ t a w ˨˩
Vũng Tàu	v ʊ w ŋ͡m ˨˩˦ t aː w ˨˩
Vưu	j ɨ w ˧˧
Vưu	v ɨ w ˧˧
Vương	j ɨ ə ŋ ˧˧
Vương	v ɨ ə ŋ ˧˧
Vương Hãn	j ɨ ə ŋ ˧˧ h aː ŋ ˨˩˦
Vương Hãn	v ɨ ə ŋ ˧˧ h aː ŋ ˨˩˦
Vương quốc Anh	j ɨ ə ŋ ˧˧ w ə k̚ ˦˥ ʔ a n ˧˧
Vương quốc Anh	v ɨ ə ŋ ˧˧ w ə k̚ ˦˥ ʔ a n ˧˧
Vương quốc Na Uy	j ɨ ə ŋ ˧˧ w ə k̚ ˦˥ n aː ˧˧ w ɪ j ˧˧
Vương quốc Na Uy	j ɨ ə ŋ ˧˧ w ə k̚ ˦˥ n aː ˧˧ ʔ w ɪ j ˧˧
Vương quốc Na Uy	v ɨ ə ŋ ˧˧ w ə k̚ ˦˥ n aː ˧˧ w ɪ j ˧˧
Vương quốc Na Uy	v ɨ ə ŋ ˧˧ w ə k̚ ˦˥ n aː ˧˧ ʔ w ɪ j ˧˧
Vương quốc Thái Lan	j ɨ ə ŋ ˧˧ w ə k̚ ˦˥ tʰ aː j ˦˥ l aː ŋ ˧˧
Vương quốc Thái Lan	v ɨ ə ŋ ˧˧ w ə k̚ ˦˥ tʰ aː j ˦˥ l aː ŋ ˧˧
Vương quốc Tây Ban Nha	j ɨ ə ŋ ˧˧ w ə k̚ ˦˥ t ə j ˧˧ ʔ ɓ aː ŋ ˧˧ ɲ aː ˧˧
Vương quốc Tây Ban Nha	v ɨ ə ŋ ˧˧ w ə k̚ ˦˥ t ə j ˧˧ ʔ ɓ aː ŋ ˧˧ ɲ aː ˧˧
Vượng	j ɨ ə ŋ ˨˩˨
Vượng	v ɨ ə ŋ ˨˩˨
Vạn Lí Trường Thành	j aː ŋ ˨˩˨ l ɪ j ˦˥ ʈ ɨ ə ŋ ˨˩ tʰ a n ˨˩
Vạn Lí Trường Thành	v aː ŋ ˨˩˨ l ɪ j ˦˥ ʈ ɨ ə ŋ ˨˩ tʰ a n ˨˩
Vạn Thọ	j aː ŋ ˨˩˨ tʰ ɔ ˨˩˨
Vạn Thọ	v aː ŋ ˨˩˨ tʰ ɔ ˨˩˨
Vạn Tượng	j aː ŋ ˨˩˨ t ɨ ə ŋ ˨˩˨
Vạn Tượng	v aː ŋ ˨˩˨ t ɨ ə ŋ ˨˩˨
Vạn diệp tập	j aː ŋ ˨˩˨ j i p̚ ˨˩˨ t ə p̚ ˨˩˨
Vạn diệp tập	v aː ŋ ˨˩˨ j i p̚ ˨˩˨ t ə p̚ ˨˩˨
Vẹc Sai	j ɛ k̚ ˨˩˨ s aː j ˧˧
Vẹc Sai	v ɛ k̚ ˨˩˨ ʂ aː j ˧˧
Vịnh Ba Tư	j ɨ n ˨˩˨ ʔ ɓ aː ˧˧ t ɨ ˧˧
Vịnh Ba Tư	v ɨ n ˨˩˨ ʔ ɓ aː ˧˧ t ɨ ˧˧
Vịnh Xuân quyền	j ɨ n ˨˩˨ s ⁽ʷ ⁾ ə ŋ ˧˧ w i ə ŋ ˨˩
Vịnh Xuân quyền	v ɨ n ˨˩˨ s ⁽ʷ ⁾ ə ŋ ˧˧ w i ə ŋ ˨˩
Vọng Các	j a w ŋ͡m ˨˩˨ k aː k̚ ˦˥
Vọng Các	v a w ŋ͡m ˨˩˨ k aː k̚ ˦˥
Vụ Nổ Lớn	j ʊ w ˨˩˨ n o w ˨˩˦ l əː ŋ ˦˥
Vụ Nổ Lớn	v ʊ w ˨˩˨ n o w ˨˩˦ l əː ŋ ˦˥
X	s əː ˨˩
X	s əː ˨˩ ɲ ɛ ˨˩˨
X	ʔ ɨ t̚ ˦˥
X	ʔ ɨ t̚ ˦˥ s ɪ j ˨˩
X quang	ʔ ɨ t̚ ˦˥ s ɪ j ˨˩ w aː ŋ ˧˧
X quang	ʔ ɨ t̚ ˦˥ w aː ŋ ˧˧
Xanh	s a n ˧˧
Xaviê	s aː ˧˧ j ɪ j ˧˧ ʔ e j ˧˧
Xaviê	s aː ˧˧ v ɪ j ˧˧ ʔ e j ˧˧
Xi Vưu	s ɪ j ˧˧ j ɨ w ˧˧
Xi Vưu	s ɪ j ˧˧ v ɨ w ˧˧
Xinh Mun	s ɨ n ˧˧ m ʊ w ŋ͡m ˧˧
Xiêm	s i m ˧˧
Xiêm La	s i m ˧˧ l aː ˧˧
Xiêm Riệp	s i m ˧˧ ɹ i p̚ ˨˩˨
Xiêng Khoảng	s i ə ŋ ˧˧ kʰ w aː ŋ ˨˩˦
Xoài Riêng	s ⁽ʷ ⁾ aː j ˨˩ ɹ i ə ŋ ˧˧
Xtiêng	s t i ə ŋ ˧˧
Xuyên	s ⁽ʷ ⁾ i ə ŋ ˧˧
Xuân	s ⁽ʷ ⁾ ə ŋ ˧˧
Xuân Thu	s ⁽ʷ ⁾ ə ŋ ˧˧ tʰ ʊ w ˧˧
Xuất hành	s ⁽ʷ ⁾ ə k̚ ˦˥ h a n ˨˩
Xá Lợi Phất	s aː ˦˥ l əː j ˨˩˨ f ə k̚ ˦˥
Xích Kim	s ɨ t̚ ˦˥ k i m ˧˧
