A	aː
Spul	ʃ p uː l
Spule	ʃ p uː l ə
Staab	ʃ t ɔː p
Staal	ʃ t ɔː l
Staat	ʃ t ɔː t
Staate	ʃ t ɔː t ə
Stachel	ʃ t a x l̩
Stall	ʃ t a l
Stamm	ʃ t a m
Stamper	ʃ t a m p ɐ
Stang	ʃ t a ŋ
Stange	ʃ t a ŋ ə
Stanze	ʃ t a n t͡s ə
Statt	ʃ t a t
Steck	ʃ t e k
Steel	ʃ t eː l
Steen	ʃ t eː n
Steier	ʃ t a ɪ̯ ɐ
Stell	ʃ t e l
Stempel	ʃ t ɛ m p l̩
Stengel	ʃ t ɛ ŋ l̩
Stern	ʃ t ɛ n
Sterne	ʃ t ɛ n ə
Sterz	ʃ t ɛ t͡s
Stett	ʃ t e t
Stetter	ʃ t e t ɐ
Stich	ʃ t i ç
Stick	ʃ t i k
Sticker	ʃ t i k ɐ
Stiefbruder	ʃ t iː f p r uː r ɐ
Stiefkind	ʃ t iː f kʰ i n t
Stiefmutter	ʃ t iː f m u t ɐ
Stiefsohn	ʃ t iː f s oː n
Stiel	ʃ t iː l
Stier	ʃ t iː ɐ
Stift	ʃ t i f t
Stihl	ʃ t iː l
Stimme	ʃ t i m ə
Stinkdier	ʃ t i ŋ k t iː ɐ
Stock	ʃ t o k
Stolper	ʃ t o l p ɐ
Storz	ʃ t ɔ t͡s
Strauch	ʃ t r a ʊ̯ ç
Straus	ʃ t r a ʊ̯ s
Streck	ʃ t r e k
Strecke	ʃ t r e k ə
Streicher	ʃ t r a ɪ̯ ç ɐ
Streife	ʃ t r a ɪ̯ f ə
Strem	ʃ t r eː m
Strich	ʃ t r i ç
Strick	ʃ t r i k
Strimp	ʃ t r i m p
Strof	ʃ t r oː f
Strofe	ʃ t r o f ə
Stroh	ʃ t r oː
Strom	ʃ t r oː m
Stros	ʃ t r oː s
Stross	ʃ t r o s
Strump	ʃ t r u m p
Struz	ʃ t r uː t͡s
Studente	ʃ t u t ɛ n t ə
Stuhl	ʃ t uː l
Sump	s u m p
Sunn	s u n
Supp	s u p
Suppe	s u p ə
Talent	tʰ a l ɛ n t
Tamburin	tʰ a m p u r iː n
Tante	tʰ a n t ə
Tappes	tʰ a p ə s
Tasch	tʰ a ʃ
Tasche	tʰ a ʃ ə
Tass	tʰ a s
Tasse	tʰ a s ə
Tausendfus	tʰ a ʊ̯ s n̩ t f uː s
Taxi	tʰ a k s i
Taxis	tʰ a k s i s
Tee	tʰ eː
Teekann	tʰ eː kʰ a n
Teekanne	tʰ eː kʰ a n ə
Tema	tʰ eː m a
Teme	tʰ eː m ə
Tempel	tʰ ɛ m p l̩
Terrenos	tʰ e r eː n o s
Text	tʰ e k s t
Texte	tʰ e k s t ə
Tint	tʰ i n t
Tinte	tʰ i n t ə
Tomatt	tʰ o m a t
Torte	tʰ ɔ t ə
Traira	t r a iː r a
Traire	t r a iː r ə
Traub	t r a ʊ̯ p
Treppe	t r e p ə
Tritt	t r i t
Troost	t r oː ʃ t
Trupp	t r u p
Truppe	t r u p ə
Tumor	tʰ u m oː r
Tëlevisong	t h e l ə v i s ɔ ŋ
Uersach	uː ɐ s a x
Uerwald	uː ɐ v a l t
Uher	uː ɐ
Uherzeid	uː ɐ t͡s a ɪ̯ t
Unfall	u n f a l
Unglick	u n k l i c k
Unschuld	u n ʃ u l t
Urin	u r iː n
Vaas	v ɔː s
Vasos	v aː s o s
Violin	v i o l iː n
Violine	v i o l iː n ə
Waal	v ɔː l
Waan	v ɔː n
Waar	v ɔː
Wach	v a x
Wache	v a x ə
Wachs	v a k s
Waff	v a f
Waffe	v a f ə
Waffle	v a f l ə
Walse	v a l s ə
Wand	v a n t
Wasser	v a s ɐ
Watt	v a t
Watte	v a t ə
Weck	v e k
Wecker	v e k ɐ
Ween	v eː n
Weert	v eː ɐ t
Weh	v eː
Weib	v a ɪ̯ p
Weid	v a ɪ̯ t
Wein	v a ɪ̯ n
Weine	v a ɪ̯ n ə
Weinflasche	v a ɪ̯ n f l a ʃ ə
Weis	v a ɪ̯ s
Weisbrod	v a ɪ̯ s p r oː t
Weize	v a ɪ̯ t͡s ə
Well	v e l
Welle	v e l ə
Wellef	v e l ə f
Welt	v e l t
Welte	v e l t ə
Wend	v e n t
Werklichkeet	v e r k l i ç kʰ eː t
Werst	v ɛ ʃ t
Werter	v ɛ t ɐ
Wesch	v e ʃ
Wesche	v e ʃ ə
Wespe	v e ʃ p ə
Weste	v e ʃ t ə
Wette	v e t ə
Wetter	v e t ɐ
Wever	v eː v ɐ
Wichs	v i k s
Wicke	v i k ə
Wille	v i l ə
Wimper	v i m p ɐ
Wind	v i n t
Windmihl	v i n t m iː l
Winter	v i n t ɐ
Witz	v i t͡s
Woche	v o x ə
Wochenn	v o x ɛ n
Woherheet	v oː ɐ h eː t
Woherheit	v oː ɐ h a ɪ̯ t
Woll	v o l
Wolle	v o l ə
Wollef	v o l ə f
Wollek	v o l k
Worst	v ɔ ʃ t
Wort	v ɔ t
Worte	v ɔ t ə
Wortschatz	v ɔ t ʃ a t͡s
Wuchs	v u k s
Wund	v u n t
Wunner	v u n ɐ
Wunsch	v u n ʃ
Wut	v uː t
Wutz	v u t͡s
Wutze	v u t͡s ə
Zaal	t͡s ɔː l
Zaan	t͡s ɔː n
Zang	t͡s a ŋ
Zange	t͡s a ŋ ə
Zaum	t͡s a ʊ̯ m
Zaun	t͡s a ʊ̯ n
Zebra	t͡s eː p r a
Zebras	t͡s eː p r a s
Zecke	t͡s e k ə
Zeen	t͡s eː n
Zeh	t͡s eː
Zehe	t͡s eː ə
Zeich	t͡s a ɪ̯ ç
Zeichnung	t͡s a ɪ̯ ç n u ŋ
Zeid	t͡s a ɪ̯ t
Zein	t͡s a ɪ̯ n
Zentrum	t͡s ɛ n t r u m
Zepp	t͡s e p
Zettel	t͡s e t l̩
Ziel	t͡s iː l
Zimmer	t͡s i m ɐ
Zimmermann	t͡s i m ɐ m a n
Zimmet	t͡s i m ə t
Zink	t͡s i ŋ k
Zinn	t͡s i n
Zins	t͡s i n s
Zinse	t͡s i n s ə
Zipp	t͡s i p
Zippe	t͡s i p ə
Zitron	t͡s i t r oː n
Zitrone	t͡s i t r oː n ə
Zopp	t͡s o p
Zucker	t͡s u k ɐ
Zung	t͡s u ŋ
Zunge	t͡s u ŋ ə
Zweck	t͡s v e k
Zweifel	t͡s v a ɪ̯ f l̩
Zwern	t͡s v ɛ n
Zwieback	t͡s v iː p a k
Zwilling	t͡s v i l i ŋ
Zwiwel	t͡s v i v l̩
aach	ɔː x
aam	ɔː m
aan	ɔː n
aananner	ɔː n a n ɐ
aanannerbappe	ɔː n a n ɐ p a p ə
aanannerbinne	ɔː n a n ɐ p i n ə
aanannergehn	ɔː n a n ɐ k eː n
aanbacke	ɔː n p a k ə
aanbappe	ɔː n p a p ə
aanbasse	ɔː n p a s ə
aanbiede	ɔː n p iː r ə
aanbinne	ɔː n p i n ə
aandun	ɔː n t uː n
aanfank	aː n f a ŋ k
aarich	ɔː r i ç
abhengich	a p h ɛ ŋ i ç
abiotisch	a p i oː t i ʃ
acht	a x t
achtzen	a x t͡s n̩
anner	a n ɐ
aussihn	a ʊ̯ s s iː n
awer	a v ə ɾ
awer	a w ɐ
baade	p ɔː r ə
beise	p a ɪ̯ s ə
benutze	p ə n u t͡s ə
blau	p l a ʊ̯
bleive	p l a ɪ̯ v ə
blo	b l oː
brauche	p r a ʊ̯ x ə
braun	p r a ʊ̯ n
breid	p r a ɪ t
brenne	p r ɛ n ə
brille	p r i l ə
brumme	p r u m ə
daab	t ɔː p
daafe	t ɔː f ə
daaghs	t ɔː x s
danke	t a ŋ k ə
dann	t a n
das	t a s
de	t ə
deer	t eː ɐ
dein	t a ɪ̯ n
denne	t ɛ n ə
der	t ɐ
dich	t i ç
dick	t i k
die	t iː
dinn	t i n
do	t oː
dorrich	t ɔ ɾ ɪ ç
drehe	t r eː ə
drei	t r a ɪ̯
dreime	t r a ɪ̯ m ə
dreive	t r a ɪ̯ v ə
dreizen	t r a ɪ̯ t͡s n̩
drinke	t r i ŋ k ə
drock	t r o k
du	t uː
du	t ə
dulle	t u l ə
dun	t oː n
dun	t uː n
där	t ɛː
eb	eː p
een	eː n
eer	eː ɐ
eherlich	eː ɐ l i ç
eich	a ɪ̯ ç
ellef	e l ə f
en	eː n
en	n̩
ennre	ɛ n r ə
enstatt	n̩ ʃ t a t
er	ɛ ɐ
es	ə s , e s
esse	e s ə
faare	f ɔː r ə
faarichsjoher	f ɔː r i ç s j oː ɐ
faul	f a ʊ̯ l
fayer	f a j ə ɾ
ferbasse	f ɐ p a s ə
ferzen	f ɛ t͡s n̩
fier	f iː ɐ
finnef	f i n ə f
finnefzen	f i n ə f t͡s n̩
franzeesisch	f r a n t͡s eː s i ʃ
freiwillich	f r a ɪ̯ v i l i ç
fresse	f r e s ə
froh	f r oː
frohe	f r oː ə
froynt	f ɾ ɔ j n t
fufzen	f u f t͡s n̩
gehn	k eː n
gelleb	k e l ə p
gern	k ɛ n
gesetzlich	k ə s e t͡s l i ç
gester	k e ʃ t ɐ
gesund	k ə s u n t
glaave	k l ɔː v ə
glicklich	k l i k l i ç
grau	k r a ʊ̯
grien	k r iː n
gros	k r oː s
gud	k uː t
haut	h a ʊ̯ t
heilich	h a ɪ̯ l i ç
heit	h a ɪ̯ t
hellfe	h e l f ə
hesslich	h e s l i ç
hie	h iː
hier	h iː ɐ
hochtsayt	h ɔ x t s a j t
hon	h ɔ n
hunnerd	h u n ɐ t
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m ɐ
iwich	i v i ç
kaue	kʰ a ʊ̯ ə
kaul	k a ʊ̯ l
keen	kʰ eː n
keime	kʰ a ɪ̯ m ə
kemme	kʰ ɛ m ə
kenne	kʰ ɛ n ə
kerze	kʰ ɛ t͡s ə
kiel	kʰ iː l
kiele	kʰ iː l ə
kisse	kʰ i s ə
kitzle	kʰ i t͡s l ə
klappre	k l a p r ə
klatsche	k l a t͡ʃ ə
kleen	k l eː n
klemme	k l ɛ m ə
klettre	k l e t r ə
kloppe	k l o p ə
knapp	k n a p
knaps	k n a p s
kneppe	k n e p ə
knippe	k n i p ə
koche	kʰ o x ə
komisch	kʰ oː m i ʃ
komme	kʰ ɔ m ə
konfus	k o n f uː s
konsumiere	kʰ o n s u m iː r ə
korz	kʰ ɔ t͡s
koste	kʰ o ʃ t ə
kotze	kʰ o t͡s ə
krache	k r a x ə
krank	k r a ŋ k
kratze	k r a t͡s ə
kraule	k r a ʊ̯ l ə
kreische	k r a ɪ̯ ʃ ə
kriich	k ɾ iː x
kritisch	k r iː t i ʃ
kritisiere	k r i t i s iː r ə
kumplett	kʰ u m p l e t
laade	l ɔː r ə
laafe	l ɔː f ə
laam	l ɔː m
lache	l a x ə
lande	l a n t ə
lang	l a ŋ
lateinisch	l a t a ɪ̯ n i ʃ
laut	l a ʊ̯ t
lechle	l e ç l ə
lecke	l e k ə
leen	l eː n
leere	l eː r ə
lehe	l eː ə
lehne	l eː n ə
leicht	l a ɪ̯ ç t
leide	l a ɪ̯ r ə
leider	l a ɪ̯ t ɐ
leie	l a ɪ̯ ə
lengst	l ɛ ŋ ʃ t
lenke	l ɛ ŋ k ə
lerne	l ɛ n ə
lese	l eː s ə
leve	l eː v ə
levendich	l eː v n̩ t i ç
licht	l ɪ x t
liehe	l iː ə
lieve	l iː v ə
lockre	l o k r ə
lohne	l oː n ə
losse	l o s ə
love	l oː v ə
lutsche	l u t͡ʃ ə
maale	m ɔː l ə
mache	m a x ə
massiv	m a s iː f
maure	m a ʊ̯ r ə
mechde	m e ç t ə
meer	m eː ɐ
mein	m a ɪ̯ n
melke	m e l k ə
mennlich	m æ n l i ç
menschlich	m ɛ n ʃ l i ç
mer	m ɐ
messe	m e s ə
meue	m ɔ ɪ̯ ə
mich	m ɪ ç
mied	m iː t
miete	m iː t ə
misse	m i s ə
mit	m i t
mitbringe	m i t p ɾ i ŋ ə
mitkomme	m i t kʰ ɔ m ə
mitmache	m i t m a x ə
mitsinge	m i t s i ŋ ə
mitspiele	m i t ʃ p iː l ə
mitte	m i t ə
modern	m o t ɛ n
moie	m o ɪ̯ ə
monatlich	m oː n a t l i ç
motze	m o t͡s ə
munizippal	m u n i t͡s i p aː l
munter	m u n t ɐ
naacht	n aː x t
nackich	n a k i ç
nass	n a s
nativ	n a t iː f
naus	n a ʊ̯ s
nazisdisch	n a t͡s i s t i ʃ
nedich	n eː r i ç
nee	n eː
neere	n eː r ə
nehe	n eː ə
nei	n a ɪ̯
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzen	n a ɪ̯ n t͡s n̩
neinzich	n a ɪ̯ n t͡s i ç
nemme	n ɛ m ə
nenne	n ɛ n ə
net	n e t
nichter	n i ç t ɐ
nie	n iː
niese	n iː s ə
nin	n i n
nitter	n i t ɐ
noch	n o x
nodwennich	n oː t v ɛ n i ç
nommol	n ɔ m oː
nommol	n ɔ m oː l
nore	n oː r ə
normal	n o r m aː l
nuff	n u f
null	n u l
nunner	n u n ɐ
nutze	n u t͡s ə
obwohl	oː p v oː l
odder	o r ɐ
oft	o f t
ohne	oː n ə
opfre	o p f r ə
ordne	ɔ t n ə
packe	pʰ a k ə
partikular	pʰ a t i k u l aː r
petze	pʰ e t͡s ə
picke	pʰ i k ə
pisse	pʰ i s ə
platt	p l a t
platze	p l a t͡s ə
poliere	pʰ o l iː r ə
politisch	pʰ o l iː t i ʃ
polnisch	pʰ o l n i ʃ
portugiesisch	pʰ o r t u k iː s i ʃ
praktisch	p r a k t i ʃ
praut	p ɾ a ʊ̯ t
problematisch	p r o p l ə m aː t i ʃ
puer	pʰ uː ɐ
puffe	pʰ u f ə
pumpe	pʰ u m p ə
quatsche	k w a t͡ʃ ə
quele	k w eː l ə
rangle	r a ŋ l ə
ranschegelleb	r a n ʃ ə k e l ə p
rappe	r a p ə
rau	r a ʊ̯
rauche	r a ʊ̯ x ə
rausche	r a ʊ̯ ʃ ə
rechne	r e ç n ə
recht	r e ç t
rechts	r e ç t͡s
reffe	r e f ə
rehne	r eː n ə
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reide	r a ɪ̯ r ə
reife	r a ɪ̯ f ə
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
repple	r e p l ə
rette	r e t ə
richte	r i ç t ə
rieche	r iː ç ə
riwle	r i v l ə
rod	r oː t
rode	r oː r ə
roh	r oː
romantik	r o m a n t i k
roppe	r o p ə
rosch	r o ʃ
rufe	r uː f ə
ruhe	r uː ə
russisch	r u s i ʃ
rëghiere	r e ç iː r ə
rëstrinschiere	r e ʃ t r i n ʃ iː r ə
saan	s ɔː n
salse	s a l s e
salsich	s a l s i ç
sammle	s a m l ə
sauer	s a ʊ̯ ɐ
saufe	s a ʊ̯ f ə
sauver	s a ʊ̯ v ɐ
schaffe	ʃ a f ə
schalle	ʃ a l ə
scheele	ʃ eː l ə
scheen	ʃ eː n
scheine	ʃ a ɪ̯ n ə
scheise	ʃ a ɪ̯ s ə
schelle	ʃ e l ə
scheme	ʃ eː m ə
schenke	ʃ ɛ ŋ k ə
schicke	ʃ i k ə
schlachte	ʃ l a x t ə
schlank	ʃ l a ŋ k
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
schleppe	ʃ l e p ə
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
schlofe	ʃ l oː f ə
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
schnalle	ʃ n a l ə
schneide	ʃ n a ɪ̯ r ə
schnell	ʃ n e l
schnuffle	ʃ n u f l ə
schone	ʃ oː n ə
schrappe	ʃ r a p ə
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
schun	ʃ u n
schuppe	ʃ u p ə
schutze	ʃ u t͡s ə
schwaarte	ʃ v ɔː t ə
schwach	ʃ v a x
schwanger	ʃ v a ŋ ɐ
schwarz	ʃ v a t͡s
schwelle	ʃ v e l ə
schwimme	ʃ v i m ə
schwitze	ʃ v i t͡s ə
schwäer	ʃ v ɛː ɐ
sechs	s e k s
sechzen	s e ç t͡s n̩
sechzich	s e ç t͡s i ç
sehe	s eː ə
seie	s a ɪ̯ ə
sein	s a ɪ̯ n
setze	s e t͡s ə
sibzen	s i p t͡s n̩
sicher	s i ç ɐ
sicherlich	s i ç ɐ l i ç
sie	s iː
sies	s iː s
sieve	s iː v ə
sihn	s iː n
silver	s i l v ɐ
sin	s i n
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
sitze	s i t͡s ə
solle	s o l ə
spanne	ʃ p a n ə
sped	ʃ p e t
sperre	ʃ p ɛ r ə
spiele	ʃ p iː l ə
spreche	ʃ p r e ç ə
springe	ʃ p r i ŋ ə
spritze	ʃ p r i t͡s ə
spucke	ʃ p u k ə
stampe	ʃ t a m p ə
statts	ʃ t a t͡s
steche	ʃ t e ç ə
stecke	ʃ t e k ə
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
steif	ʃ t a ɪ̯ f
stelle	ʃ t e l ə
sterrve	ʃ t ɛ r v ə
sterze	ʃ t ɛ t͡s ə
sticke	ʃ t i k ə
sticker	ʃ t i k ɐ
still	ʃ t i l
stimme	ʃ t i m ə
stinke	ʃ t i ŋ k ə
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
strecke	ʃ t r e k ə
streiche	ʃ t r a ɪ̯ ç ə
streichle	ʃ t r a ɪ̯ ç l ə
stricke	ʃ t r i k ə
strofe	ʃ t r o f ə
strome	ʃ t r oː m ə
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
suttle	s u t l ə
sërviere	s e r v iː r ə
taach	t aː x
tanke	t a ŋ k ə
tausend	tʰ a ʊ̯ s n̩ t
tirolisch	tʰ i r oː l i ʃ
toych	t ɔ j x
trample	t r a m p l ə
traue	t r a ʊ̯ ə
trede	t r eː r ə
treffe	t r e f ə
trenne	t r ɛ n ə
trieb	t r iː p
trieve	t r iː v ə
tunke	tʰ u ŋ k ə
tunkelheet	t u ŋ k ə l h eː t
uff	u f
uffem	u f m̩
uffs	u f s
um	u m
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
ungesund	u n k ə s u n t
uns	u n s
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
wach	v a x
wache	v a x ə
wachse	v a k s ə
wackle	v a k l ə
walse	v a l s ə
was	v a s
waser	v a s ə ɾ
wech	v e ç
weche	v e ç ə
wechsle	v e k s l ə
weele	v eː l ə
weiblich	v a ɪ̯ p l i ç
weid	v a ɪ̯ t
weider	v a ɪ̯ r ɐ
weie	v a ɪ̯ ə
weis	v a ɪ̯ s
weise	v a ɪ̯ s ə
wenichstens	v eː n i ç ʃ t ə n s
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
werre	v ɛ r ə
wesche	v e ʃ ə
wette	v e t ə
weve	v eː v ə
wichse	v i k s ə
wichtich	v i ç t i ç
wickle	v i k l ə
wiest	v iː ʃ t
wild	v i l t
willich	v i l i ç
winsche	v i n ʃ ə
wische	v i ʃ ə
wisse	v i s ə
wittichnannerrenne	v i t i ç n a n ɐ r ɛ n ə
wo	v oː
woher	v oː ɐ
wohne	v oː n ə
wolle	v o l ə
xloych	ʃ l ɔ j x
xtayn	ʃ t a j n
zaam	t͡s ɔː m
zaart	t͡s ɔː t
zanke	t͡s a ŋ k ə
zeche	t͡s e ç ə
zehn	t͡s eː n
zeichne	t͡s a ɪ̯ ç n ə
zeidich	t͡s a ɪ̯ r i ç
zentraal	t͡s n̩ t r ɔː l
ziehe	t͡s iː ə
zittre	t͡s i t r ə
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zum	t͡s uː m
zumache	t͡s uː m a x ə
zwanzich	t͡s v a n t͡s i ç
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
zwinge	t͡s v i ŋ ə
Äerd	ɛː ɐ t
Äerdbeer	ɛː ɐ t p eː ɐ
Äärem	ɛː r m̩
Äärsch	ɛː ʃ
Ëuropa	e ʊ̯ r oː p a
Ëuropäer	e ʊ̯ r o p ɛː ɐ
ëuropäisch	e ʊ r o p ɛ ɪ̯ ʃ
