'ch	χ
berwbwynt	b ɛ r w b ʊ ɨ̯ n t
berwi	b ɛ r w i
beryglus	b ɛ r ə ɡ l ɨ̞ s
beryliwm	b ɛ r ɨ̞ l j ʊ m
beswch	b ɛ s ʊ χ
beth	b eː θ
bethau	b ɛ θ a
bethau	b ɛ θ a ɨ̯
bethau	b ɛ θ ɛ
betroliwm	b ɛ t r ɔ l j ʊ m
betws	b ɛ t ʊ s
betysau	b ɛ t ə s a
betysau	b ɛ t ə s a ɨ̯
betysau	b ɛ t ə s ɛ
beudai	b e ɨ̯ d a ɨ̯
beudy	b e ɨ̯ d ɨ̞
beunydd	b e ɨ̯ n ɨ̞ ð
beunyddiol	b e ɨ̯ n ə ð j ɔ l
bi	b iː
biau	b iː a
biau	b iː a ɨ̯
biau	b iː ɛ
bib	b iː b
bibau	b ɪ b a
bibau	b ɪ b a ɨ̯
bibau	b ɪ b ɛ
bibgorn	b ɪ b ɡ ɔ r n
bid	b iː d
big	b iː ɡ
bigan	b ɪ ɡ a n
bigau	b ɪ ɡ a
bigau	b ɪ ɡ a ɨ̯
bigau	b ɪ ɡ ɛ
bigddu	b ɨ̞ ɡ ð ɨ̞
bigfelyn	b ɨ̞ ɡ v ɛ l ɨ̞ n
bigwrn	b ɪ ɡ ʊ r n
bigyn	b ɪ ɡ ɨ̞ n
bigynnau	b ɪ ɡ ə n a
bigynnau	b ɪ ɡ ə n a ɨ̯
bigynnau	b ɪ ɡ ə n ɛ
bil	b ɪ l
bila	b ɪ l a
bilaon	b ɪ l aː ɔ n
bildar	b ɪ l d a r
bildars	b ɪ l d a r s
biliau	b ɪ l j a
biliau	b ɪ l j a ɨ̯
biliau	b ɪ l j ɛ
biliwn	b ɪ l j ʊ n
bin	b iː n
bin	b ɪ n
binc	b ɪ ŋ k
bincod	b ɪ ŋ k ɔ d
biniau	b ɪ n j a
biniau	b ɪ n j a ɨ̯
biniau	b ɪ n j ɛ
bioddiraddiadwy	b i ɔ ð ɪ r a ð j a d ʊ ɨ̯
bioddiraddiadwy	b j ɔ ð ɪ r a ð j a d ʊ ɨ̯
bioddiraddio	b ɪ ɔ ð ɪ r a ð j ɔ
bioleg	b ɪ ɔ l ɛ ɡ
biolegol	b ɪ ɔ l ɛ ɡ ɔ l
biolegwyr	b ɪ ɔ l ɛ ɡ w ɨ̞ r
biolegydd	b ɪ ɔ l ɛ ɡ ɨ̞ ð
bipa	b ɪ p a
bipes	b ɪ p ɛ s
bipi	b ɪ p i
bipo	b ɪ p ɔ
bisged	b ɪ s ɡ a d
bisged	b ɪ s ɡ ɛ d
bisgedi	b ɪ s k e d i
bismwth	b ɪ s m ʊ θ
biti	b ɪ t ɪ
biwi	b ɪ u̯ ɪ
biws	b ɪ u̯ s
biwïaid	b ɪ u̯ iː a i̯ d
biwïaid	b ɪ u̯ iː ɛ d
bla	b l aː
blacmêl	b l a k m eː l
bladur	b l a d ɨ̞ r
blaen	b l aː ɨ̯ n
blaenau	b l e ɨ̯ n a
blaenau	b l e ɨ̯ n a ɨ̯
blaenau	b l e ɨ̯ n ɛ
blaenor	b l e ɨ̯ n ɔ r
blaenori	b l e ɨ̯ n ɔ r ɪ
blaenoriaeth	b l e ɨ̯ n ɔ r j a ɨ̯ θ
blaenoriaeth	b l e ɨ̯ n ɔ r j ɛ θ
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ a
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ a ɨ̯
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ ɛ
blaenoriaid	b l e ɨ̯ n ɔ r j a i̯ d
blaenoriaid	b l e ɨ̯ n ɔ r j ɛ d
blaenorol	b l e ɨ̯ n ɔ r ɔ l
blaenyrru	b l e ɨ̯ n ə r ɨ̞
blagur	b l a ɡ ɨ̞ r
blaguriad	b l a ɡ ɨ̞ r j a d
blaguro	b l a ɡ ɨ̞ r ɔ
blaid	b l a i̯ d
blaidd	b l a i̯ ð
blanced	b l a ŋ k a d
blanced	b l a ŋ k ɛ d
blancedi	b l a ŋ k ɛ d ɪ
blaned	b l a n ɛ d
blas	b l aː s
blasau	b l a s a
blasau	b l a s a ɨ̯
blasau	b l a s ɛ
blasu	b l a s ɨ
blasus	b l a s ɨ̞ s
blawd	b l a u̯ d
blawr	b l a u̯ r
ble	b l eː
bleiddiaid	b l e i̯ ð j a i̯ d
bleiddiaid	b l e i̯ ð j ɛ d
bleiddiau	b l e i̯ ð j a
bleiddiau	b l e i̯ ð j a ɨ̯
bleiddiau	b l e i̯ ð j ɛ
bleidiol	b l e i̯ d j ɔ l
bleidleisio	b l e i̯ d l e i̯ ʃ ɔ
blentynnaidd	b l ɛ n t ə n a i̯ ð
blew	b l eː u̯
blewog	b l ɛ u̯ ɔ ɡ
blewyn	b l ɛ u̯ ɨ̞ n
blin	b l iː n
blinder	b l ɪ n d a r
blinder	b l ɪ n d ɛ r
blinderog	b l ɪ n d ɛ r ɔ ɡ
blinedig	b l ɪ n ɛ d ɪ ɡ
blingo	b l ɪ ŋ ɔ
blino	b l ɪ n ɔ
blith	b l iː θ
blodau	b l ɔ d a
blodau	b l ɔ d a ɨ̯
blodau	b l ɔ d ɛ
blodeuad	b l ɔ d e ɨ̯ a d
blodeuo	b l ɔ d e ɨ̯ ɔ
blodeuyn	b l ɔ d e ɨ̯ ɨ̞ n
blodfresych	b l ɔ d v r ɛ s ɨ̞ χ
blodfresychen	b l ɔ d v r ɛ s ə χ a n
blodfresychen	b l ɔ d v r ɛ s ə χ ɛ n
blodyn	b l ɔ d ɨ̞ n
blog	b l ɔ ɡ
blogiau	b l ɔ ɡ j a
blogiau	b l ɔ ɡ j a ɨ̯
blogiau	b l ɔ ɡ j ɛ
blogio	b l ɔ ɡ j ɔ
blogiwr	b l ɔ ɡ j ʊ r
blogwyr	b l ɔ ɡ w ɨ̞ r
bloneg	b l ɔ n ɛ ɡ
blorai	b l ɔ r a i̯
bloreion	b l ɔ r e i̯ ɔ n
blu	b l ɨː
blwch	b l uː χ
blwydd	b l uː ɨ̯ ð
blwyddi	b l ʊ ɨ̯ ð ɪ
blwyddyn	b l ʊ ɨ̯ ð ɨ̞ n
blychau	b l ə χ a ɨ̯
blymio	b l ə m j ɔ
blynedd	b l ə n a ð
blynedd	b l ə n ɛ ð
blynyddoedd	b l ə n ə ð ɔ ɨ̯ ð
blêr	b l eː r
bob	b oː b
bobl	b ɔ b l
bobl	b ɔ b ɔ l
bobloedd	b ɔ b l ɔ ɨ̯ ð
boch	b oː χ
bochdew	b ɔ χ d ɛ u̯
bochgoch	b ɔ χ ɡ ɔ χ
bochlwyd	b ɔ χ l ʊ ɨ̯ d
bocs	b ɔ k s
bocsio	b ɔ k ʃ ɔ
bocsiwr	b ɔ k ʃ ʊ r
bocswyr	b ɔ k s w ɨ̞ r
bod	b oː d
bodd	b oː ð
boddi	b ɔ ð i
bodiau	b ɔ d j a
bodiau	b ɔ d j a ɨ̯
bodiau	b ɔ d j ɛ
bodlon	b ɔ d l ɔ n
bodoli	b ɔ d ɔ l ɪ
boed	b oː ɨ̯ d
boenen	b ɔ ɨ̯ n ɛ n
boeni	b ɔ ɨ̯ n ɨ
boeth	b oː ɨ̯ θ
boethach	b ɔ i̯ θ a χ
bogail	b ɔ ɡ a i̯ l
bohriwm	b ɔ r j ʊ m
boi	b ɔ i̯
bol	b ɔ l
bola	b ɔ l a
bonclust	b ɔ ŋ k l ɨ̞ s d
bonclustiad	b ɔ ŋ k l ɨ̞ s d j a d
bonclustio	b ɔ ŋ k l ɨ̞ s d j ɔ
boncyff	b ɔ ŋ k ɨ̞ f
bondigrybwyll	b ɔ n d ɪ ɡ r ə b ʊ ɨ̯ ɬ
boneddiges	b ɔ n ɛ ð ɪ ɡ ɛ s
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s a
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s a ɨ̯
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s ɛ
boneddigion	b ɔ n ɛ ð ɪ ɡ j ɔ n
bongorff	b ɔ ŋ ɡ ɔ r f
bonheddig	b ɔ n h ɛ ð ɪ ɡ
bontinog	b ɔ n t ɪ n ɔ ɡ
bop	b ɔ p
boptai	b ɔ p t a i̯
bopty	b ɔ p t ɨ
bord	b ɔ r d
bordydd	b ɔ r d ɨ̞ ð
bore	b ɔ r a
bore	b ɔ r ɛ
boron	b ɔ r ɔ n
bosib	b ɔ s ɪ b
botel	b ɔ t a l
botel	b ɔ t ɛ l
both	b oː θ
bothau	b ɔ θ a
bothau	b ɔ θ a ɨ̯
bothau	b ɔ θ ɛ
bowlio	b ɔ u̯ l j ɔ
brad	b r aː d
bradu	b r a d ɨ̞
braen	b r aː ɨ̯ n
braenu	b r e i̯ n i
braenu	b r e ɨ̯ n ɨ̞
braf	b r aː v
brag	b r aː ɡ
bragur	b r a ɡ ɨ̞ r
braich	b r a i̯ χ
brain	b r a i̯ n
braint	b r a i̯ n t
braith	b r a i̯ θ
bras	b r aː s
braster	b r a s d ɛ r
brasterog	b r a s d ɛ r ɔ ɡ
brat	b r a t
brath	b r aː θ
brathu	b r a θ ɨ̞
brau	b r a ɨ̯
braw	b r aː u̯
brawd	b r a u̯ d
brawddeg	b r a u̯ ð ɛ ɡ
brawiau	b r a u̯ j a
brawiau	b r a u̯ j a ɨ̯
brawiau	b r a u̯ j ɛ
brawychdod	b r a u̯ ə χ d ɔ d
brawychiad	b r a u̯ ə χ j a d
brawychiadau	b r a u̯ ə χ j a d a
brawychiadau	b r a u̯ ə χ j a d a ɨ̯
brawychiadau	b r a u̯ ə χ j a d ɛ
brawychiaeth	b r a u̯ ə χ j a ɨ̯ θ
brawychiaeth	b r a u̯ ə χ j ɛ θ
brawychus	b r a u̯ ə χ ɨ̞ s
brawychwr	b r a u̯ ə χ ʊ r
brawychwyr	b r a u̯ ə χ w ɨ̞ r
brech	b r eː χ
brechdan	b r ɛ χ d a n
brechlyn	b r ɛ χ ɬ ɨ̞ n
brecwast	b r ɛ k w a s t
bref	b r eː v
brefu	b r ɛ v ɨ̞
breichiau	b r e i̯ χ j a
breichiau	b r e i̯ χ j a ɨ̯
breichiau	b r e i̯ χ j ɛ
breifat	b r e i̯ v a t
breinlen	b r e i̯ n l ɛ n
brenhines	b r ɛ n h ɪ n a s
brenhines	b r ɛ n h ɪ n ɛ s
brenhinoedd	b r ɛ n h ɪ n ɔ ɨ̯ ð
brenhinol	b r ɛ n h ɪ n ɔ l
brenin	b r ɛ n ɪ n
breninesau	b r ɛ n ɪ n ɛ s a
breninesau	b r ɛ n ɪ n ɛ s a ɨ̯
breninesau	b r ɛ n ɪ n ɛ s ɛ
brest	b r ɛ s d
breswyl	b r ɛ s ʊ ɨ̯ l
bresych	b r ɛ s ɨ̞ χ
bresychen	b r ɛ s ə χ a n
bresychen	b r ɛ s ə χ ɛ n
brethyn	b r ɛ θ ɨ̞ n
breuan	b r e ɨ̯ a n
breuddwyd	b r e ɨ̯ ð ʊ ɨ̯ d
breuddwydio	b r e ɨ̯ ð ʊ ɨ̯ d j ɔ
breuddwydion	b r e ɨ̯ ð ʊ ɨ̯ d j ɔ n
breuwydd	b r ɛ ɨ̯ w ɨ̞ ð
bri	b r iː
briallen	b r j a ɬ ɛ n
briallen	b r ɪ a ɬ ɛ n
briallu	b r j a ɬ ɨ̞
briallu	b r ɪ a ɬ ɨ̞
bric	b r ɪ k
briciau	b r i k j a
briciau	b r i k j a ɨ̯
briciau	b r i k j ɛ
brics	b r ɪ k s
bricsen	b r ɪ k s a n
bricsen	b r ɪ k s ɛ n
bricyll	b r ɪ k ɨ̞ ɬ
bricyllen	b r ɪ k ə ɬ ɛ n
brid	b r iː d
bridge	b r ɪ d͡ʒ
brif	b r iː v
brifddinas	b r iː v ð ɪ n a s
brifddinas	b r ɪ v ð ɪ n a s
brifo	b r ɪ v ɔ
brig	b r iː ɡ
briger	b r ɪ ɡ a r
briger	b r ɪ ɡ ɛ r
brigerog	b r ɪ ɡ ɛ r ɔ ɡ
brigâd	b r i ɡ aː d
briod	b r i ɔ d
briodas	b r j ɔ d a s
briodas	b r ɪ ɔ d a s
briodi	b r i ɔ d i
bris	b r iː s
bris	b r iː ʃ
brith	b r iː θ
brithddu	b r ɪ θ ð ɨ̞
brithion	b r ɪ θ j ɔ n
briw	b r ɪ u̯
briweg	b r ɪ u̯ a ɡ
bro	b r oː
broblem	b r ɔ b l a m
broblem	b r ɔ b l ɛ m
broblemau	b r ɔ b l ɛ m a
broblemau	b r ɔ b l ɛ m a ɨ̯
broblemau	b r ɔ b l ɛ m ɛ
broc	b r ɔ k
broch	b r oː χ
brochell	b r ɔ χ ɛ ɬ
brochion	b r ɔ χ j ɔ n
brochod	b r ɔ χ ɔ d
brodyr	b r ɔ d ɨ̞ r
broga	b r ɔ ɡ a
bromid	b r ɔ m ɪ d
bromin	b r ɔ m ɪ n
bron	b r ɔ n
brongoch	b r ɔ ŋ ɡ ɔ χ
bronlas	b r ɔ n l a s
bronleision	b r ɔ n l e i̯ ʃ ɔ n
bronnau	b r ɔ n a
bronnau	b r ɔ n a ɨ̯
bronrhuddyn	b r ɔ n r̥ ɨ̞ ð ɨ̞ n
bronwen	b r ɔ n w ɛ n
bronwyn	b r ɔ n w ɨ̞ n
brotest	b r ɔ t ɛ s t
brwd	b r uː d
brwdfrydedd	b r ʊ d v r ə d a ð
brwdfrydedd	b r ʊ d v r ə d ɛ ð
brwmstan	b r ʊ m s d a n
brwnt	b r ʊ n t
brws	b r ʊ ʃ
brwsh	b r ʊ ʃ
brwshys	b r ʊ ʃ ɨ̞ s
brwsiau	b r ʊ ʃ a
brwsiau	b r ʊ ʃ a ɨ̯
brwsiau	b r ʊ ʃ ɛ
brwsio	b r ʊ ʃ ɔ
brwsioch	b r ʊ ʃ ɔ χ
brwsiodd	b r ʊ ʃ ɔ ð
brwsion	b r ʊ ʃ ɔ n
brwsys	b r ʊ ʃ ɨ̞ s
brwydr	b r ʊ ɨ̯ d r
brwydrau	b r ʊ ɨ̯ d r a
brwydrau	b r ʊ ɨ̯ d r a ɨ̯
brwydrau	b r ʊ ɨ̯ d r ɛ
brwydro	b r ʊ ɨ̯ d r ɔ
brwydrwr	b r ʊ ɨ̯ d r ʊ r
brwydrwyr	b r ʊ ɨ̯ d r w ɨ̞ r
brwyn	b r uː ɨ̯ n
brwyna	b r ʊ ɨ̯ n a
brwynen	b r ʊ ɨ̯ n a n
brwynen	b r ʊ ɨ̯ n ɛ n
brwysg	b r uː ɨ̯ s ɡ
brych	b r ɨː χ
bryd	b r ɨː d
brydferth	b r ə d v ɛ θ
bryf	b r ɨː v
bryfed	b r ə v a d
bryfed	b r ə v ɛ d
bryn	b r ɨ̞ n
bryna	b r ə n a
bryngaer	b r ə ŋ ɡ a ɨ̯ r
bryngaer	b r ɨ̞ ŋ ɡ a ɨ̯ r
bryniau	b r ə n j a
bryniau	b r ə n j a ɨ̯
bryniau	b r ə n j ɛ
brynoch	b r ə n ɔ χ
brynodd	b r ə n ɔ ð
brynon	b r ə n ɔ ð
brynu	b r ə n ɨ
bryoffyt	b r ɨː ɔ f ɨ̞ t
brys	b r ɨː s
brysio	b r ə ʃ ɔ
brysur	b r ə s ɨ̞ r
brân	b r aː n
brëyr	b r eː ɨ̞ r
bu	b ɨː
buail	b ɨ a i̯ l
bual	b ɨ̞ a l
buan	b ɨː a n
buarth	b ɨː a r θ
budd	b ɨː ð
buddai	b ɨ̞ ð a i̯
buddion	b ɨ̞ ð j ɔ n
buddsoddi	b ɨ̞ ð s ɔ ð ɪ
buddug	b ɨ̞ ð ɨ̞ ɡ
buddugol	b ɨ̞ ð ɨ̞ ɡ ɔ l
buddugoliaeth	b ɨ̞ ð ɨ̞ ɡ ɔ l j a ɨ̯ θ
buddugoliaeth	b ɨ̞ ð ɨ̞ ɡ ɔ l j ɛ θ
buddugwr	b ɨ̞ ð ɨ̞ ɡ ʊ r
buddugwyr	b ɨ̞ ð ɨ̞ ɡ w ɨ̞ r
budr	b ɨ̞ d ɨ̞ r
bues	b ɨ ɛ s
buest	b ɨː ɛ s t
bugail	b ɪ ɡ a i̯ l
bugail	b ɪ ɡ ɛ l
bum	b ɨ̞ m
bumdegau	b ɨ̞ m d ɛ ɡ a
bunnau	b ɨ̞ n a
bunnau	b ɨ̞ n a ɨ̯
bunnau	b ɨ̞ n ɛ
bunt	b ɨ̞ n t
buoch	b ɨ ɔ χ
buodd	b ɨ ɔ ð
buon	b ɨ ɔ n
bur	b ɨː r
busnes	b ɨ̞ s n a s
busnes	b ɨ̞ s n ɛ s
buwch	b ɨ̞ u̯ χ
bwa	b uː a
bwced	b ʊ k a d
bwced	b ʊ k ɛ d
bwch	b uː χ
bwci	b ʊ k ɪ
bwffe	b ʊ f ɛ
bwgan	b ʊ ɡ a n
bwl	b ʊ l
bwlch	b ʊ l χ
bwletin	b ʊ l ɛ t ɪ n
bwletinau	b ʊ l ɛ t ɪ n a
bwletinau	b ʊ l ɛ t ɪ n a ɨ̯
bwletinau	b ʊ l ɛ t ɪ n ɛ
bwmpen	b ʊ m p a n
bwmpen	b ʊ m p ɛ n
bwn	b ʊ n
bwrdd	b ʊ r ð
bwriadol	b ʊ r j a d ɔ l
bwriadu	b ʊ r j a d ɨ̞
bwrlwm	b ʊ r l ʊ m
bwrw	b ʊ r ʊ
bws	b ʊ s
bwth	b uː θ
bwthyn	b ʊ θ ɨ̞ n
bwyd	b uː ɨ̯ d
bwydlen	b ʊ ɨ̯ d l ɛ n
bwydo	b ʊ ɨ̯ d ɔ
bwydwch	b ʊ ɨ̯ d ʊ χ
bwydydd	b ʊ ɨ̯ d ɨ̞ ð
bwyeill	b ʊ ɨ̯ e i̯ ɬ
bwyell	b ʊ ɨ̯ a ɬ
bwyell	b ʊ ɨ̯ ɛ ɬ
bwyelli	b ʊ ɨ̯ ɛ ɬ ɪ
bwyll	b uː ɨ̯ ɬ
bwys	b uː ɨ̯ s
bwysig	b ʊ ɨ̯ s ɪ ɡ
bwyst	b ʊ ɨ̯ s d
bwyta	b ə t a
bwyta	b ʊ ɨ̯ t a
bwytadwy	b ʊ ɨ̯ t a d ʊ ɨ̯
bwytais	b u ɨ̯ t a i̯ s
bwytais	b ə t ɛ s
bwytaist	b u ɨ̯ t a i̯ s d
bwytaist	b ə t ɛ s d
bwytoch	b ə t ɔ χ
bwytoch	b ʊ ɨ̯ t ɔ χ
bwytodd	b ə t ɔ ð
bwytodd	b ʊ ɨ̯ t ɔ ð
bwyton	b ə t ɔ n
bwyton	b ʊ ɨ̯ t ɔ n
bwytwch	b ʊ ɨ̯ t ʊ χ
bwyty	b ʊ ɨ̯ t ɨ̞
bychain	b ə χ a i̯ n
bychain	b ə χ ɛ n
bychan	b ə χ a n
bychod	b ə χ ɔ d
byd	b ɨː d
bydd	b ɨː ð
bydda	b ə ð a
byddai	b ə ð a
byddai	b ə ð a i̯
byddai	b ə ð ɛ
byddan	b ə ð a n
byddar	b ə ð a r
byddarol	b ə ð a r ɔ l
byddaru	b ə ð a r ɨ̞
bydded	b ə ð d ɛ d
byddi	b ə ð ɪ
byddin	b ə ð ɪ n
byddwch	b ə ð ʊ χ
byddwn	b ə ð ʊ n
bydysawd	b ə d ə s a u̯ d
bylchog	b ə l χ ɔ ɡ
byliau	b ə l j a
byliau	b ə l j a ɨ̯
byliau	b ə l j ɛ
byngalo	b ə ŋ ɡ a l ɔ
bynnag	b ə n a ɡ
bynnen	b ə n ɛ n
byns	b ə n s
bynsen	b ə n s a n
bynsen	b ə n s ɛ n
byr	b ɨ̞ r
byrddau	b ə r ð a
byrddau	b ə r ð a ɨ̯
byrddau	b ə r ð ɛ
byrddydd	b ə r ð ɨ̞ ð
byrdra	b ə r d r a
byrhoedlog	b ɨ̞ r h oː ɨ̯ d l ɔ ɡ
byrlymau	b ə r l ə m a ɨ̯
byrlymu	b ə r l ə m ɨ̞
byrraf	b ə r a v
bys	b ɨː s
bysbrint	b ə s b r ɪ n t
bysedd	b ə s a ð
bysedd	b ə s ɛ ð
bysell	b ə s ɛ ɬ
bysellfwrdd	b ə s ɛ ɬ v ʊ r ð
bysgod	b ə s ɡ ɔ d
bysgodyn	b ə s ɡ ɔ d ɨ̯ n
bysgota	b ə s ɡ ɔ t a
bysys	b ə s ɨ̞ s
byth	b ɨː θ
byth	b ɨ̞ θ
bythynnod	b ə θ ə n ɔ d
byw	b ɨ̞ u̯
byw	b ɪ u̯
bywgraffiadur	b ɨ u̯ ɡ r a f j a d ɨ̞ r
bywgraffiadur	b ɪ u̯ ɡ r a f j a d ɨ̞ r
bywiocáu	b ɨ̞ u̯ j ɔ k a ɨ̯
bywiog	b ɨ̞ u̯ j ɔ ɡ
bywiogrwydd	b ɨ̞ u̯ j ɔ ɡ r ʊ ɨ̯ ð
bywyd	b ə u̯ ɨ̞ d
bywydeg	b ə u̯ ə d ɛ ɡ
bàth	b a θ
bêl	b eː l
bêr	b eː r
bòs	b ɔ s
bôm	b oː m
bôn	b oː n
bônt	b oː n t
bûm	b ɨː m
bŵt	b uː t
ca	k aː
cacen	k a k a n
cacen	k a k ɛ n
cacennau	k a k ɛ n a
cacennau	k a k ɛ n a ɨ̯
cacennau	k a k ɛ n ɛ
cach	k aː χ
cacha	k a χ a
cachai	k a χ a i̯
cachai	k a χ ɛ
cachais	k a χ a i̯ s
cachais	k a χ ɛ s
cachan	k a χ a n
cachen	k a χ ɛ n
caches	k a χ ɛ s
cachet	k a χ ɛ t
cachgi	k a χ ɡ ɪ
cachgwn	k a χ ɡ ʊ n
cachi	k a χ ɪ
cachlwyth	k a χ l ʊ ɨ̯ θ
cachu	k a χ ɨ̞
cacs	k a k s
cactws	k a k t ʊ s
cacwn	k a k ʊ n
cacynen	k a k ə n a n
cacynen	k a k ə n ɛ n
cad	k aː d
cadach	k a d a χ
cadair	k a d a i̯ r
cadair	k a d a r
cadair	k a d ɛ r
cadarn	k a d a r n
cadarnhaol	k a d a r n h a u̯ ɔ l
cadarnhaol	k a d a r n h aː ɔ l
cadarnhau	k a d a r n h a ɨ̯
cadarnwedd	k a d a r n w ɛ ð
cadd	k aː ð
cadeiriau	k a d e i̯ r j a
cadeiriau	k a d e i̯ r j a ɨ̯
cadeiriau	k a d e i̯ r j ɛ
cadeiriol	k a d e i̯ r j ɔ l
cadeirlan	k a d e i̯ r l a n
cader	k a d ɛ r
cader	k aː d ɛ r
cadernid	k a d ɛ r n ɪ d
cadlas	k a d l a s
cadmiwm	k a d m j ʊ m
cadnawes	k a d n a u̯ ɛ s
cadno	k a d n ɔ
cadnöes	k a d n oː ɛ s
cadw	k a d ʊ
cadwch	k a d ʊ χ
cadwyn	k a d ʊ ɨ̯ n
cae	k aː ɨ̯
caeaf	k e ɨ̯ a
caeaf	k e ɨ̯ a v
caeau	k e ɨ̯ a
caeau	k e ɨ̯ a ɨ̯
caeau	k e ɨ̯ ɛ
caed	k aː ɨ̯ d
caeir	k e ɨ̯ ɪ r
cael	k aː l
cael	k aː ɨ̯ l
caem	k aː ɨ̯ m
caen	k aː ɨ̯ n
caer	k aː ɨ̯ r
caerau	k e ɨ̯ r a
caerau	k e ɨ̯ r a ɨ̯
caerau	k e ɨ̯ r ɛ
caeriwrch	k e ɨ̯ r j ʊ r χ
caeth	k aː ɨ̯ θ
caeth	k aː θ
caethiwed	k e ɨ θ ɪ u̯ ɛ d
caethiwo	k e ɨ θ ɪ u̯ ɔ
caethoch	k e ɨ̯ θ ɔ χ
caethon	k e ɨ̯ θ ɔ n
caethwas	k e ɨ̯ θ w a s
caethwasiaeth	k e ɨ̯ θ w a ʃ a ɨ̯ θ
caethwasiaeth	k e ɨ̯ θ w a ʃ ɛ θ
caethweision	k e ɨ̯ θ w e i̯ ʃ ɔ n
caf	k aː
caf	k aː v
cafas	k a v a s
caffai	k a f a i̯
caffed	k a f ɛ d
caffel	k a f ɛ l
caffent	k a f ɛ n t
caffer	k a f ɛ r
caffi	k a f ɪ
caffis	k a f ɪ s
caffîn	k a f iː n
cafiar	k a v j a r
cafiâr	k a v j aː r
cafod	k a v ɔ d
cafodd	k a v ɔ ð
cafon	k a v ɔ n
cafwyd	k a v ʊ ɨ̯ d
caifn	k a i̯ v n
caill	k a i̯ ɬ
cain	k a i̯ n
cais	k a i̯ s
cait	k a i̯ t
cala	k a l a
calan	k a l a n
calch	k a l χ
calchfaen	k a l χ v a ɨ̯ n
caled	k a l a d
caled	k a l ɛ d
caledu	k a l ɛ d ɨ̞
caledwedd	k a l ɛ d w ɛ ð
calenigion	k a l ɛ n ɪ ɡ j ɔ n
caleted	k a l ɛ t ɛ d
califforniwm	k a l ɪ f ɔ r n j ʊ m
call	k a ɬ
callestr	k a ɬ a s d
callestr	k a ɬ ɛ s d
callestr	k a ɬ ɛ s d r
callio	k a ɬ j ɔ
calon	k a l ɔ n
calonnau	k a l ɔ n a
calonnau	k a l ɔ n a ɨ̯
calonnau	k a l ɔ n ɛ
calsiwm	k a l s j ʊ m
cam	k a m
camau	k a m a
camau	k a m a ɨ̯
camau	k a m ɛ
camddealltwriaeth	k a m ð ɛ a ɬ d ʊ r j a ɨ̯ θ
camddealltwriaeth	k a m ð ɛ a ɬ d ʊ r j a θ
camddealltwriaeth	k a m ð ɛ a ɬ d ʊ r j ɛ θ
camdreiglad	k a m d r e i̯ ɡ l a d
camdreiglo	k a m d r e i̯ ɡ l ɔ
camesgor	k a m ɛ s ɡ ɔ r
camesgoriad	k a m ɛ s ɡ ɔ r j a d
camfa	k a m v a
camgymeriad	k a m ɡ ə m ɛ r j a d
camlas	k a m l a s
camlesi	k a m l ɛ s ɪ
camlwrw	k a m l ʊ r ʊ
camp	k a m p
campfa	k a m p v a
campus	k a m p ɨ̞ s
campwaith	k a m p w a i̯ θ
campwr	k a m p ʊ r
camsefyll	k a m s ɛ v ɨ̞ ɬ
camu	k a m ɨ̞
camwedd	k a m w ɛ ð
camweinyddu	k a m w e i̯ n ə ð ɨː
can	k a n
cana	k a n a
canaf	k a n a v
canai	k a n a i̯
canai	k a n ɛ
canais	k a n a i̯ s
canais	k a n ɛ s
canais	k a n ɛ ʃ
canais	k a n ɪ ʃ
canant	k a n a n t
canem	k a n ɛ m
canen	k a n ɛ n
canent	k a n ɛ n t
caner	k a n ɛ r
canes	k a n ɛ s
canet	k a n ɛ t
caneuon	k a n e ɨ̯ ɔ n
canfed	k a n v ɛ d
canfod	k a n v ɔ d
canfodydd	k a n v ɔ d ɨ̞ ð
canfodyddion	k a n v ɔ d ə ð j ɔ n
canfyddadwy	k a n v ə ð a d ʊ ɨ̯
canfyddiad	k a n v ə ð j a d
cangarŵ	k a ŋ ɡ a r uː
cangarŵod	k a ŋ ɡ a r uː ɔ d
cangen	k a ŋ a n
cangen	k a ŋ ɛ n
canghellor	k a ŋ h ɛ ɬ ɔ r
canghennau	k a ŋ h ɛ n a
canghennau	k a ŋ h ɛ n a ɨ̯
canghennau	k a ŋ h ɛ n ɛ
canghennog	k a ŋ h ɛ n ɔ ɡ
canhwyllau	k a n h ʊ i̯ ɬ a
canhwyllau	k a n h ʊ i̯ ɬ ɛ
canhwyllau	k a n h ʊ ɨ̯ ɬ a ɨ̯
canhwyllbren	k a n h ʊ ɨ̯ ɬ b r ɛ n
cani	k a n ɪ
caniatáu	k a n j a t a ɨ̯
caniatâd	k a n j a t aː d
caniau	k a n j a
caniau	k a n j a ɨ̯
caniau	k a n j ɛ
canit	k a n ɪ t
canlyn	k a n l ɨ̞ n
canlyniad	k a n l ə n j a d
canlyniadau	k a n l ə n j a d a
canlyniadau	k a n l ə n j a d a ɨ̯
canlyniadau	k a n l ə n j a d ɛ
canlynol	k a n l ə n ɔ l
