A	ʔ aː ˧˧
chè trôi nước	t͡ɕ ɛ ˦˩ ʈ o j ˧˧ n ɨ ə k̚ ˦˧˥
chè đậu đỏ	t͡ɕ ɛ ˦˩ ʔ ɗ ə w ˨˩ ʔ ʔ ɗ ɔ ˧˨
chèn	t͡ɕ ɛ ŋ ˦˩
chèn ép	t͡ɕ ɛ ŋ ˦˩ ʔ ɛ p̚ ˦˧˥
chèn đét ơi	t͡ɕ ɛ ŋ ˦˩ ʔ ɗ ɛ t̚ ˦˧˥ ʔ əː j ˧˧
chèn ơi	t͡ɕ ɛ ŋ ˦˩ ʔ əː j ˧˧
chèng bèng	t͡ɕ ɛ ŋ ˦˩ ʔ ɓ ɛ ŋ ˦˩
chèng đéc ơi	t͡ɕ ɛ ŋ ˦˩ ʔ ɗ ɛ k̚ ˦˧˥ ʔ əː j ˧˧
chèng ơi	t͡ɕ ɛ ŋ ˦˩ ʔ əː j ˧˧
chèo	t͡ɕ ɛ w ˦˩
chèo bẻo	t͡ɕ ɛ w ˦˩ ʔ ɓ ɛ w ˧˨
chèo chống	t͡ɕ ɛ w ˦˩ t͡ɕ ə w ŋ͡m ˦˧˥
chèo kéo	t͡ɕ ɛ w ˦˩ k ɛ w ˨˩˦
chèo thuyền	t͡ɕ ɛ w ˦˩ tʰ w i ə ŋ ˦˩
ché	t͡ɕ ɛ ˨˩˦
chém	t͡ɕ ɛ m ˦˧˥
chém gió	t͡ɕ ɛ m ˦˧˥ j ɔ ˨˩˦
chém giết	t͡ɕ ɛ m ˦˧˥ j i ə k̚ ˦˧˥
chém đầu	t͡ɕ ɛ m ˦˧˥ ʔ ɗ ə w ˦˩
chén	t͡ɕ ɛ ŋ ˦˧˥
chén chú chén anh	t͡ɕ ɛ ŋ ˦˧˥ t͡ɕ ʊ w ˨˩˦ t͡ɕ ɛ ŋ ˦˧˥ ʔ ɛ ɲ ˧˧
chéo	t͡ɕ ɛ w ˨˩˦
chép	t͡ɕ ɛ p̚ ˦˧˥
chép miệng	t͡ɕ ɛ p̚ ˦˧˥ m i ə ŋ ˨˩ ʔ
chét	t͡ɕ ɛ t̚ ˦˧˥
chê	t͡ɕ e j ˧˧
chê bai	t͡ɕ e j ˧˧ ʔ ɓ aː j ˧˧
chê chán	t͡ɕ e j ˧˧ t͡ɕ aː ŋ ˦˧˥
chê cười	t͡ɕ e j ˧˧ k ɨ j ˦˩
chê trách	t͡ɕ e j ˧˧ ʈ a t̚ ˦˧˥
chêm	t͡ɕ e m ˧˧
chên	t͡ɕ e n ˧˧
chênh	t͡ɕ e n ˧˧
chênh chếch	t͡ɕ e n ˧˧ t͡ɕ e t̚ ˦˧˥
chênh lệch	t͡ɕ e n ˧˧ l e t̚ ˨˩ ʔ
chênh vênh	t͡ɕ e n ˧˧ v e n ˧˧
chì	t͡ɕ ɪ j ˦˩
chính	t͡ɕ ɨ n ˦˧˥
chính phủ lưu vong	t͡ɕ ɨ n ˦˧˥ f ʊ w ˧˨ l ɨ w ˧˧ v a w ŋ͡m ˧˧
chính phủ lưu vong	t͡ɕ ɨ n ˦˧˥ f ʊ w ˧˨ l ɨ w ˧˧ v ɔ ŋ ˧˧
chính quy	t͡ɕ ɨ n ˦˧˥ k w ɪ j ˧˧
chính quyền	t͡ɕ ɨ n ˦˧˥ k w i ə ŋ ˦˩
chính quốc	t͡ɕ ɨ n ˦˧˥ k u ə k̚ ˦˧˥
chính ra	t͡ɕ ɨ n ˦˧˥ ʐ aː ˧˧
chính sách	t͡ɕ ɨ n ˦˧˥ s a t̚ ˦˧˥
chính sách	t͡ɕ ɨ n ˦˧˥ ʂ a t̚ ˦˧˥
chính sử	t͡ɕ ɨ n ˦˧˥ s ɨ ˧˨
chính sử	t͡ɕ ɨ n ˦˧˥ ʂ ɨ ˧˨
chính sự	t͡ɕ ɨ n ˦˧˥ s ɨ ˨˩ ʔ
chính sự	t͡ɕ ɨ n ˦˧˥ ʂ ɨ ˨˩ ʔ
chính thất	t͡ɕ ɨ n ˦˧˥ tʰ ə k̚ ˦˧˥
chính thể	t͡ɕ ɨ n ˦˧˥ tʰ e j ˧˨
chính thống	t͡ɕ ɨ n ˦˧˥ tʰ ə w ŋ͡m ˦˧˥
chính thức	t͡ɕ ɨ n ˦˧˥ tʰ ɨ k̚ ˦˧˥
chính trường	t͡ɕ ɨ n ˦˧˥ ʈ ɨ ə ŋ ˦˩
chính trị	t͡ɕ ɨ n ˦˧˥ ʈ ɪ j ˨˩ ʔ
chính trị gia	t͡ɕ ɨ n ˦˧˥ ʈ ɪ j ˨˩ ʔ j aː ˧˧
chính trị học	t͡ɕ ɨ n ˦˧˥ ʈ ɪ j ˨˩ ʔ h a w k͡p̚ ˨˩ ʔ
chính trị phạm	t͡ɕ ɨ n ˦˧˥ ʈ ɪ j ˨˩ ʔ f aː m ˨˩ ʔ
chính trị viên	t͡ɕ ɨ n ˦˧˥ ʈ ɪ j ˨˩ ʔ v i ə ŋ ˧˧
chính trực	t͡ɕ ɨ n ˦˧˥ ʈ ɨ k̚ ˨˩ ʔ
chính tâm	t͡ɕ ɨ n ˦˧˥ t ə m ˧˧
chính tông	t͡ɕ ɨ n ˦˧˥ t ə w ŋ͡m ˧˧
chính tả	t͡ɕ ɨ n ˦˧˥ t aː ˧˨
chính uỷ	t͡ɕ ɨ n ˦˧˥ ʔ w ɪ j ˧˨
chính văn	t͡ɕ ɨ n ˦˧˥ v a ŋ ˧˧
chính xác	t͡ɕ ɨ n ˦˧˥ s aː k̚ ˦˧˥
chính yếu	t͡ɕ ɨ n ˦˧˥ ʔ i w ˨˩˦
chíp	t͡ɕ i p̚ ˦˧˥
chíp chíp	t͡ɕ i p̚ ˦˧˥ t͡ɕ i p̚ ˦˧˥
chít	t͡ɕ i t̚ ˦˧˥
chíu	t͡ɕ i w ˨˩˦
chíu chít	t͡ɕ i w ˨˩˦ t͡ɕ i t̚ ˦˧˥
chò	t͡ɕ ɔ ˦˩
chò chỉ	t͡ɕ ɔ ˦˩ t͡ɕ ɪ j ˧˨
chòi	t͡ɕ ɔ j ˦˩
chòi canh	t͡ɕ ɔ j ˦˩ k ɛ ɲ ˧˧
chòi mòi	t͡ɕ ɔ j ˦˩ m ɔ j ˦˩
chòm	t͡ɕ ɔ m ˦˩
chòm sao	t͡ɕ ɔ m ˦˩ s aː w ˧˧
chòm sao	t͡ɕ ɔ m ˦˩ ʂ aː w ˧˧
chòm xóm	t͡ɕ ɔ m ˦˩ s ɔ m ˦˧˥
chòng	t͡ɕ a w ŋ͡m ˦˩
chòng	t͡ɕ ɔ ŋ ˦˩
chòng chọc	t͡ɕ a w ŋ͡m ˦˩ t͡ɕ a w k͡p̚ ˨˩ ʔ
chòng chọc	t͡ɕ ɔ ŋ ˦˩ t͡ɕ a w k͡p̚ ˨˩ ʔ
chó	t͡ɕ ɔ ˨˩˦
chó biển	t͡ɕ ɔ ˨˩˦ ʔ ɓ i ə ŋ ˧˨
chó chê mèo lắm lông	t͡ɕ ɔ ˨˩˦ t͡ɕ e j ˧˧ m ɛ w ˦˩ l a m ˦˧˥ l ə w ŋ͡m ˧˧
chó chê mèo mửa	t͡ɕ ɔ ˨˩˦ t͡ɕ e j ˧˧ m ɛ w ˦˩ m ɨ ə ˧˨
chó chăn cừu Đức	t͡ɕ ɔ ˨˩˦ t͡ɕ a ŋ ˧˧ k ɨ w ˦˩ ʔ ɗ ɨ k̚ ˦˧˥
chó chết	t͡ɕ ɔ ˨˩˦ t͡ɕ e t̚ ˦˧˥
chó cỏ	t͡ɕ ɔ ˨˩˦ k ɔ ˧˨
chó cứ sủa còn đoàn người cứ đi	t͡ɕ ɔ ˨˩˦ k ɨ ˨˩˦ s u ə ˧˨ k ɔ ŋ ˦˩ ʔ ɗ w aː ŋ ˦˩ ŋ ɨ j ˦˩ k ɨ ˨˩˦ ʔ ɗ ɪ j ˧˧
chó cứ sủa còn đoàn người cứ đi	t͡ɕ ɔ ˨˩˦ k ɨ ˨˩˦ ʂ u ə ˧˨ k ɔ ŋ ˦˩ ʔ ɗ w aː ŋ ˦˩ ŋ ɨ j ˦˩ k ɨ ˨˩˦ ʔ ɗ ɪ j ˧˧
chó hoang châu Phi	t͡ɕ ɔ ˨˩˦ h w aː ŋ ˧˧ t͡ɕ ə w ˧˧ f ɪ j ˧˧
chó lài	t͡ɕ ɔ ˨˩˦ l aː j ˦˩
chó má	t͡ɕ ɔ ˨˩˦ m aː ˨˩˦
chó ngáp phải ruồi	t͡ɕ ɔ ˨˩˦ ŋ aː p̚ ˦˧˥ f aː j ˧˨ ʐ u j ˦˩
chó rừng	t͡ɕ ɔ ˨˩˦ ʐ ɨ ŋ ˦˩
chó rừng lông vàng	t͡ɕ ɔ ˨˩˦ ʐ ɨ ŋ ˦˩ l ə w ŋ͡m ˧˧ v aː ŋ ˦˩
chó sói	t͡ɕ ɔ ˨˩˦ s ɔ j ˨˩˦
chó sói	t͡ɕ ɔ ˨˩˦ ʂ ɔ j ˨˩˦
chó sói lửa	t͡ɕ ɔ ˨˩˦ s ɔ j ˨˩˦ l ɨ ə ˧˨
chó sói lửa	t͡ɕ ɔ ˨˩˦ ʂ ɔ j ˨˩˦ l ɨ ə ˧˨
chó sói đất	t͡ɕ ɔ ˨˩˦ s ɔ j ˨˩˦ ʔ ɗ ə k̚ ˦˧˥
chó sói đất	t͡ɕ ɔ ˨˩˦ ʂ ɔ j ˨˩˦ ʔ ɗ ə k̚ ˦˧˥
chó săn	t͡ɕ ɔ ˨˩˦ s a ŋ ˧˧
chó săn	t͡ɕ ɔ ˨˩˦ ʂ a ŋ ˧˧
chó vàng	t͡ɕ ɔ ˨˩˦ v aː ŋ ˦˩
chó xù	t͡ɕ ɔ ˨˩˦ s ʊ w ˦˩
chó đẻ	t͡ɕ ɔ ˨˩˦ ʔ ɗ ɛ ˧˨
chó đểu	t͡ɕ ɔ ˨˩˦ ʔ ɗ e w ˧˨
chó đốm	t͡ɕ ɔ ˨˩˦ ʔ ɗ o m ˦˧˥
chói	t͡ɕ ɔ j ˨˩˦
chói chang	t͡ɕ ɔ j ˨˩˦ t͡ɕ aː ŋ ˧˧
chói loá	t͡ɕ ɔ j ˨˩˦ l w aː ˨˩˦
chóng	t͡ɕ a w ŋ͡m ˦˧˥
chóng	t͡ɕ ɔ ŋ ˦˧˥
chóng mặt	t͡ɕ a w ŋ͡m ˦˧˥ m a k̚ ˨˩ ʔ
chóng mặt	t͡ɕ ɔ ŋ ˦˧˥ m a k̚ ˨˩ ʔ
chóng vánh	t͡ɕ a w ŋ͡m ˦˧˥ v ɛ ɲ ˦˧˥
chóng vánh	t͡ɕ ɔ ŋ ˦˧˥ v ɛ ɲ ˦˧˥
chóp	t͡ɕ ɔ p̚ ˦˧˥
chóp bu	t͡ɕ ɔ p̚ ˦˧˥ ʔ ɓ ʊ w ˧˧
chót	t͡ɕ ɔ k̚ ˦˧˥
chót vót	t͡ɕ ɔ k̚ ˦˧˥ v ɔ k̚ ˦˧˥
chôm	t͡ɕ o m ˧˧
chôm chôm	t͡ɕ o m ˧˧ t͡ɕ o m ˧˧
chôn	t͡ɕ o ŋ ˧˧
chôn cất	t͡ɕ o ŋ ˧˧ k ə k̚ ˦˧˥
chôn nhau cắt rốn	t͡ɕ o ŋ ˧˧ ɲ a w ˧˧ k a k̚ ˦˧˥ ʐ o ŋ ˦˧˥
chôn rau cắt rốn	t͡ɕ o ŋ ˧˧ ʐ a w ˧˧ k a k̚ ˦˧˥ ʐ o ŋ ˦˧˥
chôn sống	t͡ɕ o ŋ ˧˧ s ə w ŋ͡m ˦˧˥
chôn sống	t͡ɕ o ŋ ˧˧ ʂ ə w ŋ͡m ˦˧˥
chôn vùi	t͡ɕ o ŋ ˧˧ v u j ˦˩
chông	t͡ɕ ə w ŋ͡m ˧˧
chông gai	t͡ɕ ə w ŋ͡m ˧˧ ɣ aː j ˧˧
chõ	t͡ɕ ɔ ˧˨
chõng	t͡ɕ a w ŋ͡m ˧˨
chõng	t͡ɕ ɔ ŋ ˧˨
chù vù	t͡ɕ ʊ w ˦˩ v ʊ w ˦˩
chùa	t͡ɕ u ə ˦˩
chùa chiền	t͡ɕ u ə ˦˩ t͡ɕ i ə ŋ ˦˩
chùi	t͡ɕ u j ˦˩
chùm	t͡ɕ u m ˦˩
chùm bao	t͡ɕ u m ˦˩ ʔ ɓ aː w ˧˧
chùm lé	t͡ɕ u m ˦˩ l ɛ ˨˩˦
chùm ruột	t͡ɕ u m ˦˩ ʐ u ə k̚ ˨˩ ʔ
chùn	t͡ɕ u n ˦˩
chùn bước	t͡ɕ u n ˦˩ ʔ ɓ ɨ ə k̚ ˦˧˥
chùng	t͡ɕ ʊ w ŋ͡m ˦˩
chùng chình	t͡ɕ ʊ w ŋ͡m ˦˩ t͡ɕ ɨ n ˦˩
chú	t͡ɕ ʊ w ˨˩˦
chú dẫn	t͡ɕ ʊ w ˨˩˦ j ə ŋ ˧˨
chú giải	t͡ɕ ʊ w ˨˩˦ j aː j ˧˨
chú hề	t͡ɕ ʊ w ˨˩˦ h e j ˦˩
chú lùn	t͡ɕ ʊ w ˨˩˦ l u n ˦˩
chú mày	t͡ɕ ʊ w ˨˩˦ m a j ˦˩
chú mục	t͡ɕ ʊ w ˨˩˦ m ʊ w k͡p̚ ˨˩ ʔ
chú rể	t͡ɕ ʊ w ˨˩˦ ʐ e j ˧˨
chú thích	t͡ɕ ʊ w ˨˩˦ tʰ ɨ t̚ ˦˧˥
chú tiểu	t͡ɕ ʊ w ˨˩˦ t i w ˧˨
chú trọng	t͡ɕ ʊ w ˨˩˦ ʈ a w ŋ͡m ˨˩ ʔ
chú trọng	t͡ɕ ʊ w ˨˩˦ ʈ ɔ ŋ ˨˩ ʔ
chú tâm	t͡ɕ ʊ w ˨˩˦ t ə m ˧˧
chú âm phù hiệu	t͡ɕ ʊ w ˨˩˦ ʔ ə m ˧˧ f ʊ w ˦˩ h i w ˨˩ ʔ
chú ý	t͡ɕ ʊ w ˨˩˦ ʔ ɪ j ˨˩˦
chú đại bi	t͡ɕ ʊ w ˨˩˦ ʔ ɗ aː j ˨˩ ʔ ʔ ɓ ɪ j ˧˧
chúa	t͡ɕ u ə ˨˩˦
chúa Xuân	t͡ɕ u ə ˨˩˦ s w ə ŋ ˧˧
chúa hề	t͡ɕ u ə ˨˩˦ h e j ˦˩
chúa sơn lâm	t͡ɕ u ə ˨˩˦ s əː ŋ ˧˧ l ə m ˧˧
chúa sơn lâm	t͡ɕ u ə ˨˩˦ ʂ əː ŋ ˧˧ l ə m ˧˧
chúa thượng	t͡ɕ u ə ˨˩˦ tʰ ɨ ə ŋ ˨˩ ʔ
chúa tể	t͡ɕ u ə ˨˩˦ t e j ˧˨
chúc	t͡ɕ ʊ w k͡p̚ ˦˧˥
chúc may mắn	t͡ɕ ʊ w k͡p̚ ˦˧˥ m a j ˧˧ m a ŋ ˦˧˥
chúc mừng	t͡ɕ ʊ w k͡p̚ ˦˧˥ m ɨ ŋ ˦˩
chúc mừng năm mới	t͡ɕ ʊ w k͡p̚ ˦˧˥ m ɨ ŋ ˦˩ n a m ˧˧ m əː j ˨˩˦
chúc mừng sinh nhật	t͡ɕ ʊ w k͡p̚ ˦˧˥ m ɨ ŋ ˦˩ s ɨ n ˧˧ ɲ ə k̚ ˨˩ ʔ
chúc mừng sinh nhật	t͡ɕ ʊ w k͡p̚ ˦˧˥ m ɨ ŋ ˦˩ ʂ ɨ n ˧˧ ɲ ə k̚ ˨˩ ʔ
chúc ngủ ngon	t͡ɕ ʊ w k͡p̚ ˦˧˥ ŋ ʊ w ˧˨ ŋ ɔ ŋ ˧˧
chúc phúc	t͡ɕ ʊ w k͡p̚ ˦˧˥ f ʊ w k͡p̚ ˦˧˥
chúc tụng	t͡ɕ ʊ w k͡p̚ ˦˧˥ t ʊ w ŋ͡m ˨˩ ʔ
chúi	t͡ɕ u j ˨˩˦
chúm chím	t͡ɕ u m ˦˧˥ t͡ɕ i m ˦˧˥
chúng	t͡ɕ ʊ w ŋ͡m ˦˧˥
chúng mày	t͡ɕ ʊ w ŋ͡m ˦˧˥ m a j ˦˩
chúng mình	t͡ɕ ʊ w ŋ͡m ˦˧˥ m ɨ n ˦˩
chúng nó	t͡ɕ ʊ w ŋ͡m ˦˧˥ n ɔ ˨˩˦
chúng sinh	t͡ɕ ʊ w ŋ͡m ˦˧˥ s ɨ n ˧˧
chúng sinh	t͡ɕ ʊ w ŋ͡m ˦˧˥ ʂ ɨ n ˧˧
chúng ta	t͡ɕ ʊ w ŋ͡m ˦˧˥ t aː ˧˧
chúng tao	t͡ɕ ʊ w ŋ͡m ˦˧˥ t aː w ˧˧
chúng tôi	t͡ɕ ʊ w ŋ͡m ˦˧˥ t o j ˧˧
chút	t͡ɕ ʊ k̚ ˦˧˥
chút xíu	t͡ɕ ʊ k̚ ˦˧˥ s i w ˨˩˦
chút éc	t͡ɕ ʊ k̚ ˦˧˥ ʔ ɛ k̚ ˦˧˥
chút ít	t͡ɕ ʊ k̚ ˦˧˥ ʔ i t̚ ˦˧˥
chút đỉnh	t͡ɕ ʊ k̚ ˦˧˥ ʔ ɗ ɨ n ˧˨
chũm choẹ	t͡ɕ u m ˧˨ t͡ɕ w ɛ ˨˩ ʔ
chơ	t͡ɕ əː ˧˧
chơ vơ	t͡ɕ əː ˧˧ v əː ˧˧
chơi	t͡ɕ əː j ˧˧
chơi bời	t͡ɕ əː j ˧˧ ʔ ɓ əː j ˦˩
chơi chữ	t͡ɕ əː j ˧˧ t͡ɕ ɨ ˧˨
chơi hụi	t͡ɕ əː j ˧˧ h u j ˨˩ ʔ
chơi khăm	t͡ɕ əː j ˧˧ kʰ a m ˧˧
chơi ngang	t͡ɕ əː j ˧˧ ŋ aː ŋ ˧˧
chơi nhởi	t͡ɕ əː j ˧˧ ɲ əː j ˧˨
chơi trội	t͡ɕ əː j ˧˧ ʈ o j ˨˩ ʔ
chơi vơi	t͡ɕ əː j ˧˧ v əː j ˧˧
chơi xỏ	t͡ɕ əː j ˧˧ s ɔ ˧˨
chơi ác	t͡ɕ əː j ˧˧ ʔ aː k̚ ˦˧˥
chơi điện tử	t͡ɕ əː j ˧˧ ʔ ɗ i ə ŋ ˨˩ ʔ t ɨ ˧˨
chơi đùa	t͡ɕ əː j ˧˧ ʔ ɗ u ə ˦˩
chơi đĩ	t͡ɕ əː j ˧˧ ʔ ɗ ɪ j ˧˨
chơi đẹp	t͡ɕ əː j ˧˧ ʔ ɗ ɛ p̚ ˨˩ ʔ
chơi đểu	t͡ɕ əː j ˧˧ ʔ ɗ e w ˧˨
chơm chởm	t͡ɕ əː m ˧˧ t͡ɕ əː m ˧˨
chư	t͡ɕ ɨ ˧˧
chư hầu	t͡ɕ ɨ ˧˧ h ə w ˦˩
chư vị	t͡ɕ ɨ ˧˧ v ɪ j ˨˩ ʔ
chưa	t͡ɕ ɨ ə ˧˧
chưa biết mèo nào cắn mỉu nào	t͡ɕ ɨ ə ˧˧ ʔ ɓ i ə k̚ ˦˧˥ m ɛ w ˦˩ n aː w ˦˩ k a ŋ ˦˧˥ m i w ˧˨ n aː w ˦˩
chưa hề	t͡ɕ ɨ ə ˧˧ h e j ˦˩
chưa thấy quan tài chưa đổ lệ	t͡ɕ ɨ ə ˧˧ tʰ ə j ˨˩˦ k w aː ŋ ˧˧ t aː j ˦˩ t͡ɕ ɨ ə ˧˧ ʔ ɗ o w ˧˨ l e j ˨˩ ʔ
chưn	t͡ɕ ɨ ŋ ˧˧
chưng	t͡ɕ ɨ ŋ ˧˧
chải	t͡ɕ aː j ˧˨
chất béo	t͡ɕ ə k̚ ˦˧˥ ʔ ɓ ɛ w ˨˩˦
chất chuyển hoá	t͡ɕ ə k̚ ˦˧˥ t͡ɕ w i ə ŋ ˧˨ h w aː ˨˩˦
chất chơi	t͡ɕ ə k̚ ˦˧˥ t͡ɕ əː j ˧˧
chất chứa	t͡ɕ ə k̚ ˦˧˥ t͡ɕ ɨ ə ˨˩˦
chất cách điện	t͡ɕ ə k̚ ˦˧˥ k a t̚ ˦˧˥ ʔ ɗ i ə ŋ ˨˩ ʔ
chất cản quang	t͡ɕ ə k̚ ˦˧˥ k aː ŋ ˧˨ k w aː ŋ ˧˧
chất diệp lục	t͡ɕ ə k̚ ˦˧˥ j i ə p̚ ˨˩ ʔ l ʊ w k͡p̚ ˨˩ ʔ
chất dẫn điện	t͡ɕ ə k̚ ˦˧˥ j ə ŋ ˧˨ ʔ ɗ i ə ŋ ˨˩ ʔ
chất dẻo	t͡ɕ ə k̚ ˦˧˥ j ɛ w ˧˨
chất hoá học	t͡ɕ ə k̚ ˦˧˥ h w aː ˨˩˦ h a w k͡p̚ ˨˩ ʔ
chất khí	t͡ɕ ə k̚ ˦˧˥ kʰ ɪ j ˨˩˦
chất liệu	t͡ɕ ə k̚ ˦˧˥ l i w ˨˩ ʔ
chất lượng	t͡ɕ ə k̚ ˦˧˥ l ɨ ə ŋ ˨˩ ʔ
chất lỏng	t͡ɕ ə k̚ ˦˧˥ l a w ŋ͡m ˧˨
chất lỏng	t͡ɕ ə k̚ ˦˧˥ l ɔ ŋ ˧˨
chất nổ	t͡ɕ ə k̚ ˦˧˥ n o w ˧˨
chất phác	t͡ɕ ə k̚ ˦˧˥ f aː k̚ ˦˧˥
chất rắn	t͡ɕ ə k̚ ˦˧˥ ʐ a ŋ ˦˧˥
chất trắng	t͡ɕ ə k̚ ˦˧˥ ʈ a ŋ ˦˧˥
chất tẩy	t͡ɕ ə k̚ ˦˧˥ t ə j ˧˨
chất tẩy rửa	t͡ɕ ə k̚ ˦˧˥ t ə j ˧˨ ʐ ɨ ə ˧˨
chất vấn	t͡ɕ ə k̚ ˦˧˥ v ə ŋ ˦˧˥
chất xám	t͡ɕ ə k̚ ˦˧˥ s aː m ˦˧˥
chất xơ	t͡ɕ ə k̚ ˦˧˥ s əː ˧˧
chất đạm	t͡ɕ ə k̚ ˦˧˥ ʔ ɗ aː m ˨˩ ʔ
chất đống	t͡ɕ ə k̚ ˦˧˥ ʔ ɗ ə w ŋ͡m ˦˧˥
chất đốt	t͡ɕ ə k̚ ˦˧˥ ʔ ɗ o k̚ ˦˧˥
chất độc	t͡ɕ ə k̚ ˦˧˥ ʔ ɗ ə w k͡p̚ ˨˩ ʔ
chất độc da cam	t͡ɕ ə k̚ ˦˧˥ ʔ ɗ ə w k͡p̚ ˨˩ ʔ j aː ˧˧ k aː m ˧˧
chấu	t͡ɕ ə w ˨˩˦
chấy	t͡ɕ ə j ˨˩˦
chấy rận	t͡ɕ ə j ˨˩˦ ʐ ə ŋ ˨˩ ʔ
chầu	t͡ɕ ə w ˦˩
chầu chực	t͡ɕ ə w ˦˩ t͡ɕ ɨ k̚ ˨˩ ʔ
chầu rìa	t͡ɕ ə w ˦˩ ʐ i ə ˦˩
chầu trời	t͡ɕ ə w ˦˩ ʈ əː j ˦˩
chầu văn	t͡ɕ ə w ˦˩ v a ŋ ˧˧
chầy	t͡ɕ ə j ˦˩
chẫu	t͡ɕ ə w ˧˨
chật	t͡ɕ ə k̚ ˨˩ ʔ
chật chội	t͡ɕ ə k̚ ˨˩ ʔ t͡ɕ o j ˨˩ ʔ
chật cứng	t͡ɕ ə k̚ ˨˩ ʔ k ɨ ŋ ˦˧˥
chật hẹp	t͡ɕ ə k̚ ˨˩ ʔ h ɛ p̚ ˨˩ ʔ
chật ních	t͡ɕ ə k̚ ˨˩ ʔ n ɨ t̚ ˦˧˥
chật vật	t͡ɕ ə k̚ ˨˩ ʔ v ə k̚ ˨˩ ʔ
chậu	t͡ɕ ə w ˨˩ ʔ
chậy	t͡ɕ ə j ˨˩ ʔ
chặt	t͡ɕ a k̚ ˨˩ ʔ
chẹo	t͡ɕ ɛ w ˨˩ ʔ
chẹt	t͡ɕ ɛ t̚ ˨˩ ʔ
chẻ	t͡ɕ ɛ ˧˨
chẻo	t͡ɕ ɛ w ˧˨
chẽm	t͡ɕ ɛ m ˧˨
chẽn	t͡ɕ ɛ ŋ ˧˨
chế	t͡ɕ e j ˨˩˦
chế biến	t͡ɕ e j ˨˩˦ ʔ ɓ i ə ŋ ˦˧˥
chế giễu	t͡ɕ e j ˨˩˦ j i w ˧˨
chế ngự	t͡ɕ e j ˨˩˦ ŋ ɨ ˨˩ ʔ
chế nhạo	t͡ɕ e j ˨˩˦ ɲ aː w ˨˩ ʔ
chế tài	t͡ɕ e j ˨˩˦ t aː j ˦˩
chế tác	t͡ɕ e j ˨˩˦ t aː k̚ ˦˧˥
chế tạo	t͡ɕ e j ˨˩˦ t aː w ˨˩ ʔ
chế xuất	t͡ɕ e j ˨˩˦ s w ə k̚ ˦˧˥
chế định	t͡ɕ e j ˨˩˦ ʔ ɗ ɨ n ˨˩ ʔ
chế độ	t͡ɕ e j ˨˩˦ ʔ ɗ o w ˨˩ ʔ
chế độ cũ	t͡ɕ e j ˨˩˦ ʔ ɗ o w ˨˩ ʔ k ʊ w ˧˨
chế độ ăn kiêng	t͡ɕ e j ˨˩˦ ʔ ɗ o w ˨˩ ʔ ʔ a ŋ ˧˧ k i ə ŋ ˧˧
chếch	t͡ɕ e t̚ ˦˧˥
chếch lệch	t͡ɕ e t̚ ˦˧˥ l e t̚ ˨˩ ʔ
chếnh choáng	t͡ɕ e n ˦˧˥ t͡ɕ w aː ŋ ˦˧˥
chết	t͡ɕ e t̚ ˦˧˥
chết cha	t͡ɕ e t̚ ˦˧˥ t͡ɕ aː ˧˧
chết chóc	t͡ɕ e t̚ ˦˧˥ t͡ɕ a w k͡p̚ ˦˧˥
chết chẹt	t͡ɕ e t̚ ˦˧˥ t͡ɕ ɛ t̚ ˨˩ ʔ
chết chửa	t͡ɕ e t̚ ˦˧˥ t͡ɕ ɨ ə ˧˨
chết dở	t͡ɕ e t̚ ˦˧˥ j əː ˧˨
chết giấc	t͡ɕ e t̚ ˦˧˥ j ə k̚ ˦˧˥
chết hụt	t͡ɕ e t̚ ˦˧˥ h ʊ k̚ ˨˩ ʔ
chết lâm sàng	t͡ɕ e t̚ ˦˧˥ l ə m ˧˧ s aː ŋ ˦˩
chết lâm sàng	t͡ɕ e t̚ ˦˧˥ l ə m ˧˧ ʂ aː ŋ ˦˩
chết máy	t͡ɕ e t̚ ˦˧˥ m a j ˨˩˦
chết ngạt	t͡ɕ e t̚ ˦˧˥ ŋ aː k̚ ˨˩ ʔ
chết ngất	t͡ɕ e t̚ ˦˧˥ ŋ ə k̚ ˦˧˥
chết ngắt	t͡ɕ e t̚ ˦˧˥ ŋ a k̚ ˦˧˥
chết nhát	t͡ɕ e t̚ ˦˧˥ ɲ aː k̚ ˦˧˥
chết non	t͡ɕ e t̚ ˦˧˥ n ɔ ŋ ˧˧
chết não	t͡ɕ e t̚ ˦˧˥ n aː w ˧˨
chết queo	t͡ɕ e t̚ ˦˧˥ k w ɛ w ˧˧
chết sống	t͡ɕ e t̚ ˦˧˥ s ə w ŋ͡m ˦˧˥
chết sống	t͡ɕ e t̚ ˦˧˥ ʂ ə w ŋ͡m ˦˧˥
chết tiệt	t͡ɕ e t̚ ˦˧˥ t i ə k̚ ˨˩ ʔ
chết toi	t͡ɕ e t̚ ˦˧˥ t ɔ j ˧˧
chết tươi	t͡ɕ e t̚ ˦˧˥ t ɨ j ˧˧
chết yểu	t͡ɕ e t̚ ˦˧˥ ʔ i w ˧˨
chết điếng	t͡ɕ e t̚ ˦˧˥ ʔ ɗ i ə ŋ ˦˧˥
chết đuối	t͡ɕ e t̚ ˦˧˥ ʔ ɗ u j ˨˩˦
chết đói	t͡ɕ e t̚ ˦˧˥ ʔ ɗ ɔ j ˨˩˦
chết đứng	t͡ɕ e t̚ ˦˧˥ ʔ ɗ ɨ ŋ ˦˧˥
